ReviewID,ComplaintScore,TopicCategory,RatingScore,RefundRequested,ReviewLength
1170151,4.7,Type_C,8.9,87.5,46.6
1170152,7.8,Type_C,3.1,126.6,136.2
1170153,6.6,Type_B,6.4,137.8,160.0
1170154,8.0,Type_B,6.7,89.8,114.0
1170155,7.5,Type_C,9.5,90.3,106.1
1170156,7.5,Type_C,8.6,124.8,84.6
1170157,10.0,Type_C,7.0,107.0,75.9
1170158,5.7,Type_C,4.6,128.9,109.8
1170159,6.9,Type_A,6.8,99.8,79.8
1170160,6.8,Type_C,6.2,62.8,127.8
1170161,8.1,Type_C,5.5,57.4,126.5
1170162,8.3,Type_A,8.2,118.3,121.3
1170163,9.0,Type_B,8.0,100.1,108.4
1170164,8.7,Type_B,3.6,93.0,91.8
1170165,8.3,Type_C,6.8,107.3,103.7
1170166,5.8,Type_A,7.4,114.5,84.5
1170167,8.6,Type_C,8.0,115.9,133.3
1170168,4.8,Type_A,9.3,132.3,112.0
1170169,8.0,Type_B,5.9,67.8,147.5
1170170,8.4,Type_A,7.4,105.5,122.2
1170171,10.0,Type_A,5.4,98.0,106.2
1170172,8.6,Type_C,6.3,100.0,108.6
1170173,9.3,Type_B,9.8,111.4,107.0
1170174,5.7,Type_B,7.5,119.0,100.7
1170175,8.0,Type_B,8.2,46.2,111.1
1170176,4.3,Type_A,6.9,65.4,125.3
1170177,7.5,Type_B,4.0,63.9,100.4
1170178,5.5,Type_C,8.7,61.4,118.7
1170179,6.4,Type_B,6.2,92.8,83.7
1170180,5.4,Type_C,8.4,156.3,92.8
1170181,6.5,Type_C,8.4,110.6,69.7
1170182,6.3,Type_C,8.9,59.1,120.4
1170183,7.5,Type_A,7.3,88.7,75.0
1170184,9.1,Type_C,9.5,115.9,93.9
1170185,9.3,Type_A,8.1,36.8,107.0
1170186,5.5,Type_B,6.6,110.3,116.8
1170187,6.6,Type_B,8.1,124.9,115.6
1170188,7.5,Type_B,8.5,117.9,76.7
1170189,5.2,Type_C,7.6,99.1,102.7
1170190,8.7,Type_C,6.3,97.7,117.1
1170191,7.8,Type_A,8.5,92.4,109.9
1170192,7.1,Type_A,7.6,117.4,92.1
1170193,8.7,Type_A,8.8,109.7,98.1
1170194,8.0,Type_B,7.9,101.3,87.8
1170195,9.3,Type_A,10.0,121.8,76.6
1170196,8.7,Type_A,7.4,120.5,110.6
1170197,4.8,Type_A,6.7,88.0,158.5
1170198,7.4,Type_C,9.1,133.1,91.2
1170199,5.9,Type_B,6.8,92.2,100.2
1170200,7.6,Type_A,8.0,71.7,68.3
1170201,6.7,Type_B,7.0,111.8,78.4
1170202,7.4,Type_C,6.6,103.1,59.3
1170203,7.0,Type_A,10.0,97.7,107.2
1170204,7.1,Type_B,8.1,100.3,40.6
1170205,7.9,Type_B,4.9,94.8,97.4
1170206,7.5,Type_A,6.2,134.5,83.7
1170207,9.0,Type_A,6.8,131.2,133.3
1170208,10.0,Type_C,7.7,78.9,125.4
1170209,7.3,Type_C,8.1,145.4,149.6
1170210,4.2,Type_B,8.0,164.2,89.8
1170211,6.9,Type_C,6.0,104.4,136.5
1170212,7.9,Type_B,6.2,129.1,112.4
1170213,6.9,Type_C,8.0,108.0,106.3
1170214,,Type_B,6.3,89.9,100.2
1170215,7.0,Type_A,6.8,135.6,144.8
1170216,9.5,Type_B,7.2,76.8,112.3
1170217,6.0,Type_C,8.4,146.7,99.9
1170218,9.0,Type_C,6.3,105.3,50.7
1170219,8.2,Type_C,6.2,93.6,94.6
1170220,7.0,Type_B,10.0,83.6,69.8
1170221,6.9,Type_B,8.6,96.7,130.7
1170222,9.2,Type_C,9.8,110.2,76.6
1170223,8.7,Type_A,8.5,84.1,134.3
1170224,10.0,Type_A,8.8,55.6,114.0
1170225,5.1,Type_B,6.2,103.9,85.7
1170226,10.0,Type_C,4.3,79.7,116.7
1170227,9.6,Type_A,10.0,69.9,54.7
1170228,5.6,Type_B,8.1,110.5,88.0
1170229,5.1,Type_B,7.5,153.3,82.4
1170230,5.5,Type_B,7.0,85.9,101.7
1170231,5.6,Type_C,8.7,58.9,59.4
1170232,6.6,Type_A,8.5,97.8,140.4
1170233,8.4,Type_A,7.1,102.4,90.6
1170234,8.8,Type_A,8.9,69.7,83.0
1170235,5.1,Type_C,7.5,124.0,112.6
1170236,6.9,Type_C,7.9,97.4,138.3
1170237,7.6,Type_B,8.8,70.1,98.8
1170238,8.4,Type_A,7.2,116.4,116.3
1170239,6.4,Type_C,10.0,125.6,140.0
1170240,7.4,Type_A,9.4,47.9,89.7
1170241,6.5,Type_A,6.5,97.4,91.2
1170242,7.9,Type_B,7.8,110.8,125.6
1170243,6.0,Type_A,6.5,141.3,96.2
1170244,10.0,Type_B,9.3,128.9,128.5
1170245,6.5,Type_B,5.6,99.7,108.7
1170246,7.8,Type_A,4.4,67.7,108.8
1170247,5.8,Type_B,6.2,144.5,112.3
1170248,5.0,Type_C,7.5,73.0,79.8
1170249,5.1,Type_A,6.7,90.4,77.6
1170250,10.0,Type_A,7.8,118.5,62.1
1170251,9.5,Type_B,8.4,104.4,129.0
1170252,5.7,Type_A,7.0,146.4,62.9
1170253,8.7,Type_C,6.3,155.7,110.6
1170254,8.7,Type_C,8.3,86.9,104.8
1170255,5.3,Type_A,9.8,100.1,111.6
1170256,7.5,Type_A,6.7,98.6,119.8
1170257,9.8,Type_C,4.6,93.5,150.9
1170258,9.8,Type_B,5.8,112.8,82.9
1170259,9.6,Type_C,5.5,93.3,108.2
1170260,7.2,Type_C,8.5,159.4,129.4
1170261,7.3,Type_B,7.9,98.7,92.5
1170262,9.1,Type_B,4.8,76.2,60.1
1170263,6.3,Type_A,9.3,99.0,107.3
1170264,10.0,Type_A,5.8,90.5,18.9
1170265,4.6,Type_B,7.4,82.5,78.6
1170266,6.4,Type_A,7.4,46.0,76.5
1170267,6.1,Type_C,8.0,105.4,114.8
1170268,4.5,Type_C,7.7,91.4,90.4
1170269,,Type_B,6.9,120.2,115.5
1170270,9.2,Type_B,8.5,38.1,122.4
1170271,7.9,Type_C,7.0,111.8,139.1
1170272,7.8,Type_B,5.4,110.6,111.0
1170273,8.9,Type_C,4.4,96.7,57.3
1170274,6.2,Type_B,8.5,101.2,109.4
1170275,8.8,Type_A,6.0,73.3,116.8
1170276,8.6,Type_A,7.8,110.6,105.2
1170277,9.1,Type_A,9.4,90.0,119.9
1170278,8.1,Type_A,7.3,96.0,54.1
1170279,5.7,Type_C,7.0,104.9,58.1
1170280,3.3,Type_B,7.5,115.4,114.1
1170281,7.8,Type_B,6.8,140.8,32.6
1170282,5.0,Type_A,6.7,72.5,118.7
1170283,8.4,Type_B,9.5,126.2,74.1
1170284,5.8,Type_C,5.3,50.7,106.0
1170285,5.8,Type_B,7.0,80.5,156.3
1170286,7.8,Type_B,6.2,78.4,116.4
1170287,9.0,Type_A,6.1,101.6,82.3
1170288,8.2,Type_A,5.6,99.8,91.4
1170289,6.7,Type_C,8.4,112.6,97.5
1170290,6.1,Type_A,7.9,78.7,94.5
1170291,5.2,Type_B,8.6,55.9,97.3
1170292,7.9,Type_C,6.5,62.4,98.9
1170293,6.4,Type_C,7.4,92.5,40.1
1170294,9.6,Type_B,9.1,44.0,90.7
1170295,9.1,Type_A,7.0,65.3,108.3
1170296,6.0,Type_C,8.0,118.4,82.8
1170297,7.6,Type_A,6.7,87.5,131.9
1170298,7.0,Type_A,10.0,103.2,95.1
1170299,6.2,Type_A,8.3,76.6,97.1
1170300,7.6,Type_C,6.4,115.0,68.7
1170301,5.4,Type_A,8.4,69.9,91.9
1170302,7.4,Type_A,9.4,85.2,98.2
1170303,7.5,Type_B,8.8,116.2,107.4
1170304,6.0,Type_B,8.3,78.4,76.3
1170305,10.0,Type_A,7.7,86.8,90.8
1170306,5.9,Type_C,7.2,123.8,107.8
1170307,8.9,Type_C,5.1,89.3,50.0
1170308,8.9,Type_A,9.3,90.8,140.2
1170309,7.4,Type_A,5.4,153.9,115.9
1170310,5.8,Type_A,5.9,100.9,134.9
1170311,7.3,Type_B,7.5,93.1,69.8
1170312,6.7,Type_C,6.5,42.8,105.1
1170313,6.5,Type_B,8.3,118.3,107.6
1170314,4.8,Type_C,6.4,93.1,90.7
1170315,4.7,Type_B,7.7,132.5,166.5
1170316,6.7,Type_B,8.4,80.0,110.4
1170317,5.4,Type_A,5.6,85.1,72.7
1170318,5.4,Type_B,5.5,100.9,92.1
1170319,9.4,Type_B,3.6,124.8,130.1
1170320,5.3,Type_B,7.1,61.8,94.3
1170321,7.8,Type_B,4.9,86.6,48.9
1170322,6.8,Type_B,7.6,154.5,92.3
1170323,6.4,Type_C,6.5,139.3,106.4
1170324,7.3,Type_A,7.4,69.8,116.8
1170325,5.8,Type_A,7.0,94.0,56.4
1170326,9.3,Type_A,6.3,101.5,126.1
1170327,8.7,Type_B,5.6,96.2,87.5
1170328,7.3,Type_A,9.1,100.0,137.9
1170329,8.3,Type_A,7.7,84.9,50.0
1170330,9.4,Type_B,6.2,59.8,87.1
1170331,8.4,Type_C,5.5,106.3,126.1
1170332,7.7,Type_C,6.8,70.4,74.7
1170333,6.9,Type_C,5.9,134.8,112.1
1170334,8.4,Type_C,6.8,86.9,113.1
1170335,5.6,Type_A,5.7,108.8,120.6
1170336,5.4,Type_A,8.7,104.0,60.4
1170337,8.7,Type_C,6.5,121.4,134.6
1170338,6.1,Type_A,7.5,106.3,112.6
1170339,7.2,Type_A,5.2,63.2,98.7
1170340,10.0,Type_C,7.3,101.0,124.5
1170341,6.3,Type_C,6.8,119.6,98.7
1170342,6.9,Type_B,6.1,128.9,94.9
1170343,8.2,Type_C,8.8,138.2,133.0
1170344,10.0,Type_B,6.7,103.8,85.2
1170345,6.9,Type_B,7.2,81.7,106.5
1170346,4.0,Type_B,7.4,90.7,77.0
1170347,8.4,Type_A,8.5,94.2,98.1
1170348,7.6,Type_C,8.2,105.4,63.3
1170349,6.6,Type_C,7.4,102.2,110.3
1170350,7.3,Type_B,6.2,61.6,85.1
1170351,8.1,Type_B,7.0,114.4,61.7
1170352,7.7,Type_A,6.7,95.0,103.8
1170353,7.2,Type_A,7.6,105.1,138.2
1170354,8.5,Type_B,7.1,70.3,67.3
1170355,8.4,Type_C,6.5,141.2,147.3
1170356,6.2,Type_B,9.1,87.9,73.7
1170357,5.0,Type_C,7.4,75.3,99.1
1170358,7.3,Type_B,7.1,104.1,121.1
1170359,5.3,Type_A,8.5,147.6,79.5
1170360,7.6,Type_C,8.6,101.5,113.6
1170361,9.4,Type_A,7.7,75.4,68.8
1170362,9.3,Type_C,7.5,90.7,109.0
1170363,6.1,Type_A,5.0,121.8,101.4
1170364,7.0,Type_B,6.3,123.7,104.5
1170365,8.9,Type_B,8.5,106.9,114.5
1170366,9.7,Type_A,9.7,78.5,87.0
1170367,10.0,Type_B,7.5,101.8,53.8
1170368,5.1,Type_C,7.1,92.7,75.2
1170369,7.9,Type_B,7.7,120.7,74.7
1170370,6.8,Type_A,8.0,147.3,82.0
1170371,6.0,Type_C,7.5,103.7,152.3
1170372,7.1,Type_A,6.2,110.9,113.6
1170373,6.8,Type_B,5.9,94.8,125.8
1170374,6.7,Type_C,4.9,48.7,105.7
1170375,7.6,Type_C,8.3,98.3,97.3
1170376,5.3,Type_B,7.2,86.2,47.1
1170377,6.7,Type_B,7.2,117.3,108.7
1170378,6.8,Type_C,10.0,91.6,62.5
1170379,8.5,Type_C,6.1,107.1,123.6
1170380,8.1,Type_A,8.2,109.6,113.3
1170381,5.9,Type_A,7.8,60.8,66.1
1170382,7.6,Type_B,7.7,94.8,92.6
1170383,8.6,Type_C,5.6,76.6,115.4
1170384,7.4,Type_B,6.1,91.9,41.0
1170385,7.6,Type_C,9.1,96.5,83.0
1170386,4.0,Type_A,6.1,81.8,83.4
1170387,6.6,Type_A,6.9,81.3,77.2
1170388,8.0,Type_A,7.3,79.4,75.6
1170389,8.3,Type_B,7.9,72.8,82.1
1170390,4.5,Type_A,5.9,117.4,87.1
1170391,6.1,Type_A,7.4,83.3,129.2
1170392,5.7,Type_C,5.2,80.1,98.6
1170393,,Type_A,7.6,133.7,112.6
1170394,5.5,Type_B,4.1,59.5,58.9
1170395,7.6,Type_C,6.5,105.8,77.7
1170396,9.0,Type_B,7.3,119.4,79.4
1170397,5.6,Type_A,6.9,92.1,96.6
1170398,5.6,Type_C,7.1,156.2,49.2
1170399,8.5,Type_B,4.5,118.1,90.2
1170400,10.0,Type_A,3.2,118.8,79.7
1170401,6.4,Type_A,6.5,89.8,141.0
1170402,10.0,Type_C,7.1,129.3,81.3
1170403,8.3,Type_A,4.8,70.5,100.7
1170404,8.3,Type_C,6.8,139.0,119.4
1170405,5.2,Type_C,8.6,75.0,131.1
1170406,6.6,Type_A,7.0,101.0,105.6
1170407,6.8,Type_C,3.4,99.3,95.9
1170408,7.7,Type_B,8.3,112.5,145.9
1170409,7.3,Type_C,7.5,66.0,117.2
1170410,9.0,Type_C,7.4,137.9,120.0
1170411,7.5,Type_A,8.8,150.2,157.6
1170412,8.5,Type_C,8.5,92.8,58.6
1170413,8.5,Type_C,5.5,99.4,110.8
1170414,4.0,Type_C,4.0,64.5,64.2
1170415,8.3,Type_A,5.1,80.9,120.6
1170416,7.1,Type_C,5.7,102.2,143.8
1170417,8.1,Type_C,5.7,122.8,86.4
1170418,7.6,Type_C,5.0,93.6,55.2
1170419,4.7,Type_B,6.9,88.1,119.5
1170420,7.5,Type_B,8.9,105.1,113.7
1170421,5.5,Type_B,6.4,116.6,81.8
1170422,5.4,Type_C,6.7,109.9,83.8
1170423,9.8,Type_C,7.3,114.3,84.3
1170424,5.7,Type_A,7.0,91.1,88.8
1170425,7.5,Type_C,6.7,61.6,119.1
1170426,7.7,Type_B,5.5,94.8,86.5
1170427,9.3,Type_A,5.7,107.2,117.0
1170428,6.0,Type_C,5.9,173.9,120.7
1170429,6.9,Type_A,6.4,99.9,116.3
1170430,5.1,Type_A,7.2,88.9,121.8
1170431,5.7,Type_C,5.6,59.6,113.3
1170432,8.1,Type_B,7.6,84.0,93.3
1170433,6.5,Type_A,5.7,116.1,151.5
1170434,7.6,Type_B,8.6,107.2,85.0
1170435,8.9,Type_C,9.6,83.4,115.0
1170436,6.3,Type_A,7.5,88.5,106.2
1170437,3.6,Type_B,5.7,74.9,79.4
1170438,6.1,Type_A,10.0,119.7,104.4
1170439,6.7,Type_B,7.0,67.5,146.0
1170440,4.5,Type_B,7.2,73.8,131.0
1170441,7.2,Type_B,5.6,116.3,87.8
1170442,5.7,Type_A,9.4,77.7,112.5
1170443,8.4,Type_C,8.0,108.9,138.0
1170444,5.6,Type_B,8.2,83.5,102.2
1170445,7.2,Type_B,6.5,86.5,118.3
1170446,7.3,Type_C,6.9,89.7,82.9
1170447,9.0,Type_A,6.0,90.0,156.4
1170448,7.4,Type_B,5.6,107.4,81.1
1170449,8.7,Type_C,8.8,113.7,118.1
1170450,7.9,Type_C,6.8,112.9,78.4
1170451,7.1,Type_B,5.1,91.0,135.2
1170452,7.2,Type_C,8.9,90.2,122.0
1170453,7.6,Type_B,7.0,79.9,124.1
1170454,8.6,Type_A,7.7,121.4,88.9
1170455,7.7,Type_B,4.5,70.4,135.4
1170456,7.1,Type_A,9.9,31.2,94.9
1170457,9.5,Type_C,6.9,96.8,86.9
1170458,7.1,Type_C,8.7,125.2,119.8
1170459,8.4,Type_C,4.2,123.0,125.8
1170460,9.0,Type_C,5.0,89.1,74.6
1170461,7.7,Type_B,7.9,104.6,75.6
1170462,8.2,Type_A,6.4,114.5,72.2
1170463,5.8,Type_B,7.8,92.7,76.2
1170464,7.5,Type_C,8.4,61.1,85.1
1170465,8.1,Type_C,5.1,108.6,94.0
1170466,8.3,Type_C,7.0,95.0,66.3
1170467,7.0,Type_C,7.5,93.9,101.6
1170468,6.5,Type_B,7.2,62.5,87.6
1170469,9.3,Type_B,3.7,125.9,69.6
1170470,8.9,Type_C,9.8,75.5,156.5
1170471,6.1,Type_B,7.3,102.3,102.1
1170472,8.7,Type_C,8.7,100.7,95.1
1170473,8.1,Type_C,3.4,135.6,134.6
1170474,7.2,Type_A,8.1,136.9,108.9
1170475,6.5,Type_A,7.1,78.0,104.0
1170476,8.5,Type_A,8.3,98.3,119.3
1170477,8.1,Type_C,7.1,68.3,156.1
1170478,6.5,Type_C,8.1,140.5,107.3
1170479,4.7,Type_A,6.5,88.4,118.5
1170480,6.4,Type_A,9.3,97.5,120.8
1170481,9.2,Type_B,9.2,104.8,100.2
1170482,7.1,Type_B,7.9,92.5,76.5
1170483,8.9,Type_A,8.7,108.6,124.9
1170484,5.4,Type_A,8.8,115.4,94.0
1170485,6.3,Type_B,6.8,80.8,108.8
1170486,9.2,Type_B,7.8,120.5,156.7
1170487,5.6,Type_B,5.9,86.0,96.8
1170488,7.1,Type_B,4.2,107.5,111.2
1170489,7.5,Type_B,7.1,102.4,84.4
1170490,6.2,Type_A,10.0,100.5,67.2
1170491,6.7,Type_C,10.0,103.7,131.1
1170492,5.5,Type_B,8.4,87.9,139.1
1170493,4.5,Type_A,6.7,153.8,118.9
1170494,6.4,Type_C,7.3,106.5,75.8
1170495,6.5,Type_C,3.5,124.8,91.5
1170496,3.0,Type_A,9.5,82.3,138.0
1170497,4.1,Type_A,7.4,74.3,95.0
1170498,8.1,Type_C,6.1,116.2,80.4
1170499,5.6,Type_A,5.3,101.5,66.7
1170500,6.5,Type_A,8.4,128.9,104.5
1170501,6.7,Type_C,6.9,126.4,99.2
1170502,6.9,Type_C,5.1,85.9,97.7
1170503,,Type_A,7.1,105.2,124.7
1170504,4.8,Type_B,6.8,121.1,113.7
1170505,7.9,Type_B,7.3,97.4,126.8
1170506,8.7,Type_A,9.7,107.8,91.7
1170507,8.9,Type_C,5.5,93.2,78.1
1170508,7.0,Type_C,9.5,125.0,110.6
1170509,10.0,Type_A,8.2,114.1,102.0
1170510,9.6,Type_B,9.7,104.1,104.3
1170511,9.2,Type_B,5.8,69.5,89.4
1170512,7.7,Type_B,7.9,109.2,70.9
1170513,7.9,Type_C,7.0,76.9,77.9
1170514,6.4,Type_B,8.2,95.5,110.1
1170515,8.0,Type_A,9.5,84.1,90.1
1170516,7.5,Type_B,6.5,73.6,101.2
1170517,9.1,Type_A,7.1,90.9,118.6
1170518,7.5,Type_A,9.2,96.4,124.9
1170519,9.8,Type_B,5.1,101.6,123.3
1170520,8.4,Type_A,7.2,88.8,80.2
1170521,10.0,Type_B,8.9,136.4,87.0
1170522,6.3,Type_B,5.4,68.2,110.3
1170523,7.8,Type_A,8.5,131.2,100.4
1170524,7.5,Type_B,7.6,108.4,133.9
1170525,4.7,Type_A,6.1,120.8,90.6
1170526,6.5,Type_C,7.6,117.4,112.9
1170527,8.2,Type_B,4.9,134.8,64.3
1170528,8.2,Type_B,7.5,70.6,134.7
1170529,7.1,Type_A,2.7,88.7,84.5
1170530,7.6,Type_B,6.7,98.5,87.0
1170531,9.3,Type_A,9.3,105.5,117.0
1170532,5.3,Type_B,10.0,131.9,76.6
1170533,7.3,Type_A,10.0,92.9,134.4
1170534,6.5,Type_A,7.1,86.1,86.4
1170535,6.3,Type_B,6.0,75.1,82.2
1170536,7.7,Type_C,7.1,91.7,83.2
1170537,6.2,Type_A,6.2,94.7,83.8
1170538,10.0,Type_B,6.5,82.0,180.8
1170539,5.7,Type_C,5.3,62.6,138.2
1170540,9.4,Type_C,7.0,75.6,157.4
1170541,6.5,Type_A,6.9,59.9,119.2
1170542,7.7,Type_A,8.2,56.2,95.2
1170543,7.5,Type_B,6.8,112.2,98.2
1170544,7.4,Type_A,7.7,72.5,110.2
1170545,7.8,Type_A,7.0,86.5,147.7
1170546,7.1,Type_A,7.9,119.9,81.2
1170547,7.6,Type_A,7.4,123.2,114.9
1170548,7.1,Type_A,7.8,76.6,81.0
1170549,7.8,Type_A,6.0,77.6,105.2
1170550,4.7,Type_C,5.4,78.6,74.3
1170551,7.6,Type_A,8.6,122.2,129.0
1170552,7.0,Type_C,9.3,85.3,89.8
1170553,6.8,Type_C,4.7,101.6,128.3
1170554,7.0,Type_C,5.1,91.0,116.8
1170555,4.9,Type_C,9.6,116.4,108.5
1170556,6.9,Type_C,7.2,96.2,105.1
1170557,5.8,Type_C,7.4,69.3,102.6
