ToolID,SpindleCurrent,VibrationRMS,ToolAgeHours,WearDepth_microns,MaintenanceRequired
1810221,6.61,,27.0,105.6,1
1810222,6.17,30.1,31.0,108.0,1
1810223,4.11,43.6,36.0,66.3,0
1810224,4.21,56.7,47.0,105.4,1
1810225,2.68,45.9,59.0,96.3,0
1810226,3.02,31.2,40.0,103.9,1
1810227,1.24,56.3,23.0,70.4,0
1810228,3.76,50.7,74.0,101.1,1
1810229,5.19,26.0,35.0,105.3,0
1810230,4.89,57.8,66.0,73.9,0
1810231,3.72,52.9,54.0,68.3,0
1810232,5.47,45.9,53.0,105.2,0
1810233,4.15,54.0,38.0,93.8,1
1810234,6.6,62.6,22.0,94.3,0
1810235,4.73,63.2,31.0,122.7,0
1810236,3.46,50.3,46.0,103.9,1
1810237,3.64,33.5,47.0,92.6,0
1810238,3.88,40.9,56.0,103.8,0
1810239,3.03,38.9,42.0,57.5,0
1810240,5.36,42.7,55.0,97.9,0
1810241,3.76,49.1,22.0,115.7,1
1810242,4.97,54.8,46.0,130.5,1
1810243,4.76,15.2,29.0,102.4,1
1810244,4.39,76.2,48.0,69.1,1
1810245,6.2,62.3,50.0,129.1,1
1810246,4.24,43.6,21.0,125.9,1
1810247,4.17,56.8,43.0,109.0,0
1810248,4.56,66.3,58.0,123.4,1
1810249,5.13,33.8,17.0,105.9,1
1810250,4.93,47.0,60.0,92.6,1
1810251,3.99,55.3,23.0,103.0,0
1810252,3.0,46.6,75.0,91.7,0
1810253,2.13,62.0,60.0,102.0,1
1810254,3.33,20.2,37.0,55.6,0
1810255,5.49,44.8,41.0,69.6,1
1810256,3.92,30.2,35.0,83.8,1
1810257,3.52,62.8,30.0,111.7,1
1810258,3.18,52.3,38.0,127.4,1
1810259,4.8,44.6,51.0,103.8,0
1810260,4.06,33.1,73.0,70.7,0
1810261,7.0,47.1,27.0,74.8,0
1810262,6.4,63.7,43.0,81.9,0
1810263,3.75,51.9,57.0,76.5,0
1810264,3.21,72.3,59.0,91.9,0
1810265,3.82,57.6,46.0,85.5,0
1810266,4.96,29.1,37.0,88.3,1
1810267,5.93,39.5,44.0,93.3,0
1810268,7.04,27.2,46.0,106.3,1
1810269,3.74,73.6,36.0,121.8,1
1810270,5.92,32.7,76.0,53.5,1
1810271,4.21,31.4,43.0,86.7,0
1810272,5.04,25.8,71.0,102.2,0
1810273,4.15,30.0,36.0,121.5,0
1810274,5.34,58.3,56.0,97.7,1
1810275,5.06,55.0,34.0,68.1,0
1810276,3.87,35.1,8.0,66.2,0
1810277,5.09,47.4,34.0,127.1,1
1810278,3.53,23.0,63.0,83.3,1
1810279,4.17,27.2,53.0,107.0,1
1810280,2.55,57.0,52.0,58.6,1
1810281,5.71,65.7,54.0,135.6,1
1810282,3.45,73.8,41.0,95.4,0
1810283,4.2,42.2,38.0,86.4,1
1810284,3.44,58.5,54.0,121.5,1
1810285,6.64,27.8,48.0,105.6,1
1810286,4.4,21.4,37.0,114.1,0
1810287,4.22,43.1,24.0,62.5,0
1810288,3.31,28.7,49.0,81.9,0
1810289,4.05,19.1,47.0,115.9,1
1810290,3.96,25.8,49.0,86.7,0
1810291,2.47,55.0,54.0,100.0,0
1810292,6.77,38.7,15.0,114.3,1
1810293,4.56,44.5,54.0,104.4,1
1810294,1.04,39.1,39.0,83.1,1
1810295,4.55,61.3,25.0,102.3,1
1810296,4.78,50.9,5.0,93.6,1
1810297,2.21,52.3,30.0,127.7,0
1810298,3.96,,22.0,77.2,0
1810299,3.76,61.1,49.0,113.9,1
1810300,5.54,40.9,44.0,160.7,1
1810301,3.51,30.7,27.0,101.2,1
1810302,5.85,56.8,53.0,92.2,1
1810303,3.9,100.0,46.0,108.8,1
1810304,5.0,52.7,38.0,111.3,0
1810305,2.49,73.7,21.0,92.3,0
1810306,3.91,64.0,40.0,127.0,1
1810307,5.1,28.8,39.0,109.2,1
1810308,5.59,42.0,43.0,94.6,0
1810309,5.14,17.8,45.0,78.6,0
1810310,4.74,21.8,48.0,95.2,1
1810311,6.73,51.3,42.0,107.8,0
1810312,3.22,31.6,44.0,125.5,1
1810313,5.69,38.8,16.0,162.0,1
1810314,5.05,38.4,44.0,96.4,1
1810315,3.48,62.4,27.0,101.5,1
1810316,3.48,31.7,42.0,69.0,0
1810317,4.63,21.0,23.0,125.8,1
1810318,3.5,32.4,48.0,144.6,1
1810319,5.04,23.7,59.0,89.6,1
1810320,6.67,15.8,36.0,85.7,0
1810321,3.96,25.3,44.0,77.9,0
1810322,5.41,63.6,46.0,133.4,1
1810323,4.76,47.4,28.0,97.5,1
1810324,4.81,44.8,57.0,92.0,0
1810325,4.64,43.7,32.0,111.3,1
1810326,3.37,36.0,31.0,78.8,0
1810327,5.26,38.7,30.0,129.5,1
1810328,3.85,59.6,30.0,112.4,0
1810329,4.53,53.1,33.0,102.7,1
1810330,4.0,39.2,40.0,109.9,0
1810331,3.79,30.1,19.0,73.8,0
1810332,4.55,44.0,53.0,90.6,1
1810333,3.96,80.5,36.0,114.7,1
1810334,5.99,45.8,52.0,80.0,0
1810335,3.3,65.6,38.0,67.1,1
1810336,3.49,27.3,31.0,88.7,0
1810337,7.01,59.6,39.0,124.4,1
1810338,6.53,61.6,24.0,58.5,0
1810339,3.75,55.1,13.0,97.7,1
1810340,4.84,58.5,56.0,98.0,1
1810341,2.87,61.4,60.0,147.1,1
1810342,4.62,64.3,31.0,131.1,1
1810343,5.58,55.2,38.0,96.5,1
1810344,5.18,39.5,17.0,99.9,0
1810345,2.55,43.1,22.0,95.1,1
1810346,4.4,40.8,15.0,135.7,1
1810347,3.89,27.2,52.0,114.1,0
1810348,3.95,19.2,46.0,60.3,0
1810349,4.73,30.0,67.0,83.5,0
1810350,4.38,27.2,56.0,55.4,0
1810351,4.16,45.7,51.0,88.2,1
1810352,2.72,10.2,35.0,79.9,0
1810353,1.91,21.2,15.0,62.7,0
1810354,4.79,57.7,42.0,108.8,1
1810355,4.43,34.1,38.0,16.0,0
1810356,2.91,16.8,42.0,136.1,1
1810357,5.43,21.2,38.0,81.6,0
1810358,5.04,29.2,65.0,93.1,1
1810359,4.7,32.0,32.0,83.8,0
1810360,4.2,48.3,30.0,91.2,1
1810361,7.7,58.6,34.0,94.8,1
1810362,3.94,56.9,58.0,140.8,1
1810363,7.65,78.5,53.0,133.1,1
1810364,3.54,45.5,64.0,76.2,1
1810365,4.11,37.9,45.0,89.8,1
1810366,4.06,30.0,36.0,108.5,1
1810367,3.02,80.1,30.0,104.5,0
1810368,4.7,58.7,59.0,112.3,1
1810369,7.32,52.2,34.0,106.5,1
1810370,5.42,42.5,54.0,94.8,0
1810371,5.22,41.2,36.0,112.1,1
1810372,3.39,48.5,49.0,97.1,1
1810373,3.76,40.8,66.0,106.5,0
1810374,5.84,62.2,58.0,76.0,0
1810375,3.28,63.6,71.0,121.8,1
1810376,4.54,53.6,25.0,101.4,0
1810377,4.41,48.7,36.0,82.0,0
1810378,3.91,4.7,25.0,159.4,1
1810379,4.23,13.5,49.0,74.8,0
1810380,6.14,49.9,31.0,65.6,1
1810381,3.81,45.5,23.0,76.2,0
1810382,2.39,55.5,22.0,91.4,0
1810383,5.33,57.7,57.0,117.4,1
1810384,3.47,31.0,35.0,131.4,1
1810385,4.72,0.0,70.0,80.5,0
1810386,6.76,40.5,55.0,118.2,0
1810387,4.66,72.2,35.0,117.5,1
1810388,4.65,43.3,31.0,73.6,0
1810389,4.11,32.2,30.0,97.9,1
1810390,3.57,53.1,35.0,69.7,0
1810391,5.07,47.4,56.0,122.7,1
1810392,5.01,36.6,61.0,87.0,1
1810393,3.3,39.7,30.0,133.0,1
1810394,4.85,35.1,37.0,99.3,0
1810395,3.91,50.5,32.0,67.3,1
1810396,4.62,58.9,68.0,123.3,0
1810397,4.09,29.0,45.0,92.3,1
1810398,4.7,43.8,47.0,138.9,1
1810399,4.31,29.9,18.0,90.5,0
1810400,6.14,35.7,36.0,95.7,0
1810401,1.98,42.4,54.0,117.6,0
1810402,3.25,72.5,79.0,109.6,1
1810403,2.87,72.1,45.0,80.5,0
1810404,4.26,80.4,23.0,69.0,0
1810405,6.44,45.0,71.0,129.9,1
1810406,6.64,46.6,28.0,112.5,1
1810407,5.59,27.9,52.0,145.6,0
1810408,4.5,48.3,50.0,70.6,0
1810409,3.85,33.8,47.0,115.8,1
1810410,5.85,65.1,51.0,101.2,1
1810411,4.45,42.7,48.0,110.3,1
1810412,5.14,62.5,52.0,118.2,0
1810413,5.28,22.9,32.0,124.3,1
1810414,4.29,53.0,19.0,71.5,0
1810415,3.8,29.2,37.0,86.4,0
1810416,6.2,65.8,81.0,106.5,0
1810417,4.01,57.5,27.0,91.5,1
1810418,6.02,53.6,30.0,105.2,0
1810419,4.07,48.1,51.0,84.8,0
1810420,3.25,31.6,40.0,102.4,1
1810421,5.24,70.2,28.0,103.8,1
1810422,4.67,20.9,56.0,92.4,0
1810423,4.63,55.7,43.0,92.1,0
1810424,4.68,57.5,27.0,72.4,0
1810425,5.25,32.9,45.0,78.7,0
1810426,4.55,72.9,48.0,87.5,0
1810427,5.37,55.9,43.0,73.7,0
1810428,3.41,50.9,72.0,137.7,1
1810429,4.69,43.1,33.0,143.3,0
1810430,6.65,57.6,31.0,104.1,0
1810431,3.68,37.3,38.0,126.0,1
1810432,2.7,46.1,40.0,109.0,0
1810433,4.48,22.6,42.0,91.7,1
1810434,4.1,35.6,34.0,71.0,0
1810435,5.73,49.5,30.0,92.4,1
1810436,4.54,21.0,47.0,117.0,1
1810437,6.21,44.0,57.0,79.2,1
1810438,3.87,41.6,26.0,99.5,0
1810439,3.85,39.4,49.0,73.8,0
1810440,5.18,44.6,20.0,124.5,1
1810441,6.16,46.0,24.0,102.0,0
1810442,5.29,34.6,46.0,103.4,1
1810443,4.34,17.9,57.0,65.6,0
1810444,2.09,32.8,54.0,96.6,1
1810445,3.92,54.8,39.0,64.4,1
1810446,4.47,30.4,52.0,91.5,0
1810447,5.7,76.6,45.0,107.0,0
1810448,4.39,36.3,27.0,113.0,1
1810449,3.15,57.9,73.0,143.5,1
1810450,4.64,36.5,10.0,98.2,1
1810451,4.65,19.5,41.0,92.0,1
1810452,5.3,43.9,57.0,94.4,1
1810453,3.59,51.8,30.0,92.1,0
1810454,3.61,62.5,38.0,98.2,1
1810455,4.19,42.4,38.0,63.6,0
1810456,3.22,54.5,28.0,70.5,0
1810457,2.46,16.1,12.0,84.4,0
1810458,5.09,45.8,37.0,97.1,0
1810459,4.79,34.3,63.0,124.5,0
1810460,5.24,45.6,42.0,114.2,1
1810461,5.26,30.1,35.0,94.5,1
1810462,5.28,40.5,40.0,89.0,1
1810463,3.36,25.9,46.0,42.7,0
1810464,3.54,40.4,57.0,113.0,1
1810465,3.52,55.6,29.0,89.6,1
1810466,4.48,43.3,42.0,72.1,1
1810467,5.22,46.4,74.0,118.9,1
1810468,4.77,72.7,62.0,117.0,1
1810469,1.86,49.4,38.0,84.6,0
1810470,5.68,42.9,58.0,114.9,0
1810471,4.42,39.0,43.0,64.6,0
1810472,5.88,34.5,42.0,69.7,0
1810473,4.06,57.6,26.0,107.1,1
1810474,4.84,61.4,27.0,133.6,1
1810475,3.97,57.4,19.0,99.3,1
1810476,4.39,34.7,33.0,164.2,1
1810477,5.17,42.0,45.0,110.5,0
1810478,4.54,25.9,35.0,86.4,1
1810479,5.24,55.5,60.0,67.4,0
1810480,5.86,50.5,60.0,87.2,0
1810481,4.25,60.4,37.0,91.7,0
1810482,4.86,43.3,58.0,102.6,1
1810483,6.36,39.4,41.0,94.6,1
1810484,4.3,66.0,61.0,77.6,0
1810485,4.62,39.4,56.0,96.3,0
1810486,6.46,18.6,54.0,106.0,1
1810487,4.08,73.2,16.0,97.8,1
1810488,3.52,37.6,46.0,148.5,1
1810489,2.98,25.3,38.0,104.4,1
1810490,4.21,32.4,42.0,99.8,0
1810491,5.03,41.4,10.0,120.5,0
1810492,3.18,38.6,21.0,88.3,0
1810493,5.29,42.6,50.0,108.4,1
1810494,6.85,50.6,48.0,121.5,1
1810495,4.72,36.0,54.0,90.6,1
1810496,6.69,43.5,54.0,89.6,1
1810497,6.5,55.6,36.0,124.6,1
1810498,5.01,55.9,69.0,114.9,1
1810499,4.37,45.8,49.0,81.9,1
1810500,5.18,55.9,31.0,96.0,0
1810501,4.26,26.4,57.0,65.6,0
1810502,5.5,67.9,36.0,70.6,0
1810503,4.2,72.3,33.0,97.5,0
1810504,3.42,41.3,34.0,122.2,1
1810505,5.49,47.3,25.0,120.0,0
1810506,6.09,46.6,43.0,98.0,0
1810507,4.91,34.7,26.0,92.9,0
1810508,4.16,53.9,22.0,84.7,1
1810509,4.77,49.2,68.0,81.5,1
1810510,6.0,18.4,69.0,121.2,0
1810511,2.73,38.7,58.0,88.4,1
1810512,5.42,31.3,23.0,111.0,1
1810513,4.41,36.3,48.0,58.8,1
1810514,4.23,46.2,37.0,118.8,1
1810515,3.61,49.3,46.0,128.7,1
1810516,4.54,67.5,30.0,89.6,0
1810517,3.15,40.4,27.0,84.7,1
1810518,4.19,37.3,30.0,71.0,0
1810519,3.99,45.0,38.0,97.7,0
1810520,3.23,74.1,64.0,82.4,0
1810521,2.22,27.2,40.0,55.0,0
1810522,3.65,51.5,58.0,148.4,1
1810523,3.64,63.1,63.0,97.2,0
1810524,4.89,25.2,55.0,90.0,0
1810525,4.91,28.1,53.0,102.8,0
1810526,3.97,66.7,28.0,109.2,0
1810527,2.68,26.8,19.0,105.5,1
1810528,1.56,44.8,55.0,103.7,1
1810529,2.47,22.9,29.0,104.4,0
1810530,2.68,49.1,34.0,102.5,1
1810531,4.18,66.5,93.0,85.1,0
1810532,3.66,46.3,46.0,109.4,0
1810533,3.54,33.8,60.0,67.8,1
1810534,6.02,38.3,33.0,120.6,0
1810535,4.28,50.0,32.0,118.5,0
1810536,3.26,55.2,27.0,90.0,0
1810537,3.48,57.2,66.0,38.7,0
1810538,2.03,32.0,40.0,79.0,0
1810539,7.42,37.5,28.0,72.2,0
1810540,5.02,44.0,51.0,103.9,1
1810541,5.18,40.7,50.0,123.2,1
1810542,4.36,57.7,62.0,96.8,0
1810543,5.15,66.6,50.0,107.2,1
1810544,4.01,21.7,40.0,97.0,0
1810545,6.06,22.8,52.0,80.7,0
1810546,3.54,55.8,35.0,59.6,0
1810547,5.92,39.3,57.0,118.8,1
1810548,5.72,73.4,70.0,74.7,1
1810549,4.25,54.3,43.0,117.8,0
1810550,3.28,11.7,36.0,116.7,1
1810551,5.27,42.5,46.0,37.9,0
1810552,4.43,35.6,34.0,62.2,0
1810553,4.07,77.8,41.0,73.7,1
1810554,5.94,41.0,17.0,97.1,0
1810555,5.76,30.5,52.0,102.0,1
1810556,4.68,45.5,35.0,121.6,1
1810557,3.03,36.7,46.0,46.2,0
1810558,5.54,62.2,28.0,152.8,1
1810559,4.96,56.7,10.0,73.6,0
1810560,4.92,40.1,33.0,105.6,1
1810561,4.12,55.8,46.0,67.3,0
1810562,4.7,27.9,42.0,158.5,1
1810563,4.28,50.7,41.0,160.7,1
1810564,5.22,26.8,56.0,88.8,1
1810565,3.92,77.9,25.0,75.6,0
1810566,4.46,47.2,44.0,85.8,1
1810567,4.02,58.8,27.0,107.1,1
1810568,6.71,71.4,35.0,75.8,0
1810569,4.38,70.8,31.0,48.7,0
1810570,5.16,58.0,52.0,119.4,1
1810571,4.18,45.0,50.0,105.8,1
1810572,5.7,28.7,55.0,107.0,0
1810573,3.76,30.0,57.0,97.0,1
1810574,4.67,26.0,32.0,94.4,0
1810575,0.62,24.7,28.0,102.0,0
1810576,3.58,36.6,34.0,87.5,0
1810577,4.46,52.7,8.0,145.5,1
1810578,4.85,31.9,48.0,115.5,1
1810579,3.75,54.9,46.0,91.9,1
1810580,3.08,28.6,37.0,65.9,0
1810581,3.82,47.2,39.0,103.4,1
1810582,6.02,33.8,11.0,85.5,0
1810583,3.39,54.3,44.0,102.5,0
1810584,4.47,12.4,61.0,97.0,1
1810585,4.29,47.4,31.0,106.9,0
1810586,5.25,36.3,42.0,73.2,0
1810587,4.24,44.0,64.0,82.4,0
1810588,4.01,55.4,57.0,92.7,0
1810589,4.67,59.6,31.0,121.5,1
1810590,4.29,30.2,38.0,136.4,0
1810591,2.92,39.5,49.0,103.3,1
1810592,5.15,59.3,41.0,91.4,0
1810593,5.47,79.3,32.0,81.3,0
1810594,4.91,63.9,22.0,75.3,0
1810595,3.82,41.0,48.0,114.1,1
1810596,5.31,57.5,32.0,82.4,1
1810597,4.52,,34.0,87.4,1
1810598,4.26,39.0,48.0,100.4,1
1810599,5.39,57.8,38.0,156.7,1
1810600,5.17,43.7,51.0,66.9,0
1810601,6.15,8.7,22.0,160.6,1
1810602,5.3,55.1,49.0,114.6,0
1810603,4.79,29.5,32.0,99.2,0
1810604,4.67,79.0,31.0,164.5,0
1810605,6.91,47.0,51.0,95.6,0
1810606,5.14,65.5,30.0,136.0,1
1810607,2.3,45.2,58.0,94.6,0
1810608,5.69,59.5,45.0,69.2,1
1810609,4.43,58.2,35.0,92.0,0
1810610,2.16,39.0,33.0,99.7,1
1810611,5.74,45.5,56.0,88.7,0
1810612,4.89,60.2,55.0,113.9,1
1810613,3.14,53.9,47.0,132.7,1
1810614,4.75,58.3,22.0,106.6,1
1810615,4.17,61.8,63.0,97.2,0
1810616,5.24,37.2,54.0,84.6,1
1810617,4.89,27.4,14.0,65.8,1
1810618,4.01,69.8,55.0,116.7,1
1810619,3.41,56.6,31.0,100.5,0
1810620,4.63,51.7,33.0,107.1,1
1810621,3.97,47.4,50.0,98.9,1
1810622,6.35,21.6,15.0,43.2,0
1810623,3.78,22.4,51.0,79.7,1
1810624,5.06,39.8,43.0,78.1,0
1810625,4.6,50.0,54.0,96.5,1
1810626,4.64,41.9,45.0,66.7,0
1810627,5.52,62.1,47.0,98.9,1
1810628,6.4,32.8,41.0,66.5,0
1810629,5.12,18.5,23.0,76.4,0
1810630,4.03,46.2,17.0,134.4,1
1810631,4.89,64.5,71.0,36.8,0
1810632,6.34,41.5,72.0,109.7,1
