Date,Steps,ActiveMinutes,HeartRate_Avg,SleepHours,SleepQuality
2023-05-26,5009,56,61,6.2,7
2023-05-27,5059,62,64,5.6,8
2023-05-28,13691,153,84,6.0,5
2023-05-29,9726,100,82,6.7,7
2023-05-30,4691,66,68,8.5,9
2023-05-31,3722,47,62,6.0,6
2023-06-01,6763,76,83,7.9,8
2023-06-02,2442,34,79,5.7,7
2023-06-03,7861,84,63,6.4,5
2023-06-04,3957,39,64,7.9,7
2023-06-05,3862,47,60,5.4,4
2023-06-06,10377,101,77,8.4,9
2023-06-07,4560,47,83,7.7,8
2023-06-08,8828,100,77,7.3,10
2023-06-09,7764,79,84,8.0,9
2023-06-10,5304,61,69,5.7,6
2023-06-11,12802,135,64,5.7,6
2023-06-12,5604,63,69,7.8,8
2023-06-13,11224,118,60,6.9,7
2023-06-14,8381,97,81,7.4,7
2023-06-15,10767,116,80,5.4,5
2023-06-16,4388,47,81,6.3,6
2023-06-17,6924,72,62,5.3,5
2023-06-18,6352,68,80,6.8,8
2023-06-19,7970,89,81,9.0,10
2023-06-20,9179,100,69,4.6,5
2023-06-21,13091,151,75,8.6,10
2023-06-22,9503,101,61,8.8,9
2023-06-23,11594,128,67,7.6,7
2023-06-24,11487,123,72,5.6,6
2023-06-25,8587,94,81,5.9,7
2023-06-26,11096,124,83,5.9,6
2023-06-27,11087,121,61,7.8,8
2023-06-28,9915,111,78,6.9,7
2023-06-29,10900,119,62,7.9,9
2023-06-30,13825,140,68,6.2,7
2023-07-01,5095,54,73,5.3,6
2023-07-02,10529,123,79,7.5,7
2023-07-03,8350,97,63,6.0,7
2023-07-04,8676,91,76,7.3,7
2023-07-05,12415,130,76,7.3,7
2023-07-06,8486,98,82,7.7,8
2023-07-07,4522,52,76,6.3,5
2023-07-08,9042,108,65,6.2,6
2023-07-09,7720,87,62,8.5,10
2023-07-10,7430,88,76,6.7,7
2023-07-11,17819,198,60,6.4,7
2023-07-12,11775,119,61,7.5,7
2023-07-13,8989,97,65,8.3,8
2023-07-14,14512,150,71,7.0,7
2023-07-15,10603,124,65,6.3,7
2023-07-16,11906,120,78,6.9,8
2023-07-17,8298,97,79,7.5,7
2023-07-18,11195,124,71,6.5,6
2023-07-19,13246,134,71,6.9,6
2023-07-20,14776,150,71,6.6,7
2023-07-21,6591,71,60,8.2,9
2023-07-22,9372,98,66,6.8,5
2023-07-23,6846,82,67,6.2,6
2023-07-24,6700,82,69,6.3,6
2023-07-25,6357,76,75,7.7,9
2023-07-26,9259,103,78,7.4,8
2023-07-27,16238,174,70,5.4,6
2023-07-28,14377,141,66,8.0,8
2023-07-29,6968,80,76,7.1,7
2023-07-30,17095,181,66,7.2,6
2023-07-31,11192,117,83,8.6,9
2023-08-01,4154,56,79,8.0,8
2023-08-02,15610,167,71,6.6,7
2023-08-03,13667,138,62,4.0,4
2023-08-04,5087,58,68,6.5,6
2023-08-05,4515,56,74,6.5,6
2023-08-06,17524,197,71,6.8,8
2023-08-07,11992,129,68,6.8,7
2023-08-08,8465,96,83,7.8,7
2023-08-09,4703,57,65,8.2,8
2023-08-10,4991,49,74,7.9,7
2023-08-11,4910,63,62,6.7,7
2023-08-12,13883,143,73,7.4,8
2023-08-13,14437,152,64,6.3,6
2023-08-14,5848,71,83,7.3,8
2023-08-15,9730,104,77,8.3,9
2023-08-16,10595,128,60,8.1,9
2023-08-17,18189,186,69,4.3,3
2023-08-18,12639,141,77,8.2,9
2023-08-19,5894,56,72,6.9,6
2023-08-20,6555,76,78,6.7,6
2023-08-21,8730,99,84,6.9,8
2023-08-22,7757,83,72,4.8,4
2023-08-23,7495,78,75,6.4,7
2023-08-24,11415,124,66,7.8,7
2023-08-25,17108,180,62,7.0,6
2023-08-26,9972,109,69,8.2,8
2023-08-27,5132,69,71,6.7,8
2023-08-28,4833,73,69,7.6,8
2023-08-29,5866,69,72,7.3,8
2023-08-30,5856,57,63,7.4,7
2023-08-31,11892,127,81,5.9,5
2023-09-01,5473,63,71,7.5,7
2023-09-02,14881,160,74,5.2,4
2023-09-03,8411,95,62,6.5,6
2023-09-04,14160,150,78,7.0,7
2023-09-05,10099,109,61,7.8,9
2023-09-06,7176,85,72,7.5,9
2023-09-07,14876,160,83,7.2,9
2023-09-08,3797,43,66,7.0,8
2023-09-09,11507,132,76,5.9,7
2023-09-10,7646,93,79,6.9,7
2023-09-11,7201,82,79,7.7,9
2023-09-12,3624,39,71,7.8,9
2023-09-13,7660,76,60,7.9,7
2023-09-14,13022,141,82,8.0,8
2023-09-15,12312,140,64,4.7,5
2023-09-16,7075,80,64,6.7,7
2023-09-17,12220,136,83,6.9,6
2023-09-18,6050,69,80,8.2,8
2023-09-19,7037,76,73,7.9,8
2023-09-20,11954,123,83,6.6,7
2023-09-21,10325,117,65,8.3,9
2023-09-22,11479,125,80,7.6,8
2023-09-23,5923,73,84,7.4,9
2023-09-24,10388,120,77,8.8,10
2023-09-25,5379,59,80,6.3,8
2023-09-26,13271,130,60,6.3,6
2023-09-27,6094,71,69,8.4,9
2023-09-28,11301,124,71,5.4,6
2023-09-29,5474,56,84,7.2,8
2023-09-30,7041,79,84,7.1,7
2023-10-01,7098,82,66,7.8,9
2023-10-02,14456,148,62,8.1,8
2023-10-03,12477,138,72,7.1,7
2023-10-04,4461,53,82,8.6,8
2023-10-05,1821,28,76,5.4,5
2023-10-06,9811,103,83,5.4,5
2023-10-07,10126,117,69,8.0,9
2023-10-08,6227,78,62,6.5,7
2023-10-09,19996,212,84,5.9,7
2023-10-10,7310,75,75,6.5,6
2023-10-11,4041,42,80,6.2,7
2023-10-12,4513,60,80,9.1,10
2023-10-13,18557,203,64,7.4,7
2023-10-14,10359,112,70,7.6,7
2023-10-15,12517,125,64,6.3,6
2023-10-16,6091,61,74,7.0,7
2023-10-17,5985,77,72,6.7,7
2023-10-18,6537,69,81,7.3,8
2023-10-19,3811,57,84,6.3,7
2023-10-20,11097,112,83,6.7,8
2023-10-21,9896,103,68,8.5,10
2023-10-22,8798,89,68,7.7,9
2023-10-23,6823,80,72,5.4,6
2023-10-24,7154,82,72,7.4,7
2023-10-25,3178,49,60,6.8,7
2023-10-26,7925,89,67,6.8,8
2023-10-27,6228,75,66,6.6,6
2023-10-28,7217,83,65,6.5,5
2023-10-29,9355,98,76,7.1,7
2023-10-30,11840,124,69,7.9,9
2023-10-31,7439,90,81,7.5,7
2023-11-01,3375,41,62,6.8,8
2023-11-02,9744,115,84,7.0,8
2023-11-03,10760,111,81,7.2,8
2023-11-04,7105,77,81,7.3,8
2023-11-05,3178,46,65,7.8,9
2023-11-06,10506,116,61,4.3,3
2023-11-07,8375,95,62,7.9,7
2023-11-08,3868,62,81,7.4,7
2023-11-09,6018,70,84,6.8,8
2023-11-10,11684,134,82,8.1,9
2023-11-11,7333,86,71,6.8,7
2023-11-12,10943,118,73,5.6,6
2023-11-13,10530,117,74,6.8,7
2023-11-14,7706,99,62,7.9,8
2023-11-15,11307,120,74,6.7,6
2023-11-16,8138,91,67,8.5,9
2023-11-17,9514,96,81,6.3,7
2023-11-18,7577,79,83,7.3,8
2023-11-19,10637,113,77,7.8,8
2023-11-20,8726,101,66,7.1,7
2023-11-21,8818,98,65,9.3,10
2023-11-22,17139,173,61,6.8,6
2023-11-23,12821,139,73,7.8,8
2023-11-24,23097,237,62,6.2,7
2023-11-25,5091,67,65,7.0,7
2023-11-26,13363,141,60,7.7,9
2023-11-27,10109,111,61,7.6,8
2023-11-28,6602,75,70,8.9,9
2023-11-29,10502,115,77,7.1,9
2023-11-30,8322,93,66,4.5,4
2023-12-01,9508,103,79,7.6,7
2023-12-02,10615,111,79,6.4,7
2023-12-03,5099,56,79,8.7,9
2023-12-04,5341,56,79,8.4,8
2023-12-05,16830,186,74,7.7,9
2023-12-06,6249,70,79,7.9,10
2023-12-07,7577,88,80,7.0,7
2023-12-08,10818,126,72,6.4,6
2023-12-09,6586,69,71,7.5,9
2023-12-10,6924,73,79,5.6,6
2023-12-11,10118,110,63,7.7,7
2023-12-12,6621,75,77,5.8,6
2023-12-13,5528,63,79,7.8,8
2023-12-14,4610,59,68,7.4,9
2023-12-15,8659,92,83,7.2,8
2023-12-16,9420,103,60,5.0,5
2023-12-17,3959,53,62,7.8,8
2023-12-18,6938,75,67,6.6,7
2023-12-19,4550,53,67,6.8,8
2023-12-20,7710,90,69,6.6,7
2023-12-21,7260,82,75,8.0,8
2023-12-22,7618,86,80,6.2,5
2023-12-23,6738,78,73,7.5,8
2023-12-24,11551,137,67,7.6,9
2023-12-25,17868,184,67,5.4,6
2023-12-26,5702,78,80,7.9,8
2023-12-27,4577,57,76,7.7,7
2023-12-28,5089,66,66,7.4,7
2023-12-29,3911,58,64,8.6,9
2023-12-30,14978,157,60,6.5,7
2023-12-31,11673,138,77,6.8,7
