TowerID,TrafficLoad_Percent,PacketLoss,SignalStrength_dBm,Latency_ms
910104,64.6,0.0,-82,43.9
910105,81.4,0.42,-109,55.2
910106,71.4,0.0,-83,47.0
910107,10.6,0.0,-73,26.3
910108,15.5,0.0,-104,31.1
910109,51.0,0.0,-73,39.0
910110,65.8,0.0,-95,44.1
910111,45.7,0.0,-81,38.7
910112,84.0,0.68,-83,56.0
910113,76.7,0.0,-102,55.8
910114,19.3,0.0,-79,27.2
910115,77.5,0.0,-74,45.6
910116,61.4,0.0,-85,49.2
910117,8.0,0.0,-84,27.6
910118,60.8,0.0,-85,44.2
910119,44.0,0.0,-75,35.3
910120,58.9,0.0,-104,53.2
910121,94.7,2.09,-52,70.5
910122,77.1,,-109,51.5
910123,87.8,1.77,-102,69.9
910124,75.9,0.0,-64,47.0
910125,10.8,0.0,-70,18.7
910126,73.6,0.0,-93,48.5
910127,32.2,0.0,-96,31.6
910128,41.5,0.0,-79,37.2
910129,14.2,0.0,-91,22.8
910130,85.1,2.19,-82,75.0
910131,90.5,2.39,-91,70.4
910132,53.7,0.0,-71,46.9
910133,91.4,1.93,-98,70.7
910134,36.6,0.0,-97,33.3
910135,35.4,0.0,-68,36.2
910136,83.2,0.35,-72,58.0
910137,8.2,0.0,-52,17.9
910138,66.0,0.0,-80,44.7
910139,43.3,0.0,-79,40.5
910140,90.3,4.36,-63,84.9
910141,24.0,0.0,-67,30.5
910142,91.9,2.38,-92,74.6
910143,66.6,0.0,-72,41.8
910144,30.2,0.0,-58,27.6
910145,58.9,,-86,42.8
910146,87.2,4.34,-79,86.3
910147,49.8,0.0,-92,39.2
910148,23.1,0.0,-74,26.9
910149,13.3,0.0,-69,20.5
910150,27.5,0.0,-53,29.8
910151,59.5,0.0,-95,43.8
910152,18.5,0.0,-71,26.9
910153,73.2,0.0,-76,45.3
910154,55.9,0.0,-103,42.5
910155,21.2,0.0,-68,25.6
910156,20.0,0.0,-104,32.9
910157,31.6,0.0,-53,33.1
910158,76.5,0.0,-60,53.1
910159,66.3,0.0,-89,50.5
910160,55.4,0.0,-108,45.5
910161,34.7,0.0,-109,33.9
910162,64.8,0.0,-79,48.7
910163,67.2,0.0,-69,45.8
910164,38.4,0.0,-58,29.8
910165,50.3,0.0,-82,42.6
910166,55.8,0.0,-74,42.5
910167,13.6,0.0,-74,29.7
910168,57.4,0.0,-94,44.0
910169,33.9,0.0,-88,30.7
910170,78.2,0.0,-51,44.2
910171,18.8,0.0,-53,26.4
910172,72.9,0.0,-90,45.3
910173,54.0,0.0,-68,39.7
910174,13.4,0.0,-109,33.1
910175,56.0,0.0,-89,44.7
910176,13.4,0.0,-101,29.3
910177,22.7,0.0,-71,26.9
910178,98.3,3.63,-92,82.3
910179,18.7,0.0,-54,27.8
910180,27.8,0.0,-105,38.1
910181,15.3,0.0,-78,22.3
910182,45.5,0.0,-62,33.3
910183,8.5,0.0,-69,26.0
910184,48.8,0.0,-51,35.9
910185,25.5,0.0,-86,30.9
910186,18.5,0.0,-62,23.8
910187,37.5,0.0,-77,45.0
910188,22.3,0.0,-103,27.8
910189,53.4,0.0,-108,45.0
910190,56.0,0.0,-54,41.0
910191,39.7,0.0,-53,38.9
910192,76.2,0.0,-99,48.0
910193,40.0,0.0,-107,39.0
910194,37.9,0.0,-98,40.8
910195,7.0,0.0,-105,28.1
910196,22.6,0.0,-56,31.6
910197,71.6,0.0,-72,45.4
910198,58.8,0.0,-59,43.9
910199,37.4,0.0,-76,36.5
910200,84.1,3.95,-106,85.3
910201,87.1,0.73,-66,58.0
910202,11.6,0.0,-89,27.3
910203,52.0,0.0,-67,39.7
910204,20.8,0.0,-107,34.1
910205,90.6,2.32,-84,76.4
910206,77.2,0.0,-75,49.3
910207,27.3,0.0,-74,28.9
910208,80.4,4.16,-52,79.8
910209,63.0,0.0,-65,40.4
910210,63.6,0.0,-85,49.4
910211,56.1,0.0,-82,42.0
910212,72.3,0.0,-86,45.4
910213,22.0,0.0,-93,33.7
910214,81.6,0.96,-86,58.3
910215,12.8,0.0,-107,29.8
910216,90.9,0.58,-94,58.4
910217,79.9,0.0,-65,49.1
910218,81.7,0.92,-72,55.8
910219,45.2,0.0,-61,34.1
910220,38.6,0.0,-61,32.3
910221,12.2,0.0,-101,24.9
910222,32.9,0.0,-104,35.8
910223,27.5,0.0,-68,32.0
910224,77.3,0.0,-79,53.1
910225,34.5,0.0,-106,35.9
910226,39.1,0.0,-108,36.3
910227,43.0,0.0,-62,43.1
910228,79.7,0.0,-82,51.7
910229,24.1,0.0,-106,35.3
910230,79.9,0.0,-66,50.1
910231,86.4,0.66,-106,59.4
910232,6.4,0.0,-85,26.2
910233,90.4,3.88,-62,85.6
910234,77.6,0.0,-66,45.8
910235,65.5,0.0,-86,46.7
910236,27.6,0.0,-70,24.1
910237,46.1,0.0,-88,36.7
910238,69.4,0.0,-65,45.1
910239,30.7,0.0,-99,34.9
910240,21.1,0.0,-101,31.7
910241,90.0,2.05,-77,69.4
910242,49.1,0.0,-84,37.7
910243,54.6,0.0,-89,42.3
910244,20.3,0.0,-72,21.5
910245,57.2,0.0,-83,43.7
910246,41.2,0.0,-53,34.8
910247,48.5,0.0,-67,36.2
910248,31.6,0.0,-96,37.8
910249,6.3,0.0,-73,26.0
910250,78.0,0.0,-52,42.6
910251,67.8,0.0,-98,50.5
910252,98.7,3.13,-64,78.8
910253,46.4,0.0,-78,33.4
910254,11.9,0.0,-53,20.7
910255,87.1,1.67,-89,62.6
910256,66.6,0.0,-83,47.6
910257,93.2,3.6,-53,78.0
910258,77.0,0.0,-85,50.6
910259,61.1,0.0,-62,36.6
910260,18.0,0.0,-56,25.0
910261,58.6,0.0,-97,43.5
910262,8.4,0.0,-55,21.4
910263,68.0,0.0,-84,51.9
910264,57.8,0.0,-60,41.7
910265,45.6,0.0,-89,42.8
910266,19.2,0.0,-107,33.5
910267,37.0,0.0,-85,42.3
910268,94.0,4.17,-103,90.9
910269,46.8,0.0,-57,39.3
910270,9.3,0.0,-93,24.8
910271,10.6,0.0,-52,22.2
910272,80.5,2.31,-51,67.9
910273,94.0,3.96,-73,90.2
910274,93.3,2.34,-90,72.9
910275,55.3,0.0,-51,38.5
910276,35.5,0.0,-91,35.3
910277,61.9,0.0,-102,47.2
910278,73.8,0.0,-72,48.0
910279,75.9,0.0,-71,50.9
910280,19.6,0.0,-76,30.4
910281,44.6,0.0,-73,33.0
910282,72.4,0.0,-94,49.2
910283,87.8,4.32,-98,90.4
910284,32.4,0.0,-95,32.4
910285,30.4,0.0,-76,28.9
910286,59.5,0.0,-99,50.6
910287,57.4,,-61,40.4
910288,71.3,0.0,-103,48.6
910289,37.3,0.0,-83,31.2
910290,29.8,0.0,-95,41.6
910291,31.5,0.0,-108,37.0
910292,30.2,0.0,-81,30.5
910293,5.5,0.0,-87,21.6
910294,58.7,0.0,-110,46.8
910295,9.1,0.0,-89,26.1
910296,66.8,0.0,-77,41.5
910297,60.8,0.0,-54,41.8
910298,94.6,0.32,-103,62.5
910299,23.0,0.0,-78,29.0
910300,29.0,0.0,-102,33.0
910301,68.2,0.0,-85,46.4
910302,93.7,0.42,-55,59.2
910303,83.0,2.55,-91,75.4
910304,91.0,2.73,-108,79.8
910305,39.9,0.0,-101,40.2
910306,74.2,0.0,-64,47.3
910307,28.7,0.0,-52,28.6
910308,44.1,0.0,-63,39.6
910309,24.2,0.0,-85,33.8
910310,64.3,0.0,-66,42.4
910311,12.3,0.0,-67,29.8
910312,47.2,0.0,-76,39.6
910313,27.2,0.0,-63,34.3
910314,98.1,4.18,-88,96.5
910315,55.7,0.0,-52,34.2
910316,51.1,0.0,-102,42.1
910317,79.1,0.0,-78,52.2
910318,69.1,0.0,-73,47.8
910319,58.8,0.0,-77,42.3
910320,55.8,0.0,-107,41.3
910321,72.6,0.0,-97,55.0
910322,77.9,0.0,-73,50.4
910323,68.2,0.0,-58,41.0
910324,63.0,0.0,-110,46.6
910325,64.9,0.0,-63,40.7
910326,73.2,0.0,-63,44.8
910327,45.2,0.0,-86,40.8
910328,78.1,0.0,-86,50.7
910329,96.5,3.83,-74,83.2
910330,60.7,0.0,-101,43.4
910331,44.9,0.0,-65,37.2
910332,17.5,0.0,-100,30.8
910333,73.1,0.0,-99,52.3
910334,92.3,0.38,-82,56.6
910335,32.1,0.0,-90,34.8
910336,45.7,0.0,-66,39.8
910337,39.4,0.0,-73,38.4
910338,71.2,0.0,-52,46.9
910339,82.8,3.29,-68,73.0
910340,48.9,0.0,-109,46.2
910341,40.0,0.0,-57,29.7
910342,35.3,0.0,-103,31.7
910343,13.9,0.0,-54,26.8
910344,53.6,0.0,-95,38.3
910345,94.3,0.49,-59,54.7
910346,88.5,3.72,-51,80.7
910347,20.5,0.0,-92,33.1
910348,98.0,2.07,-59,80.0
910349,40.8,0.0,-70,35.2
910350,84.8,0.58,-108,61.0
910351,53.7,0.0,-71,41.0
910352,89.4,4.37,-83,87.6
910353,91.5,3.68,-90,89.3
910354,56.3,0.0,-89,41.8
910355,20.0,0.0,-106,28.3
910356,78.1,0.0,-63,52.6
910357,23.3,0.0,-89,29.6
910358,73.4,0.0,-101,51.6
910359,90.9,3.36,-80,77.1
910360,8.7,0.0,-58,22.4
910361,9.5,0.0,-55,20.8
910362,25.4,0.0,-87,30.6
910363,73.4,0.0,-71,51.8
910364,78.6,0.0,-83,50.6
910365,7.1,0.0,-77,24.3
910366,54.4,0.0,-101,44.2
910367,24.1,0.0,-60,27.6
910368,76.1,0.0,-101,54.8
910369,13.8,0.0,-73,29.9
910370,71.3,0.0,-56,48.4
910371,75.4,0.0,-72,45.3
910372,49.3,0.0,-79,32.9
910373,68.5,0.0,-87,45.4
910374,64.8,0.0,-104,49.3
910375,69.6,0.0,-56,46.7
910376,44.4,0.0,-82,33.5
910377,28.2,0.0,-81,36.3
910378,25.8,0.0,-69,31.9
910379,68.9,0.0,-64,45.0
910380,77.2,0.0,-104,51.8
910381,30.1,0.0,-95,33.2
910382,17.2,0.0,-62,24.7
910383,16.6,0.0,-76,22.4
910384,62.4,0.0,-51,42.5
910385,51.9,0.0,-82,44.0
910386,32.1,0.0,-81,35.8
910387,51.0,0.0,-93,40.9
910388,29.9,0.0,-68,31.9
910389,50.9,0.0,-107,45.0
910390,13.7,0.0,-80,29.1
910391,56.9,0.0,-90,42.3
910392,96.0,0.8,-61,61.1
910393,85.6,2.19,-110,70.6
910394,87.3,3.24,-107,82.6
910395,6.2,0.0,-69,27.8
910396,79.2,0.0,-78,53.3
910397,86.6,4.24,-76,86.9
910398,33.0,0.0,-89,32.4
910399,36.5,0.0,-104,28.2
910400,7.6,0.0,-104,26.2
910401,36.3,0.0,-62,34.2
910402,36.0,0.0,-60,37.0
910403,54.4,0.0,-105,50.7
910404,9.2,0.0,-85,19.9
910405,23.3,0.0,-84,32.8
910406,78.7,0.0,-79,51.8
910407,34.7,0.0,-76,32.7
910408,63.8,0.0,-91,46.3
910409,96.4,2.91,-90,80.2
910410,95.7,1.26,-96,64.9
910411,13.3,0.0,-93,26.8
910412,63.5,0.0,-91,50.1
910413,84.6,0.35,-74,57.2
910414,94.3,1.04,-52,61.0
910415,16.4,0.0,-62,23.5
910416,41.5,0.0,-87,38.5
910417,36.4,0.0,-75,32.7
910418,75.1,0.0,-93,52.4
910419,43.3,0.0,-95,40.5
910420,52.6,0.0,-108,40.6
910421,74.5,0.0,-64,49.8
910422,93.0,0.15,-83,53.9
910423,19.0,0.0,-65,26.2
910424,43.7,0.0,-88,41.5
910425,48.1,0.0,-71,40.9
910426,45.6,0.0,-75,36.5
910427,32.1,0.0,-99,35.7
910428,10.7,0.0,-61,27.1
910429,31.9,0.0,-104,37.0
910430,78.5,0.0,-62,47.7
910431,11.3,0.0,-82,31.2
910432,28.2,0.0,-76,35.1
910433,30.3,0.0,-95,33.8
910434,39.0,0.0,-83,39.9
910435,45.2,0.0,-77,40.4
910436,66.8,0.0,-100,49.0
910437,17.1,0.0,-76,31.8
910438,89.9,4.17,-96,87.7
910439,36.2,0.0,-70,33.9
910440,12.2,0.0,-74,30.1
910441,43.9,0.0,-104,37.5
910442,97.2,0.9,-84,67.6
910443,41.0,0.0,-70,38.2
910444,82.3,2.22,-65,69.2
910445,58.6,0.0,-52,35.1
910446,26.6,0.0,-94,31.7
910447,56.2,0.0,-77,36.9
910448,34.9,0.0,-69,32.7
910449,76.2,0.0,-74,48.1
910450,32.8,0.0,-71,33.0
910451,23.7,0.0,-68,25.8
910452,85.2,3.21,-83,77.2
910453,14.1,0.0,-55,24.3
910454,37.0,0.0,-65,34.5
910455,73.7,0.0,-81,50.1
910456,98.7,3.07,-74,83.3
910457,27.4,0.0,-53,25.6
910458,40.6,0.0,-99,39.5
910459,15.4,0.0,-88,33.0
910460,5.4,0.0,-103,28.9
910461,17.0,0.0,-93,30.9
910462,79.9,0.0,-91,56.6
910463,82.6,1.14,-106,64.3
910464,86.1,4.12,-78,84.5
910465,68.2,0.0,-84,50.0
910466,24.6,0.0,-85,36.1
910467,24.4,0.0,-72,34.3
910468,41.1,0.0,-81,39.9
910469,60.2,0.0,-79,42.3
910470,51.1,0.0,-53,37.6
910471,6.9,0.0,-108,25.1
910472,38.3,0.0,-98,35.7
910473,28.7,0.0,-79,36.4
910474,38.1,0.0,-74,36.9
910475,33.1,0.0,-72,34.7
910476,35.8,0.0,-105,41.7
910477,69.5,0.0,-59,46.4
910478,42.7,0.0,-93,39.1
910479,51.6,0.0,-57,37.2
910480,8.4,0.0,-73,25.9
910481,92.1,2.15,-72,69.9
910482,6.4,0.0,-108,27.2
910483,48.1,0.0,-102,40.5
910484,7.5,0.0,-63,27.0
910485,12.5,0.0,-69,27.6
910486,33.7,0.0,-66,31.1
910487,44.5,0.0,-59,36.9
910488,75.2,0.0,-106,58.3
910489,48.8,0.0,-75,37.0
910490,70.4,0.0,-85,44.6
910491,43.6,0.0,-103,39.7
910492,77.4,0.0,-103,52.9
910493,29.3,0.0,-109,38.6
910494,54.4,0.0,-85,46.5
910495,47.1,0.0,-110,36.6
910496,42.3,0.0,-67,41.9
910497,84.4,0.32,-54,48.9
910498,75.1,0.0,-110,52.6
910499,26.2,0.0,-53,29.1
910500,46.9,0.0,-89,41.1
910501,28.3,0.0,-72,27.8
910502,95.0,1.8,-66,73.9
910503,66.4,0.0,-59,46.7
910504,86.6,1.82,-86,70.3
910505,97.8,0.99,-74,65.5
910506,77.4,0.0,-67,44.4
910507,86.3,,-80,77.5
910508,23.0,0.0,-77,32.5
910509,58.3,0.0,-101,42.2
910510,54.0,0.0,-89,40.7
910511,33.3,0.0,-81,37.5
910512,95.2,1.87,-66,71.0
910513,84.5,3.1,-104,82.6
910514,63.0,0.0,-77,43.2
910515,14.5,0.0,-94,26.2
910516,50.8,0.0,-52,39.5
910517,18.8,0.0,-104,31.4
910518,59.9,0.0,-100,47.8
910519,64.8,0.0,-54,41.7
910520,95.0,2.84,-82,79.9
910521,69.8,0.0,-52,44.2
910522,20.0,0.0,-105,30.3
910523,90.2,1.38,-97,64.0
910524,31.0,0.0,-75,32.5
910525,95.9,1.42,-81,71.7
910526,72.3,0.0,-106,50.5
910527,96.4,1.08,-56,68.8
910528,86.6,3.84,-107,84.9
910529,95.4,3.1,-95,77.6
910530,42.9,0.0,-104,39.3
910531,55.8,0.0,-91,46.7
910532,71.1,0.0,-56,41.3
910533,56.5,0.0,-110,49.0
910534,51.0,0.0,-90,43.8
910535,41.7,0.0,-92,36.9
910536,13.6,0.0,-64,28.0
910537,42.4,0.0,-68,41.5
910538,61.6,0.0,-65,39.0
910539,13.5,0.0,-105,31.0
910540,33.7,0.0,-55,36.0
910541,88.4,1.21,-55,62.8
910542,33.8,0.0,-82,34.7
910543,46.3,0.0,-78,42.1
910544,47.7,0.0,-92,39.9
910545,49.0,0.0,-70,46.3
910546,93.2,0.98,-77,65.1
910547,58.2,0.0,-81,40.1
910548,6.1,0.0,-88,22.0
910549,19.7,0.0,-95,32.2
910550,41.1,0.0,-108,37.7
910551,16.5,0.0,-84,28.7
910552,32.7,0.0,-63,33.3
910553,13.1,0.0,-61,23.4
910554,88.1,2.35,-83,75.5
910555,37.1,0.0,-101,43.6
910556,10.7,0.0,-63,28.4
910557,31.3,0.0,-77,31.6
910558,66.6,0.0,-69,41.4
910559,73.4,0.0,-102,50.8
910560,58.0,0.0,-66,41.2
910561,61.1,0.0,-97,44.6
910562,26.4,0.0,-109,35.7
910563,69.5,0.0,-101,54.9
910564,23.6,0.0,-106,32.5
910565,64.8,0.0,-94,46.7
910566,9.5,0.0,-83,28.7
910567,10.1,0.0,-89,23.3
910568,21.0,0.0,-97,32.7
910569,70.3,0.0,-92,47.9
910570,22.8,0.0,-65,31.3
910571,22.0,0.0,-96,31.7
910572,66.3,0.0,-63,48.9
910573,51.8,0.0,-69,40.3
910574,36.4,0.0,-101,42.9
910575,48.2,0.0,-84,40.1
910576,49.2,0.0,-74,41.5
910577,85.8,1.09,-95,58.8
910578,88.8,0.3,-91,61.0
910579,95.7,1.84,-74,71.1
910580,67.2,0.0,-62,41.4
910581,34.3,0.0,-53,25.3
910582,84.7,0.61,-76,57.0
910583,31.0,0.0,-105,36.9
910584,67.8,0.0,-87,47.9
910585,5.9,0.0,-72,26.6
910586,11.2,0.0,-75,26.9
910587,12.0,0.0,-61,27.0
910588,82.3,4.36,-66,82.4
910589,43.8,0.0,-100,41.6
910590,96.4,2.64,-78,77.0
910591,84.7,2.64,-86,78.1
910592,17.4,0.0,-91,32.8
910593,16.1,0.0,-102,28.7
910594,49.9,0.0,-80,44.8
910595,57.2,0.0,-74,41.3
910596,42.7,0.0,-109,40.1
910597,25.4,0.0,-84,24.8
910598,95.4,2.16,-74,69.5
910599,9.1,0.0,-76,29.5
910600,32.7,0.0,-103,38.3
910601,14.3,0.0,-98,28.7
910602,5.9,0.0,-83,25.6
910603,71.7,0.0,-91,49.8
910604,88.9,1.53,-73,61.1
910605,28.3,0.0,-82,32.4
910606,45.8,0.0,-59,36.2
910607,38.5,0.0,-80,37.9
910608,22.8,0.0,-96,33.0
910609,70.9,0.0,-51,49.6
910610,42.1,0.0,-63,36.6
910611,67.3,0.0,-57,43.6
910612,89.0,4.13,-108,88.4
910613,64.0,,-68,44.7
910614,8.2,0.0,-69,22.3
910615,17.0,0.0,-70,24.9
910616,63.4,0.0,-62,42.7
910617,37.2,0.0,-55,36.5
910618,29.8,0.0,-85,33.0
910619,46.6,0.0,-56,38.9
910620,81.5,1.22,-68,64.5
910621,83.8,2.99,-59,74.5
910622,57.7,0.0,-87,45.9
910623,86.7,2.61,-110,69.7
910624,77.4,0.0,-95,55.5
910625,65.3,0.0,-78,47.8
910626,86.8,1.38,-91,63.2
910627,55.5,0.0,-73,36.2
910628,42.2,0.0,-106,40.0
910629,19.8,0.0,-90,30.4
910630,66.9,0.0,-95,47.9
910631,78.2,0.0,-98,51.1
910632,10.2,0.0,-66,21.2
910633,22.9,0.0,-51,28.0
910634,44.0,0.0,-103,44.2
910635,37.9,0.0,-93,41.2
910636,82.0,4.09,-99,92.5
910637,89.2,3.48,-72,84.9
910638,72.9,0.0,-94,57.1
910639,50.6,0.0,-51,33.6
910640,10.4,0.0,-110,27.9
910641,46.1,0.0,-109,36.0
910642,20.8,0.0,-60,33.2
910643,55.9,0.0,-110,49.8
910644,83.2,0.82,-97,55.9
910645,59.6,0.0,-99,48.6
910646,7.6,0.0,-109,27.1
910647,6.0,0.0,-92,27.1
910648,65.9,0.0,-67,44.4
910649,82.8,0.44,-95,56.6
910650,66.0,0.0,-59,43.7
910651,53.1,0.0,-78,40.6
910652,18.9,0.0,-75,31.2
910653,61.5,0.0,-105,43.8
910654,39.0,0.0,-84,39.5
910655,51.7,0.0,-51,38.0
910656,76.0,0.0,-65,50.9
910657,28.0,0.0,-101,34.6
910658,77.3,0.0,-52,49.6
910659,62.7,0.0,-67,45.6
910660,68.0,0.0,-91,44.3
910661,74.3,0.0,-78,45.1
910662,67.4,0.0,-69,40.9
910663,64.4,0.0,-67,49.8
910664,29.5,0.0,-73,35.3
910665,94.7,1.21,-110,71.5
910666,56.6,0.0,-67,43.5
910667,51.9,0.0,-52,37.0
910668,77.9,0.0,-63,45.4
910669,40.1,0.0,-86,36.7
910670,18.3,0.0,-61,29.0
910671,27.8,0.0,-55,33.2
910672,95.8,1.97,-92,77.3
910673,95.7,3.3,-68,83.0
910674,59.5,0.0,-99,46.2
910675,5.9,0.0,-61,21.6
910676,90.5,0.12,-81,57.5
910677,54.4,0.0,-107,51.0
910678,69.8,0.0,-62,45.2
910679,40.3,0.0,-60,37.6
910680,48.5,0.0,-58,37.4
910681,60.3,0.0,-55,43.1
910682,7.6,0.0,-71,23.8
910683,79.2,0.0,-59,46.9
910684,6.3,0.0,-86,22.2
910685,91.2,1.71,-61,67.4
910686,33.9,0.0,-107,35.7
910687,60.8,0.0,-70,49.3
910688,34.5,0.0,-104,35.4
910689,34.4,0.0,-90,38.2
910690,25.0,0.0,-67,28.0
910691,77.0,0.0,-85,49.0
910692,46.1,0.0,-76,36.6
910693,11.5,0.0,-81,33.0
910694,29.4,0.0,-74,32.9
910695,29.1,0.0,-109,36.7
910696,29.1,0.0,-55,31.8
910697,45.7,0.0,-68,39.7
910698,72.2,0.0,-81,48.4
910699,86.5,2.01,-65,67.8
910700,30.8,0.0,-57,30.1
910701,73.8,0.0,-79,50.7
910702,65.3,0.0,-94,45.5
910703,36.1,0.0,-103,34.2
910704,73.7,0.0,-91,49.3
910705,45.3,0.0,-86,41.4
910706,73.3,0.0,-57,41.7
910707,52.1,0.0,-61,41.1
910708,15.2,0.0,-102,37.6
910709,83.6,0.43,-60,57.9
910710,89.8,0.21,-53,48.4
910711,69.8,0.0,-84,49.2
910712,7.1,0.0,-58,21.1
910713,81.0,3.45,-53,78.4
910714,70.8,0.0,-97,46.6
910715,46.1,0.0,-70,41.9
910716,69.5,0.0,-88,51.9
910717,19.4,0.0,-105,37.0
910718,27.9,0.0,-95,35.7
910719,39.3,,-86,35.9
910720,36.7,0.0,-95,35.5
910721,57.0,0.0,-105,42.4
910722,58.8,0.0,-93,48.4
910723,80.5,1.0,-103,69.7
910724,69.1,0.0,-104,48.4
910725,33.8,0.0,-108,39.8
910726,27.2,0.0,-52,32.8
910727,43.5,0.0,-96,46.4
910728,74.3,0.0,-73,47.5
910729,85.9,0.87,-97,64.0
910730,58.3,0.0,-63,42.1
910731,85.6,0.32,-95,54.7
910732,19.9,0.0,-81,32.5
910733,20.5,0.0,-67,28.6
910734,90.2,1.39,-53,59.3
910735,36.1,0.0,-107,34.3
910736,44.5,0.0,-75,36.7
910737,70.7,0.0,-82,49.9
910738,31.7,0.0,-70,30.3
910739,81.4,3.51,-54,74.4
910740,24.0,0.0,-71,28.8
910741,7.5,0.0,-85,23.3
910742,68.6,0.0,-106,47.3
910743,94.5,1.62,-95,64.6
910744,85.4,4.44,-65,85.0
910745,9.8,0.0,-96,28.8
910746,49.2,0.0,-57,30.8
910747,57.3,0.0,-110,44.5
910748,63.4,0.0,-81,49.6
910749,94.6,3.23,-81,82.5
910750,27.1,0.0,-100,30.1
910751,28.7,0.0,-108,40.0
910752,56.7,0.0,-75,43.3
910753,18.3,0.0,-52,30.1
910754,10.0,0.0,-73,28.7
910755,87.2,1.41,-107,71.6
910756,89.5,1.37,-56,61.5
910757,85.6,0.8,-69,58.1
910758,14.3,0.0,-88,22.7
910759,35.5,0.0,-55,32.8
910760,47.1,0.0,-101,43.6
910761,49.1,0.0,-107,41.6
910762,14.4,0.0,-104,37.9
910763,16.9,0.0,-61,22.7
910764,89.1,2.27,-56,68.3
910765,36.8,0.0,-81,39.8
910766,19.8,0.0,-91,30.7
910767,17.1,0.0,-108,31.1
910768,85.1,0.35,-57,51.4
910769,18.4,0.0,-89,34.6
910770,44.6,0.0,-58,37.1
910771,78.5,0.0,-75,44.1
910772,89.6,0.55,-56,55.5
910773,82.4,0.42,-80,59.9
910774,20.6,0.0,-95,33.8
