ShiftID,WeeklyOvernightShifts,TeamSize,DefectiveItemsProduced,InspectAccuracy_Percent,IncidentReported
1870075,87.6,102.7,104.9,37.6,1
1870076,132.6,77.3,75.0,56.1,0
1870077,156.8,119.6,149.6,45.0,1
1870078,129.3,112.7,88.6,47.1,0
1870079,77.6,133.9,110.7,46.3,0
1870080,150.1,75.1,154.6,56.3,1
1870081,72.6,81.6,69.5,49.2,0
1870082,111.8,109.1,125.6,38.0,1
1870083,123.4,66.8,122.1,60.3,0
1870084,91.9,108.1,119.5,0.0,0
1870085,101.4,86.0,142.2,52.9,1
1870086,130.2,103.5,92.3,28.1,0
1870087,118.4,114.5,91.5,61.6,0
1870088,109.8,135.6,58.0,63.9,0
1870089,119.1,78.8,120.3,44.0,0
1870090,107.8,85.5,117.1,37.1,1
1870091,91.9,42.1,115.5,16.1,0
1870092,128.2,88.1,87.9,35.1,0
1870093,114.2,73.0,87.5,70.6,1
1870094,119.1,59.8,83.8,35.8,0
1870095,87.6,132.1,96.4,48.5,0
1870096,10.3,104.2,141.4,59.6,1
1870097,72.8,117.0,125.0,48.3,1
1870098,100.3,98.6,116.1,26.1,1
1870099,131.4,97.6,109.1,36.4,0
1870100,105.6,115.6,89.8,42.4,1
1870101,120.4,96.7,83.2,72.2,1
1870102,72.5,85.6,148.2,15.1,0
1870103,126.6,74.8,129.1,32.8,1
1870104,117.7,125.5,115.1,52.9,1
1870105,100.3,137.0,128.5,35.2,1
1870106,79.2,100.2,101.2,27.3,1
1870107,75.8,108.7,166.9,44.4,0
1870108,117.2,133.6,71.0,46.8,0
1870109,102.4,71.3,135.6,41.5,1
1870110,121.3,110.9,121.9,20.4,1
1870111,114.7,134.6,97.7,45.2,0
1870112,109.7,118.9,113.6,65.0,0
1870113,46.1,89.2,157.4,26.8,1
1870114,78.3,118.1,75.6,71.5,0
1870115,108.3,29.1,80.2,69.3,0
1870116,89.5,96.2,91.5,4.5,0
1870117,82.3,111.3,79.2,24.5,0
1870118,68.6,138.0,83.8,47.2,0
1870119,81.2,115.9,116.8,56.7,1
1870120,65.2,74.0,128.4,32.0,0
1870121,58.0,121.3,131.9,42.0,1
1870122,76.2,60.0,57.9,69.4,0
1870123,94.0,84.7,119.1,46.8,1
1870124,74.1,74.4,88.8,58.4,0
1870125,100.5,112.4,101.1,29.5,0
1870126,90.7,76.8,61.0,58.5,0
1870127,77.1,73.2,76.8,59.3,1
1870128,124.6,60.8,123.1,64.4,1
1870129,101.4,95.8,80.0,35.7,0
1870130,75.2,112.4,89.6,47.7,0
1870131,88.2,119.3,118.2,33.9,1
1870132,130.3,86.7,129.6,44.1,0
1870133,122.3,38.9,54.7,53.6,0
1870134,43.2,79.7,99.0,62.1,0
1870135,94.7,68.3,92.7,33.1,1
1870136,133.5,102.2,111.0,62.9,0
1870137,81.7,47.7,67.2,71.7,0
1870138,129.2,87.9,114.7,40.0,1
1870139,95.4,82.5,97.8,39.2,1
1870140,119.5,133.3,49.7,44.5,0
1870141,80.9,133.1,57.7,21.9,0
1870142,54.6,40.7,69.8,52.2,0
1870143,78.3,70.3,107.5,75.8,1
1870144,73.5,85.3,116.6,45.1,0
1870145,123.1,70.3,122.2,33.6,1
1870146,129.9,56.4,145.3,35.7,1
1870147,124.1,53.3,59.2,71.0,0
1870148,82.8,65.8,,51.2,0
1870149,92.5,88.3,114.5,18.0,0
1870150,80.9,68.5,95.3,24.6,0
1870151,97.5,62.9,47.4,6.7,0
1870152,148.2,68.2,88.3,58.0,0
1870153,85.9,135.8,149.5,30.9,1
1870154,123.3,99.5,108.2,56.3,0
1870155,105.0,99.0,174.9,47.9,1
1870156,119.1,55.7,92.7,37.9,0
1870157,106.4,146.9,95.0,28.6,1
1870158,99.7,73.3,101.4,45.5,0
1870159,112.6,126.7,107.6,78.8,1
1870160,95.8,46.2,64.2,50.0,0
1870161,104.8,108.4,94.5,26.2,0
1870162,98.7,36.6,60.8,52.7,0
1870163,74.6,55.9,48.9,43.9,0
1870164,110.6,90.6,81.4,50.1,0
1870165,95.0,101.4,121.5,40.3,1
1870166,85.1,69.1,128.5,46.6,1
1870167,104.8,103.6,,25.2,1
1870168,83.7,87.7,114.6,45.2,0
1870169,80.4,145.3,136.4,63.6,1
1870170,78.3,113.3,97.0,28.8,0
1870171,59.7,90.6,158.9,41.5,1
1870172,68.4,69.3,112.6,71.0,0
1870173,66.1,94.3,97.6,44.2,0
1870174,99.7,78.7,130.9,70.1,1
1870175,92.5,132.8,104.2,40.8,1
1870176,119.2,76.8,74.7,54.1,0
1870177,135.0,94.6,88.2,50.5,0
1870178,97.0,104.6,135.1,28.0,1
1870179,90.7,123.3,87.0,60.4,1
1870180,95.2,92.6,115.7,29.2,1
1870181,68.9,46.3,96.7,51.6,1
1870182,119.3,102.5,121.0,55.7,1
1870183,99.1,68.2,76.8,37.4,0
1870184,107.3,86.4,101.3,18.4,1
1870185,116.6,54.4,83.6,50.0,0
1870186,108.6,71.7,43.5,24.2,0
1870187,93.5,121.8,69.7,36.2,0
1870188,128.0,87.4,168.0,38.1,0
1870189,91.2,129.2,78.7,47.3,0
1870190,89.5,87.1,132.6,52.3,1
1870191,111.2,57.7,126.3,13.6,1
1870192,116.0,50.5,79.1,63.4,1
1870193,123.1,74.3,71.9,42.6,0
1870194,125.8,121.1,87.0,16.4,0
1870195,92.4,136.8,141.7,46.3,1
1870196,133.3,140.7,126.3,38.6,1
1870197,97.9,54.5,115.7,65.6,1
1870198,107.5,58.4,101.8,59.3,0
1870199,89.1,110.5,84.3,43.1,0
1870200,93.1,67.3,111.7,50.5,1
1870201,101.1,121.1,117.1,42.1,1
1870202,88.5,131.6,168.2,32.9,1
1870203,97.1,69.0,88.2,47.4,0
1870204,115.7,47.3,70.5,45.7,0
1870205,98.7,70.6,131.3,50.4,1
1870206,110.7,159.4,120.4,49.1,1
1870207,107.8,103.0,104.5,57.9,1
1870208,70.5,96.0,79.7,34.5,0
1870209,88.3,125.9,105.7,48.9,0
1870210,103.5,86.9,73.6,28.0,0
1870211,100.5,91.1,96.6,30.5,0
1870212,44.5,78.4,143.2,56.5,1
1870213,113.5,94.2,89.3,44.8,0
1870214,90.9,98.3,97.0,60.2,0
1870215,64.2,84.1,137.9,44.6,1
1870216,44.6,89.2,91.2,40.3,0
1870217,87.5,68.2,134.7,62.8,1
1870218,74.4,65.5,129.4,51.8,1
1870219,94.3,88.2,61.0,46.7,0
1870220,91.9,117.1,119.9,49.6,0
1870221,118.1,72.8,87.9,56.7,0
1870222,106.6,66.4,110.6,29.9,1
1870223,123.1,140.0,114.2,55.9,1
1870224,91.4,106.5,130.6,20.4,1
1870225,62.6,94.4,55.9,47.6,1
1870226,98.9,46.4,60.9,46.4,1
1870227,69.4,71.9,117.3,67.4,1
1870228,117.7,113.3,94.3,42.0,0
1870229,130.8,122.0,105.2,40.9,1
1870230,69.1,57.4,134.0,47.9,1
1870231,142.3,81.1,110.6,26.4,1
1870232,110.5,101.8,112.8,54.9,1
1870233,108.3,126.6,87.2,32.2,0
1870234,89.1,96.5,129.1,46.8,1
1870235,125.8,62.7,124.3,74.7,1
1870236,129.6,103.5,126.5,21.6,1
1870237,95.4,77.3,91.4,49.8,0
1870238,74.2,142.9,48.1,31.1,0
1870239,111.3,92.9,85.7,75.0,0
1870240,141.2,86.4,126.1,29.8,0
1870241,97.5,85.6,122.7,48.7,1
1870242,86.0,103.1,97.2,21.4,0
1870243,53.8,99.0,121.8,62.4,1
1870244,51.9,88.4,77.2,28.0,1
1870245,122.9,69.9,155.6,35.1,0
1870246,108.8,101.0,105.1,34.1,0
1870247,98.8,61.2,73.6,59.4,1
1870248,85.0,138.6,73.6,43.0,0
1870249,125.5,77.3,68.3,56.0,0
1870250,102.6,105.0,56.6,48.2,0
1870251,134.3,60.2,87.8,30.1,0
1870252,69.1,88.5,117.9,30.4,1
1870253,110.9,128.5,109.4,72.2,0
1870254,96.9,127.2,122.0,39.6,0
1870255,93.9,147.7,52.0,5.3,0
1870256,83.7,98.1,85.4,64.6,0
1870257,127.0,131.9,84.3,27.0,0
1870258,120.1,143.3,,27.4,0
1870259,49.7,103.1,83.9,39.7,1
1870260,94.5,105.7,114.2,39.2,1
1870261,73.5,94.9,134.9,58.9,1
1870262,75.1,102.4,124.2,45.6,1
1870263,86.2,87.2,100.9,48.9,1
1870264,99.2,103.1,120.5,28.7,1
1870265,143.8,74.2,103.7,38.4,0
1870266,116.5,84.0,123.2,45.0,1
1870267,81.4,104.1,54.4,61.1,1
1870268,76.2,114.0,79.9,38.9,0
1870269,85.9,117.9,77.2,60.8,0
1870270,121.5,173.2,110.4,16.4,0
1870271,74.9,149.2,118.0,57.4,1
1870272,97.3,46.0,62.5,26.5,0
1870273,102.5,57.6,100.4,76.0,0
1870274,136.9,64.4,82.2,57.2,0
1870275,115.4,87.4,116.0,13.7,1
1870276,77.9,81.9,38.7,56.6,0
1870277,139.8,114.3,54.9,58.1,0
1870278,111.0,117.1,87.5,55.4,1
1870279,99.4,142.6,88.6,30.4,0
1870280,113.8,103.2,61.3,13.3,1
1870281,74.5,93.2,68.8,69.0,0
1870282,114.7,75.5,144.8,74.3,1
1870283,117.0,82.3,75.5,37.9,1
1870284,108.8,113.4,74.8,47.1,0
1870285,78.5,93.0,141.6,49.3,1
1870286,69.5,90.2,76.4,52.1,1
1870287,117.1,74.2,140.7,45.2,1
1870288,59.8,145.8,103.4,43.1,1
1870289,72.1,122.2,114.3,59.6,1
1870290,130.8,97.7,108.0,51.4,1
1870291,93.0,88.9,50.8,30.3,1
1870292,98.1,105.2,114.7,38.5,0
1870293,106.8,86.9,124.6,53.1,0
1870294,68.9,86.7,74.4,43.2,0
1870295,65.4,96.4,115.2,59.8,1
1870296,100.7,111.0,112.7,39.5,0
1870297,105.0,91.9,71.5,44.5,0
1870298,102.8,80.7,129.3,62.9,1
1870299,108.7,89.6,79.0,61.2,0
1870300,148.2,82.1,114.3,50.7,1
1870301,98.1,114.0,85.2,18.4,1
1870302,90.1,77.9,74.3,34.9,0
1870303,40.1,108.6,87.3,36.7,0
1870304,116.5,136.0,83.9,64.3,0
1870305,48.1,90.9,104.1,50.4,1
1870306,128.1,94.0,86.2,28.1,1
1870307,94.0,150.6,103.7,36.9,1
1870308,99.8,88.4,99.1,62.8,0
1870309,117.3,117.9,94.6,62.7,0
1870310,96.1,83.6,142.0,61.9,1
1870311,94.1,125.3,82.0,47.2,1
1870312,92.2,137.1,84.7,49.7,1
1870313,81.2,70.9,141.5,48.3,1
1870314,54.9,75.7,115.6,76.9,1
1870315,98.7,142.4,103.1,58.0,1
1870316,102.1,128.0,116.8,39.7,1
1870317,89.0,112.9,95.9,22.3,0
1870318,86.1,75.7,131.8,64.3,1
1870319,112.5,100.2,98.5,39.6,1
1870320,84.8,59.0,70.4,30.0,0
1870321,132.6,105.2,120.1,10.9,1
1870322,83.1,43.5,106.9,48.0,1
1870323,91.6,73.6,101.1,51.3,1
1870324,82.2,122.3,112.3,37.9,0
1870325,91.0,122.9,108.3,33.3,1
1870326,115.2,85.2,136.3,37.9,1
1870327,75.8,51.4,144.9,68.6,1
1870328,128.5,88.3,71.2,36.1,0
1870329,103.4,104.9,107.6,49.4,0
1870330,81.6,113.6,108.7,68.2,1
1870331,92.2,48.5,84.7,44.2,0
1870332,76.0,49.8,91.4,59.3,1
1870333,92.7,74.5,48.9,50.2,1
1870334,67.9,113.6,112.4,15.2,1
1870335,83.5,99.3,89.2,44.9,1
1870336,115.3,96.7,126.1,13.4,1
1870337,99.4,69.9,130.9,48.2,1
1870338,90.3,61.5,144.4,38.6,1
1870339,62.0,95.3,119.2,25.2,1
1870340,100.9,92.0,79.6,41.6,0
1870341,134.1,149.9,121.2,67.3,1
1870342,90.8,114.6,98.1,32.9,0
1870343,82.7,80.9,89.2,32.9,0
1870344,98.0,80.2,99.7,49.5,0
1870345,102.5,145.7,94.6,46.0,1
1870346,115.8,126.6,87.1,35.9,0
1870347,82.4,74.3,153.9,39.4,1
1870348,74.8,100.1,131.9,48.6,1
1870349,115.4,106.9,108.0,27.2,0
1870350,110.8,37.9,98.9,15.5,0
1870351,97.2,59.7,80.1,60.9,1
1870352,137.5,96.2,123.3,48.0,0
1870353,116.7,88.7,81.9,30.2,0
1870354,119.4,66.7,136.4,48.8,1
1870355,128.6,102.2,,51.8,0
1870356,101.1,79.0,81.3,54.7,1
1870357,103.1,106.5,114.2,32.5,0
1870358,66.4,74.4,81.3,42.1,0
1870359,52.2,79.0,115.3,56.0,1
1870360,120.0,95.7,117.7,61.9,0
1870361,105.1,127.9,114.8,22.1,1
1870362,99.4,84.9,120.2,40.3,1
1870363,132.9,90.1,146.1,44.6,1
1870364,144.2,115.6,94.5,42.8,0
1870365,72.6,126.0,112.2,34.5,1
1870366,98.9,138.2,126.1,55.2,1
1870367,46.4,94.4,126.3,29.8,1
1870368,109.5,107.7,100.9,19.9,1
1870369,70.1,131.4,107.9,49.0,0
1870370,77.4,103.0,87.0,36.6,1
1870371,138.0,77.3,140.8,48.6,1
1870372,136.1,98.3,107.2,68.1,0
1870373,81.3,96.8,115.9,40.1,0
1870374,86.0,90.2,123.3,50.2,1
1870375,100.8,97.2,84.4,37.7,0
1870376,105.4,93.1,116.0,77.5,0
1870377,122.8,82.1,137.5,62.8,1
1870378,53.1,116.0,133.5,49.5,0
1870379,122.5,134.5,102.7,34.2,1
1870380,92.5,82.9,106.7,66.1,1
1870381,51.8,159.1,76.8,47.2,1
1870382,134.9,129.6,126.2,9.4,1
1870383,78.1,84.8,98.6,31.4,1
1870384,75.6,85.3,115.4,32.1,1
1870385,89.5,83.3,120.2,38.9,0
1870386,72.0,132.7,123.9,24.5,1
1870387,84.3,88.2,69.4,46.5,0
1870388,111.6,107.5,79.3,73.2,0
1870389,131.4,89.0,107.2,36.6,1
1870390,59.3,103.5,89.3,54.4,0
1870391,98.7,106.0,133.7,44.1,0
1870392,86.6,71.6,137.1,43.8,0
1870393,69.3,124.1,117.5,47.7,0
1870394,126.5,89.0,122.5,34.4,1
1870395,94.7,86.6,145.8,23.0,0
1870396,89.1,76.1,101.7,30.1,0
1870397,63.2,93.8,,43.4,1
1870398,60.2,80.0,129.5,68.4,0
1870399,123.2,70.2,92.1,46.2,0
1870400,60.3,126.2,74.1,45.3,0
1870401,103.8,78.1,81.2,45.4,0
1870402,114.7,110.6,107.7,41.9,1
1870403,74.3,55.2,74.7,61.4,0
1870404,84.3,89.2,93.9,49.2,1
1870405,107.7,98.6,157.4,56.8,1
1870406,67.7,64.5,58.3,3.5,0
1870407,107.8,152.1,109.8,8.7,1
1870408,121.4,80.8,96.0,36.3,1
1870409,104.6,75.6,132.0,49.7,1
1870410,97.9,115.1,76.5,16.9,1
1870411,69.9,144.7,104.1,46.9,0
1870412,126.8,101.6,82.3,40.3,0
1870413,81.7,61.8,56.6,52.2,0
1870414,68.2,148.1,137.7,61.3,1
1870415,79.1,130.5,67.1,21.4,1
1870416,77.7,111.3,104.7,54.1,0
1870417,75.0,51.0,110.7,62.7,1
1870418,92.6,81.3,120.4,40.9,1
1870419,105.7,109.5,81.9,53.1,0
1870420,115.5,91.5,109.4,32.2,0
1870421,64.4,81.8,98.3,52.1,1
1870422,110.7,96.4,115.5,26.3,0
1870423,132.8,125.2,137.6,55.6,1
1870424,89.8,100.8,58.5,56.8,0
1870425,132.4,131.6,95.3,31.4,1
1870426,101.1,86.6,112.5,37.0,0
1870427,100.1,87.2,136.5,22.7,0
1870428,109.7,92.9,88.2,33.7,1
1870429,76.7,112.4,135.0,58.2,0
1870430,84.5,109.1,83.7,43.3,1
1870431,139.2,77.9,108.7,29.6,0
1870432,116.4,94.4,84.1,45.5,0
1870433,133.7,105.5,65.5,50.8,0
1870434,98.1,99.9,98.4,50.8,0
1870435,116.4,85.8,70.5,66.3,1
1870436,124.5,141.6,95.2,38.7,1
1870437,84.3,111.8,128.3,34.3,1
1870438,77.7,143.5,89.6,31.0,0
1870439,94.3,103.7,132.2,57.5,0
1870440,113.9,137.3,109.9,45.8,0
1870441,97.9,111.9,57.0,65.6,0
1870442,128.7,99.6,107.8,19.6,1
1870443,117.4,78.0,90.8,51.8,0
1870444,132.9,92.9,128.0,22.4,1
1870445,60.6,103.2,107.3,42.4,1
1870446,78.9,57.7,102.4,36.4,0
1870447,128.7,98.5,114.4,38.9,1
1870448,94.7,70.8,104.1,42.5,1
1870449,55.7,123.2,109.9,40.0,0
1870450,79.0,132.9,76.6,53.8,0
1870451,128.3,113.8,113.3,55.2,0
1870452,90.4,91.6,69.5,51.4,1
1870453,116.3,106.9,73.0,35.7,0
1870454,96.6,102.9,123.3,19.3,0
1870455,86.9,118.4,83.8,36.5,1
1870456,59.7,98.8,106.8,55.0,1
1870457,86.3,77.2,132.9,44.5,1
1870458,105.5,15.4,79.2,66.8,0
1870459,104.2,70.5,81.2,43.4,1
1870460,142.6,110.6,119.3,43.1,1
1870461,106.2,70.9,123.8,42.1,1
1870462,106.5,86.8,84.9,49.8,0
1870463,24.2,139.9,61.1,50.9,0
1870464,123.8,112.2,115.4,51.1,1
1870465,71.8,87.2,118.7,76.5,1
1870466,93.5,103.0,84.9,34.0,0
1870467,111.9,140.9,134.1,36.0,1
1870468,106.5,111.0,110.0,46.9,1
1870469,76.5,104.4,68.0,43.0,1
1870470,99.6,119.8,97.6,38.8,0
1870471,159.5,91.2,106.7,56.5,1
1870472,147.9,138.7,101.4,68.1,0
1870473,134.0,72.3,108.2,33.3,0
1870474,151.1,112.8,114.7,54.9,1
1870475,78.8,147.0,68.1,58.9,0
1870476,88.1,89.6,123.3,59.0,0
1870477,99.7,91.4,70.8,47.6,1
1870478,96.7,90.5,131.8,33.6,1
1870479,101.7,79.8,77.0,50.6,1
1870480,70.8,111.3,95.9,37.8,1
1870481,71.6,147.3,88.8,17.0,0
1870482,74.3,46.6,,39.7,0
1870483,118.1,96.1,45.3,64.6,1
1870484,118.2,113.6,68.5,41.7,0
1870485,108.7,146.5,,28.9,0
1870486,109.5,69.9,67.4,44.7,1
1870487,84.3,53.3,145.8,60.3,1
1870488,71.3,106.9,83.9,26.4,1
1870489,75.1,135.5,127.0,42.4,1
1870490,89.4,107.3,92.0,15.0,1
1870491,54.7,97.4,111.1,43.7,0
1870492,98.0,73.5,133.9,35.1,1
1870493,110.0,144.5,122.2,49.3,0
1870494,116.9,83.8,109.2,46.6,1
1870495,100.6,114.4,115.7,41.9,1
1870496,152.4,82.1,112.0,46.1,0
1870497,82.8,128.8,99.5,43.9,0
1870498,103.2,120.2,102.5,66.5,0
1870499,61.8,117.7,71.9,48.5,0
1870500,116.1,116.1,102.9,37.7,1
1870501,101.4,142.4,86.4,51.4,1
1870502,114.6,135.2,144.2,26.1,1
1870503,128.0,128.3,108.4,66.3,1
1870504,100.5,116.8,51.7,43.1,0
1870505,108.4,127.2,147.3,36.7,1
1870506,105.9,121.4,134.1,39.4,0
1870507,46.9,79.0,90.3,60.2,0
1870508,86.3,124.9,62.3,65.1,0
1870509,86.6,85.2,114.4,26.9,0
1870510,124.7,93.6,42.2,64.4,0
1870511,85.0,127.2,115.5,49.4,1
1870512,138.2,116.3,123.3,40.6,1
1870513,89.7,96.7,80.4,52.8,0
1870514,118.2,62.3,64.1,30.1,0
1870515,96.0,110.1,128.5,62.6,1
1870516,110.4,150.5,105.2,50.5,1
1870517,124.7,133.7,52.0,39.6,0
1870518,109.9,85.9,152.0,60.7,1
1870519,102.9,86.1,80.4,47.7,1
1870520,86.3,98.8,123.0,59.6,1
1870521,95.8,95.5,49.6,33.4,0
1870522,94.4,118.2,84.9,42.1,0
1870523,89.4,55.1,55.1,58.0,1
1870524,99.1,112.7,116.7,67.6,1
1870525,115.6,111.1,69.1,43.4,0
1870526,95.1,96.5,132.8,40.7,1
1870527,91.0,122.4,66.6,74.7,0
1870528,75.1,68.2,90.2,52.1,1
1870529,156.6,120.0,112.9,39.8,1
1870530,93.3,81.8,96.7,49.6,0
1870531,73.6,115.4,43.5,38.4,0
1870532,129.7,61.3,85.2,13.8,0
1870533,67.7,89.2,94.7,41.1,1
1870534,103.4,114.7,,36.6,0
1870535,127.9,122.2,92.8,28.8,0
1870536,140.2,153.6,77.8,45.0,0
1870537,60.2,56.6,105.0,48.7,0
1870538,79.7,78.7,110.6,27.5,1
1870539,90.7,86.0,115.2,33.1,1
1870540,119.4,108.2,62.0,69.9,0
1870541,80.0,104.8,64.8,54.2,0
1870542,112.3,133.4,72.2,36.2,0
1870543,102.8,99.7,121.8,61.1,0
1870544,110.8,158.5,97.1,37.6,1
1870545,138.1,120.7,59.9,60.5,0
1870546,12.0,136.6,114.9,53.9,1
1870547,41.7,65.1,110.8,54.4,0
1870548,124.1,63.5,49.8,69.7,0
1870549,111.4,83.4,66.5,44.3,0
1870550,47.9,127.0,79.2,42.1,0
1870551,112.1,71.3,61.0,20.6,0
1870552,69.6,82.2,95.7,38.3,0
1870553,92.2,69.2,80.7,58.9,0
1870554,145.5,48.7,59.5,79.1,0
1870555,95.8,70.9,112.6,66.3,1
1870556,123.2,76.3,92.5,55.7,0
1870557,70.9,67.9,85.7,26.4,0
1870558,55.5,60.4,97.0,38.8,0
1870559,103.1,123.3,90.3,64.7,0
1870560,83.5,100.1,103.5,57.1,1
1870561,95.2,117.6,106.4,61.0,0
1870562,89.8,97.4,122.9,61.3,0
1870563,97.6,89.9,78.8,21.6,0
1870564,111.9,136.0,144.7,51.3,1
1870565,85.0,91.8,147.9,40.4,1
1870566,85.2,89.9,107.6,38.6,0
1870567,78.7,123.0,124.7,48.1,1
1870568,87.4,125.9,141.6,64.5,1
1870569,101.5,126.4,87.3,41.2,0
1870570,104.2,69.7,109.6,53.2,1
1870571,76.0,109.3,85.8,42.9,0
1870572,146.1,115.5,139.4,57.0,1
1870573,82.2,108.2,90.6,71.6,1
1870574,90.1,114.6,146.5,45.7,1
1870575,102.5,112.1,140.3,53.6,1
1870576,68.9,94.8,134.7,51.4,1
1870577,119.8,103.2,101.4,30.6,0
1870578,77.4,91.4,94.3,53.5,0
1870579,119.9,80.4,56.0,26.9,0
1870580,85.7,81.7,115.3,19.3,0
1870581,75.4,93.0,54.1,45.3,0
1870582,117.1,113.6,35.4,39.7,0
1870583,79.2,130.2,103.8,31.9,0
1870584,89.6,77.6,124.5,55.2,0
1870585,116.3,83.4,112.9,55.6,1
1870586,26.3,79.1,69.0,47.6,1
1870587,62.9,63.3,79.7,20.7,0
1870588,83.6,81.8,77.9,42.4,1
1870589,47.7,85.5,,65.6,0
1870590,100.4,116.9,96.8,61.3,1
1870591,111.8,73.0,79.7,49.5,0
1870592,95.3,125.0,104.1,66.5,0
1870593,109.1,126.8,126.1,59.4,1
1870594,133.2,115.4,138.4,37.7,0
1870595,102.9,74.6,80.0,57.3,1
1870596,76.0,92.0,103.0,39.1,0
1870597,62.8,87.1,81.0,76.8,0
1870598,133.0,86.3,130.1,43.1,1
1870599,108.4,90.3,122.7,57.6,1
1870600,98.1,120.6,60.1,18.7,0
1870601,129.6,109.6,100.4,78.7,0
1870602,100.7,42.4,110.4,51.4,1
1870603,118.8,150.1,55.0,43.1,0
1870604,134.6,95.3,101.6,57.9,1
1870605,67.5,101.7,91.1,39.3,1
1870606,76.5,119.4,91.1,31.9,0
1870607,71.2,142.6,103.6,56.9,0
1870608,122.7,88.5,98.9,19.9,0
1870609,117.4,99.0,62.4,10.2,0
1870610,146.8,70.4,80.3,47.6,0
1870611,78.6,92.2,106.0,52.9,1
1870612,122.3,101.6,90.4,48.3,0
1870613,111.5,68.4,139.7,27.1,1
1870614,122.5,122.0,168.5,47.8,1
1870615,104.7,115.4,71.6,7.0,0
1870616,71.8,115.3,101.2,28.2,0
1870617,131.8,103.8,74.4,57.9,1
1870618,109.4,128.0,116.8,53.1,0
1870619,53.8,102.0,126.0,63.9,0
1870620,74.1,118.3,56.5,34.4,0
1870621,99.2,86.4,113.2,28.3,1
1870622,88.3,80.2,103.4,62.6,1
1870623,98.9,154.7,134.3,41.1,1
1870624,128.6,69.9,96.6,70.4,0
1870625,139.2,69.8,112.6,60.5,0
1870626,74.9,152.0,116.5,19.1,1
1870627,89.2,92.0,112.4,53.1,1
1870628,82.4,67.3,105.6,47.3,0
1870629,127.6,46.0,131.8,56.7,1
1870630,97.6,109.9,129.8,48.2,1
1870631,148.3,139.1,100.0,62.8,1
1870632,122.9,90.1,85.7,62.6,0
