HouseID,GrLivArea,YearBuilt,Neighborhood,OverallQual,SalePrice
40294,2113,2001,NridgHt,3,193686
40295,2357,1966,Edwards,3,213642
40296,2048,1975,Gilbert,7,271697
40297,1854,2009,Gilbert,5,201383
40298,1367,1971,OldTown,7,217470
40299,1043,2005,Somerst,8,211541
40300,2639,2005,NridgHt,10,416212
40301,1376,1999,NridgHt,6,204159
40302,3144,1984,CollgCr,6,326702
40303,820,1989,Gilbert,3,91090
40304,1705,1979,NridgHt,7,229838
40305,3103,1968,NridgHt,3,285644
40306,1659,2019,Somerst,9,275315
40307,1999,1992,Gilbert,7,263664
40308,1225,1959,Edwards,3,125832
40309,2401,1985,CollgCr,8,345857
40310,997,2004,Edwards,6,158937
40311,3018,2018,Gilbert,6,324579
40312,3099,1967,Gilbert,10,439097
40313,1329,1985,Somerst,9,273641
40314,1731,1951,Edwards,4,173968
40315,2884,1960,CollgCr,8,376120
40316,2683,1963,CollgCr,4,261455
40317,2162,2010,Edwards,3,208905
40318,1796,1983,Edwards,8,285445
40319,2740,1973,OldTown,3,265933
40320,2251,2014,CollgCr,5,221092
40321,2022,1971,NridgHt,9,334534
40322,2000,1990,Somerst,4,186457
40323,1997,1992,CollgCr,6,238922
40324,1537,2010,Somerst,5,184392
40325,2685,2009,OldTown,7,324116
40326,2369,1954,CollgCr,3,212444
40327,2255,1964,Gilbert,9,358309
40328,829,1964,CollgCr,6,165228
40329,2520,1986,NridgHt,6,254176
40330,2159,1973,NridgHt,10,405151
40331,1703,1997,Somerst,9,299594
40332,1932,2016,Somerst,8,266738
40333,2875,1984,Gilbert,7,317083
40334,2844,1950,Somerst,8,362474
40335,2093,1965,Gilbert,8,309621
40336,2035,2014,NridgHt,5,225420
40337,2131,1965,OldTown,7,251243
40338,1476,2002,Gilbert,5,183243
40339,2485,1964,Gilbert,9,370617
40340,2676,1951,Somerst,9,383539
40341,1360,1987,Edwards,9,286835
40342,2352,2015,Edwards,5,236820
40343,2762,1986,CollgCr,3,251217
40344,2298,2012,NridgHt,10,386789
40345,3016,1959,CollgCr,6,323472
40346,2532,2004,Gilbert,10,389821
40347,1221,2002,Somerst,3,104156
40348,2816,2017,Edwards,10,423265
40349,1773,2006,CollgCr,5,200081
40350,1167,1958,Edwards,6,170079
40351,2429,1972,Edwards,7,285625
40352,1240,2001,NridgHt,5,177655
40353,2842,1999,NridgHt,10,455297
40354,1462,1989,Gilbert,5,194696
40355,3116,1995,CollgCr,10,507126
40356,2955,1999,Gilbert,4,275263
40357,1502,1969,Gilbert,7,234956
40358,942,1979,Somerst,4,136043
40359,1479,2017,OldTown,8,255479
40360,1471,2013,CollgCr,8,281305
40361,2569,1977,NridgHt,4,259510
40362,2608,1976,OldTown,10,398298
40363,2208,1959,NridgHt,3,200736
40364,3172,1981,Gilbert,4,310264
40365,2393,1997,NridgHt,5,248215
40366,2025,2020,Gilbert,9,316230
40367,3134,2004,NridgHt,9,448144
40368,1682,1989,Somerst,10,332631
40369,2381,1995,Gilbert,9,342901
40370,2873,1953,NridgHt,7,342809
40371,1658,2008,OldTown,4,143728
40372,2334,2016,NridgHt,10,387550
40373,2700,1993,OldTown,5,296653
40374,2954,2003,Gilbert,4,257879
40375,2298,2010,OldTown,8,342704
40376,2741,1999,NridgHt,3,261343
40377,1156,2013,OldTown,7,179905
40378,2455,1977,Gilbert,3,215188
40379,1068,2006,NridgHt,6,170230
40380,1953,1955,Gilbert,8,248042
40381,1748,1960,Edwards,10,346678
40382,1004,2017,OldTown,8,221077
40383,2205,2007,OldTown,5,204496
40384,1174,1962,CollgCr,10,317388
40385,2641,2005,Somerst,9,379352
40386,1534,1962,Somerst,5,197469
40387,1693,1988,Somerst,8,283843
40388,1167,1995,CollgCr,3,133031
40389,2985,2007,Edwards,6,311893
40390,1342,1966,Somerst,10,323883
40391,2984,2014,CollgCr,3,276520
40392,917,1963,Edwards,8,208065
40393,1268,1998,NridgHt,10,320845
40394,1758,1953,Gilbert,9,320885
40395,838,2016,NridgHt,9,210511
40396,1719,2000,Gilbert,4,186250
40397,3177,1988,Somerst,4,289264
40398,1834,1952,NridgHt,5,205771
40399,879,1975,Somerst,7,180405
40400,1356,1969,NridgHt,7,189326
40401,1753,1992,CollgCr,9,319046
40402,2644,1962,Gilbert,4,239844
40403,2324,1967,OldTown,6,276160
40404,1285,1984,NridgHt,5,150780
40405,2350,1958,NridgHt,4,229591
40406,2928,2019,OldTown,4,276954
40407,1983,2020,Gilbert,3,173414
40408,2104,1974,Edwards,10,402343
40409,1046,2001,Gilbert,9,262653
40410,1447,1968,Somerst,5,161050
40411,1453,1978,NridgHt,10,311179
40412,2632,2005,NridgHt,8,346654
40413,2224,1988,NridgHt,5,253721
40414,2755,1997,Somerst,5,272471
40415,2737,1988,OldTown,8,346695
40416,1437,1979,Edwards,9,283744
40417,872,1980,CollgCr,10,259151
40418,2282,1959,OldTown,9,372608
40419,2726,1959,Gilbert,8,334940
40420,1478,1978,Somerst,8,235068
40421,3139,1987,Gilbert,10,464080
40422,1278,2018,OldTown,10,315839
40423,1846,1982,Somerst,4,166893
40424,2889,1956,CollgCr,6,312006
40425,1496,1975,Somerst,7,232536
40426,1637,1974,OldTown,10,344535
40427,934,1994,Somerst,8,207120
40428,2590,1981,Gilbert,8,354639
40429,827,2020,Somerst,9,234616
40430,3055,1984,OldTown,10,442750
40431,2968,1963,Somerst,7,346118
40432,2831,1995,Edwards,4,259440
40433,3141,1959,Edwards,5,326737
40434,1480,1998,Edwards,5,178082
40435,2273,1970,Edwards,4,202617
40436,1660,1971,OldTown,3,152255
40437,806,1967,OldTown,4,122528
40438,1204,1987,Edwards,3,136240
40439,1181,1976,Edwards,7,205428
40440,2095,1953,Gilbert,4,234969
40441,2299,1975,OldTown,6,277331
40442,2984,2018,OldTown,10,449254
40443,1776,2000,CollgCr,4,166485
40444,1359,2008,Edwards,7,231150
40445,2872,2016,OldTown,7,335161
40446,1174,1964,Gilbert,6,189031
40447,2382,1983,CollgCr,8,318184
40448,2377,2009,OldTown,8,301025
40449,1125,1950,Somerst,7,203433
40450,2897,1967,OldTown,6,327490
40451,2214,1969,CollgCr,10,388971
40452,1696,1989,Edwards,9,308339
40453,2511,2003,OldTown,8,328710
40454,2900,2011,CollgCr,9,400279
40455,2192,1985,CollgCr,3,222737
40456,2251,1968,Somerst,9,368823
40457,1019,1960,Somerst,6,140439
40458,2238,2005,Gilbert,5,242688
40459,1869,2012,Somerst,7,254678
40460,1539,2007,Somerst,4,156266
40461,2436,1977,Gilbert,10,413198
40462,1949,1976,NridgHt,6,266166
40463,1732,1952,Somerst,10,358642
40464,1687,1994,Gilbert,10,368412
40465,1447,1984,Gilbert,7,234200
40466,901,1962,OldTown,4,76691
40467,1363,2018,Gilbert,6,218709
40468,2006,2009,OldTown,8,283459
40469,1847,2018,CollgCr,3,182885
40470,1201,1990,NridgHt,10,298565
40471,2296,2018,Somerst,10,398390
40472,1038,1991,OldTown,3,114767
40473,1513,2013,Edwards,9,278520
40474,1914,2019,Somerst,8,290336
40475,2634,1957,Somerst,7,340276
40476,2444,2020,CollgCr,4,230768
40477,2427,2019,Edwards,10,414466
40478,2874,2011,OldTown,5,254851
40479,2840,2005,OldTown,8,353485
40480,1077,1996,NridgHt,5,150722
40481,2630,1995,CollgCr,5,264567
40482,955,2002,Edwards,4,125930
40483,2876,1991,OldTown,9,423017
40484,1642,1998,CollgCr,4,179009
40485,1820,1968,Gilbert,5,211279
40486,874,2013,NridgHt,7,174667
40487,1572,1985,Gilbert,10,348304
40488,1985,1954,Somerst,4,240678
40489,1575,1979,Somerst,8,277226
40490,1143,2001,CollgCr,10,307018
40491,2256,2013,OldTown,3,236752
40492,2148,1955,NridgHt,7,306500
40493,3197,1986,Edwards,5,302191
40494,2771,1969,NridgHt,6,315105
40495,2722,1950,Gilbert,6,281269
40496,3105,1962,OldTown,9,414738
40497,1029,2003,Somerst,10,292089
40498,2518,2016,Gilbert,7,303911
40499,938,2002,Edwards,9,232949
40500,2913,1966,OldTown,8,398530
40501,2179,2014,OldTown,9,351584
40502,896,2005,Somerst,7,179188
40503,2537,2019,Somerst,3,250259
40504,1084,1953,NridgHt,6,187970
40505,1639,1999,Somerst,5,176153
40506,3023,1952,CollgCr,8,385908
40507,2551,2020,Gilbert,3,213445
40508,1133,2009,Somerst,7,187718
40509,3102,2013,Gilbert,5,297605
40510,2555,1968,Edwards,4,240178
40511,1750,2020,Somerst,5,213596
40512,1115,2007,Somerst,10,265071
40513,2360,1965,Gilbert,8,293750
40514,1675,2010,OldTown,6,199255
40515,1476,1985,NridgHt,6,208201
40516,1860,1963,Somerst,5,228591
40517,2860,2002,Gilbert,7,342658
40518,1608,1982,OldTown,9,296499
40519,962,1986,Gilbert,4,95866
40520,1415,1955,Somerst,9,270072
40521,2035,2011,CollgCr,6,230430
40522,1869,2008,Somerst,5,210599
40523,1682,1975,Somerst,6,219869
40524,2559,1950,Edwards,3,244874
40525,2470,1988,Gilbert,10,412622
40526,1226,1968,Gilbert,6,188672
40527,1063,2015,Gilbert,7,170840
40528,1238,2003,NridgHt,9,261081
40529,2636,1958,NridgHt,7,342993
40530,2697,2018,Gilbert,4,257430
40531,2479,1974,Gilbert,8,340060
40532,3061,1974,OldTown,6,328071
40533,1073,2012,OldTown,6,178616
40534,1336,1976,Edwards,7,200119
40535,1078,2019,CollgCr,3,96159
40536,1865,1964,Somerst,8,323784
40537,2769,1983,Somerst,5,261186
40538,1007,2001,Somerst,5,134964
40539,1595,1970,OldTown,3,133320
40540,2146,1974,Edwards,10,380537
40541,2861,1991,OldTown,9,384245
40542,1775,1950,Edwards,5,196361
40543,2288,1991,OldTown,9,344337
40544,1320,2002,OldTown,5,163903
40545,1017,1964,CollgCr,5,119715
40546,2486,1971,Gilbert,3,240338
40547,3011,1976,OldTown,3,273350
40548,2188,1990,CollgCr,10,403036
40549,1945,1957,Edwards,4,213507
40550,2918,1997,Gilbert,7,365092
40551,2106,1985,CollgCr,5,233035
40552,2895,1968,Edwards,3,242291
40553,1051,2019,NridgHt,4,142819
40554,2233,1996,Somerst,7,274984
40555,1065,1969,NridgHt,6,170035
40556,2393,1967,Gilbert,7,292373
40557,2804,1996,Edwards,6,315434
40558,1561,1962,CollgCr,8,259109
40559,1692,2018,Edwards,8,272482
40560,822,1993,Gilbert,10,254161
40561,1628,1978,Somerst,6,224876
40562,3181,1980,Gilbert,3,279218
40563,1638,1998,Gilbert,4,155830
40564,1688,2016,Gilbert,6,213127
40565,974,1994,NridgHt,9,247119
40566,2955,1960,CollgCr,10,432439
40567,2343,1952,Edwards,4,257231
40568,911,2008,Edwards,4,117824
40569,2048,1970,Gilbert,7,263202
40570,1314,1964,NridgHt,9,244481
40571,1676,1994,OldTown,6,214894
40572,3116,1959,Somerst,8,397930
40573,2975,2009,CollgCr,4,275386
40574,2539,1981,NridgHt,5,243312
40575,2309,1987,CollgCr,7,290697
40576,2303,1982,OldTown,4,224378
40577,2497,1990,CollgCr,3,224893
40578,1757,1976,Edwards,8,286326
40579,1046,1953,OldTown,7,183310
40580,3166,1988,Somerst,5,327591
40581,2321,1953,OldTown,4,240270
40582,2601,2007,CollgCr,8,343703
40583,2773,1969,Gilbert,4,251973
40584,2503,1995,CollgCr,6,279761
40585,1012,1988,Gilbert,9,249350
40586,3045,1952,OldTown,4,284768
40587,847,1995,Gilbert,3,109420
40588,1048,1950,Gilbert,7,170908
40589,864,1976,Edwards,3,90798
40590,2441,1959,Gilbert,3,236068
40591,3167,1993,OldTown,7,366111
40592,1067,1970,CollgCr,8,224800
40593,1650,2004,Gilbert,10,341864
40594,3114,1991,Edwards,10,459509
40595,2245,2007,Edwards,8,307864
40596,2028,1954,OldTown,5,223699
40597,922,1982,Edwards,9,241018
40598,1019,1999,Gilbert,3,110387
40599,2688,1962,CollgCr,10,417306
40600,1206,2018,Somerst,3,119724
40601,2562,1950,Somerst,5,272499
40602,1377,1972,OldTown,6,221341
40603,1715,1998,Edwards,3,190964
40604,2249,1956,Somerst,7,288573
40605,1833,1968,Gilbert,4,200855
40606,2396,1997,Somerst,7,334135
40607,2700,1974,NridgHt,6,305320
40608,2718,1983,Gilbert,7,311985
40609,2302,2018,NridgHt,10,407163
40610,1335,1985,OldTown,3,126127
40611,1042,2001,Edwards,6,146794
40612,1856,1984,Somerst,8,264044
40613,2276,1989,CollgCr,3,200565
40614,2986,2006,NridgHt,8,368755
40615,1354,1987,OldTown,9,306014
40616,2374,2005,Somerst,6,259801
40617,1128,1988,Gilbert,3,109916
40618,1094,1972,NridgHt,7,170215
40619,863,1971,CollgCr,3,98705
40620,826,2011,Gilbert,5,130306
40621,2005,2020,NridgHt,4,210718
40622,1423,1961,Gilbert,10,339592
40623,1398,1987,CollgCr,6,194624
40624,1641,2016,NridgHt,4,173998
40625,3009,2010,Edwards,10,455120
40626,1160,1979,Gilbert,5,146075
40627,1313,2018,CollgCr,10,318211
40628,2112,1955,Edwards,3,178408
40629,2306,2007,Edwards,6,268761
40630,2771,1992,CollgCr,6,268045
40631,1849,1954,CollgCr,9,346160
40632,1258,2008,NridgHt,9,244236
40633,1034,1980,CollgCr,8,230377
40634,2856,1998,Edwards,3,258726
40635,1787,1997,Somerst,6,233812
40636,829,1984,Gilbert,5,122731
40637,1000,1972,Edwards,8,229045
40638,918,1996,CollgCr,10,276773
40639,1383,1953,CollgCr,10,323934
40640,1437,1952,Somerst,5,186486
40641,1892,1968,NridgHt,9,327770
40642,2910,1958,CollgCr,5,297796
40643,2282,1996,Edwards,4,212611
40644,2192,1976,Somerst,3,192837
40645,1841,1951,OldTown,5,206727
40646,2642,1979,Somerst,7,313691
40647,2217,1951,Somerst,5,218757
40648,1833,1970,Somerst,10,362351
40649,1270,1956,Gilbert,8,248043
40650,3006,2010,OldTown,4,287506
40651,1907,1970,Edwards,5,227462
40652,977,1983,Edwards,5,125783
40653,3111,2004,Somerst,4,293744
40654,986,2013,Gilbert,7,213371
40655,2423,1993,Somerst,8,346657
40656,1817,2001,Gilbert,5,217856
40657,1387,1981,Edwards,7,229123
40658,1957,1971,NridgHt,9,322606
40659,1138,1983,NridgHt,6,158326
40660,2116,1970,Edwards,10,405225
40661,1276,1993,NridgHt,3,143439
40662,2978,2000,NridgHt,4,300344
40663,2795,1987,CollgCr,8,337358
40664,1055,2019,Somerst,5,127876
40665,2360,1979,CollgCr,4,223265
40666,2037,1999,OldTown,6,248630
40667,3140,2013,Gilbert,10,484617
40668,1329,2019,Somerst,8,253049
40669,2643,1989,CollgCr,10,407412
40670,1015,1959,CollgCr,6,162551
40671,2486,1970,CollgCr,3,233989
40672,1673,2012,Gilbert,4,163609
40673,1459,1961,OldTown,6,195649
40674,2696,2019,Gilbert,10,432742
40675,3001,1953,Gilbert,6,332290
40676,2458,1987,Gilbert,4,232009
40677,2827,2017,Gilbert,8,358561
40678,1167,2016,Edwards,10,313093
40679,832,2001,Gilbert,3,102835
40680,1498,1956,CollgCr,4,188096
40681,1909,1970,Gilbert,10,352153
40682,2444,1982,Somerst,6,243844
40683,886,1980,OldTown,6,162723
40684,2692,2006,NridgHt,5,303765
40685,3062,1967,Gilbert,6,295555
40686,1463,1990,NridgHt,6,186756
40687,2397,2013,Edwards,10,397208
40688,2913,1992,NridgHt,3,256634
40689,2723,2014,CollgCr,7,331710
40690,2701,1989,NridgHt,9,381806
40691,2108,2002,NridgHt,10,390864
40692,2364,2005,CollgCr,10,398342
40693,2038,1991,Gilbert,6,245132
40694,990,1960,OldTown,6,173093
40695,1087,2006,Somerst,7,200792
40696,2531,2006,Edwards,6,284518
40697,2610,1961,Edwards,6,270890
40698,2712,1991,Edwards,9,390301
40699,2682,2012,NridgHt,4,246854
40700,1907,1999,OldTown,7,272268
40701,2909,2012,NridgHt,8,362774
40702,1377,2012,OldTown,6,201001
40703,1287,1956,CollgCr,6,193103
40704,2481,1976,OldTown,10,406667
40705,1008,1968,NridgHt,10,279029
40706,2402,1983,Edwards,3,196148
40707,1231,1988,Gilbert,9,297539
40708,2820,1998,Somerst,4,260042
40709,930,1989,Somerst,8,222895
40710,2707,1993,CollgCr,5,271124
40711,2247,1987,Somerst,3,198214
40712,2766,2019,Edwards,4,265137
40713,1380,1955,OldTown,6,194130
40714,2671,1972,OldTown,6,298256
40715,1023,1998,CollgCr,7,209107
40716,2899,1971,Somerst,10,435153
40717,1899,1991,OldTown,9,337635
