RoastBatchID,RateOfRise_ROR,ChargeTempCelsius,DevelopmentTimeRatio_Percent,CuppingScore,RoastProfileGrade
1950042,61.5,182.9,44.9,7.0,123.8
1950043,61.8,126.8,39.2,7.5,99.5
1950044,31.6,81.5,46.2,5.1,81.2
1950045,45.4,70.8,14.9,7.7,138.0
1950046,47.0,155.3,45.4,8.8,113.0
1950047,38.5,165.8,54.9,6.1,112.7
1950048,69.3,118.1,68.0,8.1,122.2
1950049,43.1,170.8,42.4,6.8,103.6
1950050,54.2,150.9,52.0,6.2,113.4
1950051,58.6,116.5,65.6,5.6,55.4
1950052,46.4,101.0,58.2,7.5,126.5
1950053,44.7,125.3,23.2,7.0,110.8
1950054,41.8,112.9,55.9,7.8,86.3
1950055,38.8,183.1,59.3,7.2,126.1
1950056,49.3,121.3,39.8,9.0,123.8
1950057,44.6,164.1,57.6,7.1,140.6
1950058,71.4,103.0,57.9,5.0,105.6
1950059,44.1,137.8,47.6,6.7,111.4
1950060,64.9,130.7,42.1,7.2,118.6
1950061,66.2,123.4,63.3,8.9,69.4
1950062,43.3,139.7,50.1,7.1,130.8
1950063,38.2,137.5,30.5,5.4,105.3
1950064,45.1,107.0,39.4,6.6,76.1
1950065,28.5,93.0,52.1,5.1,125.6
1950066,51.6,92.0,36.1,8.2,85.2
1950067,45.7,139.8,31.5,5.9,115.7
1950068,29.9,103.9,24.3,7.8,109.5
1950069,31.8,143.9,51.4,6.2,71.5
1950070,50.4,64.3,63.1,7.4,86.4
1950071,63.3,94.9,56.0,6.4,84.3
1950072,43.1,117.0,38.3,6.1,111.0
1950073,54.4,75.2,44.6,7.2,70.5
1950074,61.9,179.6,48.4,5.5,90.3
1950075,60.8,118.3,48.1,7.6,71.4
1950076,71.2,179.2,47.2,7.1,57.2
1950077,35.9,94.6,58.4,6.3,81.9
1950078,40.1,113.2,32.7,5.2,124.2
1950079,54.2,134.1,53.8,7.1,125.3
1950080,37.5,122.0,57.2,5.3,109.4
1950081,35.2,167.0,54.4,5.6,99.7
1950082,49.4,156.5,69.4,7.7,80.6
1950083,52.4,157.8,43.1,5.3,65.5
1950084,27.6,138.4,38.3,5.2,124.0
1950085,18.7,95.6,52.7,7.2,58.2
1950086,45.4,123.4,51.5,9.0,91.7
1950087,50.9,142.4,62.4,9.9,120.6
1950088,52.7,96.4,75.0,5.2,128.1
1950089,49.2,90.7,55.6,6.0,126.5
1950090,63.6,123.8,39.8,7.3,103.8
1950091,54.3,116.7,60.4,7.5,93.1
1950092,39.3,82.3,49.2,5.4,58.2
1950093,39.2,125.9,54.3,8.1,88.6
1950094,21.3,130.8,34.3,6.8,95.1
1950095,64.6,130.5,36.6,7.0,98.2
1950096,43.2,110.3,66.0,8.9,78.6
1950097,32.7,177.2,43.4,6.0,103.7
1950098,34.7,138.0,49.2,9.5,97.4
1950099,48.9,74.6,38.0,9.9,118.2
1950100,21.1,64.1,36.0,5.6,136.3
1950101,32.8,106.9,50.0,8.7,48.8
1950102,24.5,182.5,49.3,7.4,59.3
1950103,56.7,154.0,45.5,5.5,87.3
1950104,50.9,114.3,56.0,7.8,123.2
1950105,3.6,122.3,34.2,4.7,88.9
1950106,54.6,128.5,41.0,,98.0
1950107,53.6,105.4,43.9,4.8,69.7
1950108,60.8,143.8,47.4,7.6,45.1
1950109,35.0,115.6,50.9,8.8,70.6
1950110,28.1,166.1,44.7,6.5,117.8
1950111,66.7,118.9,57.8,4.7,114.9
1950112,45.6,116.4,22.4,6.9,128.2
1950113,53.5,132.4,35.8,8.0,142.0
1950114,32.6,136.9,47.6,3.8,95.9
1950115,35.7,148.7,56.3,5.2,106.1
1950116,36.3,127.5,28.3,9.3,82.4
1950117,23.4,111.7,42.5,5.2,85.6
1950118,40.4,106.5,55.7,6.8,118.8
1950119,54.1,154.6,45.2,8.8,86.1
1950120,24.8,137.3,55.8,6.4,160.2
1950121,19.4,120.7,34.8,8.8,122.3
1950122,29.9,190.2,62.0,9.0,98.6
1950123,24.3,206.9,50.5,5.2,125.3
1950124,38.1,174.7,59.9,7.7,144.5
1950125,35.3,117.1,29.0,7.5,82.2
1950126,67.3,140.8,42.6,6.7,74.0
1950127,43.3,167.5,65.0,7.1,71.5
1950128,42.8,58.9,46.3,5.8,125.3
1950129,53.2,62.0,44.6,8.3,114.7
1950130,71.7,94.2,69.7,7.2,62.3
1950131,35.5,104.2,29.3,7.8,143.5
1950132,51.7,88.0,74.4,5.7,96.5
1950133,60.3,108.8,51.8,6.6,59.4
1950134,8.6,139.7,16.7,6.3,158.1
1950135,22.5,129.8,25.5,6.2,106.0
1950136,51.2,121.0,42.2,7.8,116.3
1950137,47.1,100.5,34.5,5.3,67.6
1950138,41.0,120.7,43.1,7.7,94.2
1950139,32.2,135.4,29.7,7.3,68.5
1950140,23.4,120.2,35.1,6.2,70.8
1950141,53.9,72.4,43.0,8.1,113.4
1950142,7.7,81.7,50.2,5.1,128.4
1950143,44.6,126.6,45.3,7.0,110.1
1950144,38.6,126.2,28.2,7.4,82.2
1950145,45.2,92.5,42.0,4.6,32.3
1950146,40.0,93.7,66.1,8.7,86.6
1950147,67.1,135.3,48.4,7.9,147.6
1950148,69.0,156.1,43.4,7.7,150.9
1950149,35.7,145.0,44.8,7.1,105.7
1950150,44.0,100.5,43.3,7.7,82.5
1950151,67.3,114.3,43.6,6.4,105.3
1950152,47.2,133.3,41.2,6.5,95.0
1950153,32.5,101.4,39.9,8.8,93.4
1950154,50.1,156.6,32.2,9.1,113.4
1950155,69.3,141.4,54.6,7.3,108.9
1950156,69.0,106.6,64.6,9.0,115.8
1950157,39.9,94.0,52.4,7.0,123.0
1950158,27.7,76.3,49.7,6.9,103.9
1950159,49.4,118.6,37.0,7.1,115.2
1950160,34.0,129.1,61.4,7.3,103.4
1950161,55.5,114.1,39.3,8.0,125.8
1950162,43.1,71.9,42.9,7.5,101.2
1950163,47.5,144.9,20.3,6.6,98.6
1950164,34.9,74.1,37.7,4.8,99.8
1950165,37.5,123.7,54.9,9.6,147.6
1950166,62.8,93.6,67.5,5.3,103.6
1950167,33.9,115.4,54.6,8.1,96.0
1950168,25.1,143.7,61.7,7.1,101.2
1950169,56.9,106.2,20.4,5.3,38.2
1950170,47.5,140.9,67.8,7.8,105.6
1950171,63.1,68.6,35.1,7.7,105.8
1950172,58.3,47.3,40.7,7.1,123.1
1950173,56.8,118.8,55.7,8.3,61.4
1950174,52.6,94.7,27.6,8.6,125.2
1950175,39.0,109.9,47.1,3.1,125.6
1950176,47.6,84.7,30.1,7.9,100.2
1950177,60.2,131.0,53.1,6.8,111.8
1950178,43.9,133.3,48.3,7.3,114.1
1950179,33.3,76.6,49.0,10.0,116.1
1950180,19.4,146.9,52.3,8.2,135.3
1950181,46.0,145.4,39.4,,127.1
1950182,39.8,147.3,47.7,4.5,63.1
1950183,20.6,103.0,31.1,6.7,118.2
1950184,53.2,129.7,46.7,5.3,111.7
1950185,51.6,101.7,46.0,7.4,92.1
1950186,49.4,115.2,26.6,7.0,86.3
1950187,20.9,114.5,47.1,5.3,119.9
1950188,49.9,182.7,40.4,8.1,65.2
1950189,39.1,94.9,32.7,8.7,98.9
1950190,36.8,125.0,67.9,7.7,100.8
1950191,42.4,46.2,42.5,6.1,140.7
1950192,35.9,148.4,50.2,5.7,72.9
1950193,42.6,85.4,69.0,8.2,114.7
1950194,46.8,132.5,23.2,8.7,103.5
1950195,42.0,144.5,32.3,6.3,64.4
1950196,62.6,91.4,65.2,8.0,133.8
1950197,43.7,141.5,24.7,8.9,107.0
1950198,65.2,73.7,68.3,9.1,100.4
1950199,68.3,144.5,60.6,7.0,112.3
1950200,54.3,123.9,53.2,7.2,67.8
1950201,60.0,130.6,46.8,6.5,78.5
1950202,62.4,137.1,29.6,8.7,82.5
1950203,46.7,106.7,17.5,7.7,83.8
1950204,39.5,137.3,34.3,7.5,82.4
1950205,34.6,106.0,63.5,8.6,127.8
1950206,24.9,116.2,55.9,8.0,88.6
1950207,59.7,127.2,64.3,6.6,106.6
1950208,45.9,131.1,74.0,8.3,94.9
1950209,40.4,110.0,43.8,8.7,90.0
1950210,24.2,149.8,49.9,8.2,122.5
1950211,56.7,146.4,36.4,5.2,89.5
1950212,45.1,118.6,37.9,5.8,71.0
1950213,37.5,90.2,39.3,,128.7
1950214,51.1,119.2,43.5,6.3,107.6
1950215,57.5,115.2,43.8,9.4,115.4
1950216,49.1,171.0,53.8,9.7,108.6
1950217,27.1,96.9,40.9,7.4,52.1
1950218,43.7,119.9,40.7,5.8,64.2
1950219,51.0,122.6,50.9,9.3,70.0
1950220,31.4,114.2,58.0,10.0,58.7
1950221,43.4,83.2,43.7,9.7,88.2
1950222,33.1,83.4,53.1,5.9,111.4
1950223,65.3,107.2,41.5,5.3,107.4
1950224,22.3,111.9,42.7,9.7,82.0
1950225,5.8,101.7,30.2,6.8,146.1
1950226,62.1,166.8,49.1,6.4,68.2
1950227,49.4,64.1,54.8,9.9,119.6
1950228,46.0,165.8,31.6,7.0,48.1
1950229,45.8,59.2,23.0,9.4,54.5
1950230,34.5,83.2,37.5,5.0,92.8
1950231,50.6,123.2,43.2,8.2,115.7
1950232,14.4,122.6,17.9,7.8,81.9
1950233,49.3,108.3,54.9,6.7,118.4
1950234,32.1,70.1,51.7,6.5,81.5
1950235,78.5,128.6,67.1,9.5,93.9
1950236,28.7,112.2,56.6,6.2,127.4
1950237,55.1,97.0,55.7,6.7,117.1
1950238,49.3,130.2,26.3,4.4,158.8
1950239,45.6,72.9,32.1,7.3,121.0
1950240,55.9,119.8,56.1,8.6,66.5
1950241,44.3,182.9,43.1,6.7,36.3
1950242,32.4,127.5,74.3,8.5,100.2
1950243,49.3,147.7,56.0,5.1,95.6
1950244,52.2,130.1,49.9,6.7,136.9
1950245,56.4,166.0,59.5,5.3,99.0
1950246,26.3,165.6,48.7,6.0,74.7
1950247,47.0,151.7,68.3,6.6,67.6
1950248,37.2,135.0,36.4,8.9,93.2
1950249,45.8,154.1,22.3,6.6,89.6
1950250,74.9,135.8,42.3,6.7,81.4
1950251,44.5,90.6,58.7,5.0,72.5
1950252,42.6,93.4,26.1,5.3,84.5
1950253,42.1,132.0,51.8,5.0,108.6
1950254,48.5,149.5,38.5,6.9,85.5
1950255,27.6,89.9,42.3,8.3,128.0
1950256,26.7,141.0,52.1,6.8,94.6
1950257,54.9,162.8,52.7,4.8,86.8
1950258,45.9,139.5,47.1,6.4,111.0
1950259,42.6,116.4,46.4,7.0,94.8
1950260,48.1,59.6,59.5,8.0,73.3
1950261,39.9,173.8,51.9,4.9,81.0
1950262,60.6,121.7,33.7,7.6,117.3
1950263,44.0,105.3,37.4,8.9,93.3
1950264,85.6,100.8,45.5,7.9,125.5
1950265,47.5,125.6,30.5,6.8,114.7
1950266,33.9,132.8,50.0,7.6,93.5
1950267,26.8,123.5,55.8,4.1,52.7
1950268,78.2,141.2,20.6,6.5,123.8
1950269,48.0,139.8,35.6,7.8,93.7
1950270,47.6,96.9,46.0,5.6,116.4
1950271,66.5,93.6,34.1,8.8,90.3
1950272,62.2,167.7,31.8,7.1,68.8
1950273,63.5,111.8,63.6,5.1,164.0
1950274,46.3,103.0,51.5,7.0,44.2
1950275,54.4,102.2,31.2,8.1,133.8
1950276,31.9,177.5,46.0,9.2,134.5
1950277,53.3,109.2,56.2,5.2,93.3
1950278,36.1,133.4,32.1,9.1,93.4
1950279,54.3,24.7,52.1,6.7,104.1
1950280,63.8,131.9,61.4,5.0,149.3
1950281,56.4,103.4,48.0,8.3,139.2
1950282,54.6,147.4,56.6,7.2,99.6
1950283,28.8,128.4,43.3,9.3,99.7
1950284,40.8,156.6,40.0,6.4,66.7
1950285,53.3,131.7,48.2,7.4,89.5
1950286,43.2,101.2,32.8,8.6,123.3
1950287,32.4,118.9,54.4,6.1,109.9
1950288,51.8,166.2,37.5,7.5,104.5
1950289,67.7,172.8,50.3,6.0,83.8
1950290,44.3,80.8,38.7,7.2,108.8
1950291,43.6,62.2,43.4,8.7,98.8
1950292,37.6,102.6,39.2,7.7,128.0
1950293,64.8,173.0,24.4,6.4,84.0
1950294,14.5,137.2,56.4,6.5,61.7
1950295,43.2,78.1,45.9,6.2,103.3
1950296,61.3,104.1,54.4,6.4,120.1
1950297,80.0,111.6,26.2,7.0,103.7
1950298,40.9,155.2,26.5,8.4,118.6
1950299,35.4,118.6,29.0,7.9,91.4
1950300,44.4,164.5,13.9,4.9,71.3
1950301,54.5,92.1,63.4,6.3,102.7
1950302,44.5,127.4,50.5,8.1,130.6
1950303,54.8,79.1,57.1,6.5,132.8
1950304,61.2,183.5,53.4,6.8,95.5
1950305,43.7,144.7,61.8,6.3,106.8
1950306,28.1,142.9,39.2,8.1,98.4
1950307,37.4,154.0,46.8,9.5,74.0
1950308,34.3,142.6,61.8,4.4,82.4
1950309,21.6,127.0,40.9,4.7,103.3
1950310,36.4,124.7,65.0,8.1,89.8
1950311,50.0,144.4,57.8,5.6,94.5
1950312,18.4,102.2,52.8,9.8,87.3
1950313,76.4,92.7,56.0,8.3,81.0
1950314,29.9,112.9,53.9,7.6,126.6
1950315,34.9,108.1,37.2,6.7,102.5
1950316,25.4,157.1,59.4,5.6,98.1
1950317,47.3,128.4,25.8,9.7,49.0
1950318,54.3,133.1,47.3,6.2,120.6
1950319,23.5,114.7,27.0,4.7,62.8
1950320,49.0,136.4,62.3,6.8,77.5
1950321,39.2,124.3,42.6,8.3,72.3
1950322,34.2,142.6,42.5,6.5,87.5
1950323,43.2,108.7,30.1,6.0,115.6
1950324,55.3,120.4,42.0,6.8,98.0
1950325,49.1,102.4,45.6,8.4,103.5
1950326,66.0,125.6,47.3,6.6,117.9
1950327,31.4,112.7,52.2,8.6,92.1
1950328,36.3,117.1,50.4,6.6,90.5
1950329,30.0,180.5,26.7,8.5,90.6
1950330,32.6,81.1,26.3,4.7,94.8
1950331,34.7,125.8,34.0,7.0,105.1
1950332,42.4,113.1,67.2,7.6,62.8
1950333,29.6,109.1,68.4,6.4,118.8
1950334,37.1,111.9,43.6,7.8,80.3
1950335,63.3,154.9,36.9,8.1,118.9
1950336,55.3,120.7,56.9,6.3,57.3
1950337,51.0,161.2,53.7,8.0,120.3
1950338,50.2,140.3,47.2,10.0,108.9
1950339,53.3,76.9,32.0,5.9,88.8
1950340,44.1,65.8,47.0,7.8,89.3
1950341,63.8,141.3,77.2,10.0,111.3
1950342,54.2,131.6,40.0,7.0,105.8
1950343,48.6,63.2,66.5,5.9,136.9
1950344,37.2,89.5,59.3,7.2,138.7
1950345,37.7,115.6,54.5,7.8,96.0
1950346,37.7,127.0,50.8,7.4,55.0
1950347,43.9,127.5,33.0,6.3,125.3
1950348,77.4,81.5,21.6,8.9,139.2
1950349,57.4,159.8,28.3,6.4,124.3
1950350,74.2,118.1,24.4,7.5,87.8
1950351,65.0,105.6,61.4,9.1,127.0
1950352,78.5,91.7,66.3,10.0,76.0
1950353,66.5,101.2,32.1,6.8,119.8
1950354,52.9,148.8,62.5,6.5,125.3
1950355,34.8,71.6,59.2,7.1,117.9
1950356,39.8,107.8,28.5,6.0,102.5
1950357,54.0,90.1,37.7,7.2,72.8
1950358,61.0,99.4,20.9,6.4,125.3
1950359,30.1,174.0,64.3,6.9,137.0
1950360,53.5,76.0,50.8,7.1,84.2
1950361,43.2,127.1,38.4,7.6,40.5
1950362,49.3,147.2,32.2,4.9,94.9
1950363,67.5,83.9,55.6,6.0,140.1
1950364,53.7,97.2,42.4,6.7,158.3
1950365,25.7,106.0,44.4,4.9,138.9
1950366,46.3,104.5,64.8,6.3,93.8
1950367,27.2,114.7,37.5,6.1,144.7
1950368,51.0,122.8,46.0,8.2,118.5
1950369,34.3,102.8,62.5,6.0,107.2
1950370,45.8,96.0,29.9,8.6,103.5
1950371,50.5,120.3,64.4,6.0,80.0
1950372,31.9,64.8,38.6,6.9,84.4
1950373,39.6,136.3,46.8,7.6,112.6
1950374,33.4,97.2,35.3,5.4,158.6
1950375,44.5,101.1,25.9,7.8,94.1
1950376,31.4,110.7,71.8,8.6,68.4
1950377,29.3,85.3,58.7,8.3,107.1
1950378,70.3,96.4,29.9,5.9,76.2
1950379,45.3,78.4,45.4,7.7,81.4
1950380,23.6,105.1,52.8,7.1,109.2
1950381,35.0,155.9,54.1,7.0,66.8
1950382,71.6,115.8,80.3,7.5,101.9
1950383,45.8,140.3,69.2,6.8,110.5
1950384,40.1,102.7,36.1,5.3,86.8
1950385,37.9,123.2,51.2,6.5,78.4
1950386,19.1,119.5,46.5,6.5,73.0
1950387,42.5,135.9,21.1,7.9,107.4
1950388,42.1,81.5,46.6,7.1,108.3
1950389,32.7,91.3,61.1,7.5,94.5
1950390,26.4,139.3,72.5,8.5,85.1
1950391,51.7,127.3,33.4,7.6,131.8
1950392,53.3,87.4,56.4,4.8,79.4
1950393,54.8,123.0,98.5,7.5,138.2
1950394,33.2,126.9,47.5,7.6,74.2
1950395,50.6,103.0,18.1,7.4,124.8
1950396,24.8,140.2,53.2,9.0,107.7
1950397,32.3,123.6,39.6,6.2,60.1
1950398,60.4,115.3,66.9,7.7,115.0
1950399,57.8,183.3,27.4,6.6,110.1
1950400,48.7,97.0,28.5,5.6,108.7
1950401,46.5,93.6,7.7,7.9,136.6
1950402,43.1,122.9,79.1,8.6,38.9
1950403,42.3,136.8,37.7,7.5,78.3
1950404,8.5,92.8,34.7,8.1,73.4
1950405,55.4,89.8,59.7,7.7,144.0
1950406,47.0,112.6,32.0,5.6,134.2
1950407,58.3,134.7,18.4,,89.4
1950408,37.0,123.9,34.6,4.3,99.2
1950409,71.0,94.7,17.8,10.0,82.8
1950410,20.1,143.6,54.4,6.5,98.5
1950411,53.0,156.7,42.5,6.3,68.9
1950412,54.4,123.7,41.3,7.5,118.3
1950413,22.6,124.6,18.0,7.4,100.1
1950414,41.7,86.9,52.7,6.6,92.5
1950415,31.5,85.4,49.6,7.7,91.7
1950416,47.2,121.4,41.5,7.0,65.6
1950417,39.3,123.1,48.7,7.1,98.5
1950418,48.7,84.8,44.6,8.8,106.2
1950419,56.5,88.8,63.3,7.0,57.8
1950420,22.4,124.1,42.1,8.6,55.3
1950421,28.1,140.0,71.4,6.5,106.0
1950422,29.8,137.4,54.5,6.6,73.5
1950423,12.1,143.8,57.3,6.0,90.5
1950424,31.4,73.1,34.0,6.8,136.9
1950425,48.5,79.1,53.8,7.1,88.8
1950426,39.2,89.5,39.8,5.1,155.7
1950427,36.0,122.2,38.1,8.3,113.9
1950428,43.4,135.6,39.4,4.8,111.6
1950429,53.4,111.6,68.1,7.3,86.9
1950430,39.8,97.2,53.4,5.8,140.1
1950431,27.2,141.7,39.1,7.8,110.1
1950432,35.0,127.9,45.4,8.2,99.5
1950433,27.8,159.9,42.3,6.7,119.3
1950434,57.5,166.6,26.0,7.0,83.9
1950435,40.0,106.3,61.4,7.3,60.0
1950436,43.3,118.3,67.3,8.8,125.1
1950437,47.2,111.9,51.4,6.5,124.8
1950438,58.1,127.2,67.7,8.7,67.2
1950439,48.8,139.5,32.9,6.8,120.3
1950440,28.1,127.1,21.8,4.4,43.6
1950441,32.9,133.6,30.5,7.6,126.5
1950442,22.0,108.5,53.0,10.0,28.8
1950443,73.3,137.8,46.8,6.9,69.7
1950444,51.9,102.3,47.1,4.7,94.0
1950445,34.2,142.3,56.8,6.4,82.1
1950446,15.9,133.1,57.6,9.3,94.9
1950447,51.1,129.6,45.8,6.7,125.6
1950448,50.0,88.0,23.3,5.4,98.3
1950449,33.6,90.5,47.5,5.0,65.1
1950450,53.2,81.3,40.6,9.0,76.9
1950451,66.6,141.3,46.5,9.0,105.9
1950452,51.6,100.2,49.5,7.6,90.9
1950453,43.6,148.1,13.5,8.9,128.4
1950454,51.1,119.3,31.9,7.2,109.9
1950455,44.6,154.1,57.0,6.7,105.9
1950456,42.1,110.5,9.7,8.6,104.6
1950457,42.0,121.6,72.7,9.4,130.2
1950458,45.3,75.2,42.7,7.7,113.6
1950459,28.0,110.9,37.8,6.4,87.5
1950460,35.5,103.9,43.1,7.5,102.9
1950461,42.8,81.5,38.9,7.0,100.6
1950462,42.2,158.6,47.0,8.6,62.0
1950463,56.8,88.6,63.3,4.6,29.9
1950464,59.4,125.3,50.0,4.9,68.3
1950465,54.5,125.2,72.9,8.5,109.4
1950466,46.3,145.2,67.2,6.1,116.1
1950467,46.8,143.5,61.0,8.6,108.1
1950468,29.1,77.3,38.4,7.5,92.0
1950469,71.5,117.7,13.0,7.2,138.6
1950470,43.9,75.3,71.8,8.8,97.3
1950471,50.0,108.8,40.2,5.8,102.8
1950472,48.2,167.3,48.1,8.3,61.2
1950473,33.0,77.6,55.0,6.9,48.4
1950474,53.5,108.0,36.5,8.3,142.3
1950475,35.1,62.8,40.1,7.9,113.1
1950476,58.8,108.9,55.2,7.9,70.0
1950477,57.5,151.8,0.0,9.5,107.7
1950478,60.1,147.6,46.4,7.6,91.3
1950479,12.0,72.6,42.0,6.9,69.3
1950480,58.4,163.1,56.0,8.3,97.8
1950481,33.2,147.1,43.3,8.8,110.6
1950482,40.5,104.0,45.8,5.2,145.3
1950483,48.6,89.3,28.0,8.4,120.5
1950484,58.0,109.6,78.1,8.4,91.6
1950485,52.8,146.2,37.6,8.4,124.9
1950486,57.8,94.8,38.7,8.9,86.4
1950487,53.3,93.2,48.0,4.9,79.4
1950488,47.8,129.6,42.8,5.4,127.6
1950489,47.6,73.2,71.2,6.1,78.8
1950490,46.0,59.2,32.8,8.6,108.5
1950491,66.7,135.5,43.3,6.4,109.1
1950492,54.2,129.0,41.8,8.2,31.7
1950493,25.3,84.6,78.3,6.7,98.0
1950494,40.1,91.6,24.8,7.5,125.1
1950495,51.8,133.1,53.7,9.3,49.2
1950496,45.8,106.2,47.2,7.7,98.0
1950497,59.9,88.1,57.9,6.9,90.7
1950498,55.9,109.1,59.2,6.6,106.1
1950499,67.0,93.6,32.9,8.9,143.8
1950500,47.8,109.7,43.4,8.0,119.4
1950501,47.7,124.1,43.6,7.7,106.5
1950502,33.7,97.4,52.7,6.9,153.5
1950503,41.1,113.2,24.6,6.1,133.2
1950504,49.8,112.5,66.6,9.3,152.4
1950505,71.3,87.4,42.9,5.6,49.7
1950506,23.8,116.0,32.4,7.4,102.6
1950507,29.3,160.6,32.8,7.3,85.2
1950508,55.2,120.9,54.6,,66.0
1950509,33.8,134.9,48.0,7.3,39.3
1950510,29.1,150.8,49.7,7.2,91.7
1950511,69.2,69.8,13.3,7.6,75.9
1950512,41.2,133.4,77.9,8.9,99.5
1950513,69.9,129.6,47.9,9.7,37.1
1950514,17.1,144.5,6.3,7.7,160.9
1950515,48.5,125.0,29.9,7.4,70.2
1950516,55.6,80.4,55.6,6.1,82.6
1950517,44.6,101.0,42.2,8.8,116.4
1950518,48.7,110.1,34.8,6.5,60.4
1950519,28.9,53.6,52.6,5.1,100.4
1950520,46.5,105.2,41.2,5.4,63.7
1950521,18.8,81.7,38.1,4.7,84.1
1950522,56.6,98.7,59.5,5.2,59.9
1950523,55.4,139.1,31.6,6.7,94.6
1950524,43.3,126.3,57.8,5.6,92.0
1950525,42.9,154.4,55.5,7.0,96.6
1950526,42.9,135.5,73.4,9.7,95.7
1950527,61.8,129.7,45.8,9.7,119.4
1950528,21.3,110.2,47.5,5.9,69.2
1950529,68.9,67.5,33.8,8.1,92.3
1950530,73.2,86.7,52.3,7.1,119.8
1950531,32.5,94.4,60.6,8.1,142.0
1950532,47.8,137.7,69.9,8.1,104.6
1950533,89.5,65.9,59.0,6.5,89.4
1950534,46.0,143.0,60.8,8.5,82.1
1950535,41.5,106.7,47.8,5.2,78.1
1950536,34.6,131.4,38.6,7.9,87.2
1950537,63.7,129.1,52.0,5.6,166.9
1950538,35.1,82.8,39.9,6.9,74.5
1950539,14.8,115.1,67.2,6.7,66.9
1950540,64.2,164.4,66.0,5.2,87.4
1950541,15.2,109.0,33.6,8.9,79.9
1950542,33.3,163.1,65.8,5.1,73.5
1950543,15.4,115.3,62.9,8.5,121.9
1950544,57.4,143.5,53.8,8.2,59.0
1950545,32.7,115.2,44.8,7.4,92.0
1950546,35.9,78.0,30.5,6.1,141.7
1950547,12.6,104.2,42.0,6.8,108.6
1950548,68.6,97.6,46.6,7.6,65.9
1950549,24.3,110.9,47.3,6.7,124.8
1950550,51.6,94.7,32.4,8.4,72.5
1950551,71.4,85.3,51.4,5.1,91.9
1950552,33.5,104.4,27.4,7.6,67.0
1950553,21.4,97.7,35.2,9.4,62.0
1950554,9.0,114.4,36.8,8.6,123.4
1950555,52.4,90.9,29.9,8.5,19.4
1950556,53.0,101.3,4.8,10.0,63.3
1950557,42.5,113.1,61.4,4.5,104.8
1950558,28.4,105.2,63.2,7.0,154.4
1950559,50.3,95.8,56.7,7.0,117.1
1950560,38.4,97.8,35.8,7.3,88.7
1950561,36.4,125.4,45.9,7.0,73.7
1950562,30.4,153.4,27.7,7.5,149.6
1950563,32.7,92.9,52.0,9.4,83.8
1950564,58.7,114.1,44.7,10.0,82.8
1950565,28.2,106.8,61.0,6.9,86.7
1950566,34.8,107.5,54.6,9.0,98.3
1950567,45.2,88.9,45.2,7.6,100.5
1950568,55.1,143.3,44.6,5.9,114.6
1950569,46.2,180.2,53.1,7.2,92.9
1950570,44.7,100.5,46.1,5.1,136.3
1950571,20.5,123.2,51.8,7.2,143.5
1950572,14.5,140.3,53.8,7.7,108.6
1950573,46.7,128.2,35.2,6.5,108.5
1950574,42.3,123.4,43.7,8.3,110.2
1950575,56.5,109.9,25.4,5.1,82.1
1950576,68.9,142.3,31.5,6.8,131.2
1950577,59.7,81.4,52.5,7.6,80.7
1950578,54.4,102.5,31.6,7.7,73.2
