SectorID,NDVI_Value,SoilSalinity,DailySunshineHours,CropYield_KgPerAcre,GrainProteinRatio_Percent
1960078,82119.0,133.3,6.0,144.7,55.7
1960079,41762.0,106.6,42.1,90.6,49.4
1960080,76651.0,59.7,21.3,115.1,61.8
1960081,66246.0,96.3,17.5,128.0,61.9
1960082,103734.0,112.1,8.1,79.2,41.9
1960083,78378.0,56.8,6.4,110.2,62.0
1960084,56163.0,115.2,8.0,99.0,62.1
1960085,57959.0,117.8,17.6,56.6,43.8
1960086,84903.0,97.2,15.4,119.1,37.3
1960087,68040.0,114.4,35.6,109.1,29.0
1960088,79917.0,98.8,42.1,91.3,22.4
1960089,47211.0,89.1,14.3,159.6,38.4
1960090,28300.0,124.7,16.7,129.0,56.6
1960091,53060.0,120.1,15.6,82.6,53.2
1960092,36682.0,83.1,23.2,69.0,42.2
1960093,68772.0,114.0,30.0,137.6,22.0
1960094,84096.0,95.1,41.1,101.2,44.8
1960095,44679.0,137.1,13.5,98.4,44.0
1960096,76984.0,90.9,27.3,96.3,69.7
1960097,83627.0,100.4,25.1,102.2,36.2
1960098,60761.0,95.4,18.8,135.6,69.0
1960099,48057.0,74.2,20.1,36.2,29.4
1960100,54988.0,71.2,44.0,50.8,45.4
1960101,64856.0,99.3,27.7,64.5,50.8
1960102,69490.0,92.8,29.0,144.3,65.1
1960103,63492.0,133.5,22.3,74.4,9.6
1960104,72570.0,135.3,41.3,130.2,22.4
1960105,65280.0,105.0,38.3,136.1,37.7
1960106,56988.0,85.6,9.1,111.7,31.2
1960107,77722.0,111.9,37.9,89.3,7.5
1960108,54881.0,109.3,27.4,104.5,12.6
1960109,76493.0,113.3,16.9,97.9,35.2
1960110,69360.0,79.4,19.7,70.8,57.6
1960111,67075.0,131.8,7.2,59.8,27.1
1960112,50469.0,127.1,16.5,111.4,41.5
1960113,86333.0,102.7,14.1,92.0,40.6
1960114,57796.0,44.4,41.9,108.8,10.6
1960115,78310.0,122.4,27.8,77.3,41.6
1960116,66931.0,143.4,20.5,105.3,59.1
1960117,51032.0,134.3,22.1,64.9,42.2
1960118,88748.0,140.1,28.3,140.9,49.5
1960119,25998.0,123.6,31.4,41.8,34.3
1960120,87998.0,122.6,33.4,94.0,43.5
1960121,82617.0,90.3,17.9,85.8,38.5
1960122,51132.0,92.1,14.1,134.5,52.8
1960123,61311.0,103.8,18.6,97.9,56.6
1960124,67075.0,102.3,9.7,76.7,38.6
1960125,52444.0,104.4,39.5,106.0,32.3
1960126,54889.0,118.3,8.2,52.6,58.2
1960127,69878.0,82.0,43.0,130.2,48.2
1960128,64179.0,103.4,12.1,69.9,41.2
1960129,42555.0,110.6,32.9,154.0,40.6
1960130,98408.0,91.2,35.1,103.3,34.7
1960131,41569.0,99.6,41.4,43.0,42.8
1960132,60011.0,51.5,15.1,81.5,60.5
1960133,74928.0,108.4,19.8,112.6,45.3
1960134,61800.0,96.7,37.2,112.4,31.0
1960135,70819.0,118.7,35.8,82.5,47.1
1960136,53385.0,72.0,6.5,97.1,53.6
1960137,49634.0,82.9,26.0,119.9,42.4
1960138,87894.0,71.4,31.9,95.3,34.4
1960139,60047.0,130.7,27.9,123.2,63.9
1960140,70568.0,102.4,15.6,149.4,51.0
1960141,57902.0,116.0,15.2,77.1,31.6
1960142,68467.0,108.0,31.3,106.2,17.6
1960143,69004.0,122.0,42.9,133.7,57.8
1960144,69863.0,118.5,37.9,162.0,44.4
1960145,70979.0,133.6,34.1,94.6,26.0
1960146,68470.0,108.3,30.2,103.6,33.4
1960147,74853.0,93.7,25.4,105.6,81.2
1960148,100542.0,129.3,15.8,108.7,66.1
1960149,47277.0,95.9,7.8,72.3,30.3
1960150,49817.0,102.2,16.9,55.4,56.0
1960151,69054.0,121.3,41.3,107.0,46.1
1960152,77807.0,96.1,11.9,76.7,41.9
1960153,69547.0,102.7,40.2,69.0,27.8
1960154,53162.0,88.5,10.6,133.1,44.4
1960155,72065.0,62.1,17.1,126.3,38.2
1960156,39289.0,65.5,40.2,83.3,61.3
1960157,60928.0,94.4,25.2,94.1,33.2
1960158,68726.0,97.7,24.0,99.7,54.9
1960159,78039.0,64.2,34.3,111.8,43.1
1960160,68644.0,141.2,40.4,115.7,56.2
1960161,69553.0,122.8,39.6,111.9,33.9
1960162,54306.0,70.1,5.2,108.3,58.6
1960163,54388.0,103.2,31.5,124.9,45.6
1960164,64911.0,74.8,23.1,89.1,67.0
1960165,61762.0,92.4,17.0,91.9,51.9
1960166,89918.0,139.9,21.2,107.2,53.2
1960167,58835.0,122.4,15.0,127.0,70.6
1960168,72942.0,95.3,23.7,85.7,27.8
1960169,56000.0,137.7,28.5,127.7,49.9
1960170,87483.0,118.5,34.6,51.6,49.0
1960171,61411.0,77.2,32.6,139.8,34.2
1960172,73509.0,109.0,13.3,64.0,26.4
1960173,19094.0,88.9,14.7,51.7,36.4
1960174,59225.0,86.4,16.9,120.4,49.6
1960175,22067.0,134.4,30.6,119.2,45.4
1960176,75129.0,85.4,41.0,125.3,50.3
1960177,37655.0,107.0,23.5,105.1,49.6
1960178,30260.0,90.4,22.1,78.5,69.0
1960179,70248.0,114.4,39.1,116.8,53.0
1960180,61704.0,103.2,24.8,102.7,48.1
1960181,70157.0,86.1,35.4,81.3,58.7
1960182,62810.0,102.9,44.5,111.9,44.0
1960183,87195.0,59.2,38.8,89.3,49.9
1960184,51639.0,79.5,15.0,114.5,24.6
1960185,52392.0,118.0,40.9,84.0,33.5
1960186,58908.0,85.5,37.5,103.8,61.5
1960187,70576.0,107.2,34.9,138.8,50.1
1960188,77828.0,160.8,37.5,143.1,60.0
1960189,54817.0,76.7,39.8,95.9,74.7
1960190,93948.0,139.1,38.2,103.0,48.6
1960191,48675.0,80.8,9.7,96.3,61.0
1960192,63840.0,108.2,25.2,88.0,29.6
1960193,76675.0,91.5,10.3,95.0,25.4
1960194,65842.0,26.8,25.2,144.3,42.9
1960195,87932.0,136.6,9.5,124.7,17.3
1960196,57178.0,131.2,14.9,68.6,61.2
1960197,48906.0,107.4,17.3,109.9,67.1
1960198,52963.0,123.0,8.4,114.9,25.7
1960199,46418.0,67.2,37.5,118.6,44.9
1960200,64892.0,50.9,17.3,71.1,93.9
1960201,43722.0,65.1,23.4,108.8,42.0
1960202,46760.0,136.8,31.7,103.5,42.6
1960203,45987.0,94.6,43.8,115.1,14.7
1960204,31057.0,126.1,8.5,127.3,78.7
1960205,38168.0,84.1,38.7,126.9,56.4
1960206,55697.0,107.5,12.4,56.8,57.0
1960207,61194.0,131.0,17.7,63.1,76.7
1960208,89040.0,71.5,32.5,107.2,41.2
1960209,104001.0,175.7,33.1,116.7,35.4
1960210,107791.0,57.5,23.7,74.4,37.5
1960211,69962.0,88.8,26.2,56.2,31.4
1960212,58951.0,90.6,42.6,83.9,25.7
1960213,57460.0,93.0,43.8,85.3,65.2
1960214,76654.0,134.6,44.2,54.2,44.1
1960215,52437.0,136.7,21.1,119.2,36.2
1960216,75842.0,80.3,27.7,92.2,58.0
1960217,28504.0,68.3,34.3,97.9,46.3
1960218,80900.0,99.1,25.7,115.1,15.5
1960219,92641.0,101.3,42.6,129.3,50.7
1960220,64004.0,125.7,25.3,114.1,32.8
1960221,79522.0,97.4,27.8,96.6,39.1
1960222,67989.0,82.8,20.1,81.0,65.5
1960223,68022.0,71.4,25.6,98.6,29.8
1960224,65984.0,95.9,25.1,117.0,42.8
1960225,74327.0,95.0,6.0,118.3,73.9
1960226,84366.0,69.2,12.0,140.4,56.7
1960227,51382.0,104.3,38.6,106.1,46.7
1960228,85614.0,115.8,21.8,153.4,39.4
1960229,58541.0,144.9,37.7,161.7,52.5
1960230,71782.0,143.7,35.7,88.1,40.1
1960231,52782.0,105.8,32.2,154.7,55.1
1960232,82753.0,99.7,15.2,93.2,49.3
1960233,65752.0,110.4,20.3,101.6,32.1
1960234,86938.0,132.6,17.8,125.2,44.0
1960235,85897.0,73.0,34.8,110.4,14.3
1960236,40016.0,99.8,17.3,114.9,18.3
1960237,58165.0,73.2,21.7,121.5,45.3
1960238,45913.0,97.4,21.8,80.9,42.0
1960239,60379.0,85.3,5.2,79.7,17.9
1960240,48163.0,63.2,25.6,99.5,62.2
1960241,73051.0,55.6,32.4,87.0,50.9
1960242,51032.0,67.1,42.8,73.1,47.0
1960243,42962.0,46.3,44.2,97.6,43.8
1960244,64088.0,100.1,7.4,85.3,45.5
1960245,68685.0,105.5,13.1,101.6,54.3
1960246,72458.0,119.8,18.5,138.4,47.3
1960247,84786.0,151.8,44.1,85.3,27.7
1960248,80585.0,122.1,32.9,65.2,0.0
1960249,83801.0,108.6,22.1,70.3,38.2
1960250,47150.0,73.7,42.8,96.9,44.0
1960251,34655.0,121.7,28.5,122.7,27.0
1960252,66818.0,115.8,32.7,107.7,57.3
1960253,58546.0,97.7,8.8,90.3,67.6
1960254,89327.0,92.6,31.7,116.5,35.0
1960255,93479.0,108.9,31.8,106.4,24.7
1960256,93635.0,131.3,36.1,134.6,48.2
1960257,83202.0,63.3,11.6,79.1,56.5
1960258,71677.0,125.4,40.3,111.9,71.3
1960259,55493.0,121.0,30.3,126.2,47.3
1960260,51317.0,135.1,20.1,93.0,58.3
1960261,73392.0,117.8,38.4,70.7,49.3
1960262,94008.0,123.1,12.2,116.7,53.0
1960263,68148.0,110.8,12.7,74.7,60.4
1960264,67523.0,87.9,36.1,104.1,43.7
1960265,68730.0,108.6,36.4,110.2,39.0
1960266,77184.0,106.9,18.8,109.2,22.8
1960267,45910.0,72.2,10.9,78.3,72.6
1960268,46568.0,118.2,15.7,95.9,41.4
1960269,70125.0,83.3,42.5,78.4,62.4
1960270,100669.0,72.0,40.5,57.7,48.1
1960271,62379.0,76.8,21.1,124.2,51.6
1960272,82877.0,101.2,26.9,107.1,54.1
1960273,67978.0,105.4,41.2,105.0,17.5
1960274,46863.0,81.2,5.3,99.4,31.1
1960275,61105.0,56.4,14.1,115.4,34.9
1960276,73295.0,78.3,5.7,134.9,81.2
1960277,94981.0,89.0,44.3,71.8,59.0
1960278,57700.0,96.6,37.4,62.9,49.6
1960279,42235.0,136.1,12.5,87.9,7.6
1960280,59174.0,132.8,39.5,109.8,36.3
1960281,76733.0,107.4,18.2,87.7,19.1
1960282,80120.0,88.6,13.0,61.1,35.9
1960283,89508.0,49.4,40.7,66.3,63.9
1960284,48397.0,84.9,13.1,106.5,38.0
1960285,65510.0,138.3,35.2,90.5,22.2
1960286,54075.0,81.0,23.4,103.2,61.3
1960287,91907.0,117.9,30.9,83.4,23.3
1960288,27239.0,128.0,35.4,87.4,53.7
1960289,72454.0,65.1,31.4,104.5,55.4
1960290,67094.0,104.1,15.6,53.4,17.6
1960291,74283.0,81.0,37.8,91.0,32.6
1960292,54807.0,107.2,11.0,106.8,39.1
1960293,88210.0,116.0,10.4,107.5,63.2
1960294,64713.0,89.5,41.1,67.1,64.5
1960295,73780.0,83.8,19.8,53.7,51.1
1960296,57895.0,110.9,14.1,117.4,37.7
1960297,44853.0,103.2,31.1,110.9,52.5
1960298,66369.0,40.9,12.4,81.8,43.5
1960299,63220.0,114.0,31.9,137.4,26.6
1960300,82717.0,80.1,34.9,86.6,59.7
1960301,35604.0,77.3,35.4,102.5,55.9
1960302,,74.3,29.2,104.8,39.7
1960303,40419.0,77.9,13.6,131.6,44.6
1960304,76200.0,98.2,17.8,134.5,42.6
1960305,108588.0,74.3,26.3,89.2,23.8
1960306,68000.0,106.9,17.7,105.9,37.4
1960307,84729.0,77.4,29.7,71.6,53.4
1960308,81965.0,90.1,29.3,96.3,33.6
1960309,61774.0,101.5,36.5,117.5,66.7
1960310,69333.0,84.8,19.3,99.1,42.3
1960311,101085.0,142.9,26.7,90.5,58.2
1960312,66475.0,106.7,8.2,124.3,69.0
1960313,80724.0,125.4,40.2,129.4,33.8
1960314,15258.0,74.9,6.5,129.3,42.9
1960315,66346.0,79.7,17.8,85.4,49.8
1960316,74233.0,135.9,13.0,92.1,66.1
1960317,101914.0,82.7,20.6,91.5,39.6
1960318,56455.0,105.4,41.0,106.7,40.3
1960319,51980.0,45.5,39.0,82.3,30.0
1960320,52150.0,114.2,20.7,85.1,59.8
1960321,36656.0,107.7,24.7,126.3,40.6
1960322,81484.0,103.7,24.1,57.6,54.5
1960323,93512.0,65.0,13.0,122.5,57.1
1960324,,96.8,38.3,128.4,29.3
1960325,68161.0,117.2,13.3,32.5,44.2
1960326,69330.0,125.3,20.5,108.2,65.0
1960327,69555.0,147.6,40.4,64.5,72.7
1960328,76199.0,99.9,38.6,109.1,45.9
1960329,49302.0,104.1,16.7,115.7,50.3
1960330,48921.0,66.1,19.9,84.7,30.6
1960331,74728.0,102.4,36.3,106.6,11.7
1960332,59751.0,128.4,28.1,75.7,26.4
1960333,76810.0,122.9,29.1,103.9,23.8
1960334,93030.0,124.2,26.0,74.9,17.9
1960335,46411.0,91.0,6.9,126.8,41.0
1960336,68136.0,84.0,31.5,152.9,61.4
1960337,68427.0,109.5,9.0,133.0,74.9
1960338,67851.0,80.5,18.7,88.2,50.0
1960339,78563.0,129.8,7.4,125.0,36.0
1960340,57204.0,107.7,18.4,78.5,8.5
1960341,84013.0,78.9,22.4,132.8,52.3
1960342,59158.0,73.1,6.3,84.7,43.2
1960343,79081.0,111.8,42.6,84.6,45.1
1960344,51295.0,82.0,8.9,66.0,39.6
1960345,78955.0,124.3,43.1,82.3,48.4
1960346,72764.0,78.7,31.5,104.2,8.1
1960347,88678.0,108.3,35.2,134.9,38.8
1960348,62313.0,86.0,25.7,86.1,63.2
1960349,15000.0,104.2,5.8,67.1,47.4
1960350,47351.0,107.9,25.8,83.7,50.9
1960351,47361.0,56.3,9.1,86.0,37.0
1960352,49090.0,80.0,8.4,69.7,34.3
1960353,104864.0,147.8,40.4,92.8,39.5
1960354,73389.0,101.3,15.7,105.9,46.2
1960355,82034.0,114.5,18.2,63.5,58.0
1960356,81343.0,120.1,32.9,58.2,33.8
1960357,51467.0,122.1,25.5,101.9,57.0
1960358,46657.0,83.9,42.7,97.4,40.0
1960359,52538.0,97.0,5.4,130.8,48.6
1960360,76564.0,63.8,11.0,53.8,13.5
1960361,51641.0,115.6,8.0,73.5,57.6
1960362,92820.0,165.6,41.7,82.8,49.7
1960363,91109.0,97.3,41.0,132.3,29.4
1960364,55916.0,106.8,32.0,132.1,33.6
1960365,80855.0,114.3,29.1,89.4,47.7
1960366,43856.0,123.3,6.6,127.1,41.1
1960367,75768.0,108.7,40.8,91.4,33.5
1960368,74335.0,86.3,27.0,114.3,61.0
1960369,69395.0,83.2,23.1,97.0,32.1
1960370,47033.0,87.4,7.2,56.3,47.3
1960371,59397.0,74.5,20.3,93.1,32.9
1960372,59715.0,113.4,44.4,135.1,68.1
1960373,56162.0,79.4,29.0,91.2,36.5
1960374,54394.0,96.7,27.3,75.7,56.1
1960375,92048.0,96.5,11.9,126.5,34.8
1960376,62304.0,117.1,40.8,77.6,49.6
1960377,61617.0,74.0,25.0,106.8,53.1
1960378,38657.0,81.2,32.5,168.3,49.0
1960379,74788.0,76.5,33.9,122.6,65.3
1960380,41117.0,95.5,25.6,66.0,48.4
1960381,42139.0,115.9,33.1,69.8,30.3
1960382,102770.0,76.8,19.3,95.8,37.6
1960383,98410.0,79.5,30.3,151.8,59.7
1960384,88105.0,89.0,21.2,70.5,62.9
1960385,104137.0,123.6,16.8,83.5,64.3
1960386,92995.0,148.1,28.8,36.0,21.2
1960387,73032.0,98.2,10.2,145.6,36.2
1960388,74223.0,102.8,31.4,156.1,56.9
1960389,48083.0,146.6,28.8,71.2,58.0
1960390,57809.0,97.5,13.3,118.1,8.3
1960391,34877.0,99.4,30.1,109.9,34.6
1960392,91758.0,146.5,17.4,146.0,48.0
1960393,50960.0,131.8,16.6,68.0,56.4
1960394,93639.0,89.0,31.2,126.9,11.5
1960395,56339.0,72.5,34.6,107.0,28.9
1960396,80969.0,110.3,28.8,81.6,30.3
1960397,80552.0,90.6,11.5,121.1,41.2
1960398,81182.0,99.5,41.7,92.6,49.8
1960399,53803.0,133.8,37.0,100.4,45.4
1960400,74329.0,86.6,20.6,126.7,43.5
1960401,69907.0,91.1,21.8,72.6,47.4
1960402,73880.0,139.3,29.5,98.9,42.9
1960403,65650.0,134.0,21.8,71.9,71.0
1960404,102263.0,112.6,42.5,173.4,38.7
1960405,78373.0,114.6,7.7,45.1,11.8
1960406,59144.0,89.2,16.4,77.1,36.2
1960407,88796.0,82.1,7.4,76.4,61.4
1960408,84965.0,116.0,33.0,126.3,54.3
1960409,67185.0,91.3,39.1,102.3,33.6
1960410,47275.0,81.3,15.7,8.1,62.0
1960411,65989.0,89.8,26.9,129.7,38.7
1960412,66146.0,99.7,33.3,131.1,65.1
1960413,56554.0,80.7,18.8,121.5,56.9
1960414,76037.0,63.7,36.3,98.0,53.5
1960415,57070.0,146.3,20.3,110.9,59.0
1960416,71662.0,89.1,36.1,113.5,41.7
1960417,102840.0,105.2,31.8,86.2,41.0
1960418,34349.0,115.9,21.3,137.4,23.2
1960419,86803.0,157.9,20.2,64.0,52.9
1960420,38519.0,53.1,35.6,79.4,24.0
1960421,60272.0,45.8,39.2,126.2,21.0
1960422,56354.0,82.7,36.9,111.8,48.8
1960423,58312.0,119.8,14.6,134.3,31.0
1960424,70496.0,96.6,21.6,92.5,48.6
1960425,59114.0,129.9,20.3,82.3,62.3
1960426,63607.0,107.0,7.6,155.3,34.8
1960427,34641.0,50.9,23.1,106.4,31.9
1960428,58555.0,140.4,36.1,109.1,40.3
1960429,50953.0,146.2,28.9,109.4,54.2
1960430,43724.0,124.8,16.5,119.9,58.0
1960431,47209.0,67.6,33.2,41.0,38.3
1960432,95517.0,75.8,13.5,65.2,34.8
1960433,58178.0,63.7,26.5,105.6,41.7
1960434,75669.0,113.4,10.0,116.1,43.3
1960435,54476.0,114.7,26.6,88.4,56.7
1960436,63015.0,101.9,21.4,108.6,33.1
1960437,81831.0,96.1,36.9,116.6,18.8
1960438,97402.0,119.0,43.0,119.3,42.6
1960439,36008.0,93.7,25.8,145.0,61.4
1960440,94843.0,67.3,15.2,125.8,36.3
1960441,109398.0,120.9,27.8,105.9,55.6
1960442,63826.0,125.1,13.7,84.8,59.3
1960443,70323.0,128.8,8.2,56.1,44.1
1960444,42597.0,98.0,36.7,113.9,23.9
1960445,75834.0,75.6,32.2,103.9,6.6
1960446,57863.0,94.0,5.1,146.8,31.4
1960447,42860.0,119.9,10.5,130.4,47.7
1960448,95229.0,85.1,19.7,86.3,42.8
1960449,70249.0,78.3,12.7,129.7,40.4
1960450,60171.0,64.7,32.2,130.3,37.1
1960451,90622.0,112.6,5.8,58.8,59.2
1960452,56006.0,86.4,32.0,68.7,53.6
1960453,23111.0,104.2,31.1,117.9,58.7
1960454,53870.0,91.9,38.1,114.3,23.2
1960455,73022.0,115.9,32.3,100.7,58.1
1960456,54723.0,152.3,41.0,93.9,21.8
1960457,95413.0,103.4,27.2,76.8,49.0
1960458,64814.0,91.5,8.7,90.5,44.3
1960459,65023.0,105.0,18.7,75.6,24.8
1960460,40098.0,93.8,19.8,65.9,27.9
1960461,44466.0,105.1,14.0,55.1,43.6
1960462,71371.0,124.6,18.4,118.4,41.4
1960463,97377.0,108.9,13.3,109.0,68.1
1960464,75050.0,125.4,33.7,141.8,27.2
1960465,19010.0,104.3,38.7,118.7,53.5
1960466,69794.0,91.1,10.2,114.6,23.9
1960467,59085.0,144.9,16.3,79.7,36.7
1960468,42689.0,117.7,38.2,85.9,24.4
1960469,45018.0,111.7,32.2,151.5,80.7
1960470,52347.0,95.1,16.6,119.5,55.7
1960471,75197.0,78.2,24.2,92.7,36.8
1960472,64812.0,115.9,32.6,72.4,39.7
1960473,55928.0,101.5,27.7,47.4,42.2
1960474,41876.0,71.1,23.7,103.2,47.9
1960475,90989.0,123.9,11.5,105.0,52.2
1960476,54179.0,118.1,42.3,137.3,33.4
1960477,64469.0,118.2,41.1,82.1,57.2
1960478,70671.0,80.2,17.3,101.1,24.1
1960479,59563.0,125.5,13.5,93.2,31.5
1960480,47711.0,102.2,33.5,115.2,60.8
1960481,60615.0,87.1,39.6,124.7,62.8
1960482,58774.0,122.8,9.5,93.2,54.6
1960483,64626.0,88.8,22.9,111.4,72.5
1960484,42456.0,93.3,20.5,116.9,63.0
1960485,99563.0,84.0,28.0,115.6,54.6
1960486,66956.0,87.0,12.9,108.7,64.7
1960487,60639.0,88.5,44.9,100.6,67.1
1960488,61267.0,106.2,20.6,75.5,36.6
1960489,32040.0,109.4,18.5,84.2,31.0
1960490,24487.0,91.8,19.7,143.7,25.8
1960491,50594.0,86.6,23.1,147.3,41.6
1960492,79228.0,123.4,13.0,76.9,66.7
1960493,44653.0,82.1,18.5,91.3,47.1
1960494,59503.0,59.2,25.4,78.7,47.4
1960495,87852.0,147.2,39.5,104.8,34.6
1960496,81640.0,104.6,24.2,119.5,56.0
1960497,37037.0,67.1,27.4,109.4,52.7
1960498,75349.0,91.9,30.3,74.2,22.2
1960499,30363.0,96.9,17.2,62.6,36.9
1960500,86652.0,91.0,11.2,122.1,57.2
1960501,77601.0,122.0,7.8,135.2,40.1
1960502,62530.0,129.6,43.5,114.8,47.0
1960503,58252.0,102.6,30.0,142.7,66.1
1960504,80390.0,110.7,30.3,101.5,28.1
1960505,85114.0,127.2,6.3,118.2,33.2
1960506,77052.0,108.2,34.6,147.3,31.4
1960507,75065.0,89.2,17.9,133.0,82.0
1960508,48919.0,108.4,10.3,153.5,48.5
1960509,78550.0,103.6,7.2,69.8,35.3
1960510,48287.0,121.8,32.9,95.6,32.4
1960511,55056.0,126.5,26.0,88.2,54.7
1960512,33099.0,94.9,16.5,130.1,51.4
1960513,97169.0,118.7,28.2,152.9,45.7
1960514,73570.0,87.2,14.9,121.6,50.8
1960515,82451.0,117.8,30.8,86.7,18.6
1960516,95464.0,54.7,17.5,101.0,48.9
1960517,75632.0,86.0,21.5,102.2,71.9
1960518,66262.0,127.0,5.2,59.4,52.4
1960519,51160.0,104.3,34.1,120.3,48.9
1960520,79329.0,81.6,41.1,108.9,57.5
1960521,16762.0,133.9,27.1,98.3,57.1
1960522,69966.0,98.7,18.1,66.0,44.3
1960523,,123.3,25.7,87.7,50.0
1960524,80691.0,117.2,38.2,72.7,64.4
1960525,39666.0,99.0,8.9,88.1,42.0
1960526,26984.0,93.0,14.3,53.3,36.7
1960527,92807.0,84.1,10.2,102.5,55.5
1960528,81033.0,73.5,23.3,63.3,57.1
1960529,34160.0,87.9,43.8,76.3,42.4
1960530,69195.0,123.4,6.1,112.8,38.3
1960531,43443.0,135.4,8.1,84.9,49.1
1960532,55496.0,136.9,43.4,104.8,62.5
1960533,77622.0,69.1,18.2,102.1,55.2
1960534,44287.0,86.1,30.5,60.7,75.3
1960535,46887.0,109.9,36.2,99.6,40.2
1960536,56362.0,93.8,25.2,91.8,38.6
1960537,90218.0,110.0,32.4,84.8,24.7
1960538,57309.0,129.7,5.5,166.1,45.2
1960539,67489.0,99.1,29.5,133.4,25.7
1960540,60771.0,131.1,33.4,109.9,14.0
1960541,57623.0,109.4,25.3,133.6,43.3
1960542,54424.0,85.7,24.9,43.5,37.8
1960543,64052.0,78.2,38.2,115.7,67.0
1960544,69573.0,67.1,30.8,93.7,29.4
1960545,24925.0,107.3,8.5,137.4,63.9
1960546,67253.0,85.0,15.8,99.9,60.9
1960547,70342.0,92.6,27.2,136.7,48.1
1960548,89572.0,56.8,23.5,54.3,11.3
1960549,66232.0,116.4,25.5,96.7,45.3
1960550,76911.0,106.8,40.4,122.9,64.5
1960551,60310.0,66.8,14.9,165.4,37.8
1960552,72245.0,101.6,35.3,94.7,56.8
1960553,54555.0,53.9,6.3,103.0,37.2
1960554,61221.0,118.7,31.5,121.3,30.3
1960555,63530.0,116.7,21.4,128.0,68.6
1960556,66274.0,137.9,38.7,108.9,38.7
