CommentID,ToxicityScore_Percent,ReportCount,ModeratorIntervened,CommentLengthChars,UserWarningIssued
1670136,71.5,109.5,1,84.0,1
1670137,32.0,67.2,0,76.7,0
1670138,71.9,48.9,0,98.2,1
1670139,54.9,91.7,0,86.4,1
1670140,41.5,84.2,0,72.7,1
1670141,24.6,65.1,0,113.1,1
1670142,67.4,146.5,0,139.1,1
1670143,34.9,133.6,0,95.0,1
1670144,83.8,92.1,0,100.5,0
1670145,51.1,63.9,0,120.6,1
1670146,71.4,108.7,0,66.5,1
1670147,45.2,98.5,1,118.9,1
1670148,37.0,112.5,0,145.8,0
1670149,49.6,128.9,0,120.9,1
1670150,18.9,92.4,0,119.9,0
1670151,68.8,83.4,0,88.8,0
1670152,46.7,125.8,0,104.8,1
1670153,47.4,121.7,1,105.7,1
1670154,60.9,88.8,0,84.4,0
1670155,47.3,79.9,0,120.3,0
1670156,37.3,119.0,0,105.7,0
1670157,34.7,107.2,1,118.1,1
1670158,34.3,72.7,0,130.0,1
1670159,34.2,25.0,0,121.3,1
1670160,67.2,114.0,0,52.9,1
1670161,44.6,85.6,1,29.8,1
1670162,51.0,91.7,0,109.2,0
1670163,60.4,88.8,1,72.4,1
1670164,47.4,88.5,0,126.3,1
1670165,37.0,127.8,0,107.5,0
1670166,72.8,124.0,0,123.5,1
1670167,34.4,106.1,0,109.7,1
1670168,35.2,99.9,0,99.4,1
1670169,40.6,98.6,0,57.9,1
1670170,59.6,93.7,1,124.2,1
1670171,40.8,107.4,0,86.8,0
1670172,28.6,174.8,0,120.2,1
1670173,68.2,132.0,0,57.3,1
1670174,41.7,112.8,1,130.4,1
1670175,79.5,119.0,0,101.9,1
1670176,55.2,104.7,1,23.7,0
1670177,61.0,62.0,0,87.7,0
1670178,45.8,94.7,0,84.6,1
1670179,39.3,104.9,0,135.0,0
1670180,33.3,101.3,0,80.5,0
1670181,63.6,67.1,0,100.7,1
1670182,37.9,75.9,0,106.8,0
1670183,57.8,99.9,0,128.4,1
1670184,36.6,77.4,0,100.0,0
1670185,62.5,122.1,0,109.7,0
1670186,39.6,127.2,0,118.0,1
1670187,26.0,119.4,0,75.3,0
1670188,28.0,122.9,0,142.6,0
1670189,25.7,95.9,0,109.5,1
1670190,50.4,117.5,0,100.2,1
1670191,74.2,93.7,0,116.5,1
1670192,21.4,43.8,0,103.1,1
1670193,67.5,77.0,0,99.5,1
1670194,46.9,95.7,0,127.0,1
1670195,39.1,100.5,0,54.4,1
1670196,38.8,88.8,0,96.6,0
1670197,15.1,53.9,0,117.9,1
1670198,32.2,77.9,0,97.5,1
1670199,43.5,100.1,0,116.2,1
1670200,40.7,102.9,0,112.7,1
1670201,50.4,102.0,0,134.8,1
1670202,53.7,84.4,0,123.4,1
1670203,72.9,140.7,1,99.6,1
1670204,45.3,53.5,0,72.6,1
1670205,54.8,94.5,0,61.1,0
1670206,55.6,68.7,0,126.0,0
1670207,48.5,77.1,0,117.4,0
1670208,42.5,93.8,0,95.5,0
1670209,42.5,88.4,0,156.7,0
1670210,60.1,83.4,0,58.3,0
1670211,28.3,99.7,0,145.9,1
1670212,43.1,113.6,0,112.0,0
1670213,55.0,96.5,0,36.5,0
1670214,55.9,98.7,0,84.4,0
1670215,34.5,117.0,0,104.2,1
1670216,,98.3,0,130.3,0
1670217,41.8,97.1,1,86.1,1
1670218,33.5,118.5,0,98.2,0
1670219,41.5,134.0,0,119.9,0
1670220,27.9,86.4,0,80.9,0
1670221,44.3,128.6,0,93.6,1
1670222,56.5,45.3,1,135.6,1
1670223,40.4,124.4,0,103.5,1
1670224,22.7,86.8,0,129.6,1
1670225,26.0,50.0,0,91.1,1
1670226,42.0,85.2,0,47.0,1
1670227,45.5,129.5,0,98.3,0
1670228,53.3,88.9,0,104.3,1
1670229,49.6,67.8,0,110.7,0
1670230,42.8,104.0,0,114.1,1
1670231,54.1,164.4,0,90.6,0
1670232,49.4,118.6,0,86.8,0
1670233,61.3,95.7,0,91.4,1
1670234,65.1,106.7,0,104.1,0
1670235,41.5,95.5,0,105.9,0
1670236,41.1,134.6,0,85.2,1
1670237,47.4,117.0,0,125.7,1
1670238,63.1,116.5,0,135.4,0
1670239,44.5,118.0,1,169.6,1
1670240,32.9,96.7,0,60.2,1
1670241,61.3,88.3,1,82.5,0
1670242,37.4,101.2,0,105.0,1
1670243,69.9,57.3,0,97.1,0
1670244,51.3,112.7,1,111.0,0
1670245,63.2,100.7,0,77.7,0
1670246,52.7,89.4,0,119.0,1
1670247,33.3,112.6,0,110.0,1
1670248,14.3,99.4,0,118.5,0
1670249,37.8,67.4,0,101.1,1
1670250,59.8,66.2,0,115.9,1
1670251,47.4,89.2,0,125.0,1
1670252,57.9,125.6,0,114.6,1
1670253,70.4,90.4,0,145.7,1
1670254,21.3,122.3,0,116.6,0
1670255,42.1,100.4,1,86.6,1
1670256,42.4,122.8,0,50.9,1
1670257,45.3,110.1,0,92.9,0
1670258,70.0,107.7,0,77.7,0
1670259,27.9,72.4,0,118.3,0
1670260,25.4,88.4,0,74.2,0
1670261,65.1,98.8,0,47.4,0
1670262,28.8,121.2,0,85.5,1
1670263,,128.1,1,97.0,1
1670264,49.2,122.3,0,65.3,1
1670265,53.9,84.1,0,94.7,0
1670266,45.7,85.5,0,47.7,0
1670267,50.2,82.0,1,92.8,0
1670268,25.7,104.4,0,125.7,0
1670269,18.3,100.9,0,100.6,0
1670270,47.3,64.7,0,66.2,0
1670271,39.9,107.7,0,74.1,0
1670272,18.1,107.4,1,130.5,0
1670273,40.6,74.8,0,78.1,0
1670274,68.9,139.5,0,78.2,0
1670275,22.2,103.2,0,102.8,1
1670276,48.5,131.4,1,72.2,0
1670277,25.8,135.9,0,72.8,1
1670278,35.3,90.3,0,72.2,1
1670279,48.5,80.0,0,71.6,0
1670280,31.5,103.0,0,111.4,0
1670281,34.4,115.2,0,92.6,0
1670282,44.7,80.6,0,88.7,1
1670283,46.9,72.9,0,74.0,1
1670284,52.6,156.3,0,94.7,0
1670285,53.8,90.5,0,64.9,1
1670286,32.2,103.8,1,103.2,0
1670287,55.5,102.9,1,80.1,0
1670288,29.8,80.0,0,96.9,1
1670289,53.4,119.6,0,66.5,1
1670290,42.1,80.9,0,133.9,1
1670291,71.4,98.2,1,73.6,1
1670292,48.3,136.5,0,107.1,1
1670293,40.0,97.9,1,107.0,1
1670294,46.4,113.7,0,70.9,0
1670295,31.4,134.7,0,92.0,1
1670296,40.5,51.9,0,63.1,1
1670297,27.6,76.9,0,96.6,1
1670298,49.1,118.1,0,120.0,0
1670299,36.6,108.3,0,114.1,1
1670300,34.9,105.0,0,83.8,1
1670301,60.6,113.5,0,150.1,1
1670302,44.2,104.3,1,109.4,1
1670303,44.0,115.1,0,105.4,0
1670304,47.0,117.5,0,106.1,1
1670305,34.4,79.6,1,116.4,1
1670306,34.5,93.1,0,89.0,1
1670307,39.8,45.5,0,98.0,1
1670308,45.4,79.3,0,95.3,1
1670309,32.4,60.1,1,105.4,1
1670310,22.0,76.4,0,79.0,1
1670311,46.0,87.3,0,98.1,0
1670312,33.8,138.7,0,77.7,0
1670313,51.7,126.1,0,94.2,0
1670314,50.5,115.9,0,86.9,0
1670315,20.9,106.7,0,120.3,0
1670316,48.9,143.9,0,106.9,1
1670317,53.3,103.8,0,108.5,0
1670318,40.3,75.8,0,81.5,0
1670319,74.0,86.0,0,73.8,1
1670320,60.0,114.2,0,103.7,1
1670321,45.8,106.2,1,111.0,1
1670322,35.8,61.6,0,119.7,0
1670323,51.1,95.5,0,77.6,1
1670324,41.8,147.1,0,120.3,1
1670325,63.4,112.8,0,133.7,0
1670326,37.3,53.0,0,101.5,1
1670327,72.6,116.2,0,46.3,1
1670328,47.1,87.1,0,172.4,0
1670329,42.2,93.6,1,67.2,0
1670330,61.3,78.2,0,110.7,0
1670331,56.0,70.9,0,41.8,1
1670332,42.6,93.5,0,135.4,0
1670333,35.3,83.6,0,69.5,1
1670334,47.1,97.5,0,130.1,1
1670335,63.2,77.2,0,93.3,0
1670336,38.2,114.9,0,128.2,1
1670337,49.6,95.3,0,70.3,1
1670338,64.1,97.4,0,66.4,1
1670339,66.5,64.4,0,85.8,1
1670340,59.6,139.6,1,115.1,0
1670341,66.2,87.4,1,107.2,0
1670342,24.8,84.1,0,98.4,1
1670343,54.9,53.1,0,116.3,1
1670344,48.3,102.7,1,84.5,1
1670345,60.8,96.8,1,104.7,0
1670346,54.7,86.9,1,103.2,1
1670347,39.2,116.9,0,113.1,1
1670348,46.5,60.1,0,106.1,1
1670349,48.0,116.9,1,114.3,0
1670350,58.3,91.1,0,79.5,0
1670351,42.0,114.1,0,122.6,1
1670352,37.4,66.4,0,124.2,1
1670353,73.0,98.8,0,90.3,0
1670354,36.5,105.7,0,122.3,1
1670355,20.0,85.2,0,61.4,1
1670356,59.6,98.3,0,76.5,0
1670357,40.6,49.9,0,137.8,1
1670358,30.9,95.3,0,113.0,0
1670359,19.0,140.4,0,135.3,0
1670360,26.6,123.5,0,102.2,1
1670361,65.5,85.9,1,61.0,0
1670362,54.4,68.9,0,91.9,1
1670363,34.3,74.8,0,105.2,0
1670364,53.3,99.1,0,57.5,0
1670365,28.6,130.2,1,120.6,1
1670366,44.5,93.1,0,116.1,1
1670367,36.5,117.3,0,102.8,0
1670368,51.2,149.8,0,92.0,0
1670369,32.5,81.9,0,87.6,0
1670370,67.5,77.7,0,96.8,1
1670371,65.9,110.1,0,83.3,0
1670372,30.5,100.2,0,41.1,0
1670373,54.2,80.4,1,122.6,1
1670374,61.4,110.4,1,145.2,0
1670375,37.1,95.1,0,117.4,0
1670376,36.8,82.9,0,135.2,0
1670377,62.2,138.0,0,77.5,0
1670378,60.8,131.8,0,132.8,0
1670379,6.9,65.5,0,136.3,0
1670380,73.2,125.4,0,92.3,0
1670381,,124.1,0,89.2,0
1670382,40.7,88.9,0,95.1,0
1670383,47.4,64.5,0,111.8,0
1670384,55.1,97.5,0,106.6,1
1670385,27.0,137.3,1,142.2,0
1670386,47.7,84.0,0,125.3,0
1670387,45.1,101.8,0,87.2,1
1670388,62.5,78.0,0,111.5,0
1670389,33.1,116.0,1,105.6,1
1670390,29.4,139.6,0,112.9,1
1670391,61.2,90.5,0,52.7,1
1670392,51.5,71.7,0,143.0,0
1670393,50.2,109.0,0,96.8,1
1670394,36.0,167.7,1,105.8,1
1670395,37.8,128.7,0,122.9,0
1670396,42.5,51.2,0,85.7,0
1670397,37.9,73.1,0,78.8,1
1670398,12.8,83.0,0,120.7,1
1670399,51.8,90.1,0,120.5,0
1670400,43.3,62.8,0,138.1,0
1670401,46.3,90.5,0,83.9,0
1670402,32.8,71.6,0,81.6,1
1670403,57.3,83.2,0,106.5,0
1670404,60.9,87.1,1,83.4,0
1670405,49.8,94.9,0,121.6,1
1670406,52.8,93.4,0,88.9,0
1670407,42.9,152.2,0,141.0,1
1670408,24.6,62.3,0,124.1,0
1670409,32.8,70.6,0,78.7,1
1670410,36.7,103.1,0,101.9,1
1670411,36.9,79.8,0,100.0,1
1670412,45.9,112.9,0,94.8,0
1670413,53.7,108.0,1,70.9,1
1670414,54.9,74.5,1,93.6,1
1670415,38.9,158.7,0,119.9,0
1670416,49.7,83.5,0,102.0,1
1670417,64.5,143.8,1,86.8,0
1670418,36.3,96.3,0,104.6,0
1670419,44.6,60.0,1,73.5,1
1670420,35.7,83.4,0,103.2,0
1670421,40.8,76.0,1,97.2,0
1670422,36.7,104.4,0,93.3,1
1670423,,79.3,0,178.6,1
1670424,55.3,103.0,0,98.1,1
1670425,15.7,103.5,0,66.3,0
1670426,25.2,117.9,0,93.4,0
1670427,41.6,97.0,1,116.7,1
1670428,53.3,104.6,0,88.1,1
1670429,45.6,116.7,0,92.9,1
1670430,60.7,104.0,1,109.8,1
1670431,45.4,130.9,0,73.0,0
1670432,50.9,63.6,0,102.8,0
1670433,56.1,137.7,0,150.6,1
1670434,45.1,116.3,0,133.7,1
1670435,52.3,116.7,0,126.9,1
1670436,43.8,84.7,0,97.1,1
1670437,55.2,80.9,0,124.3,0
1670438,66.5,80.1,0,129.0,1
1670439,60.2,62.8,0,89.3,1
1670440,56.2,87.0,0,66.1,0
1670441,35.8,122.7,0,82.2,1
1670442,,93.0,0,99.5,0
1670443,46.9,135.6,1,62.0,0
1670444,41.9,175.8,0,107.0,1
1670445,44.8,109.9,0,60.1,0
1670446,52.9,133.1,0,152.7,1
1670447,42.0,47.7,1,80.6,0
1670448,79.7,128.5,0,84.0,1
1670449,60.1,131.1,1,81.1,0
1670450,33.7,92.3,0,81.4,0
1670451,67.7,61.9,0,64.1,0
1670452,55.2,54.0,0,61.9,1
1670453,42.1,107.7,0,84.0,1
1670454,50.2,123.9,1,106.9,1
1670455,50.8,146.1,0,61.9,0
1670456,25.2,64.2,1,110.5,0
1670457,57.0,50.4,0,93.8,0
1670458,49.7,103.6,0,74.4,0
1670459,38.6,103.6,1,83.2,0
1670460,9.7,97.5,0,78.9,1
1670461,63.8,130.3,0,97.3,1
1670462,52.6,124.8,0,80.1,0
1670463,60.4,97.7,0,116.3,1
1670464,49.4,89.4,0,113.2,1
1670465,71.5,121.7,0,91.7,0
1670466,28.8,139.4,0,77.2,0
1670467,38.9,99.5,0,63.0,1
1670468,16.2,102.7,0,82.2,0
1670469,35.1,142.7,0,65.8,1
1670470,69.8,115.4,0,96.3,0
1670471,30.5,84.6,0,115.8,1
1670472,48.6,110.5,0,98.6,0
1670473,34.3,92.7,1,66.8,1
1670474,60.4,128.1,1,62.6,0
1670475,44.2,77.1,0,131.8,1
1670476,50.0,172.1,0,114.0,1
1670477,49.7,116.1,0,90.9,0
1670478,38.8,97.1,0,104.2,1
1670479,51.9,104.1,1,126.2,0
1670480,54.9,83.8,0,89.2,0
1670481,48.6,85.2,0,60.8,0
1670482,27.9,95.7,0,85.7,1
1670483,55.2,137.1,1,130.6,1
1670484,43.5,104.0,0,115.5,0
1670485,50.7,92.2,0,128.4,1
1670486,46.1,68.2,0,65.0,1
1670487,43.5,90.0,1,90.3,1
1670488,77.6,65.9,0,109.5,0
1670489,25.6,121.4,0,59.4,0
1670490,40.2,120.8,0,77.8,1
1670491,35.6,107.0,0,101.9,1
1670492,54.8,60.3,1,93.8,0
1670493,56.2,111.7,0,85.6,0
1670494,26.8,147.2,0,71.1,1
1670495,43.4,91.0,1,76.6,1
1670496,36.4,101.6,0,116.5,0
1670497,31.8,90.7,0,117.0,0
1670498,44.4,81.7,0,137.1,0
1670499,39.7,130.1,0,146.1,0
1670500,66.7,74.2,0,103.1,1
1670501,49.1,85.8,1,60.3,0
1670502,61.3,75.6,0,99.8,1
1670503,46.1,123.7,0,85.6,0
1670504,8.9,85.0,0,112.5,1
1670505,44.4,102.3,0,60.6,1
1670506,50.5,73.4,0,143.8,1
1670507,39.8,153.9,0,135.9,1
1670508,48.8,139.0,0,145.9,1
1670509,55.2,103.6,0,137.1,1
1670510,52.3,25.4,0,104.1,0
1670511,,84.7,0,91.3,0
1670512,55.3,150.3,1,132.2,1
1670513,62.4,130.3,0,116.4,0
1670514,47.4,92.0,0,105.6,0
1670515,42.2,119.8,0,63.2,0
1670516,52.8,112.4,1,112.7,0
1670517,37.5,99.1,0,80.6,0
1670518,34.4,48.4,0,100.6,0
1670519,64.1,119.2,0,103.5,1
1670520,39.0,85.5,0,107.8,0
1670521,46.5,117.4,0,66.9,1
1670522,55.2,106.7,1,134.1,0
1670523,2.3,116.0,0,123.2,0
1670524,51.3,70.7,1,106.8,0
1670525,41.4,93.1,0,106.3,1
1670526,70.7,105.9,0,154.3,0
1670527,48.0,138.8,0,58.1,0
1670528,45.5,93.3,0,128.0,0
1670529,50.6,80.8,0,91.3,1
1670530,27.7,130.3,1,81.4,0
1670531,30.1,100.0,0,49.2,0
1670532,,68.8,1,109.4,0
1670533,40.4,107.7,1,114.4,0
1670534,51.8,90.9,0,94.1,1
1670535,30.7,105.1,1,58.3,0
1670536,47.0,117.8,1,51.0,0
1670537,22.6,74.5,0,140.7,0
1670538,18.5,76.7,0,109.5,1
1670539,52.1,80.7,0,130.1,1
1670540,63.6,41.0,0,73.4,0
1670541,38.4,128.6,0,104.0,1
1670542,47.0,97.6,0,94.3,1
1670543,38.7,122.4,1,77.3,1
1670544,59.3,142.6,1,108.6,1
1670545,67.0,85.2,1,78.0,0
1670546,36.3,120.8,0,81.9,0
1670547,24.8,101.1,1,161.6,1
1670548,36.0,86.5,0,94.2,1
1670549,29.2,97.2,0,104.4,0
1670550,63.3,94.8,0,102.9,0
1670551,58.6,126.6,0,105.4,1
1670552,53.1,45.4,0,82.2,0
1670553,50.1,121.7,0,96.4,1
1670554,45.7,78.3,0,92.7,0
1670555,56.1,134.4,0,100.1,0
1670556,36.0,94.3,0,109.9,1
1670557,50.1,73.2,0,83.2,0
1670558,49.3,97.1,0,100.5,0
1670559,91.0,93.5,1,84.9,1
1670560,48.8,83.6,0,99.3,1
1670561,35.5,69.2,0,74.8,0
1670562,27.0,65.3,0,136.0,0
1670563,35.4,109.4,0,107.5,1
1670564,34.7,78.2,0,87.9,0
1670565,68.6,109.0,0,81.7,0
1670566,47.4,121.1,1,107.0,0
1670567,45.1,108.7,0,86.8,1
1670568,47.7,72.8,0,93.6,0
1670569,47.3,111.0,0,71.3,1
1670570,48.6,95.1,0,86.3,0
1670571,45.1,86.1,0,153.6,1
1670572,46.2,77.1,0,116.4,1
1670573,18.1,139.4,0,98.7,0
1670574,40.0,76.9,0,122.7,0
1670575,50.6,60.5,1,83.4,0
1670576,47.8,43.7,0,105.4,1
1670577,54.8,101.0,0,99.3,0
1670578,61.8,154.5,0,120.6,0
1670579,41.7,113.0,0,99.0,0
1670580,79.6,87.8,0,106.5,1
1670581,52.8,74.2,0,125.8,0
1670582,46.5,144.3,0,145.1,1
1670583,51.3,90.2,1,75.3,1
1670584,51.4,108.3,0,91.1,0
1670585,64.9,144.4,0,124.6,1
1670586,19.2,99.1,0,125.5,1
1670587,26.5,99.2,1,119.4,0
1670588,36.3,81.4,1,77.3,1
1670589,41.5,117.9,0,132.7,1
1670590,48.0,123.7,0,68.6,0
1670591,27.8,69.2,0,127.3,1
1670592,,126.0,0,47.4,1
1670593,58.6,123.0,0,80.8,1
1670594,48.4,91.5,0,128.8,0
1670595,50.9,96.6,0,49.4,1
1670596,23.1,105.0,1,136.1,1
1670597,38.3,75.2,1,143.6,0
1670598,36.2,99.0,0,129.1,0
1670599,59.0,118.9,0,129.8,0
1670600,57.8,113.0,0,106.9,1
1670601,,158.9,0,119.9,0
1670602,56.9,68.2,1,78.8,0
1670603,26.9,132.7,0,115.3,1
1670604,40.4,127.3,1,87.4,0
1670605,56.0,129.7,1,148.3,1
1670606,46.0,49.5,0,91.0,0
1670607,72.9,58.5,0,116.3,0
1670608,54.6,113.6,0,74.8,1
1670609,24.9,103.1,0,110.3,0
1670610,38.2,132.9,1,106.2,1
1670611,58.9,125.3,1,90.9,0
1670612,39.8,99.2,1,73.6,1
1670613,37.5,130.9,0,91.2,0
1670614,34.7,77.5,1,78.4,1
1670615,60.5,104.1,0,103.2,0
1670616,46.9,52.5,1,92.0,1
1670617,27.8,150.1,0,92.6,1
1670618,25.9,103.7,0,136.2,0
1670619,61.6,89.3,0,61.8,0
1670620,55.7,79.8,0,117.1,1
1670621,26.9,78.4,0,102.0,1
1670622,46.3,66.7,0,116.2,0
1670623,37.8,137.4,0,67.7,0
1670624,60.1,106.3,0,137.4,0
1670625,45.4,100.9,0,90.7,0
1670626,58.2,136.1,0,115.6,1
1670627,46.6,90.0,0,88.8,1
1670628,43.9,88.9,1,136.2,0
1670629,46.4,96.2,0,117.9,1
1670630,56.9,98.7,1,166.7,0
1670631,50.6,104.8,0,132.1,1
1670632,36.5,135.1,0,66.7,1
1670633,26.9,133.7,0,115.7,1
1670634,56.3,137.4,0,93.6,0
1670635,89.4,100.2,1,118.6,1
1670636,,87.1,0,132.3,1
1670637,28.6,84.5,0,92.4,1
1670638,31.5,117.3,0,74.1,1
1670639,59.6,93.3,0,91.5,0
1670640,88.5,131.0,0,72.9,0
1670641,17.5,123.9,0,99.2,0
1670642,42.1,128.7,0,125.2,1
1670643,63.0,119.5,0,132.8,0
1670644,43.6,87.6,1,121.4,0
1670645,37.5,154.7,0,109.4,1
1670646,21.4,81.6,0,135.4,1
1670647,44.0,94.1,1,52.4,0
1670648,43.4,85.3,0,108.8,1
1670649,55.9,67.8,0,100.0,1
1670650,44.8,122.9,0,101.8,1
1670651,51.2,103.7,0,66.8,0
1670652,,111.7,1,62.1,0
1670653,44.6,96.3,1,66.6,1
1670654,29.8,109.7,0,91.6,0
1670655,54.3,96.1,0,99.3,1
1670656,52.6,101.0,0,116.5,0
1670657,32.2,86.9,0,143.5,0
1670658,20.0,113.3,0,90.4,1
1670659,60.9,108.4,0,134.8,0
1670660,29.0,110.5,0,96.0,0
1670661,62.7,96.2,0,110.8,1
1670662,60.5,101.5,0,135.3,0
1670663,48.2,89.8,0,90.4,0
1670664,65.3,75.4,0,113.6,1
1670665,28.2,96.4,0,114.1,1
1670666,48.0,90.1,0,116.8,1
1670667,38.7,99.9,0,123.3,0
1670668,29.7,85.2,0,90.9,1
1670669,38.8,142.0,0,138.4,1
1670670,55.9,104.5,0,86.7,0
1670671,68.7,87.9,1,88.4,1
1670672,69.3,93.8,0,87.3,1
1670673,,136.3,0,88.4,1
1670674,29.2,116.2,0,76.6,1
1670675,43.5,142.6,0,68.5,0
1670676,25.1,118.6,0,68.4,1
1670677,75.2,174.2,0,90.3,1
1670678,65.8,105.4,1,87.4,0
1670679,29.0,93.0,0,115.8,0
1670680,52.1,60.0,0,96.8,1
1670681,37.5,93.8,0,114.7,1
1670682,78.8,68.9,0,105.1,0
1670683,27.3,98.6,0,137.1,0
1670684,27.2,127.0,0,66.3,0
1670685,62.1,100.4,0,91.2,1
1670686,25.6,74.3,0,162.3,1
1670687,88.3,64.1,0,109.3,0
1670688,43.2,99.8,0,155.4,0
1670689,29.9,78.4,0,137.7,1
1670690,47.3,123.0,0,96.1,1
1670691,40.0,112.3,1,99.5,1
1670692,17.5,86.7,0,111.0,0
1670693,75.5,106.5,0,161.1,0
1670694,49.2,86.4,0,101.0,1
1670695,34.9,62.4,0,80.8,1
1670696,43.2,140.0,0,96.5,1
1670697,29.5,113.7,0,79.0,1
