PolicyID,DriverAge,VehicleType,PolicyType,ClaimAmount,IsFraud
70205,50,SUV,Premium,5396.89,No
70206,31,Sedan,Basic,5111.95,No
70207,61,Sedan,Premium,10331.47,No
70208,27,Truck,Basic,8084.22,No
70209,74,SUV,Basic,9674.61,No
70210,71,Sedan,Premium,1245.94,No
70211,70,Truck,Basic,6503.61,No
70212,53,SUV,Basic,9258.99,No
70213,41,SUV,Basic,3839.02,No
70214,30,SUV,Basic,4711.43,No
70215,54,Sedan,Premium,6997.33,No
70216,42,Sports Car,Premium,12454.29,No
70217,39,Truck,Premium,9033.47,No
70218,53,Sedan,Premium,4362.52,No
70219,43,Sedan,Basic,4669.46,No
70220,36,Sedan,Basic,5166.42,No
70221,64,SUV,Basic,7187.86,No
70222,67,Sports Car,Basic,6137.04,No
70223,53,Sedan,Premium,8877.78,No
70224,24,Truck,Basic,8941.64,No
70225,22,SUV,Basic,7943.83,No
70226,54,SUV,Basic,5293.48,No
70227,70,Sports Car,Premium,15876.48,Yes
70228,73,Sedan,Premium,7457.59,No
70229,51,SUV,Basic,7699.46,No
70230,51,SUV,Basic,3307.53,No
70231,27,Sedan,Basic,4190.52,No
70232,25,SUV,Premium,5552.72,No
70233,23,Sedan,Basic,4105.3,No
70234,69,Sedan,Premium,2038.93,No
70235,37,SUV,Basic,5504.84,No
70236,35,Sedan,Basic,3264.23,No
70237,64,Sedan,Premium,11192.21,No
70238,47,SUV,Basic,7598.28,No
70239,24,SUV,Premium,4535.9,No
70240,57,Truck,Basic,8276.84,No
70241,60,Sedan,Basic,3373.64,No
70242,58,SUV,Premium,9320.89,No
70243,37,Sedan,Premium,6681.11,No
70244,40,SUV,Basic,4740.24,No
70245,44,Sports Car,Basic,7173.06,No
70246,65,Sports Car,Premium,11089.52,No
70247,65,Sedan,Basic,9007.02,No
70248,52,SUV,Basic,5617.12,No
70249,45,Sedan,Basic,4652.15,No
70250,21,Truck,Premium,8245.04,No
70251,39,Sedan,Basic,5407.09,No
70252,74,SUV,Basic,5493.34,No
70253,65,Sports Car,Premium,13860.35,Yes
70254,26,Sedan,Premium,5579.42,No
70255,47,Sedan,Basic,6019.11,No
70256,27,SUV,Basic,5886.02,No
70257,63,SUV,Basic,5843.79,No
70258,62,Sedan,Premium,4318.74,No
70259,33,Sports Car,Premium,11952.61,No
70260,20,SUV,Basic,3397.49,No
70261,48,Sedan,Basic,3493.57,No
70262,60,Sedan,Basic,9930.85,No
70263,31,SUV,Premium,4511.58,No
70264,34,Sedan,Premium,5962.54,No
70265,33,Sedan,Basic,4127.33,No
70266,52,Truck,Basic,12656.27,Yes
70267,27,SUV,Premium,5135.95,No
70268,40,SUV,Premium,5627.82,No
70269,38,Sedan,Basic,3455.0,No
70270,40,SUV,Basic,4852.24,No
70271,34,Sedan,Premium,7755.5,No
70272,61,Sedan,Basic,8475.94,No
70273,56,Sedan,Basic,7380.04,No
70274,21,Sedan,Basic,5942.59,No
70275,44,Truck,Basic,,No
70276,43,Sedan,Basic,3834.49,No
70277,30,Sports Car,Premium,11536.16,No
70278,62,Sedan,Basic,8591.39,No
70279,37,SUV,Basic,3439.2,No
70280,19,SUV,Basic,5423.81,No
70281,26,SUV,Basic,6144.69,No
70282,40,Sedan,Premium,7951.45,No
70283,53,SUV,Premium,1735.63,No
70284,57,SUV,Basic,9592.93,No
70285,54,Truck,Basic,8288.48,No
70286,63,Sedan,Basic,4714.2,No
70287,32,Sedan,Basic,4979.75,No
70288,70,Sedan,Basic,9559.11,No
70289,19,SUV,Basic,2980.31,No
70290,19,Sedan,Premium,5680.86,No
70291,49,SUV,Basic,4005.59,No
70292,71,SUV,Basic,6322.9,No
70293,73,Sedan,Basic,7106.17,No
70294,48,Sports Car,Basic,11875.68,No
70295,71,Sedan,Basic,5680.26,No
70296,21,Sedan,Basic,6033.48,No
70297,27,Sports Car,Basic,10152.12,No
70298,27,SUV,Premium,7437.6,No
70299,59,Sedan,Basic,2980.39,No
70300,27,SUV,Premium,2977.06,No
70301,30,Sports Car,Basic,10814.73,No
70302,35,SUV,Basic,4206.17,No
70303,36,Sedan,Basic,1856.84,No
70304,65,Sports Car,Premium,12217.61,No
70305,72,Sedan,Basic,6902.36,No
70306,51,Sports Car,Basic,8833.04,No
70307,31,SUV,Basic,6233.38,No
70308,69,Sedan,Basic,8330.78,No
70309,72,SUV,Premium,4850.76,No
70310,35,SUV,Basic,5227.51,No
70311,60,SUV,Basic,5016.63,No
70312,65,Sedan,Basic,9098.58,No
70313,73,SUV,Basic,8055.78,No
70314,29,Sedan,Basic,3644.04,No
70315,31,Sedan,Basic,3544.55,No
70316,31,Sports Car,Basic,10021.2,No
70317,40,SUV,Premium,4386.74,No
70318,47,Sedan,Premium,7130.68,No
70319,34,Truck,Premium,9483.1,No
70320,56,SUV,Basic,7968.49,No
70321,44,SUV,Basic,4248.75,No
70322,57,Sedan,Basic,4835.44,No
70323,57,Truck,Premium,12779.74,No
70324,43,Sports Car,Basic,8495.95,No
70325,64,SUV,Basic,3973.62,No
70326,46,Sedan,Basic,6577.85,No
70327,53,Sedan,Basic,5650.58,No
70328,64,Sedan,Premium,10019.19,No
70329,74,Sedan,Basic,4043.37,No
70330,48,Sedan,Basic,5658.66,No
70331,32,Sedan,Premium,5684.59,No
70332,39,SUV,Basic,1737.94,No
70333,40,SUV,Premium,4304.72,No
70334,47,Sedan,Premium,5321.3,No
70335,47,Truck,Basic,6648.59,No
70336,64,SUV,Premium,8875.67,No
70337,64,Sports Car,Basic,12226.34,No
70338,35,Sedan,Premium,4912.07,No
70339,58,Sports Car,Basic,11383.77,No
70340,56,Sports Car,Premium,7399.88,No
70341,32,SUV,Basic,2616.7,No
70342,20,Sedan,Basic,5313.1,No
70343,55,Sedan,Basic,4951.54,No
70344,24,Sports Car,Premium,11034.32,No
70345,61,SUV,Basic,4108.03,No
70346,43,Truck,Basic,9024.12,No
70347,24,Truck,Basic,9791.76,No
70348,56,Sports Car,Premium,9268.19,No
70349,74,SUV,Basic,3158.83,No
70350,56,Sedan,Premium,9245.48,No
70351,30,SUV,Basic,2919.63,No
70352,49,Sedan,Basic,7748.68,No
70353,64,Sports Car,Basic,13942.36,Yes
70354,54,SUV,Basic,7563.32,No
70355,38,Sedan,Premium,2899.01,No
70356,47,Sedan,Basic,8283.11,No
70357,43,SUV,Basic,6718.11,No
70358,34,Sedan,Basic,6882.38,No
70359,49,SUV,Premium,9852.72,No
70360,55,Sedan,Basic,5512.61,No
70361,31,SUV,Premium,7909.36,No
70362,64,Sedan,Premium,7263.79,No
70363,63,Sedan,Premium,5428.43,No
70364,61,Sports Car,Premium,8643.45,No
70365,56,Sedan,Basic,5380.64,No
70366,48,Sports Car,Basic,9459.26,No
70367,22,SUV,Basic,6775.35,No
70368,22,SUV,Premium,5031.89,No
70369,27,SUV,Premium,2659.73,No
70370,22,Sedan,Basic,4384.86,No
70371,71,Truck,Premium,12329.21,No
70372,24,SUV,Basic,4333.25,No
70373,28,SUV,Premium,,No
70374,49,SUV,Basic,6609.93,No
70375,45,SUV,Basic,7277.23,No
70376,56,Sports Car,Premium,9669.6,No
70377,40,Sports Car,Basic,9489.84,No
70378,39,Sedan,Basic,5142.14,No
70379,26,Sedan,Basic,4328.31,No
70380,19,Sedan,Basic,4777.27,No
70381,20,Sedan,Premium,3509.86,No
70382,37,SUV,Premium,5509.65,No
70383,46,SUV,Basic,2842.37,No
70384,47,Sedan,Premium,3859.93,No
70385,60,SUV,Premium,7257.54,No
70386,71,SUV,Premium,5964.33,No
70387,48,Sedan,Basic,6188.91,No
70388,45,Sedan,Basic,8527.22,No
70389,71,Sports Car,Basic,12358.77,No
70390,52,SUV,Basic,7556.57,No
70391,62,Sedan,Basic,6260.11,No
70392,64,Sedan,Basic,5422.88,No
70393,25,Sedan,Basic,4704.09,No
70394,34,Truck,Basic,9933.84,No
70395,30,SUV,Premium,8655.39,No
70396,28,Sedan,Premium,6547.38,No
70397,67,Sports Car,Basic,9127.65,No
70398,21,Sedan,Basic,7217.34,No
70399,73,Sedan,Premium,3305.13,No
70400,74,Sedan,Basic,3721.32,No
70401,48,Sedan,Basic,4908.23,No
70402,61,SUV,Basic,7020.4,No
70403,63,SUV,Basic,5364.48,No
70404,52,Sedan,Premium,4232.15,No
70405,57,SUV,Premium,4591.05,No
70406,46,SUV,Basic,4365.39,No
70407,57,Sedan,Basic,5637.91,No
70408,55,Sedan,Premium,2907.63,No
70409,21,Truck,Premium,10337.47,No
70410,22,SUV,Basic,5487.04,No
70411,44,Sedan,Basic,5551.84,No
70412,41,SUV,Premium,6750.88,No
70413,52,SUV,Basic,7016.41,No
70414,51,SUV,Basic,,No
70415,47,SUV,Premium,2120.81,No
70416,53,Sedan,Basic,5904.86,No
70417,28,Sedan,Premium,6631.04,No
70418,29,Sedan,Premium,1899.91,No
70419,56,SUV,Basic,2655.02,No
70420,60,Sedan,Basic,3907.32,No
70421,25,SUV,Basic,2368.47,No
70422,71,Sports Car,Basic,8264.86,No
70423,57,Sports Car,Basic,9320.38,No
70424,49,SUV,Basic,5533.44,No
70425,27,Sedan,Premium,5607.54,No
70426,51,SUV,Premium,4940.78,No
70427,35,Sedan,Premium,6121.0,No
70428,56,SUV,Basic,5451.31,No
70429,69,Sedan,Premium,4506.3,No
70430,43,Sedan,Basic,5897.57,No
70431,51,Sedan,Basic,4348.99,No
70432,62,Sedan,Basic,6392.32,No
70433,47,Sedan,Basic,7671.76,No
70434,56,SUV,Basic,5828.81,No
70435,30,Sports Car,Premium,10141.32,No
70436,71,SUV,Basic,1849.15,No
70437,52,SUV,Basic,9634.96,No
70438,24,Sports Car,Premium,9006.1,No
70439,67,Sports Car,Basic,12777.63,No
70440,74,Sports Car,Premium,11130.07,No
70441,46,SUV,Basic,4654.28,No
70442,68,Truck,Premium,8737.36,No
70443,47,SUV,Basic,8005.38,No
70444,55,SUV,Basic,8947.36,No
70445,58,Truck,Basic,7623.5,No
70446,42,Sedan,Basic,7900.58,No
70447,46,Truck,Basic,11789.1,No
70448,57,Truck,Premium,9878.99,No
70449,42,Sports Car,Basic,10555.03,No
70450,50,SUV,Basic,6004.95,No
70451,67,SUV,Premium,6525.62,No
70452,36,Sports Car,Premium,9293.96,No
70453,41,SUV,Basic,8593.11,No
70454,21,Sports Car,Premium,9680.1,No
70455,35,Sedan,Premium,7205.84,No
70456,45,SUV,Basic,3658.93,No
70457,67,Sedan,Basic,10814.42,No
70458,40,Sports Car,Basic,8760.02,No
70459,38,Sedan,Premium,6973.2,No
70460,59,SUV,Basic,5345.85,No
70461,26,SUV,Premium,3890.78,No
70462,68,Sports Car,Premium,9629.86,No
70463,61,Sedan,Basic,7409.26,No
70464,64,Truck,Basic,8162.57,No
70465,41,Truck,Premium,6722.49,No
70466,38,SUV,Basic,7394.49,No
70467,56,Sports Car,Basic,9751.84,No
70468,71,SUV,Basic,9086.3,No
70469,32,Sports Car,Premium,8972.36,No
70470,41,Sedan,Basic,5097.2,No
70471,34,Sedan,Basic,5297.06,No
70472,39,Sedan,Basic,3573.99,No
70473,28,SUV,Premium,5856.44,No
70474,54,Sedan,Basic,3624.31,No
70475,68,SUV,Premium,6516.34,No
70476,34,SUV,Basic,5434.35,No
70477,32,SUV,Basic,7531.48,No
70478,24,SUV,Basic,3730.73,No
70479,25,SUV,Basic,3533.17,No
70480,25,Sedan,Premium,7013.49,No
70481,37,Sports Car,Basic,10391.47,No
70482,47,Sports Car,Basic,12464.15,Yes
70483,37,SUV,Premium,6457.15,No
70484,68,Sedan,Premium,9204.99,No
70485,28,Sedan,Premium,4514.95,No
70486,34,Truck,Basic,8200.34,No
70487,23,Sports Car,Premium,9114.37,No
70488,49,SUV,Premium,7988.86,No
70489,72,Sports Car,Basic,17118.91,No
70490,74,SUV,Premium,10145.25,No
70491,52,SUV,Premium,,No
70492,74,Sedan,Premium,8035.09,No
70493,67,Sedan,Basic,5388.5,No
70494,42,Sports Car,Basic,11428.72,No
70495,51,Sedan,Basic,7451.33,No
70496,37,Sports Car,Premium,9034.88,No
70497,40,Sedan,Basic,5255.22,No
70498,32,Truck,Basic,8141.75,No
70499,56,Sedan,Basic,7227.75,No
70500,53,Sedan,Premium,6210.53,No
70501,36,SUV,Basic,5091.0,No
70502,33,Sedan,Basic,5454.6,No
70503,63,SUV,Basic,9688.58,No
70504,36,Sedan,Basic,5734.79,No
70505,63,Truck,Basic,13341.52,Yes
70506,33,SUV,Basic,4549.96,No
70507,62,SUV,Basic,8428.53,No
70508,33,Truck,Basic,8971.37,No
70509,42,Sedan,Premium,5250.75,No
70510,33,Sedan,Premium,6702.73,No
70511,42,SUV,Basic,5033.89,No
70512,36,Sedan,Premium,2069.61,No
70513,51,Sedan,Basic,2117.75,No
70514,63,Truck,Basic,10047.84,No
70515,61,Sedan,Basic,3947.53,No
70516,34,SUV,Basic,3136.99,No
70517,53,Sports Car,Basic,11904.46,No
70518,44,SUV,Basic,6888.75,No
70519,65,Sedan,Basic,3844.34,No
70520,71,Sports Car,Basic,9607.12,No
70521,70,Sports Car,Basic,9738.84,No
70522,42,SUV,Basic,8747.65,No
70523,23,SUV,Basic,5044.54,No
70524,20,Sports Car,Basic,8867.74,No
70525,63,SUV,Basic,7296.63,No
70526,74,SUV,Basic,9299.25,No
70527,19,Sedan,Basic,6001.45,No
70528,62,Sedan,Premium,8450.28,No
70529,36,Sports Car,Basic,9944.79,No
70530,73,Sedan,Basic,10752.2,No
70531,37,SUV,Basic,4465.66,No
70532,38,Sedan,Premium,4682.61,No
70533,48,Sports Car,Basic,11667.4,No
70534,36,Sedan,Basic,6764.32,No
70535,60,Sedan,Basic,4563.14,No
70536,34,SUV,Basic,5647.42,No
70537,47,Sedan,Basic,7004.81,No
70538,63,Sedan,Premium,8818.64,No
70539,21,SUV,Premium,3671.45,No
70540,64,Sports Car,Premium,12741.1,No
70541,56,SUV,Premium,4400.25,No
70542,26,Sedan,Basic,7067.77,No
70543,32,SUV,Basic,6094.71,No
70544,57,Sedan,Basic,5734.03,No
70545,57,Sports Car,Basic,10891.77,No
70546,65,Sports Car,Basic,10358.61,No
70547,52,Sedan,Basic,8693.43,No
70548,30,SUV,Basic,5573.55,No
70549,74,Sedan,Premium,2185.2,No
70550,70,Sedan,Premium,5801.31,No
70551,73,Sedan,Basic,6540.7,No
70552,42,SUV,Premium,5959.37,No
70553,60,Sedan,Basic,7509.36,No
70554,51,Sedan,Basic,4096.71,No
70555,39,SUV,Basic,8239.01,No
70556,30,Sedan,Basic,5804.16,No
70557,68,Sedan,Premium,5266.08,No
70558,20,Sports Car,Basic,9043.83,No
70559,67,SUV,Premium,4313.95,No
70560,26,Sedan,Basic,4220.32,No
70561,42,Sedan,Basic,4081.05,No
70562,50,Sedan,Basic,5558.37,No
70563,63,SUV,Premium,1680.91,No
70564,40,Sedan,Basic,5013.55,No
70565,31,Sedan,Basic,9154.09,No
70566,43,SUV,Premium,6459.95,No
70567,38,Sedan,Basic,3733.66,No
70568,50,Sedan,Premium,4292.81,No
70569,71,Sedan,Basic,2778.65,No
70570,74,SUV,Basic,9074.79,No
70571,59,Sedan,Basic,8761.53,No
70572,42,SUV,Premium,6382.61,No
70573,60,Sedan,Premium,4457.59,No
70574,61,Sedan,Premium,6364.91,No
70575,34,Truck,Premium,11564.97,No
70576,42,Sedan,Basic,5625.27,No
70577,50,Truck,Basic,7719.62,No
70578,24,Sedan,Basic,3455.6,No
70579,28,SUV,Basic,8447.23,No
70580,26,Sedan,Basic,5811.39,No
70581,68,SUV,Basic,7236.13,No
70582,70,Truck,Basic,7710.87,No
70583,70,SUV,Premium,9339.88,No
70584,31,SUV,Basic,3756.62,No
70585,21,Sedan,Premium,5057.76,No
70586,66,Sports Car,Basic,12631.08,No
70587,39,SUV,Basic,6146.35,No
70588,38,SUV,Basic,3802.43,No
70589,58,Sedan,Basic,3246.06,No
70590,59,SUV,Basic,6073.99,No
70591,28,Sports Car,Basic,12327.97,No
70592,73,SUV,Basic,1748.48,No
70593,54,Sedan,Premium,7894.94,No
70594,58,Sports Car,Basic,9106.82,No
70595,65,Sedan,Basic,1861.42,No
70596,51,Sports Car,Premium,10726.21,No
70597,26,Sports Car,Premium,8279.55,No
70598,48,SUV,Premium,8930.69,No
70599,63,Sports Car,Basic,10294.65,No
70600,37,Sports Car,Basic,9474.8,No
70601,28,Sedan,Basic,6356.44,No
70602,43,SUV,Basic,6096.82,No
70603,22,Sedan,Basic,4000.11,No
70604,26,Sedan,Basic,7323.36,No
70605,26,Sedan,Premium,5019.99,No
70606,35,SUV,Basic,4751.53,No
70607,51,Sedan,Basic,4790.75,No
70608,66,SUV,Basic,7153.77,No
70609,49,Sedan,Basic,7921.62,No
70610,63,Sports Car,Basic,12200.44,No
70611,67,Sedan,Basic,11096.56,No
70612,41,Sedan,Premium,8536.28,No
70613,57,Sedan,Basic,5317.38,No
70614,66,Sedan,Premium,2992.97,No
70615,24,SUV,Basic,4882.29,No
70616,38,Sports Car,Premium,12285.43,Yes
70617,29,SUV,Basic,7050.96,No
70618,49,Sedan,Basic,9020.18,No
70619,67,SUV,Basic,7002.77,No
70620,47,Sedan,Basic,4260.91,No
70621,46,Sedan,Basic,5140.24,No
70622,20,Sedan,Premium,2595.11,No
70623,67,SUV,Basic,6248.52,No
70624,40,SUV,Basic,5133.35,No
70625,38,Sedan,Premium,4923.86,No
70626,29,Sedan,Premium,2209.07,No
70627,39,Sedan,Premium,4786.94,No
70628,71,SUV,Basic,6968.63,No
70629,71,Sedan,Basic,3277.69,No
70630,28,SUV,Basic,5810.22,No
70631,73,Truck,Premium,12726.04,No
70632,62,Sedan,Premium,2935.3,No
70633,22,Sedan,Basic,5870.81,No
70634,51,Sedan,Basic,6549.66,No
70635,58,Sedan,Premium,4460.39,No
70636,19,SUV,Basic,5785.52,No
70637,38,Sedan,Basic,5574.65,No
70638,72,Sports Car,Basic,12230.87,Yes
70639,63,SUV,Basic,6992.37,No
70640,62,Sedan,Basic,6426.91,No
70641,39,Sedan,Basic,6293.59,No
70642,59,SUV,Basic,6827.69,No
70643,31,Sedan,Basic,5872.43,No
70644,66,Sedan,Premium,7398.12,No
70645,32,Sedan,Basic,5187.32,No
70646,24,SUV,Basic,3468.02,No
70647,29,Sedan,Basic,6389.8,No
70648,41,Sedan,Basic,6623.25,No
70649,41,Sedan,Basic,5939.63,No
70650,44,SUV,Premium,5616.29,No
70651,74,Sedan,Basic,6340.22,No
70652,19,Truck,Basic,7182.16,No
70653,58,Sedan,Premium,3717.3,No
70654,52,Sedan,Basic,9058.25,No
70655,46,Sports Car,Premium,9265.38,No
70656,68,Sports Car,Basic,15705.68,Yes
70657,49,SUV,Premium,7667.02,No
70658,21,Sports Car,Premium,9570.19,No
70659,49,Sedan,Basic,7275.85,No
70660,69,Sedan,Premium,7324.9,No
70661,64,Sedan,Premium,8714.04,No
70662,52,SUV,Basic,3280.9,No
70663,33,Sedan,Basic,6114.6,No
70664,33,Sedan,Basic,6050.84,No
70665,73,SUV,Basic,10836.71,No
70666,52,Sedan,Basic,5935.34,No
70667,50,Sedan,Basic,4239.52,No
70668,45,Sports Car,Basic,9194.38,No
70669,58,Sedan,Basic,2628.57,No
70670,53,SUV,Basic,7066.09,No
