RunnerID,HalfPassTimeMinutes,FinishTimeMinutes,PaceDropRatio_Percent,HydrationStationsPassed,Bonked
1980225,17.1,25.6,58.5,39.7,81.3
1980226,20.9,13.5,62.4,51.2,75.6
1980227,4.5,6.3,58.0,25.0,100.1
1980228,2.4,5.9,44.3,53.7,65.3
1980229,2.1,6.7,63.1,52.5,126.6
1980230,9.4,1.0,26.7,46.2,110.9
1980231,8.0,5.6,37.8,44.1,81.4
1980232,9.5,30.1,32.3,73.2,105.3
1980233,2.3,25.7,36.4,49.2,127.8
1980234,8.5,31.7,25.5,56.5,95.4
1980235,9.4,2.8,43.3,48.9,125.5
1980236,4.6,18.4,57.5,28.1,77.4
1980237,17.0,19.1,37.9,29.6,104.7
1980238,9.2,3.0,43.7,43.2,125.0
1980239,1.0,3.2,30.9,42.3,98.7
1980240,2.1,27.2,28.3,47.8,88.5
1980241,1.7,9.8,52.2,52.3,95.2
1980242,3.9,6.3,82.1,37.7,62.9
1980243,3.3,26.2,30.1,67.4,40.2
1980244,10.1,8.7,26.8,37.2,55.8
1980245,23.3,13.0,69.8,53.6,102.6
1980246,13.5,6.4,40.4,83.9,121.3
1980247,12.9,40.0,24.6,69.6,76.1
1980248,18.5,19.4,48.6,54.4,169.0
1980249,3.8,16.3,60.5,27.7,129.0
1980250,37.0,2.6,46.8,41.1,94.4
1980251,11.0,14.3,39.5,33.7,122.3
1980252,9.0,21.3,42.1,41.8,96.9
1980253,6.7,1.0,46.8,64.9,175.6
1980254,10.8,22.1,27.4,75.6,82.6
1980255,10.9,11.6,43.9,45.4,123.8
1980256,1.0,20.0,28.0,23.5,135.0
1980257,5.8,43.3,25.8,39.4,119.2
1980258,19.9,20.4,43.7,32.0,123.3
1980259,20.8,6.8,18.8,27.9,110.3
1980260,9.0,28.4,74.5,34.1,84.3
1980261,41.7,2.5,58.9,38.7,120.3
1980262,10.8,9.2,31.4,53.2,123.7
1980263,15.4,15.8,47.6,59.7,100.5
1980264,1.0,29.3,64.4,71.9,119.2
1980265,2.5,1.0,49.4,74.6,161.7
1980266,9.5,1.0,51.0,60.5,65.1
1980267,19.1,1.0,54.8,46.2,121.4
1980268,27.6,46.1,58.1,37.9,86.0
1980269,1.1,5.1,40.3,87.0,87.5
1980270,1.6,29.7,55.5,90.9,121.9
1980271,5.7,6.8,,35.6,63.7
1980272,3.4,10.0,19.1,42.6,47.8
1980273,10.8,15.7,60.1,42.9,131.2
1980274,34.5,19.4,22.5,36.4,31.3
1980275,18.8,6.9,39.5,68.2,87.0
1980276,36.7,5.7,39.6,40.1,110.1
1980277,26.1,1.2,51.2,56.1,140.2
1980278,43.9,2.9,57.7,60.6,77.7
1980279,37.3,14.0,30.3,41.1,104.4
1980280,22.7,11.8,58.1,21.3,106.0
1980281,25.9,9.8,52.7,77.3,115.9
1980282,54.9,41.7,22.4,19.8,98.8
1980283,3.1,1.0,22.5,26.8,81.3
1980284,28.1,8.3,39.7,61.7,92.9
1980285,2.6,3.0,64.7,46.4,82.7
1980286,11.5,14.3,47.2,50.1,123.5
1980287,11.3,9.7,43.5,61.0,81.3
1980288,23.7,1.0,53.0,60.7,112.5
1980289,1.0,15.5,51.6,20.4,32.5
1980290,9.1,13.0,61.4,64.5,83.1
1980291,1.3,5.3,60.0,63.1,126.4
1980292,1.5,16.0,62.3,70.9,135.9
1980293,46.5,2.7,64.1,45.9,108.9
1980294,11.0,41.6,33.1,43.7,87.8
1980295,3.7,12.3,38.1,57.7,86.8
1980296,2.4,6.4,21.1,48.5,87.1
1980297,25.0,24.0,40.9,44.7,125.8
1980298,10.0,96.6,51.6,81.6,101.5
1980299,13.3,2.8,64.4,41.3,82.6
1980300,16.8,6.8,27.1,66.7,98.8
1980301,43.5,12.7,41.9,55.8,116.2
1980302,15.0,7.4,31.4,34.4,114.3
1980303,4.8,4.5,55.3,38.3,68.2
1980304,32.6,1.0,22.3,60.5,65.1
1980305,18.4,18.7,30.3,31.1,116.4
1980306,17.9,14.7,25.6,56.3,123.3
1980307,14.8,11.1,46.0,41.0,109.6
1980308,3.9,5.0,42.0,51.8,131.9
1980309,22.1,8.7,23.9,54.0,98.1
1980310,9.4,7.0,23.6,51.4,148.2
1980311,20.0,1.0,26.4,60.6,106.9
1980312,9.2,48.9,33.6,35.9,119.9
1980313,47.5,45.7,49.8,54.9,128.9
1980314,26.4,27.5,58.2,55.2,97.3
1980315,7.4,76.9,23.7,48.5,114.8
1980316,1.0,27.7,45.1,39.9,119.7
1980317,2.1,2.9,44.0,49.8,112.8
1980318,21.5,28.6,58.6,35.0,90.7
1980319,3.9,15.9,44.0,66.0,119.6
1980320,5.8,32.4,49.7,36.9,107.5
1980321,6.7,2.4,49.1,43.1,104.9
1980322,6.6,4.9,13.8,31.2,111.1
1980323,33.7,3.8,71.8,29.9,115.9
1980324,30.2,1.0,15.4,58.8,110.4
1980325,36.1,28.5,14.8,19.4,97.1
1980326,7.5,37.6,42.9,51.0,111.6
1980327,8.6,9.9,27.9,59.6,116.1
1980328,27.7,12.1,19.6,60.0,53.8
1980329,28.1,8.1,65.1,88.5,110.9
1980330,6.8,17.8,56.9,49.9,86.2
1980331,30.6,18.2,24.0,54.5,80.2
1980332,23.1,29.8,62.8,33.1,96.2
1980333,4.4,4.9,40.9,39.7,102.8
1980334,4.4,59.0,32.7,67.5,115.1
1980335,26.0,4.2,36.1,47.9,165.6
1980336,15.1,1.0,72.3,54.3,79.1
1980337,6.3,40.3,72.1,64.4,125.7
1980338,29.1,1.0,45.9,46.9,131.4
1980339,1.0,8.7,41.0,57.4,90.0
1980340,35.0,3.8,56.1,24.9,107.7
1980341,10.1,70.3,50.9,38.8,107.4
1980342,9.2,11.4,37.6,31.5,81.7
1980343,4.2,1.9,56.5,57.7,61.3
1980344,13.8,8.4,43.9,56.6,55.8
1980345,1.0,24.9,67.1,44.6,79.3
1980346,16.9,5.2,57.4,53.3,94.0
1980347,12.4,32.9,20.4,54.2,155.1
1980348,20.8,18.7,56.2,59.9,92.8
1980349,1.9,4.5,27.5,27.7,98.4
1980350,40.5,12.1,48.3,35.7,115.7
1980351,13.5,30.7,78.2,41.9,133.7
1980352,1.0,17.3,47.0,31.0,140.4
1980353,6.1,5.8,75.9,64.7,96.3
1980354,36.1,19.2,41.6,62.8,124.1
1980355,12.9,8.3,45.0,48.0,41.8
1980356,11.1,13.7,61.0,11.8,73.4
1980357,8.8,23.4,23.4,51.9,136.7
1980358,13.5,22.3,53.5,73.1,93.5
1980359,1.0,20.6,51.4,49.7,108.4
1980360,15.5,18.3,40.1,60.7,86.0
1980361,14.2,18.6,54.1,27.1,95.0
1980362,4.9,13.4,22.3,51.2,94.4
1980363,1.3,46.3,25.5,56.9,90.6
1980364,20.2,18.5,46.3,49.5,80.1
1980365,19.2,33.8,62.2,41.6,100.3
1980366,19.2,20.7,62.3,34.0,78.0
1980367,5.5,7.7,36.5,61.9,94.7
1980368,41.1,1.0,48.8,62.8,82.4
1980369,5.3,23.1,85.8,59.4,141.4
1980370,1.0,9.1,65.9,47.9,87.6
1980371,7.0,65.4,34.0,36.9,102.1
1980372,42.5,9.2,46.0,18.6,103.3
1980373,1.0,2.4,63.6,56.0,103.7
1980374,8.5,6.2,71.0,34.7,143.9
1980375,1.9,3.7,29.1,46.8,83.6
1980376,37.8,14.6,45.9,51.4,51.5
1980377,2.2,10.4,60.2,21.2,89.2
1980378,22.3,1.9,45.4,43.6,122.6
1980379,1.2,4.3,35.2,45.2,87.9
1980380,1.3,32.7,41.9,52.8,154.4
1980381,2.4,23.8,47.9,18.8,115.9
1980382,9.6,17.3,22.7,75.2,91.8
1980383,1.0,9.5,42.5,39.2,69.1
1980384,14.2,2.1,72.6,7.1,75.8
1980385,15.7,14.5,57.8,48.3,133.8
1980386,23.4,19.0,37.3,69.9,94.7
1980387,9.8,10.2,24.5,42.5,109.7
1980388,1.3,2.7,40.4,43.9,96.8
1980389,9.5,18.5,45.8,65.9,93.6
1980390,28.7,1.0,20.0,39.9,124.7
1980391,2.1,16.4,51.1,49.4,68.9
1980392,15.0,27.8,26.8,29.2,101.1
1980393,2.2,23.6,,34.7,91.3
1980394,22.1,36.8,42.0,60.0,87.3
1980395,12.1,14.7,39.1,44.7,93.5
1980396,3.4,1.0,31.0,59.1,80.4
1980397,1.0,21.8,55.8,54.6,114.4
1980398,23.0,6.2,50.7,36.4,114.9
1980399,4.9,15.5,58.5,63.2,101.0
1980400,21.9,5.5,48.3,40.3,82.8
1980401,5.9,16.8,33.2,30.3,46.7
1980402,11.7,3.0,33.7,52.7,135.5
1980403,27.5,9.8,33.0,41.0,63.2
1980404,5.3,34.0,55.7,56.5,92.1
1980405,8.6,4.8,36.1,51.7,70.7
1980406,38.5,22.3,22.7,40.7,97.1
1980407,6.7,44.5,,52.3,96.2
1980408,1.0,6.8,55.2,46.5,95.2
1980409,20.8,7.0,32.3,52.3,102.2
1980410,12.7,15.3,40.7,53.7,136.1
1980411,11.3,4.7,59.4,22.2,67.7
1980412,1.0,24.7,62.3,40.1,92.2
1980413,6.7,1.0,49.0,33.4,111.2
1980414,11.3,27.6,43.0,45.3,97.9
1980415,13.1,19.7,31.1,52.7,112.1
1980416,2.0,15.5,41.6,48.3,71.5
1980417,35.2,3.2,48.5,26.0,172.3
1980418,1.0,4.7,23.6,67.3,107.6
1980419,4.0,8.8,50.2,54.0,72.6
1980420,8.7,6.0,58.2,41.8,99.8
1980421,3.6,16.8,33.5,19.7,110.5
1980422,6.3,13.3,62.1,32.6,115.5
1980423,35.7,3.6,53.2,50.7,136.9
1980424,1.7,9.3,49.5,49.1,115.5
1980425,24.4,28.2,75.5,38.0,57.8
1980426,1.0,10.3,36.3,50.8,133.8
1980427,1.8,15.5,54.4,34.1,56.3
1980428,1.8,7.6,56.8,56.9,67.7
1980429,9.4,3.0,49.0,35.6,162.2
1980430,6.5,50.3,73.4,56.4,107.6
1980431,12.2,3.3,41.1,42.2,104.2
1980432,10.6,28.3,39.1,35.4,146.7
1980433,1.6,17.9,62.5,14.7,130.3
1980434,1.0,8.5,31.8,10.9,91.0
1980435,8.6,1.0,35.0,61.8,99.9
1980436,15.5,12.7,36.6,87.2,123.2
1980437,1.0,4.5,54.5,60.5,126.9
1980438,43.2,10.1,65.3,39.7,79.1
1980439,8.7,17.4,76.4,52.9,82.0
1980440,13.8,23.0,42.8,30.4,71.1
1980441,1.0,37.4,19.9,52.7,111.3
1980442,16.3,16.1,57.0,48.6,141.1
1980443,6.6,15.2,52.9,57.6,34.7
1980444,4.2,7.2,48.9,32.9,81.3
1980445,30.5,5.0,59.0,58.1,67.1
1980446,6.4,20.0,33.2,79.2,137.8
1980447,1.0,12.2,51.7,59.9,113.9
1980448,51.5,4.3,25.1,63.4,122.3
1980449,12.0,11.0,52.9,52.9,119.5
1980450,13.8,8.6,63.0,0.1,136.7
1980451,20.4,25.9,45.5,38.4,121.3
1980452,4.8,20.6,68.8,27.6,39.8
1980453,43.7,16.0,54.0,12.9,115.5
1980454,3.6,1.0,52.3,28.7,161.1
1980455,2.1,14.7,35.1,46.4,130.6
1980456,8.4,9.8,71.3,37.4,87.5
1980457,1.0,17.3,52.4,70.8,109.2
1980458,15.1,3.3,36.0,45.8,90.1
1980459,3.3,11.3,43.7,32.2,88.9
1980460,30.5,3.3,47.6,39.3,113.7
1980461,2.4,19.5,65.6,28.1,113.6
1980462,23.2,1.6,61.6,40.4,59.2
1980463,2.2,5.1,44.3,45.2,77.7
1980464,4.4,50.6,82.0,61.3,96.9
1980465,37.4,5.3,58.6,42.7,81.5
1980466,2.4,10.4,7.5,35.2,124.9
1980467,15.6,12.9,45.0,53.7,118.8
1980468,35.2,1.7,51.6,61.9,93.9
1980469,6.7,24.4,46.5,23.0,55.6
1980470,1.1,48.2,46.6,56.5,132.7
1980471,1.3,1.0,45.5,31.0,117.0
1980472,5.1,29.9,48.4,56.9,107.4
1980473,19.1,2.0,43.1,45.2,46.0
1980474,23.6,27.0,51.8,80.5,126.9
1980475,5.4,13.7,40.9,32.7,38.3
1980476,44.3,1.7,29.9,40.1,55.9
1980477,8.0,2.8,27.6,45.1,104.4
1980478,3.5,13.0,31.3,66.7,32.8
1980479,13.5,1.3,59.8,57.3,87.1
1980480,31.9,7.6,42.7,33.3,172.7
1980481,2.9,2.8,23.9,53.4,130.4
1980482,1.6,3.1,49.2,51.9,43.5
1980483,3.0,4.4,31.9,47.2,93.7
1980484,28.7,1.1,34.2,17.4,104.4
1980485,10.4,8.1,37.0,49.4,100.9
1980486,13.0,13.5,55.6,60.8,95.1
1980487,29.9,8.8,32.0,27.3,139.4
1980488,1.1,1.5,52.8,63.6,83.1
1980489,11.0,5.6,60.0,44.7,89.6
1980490,4.6,12.9,33.8,36.7,118.0
1980491,1.3,16.1,15.4,38.0,110.5
1980492,41.6,2.2,34.0,48.1,124.4
1980493,11.7,18.9,41.3,22.1,97.8
1980494,3.4,1.7,68.4,57.3,96.1
1980495,1.0,13.5,47.9,25.7,128.4
1980496,12.1,1.9,74.3,42.2,110.7
1980497,21.2,37.2,42.3,41.7,112.4
1980498,5.0,9.4,61.7,32.9,115.4
1980499,24.7,11.5,43.5,54.2,103.1
1980500,1.3,8.7,47.3,50.2,107.1
1980501,16.6,10.3,45.8,38.1,118.2
1980502,15.7,17.7,59.8,34.3,112.2
1980503,41.6,26.8,38.8,58.0,92.7
1980504,22.5,22.2,59.3,51.1,120.3
1980505,8.7,1.9,34.7,48.3,99.4
1980506,3.7,12.7,57.7,63.7,108.1
1980507,5.2,8.4,59.9,28.3,69.1
1980508,8.2,4.5,50.4,44.5,137.5
1980509,9.8,4.2,25.0,63.0,108.1
1980510,11.4,8.0,47.1,25.5,135.6
1980511,23.9,10.7,27.1,70.2,106.1
1980512,19.0,2.8,18.4,20.6,112.9
1980513,9.0,11.6,41.0,43.8,100.1
1980514,32.1,26.7,53.2,62.1,150.6
1980515,11.3,16.8,43.7,27.9,135.8
1980516,9.7,35.4,32.5,47.2,138.1
1980517,32.0,12.5,50.2,19.4,131.4
1980518,2.6,22.7,73.0,73.2,101.5
1980519,2.4,16.6,23.2,44.0,80.3
1980520,18.6,1.5,42.5,46.4,63.2
1980521,5.5,32.7,37.0,49.6,119.2
1980522,42.9,16.7,18.5,52.7,96.3
1980523,4.0,3.9,24.8,66.1,134.6
1980524,22.6,11.9,39.3,64.8,83.9
1980525,64.7,37.9,18.2,52.2,126.0
1980526,19.7,22.1,44.0,65.6,122.6
1980527,17.9,30.2,61.9,36.3,58.1
1980528,1.7,81.8,12.7,60.4,107.8
1980529,109.1,10.7,24.6,38.2,100.1
1980530,15.6,8.6,8.3,57.9,69.8
1980531,47.4,12.3,43.9,45.2,106.4
1980532,2.6,16.7,48.1,38.6,118.3
1980533,6.6,5.7,55.2,22.5,105.7
1980534,36.9,4.1,46.6,63.5,111.0
1980535,13.2,4.5,39.7,44.9,101.3
1980536,1.0,11.7,43.7,54.2,57.0
1980537,18.1,58.5,16.0,57.1,128.6
1980538,24.3,29.5,45.8,45.8,143.8
1980539,21.9,18.6,38.3,59.3,119.0
1980540,9.4,9.1,47.6,73.1,103.5
1980541,31.2,12.1,20.5,27.0,61.3
1980542,5.9,2.3,46.1,67.0,67.2
1980543,17.4,11.3,32.5,50.7,104.8
1980544,29.3,16.1,49.8,52.1,135.6
1980545,44.7,5.7,84.3,41.8,109.6
1980546,2.4,17.2,47.5,41.3,169.5
1980547,20.1,1.0,35.7,59.7,111.5
1980548,1.0,30.5,46.3,28.1,77.0
1980549,8.9,12.0,26.5,49.6,100.2
1980550,16.5,8.3,23.0,17.9,68.9
1980551,2.7,12.7,60.3,9.6,126.3
1980552,21.2,15.7,55.6,50.9,109.6
1980553,12.8,2.6,44.7,48.1,96.4
1980554,1.2,14.8,63.6,35.7,92.2
1980555,20.4,5.6,55.9,29.3,87.1
1980556,5.6,22.3,42.4,42.3,110.9
1980557,12.5,10.8,54.7,47.7,96.0
1980558,20.0,2.4,61.4,21.3,96.5
1980559,17.4,11.6,71.2,38.2,69.4
1980560,8.0,2.1,42.6,96.0,104.9
1980561,60.7,12.6,37.6,68.3,115.9
1980562,43.8,47.1,70.8,41.9,98.1
1980563,39.2,2.8,33.3,21.2,142.9
1980564,7.4,44.8,33.9,42.3,89.2
1980565,6.2,3.3,24.7,62.1,59.9
1980566,15.8,12.2,23.6,59.6,72.2
1980567,13.6,1.1,58.1,34.7,105.7
1980568,23.8,17.8,35.5,71.1,131.6
1980569,4.3,82.2,40.8,59.2,123.7
1980570,10.3,8.4,39.1,40.9,71.3
1980571,12.4,27.6,64.5,43.4,99.7
1980572,9.5,12.7,53.0,57.3,126.8
1980573,27.8,19.3,60.1,57.5,65.3
1980574,4.6,4.8,49.7,35.7,113.4
1980575,6.0,11.4,47.6,33.3,108.5
1980576,34.5,37.8,20.4,44.7,87.1
1980577,23.8,17.2,71.4,68.4,40.7
1980578,12.1,26.8,51.3,31.4,101.9
1980579,32.7,50.1,26.4,32.2,93.6
