cab_type,name,distance,price,hour,weather_factor
Uber,Standard,3.49,11.07,18,1.0
Lyft,Standard,5.53,16.23,12,1.0
Lyft,Standard,5.79,18.46,21,1.0
Lyft,Standard,5.07,15.03,2,1.0
Uber,Standard,4.55,18.16,11,1.0
Uber,Standard,2.05,10.43,21,1.0
Lyft,Standard,1.99,7.03,5,1.0
Uber,Standard,6.47,21.47,6,1.0
Uber,Shared,2.68,10.38,9,1.0
Lyft,Standard,5.42,18.2,21,1.5
Lyft,Standard,2.75,13.36,13,1.0
Lyft,Standard,1.58,9.32,22,1.5
Lyft,Standard,3.53,12.33,2,1.0
Lyft,Standard,2.83,12.43,19,1.0
Uber,Shared,2.33,7.04,7,1.0
Lyft,Standard,4.91,14.09,6,1.2
Uber,Standard,2.34,11.3,21,1.0
Uber,Standard,6.11,18.27,12,1.0
Uber,Standard,5.9,16.06,9,1.0
Uber,Premium,5.71,17.77,23,1.0
Uber,Standard,1.27,8.67,11,1.5
Uber,Standard,7.58,19.62,12,1.2
Lyft,Premium,4.28,17.15,2,1.0
Uber,Standard,7.25,23.17,11,1.0
Uber,Standard,1.99,10.5,23,1.2
Lyft,Standard,4.96,14.55,22,1.0
Uber,Premium,7.74,22.43,20,1.0
Uber,Standard,7.99,24.59,22,1.0
Lyft,Standard,0.68,4.87,14,1.0
Uber,Standard,4.11,12.47,23,1.0
Lyft,Standard,2.69,9.13,14,1.0
Uber,Standard,0.98,5.4,10,1.2
Uber,Standard,4.77,14.31,1,1.2
Uber,Standard,0.54,7.31,5,1.0
Lyft,Premium,5.08,19.33,20,1.0
Lyft,Standard,7.03,19.39,19,1.5
Uber,Standard,7.13,21.76,22,1.0
Uber,Premium,7.66,23.24,18,1.0
Lyft,Standard,6.05,20.98,4,1.0
Lyft,Standard,1.89,11.33,3,1.0
Uber,Standard,3.76,10.86,21,1.0
Uber,Standard,7.14,18.62,17,1.2
Uber,Standard,2.41,12.29,1,1.0
Uber,Standard,3.82,15.46,2,1.2
Lyft,Standard,5.13,13.93,13,1.0
Lyft,Standard,1.28,5.96,7,1.0
Uber,Standard,4.18,15.9,21,1.5
Uber,Premium,0.84,6.81,5,1.0
Lyft,Standard,2.84,13.23,2,1.2
Uber,Premium,6.14,18.71,10,1.2
Lyft,Premium,5.87,20.47,16,1.5
Uber,Standard,7.56,19.41,3,1.0
Lyft,Standard,6.33,18.83,11,1.0
Uber,Standard,2.11,8.34,16,1.0
Uber,Standard,7.29,21.77,19,1.0
Lyft,Standard,4.64,17.42,6,1.0
Uber,Standard,6.84,20.54,14,1.0
Lyft,Premium,7.42,22.21,22,1.0
Uber,Standard,6.72,19.82,16,1.0
Uber,Standard,3.46,12.18,17,1.2
Uber,Standard,4.99,16.06,22,1.5
Uber,Standard,3.75,13.97,8,1.2
Lyft,Shared,5.71,19.22,1,1.0
Lyft,Premium,4.14,14.65,3,1.0
Uber,Premium,1.46,5.6,18,1.2
Uber,Shared,5.33,14.93,14,1.2
Uber,Premium,2.04,8.85,9,1.0
Lyft,Standard,6.09,16.69,21,1.0
Lyft,Standard,1.29,9.77,18,1.0
Uber,Standard,0.55,6.73,9,1.0
Uber,Standard,3.01,15.19,20,1.0
Lyft,Standard,7.77,25.77,23,1.0
Uber,Standard,5.76,18.28,4,1.0
Uber,Standard,3.6,14.26,3,1.0
Uber,Shared,1.41,10.69,0,1.0
Uber,Standard,0.95,6.24,4,1.0
Lyft,Standard,5.95,19.96,18,1.5
Lyft,Standard,7.29,22.63,16,1.5
Uber,Premium,0.62,6.72,14,1.0
Lyft,Standard,4.88,17.17,8,1.0
Lyft,Standard,5.96,20.04,4,1.0
Lyft,Standard,2.69,13.11,21,1.2
Lyft,Standard,4.42,19.06,8,1.5
Uber,Standard,6.61,18.97,8,1.0
Uber,Premium,4.97,14.07,12,1.0
Uber,Standard,3.34,11.49,22,1.0
Uber,Shared,1.08,9.2,3,1.0
Lyft,Standard,4.15,14.7,23,1.2
Uber,Shared,4.01,11.11,22,1.0
Uber,Premium,1.86,10.03,2,1.0
Lyft,Standard,1.03,6.39,0,1.5
Lyft,Premium,4.31,14.42,18,1.0
Uber,Shared,2.99,11.14,14,1.2
Lyft,Standard,2.11,8.13,8,1.0
Uber,Standard,1.21,7.11,6,1.0
Uber,Standard,6.78,21.21,17,1.0
Uber,Standard,3.16,15.98,15,1.0
Lyft,Standard,6.7,24.63,23,1.0
Lyft,Standard,0.69,3.06,0,1.0
Uber,Standard,0.52,6.14,11,1.0
Uber,Standard,7.43,23.08,23,1.0
Uber,Standard,5.55,19.15,1,1.0
Uber,Standard,7.96,21.78,6,1.0
Uber,Standard,4.1,12.88,0,1.0
Uber,Standard,1.69,11.59,7,1.0
Uber,Premium,7.64,24.2,6,1.0
Uber,Standard,1.75,7.52,18,1.0
Uber,Standard,3.27,13.18,3,1.0
Uber,Premium,7.51,22.07,18,1.5
Uber,Premium,1.11,7.35,11,1.2
Lyft,Standard,3.9,15.91,2,1.0
Lyft,Shared,7.15,23.22,20,1.0
Uber,Standard,2.9,9.15,17,1.5
Uber,Shared,7.72,19.03,6,1.0
Uber,Premium,7.98,24.57,14,1.0
Uber,Standard,4.15,13.02,1,1.0
Lyft,Premium,2.91,13.07,1,1.0
Lyft,Standard,7.8,24.57,21,1.2
Uber,Premium,7.99,27.24,14,1.0
Uber,Standard,3.84,12.81,2,1.0
Uber,Premium,0.84,7.99,8,1.0
Lyft,Standard,3.85,15.66,16,1.0
Uber,Premium,5.83,17.63,6,1.0
Uber,Standard,5.2,16.89,0,1.0
Lyft,Standard,5.53,17.58,16,1.0
Uber,Standard,7.79,21.55,13,1.0
Uber,Shared,5.46,16.88,10,1.0
Uber,Standard,1.19,8.65,20,1.0
Uber,Standard,4.92,17.84,7,1.0
Uber,Standard,2.09,7.13,14,1.0
Lyft,Standard,6.46,22.49,1,1.0
Lyft,Standard,3.13,13.32,6,1.0
Uber,Shared,4.27,16.26,19,1.2
Uber,Premium,5.78,15.89,7,1.0
Lyft,Premium,1.79,6.85,18,1.0
Uber,Shared,5.01,15.81,18,1.0
Lyft,Standard,1.7,7.19,2,1.0
Lyft,Standard,6.7,20.59,12,1.0
Lyft,Standard,3.0,11.73,10,1.2
Lyft,Standard,4.6,19.25,22,1.2
Lyft,Shared,6.73,23.1,21,1.0
Uber,Standard,7.77,22.82,3,1.5
Lyft,Standard,2.96,8.72,22,1.5
Lyft,Standard,1.16,11.06,4,1.2
Lyft,Standard,7.73,19.83,20,1.0
Uber,Premium,7.92,21.42,14,1.2
Uber,Standard,7.39,22.62,2,1.0
Lyft,Standard,6.88,26.42,21,1.5
Lyft,Standard,4.2,16.26,16,1.2
Uber,Shared,4.01,13.03,12,1.2
Lyft,Standard,4.69,14.23,23,1.0
Uber,Standard,1.3,11.34,13,1.2
Uber,Premium,7.24,20.01,2,1.2
Uber,Standard,5.11,20.03,5,1.2
Lyft,Shared,7.94,25.85,4,1.0
Lyft,Premium,5.69,19.2,0,1.0
Lyft,Standard,3.16,13.7,13,1.0
Uber,Standard,1.8,11.31,10,1.0
Uber,Shared,0.85,8.21,2,1.0
Lyft,Standard,2.95,8.27,0,1.0
Lyft,Premium,3.17,14.62,3,1.0
Lyft,Premium,4.1,10.08,11,1.0
Lyft,Standard,5.44,18.45,21,1.0
Uber,Standard,1.14,5.67,17,1.2
Uber,Standard,2.72,9.7,8,1.0
Uber,Standard,2.03,8.07,18,1.0
Uber,Premium,5.39,15.9,23,1.0
Lyft,Standard,4.83,16.9,2,1.2
Uber,Premium,5.61,16.23,4,1.2
Lyft,Shared,2.13,10.8,10,1.0
Uber,Standard,0.67,5.49,23,1.0
Lyft,Premium,0.79,3.0,12,1.0
Uber,Standard,3.93,10.59,22,1.0
Uber,Standard,7.08,18.91,14,1.0
Uber,Standard,4.54,13.55,23,1.0
Lyft,Standard,4.44,13.69,17,1.0
Uber,Standard,4.58,13.89,2,1.0
Lyft,Premium,4.37,16.23,15,1.0
Uber,Standard,7.15,20.59,8,1.0
Lyft,Standard,3.58,15.76,8,1.0
Uber,Standard,6.65,18.97,8,1.2
Lyft,Standard,6.74,19.05,8,1.2
Uber,Standard,4.96,15.98,2,1.0
Lyft,Standard,1.99,9.43,17,1.2
Uber,Standard,6.31,20.71,13,1.2
Lyft,Standard,0.54,4.95,7,1.0
Lyft,Standard,0.9,8.97,8,1.0
Uber,Standard,4.86,12.97,7,1.5
Lyft,Standard,2.39,9.71,6,1.0
Uber,Shared,2.48,10.68,19,1.0
Lyft,Standard,0.83,11.44,17,1.5
Lyft,Standard,7.23,24.19,4,1.0
Uber,Standard,4.68,12.41,2,1.0
Lyft,Standard,0.68,7.47,16,1.2
Uber,Standard,4.79,18.83,23,1.0
Uber,Standard,5.77,16.66,2,1.0
Lyft,Standard,5.86,19.87,22,1.0
Lyft,Standard,3.85,18.67,4,1.2
Lyft,Standard,3.69,17.48,20,1.2
Uber,Standard,2.58,9.35,6,1.0
Lyft,Standard,7.58,22.25,3,1.0
Uber,Standard,6.42,22.2,21,1.2
Lyft,Shared,7.94,26.78,12,1.0
Lyft,Standard,7.31,20.42,17,1.0
Uber,Standard,3.56,14.18,3,1.0
Uber,Standard,3.78,16.59,5,1.0
Lyft,Standard,5.18,22.83,19,1.0
Lyft,Premium,2.93,10.04,2,1.5
Uber,Standard,0.74,5.35,9,1.2
Lyft,Standard,1.73,12.36,0,1.0
Lyft,Standard,4.67,14.14,6,1.0
Uber,Standard,4.53,14.83,8,1.0
Lyft,Standard,7.79,23.75,4,1.5
Lyft,Shared,4.49,14.39,23,1.0
Lyft,Shared,5.51,16.79,18,1.0
Lyft,Standard,2.53,8.98,3,1.5
Uber,Premium,3.45,12.06,11,1.0
Uber,Shared,1.03,6.34,17,1.5
Uber,Standard,3.83,12.01,7,1.5
Uber,Standard,1.99,6.31,21,1.0
Uber,Standard,0.97,10.61,14,1.0
Uber,Standard,6.45,20.31,21,1.0
Uber,Standard,1.55,9.08,3,1.2
Uber,Shared,7.2,22.78,14,1.0
Lyft,Standard,1.87,7.28,6,1.0
Uber,Standard,6.58,19.58,1,1.0
Lyft,Standard,7.08,25.27,9,1.0
Lyft,Standard,0.57,8.86,7,1.2
Uber,Standard,5.13,15.85,4,1.0
Lyft,Standard,6.57,22.71,11,1.5
Lyft,Standard,7.46,23.08,23,1.2
Lyft,Shared,4.87,17.83,6,1.5
Uber,Premium,6.38,19.39,9,1.0
Uber,Premium,4.29,9.67,2,1.0
Lyft,Premium,4.84,20.03,23,1.0
Uber,Premium,2.27,11.34,13,1.0
Uber,Premium,3.71,11.77,16,1.5
Lyft,Standard,5.38,17.48,5,1.5
Lyft,Shared,2.62,10.93,18,1.5
Lyft,Shared,3.79,15.83,23,1.0
Uber,Standard,7.59,24.12,4,1.2
Lyft,Standard,1.3,10.05,9,1.0
Lyft,Shared,3.5,14.96,18,1.0
Uber,Standard,6.46,17.04,10,1.0
Uber,Standard,1.27,9.32,17,1.2
Lyft,Standard,4.65,17.07,13,1.0
Lyft,Standard,3.13,12.13,13,1.2
Uber,Standard,4.46,14.65,22,1.0
Lyft,Shared,2.96,13.78,9,1.0
Lyft,Premium,1.07,8.8,17,1.2
Uber,Standard,7.21,20.91,12,1.0
Uber,Standard,7.88,18.52,14,1.0
Uber,Premium,3.69,9.7,14,1.0
Lyft,Premium,5.79,16.03,0,1.0
Lyft,Standard,3.66,13.59,19,1.0
Uber,Premium,6.22,19.58,3,1.0
Lyft,Premium,6.48,22.18,0,1.5
Lyft,Premium,2.81,14.5,16,1.0
Uber,Standard,0.83,7.78,0,1.2
Lyft,Premium,7.97,21.29,1,1.0
Uber,Standard,5.78,20.61,16,1.5
Uber,Standard,5.92,22.39,16,1.0
Lyft,Shared,5.38,20.21,15,1.0
Uber,Premium,0.99,8.59,21,1.5
Lyft,Standard,0.89,10.09,17,1.0
Lyft,Standard,4.17,13.92,14,1.0
Lyft,Standard,6.54,22.87,0,1.0
Uber,Shared,7.84,22.85,18,1.5
Lyft,Shared,4.87,16.4,4,1.0
Uber,Standard,1.2,3.0,10,1.0
Uber,Standard,3.12,9.48,3,1.2
Lyft,Standard,7.57,24.45,14,1.0
Uber,Standard,5.42,18.8,14,1.0
Uber,Premium,3.75,12.84,19,1.2
Uber,Standard,7.71,23.26,21,1.2
Lyft,Standard,6.16,19.33,23,1.0
Uber,Shared,1.73,8.43,21,1.0
Uber,Standard,1.58,7.11,18,1.5
Uber,Standard,5.42,16.78,5,1.0
Lyft,Premium,7.85,25.34,2,1.0
Lyft,Standard,6.58,22.39,14,1.0
Uber,Premium,5.87,19.08,20,1.0
Lyft,Standard,6.27,19.23,22,1.0
Uber,Standard,1.72,7.91,4,1.0
Uber,Standard,4.17,14.09,5,1.2
Lyft,Standard,5.08,15.87,11,1.5
Uber,Premium,1.92,8.13,20,1.2
Uber,Standard,0.9,7.52,11,1.0
Uber,Standard,2.46,9.37,12,1.2
Lyft,Standard,7.16,22.08,20,1.5
Lyft,Standard,0.81,4.66,4,1.0
Lyft,Standard,2.66,12.16,16,1.0
Uber,Standard,1.2,8.11,2,1.0
Uber,Shared,5.61,18.16,19,1.5
Lyft,Standard,2.39,9.37,22,1.2
Uber,Premium,4.21,16.61,14,1.0
Uber,Standard,2.72,11.62,7,1.0
Uber,Standard,7.11,21.28,22,1.0
Lyft,Standard,5.91,20.85,23,1.2
Uber,Standard,1.98,13.64,13,1.2
Uber,Standard,5.15,12.38,19,1.2
Uber,Standard,1.51,8.83,7,1.5
Lyft,Standard,2.73,10.59,16,1.0
Lyft,Shared,3.23,10.83,15,1.5
Uber,Standard,3.57,9.61,22,1.2
Uber,Premium,7.51,25.83,15,1.0
Lyft,Standard,0.88,6.81,13,1.0
Uber,Premium,6.57,22.31,11,1.0
Uber,Premium,5.19,18.1,15,1.2
Lyft,Standard,6.64,19.23,21,1.2
Lyft,Standard,2.47,11.23,18,1.0
Lyft,Standard,0.63,7.01,5,1.0
Lyft,Standard,1.1,8.11,7,1.0
Uber,Standard,1.1,8.95,5,1.0
Lyft,Standard,1.77,6.12,23,1.0
Lyft,Shared,1.8,11.18,22,1.0
Uber,Shared,5.7,18.87,23,1.0
Lyft,Premium,5.52,18.05,16,1.5
Lyft,Standard,0.74,9.06,12,1.0
Uber,Standard,4.73,17.03,6,1.0
Lyft,Premium,7.48,23.41,3,1.0
Uber,Standard,4.8,18.04,19,1.5
Lyft,Standard,3.73,14.09,7,1.0
Uber,Standard,1.62,10.6,17,1.0
Uber,Premium,5.28,18.45,2,1.2
Lyft,Shared,3.4,9.5,8,1.0
Uber,Standard,2.76,14.77,17,1.0
Lyft,Premium,1.37,9.86,10,1.0
Lyft,Standard,2.76,13.01,5,1.2
Uber,Standard,1.77,8.06,4,1.0
Lyft,Standard,3.1,14.35,6,1.2
Uber,Premium,1.92,4.83,6,1.0
Lyft,Standard,5.48,17.95,3,1.0
Uber,Premium,6.68,19.38,10,1.5
Uber,Premium,6.18,20.28,20,1.0
Lyft,Premium,3.65,11.24,10,1.0
Lyft,Standard,2.33,10.45,8,1.0
Uber,Standard,4.77,15.5,17,1.0
Uber,Shared,7.24,20.24,14,1.0
Uber,Shared,6.06,16.64,16,1.0
Lyft,Standard,5.7,19.17,22,1.0
Uber,Standard,3.31,10.12,14,1.0
Lyft,Standard,1.82,8.52,17,1.2
Lyft,Shared,1.78,5.14,14,1.0
Lyft,Premium,7.95,22.06,2,1.0
Uber,Standard,1.73,7.41,22,1.0
Lyft,Standard,6.82,23.04,5,1.0
Lyft,Standard,6.34,18.84,18,1.2
Uber,Standard,4.72,13.42,20,1.2
Lyft,Standard,7.35,22.15,11,1.0
Uber,Standard,7.37,23.0,8,1.0
Uber,Standard,6.89,23.55,12,1.0
Lyft,Premium,1.7,9.27,14,1.2
Lyft,Standard,2.97,9.26,7,1.0
Lyft,Shared,4.17,12.12,23,1.0
Uber,Standard,3.46,12.09,7,1.5
Lyft,Standard,1.26,3.71,23,1.0
Lyft,Standard,6.86,22.05,5,1.0
Uber,Standard,2.68,12.12,1,1.0
Uber,Standard,2.88,7.5,11,1.0
Lyft,Shared,6.33,19.42,19,1.2
Uber,Premium,3.05,11.61,19,1.2
Uber,Standard,6.6,21.28,6,1.0
Lyft,Shared,1.38,9.07,0,1.2
Lyft,Standard,6.29,18.25,18,1.0
Lyft,Standard,3.23,15.77,20,1.0
Lyft,Standard,2.51,8.77,7,1.0
Uber,Standard,4.94,16.57,13,1.0
Uber,Standard,2.81,11.29,17,1.0
Lyft,Standard,5.33,18.97,13,1.0
Uber,Standard,5.87,18.54,5,1.5
Lyft,Standard,7.2,25.35,20,1.0
Uber,Standard,2.9,10.43,6,1.2
Uber,Standard,7.49,19.33,1,1.0
Lyft,Premium,7.89,27.81,8,1.2
Uber,Standard,4.76,16.82,11,1.2
Lyft,Premium,3.27,10.31,12,1.0
Lyft,Standard,7.7,19.77,15,1.0
Lyft,Standard,6.55,22.52,3,1.0
Lyft,Standard,4.73,15.13,15,1.5
Lyft,Shared,5.59,23.08,20,1.2
Lyft,Standard,6.77,22.73,16,1.0
Uber,Premium,2.7,11.45,8,1.0
Lyft,Premium,1.4,10.03,16,1.0
Lyft,Standard,4.4,18.9,11,1.2
Uber,Premium,3.86,11.02,12,1.0
Uber,Standard,1.96,7.16,23,1.0
Uber,Standard,3.54,11.71,6,1.0
Lyft,Standard,4.26,16.47,11,1.0
Lyft,Shared,4.18,12.59,7,1.0
Uber,Standard,4.67,15.36,3,1.5
Lyft,Standard,4.3,11.35,9,1.5
Uber,Premium,6.71,20.2,15,1.0
Lyft,Standard,0.9,7.54,8,1.0
Lyft,Shared,7.67,21.98,21,1.0
Uber,Standard,1.37,7.96,15,1.0
Lyft,Standard,0.77,7.86,18,1.0
Uber,Premium,7.7,20.12,6,1.0
Lyft,Standard,6.96,23.06,22,1.0
Uber,Shared,7.7,24.78,16,1.2
Lyft,Shared,7.96,27.17,18,1.0
Uber,Standard,4.89,13.56,20,1.0
Uber,Premium,4.62,15.27,21,1.2
Uber,Standard,2.45,9.54,21,1.2
Uber,Shared,1.39,7.89,0,1.0
Lyft,Standard,6.56,22.76,21,1.2
Lyft,Standard,5.65,12.28,22,1.0
Lyft,Standard,2.01,7.98,17,1.0
Uber,Standard,7.17,19.63,8,1.0
Lyft,Premium,4.39,16.93,21,1.0
Uber,Premium,1.96,13.49,12,1.0
Uber,Shared,4.26,15.45,0,1.0
Uber,Shared,1.37,10.26,16,1.0
Lyft,Standard,5.01,18.21,0,1.0
Uber,Standard,6.64,22.01,4,1.0
Lyft,Shared,2.31,10.15,10,1.0
Uber,Standard,4.69,15.89,9,1.2
Uber,Standard,1.79,12.16,17,1.0
Uber,Standard,6.44,21.94,10,1.0
Uber,Standard,2.73,14.5,8,1.0
Lyft,Standard,7.77,23.54,9,1.2
Lyft,Standard,4.78,15.25,20,1.5
Lyft,Shared,3.47,13.79,5,1.0
Lyft,Standard,4.81,13.4,23,1.5
Lyft,Standard,0.61,3.0,2,1.0
Uber,Shared,6.49,20.31,4,1.2
Uber,Standard,5.09,17.75,10,1.5
Lyft,Standard,7.33,22.38,7,1.0
Lyft,Premium,7.61,20.05,15,1.0
Lyft,Premium,6.58,24.54,15,1.0
Lyft,Shared,1.1,4.87,0,1.2
Lyft,Shared,7.85,26.29,3,1.0
Lyft,Standard,6.06,19.82,4,1.0
Lyft,Premium,5.95,19.16,15,1.0
Lyft,Standard,3.37,15.59,0,1.0
Lyft,Standard,1.07,7.74,20,1.2
Lyft,Standard,4.07,18.57,13,1.2
Lyft,Standard,0.92,3.0,0,1.0
Uber,Standard,4.82,15.45,13,1.5
Uber,Premium,6.37,19.61,2,1.0
Uber,Standard,4.1,13.99,22,1.2
Lyft,Standard,4.3,18.42,6,1.0
Lyft,Premium,2.72,13.63,16,1.2
Uber,Standard,0.6,6.71,23,1.0
Uber,Premium,4.05,11.76,16,1.0
Uber,Standard,6.03,19.56,10,1.0
Uber,Standard,0.93,7.05,8,1.0
Lyft,Standard,6.86,19.13,2,1.0
Uber,Premium,2.46,7.86,21,1.5
Uber,Shared,3.84,15.13,22,1.0
Uber,Premium,4.16,12.46,18,1.5
Lyft,Standard,1.94,11.63,15,1.0
Lyft,Premium,0.78,7.08,7,1.5
Uber,Standard,3.83,12.1,2,1.5
Uber,Premium,2.22,9.15,12,1.0
Uber,Standard,7.93,25.41,17,1.0
Uber,Shared,1.14,3.0,14,1.2
Lyft,Standard,5.73,19.23,19,1.0
Lyft,Standard,6.66,21.69,0,1.0
Lyft,Standard,4.52,19.57,16,1.0
Uber,Standard,3.2,10.08,17,1.0
Uber,Premium,0.83,7.84,11,1.0
Lyft,Standard,4.95,18.11,19,1.2
Uber,Standard,6.68,17.83,5,1.2
Lyft,Standard,2.13,7.71,3,1.0
Uber,Standard,1.52,7.5,15,1.0
Uber,Standard,5.04,17.89,13,1.0
Uber,Standard,4.53,15.2,12,1.2
Uber,Standard,1.48,7.85,2,1.0
Lyft,Standard,4.85,17.35,20,1.0
Uber,Standard,5.3,18.11,21,1.0
Lyft,Standard,1.99,11.88,4,1.0
Uber,Standard,5.51,15.95,5,1.0
Lyft,Standard,6.04,19.34,16,1.0
Lyft,Standard,2.04,10.83,15,1.0
Uber,Standard,2.32,13.07,19,1.0
Lyft,Standard,6.16,22.8,7,1.0
Uber,Standard,1.19,13.1,2,1.5
Uber,Standard,3.64,10.83,18,1.2
Lyft,Standard,6.57,22.49,22,1.0
Lyft,Standard,2.91,8.25,8,1.0
Uber,Standard,1.42,7.74,0,1.2
Lyft,Standard,3.39,14.52,21,1.0
Lyft,Standard,4.04,16.24,23,1.2
Lyft,Standard,2.11,8.19,10,1.0
Uber,Standard,0.57,5.47,3,1.0
Lyft,Standard,3.23,12.23,13,1.0
Uber,Standard,1.47,9.14,8,1.0
Lyft,Standard,1.71,6.35,0,1.0
Uber,Premium,6.37,21.57,4,1.0
Lyft,Standard,3.79,10.99,19,1.0
Lyft,Standard,2.39,9.37,23,1.0
Lyft,Standard,2.6,11.91,6,1.0
Lyft,Standard,5.35,18.17,9,1.2
Lyft,Standard,7.42,20.41,9,1.2
Lyft,Standard,7.97,26.18,22,1.0
Uber,Standard,4.11,18.0,19,1.0
Lyft,Premium,4.83,22.77,20,1.0
Uber,Standard,0.75,5.33,3,1.2
Uber,Shared,7.89,22.79,18,1.0
Lyft,Standard,7.94,26.34,21,1.0
Lyft,Standard,2.29,7.49,10,1.0
Uber,Standard,5.58,17.16,19,1.2
Uber,Premium,6.03,21.82,0,1.0
Uber,Standard,5.73,15.96,3,1.0
Lyft,Premium,4.67,13.92,11,1.5
Uber,Standard,4.17,15.14,11,1.2
Lyft,Standard,3.75,13.67,7,1.0
Lyft,Standard,4.8,14.69,13,1.2
Uber,Premium,5.74,17.79,16,1.0
Uber,Standard,6.27,18.04,0,1.2
Lyft,Standard,5.38,13.79,4,1.2
Lyft,Standard,1.89,6.54,4,1.2
Uber,Premium,6.82,18.2,11,1.5
Lyft,Standard,2.9,13.56,16,1.5
Lyft,Standard,2.59,10.17,2,1.0
Uber,Standard,2.63,12.71,11,1.0
Uber,Standard,4.28,14.25,10,1.5
Lyft,Standard,5.79,17.65,23,1.0
Lyft,Premium,6.24,20.12,10,1.0
Lyft,Shared,5.81,20.75,3,1.2
Uber,Shared,0.84,6.27,15,1.2
Lyft,Standard,3.17,12.33,6,1.0
Lyft,Premium,5.77,16.99,11,1.0
Lyft,Shared,4.68,14.9,7,1.0
Uber,Standard,7.59,19.45,4,1.0
Lyft,Standard,5.49,20.08,11,1.2
Uber,Standard,7.45,21.98,21,1.2
Lyft,Standard,2.58,10.84,0,1.0
Lyft,Standard,6.29,18.45,19,1.2
Lyft,Standard,1.52,10.67,4,1.5
Lyft,Premium,5.69,20.18,0,1.0
Lyft,Premium,5.24,19.61,1,1.2
Uber,Premium,5.5,19.7,12,1.2
Lyft,Standard,6.8,19.61,0,1.0
Uber,Standard,4.21,14.31,17,1.0
Uber,Standard,5.65,16.87,17,1.0
Lyft,Standard,2.63,14.46,18,1.2
Lyft,Standard,4.1,13.85,0,1.5
Lyft,Standard,7.17,22.91,22,1.0
Lyft,Standard,5.67,19.0,19,1.0
Lyft,Standard,1.22,4.72,9,1.0
Uber,Premium,1.26,5.35,6,1.5
Lyft,Standard,4.0,13.17,4,1.0
Uber,Standard,6.96,18.59,15,1.0
Lyft,Premium,4.53,17.74,9,1.0
Uber,Standard,4.98,13.54,20,1.2
Lyft,Standard,5.22,18.59,12,1.0
Lyft,Standard,1.7,11.0,3,1.0
Lyft,Standard,6.63,19.83,18,1.0
Uber,Standard,4.24,14.1,5,1.0
Lyft,Premium,1.1,11.0,2,1.0
Lyft,Standard,4.46,16.66,9,1.5
Lyft,Premium,1.35,10.15,3,1.2
Lyft,Standard,6.02,18.34,5,1.0
Lyft,Standard,3.61,14.29,9,1.0
Lyft,Premium,2.92,12.0,11,1.0
Lyft,Standard,1.57,7.86,9,1.0
Uber,Shared,7.03,18.24,4,1.0
Lyft,Standard,0.93,5.93,23,1.2
Lyft,Standard,5.24,18.19,17,1.0
Lyft,Standard,5.66,20.2,15,1.0
Lyft,Premium,7.76,24.38,17,1.5
Uber,Standard,3.13,10.6,11,1.0
Uber,Standard,5.37,18.35,12,1.2
