PackageID,PackageWeight_Kg,DeclaredValue_USD,CustomsDelayDays,ExportCountry,InboundInspection
1200152,74.0,75152.0,2.1,Type_C,63.5
1200153,30.0,66353.0,1.4,Type_B,140.8
1200154,59.0,69172.0,7.1,Type_A,98.5
1200155,43.0,58469.0,6.0,Type_A,117.2
1200156,31.0,48256.0,5.7,Type_A,79.7
1200157,62.0,47202.0,4.0,Type_A,110.7
1200158,31.0,55182.0,0.7,Type_C,84.2
1200159,33.0,21583.0,5.9,Type_C,104.7
1200160,60.0,66498.0,6.2,Type_A,112.3
1200161,57.0,39090.0,6.4,Type_A,74.3
1200162,20.0,71758.0,1.0,Type_A,115.8
1200163,30.0,88978.0,1.1,Type_C,106.2
1200164,54.0,49315.0,1.5,Type_C,116.7
1200165,37.0,72697.0,0.9,Type_A,79.9
1200166,34.0,53380.0,2.0,Type_C,116.4
1200167,51.0,46024.0,0.9,Type_B,72.5
1200168,44.0,15000.0,5.6,Type_A,85.0
1200169,22.0,93809.0,14.4,Type_A,135.3
1200170,65.0,47521.0,7.2,Type_A,95.0
1200171,55.0,50460.0,2.9,Type_C,134.3
1200172,46.0,51836.0,1.6,Type_C,57.7
1200173,75.0,83164.0,2.6,Type_A,76.6
1200174,58.0,73109.0,1.3,Type_B,83.3
1200175,44.0,63119.0,14.6,Type_C,95.6
1200176,22.0,64550.0,3.9,Type_B,96.3
1200177,59.0,75477.0,14.0,Type_C,77.5
1200178,67.0,80156.0,7.3,Type_A,76.1
1200179,31.0,82038.0,0.8,Type_A,132.5
1200180,31.0,59893.0,1.0,Type_C,94.9
1200181,58.0,87163.0,7.4,Type_C,52.6
1200182,33.0,52317.0,3.4,Type_A,113.3
1200183,52.0,71320.0,3.9,Type_C,134.5
1200184,55.0,53674.0,3.3,Type_A,86.4
1200185,32.0,36961.0,3.0,Type_A,132.1
1200186,18.0,60429.0,3.2,Type_C,119.1
1200187,68.0,33054.0,0.6,Type_B,82.0
1200188,30.0,63568.0,4.0,Type_C,83.8
1200189,38.0,52990.0,30.0,Type_B,128.8
1200190,62.0,52010.0,0.9,Type_A,117.1
1200191,34.0,71878.0,1.2,Type_B,134.0
1200192,18.0,31116.0,1.8,Type_B,120.5
1200193,30.0,27637.0,1.2,Type_B,167.8
1200194,47.0,41460.0,3.3,Type_C,121.1
1200195,41.0,58349.0,14.5,Type_B,92.1
1200196,55.0,66251.0,0.4,Type_A,114.0
1200197,57.0,38829.0,3.5,Type_A,99.8
1200198,39.0,59274.0,4.4,Type_C,99.6
1200199,31.0,68232.0,0.4,Type_A,112.7
1200200,38.0,50663.0,4.0,Type_A,75.0
1200201,24.0,82120.0,1.6,Type_A,72.2
1200202,30.0,29068.0,0.4,Type_C,70.4
1200203,53.0,58396.0,1.3,Type_B,115.0
1200204,55.0,76036.0,1.9,Type_A,92.6
1200205,47.0,53768.0,0.2,Type_A,106.9
1200206,15.0,47395.0,3.9,Type_B,57.6
1200207,46.0,74457.0,1.8,Type_C,100.4
1200208,23.0,67653.0,0.1,Type_C,103.1
1200209,28.0,88258.0,2.8,Type_A,65.1
1200210,56.0,88320.0,14.2,Type_C,69.9
1200211,27.0,82256.0,2.8,Type_B,78.0
1200212,65.0,80132.0,4.3,Type_C,65.2
1200213,51.0,84756.0,4.0,Type_C,155.6
1200214,41.0,63112.0,2.6,Type_A,113.1
1200215,20.0,72582.0,2.7,Type_A,122.8
1200216,40.0,72653.0,10.9,Type_B,134.8
1200217,49.0,91795.0,0.2,Type_B,155.7
1200218,57.0,57494.0,0.3,Type_B,100.8
1200219,26.0,45260.0,5.5,Type_C,85.8
1200220,56.0,91453.0,1.9,Type_B,68.5
1200221,46.0,35661.0,0.0,Type_C,73.8
1200222,49.0,55202.0,2.6,Type_C,90.6
1200223,29.0,68009.0,0.6,Type_A,96.0
1200224,39.0,60442.0,1.5,Type_B,83.0
1200225,62.0,40791.0,0.3,Type_C,108.4
1200226,51.0,86304.0,4.7,Type_C,110.5
1200227,18.0,37378.0,2.1,Type_A,129.6
1200228,63.0,57410.0,0.2,Type_A,74.1
1200229,41.0,60828.0,7.1,Type_A,160.7
1200230,77.0,27765.0,8.3,Type_A,124.8
1200231,73.0,42530.0,1.7,Type_B,59.8
1200232,29.0,74829.0,1.5,Type_C,92.3
1200233,44.0,51142.0,5.1,Type_C,120.0
1200234,31.0,34449.0,3.9,Type_B,108.5
1200235,31.0,78306.0,0.8,Type_A,92.0
1200236,9.0,72060.0,16.6,Type_B,83.6
1200237,52.0,62906.0,1.7,Type_B,133.1
1200238,39.0,91276.0,3.1,Type_A,99.0
1200239,11.0,61160.0,3.0,Type_C,130.1
1200240,16.0,88973.0,0.8,Type_C,143.6
1200241,66.0,77494.0,1.9,Type_C,113.5
1200242,45.0,89838.0,2.9,Type_B,135.0
1200243,27.0,45359.0,7.2,Type_C,71.9
1200244,34.0,55346.0,1.6,Type_C,92.7
1200245,63.0,15000.0,6.5,Type_C,71.0
1200246,23.0,77577.0,1.6,Type_B,62.1
1200247,59.0,73950.0,2.3,Type_A,119.7
1200248,49.0,48047.0,3.8,Type_C,83.9
1200249,69.0,76794.0,0.5,Type_A,89.3
1200250,31.0,55324.0,2.0,Type_A,117.7
1200251,57.0,47898.0,3.2,Type_C,94.0
1200252,58.0,62230.0,0.5,Type_C,74.7
1200253,46.0,62651.0,2.1,Type_A,148.6
1200254,64.0,33638.0,3.6,Type_C,64.5
1200255,59.0,30747.0,1.5,Type_A,83.3
1200256,50.0,60593.0,3.1,Type_A,109.8
1200257,55.0,74047.0,12.0,Type_A,69.2
1200258,45.0,41363.0,2.0,Type_B,117.4
1200259,76.0,76327.0,0.1,Type_B,64.5
1200260,33.0,55873.0,3.2,Type_A,124.0
1200261,48.0,89052.0,4.8,Type_B,95.0
1200262,45.0,63894.0,1.2,Type_B,141.7
1200263,52.0,16636.0,5.7,Type_C,43.5
1200264,54.0,90194.0,3.8,Type_B,101.4
1200265,48.0,33598.0,15.0,Type_C,92.7
1200266,34.0,60942.0,6.9,Type_A,127.1
1200267,55.0,52875.0,3.0,Type_C,66.0
1200268,46.0,68923.0,10.8,Type_A,82.8
1200269,40.0,69986.0,8.0,Type_C,73.8
1200270,42.0,51555.0,12.4,Type_C,129.2
1200271,37.0,53499.0,3.2,Type_C,92.4
1200272,40.0,49969.0,0.1,Type_B,153.9
1200273,31.0,64980.0,0.5,Type_C,98.9
1200274,49.0,48521.0,1.9,Type_A,125.3
1200275,53.0,41732.0,,Type_B,81.0
1200276,57.0,71269.0,14.4,Type_A,132.2
1200277,29.0,59745.0,0.8,Type_C,81.9
1200278,55.0,53559.0,2.5,Type_B,119.8
1200279,29.0,46625.0,6.5,Type_A,98.6
1200280,66.0,51770.0,2.7,Type_C,132.6
1200281,29.0,86619.0,11.5,Type_A,70.3
1200282,83.0,27588.0,1.4,Type_B,112.6
1200283,51.0,79263.0,10.5,Type_A,52.3
1200284,54.0,26093.0,3.6,Type_A,96.7
1200285,41.0,78727.0,1.8,Type_A,107.5
1200286,42.0,64797.0,1.4,Type_C,102.1
1200287,30.0,60017.0,7.5,Type_A,131.1
1200288,49.0,62724.0,0.2,Type_B,118.6
1200289,57.0,97905.0,0.6,Type_C,80.0
1200290,32.0,79606.0,1.0,Type_C,90.6
1200291,31.0,61924.0,,Type_A,93.2
1200292,59.0,38465.0,1.8,Type_B,109.7
1200293,31.0,68089.0,4.2,Type_A,101.0
1200294,52.0,80259.0,3.5,Type_B,133.5
1200295,41.0,66133.0,0.4,Type_C,96.2
1200296,68.0,68833.0,0.7,Type_B,106.6
1200297,77.0,44053.0,4.0,Type_A,61.4
1200298,27.0,75672.0,1.5,Type_C,108.4
1200299,29.0,60945.0,3.4,Type_A,85.6
1200300,37.0,78803.0,1.2,Type_C,117.5
1200301,44.0,66024.0,12.7,Type_C,84.4
1200302,45.0,62030.0,6.4,Type_B,112.3
1200303,26.0,92908.0,4.4,Type_C,80.0
1200304,46.0,63686.0,3.2,Type_A,92.3
1200305,29.0,26052.0,1.7,Type_A,86.7
1200306,39.0,42639.0,3.6,Type_B,43.7
1200307,47.0,41972.0,0.7,Type_C,105.8
1200308,40.0,79281.0,6.7,Type_C,120.4
1200309,11.0,70383.0,6.4,Type_B,95.3
1200310,49.0,75222.0,,Type_C,103.9
1200311,45.0,54705.0,4.5,Type_B,143.4
1200312,30.0,58243.0,2.4,Type_C,97.8
1200313,48.0,50908.0,6.2,Type_C,107.6
1200314,42.0,95440.0,0.5,Type_A,68.4
1200315,39.0,52016.0,7.3,Type_B,66.9
1200316,46.0,41977.0,14.3,Type_A,105.6
1200317,36.0,57787.0,1.7,Type_C,82.7
1200318,43.0,79298.0,4.3,Type_A,56.3
1200319,53.0,92269.0,3.5,Type_A,73.6
1200320,38.0,57664.0,11.3,Type_C,107.1
1200321,62.0,32346.0,14.5,Type_C,137.4
1200322,32.0,23401.0,6.6,Type_C,106.4
1200323,78.0,79041.0,2.0,Type_A,81.3
1200324,46.0,81135.0,1.9,Type_C,91.5
1200325,50.0,56773.0,1.6,Type_B,106.0
1200326,58.0,79429.0,0.6,Type_C,96.1
1200327,56.0,71860.0,0.2,Type_A,68.5
1200328,48.0,51606.0,0.3,Type_A,99.8
1200329,24.0,72403.0,1.2,Type_C,89.0
1200330,26.0,103594.0,3.7,Type_A,131.3
1200331,20.0,99627.0,6.4,Type_C,78.5
1200332,23.0,59012.0,5.9,Type_B,110.9
1200333,27.0,92503.0,0.0,Type_B,96.2
1200334,42.0,56085.0,0.7,Type_C,44.9
1200335,31.0,56039.0,0.8,Type_C,142.4
1200336,32.0,70513.0,0.1,Type_A,119.9
1200337,45.0,50756.0,1.4,Type_C,97.1
1200338,42.0,82375.0,1.9,Type_B,140.4
1200339,47.0,65990.0,1.1,Type_C,78.0
1200340,55.0,68246.0,2.8,Type_B,68.1
1200341,31.0,82017.0,5.1,Type_B,126.2
1200342,40.0,85738.0,0.5,Type_B,139.8
1200343,45.0,80216.0,1.0,Type_C,81.2
1200344,29.0,86522.0,2.2,Type_A,81.0
1200345,35.0,72976.0,1.2,Type_C,112.9
1200346,63.0,73009.0,7.4,Type_B,92.7
1200347,43.0,36744.0,2.7,Type_C,109.8
1200348,68.0,110887.0,0.1,Type_C,109.9
1200349,35.0,66813.0,2.5,Type_A,149.7
1200350,35.0,73885.0,2.4,Type_A,65.4
1200351,39.0,61631.0,7.8,Type_A,73.4
1200352,50.0,66341.0,4.2,Type_A,65.2
1200353,41.0,59139.0,1.9,Type_C,98.1
1200354,40.0,47001.0,4.3,Type_C,135.5
1200355,37.0,68840.0,2.0,Type_B,121.3
1200356,31.0,40417.0,1.0,Type_C,113.2
1200357,19.0,37014.0,0.7,Type_C,84.1
1200358,53.0,85481.0,2.3,Type_B,79.8
1200359,42.0,34508.0,0.0,Type_A,125.1
1200360,64.0,70288.0,3.3,Type_A,108.0
1200361,43.0,67284.0,9.2,Type_C,88.3
1200362,53.0,87389.0,3.2,Type_A,125.6
1200363,46.0,91596.0,4.2,Type_B,79.1
1200364,62.0,83190.0,1.6,Type_A,75.8
1200365,39.0,58736.0,1.7,Type_C,117.3
1200366,54.0,71034.0,1.2,Type_B,130.4
1200367,55.0,81779.0,3.7,Type_B,95.5
1200368,25.0,43934.0,1.9,Type_C,87.3
1200369,26.0,91595.0,1.8,Type_A,114.5
1200370,45.0,34968.0,2.0,Type_C,79.0
1200371,25.0,69175.0,5.0,Type_A,89.7
1200372,46.0,47212.0,2.8,Type_C,82.2
1200373,55.0,102981.0,13.7,Type_B,133.4
1200374,58.0,69099.0,1.0,Type_C,100.4
1200375,46.0,81792.0,10.2,Type_C,77.8
1200376,63.0,53960.0,6.5,Type_B,90.7
1200377,39.0,53922.0,3.5,Type_B,57.3
1200378,57.0,93017.0,2.0,Type_C,110.2
1200379,49.0,58935.0,2.4,Type_B,111.0
1200380,19.0,82231.0,2.3,Type_B,101.3
1200381,49.0,54693.0,4.3,Type_C,64.1
1200382,43.0,40224.0,1.2,Type_B,133.9
1200383,41.0,88996.0,2.9,Type_C,100.4
1200384,25.0,61801.0,3.5,Type_B,92.0
1200385,58.0,56936.0,7.0,Type_A,69.3
1200386,28.0,34238.0,0.8,Type_C,109.6
1200387,32.0,59488.0,0.1,Type_C,66.2
1200388,45.0,71057.0,0.8,Type_A,95.1
1200389,50.0,82361.0,0.2,Type_C,129.3
1200390,19.0,62998.0,3.1,Type_B,85.1
1200391,33.0,94428.0,6.9,Type_C,140.0
1200392,58.0,49000.0,7.5,Type_B,67.4
1200393,36.0,59473.0,13.1,Type_C,79.5
1200394,42.0,63973.0,2.0,Type_B,63.3
1200395,56.0,87009.0,7.3,Type_C,89.3
1200396,34.0,61594.0,1.1,Type_C,64.8
1200397,56.0,57283.0,9.9,Type_A,136.7
1200398,41.0,77117.0,1.5,Type_C,109.2
1200399,68.0,76564.0,8.8,Type_A,137.7
1200400,68.0,64783.0,5.3,Type_C,103.6
1200401,46.0,73756.0,1.6,Type_C,85.0
1200402,37.0,66265.0,6.3,Type_C,114.5
1200403,33.0,80366.0,14.0,Type_C,129.7
1200404,32.0,59639.0,3.8,Type_A,129.5
1200405,38.0,64185.0,9.4,Type_C,92.3
1200406,28.0,79186.0,2.5,Type_B,110.3
1200407,59.0,98767.0,0.5,Type_B,63.0
1200408,30.0,81825.0,2.3,Type_A,74.4
1200409,30.0,61244.0,1.5,Type_C,100.0
1200410,50.0,95920.0,0.7,Type_A,92.2
1200411,49.0,29401.0,3.3,Type_C,95.6
1200412,28.0,62209.0,3.0,Type_C,97.3
1200413,39.0,85584.0,6.1,Type_A,89.8
1200414,3.0,87624.0,7.6,Type_A,63.7
1200415,35.0,67284.0,11.7,Type_A,103.0
1200416,38.0,79822.0,2.0,Type_A,108.5
1200417,47.0,68520.0,0.4,Type_C,118.0
1200418,42.0,60303.0,12.7,Type_C,146.7
1200419,60.0,31887.0,2.3,Type_A,116.0
1200420,43.0,38729.0,8.2,Type_C,89.8
1200421,42.0,43373.0,0.7,Type_C,135.3
1200422,61.0,26945.0,5.5,Type_C,155.6
1200423,52.0,62646.0,4.9,Type_C,95.5
1200424,23.0,75976.0,1.7,Type_A,76.6
1200425,52.0,39194.0,4.4,Type_B,128.9
1200426,1.0,78436.0,1.2,Type_C,137.8
1200427,65.0,83327.0,1.5,Type_C,148.7
1200428,54.0,49547.0,1.5,Type_C,84.7
1200429,43.0,90509.0,7.6,Type_A,151.7
1200430,43.0,41867.0,1.4,Type_C,74.6
1200431,39.0,15000.0,4.8,Type_A,124.1
1200432,39.0,71551.0,0.2,Type_C,112.2
1200433,35.0,86970.0,1.5,Type_B,102.1
1200434,24.0,95703.0,0.8,Type_B,74.8
1200435,47.0,47707.0,0.1,Type_B,104.3
1200436,36.0,87530.0,7.4,Type_C,94.2
1200437,54.0,57967.0,3.1,Type_B,83.9
1200438,44.0,68130.0,4.5,Type_A,107.2
1200439,1.0,53268.0,12.1,Type_C,108.6
1200440,40.0,45218.0,0.7,Type_A,119.5
1200441,36.0,93275.0,2.8,Type_B,103.1
1200442,22.0,37276.0,16.5,Type_A,90.1
1200443,27.0,66256.0,0.2,Type_B,115.8
1200444,28.0,82460.0,0.4,Type_B,130.5
1200445,26.0,82456.0,0.7,Type_A,147.9
1200446,24.0,88435.0,0.2,Type_A,110.3
1200447,72.0,67638.0,0.3,Type_B,138.1
1200448,60.0,36970.0,2.4,Type_B,92.3
1200449,34.0,75672.0,10.8,Type_B,77.8
1200450,24.0,58236.0,0.7,Type_B,136.1
1200451,67.0,44859.0,0.1,Type_C,90.7
1200452,25.0,88721.0,0.9,Type_C,123.4
1200453,67.0,77319.0,0.7,Type_C,91.6
1200454,63.0,74181.0,1.4,Type_A,72.1
1200455,37.0,63099.0,2.8,Type_C,104.0
1200456,50.0,44331.0,2.1,Type_B,126.1
1200457,45.0,82558.0,2.2,Type_C,112.1
1200458,36.0,55767.0,0.1,Type_A,104.3
1200459,38.0,46729.0,2.6,Type_A,105.1
1200460,45.0,50587.0,9.0,Type_B,60.5
1200461,21.0,83759.0,1.7,Type_C,122.6
1200462,34.0,70090.0,3.4,Type_A,137.1
1200463,32.0,79543.0,6.3,Type_B,93.7
1200464,48.0,71832.0,15.9,Type_A,71.2
1200465,37.0,90673.0,5.8,Type_B,158.5
1200466,44.0,64661.0,1.8,Type_C,141.0
1200467,27.0,23008.0,12.6,Type_A,109.8
1200468,26.0,75502.0,2.3,Type_C,106.5
1200469,51.0,69243.0,4.7,Type_C,108.4
1200470,50.0,60053.0,2.2,Type_C,108.2
1200471,25.0,95891.0,3.8,Type_C,78.4
1200472,25.0,65745.0,0.2,Type_B,92.1
1200473,77.0,87939.0,18.5,Type_A,81.3
1200474,49.0,68398.0,5.5,Type_B,56.6
1200475,51.0,30375.0,3.9,Type_C,104.2
1200476,41.0,69080.0,4.0,Type_A,73.4
1200477,28.0,93017.0,2.1,Type_C,46.9
1200478,61.0,51403.0,0.4,Type_C,135.7
1200479,50.0,71539.0,6.2,Type_B,117.8
1200480,30.0,82684.0,0.1,Type_B,105.0
1200481,67.0,33827.0,3.8,Type_C,178.9
1200482,52.0,38632.0,2.6,Type_C,93.1
1200483,44.0,58415.0,10.6,Type_A,122.3
1200484,49.0,56990.0,3.9,Type_A,116.3
1200485,36.0,81409.0,2.3,Type_A,94.3
1200486,27.0,77643.0,6.4,Type_A,138.2
1200487,1.0,95625.0,2.9,Type_B,87.9
1200488,51.0,53819.0,5.8,Type_A,91.1
1200489,26.0,63916.0,0.8,Type_B,121.9
1200490,32.0,53177.0,,Type_B,84.5
1200491,51.0,67916.0,1.0,Type_B,103.9
1200492,46.0,89289.0,1.9,Type_A,66.4
1200493,52.0,42276.0,6.9,Type_A,52.6
1200494,43.0,65410.0,0.2,Type_A,68.4
1200495,24.0,57784.0,10.6,Type_B,84.7
1200496,15.0,65099.0,2.7,Type_A,113.3
1200497,26.0,80950.0,4.9,Type_A,111.9
1200498,34.0,56487.0,0.0,Type_B,109.5
1200499,46.0,51242.0,15.7,Type_A,115.8
1200500,43.0,48753.0,7.8,Type_C,97.8
1200501,38.0,50372.0,11.2,Type_C,78.6
1200502,73.0,80303.0,3.8,Type_C,108.2
1200503,30.0,82140.0,3.9,Type_B,60.6
1200504,55.0,53207.0,2.3,Type_B,136.2
1200505,39.0,92295.0,4.1,Type_B,119.7
1200506,35.0,92301.0,5.8,Type_B,127.0
1200507,56.0,53189.0,1.5,Type_A,82.7
1200508,57.0,50902.0,2.4,Type_C,100.2
1200509,37.0,99947.0,1.8,Type_A,81.1
1200510,46.0,42800.0,1.2,Type_A,83.0
1200511,35.0,56304.0,0.0,Type_C,109.4
1200512,56.0,67171.0,0.9,Type_C,105.1
1200513,54.0,63570.0,0.2,Type_C,78.6
1200514,44.0,56490.0,4.1,Type_C,72.1
1200515,42.0,64179.0,3.1,Type_A,96.9
1200516,42.0,54963.0,6.5,Type_C,102.1
1200517,43.0,55945.0,1.5,Type_A,106.8
1200518,44.0,85994.0,2.5,Type_C,118.4
1200519,45.0,32295.0,9.6,Type_C,98.3
1200520,38.0,65120.0,2.0,Type_B,63.7
1200521,45.0,58536.0,5.5,Type_C,107.4
1200522,55.0,85502.0,7.7,Type_A,91.0
1200523,18.0,35892.0,3.7,Type_A,87.4
1200524,52.0,60077.0,5.6,Type_A,112.4
1200525,52.0,79391.0,7.0,Type_B,99.5
1200526,48.0,60871.0,,Type_A,128.9
1200527,56.0,56932.0,12.0,Type_A,88.0
1200528,29.0,53796.0,1.3,Type_C,90.1
1200529,56.0,63421.0,0.1,Type_C,87.2
1200530,55.0,57353.0,4.7,Type_B,97.7
1200531,41.0,77763.0,1.1,Type_A,68.7
1200532,62.0,82781.0,2.8,Type_C,101.6
1200533,58.0,71282.0,3.5,Type_A,151.8
1200534,46.0,88280.0,2.9,Type_A,71.6
1200535,37.0,44446.0,4.5,Type_B,88.1
