Date,Weather,VisitorCount,DailySales,DiscountEvent
2023-05-27,Sunny,641,12123.93,No
2023-05-28,Rainy,132,2753.05,No
2023-05-29,Cloudy,630,7441.38,Yes
2023-05-30,Sunny,561,7976.89,No
2023-05-31,Cloudy,539,5679.57,No
2023-06-01,Rainy,202,3996.25,No
2023-06-02,Sunny,922,19052.2,Yes
2023-06-03,Cloudy,445,9194.9,No
2023-06-04,Sunny,544,10423.22,No
2023-06-05,Sunny,519,6983.37,No
2023-06-06,Rainy,199,1493.46,No
2023-06-07,Sunny,613,12176.31,No
2023-06-08,Sunny,633,11239.02,No
2023-06-09,Sunny,564,9301.52,No
2023-06-10,Sunny,915,15937.8,Yes
2023-06-11,Sunny,923,20374.83,Yes
2023-06-12,Cloudy,471,5062.84,No
2023-06-13,Rainy,194,2529.12,No
2023-06-14,Sunny,664,14454.16,No
2023-06-15,Sunny,614,12790.45,No
2023-06-16,Sunny,703,11800.78,No
2023-06-17,Snowy,212,7451.12,No
2023-06-18,Cloudy,861,11212.68,Yes
2023-06-19,Cloudy,816,9435.14,Yes
2023-06-20,Sunny,614,11214.67,No
2023-06-21,Sunny,857,14841.9,Yes
2023-06-22,Sunny,703,14259.75,No
2023-06-23,Cloudy,467,7463.88,No
2023-06-24,Rainy,138,2522.17,No
2023-06-25,Sunny,990,20363.23,Yes
2023-06-26,Snowy,169,3684.5,No
2023-06-27,Sunny,556,8480.87,No
2023-06-28,Sunny,627,15622.32,No
2023-06-29,Sunny,624,13517.31,No
2023-06-30,Rainy,525,6213.86,Yes
2023-07-01,Sunny,901,12305.92,Yes
2023-07-02,Rainy,491,6817.09,Yes
2023-07-03,Cloudy,766,13730.52,Yes
2023-07-04,Sunny,933,16686.35,Yes
2023-07-05,Sunny,569,12269.6,No
2023-07-06,Sunny,828,,Yes
2023-07-07,Sunny,903,9449.59,Yes
2023-07-08,Sunny,952,21729.43,Yes
2023-07-09,Cloudy,516,9168.14,No
2023-07-10,Sunny,552,13685.28,No
2023-07-11,Sunny,626,9135.21,No
2023-07-12,Cloudy,470,6271.08,No
2023-07-13,Cloudy,413,8423.33,No
2023-07-14,Sunny,938,13340.53,Yes
2023-07-15,Sunny,645,15290.9,No
2023-07-16,Sunny,926,13486.39,Yes
2023-07-17,Sunny,619,14794.95,No
2023-07-18,Sunny,586,13370.25,No
2023-07-19,Sunny,602,14940.15,No
2023-07-20,Rainy,512,12391.55,Yes
2023-07-21,Sunny,881,15126.22,Yes
2023-07-22,Sunny,679,12207.63,No
2023-07-23,Rainy,191,3491.56,No
2023-07-24,Rainy,249,3354.89,No
2023-07-25,Sunny,648,8844.35,No
2023-07-26,Sunny,582,14509.99,No
2023-07-27,Sunny,609,15358.15,No
2023-07-28,Cloudy,360,5157.0,No
2023-07-29,Rainy,481,4872.27,Yes
2023-07-30,Sunny,519,8451.51,No
2023-07-31,Sunny,538,6596.03,No
2023-08-01,Cloudy,372,5812.29,No
2023-08-02,Sunny,576,11935.33,No
2023-08-03,Cloudy,388,6652.08,No
2023-08-04,Sunny,638,14289.49,No
2023-08-05,Cloudy,383,3517.5,No
2023-08-06,Sunny,597,13809.57,No
2023-08-07,Sunny,641,16674.06,No
2023-08-08,Rainy,501,7250.04,Yes
2023-08-09,Sunny,627,9772.9,No
2023-08-10,Sunny,538,12238.52,No
2023-08-11,Cloudy,509,9237.01,No
2023-08-12,Snowy,206,6156.08,No
2023-08-13,Rainy,184,2974.9,No
2023-08-14,Snowy,207,2380.53,No
2023-08-15,Rainy,244,6319.71,No
2023-08-16,Sunny,583,15806.67,No
2023-08-17,Sunny,618,12609.34,No
2023-08-18,Sunny,645,14591.67,No
2023-08-19,Sunny,671,12051.15,No
2023-08-20,Sunny,618,6245.05,No
2023-08-21,Sunny,903,17018.2,Yes
2023-08-22,Cloudy,418,9626.51,No
2023-08-23,Sunny,549,11134.59,No
2023-08-24,Sunny,504,6733.01,No
2023-08-25,Cloudy,494,13252.18,No
2023-08-26,Sunny,799,18858.91,Yes
2023-08-27,Snowy,254,6172.73,No
2023-08-28,Cloudy,421,8116.03,No
2023-08-29,Sunny,589,12835.69,No
2023-08-30,Sunny,960,17209.52,Yes
2023-08-31,Cloudy,372,5046.81,No
2023-09-01,Sunny,634,11530.34,No
2023-09-02,Cloudy,517,12431.09,No
2023-09-03,Rainy,209,5684.47,No
2023-09-04,Sunny,537,11656.04,No
2023-09-05,Sunny,818,10125.1,Yes
2023-09-06,Sunny,585,16288.86,No
2023-09-07,Rainy,277,6050.25,No
2023-09-08,Sunny,620,10944.37,No
2023-09-09,Sunny,591,12346.02,No
2023-09-10,Sunny,595,12164.72,No
2023-09-11,Snowy,493,8606.04,Yes
2023-09-12,Cloudy,771,13330.68,Yes
2023-09-13,Cloudy,780,13629.86,Yes
2023-09-14,Sunny,598,11105.53,No
2023-09-15,Sunny,520,10328.86,No
2023-09-16,Sunny,679,10175.94,No
2023-09-17,Rainy,211,4210.04,No
2023-09-18,Sunny,593,12288.72,No
2023-09-19,Sunny,619,10877.05,No
2023-09-20,Cloudy,752,12597.13,Yes
2023-09-21,Rainy,204,2983.75,No
2023-09-22,Sunny,596,10386.08,No
2023-09-23,Rainy,179,5653.55,No
2023-09-24,Sunny,614,11914.34,No
2023-09-25,Snowy,50,1988.33,No
2023-09-26,Rainy,228,4782.02,No
2023-09-27,Cloudy,791,15497.72,Yes
2023-09-28,Sunny,712,10935.15,No
2023-09-29,Sunny,875,9660.03,Yes
2023-09-30,Sunny,556,10953.42,No
2023-10-01,Sunny,626,18146.98,No
2023-10-02,Rainy,188,4149.1,No
2023-10-03,Cloudy,430,7270.1,No
2023-10-04,Rainy,246,6255.23,No
2023-10-05,Cloudy,819,13178.8,Yes
2023-10-06,Rainy,259,4010.13,No
2023-10-07,Sunny,651,18148.29,No
2023-10-08,Sunny,599,10673.67,No
2023-10-09,Sunny,590,10395.88,No
2023-10-10,Cloudy,712,12829.72,Yes
2023-10-11,Rainy,255,4901.08,No
2023-10-12,Cloudy,746,11250.67,Yes
2023-10-13,Sunny,530,9966.14,No
2023-10-14,Sunny,518,10000.86,No
2023-10-15,Sunny,658,16047.56,No
2023-10-16,Sunny,909,21292.9,Yes
2023-10-17,Sunny,644,19334.2,No
2023-10-18,Rainy,170,3514.8,No
2023-10-19,Sunny,584,13299.4,No
2023-10-20,Sunny,608,9504.18,No
2023-10-21,Sunny,597,8621.6,No
2023-10-22,Sunny,961,13899.34,Yes
2023-10-23,Rainy,185,4609.38,No
2023-10-24,Cloudy,500,9137.23,No
2023-10-25,Sunny,602,10955.72,No
2023-10-26,Rainy,487,9969.49,Yes
2023-10-27,Sunny,942,18205.11,Yes
2023-10-28,Cloudy,721,11901.48,Yes
2023-10-29,Sunny,888,14720.7,Yes
2023-10-30,Sunny,903,12235.45,Yes
2023-10-31,Rainy,122,681.31,No
2023-11-01,Sunny,644,14210.82,No
2023-11-02,Snowy,141,949.68,No
2023-11-03,Cloudy,527,10396.63,No
2023-11-04,Rainy,189,2187.69,No
2023-11-05,Sunny,621,14340.95,No
2023-11-06,Rainy,208,5038.0,No
2023-11-07,Sunny,879,16193.84,Yes
2023-11-08,Sunny,951,18842.77,Yes
2023-11-09,Rainy,146,3440.59,No
2023-11-10,Cloudy,741,14967.39,Yes
2023-11-11,Sunny,644,13690.52,No
2023-11-12,Sunny,531,6687.02,No
2023-11-13,Rainy,150,3457.31,No
2023-11-14,Rainy,529,5120.26,Yes
2023-11-15,Sunny,616,12783.61,No
2023-11-16,Sunny,653,,No
2023-11-17,Sunny,655,16995.28,No
2023-11-18,Cloudy,706,12747.04,Yes
2023-11-19,Cloudy,833,9342.73,Yes
2023-11-20,Rainy,165,4361.22,No
2023-11-21,Sunny,552,8069.98,No
2023-11-22,Cloudy,476,6452.23,No
2023-11-23,Sunny,588,10057.73,No
2023-11-24,Sunny,590,12148.22,No
2023-11-25,Sunny,639,12706.82,No
2023-11-26,Cloudy,743,10426.16,Yes
2023-11-27,Cloudy,632,5366.67,Yes
2023-11-28,Sunny,838,10742.31,Yes
2023-11-29,Rainy,156,2968.69,No
2023-11-30,Rainy,530,6139.39,Yes
2023-12-01,Sunny,580,11027.18,No
2023-12-02,Cloudy,484,13062.7,No
2023-12-03,Rainy,150,5226.3,No
2023-12-04,Sunny,597,16397.05,No
2023-12-05,Rainy,221,3897.44,No
2023-12-06,Cloudy,430,10038.0,No
2023-12-07,Sunny,574,,No
2023-12-08,Cloudy,458,6515.83,No
2023-12-09,Cloudy,744,16260.64,Yes
2023-12-10,Sunny,860,10275.78,Yes
2023-12-11,Sunny,589,12207.61,No
2023-12-12,Sunny,591,8717.68,No
2023-12-13,Sunny,954,18434.1,Yes
2023-12-14,Sunny,560,11703.87,No
2023-12-15,Sunny,514,12707.42,No
2023-12-16,Sunny,617,13314.64,No
2023-12-17,Sunny,759,12275.44,Yes
2023-12-18,Cloudy,721,12785.0,Yes
2023-12-19,Sunny,892,11363.53,Yes
2023-12-20,Sunny,583,13542.85,No
2023-12-21,Sunny,680,18178.44,No
2023-12-22,Rainy,222,4681.65,No
2023-12-23,Rainy,228,2401.65,No
2023-12-24,Sunny,643,12002.04,No
2023-12-25,Sunny,916,11201.25,Yes
2023-12-26,Sunny,521,10910.5,No
2023-12-27,Rainy,233,2170.02,No
2023-12-28,Sunny,608,10649.39,No
2023-12-29,Sunny,592,10190.85,No
2023-12-30,Sunny,666,12156.01,No
2023-12-31,Rainy,201,4064.4,No
2024-01-01,Sunny,625,15205.05,No
2024-01-02,Sunny,680,16583.16,No
2024-01-03,Cloudy,778,16704.19,Yes
2024-01-04,Cloudy,497,11031.06,No
2024-01-05,Cloudy,496,11865.15,No
2024-01-06,Sunny,575,11345.67,No
2024-01-07,Sunny,601,8858.87,No
2024-01-08,Cloudy,456,4054.39,No
2024-01-09,Cloudy,403,4123.47,No
2024-01-10,Rainy,513,9089.96,Yes
2024-01-11,Rainy,520,11586.24,Yes
2024-01-12,Rainy,463,7967.05,Yes
2024-01-13,Rainy,106,4788.45,No
2024-01-14,Sunny,471,7511.7,No
2024-01-15,Sunny,604,10950.02,No
2024-01-16,Rainy,203,1536.77,No
2024-01-17,Cloudy,416,12516.6,No
2024-01-18,Sunny,596,9339.35,No
2024-01-19,Sunny,575,16641.61,No
2024-01-20,Sunny,648,13979.62,No
2024-01-21,Sunny,565,7852.49,No
2024-01-22,Cloudy,353,10399.85,No
2024-01-23,Sunny,717,12835.58,No
2024-01-24,Sunny,875,10438.17,Yes
2024-01-25,Sunny,571,7732.44,No
2024-01-26,Rainy,223,4665.18,No
2024-01-27,Sunny,587,10665.88,No
2024-01-28,Sunny,635,14873.06,No
2024-01-29,Sunny,501,9998.75,No
2024-01-30,Sunny,660,10803.91,No
2024-01-31,Cloudy,789,9621.14,Yes
2024-02-01,Cloudy,453,4663.6,No
2024-02-02,Rainy,222,2768.32,No
2024-02-03,Sunny,520,14667.74,No
2024-02-04,Sunny,598,15333.82,No
2024-02-05,Sunny,554,13719.11,No
2024-02-06,Cloudy,506,12282.74,No
2024-02-07,Sunny,899,10187.98,Yes
2024-02-08,Rainy,143,1123.07,No
2024-02-09,Sunny,573,14456.71,No
2024-02-10,Sunny,582,8251.43,No
2024-02-11,Cloudy,489,9399.95,No
2024-02-12,Sunny,641,13204.04,No
2024-02-13,Sunny,614,10342.78,No
2024-02-14,Sunny,601,13141.79,No
2024-02-15,Sunny,584,7743.02,No
2024-02-16,Sunny,516,12104.19,No
2024-02-17,Snowy,175,3927.16,No
2024-02-18,Cloudy,432,13018.51,No
2024-02-19,Sunny,586,9905.38,No
2024-02-20,Sunny,871,8941.14,Yes
2024-02-21,Cloudy,479,10319.61,No
2024-02-22,Rainy,235,4800.42,No
2024-02-23,Cloudy,453,11867.07,No
2024-02-24,Cloudy,666,8800.72,Yes
2024-02-25,Sunny,548,9552.34,No
2024-02-26,Cloudy,464,7850.11,No
2024-02-27,Sunny,558,11260.9,No
2024-02-28,Cloudy,734,10993.0,Yes
2024-02-29,Sunny,594,11391.14,No
2024-03-01,Rainy,106,1007.81,No
2024-03-02,Sunny,579,7365.72,No
2024-03-03,Cloudy,450,6142.9,No
2024-03-04,Sunny,561,13336.72,No
2024-03-05,Rainy,237,6051.19,No
2024-03-06,Cloudy,454,10204.31,No
2024-03-07,Snowy,545,8077.16,Yes
2024-03-08,Sunny,610,12285.95,No
2024-03-09,Sunny,545,10902.27,No
2024-03-10,Cloudy,497,5706.77,No
2024-03-11,Sunny,925,10798.92,Yes
2024-03-12,Cloudy,455,7218.12,No
2024-03-13,Sunny,899,17486.14,Yes
2024-03-14,Sunny,614,12997.19,No
2024-03-15,Snowy,250,5366.67,No
2024-03-16,Sunny,992,18632.05,Yes
2024-03-17,Sunny,636,14545.9,No
2024-03-18,Sunny,881,14277.8,Yes
2024-03-19,Cloudy,404,8001.7,No
2024-03-20,Sunny,536,11086.52,No
2024-03-21,Rainy,512,11391.87,Yes
2024-03-22,Sunny,581,10865.22,No
2024-03-23,Sunny,626,8274.39,No
2024-03-24,Sunny,608,9824.98,No
2024-03-25,Sunny,854,13188.53,Yes
2024-03-26,Sunny,544,11029.06,No
2024-03-27,Sunny,596,9073.09,No
2024-03-28,Cloudy,395,6008.86,No
2024-03-29,Cloudy,505,8764.82,No
2024-03-30,Cloudy,496,12230.44,No
2024-03-31,Sunny,573,11052.56,No
2024-04-01,Sunny,616,15539.27,No
2024-04-02,Sunny,566,8304.67,No
2024-04-03,Sunny,665,19163.67,No
2024-04-04,Sunny,589,15244.98,No
2024-04-05,Sunny,555,14310.75,No
2024-04-06,Sunny,899,11793.94,Yes
2024-04-07,Sunny,864,17873.92,Yes
2024-04-08,Sunny,612,12477.35,No
2024-04-09,Sunny,601,14785.81,No
2024-04-10,Rainy,170,2640.67,No
2024-04-11,Cloudy,753,17020.4,Yes
2024-04-12,Rainy,239,6071.69,No
2024-04-13,Rainy,223,6746.84,No
2024-04-14,Sunny,887,18831.97,Yes
2024-04-15,Cloudy,502,10419.31,No
2024-04-16,Sunny,918,16827.43,Yes
2024-04-17,Sunny,884,18448.98,Yes
2024-04-18,Cloudy,459,7495.83,No
2024-04-19,Sunny,673,18739.02,No
2024-04-20,Cloudy,508,4860.78,No
2024-04-21,Sunny,1055,24345.32,Yes
2024-04-22,Sunny,628,10941.67,No
2024-04-23,Rainy,212,3820.31,No
2024-04-24,Sunny,552,9916.97,No
2024-04-25,Sunny,649,9269.2,No
2024-04-26,Sunny,554,12777.48,No
2024-04-27,Sunny,871,16387.33,Yes
2024-04-28,Sunny,589,7091.17,No
2024-04-29,Sunny,636,8289.52,No
2024-04-30,Sunny,599,18441.57,No
2024-05-01,Snowy,180,2901.78,No
2024-05-02,Rainy,180,1474.36,No
2024-05-03,Cloudy,553,7932.18,No
2024-05-04,Sunny,924,21262.69,Yes
2024-05-05,Cloudy,777,13640.68,Yes
2024-05-06,Sunny,604,12203.66,No
2024-05-07,Rainy,226,3103.28,No
2024-05-08,Cloudy,478,12821.98,No
2024-05-09,Rainy,259,5419.91,No
2024-05-10,Sunny,524,10054.53,No
2024-05-11,Cloudy,460,9664.65,No
2024-05-12,Sunny,588,6295.22,No
2024-05-13,Sunny,569,13528.03,No
2024-05-14,Sunny,888,8539.95,Yes
2024-05-15,Sunny,658,12440.15,No
2024-05-16,Sunny,489,11744.62,No
2024-05-17,Sunny,649,8856.86,No
2024-05-18,Sunny,647,14922.26,No
2024-05-19,Sunny,924,14724.92,Yes
2024-05-20,Sunny,709,,No
2024-05-21,Sunny,587,11546.97,No
2024-05-22,Rainy,220,4806.64,No
2024-05-23,Rainy,218,3253.18,No
2024-05-24,Snowy,173,4440.13,No
2024-05-25,Sunny,628,10448.14,No
2024-05-26,Snowy,223,2736.54,No
2024-05-27,Sunny,622,14234.69,No
2024-05-28,Cloudy,466,8634.74,No
2024-05-29,Rainy,220,3169.71,No
2024-05-30,Sunny,613,11809.75,No
2024-05-31,Sunny,645,16076.69,No
2024-06-01,Rainy,237,4696.84,No
2024-06-02,Sunny,615,11138.71,No
2024-06-03,Cloudy,728,10093.51,Yes
2024-06-04,Rainy,278,6377.01,No
2024-06-05,Sunny,865,8403.16,Yes
2024-06-06,Rainy,217,2311.62,No
2024-06-07,Cloudy,436,11711.8,No
2024-06-08,Rainy,485,11513.19,Yes
2024-06-09,Cloudy,490,12080.47,No
2024-06-10,Cloudy,463,6623.36,No
2024-06-11,Snowy,204,4562.77,No
2024-06-12,Rainy,482,6366.6,Yes
2024-06-13,Sunny,606,10865.62,No
2024-06-14,Cloudy,483,10100.58,No
2024-06-15,Sunny,534,12329.54,No
2024-06-16,Sunny,943,13792.66,Yes
2024-06-17,Sunny,603,,No
2024-06-18,Sunny,533,11336.03,No
2024-06-19,Cloudy,833,10404.81,Yes
2024-06-20,Rainy,229,4660.18,No
2024-06-21,Sunny,538,7375.14,No
2024-06-22,Sunny,931,14408.75,Yes
2024-06-23,Sunny,631,15091.88,No
2024-06-24,Sunny,545,11536.01,No
2024-06-25,Sunny,677,10771.85,No
2024-06-26,Sunny,606,8984.29,No
2024-06-27,Sunny,562,7688.62,No
2024-06-28,Sunny,513,14740.87,No
2024-06-29,Sunny,611,16995.49,No
2024-06-30,Sunny,873,13548.32,Yes
2024-07-01,Rainy,516,8422.8,Yes
2024-07-02,Sunny,545,11985.02,No
2024-07-03,Rainy,195,2736.64,No
2024-07-04,Rainy,190,6012.52,No
2024-07-05,Snowy,147,2428.94,No
2024-07-06,Sunny,580,15976.68,No
2024-07-07,Cloudy,802,16371.88,Yes
2024-07-08,Sunny,990,12249.87,Yes
2024-07-09,Sunny,697,16245.26,No
2024-07-10,Sunny,898,19911.32,Yes
2024-07-11,Cloudy,528,11913.51,No
2024-07-12,Sunny,560,14913.32,No
2024-07-13,Cloudy,510,10513.78,No
2024-07-14,Rainy,540,10046.1,Yes
2024-07-15,Sunny,561,10781.89,No
2024-07-16,Cloudy,653,11146.82,Yes
2024-07-17,Sunny,623,14463.04,No
2024-07-18,Rainy,376,4043.81,Yes
2024-07-19,Sunny,611,14652.3,No
2024-07-20,Sunny,552,11213.49,No
2024-07-21,Cloudy,519,13998.99,No
2024-07-22,Sunny,665,10062.25,No
2024-07-23,Sunny,621,13760.22,No
2024-07-24,Rainy,579,11718.9,Yes
2024-07-25,Cloudy,508,,No
2024-07-26,Rainy,192,6031.99,No
2024-07-27,Sunny,645,6020.64,No
2024-07-28,Sunny,613,14399.13,No
2024-07-29,Cloudy,395,9128.11,No
2024-07-30,Sunny,573,7047.71,No
2024-07-31,Sunny,550,9084.4,No
2024-08-01,Cloudy,448,10859.87,No
2024-08-02,Rainy,150,3581.31,No
2024-08-03,Sunny,537,10087.75,No
2024-08-04,Sunny,581,10858.09,No
2024-08-05,Sunny,875,19668.15,Yes
2024-08-06,Sunny,586,11148.26,No
2024-08-07,Cloudy,679,14541.13,Yes
2024-08-08,Cloudy,426,12610.75,No
2024-08-09,Sunny,703,12303.97,No
2024-08-10,Sunny,627,13221.89,No
2024-08-11,Cloudy,435,11567.25,No
2024-08-12,Rainy,179,4832.26,No
2024-08-13,Rainy,172,4139.33,No
2024-08-14,Sunny,586,14092.73,No
2024-08-15,Rainy,201,4065.63,No
2024-08-16,Cloudy,418,6336.42,No
2024-08-17,Snowy,219,3708.9,No
2024-08-18,Sunny,603,7370.62,No
2024-08-19,Sunny,573,13247.7,No
2024-08-20,Cloudy,449,9560.12,No
2024-08-21,Rainy,217,3823.3,No
2024-08-22,Sunny,629,8900.82,No
2024-08-23,Cloudy,433,10667.27,No
2024-08-24,Rainy,200,4874.53,No
2024-08-25,Sunny,683,14052.78,No
2024-08-26,Rainy,246,6241.33,No
2024-08-27,Sunny,529,9574.6,No
2024-08-28,Cloudy,391,5517.47,No
2024-08-29,Sunny,564,14828.42,No
2024-08-30,Sunny,595,12813.03,No
2024-08-31,Sunny,917,14874.05,Yes
2024-09-01,Rainy,367,8478.75,No
2024-09-02,Rainy,238,5350.74,No
2024-09-03,Cloudy,444,7403.03,No
2024-09-04,Sunny,431,4544.87,No
2024-09-05,Rainy,465,8141.67,Yes
2024-09-06,Sunny,430,9402.97,No
2024-09-07,Sunny,567,12051.23,No
2024-09-08,Rainy,227,3468.76,No
2024-09-09,Snowy,219,2781.17,No
2024-09-10,Cloudy,502,8446.6,No
2024-09-11,Sunny,646,16403.08,No
2024-09-12,Cloudy,394,9082.22,No
2024-09-13,Cloudy,765,10907.34,Yes
2024-09-14,Rainy,223,3258.48,No
2024-09-15,Sunny,493,14807.6,No
2024-09-16,Sunny,594,13621.75,No
2024-09-17,Sunny,484,11899.66,No
2024-09-18,Sunny,943,14317.26,Yes
2024-09-19,Rainy,93,3167.33,No
2024-09-20,Sunny,599,12998.97,No
2024-09-21,Sunny,604,13762.89,No
2024-09-22,Rainy,489,8843.25,Yes
2024-09-23,Sunny,611,7145.19,No
2024-09-24,Cloudy,505,9316.19,No
2024-09-25,Cloudy,456,7509.83,No
2024-09-26,Rainy,299,8897.2,No
2024-09-27,Rainy,214,6974.34,No
2024-09-28,Sunny,615,12786.54,No
2024-09-29,Sunny,569,7930.07,No
2024-09-30,Cloudy,494,9234.9,No
2024-10-01,Sunny,513,6551.34,No
2024-10-02,Sunny,542,14489.98,No
2024-10-03,Rainy,189,2316.12,No
2024-10-04,Cloudy,826,12946.16,Yes
2024-10-05,Sunny,632,12794.31,No
2024-10-06,Cloudy,817,12695.91,Yes
