PropertyID,Bedrooms,SquareFootage,CityDistance_KM,PetFriendly,RentalPrice
680134,1,508,4.84,No,500.0
680135,2,1056,5.89,Yes,1361.06
680136,2,848,25.22,No,849.43
680137,2,798,29.42,No,500.0
680138,2,955,14.31,No,982.99
680139,3,1288,13.6,Yes,1839.49
680140,2,782,25.27,No,564.22
680141,4,2138,28.4,Yes,2442.29
680142,2,793,9.64,No,1408.76
680143,1,427,27.22,Yes,500.0
680144,1,592,18.95,Yes,500.0
680145,1,648,17.49,Yes,767.93
680146,1,577,9.09,No,676.79
680147,2,774,4.89,Yes,997.6
680148,2,802,29.44,No,540.24
680149,1,417,12.71,No,500.0
680150,2,939,20.87,No,848.28
680151,2,856,6.58,Yes,1245.04
680152,3,1432,27.3,Yes,1490.89
680153,2,778,9.66,Yes,1357.98
680154,2,1044,3.05,No,1236.78
680155,3,1418,28.08,No,1568.95
680156,4,1618,14.38,No,2215.35
680157,2,890,21.75,Yes,638.17
680158,1,457,23.09,Yes,500.0
680159,1,554,27.33,No,500.0
680160,1,402,5.09,No,500.0
680161,3,1625,18.55,No,2048.63
680162,1,372,14.67,No,500.0
680163,1,398,12.71,Yes,500.0
680164,1,580,16.93,Yes,768.24
680165,2,1119,10.87,Yes,1479.84
680166,1,480,26.14,No,500.0
680167,1,599,22.15,No,500.0
680168,3,1705,4.25,Yes,2732.08
680169,3,1126,29.43,No,728.28
680170,1,477,8.52,Yes,768.68
680171,4,2184,13.67,Yes,3005.49
680172,2,805,11.38,Yes,983.99
680173,1,433,3.51,Yes,975.28
680174,1,646,1.82,No,736.42
680175,1,281,10.14,No,500.0
680176,1,396,4.69,No,500.0
680177,1,415,25.21,Yes,500.0
680178,3,1481,1.21,No,1948.51
680179,2,943,17.61,No,801.27
680180,2,1176,15.92,Yes,1215.58
680181,3,1545,12.48,No,2143.22
680182,3,1618,23.54,No,1948.46
680183,2,1193,16.54,No,1032.0
680184,1,494,20.11,Yes,500.0
680185,1,512,10.11,No,500.0
680186,1,555,11.8,Yes,622.44
680187,1,505,23.69,Yes,500.0
680188,2,1077,27.15,Yes,903.52
680189,2,1118,22.4,No,1184.73
680190,1,323,9.64,No,500.0
680191,1,504,15.66,Yes,500.0
680192,2,853,14.16,No,951.83
680193,1,514,2.8,No,782.19
680194,1,537,3.56,No,801.23
680195,3,1705,18.84,No,1863.4
680196,1,311,14.88,Yes,500.0
680197,1,485,13.07,No,500.0
680198,2,1199,4.09,No,1776.3
680199,1,472,15.34,No,500.0
680200,1,598,28.43,Yes,636.23
680201,2,736,1.07,No,1081.91
680202,1,530,5.17,No,987.17
680203,4,1499,26.94,Yes,1733.54
680204,2,1108,7.03,No,1240.51
680205,3,1353,1.85,No,1858.25
680206,1,319,20.72,No,500.0
680207,2,1066,28.06,Yes,825.68
680208,4,2384,18.86,Yes,3279.72
680209,3,1148,26.09,No,1049.75
680210,3,1214,5.14,Yes,1794.3
680211,1,369,29.86,Yes,500.0
680212,1,526,12.63,No,560.98
680213,1,489,12.14,Yes,536.02
680214,2,775,17.83,No,821.03
680215,3,1573,2.01,No,2754.09
680216,1,582,25.85,No,500.0
680217,3,1680,15.32,Yes,2288.22
680218,2,1065,29.98,Yes,1141.69
680219,2,1123,11.47,No,1547.9
680220,3,1513,1.02,No,2148.09
680221,3,1587,6.26,Yes,2456.88
680222,2,701,19.07,Yes,554.17
680223,2,781,27.21,No,656.98
680224,1,394,28.93,No,500.0
680225,3,1670,2.74,No,2670.29
680226,1,603,10.71,No,797.46
680227,2,869,12.68,No,1120.64
680228,1,520,13.04,Yes,569.3
680229,1,283,29.28,Yes,500.0
680230,1,553,2.65,No,628.31
680231,3,1404,1.45,No,1946.34
680232,1,631,22.31,Yes,596.77
680233,1,464,18.52,No,500.0
680234,2,905,20.75,No,1178.67
680235,3,1185,12.17,No,1380.32
680236,4,1706,10.35,No,2224.5
680237,1,491,4.97,No,819.69
680238,1,499,9.79,Yes,500.0
680239,1,495,7.67,No,590.08
680240,3,1363,29.68,No,1412.19
680241,3,1116,23.52,Yes,1283.15
680242,2,970,24.12,No,819.64
680243,2,1155,7.53,Yes,1736.37
680244,2,1182,9.23,No,1490.18
680245,2,1101,7.1,No,1331.76
680246,3,1466,25.75,No,1527.92
680247,4,2171,24.12,No,2831.85
680248,3,1201,1.55,No,1712.23
680249,1,419,12.96,No,500.0
680250,1,385,0.91,Yes,619.97
680251,1,516,18.4,No,500.0
680252,1,387,0.74,Yes,500.0
680253,1,340,20.64,Yes,500.0
680254,3,1341,24.73,No,1640.69
680255,3,1662,19.95,No,1685.23
680256,2,692,1.72,No,500.0
680257,3,1351,18.06,No,1390.34
680258,1,518,12.97,Yes,533.22
680259,2,1015,22.67,No,1078.25
680260,2,1096,1.73,No,1757.95
680261,3,1778,6.92,Yes,2924.94
680262,1,369,17.96,No,538.52
680263,3,1331,19.67,No,1122.13
680264,3,1212,19.49,Yes,1111.03
680265,2,986,22.68,No,826.61
680266,2,981,8.31,No,1095.04
680267,4,2126,24.53,No,2775.61
680268,1,613,17.78,Yes,500.0
680269,3,1078,8.04,Yes,1395.52
680270,1,457,1.77,Yes,728.22
680271,1,461,20.32,No,500.0
680272,2,1248,29.87,No,1277.07
680273,1,611,11.06,No,564.13
680274,1,500,20.23,No,500.0
680275,2,812,12.35,No,1115.62
680276,2,1018,23.85,Yes,934.67
680277,2,849,16.36,Yes,754.27
680278,1,415,13.21,No,543.63
680279,3,1039,16.38,Yes,1301.93
680280,3,1591,14.51,No,
680281,2,1101,12.71,No,1405.47
680282,1,351,9.11,No,500.0
680283,1,405,12.24,No,500.0
680284,1,329,10.64,Yes,552.2
680285,2,1072,23.62,No,696.82
680286,2,729,3.18,Yes,909.36
680287,3,1609,24.9,Yes,1751.43
680288,1,522,5.02,No,500.0
680289,1,448,15.33,Yes,500.0
680290,3,1312,12.9,Yes,1544.35
680291,1,582,17.15,No,755.17
680292,4,1637,21.14,Yes,2053.29
680293,3,1660,3.73,No,2579.77
680294,1,471,17.41,No,500.0
680295,1,356,24.39,Yes,500.0
680296,3,1498,22.07,Yes,2201.25
680297,1,355,1.65,No,507.13
680298,2,663,12.34,No,638.8
680299,3,1349,23.93,Yes,1857.53
680300,2,1169,1.35,No,1968.89
680301,2,920,23.98,Yes,500.0
680302,1,476,7.5,Yes,1108.02
680303,1,404,27.03,No,500.0
680304,1,344,17.54,No,500.0
680305,3,1824,1.85,No,2720.1
680306,2,963,23.85,Yes,868.46
680307,2,731,11.59,Yes,823.78
680308,1,325,10.76,No,500.0
680309,1,422,26.27,No,500.0
680310,3,1147,21.3,No,1212.28
680311,2,945,28.24,No,715.35
680312,1,407,7.14,Yes,644.86
680313,1,455,17.27,No,500.0
680314,1,403,20.46,No,500.0
680315,2,756,17.46,No,637.51
680316,3,1734,24.67,No,1767.37
680317,4,1436,29.74,Yes,1575.53
680318,3,1107,2.83,No,1773.04
680319,1,654,2.87,No,661.37
680320,4,1579,16.27,Yes,2287.66
680321,2,960,2.76,Yes,1767.47
680322,2,860,7.3,No,1290.78
680323,1,574,27.23,Yes,500.0
680324,1,409,1.79,Yes,873.23
680325,1,384,11.33,No,500.0
680326,2,1017,2.95,No,1362.68
680327,1,543,6.56,No,731.56
680328,1,615,9.28,No,764.79
680329,1,572,4.84,Yes,984.9
680330,4,2312,23.14,No,2787.21
680331,2,941,6.41,No,1404.88
680332,2,1138,11.8,No,1042.71
680333,2,948,14.73,No,1012.3
680334,2,752,1.1,No,1116.14
680335,3,1576,28.54,Yes,1856.09
680336,1,445,14.2,Yes,556.64
680337,2,803,17.34,No,500.0
680338,3,1050,4.77,No,1390.6
680339,4,2248,22.26,No,3137.26
680340,1,455,2.61,No,500.0
680341,1,536,22.78,Yes,635.91
680342,2,1069,6.58,No,1657.93
680343,2,1018,5.8,No,1289.84
680344,3,1043,13.57,Yes,1388.2
680345,2,1030,26.83,No,823.22
680346,1,445,28.77,No,500.0
680347,2,1030,16.71,No,856.87
680348,2,905,26.56,No,519.08
680349,3,1083,11.09,Yes,1674.59
680350,1,598,6.01,No,945.15
680351,3,1379,9.64,No,1754.22
680352,2,936,20.94,No,789.34
680353,3,1604,29.23,Yes,1708.12
680354,3,1481,18.16,No,1947.9
680355,1,516,6.79,Yes,605.5
680356,1,418,20.79,No,500.0
680357,3,1329,7.57,No,2198.52
680358,2,973,19.6,Yes,931.55
680359,2,1159,7.0,Yes,1768.37
680360,1,412,24.61,Yes,500.0
680361,3,1304,17.58,Yes,1506.53
680362,2,1028,22.02,No,1113.68
680363,4,1861,11.84,No,2703.38
680364,1,392,15.99,Yes,500.0
680365,2,1141,19.99,No,1037.2
680366,2,755,9.1,No,698.37
680367,3,1578,19.24,No,1870.82
680368,4,2186,20.47,No,2965.74
680369,2,1140,8.9,No,2124.59
680370,2,905,25.25,No,600.71
680371,1,553,19.59,No,500.0
680372,3,1047,14.39,No,1024.28
680373,2,951,11.58,No,1207.24
680374,2,1056,10.92,Yes,1451.66
680375,1,592,8.6,No,500.0
680376,1,440,8.46,No,500.0
680377,3,1046,29.29,No,1142.34
680378,2,929,1.47,No,1577.82
680379,2,1113,22.2,Yes,1402.17
680380,2,1169,29.9,No,540.44
680381,1,411,13.98,No,500.0
680382,2,758,18.88,No,500.0
680383,2,827,19.61,No,822.97
680384,2,1203,11.6,Yes,1483.88
680385,1,456,29.94,Yes,500.0
680386,2,1206,20.01,No,1573.14
680387,1,387,14.8,Yes,500.0
680388,1,585,25.04,Yes,790.67
680389,2,904,23.53,No,501.73
680390,1,458,14.66,Yes,514.73
680391,1,383,11.3,No,500.0
680392,2,767,20.74,Yes,882.52
680393,2,984,6.98,No,1214.25
680394,1,547,16.81,No,500.0
680395,1,511,12.24,Yes,619.86
680396,4,1369,29.84,No,1576.26
680397,1,626,23.54,No,500.0
680398,2,903,10.83,No,1199.74
680399,2,738,2.15,Yes,1514.99
680400,2,918,8.55,Yes,1192.01
680401,1,366,18.11,Yes,500.0
680402,1,422,21.03,No,500.0
680403,2,926,20.39,Yes,1067.75
680404,3,1596,14.69,No,2170.69
680405,1,445,7.04,No,754.25
680406,3,1378,16.26,Yes,1658.59
680407,2,793,9.9,No,939.33
680408,2,779,19.09,No,1079.12
680409,1,382,29.0,No,500.0
680410,2,876,11.17,Yes,1236.37
680411,1,598,4.18,No,849.97
680412,2,828,6.43,No,872.32
680413,2,769,25.38,Yes,500.0
680414,2,937,9.59,No,902.47
680415,2,811,28.59,Yes,637.52
680416,2,1214,16.2,Yes,1552.73
680417,1,477,11.92,No,579.0
680418,4,1757,10.06,Yes,2620.84
680419,2,812,21.75,Yes,1077.29
680420,2,1054,13.9,Yes,1265.15
680421,2,804,20.11,Yes,504.75
680422,1,400,24.48,No,500.0
680423,3,1324,19.29,No,1587.32
680424,1,323,8.52,No,500.0
680425,2,1176,1.76,No,1979.74
680426,1,524,28.88,Yes,500.0
680427,1,590,9.21,No,500.0
680428,2,840,27.83,No,742.11
680429,2,963,14.84,No,1368.98
680430,3,1548,22.33,Yes,1703.33
680431,3,1031,15.66,No,1202.52
680432,2,1106,28.42,Yes,1201.53
680433,2,880,21.63,No,971.08
680434,3,1605,26.92,No,1801.05
680435,4,2453,22.82,Yes,3203.52
680436,1,508,29.64,Yes,500.0
680437,3,1482,8.92,No,2220.86
680438,1,345,15.13,No,500.0
680439,3,1254,4.94,Yes,1779.6
680440,1,537,2.26,No,906.78
680441,1,410,6.36,No,549.8
680442,1,490,5.04,No,700.22
680443,1,461,21.08,No,500.0
680444,1,518,18.88,No,500.0
680445,2,885,23.92,No,647.39
680446,3,1141,1.93,No,1856.26
680447,3,1364,22.89,No,1422.69
680448,1,319,15.59,No,500.0
680449,1,330,13.04,No,500.0
680450,3,1560,14.31,Yes,2237.4
680451,1,530,10.47,No,547.68
680452,2,923,4.04,No,1599.42
680453,2,982,23.26,Yes,500.0
680454,2,919,23.4,No,694.81
680455,1,428,19.88,No,500.0
680456,1,446,8.08,Yes,797.22
680457,1,574,28.36,No,500.0
680458,1,435,9.13,No,500.0
680459,2,1003,10.18,No,1101.99
680460,1,509,27.89,No,500.0
680461,1,582,5.37,No,978.84
680462,2,938,12.85,Yes,1453.48
680463,2,999,1.68,Yes,1371.82
680464,1,512,9.24,No,756.5
680465,2,990,23.67,No,1033.65
680466,3,1525,24.23,No,1671.32
680467,2,1102,23.31,No,907.49
680468,1,350,20.47,Yes,500.0
680469,1,569,17.38,No,500.0
680470,2,686,7.45,No,1201.73
680471,2,1192,3.41,No,1934.28
680472,1,501,24.43,No,500.0
680473,3,1672,10.01,No,2301.81
680474,3,1450,29.95,No,1628.24
680475,1,443,0.61,No,685.18
680476,2,987,20.29,No,1164.34
680477,2,1039,23.88,No,992.04
680478,1,576,19.46,Yes,857.25
680479,1,387,18.62,No,500.0
680480,2,909,8.53,No,1196.57
680481,3,1532,6.75,No,2000.72
680482,1,325,15.71,No,500.0
680483,1,460,11.13,Yes,500.0
680484,1,401,13.67,Yes,500.0
680485,2,833,14.88,Yes,1162.76
680486,2,1070,21.79,No,922.76
680487,3,1542,11.78,No,2065.79
680488,2,1085,10.73,Yes,1441.58
680489,2,1097,1.86,No,1861.78
680490,4,1592,1.31,No,2016.81
680491,2,1047,17.53,No,1208.33
680492,1,347,7.6,Yes,586.63
680493,2,1088,17.67,Yes,1275.28
680494,3,1512,9.65,Yes,1864.99
680495,4,1769,5.52,No,2733.88
680496,3,1708,28.68,No,1583.69
680497,2,927,25.41,No,970.02
680498,3,1511,11.73,No,1916.29
680499,1,518,8.79,No,608.42
680500,2,1110,23.6,No,977.56
680501,3,1482,10.12,No,2283.92
680502,1,398,21.92,Yes,500.0
680503,2,806,7.2,No,500.0
680504,1,442,12.19,Yes,500.0
680505,2,1170,7.66,Yes,1793.15
680506,2,1006,5.02,No,1263.57
680507,2,1043,19.04,No,996.52
680508,1,463,24.94,No,500.0
680509,2,1200,15.46,No,1443.82
680510,2,783,9.03,No,
680511,4,2213,5.9,No,3790.91
680512,4,1460,22.34,Yes,2127.3
680513,3,1398,16.85,No,1661.44
680514,1,549,29.44,No,500.0
680515,1,493,7.41,No,500.0
680516,1,335,12.97,No,500.0
680517,2,1001,28.46,No,716.83
680518,3,1637,14.75,No,1788.67
680519,1,423,29.2,No,500.0
680520,2,1064,11.94,No,1352.76
680521,1,504,8.22,No,634.99
680522,1,378,21.82,Yes,500.0
680523,2,1141,10.01,No,1464.46
680524,2,655,20.71,Yes,500.0
680525,3,1326,9.53,Yes,1815.86
680526,1,542,27.83,No,579.49
680527,1,532,12.52,Yes,750.57
680528,1,498,11.73,No,500.0
680529,1,521,7.79,Yes,733.47
680530,1,274,24.98,No,500.0
680531,2,923,18.51,No,662.51
680532,2,697,24.15,No,500.0
680533,2,1230,18.82,No,1043.67
680534,2,924,13.54,No,778.72
680535,1,404,4.99,No,661.87
680536,3,1028,10.75,No,1021.84
680537,4,2432,11.27,No,3096.29
680538,3,1744,10.19,Yes,2323.31
680539,1,490,28.84,No,500.0
680540,3,1512,29.62,Yes,1540.83
680541,2,739,12.46,No,799.25
680542,1,486,25.59,No,500.0
680543,1,587,20.86,No,500.0
680544,1,607,6.37,No,752.66
680545,2,1080,2.77,No,1742.22
680546,3,1064,5.37,No,
680547,1,583,23.79,Yes,500.0
680548,2,797,7.44,No,694.36
680549,1,460,7.55,Yes,540.82
680550,3,1693,8.49,No,2015.37
680551,2,810,13.78,Yes,844.62
680552,3,1487,23.76,No,2011.92
680553,3,1671,16.96,No,2603.09
680554,3,1130,3.56,No,1362.13
680555,1,499,10.42,Yes,500.0
680556,2,1107,11.18,Yes,1077.02
680557,2,752,1.83,No,1129.89
680558,1,356,17.04,No,500.0
680559,1,557,3.6,Yes,1157.77
680560,2,1081,13.83,No,1260.74
680561,3,1544,5.63,Yes,2368.33
680562,2,1052,10.24,Yes,1089.19
680563,1,512,15.11,Yes,955.27
680564,3,1133,18.67,No,1253.12
680565,2,898,16.92,No,829.95
680566,2,1147,5.77,Yes,1872.4
680567,2,788,16.03,Yes,717.0
680568,2,946,4.37,No,1344.92
680569,3,1341,16.78,Yes,1765.05
680570,2,742,20.26,Yes,707.92
680571,1,552,27.48,Yes,500.0
680572,2,1154,19.22,No,1329.39
680573,3,1680,2.75,No,
680574,1,503,16.76,No,725.44
680575,1,447,3.43,Yes,901.45
680576,2,1118,6.76,No,1187.81
680577,1,354,3.79,Yes,976.15
680578,2,712,24.38,No,500.0
680579,3,1771,17.4,Yes,2512.92
680580,1,561,4.24,Yes,832.27
680581,1,417,20.56,No,500.0
680582,1,464,9.28,No,500.0
680583,1,513,24.32,Yes,500.0
680584,1,343,13.23,Yes,500.0
680585,1,456,1.41,Yes,623.07
680586,2,733,14.98,Yes,812.26
680587,1,379,17.56,No,500.0
680588,1,422,20.44,No,500.0
680589,1,488,22.68,Yes,
680590,2,781,13.85,No,854.16
680591,3,1347,18.27,Yes,1489.28
680592,1,617,6.43,Yes,767.95
680593,2,1046,3.03,No,1686.13
680594,3,1433,7.91,Yes,2181.81
680595,1,355,3.45,Yes,647.03
680596,1,463,12.47,Yes,500.0
680597,1,353,16.69,No,500.0
680598,4,1977,2.42,Yes,3043.73
680599,3,1681,14.27,No,1963.96
680600,2,851,26.43,No,580.11
680601,1,482,15.03,No,562.06
680602,1,510,13.26,No,500.0
680603,3,1321,21.57,No,1374.01
680604,2,735,7.98,Yes,1216.41
680605,1,651,7.78,No,570.62
680606,1,375,3.66,No,500.0
680607,1,341,9.71,No,500.0
680608,2,1052,24.7,No,934.16
680609,3,1092,5.14,No,
680610,3,1060,9.58,No,1645.25
680611,1,510,10.93,No,505.89
680612,4,1867,7.74,No,2499.71
680613,1,372,10.29,No,500.0
680614,1,526,17.73,Yes,500.0
680615,2,1254,12.64,No,1335.29
680616,1,538,2.34,No,652.32
680617,3,1416,3.86,No,1965.62
680618,3,1118,7.67,No,
680619,1,632,28.31,Yes,500.0
680620,2,1187,10.22,No,1619.89
680621,1,567,4.93,Yes,969.69
680622,3,1303,8.16,No,1740.15
680623,2,942,27.54,Yes,721.46
680624,3,1139,19.62,No,1227.85
680625,3,1388,14.17,No,1896.76
680626,2,846,21.59,No,701.11
680627,2,959,29.29,No,525.29
680628,3,1300,19.7,Yes,1476.92
680629,1,361,0.62,No,542.55
680630,1,544,24.69,Yes,575.02
680631,1,645,26.29,No,500.0
680632,1,558,9.81,No,781.06
680633,1,376,14.11,No,500.0
680634,1,391,5.38,Yes,880.24
680635,1,415,8.06,Yes,672.31
680636,2,945,15.31,No,1028.84
680637,4,1833,20.03,No,2328.65
680638,2,969,4.57,No,1365.99
680639,3,1193,16.53,No,1416.08
680640,4,1392,17.36,No,1626.31
680641,1,476,29.45,No,500.0
680642,1,507,7.53,Yes,632.51
680643,3,1087,6.69,No,1430.8
680644,3,1175,18.43,No,1270.49
680645,2,604,12.24,No,507.34
680646,1,545,15.1,No,500.0
680647,1,529,26.66,No,500.0
680648,1,580,4.27,No,909.23
680649,1,626,18.64,Yes,849.48
680650,2,1041,8.8,No,1146.47
680651,2,834,3.9,Yes,1836.1
680652,2,987,6.95,Yes,1587.85
680653,2,700,21.82,No,500.0
680654,1,462,25.88,Yes,500.0
680655,3,1712,25.24,No,2055.84
680656,2,965,22.27,No,858.74
680657,1,493,26.2,No,500.0
680658,2,984,17.51,No,1340.09
680659,1,458,11.61,No,500.0
680660,4,1592,0.52,No,2377.35
680661,3,1282,3.71,No,1580.91
680662,2,882,26.58,Yes,615.79
680663,2,1120,28.7,Yes,1551.77
680664,3,1451,13.85,No,1821.82
680665,1,456,16.21,No,500.0
680666,2,929,25.34,No,1007.99
680667,1,418,9.34,No,500.0
680668,3,1281,25.84,No,1507.03
680669,2,875,8.93,Yes,1036.5
680670,2,819,25.74,Yes,667.49
680671,1,519,23.34,No,500.0
680672,2,1067,28.06,Yes,987.55
680673,1,441,12.54,Yes,500.0
680674,1,483,1.06,Yes,987.81
680675,1,486,17.99,No,500.0
680676,3,1367,11.39,Yes,2106.81
680677,2,1032,29.8,No,824.8
680678,4,1801,9.72,Yes,2551.61
680679,2,1099,11.01,No,1376.52
680680,3,1019,2.84,No,1321.43
680681,1,543,18.8,No,500.0
680682,2,1264,9.97,No,1800.58
680683,2,878,12.93,Yes,1114.11
680684,2,1153,5.32,Yes,1555.3
680685,1,569,20.47,No,500.0
680686,3,1515,17.85,No,1949.13
680687,2,931,14.77,No,896.13
680688,1,408,13.36,No,568.73
680689,2,831,20.54,No,609.82
680690,1,437,4.34,No,654.53
680691,1,503,11.47,Yes,500.0
680692,2,901,13.42,Yes,1011.58
680693,4,2082,27.58,Yes,2517.78
680694,1,580,3.01,No,681.4
680695,1,567,7.45,No,812.96
680696,1,495,15.53,No,584.32
680697,1,462,16.54,Yes,700.59
680698,1,508,13.21,No,500.0
680699,2,1097,2.0,No,
680700,2,975,16.55,Yes,1245.98
680701,3,1132,4.12,Yes,1792.81
680702,3,1271,22.44,No,1295.53
680703,3,1292,12.03,Yes,1920.78
680704,1,561,28.6,No,500.0
680705,2,685,27.22,Yes,500.0
680706,1,609,13.53,No,628.48
680707,3,1652,3.85,No,2272.91
680708,1,521,10.21,No,503.88
680709,2,1247,6.12,Yes,1930.14
680710,2,1034,15.18,No,1324.96
680711,1,541,11.36,No,533.65
680712,1,453,13.67,No,768.0
680713,2,1163,29.31,No,866.19
680714,1,448,8.18,No,500.0
680715,2,1162,25.24,No,1278.97
680716,3,1342,27.47,No,1453.5
680717,3,1079,29.15,No,640.58
680718,2,985,3.25,No,1288.09
680719,2,1075,22.22,No,1176.84
680720,3,1299,1.71,Yes,2226.04
680721,3,1280,8.08,Yes,1929.9
680722,2,890,8.16,Yes,1484.72
680723,1,484,2.71,No,500.0
680724,3,1328,13.54,No,1772.51
680725,3,1392,25.69,No,1498.09
680726,2,838,5.04,No,1107.18
680727,1,554,4.54,No,789.71
680728,4,2356,20.43,Yes,3221.39
680729,3,1371,24.17,No,1220.84
680730,1,509,5.42,Yes,718.58
680731,4,1930,9.53,No,2398.22
680732,3,1685,29.4,No,1611.65
680733,1,347,25.23,No,500.0
680734,3,1353,26.03,Yes,1386.49
680735,2,716,3.47,Yes,1063.54
680736,4,2221,11.2,Yes,3288.14
680737,2,722,8.55,Yes,1003.86
680738,2,1138,17.37,Yes,1427.74
680739,4,1557,2.16,No,2505.75
680740,1,600,7.86,No,836.88
680741,3,1383,14.43,No,2129.03
680742,3,1734,5.2,Yes,2697.91
680743,2,1166,14.06,No,1282.36
680744,4,1926,28.0,Yes,2488.34
680745,1,619,24.75,Yes,500.0
680746,2,1016,29.24,No,803.78
680747,2,780,0.68,No,1319.56
680748,2,1097,6.83,No,1619.13
680749,1,318,5.61,Yes,603.22
680750,4,1842,21.57,Yes,2006.91
680751,3,1598,7.88,No,2339.74
