RecordID,Department,ItemCategory,TotalUnits,LostUnits,SecurityLevel
740123,Clothing,Budget,2396,50.0,High
740124,Beauty,Budget,619,2.0,High
740125,Clothing,Budget,3293,88.0,Medium
740126,Clothing,Premium,2049,31.0,Low
740127,Clothing,Budget,4886,107.0,Medium
740128,Beauty,Premium,1329,52.0,Medium
740129,Beauty,Premium,3953,88.0,High
740130,Home,Premium,518,10.0,Low
740131,Sports,Budget,3324,28.0,High
740132,Clothing,Budget,2112,58.0,Low
740133,Sports,Budget,1772,23.0,Medium
740134,Sports,Premium,4975,80.0,High
740135,Electronics,Standard,1221,12.0,High
740136,Electronics,Standard,283,5.0,Low
740137,Beauty,Budget,3063,75.0,Medium
740138,Sports,Budget,3675,108.0,Low
740139,Home,Standard,2315,44.0,High
740140,Beauty,Premium,3604,73.0,Medium
740141,Clothing,Standard,4666,85.0,Low
740142,Sports,Standard,3892,72.0,Medium
740143,Home,Budget,878,22.0,Medium
740144,Home,Budget,4209,86.0,Low
740145,Beauty,Budget,2259,36.0,High
740146,Sports,Budget,4773,65.0,Low
740147,Beauty,Premium,561,1.0,High
740148,Beauty,Standard,1516,37.0,Medium
740149,Electronics,Premium,4511,62.0,Low
740150,Sports,Premium,2736,28.0,Medium
740151,Sports,Budget,2525,65.0,Low
740152,Sports,Standard,4855,110.0,Medium
740153,Clothing,Standard,4723,27.0,High
740154,Beauty,Standard,2684,89.0,Low
740155,Home,Budget,294,0.0,High
740156,Electronics,Budget,969,8.0,High
740157,Clothing,Standard,4733,53.0,Medium
740158,Electronics,Budget,3644,43.0,Low
740159,Electronics,Budget,3607,60.0,Low
740160,Home,Standard,4959,69.0,Medium
740161,Electronics,Standard,106,2.0,Medium
740162,Home,Standard,1891,5.0,High
740163,Beauty,Budget,4301,74.0,Low
740164,Sports,Budget,3276,72.0,Medium
740165,Beauty,Budget,3144,86.0,Low
740166,Sports,Standard,1165,34.0,Medium
740167,Electronics,Budget,4529,131.0,Low
740168,Sports,Standard,3339,97.0,Medium
740169,Electronics,Premium,1371,17.0,Low
740170,Beauty,Budget,2384,66.0,High
740171,Clothing,Premium,2485,58.0,Medium
740172,Electronics,Budget,2829,56.0,Medium
740173,Sports,Budget,4342,125.0,Low
740174,Home,Budget,3310,36.0,High
740175,Beauty,Budget,1154,8.0,High
740176,Beauty,Budget,1382,37.0,Medium
740177,Sports,Standard,719,15.0,Medium
740178,Home,Budget,4139,67.0,Low
740179,Sports,Budget,3059,58.0,Medium
740180,Electronics,Budget,2818,80.0,Medium
740181,Clothing,Premium,354,8.0,Medium
740182,Sports,Standard,3147,46.0,High
740183,Home,Standard,4158,60.0,Medium
740184,Home,Standard,857,25.0,Medium
740185,Clothing,Premium,3234,36.0,Medium
740186,Sports,Premium,2107,23.0,Low
740187,Home,Budget,3579,64.0,Low
740188,Beauty,Budget,3078,82.0,Medium
740189,Sports,Budget,2290,29.0,Medium
740190,Electronics,Premium,2053,61.0,Low
740191,Electronics,Standard,4171,81.0,Low
740192,Home,Budget,2766,30.0,Low
740193,Electronics,Premium,825,9.0,Low
740194,Home,Premium,2995,38.0,Medium
740195,Home,Standard,4012,59.0,Medium
740196,Clothing,Standard,3579,82.0,High
740197,Electronics,Standard,4325,69.0,Low
740198,Beauty,Budget,3746,84.0,Medium
740199,Home,Standard,2130,23.0,Medium
740200,Clothing,Premium,4378,96.0,Low
740201,Electronics,Standard,3944,46.0,Low
740202,Sports,Budget,3716,85.0,Low
740203,Clothing,Premium,2319,40.0,High
740204,Electronics,Standard,2872,44.0,Medium
740205,Sports,Premium,1455,19.0,High
740206,Electronics,Standard,416,5.0,Medium
740207,Sports,Standard,3684,57.0,High
740208,Beauty,Premium,3458,88.0,Medium
740209,Clothing,Premium,1012,21.0,Low
740210,Sports,Budget,594,14.0,Medium
740211,Clothing,Budget,3148,,Low
740212,Home,Budget,3926,74.0,Medium
740213,Home,Premium,4448,86.0,Medium
740214,Clothing,Premium,4487,72.0,Medium
740215,Beauty,Budget,2722,67.0,Medium
740216,Sports,Premium,455,6.0,Medium
740217,Sports,Budget,2785,52.0,Medium
740218,Home,Standard,4063,112.0,Low
740219,Clothing,Premium,1745,31.0,High
740220,Home,Standard,365,0.0,High
740221,Sports,Budget,1314,34.0,Medium
740222,Clothing,Standard,2953,67.0,Low
740223,Sports,Standard,1366,34.0,Medium
740224,Beauty,Budget,2740,65.0,Medium
740225,Clothing,Premium,4852,76.0,Medium
740226,Electronics,Premium,4135,107.0,Medium
740227,Electronics,Standard,1241,21.0,Low
740228,Clothing,Standard,1824,47.0,Low
740229,Sports,Premium,1680,,Medium
740230,Home,Premium,131,2.0,Medium
740231,Electronics,Budget,3287,40.0,Medium
740232,Sports,Budget,1948,46.0,Medium
740233,Home,Standard,2439,64.0,Low
740234,Sports,Standard,3200,32.0,Low
740235,Beauty,Premium,3586,83.0,Low
740236,Electronics,Premium,1677,38.0,Low
740237,Beauty,Premium,2897,72.0,Low
740238,Sports,Budget,563,11.0,Low
740239,Clothing,Budget,3186,91.0,Low
740240,Clothing,Premium,56,0.0,Medium
740241,Electronics,Standard,3419,49.0,Low
740242,Sports,Budget,1733,31.0,Low
740243,Beauty,Premium,3933,66.0,High
740244,Home,Premium,1540,19.0,Medium
740245,Clothing,Standard,4176,76.0,Low
740246,Clothing,Premium,4822,142.0,Low
740247,Home,Premium,1042,0.0,High
740248,Home,Premium,4175,94.0,High
740249,Clothing,Budget,152,3.0,Medium
740250,Sports,Standard,3358,85.0,Medium
740251,Sports,Standard,4342,,High
740252,Electronics,Budget,2729,57.0,Medium
740253,Sports,Budget,4557,50.0,Medium
740254,Beauty,Budget,3319,112.0,Medium
740255,Electronics,Premium,4454,80.0,Medium
740256,Sports,Standard,2373,4.0,High
740257,Electronics,Budget,2252,44.0,Medium
740258,Sports,Standard,235,0.0,High
740259,Electronics,Standard,1510,34.0,Low
740260,Clothing,Standard,676,19.0,Medium
740261,Home,Budget,4073,113.0,Low
740262,Sports,Premium,3990,84.0,Medium
740263,Electronics,Standard,2397,26.0,High
740264,Clothing,Premium,2397,33.0,High
740265,Clothing,Standard,3703,85.0,Low
740266,Home,Standard,1834,31.0,Low
740267,Beauty,Standard,3105,74.0,Medium
740268,Home,Standard,4877,105.0,Medium
740269,Clothing,Standard,4522,59.0,Low
740270,Sports,Budget,369,5.0,Medium
740271,Home,Premium,3714,66.0,Low
740272,Sports,Budget,4782,87.0,Medium
740273,Beauty,Standard,4591,87.0,Low
740274,Home,Budget,3372,35.0,Low
740275,Sports,Standard,2791,50.0,Medium
740276,Sports,Premium,3014,59.0,Medium
740277,Beauty,Premium,4551,60.0,Low
740278,Home,Budget,1947,7.0,High
740279,Sports,Premium,4983,117.0,High
740280,Electronics,Budget,2932,31.0,Low
740281,Sports,Premium,143,1.0,Low
740282,Clothing,Premium,303,5.0,Low
740283,Beauty,Standard,4693,133.0,Low
740284,Home,Premium,430,11.0,Medium
740285,Clothing,Budget,4934,48.0,High
740286,Home,Premium,413,12.0,Medium
740287,Beauty,Premium,3356,62.0,Low
740288,Home,Budget,4244,110.0,Medium
740289,Sports,Premium,4841,135.0,Medium
740290,Electronics,Standard,3568,41.0,High
740291,Sports,Budget,1247,19.0,Medium
740292,Electronics,Budget,1284,34.0,Low
740293,Clothing,Standard,4253,122.0,Medium
740294,Clothing,Budget,4278,113.0,Low
740295,Home,Premium,1173,13.0,Medium
740296,Home,Standard,2371,67.0,Low
740297,Sports,Budget,1729,38.0,Medium
740298,Beauty,Premium,1673,50.0,Medium
740299,Home,Standard,1708,45.0,Low
740300,Beauty,Premium,2678,60.0,High
740301,Sports,Standard,4451,31.0,High
740302,Electronics,Budget,4551,47.0,Medium
740303,Sports,Standard,2360,44.0,Medium
740304,Home,Budget,1096,25.0,Medium
740305,Sports,Standard,731,13.0,Low
740306,Sports,Budget,3970,57.0,High
740307,Home,Budget,2495,32.0,Medium
740308,Beauty,Standard,2716,49.0,Medium
740309,Beauty,Budget,3124,102.0,Medium
740310,Clothing,Budget,2732,31.0,Low
740311,Electronics,Standard,388,10.0,Low
740312,Sports,Standard,4330,76.0,Low
740313,Electronics,Standard,784,0.0,High
740314,Electronics,Standard,192,3.0,Low
740315,Beauty,Budget,4925,98.0,Medium
740316,Clothing,Premium,2715,70.0,Low
740317,Beauty,Budget,4230,,High
740318,Beauty,Standard,3042,63.0,Medium
740319,Sports,Premium,2162,35.0,High
740320,Home,Premium,2217,42.0,Low
740321,Clothing,Premium,1071,25.0,Medium
740322,Beauty,Standard,4401,80.0,Medium
740323,Sports,Budget,587,0.0,High
740324,Beauty,Budget,626,27.0,Low
740325,Beauty,Standard,2767,51.0,Medium
740326,Electronics,Budget,3202,23.0,High
740327,Beauty,Premium,2114,55.0,High
740328,Sports,Budget,757,0.0,High
740329,Beauty,Premium,2233,31.0,High
740330,Clothing,Premium,1340,15.0,Low
740331,Sports,Premium,800,8.0,Medium
740332,Home,Premium,3383,85.0,Medium
740333,Home,Budget,1527,26.0,Medium
740334,Sports,Premium,3831,100.0,Low
740335,Clothing,Standard,3335,36.0,Medium
740336,Beauty,Budget,3768,94.0,Medium
740337,Beauty,Premium,1108,,High
740338,Beauty,Premium,87,17.0,Medium
740339,Beauty,Premium,249,19.0,Medium
740340,Beauty,Premium,1848,53.0,Low
740341,Clothing,Budget,4044,,Medium
740342,Home,Premium,2155,35.0,Low
740343,Home,Budget,2682,55.0,Low
740344,Clothing,Standard,2979,65.0,Medium
740345,Home,Premium,2373,53.0,Low
740346,Sports,Standard,4300,100.0,Low
740347,Home,Standard,4215,68.0,Low
740348,Electronics,Standard,4854,126.0,Medium
740349,Beauty,Standard,2300,78.0,Medium
740350,Sports,Standard,3080,69.0,Medium
740351,Home,Standard,1924,29.0,Medium
740352,Electronics,Premium,1329,21.0,Low
740353,Beauty,Standard,2033,43.0,Medium
740354,Beauty,Premium,4855,107.0,Medium
740355,Clothing,Premium,1487,21.0,Medium
740356,Sports,Budget,4518,84.0,Medium
740357,Electronics,Premium,3164,84.0,Low
740358,Sports,Standard,1549,45.0,Medium
740359,Sports,Budget,4979,84.0,Low
740360,Electronics,Budget,1668,29.0,Low
740361,Sports,Premium,399,6.0,Medium
740362,Clothing,Standard,4281,50.0,Medium
740363,Beauty,Premium,4510,86.0,Medium
740364,Beauty,Budget,1671,54.0,Medium
740365,Home,Budget,3671,43.0,Low
740366,Clothing,Premium,580,6.0,Low
740367,Electronics,Budget,1307,14.0,Medium
740368,Electronics,Budget,4498,127.0,Medium
740369,Sports,Budget,4676,62.0,High
740370,Clothing,Budget,4435,80.0,Medium
740371,Home,Standard,520,12.0,Medium
740372,Beauty,Budget,382,20.0,Low
740373,Beauty,Budget,1606,41.0,Medium
740374,Beauty,Budget,494,26.0,Low
740375,Electronics,Budget,3485,75.0,Low
740376,Electronics,Premium,1452,19.0,High
740377,Sports,Premium,4251,53.0,Medium
740378,Electronics,Budget,3586,89.0,Low
740379,Sports,Budget,1659,10.0,High
740380,Electronics,Standard,2136,58.0,Low
740381,Beauty,Premium,3952,47.0,High
740382,Sports,Budget,4123,80.0,Medium
740383,Home,Budget,2321,51.0,Low
740384,Beauty,Standard,644,27.0,Medium
740385,Home,Budget,2980,45.0,High
740386,Home,Standard,1609,33.0,Low
740387,Sports,Premium,1265,31.0,Medium
740388,Sports,Premium,4424,,Low
740389,Electronics,Standard,1559,33.0,Medium
740390,Clothing,Standard,3846,67.0,Medium
740391,Clothing,Budget,3632,26.0,High
740392,Home,Budget,2041,60.0,Low
740393,Electronics,Budget,2576,72.0,Medium
740394,Home,Standard,3474,43.0,Low
740395,Clothing,Standard,4428,66.0,Low
740396,Electronics,Budget,619,11.0,Low
740397,Home,Standard,1906,40.0,Medium
740398,Electronics,Premium,3119,52.0,High
740399,Home,Standard,4123,67.0,Medium
740400,Clothing,Budget,3284,48.0,Low
740401,Electronics,Standard,467,0.0,High
740402,Sports,Budget,3345,50.0,Low
740403,Electronics,Standard,1542,26.0,Low
740404,Beauty,Budget,4169,112.0,Low
740405,Sports,Premium,1470,0.0,High
740406,Sports,Budget,642,13.0,Low
740407,Clothing,Budget,2238,35.0,Medium
740408,Electronics,Premium,214,4.0,Low
740409,Sports,Premium,2709,37.0,High
740410,Electronics,Premium,2106,53.0,Low
740411,Home,Budget,1408,22.0,Low
740412,Beauty,Premium,587,,Medium
740413,Clothing,Budget,3693,26.0,High
740414,Sports,Budget,3770,71.0,Low
740415,Clothing,Premium,4719,78.0,Low
740416,Clothing,Premium,1183,0.0,High
740417,Sports,Premium,1878,47.0,Low
740418,Electronics,Premium,2706,,High
740419,Clothing,Budget,407,8.0,Medium
740420,Electronics,Premium,3570,20.0,High
740421,Clothing,Budget,3076,23.0,High
740422,Beauty,Standard,1748,63.0,Medium
740423,Beauty,Standard,1958,73.0,Low
740424,Sports,Standard,254,6.0,Low
740425,Sports,Standard,3015,34.0,High
740426,Sports,Premium,3249,93.0,Medium
740427,Clothing,Budget,4837,83.0,High
740428,Home,Premium,3340,37.0,Medium
740429,Electronics,Premium,4385,85.0,Low
740430,Beauty,Budget,3591,52.0,Low
740431,Clothing,Standard,2233,46.0,Medium
740432,Electronics,Standard,1403,41.0,Low
740433,Beauty,Premium,554,25.0,Low
740434,Electronics,Budget,4598,66.0,Medium
740435,Electronics,Premium,3663,76.0,Medium
740436,Beauty,Budget,3095,52.0,Medium
740437,Beauty,Budget,1011,33.0,Low
740438,Electronics,Standard,3255,76.0,High
740439,Beauty,Premium,4891,124.0,Low
740440,Beauty,Budget,3884,120.0,Medium
740441,Clothing,Standard,3125,74.0,Medium
740442,Beauty,Budget,1333,42.0,Low
740443,Home,Standard,1206,14.0,High
740444,Electronics,Budget,1687,23.0,Medium
740445,Clothing,Standard,1912,,Low
740446,Sports,Standard,3362,56.0,High
740447,Clothing,Budget,3589,101.0,Medium
740448,Electronics,Standard,1206,22.0,Low
740449,Home,Premium,3563,85.0,High
740450,Home,Standard,515,15.0,Medium
740451,Beauty,Premium,4780,137.0,High
740452,Beauty,Budget,3581,104.0,Low
740453,Home,Premium,2311,54.0,Low
740454,Sports,Budget,3300,72.0,Low
740455,Beauty,Premium,400,20.0,Medium
740456,Electronics,Standard,3800,52.0,Low
740457,Clothing,Budget,2192,27.0,Medium
740458,Sports,Premium,2901,51.0,Medium
740459,Beauty,Standard,2392,43.0,Medium
740460,Electronics,Standard,1934,22.0,Medium
740461,Beauty,Standard,226,18.0,Medium
740462,Electronics,Premium,1146,12.0,Low
740463,Sports,Premium,4312,106.0,Medium
740464,Home,Premium,1971,22.0,Low
740465,Home,Standard,631,8.0,Medium
740466,Electronics,Standard,1807,53.0,Low
740467,Electronics,Premium,4023,73.0,Medium
740468,Electronics,Standard,1787,19.0,Medium
740469,Home,Budget,1616,28.0,Medium
740470,Clothing,Standard,2653,59.0,Low
740471,Beauty,Standard,4372,83.0,High
740472,Home,Standard,2145,8.0,High
740473,Beauty,Premium,1699,47.0,Medium
740474,Beauty,Standard,1964,25.0,High
740475,Electronics,Budget,2572,36.0,High
740476,Beauty,Standard,3113,63.0,Medium
740477,Electronics,Budget,2478,72.0,Medium
740478,Beauty,Standard,4730,72.0,Low
740479,Clothing,Budget,4590,62.0,Low
740480,Beauty,Standard,1874,41.0,High
740481,Sports,Standard,4906,59.0,Medium
740482,Sports,Standard,1229,17.0,Medium
740483,Electronics,Budget,4525,91.0,Low
740484,Beauty,Premium,2767,43.0,Medium
740485,Home,Budget,4598,111.0,High
740486,Electronics,Premium,3525,52.0,Medium
740487,Home,Budget,790,18.0,Medium
740488,Home,Premium,1256,0.0,High
740489,Beauty,Premium,731,15.0,High
740490,Electronics,Standard,1756,41.0,Medium
740491,Home,Premium,4371,100.0,Low
740492,Beauty,Premium,4548,98.0,Low
740493,Beauty,Premium,1236,41.0,Medium
740494,Electronics,Budget,4973,114.0,Low
740495,Sports,Standard,770,20.0,Medium
740496,Clothing,Premium,4614,130.0,Low
740497,Clothing,Premium,3469,73.0,High
740498,Beauty,Standard,3093,,Low
740499,Electronics,Budget,258,5.0,Low
740500,Sports,Budget,1935,34.0,High
740501,Beauty,Standard,3913,107.0,Medium
740502,Home,Standard,3300,35.0,High
740503,Clothing,Standard,241,5.0,Low
740504,Electronics,Budget,3824,72.0,High
740505,Sports,Premium,4568,69.0,High
740506,Beauty,Budget,1095,40.0,Medium
740507,Clothing,Standard,231,0.0,High
740508,Electronics,Premium,3340,94.0,Low
740509,Sports,Premium,1722,31.0,Medium
740510,Electronics,Budget,4756,117.0,High
740511,Home,Standard,1744,0.0,High
740512,Clothing,Standard,3449,36.0,High
740513,Home,Budget,3745,38.0,Medium
740514,Home,Budget,4357,112.0,Low
740515,Electronics,Budget,2914,80.0,Medium
740516,Home,Standard,2819,80.0,Low
740517,Sports,Budget,3954,30.0,High
740518,Sports,Budget,135,2.0,Low
740519,Clothing,Budget,2340,34.0,High
740520,Clothing,Budget,4050,111.0,Low
740521,Sports,Budget,1882,47.0,Medium
740522,Sports,Standard,4762,49.0,Low
740523,Beauty,Standard,2561,,Low
740524,Beauty,Standard,1508,55.0,Low
740525,Clothing,Premium,642,17.0,Medium
740526,Sports,Budget,3283,75.0,Medium
740527,Home,Standard,2488,56.0,Medium
740528,Sports,Standard,2628,67.0,Medium
740529,Electronics,Budget,214,3.0,Low
740530,Electronics,Premium,1488,42.0,Low
740531,Sports,Standard,4578,74.0,High
740532,Clothing,Premium,1500,12.0,High
740533,Home,Budget,1637,33.0,Medium
740534,Beauty,Premium,1484,31.0,Low
740535,Electronics,Budget,3306,41.0,Low
740536,Clothing,Premium,857,18.0,Low
740537,Home,Budget,2723,38.0,Medium
740538,Home,Budget,2763,79.0,Medium
740539,Beauty,Standard,4001,109.0,Low
740540,Beauty,Standard,2330,72.0,Low
740541,Electronics,Premium,3746,82.0,High
740542,Clothing,Premium,3018,80.0,Low
740543,Electronics,Budget,4357,126.0,Medium
740544,Sports,Premium,2623,71.0,Medium
740545,Electronics,Budget,2847,32.0,Medium
740546,Beauty,Premium,223,19.0,Low
740547,Clothing,Premium,4654,54.0,Medium
740548,Home,Premium,4175,121.0,Medium
740549,Sports,Standard,2059,48.0,Medium
740550,Beauty,Premium,964,40.0,Medium
740551,Clothing,Budget,3343,72.0,Medium
740552,Beauty,Standard,3567,119.0,Low
740553,Beauty,Budget,3545,91.0,High
740554,Electronics,Budget,4872,34.0,High
740555,Electronics,Standard,702,0.0,High
740556,Sports,Standard,4594,58.0,Medium
740557,Home,Standard,2759,81.0,Medium
740558,Clothing,Premium,4508,124.0,Low
740559,Beauty,Budget,2618,92.0,Medium
740560,Beauty,Premium,4699,106.0,Medium
740561,Beauty,Premium,3387,50.0,Medium
740562,Clothing,Budget,2779,65.0,Medium
740563,Electronics,Budget,221,4.0,Medium
740564,Sports,Standard,780,8.0,Low
740565,Home,Standard,2591,67.0,Medium
740566,Home,Budget,3353,68.0,Low
740567,Clothing,Budget,2741,12.0,High
740568,Electronics,Budget,2093,29.0,Medium
740569,Sports,Premium,551,6.0,Medium
740570,Home,Budget,918,6.0,High
740571,Beauty,Standard,3669,97.0,High
740572,Electronics,Standard,3257,82.0,Low
740573,Home,Standard,1593,31.0,Low
740574,Home,Standard,2052,26.0,Low
740575,Electronics,Premium,3194,76.0,Low
740576,Sports,Premium,719,10.0,Medium
740577,Home,Standard,3517,64.0,Medium
740578,Electronics,Budget,80,2.0,Medium
740579,Sports,Premium,1809,43.0,Medium
740580,Sports,Budget,1692,21.0,Low
740581,Sports,Budget,1897,33.0,Medium
740582,Clothing,Premium,3440,68.0,High
740583,Electronics,Standard,2919,48.0,Medium
740584,Beauty,Premium,3384,60.0,Medium
740585,Sports,Premium,1180,9.0,High
740586,Beauty,Budget,4558,65.0,Low
740587,Clothing,Standard,3145,57.0,High
740588,Beauty,Budget,3352,61.0,Low
740589,Clothing,Premium,3041,35.0,Medium
740590,Beauty,Budget,2835,50.0,Medium
740591,Beauty,Standard,342,21.0,Low
740592,Clothing,Premium,4925,51.0,Medium
740593,Electronics,Standard,2657,9.0,High
740594,Home,Budget,1342,19.0,Low
740595,Clothing,Standard,1275,23.0,Low
740596,Electronics,Standard,4146,103.0,Medium
740597,Sports,Premium,1673,17.0,Low
740598,Beauty,Standard,825,39.0,Low
740599,Beauty,Premium,1936,44.0,Low
740600,Sports,Premium,458,,Medium
740601,Clothing,Standard,1867,33.0,Medium
740602,Electronics,Standard,3305,41.0,Medium
740603,Electronics,Premium,781,10.0,Medium
740604,Sports,Budget,669,12.0,Low
740605,Beauty,Budget,531,24.0,Low
740606,Sports,Standard,4699,115.0,Medium
740607,Sports,Premium,4687,115.0,Medium
740608,Sports,Budget,913,0.0,High
740609,Sports,Budget,1519,23.0,Medium
740610,Clothing,Standard,3233,70.0,Medium
740611,Home,Standard,1527,0.0,High
740612,Electronics,Standard,964,28.0,Low
740613,Beauty,Standard,4225,138.0,Low
740614,Clothing,Standard,3540,50.0,Medium
740615,Electronics,Premium,1229,15.0,Medium
740616,Electronics,Standard,3089,46.0,Low
740617,Sports,Standard,4108,109.0,Low
740618,Sports,Standard,2287,12.0,High
740619,Clothing,Budget,688,12.0,Medium
740620,Home,Premium,4451,87.0,Medium
740621,Home,Budget,2390,51.0,High
740622,Home,Premium,173,4.0,Low
740623,Home,Premium,3819,57.0,Low
740624,Electronics,Standard,630,18.0,Medium
740625,Electronics,Premium,2267,55.0,Low
740626,Home,Premium,367,8.0,Medium
740627,Beauty,Budget,371,2.0,High
740628,Sports,Budget,1103,17.0,Low
740629,Clothing,Budget,3879,95.0,Medium
740630,Electronics,Premium,4369,123.0,Low
740631,Clothing,Budget,1432,33.0,Medium
740632,Beauty,Premium,2112,46.0,Low
740633,Home,Budget,3179,36.0,High
740634,Sports,Premium,3371,45.0,Low
740635,Beauty,Premium,3574,72.0,Medium
740636,Beauty,Budget,1269,19.0,High
740637,Sports,Standard,1188,19.0,Low
740638,Electronics,Premium,646,8.0,Low
740639,Clothing,Premium,677,19.0,Medium
740640,Sports,Standard,4489,106.0,High
740641,Clothing,Premium,3260,62.0,Low
740642,Sports,Premium,1062,15.0,Low
740643,Sports,Budget,4860,51.0,Low
740644,Sports,Premium,3834,107.0,Medium
740645,Sports,Premium,2971,49.0,Low
740646,Clothing,Budget,4056,121.0,Medium
740647,Beauty,Budget,4255,116.0,Medium
740648,Clothing,Premium,2759,43.0,Low
740649,Electronics,Budget,516,13.0,Low
740650,Home,Standard,3417,37.0,Medium
740651,Sports,Standard,1570,21.0,High
