EmployeeID,MeetingHours_Weekly,RemoteDaysCount,SelfReportedStress,TaskCompletionRate_Percent,PerformanceGrade
1410149,22.0,95.0,114.6,31.5,103.3
1410150,32.0,92.4,86.0,66.0,115.3
1410151,32.7,86.5,72.6,75.7,143.8
1410152,38.8,100.0,100.9,41.8,104.8
1410153,13.6,80.4,47.3,37.7,92.9
1410154,11.4,78.1,114.3,27.2,80.7
1410155,18.9,117.2,112.0,46.0,147.6
1410156,39.5,106.4,94.4,33.7,67.4
1410157,6.6,63.2,60.3,30.7,58.2
1410158,12.7,89.3,111.6,66.1,66.6
1410159,7.3,80.5,111.8,34.1,100.6
1410160,43.0,108.6,26.3,38.6,97.6
1410161,20.4,92.8,51.7,39.4,140.3
1410162,5.5,115.2,105.9,55.8,102.7
1410163,44.8,123.7,69.9,28.6,58.8
1410164,31.5,94.5,156.0,54.4,125.9
1410165,34.6,134.5,154.6,41.0,97.9
1410166,35.4,108.1,92.8,40.4,94.1
1410167,41.5,138.8,127.9,14.2,112.6
1410168,43.0,87.4,99.4,27.1,102.8
1410169,29.0,126.8,96.5,26.5,158.7
1410170,18.1,150.0,127.4,94.1,93.3
1410171,13.5,86.0,107.4,39.5,142.5
1410172,31.2,33.9,92.7,64.0,82.5
1410173,31.6,92.1,97.9,51.1,93.2
1410174,38.3,103.7,125.0,56.7,91.4
1410175,15.2,74.3,98.3,29.3,98.0
1410176,28.2,72.1,71.6,56.0,97.9
1410177,36.7,132.5,152.8,38.1,110.8
1410178,42.2,125.8,70.5,48.9,100.8
1410179,8.7,98.0,73.1,27.7,89.6
1410180,10.0,67.1,87.6,45.2,116.5
1410181,40.1,69.4,69.5,52.6,78.6
1410182,40.1,88.1,48.5,54.9,100.6
1410183,28.6,121.0,126.3,60.5,103.4
1410184,13.8,101.6,133.3,47.2,103.7
1410185,23.4,86.1,106.4,62.6,121.3
1410186,39.6,51.2,90.3,33.7,59.4
1410187,7.7,123.2,128.9,24.9,72.5
1410188,38.5,104.6,112.8,51.0,124.7
1410189,7.8,101.3,119.0,47.7,118.7
1410190,41.7,95.1,64.2,55.5,101.8
1410191,8.2,94.9,80.6,34.8,124.7
1410192,20.6,43.0,94.1,53.3,110.4
1410193,39.7,117.2,120.7,37.7,81.0
1410194,39.0,66.9,67.3,41.7,101.1
1410195,34.0,112.3,102.1,43.4,99.3
1410196,9.9,150.3,82.6,46.0,135.1
1410197,41.8,72.9,76.3,76.1,87.1
1410198,24.3,101.2,78.2,59.4,144.9
1410199,12.8,135.0,79.9,52.6,91.4
1410200,38.2,142.9,100.6,61.5,125.6
1410201,16.2,89.4,85.0,67.3,74.3
1410202,29.3,104.4,116.3,12.4,148.0
1410203,15.2,85.1,74.8,45.5,99.6
1410204,15.7,74.9,104.7,43.1,98.3
1410205,19.0,145.0,105.3,40.5,86.8
1410206,25.4,96.3,64.2,,147.5
1410207,11.3,63.6,92.1,17.4,87.6
1410208,23.7,107.8,95.2,49.4,77.6
1410209,22.8,100.9,73.1,60.1,98.6
1410210,39.6,108.3,105.0,41.7,143.8
1410211,22.6,48.4,101.8,50.1,101.7
1410212,44.0,110.2,70.0,54.3,82.4
1410213,10.0,97.0,127.6,34.6,110.1
1410214,24.4,103.1,122.9,28.3,98.2
1410215,37.9,143.3,69.5,38.3,104.3
1410216,17.5,43.6,147.5,66.2,83.6
1410217,13.8,115.0,153.7,67.7,158.0
1410218,37.1,79.3,95.3,41.7,122.9
1410219,7.9,142.9,131.7,37.3,130.3
1410220,32.9,134.2,62.7,,70.7
1410221,44.0,88.0,89.9,39.3,87.4
1410222,24.7,100.9,105.0,28.1,109.8
1410223,44.2,81.6,138.1,50.4,141.0
1410224,11.5,77.6,157.0,53.4,70.8
1410225,36.7,80.0,101.6,48.7,90.1
1410226,37.5,32.7,151.4,40.3,58.8
1410227,22.9,65.1,77.8,46.8,59.1
1410228,14.0,106.5,44.3,48.0,96.4
1410229,10.8,87.9,97.6,32.6,61.3
1410230,42.1,126.7,111.5,22.4,80.0
1410231,10.6,130.7,130.1,54.6,110.7
1410232,19.5,106.0,112.8,36.2,73.3
1410233,33.6,45.5,86.0,30.3,83.7
1410234,26.9,88.6,105.6,45.6,121.4
1410235,21.5,136.1,130.0,22.1,97.2
1410236,36.8,116.4,104.4,69.8,105.6
1410237,34.3,143.3,117.1,46.9,73.3
1410238,25.7,121.9,86.4,67.7,82.2
1410239,17.7,99.9,107.8,51.3,86.2
1410240,34.5,148.1,93.7,37.7,70.2
1410241,13.5,49.2,75.1,58.7,90.5
1410242,7.5,46.2,91.5,39.5,84.5
1410243,8.4,90.8,153.6,50.7,110.0
1410244,34.3,123.2,99.9,38.4,94.0
1410245,13.3,46.8,120.8,58.9,49.1
1410246,22.8,139.7,132.7,20.8,125.5
1410247,10.6,101.5,80.9,48.0,79.5
1410248,32.0,138.8,107.6,65.2,123.0
1410249,5.4,109.7,124.4,37.8,140.4
1410250,15.5,76.1,121.7,50.5,105.7
1410251,26.1,96.4,87.9,37.4,89.5
1410252,27.3,123.9,107.8,42.4,80.6
1410253,36.7,99.2,100.0,51.6,93.2
1410254,36.8,52.5,70.8,55.0,70.8
1410255,15.5,113.2,118.9,44.6,134.0
1410256,13.9,101.3,105.5,,138.3
1410257,36.0,80.4,111.4,45.7,75.0
1410258,9.0,171.8,123.0,23.4,66.4
1410259,14.8,85.0,57.2,39.9,70.8
1410260,38.0,106.4,110.2,52.2,109.7
1410261,10.6,132.5,128.2,54.3,139.6
1410262,10.5,127.2,123.0,48.4,74.4
1410263,29.2,129.8,99.9,12.8,85.7
1410264,44.2,120.2,86.6,44.6,95.0
1410265,43.8,93.6,80.6,45.9,94.8
1410266,11.1,95.7,113.8,21.8,134.5
1410267,18.5,123.1,87.7,56.7,114.0
1410268,21.4,118.2,88.2,70.1,52.0
1410269,6.3,54.6,124.3,30.4,118.8
1410270,8.1,104.6,108.8,66.9,82.7
1410271,8.6,101.0,138.1,25.6,114.3
1410272,7.3,114.3,109.7,61.9,98.2
1410273,42.6,77.5,109.6,51.4,82.9
1410274,13.4,110.0,114.0,41.7,138.7
1410275,15.8,103.1,121.0,23.7,114.6
1410276,41.4,56.5,71.8,76.7,113.5
1410277,23.2,88.7,95.8,39.7,83.2
1410278,20.4,65.3,122.8,47.9,113.9
1410279,40.8,95.6,131.0,24.3,97.4
1410280,44.6,123.3,90.0,39.4,73.4
1410281,32.5,91.7,116.9,51.6,101.3
1410282,24.1,111.1,120.7,34.2,136.0
1410283,24.0,101.4,131.9,62.7,98.2
1410284,30.4,114.6,94.6,33.1,105.3
1410285,35.5,78.2,109.2,71.2,46.8
1410286,28.4,113.9,64.3,74.9,103.7
1410287,32.2,89.3,72.0,69.4,67.2
1410288,14.4,123.1,115.1,49.9,64.3
1410289,41.1,85.7,90.4,41.1,122.3
1410290,37.5,110.2,60.4,28.7,89.5
1410291,16.0,113.5,113.6,47.2,116.0
1410292,18.6,107.3,111.6,30.0,109.7
1410293,8.7,96.6,107.5,69.5,76.3
1410294,20.3,119.4,163.6,47.7,127.2
1410295,21.2,123.7,92.8,40.2,43.2
1410296,34.0,88.4,104.1,35.3,100.3
1410297,23.7,51.5,97.2,41.4,61.2
1410298,26.4,103.9,80.4,30.4,88.5
1410299,9.4,135.8,105.9,73.0,101.5
1410300,33.1,53.4,112.8,38.5,145.5
1410301,18.5,127.7,100.6,,134.5
1410302,28.0,77.2,109.5,66.9,138.6
1410303,15.4,99.1,120.5,45.3,102.6
1410304,23.0,119.4,117.0,46.3,101.1
1410305,29.5,86.6,99.3,50.9,63.5
1410306,42.5,106.1,111.4,35.2,137.0
1410307,26.7,73.8,121.4,30.6,107.4
1410308,34.9,56.5,109.5,48.6,61.7
1410309,31.5,67.1,93.4,47.8,111.8
1410310,36.7,77.3,103.7,38.0,152.0
1410311,11.0,97.0,86.6,61.2,147.1
1410312,34.5,110.1,80.5,37.8,111.8
1410313,39.8,97.1,94.3,45.3,87.2
1410314,17.0,86.7,112.6,,87.9
1410315,12.6,96.0,61.1,29.0,114.7
1410316,34.4,100.0,99.6,47.3,137.7
1410317,12.7,129.7,105.1,79.9,105.7
1410318,31.5,123.7,99.3,16.1,93.3
1410319,43.7,83.0,78.8,41.9,108.6
1410320,31.0,51.1,106.9,36.2,107.5
1410321,26.8,57.8,93.6,66.5,174.0
1410322,9.6,100.6,76.9,51.3,81.9
1410323,24.4,91.4,109.2,24.3,121.7
1410324,35.8,87.3,113.1,21.2,89.3
1410325,14.4,66.8,91.9,33.4,106.1
1410326,22.5,84.6,68.9,59.3,127.7
1410327,43.3,148.7,90.5,54.3,144.1
1410328,31.8,118.6,130.0,39.5,65.6
1410329,7.5,60.7,115.8,33.3,66.2
1410330,41.0,95.4,67.9,48.6,108.8
1410331,29.5,142.4,65.3,59.5,160.8
1410332,38.4,75.5,152.4,37.2,130.6
1410333,8.6,114.2,58.3,49.3,88.3
1410334,32.3,100.8,87.9,32.1,75.1
1410335,26.2,67.9,94.6,59.2,130.3
1410336,6.8,91.8,135.5,38.0,96.0
1410337,30.7,121.8,111.8,61.5,60.0
1410338,12.0,145.8,69.8,60.2,108.8
1410339,41.6,110.5,103.0,38.4,106.3
1410340,18.0,101.2,66.0,18.9,108.4
1410341,7.2,146.6,127.1,68.7,34.9
1410342,36.1,105.2,90.7,59.8,96.1
1410343,26.5,109.2,72.6,53.1,115.4
1410344,38.5,109.2,110.8,63.8,136.2
1410345,35.5,95.8,125.6,17.3,96.2
1410346,29.8,140.6,84.5,49.1,83.6
1410347,34.3,109.3,108.8,65.5,85.9
1410348,37.9,128.6,78.5,33.3,135.4
1410349,13.7,115.2,114.5,55.4,104.4
1410350,19.5,121.5,57.0,44.5,86.4
1410351,27.2,78.3,98.2,42.3,101.7
1410352,8.7,97.5,88.9,14.1,105.2
1410353,23.8,70.9,110.0,56.5,127.7
1410354,32.9,128.0,75.2,49.0,118.3
1410355,6.0,93.3,76.6,51.6,121.2
1410356,26.2,130.0,109.5,34.0,55.8
1410357,43.8,55.7,118.1,24.9,88.2
1410358,40.0,92.9,149.6,49.1,99.5
1410359,32.3,100.1,95.4,62.3,136.8
1410360,36.5,105.9,86.7,73.5,75.0
1410361,14.3,77.8,104.7,45.4,96.2
1410362,22.2,74.8,67.4,33.5,83.4
1410363,34.2,81.2,88.7,14.6,104.8
1410364,10.0,118.9,88.9,59.6,99.1
1410365,30.2,118.7,115.1,55.8,123.4
1410366,17.4,126.5,69.2,27.5,51.3
1410367,20.9,116.4,137.0,37.6,74.4
1410368,10.1,135.4,100.1,21.1,109.9
1410369,14.2,133.7,68.7,29.2,65.9
1410370,10.5,109.0,141.2,54.9,126.3
1410371,14.5,101.0,108.2,42.0,80.8
1410372,11.4,112.5,126.9,43.0,143.4
1410373,9.3,74.6,86.4,49.1,91.7
1410374,41.4,109.0,101.2,45.0,85.2
1410375,40.8,86.3,102.6,56.8,123.6
1410376,33.8,97.3,85.2,69.7,105.9
1410377,5.7,89.1,89.8,34.0,149.2
1410378,30.4,120.2,108.5,34.6,66.3
1410379,28.1,124.1,59.8,33.2,116.9
1410380,34.8,109.9,54.9,38.8,103.2
1410381,32.1,64.2,146.4,38.1,135.2
1410382,32.9,112.3,131.0,31.7,109.6
1410383,35.3,101.8,68.5,,71.6
1410384,18.8,83.7,104.3,36.7,111.4
1410385,22.1,111.6,98.4,37.6,71.5
1410386,7.5,124.1,99.8,51.0,78.0
1410387,23.8,105.6,104.7,31.5,121.5
1410388,41.5,83.8,81.8,27.4,112.9
1410389,43.1,112.9,87.5,58.3,105.2
1410390,22.2,107.3,110.5,30.4,103.0
1410391,42.8,68.4,113.0,26.0,89.0
1410392,21.8,105.0,119.7,17.2,79.2
1410393,24.2,130.1,55.7,65.2,84.6
1410394,12.5,85.4,83.2,60.5,132.5
1410395,42.4,112.4,91.7,16.8,96.5
1410396,9.1,95.8,110.5,67.7,127.8
1410397,41.2,112.8,108.9,77.8,85.7
1410398,42.8,109.5,118.4,46.5,106.0
1410399,39.2,149.8,89.9,48.9,103.2
1410400,33.5,163.4,106.3,35.0,98.5
1410401,38.1,133.7,139.1,30.1,111.9
1410402,32.1,104.2,97.2,37.2,119.6
1410403,40.6,108.9,113.8,55.0,129.0
1410404,10.4,116.8,83.3,65.4,57.4
1410405,16.8,148.0,76.5,32.6,120.0
1410406,28.3,62.0,137.6,30.6,112.0
1410407,39.3,94.7,144.9,31.1,94.3
1410408,18.4,88.0,91.2,60.4,122.5
1410409,15.5,154.3,126.1,34.4,82.6
1410410,26.9,105.7,72.7,66.6,135.9
1410411,10.4,127.4,140.3,33.6,111.2
1410412,8.0,87.6,86.0,51.1,95.8
1410413,27.9,107.2,117.3,37.1,152.9
1410414,31.4,122.9,105.0,40.0,86.7
1410415,9.2,49.1,109.9,51.9,67.0
1410416,21.4,127.1,66.8,43.1,122.4
1410417,34.3,115.3,149.0,59.7,119.4
1410418,13.7,103.6,128.9,23.2,42.9
1410419,32.3,119.2,128.9,11.8,61.6
1410420,24.4,97.4,93.1,57.9,88.8
1410421,41.0,104.6,94.1,80.6,118.1
1410422,24.8,119.7,113.4,26.9,88.9
1410423,26.2,101.2,79.3,49.6,140.5
1410424,17.5,96.7,109.1,60.0,93.6
1410425,38.0,84.9,76.4,31.6,109.1
1410426,27.7,65.0,107.9,39.1,50.3
1410427,13.2,59.3,93.4,61.0,53.6
1410428,24.6,70.5,124.1,39.1,88.2
1410429,38.9,86.2,121.8,45.0,55.4
1410430,27.8,59.0,122.2,42.9,128.3
1410431,18.1,95.5,105.2,37.4,116.1
1410432,5.3,99.2,127.3,41.7,97.1
1410433,40.6,93.1,109.9,67.0,58.1
1410434,28.5,72.7,139.4,60.6,100.6
1410435,10.5,71.1,112.3,58.6,95.5
1410436,24.7,64.0,123.1,24.9,104.2
1410437,36.8,102.0,122.8,47.3,99.4
1410438,27.2,116.6,118.8,52.6,116.0
1410439,39.5,134.0,129.2,34.0,123.6
1410440,15.5,108.9,153.5,19.9,106.3
1410441,19.0,127.4,107.8,54.2,105.8
1410442,32.6,132.2,112.8,17.3,86.6
1410443,6.7,66.2,99.1,60.2,101.6
1410444,41.5,108.3,67.4,28.9,133.8
1410445,39.1,110.4,127.0,29.8,133.9
1410446,11.3,116.6,83.5,39.9,143.1
1410447,9.5,87.3,72.1,42.2,71.7
1410448,19.1,121.8,60.8,31.2,33.9
1410449,31.4,114.0,73.7,16.0,81.9
1410450,40.6,132.5,94.8,43.2,126.6
1410451,41.1,111.1,55.8,29.8,63.8
1410452,26.4,107.9,142.3,,122.1
1410453,8.2,101.2,65.0,32.3,86.8
1410454,40.8,134.2,93.1,44.0,125.8
1410455,22.6,107.1,130.7,52.0,86.6
1410456,20.7,102.1,75.2,58.3,72.0
1410457,41.3,84.4,153.6,55.1,49.7
1410458,40.1,70.0,97.3,57.5,90.3
1410459,15.4,99.2,117.9,57.9,46.2
1410460,24.3,127.9,103.5,48.6,133.9
1410461,8.4,48.5,147.0,39.7,97.8
1410462,11.8,147.6,98.5,38.1,132.1
1410463,13.2,69.4,97.8,71.8,90.5
1410464,5.1,97.5,98.3,41.1,73.4
1410465,42.8,118.9,97.4,27.5,109.0
1410466,40.9,126.6,87.1,,47.6
1410467,7.7,84.7,120.1,65.8,62.8
1410468,19.1,120.3,87.3,49.9,103.8
1410469,18.8,112.3,87.4,39.0,106.7
1410470,14.3,149.0,97.2,53.4,81.3
1410471,36.9,94.3,77.5,14.5,116.9
1410472,37.4,90.5,97.4,67.7,131.8
1410473,42.8,123.4,54.8,45.0,72.2
1410474,15.7,76.1,121.5,44.9,68.8
1410475,39.8,88.5,101.6,38.3,135.4
1410476,15.2,125.5,112.8,49.4,107.0
1410477,15.6,83.3,117.3,55.2,122.2
1410478,30.8,98.6,108.5,37.9,130.7
1410479,9.3,101.3,148.2,61.0,114.7
1410480,32.5,86.1,90.7,58.6,85.9
1410481,28.6,129.0,89.7,44.7,136.2
1410482,8.0,126.3,117.4,35.3,107.7
1410483,44.8,85.1,139.4,48.0,104.7
1410484,10.2,130.2,108.6,22.9,61.7
1410485,37.4,91.2,103.1,52.8,126.6
1410486,20.6,139.4,96.7,53.3,95.3
1410487,15.2,72.6,94.0,41.1,131.5
1410488,36.2,69.5,87.0,16.5,86.7
1410489,24.2,91.5,93.4,41.7,111.8
1410490,44.1,112.5,114.1,65.6,97.3
1410491,25.2,183.0,154.0,38.8,119.1
1410492,25.6,83.0,127.4,42.5,140.9
1410493,12.2,124.1,98.3,37.4,20.1
1410494,44.9,97.1,105.7,40.5,109.3
1410495,38.8,120.0,128.1,35.6,117.6
1410496,29.9,50.4,104.3,33.2,130.5
1410497,20.5,88.0,69.2,61.0,107.2
1410498,27.2,106.2,74.9,35.8,92.9
1410499,14.9,63.1,122.0,59.1,69.3
1410500,15.4,95.6,133.5,24.8,99.3
1410501,25.1,117.5,125.2,44.2,89.3
1410502,35.5,59.3,121.2,27.1,116.5
1410503,18.5,105.5,119.5,75.3,128.5
1410504,18.4,107.0,106.1,51.1,111.6
1410505,28.5,82.5,110.4,58.7,134.6
1410506,10.3,82.6,146.9,59.0,57.4
1410507,5.4,69.3,144.4,55.0,54.7
1410508,10.5,101.4,133.4,72.1,54.0
1410509,17.8,100.1,93.2,23.4,61.5
1410510,34.1,54.6,76.2,58.5,87.3
1410511,38.9,77.1,106.5,36.7,75.5
1410512,44.1,95.1,84.7,45.9,84.5
1410513,29.7,136.4,50.6,34.3,98.5
1410514,14.2,125.1,129.9,47.3,130.8
1410515,40.9,126.5,77.7,43.4,133.2
1410516,32.9,135.6,97.0,43.8,155.5
1410517,35.0,92.6,118.4,46.9,91.9
1410518,20.3,125.0,102.0,53.7,108.6
1410519,25.0,112.3,145.7,42.9,152.3
1410520,33.6,55.2,110.0,64.4,111.9
1410521,17.0,109.9,116.6,64.6,113.2
1410522,19.5,111.1,82.4,20.2,83.1
1410523,42.3,135.0,84.0,54.1,95.9
1410524,6.3,99.3,88.4,50.6,125.5
1410525,28.1,109.6,75.3,58.8,114.3
1410526,10.4,77.0,86.8,32.4,99.3
1410527,28.9,87.4,100.0,50.8,106.0
1410528,24.0,131.5,111.5,51.8,140.8
1410529,13.7,93.1,64.5,35.8,111.2
1410530,19.5,104.5,99.7,53.6,97.5
1410531,28.4,69.6,121.9,42.8,133.5
1410532,12.5,83.9,57.7,43.4,68.0
1410533,13.4,95.6,87.0,50.2,130.8
1410534,14.5,67.3,124.8,33.4,132.2
1410535,9.4,118.4,74.3,55.8,134.9
1410536,24.6,66.1,91.3,53.7,85.1
1410537,26.0,108.3,111.2,52.4,112.6
1410538,5.7,55.4,120.1,30.9,120.6
1410539,12.9,117.2,71.4,24.9,110.3
1410540,6.4,57.8,112.2,32.9,137.5
1410541,40.9,77.0,77.7,61.3,93.4
1410542,19.0,98.7,144.8,50.3,111.9
1410543,9.3,112.8,94.2,81.7,144.5
1410544,7.9,110.4,114.2,34.7,127.2
1410545,31.9,57.5,113.2,43.5,49.9
1410546,18.7,165.7,87.5,40.5,89.1
1410547,27.5,68.7,91.0,65.8,97.1
1410548,10.3,89.9,116.7,53.3,113.0
1410549,28.5,93.0,88.9,42.8,84.4
1410550,7.1,84.2,129.4,68.5,113.4
1410551,42.3,82.4,115.1,31.9,85.9
1410552,21.5,115.7,62.3,38.3,94.9
1410553,32.1,98.4,66.6,28.8,82.1
1410554,16.2,120.5,52.1,21.6,117.5
1410555,20.5,113.8,114.9,33.6,118.5
1410556,14.8,132.8,112.0,75.2,53.5
1410557,16.7,79.3,90.9,58.4,110.9
1410558,37.3,66.8,68.6,42.5,81.9
1410559,32.2,64.4,93.7,23.3,95.0
1410560,34.8,57.8,113.9,50.7,109.7
1410561,5.1,95.3,102.0,,27.9
1410562,44.1,98.4,119.9,65.3,86.2
1410563,5.9,85.3,75.8,35.5,96.2
1410564,27.5,96.5,80.6,46.7,77.6
1410565,9.3,101.9,73.9,43.1,110.9
1410566,9.6,107.6,113.8,58.6,59.3
1410567,9.2,76.8,111.4,77.6,87.3
1410568,6.9,128.2,76.5,65.2,87.1
1410569,18.5,77.7,86.1,45.0,111.9
1410570,22.5,61.9,151.2,64.9,92.1
1410571,11.0,94.8,106.4,78.5,121.0
1410572,37.0,40.0,85.3,43.9,86.2
1410573,21.0,100.7,131.5,47.1,66.1
1410574,21.2,116.4,78.1,29.0,131.8
1410575,31.0,95.7,103.5,49.5,77.8
1410576,17.1,123.6,126.0,15.3,107.3
1410577,11.3,92.1,86.0,29.5,94.8
1410578,6.2,109.9,85.6,43.4,144.3
1410579,39.2,90.5,92.1,52.2,92.0
