CustomerID,Age,VisitsPerMonth,AvgSpend,FavoriteDrink,LoyaltyScore
760131,28,27,6.21,Latte,10
760132,47,25,3.75,Cold Brew,10
760133,60,9,6.58,Latte,6
760134,58,9,4.05,Espresso,4
760135,35,23,3.82,Espresso,9
760136,29,8,4.49,Tea,3
760137,49,20,4.16,Espresso,9
760138,35,8,6.99,Latte,5
760139,56,1,5.18,Espresso,2
760140,34,5,4.14,Cold Brew,3
760141,18,9,5.34,Latte,6
760142,25,24,6.39,Smoothie,9
760143,61,12,6.05,Smoothie,6
760144,53,7,3.66,Espresso,4
760145,47,13,5.27,Cold Brew,7
760146,44,8,4.78,Cold Brew,5
760147,33,24,4.18,Cold Brew,10
760148,56,21,7.65,Smoothie,10
760149,21,27,5.04,Tea,10
760150,71,26,7.57,Smoothie,10
760151,37,11,4.69,Cold Brew,6
760152,61,25,3.68,Cold Brew,8
760153,51,27,4.6,Tea,10
760154,55,11,5.0,Cold Brew,5
760155,67,9,4.81,Tea,6
760156,47,23,4.65,Espresso,10
760157,51,26,4.88,Tea,10
760158,19,24,5.75,Latte,10
760159,70,24,3.86,Cold Brew,10
760160,55,2,6.92,Latte,4
760161,65,26,3.51,Espresso,8
760162,30,7,6.73,Smoothie,4
760163,35,27,7.68,Smoothie,10
760164,71,2,3.52,Cold Brew,2
760165,40,15,5.43,Cold Brew,8
760166,55,14,4.4,Espresso,5
760167,34,19,4.62,Espresso,7
760168,39,12,4.31,Cold Brew,4
760169,63,21,5.07,Tea,8
760170,33,21,7.07,Smoothie,10
760171,20,9,5.06,Espresso,4
760172,47,14,5.92,Latte,6
760173,51,26,3.95,Tea,10
760174,57,21,6.65,Latte,9
760175,60,22,3.66,Cold Brew,9
760176,27,5,5.31,Cold Brew,4
760177,62,2,5.11,Espresso,3
760178,52,7,4.56,Cold Brew,5
760179,59,9,3.77,Espresso,4
760180,68,26,4.25,Tea,10
760181,34,3,4.9,Espresso,4
760182,50,24,5.76,Latte,10
760183,19,2,4.64,Cold Brew,1
760184,57,13,6.53,Smoothie,8
760185,60,19,4.14,Cold Brew,6
760186,34,15,3.93,Tea,6
760187,56,1,5.13,Cold Brew,2
760188,70,18,4.51,Tea,6
760189,24,27,6.53,Smoothie,10
760190,54,24,5.12,Latte,9
760191,56,26,7.03,Smoothie,10
760192,37,1,3.78,Espresso,3
760193,67,10,7.11,Smoothie,7
760194,24,1,4.79,Espresso,2
760195,30,13,3.56,Cold Brew,5
760196,19,11,5.01,Latte,4
760197,37,17,7.46,Smoothie,9
760198,43,25,5.5,Cold Brew,10
760199,32,16,6.21,Latte,6
760200,47,21,6.99,Smoothie,8
760201,21,22,6.23,Smoothie,8
760202,42,6,5.11,Latte,5
760203,29,1,5.89,Latte,4
760204,60,7,5.66,Latte,4
760205,18,2,3.93,Espresso,1
760206,62,11,5.42,Tea,5
760207,29,9,4.89,Espresso,4
760208,67,17,5.43,Latte,6
760209,41,6,4.44,Tea,4
760210,36,24,5.44,Tea,9
760211,68,15,3.66,Espresso,6
760212,20,1,4.21,Cold Brew,3
760213,35,27,4.4,Cold Brew,10
760214,55,13,7.74,Smoothie,6
760215,58,15,5.05,Latte,8
760216,31,2,3.62,Tea,3
760217,22,17,6.13,Latte,9
760218,28,18,7.75,Smoothie,8
760219,20,17,5.02,Cold Brew,7
760220,41,2,4.73,Cold Brew,2
760221,36,4,5.4,Espresso,3
760222,44,1,3.63,Cold Brew,2
760223,30,10,7.91,Smoothie,5
760224,23,14,7.41,Smoothie,7
760225,45,26,,Tea,8
760226,38,26,6.31,Latte,10
760227,47,14,5.38,Tea,7
760228,43,13,6.43,Latte,8
760229,24,10,3.98,Tea,4
760230,52,14,6.37,Latte,7
760231,51,20,5.14,Espresso,7
760232,30,20,5.29,Latte,7
760233,40,15,5.09,Tea,8
760234,22,3,5.48,Tea,3
760235,37,7,5.03,Espresso,3
760236,54,13,4.62,Espresso,7
760237,54,3,5.31,Latte,2
760238,41,26,6.51,Latte,10
760239,64,4,4.5,Cold Brew,2
760240,68,4,6.92,Latte,3
760241,68,10,6.34,Smoothie,7
760242,37,8,5.05,Tea,4
760243,62,16,5.64,Latte,6
760244,38,25,3.92,Cold Brew,8
760245,52,10,5.17,Cold Brew,5
760246,59,19,6.4,Smoothie,7
760247,44,8,3.6,Tea,4
760248,60,15,4.88,Espresso,5
760249,38,8,4.36,Cold Brew,4
760250,23,1,4.1,Cold Brew,2
760251,38,20,7.31,Smoothie,9
760252,34,14,6.05,Latte,7
760253,45,27,6.86,Latte,10
760254,67,15,4.59,Tea,6
760255,59,17,4.67,Espresso,6
760256,49,1,5.22,Tea,3
760257,18,21,5.63,Latte,8
760258,38,20,4.7,Espresso,7
760259,63,21,5.56,Latte,10
760260,30,14,6.68,Smoothie,8
760261,53,21,5.81,Latte,8
760262,38,14,4.65,Espresso,5
760263,48,6,4.44,Espresso,5
760264,38,13,4.81,Tea,7
760265,22,2,6.21,Latte,2
760266,41,18,3.62,Espresso,6
760267,30,21,6.47,Smoothie,9
760268,54,19,,Cold Brew,8
760269,54,24,6.36,Smoothie,10
760270,26,20,5.84,Latte,9
760271,33,23,3.81,Cold Brew,8
760272,58,17,7.66,Smoothie,7
760273,48,16,6.65,Smoothie,7
760274,46,8,5.9,Latte,4
760275,33,18,3.71,Cold Brew,7
760276,45,19,,Tea,9
760277,71,26,5.08,Cold Brew,9
760278,60,18,4.3,Tea,7
760279,23,6,4.86,Cold Brew,5
760280,67,27,6.7,Smoothie,10
760281,32,9,5.09,Cold Brew,5
760282,30,24,7.93,Smoothie,10
760283,29,7,7.99,Smoothie,7
760284,47,22,4.93,Tea,10
760285,35,15,4.81,Tea,7
760286,37,27,4.84,Tea,10
760287,65,27,4.92,Cold Brew,10
760288,54,20,6.43,Latte,10
760289,53,13,6.63,Smoothie,6
760290,20,7,6.13,Latte,5
760291,61,20,3.86,Tea,6
760292,66,22,4.12,Espresso,9
760293,44,15,6.06,Latte,8
760294,41,22,4.05,Tea,9
760295,36,2,4.33,Tea,2
760296,18,2,4.17,Espresso,2
760297,31,16,6.64,Smoothie,8
760298,57,24,6.11,Latte,9
760299,31,5,4.45,Cold Brew,3
760300,70,3,5.74,Latte,4
760301,45,4,6.57,Smoothie,3
760302,55,19,4.53,Espresso,8
760303,52,15,4.32,Espresso,5
760304,52,9,3.6,Espresso,5
760305,28,7,6.91,Smoothie,6
760306,34,12,,Tea,5
760307,37,24,4.72,Tea,8
760308,32,5,5.82,Latte,5
760309,30,24,4.22,Tea,8
760310,70,3,7.98,Smoothie,4
760311,36,20,6.28,Smoothie,10
760312,43,1,5.59,Latte,2
760313,22,18,6.44,Latte,9
760314,20,21,3.77,Tea,7
760315,63,22,7.75,Smoothie,9
760316,46,26,6.22,Latte,9
760317,55,14,5.04,Cold Brew,7
760318,50,25,6.52,Smoothie,10
760319,26,22,4.05,Espresso,8
760320,50,5,4.98,Tea,3
760321,63,25,5.09,Cold Brew,9
760322,22,25,5.02,Latte,9
760323,58,17,5.21,Espresso,8
760324,36,27,4.79,Espresso,10
760325,71,7,5.08,Latte,4
760326,47,24,5.41,Latte,8
760327,30,2,6.81,Smoothie,5
760328,50,15,5.33,Tea,6
760329,20,20,5.99,Latte,8
760330,37,8,7.13,Smoothie,5
760331,26,1,5.21,Espresso,2
760332,24,10,6.33,Smoothie,5
760333,28,13,6.2,Smoothie,7
760334,42,10,6.16,Smoothie,5
760335,66,13,4.95,Cold Brew,5
760336,41,20,4.6,Cold Brew,8
760337,44,22,4.18,Cold Brew,8
760338,55,11,5.03,Tea,4
760339,33,12,5.18,Latte,6
760340,39,24,4.46,Espresso,10
760341,27,6,5.48,Tea,5
760342,19,7,5.17,Espresso,4
760343,62,14,3.7,Tea,6
760344,40,10,3.67,Espresso,4
760345,60,13,4.87,Tea,7
760346,59,26,5.12,Tea,10
760347,61,16,7.54,Smoothie,7
760348,63,27,3.8,Tea,9
760349,25,17,5.01,Latte,7
760350,26,14,6.56,Smoothie,6
760351,26,12,6.43,Smoothie,5
760352,42,22,4.31,Tea,9
760353,38,15,3.52,Tea,5
760354,22,12,4.44,Espresso,6
760355,18,4,3.7,Tea,4
760356,60,11,6.75,Smoothie,5
760357,36,13,5.4,Latte,5
760358,32,11,4.25,Cold Brew,6
760359,28,7,4.04,Tea,3
760360,21,25,7.24,Smoothie,10
760361,25,13,6.95,Latte,8
760362,20,17,3.77,Tea,7
760363,69,8,7.32,Smoothie,6
760364,40,7,7.09,Smoothie,4
760365,20,5,5.39,Cold Brew,4
760366,21,8,3.6,Tea,4
760367,26,23,5.04,Cold Brew,10
760368,34,1,5.21,Tea,2
760369,69,2,6.11,Smoothie,3
760370,66,8,6.73,Latte,4
760371,22,17,5.18,Cold Brew,8
760372,43,2,4.37,Tea,2
760373,43,22,7.17,Smoothie,10
760374,66,2,4.81,Cold Brew,3
760375,61,17,4.92,Tea,8
760376,51,17,5.38,Cold Brew,6
760377,63,9,5.19,Espresso,5
760378,44,14,5.49,Latte,7
760379,61,15,5.27,Espresso,7
760380,49,6,6.88,Smoothie,5
760381,21,17,7.71,Smoothie,9
760382,32,20,5.22,Espresso,9
760383,22,12,5.09,Latte,5
760384,46,9,5.32,Cold Brew,4
760385,28,4,3.96,Tea,2
760386,65,22,5.11,Cold Brew,10
760387,23,19,4.3,Cold Brew,6
760388,70,21,4.58,Tea,8
760389,60,15,4.21,Espresso,6
760390,44,9,5.23,Latte,5
760391,32,8,,Latte,6
760392,42,4,5.39,Espresso,2
760393,26,9,3.7,Espresso,5
760394,57,17,4.46,Espresso,7
760395,38,1,6.13,Latte,4
760396,43,7,6.52,Latte,5
760397,55,2,4.97,Cold Brew,4
760398,19,12,3.96,Espresso,5
760399,65,27,4.28,Tea,10
760400,50,15,3.57,Cold Brew,5
760401,71,3,7.41,Smoothie,4
760402,42,14,5.14,Tea,7
760403,69,16,5.41,Espresso,7
760404,70,26,3.62,Tea,8
760405,56,15,5.8,Latte,7
760406,43,7,4.37,Tea,3
760407,65,22,4.86,Espresso,10
760408,69,4,3.79,Cold Brew,3
760409,53,18,6.02,Latte,7
760410,23,6,4.69,Cold Brew,3
760411,64,13,4.27,Espresso,7
760412,30,25,4.98,Cold Brew,8
760413,33,9,6.32,Latte,5
760414,63,19,6.15,Latte,7
760415,35,12,6.19,Latte,7
760416,48,8,3.86,Cold Brew,4
760417,33,3,5.9,Latte,3
760418,51,18,5.35,Tea,8
760419,35,18,6.71,Latte,8
760420,65,20,7.11,Smoothie,8
760421,26,26,4.15,Espresso,8
760422,18,9,5.05,Tea,5
760423,27,3,4.27,Tea,3
760424,42,24,5.4,Cold Brew,9
760425,44,22,7.41,Smoothie,10
760426,60,9,3.84,Tea,5
760427,36,17,4.04,Tea,8
760428,56,8,5.12,Tea,5
760429,42,9,5.29,Espresso,5
760430,61,2,6.16,Latte,4
760431,18,4,5.65,Latte,5
760432,69,18,7.22,Smoothie,8
760433,50,12,5.31,Tea,5
760434,42,4,7.94,Smoothie,5
760435,52,15,6.17,Latte,7
760436,44,16,5.93,Latte,6
760437,27,25,7.51,Smoothie,10
760438,18,26,5.08,Espresso,9
760439,62,7,4.92,Cold Brew,3
760440,42,7,6.16,Latte,5
760441,41,24,4.6,Tea,8
760442,50,17,4.5,Tea,8
760443,32,22,6.6,Latte,8
760444,53,20,3.66,Tea,8
760445,57,10,6.65,Smoothie,6
760446,66,17,6.47,Latte,9
760447,61,19,3.74,Espresso,8
760448,20,2,3.85,Cold Brew,1
760449,39,26,5.09,Tea,10
760450,51,16,6.32,Smoothie,7
760451,32,4,3.72,Espresso,3
760452,35,2,4.69,Cold Brew,2
760453,62,17,6.1,Latte,9
760454,37,20,3.67,Cold Brew,6
760455,24,21,5.7,Latte,8
760456,49,2,4.47,Espresso,3
760457,26,10,7.35,Smoothie,6
760458,66,13,6.79,Latte,8
760459,66,6,7.56,Smoothie,5
760460,24,11,3.67,Cold Brew,5
760461,52,13,6.49,Smoothie,7
760462,52,15,5.11,Cold Brew,8
760463,31,9,3.99,Espresso,4
760464,31,5,7.48,Smoothie,6
760465,69,21,4.69,Espresso,7
760466,20,7,3.6,Tea,4
760467,35,22,6.19,Latte,9
760468,29,23,4.24,Tea,10
760469,21,4,5.15,Cold Brew,2
760470,30,26,3.85,Tea,9
760471,62,25,4.48,Cold Brew,10
760472,19,7,3.62,Espresso,4
760473,41,12,3.93,Tea,4
760474,47,10,,Smoothie,7
760475,68,15,6.31,Latte,7
760476,45,4,4.22,Tea,3
760477,32,3,3.57,Espresso,2
760478,26,17,4.1,Espresso,7
760479,70,19,6.92,Smoothie,9
760480,45,26,7.48,Smoothie,10
760481,65,25,3.57,Espresso,8
760482,47,11,4.28,Espresso,5
760483,35,15,4.39,Tea,6
760484,62,15,6.48,Latte,8
760485,30,16,3.95,Espresso,6
760486,63,15,6.5,Latte,8
760487,47,19,5.05,Latte,8
760488,22,15,3.54,Tea,7
760489,58,15,6.3,Latte,6
760490,42,16,6.14,Smoothie,8
760491,21,17,6.39,Smoothie,7
760492,71,10,7.31,Smoothie,5
760493,57,1,5.33,Tea,2
760494,70,1,3.97,Espresso,3
760495,60,24,4.77,Tea,8
760496,40,14,4.8,Cold Brew,5
760497,56,24,7.52,Smoothie,9
760498,30,22,5.3,Espresso,8
760499,49,24,3.87,Tea,9
760500,46,3,6.89,Latte,3
760501,60,16,6.71,Latte,8
760502,26,14,3.85,Tea,7
760503,43,9,4.46,Espresso,3
760504,49,9,4.98,Tea,6
760505,70,7,5.02,Latte,3
760506,49,5,4.81,Espresso,4
760507,68,9,5.26,Latte,4
760508,48,23,4.17,Tea,7
760509,53,26,5.12,Cold Brew,10
760510,37,19,6.46,Latte,8
760511,36,25,7.92,Smoothie,10
760512,31,4,4.27,Espresso,4
760513,35,22,4.76,Cold Brew,9
760514,26,20,3.87,Cold Brew,7
760515,28,15,4.69,Cold Brew,7
760516,53,19,3.78,Espresso,6
760517,39,22,3.72,Cold Brew,7
760518,31,17,5.66,Latte,8
760519,58,24,4.51,Tea,9
760520,47,23,4.04,Espresso,9
760521,36,7,4.82,Espresso,5
760522,35,23,4.64,Espresso,9
760523,67,21,4.4,Espresso,7
760524,37,4,4.72,Espresso,4
760525,42,26,6.53,Smoothie,10
760526,24,5,4.32,Tea,4
760527,54,4,5.32,Espresso,4
760528,43,18,4.76,Cold Brew,7
760529,22,20,5.19,Espresso,7
760530,37,24,4.25,Tea,10
760531,47,15,4.15,Espresso,7
760532,23,13,7.59,Smoothie,7
760533,18,2,6.6,Smoothie,2
760534,24,3,6.43,Latte,5
760535,43,5,7.25,Smoothie,6
760536,20,5,4.78,Espresso,3
760537,44,23,4.74,Tea,9
760538,43,4,5.5,Tea,4
760539,67,27,5.15,Tea,9
760540,57,26,4.51,Tea,10
760541,47,8,5.44,Tea,5
760542,69,18,3.96,Tea,7
760543,52,25,5.25,Tea,10
760544,54,7,7.46,Smoothie,5
760545,22,16,3.64,Espresso,6
760546,23,11,4.85,Cold Brew,6
760547,49,25,6.27,Latte,10
760548,44,9,3.55,Cold Brew,4
760549,54,3,5.88,Latte,4
760550,20,4,4.91,Tea,4
760551,59,27,4.24,Tea,10
760552,34,12,4.16,Cold Brew,5
760553,70,17,4.0,Espresso,8
760554,36,27,6.32,Smoothie,10
760555,68,3,7.37,Smoothie,4
760556,44,8,6.63,Latte,4
760557,36,27,5.29,Espresso,10
760558,47,13,4.29,Cold Brew,7
760559,56,25,7.81,Smoothie,10
760560,65,13,5.49,Latte,6
760561,71,13,6.45,Smoothie,8
760562,54,16,5.25,Tea,8
760563,50,5,4.95,Cold Brew,4
760564,66,18,5.42,Espresso,8
760565,51,21,3.68,Espresso,9
760566,46,12,3.69,Cold Brew,4
760567,31,4,6.04,Smoothie,4
760568,36,15,5.04,Cold Brew,8
760569,71,25,7.54,Smoothie,10
760570,26,4,5.97,Latte,3
760571,49,24,5.22,Espresso,10
760572,63,17,3.53,Espresso,6
760573,24,8,7.1,Smoothie,5
760574,23,5,5.31,Espresso,3
760575,32,6,7.91,Smoothie,5
760576,51,18,6.4,Smoothie,9
760577,40,13,4.35,Cold Brew,5
760578,42,19,6.2,Smoothie,8
760579,64,7,6.75,Smoothie,6
760580,62,23,5.38,Espresso,9
760581,19,2,4.75,Tea,3
760582,56,10,4.16,Espresso,4
760583,26,2,5.62,Latte,3
760584,50,20,4.95,Espresso,7
760585,67,15,4.44,Tea,6
760586,32,11,5.24,Tea,6
760587,39,4,5.0,Espresso,3
760588,29,23,5.35,Tea,9
760589,51,22,6.64,Smoothie,8
760590,65,10,4.73,Tea,4
760591,40,21,4.97,Espresso,9
760592,24,18,6.9,Latte,9
760593,61,13,3.69,Tea,6
760594,60,13,6.24,Latte,8
760595,59,19,4.77,Espresso,9
760596,47,2,,Latte,5
760597,21,9,4.03,Tea,5
760598,68,3,3.84,Espresso,2
760599,27,1,7.58,Smoothie,5
760600,58,23,4.33,Cold Brew,10
760601,38,10,4.43,Tea,4
760602,63,14,6.39,Smoothie,7
760603,58,4,6.37,Latte,4
760604,20,26,5.46,Cold Brew,10
760605,22,22,5.27,Espresso,9
760606,63,2,5.53,Latte,3
760607,32,1,4.43,Tea,2
760608,57,18,4.9,Tea,7
760609,51,8,7.1,Smoothie,5
760610,25,19,3.87,Cold Brew,8
760611,58,23,5.32,Espresso,9
760612,30,9,4.7,Espresso,6
760613,50,16,4.89,Tea,6
760614,60,9,5.42,Latte,6
760615,52,14,4.5,Tea,7
760616,46,16,7.72,Smoothie,9
760617,25,23,4.2,Cold Brew,9
760618,47,21,4.92,Espresso,7
760619,59,17,7.57,Smoothie,9
760620,35,6,4.09,Espresso,4
760621,37,20,6.97,Smoothie,8
760622,27,6,4.65,Tea,4
760623,26,18,5.25,Cold Brew,7
760624,41,12,3.78,Tea,6
760625,23,20,4.78,Cold Brew,8
760626,47,23,4.51,Tea,10
760627,37,5,4.99,Tea,4
760628,59,17,6.87,Smoothie,8
760629,65,25,7.05,Smoothie,10
760630,70,20,7.66,Smoothie,10
760631,70,11,6.12,Smoothie,6
760632,62,13,5.03,Latte,5
760633,35,11,3.86,Cold Brew,6
760634,65,4,4.45,Tea,2
760635,32,17,3.53,Cold Brew,6
760636,56,21,4.92,Espresso,9
760637,22,18,3.96,Tea,8
760638,33,26,5.1,Cold Brew,9
760639,38,27,5.18,Latte,9
760640,50,12,3.91,Espresso,4
760641,22,21,5.22,Tea,8
760642,53,13,4.44,Cold Brew,6
760643,58,23,6.52,Smoothie,10
760644,47,2,6.69,Latte,2
760645,27,2,,Smoothie,4
760646,25,7,5.25,Latte,3
760647,43,27,7.46,Smoothie,10
760648,69,12,6.4,Latte,6
760649,39,21,7.69,Smoothie,10
760650,36,25,4.75,Espresso,9
760651,48,27,5.05,Latte,9
760652,38,13,6.97,Smoothie,6
760653,52,4,4.8,Cold Brew,2
760654,47,16,,Latte,8
760655,28,10,5.3,Latte,4
760656,66,11,7.18,Smoothie,7
760657,23,4,4.13,Cold Brew,3
760658,18,9,6.61,Smoothie,7
760659,66,23,6.1,Smoothie,10
760660,40,24,3.6,Espresso,9
760661,55,22,6.89,Latte,10
760662,25,25,4.19,Espresso,10
760663,21,13,6.41,Smoothie,8
760664,28,16,7.73,Smoothie,8
760665,27,9,7.26,Smoothie,7
760666,55,17,5.12,Espresso,6
760667,25,1,5.12,Tea,1
760668,31,22,7.11,Smoothie,10
760669,19,25,4.43,Cold Brew,10
760670,45,22,4.8,Tea,7
760671,20,25,6.83,Latte,10
760672,40,25,6.79,Latte,10
760673,54,2,4.07,Tea,2
760674,23,17,4.56,Espresso,8
760675,65,23,4.54,Espresso,8
760676,69,1,6.59,Latte,4
760677,59,16,4.01,Cold Brew,7
760678,67,20,7.54,Smoothie,8
760679,65,16,6.23,Smoothie,7
760680,67,13,4.02,Cold Brew,5
760681,64,15,5.55,Latte,8
760682,23,2,4.01,Tea,2
760683,68,18,5.36,Espresso,8
760684,34,13,3.62,Tea,6
760685,60,20,7.3,Smoothie,10
760686,61,8,3.82,Tea,5
760687,28,13,4.32,Espresso,7
760688,44,25,5.42,Cold Brew,10
760689,46,19,4.37,Espresso,7
760690,37,3,4.81,Espresso,4
760691,20,22,6.78,Smoothie,9
760692,54,5,5.04,Tea,4
760693,71,22,3.65,Tea,7
760694,36,26,8.0,Smoothie,10
760695,61,4,6.91,Smoothie,4
760696,59,4,6.05,Latte,4
760697,70,9,6.42,Latte,4
760698,33,26,3.78,Cold Brew,10
760699,49,22,6.14,Smoothie,8
760700,67,1,3.95,Espresso,3
760701,47,14,4.62,Cold Brew,5
760702,19,25,4.41,Tea,10
760703,38,10,4.47,Espresso,4
760704,27,5,3.87,Tea,3
760705,56,27,4.68,Cold Brew,9
760706,31,5,4.07,Cold Brew,2
760707,57,16,4.9,Tea,8
760708,59,3,3.62,Tea,3
760709,22,15,3.85,Tea,5
760710,48,20,6.51,Latte,10
760711,37,7,5.32,Espresso,4
760712,19,3,4.63,Tea,3
760713,50,17,7.14,Smoothie,8
760714,50,23,5.84,Latte,9
760715,27,22,3.59,Espresso,9
760716,61,3,4.55,Tea,4
760717,51,1,5.14,Tea,3
760718,28,3,7.45,Smoothie,3
760719,38,2,6.79,Smoothie,3
760720,57,19,6.29,Smoothie,9
760721,34,22,6.54,Latte,9
760722,33,4,4.91,Cold Brew,2
760723,64,21,6.75,Smoothie,9
760724,47,1,3.59,Cold Brew,2
760725,27,23,4.76,Espresso,8
760726,33,27,5.57,Latte,9
760727,44,1,3.99,Tea,2
760728,44,15,6.74,Latte,8
760729,33,3,5.91,Latte,2
760730,33,17,5.72,Latte,6
760731,27,18,3.85,Tea,8
760732,19,23,5.26,Cold Brew,9
760733,59,19,6.38,Latte,9
760734,71,15,4.25,Cold Brew,6
760735,62,2,6.3,Smoothie,3
760736,39,3,4.83,Tea,3
760737,47,23,3.79,Cold Brew,9
760738,32,22,7.77,Smoothie,9
760739,44,11,7.91,Smoothie,8
760740,27,1,4.46,Espresso,1
760741,51,27,6.01,Latte,10
760742,26,24,5.07,Tea,10
760743,19,14,4.58,Cold Brew,5
760744,70,5,3.96,Espresso,2
760745,19,2,5.1,Espresso,3
760746,71,26,5.11,Cold Brew,9
760747,43,3,5.0,Espresso,2
760748,31,14,3.76,Tea,5
760749,54,13,4.37,Espresso,6
760750,48,7,3.61,Cold Brew,2
760751,33,11,4.38,Espresso,5
760752,54,10,5.43,Cold Brew,5
760753,59,5,5.34,Tea,3
760754,47,12,5.21,Cold Brew,6
760755,42,2,4.52,Cold Brew,1
760756,53,9,5.22,Cold Brew,5
760757,37,4,3.51,Cold Brew,1
760758,53,3,,Espresso,3
760759,18,21,4.32,Tea,7
760760,55,24,5.49,Espresso,10
760761,60,13,6.89,Smoothie,8
760762,45,22,4.05,Espresso,8
760763,28,23,6.73,Smoothie,9
760764,35,4,7.02,Smoothie,5
760765,45,16,6.75,Latte,8
760766,70,19,5.48,Cold Brew,7
760767,53,17,3.81,Tea,8
760768,25,1,6.64,Smoothie,3
