DeviceID,Brand,DeviceAge_Months,ConditionGrade,AccessoriesIncluded,ResalePrice
940278,Samsung,15,1.0,0,645.29
940279,Apple,20,4.0,1,1058.31
940280,Apple,21,3.0,0,924.41
940281,Apple,45,5.0,1,817.24
940282,Samsung,9,5.0,0,947.72
940283,Apple,38,3.0,1,794.39
940284,Samsung,12,3.0,0,819.58
940285,Apple,9,4.0,1,1216.52
940286,Samsung,21,2.0,1,726.62
940287,Others,33,2.0,1,281.25
940288,Others,23,3.0,0,336.96
940289,Apple,23,5.0,0,1011.61
940290,Apple,42,1.0,1,626.12
940291,Apple,25,5.0,1,1106.7
940292,Apple,10,1.0,0,926.62
940293,Apple,39,2.0,0,666.81
940294,Samsung,34,3.0,0,607.8
940295,Apple,25,5.0,0,960.79
940296,Apple,26,2.0,1,839.0
940297,Samsung,36,5.0,1,749.36
940298,Samsung,8,3.0,1,943.08
940299,Apple,41,5.0,1,797.44
940300,Apple,8,2.0,0,1045.74
940301,Apple,10,3.0,1,1169.95
940302,Samsung,2,5.0,1,1089.36
940303,Apple,39,1.0,0,639.12
940304,Apple,44,4.0,0,699.56
940305,LG,21,5.0,1,500.95
940306,Apple,37,2.0,0,675.43
940307,Apple,30,5.0,1,954.18
940308,Samsung,43,2.0,0,278.35
940309,Apple,25,4.0,1,1014.46
940310,Samsung,43,2.0,0,371.76
940311,Apple,30,3.0,1,821.67
940312,Samsung,15,2.0,1,651.95
940313,Apple,20,2.0,0,847.64
940314,Others,29,3.0,1,280.04
940315,Samsung,11,4.0,0,847.0
940316,LG,10,3.0,1,579.19
940317,Apple,18,5.0,1,1133.42
940318,Apple,38,1.0,0,663.52
940319,Others,16,2.0,1,348.34
940320,Apple,18,1.0,1,863.97
940321,Apple,9,5.0,1,1305.49
940322,Samsung,15,4.0,1,951.09
940323,Apple,43,4.0,1,740.53
940324,Apple,44,4.0,1,868.59
940325,Samsung,37,2.0,1,495.18
940326,Apple,13,2.0,0,950.51
940327,Apple,23,3.0,0,837.77
940328,Samsung,9,5.0,1,927.91
940329,LG,43,5.0,0,173.12
940330,Samsung,37,2.0,1,459.46
940331,Apple,21,5.0,0,1081.12
940332,Samsung,21,2.0,0,615.32
940333,Apple,11,3.0,1,1063.11
940334,Samsung,30,3.0,1,582.13
940335,Samsung,39,2.0,0,357.09
940336,Apple,37,2.0,0,601.64
940337,Apple,22,5.0,1,1144.03
940338,Apple,9,1.0,0,936.07
940339,Apple,10,5.0,0,1180.44
940340,LG,3,3.0,1,591.34
940341,Samsung,38,1.0,0,317.38
940342,LG,1,5.0,1,798.41
940343,Apple,22,1.0,1,881.77
940344,Apple,44,3.0,1,639.53
940345,Apple,41,4.0,1,834.41
940346,Apple,42,5.0,1,875.73
940347,Apple,35,3.0,0,789.29
940348,Apple,45,3.0,0,668.1
940349,LG,38,3.0,0,164.05
940350,LG,5,5.0,1,731.04
940351,Samsung,11,1.0,0,686.98
940352,Apple,15,2.0,1,1053.04
940353,Samsung,9,3.0,1,903.58
940354,Others,35,4.0,0,171.89
940355,Apple,22,1.0,1,842.93
940356,Apple,19,2.0,0,911.71
940357,Samsung,2,,1,942.87
940358,Others,24,3.0,0,396.45
940359,Others,18,2.0,0,364.43
940360,LG,36,2.0,1,98.35
940361,Samsung,37,5.0,0,657.95
940362,Apple,19,3.0,1,1062.35
940363,Apple,15,3.0,0,986.85
940364,Apple,34,5.0,1,989.66
940365,Samsung,3,4.0,0,972.97
940366,Samsung,45,4.0,1,488.17
940367,Samsung,9,3.0,1,863.89
940368,Samsung,8,2.0,1,878.25
940369,Apple,31,3.0,0,788.95
940370,LG,1,3.0,1,612.35
940371,Samsung,1,4.0,0,961.85
940372,Apple,35,1.0,0,618.54
940373,Samsung,13,2.0,0,733.82
940374,Samsung,3,3.0,1,1053.23
940375,Others,37,1.0,0,50.0
940376,Samsung,17,3.0,0,698.97
940377,Others,47,3.0,1,50.0
940378,Samsung,33,5.0,0,695.21
940379,Samsung,24,5.0,1,839.0
940380,Samsung,37,4.0,0,617.38
940381,Samsung,8,3.0,1,857.85
940382,Apple,16,4.0,0,1094.35
940383,Apple,46,3.0,0,644.63
940384,Others,32,5.0,1,384.75
940385,Apple,34,1.0,1,747.0
940386,Apple,30,1.0,0,722.1
940387,Samsung,40,1.0,1,371.63
940388,Samsung,14,2.0,0,761.94
940389,Apple,24,3.0,1,909.34
940390,Apple,21,5.0,1,1140.34
940391,Samsung,37,4.0,1,655.89
940392,LG,14,5.0,1,651.8
940393,Samsung,41,2.0,0,388.86
940394,Others,17,4.0,0,427.21
940395,Apple,12,2.0,0,928.73
940396,Apple,19,3.0,1,926.73
940397,LG,25,1.0,0,133.88
940398,Samsung,47,3.0,1,444.57
940399,Samsung,14,5.0,1,909.33
940400,Apple,23,5.0,0,1062.63
940401,Apple,13,2.0,1,1022.48
940402,Apple,35,5.0,1,947.21
940403,Apple,2,2.0,1,1118.3
940404,Others,46,5.0,0,199.56
940405,Apple,32,2.0,1,792.82
940406,Others,29,5.0,1,456.39
940407,Apple,41,2.0,1,726.54
940408,Apple,12,,1,1155.41
940409,LG,21,5.0,1,528.44
940410,Apple,9,3.0,1,1152.82
940411,Samsung,47,5.0,1,524.41
940412,LG,28,1.0,0,168.45
940413,Apple,45,5.0,0,692.73
940414,Apple,13,3.0,0,1112.64
940415,Apple,9,4.0,1,1242.82
940416,Others,31,5.0,1,435.99
940417,Apple,24,4.0,1,1080.16
940418,Samsung,39,3.0,0,483.52
940419,Samsung,42,4.0,1,534.06
940420,Apple,41,3.0,0,725.0
940421,Apple,28,2.0,1,889.32
940422,Samsung,34,3.0,0,494.43
940423,Others,23,3.0,1,443.16
940424,Apple,22,4.0,1,1041.35
940425,Others,46,4.0,0,98.45
940426,Apple,43,4.0,1,732.16
940427,Samsung,45,1.0,1,385.33
940428,Apple,19,4.0,1,1083.0
940429,Others,22,5.0,1,454.92
940430,Others,2,2.0,1,623.55
940431,Samsung,22,3.0,0,706.26
940432,Samsung,20,4.0,1,837.74
940433,LG,22,3.0,0,329.88
940434,Apple,40,4.0,0,798.8
940435,Apple,39,3.0,0,659.7
940436,Samsung,21,1.0,1,600.95
940437,Samsung,21,1.0,1,608.8
940438,Samsung,37,5.0,0,680.0
940439,Samsung,4,1.0,1,781.61
940440,Samsung,29,3.0,0,545.59
940441,Apple,34,4.0,0,868.93
940442,Samsung,8,4.0,0,886.79
940443,LG,39,4.0,0,211.3
940444,Apple,16,5.0,0,1160.76
940445,Apple,10,1.0,1,995.65
940446,Samsung,15,4.0,0,824.84
940447,Samsung,19,4.0,0,766.6
940448,Apple,21,1.0,1,863.22
940449,Samsung,38,2.0,1,481.0
940450,Apple,31,1.0,1,758.85
940451,Samsung,44,4.0,1,510.33
940452,Apple,30,5.0,1,1093.4
940453,LG,25,4.0,0,288.0
940454,Samsung,14,1.0,1,738.48
940455,Apple,6,4.0,0,1227.14
940456,Others,28,2.0,1,225.81
940457,Apple,29,2.0,0,799.86
940458,LG,15,5.0,1,610.31
940459,Apple,16,5.0,0,1120.33
940460,Samsung,33,2.0,1,546.03
940461,Samsung,7,4.0,1,1028.51
940462,Apple,27,5.0,0,1069.96
940463,Others,34,1.0,1,58.32
940464,LG,43,3.0,1,91.65
940465,Apple,26,2.0,0,814.59
940466,Others,45,2.0,1,104.85
940467,Others,8,4.0,1,615.43
940468,Samsung,33,,0,632.33
940469,Apple,12,1.0,1,961.23
940470,Apple,22,5.0,1,1129.32
940471,Samsung,32,2.0,1,534.32
940472,Samsung,2,3.0,0,915.77
940473,Apple,25,1.0,1,815.15
940474,Others,3,1.0,1,428.5
940475,Apple,9,5.0,1,1258.96
940476,Apple,37,4.0,0,814.9
940477,Apple,31,5.0,1,965.3
940478,Samsung,18,5.0,0,873.21
940479,Apple,24,1.0,1,747.42
940480,Apple,45,4.0,0,706.12
940481,Apple,30,2.0,0,782.91
940482,Samsung,39,5.0,1,625.68
940483,Apple,4,2.0,1,1135.21
940484,Others,6,3.0,0,529.3
940485,Others,45,2.0,1,50.0
940486,Samsung,13,1.0,1,662.31
940487,Apple,9,5.0,1,1254.2
940488,Apple,24,3.0,1,947.8
940489,Samsung,19,4.0,0,755.65
940490,Samsung,6,1.0,1,764.89
940491,Samsung,40,5.0,1,670.63
940492,Apple,38,5.0,1,839.75
940493,Others,15,5.0,1,657.66
940494,Samsung,16,5.0,1,945.91
940495,Samsung,10,3.0,1,839.8
940496,Samsung,29,5.0,1,711.62
940497,LG,41,3.0,1,119.85
940498,Samsung,26,5.0,0,828.99
940499,Samsung,33,1.0,0,410.59
940500,LG,17,1.0,1,286.22
940501,Apple,24,1.0,1,847.75
940502,Samsung,27,1.0,0,515.89
940503,Samsung,13,3.0,1,781.89
940504,Apple,29,2.0,0,804.02
940505,Apple,13,5.0,1,1230.14
940506,Samsung,15,4.0,1,887.06
940507,Apple,15,4.0,0,1119.33
940508,Samsung,44,5.0,1,642.89
940509,Samsung,16,4.0,0,815.46
940510,Samsung,36,2.0,0,490.82
940511,Samsung,24,5.0,1,814.23
940512,Samsung,43,5.0,1,637.59
940513,Apple,41,5.0,0,913.46
940514,Apple,11,1.0,0,916.39
940515,LG,21,1.0,0,198.09
940516,Apple,16,3.0,1,1044.83
940517,Samsung,24,5.0,0,786.67
940518,Apple,40,4.0,1,762.29
940519,LG,12,4.0,1,543.39
940520,Samsung,9,4.0,1,907.34
940521,Apple,35,3.0,0,793.69
940522,Samsung,47,2.0,1,399.0
940523,Apple,43,3.0,0,718.88
940524,LG,33,3.0,0,113.97
940525,Samsung,31,2.0,1,573.07
940526,Apple,32,,1,910.99
940527,Apple,24,3.0,0,922.62
940528,Apple,1,3.0,1,1279.12
940529,Samsung,33,4.0,1,616.48
940530,Samsung,38,1.0,1,397.43
940531,Apple,23,2.0,0,832.39
940532,Apple,10,3.0,1,1113.01
940533,Samsung,30,3.0,0,607.19
940534,Others,42,5.0,1,237.15
940535,Apple,25,4.0,0,930.67
940536,Apple,23,4.0,1,1026.07
940537,Samsung,27,4.0,0,587.48
940538,Apple,15,4.0,1,1157.06
940539,Samsung,3,2.0,1,860.3
940540,Samsung,1,5.0,1,1174.15
940541,LG,13,1.0,1,343.64
940542,LG,29,2.0,1,232.08
940543,Apple,32,5.0,0,940.52
940544,Apple,43,3.0,0,652.66
940545,Apple,44,2.0,1,548.19
940546,Samsung,2,1.0,1,792.22
940547,Apple,42,3.0,1,707.86
940548,Apple,7,1.0,0,971.44
940549,Apple,3,1.0,1,1155.77
940550,Others,5,3.0,0,515.37
940551,Samsung,10,4.0,1,900.77
940552,Samsung,34,3.0,0,571.32
940553,Samsung,26,3.0,1,706.11
940554,Samsung,1,4.0,0,927.17
940555,Apple,21,1.0,1,819.96
940556,Samsung,37,1.0,1,390.19
940557,Samsung,29,1.0,1,605.79
940558,Apple,14,4.0,0,1103.23
940559,Samsung,10,3.0,0,851.22
940560,Others,26,5.0,1,453.62
940561,Others,45,4.0,1,137.15
940562,Apple,38,4.0,1,837.19
940563,Samsung,46,3.0,0,399.07
940564,Apple,5,5.0,1,1257.28
940565,Samsung,3,5.0,0,1025.84
940566,Samsung,14,4.0,0,832.03
940567,Apple,9,2.0,0,1051.93
940568,Apple,45,2.0,1,598.41
940569,Others,30,5.0,1,317.58
940570,Samsung,28,1.0,1,499.69
940571,Samsung,22,3.0,0,717.53
940572,Samsung,26,3.0,0,618.87
940573,Apple,16,1.0,1,950.29
940574,Samsung,35,2.0,1,453.82
940575,Apple,6,2.0,1,1112.63
940576,Others,42,2.0,0,62.25
940577,Samsung,27,3.0,0,687.7
940578,LG,5,5.0,0,656.15
940579,Apple,5,5.0,0,1259.67
940580,Others,26,4.0,0,332.69
940581,Samsung,22,3.0,0,649.09
940582,LG,38,4.0,0,285.4
940583,Samsung,34,4.0,0,606.83
940584,Samsung,38,2.0,0,421.18
940585,Samsung,24,1.0,1,674.76
940586,Others,40,5.0,1,286.37
940587,Samsung,4,2.0,0,809.02
940588,LG,42,5.0,1,245.59
940589,LG,27,4.0,1,402.92
940590,Apple,6,2.0,0,1144.17
940591,Samsung,4,5.0,1,1056.19
940592,Samsung,39,5.0,1,620.07
940593,Samsung,24,2.0,0,612.5
940594,Apple,16,4.0,1,1182.68
940595,Apple,11,3.0,0,1066.06
940596,Samsung,46,4.0,1,523.09
940597,Others,31,4.0,1,253.55
940598,LG,14,1.0,1,283.67
940599,LG,2,1.0,1,491.85
940600,Apple,35,3.0,1,800.39
940601,Samsung,3,4.0,1,961.7
940602,Apple,42,3.0,0,766.63
940603,Apple,27,5.0,0,993.52
940604,Apple,40,1.0,1,644.73
940605,Apple,33,3.0,0,899.64
940606,Apple,8,5.0,0,1249.29
940607,LG,12,1.0,0,328.22
940608,Apple,30,1.0,1,800.4
940609,LG,32,3.0,0,155.56
940610,Apple,33,1.0,1,645.39
940611,Apple,12,5.0,0,1198.42
940612,Apple,15,2.0,1,996.06
940613,Samsung,46,4.0,0,455.99
940614,Apple,41,4.0,0,724.27
940615,Apple,1,5.0,0,1339.82
940616,Samsung,17,3.0,0,798.44
940617,Apple,28,5.0,1,1126.65
940618,Apple,47,4.0,1,734.43
940619,LG,42,3.0,1,137.97
940620,Samsung,24,2.0,0,650.31
940621,Apple,18,4.0,1,1075.72
940622,Apple,33,3.0,1,839.72
940623,Samsung,26,2.0,0,505.28
940624,Samsung,7,2.0,1,813.61
940625,LG,21,1.0,0,234.68
940626,LG,11,3.0,1,502.12
940627,Samsung,27,3.0,1,679.07
940628,Others,47,4.0,1,206.31
940629,Samsung,45,2.0,0,362.26
940630,Others,36,5.0,0,275.48
940631,Samsung,6,1.0,1,814.51
940632,Apple,39,1.0,1,633.23
940633,LG,11,3.0,0,469.41
940634,Apple,36,2.0,1,758.68
940635,Others,20,1.0,0,186.69
940636,Others,34,3.0,1,272.4
940637,Apple,22,3.0,0,829.49
940638,Apple,37,2.0,1,769.51
940639,Apple,43,1.0,1,555.93
940640,Samsung,13,4.0,0,830.86
940641,Apple,13,3.0,1,1114.28
940642,Apple,20,3.0,0,939.04
940643,Others,45,1.0,1,50.0
940644,Apple,35,4.0,0,895.3
940645,Samsung,44,2.0,0,344.82
940646,Apple,40,5.0,0,878.73
940647,LG,26,2.0,1,277.51
940648,Apple,35,3.0,1,784.57
940649,Others,35,1.0,1,50.0
940650,Apple,18,5.0,0,1131.57
940651,Samsung,36,5.0,1,712.93
940652,Apple,15,1.0,1,1000.14
940653,Apple,3,2.0,0,1133.97
940654,Samsung,42,2.0,0,311.25
940655,Apple,20,3.0,0,983.75
940656,Others,35,1.0,1,165.74
940657,Apple,45,5.0,1,807.31
940658,Others,17,4.0,1,504.89
940659,Samsung,10,1.0,0,613.66
940660,Apple,40,1.0,1,622.12
940661,Apple,41,5.0,1,904.12
940662,Samsung,45,5.0,1,679.13
940663,Apple,1,1.0,1,1110.88
940664,Samsung,26,1.0,1,517.93
940665,Apple,11,4.0,0,1124.39
940666,LG,45,4.0,1,177.73
940667,Apple,31,5.0,0,931.43
940668,Samsung,3,3.0,1,958.11
940669,LG,7,4.0,0,599.12
940670,Samsung,28,3.0,0,631.26
940671,Others,18,5.0,1,515.07
940672,Others,9,3.0,1,478.76
940673,Samsung,3,4.0,1,995.81
940674,Samsung,17,3.0,0,681.06
940675,Samsung,42,3.0,0,447.94
940676,Apple,18,4.0,1,1147.54
940677,Samsung,31,5.0,0,686.54
940678,Samsung,2,3.0,1,982.75
940679,Apple,6,5.0,1,1339.12
940680,Samsung,17,4.0,1,812.83
940681,Others,17,1.0,1,363.98
940682,Apple,7,1.0,0,1057.63
940683,Apple,26,1.0,1,814.65
940684,Apple,24,2.0,0,831.45
940685,Apple,10,4.0,1,1221.96
940686,Apple,44,1.0,1,603.59
940687,Apple,40,3.0,1,787.19
940688,Samsung,8,4.0,0,848.23
940689,LG,46,1.0,1,50.0
940690,Apple,17,3.0,0,943.93
940691,Samsung,26,5.0,1,800.08
940692,Samsung,5,1.0,1,713.86
940693,LG,15,4.0,0,461.91
940694,Apple,20,2.0,0,924.36
940695,Others,1,2.0,0,475.38
940696,Apple,3,3.0,0,1209.86
940697,Samsung,31,1.0,0,319.75
940698,Apple,39,5.0,0,854.15
940699,Samsung,35,3.0,1,672.61
940700,Apple,22,3.0,0,952.12
940701,Samsung,28,1.0,0,477.7
940702,Apple,46,1.0,1,572.45
940703,Apple,31,4.0,1,899.78
940704,Apple,13,5.0,1,1227.14
940705,Others,23,5.0,1,476.92
940706,Samsung,2,1.0,1,874.54
940707,Apple,45,1.0,0,513.72
940708,Apple,14,5.0,0,1163.01
940709,Apple,24,3.0,1,920.8
940710,LG,20,5.0,0,418.35
940711,Samsung,46,1.0,0,209.62
940712,Samsung,6,1.0,0,813.44
940713,Apple,13,4.0,0,1131.31
940714,Samsung,18,3.0,1,757.83
940715,Apple,9,5.0,1,1252.41
940716,Apple,35,5.0,0,886.64
940717,Samsung,8,2.0,0,806.67
940718,Apple,32,2.0,1,799.12
940719,Apple,30,5.0,1,1028.05
940720,Samsung,41,1.0,0,287.08
