SessionID,FOV_Degrees,FrameDropRate_Percent,SicknessScore,PlayDurationMinutes,AbortedSession
1660063,64.1,46.7,5.4,55.8,102.9
1660064,45.0,59.3,6.2,50.6,111.0
1660065,74.1,68.0,7.2,42.0,107.6
1660066,94.1,48.7,6.2,54.2,100.4
1660067,105.9,32.8,5.8,35.9,89.9
1660068,136.1,37.6,7.6,36.0,163.4
1660069,93.7,26.3,5.6,43.0,95.5
1660070,91.0,39.6,9.9,46.4,94.4
1660071,89.2,20.3,6.4,72.1,102.4
1660072,95.2,54.7,9.5,32.6,47.6
1660073,121.3,19.9,8.5,36.6,92.4
1660074,93.9,10.2,9.1,48.7,87.6
1660075,134.0,55.3,8.2,59.0,78.6
1660076,85.9,33.6,5.6,32.4,131.9
1660077,67.3,24.5,8.1,35.4,122.4
1660078,115.6,71.0,7.2,0.0,86.0
1660079,91.8,44.6,7.2,30.1,81.2
1660080,58.1,40.8,5.9,32.1,65.9
1660081,96.2,35.9,7.9,66.3,105.9
1660082,109.6,31.1,7.3,32.4,104.3
1660083,50.9,53.5,7.4,41.0,97.1
1660084,52.5,42.8,7.4,61.7,108.7
1660085,62.6,61.6,6.2,50.2,84.0
1660086,121.7,41.3,5.6,63.6,96.2
1660087,158.6,49.4,6.6,41.3,128.7
1660088,81.9,29.6,8.8,68.3,88.1
1660089,86.3,67.5,7.0,28.0,91.8
1660090,106.3,54.6,5.0,37.9,118.8
1660091,115.9,58.1,6.3,32.2,64.8
1660092,122.4,26.5,3.6,39.9,96.1
1660093,124.3,38.8,6.3,57.9,88.9
1660094,139.5,43.2,6.5,50.2,86.0
1660095,50.7,29.5,6.2,33.6,124.2
1660096,116.3,23.7,4.6,48.1,100.5
1660097,61.7,30.3,6.3,29.6,91.0
1660098,135.3,60.7,9.5,25.1,138.3
1660099,116.9,60.6,7.1,55.2,109.6
1660100,99.7,59.0,8.9,39.5,106.6
1660101,122.9,58.0,7.9,27.1,103.7
1660102,126.6,62.4,6.9,24.6,79.2
1660103,127.1,47.8,8.1,58.0,97.9
1660104,103.4,53.7,7.8,56.5,128.4
1660105,82.6,34.1,8.6,30.1,109.8
1660106,141.8,57.0,7.5,46.4,142.0
1660107,100.6,65.1,8.8,50.0,119.4
1660108,118.4,48.8,7.3,33.8,119.9
1660109,132.2,35.3,6.8,33.3,111.1
1660110,89.9,46.8,7.9,60.0,146.5
1660111,131.1,41.2,3.7,67.7,99.6
1660112,79.9,38.4,8.6,10.4,126.9
1660113,106.3,15.1,6.9,52.7,108.6
1660114,107.1,45.0,6.5,62.9,103.2
1660115,87.5,25.6,7.2,57.7,123.9
1660116,136.5,49.0,4.4,33.8,140.0
1660117,104.7,57.6,6.6,46.0,77.5
1660118,70.4,37.9,5.6,62.5,78.5
1660119,123.2,23.2,8.5,46.3,117.9
1660120,75.9,43.4,7.7,59.2,100.7
1660121,79.0,31.7,6.7,48.1,120.5
1660122,99.0,36.0,9.5,46.2,80.0
1660123,97.5,9.4,7.1,17.6,133.8
1660124,84.6,42.5,5.6,22.2,61.2
1660125,101.5,40.8,9.6,65.0,101.3
1660126,71.3,33.8,7.8,58.6,58.4
1660127,145.7,4.3,6.7,62.6,117.4
1660128,92.2,53.3,6.3,23.2,91.0
1660129,38.6,45.1,7.5,43.7,46.3
1660130,171.7,56.4,7.1,54.1,61.0
1660131,99.5,61.5,6.4,40.3,71.6
1660132,69.7,58.8,8.1,49.1,109.8
1660133,98.9,28.1,7.7,58.4,98.0
1660134,138.8,44.3,7.1,50.1,104.6
1660135,95.4,37.3,6.5,20.5,112.4
1660136,95.1,31.5,6.1,36.1,108.1
1660137,102.8,43.3,8.4,62.5,77.3
1660138,141.3,24.7,7.7,57.2,80.9
1660139,134.4,40.1,6.6,42.7,97.5
1660140,155.6,33.5,7.2,47.5,74.7
1660141,89.8,42.7,7.1,43.2,108.2
1660142,110.1,41.6,8.6,70.2,81.3
1660143,115.7,34.8,10.0,25.7,85.6
1660144,110.5,25.7,5.4,57.0,112.5
1660145,149.1,50.0,9.9,32.2,100.0
1660146,56.8,49.7,5.0,55.0,111.6
1660147,59.1,39.4,6.9,59.0,59.3
1660148,60.8,43.7,5.4,22.1,105.4
1660149,100.7,20.3,7.2,37.8,101.7
1660150,107.2,31.3,9.7,41.6,64.7
1660151,95.7,54.4,6.4,18.7,93.5
1660152,141.0,52.1,6.4,54.4,114.5
1660153,112.3,48.4,5.6,40.0,93.9
1660154,92.3,52.2,8.6,50.7,51.6
1660155,75.7,47.4,6.9,47.5,88.8
1660156,135.9,31.8,7.3,57.7,71.5
1660157,114.6,65.4,5.5,38.8,70.8
1660158,102.5,38.8,7.3,42.1,80.3
1660159,109.7,47.8,7.7,35.8,112.8
1660160,90.4,36.4,7.3,77.3,113.1
1660161,67.9,33.1,9.3,59.7,74.4
1660162,82.1,24.7,8.7,45.0,92.0
1660163,94.0,32.3,4.4,36.1,100.5
1660164,108.4,65.2,5.8,50.0,91.2
1660165,96.3,69.8,8.3,52.1,93.1
1660166,68.6,28.0,7.8,43.1,78.7
1660167,121.8,41.3,7.9,61.2,103.6
1660168,96.5,49.1,6.4,36.2,131.3
1660169,96.5,50.5,8.7,39.4,101.2
1660170,140.9,20.6,8.7,66.6,99.9
1660171,116.3,70.2,9.6,27.4,95.4
1660172,132.2,38.9,10.0,41.4,105.8
1660173,43.7,47.6,6.1,4.6,133.9
1660174,123.1,41.8,7.5,34.7,138.4
1660175,87.7,,7.3,53.1,93.5
1660176,118.4,59.5,6.5,52.4,68.8
1660177,148.1,50.8,8.5,56.4,80.9
1660178,127.2,78.2,8.1,70.2,87.0
1660179,81.7,24.8,10.0,60.4,62.2
1660180,118.0,47.8,9.3,44.4,142.1
1660181,106.4,56.0,9.7,68.7,116.5
1660182,132.3,56.1,6.7,52.4,69.0
1660183,91.5,62.7,6.8,67.6,73.9
1660184,110.2,50.1,5.9,6.8,105.2
1660185,85.3,40.3,8.3,44.2,64.7
1660186,107.8,54.0,8.9,40.2,78.8
1660187,103.3,66.2,9.6,36.1,83.7
1660188,90.7,51.3,6.1,45.2,96.0
1660189,92.0,44.1,4.7,39.5,106.2
1660190,100.4,17.5,7.4,34.9,95.5
1660191,93.5,42.5,6.0,37.1,131.0
1660192,111.1,83.4,7.5,26.5,147.0
1660193,152.4,11.8,7.3,64.9,103.6
1660194,101.4,35.2,7.4,63.2,126.2
1660195,116.4,59.5,7.3,50.1,112.2
1660196,126.1,61.8,7.3,19.5,80.5
1660197,87.7,20.5,6.8,66.0,73.2
1660198,97.1,31.9,7.4,44.6,103.3
1660199,98.5,51.6,5.5,50.7,110.8
1660200,117.2,30.4,7.1,48.8,75.7
1660201,103.6,58.6,7.1,27.6,73.7
1660202,89.8,69.6,7.3,24.4,98.8
1660203,95.6,88.7,7.1,44.0,75.2
1660204,79.3,53.0,7.1,49.0,112.4
1660205,36.1,39.3,7.3,26.3,117.3
1660206,75.7,18.8,10.0,64.8,94.3
1660207,83.3,35.9,8.0,54.8,135.9
1660208,120.1,86.1,5.7,60.4,86.5
1660209,95.0,17.0,8.7,33.3,95.3
1660210,93.3,37.6,8.4,27.4,115.0
1660211,109.5,35.6,7.3,26.6,78.6
1660212,74.1,41.1,8.9,44.8,130.2
1660213,91.3,46.5,8.5,49.4,120.5
1660214,101.3,41.6,9.6,42.0,123.9
1660215,115.7,18.5,6.6,32.8,142.9
1660216,85.7,51.7,6.2,42.6,107.4
1660217,109.7,58.6,9.0,47.3,104.6
1660218,106.4,,6.3,55.3,103.4
1660219,115.1,57.8,5.6,33.1,116.8
1660220,110.2,46.1,7.1,60.8,138.8
1660221,108.6,58.3,6.9,56.7,97.0
1660222,97.8,32.8,7.0,48.0,82.8
1660223,125.0,38.1,5.7,24.8,136.3
1660224,104.3,45.3,7.4,95.8,91.1
1660225,71.7,42.8,8.0,67.5,63.2
1660226,70.7,20.7,7.3,25.2,137.4
1660227,51.2,30.7,9.2,38.4,84.9
1660228,79.8,54.1,6.8,41.9,110.1
1660229,138.0,57.5,5.1,45.9,54.7
1660230,104.0,29.1,4.4,15.9,92.2
1660231,64.1,26.2,8.3,43.5,25.8
1660232,99.5,43.4,6.9,26.1,143.0
1660233,122.9,39.7,7.4,38.8,31.4
1660234,92.0,17.4,5.4,34.5,131.3
1660235,62.9,50.6,5.9,53.9,77.7
1660236,103.1,32.5,5.8,62.2,111.7
1660237,63.5,40.8,5.7,22.9,112.3
1660238,80.5,59.5,9.5,36.7,110.6
1660239,111.5,47.1,3.5,49.6,80.3
1660240,128.7,43.4,7.2,51.4,101.1
1660241,68.5,42.8,4.0,52.3,73.7
1660242,106.7,20.7,6.7,16.5,91.3
1660243,98.5,52.5,7.8,40.8,115.2
1660244,86.4,40.4,7.3,51.2,99.0
1660245,116.3,34.8,7.5,38.7,100.0
1660246,118.1,56.9,8.2,39.6,86.2
1660247,109.9,49.5,9.5,55.7,80.0
1660248,63.7,42.7,8.6,45.3,81.5
1660249,106.5,46.4,7.5,48.2,70.8
1660250,145.1,41.6,6.9,72.2,93.6
1660251,64.0,67.9,5.4,78.2,84.9
1660252,118.4,28.0,9.2,41.3,139.3
1660253,151.2,39.9,7.8,60.5,82.2
1660254,66.2,72.1,6.5,67.1,122.6
1660255,102.7,44.7,8.0,45.7,124.9
1660256,102.8,48.9,7.6,36.6,108.9
1660257,90.6,40.8,7.6,35.3,131.9
1660258,111.7,23.0,3.9,31.9,105.0
1660259,80.8,47.6,3.7,48.5,125.5
1660260,120.3,21.8,7.0,52.6,144.9
1660261,84.7,43.1,7.7,60.1,96.4
1660262,101.7,41.1,10.0,29.5,125.9
1660263,101.8,78.6,8.4,34.0,60.4
1660264,95.4,77.9,6.8,32.2,99.9
1660265,137.7,0.0,7.8,46.0,70.8
1660266,136.3,59.8,9.1,12.1,24.8
1660267,52.3,48.4,7.7,57.0,97.1
1660268,92.7,19.3,9.5,58.0,116.4
1660269,115.5,32.3,8.6,55.3,70.3
1660270,97.1,28.5,8.5,53.6,90.8
1660271,83.3,15.8,5.5,43.6,134.7
1660272,76.1,63.3,10.0,58.0,69.8
1660273,110.9,41.2,4.5,40.7,104.6
1660274,126.4,37.0,7.3,39.0,122.1
1660275,84.6,34.3,8.1,42.9,127.2
1660276,62.7,55.2,4.5,46.5,103.3
1660277,84.2,37.8,8.7,23.8,140.0
1660278,101.3,77.2,7.8,30.4,139.6
1660279,125.8,50.9,7.2,59.0,137.4
1660280,122.6,45.6,8.1,49.3,64.7
1660281,119.6,48.8,5.0,53.9,81.6
1660282,58.8,67.3,5.2,63.4,79.2
1660283,109.6,42.7,8.1,50.9,102.6
1660284,114.2,13.3,7.6,51.3,93.1
1660285,73.0,19.9,5.2,34.9,99.7
1660286,90.8,44.0,9.0,67.6,69.1
1660287,84.4,43.6,8.2,38.7,140.5
1660288,100.2,25.1,8.3,56.3,106.0
1660289,91.3,38.1,7.0,31.1,109.0
1660290,107.9,45.9,9.2,36.2,119.1
1660291,79.2,68.3,9.3,51.5,78.3
1660292,114.3,60.9,5.6,55.0,81.9
1660293,68.3,68.9,8.6,65.1,52.6
1660294,123.6,48.1,7.2,34.8,104.0
1660295,132.6,63.8,8.0,55.7,78.3
1660296,86.4,51.9,6.1,20.0,114.9
1660297,101.9,54.1,6.2,44.8,117.4
1660298,98.5,31.6,6.9,49.9,134.4
1660299,105.7,,7.5,65.3,132.7
1660300,123.9,41.9,4.5,43.4,102.9
1660301,108.1,53.9,9.6,13.4,97.3
1660302,60.3,36.4,7.7,30.4,136.0
1660303,112.4,53.8,6.8,32.1,98.0
1660304,72.5,33.6,7.8,20.4,98.1
1660305,100.3,69.4,4.5,60.0,90.4
1660306,164.1,34.2,7.1,54.3,80.4
1660307,96.4,51.2,7.9,68.6,116.0
1660308,84.3,29.0,7.1,9.8,137.1
1660309,82.0,25.4,6.6,35.1,158.4
1660310,102.7,46.1,6.3,57.8,112.1
1660311,124.9,32.0,6.1,2.6,91.4
1660312,98.3,39.9,9.7,41.5,104.1
1660313,106.1,53.9,10.0,38.6,92.8
1660314,115.9,29.7,5.9,42.5,94.2
1660315,57.4,56.3,8.5,44.0,94.3
1660316,89.4,30.8,7.6,53.4,98.6
1660317,113.5,38.2,7.4,47.3,75.2
1660318,97.1,31.3,8.5,71.7,104.8
1660319,131.4,66.1,6.2,32.6,78.7
1660320,83.0,41.1,6.8,49.4,109.9
1660321,125.9,56.6,7.3,61.8,70.2
1660322,86.7,43.2,6.0,54.8,94.4
1660323,85.4,32.0,5.7,31.5,102.8
1660324,69.4,62.1,7.1,35.8,46.1
1660325,97.9,40.8,9.9,37.7,76.9
1660326,73.3,42.5,7.9,36.0,34.3
1660327,43.6,52.7,7.1,34.4,97.3
1660328,89.8,39.8,6.3,47.5,150.5
1660329,82.7,42.9,6.7,50.7,160.1
1660330,93.4,27.9,7.7,40.3,107.0
1660331,106.0,58.0,7.5,53.7,131.4
1660332,109.5,46.1,7.6,37.4,47.9
1660333,92.9,30.0,6.8,61.6,95.8
1660334,140.3,43.0,5.8,79.0,88.6
1660335,103.5,63.6,6.8,22.5,130.2
1660336,110.1,73.3,7.5,61.4,134.7
1660337,110.5,25.0,7.9,54.0,129.0
1660338,108.1,48.9,7.5,28.9,61.2
1660339,96.6,59.6,8.0,44.1,73.1
1660340,114.9,73.8,4.8,75.1,91.9
1660341,91.3,74.5,8.6,27.8,72.6
1660342,150.6,53.0,7.0,56.6,138.5
1660343,75.4,64.6,7.2,51.6,82.0
1660344,75.4,26.4,6.3,33.9,91.4
1660345,98.6,60.8,7.1,33.9,108.5
1660346,114.7,41.3,5.3,23.1,61.5
1660347,47.0,55.7,3.8,32.5,111.4
1660348,93.0,59.6,9.5,54.1,91.6
1660349,98.7,48.4,7.9,51.4,128.6
1660350,82.0,61.9,7.0,70.3,104.9
1660351,112.3,29.0,6.8,33.4,85.6
1660352,113.4,49.4,7.6,42.4,78.8
1660353,137.5,42.9,5.7,59.0,96.8
1660354,81.1,,9.4,34.3,148.4
1660355,129.9,66.9,6.5,42.4,105.7
1660356,66.4,25.9,5.5,50.8,90.6
1660357,139.6,50.8,6.2,49.6,108.7
1660358,107.3,44.0,7.9,61.6,94.9
1660359,97.9,49.6,6.1,30.7,147.9
1660360,105.1,27.9,6.9,42.1,124.0
1660361,99.0,34.5,6.2,66.1,94.6
1660362,74.4,35.6,6.7,29.8,71.7
1660363,152.2,49.8,10.0,37.6,108.4
1660364,68.6,73.1,7.9,64.0,117.7
1660365,106.3,65.8,7.4,48.2,94.5
1660366,52.4,26.6,7.8,43.1,67.1
1660367,84.2,41.8,5.0,42.2,83.7
1660368,93.7,,6.9,45.9,58.1
1660369,147.4,52.9,7.8,26.2,127.8
1660370,93.9,27.4,10.0,12.3,131.3
1660371,112.7,47.1,7.5,37.4,100.1
1660372,42.1,46.5,7.3,36.7,114.8
1660373,98.2,42.2,6.9,36.5,81.0
1660374,78.2,41.6,7.8,75.9,73.2
1660375,99.0,37.5,7.3,71.6,113.8
1660376,113.4,42.4,8.2,45.2,119.1
1660377,34.5,,8.0,29.9,105.5
1660378,127.3,36.3,5.3,29.6,84.9
1660379,70.5,19.4,7.0,71.0,114.5
1660380,106.8,54.7,8.1,29.6,176.9
1660381,100.9,29.6,5.3,53.9,135.9
1660382,151.4,55.9,6.6,50.1,133.8
1660383,87.1,38.6,6.1,14.4,116.1
1660384,85.9,47.9,7.8,40.9,89.7
1660385,108.7,61.1,9.5,51.8,127.7
1660386,131.1,65.6,7.0,34.6,88.5
1660387,102.7,43.7,6.9,40.3,97.0
1660388,74.0,52.9,4.4,26.5,94.8
1660389,96.7,35.1,9.3,42.1,82.9
1660390,88.8,32.5,7.8,61.1,117.9
1660391,109.9,38.6,7.6,32.9,152.1
1660392,101.2,52.5,9.0,51.7,104.7
1660393,137.5,26.9,7.0,49.3,83.5
1660394,109.5,26.2,7.7,59.7,90.8
1660395,97.5,63.8,9.9,40.0,122.6
1660396,99.9,12.5,8.6,61.4,60.2
1660397,110.7,32.2,9.2,51.5,108.2
1660398,128.5,47.5,5.6,70.0,75.7
1660399,65.3,40.0,8.7,42.6,112.8
1660400,66.0,61.1,8.1,39.5,87.2
1660401,145.0,72.3,4.8,40.3,134.5
1660402,115.3,15.4,7.3,39.8,108.3
1660403,109.6,38.3,6.3,46.7,86.9
1660404,90.3,40.0,6.1,58.2,92.6
1660405,105.4,36.7,8.0,34.6,89.4
1660406,93.4,42.8,6.3,27.0,93.1
1660407,119.1,24.2,6.1,46.9,130.0
1660408,94.3,76.6,5.5,66.5,131.6
1660409,94.9,54.7,6.4,54.3,103.1
1660410,136.3,57.2,9.2,78.5,102.6
1660411,111.7,34.4,5.6,83.6,97.8
1660412,136.6,40.2,9.4,41.1,138.4
1660413,132.2,58.0,6.5,46.7,81.9
1660414,138.9,39.8,4.9,79.4,125.4
1660415,83.3,36.6,4.6,53.2,107.2
1660416,87.8,14.5,7.4,55.1,81.5
1660417,100.7,73.7,5.5,36.4,108.1
1660418,93.4,32.5,7.9,44.5,82.5
1660419,67.4,37.0,7.4,65.1,79.6
1660420,79.4,58.2,5.0,39.7,110.4
1660421,68.3,71.0,8.1,62.2,135.2
1660422,76.2,49.1,5.7,29.0,108.5
1660423,122.5,54.9,8.0,34.6,50.0
1660424,79.5,29.7,5.6,26.4,110.7
1660425,129.7,35.3,7.3,47.7,118.7
1660426,119.4,47.9,7.7,28.6,102.9
1660427,82.7,54.3,6.4,29.3,127.5
1660428,141.7,56.9,5.0,68.7,60.3
1660429,117.8,26.2,4.4,36.3,66.7
1660430,79.2,24.6,6.1,25.6,90.2
1660431,77.8,20.5,6.3,39.8,129.9
1660432,85.7,37.3,10.0,35.2,85.7
1660433,95.7,40.8,8.1,68.3,104.9
1660434,85.3,59.0,8.3,60.7,66.4
1660435,114.5,46.9,10.0,47.5,87.8
1660436,129.7,51.9,6.6,43.2,136.9
1660437,51.6,33.9,4.5,51.9,136.8
1660438,130.4,35.5,7.4,42.7,57.1
1660439,90.9,43.3,7.6,55.4,113.7
1660440,52.7,48.9,8.1,39.2,134.7
1660441,112.9,54.4,5.9,59.0,133.8
1660442,108.4,35.9,10.0,61.8,120.8
1660443,71.6,37.7,6.6,47.0,108.1
1660444,126.2,30.9,6.5,38.9,128.2
1660445,112.7,33.2,6.9,35.1,92.3
1660446,86.1,29.2,6.6,12.7,137.3
1660447,103.8,51.5,8.1,48.9,74.9
1660448,79.9,31.9,6.9,50.6,131.4
1660449,77.1,40.8,9.6,61.3,104.4
1660450,81.8,12.9,5.4,32.4,125.5
1660451,68.7,29.1,7.5,37.5,101.6
1660452,119.4,42.5,7.4,32.2,126.6
1660453,85.5,62.1,5.4,19.9,121.6
1660454,89.3,62.8,7.0,49.6,115.3
1660455,123.4,47.0,8.0,49.0,76.2
1660456,70.3,47.8,5.7,43.2,112.7
1660457,95.4,27.2,7.3,16.5,61.3
1660458,96.4,51.2,8.6,45.4,100.3
1660459,114.6,50.5,9.6,38.3,107.7
1660460,87.4,27.9,6.5,50.1,101.2
1660461,88.5,8.7,9.5,48.3,101.4
1660462,112.0,70.7,7.4,37.2,110.7
1660463,84.9,29.0,6.8,64.3,71.4
1660464,133.6,46.7,6.0,76.3,103.6
1660465,110.3,60.0,6.9,61.1,116.2
1660466,122.3,54.7,5.9,41.5,60.7
1660467,106.8,66.6,5.5,27.8,104.7
1660468,74.4,55.7,8.2,43.5,93.0
1660469,113.6,36.7,7.5,55.6,156.7
1660470,84.4,85.7,6.5,65.8,84.7
1660471,97.4,57.8,6.7,43.1,120.4
1660472,61.8,79.4,5.4,51.3,104.8
1660473,78.5,66.3,7.0,36.8,82.5
1660474,128.9,48.8,4.7,56.1,67.0
1660475,90.9,33.9,10.0,0.0,84.4
1660476,96.5,36.7,6.1,59.0,94.8
1660477,122.0,34.7,8.9,52.2,58.8
1660478,90.6,29.9,6.2,69.6,96.7
1660479,111.6,39.8,7.7,47.9,111.6
1660480,106.2,60.5,7.7,67.3,98.0
1660481,56.5,53.4,7.7,52.1,105.5
1660482,97.3,42.8,5.6,65.7,118.2
1660483,47.3,43.0,7.6,51.1,115.6
1660484,84.6,45.8,6.4,24.4,110.3
1660485,89.7,52.8,7.6,38.7,98.6
1660486,102.3,67.1,9.7,35.5,70.5
1660487,68.9,40.1,5.8,49.8,66.9
1660488,77.3,51.1,5.1,38.9,90.9
1660489,139.6,51.5,8.4,35.5,95.0
1660490,95.7,37.6,9.6,64.0,67.6
1660491,156.7,59.5,5.9,48.5,97.4
1660492,113.5,49.5,6.8,59.1,76.6
1660493,103.1,36.5,6.8,44.9,105.9
1660494,111.2,84.2,7.6,27.4,111.3
1660495,115.1,39.6,4.5,39.1,70.5
1660496,80.0,46.5,7.6,43.4,90.5
1660497,110.8,24.7,9.5,53.3,65.0
1660498,61.7,28.5,5.1,51.0,103.3
1660499,89.3,46.7,6.0,33.6,118.6
1660500,126.9,59.0,9.1,49.5,118.8
1660501,91.7,32.2,6.3,21.5,113.8
1660502,89.2,56.9,4.8,52.9,99.3
1660503,89.4,67.4,4.1,43.3,56.9
1660504,123.1,46.5,8.0,38.2,68.1
1660505,112.9,36.8,9.2,45.2,121.5
1660506,118.5,32.9,8.1,31.4,92.7
1660507,71.1,53.8,4.8,38.8,81.0
1660508,99.6,43.4,5.5,32.8,112.9
1660509,120.8,75.5,7.4,57.5,91.1
1660510,119.7,49.4,7.2,45.5,142.9
1660511,114.1,35.2,7.6,46.5,116.6
1660512,86.0,46.6,8.5,11.4,86.3
1660513,95.8,40.2,9.6,26.1,65.2
1660514,138.0,22.9,6.8,48.6,68.4
1660515,122.6,50.5,7.4,31.6,88.9
1660516,85.6,34.5,7.3,52.2,95.5
1660517,104.7,56.5,8.8,40.3,57.4
1660518,98.7,51.7,7.5,31.7,109.4
1660519,121.9,52.4,6.3,47.2,129.3
1660520,97.4,35.4,7.2,57.6,140.5
1660521,99.0,39.2,4.8,32.4,72.9
1660522,119.2,43.9,7.6,19.9,160.0
1660523,52.6,18.6,6.7,31.9,117.2
1660524,66.5,79.4,6.6,36.5,117.1
1660525,102.3,37.9,10.0,47.4,134.8
1660526,77.0,52.0,7.9,45.7,69.2
1660527,128.6,45.6,7.7,48.6,90.5
1660528,107.4,37.4,8.2,43.7,107.0
1660529,119.8,48.5,6.4,48.1,80.0
1660530,87.7,42.7,7.8,40.5,115.0
1660531,121.5,19.3,5.9,69.7,104.9
1660532,111.0,,6.1,42.6,80.4
1660533,36.9,44.6,6.9,25.1,59.3
1660534,67.3,55.0,8.5,38.1,121.2
1660535,101.1,46.7,6.8,23.5,105.7
1660536,74.8,48.2,9.0,63.2,78.9
1660537,79.0,26.4,4.9,34.7,131.4
1660538,100.9,30.2,5.3,47.7,73.4
1660539,71.5,58.1,8.7,49.0,57.3
1660540,107.2,51.4,7.1,53.3,68.9
1660541,118.9,50.7,6.6,44.3,126.0
1660542,44.8,60.7,8.5,26.6,77.8
1660543,123.6,43.6,7.1,62.0,81.4
1660544,56.0,28.0,6.5,58.9,96.3
1660545,94.3,38.8,7.7,37.9,79.1
1660546,147.4,59.9,9.7,57.6,87.5
1660547,157.6,41.4,9.2,58.0,88.6
1660548,88.5,45.6,6.6,24.7,98.5
1660549,124.4,31.6,8.5,30.9,86.1
1660550,89.9,42.0,8.3,25.0,61.7
1660551,100.9,66.2,8.5,27.0,119.6
1660552,113.3,36.0,8.1,69.7,84.0
1660553,97.2,60.5,6.5,33.8,69.0
1660554,100.2,38.4,7.4,31.3,76.1
1660555,100.5,15.9,5.9,42.6,79.7
1660556,136.6,69.7,6.5,28.5,126.8
1660557,81.6,52.1,6.5,9.8,91.6
1660558,126.0,41.4,7.5,37.8,89.7
1660559,98.0,36.2,6.1,29.3,82.8
1660560,87.6,40.4,9.5,64.0,131.0
1660561,134.1,38.7,6.8,48.0,75.2
1660562,125.5,57.5,6.0,48.7,128.9
1660563,87.8,,7.8,36.5,111.7
1660564,102.6,27.9,8.5,35.5,33.5
1660565,111.1,22.3,5.9,31.2,64.6
1660566,107.5,40.3,7.1,37.5,91.0
1660567,120.2,62.0,8.1,47.1,86.8
1660568,98.3,42.1,4.9,60.4,149.5
1660569,133.8,58.1,7.1,33.8,53.5
1660570,82.4,83.1,7.9,51.1,119.0
1660571,99.6,50.5,10.0,64.5,104.4
1660572,75.3,26.2,7.6,25.2,73.3
1660573,78.4,53.3,9.5,38.6,92.8
1660574,74.4,48.2,9.0,43.6,78.7
1660575,58.9,44.8,7.0,47.1,130.2
1660576,125.5,57.2,6.4,39.5,68.2
1660577,138.8,59.6,6.3,48.2,109.2
1660578,87.0,46.0,6.7,37.1,108.8
1660579,119.0,26.3,7.7,47.2,99.9
1660580,111.2,61.1,8.9,41.2,100.8
