ATMID,TransactionCount,DailyWithdrawal_K,HolidayIndex,NearbyEvents,CashShortageRisk
1040273,98.7,60.4,121.4,109.1,44.0
1040274,103.0,103.4,80.5,67.5,49.0
1040275,89.5,115.8,142.1,65.8,48.0
1040276,85.2,143.0,61.9,112.4,31.0
1040277,91.3,106.6,110.8,59.3,56.0
1040278,121.4,120.0,105.0,93.7,18.0
1040279,47.8,87.1,115.1,123.9,43.0
1040280,81.3,112.4,151.2,117.8,53.0
1040281,106.5,124.1,124.5,86.7,32.0
1040282,108.7,109.3,98.5,127.5,34.0
1040283,62.6,106.4,138.7,94.8,12.0
1040284,102.3,64.9,119.0,93.0,45.0
1040285,77.5,84.8,86.2,105.5,39.0
1040286,105.7,88.9,78.9,103.3,57.0
1040287,167.6,83.4,94.4,132.9,60.0
1040288,89.2,110.9,103.6,80.7,49.0
1040289,41.0,139.1,106.6,113.9,50.0
1040290,110.6,,92.6,69.9,40.0
1040291,102.5,41.1,62.8,76.0,49.0
1040292,84.8,90.9,101.9,131.8,38.0
1040293,118.0,41.6,129.0,92.0,51.0
1040294,69.4,134.3,85.9,60.2,44.0
1040295,82.5,137.6,99.7,100.2,38.0
1040296,164.7,84.0,71.0,74.8,50.0
1040297,106.3,78.8,95.9,41.5,42.0
1040298,132.5,130.8,96.4,75.9,25.0
1040299,128.1,114.3,151.2,94.6,15.0
1040300,139.9,152.1,112.5,106.8,47.0
1040301,58.1,82.6,109.9,118.1,38.0
1040302,68.2,79.8,112.4,84.3,69.0
1040303,97.3,68.5,92.7,112.0,83.0
1040304,91.1,112.6,59.8,76.9,62.0
1040305,114.1,104.8,51.3,107.3,56.0
1040306,104.8,81.0,129.3,133.0,29.0
1040307,87.8,59.8,76.4,148.5,52.0
1040308,59.3,95.3,97.8,67.6,38.0
1040309,102.9,109.3,105.8,78.0,47.0
1040310,115.1,72.9,98.5,110.1,13.0
1040311,106.6,123.7,118.0,89.7,18.0
1040312,57.4,155.8,68.5,131.3,21.0
1040313,83.6,133.6,101.1,97.5,44.0
1040314,124.4,92.5,90.4,93.8,30.0
1040315,56.8,127.7,131.7,62.6,37.0
1040316,91.1,91.0,103.7,123.2,22.0
1040317,123.5,88.4,124.4,113.2,18.0
1040318,91.0,122.1,115.4,118.9,34.0
1040319,67.4,78.9,82.7,76.2,3.0
1040320,108.2,46.2,92.6,109.1,43.0
1040321,88.7,75.1,124.4,84.0,39.0
1040322,90.8,91.4,47.9,97.3,46.0
1040323,90.4,97.4,87.4,52.8,54.0
1040324,134.9,108.2,103.8,70.8,73.0
1040325,88.1,132.5,76.1,107.0,34.0
1040326,137.7,107.4,81.7,122.5,26.0
1040327,114.4,101.0,87.8,79.7,18.0
1040328,109.7,115.3,74.3,122.1,21.0
1040329,102.8,134.3,90.0,109.9,32.0
1040330,111.4,83.3,102.1,86.5,33.0
1040331,100.5,113.0,135.7,99.2,34.0
1040332,128.0,79.2,125.2,67.3,29.0
1040333,102.7,32.8,106.3,68.5,57.0
1040334,140.3,76.7,67.3,81.4,51.0
1040335,127.7,100.0,107.5,148.4,40.0
1040336,113.3,133.2,74.4,78.3,59.0
1040337,111.9,79.9,80.2,103.4,41.0
1040338,135.7,92.2,113.0,96.3,33.0
1040339,102.2,82.1,101.7,81.9,30.0
1040340,105.3,103.0,85.7,113.2,56.0
1040341,53.8,77.8,98.5,104.5,26.0
1040342,106.8,101.3,95.8,65.7,4.0
1040343,107.9,128.0,130.9,99.0,28.0
1040344,63.5,68.8,105.9,143.3,49.0
1040345,145.6,142.1,100.7,59.6,30.0
1040346,104.9,95.1,136.5,92.7,32.0
1040347,75.9,133.7,118.6,80.5,34.0
1040348,85.5,67.1,112.8,88.9,65.0
1040349,67.3,112.2,114.2,111.9,35.0
1040350,138.8,138.2,64.1,70.0,38.0
1040351,156.3,74.7,61.2,99.1,52.0
1040352,104.4,38.2,80.6,85.4,16.0
1040353,66.4,97.1,118.7,134.0,13.0
1040354,88.5,89.0,92.5,73.9,26.0
1040355,121.5,94.6,100.5,126.5,27.0
1040356,108.8,78.5,88.2,89.7,74.0
1040357,103.3,112.4,106.3,123.9,26.0
1040358,129.0,121.3,121.8,131.7,37.0
1040359,70.1,92.6,33.3,136.3,54.0
1040360,101.5,76.4,105.2,88.3,43.0
1040361,105.2,98.7,115.8,121.9,45.0
1040362,82.5,84.1,77.2,160.9,9.0
1040363,96.2,102.5,113.7,144.2,57.0
1040364,115.7,122.3,89.3,117.7,21.0
1040365,102.6,132.4,67.4,52.6,39.0
1040366,113.5,147.1,105.6,81.6,33.0
1040367,115.3,97.5,97.5,115.1,44.0
1040368,101.1,120.2,90.1,85.4,35.0
1040369,96.0,93.5,126.0,143.4,24.0
1040370,131.4,101.2,73.4,92.0,59.0
1040371,91.1,87.1,65.6,81.4,44.0
1040372,78.0,75.6,111.3,109.3,52.0
1040373,106.2,78.6,156.6,87.6,20.0
1040374,105.3,72.3,123.2,43.8,55.0
1040375,59.7,74.2,85.6,139.8,36.0
1040376,105.0,84.7,90.8,137.2,47.0
1040377,119.4,106.1,91.8,87.7,41.0
1040378,123.4,109.3,96.4,58.5,33.0
1040379,87.5,114.6,67.3,78.2,46.0
1040380,102.7,114.9,73.4,112.8,27.0
1040381,121.6,93.3,140.2,102.6,31.0
1040382,75.9,133.6,105.4,116.8,49.0
1040383,124.0,133.7,126.5,118.0,45.0
1040384,78.3,101.4,91.0,111.4,58.0
1040385,41.3,104.7,116.0,67.6,45.0
1040386,143.0,122.8,106.2,88.7,46.0
1040387,86.3,109.4,117.0,124.1,41.0
1040388,125.0,69.1,101.5,131.4,22.0
1040389,124.3,80.1,81.8,78.7,43.0
1040390,78.1,103.8,114.0,89.9,34.0
1040391,136.7,102.4,64.3,74.8,23.0
1040392,100.0,108.6,98.1,83.5,40.0
1040393,62.7,57.1,103.3,137.7,64.0
1040394,79.1,135.4,139.8,98.5,44.0
1040395,100.5,79.4,103.6,140.7,30.0
1040396,84.5,112.1,56.5,91.1,21.0
1040397,99.2,95.7,86.3,125.0,37.0
1040398,88.4,57.6,95.3,108.5,42.0
1040399,60.9,156.9,119.0,101.0,39.0
1040400,133.0,127.6,137.4,120.8,26.0
1040401,103.0,162.7,50.3,69.7,17.0
1040402,133.3,86.8,87.0,125.0,57.0
1040403,110.0,110.9,93.6,56.3,37.0
1040404,80.1,65.2,132.2,75.1,42.0
1040405,105.7,117.8,63.8,130.8,13.0
1040406,124.7,140.4,101.5,104.0,14.0
1040407,83.9,102.4,51.6,123.9,53.0
1040408,96.8,142.4,116.0,95.3,39.0
1040409,99.1,111.2,94.2,118.5,27.0
1040410,105.0,72.9,123.2,111.0,27.0
1040411,70.4,105.1,131.4,81.4,20.0
1040412,64.3,90.3,100.8,132.3,32.0
1040413,104.0,123.1,77.6,136.9,72.0
1040414,89.5,104.0,89.9,120.4,35.0
1040415,114.7,86.9,37.1,91.5,45.0
1040416,74.5,,79.5,98.5,30.0
1040417,117.7,138.9,98.4,50.2,43.0
1040418,120.8,58.3,102.2,139.3,36.0
1040419,135.5,84.4,120.1,112.0,45.0
1040420,117.5,111.4,79.5,49.9,49.0
1040421,108.4,120.9,72.2,53.7,14.0
1040422,92.0,80.1,111.2,94.8,49.0
1040423,73.6,53.2,75.6,77.1,35.0
1040424,123.4,109.0,150.4,142.4,57.0
1040425,100.3,53.3,50.1,102.0,47.0
1040426,62.1,133.1,107.7,99.3,50.0
1040427,118.5,,87.5,132.1,38.0
1040428,127.3,95.0,102.8,84.4,30.0
1040429,73.2,92.2,124.0,152.2,26.0
1040430,98.0,125.0,109.2,91.7,66.0
1040431,82.3,111.7,142.0,122.7,51.0
1040432,123.8,94.6,89.4,110.9,37.0
1040433,80.5,132.9,66.7,114.8,42.0
1040434,131.9,89.9,118.9,78.9,39.0
1040435,104.4,110.3,140.6,67.4,39.0
1040436,94.3,105.7,99.5,100.0,40.0
1040437,79.0,125.0,105.0,84.2,51.0
1040438,109.6,139.1,133.6,114.3,44.0
1040439,72.4,126.4,64.8,113.3,23.0
1040440,99.7,61.3,93.5,116.6,48.0
1040441,92.2,45.3,116.8,96.6,48.0
1040442,116.6,108.2,108.3,49.6,37.0
1040443,136.3,117.5,82.1,128.3,63.0
1040444,82.1,115.4,99.8,72.4,35.0
1040445,130.5,84.2,63.6,74.9,60.0
1040446,116.1,42.7,112.7,100.2,35.0
1040447,112.9,90.9,88.6,53.6,54.0
1040448,105.4,97.6,134.9,122.7,50.0
1040449,99.7,100.3,106.3,91.6,1.0
1040450,144.8,88.3,107.8,50.8,69.0
1040451,94.8,123.2,109.5,102.2,42.0
1040452,20.9,109.3,114.5,100.5,23.0
1040453,108.4,85.6,67.2,57.9,21.0
1040454,107.7,116.1,92.5,57.0,41.0
1040455,123.6,57.2,90.1,140.2,34.0
1040456,83.5,96.4,109.9,109.8,41.0
1040457,126.9,137.2,111.2,110.8,57.0
1040458,94.9,103.9,47.3,96.6,39.0
1040459,126.3,86.0,104.6,97.7,71.0
1040460,140.1,120.5,90.0,115.7,29.0
1040461,75.6,113.3,138.7,90.3,59.0
1040462,100.9,143.9,117.4,66.5,32.0
1040463,134.3,103.1,118.9,47.1,42.0
1040464,140.7,94.9,64.7,102.2,48.0
1040465,85.2,107.9,146.9,112.7,33.0
1040466,93.6,96.7,74.0,121.2,53.0
1040467,121.4,73.9,134.1,150.3,31.0
1040468,76.8,93.3,80.8,95.6,45.0
1040469,87.4,72.0,55.6,105.0,48.0
1040470,108.6,111.6,75.0,61.7,40.0
1040471,97.5,111.2,99.1,88.6,16.0
1040472,108.8,95.4,59.1,75.3,47.0
1040473,82.2,88.9,77.4,74.3,30.0
1040474,88.0,101.0,66.7,93.3,48.0
1040475,118.4,90.3,93.2,80.4,54.0
1040476,80.4,84.2,85.1,90.7,29.0
1040477,91.7,139.4,116.4,143.5,46.0
1040478,98.5,130.2,79.3,70.3,22.0
1040479,87.0,120.9,121.0,115.6,24.0
1040480,94.8,81.5,152.1,110.8,58.0
1040481,93.3,129.4,83.3,94.1,21.0
1040482,128.3,85.9,95.5,79.4,53.0
1040483,98.2,120.1,103.7,99.1,23.0
1040484,121.8,54.8,123.7,96.1,58.0
1040485,132.8,111.1,102.3,88.0,3.0
1040486,153.2,103.4,107.4,117.8,29.0
1040487,101.0,90.7,65.0,95.9,47.0
1040488,129.8,119.9,104.5,106.9,48.0
1040489,126.6,125.0,109.3,115.2,46.0
1040490,86.1,92.2,87.1,110.5,46.0
1040491,104.1,99.9,92.1,92.3,25.0
1040492,81.0,99.3,77.4,140.3,39.0
1040493,88.4,95.4,97.1,110.1,49.0
1040494,66.8,58.1,103.0,59.7,51.0
1040495,142.1,54.6,58.3,108.8,29.0
1040496,93.6,136.0,63.2,133.4,27.0
1040497,111.6,108.0,115.3,54.8,34.0
1040498,84.3,119.6,110.1,68.1,29.0
1040499,111.1,129.2,127.0,112.8,42.0
1040500,65.9,80.3,57.1,140.1,25.0
1040501,60.9,114.0,127.3,111.7,26.0
1040502,38.6,83.6,116.8,17.6,14.0
1040503,95.2,59.1,134.3,80.2,18.0
1040504,119.9,136.3,102.2,89.4,54.0
1040505,101.6,,76.0,130.8,24.0
1040506,91.8,127.0,118.3,106.7,34.0
1040507,83.6,88.4,124.2,145.3,58.0
1040508,115.5,47.0,78.5,123.8,9.0
1040509,126.8,108.1,82.4,105.4,32.0
1040510,104.7,150.9,114.5,88.6,52.0
1040511,104.0,160.7,106.7,95.2,45.0
1040512,122.7,78.3,81.9,144.6,31.0
1040513,82.3,105.5,92.6,37.5,40.0
1040514,45.1,124.8,24.1,151.8,35.0
1040515,78.8,173.4,146.9,104.8,30.0
1040516,98.9,112.4,98.5,131.3,40.0
1040517,88.3,95.7,46.8,115.6,52.0
1040518,95.7,102.6,75.7,128.1,61.0
1040519,142.7,104.2,86.8,121.1,27.0
1040520,76.9,124.1,72.1,118.0,44.0
1040521,88.8,152.0,110.4,74.6,42.0
1040522,116.3,97.3,102.4,142.8,38.0
1040523,77.2,78.0,72.6,122.0,33.0
1040524,88.1,73.1,79.1,49.0,41.0
1040525,37.2,82.0,116.3,29.7,30.0
1040526,101.1,,144.1,114.4,41.0
1040527,112.7,98.2,85.0,95.7,55.0
1040528,124.2,66.7,88.4,131.3,30.0
1040529,130.9,108.9,145.7,96.7,29.0
1040530,103.1,90.0,104.2,100.3,36.0
1040531,128.5,83.2,89.7,117.2,37.0
1040532,95.3,136.2,48.2,129.5,49.0
1040533,137.8,113.3,112.3,108.3,27.0
1040534,98.9,91.2,95.3,115.3,49.0
1040535,104.6,57.2,113.8,98.2,43.0
1040536,146.3,141.3,70.9,119.3,28.0
1040537,84.3,66.9,115.4,141.9,62.0
1040538,85.0,96.4,110.9,38.8,40.0
1040539,95.7,139.0,131.8,118.7,34.0
1040540,75.5,100.5,94.4,80.9,50.0
1040541,94.7,114.4,92.8,138.8,48.0
1040542,67.3,65.8,99.6,106.2,63.0
1040543,115.4,82.7,146.7,72.4,49.0
1040544,80.8,110.1,141.0,31.6,55.0
1040545,115.0,79.3,83.3,89.3,50.0
1040546,115.0,87.3,96.5,122.9,28.0
1040547,99.5,58.3,64.7,83.3,36.0
1040548,113.1,78.8,114.3,83.3,43.0
1040549,120.1,90.4,112.7,112.9,13.0
1040550,42.9,107.5,38.6,82.7,33.0
1040551,78.3,87.3,81.4,86.4,39.0
1040552,105.7,122.7,136.1,87.2,25.0
1040553,139.9,47.0,95.9,115.3,45.0
1040554,52.0,121.6,106.4,157.7,56.0
1040555,154.3,125.1,81.1,132.8,40.0
1040556,88.6,113.4,106.7,132.6,59.0
1040557,46.1,119.1,83.1,98.0,50.0
1040558,68.2,106.4,120.5,141.9,51.0
1040559,69.7,121.4,55.4,59.6,51.0
1040560,78.6,115.8,64.7,132.2,57.0
1040561,60.0,131.0,76.1,80.9,43.0
1040562,109.9,93.8,88.3,126.8,70.0
1040563,91.8,76.9,95.2,80.4,48.0
1040564,131.8,107.8,97.3,104.8,50.0
1040565,92.4,82.4,68.7,115.7,40.0
1040566,94.9,80.3,121.4,126.6,43.0
1040567,92.1,123.4,103.4,122.4,30.0
1040568,114.2,134.4,97.0,134.6,49.0
1040569,125.5,90.7,97.8,95.7,42.0
1040570,118.0,65.0,114.3,99.9,69.0
1040571,59.3,103.0,71.9,126.0,22.0
1040572,137.5,48.9,110.0,73.4,29.0
1040573,99.3,102.4,95.8,70.7,77.0
1040574,114.4,101.9,103.4,98.1,38.0
1040575,99.5,129.7,82.2,94.4,46.0
1040576,124.5,156.2,117.8,50.3,39.0
1040577,102.7,93.6,134.9,95.6,37.0
1040578,117.8,111.5,109.3,124.7,51.0
1040579,74.0,92.8,118.2,112.2,47.0
1040580,108.7,127.2,110.9,118.6,52.0
