OutageID,GridSector,WeatherAnomalyIndex,MaintenanceCycle_Months,OutageDuration_Hours,CustomersAffected
890161,Sector A,3.4,6.0,8.2,3931
890162,Sector C,7.85,31.0,22.7,15000
890163,Sector C,4.81,2.0,9.4,1442
890164,Sector B,4.96,4.0,9.2,4615
890165,Sector C,3.75,2.0,8.2,1170
890166,Sector B,4.93,9.0,12.0,14452
890167,Sector A,7.24,16.0,17.2,15000
890168,Sector B,9.68,29.0,24.0,11849
890169,Sector C,9.04,11.0,19.5,15000
890170,Sector B,2.62,10.0,6.9,3272
890171,Sector D,1.32,1.0,1.7,2070
890172,Sector C,8.66,34.0,24.0,15000
890173,Sector B,7.25,4.0,13.8,6869
890174,Sector B,6.12,4.0,11.2,1574
890175,Sector A,8.49,13.0,17.7,2490
890176,Sector D,4.67,16.0,14.6,7275
890177,Sector D,3.36,31.0,13.0,15000
890178,Sector D,5.38,1.0,11.1,5643
890179,Sector B,1.94,24.0,9.4,4633
890180,Sector D,2.16,10.0,6.2,7348
890181,Sector C,6.92,16.0,15.4,15000
890182,Sector B,8.42,35.0,22.2,15000
890183,Sector C,9.87,22.0,22.7,3344
890184,Sector A,9.41,31.0,24.0,12243
890185,Sector D,0.53,24.0,6.6,1014
890186,Sector A,5.33,2.0,8.7,1302
890187,Sector C,8.33,12.0,18.5,9255
890188,Sector B,0.76,32.0,9.3,1575
890189,Sector A,2.13,27.0,11.6,14093
890190,Sector D,7.29,24.0,20.5,2991
890191,Sector C,4.85,19.0,13.5,15000
890192,Sector D,7.38,15.0,14.3,7251
890193,Sector B,7.97,2.0,13.6,15000
890194,Sector B,6.69,21.0,17.4,15000
890195,Sector C,3.28,18.0,10.9,13049
890196,Sector C,6.32,11.0,14.6,2113
890197,Sector C,3.4,34.0,13.2,6596
890198,Sector D,7.36,15.0,16.0,7893
890199,Sector A,0.55,7.0,1.1,1397
890200,Sector C,8.98,29.0,24.0,3719
890201,Sector C,6.97,24.0,19.3,2829
890202,Sector A,2.56,17.0,9.4,1280
890203,Sector D,9.79,11.0,19.9,15000
890204,Sector B,6.15,25.0,16.5,8036
890205,Sector A,7.28,31.0,24.0,3497
890206,Sector B,0.62,17.0,5.0,6038
890207,Sector D,5.05,24.0,15.9,2491
890208,Sector A,3.61,13.0,10.9,5382
890209,Sector A,7.31,28.0,19.8,9895
890210,Sector C,7.33,32.0,20.3,15000
890211,Sector B,7.54,21.0,19.8,3108
890212,Sector D,2.22,32.0,11.4,13684
890213,Sector C,0.12,29.0,7.3,1277
890214,Sector C,3.98,33.0,13.9,6659
890215,Sector A,4.58,1.0,9.2,1523
890216,Sector A,8.69,21.0,20.0,10119
890217,Sector A,0.65,18.0,7.9,9640
890218,Sector D,5.5,9.0,14.2,7122
890219,Sector D,9.25,33.0,23.8,15000
890220,Sector C,3.59,4.0,6.8,903
890221,Sector B,1.56,28.0,10.3,12311
890222,Sector A,8.22,27.0,23.3,3500
890223,Sector B,1.16,3.0,3.2,1639
890224,Sector A,8.65,13.0,18.7,9458
890225,Sector C,9.8,21.0,21.6,3397
890226,Sector D,7.21,31.0,19.8,2867
890227,Sector A,8.24,30.0,20.5,15000
890228,Sector D,4.18,33.0,16.6,2628
890229,Sector C,3.0,18.0,10.1,1587
890230,Sector D,1.94,31.0,10.5,5156
890231,Sector C,5.81,13.0,14.5,2306
890232,Sector C,5.0,33.0,18.4,9042
890233,Sector B,3.61,10.0,8.4,4391
890234,Sector C,5.47,3.0,11.2,5753
890235,Sector A,2.03,31.0,12.1,1756
890236,Sector D,8.41,14.0,18.0,15000
890237,Sector B,8.21,9.0,16.1,15000
890238,Sector B,3.06,1.0,6.1,3089
890239,Sector C,3.53,30.0,12.2,6336
890240,Sector B,2.81,26.0,12.9,1989
890241,Sector A,4.0,18.0,10.7,1706
890242,Sector D,4.09,5.0,9.3,11138
890243,Sector A,3.25,35.0,14.0,15000
890244,Sector B,5.97,10.0,13.6,15000
890245,Sector D,1.94,2.0,4.6,5504
890246,Sector C,3.4,2.0,5.9,7054
890247,Sector D,1.2,18.0,5.1,2454
890248,Sector C,4.72,7.0,10.6,5307
890249,Sector D,6.73,2.0,10.8,12988
890250,Sector B,1.44,26.0,9.1,1392
890251,Sector B,0.88,32.0,10.2,12158
890252,Sector C,7.6,16.0,17.9,8844
890253,Sector B,8.11,32.0,24.0,15000
890254,Sector A,9.99,6.0,17.6,2649
890255,Sector B,6.92,32.0,20.0,15000
890256,Sector A,2.32,11.0,8.3,1173
890257,Sector D,1.77,18.0,7.6,904
890258,Sector B,5.06,1.0,9.3,1497
890259,Sector D,2.33,1.0,4.9,2541
890260,Sector B,8.41,16.0,17.3,8691
890261,Sector D,4.82,23.0,14.9,7441
890262,Sector C,9.28,24.0,22.5,11184
890263,Sector A,4.29,25.0,15.0,15000
890264,Sector A,9.88,20.0,22.4,15000
890265,Sector A,9.27,8.0,18.2,15000
890266,Sector D,4.05,12.0,11.5,1751
890267,Sector A,3.34,23.0,12.9,1839
890268,Sector C,8.01,22.0,21.1,3034
890269,Sector C,3.71,18.0,11.9,1702
890270,Sector A,7.53,1.0,14.5,15000
890271,Sector C,2.77,32.0,13.1,6517
890272,Sector D,9.48,18.0,20.4,15000
890273,Sector D,8.67,14.0,18.6,2750
890274,Sector B,8.44,6.0,16.8,8390
890275,Sector B,6.71,1.0,12.3,1628
890276,Sector D,0.33,33.0,10.1,5259
890277,Sector B,1.39,27.0,9.7,1411
890278,Sector C,8.63,11.0,16.8,15000
890279,Sector A,5.63,30.0,15.2,2270
890280,Sector C,0.44,13.0,5.8,3006
890281,Sector C,6.73,7.0,14.1,2069
890282,Sector D,1.25,8.0,2.3,2803
890283,Sector D,8.78,25.0,21.7,10798
890284,Sector B,7.56,9.0,18.4,2739
890285,Sector D,8.01,29.0,21.5,15000
890286,Sector B,8.71,1.0,15.6,7866
890287,Sector A,9.04,6.0,18.5,2693
890288,Sector D,6.2,27.0,18.7,15000
890289,Sector C,7.2,19.0,18.4,2862
890290,Sector A,0.83,1.0,0.3,228
890291,Sector C,9.77,31.0,24.0,12109
890292,Sector C,7.06,28.0,19.4,2929
890293,Sector A,3.41,35.0,15.0,2199
890294,Sector D,3.82,32.0,14.8,15000
890295,Sector B,6.81,10.0,14.9,15000
890296,Sector B,6.44,31.0,19.2,15000
890297,Sector A,4.68,32.0,17.1,2651
890298,Sector C,9.8,30.0,24.0,15000
890299,Sector D,2.3,35.0,13.6,6768
890300,Sector A,4.46,20.0,12.9,6256
890301,Sector D,2.5,22.0,11.5,5679
890302,Sector C,3.83,29.0,15.4,2170
890303,Sector B,8.23,22.0,20.8,10309
890304,Sector C,6.55,30.0,20.7,15000
890305,Sector B,4.5,34.0,17.7,2818
890306,Sector D,3.31,8.0,7.5,3782
890307,Sector B,5.67,7.0,14.4,15000
890308,Sector A,8.41,5.0,15.5,2298
890309,Sector D,3.01,3.0,6.9,8455
890310,Sector C,8.19,24.0,20.2,15000
890311,Sector C,4.13,6.0,8.6,1269
890312,Sector C,7.18,29.0,19.1,9419
890313,Sector C,7.94,15.0,18.1,2707
890314,Sector C,4.71,34.0,16.0,2374
890315,Sector C,8.91,28.0,22.0,11083
890316,Sector C,1.74,8.0,5.2,6338
890317,Sector A,7.04,29.0,19.1,9567
890318,Sector D,9.66,18.0,21.2,10565
890319,Sector C,1.91,29.0,10.6,5234
890320,Sector D,0.79,34.0,9.7,4914
890321,Sector A,0.82,24.0,10.2,1417
890322,Sector C,5.38,29.0,16.1,2219
890323,Sector B,5.09,8.0,11.1,5684
890324,Sector D,1.79,4.0,4.7,5712
890325,Sector D,7.53,3.0,15.2,15000
890326,Sector C,0.6,9.0,4.8,5658
890327,Sector C,0.95,3.0,2.8,376
890328,Sector C,9.21,24.0,24.0,15000
890329,Sector C,0.22,27.0,6.9,8156
890330,Sector A,7.79,21.0,17.9,15000
890331,Sector B,1.02,31.0,9.1,1317
890332,Sector B,0.2,8.0,1.0,389
890333,Sector B,9.47,19.0,21.5,3290
890334,Sector C,0.78,2.0,2.5,2981
890335,Sector A,0.02,28.0,7.6,3676
890336,Sector B,4.89,20.0,13.2,6602
890337,Sector C,5.23,5.0,10.6,1417
890338,Sector B,6.64,9.0,14.0,2078
890339,Sector A,6.17,16.0,15.7,15000
890340,Sector D,9.46,5.0,20.2,15000
890341,Sector C,3.82,28.0,11.6,1908
890342,Sector D,9.42,28.0,24.0,3511
890343,Sector A,8.87,20.0,20.8,10282
890344,Sector B,6.73,34.0,21.1,15000
890345,Sector D,3.61,2.0,5.9,7129
890346,Sector C,6.71,22.0,16.0,7975
890347,Sector B,4.4,22.0,13.3,6609
890348,Sector D,0.7,33.0,9.3,4675
890349,Sector C,3.02,32.0,13.8,1966
890350,Sector C,1.73,33.0,12.0,1727
890351,Sector D,6.22,18.0,15.6,2352
890352,Sector B,5.9,2.0,10.2,12178
890353,Sector A,3.08,20.0,10.8,1632
890354,Sector C,7.78,31.0,21.3,15000
890355,Sector B,1.43,12.0,4.9,937
890356,Sector C,2.04,18.0,9.0,10729
890357,Sector A,1.39,8.0,5.0,5869
890358,Sector C,9.84,30.0,24.0,3623
890359,Sector B,5.67,22.0,14.3,7193
890360,Sector D,0.56,34.0,10.5,1624
890361,Sector D,4.77,24.0,15.2,2460
890362,Sector B,5.28,6.0,10.0,1568
890363,Sector B,1.84,33.0,10.1,12160
890364,Sector B,5.66,22.0,16.8,2605
890365,Sector A,9.12,5.0,14.5,15000
890366,Sector C,9.02,22.0,21.7,11000
890367,Sector B,8.39,2.0,16.5,2523
890368,Sector A,2.42,9.0,7.6,1083
890369,Sector A,4.04,8.0,9.3,4492
890370,Sector A,2.05,2.0,4.1,5083
890371,Sector B,7.07,8.0,13.2,1832
890372,Sector A,9.43,1.0,18.1,2649
890373,Sector C,5.05,20.0,14.6,7334
890374,Sector B,8.55,18.0,19.8,2995
890375,Sector B,9.45,15.0,21.3,10542
890376,Sector B,5.91,15.0,14.2,15000
890377,Sector A,3.78,2.0,7.9,9542
890378,Sector D,8.68,14.0,19.4,2883
890379,Sector B,5.51,16.0,14.4,2267
890380,Sector A,4.82,20.0,14.0,7004
890381,Sector B,3.95,19.0,13.7,6739
890382,Sector D,2.54,14.0,8.8,1499
890383,Sector D,7.74,2.0,13.9,15000
890384,Sector C,3.72,3.0,8.6,4212
890385,Sector D,3.09,35.0,13.6,15000
890386,Sector C,2.92,5.0,6.7,8001
890387,Sector D,8.74,32.0,23.2,3441
890388,Sector A,6.02,3.0,11.9,14299
890389,Sector D,3.85,14.0,11.6,5797
890390,Sector A,5.99,31.0,17.5,8827
890391,Sector D,6.22,23.0,17.0,8495
890392,Sector D,4.67,3.0,9.6,1572
890393,Sector C,8.83,13.0,19.2,2699
890394,Sector C,7.62,22.0,18.5,2687
890395,Sector D,8.56,31.0,21.9,15000
890396,Sector D,1.09,12.0,5.7,6857
890397,Sector A,3.57,29.0,13.1,1892
890398,Sector C,6.47,27.0,18.5,2847
890399,Sector D,0.13,18.0,4.3,638
890400,Sector A,8.08,30.0,21.4,10663
890401,Sector D,2.85,18.0,8.6,4170
890402,Sector D,9.0,27.0,21.7,15000
890403,Sector A,5.84,8.0,12.5,6309
890404,Sector A,2.68,12.0,5.7,6961
890405,Sector B,3.88,6.0,8.9,10679
890406,Sector D,8.75,6.0,17.4,8669
890407,Sector D,8.89,30.0,22.8,3447
890408,Sector A,5.02,17.0,12.6,2157
890409,Sector C,1.3,7.0,5.4,6543
890410,Sector B,5.72,22.0,15.8,15000
890411,Sector A,8.48,9.0,16.9,8544
890412,Sector D,8.98,31.0,24.0,3834
890413,Sector A,5.93,33.0,18.1,9017
890414,Sector B,8.4,18.0,21.5,10749
890415,Sector A,4.14,21.0,12.0,2022
890416,Sector A,7.08,3.0,14.2,7038
890417,Sector C,6.6,12.0,15.6,2129
890418,Sector D,2.9,13.0,9.3,1303
890419,Sector C,0.12,23.0,7.1,3472
890420,Sector A,8.8,6.0,16.4,8272
890421,Sector B,7.74,8.0,15.3,7571
890422,Sector B,0.03,29.0,7.9,1285
890423,Sector D,5.25,3.0,10.3,12213
890424,Sector B,9.88,29.0,24.0,11915
890425,Sector C,2.55,6.0,5.4,2752
890426,Sector A,1.1,24.0,8.9,4414
890427,Sector C,1.5,32.0,11.6,13909
890428,Sector B,1.46,26.0,10.0,12095
890429,Sector D,6.14,20.0,15.7,2492
890430,Sector D,1.13,13.0,5.6,2625
890431,Sector A,5.95,10.0,13.3,15000
890432,Sector A,9.85,18.0,21.5,3122
890433,Sector A,8.14,6.0,16.3,15000
890434,Sector A,9.38,21.0,22.1,15000
890435,Sector C,1.43,4.0,3.5,4175
890436,Sector C,3.75,19.0,12.0,1723
890437,Sector A,2.74,26.0,10.9,1639
890438,Sector C,1.08,11.0,4.4,2264
890439,Sector D,5.57,32.0,16.1,8198
890440,Sector B,6.01,30.0,18.6,15000
890441,Sector B,6.96,1.0,14.4,15000
890442,Sector D,7.91,9.0,17.8,2645
890443,Sector D,5.61,2.0,10.4,12476
890444,Sector C,8.19,7.0,15.9,15000
890445,Sector D,5.05,9.0,12.0,1902
890446,Sector A,3.48,8.0,10.7,1725
890447,Sector C,2.79,29.0,11.5,1768
890448,Sector C,6.54,26.0,16.5,2401
890449,Sector C,3.64,34.0,13.6,2230
890450,Sector C,2.41,,7.5,1207
890451,Sector C,2.75,25.0,11.7,14027
890452,Sector D,5.12,23.0,14.5,2114
890453,Sector C,7.58,32.0,22.2,11202
890454,Sector D,0.14,26.0,7.7,9245
890455,Sector C,2.74,8.0,5.8,6968
890456,Sector B,9.28,28.0,22.5,3366
890457,Sector D,4.59,5.0,10.7,12912
890458,Sector A,3.49,14.0,10.2,5206
890459,Sector B,2.69,15.0,8.9,1337
890460,Sector D,8.06,1.0,13.6,6753
890461,Sector A,8.66,4.0,17.0,8547
890462,Sector D,2.61,17.0,9.0,4348
890463,Sector C,7.42,19.0,18.7,2835
890464,Sector B,4.48,32.0,17.8,8930
890465,Sector A,9.14,21.0,23.2,15000
890466,Sector C,5.73,9.0,13.0,15000
890467,Sector D,2.54,,4.9,2475
890468,Sector C,0.84,24.0,7.6,1130
890469,Sector C,6.59,10.0,13.7,6886
890470,Sector B,1.35,17.0,9.2,11199
890471,Sector D,7.76,13.0,18.0,9038
890472,Sector A,2.25,34.0,12.6,1854
890473,Sector B,9.2,25.0,21.3,3163
890474,Sector C,3.61,19.0,11.8,1729
890475,Sector A,2.4,34.0,12.1,1822
890476,Sector D,0.24,22.0,4.8,2381
890477,Sector A,6.97,9.0,14.9,15000
890478,Sector A,8.25,25.0,21.4,3201
890479,Sector C,5.51,3.0,10.8,1718
890480,Sector B,2.7,29.0,11.3,13646
890481,Sector A,4.27,16.0,11.9,5850
890482,Sector B,6.62,2.0,12.2,1835
890483,Sector B,3.73,32.0,13.6,2138
890484,Sector B,8.21,8.0,16.4,8064
890485,Sector D,0.38,13.0,4.3,5131
890486,Sector A,0.27,17.0,3.6,1732
890487,Sector D,4.14,10.0,8.7,4343
890488,Sector A,1.46,5.0,2.7,1413
890489,Sector D,7.28,13.0,15.8,7812
890490,Sector C,3.67,13.0,9.9,4936
890491,Sector A,9.25,13.0,18.8,9380
890492,Sector A,7.15,1.0,13.4,6927
890493,Sector B,5.52,24.0,15.1,2250
890494,Sector D,1.25,19.0,8.8,10459
890495,Sector A,7.8,24.0,20.1,9937
890496,Sector D,6.4,24.0,18.1,15000
890497,Sector D,8.2,21.0,18.7,2798
890498,Sector B,6.52,28.0,18.6,9261
890499,Sector D,5.9,1.0,9.8,11517
890500,Sector C,9.65,3.0,17.0,8461
890501,Sector D,9.77,11.0,20.6,2969
890502,Sector B,2.37,23.0,10.5,5404
890503,Sector D,3.84,34.0,14.8,15000
890504,Sector A,4.92,4.0,10.6,5338
890505,Sector D,0.9,35.0,9.5,11309
890506,Sector D,6.82,13.0,16.5,2546
890507,Sector B,6.02,6.0,12.7,6267
890508,Sector C,7.64,19.0,19.6,9506
890509,Sector C,1.32,30.0,10.5,1607
890510,Sector D,1.23,4.0,1.6,678
890511,Sector C,7.09,18.0,16.0,8019
890512,Sector D,2.94,20.0,8.8,4300
890513,Sector A,4.96,27.0,14.6,2327
890514,Sector B,1.94,5.0,4.4,2266
890515,Sector B,5.8,33.0,19.5,3014
890516,Sector B,3.46,27.0,13.0,1923
890517,Sector B,9.87,10.0,20.3,15000
890518,Sector C,6.34,27.0,20.4,15000
890519,Sector B,6.07,15.0,14.2,2183
890520,Sector B,7.23,34.0,21.6,15000
890521,Sector B,7.17,14.0,14.7,7300
890522,Sector D,4.17,28.0,15.1,7476
890523,Sector A,0.19,10.0,3.5,4112
890524,Sector A,1.84,34.0,10.4,1615
890525,Sector C,7.84,3.0,15.8,2436
890526,Sector B,5.87,17.0,14.5,2262
890527,Sector C,3.68,11.0,9.2,1287
890528,Sector D,7.27,11.0,15.9,15000
890529,Sector B,7.55,4.0,15.0,7481
890530,Sector B,7.0,16.0,16.6,15000
890531,Sector B,0.02,33.0,8.3,4298
890532,Sector B,4.85,10.0,11.2,13435
890533,Sector B,5.12,16.0,13.5,15000
890534,Sector C,7.53,9.0,14.3,2101
890535,Sector C,8.55,29.0,21.5,10792
890536,Sector C,9.63,24.0,22.1,15000
890537,Sector B,8.71,1.0,15.5,15000
890538,Sector D,5.24,15.0,13.4,6862
890539,Sector B,1.13,3.0,2.9,412
890540,Sector B,7.42,1.0,13.2,1891
890541,Sector D,3.9,13.0,11.9,14258
890542,Sector A,4.2,2.0,8.0,1249
890543,Sector A,2.71,19.0,9.8,11789
890544,Sector A,2.45,15.0,9.4,11241
890545,Sector D,0.15,24.0,6.7,3442
890546,Sector D,8.42,2.0,14.0,6908
890547,Sector C,0.73,8.0,2.4,161
890548,Sector C,1.04,5.0,3.6,4210
890549,Sector B,9.18,33.0,24.0,3585
890550,Sector C,7.79,30.0,23.5,11705
890551,Sector B,8.29,14.0,18.0,2668
890552,Sector C,0.3,27.0,8.5,1149
890553,Sector C,1.04,27.0,11.2,13288
890554,Sector D,9.24,14.0,20.2,3167
890555,Sector D,0.12,24.0,6.7,942
890556,Sector A,4.88,30.0,13.6,15000
890557,Sector A,8.68,27.0,21.3,15000
890558,Sector B,3.54,20.0,10.8,5244
890559,Sector C,3.39,28.0,14.3,2168
890560,Sector A,0.57,6.0,4.3,681
890561,Sector D,1.76,26.0,9.9,4905
890562,Sector D,2.55,7.0,7.3,3685
890563,Sector A,5.36,7.0,12.7,1941
890564,Sector C,8.37,5.0,17.3,8730
890565,Sector D,8.71,16.0,18.5,9266
890566,Sector B,7.65,21.0,19.1,15000
890567,Sector B,8.43,27.0,22.1,3237
890568,Sector C,6.77,2.0,13.8,6806
890569,Sector A,9.88,17.0,21.0,3150
890570,Sector A,5.8,22.0,17.3,15000
890571,Sector A,2.98,14.0,9.9,4977
890572,Sector A,3.02,6.0,6.7,8212
890573,Sector B,7.24,4.0,13.0,15000
890574,Sector C,0.8,4.0,1.8,183
890575,Sector C,2.8,12.0,9.2,11109
890576,Sector B,0.44,4.0,0.6,720
890577,Sector D,0.82,14.0,5.4,939
890578,Sector C,9.36,2.0,18.4,2782
890579,Sector B,5.38,31.0,16.7,15000
890580,Sector D,0.65,5.0,4.3,5197
890581,Sector D,0.16,4.0,1.7,2217
890582,Sector D,1.65,29.0,9.0,1479
890583,Sector D,0.7,11.0,3.3,4044
890584,Sector B,7.96,2.0,15.8,2429
890585,Sector B,4.52,21.0,14.8,15000
890586,Sector A,2.26,30.0,11.7,14128
890587,Sector D,0.37,26.0,6.0,7248
890588,Sector B,6.19,12.0,13.2,6683
890589,Sector A,6.35,16.0,16.1,15000
890590,Sector B,7.23,6.0,13.7,6617
890591,Sector C,6.44,8.0,14.2,2278
890592,Sector C,0.09,15.0,3.9,467
890593,Sector A,3.81,33.0,15.7,2490
890594,Sector C,7.55,9.0,17.1,8538
890595,Sector A,3.01,32.0,15.2,7520
890596,Sector D,3.54,34.0,14.8,2201
890597,Sector B,5.61,22.0,15.3,2211
890598,Sector A,0.99,30.0,8.9,1325
890599,Sector B,9.48,23.0,23.5,11899
890600,Sector B,4.91,15.0,12.6,6212
890601,Sector D,1.55,27.0,10.9,1699
890602,Sector A,2.48,12.0,6.3,7570
890603,Sector A,4.78,25.0,15.9,7842
890604,Sector D,7.32,31.0,21.9,3290
890605,Sector C,3.26,22.0,10.0,1529
