EventID,StockQty,ActiveUsers,DiscountRate_Percent,StockoutTime_Secs,HighDemandRisk
1160116,100.7,119.8,65.9,9.5,30.9
1160117,88.2,107.4,64.6,20.5,82.5
1160118,73.9,95.6,37.8,22.0,96.4
1160119,128.3,67.1,33.9,10.0,121.2
1160120,120.8,136.0,57.4,4.8,116.5
1160121,85.7,107.6,29.0,2.0,56.5
1160122,94.8,89.3,52.7,5.7,69.6
1160123,93.4,130.2,49.1,2.5,118.8
1160124,149.2,108.9,50.9,8.3,124.6
1160125,96.7,84.9,44.9,7.1,137.8
1160126,132.9,116.7,43.7,42.3,130.2
1160127,93.9,101.3,46.4,6.5,94.6
1160128,117.7,126.0,39.3,24.9,68.3
1160129,111.6,71.1,42.7,5.6,74.6
1160130,117.4,78.5,58.3,21.9,95.9
1160131,139.3,139.9,38.6,4.7,142.6
1160132,96.2,82.3,32.9,5.6,98.1
1160133,93.9,106.1,24.0,11.9,76.9
1160134,102.6,135.9,29.3,9.0,140.9
1160135,118.6,129.2,24.4,32.4,103.4
1160136,105.3,122.9,55.0,29.2,133.3
1160137,97.9,83.2,40.3,8.3,89.7
1160138,123.9,77.3,24.8,5.8,163.3
1160139,64.0,142.9,51.6,3.6,64.7
1160140,121.8,92.0,55.0,15.9,84.0
1160141,106.2,111.9,13.7,9.8,139.9
1160142,73.4,157.0,40.1,3.2,114.6
1160143,65.8,100.8,36.0,8.8,140.3
1160144,81.5,130.0,63.4,12.6,109.9
1160145,106.8,70.6,41.6,4.6,85.5
1160146,88.1,75.1,42.6,8.4,113.0
1160147,60.1,97.5,39.0,1.0,79.2
1160148,66.1,132.7,62.3,6.0,123.7
1160149,82.5,131.4,39.0,9.0,56.0
1160150,155.5,107.1,34.6,15.6,103.2
1160151,87.5,110.9,36.0,1.0,105.5
1160152,93.2,107.5,46.6,3.7,99.3
1160153,91.8,91.4,56.7,24.9,146.8
1160154,100.5,40.3,34.7,13.4,69.2
1160155,121.4,89.2,36.8,27.1,75.7
1160156,87.1,113.7,43.9,10.2,105.4
1160157,144.8,94.5,38.0,8.9,111.1
1160158,100.1,,33.8,10.5,113.5
1160159,99.6,92.5,49.2,15.3,59.4
1160160,88.9,91.5,33.0,11.8,112.0
1160161,140.3,75.1,47.5,8.9,106.5
1160162,52.2,106.8,34.8,8.4,81.2
1160163,97.1,97.8,35.9,32.6,104.0
1160164,100.8,49.6,54.0,17.1,105.2
1160165,89.1,95.6,27.7,5.8,90.4
1160166,137.8,107.4,37.1,19.6,102.7
1160167,138.0,104.2,23.6,30.1,98.5
1160168,97.4,115.9,39.7,30.5,69.9
1160169,85.9,126.7,72.6,9.2,97.4
1160170,149.4,63.0,66.5,8.6,92.0
1160171,62.3,74.6,42.8,8.5,69.8
1160172,59.0,106.4,49.7,1.0,91.0
1160173,104.2,133.3,61.2,6.3,151.9
1160174,95.5,40.2,38.2,14.3,82.8
1160175,120.5,131.5,58.1,7.7,88.4
1160176,107.3,114.2,41.9,38.5,104.2
1160177,102.4,78.3,73.6,26.8,82.8
1160178,106.3,83.9,35.7,1.1,121.3
1160179,92.0,109.2,36.7,2.8,125.6
1160180,93.7,142.7,49.3,20.0,116.4
1160181,102.2,92.4,49.0,38.1,124.4
1160182,48.8,101.5,56.2,3.8,90.2
1160183,87.4,76.1,64.5,25.5,66.6
1160184,87.0,98.6,29.2,5.2,165.2
1160185,84.8,65.9,76.8,1.6,121.8
1160186,61.0,116.7,69.7,33.7,102.0
1160187,102.9,59.1,59.0,47.4,85.0
1160188,97.7,132.4,41.2,43.5,94.4
1160189,133.8,141.9,60.6,32.6,69.2
1160190,30.3,122.5,64.5,57.6,56.3
1160191,77.2,94.5,55.5,42.4,62.7
1160192,108.4,146.6,53.8,1.0,46.9
1160193,87.6,107.1,59.2,1.0,103.7
1160194,119.6,98.0,29.0,5.7,122.5
1160195,109.3,117.0,35.5,70.1,104.5
1160196,128.3,62.8,50.5,3.7,72.4
1160197,109.7,40.6,13.2,28.9,130.1
1160198,122.5,107.3,63.4,22.7,78.8
1160199,100.5,131.5,43.7,30.9,117.6
1160200,115.4,142.2,39.0,5.2,117.5
1160201,57.9,129.7,53.2,23.6,128.8
1160202,62.7,116.7,79.0,33.2,140.9
1160203,96.4,78.1,45.3,13.0,80.8
1160204,63.3,127.2,42.8,49.9,116.0
1160205,112.7,108.1,6.7,1.2,161.9
1160206,99.4,95.2,41.3,33.1,109.8
1160207,124.9,93.2,39.7,10.8,103.4
1160208,152.2,159.5,68.9,5.7,105.2
1160209,72.2,91.9,22.2,27.0,137.1
1160210,73.9,104.3,45.4,51.5,115.9
1160211,107.6,86.6,47.9,5.0,153.9
1160212,93.0,102.7,49.1,34.4,96.9
1160213,65.0,94.7,50.3,27.1,136.9
1160214,91.3,107.9,46.1,7.8,73.1
1160215,112.8,98.6,63.0,1.0,89.1
1160216,58.4,89.2,47.7,6.6,79.9
1160217,99.2,113.9,16.5,17.9,117.2
1160218,100.6,100.5,30.8,26.3,70.2
1160219,87.2,114.8,47.3,17.1,73.0
1160220,79.8,123.1,52.1,6.4,99.3
1160221,122.6,101.2,59.7,4.5,71.5
1160222,122.0,115.2,2.1,10.2,68.1
1160223,44.9,155.7,37.8,2.9,74.8
1160224,108.6,79.0,5.7,2.7,97.2
1160225,95.7,85.7,39.5,7.9,44.4
1160226,108.9,51.3,8.8,9.3,120.0
1160227,70.3,93.1,19.9,14.8,58.2
1160228,132.1,142.8,48.9,11.8,102.1
1160229,138.5,49.9,63.3,20.1,75.6
1160230,123.8,138.7,51.0,42.7,117.8
1160231,88.6,131.8,49.8,15.5,120.0
1160232,85.1,112.8,87.7,31.7,37.1
1160233,131.5,72.4,38.1,3.8,106.4
1160234,77.4,68.7,47.9,8.5,83.2
1160235,132.5,80.2,54.1,1.9,70.7
1160236,86.0,123.9,64.4,18.3,114.6
1160237,129.8,114.5,57.6,3.8,114.8
1160238,113.0,112.2,55.7,9.3,98.2
1160239,112.3,102.2,65.1,7.2,133.1
1160240,121.9,99.1,56.5,1.1,140.3
1160241,67.5,87.2,50.9,27.7,116.1
1160242,84.3,124.5,44.8,2.6,126.5
1160243,104.9,76.5,54.7,36.3,90.6
1160244,142.7,107.6,13.0,2.5,100.7
1160245,80.3,68.8,39.7,5.6,135.7
1160246,121.8,108.8,32.9,45.0,79.4
1160247,127.4,106.1,63.6,21.9,78.3
1160248,146.8,138.4,53.6,2.4,111.7
1160249,89.2,81.8,12.1,15.0,159.7
1160250,107.7,28.8,24.0,13.6,75.7
1160251,132.0,116.4,61.5,11.2,76.1
1160252,102.7,,52.3,18.3,101.2
1160253,160.9,89.8,52.4,9.4,122.4
1160254,118.3,112.7,35.8,33.6,78.9
1160255,90.1,141.0,35.2,37.8,140.1
1160256,87.8,114.2,35.6,5.9,53.7
1160257,123.7,107.3,39.1,16.6,145.5
1160258,76.2,98.4,77.1,1.7,76.4
1160259,104.8,59.4,67.8,6.2,113.3
1160260,116.7,83.5,33.9,1.4,110.6
1160261,71.7,102.8,43.6,15.7,99.7
1160262,86.0,67.0,11.7,1.0,95.7
1160263,111.2,138.2,37.9,50.6,66.9
1160264,79.0,96.5,46.6,26.1,96.1
1160265,98.5,,39.0,5.4,86.4
1160266,132.4,77.6,40.5,13.2,116.2
1160267,75.5,61.9,26.6,2.0,83.8
1160268,102.1,21.4,38.2,17.7,135.9
1160269,79.0,108.1,37.8,18.5,103.2
1160270,96.5,107.9,59.2,13.6,73.1
1160271,68.0,67.9,25.9,17.8,68.5
1160272,118.7,,60.0,1.4,85.9
1160273,59.1,123.0,48.0,1.0,127.5
1160274,63.4,129.3,65.1,8.0,96.9
1160275,127.1,102.2,35.7,5.3,61.1
1160276,104.5,87.3,24.7,4.3,110.6
1160277,67.1,111.7,46.0,3.4,102.0
1160278,105.7,101.0,33.8,5.4,112.4
1160279,64.2,75.1,50.1,7.9,100.0
1160280,96.5,103.7,54.7,2.7,94.6
1160281,78.5,112.4,60.4,4.4,108.7
1160282,89.6,77.1,26.9,16.5,95.5
1160283,112.6,124.5,32.0,10.1,143.4
1160284,111.0,118.7,63.6,2.6,121.0
1160285,134.2,109.3,23.6,2.4,78.7
1160286,76.9,119.2,40.7,23.5,175.6
1160287,135.3,132.8,61.8,9.1,97.0
1160288,111.5,69.0,32.3,15.3,141.0
1160289,84.3,93.5,26.1,3.4,139.5
1160290,96.2,109.9,53.9,80.2,91.3
1160291,104.4,62.1,40.5,1.0,116.4
1160292,91.3,71.2,46.8,11.2,151.1
1160293,108.5,130.4,54.6,4.6,105.0
1160294,85.5,133.4,59.4,7.9,131.6
1160295,95.4,91.8,52.1,3.8,79.8
1160296,53.6,98.5,22.8,6.9,112.7
1160297,113.2,105.6,27.3,16.6,94.3
1160298,140.1,132.5,71.6,28.2,66.7
1160299,96.6,119.1,43.0,25.3,62.8
1160300,80.0,47.8,21.9,18.7,121.9
1160301,86.2,78.6,8.2,16.1,90.7
1160302,191.9,83.6,28.1,7.4,67.9
1160303,81.5,131.2,17.9,14.2,107.6
1160304,123.9,111.2,67.6,1.0,110.9
1160305,158.8,89.1,53.3,1.0,98.2
1160306,87.0,98.2,61.0,15.8,105.8
1160307,56.5,68.2,62.9,4.5,119.3
1160308,95.7,136.3,67.8,45.3,96.1
1160309,73.7,130.9,34.5,10.5,131.2
1160310,49.4,42.7,46.8,34.7,104.5
1160311,108.3,78.8,65.1,26.7,94.8
1160312,71.9,103.5,27.6,1.0,131.4
1160313,91.7,55.7,60.1,30.7,108.1
1160314,108.2,55.7,40.0,1.0,89.1
1160315,61.0,92.3,47.9,37.0,88.5
1160316,75.2,91.7,48.2,6.3,100.4
1160317,110.5,69.6,33.2,1.0,116.1
1160318,107.7,64.3,62.5,1.0,63.6
1160319,111.6,137.9,56.1,38.5,146.9
1160320,85.0,48.0,32.5,21.1,123.3
1160321,87.0,111.5,54.6,12.6,59.6
1160322,100.7,,28.7,8.7,114.0
1160323,102.6,116.3,43.0,2.9,83.1
1160324,85.2,98.7,77.5,1.0,58.4
1160325,94.4,75.7,73.8,9.7,109.6
1160326,37.8,99.3,58.7,101.5,116.5
1160327,131.0,164.0,36.5,47.9,90.9
1160328,103.7,117.5,30.5,1.8,110.8
1160329,134.9,92.8,19.0,24.1,156.9
1160330,67.6,89.0,63.1,1.0,127.5
1160331,75.6,90.3,59.2,31.6,112.7
1160332,129.1,99.1,65.7,1.0,88.4
1160333,125.4,79.6,9.7,8.7,109.7
1160334,136.0,146.5,44.3,1.0,119.1
1160335,100.6,67.4,62.9,3.3,95.2
1160336,85.4,57.5,56.3,24.5,90.9
1160337,65.1,114.3,51.2,1.0,70.4
1160338,93.0,41.0,43.2,1.0,76.1
1160339,85.3,106.8,41.5,5.9,85.4
1160340,73.9,94.1,74.2,22.0,91.7
1160341,86.9,100.0,29.2,31.9,110.9
1160342,80.4,140.3,28.2,15.1,118.5
1160343,55.8,125.0,39.3,6.0,148.0
1160344,23.0,107.8,38.5,65.1,108.8
1160345,26.4,106.1,37.2,5.9,108.7
1160346,122.6,145.0,27.3,49.8,71.8
1160347,132.6,92.3,41.8,15.8,129.4
1160348,88.2,89.7,50.3,9.7,107.2
1160349,104.3,110.0,77.8,1.0,63.8
1160350,88.5,106.9,57.6,11.9,115.9
1160351,92.0,120.7,46.3,31.1,87.7
1160352,97.2,100.0,63.3,3.4,108.4
1160353,96.2,138.1,67.8,7.0,52.5
1160354,108.4,123.9,51.7,2.1,91.5
1160355,116.9,82.5,59.4,2.8,145.1
1160356,74.4,118.9,32.6,4.0,114.0
1160357,94.2,105.5,73.6,25.1,115.8
1160358,86.9,103.8,55.9,3.9,91.3
1160359,111.9,111.5,56.7,4.2,108.5
1160360,94.9,122.1,40.7,1.1,93.3
1160361,140.1,87.7,36.4,9.4,81.8
1160362,126.6,72.9,36.7,1.0,81.3
1160363,119.2,76.2,27.5,35.8,115.7
1160364,123.0,135.1,52.0,10.9,106.6
1160365,141.2,105.0,42.1,12.5,111.5
1160366,84.4,63.2,43.8,14.1,84.6
1160367,109.1,48.7,39.4,2.7,125.3
1160368,70.9,103.3,52.6,51.8,57.5
1160369,83.8,99.5,62.7,1.5,93.0
1160370,110.1,111.2,60.0,6.1,91.3
1160371,94.1,74.4,36.7,9.8,91.9
1160372,122.4,125.8,50.2,18.1,99.1
1160373,98.7,91.0,45.0,4.3,140.3
1160374,123.4,75.9,38.2,33.2,97.8
1160375,103.6,76.2,49.5,25.0,90.3
1160376,59.5,93.8,66.4,51.3,54.6
1160377,72.0,117.1,53.0,10.8,159.4
1160378,175.9,88.6,25.3,18.8,77.8
1160379,95.8,153.5,42.9,7.0,60.3
1160380,79.4,49.1,60.3,7.0,113.3
1160381,96.7,105.0,51.5,1.0,131.4
1160382,81.6,104.7,31.2,17.6,106.2
1160383,65.1,79.0,64.9,7.3,61.5
1160384,111.3,97.3,35.1,25.8,116.6
1160385,121.4,119.4,58.0,7.4,90.5
1160386,87.9,79.2,49.4,6.3,77.2
1160387,78.8,133.1,50.9,13.8,50.8
1160388,125.5,145.2,30.2,1.0,55.3
1160389,85.2,82.1,38.6,4.2,103.6
1160390,96.0,123.6,55.5,39.0,112.9
1160391,162.9,113.0,52.0,2.8,118.2
1160392,90.4,114.6,35.6,25.7,121.3
1160393,85.1,124.6,21.6,27.6,120.9
1160394,93.8,115.9,37.6,5.7,138.8
1160395,91.4,57.2,69.8,6.4,112.8
1160396,74.9,104.4,35.9,57.8,109.8
1160397,83.6,102.0,37.8,14.6,86.3
1160398,99.0,110.2,64.3,4.8,92.0
1160399,84.8,170.0,44.3,20.5,115.5
1160400,75.1,128.9,38.4,1.0,137.5
1160401,100.5,107.8,35.8,1.5,90.8
1160402,55.2,141.5,44.4,1.4,116.8
1160403,105.1,134.8,72.4,10.1,124.3
1160404,136.5,101.4,59.8,34.0,128.4
1160405,97.8,118.5,44.7,6.6,88.2
1160406,98.2,118.6,60.6,5.9,95.2
1160407,70.3,98.8,47.8,5.2,90.8
1160408,108.4,114.8,19.7,12.7,105.2
1160409,38.0,160.2,30.5,2.3,136.6
1160410,129.7,115.8,59.5,21.9,61.4
1160411,118.5,120.7,27.1,26.4,129.2
1160412,103.9,109.6,42.8,8.8,67.0
1160413,143.8,110.3,13.2,32.2,116.1
1160414,100.6,111.3,41.0,2.2,64.8
1160415,84.2,111.2,67.0,19.5,128.3
1160416,86.2,127.2,62.8,28.4,118.2
1160417,72.9,72.8,42.9,39.0,102.6
1160418,81.5,93.2,28.0,12.8,106.1
1160419,103.9,76.4,29.2,20.9,94.7
1160420,104.7,77.7,28.5,12.8,127.7
1160421,51.6,91.6,57.9,9.2,95.3
1160422,89.7,140.3,37.1,13.4,97.1
1160423,106.2,90.7,31.0,54.5,121.7
1160424,106.0,111.3,29.5,10.1,85.9
1160425,122.1,116.5,38.0,4.7,116.0
1160426,111.7,145.5,46.8,52.7,111.6
1160427,143.4,139.4,59.9,10.3,116.9
1160428,98.9,89.4,14.5,4.3,96.1
1160429,145.1,107.9,35.4,1.0,100.1
1160430,81.8,84.1,38.9,1.0,109.7
1160431,63.1,104.7,38.2,27.8,76.8
1160432,93.2,95.5,55.9,6.0,95.6
1160433,110.2,99.8,29.6,2.1,90.8
1160434,109.4,93.4,52.9,6.0,67.7
1160435,102.9,72.0,33.8,49.7,81.4
1160436,112.1,120.2,67.8,3.7,109.5
1160437,94.6,82.3,53.4,4.3,124.4
1160438,97.9,123.5,56.4,9.3,113.8
1160439,97.1,97.4,57.6,2.0,89.2
1160440,103.1,128.3,64.2,1.0,122.2
1160441,141.8,128.3,60.5,3.5,123.3
1160442,115.1,81.6,41.2,3.8,100.8
1160443,67.4,89.9,27.9,1.0,92.5
1160444,73.6,,38.4,24.2,122.1
1160445,96.3,79.9,14.1,2.7,96.6
1160446,91.7,79.6,62.1,4.0,105.8
1160447,102.0,137.2,51.3,3.2,134.9
1160448,101.2,101.6,56.2,18.6,69.4
1160449,48.8,96.2,33.8,35.3,116.1
1160450,116.0,92.7,50.3,14.3,117.2
1160451,132.5,57.4,56.7,2.4,120.2
1160452,119.8,138.4,64.5,17.9,136.9
1160453,87.5,109.2,35.7,7.6,105.3
1160454,115.7,81.8,48.8,15.5,104.2
1160455,66.9,114.7,47.2,6.2,102.2
1160456,106.8,144.9,58.0,5.4,100.8
1160457,120.0,138.9,66.1,1.8,121.6
1160458,93.0,140.4,35.4,30.1,101.6
1160459,69.9,63.7,34.4,22.2,114.9
1160460,83.0,58.7,35.0,45.5,111.9
1160461,66.9,115.6,31.5,3.1,90.1
1160462,127.6,98.9,34.2,14.5,37.6
1160463,104.9,98.5,48.2,12.5,86.4
1160464,137.2,53.7,24.2,1.5,105.8
1160465,75.8,104.7,41.7,1.6,105.5
1160466,95.9,83.0,47.9,4.3,69.8
1160467,112.6,104.9,55.9,11.7,91.7
1160468,109.0,81.4,44.2,12.1,56.0
1160469,96.2,73.5,27.1,5.7,148.8
1160470,128.0,79.0,22.4,3.3,99.1
1160471,102.8,106.3,52.6,1.0,112.8
1160472,91.5,,29.0,1.1,124.1
1160473,111.8,90.1,38.8,3.1,94.6
1160474,93.3,115.3,62.0,10.2,128.0
1160475,126.0,125.2,71.0,1.0,101.9
1160476,69.5,134.7,49.2,50.7,105.7
1160477,108.3,108.1,53.0,42.3,119.0
1160478,84.0,100.8,57.4,1.0,138.8
1160479,73.8,63.3,58.1,4.7,84.6
1160480,110.0,92.0,54.1,24.8,198.9
1160481,69.7,135.5,52.5,12.6,82.0
1160482,132.4,93.9,45.3,22.3,105.2
1160483,63.6,77.5,24.8,5.1,139.9
1160484,86.2,115.5,61.8,4.9,138.4
1160485,113.9,82.1,33.1,14.9,121.4
1160486,95.2,105.3,54.6,1.1,118.8
1160487,88.3,81.6,64.5,11.9,75.2
1160488,111.0,130.6,60.4,30.5,70.1
1160489,128.5,103.6,61.2,33.9,93.0
1160490,123.7,115.0,56.0,8.0,100.9
1160491,133.9,129.6,52.2,1.5,111.1
1160492,122.2,97.9,45.1,4.0,99.8
1160493,58.6,109.2,23.1,45.1,131.9
1160494,119.0,124.7,28.7,1.3,73.9
1160495,144.8,66.8,21.9,2.0,115.9
1160496,141.1,86.7,73.9,9.4,114.3
1160497,116.0,81.1,38.3,2.1,129.3
1160498,113.4,53.3,44.9,8.3,102.4
1160499,62.0,88.3,43.0,58.6,124.3
1160500,101.7,79.1,57.7,6.3,110.2
1160501,45.9,130.8,55.1,7.0,117.5
1160502,105.2,155.1,70.4,98.2,94.2
1160503,130.0,75.4,52.4,8.0,89.2
1160504,146.3,76.0,72.0,44.4,141.6
1160505,90.5,68.9,33.5,19.8,112.5
1160506,45.8,75.3,29.1,7.1,112.1
1160507,89.1,135.6,41.4,13.7,77.2
1160508,78.8,89.9,59.3,17.1,101.5
1160509,142.0,125.2,45.3,8.5,113.1
1160510,107.0,116.9,34.9,16.5,115.6
1160511,58.3,93.8,42.5,8.5,101.3
1160512,72.7,119.8,41.5,6.9,137.5
1160513,47.1,82.3,31.9,5.3,91.7
1160514,97.1,118.9,76.2,40.4,57.8
1160515,73.5,82.9,14.9,9.4,57.6
1160516,145.7,114.9,60.0,9.5,54.8
1160517,112.6,73.5,30.7,1.0,128.9
1160518,149.8,122.8,38.6,37.4,68.2
1160519,99.3,142.3,42.5,1.9,55.7
1160520,116.3,130.4,46.2,10.8,78.8
1160521,112.0,73.4,42.6,2.9,120.5
1160522,102.0,150.2,44.8,11.6,62.2
1160523,84.7,75.7,49.2,9.2,81.2
1160524,93.2,87.5,66.7,9.4,93.0
1160525,103.0,95.2,75.4,13.4,99.6
1160526,121.7,77.5,55.2,16.3,87.1
1160527,80.9,85.8,25.5,27.9,82.1
1160528,82.5,84.1,32.0,18.6,85.7
1160529,132.9,104.9,46.2,26.7,138.8
1160530,78.3,147.3,42.7,12.0,118.0
1160531,71.8,133.6,55.7,12.9,141.5
1160532,117.8,107.1,44.1,18.4,96.2
1160533,52.4,110.0,49.7,9.4,103.0
1160534,99.2,89.1,52.0,4.4,67.5
1160535,96.7,81.0,59.7,45.4,81.1
1160536,74.8,89.6,56.6,14.1,124.2
1160537,82.9,135.7,44.1,19.0,113.9
1160538,115.6,147.6,36.6,6.8,140.3
1160539,148.8,95.2,53.7,7.0,112.8
1160540,141.1,102.3,73.3,52.7,122.8
1160541,127.7,77.6,29.0,8.5,119.5
1160542,99.7,114.1,39.2,5.4,120.4
1160543,71.2,134.3,42.9,46.1,144.8
1160544,98.1,147.6,61.8,9.3,101.9
1160545,74.0,125.3,40.7,6.4,90.3
1160546,107.8,75.3,33.7,29.7,123.8
1160547,86.5,100.2,14.1,22.6,125.4
1160548,113.1,164.3,35.6,1.0,93.1
1160549,109.6,103.2,69.8,25.7,70.9
1160550,117.5,90.1,43.3,4.8,107.9
1160551,108.3,83.3,43.0,4.1,102.2
1160552,107.4,115.5,42.9,9.8,137.8
1160553,89.5,64.3,51.2,35.7,87.4
1160554,91.6,108.5,52.7,14.8,77.9
1160555,73.0,110.2,47.8,8.9,97.6
1160556,132.8,60.6,34.9,34.9,100.3
1160557,81.8,,41.4,15.2,115.6
1160558,68.1,115.8,61.1,18.1,89.2
1160559,84.8,114.1,18.1,1.0,84.1
1160560,100.4,127.7,36.9,2.1,136.8
1160561,79.5,99.2,48.1,15.9,174.6
1160562,82.5,94.1,30.2,7.6,110.4
1160563,110.2,107.6,37.3,1.6,112.3
1160564,105.2,96.7,76.7,6.8,119.3
1160565,96.2,121.5,74.5,18.1,84.7
1160566,83.6,93.6,41.4,8.6,81.8
1160567,129.8,112.9,85.5,1.0,120.6
1160568,28.1,86.6,27.2,56.0,104.1
1160569,94.2,107.7,11.6,10.7,90.8
1160570,141.0,88.2,73.4,8.8,76.6
1160571,50.2,113.8,37.0,9.0,78.0
1160572,66.6,142.0,38.7,2.5,110.8
1160573,127.0,86.6,31.1,40.9,91.9
1160574,127.3,132.8,66.5,9.1,133.5
1160575,124.6,138.8,21.3,1.0,101.0
1160576,103.0,94.0,45.2,15.1,137.3
1160577,101.2,105.1,60.2,2.5,112.1
1160578,140.9,86.9,51.8,29.2,131.7
1160579,138.1,61.2,15.5,1.0,132.0
1160580,73.2,138.1,26.6,1.0,62.7
