PlotID,SoilMoisture,FertilizerType,Temperature,Rainfall_mm,CropYield_kg
980433,86.9,None,22.4,903.5,1757.3
980434,72.9,Chemical,20.4,1662.7,2621.6
980435,42.2,Organic,28.4,642.1,1284.8
980436,34.1,Chemical,36.4,1046.8,1490.9
980437,88.1,Chemical,16.6,1665.0,2696.5
980438,81.3,Organic,12.2,1429.0,2147.6
980439,30.2,Organic,24.8,635.0,1255.1
980440,24.1,Chemical,13.9,1777.6,1974.0
980441,57.9,None,14.8,1041.6,1334.8
980442,85.0,Chemical,14.9,771.6,2053.8
980443,30.8,Chemical,22.5,909.4,1658.9
980444,72.5,Chemical,23.0,1320.6,2381.5
980445,56.6,Organic,37.1,1611.5,2105.3
980446,76.8,Chemical,31.8,1764.1,2634.5
980447,38.0,Organic,15.7,1366.4,1795.7
980448,71.0,Chemical,28.4,413.9,1526.0
980449,69.5,Chemical,35.8,422.6,1317.4
980450,84.1,Chemical,22.2,324.1,1780.1
980451,45.3,Chemical,14.1,1348.0,1903.0
980452,11.7,None,24.4,1716.9,1636.6
980453,74.6,Organic,32.3,1491.9,2262.2
980454,64.8,Organic,26.5,1422.2,2147.0
980455,26.9,None,12.3,1215.6,1054.0
980456,62.4,Organic,36.3,917.1,1542.5
980457,11.4,Chemical,17.4,684.9,1016.6
980458,89.3,None,19.4,987.2,1910.0
980459,28.2,Organic,29.6,220.2,737.4
980460,20.9,None,19.2,1159.6,1337.7
980461,41.6,Chemical,27.3,1599.0,1982.3
980462,63.5,Chemical,36.3,416.5,1332.3
980463,81.7,Organic,30.3,1212.8,2339.7
980464,73.0,Chemical,28.6,495.2,1677.3
980465,36.1,Chemical,33.5,795.7,1340.1
980466,27.0,None,30.6,702.4,791.7
980467,74.4,Organic,23.2,823.2,1819.3
980468,38.0,None,37.7,665.0,828.4
980469,32.0,Chemical,17.7,262.3,1040.7
980470,65.8,Organic,26.2,699.1,1604.0
980471,25.2,Chemical,15.0,850.8,1260.9
980472,74.9,Organic,34.3,1001.5,1968.7
980473,47.2,Chemical,27.3,1691.4,2296.8
980474,70.7,None,17.9,692.2,1024.6
980475,58.6,Chemical,30.9,746.1,1590.1
980476,74.9,None,26.3,1052.0,1672.5
980477,45.8,Organic,36.5,1277.4,1771.3
980478,37.8,Chemical,31.1,731.0,1447.2
980479,51.8,Chemical,30.0,1081.9,1922.2
980480,71.3,Organic,26.0,1075.5,2108.1
980481,64.2,Chemical,12.9,1594.1,2511.8
980482,64.5,Chemical,19.6,1580.6,2644.0
980483,16.9,Chemical,19.4,856.0,1202.0
980484,23.9,Organic,14.6,1425.8,1663.2
980485,31.5,Organic,17.0,1360.4,1446.7
980486,62.6,Organic,20.7,1411.5,2207.8
980487,33.7,Chemical,32.6,337.2,966.2
980488,41.5,None,25.2,1030.6,1223.9
980489,23.7,Organic,12.6,598.5,1087.5
980490,80.1,Chemical,12.1,1418.9,2502.0
980491,55.3,Chemical,14.8,540.0,1284.9
980492,88.3,Organic,16.4,1207.7,2158.7
980493,25.2,Chemical,27.1,736.7,1410.1
980494,86.9,Chemical,15.9,892.9,2180.1
980495,49.0,None,25.5,1406.7,1576.9
980496,65.7,Organic,15.6,359.6,1328.6
980497,34.9,Organic,18.1,1368.6,1481.3
980498,39.1,Chemical,36.2,900.7,1522.2
980499,65.1,Organic,27.7,997.8,1783.9
980500,43.7,Organic,22.4,558.8,1363.5
980501,29.5,Chemical,34.8,747.1,1519.7
980502,57.9,Organic,20.9,1156.3,1848.7
980503,73.0,Chemical,19.9,348.0,1778.0
980504,27.7,Organic,35.9,,1335.5
980505,35.9,Chemical,33.4,847.4,1417.6
980506,58.3,Organic,19.7,904.0,1711.5
980507,60.7,Chemical,37.2,832.6,1805.5
980508,44.9,None,16.9,735.0,960.1
980509,56.7,Organic,19.5,1498.3,2069.5
980510,27.1,None,28.6,302.0,500.0
980511,81.0,Chemical,12.7,757.5,1870.0
980512,76.6,Chemical,36.8,553.6,1725.9
980513,83.4,Chemical,26.3,311.5,1658.5
980514,16.8,None,19.4,720.2,709.1
980515,21.1,Organic,36.0,1308.7,1340.9
980516,17.2,Chemical,26.3,1778.5,2118.7
980517,23.6,None,22.2,1624.2,1500.8
980518,33.9,Organic,34.6,1761.3,1941.8
980519,16.9,Chemical,14.9,358.4,922.9
980520,82.2,Organic,23.7,646.3,1963.2
980521,82.5,Organic,19.1,872.1,1975.2
980522,32.1,Organic,26.5,1657.3,2117.8
980523,43.5,Chemical,31.1,770.3,1631.3
980524,63.2,Chemical,32.5,1700.0,2468.9
980525,78.6,None,12.7,1070.3,1783.6
980526,85.2,Organic,34.8,609.6,1698.9
980527,46.7,Organic,32.4,738.8,1247.1
980528,43.5,Chemical,20.4,690.2,1335.9
980529,69.6,Organic,25.3,1217.4,1960.7
980530,21.3,Organic,29.0,641.0,953.6
980531,49.9,Organic,25.2,283.6,1243.9
980532,26.1,Organic,22.9,1740.7,2073.6
980533,89.4,Chemical,27.4,510.0,2102.7
980534,88.5,Chemical,35.1,1403.9,2634.7
980535,62.4,Organic,25.1,1045.1,1954.8
980536,65.0,Chemical,14.8,1561.1,2286.7
980537,62.5,Chemical,18.0,1207.5,2176.7
980538,22.9,Organic,29.1,1441.4,1715.8
980539,71.4,Chemical,22.5,1522.1,2667.5
980540,42.2,None,26.2,483.2,879.6
980541,50.7,Organic,31.0,708.4,1493.7
980542,21.2,Chemical,35.8,563.0,972.5
980543,18.4,Chemical,21.6,529.0,1162.4
980544,32.2,Organic,36.3,959.9,1248.7
980545,78.6,Chemical,24.2,309.4,1621.9
980546,84.0,Organic,33.6,995.9,1963.0
980547,28.6,Chemical,28.2,,1607.4
980548,51.1,Organic,23.2,995.6,1746.0
980549,28.9,None,27.4,1381.4,1341.6
980550,13.7,Chemical,30.7,1460.9,1698.9
980551,64.5,Organic,21.5,1574.9,2304.8
980552,77.7,None,29.7,629.5,1555.8
980553,69.5,Organic,13.5,941.9,1786.2
980554,71.3,Organic,19.6,1748.5,2702.2
980555,22.4,Organic,12.5,898.8,1077.3
980556,13.9,Chemical,35.7,423.5,690.1
980557,24.4,Chemical,19.2,819.1,1388.7
980558,66.6,Organic,17.4,1165.9,1943.1
980559,38.5,Chemical,25.5,496.2,1411.2
980560,72.5,Chemical,13.5,1008.4,2251.3
980561,68.7,Organic,13.2,1667.1,2135.2
980562,31.4,Organic,31.7,527.4,1025.1
980563,54.0,Chemical,33.3,759.0,1732.5
980564,61.9,Organic,19.7,615.9,1378.0
980565,77.1,Organic,30.9,537.6,1520.1
980566,78.0,None,30.3,1508.4,2029.0
980567,54.5,Chemical,14.9,596.8,1565.1
980568,86.2,Chemical,19.8,1025.3,2398.2
980569,86.6,Organic,23.4,252.8,1595.8
980570,79.8,None,27.6,1134.6,1872.1
