RecordID,WorkHours_Weekly,StressLevel_Index,SleepHours,ActivityMinutes,MeditationPractice
800113,53,5.0,5.1,173,No
800114,30,3.0,8.9,79,No
800115,26,2.0,6.4,143,No
800116,74,6.0,8.5,69,No
800117,30,2.0,6.3,32,Yes
800118,28,2.0,9.1,20,No
800119,66,6.0,5.2,99,No
800120,49,5.0,8.6,45,No
800121,22,1.0,8.4,24,No
800122,44,4.0,8.7,141,No
800123,67,5.0,8.4,153,No
800124,33,3.0,7.2,146,No
800125,46,6.0,4.9,162,No
800126,31,3.0,5.2,149,No
800127,28,3.0,8.4,35,No
800128,68,7.0,5.0,13,No
800129,59,4.0,5.5,81,Yes
800130,63,5.0,7.5,145,No
800131,65,6.0,8.4,40,No
800132,29,2.0,5.7,84,Yes
800133,50,4.0,5.9,165,No
800134,33,1.0,5.5,146,Yes
800135,53,3.0,8.3,72,Yes
800136,59,5.0,5.4,2,No
800137,36,,6.0,39,Yes
800138,28,3.0,4.6,123,No
800139,16,2.0,7.5,81,No
800140,67,5.0,8.4,110,Yes
800141,23,2.0,8.3,87,No
800142,24,2.0,6.2,26,Yes
800143,58,5.0,8.2,158,No
800144,56,7.0,5.0,5,No
800145,30,2.0,7.1,155,Yes
800146,16,2.0,7.6,89,No
800147,41,3.0,8.9,84,No
800148,31,4.0,6.3,175,No
800149,50,6.0,6.0,10,No
800150,67,7.0,5.1,142,No
800151,38,3.0,6.2,30,Yes
800152,54,5.0,5.3,121,No
800153,23,1.0,9.0,158,No
800154,39,3.0,4.6,24,No
800155,18,2.0,9.1,52,No
800156,48,4.0,6.6,68,No
800157,24,3.0,8.3,42,No
800158,16,2.0,7.3,123,No
800159,66,6.0,6.5,133,No
800160,42,5.0,5.1,114,No
800161,62,3.0,8.4,124,Yes
800162,31,4.0,4.8,42,No
800163,58,6.0,6.6,24,No
800164,65,5.0,9.3,71,No
800165,70,4.0,5.7,171,Yes
800166,54,4.0,7.1,129,No
800167,27,1.0,9.4,173,Yes
800168,18,3.0,5.7,146,No
800169,15,1.0,5.2,115,Yes
800170,34,5.0,5.6,153,No
800171,26,6.0,4.6,78,No
800172,26,1.0,8.6,146,No
800173,69,7.0,6.7,105,No
800174,65,5.0,4.6,150,No
800175,66,6.0,6.8,61,No
800176,49,5.0,5.7,172,No
800177,65,7.0,7.8,162,No
800178,69,4.0,6.7,61,No
800179,19,2.0,6.0,71,No
800180,22,3.0,5.1,79,Yes
800181,54,5.0,6.5,57,No
800182,58,4.0,4.5,74,Yes
800183,40,3.0,7.3,151,No
800184,73,8.0,9.4,77,No
800185,16,1.0,5.2,120,Yes
800186,74,6.0,5.9,150,No
800187,69,6.0,5.0,175,Yes
800188,66,7.0,8.7,88,No
800189,25,4.0,4.8,109,No
800190,16,3.0,5.9,16,No
800191,62,4.0,9.2,9,Yes
800192,48,3.0,7.9,3,No
800193,32,4.0,5.0,79,No
800194,25,2.0,7.1,0,No
800195,50,3.0,6.2,67,Yes
800196,28,2.0,5.7,119,Yes
800197,57,4.0,7.3,168,Yes
800198,70,6.0,6.7,137,No
800199,48,4.0,6.9,19,No
800200,49,6.0,4.7,143,No
800201,70,7.0,7.5,160,No
800202,66,6.0,7.0,18,No
800203,32,3.0,6.8,167,Yes
800204,28,4.0,5.1,75,No
800205,33,,6.3,88,Yes
800206,56,5.0,7.6,144,No
800207,27,4.0,4.8,45,No
800208,35,4.0,7.3,144,No
800209,48,4.0,9.4,155,No
800210,29,3.0,7.5,46,No
800211,50,5.0,7.1,60,No
800212,35,2.0,7.6,179,No
800213,53,5.0,8.2,25,No
800214,74,8.0,5.1,143,No
800215,58,5.0,7.6,39,No
800216,33,2.0,6.5,169,Yes
800217,16,1.0,5.3,115,No
800218,41,4.0,8.5,88,No
800219,50,4.0,5.5,62,No
800220,15,1.0,8.8,125,No
800221,62,6.0,5.1,61,No
800222,66,3.0,8.5,113,Yes
800223,51,4.0,8.9,62,No
800224,72,6.0,8.2,173,No
800225,22,2.0,7.4,23,No
800226,70,6.0,7.7,137,Yes
800227,19,1.0,9.3,40,No
800228,67,5.0,6.8,21,Yes
800229,22,1.0,8.9,9,Yes
800230,57,2.0,7.2,138,Yes
800231,48,6.0,5.2,67,No
800232,28,1.0,8.7,9,No
800233,73,6.0,7.7,79,No
800234,69,4.0,7.3,36,Yes
800235,74,7.0,6.4,179,No
800236,17,1.0,6.9,24,Yes
800237,49,5.0,7.5,44,No
800238,59,5.0,7.0,97,No
800239,67,7.0,8.5,135,No
800240,31,3.0,9.1,12,No
800241,18,2.0,4.9,48,No
800242,25,2.0,8.5,53,No
800243,21,3.0,5.3,126,No
800244,31,3.0,8.9,106,No
800245,48,4.0,6.9,113,No
800246,63,6.0,7.2,19,No
800247,71,5.0,9.3,36,No
800248,61,5.0,7.4,113,No
800249,26,2.0,5.9,131,Yes
800250,59,6.0,6.3,47,No
800251,51,5.0,5.9,84,Yes
800252,57,5.0,5.0,101,No
800253,17,2.0,8.3,30,No
800254,65,5.0,6.5,76,No
800255,54,4.0,7.2,116,Yes
800256,24,2.0,8.6,47,No
800257,36,1.0,9.0,150,Yes
800258,24,2.0,7.9,7,No
800259,59,5.0,9.2,40,No
800260,49,4.0,8.7,28,No
800261,41,2.0,8.2,61,Yes
800262,18,2.0,6.3,173,No
800263,73,6.0,6.5,124,No
800264,36,3.0,9.4,148,No
800265,64,7.0,7.0,3,No
800266,65,5.0,5.9,127,Yes
800267,44,5.0,5.8,53,No
800268,19,2.0,8.4,166,No
800269,51,4.0,5.3,24,No
800270,18,1.0,5.6,1,No
800271,52,5.0,7.7,81,No
800272,35,3.0,7.0,50,No
800273,42,3.0,8.8,136,No
800274,56,2.0,7.0,125,Yes
800275,72,6.0,8.8,51,No
800276,59,7.0,4.8,132,No
800277,40,5.0,6.6,13,No
800278,36,4.0,7.3,117,No
800279,62,3.0,7.2,112,Yes
800280,41,2.0,7.6,29,Yes
800281,44,2.0,8.0,24,Yes
800282,46,5.0,7.7,133,No
800283,37,2.0,8.0,58,No
800284,60,5.0,7.3,93,Yes
800285,67,6.0,8.7,108,No
800286,28,3.0,4.7,38,No
800287,43,4.0,5.3,66,No
800288,55,6.0,8.9,66,No
800289,64,6.0,7.7,139,Yes
800290,59,4.0,8.1,45,Yes
800291,72,7.0,4.6,75,No
800292,31,2.0,9.1,112,No
800293,21,1.0,7.9,171,Yes
800294,25,4.0,4.8,124,No
800295,51,5.0,5.0,139,No
800296,30,3.0,8.0,122,No
800297,59,5.0,6.4,94,No
800298,59,6.0,6.4,130,No
800299,67,5.0,6.4,160,Yes
800300,52,5.0,8.4,148,No
800301,18,,5.5,99,No
800302,21,2.0,7.7,36,No
800303,53,5.0,9.0,179,No
800304,46,4.0,9.5,17,No
800305,48,5.0,5.8,145,No
800306,52,5.0,7.3,108,No
800307,53,6.0,8.7,129,No
800308,47,6.0,5.6,106,No
800309,61,3.0,9.5,44,Yes
800310,68,5.0,8.1,29,No
800311,50,3.0,8.3,55,Yes
800312,15,1.0,8.3,100,Yes
800313,30,5.0,6.0,76,No
800314,18,1.0,7.1,25,Yes
800315,44,4.0,8.4,132,No
800316,39,4.0,5.7,157,No
800317,34,2.0,8.7,104,Yes
800318,31,2.0,9.3,114,No
800319,57,6.0,4.8,139,No
800320,62,3.0,8.1,21,Yes
800321,71,6.0,7.8,171,No
800322,43,5.0,6.3,19,No
800323,44,4.0,7.2,92,No
800324,39,4.0,8.3,132,No
800325,60,6.0,5.2,14,No
800326,26,1.0,8.4,100,Yes
800327,66,7.0,5.2,146,No
800328,67,4.0,8.1,122,Yes
800329,50,4.0,5.6,34,Yes
800330,56,5.0,8.9,101,No
800331,62,,8.1,174,No
800332,44,3.0,8.2,20,No
800333,58,3.0,9.0,153,No
800334,56,5.0,8.6,143,No
800335,66,8.0,5.9,2,No
800336,26,2.0,8.8,137,No
800337,27,1.0,9.4,79,No
800338,15,1.0,6.4,127,Yes
800339,23,2.0,5.9,178,Yes
800340,24,2.0,8.0,149,No
800341,17,2.0,7.9,54,No
800342,53,4.0,5.5,90,No
800343,24,1.0,7.7,145,Yes
800344,24,1.0,7.0,75,Yes
800345,63,4.0,8.7,16,No
800346,50,4.0,7.5,50,No
800347,20,1.0,7.9,67,Yes
800348,16,1.0,8.5,84,No
800349,57,3.0,9.1,154,Yes
800350,27,4.0,6.1,98,No
800351,71,5.0,8.1,21,No
800352,44,3.0,8.2,34,No
800353,29,4.0,6.6,69,No
800354,41,2.0,6.3,22,Yes
800355,47,6.0,7.4,66,No
800356,18,1.0,8.8,131,No
800357,19,2.0,5.5,148,No
800358,57,5.0,8.6,99,No
800359,39,1.0,8.4,31,Yes
800360,58,4.0,5.1,130,Yes
800361,39,6.0,6.5,104,No
800362,43,3.0,6.3,89,No
800363,71,6.0,7.8,171,No
800364,70,7.0,5.0,65,No
800365,18,1.0,6.4,34,No
800366,64,6.0,7.4,164,No
800367,63,3.0,9.0,99,Yes
800368,17,2.0,6.9,107,No
800369,57,5.0,5.8,95,No
800370,71,7.0,5.8,121,No
800371,62,5.0,8.8,55,No
800372,44,3.0,4.8,20,Yes
800373,25,3.0,5.5,147,No
800374,33,4.0,5.0,119,No
800375,22,3.0,5.0,89,No
800376,43,2.0,8.1,151,No
800377,60,6.0,6.4,155,No
800378,53,5.0,5.8,106,No
800379,25,1.0,5.0,163,Yes
800380,21,3.0,5.5,46,No
800381,46,5.0,4.8,163,No
800382,69,8.0,5.0,112,No
800383,60,5.0,8.8,35,No
800384,15,2.0,9.2,109,No
800385,39,4.0,8.3,6,No
800386,35,3.0,7.0,114,No
800387,67,7.0,6.3,82,No
800388,62,5.0,8.7,119,No
800389,51,5.0,5.1,159,No
800390,54,5.0,6.9,27,No
800391,67,6.0,5.7,114,No
800392,66,7.0,5.7,82,No
800393,30,4.0,4.6,172,No
800394,29,1.0,9.3,9,No
800395,67,6.0,8.6,152,No
800396,47,5.0,5.9,38,No
800397,56,5.0,6.2,143,No
800398,56,5.0,9.5,20,No
800399,59,5.0,9.0,11,No
800400,27,1.0,8.8,29,No
800401,58,4.0,6.0,58,Yes
800402,52,6.0,6.6,108,No
800403,36,5.0,8.5,1,No
800404,24,2.0,5.9,110,No
800405,59,5.0,7.6,20,No
800406,19,1.0,9.3,112,No
800407,35,3.0,6.8,88,No
800408,37,3.0,7.9,89,No
800409,28,2.0,5.9,153,Yes
800410,60,5.0,7.2,109,No
800411,74,7.0,7.7,59,No
800412,61,7.0,7.9,52,No
800413,19,1.0,6.5,43,No
800414,40,4.0,8.5,142,No
800415,17,2.0,8.3,20,No
800416,57,4.0,7.9,128,No
800417,34,4.0,4.8,91,No
800418,19,2.0,4.9,79,Yes
800419,59,5.0,6.0,158,No
800420,73,6.0,5.7,75,No
800421,64,5.0,5.4,61,Yes
800422,54,2.0,6.4,164,Yes
800423,71,5.0,7.1,169,Yes
800424,57,6.0,6.3,106,No
800425,25,1.0,8.9,100,No
800426,67,5.0,9.1,152,No
800427,70,6.0,7.0,131,Yes
800428,51,5.0,7.3,122,No
800429,29,1.0,7.8,121,No
800430,26,4.0,5.2,151,No
800431,73,6.0,7.9,147,No
800432,67,4.0,7.8,1,Yes
800433,50,4.0,6.1,5,Yes
800434,52,5.0,5.6,156,No
800435,21,2.0,7.2,98,Yes
800436,66,6.0,6.1,170,No
800437,15,1.0,9.4,7,No
800438,42,5.0,5.8,109,No
800439,72,8.0,5.9,84,No
800440,29,3.0,7.8,58,No
800441,28,2.0,9.4,105,No
800442,24,1.0,6.9,47,No
800443,24,1.0,8.3,56,No
800444,42,4.0,6.6,106,No
800445,50,,9.4,149,No
800446,27,2.0,8.7,133,No
800447,27,3.0,8.3,35,No
800448,59,6.0,8.0,146,No
800449,32,2.0,5.3,174,Yes
800450,48,4.0,7.0,121,Yes
800451,50,4.0,8.2,71,No
800452,70,7.0,9.0,21,No
800453,60,5.0,8.1,41,No
800454,31,3.0,7.3,23,No
800455,43,1.0,9.3,171,Yes
800456,52,3.0,8.2,13,Yes
800457,19,2.0,9.4,126,No
800458,51,4.0,8.9,161,No
800459,52,6.0,6.6,9,No
800460,39,4.0,5.8,13,Yes
800461,36,,8.4,64,No
800462,62,6.0,7.3,118,No
800463,35,2.0,7.1,74,Yes
800464,19,1.0,5.0,31,No
800465,65,4.0,9.4,173,No
800466,71,7.0,5.7,82,Yes
800467,73,6.0,8.0,71,No
800468,34,3.0,5.3,158,No
800469,42,2.0,5.6,167,Yes
800470,49,3.0,6.7,92,Yes
800471,48,4.0,4.6,17,No
800472,62,6.0,6.3,117,No
800473,22,2.0,5.8,62,Yes
800474,35,3.0,6.7,62,No
800475,19,1.0,7.9,116,No
800476,23,2.0,8.7,133,No
800477,45,3.0,9.2,62,No
800478,60,6.0,7.1,173,No
800479,17,1.0,5.9,132,Yes
800480,20,3.0,4.8,156,No
800481,61,6.0,8.0,104,No
800482,30,2.0,5.0,52,No
800483,65,4.0,8.6,37,Yes
800484,54,2.0,9.4,95,Yes
800485,33,3.0,7.2,57,No
800486,62,5.0,7.8,139,No
800487,65,2.0,8.1,100,Yes
800488,24,2.0,7.9,90,No
800489,42,4.0,6.1,91,No
800490,24,3.0,6.2,133,No
800491,53,6.0,7.8,75,No
800492,34,5.0,5.0,141,No
800493,52,5.0,5.5,70,No
800494,37,4.0,6.1,159,No
800495,70,5.0,6.8,47,Yes
800496,33,4.0,6.8,39,No
800497,30,5.0,6.6,54,No
800498,20,2.0,5.6,108,No
800499,34,4.0,7.9,155,No
800500,65,4.0,8.4,65,Yes
800501,59,3.0,8.8,91,Yes
800502,65,7.0,6.5,66,No
800503,47,5.0,8.8,12,No
800504,24,4.0,6.2,157,No
800505,63,5.0,7.2,0,Yes
800506,21,3.0,8.0,86,No
800507,22,2.0,6.1,50,No
800508,57,5.0,7.3,115,No
800509,22,1.0,6.7,103,Yes
800510,31,3.0,5.3,145,Yes
800511,37,1.0,7.7,27,Yes
800512,54,4.0,6.5,7,Yes
800513,42,3.0,5.4,41,No
800514,49,4.0,7.7,145,No
800515,44,4.0,9.4,91,No
800516,64,3.0,9.2,29,Yes
800517,18,2.0,4.5,30,No
800518,45,2.0,5.3,151,Yes
800519,23,2.0,7.4,120,No
800520,50,6.0,7.1,24,No
800521,70,6.0,7.1,71,No
800522,49,4.0,7.2,91,No
800523,43,3.0,5.4,77,Yes
800524,16,2.0,6.0,13,No
800525,25,4.0,4.6,60,No
800526,59,6.0,7.1,43,No
800527,34,2.0,9.1,137,No
800528,71,7.0,5.8,89,No
800529,63,5.0,8.0,141,No
800530,30,3.0,5.3,52,Yes
800531,58,7.0,7.8,164,No
800532,70,7.0,6.4,23,No
800533,56,4.0,8.0,151,No
800534,69,7.0,5.0,131,No
800535,42,2.0,8.9,64,Yes
800536,44,4.0,9.2,94,No
800537,56,4.0,6.4,88,Yes
800538,36,4.0,5.8,179,No
800539,27,2.0,7.1,23,No
800540,56,5.0,8.6,58,No
800541,48,4.0,9.4,45,No
800542,56,4.0,9.1,63,No
800543,58,4.0,9.3,33,No
800544,43,2.0,8.9,176,Yes
800545,52,4.0,9.2,96,No
800546,58,6.0,7.8,81,No
800547,24,2.0,7.2,27,Yes
800548,21,,5.0,133,No
800549,15,2.0,6.2,71,No
800550,24,2.0,6.8,35,No
800551,60,4.0,6.1,56,Yes
800552,38,4.0,7.8,60,No
800553,18,1.0,7.6,45,Yes
800554,33,3.0,7.0,169,No
800555,40,3.0,7.1,3,No
800556,58,3.0,9.4,48,No
800557,30,2.0,7.6,98,No
800558,40,3.0,6.9,39,Yes
800559,56,5.0,8.9,99,No
800560,65,4.0,8.4,8,Yes
800561,45,3.0,8.6,142,Yes
800562,57,4.0,7.3,145,Yes
800563,58,7.0,4.6,153,No
800564,18,1.0,5.4,13,Yes
800565,39,4.0,8.1,32,No
800566,71,7.0,8.1,27,No
800567,17,4.0,6.4,44,No
800568,39,4.0,5.3,84,No
800569,17,1.0,7.3,145,No
800570,33,3.0,5.9,106,No
800571,53,4.0,5.4,76,No
800572,34,3.0,5.0,2,Yes
800573,53,5.0,8.4,5,No
800574,24,3.0,4.7,53,No
800575,49,2.0,8.8,141,Yes
800576,66,6.0,7.3,164,No
800577,57,4.0,7.7,175,No
800578,45,5.0,8.6,119,No
800579,20,2.0,6.7,67,No
800580,16,1.0,9.3,175,No
800581,31,4.0,7.7,82,No
800582,22,1.0,9.3,13,No
800583,63,6.0,7.5,76,No
800584,49,4.0,7.1,150,No
800585,51,5.0,6.0,177,No
800586,33,5.0,5.5,149,No
800587,53,3.0,8.1,136,No
800588,29,2.0,7.0,142,No
800589,53,4.0,7.5,110,No
800590,40,3.0,4.9,107,Yes
800591,61,8.0,4.7,54,No
800592,42,5.0,5.1,101,Yes
800593,44,3.0,9.1,24,No
800594,66,5.0,8.9,139,No
800595,37,2.0,8.3,44,No
800596,50,6.0,4.7,24,No
800597,34,1.0,9.3,97,No
800598,46,5.0,4.7,160,No
800599,24,3.0,9.4,7,No
800600,71,8.0,4.5,13,No
800601,20,3.0,5.4,51,No
800602,70,6.0,6.9,165,No
800603,62,6.0,6.2,142,No
800604,30,2.0,8.0,57,Yes
800605,27,1.0,8.8,73,Yes
800606,55,3.0,4.9,50,Yes
800607,38,4.0,6.1,42,No
800608,22,,5.1,131,No
800609,33,2.0,9.1,117,No
800610,49,,9.4,90,No
800611,28,3.0,8.1,60,No
800612,23,1.0,8.1,12,Yes
800613,34,4.0,5.6,18,No
800614,49,5.0,7.6,6,No
800615,21,2.0,5.4,146,No
800616,36,2.0,9.3,100,No
800617,60,7.0,5.5,150,No
800618,73,6.0,6.4,78,No
800619,53,6.0,4.9,143,No
800620,20,2.0,5.4,40,Yes
800621,41,3.0,6.8,69,No
800622,31,1.0,9.4,34,No
800623,62,5.0,5.5,122,Yes
800624,17,2.0,7.7,42,No
800625,42,4.0,6.8,107,No
800626,21,2.0,8.7,118,No
800627,31,2.0,7.2,48,Yes
800628,22,1.0,9.4,17,No
800629,32,3.0,4.5,80,No
800630,54,5.0,4.9,85,Yes
800631,38,3.0,7.1,56,No
800632,21,1.0,7.3,62,Yes
800633,15,2.0,6.3,41,No
800634,66,4.0,8.2,26,Yes
800635,19,2.0,7.6,0,No
800636,15,1.0,8.7,178,Yes
800637,32,3.0,8.7,50,Yes
800638,69,5.0,8.9,159,Yes
800639,17,1.0,9.2,48,No
800640,18,2.0,6.1,67,No
800641,41,3.0,5.3,96,No
800642,69,5.0,9.3,87,No
800643,60,6.0,4.5,168,No
800644,22,4.0,6.5,72,No
800645,48,5.0,7.7,136,No
800646,32,5.0,6.9,146,No
800647,55,7.0,4.9,173,No
800648,26,4.0,5.3,149,No
800649,71,6.0,7.3,106,No
800650,53,5.0,6.6,58,No
800651,27,2.0,9.3,34,No
800652,34,3.0,8.0,155,No
800653,62,5.0,8.0,34,No
800654,63,3.0,8.7,84,Yes
800655,52,4.0,7.9,144,No
800656,26,2.0,5.9,37,No
800657,19,2.0,8.0,60,No
800658,50,3.0,7.0,169,Yes
800659,49,4.0,5.4,169,Yes
800660,26,2.0,7.2,1,No
800661,23,1.0,9.1,162,No
800662,62,6.0,7.3,98,No
800663,73,6.0,6.5,50,No
800664,19,1.0,6.8,9,No
800665,47,4.0,9.0,84,No
800666,17,1.0,7.2,165,Yes
800667,29,3.0,5.2,2,No
800668,28,2.0,8.9,110,Yes
800669,51,3.0,8.0,25,No
800670,42,2.0,9.1,141,No
800671,19,2.0,9.3,120,No
800672,29,2.0,7.2,122,No
800673,34,4.0,7.2,9,No
800674,60,5.0,8.3,104,No
800675,62,8.0,5.6,58,No
800676,41,3.0,7.6,153,No
800677,34,4.0,6.6,58,No
800678,17,3.0,5.6,120,No
800679,35,1.0,8.6,85,Yes
800680,37,4.0,4.6,24,No
800681,46,5.0,7.4,132,No
800682,29,3.0,6.7,116,No
800683,28,1.0,6.3,24,Yes
800684,48,3.0,8.3,159,Yes
800685,48,5.0,4.6,131,No
800686,60,6.0,5.3,48,No
800687,32,3.0,8.1,101,No
800688,50,4.0,6.9,125,Yes
800689,73,6.0,7.0,137,Yes
800690,36,3.0,4.8,21,No
800691,68,6.0,6.7,167,No
800692,31,3.0,4.8,49,Yes
800693,26,2.0,9.3,151,No
800694,57,5.0,6.6,54,No
800695,25,1.0,8.2,171,Yes
800696,44,3.0,4.8,36,Yes
800697,48,4.0,8.2,170,No
800698,27,2.0,8.9,150,No
800699,48,3.0,8.3,38,No
800700,65,4.0,7.8,0,Yes
800701,35,3.0,6.4,92,Yes
800702,69,7.0,7.3,159,No
800703,25,2.0,8.9,43,No
800704,61,5.0,6.9,54,Yes
800705,32,2.0,5.9,135,Yes
800706,16,4.0,4.6,157,No
800707,29,2.0,6.6,2,Yes
800708,49,3.0,7.4,99,Yes
800709,32,1.0,6.0,150,Yes
800710,41,3.0,7.5,172,No
800711,58,7.0,6.9,147,No
800712,16,3.0,6.2,172,No
800713,63,8.0,4.6,46,No
800714,37,5.0,5.4,71,No
800715,22,,7.6,30,No
800716,72,7.0,5.1,117,No
800717,66,7.0,6.3,95,No
800718,19,1.0,9.1,117,No
800719,28,2.0,7.7,45,No
800720,38,5.0,5.7,60,No
800721,66,7.0,5.9,22,No
800722,46,,4.8,85,Yes
800723,62,5.0,8.2,30,Yes
800724,68,5.0,7.8,95,No
800725,67,5.0,7.3,35,No
800726,59,4.0,9.2,108,No
800727,65,6.0,5.3,91,No
800728,29,3.0,7.5,160,No
800729,35,4.0,7.0,86,No
800730,69,6.0,6.8,87,No
800731,21,1.0,8.5,128,Yes
800732,58,5.0,8.7,48,No
800733,62,6.0,8.4,162,No
800734,52,4.0,7.7,55,No
800735,28,4.0,5.3,22,No
800736,29,3.0,7.8,170,No
800737,34,3.0,6.4,154,No
800738,74,6.0,8.7,58,No
800739,29,4.0,5.1,85,No
800740,39,2.0,9.0,56,No
800741,28,3.0,8.5,45,No
800742,70,4.0,8.5,143,Yes
800743,51,4.0,8.3,55,No
800744,62,6.0,4.7,170,No
800745,53,2.0,7.3,79,Yes
800746,60,6.0,7.4,103,No
800747,28,2.0,8.0,1,No
800748,22,2.0,7.4,56,No
800749,31,4.0,6.7,42,No
800750,26,3.0,6.9,179,No
800751,70,6.0,6.7,47,No
800752,42,2.0,7.3,12,Yes
800753,72,6.0,8.4,141,No
800754,64,5.0,9.0,70,No
800755,17,2.0,6.6,18,No
800756,29,1.0,8.6,44,Yes
800757,22,2.0,6.9,116,No
800758,62,5.0,9.1,110,No
800759,15,1.0,7.4,109,Yes
800760,54,4.0,8.0,21,Yes
800761,73,6.0,5.7,163,No
800762,69,5.0,9.3,68,No
800763,61,7.0,4.8,26,No
800764,65,4.0,7.4,30,Yes
800765,69,6.0,6.6,123,No
800766,66,5.0,4.8,35,No
800767,24,3.0,5.0,35,No
800768,41,4.0,4.6,131,No
800769,34,5.0,6.1,75,No
800770,54,4.0,7.5,92,No
800771,40,3.0,4.8,46,Yes
800772,64,4.0,6.3,27,Yes
800773,53,4.0,6.6,12,Yes
800774,41,3.0,4.9,8,Yes
800775,22,3.0,5.1,144,No
800776,32,3.0,4.6,12,Yes
800777,27,2.0,5.3,104,No
800778,42,4.0,5.8,164,No
800779,25,1.0,9.4,92,Yes
800780,34,3.0,8.6,162,No
800781,71,7.0,7.4,139,No
800782,20,2.0,7.7,33,No
800783,24,5.0,4.5,149,No
800784,59,7.0,7.0,9,No
800785,26,1.0,8.8,51,Yes
800786,18,2.0,6.5,135,No
800787,53,3.0,8.6,123,Yes
800788,21,3.0,6.7,1,No
800789,19,1.0,9.4,43,Yes
800790,31,2.0,9.2,45,No
800791,40,4.0,6.6,55,No
800792,68,6.0,6.9,161,No
800793,58,5.0,7.3,86,No
800794,72,7.0,8.4,104,No
800795,43,2.0,8.0,123,Yes
