DayID,TradingVolume_M,SocialMentions,DailyReturn_Percent,VIX_Index,PriceVolatility
1020124,78.9,80.8,25.9,14.9,66623.0
1020125,120.8,107.5,46.6,21.2,54712.0
1020126,134.8,104.1,62.9,15.2,52696.0
1020127,110.8,81.3,21.0,24.7,42911.0
1020128,114.4,91.0,60.1,22.8,77050.0
1020129,113.3,80.7,54.2,16.4,57320.0
1020130,117.9,48.1,31.7,26.0,66473.0
1020131,93.3,98.6,39.0,20.0,73520.0
1020132,130.0,99.8,57.4,33.4,65860.0
1020133,149.3,99.4,55.4,18.4,65064.0
1020134,93.4,95.4,50.9,15.8,64738.0
1020135,92.7,76.5,62.5,17.9,48200.0
1020136,60.6,101.5,55.9,19.4,86238.0
1020137,111.0,93.5,21.4,23.9,91080.0
1020138,95.0,84.7,47.7,18.5,61048.0
1020139,104.0,115.6,32.7,15.1,82356.0
1020140,132.6,74.4,61.6,23.1,73590.0
1020141,100.0,141.8,20.3,28.8,64258.0
1020142,18.1,94.0,54.6,19.6,50764.0
1020143,115.1,96.4,58.4,19.2,67819.0
1020144,95.5,109.5,41.7,19.9,85711.0
1020145,62.4,132.8,56.0,23.0,60320.0
1020146,106.9,74.1,40.8,24.3,53530.0
1020147,136.7,126.2,34.9,21.5,41288.0
1020148,128.0,80.0,51.8,19.3,59098.0
1020149,145.0,114.7,46.0,18.0,28141.0
1020150,158.8,126.1,49.4,23.7,84319.0
1020151,118.9,91.6,23.4,23.1,107114.0
1020152,96.8,97.5,35.8,9.6,64230.0
1020153,123.6,91.3,56.1,15.7,85184.0
1020154,121.4,95.7,41.7,18.6,68444.0
1020155,55.7,96.2,38.7,15.4,40021.0
1020156,130.0,138.7,61.3,21.3,47046.0
1020157,67.3,75.9,72.7,22.1,75016.0
1020158,132.9,95.0,43.3,19.8,54128.0
1020159,123.1,138.4,27.9,22.6,63796.0
1020160,104.1,81.7,45.2,28.2,67762.0
1020161,121.4,82.5,5.8,20.0,32603.0
1020162,67.3,113.3,37.5,13.8,60119.0
1020163,62.9,81.0,43.6,14.8,56774.0
1020164,121.8,51.4,53.7,13.9,80319.0
1020165,114.4,106.5,48.8,24.5,63716.0
1020166,106.2,99.7,67.9,20.4,46668.0
1020167,85.0,65.8,18.2,28.2,68261.0
1020168,88.4,105.0,56.9,28.4,45191.0
1020169,104.6,80.1,40.6,20.1,58793.0
1020170,120.7,102.6,52.1,25.9,69180.0
1020171,65.9,60.4,45.1,14.1,43107.0
1020172,94.6,115.3,43.3,22.4,57048.0
1020173,105.2,78.7,18.0,18.3,85222.0
1020174,59.0,137.5,38.0,26.0,76286.0
1020175,58.3,124.0,35.5,27.7,48236.0
1020176,100.9,110.5,27.0,18.9,54348.0
1020177,91.8,141.2,20.2,12.3,94347.0
1020178,123.4,115.6,41.0,20.0,55080.0
1020179,118.2,66.8,63.2,18.5,73804.0
1020180,116.2,104.4,21.7,19.8,43252.0
1020181,108.8,98.1,28.9,18.1,43316.0
1020182,159.6,106.1,50.6,16.6,38939.0
1020183,113.5,149.5,60.5,18.1,69908.0
1020184,72.5,116.9,24.7,20.0,88901.0
1020185,98.1,111.5,25.1,15.2,53624.0
1020186,141.4,131.0,34.6,16.6,75730.0
1020187,122.3,124.4,61.2,17.2,87526.0
1020188,112.4,67.2,66.1,23.7,74783.0
1020189,143.8,79.6,43.1,16.2,35110.0
1020190,109.6,85.3,38.4,27.8,62398.0
1020191,130.1,130.0,31.7,21.0,97308.0
1020192,90.9,151.0,69.7,25.5,89150.0
1020193,111.3,113.8,15.4,18.5,52213.0
1020194,118.5,85.0,49.2,16.2,73109.0
1020195,79.3,89.6,54.5,22.4,82216.0
1020196,58.6,77.8,30.1,14.4,72874.0
1020197,62.4,142.9,50.6,22.0,68737.0
1020198,75.4,59.0,66.1,24.3,68088.0
1020199,121.7,58.1,56.2,14.9,75409.0
1020200,92.0,81.5,56.6,26.0,54453.0
1020201,104.8,103.8,56.0,19.2,68426.0
1020202,84.5,124.7,56.3,19.4,60871.0
1020203,96.2,86.1,28.4,19.1,53294.0
1020204,108.7,130.6,33.7,25.0,62112.0
1020205,82.6,89.5,63.3,20.8,34838.0
1020206,93.6,85.4,59.1,29.1,72789.0
1020207,95.3,111.5,60.4,20.0,87041.0
1020208,84.6,105.5,37.8,19.7,71154.0
1020209,90.1,126.7,55.3,19.1,63576.0
1020210,106.5,103.8,40.9,24.6,74045.0
1020211,32.0,152.0,53.0,25.4,92395.0
1020212,134.3,108.1,33.9,16.5,80572.0
1020213,150.3,98.5,30.6,21.2,62900.0
1020214,95.6,103.9,47.7,9.5,62266.0
1020215,75.7,140.1,35.2,22.8,54515.0
1020216,93.3,74.1,42.2,22.6,36308.0
1020217,115.3,96.1,66.6,22.9,74174.0
1020218,114.6,69.3,33.3,17.7,50701.0
1020219,55.6,70.9,41.9,14.6,31234.0
1020220,102.5,106.0,35.7,28.0,50619.0
1020221,94.1,,19.5,20.1,56945.0
1020222,133.2,158.9,49.5,12.0,72584.0
1020223,76.4,89.5,28.9,15.7,76383.0
1020224,111.0,91.8,41.9,22.0,66270.0
1020225,79.2,90.0,65.4,16.1,49070.0
1020226,82.8,67.9,49.5,21.8,50134.0
1020227,93.7,59.0,59.4,13.7,59244.0
1020228,117.6,115.3,63.5,18.6,49203.0
1020229,125.0,97.0,20.4,21.7,79891.0
1020230,66.0,76.6,56.2,19.9,61739.0
1020231,64.1,119.8,22.9,20.4,54269.0
1020232,76.2,117.1,50.7,25.0,58121.0
1020233,120.9,98.9,45.4,21.8,94771.0
1020234,79.3,78.9,34.9,22.6,65614.0
1020235,136.2,105.4,32.1,20.2,57298.0
1020236,40.3,138.3,39.1,18.4,81217.0
1020237,96.8,115.5,46.1,17.5,20954.0
1020238,98.7,94.0,30.3,26.4,84813.0
1020239,91.8,101.9,46.5,12.6,53304.0
1020240,101.7,72.3,35.2,17.1,74157.0
1020241,135.0,39.5,42.5,13.8,89019.0
1020242,82.6,152.3,50.3,21.6,74914.0
1020243,94.9,102.5,78.1,31.0,62220.0
1020244,89.2,92.0,51.8,15.9,81332.0
1020245,71.5,112.6,34.6,17.7,81827.0
1020246,131.7,138.0,63.5,26.0,35400.0
1020247,124.9,88.0,45.2,10.8,64915.0
1020248,93.1,105.0,51.0,24.0,40663.0
1020249,102.0,64.7,36.4,20.0,91793.0
1020250,134.0,82.1,58.3,21.2,54096.0
1020251,76.8,94.9,60.6,15.3,83182.0
1020252,104.9,73.0,48.1,24.3,88101.0
1020253,118.1,108.1,34.2,16.3,46926.0
1020254,70.6,121.7,23.7,24.5,55600.0
1020255,87.3,94.9,44.1,20.3,87373.0
1020256,88.5,93.0,31.4,12.3,79169.0
1020257,67.8,59.6,49.6,17.2,87024.0
1020258,94.6,68.7,56.3,8.9,71796.0
1020259,101.0,101.8,48.3,17.8,96043.0
1020260,80.3,141.7,23.7,21.5,82952.0
1020261,128.3,58.5,55.5,21.8,67743.0
1020262,111.5,109.3,42.3,21.4,103884.0
1020263,115.3,114.1,49.8,20.5,41148.0
1020264,111.3,95.9,22.1,17.4,62748.0
1020265,137.7,74.2,30.3,18.6,77051.0
1020266,95.6,37.3,40.6,23.3,59197.0
1020267,95.9,136.1,30.6,18.3,55970.0
1020268,57.2,68.7,27.0,24.5,57172.0
1020269,117.8,128.4,57.0,22.2,71994.0
1020270,94.4,108.4,63.3,14.4,74502.0
1020271,101.4,108.7,57.4,23.4,70623.0
1020272,104.9,91.9,39.6,17.7,42376.0
1020273,95.4,,27.6,18.2,70529.0
1020274,132.4,84.4,46.5,19.4,60575.0
1020275,87.2,150.3,40.9,25.2,61492.0
1020276,71.0,111.3,28.3,17.7,67435.0
1020277,92.9,82.4,69.3,11.7,66215.0
1020278,76.9,130.7,58.2,18.3,92466.0
1020279,92.9,125.8,39.2,16.9,81688.0
1020280,107.3,83.8,27.6,13.8,84245.0
1020281,110.0,93.6,65.4,26.0,74956.0
1020282,122.2,91.0,51.2,20.7,80863.0
1020283,160.3,108.5,62.8,22.3,63446.0
1020284,69.9,95.8,39.0,14.4,68942.0
1020285,94.5,139.7,43.0,24.0,60346.0
1020286,118.0,97.2,42.4,21.1,59873.0
1020287,90.8,108.3,53.5,20.6,41822.0
1020288,112.2,128.1,62.1,16.2,42654.0
1020289,62.4,126.7,76.9,21.5,59020.0
1020290,101.9,76.1,33.2,22.2,65469.0
1020291,157.9,125.0,22.0,10.5,80617.0
1020292,91.3,116.4,40.6,14.5,74023.0
1020293,92.3,108.0,50.5,22.0,70400.0
1020294,124.6,96.1,24.9,20.7,47413.0
1020295,124.6,109.7,46.0,21.8,94167.0
1020296,145.8,137.0,68.4,10.4,41360.0
1020297,140.7,98.1,48.3,21.5,67819.0
1020298,111.7,85.0,46.0,30.2,74216.0
1020299,154.2,89.1,45.0,19.7,72759.0
1020300,59.2,117.5,50.4,17.2,54276.0
1020301,100.4,64.9,30.8,16.9,70893.0
1020302,133.8,75.0,29.1,11.8,39202.0
1020303,105.8,76.9,35.7,16.4,47081.0
1020304,109.3,150.6,22.8,21.8,73062.0
1020305,123.9,73.9,29.5,23.0,55098.0
1020306,108.2,108.8,66.2,17.9,69963.0
1020307,105.9,119.6,57.6,11.2,54142.0
1020308,109.7,75.1,46.2,21.9,73906.0
1020309,86.8,106.2,36.2,12.9,60558.0
1020310,92.2,61.6,3.6,14.8,57982.0
1020311,137.5,,45.0,16.5,80457.0
1020312,73.6,101.0,62.7,14.9,77463.0
1020313,99.2,132.1,10.0,10.3,60018.0
1020314,94.0,117.2,41.0,14.5,70889.0
1020315,117.2,80.7,55.1,23.3,73137.0
1020316,100.7,126.7,40.9,22.0,42901.0
1020317,119.6,122.9,28.6,21.9,46971.0
1020318,90.4,81.4,49.7,22.0,31738.0
1020319,110.8,125.4,46.6,13.9,48806.0
1020320,79.7,78.7,55.9,23.1,57543.0
1020321,85.0,138.8,40.9,17.8,71968.0
1020322,118.3,98.3,49.8,15.7,69526.0
1020323,126.9,93.1,52.1,20.8,72863.0
1020324,157.0,123.2,29.8,14.4,70004.0
1020325,92.9,87.3,44.4,23.9,68926.0
1020326,114.9,135.2,49.1,18.9,44878.0
1020327,96.1,112.0,28.2,20.9,64402.0
1020328,91.9,83.3,48.0,27.5,40400.0
1020329,69.7,83.1,48.2,16.7,57333.0
1020330,89.2,167.6,48.5,19.4,88302.0
1020331,84.2,102.7,36.7,21.6,36375.0
1020332,110.9,51.9,41.6,18.9,57940.0
1020333,95.7,104.4,46.6,8.0,64032.0
1020334,106.8,93.5,43.5,21.7,84524.0
1020335,58.7,106.1,45.4,16.1,59943.0
1020336,92.5,145.5,14.9,16.4,63269.0
1020337,82.9,52.6,33.6,24.2,69415.0
1020338,87.4,153.2,31.4,20.0,85415.0
1020339,114.6,108.1,22.3,20.5,58368.0
1020340,107.6,119.4,40.3,13.6,77862.0
1020341,82.8,127.0,32.7,19.9,86176.0
1020342,48.7,72.5,28.8,17.4,64043.0
1020343,98.6,110.4,46.7,23.0,64922.0
1020344,75.7,107.0,54.7,22.2,65221.0
1020345,80.3,98.4,66.6,22.2,71476.0
1020346,93.6,49.0,33.7,14.4,64131.0
1020347,96.8,103.1,56.2,28.7,48761.0
1020348,73.3,135.1,51.3,21.2,74104.0
1020349,82.3,65.3,56.5,20.3,83762.0
1020350,129.4,98.8,55.0,14.6,38374.0
1020351,86.9,105.6,33.4,30.0,69702.0
1020352,119.1,66.9,54.8,20.5,55437.0
1020353,140.0,85.9,41.6,15.9,77736.0
1020354,85.8,108.0,42.4,13.7,81283.0
1020355,124.3,115.8,17.2,8.5,70301.0
1020356,77.9,92.7,41.8,22.9,78305.0
1020357,107.1,123.8,41.7,16.7,46394.0
1020358,103.1,53.2,46.0,12.6,94017.0
1020359,97.7,119.4,67.5,29.4,48336.0
1020360,92.6,97.5,67.2,19.9,63207.0
1020361,99.2,172.3,34.6,26.8,58176.0
1020362,83.9,,41.2,21.4,47973.0
1020363,82.2,51.5,36.7,13.7,85909.0
1020364,141.9,76.5,38.7,15.4,41697.0
1020365,86.5,97.8,28.0,22.8,47818.0
1020366,137.5,65.3,31.7,15.3,42527.0
1020367,87.5,114.3,39.3,24.2,73056.0
1020368,103.0,117.2,44.4,20.8,66780.0
1020369,128.5,115.6,28.4,15.7,81023.0
1020370,120.3,129.8,36.4,21.1,118204.0
1020371,71.7,89.6,38.0,18.8,61492.0
1020372,85.4,107.6,32.6,15.8,73019.0
1020373,71.9,106.4,68.5,18.9,54258.0
1020374,140.9,67.0,29.3,24.6,64394.0
1020375,98.7,118.6,50.3,20.8,87998.0
1020376,112.1,108.5,54.4,15.4,56547.0
1020377,68.5,93.1,48.1,14.4,83446.0
1020378,130.6,80.3,23.2,24.3,65094.0
1020379,74.3,99.0,28.4,28.6,59401.0
1020380,129.6,82.1,33.2,24.4,66566.0
1020381,89.0,123.1,29.0,14.4,39227.0
1020382,122.4,105.9,44.9,28.0,73381.0
1020383,134.3,110.8,50.7,24.5,70859.0
1020384,91.0,85.4,37.7,21.2,55582.0
1020385,91.3,110.2,46.8,19.1,38010.0
1020386,79.9,93.5,40.7,12.6,50983.0
1020387,127.7,74.1,80.3,12.9,58741.0
1020388,117.8,135.7,22.4,31.5,87248.0
1020389,83.1,81.1,64.0,24.3,32944.0
1020390,58.1,104.4,39.1,17.0,47913.0
1020391,57.3,93.2,24.6,25.2,49705.0
1020392,89.9,142.5,54.2,12.0,53231.0
1020393,65.3,91.0,8.3,21.2,87991.0
1020394,84.4,106.0,54.6,20.6,61219.0
1020395,121.0,108.9,24.9,24.1,76080.0
1020396,153.1,58.8,38.8,10.6,78497.0
1020397,82.4,61.6,51.4,23.1,57041.0
1020398,45.7,69.8,42.7,18.3,60360.0
1020399,96.9,110.5,50.6,12.7,60337.0
1020400,50.2,101.9,46.3,20.8,75722.0
1020401,76.7,136.6,74.9,22.6,88699.0
1020402,94.9,135.2,55.4,19.3,57762.0
1020403,98.5,95.0,35.3,15.7,41492.0
1020404,108.4,117.9,57.2,23.7,63482.0
1020405,126.9,129.7,60.2,17.4,98692.0
1020406,108.9,114.9,27.3,17.5,39003.0
1020407,64.9,146.0,9.7,22.2,75386.0
1020408,104.8,94.9,23.8,16.8,77448.0
1020409,98.3,120.4,57.1,23.5,77444.0
1020410,73.4,62.3,36.2,17.8,64063.0
1020411,131.4,98.7,72.4,15.0,41098.0
1020412,89.5,102.6,66.7,16.5,68286.0
1020413,78.7,45.2,50.8,14.3,42489.0
1020414,82.4,115.9,41.4,20.7,74792.0
1020415,92.6,87.1,33.4,16.7,60070.0
1020416,99.4,108.2,64.9,24.2,36478.0
1020417,73.4,105.0,11.7,23.8,67106.0
1020418,106.2,98.2,74.2,29.3,69394.0
1020419,108.3,112.2,54.6,23.3,33400.0
1020420,91.2,88.1,27.9,18.3,89258.0
1020421,103.2,139.9,40.0,17.7,23981.0
1020422,116.1,97.9,50.1,19.9,63392.0
1020423,109.6,125.7,54.6,26.4,23488.0
1020424,76.7,125.1,36.9,25.1,45465.0
1020425,97.9,129.2,34.7,20.4,52745.0
1020426,119.5,88.2,43.1,29.8,90018.0
1020427,122.8,123.2,37.8,22.9,74791.0
1020428,83.3,76.7,35.9,20.6,42303.0
1020429,70.4,121.4,46.7,16.7,73186.0
1020430,104.0,112.5,44.8,14.5,57588.0
1020431,83.7,109.9,34.9,18.3,96565.0
1020432,98.5,106.3,37.2,17.5,66725.0
1020433,93.0,96.4,58.6,23.5,67250.0
1020434,101.1,118.5,21.5,23.8,88865.0
1020435,94.6,109.9,73.4,25.3,65644.0
1020436,111.6,,17.8,15.5,74316.0
1020437,160.4,123.4,42.7,8.0,65615.0
1020438,63.3,125.3,43.0,20.4,104625.0
1020439,62.9,71.7,22.1,30.8,72711.0
1020440,102.2,113.3,42.8,20.7,75896.0
1020441,106.9,118.5,60.1,14.9,64972.0
1020442,147.9,163.1,55.5,23.8,82773.0
1020443,44.7,101.6,38.8,22.2,63048.0
1020444,111.5,124.1,43.7,14.7,49048.0
1020445,109.4,93.5,42.3,16.3,56878.0
1020446,110.7,99.3,50.0,13.7,67893.0
1020447,63.3,135.4,58.0,18.1,68758.0
1020448,112.3,123.8,59.4,15.2,68620.0
1020449,129.4,128.8,57.3,21.7,91066.0
1020450,73.8,34.0,32.7,15.8,72107.0
1020451,144.0,87.7,52.9,21.7,96615.0
1020452,87.4,68.5,42.7,20.8,47495.0
1020453,96.9,121.8,22.0,19.6,82019.0
1020454,109.1,94.5,48.3,17.1,50839.0
1020455,107.7,45.3,65.0,25.9,55513.0
1020456,63.8,80.5,50.6,26.3,64921.0
1020457,109.2,104.6,44.2,28.6,43031.0
1020458,129.2,134.9,27.6,11.2,48789.0
1020459,130.9,59.8,17.3,22.6,84339.0
1020460,103.9,45.9,42.1,20.3,64584.0
1020461,124.1,101.2,31.1,27.2,53741.0
1020462,96.0,86.0,61.5,18.4,44154.0
1020463,117.5,76.6,36.7,20.4,44310.0
1020464,132.9,,42.1,9.2,78290.0
1020465,162.0,160.3,50.2,17.7,37608.0
1020466,105.5,83.5,36.3,26.6,60510.0
1020467,108.0,103.2,0.0,23.4,56809.0
1020468,75.1,126.7,46.6,22.9,82079.0
1020469,82.5,101.7,13.1,19.7,84119.0
1020470,126.8,76.6,17.6,26.1,81248.0
1020471,130.5,105.6,53.0,18.1,54681.0
1020472,71.2,135.5,59.2,20.4,83578.0
1020473,104.6,114.7,47.8,25.2,63991.0
1020474,97.3,,29.1,22.6,57290.0
1020475,109.7,89.0,48.4,15.2,55140.0
1020476,123.3,98.8,11.1,16.5,95368.0
1020477,102.4,89.9,30.4,14.0,45939.0
1020478,73.1,96.7,53.4,19.3,72799.0
1020479,101.3,110.5,58.2,21.6,70437.0
1020480,122.4,89.6,56.4,22.5,89269.0
1020481,106.6,130.8,34.8,18.1,42483.0
1020482,98.3,141.4,32.7,21.7,52946.0
1020483,90.0,113.7,31.0,9.5,31790.0
1020484,80.1,146.0,66.6,23.6,56371.0
1020485,118.4,87.4,54.3,17.9,73994.0
1020486,94.1,101.4,34.3,26.2,54857.0
1020487,97.9,81.3,43.7,26.6,89194.0
1020488,78.9,52.0,38.8,17.5,55809.0
1020489,135.2,102.3,65.0,22.2,55242.0
1020490,99.2,141.8,62.3,10.5,46406.0
1020491,85.2,120.3,39.1,18.0,88961.0
1020492,123.1,119.6,35.2,22.5,62740.0
1020493,82.5,115.8,27.6,22.0,54184.0
1020494,154.9,96.5,43.6,24.8,51000.0
1020495,139.6,125.8,71.0,19.0,79589.0
1020496,104.8,92.7,59.3,17.5,60757.0
1020497,88.7,132.0,43.5,18.1,57611.0
1020498,89.3,91.3,49.6,24.3,77230.0
1020499,102.0,55.3,36.1,18.5,64447.0
1020500,130.3,96.8,51.0,17.0,50123.0
1020501,94.5,104.5,43.4,15.7,50515.0
1020502,110.0,105.2,31.8,21.5,36061.0
1020503,83.3,93.2,28.3,16.0,47178.0
1020504,120.4,103.4,46.9,25.5,80139.0
1020505,82.1,141.0,66.9,18.7,81497.0
1020506,105.1,137.4,44.0,15.5,63239.0
1020507,82.3,93.5,17.8,26.2,61073.0
1020508,91.1,100.7,77.3,19.5,100390.0
1020509,121.9,117.9,54.6,25.0,76492.0
1020510,130.4,78.9,54.0,11.8,99566.0
1020511,102.6,105.1,42.4,20.8,78051.0
1020512,165.9,117.0,5.5,24.7,100514.0
1020513,104.5,93.1,57.4,14.3,60760.0
1020514,102.3,,66.8,26.6,78756.0
1020515,134.0,101.6,37.6,18.8,91515.0
1020516,89.6,99.6,46.9,23.4,63107.0
1020517,79.6,105.7,41.9,18.2,55042.0
1020518,117.6,104.0,56.0,21.6,39936.0
1020519,88.4,85.2,59.3,11.1,71872.0
1020520,137.0,97.9,46.6,24.2,55767.0
1020521,116.2,115.6,35.0,25.0,75655.0
1020522,111.0,83.9,41.7,18.5,76581.0
1020523,116.2,82.2,44.3,16.3,42393.0
1020524,79.2,63.8,34.0,19.3,68496.0
1020525,69.9,103.0,76.0,14.7,83846.0
1020526,78.9,61.5,45.6,17.3,72078.0
1020527,88.1,101.0,45.3,14.1,74529.0
1020528,50.1,81.5,53.7,26.7,39233.0
1020529,78.1,114.6,45.2,18.0,55597.0
1020530,74.4,141.5,33.2,19.3,49314.0
1020531,66.8,52.4,62.1,27.7,61420.0
1020532,68.2,79.8,32.1,13.9,41220.0
1020533,82.5,121.6,45.9,22.5,66908.0
1020534,122.5,93.9,46.5,19.5,70049.0
1020535,119.4,85.0,23.0,24.5,71256.0
1020536,118.2,103.6,43.2,18.9,63586.0
1020537,179.0,119.0,46.1,22.5,82157.0
1020538,123.6,69.3,46.0,17.3,90366.0
1020539,128.9,68.6,64.0,12.7,66409.0
1020540,133.0,113.8,35.7,19.1,67517.0
1020541,101.8,150.5,66.9,18.1,77927.0
1020542,113.4,87.9,71.5,19.3,40584.0
1020543,92.1,83.4,29.0,17.4,75960.0
1020544,114.5,,31.9,23.9,55563.0
1020545,38.3,80.3,19.3,18.1,93965.0
1020546,108.8,84.1,42.2,13.7,86619.0
1020547,105.1,93.1,79.0,20.1,89159.0
1020548,11.4,110.9,29.4,21.5,40589.0
1020549,126.5,91.7,37.9,17.1,30365.0
1020550,124.5,88.6,42.0,18.4,41499.0
1020551,63.0,106.5,41.8,23.7,94500.0
1020552,52.3,117.0,73.5,22.5,59688.0
1020553,122.1,55.2,37.0,19.8,59617.0
1020554,80.9,110.0,39.5,24.9,35652.0
1020555,58.9,103.6,30.1,15.8,70337.0
1020556,66.3,103.3,50.1,12.6,77698.0
1020557,81.2,96.1,26.3,25.7,74160.0
