StudentID,AbsenceDays,MidtermScore,CounselingSessions,ParentEngagementScore,DroppedOut
1710056,84.3,6.5,86.3,9.3,0
1710057,116.6,7.6,112.3,7.1,0
1710058,95.9,7.9,79.2,6.0,1
1710059,103.6,5.9,79.2,10.0,1
1710060,112.8,7.0,122.9,7.7,1
1710061,96.4,8.1,99.3,6.5,0
1710062,92.5,6.7,80.5,10.0,0
1710063,62.4,7.2,85.2,10.0,1
1710064,96.1,5.4,119.3,7.7,0
1710065,82.2,7.1,77.0,9.6,0
1710066,116.6,10.0,85.8,10.0,0
1710067,125.7,7.8,98.0,6.4,0
1710068,94.6,5.9,76.1,7.0,1
1710069,83.8,7.8,112.4,7.2,0
1710070,81.4,9.4,83.5,8.1,1
1710071,108.4,5.1,84.6,8.4,1
1710072,153.8,9.6,99.4,4.3,1
1710073,101.2,9.0,97.4,7.6,0
1710074,73.3,7.4,103.1,7.5,0
1710075,81.8,5.7,84.4,5.9,0
1710076,85.9,3.7,42.3,8.9,1
1710077,110.5,6.8,115.1,9.6,0
1710078,128.8,7.7,101.1,8.6,0
1710079,86.4,6.4,100.1,9.1,0
1710080,83.6,5.9,100.3,9.5,1
1710081,86.1,4.8,75.7,6.6,0
1710082,91.2,5.9,81.9,7.1,0
1710083,90.7,6.6,104.1,8.4,1
1710084,111.5,8.2,55.9,6.2,1
1710085,104.0,7.0,136.6,8.4,0
1710086,105.3,8.4,97.1,9.4,0
1710087,94.4,5.3,61.3,7.3,1
1710088,74.1,5.5,99.1,8.4,1
1710089,82.8,7.5,82.1,8.1,0
1710090,85.5,6.3,119.5,6.7,1
1710091,101.6,8.1,84.2,5.5,1
1710092,105.3,5.8,101.8,5.7,0
1710093,131.7,8.2,106.6,7.0,0
1710094,96.3,8.1,111.9,8.5,0
1710095,121.5,7.2,79.6,8.0,1
1710096,110.2,5.1,126.6,6.6,0
1710097,88.5,8.9,94.2,6.7,0
1710098,47.7,9.0,145.0,7.8,1
1710099,93.4,6.9,81.8,7.5,0
1710100,93.6,8.4,85.4,,1
1710101,78.4,7.0,123.9,9.3,1
1710102,143.4,8.1,74.6,7.0,0
1710103,53.5,7.0,66.9,7.7,0
1710104,74.3,7.3,67.8,7.6,1
1710105,73.4,9.9,135.8,6.8,1
1710106,125.7,5.0,105.4,5.8,1
1710107,138.8,7.5,78.7,9.2,0
1710108,76.4,3.7,60.6,8.7,0
1710109,100.2,8.2,122.0,4.2,0
1710110,116.5,5.9,81.6,8.1,1
1710111,81.3,6.7,104.8,8.8,1
1710112,84.9,3.4,102.2,9.8,0
1710113,80.2,5.7,58.6,7.9,1
1710114,127.9,7.4,83.4,6.6,0
1710115,96.2,9.0,51.4,8.2,0
1710116,89.1,6.7,111.2,7.4,0
1710117,108.3,9.5,110.6,6.0,1
1710118,74.9,9.4,130.1,9.7,1
1710119,124.3,5.8,64.2,7.0,0
1710120,97.5,8.9,70.7,7.9,0
1710121,80.3,5.6,145.5,6.0,0
1710122,102.1,5.4,75.2,8.0,1
1710123,118.9,7.2,109.6,4.7,1
1710124,119.9,9.0,113.5,9.0,1
1710125,105.2,7.8,65.3,7.5,1
1710126,96.3,9.0,157.2,9.3,1
1710127,58.8,7.9,101.9,8.9,1
1710128,98.9,6.8,90.7,,1
1710129,82.6,6.8,133.7,5.2,0
1710130,71.0,4.6,100.6,6.6,0
1710131,109.6,5.3,88.2,6.3,1
1710132,99.9,6.4,97.7,6.5,0
1710133,83.8,8.2,84.0,7.9,0
1710134,107.0,9.5,76.2,4.8,0
1710135,98.3,7.9,116.4,5.9,0
1710136,88.0,8.0,166.8,8.9,1
1710137,137.0,6.1,81.0,6.8,1
1710138,74.1,5.6,127.7,8.4,1
1710139,71.3,7.8,105.6,6.7,1
1710140,106.9,7.5,99.9,6.4,1
1710141,77.3,4.7,67.2,8.4,0
1710142,143.8,7.6,119.3,7.6,0
1710143,71.5,6.1,107.8,4.5,0
1710144,127.0,6.8,122.9,6.6,1
1710145,105.5,6.3,138.3,10.0,0
1710146,108.1,7.9,119.6,7.8,0
1710147,74.1,9.1,71.9,8.5,1
1710148,70.0,8.5,133.1,3.6,0
1710149,99.7,5.0,135.8,9.5,0
1710150,126.5,7.8,109.0,4.8,0
1710151,121.3,4.2,111.6,8.0,0
1710152,105.5,5.6,69.0,9.6,1
1710153,117.7,6.2,162.4,9.5,0
1710154,86.9,7.4,114.6,8.5,1
1710155,131.5,6.8,77.0,6.2,0
1710156,88.0,7.1,89.5,8.2,1
1710157,103.3,9.4,120.1,,1
1710158,69.1,7.6,63.7,6.3,0
1710159,94.1,7.8,49.6,7.0,1
1710160,112.6,7.6,151.3,7.4,1
1710161,119.4,7.4,88.1,6.6,0
1710162,134.9,9.0,117.0,10.0,0
1710163,98.6,8.5,109.9,6.2,1
1710164,116.7,6.3,101.2,6.5,1
1710165,138.0,7.5,69.7,7.3,0
1710166,75.0,9.0,79.0,8.0,0
1710167,78.6,8.2,142.4,7.2,0
1710168,77.3,8.4,104.6,8.7,0
1710169,124.9,6.6,85.8,6.3,1
1710170,81.5,4.3,111.7,7.8,0
1710171,79.0,8.4,107.6,10.0,0
1710172,84.8,7.8,109.1,5.5,0
1710173,126.8,7.2,77.8,8.2,0
1710174,125.8,5.9,132.0,7.3,0
1710175,55.6,7.1,111.4,8.5,0
1710176,90.9,6.8,79.5,7.8,0
1710177,100.4,7.0,96.2,5.8,0
1710178,95.0,6.2,63.3,6.8,1
1710179,74.3,8.3,141.1,3.9,0
1710180,124.3,8.2,89.5,6.7,0
1710181,110.6,8.6,126.9,7.4,0
1710182,98.3,7.2,135.5,6.3,0
1710183,80.2,8.3,135.8,3.4,0
1710184,103.0,6.3,57.2,8.0,0
1710185,123.1,8.9,111.7,6.7,0
1710186,99.2,6.0,101.8,8.2,0
1710187,67.8,9.0,76.5,6.8,1
1710188,81.3,5.5,111.1,8.3,0
1710189,34.5,7.9,101.7,8.2,0
1710190,75.5,10.0,118.5,8.6,0
1710191,134.0,7.5,102.4,8.2,0
1710192,42.1,5.0,117.8,7.0,0
1710193,90.5,7.6,127.8,8.7,0
1710194,135.2,6.7,80.0,5.5,1
1710195,96.3,6.5,122.9,8.2,0
1710196,102.7,7.4,125.7,5.8,1
1710197,110.6,5.7,99.4,7.1,0
1710198,55.5,9.5,98.6,5.8,1
1710199,114.6,7.4,110.9,7.1,1
1710200,103.8,6.6,125.8,7.2,0
1710201,103.4,7.2,126.5,7.4,0
1710202,79.5,6.1,105.8,8.6,1
1710203,124.2,9.0,124.0,5.0,1
1710204,98.6,5.4,70.1,6.4,0
1710205,94.5,6.0,74.0,6.0,0
1710206,91.8,7.9,110.4,7.0,0
1710207,108.0,7.9,82.8,6.6,0
1710208,70.2,9.9,90.8,8.7,0
1710209,46.3,7.8,66.1,9.1,1
1710210,72.9,7.9,76.2,7.5,0
1710211,141.1,5.2,109.3,5.7,0
1710212,103.8,9.1,113.1,4.1,0
1710213,63.1,6.6,106.2,5.5,1
1710214,131.2,5.8,104.9,5.9,0
1710215,101.2,5.9,105.8,7.9,0
1710216,122.1,4.4,86.3,6.3,1
1710217,114.7,8.8,113.6,6.2,1
1710218,88.5,6.5,87.4,5.4,0
1710219,94.9,9.1,81.9,8.7,0
1710220,91.8,4.1,125.7,6.2,0
1710221,132.4,7.3,102.6,6.4,1
1710222,97.6,9.5,46.2,10.0,1
1710223,121.8,8.5,118.4,6.7,0
1710224,111.2,7.2,71.0,5.4,1
1710225,78.9,7.0,133.9,5.7,0
1710226,103.7,9.2,158.7,6.6,0
1710227,112.5,7.2,94.0,6.7,1
1710228,87.4,8.4,102.3,6.1,1
1710229,165.3,5.7,119.3,6.8,1
1710230,70.4,6.4,95.7,6.9,1
1710231,116.0,10.0,104.4,6.1,1
1710232,109.6,4.6,83.7,7.4,1
1710233,148.5,7.5,56.8,7.5,1
1710234,110.7,7.6,48.8,7.0,0
1710235,120.1,8.8,91.6,7.7,1
1710236,43.8,10.0,69.2,9.8,1
1710237,127.4,7.0,101.1,6.7,0
1710238,121.9,8.0,114.3,5.8,0
1710239,95.9,4.8,96.3,7.7,1
1710240,74.0,7.4,84.4,6.2,1
1710241,106.7,7.1,117.0,4.9,1
1710242,130.1,7.9,78.4,5.4,0
1710243,120.3,5.4,64.2,6.4,1
1710244,73.3,9.4,124.2,6.2,1
1710245,119.4,3.5,97.0,8.5,0
1710246,111.9,8.4,132.4,6.8,1
1710247,112.2,7.1,122.5,8.5,1
1710248,89.0,7.5,113.2,6.0,0
1710249,128.1,8.7,117.5,3.5,0
1710250,139.8,7.2,92.6,6.4,0
1710251,101.5,6.1,112.1,7.5,0
1710252,102.2,6.8,90.5,7.0,1
1710253,113.7,5.8,100.8,6.7,0
1710254,52.6,6.1,92.7,6.0,0
1710255,131.9,6.2,133.7,6.6,0
1710256,87.6,8.3,130.9,6.0,1
1710257,127.1,6.0,100.9,9.6,1
1710258,102.8,8.3,107.4,7.7,0
1710259,115.3,6.7,112.8,6.6,1
1710260,91.7,10.0,124.2,9.1,1
1710261,84.5,7.7,101.4,4.2,0
1710262,90.6,9.8,109.5,10.0,1
1710263,103.9,8.5,90.5,5.9,0
1710264,91.5,9.6,95.8,5.7,1
1710265,80.6,4.8,77.3,10.0,1
1710266,112.9,9.2,106.1,7.0,0
1710267,81.2,7.5,81.8,6.7,0
1710268,99.4,7.8,86.1,6.3,0
1710269,112.9,8.4,145.4,7.9,1
1710270,142.3,6.7,108.8,4.9,1
1710271,115.5,9.5,73.0,7.4,1
1710272,118.1,6.8,64.4,10.0,1
1710273,101.2,4.7,100.0,5.7,0
1710274,131.6,7.6,93.2,7.0,0
1710275,92.9,7.1,84.6,10.0,0
1710276,124.6,6.9,166.7,7.4,1
1710277,99.3,8.4,71.5,7.5,0
1710278,122.6,10.0,102.0,4.9,0
1710279,96.8,4.4,155.3,7.2,0
1710280,65.9,8.8,120.5,7.8,1
1710281,124.0,7.2,114.9,5.8,0
1710282,135.7,8.4,90.7,3.4,0
1710283,37.3,9.7,139.9,7.5,0
1710284,127.4,5.2,136.3,6.1,1
1710285,127.5,5.4,146.9,6.9,0
1710286,91.0,7.0,86.9,8.7,1
1710287,94.8,9.1,80.8,9.2,0
1710288,109.4,6.8,148.4,6.3,1
1710289,108.1,5.3,111.6,5.2,1
1710290,122.7,7.2,57.6,7.5,0
1710291,61.5,4.0,172.3,9.0,1
1710292,92.7,5.4,97.3,6.4,1
1710293,103.1,4.3,85.5,9.1,0
1710294,71.5,8.4,88.1,6.6,1
1710295,89.1,6.3,118.0,8.1,1
1710296,117.9,6.9,113.0,7.0,0
1710297,83.5,5.4,82.0,7.5,1
1710298,98.8,9.9,99.1,9.5,0
1710299,127.8,6.0,81.8,7.8,1
1710300,100.6,8.2,94.5,8.4,1
1710301,103.9,6.8,75.8,7.5,0
1710302,102.6,6.5,148.6,7.2,1
1710303,121.9,9.6,93.7,8.3,1
1710304,97.5,4.9,123.5,9.1,0
1710305,93.3,8.9,102.8,6.7,1
1710306,127.6,8.9,114.0,8.4,1
1710307,77.1,10.0,95.2,7.3,0
1710308,107.1,7.2,79.5,7.4,0
1710309,79.6,7.5,110.9,7.5,0
1710310,97.3,6.4,148.6,8.3,1
1710311,126.2,7.0,123.1,7.3,1
1710312,120.1,8.5,107.6,5.5,1
1710313,68.9,8.5,94.1,7.0,0
1710314,143.5,7.1,115.1,6.9,0
1710315,50.7,6.8,114.8,9.0,0
1710316,106.9,8.0,124.8,7.6,0
1710317,100.4,5.0,63.2,9.3,1
1710318,94.5,5.3,89.8,8.4,0
1710319,107.5,7.4,125.8,6.7,1
1710320,127.9,8.0,69.4,8.1,0
1710321,109.0,6.4,106.0,5.4,1
1710322,100.2,9.7,89.8,10.0,0
1710323,49.5,8.1,104.5,6.2,0
1710324,145.6,6.1,75.7,9.3,1
1710325,136.5,7.6,94.3,8.1,0
1710326,83.8,7.8,92.1,7.5,0
1710327,120.0,7.1,134.5,8.5,0
1710328,100.1,4.9,91.9,5.2,0
1710329,78.1,8.0,104.9,4.6,1
1710330,108.6,4.1,97.8,9.1,1
1710331,107.8,8.1,124.3,7.4,0
1710332,96.2,7.0,127.7,9.2,1
1710333,40.4,9.2,111.9,5.1,0
1710334,94.3,8.1,68.9,7.0,0
1710335,79.9,9.8,84.4,6.7,1
1710336,59.9,8.3,85.7,9.3,1
1710337,70.5,8.3,91.1,9.7,1
1710338,121.2,9.0,118.2,8.3,1
1710339,131.1,6.9,83.1,8.2,0
1710340,111.1,6.7,80.2,5.9,1
1710341,128.4,5.5,154.1,8.4,0
1710342,128.6,6.7,87.2,10.0,1
1710343,85.6,7.1,113.9,5.0,0
1710344,100.7,5.2,149.6,7.2,0
1710345,95.0,7.6,83.6,7.7,0
1710346,82.1,4.2,99.7,7.0,1
1710347,94.6,6.0,142.7,6.5,0
1710348,113.8,7.1,89.8,6.1,1
1710349,120.6,6.4,84.8,6.0,1
1710350,122.7,4.5,106.6,7.0,1
1710351,63.8,5.9,141.7,8.9,0
1710352,105.6,8.5,75.4,6.8,0
1710353,81.6,8.1,102.2,6.1,0
1710354,84.3,6.2,143.9,6.2,1
1710355,90.9,8.2,75.4,6.6,1
1710356,99.1,7.7,84.9,7.5,1
1710357,134.0,5.9,120.3,7.0,0
1710358,96.9,7.8,127.8,7.4,0
1710359,93.8,8.0,86.3,10.0,0
1710360,124.9,9.1,92.8,7.1,1
1710361,76.6,10.0,149.5,5.8,0
1710362,109.0,9.8,110.5,5.1,1
1710363,97.3,7.3,68.5,5.8,0
1710364,52.9,8.4,148.6,7.1,1
1710365,102.0,8.5,92.8,3.7,1
1710366,110.2,7.5,104.7,8.8,0
1710367,144.9,6.7,89.9,8.9,0
1710368,97.3,7.2,97.3,7.0,0
1710369,101.5,6.5,96.7,6.8,0
1710370,59.8,9.2,139.6,7.3,1
1710371,89.2,8.3,50.8,8.8,0
1710372,115.4,7.2,112.4,5.5,0
1710373,114.4,7.1,77.8,8.1,1
1710374,48.6,5.0,88.3,6.6,0
1710375,44.4,7.3,103.8,5.8,0
1710376,86.9,6.4,82.0,5.8,1
1710377,96.7,6.2,86.7,6.4,1
1710378,112.0,8.8,89.4,6.8,0
1710379,102.6,9.3,64.3,6.3,0
1710380,100.7,9.8,98.7,8.6,1
1710381,35.1,6.5,119.2,6.2,0
1710382,105.9,6.4,113.9,5.6,1
1710383,117.7,7.0,101.4,7.1,0
1710384,141.1,6.8,77.5,9.0,0
1710385,101.4,6.9,80.4,7.6,0
1710386,77.7,10.0,67.1,8.1,1
1710387,133.7,7.6,94.4,7.4,0
1710388,65.7,8.0,119.3,6.4,1
1710389,62.8,7.2,108.1,5.9,1
1710390,97.9,5.3,60.0,6.0,0
1710391,140.7,5.7,111.9,6.9,0
1710392,98.3,7.5,90.3,6.9,1
1710393,124.6,7.0,96.1,7.6,1
1710394,130.6,7.4,109.2,9.6,1
1710395,99.5,8.3,120.5,8.3,1
1710396,87.4,7.9,120.6,8.7,0
1710397,89.7,7.7,68.4,6.5,1
1710398,65.6,9.5,112.2,6.6,0
1710399,90.6,7.0,88.4,7.1,1
1710400,102.2,9.7,106.1,5.6,1
1710401,109.8,6.8,102.6,9.4,0
1710402,109.8,6.1,91.9,7.8,1
1710403,140.4,6.7,91.8,10.0,1
1710404,85.8,5.0,98.1,7.2,0
1710405,66.2,8.7,137.1,6.7,1
1710406,89.9,7.5,110.9,8.2,1
1710407,105.3,8.7,116.2,5.2,1
1710408,122.3,6.8,74.1,6.4,0
1710409,74.2,5.2,99.7,7.2,1
1710410,95.9,6.9,101.1,6.9,1
1710411,96.9,6.0,123.9,6.8,0
1710412,124.1,7.3,124.6,7.4,0
1710413,82.2,6.3,119.8,7.5,0
1710414,149.8,7.3,94.0,8.5,0
1710415,79.9,10.0,91.4,8.4,1
1710416,94.9,6.5,131.0,,0
1710417,102.8,9.8,116.1,8.0,0
1710418,60.3,8.7,112.3,7.5,0
1710419,97.7,6.9,67.9,6.0,1
1710420,104.4,8.1,131.5,10.0,0
1710421,76.1,5.8,65.8,6.8,0
1710422,96.7,9.8,119.9,6.4,1
1710423,89.9,7.7,80.4,7.9,1
1710424,79.4,7.2,126.1,5.8,1
1710425,102.5,8.2,68.8,7.8,0
1710426,70.5,9.5,117.0,5.5,0
1710427,126.4,8.1,106.7,7.5,1
1710428,124.9,7.6,68.3,8.6,1
1710429,115.2,3.9,77.1,6.2,0
1710430,106.3,5.5,67.2,7.1,1
1710431,112.1,8.3,87.3,,1
1710432,101.4,10.0,118.1,6.8,0
1710433,92.0,7.2,102.9,7.2,1
1710434,130.6,6.9,97.6,8.3,0
1710435,91.7,7.7,125.2,6.0,0
1710436,88.2,9.0,110.1,10.0,0
1710437,109.3,8.1,90.1,5.1,0
1710438,107.8,8.1,50.0,7.2,1
1710439,125.6,8.2,70.1,5.8,0
1710440,79.8,3.7,90.2,9.6,1
1710441,98.3,6.8,67.5,6.2,0
1710442,117.1,8.9,120.4,4.9,0
1710443,88.5,6.3,97.4,,1
1710444,87.0,6.0,138.5,7.2,0
1710445,102.3,6.6,96.1,7.0,1
1710446,135.9,7.4,111.8,7.2,0
1710447,123.3,5.7,98.1,7.8,1
1710448,115.6,4.6,143.2,9.0,1
1710449,95.8,4.7,73.9,5.1,0
1710450,138.1,6.2,108.3,8.0,0
1710451,133.6,8.8,121.0,5.3,0
1710452,119.4,4.5,91.1,8.8,1
1710453,145.3,7.4,116.7,6.2,0
1710454,73.7,7.6,36.3,9.4,0
1710455,117.6,7.4,85.4,8.2,1
1710456,75.9,7.6,98.7,7.0,0
1710457,112.7,8.8,88.7,7.0,0
1710458,87.9,10.0,24.8,7.0,0
1710459,49.1,7.1,76.5,7.2,1
1710460,67.6,7.3,90.6,6.5,1
1710461,97.7,5.4,118.9,8.2,1
1710462,100.2,7.4,104.5,8.0,1
1710463,103.8,5.9,127.2,5.1,1
1710464,81.3,6.7,70.3,5.9,1
1710465,68.4,7.2,123.8,6.4,0
1710466,95.0,5.8,63.8,3.8,0
1710467,106.2,8.5,114.6,6.8,1
1710468,100.3,9.1,104.8,6.2,1
1710469,74.2,8.2,171.4,9.2,1
1710470,132.2,6.3,96.7,5.8,1
1710471,57.8,9.6,109.6,7.6,1
1710472,60.6,6.6,120.0,8.6,1
1710473,106.0,6.0,124.6,5.4,1
1710474,75.7,8.3,131.1,9.3,1
1710475,124.7,9.1,121.0,6.3,1
1710476,128.2,8.7,73.5,6.5,1
1710477,117.0,7.0,87.9,4.5,0
1710478,114.3,8.6,66.5,8.2,1
1710479,64.8,7.0,86.0,4.6,0
1710480,149.4,7.2,87.9,7.0,0
1710481,74.1,8.3,96.7,7.5,1
1710482,65.7,8.1,63.8,8.7,0
1710483,102.2,6.1,129.6,6.9,0
1710484,64.1,10.0,43.3,7.4,0
1710485,141.4,9.5,131.9,5.8,0
1710486,110.3,6.1,89.6,10.0,0
1710487,63.7,7.4,72.7,8.8,0
1710488,96.5,5.1,135.8,7.3,0
1710489,99.1,7.9,62.7,6.7,0
1710490,83.6,7.1,66.3,8.2,0
1710491,93.7,6.0,59.6,8.7,1
1710492,131.1,7.7,97.8,5.7,0
1710493,122.8,7.1,71.8,8.4,0
1710494,103.9,7.5,106.0,6.6,0
1710495,100.1,7.4,128.2,5.6,0
1710496,128.2,7.6,68.3,7.8,0
1710497,87.9,8.6,22.9,8.7,0
1710498,107.9,4.9,46.0,9.7,1
1710499,87.9,5.0,47.0,10.0,1
1710500,100.9,6.1,139.5,7.2,0
1710501,131.7,7.8,82.2,8.1,1
1710502,58.6,8.2,103.0,8.0,0
1710503,124.0,6.9,130.5,5.5,1
1710504,120.3,7.8,102.3,8.6,0
1710505,94.4,6.0,101.0,6.0,0
1710506,75.6,6.1,57.1,9.2,1
1710507,74.5,9.0,124.2,8.6,1
1710508,157.3,7.7,110.7,5.5,1
1710509,102.9,7.7,92.4,6.0,0
1710510,76.3,5.6,128.2,3.9,1
1710511,100.1,7.5,77.0,3.7,1
1710512,95.6,9.7,67.1,6.4,0
1710513,96.7,6.5,95.1,7.1,1
1710514,73.4,8.8,115.0,8.7,0
1710515,101.0,6.7,133.2,7.9,1
1710516,103.5,5.8,131.3,,0
1710517,35.4,6.9,128.7,10.0,1
1710518,69.4,8.3,126.3,7.4,0
1710519,113.9,7.3,167.0,7.6,0
1710520,102.7,10.0,119.1,8.3,1
1710521,111.8,8.8,118.1,6.9,0
1710522,107.1,7.3,108.0,8.7,0
1710523,79.4,5.8,55.4,9.0,0
1710524,68.5,6.9,132.4,5.4,0
1710525,98.3,5.1,99.9,10.0,0
1710526,114.2,8.1,132.8,6.3,1
1710527,32.4,9.4,47.8,9.2,0
1710528,109.4,8.8,97.3,5.4,1
1710529,135.7,5.1,93.2,8.8,1
1710530,44.2,7.6,114.9,8.9,0
1710531,83.4,4.5,83.9,4.6,1
1710532,109.4,6.6,127.1,7.0,1
1710533,106.3,8.2,121.3,6.8,0
1710534,94.0,7.1,71.2,6.8,0
1710535,103.3,7.2,96.9,6.4,0
1710536,120.2,8.3,65.8,9.3,0
1710537,117.3,5.9,68.8,8.6,0
1710538,109.5,5.2,68.9,6.7,0
1710539,79.2,9.0,105.4,7.9,1
1710540,89.4,10.0,95.2,6.5,0
1710541,94.1,8.8,98.6,5.0,0
1710542,89.6,7.4,117.3,6.3,0
1710543,83.6,8.5,68.4,7.0,0
1710544,111.0,6.4,130.3,6.8,1
1710545,135.6,8.7,69.3,6.3,1
1710546,64.9,6.9,116.6,7.5,1
1710547,127.7,8.4,129.9,8.1,0
1710548,81.7,7.7,115.9,7.6,1
1710549,108.9,7.8,126.5,5.3,0
1710550,120.6,6.4,61.3,6.5,0
1710551,135.8,5.1,59.8,6.8,0
1710552,101.9,7.9,47.7,7.0,1
1710553,127.6,5.9,89.4,7.1,1
1710554,82.6,6.2,67.7,7.0,0
1710555,43.9,8.7,99.3,7.3,0
1710556,93.7,7.6,112.1,5.9,1
1710557,135.3,7.3,86.7,7.4,0
1710558,93.8,8.8,100.0,10.0,0
1710559,151.9,8.0,134.9,7.8,1
1710560,112.8,7.4,108.2,9.2,1
1710561,131.4,6.9,84.6,10.0,0
1710562,132.7,7.7,138.6,7.5,0
1710563,102.3,6.9,104.1,8.7,1
1710564,121.6,7.7,102.8,6.3,0
1710565,103.2,8.0,109.7,6.3,0
1710566,103.5,6.2,87.0,9.9,1
1710567,128.9,5.7,69.0,8.6,1
1710568,93.8,8.5,100.2,7.0,1
1710569,84.8,7.7,103.0,4.5,0
1710570,117.2,7.3,91.5,3.8,0
1710571,101.7,5.8,138.4,7.4,1
1710572,88.6,8.8,125.2,9.5,1
1710573,97.8,7.7,91.1,7.3,0
1710574,58.8,6.8,74.4,7.5,0
1710575,130.7,7.1,76.9,5.5,0
1710576,118.1,9.7,128.1,7.4,0
1710577,100.6,6.4,155.3,7.0,0
1710578,51.2,8.9,65.8,7.8,1
1710579,84.9,7.5,61.1,6.4,1
1710580,99.8,8.0,98.9,8.6,0
1710581,88.3,8.5,115.7,7.9,1
1710582,92.4,6.4,74.1,6.2,0
1710583,87.1,7.8,119.8,6.0,0
1710584,109.9,7.2,45.6,6.9,1
1710585,115.9,8.1,136.0,9.1,0
1710586,110.3,6.5,79.6,9.0,1
1710587,103.3,7.8,76.7,10.0,0
1710588,114.0,7.7,145.9,7.1,0
1710589,72.9,6.9,90.5,,1
1710590,95.4,9.3,110.4,3.9,0
1710591,62.8,10.0,94.8,7.2,0
1710592,120.6,8.3,97.6,5.7,0
1710593,134.3,5.3,102.6,7.6,0
1710594,94.7,7.9,110.0,6.1,1
1710595,76.4,4.6,69.2,6.9,0
1710596,115.1,7.6,76.2,7.4,1
1710597,84.1,6.9,85.1,10.0,0
1710598,119.3,5.6,80.0,9.4,1
1710599,107.9,8.9,31.4,9.0,1
1710600,81.3,8.3,60.0,9.5,0
1710601,152.5,7.3,106.6,7.0,0
1710602,103.9,6.2,123.8,8.9,0
1710603,75.3,7.8,98.1,6.4,0
1710604,141.5,8.3,111.9,6.2,1
1710605,136.8,5.4,97.5,6.5,0
1710606,81.2,9.6,107.8,10.0,0
1710607,101.7,6.9,78.4,8.7,1
1710608,88.8,6.4,86.6,9.1,0
1710609,106.3,4.8,118.0,10.0,1
1710610,85.6,4.2,103.1,6.3,1
1710611,145.1,6.6,112.5,8.9,0
1710612,70.8,9.0,68.1,6.4,1
1710613,116.4,7.2,125.2,6.4,1
1710614,120.6,7.2,93.3,7.5,0
1710615,149.2,5.8,122.3,6.9,0
1710616,133.4,7.8,149.7,,0
1710617,80.3,5.5,132.4,6.9,0
1710618,102.6,8.0,99.6,5.4,1
1710619,100.7,2.6,146.4,4.8,0
1710620,79.3,5.8,58.8,7.2,0
1710621,147.8,5.6,88.0,7.1,0
1710622,113.8,8.5,128.7,8.4,1
1710623,97.0,7.3,134.0,5.6,1
1710624,51.7,9.7,130.9,7.6,0
1710625,98.0,10.0,106.1,7.3,0
1710626,89.2,6.2,130.8,8.8,1
1710627,120.1,7.8,46.5,5.2,1
1710628,63.9,7.1,118.8,8.0,1
1710629,116.6,10.0,78.0,6.7,1
1710630,136.7,8.0,77.6,9.2,0
1710631,83.3,7.9,109.8,6.8,0
1710632,166.4,7.0,65.5,8.3,0
1710633,77.7,10.0,115.8,6.0,0
