OrderID,Distance_KM,CourierExp_Months,PrepTime_Mins,DeliveryTime_Mins,Rating
720281,1.24,5,30,31.9,4
720282,7.51,44,30,58.9,2
720283,11.45,11,10,54.0,1
720284,4.39,14,30,39.3,4
720285,5.57,36,30,38.7,4
720286,10.39,40,25,54.0,2
720287,5.71,37,10,37.3,4
720288,6.15,36,30,43.9,5
720289,7.81,20,25,52.7,2
720290,11.33,41,15,51.1,2
720291,2.33,18,10,15.7,5
720292,7.15,2,10,40.3,4
720293,11.16,37,25,71.8,3
720294,8.79,24,25,57.7,1
720295,11.17,18,20,68.6,1
720296,4.14,47,30,34.4,4
720297,8.97,33,10,36.2,5
720298,10.14,42,15,40.7,5
720299,7.11,22,30,54.7,2
720300,2.21,2,10,17.2,5
720301,10.08,5,15,56.9,1
720302,10.09,12,15,54.5,2
720303,2.84,10,20,25.9,5
720304,3.97,44,25,33.7,5
720305,10.77,1,15,57.5,2
720306,4.79,19,15,28.5,4
720307,7.93,12,10,35.7,4
720308,3.3,5,30,38.2,4
720309,5.16,9,25,41.7,5
720310,11.56,13,25,69.2,3
720311,1.78,24,15,24.0,4
720312,1.81,13,30,31.2,5
720313,5.38,37,30,48.8,1
720314,1.64,26,10,18.2,4
720315,1.87,36,30,36.3,5
720316,1.84,34,10,14.0,5
720317,11.12,42,30,63.8,3
720318,5.52,31,25,49.9,1
720319,4.72,25,30,38.5,4
720320,3.06,37,10,16.6,4
720321,11.35,47,30,76.8,3
720322,11.96,46,30,78.2,1
720323,7.6,26,10,34.3,5
720324,4.88,28,20,40.5,4
720325,2.23,38,20,16.1,5
720326,4.8,23,10,17.8,5
720327,6.15,36,20,33.8,4
720328,8.88,11,20,61.3,2
720329,7.2,14,15,31.5,5
720330,2.35,14,25,28.6,4
720331,5.79,6,20,47.5,2
720332,6.05,17,10,34.2,4
720333,9.29,6,20,60.4,1
720334,6.22,31,30,55.6,2
720335,5.67,15,25,42.7,4
720336,6.13,3,15,37.8,4
720337,5.49,13,25,37.8,5
720338,9.59,45,25,48.4,2
720339,6.17,39,25,52.0,3
720340,7.8,7,15,42.8,4
720341,8.87,15,25,63.9,2
720342,6.94,41,15,30.2,4
720343,1.89,1,15,24.5,4
720344,4.7,20,20,34.0,5
720345,9.18,3,20,54.7,1
720346,7.15,11,20,48.5,2
720347,4.81,47,25,41.4,5
720348,4.73,24,30,44.5,4
720349,2.94,3,30,38.5,5
720350,11.98,13,25,71.1,1
720351,1.27,46,30,30.7,5
720352,3.5,25,30,43.4,5
720353,11.28,33,30,66.5,2
720354,9.55,4,20,59.8,2
720355,8.45,42,30,56.0,2
720356,10.24,36,30,71.1,1
720357,3.07,12,25,34.6,4
720358,1.45,33,15,13.9,4
720359,11.19,3,20,58.9,1
720360,5.23,43,25,44.1,5
720361,6.64,23,20,38.9,5
720362,1.17,3,20,25.3,5
720363,11.68,44,15,55.0,3
720364,5.84,12,25,54.2,2
720365,8.52,44,25,58.1,3
720366,0.54,18,10,19.4,5
720367,1.68,17,20,25.0,5
720368,1.64,9,25,27.4,4
720369,2.72,30,10,13.2,4
720370,4.45,13,20,37.8,4
720371,1.88,17,15,23.0,5
720372,7.81,9,15,47.4,1
720373,11.08,31,20,60.1,3
720374,6.9,36,30,46.9,1
720375,9.42,31,15,42.0,5
720376,3.68,18,15,27.1,5
720377,5.88,4,15,38.0,5
720378,3.51,26,10,18.4,4
720379,8.68,39,20,49.2,3
720380,6.44,30,10,24.7,4
720381,4.93,47,25,36.9,4
720382,9.13,6,10,43.1,4
720383,9.38,46,30,56.2,3
720384,3.03,17,30,47.9,1
720385,3.98,40,30,40.7,5
720386,11.82,18,15,65.1,1
720387,9.34,9,25,68.6,3
720388,3.51,10,30,43.0,5
720389,0.58,8,10,17.3,4
720390,10.53,20,15,55.6,3
720391,3.86,13,25,33.5,4
720392,7.95,41,15,41.8,5
720393,5.67,34,10,31.7,4
720394,8.06,37,10,30.2,5
720395,1.82,30,25,29.9,5
720396,2.06,34,30,30.6,4
720397,10.42,5,10,59.3,2
720398,6.69,19,10,33.1,5
720399,4.57,22,25,34.9,5
720400,9.51,9,25,65.5,1
720401,10.9,44,10,46.9,1
720402,3.47,22,20,35.0,5
720403,11.18,45,30,69.2,1
720404,7.94,1,10,33.1,4
720405,4.38,39,10,13.6,4
720406,5.54,13,10,29.6,4
720407,7.61,27,10,24.6,4
720408,4.09,19,20,24.6,5
720409,2.69,37,15,22.0,5
720410,3.15,31,15,21.3,5
720411,2.55,39,15,20.2,5
720412,3.92,37,25,36.2,4
720413,4.81,22,20,36.8,5
720414,4.06,22,15,36.9,4
720415,1.84,3,20,24.5,5
720416,1.77,17,10,15.5,4
720417,11.9,11,20,74.0,2
720418,7.16,7,20,50.2,1
720419,3.3,20,25,33.4,5
720420,2.7,17,10,22.2,4
720421,4.26,16,30,42.3,4
720422,9.94,11,10,54.1,1
720423,9.64,41,10,38.7,4
720424,9.23,4,30,61.3,2
720425,2.69,28,15,23.7,5
720426,3.09,16,10,22.6,5
720427,3.17,3,30,45.6,3
720428,10.6,45,25,61.2,3
720429,1.16,42,25,27.2,5
720430,8.25,37,20,46.3,2
720431,0.58,46,20,19.9,5
720432,9.72,36,30,65.0,3
720433,10.3,19,15,45.2,1
720434,11.62,12,20,59.0,2
720435,7.84,29,15,42.2,4
720436,6.83,33,20,42.9,5
720437,6.71,42,20,41.9,4
720438,3.08,45,10,12.0,4
720439,9.26,8,10,51.3,2
720440,3.42,2,30,46.6,1
720441,7.62,17,25,63.0,3
720442,11.16,17,15,52.2,1
720443,1.76,18,15,20.6,4
720444,5.3,37,30,42.6,5
720445,10.53,26,10,45.2,1
720446,5.24,35,20,39.7,4
720447,4.19,31,25,38.1,4
720448,2.24,2,20,33.7,5
720449,1.05,18,30,32.4,4
720450,4.28,29,25,40.7,4
720451,1.78,31,25,30.7,5
720452,0.57,29,15,15.9,4
720453,2.08,6,25,39.7,5
720454,4.69,5,20,41.2,4
720455,1.59,11,20,21.0,4
720456,5.4,4,25,48.2,1
720457,7.48,7,25,52.8,3
720458,6.52,41,20,45.2,2
720459,2.78,33,10,24.2,4
720460,3.48,8,15,31.0,5
720461,5.27,25,25,46.4,2
720462,9.99,45,15,52.7,3
720463,9.78,1,20,63.2,1
720464,5.72,18,20,34.4,4
720465,3.44,17,15,21.8,4
720466,4.4,41,20,25.1,5
720467,10.61,8,10,59.8,1
720468,2.16,42,25,,5
720469,2.64,40,25,24.7,5
720470,7.12,9,20,48.1,1
720471,5.93,31,20,37.8,5
720472,3.4,7,25,31.7,4
720473,6.35,19,20,52.4,1
720474,7.75,47,30,66.3,1
720475,5.59,13,15,26.9,5
720476,3.42,36,20,30.4,5
720477,9.47,21,25,53.4,3
720478,9.93,43,25,61.0,1
720479,8.16,10,10,42.4,5
720480,2.25,19,10,16.2,4
720481,0.99,22,20,21.8,5
720482,4.05,1,30,57.4,1
720483,7.7,38,10,36.1,4
720484,6.36,46,10,27.0,5
720485,1.92,4,25,37.8,4
720486,6.61,23,25,53.1,1
720487,7.45,36,15,30.5,4
720488,5.3,8,25,46.2,1
720489,1.97,25,30,34.4,5
720490,6.87,36,30,53.2,1
720491,5.72,7,20,43.8,4
720492,7.58,10,10,47.4,2
720493,8.12,38,15,45.8,3
720494,2.96,34,25,32.1,4
720495,10.85,14,10,51.6,2
720496,6.86,44,20,35.4,4
720497,9.84,6,20,68.3,1
720498,4.64,5,10,27.6,5
720499,3.06,17,25,27.7,5
720500,3.05,21,25,41.2,4
720501,5.16,14,30,47.1,3
720502,9.23,37,30,62.2,3
720503,4.18,29,25,39.7,4
720504,10.87,31,20,57.5,3
720505,11.07,8,20,67.6,3
720506,6.32,30,10,24.0,4
720507,11.62,28,10,63.2,2
720508,10.94,4,25,72.2,1
720509,1.36,29,15,12.2,5
720510,6.2,7,10,32.1,4
720511,5.87,28,20,39.7,4
720512,4.54,15,20,39.4,4
720513,8.92,11,30,63.5,1
720514,4.12,36,25,33.2,5
720515,5.0,14,30,45.8,2
720516,11.54,16,20,51.7,1
720517,6.0,31,25,50.4,2
720518,7.66,31,25,50.3,3
720519,5.78,17,10,28.0,4
720520,4.74,30,15,38.2,4
720521,11.13,16,30,63.4,1
720522,5.46,43,15,27.2,5
720523,10.6,5,15,56.9,3
720524,3.06,13,15,26.1,4
720525,11.97,23,30,73.1,1
720526,9.43,9,10,40.7,4
720527,8.05,23,20,51.9,1
720528,9.13,29,30,67.4,1
720529,10.61,16,20,64.6,3
720530,7.36,20,15,32.5,4
720531,3.9,37,10,21.9,4
720532,10.8,6,25,63.3,2
720533,9.81,14,10,47.7,2
720534,0.72,17,25,18.4,4
720535,3.07,12,15,30.0,5
720536,8.58,34,15,37.1,5
720537,2.37,6,15,13.0,4
720538,3.28,42,20,33.8,5
720539,2.89,38,30,43.7,5
720540,6.94,37,20,52.4,2
720541,7.32,14,20,47.0,1
720542,3.68,30,30,44.6,5
720543,3.02,25,20,34.0,5
720544,4.8,46,20,33.0,5
720545,8.9,20,20,49.9,2
720546,3.46,23,10,27.9,4
720547,4.39,26,30,36.8,4
720548,0.83,33,15,16.4,4
720549,9.49,33,20,59.1,1
720550,0.9,21,15,18.0,4
720551,7.29,23,20,52.9,3
720552,6.49,47,25,40.4,5
720553,8.8,4,15,53.0,1
720554,9.12,9,25,61.6,2
720555,5.89,29,25,46.2,3
720556,11.39,24,15,64.2,2
720557,6.73,34,30,52.7,3
720558,9.75,8,30,68.2,2
720559,7.09,19,20,45.7,2
720560,4.13,30,25,47.4,1
720561,10.84,34,10,46.5,1
720562,6.61,35,10,28.9,5
720563,4.73,12,30,50.9,2
720564,4.3,39,10,14.5,4
720565,1.97,17,20,27.6,5
720566,7.39,4,15,41.5,5
720567,8.75,5,30,74.7,2
720568,4.74,10,30,46.2,2
720569,6.38,5,30,58.4,1
720570,10.46,21,30,70.2,3
720571,1.62,8,25,34.8,4
720572,9.16,22,25,57.5,3
720573,10.88,8,20,61.0,2
720574,7.41,4,25,49.5,1
720575,2.17,1,30,38.9,5
720576,9.74,16,10,43.5,5
720577,6.55,47,15,35.5,4
720578,5.93,35,25,44.3,5
720579,3.99,18,25,35.6,4
720580,10.31,20,25,64.9,1
720581,10.15,27,10,46.1,1
720582,7.39,9,10,46.2,1
720583,6.39,6,20,53.8,3
720584,1.26,41,10,12.0,4
720585,8.23,45,30,45.4,3
720586,5.94,20,10,39.5,4
720587,11.88,42,30,70.1,1
720588,1.26,22,10,14.2,5
720589,6.86,31,25,52.4,3
720590,8.82,10,15,49.7,2
720591,9.36,40,20,62.1,3
720592,1.03,30,30,24.9,5
720593,5.35,35,30,50.1,1
720594,5.24,7,10,26.5,5
720595,2.24,42,25,21.9,5
720596,8.15,46,30,57.8,3
720597,1.29,30,15,12.0,5
720598,6.3,13,15,42.1,5
720599,9.96,3,10,46.4,3
720600,6.24,37,10,34.3,5
720601,4.04,32,15,24.6,5
720602,2.17,30,20,20.8,4
720603,10.81,15,15,52.1,3
720604,6.92,23,10,36.2,5
720605,11.92,38,25,68.6,3
720606,10.19,17,10,38.2,4
720607,5.58,39,30,46.9,1
720608,6.03,13,30,51.4,2
720609,4.27,10,30,53.9,2
720610,8.03,42,15,38.8,4
720611,2.79,21,20,23.5,4
720612,1.16,5,10,13.6,5
720613,5.84,21,10,23.4,5
720614,9.68,17,25,60.8,2
720615,10.42,3,10,43.3,4
720616,10.14,20,30,65.1,1
720617,8.28,4,20,60.3,2
720618,10.26,5,25,68.8,1
720619,6.16,40,20,45.0,4
720620,1.08,30,10,12.0,5
720621,6.47,3,10,32.1,5
720622,10.3,44,15,46.5,3
720623,11.07,4,20,60.9,2
720624,11.82,29,15,59.1,3
720625,5.89,35,30,50.5,1
720626,11.11,40,15,47.0,3
720627,8.0,37,10,31.8,4
720628,1.58,43,10,12.0,5
720629,9.93,21,20,60.0,2
720630,8.15,38,30,62.0,3
720631,10.95,37,15,65.0,1
720632,3.0,36,10,13.2,4
720633,3.76,15,25,35.1,5
720634,11.98,42,15,58.8,2
720635,8.49,36,15,44.4,4
720636,10.15,38,10,40.6,4
720637,11.66,29,10,50.9,2
720638,10.57,2,30,75.1,1
720639,1.23,41,30,34.2,4
720640,9.3,3,30,63.4,1
720641,5.88,25,30,43.0,4
720642,4.85,12,25,43.1,5
720643,11.25,11,20,,1
720644,3.0,30,15,16.2,5
720645,10.77,38,15,52.2,2
720646,7.04,41,20,37.1,5
720647,7.67,9,15,43.7,4
720648,1.4,24,10,12.0,4
720649,11.22,16,30,73.6,3
720650,2.12,16,10,23.9,5
720651,7.19,36,25,49.5,3
720652,9.44,16,15,51.3,2
720653,7.96,17,15,41.5,5
720654,0.82,9,30,30.5,5
720655,1.97,21,15,25.4,4
720656,11.74,47,25,60.9,2
720657,8.71,30,10,45.4,2
720658,10.34,42,30,61.4,3
720659,5.56,15,20,,1
720660,6.98,11,10,36.4,5
720661,2.48,37,30,35.8,4
720662,7.46,35,10,39.4,4
720663,8.99,13,30,58.1,1
720664,2.01,31,10,16.9,5
720665,11.24,8,25,67.1,1
720666,7.58,11,15,34.2,4
720667,7.41,44,20,40.3,4
720668,5.09,46,25,34.3,4
720669,6.75,2,25,45.7,3
720670,2.47,29,30,37.7,5
720671,5.87,28,25,51.4,2
720672,10.44,14,10,47.6,3
720673,3.85,31,10,14.9,4
720674,1.09,42,25,27.8,5
720675,5.1,46,25,38.9,4
720676,3.99,30,20,23.6,4
720677,7.65,40,25,49.2,2
720678,8.34,44,30,67.2,2
720679,6.44,22,25,51.5,1
720680,11.34,26,30,69.6,2
720681,6.64,24,20,48.7,2
720682,7.36,18,10,26.1,5
720683,4.21,24,30,40.9,4
720684,11.6,38,20,62.0,1
720685,11.14,17,30,71.1,3
720686,11.04,23,30,69.3,2
720687,7.72,1,20,51.5,1
720688,7.9,8,20,54.9,3
720689,6.45,9,15,38.8,5
720690,9.84,39,10,38.6,5
720691,7.06,36,25,51.9,1
720692,3.32,4,15,25.2,4
720693,3.63,43,20,29.6,4
720694,8.01,27,10,29.9,4
720695,3.99,17,30,41.9,5
720696,2.75,37,25,27.8,5
720697,11.96,19,30,73.3,2
720698,4.01,21,30,,1
720699,6.52,39,15,37.6,4
720700,1.82,9,15,23.8,4
720701,9.91,23,25,58.4,3
720702,2.85,44,25,23.1,5
720703,10.26,32,20,50.4,1
720704,7.49,41,30,51.9,2
720705,3.66,39,30,40.4,4
720706,5.95,10,20,44.1,5
720707,9.1,10,10,43.6,4
720708,5.3,15,30,41.5,5
720709,5.13,34,20,32.4,5
720710,1.53,10,20,30.6,4
720711,7.28,25,15,42.0,5
720712,11.91,14,10,57.2,3
720713,4.01,7,25,46.5,1
720714,1.94,47,25,25.3,4
720715,6.14,31,10,21.9,5
720716,11.87,46,15,49.8,3
720717,3.7,31,10,15.8,4
720718,6.3,14,20,45.7,1
720719,2.62,41,20,31.7,4
720720,9.78,44,10,49.9,1
720721,9.6,19,20,51.4,1
720722,2.58,9,15,20.3,5
720723,0.9,31,25,25.5,5
720724,5.05,11,10,35.1,4
720725,9.07,40,10,39.7,4
720726,8.55,20,15,58.1,2
720727,5.49,14,25,37.5,4
720728,1.21,10,30,36.9,4
720729,3.26,6,15,31.4,5
720730,2.1,42,25,27.7,4
720731,10.14,4,10,59.5,1
720732,1.7,3,25,35.5,4
720733,6.33,45,20,42.6,5
720734,8.35,37,30,67.5,3
720735,11.57,39,10,39.4,4
720736,11.08,35,30,65.9,2
720737,3.29,35,10,23.4,4
720738,4.01,1,20,24.2,4
720739,5.16,16,15,30.1,4
720740,4.66,40,15,31.0,5
720741,4.36,9,30,37.0,4
720742,10.12,14,30,69.4,3
720743,4.51,26,10,29.0,5
720744,3.82,11,30,,1
720745,4.11,16,10,12.0,5
720746,3.05,26,30,43.8,5
720747,2.6,24,15,26.1,4
720748,0.96,36,20,19.1,4
720749,2.28,21,30,33.4,4
720750,6.6,36,30,48.8,3
720751,6.32,31,15,34.8,4
720752,4.6,20,20,33.1,5
720753,1.49,30,25,29.6,5
720754,9.07,10,25,63.4,2
720755,4.61,2,25,42.4,5
720756,7.19,42,20,45.7,1
720757,4.83,29,25,51.5,1
720758,10.29,27,15,56.7,1
720759,2.55,10,15,27.5,4
720760,5.18,35,30,46.9,2
720761,8.99,4,20,60.9,3
720762,7.82,27,30,58.2,3
720763,3.27,25,30,38.5,4
720764,1.43,33,30,29.5,5
720765,8.83,29,30,61.8,1
720766,2.26,27,15,18.0,4
720767,8.31,40,20,46.9,1
720768,8.35,17,30,56.2,3
720769,2.57,1,25,37.8,4
720770,4.02,8,30,44.1,5
720771,9.94,4,20,48.4,3
720772,3.86,2,30,49.6,3
720773,6.24,18,15,31.9,4
720774,3.88,38,30,45.9,1
720775,5.1,35,25,39.7,5
720776,10.49,20,30,68.3,3
720777,3.19,31,25,24.0,4
720778,8.01,19,30,63.8,2
720779,3.19,8,20,21.0,5
720780,7.93,12,30,56.0,2
720781,11.69,24,30,73.7,2
720782,4.11,7,10,22.8,4
720783,10.72,28,25,57.9,1
720784,9.54,30,25,60.2,3
720785,11.19,8,30,72.9,1
720786,1.0,15,20,21.6,5
720787,9.88,7,20,52.9,1
720788,9.88,19,30,69.4,2
720789,0.51,27,20,12.0,5
720790,5.68,29,30,49.0,2
720791,5.48,15,25,42.2,5
720792,11.15,20,10,50.3,3
720793,10.95,41,10,50.3,3
720794,2.02,21,30,27.3,4
720795,11.44,5,20,63.4,2
720796,3.36,29,15,30.2,4
720797,0.99,40,10,,4
720798,7.73,44,30,50.7,3
720799,4.37,14,25,33.6,4
720800,7.1,42,20,43.4,4
720801,6.3,25,10,30.1,4
720802,4.57,5,10,22.8,4
720803,2.62,41,25,19.9,4
720804,5.46,9,20,33.1,5
720805,3.28,29,25,35.4,4
720806,10.48,23,30,74.0,3
720807,8.38,39,10,42.1,4
720808,5.7,9,25,49.9,2
720809,2.91,41,30,37.3,5
720810,0.77,5,15,21.3,5
720811,11.45,11,10,45.1,1
720812,10.83,31,15,54.9,1
720813,6.65,9,30,52.1,3
720814,10.47,20,30,70.1,1
720815,0.61,16,25,24.1,5
720816,2.26,39,30,30.2,5
720817,9.35,46,20,44.0,5
720818,0.71,33,30,35.7,5
720819,0.73,6,10,12.0,4
