StationID,HourlyChargerOccupancy_Percent,AmbientTemp,ChargerType,WaitTimeMinutes,CongestionLevel
1560099,64.3,2.7,Type_A,21.7,65.7
1560100,26.1,24.9,Type_C,1.0,97.4
1560101,56.3,21.1,Type_B,3.4,99.2
1560102,50.9,34.3,Type_C,1.9,111.4
1560103,45.9,3.8,Type_B,27.8,109.5
1560104,28.6,16.4,Type_B,1.1,103.3
1560105,50.7,-0.1,Type_A,10.1,90.0
1560106,75.2,27.4,Type_A,1.0,108.1
1560107,42.8,6.3,Type_C,15.9,78.6
1560108,25.5,7.2,Type_C,40.8,64.7
1560109,53.5,16.9,Type_A,6.1,74.6
1560110,41.6,17.1,Type_A,5.9,143.7
1560111,20.3,30.1,Type_A,5.3,121.3
1560112,51.0,24.8,Type_A,1.0,88.9
1560113,59.5,19.6,Type_A,1.0,66.1
1560114,79.0,14.6,Type_B,34.1,84.0
1560115,43.1,12.3,Type_B,18.8,107.5
1560116,34.2,4.1,Type_B,23.6,139.0
1560117,39.8,22.3,Type_C,1.5,114.9
1560118,49.7,12.8,Type_A,24.1,85.8
1560119,51.0,13.7,Type_A,6.4,97.9
1560120,14.5,13.7,Type_A,11.6,40.8
1560121,64.9,25.9,Type_C,7.0,132.7
1560122,34.7,17.0,Type_C,1.9,122.5
1560123,87.2,22.6,Type_B,36.9,70.7
1560124,38.0,21.8,Type_B,10.3,114.6
1560125,47.2,13.3,Type_B,80.5,99.4
1560126,14.5,24.9,Type_A,14.6,99.4
1560127,38.3,31.8,Type_A,1.7,100.1
1560128,46.2,12.6,Type_B,25.4,75.7
1560129,37.0,6.8,Type_B,12.4,119.4
1560130,35.7,12.9,Type_C,3.4,104.6
1560131,29.8,20.8,Type_B,11.8,128.3
1560132,43.0,7.6,Type_A,4.4,82.1
1560133,37.1,21.1,Type_A,2.4,72.9
1560134,40.0,4.3,Type_B,22.6,100.7
1560135,40.5,24.7,Type_A,9.7,82.9
1560136,50.8,4.7,Type_C,6.5,50.1
1560137,30.1,22.6,Type_B,5.0,89.4
1560138,49.2,11.8,Type_B,2.7,67.6
1560139,36.6,23.7,Type_A,7.3,49.9
1560140,33.1,23.3,Type_B,5.9,72.3
1560141,45.4,26.4,Type_C,20.7,161.5
1560142,27.6,26.2,Type_B,10.1,100.8
1560143,29.6,23.6,Type_B,15.1,128.0
1560144,44.4,28.6,Type_A,1.3,67.4
1560145,44.1,13.1,Type_B,2.6,74.6
1560146,65.9,21.8,Type_A,39.2,143.4
1560147,34.7,23.7,Type_B,30.0,63.0
1560148,67.6,11.1,Type_C,19.0,81.8
1560149,56.1,17.4,Type_C,2.5,125.6
1560150,62.5,17.7,Type_A,47.3,68.0
1560151,53.2,23.6,Type_A,28.3,108.0
1560152,38.4,20.9,Type_C,10.6,141.0
1560153,41.8,12.8,Type_C,9.0,131.7
1560154,51.0,19.3,Type_B,41.6,134.9
1560155,31.6,23.2,Type_B,3.2,72.6
1560156,41.7,13.9,Type_A,25.4,89.9
1560157,49.8,32.5,Type_A,10.2,105.4
1560158,39.6,19.0,Type_C,33.9,128.9
1560159,54.5,18.6,Type_C,4.2,148.7
1560160,30.2,24.4,Type_A,11.3,110.1
1560161,52.2,5.8,Type_A,22.9,47.7
1560162,50.5,30.1,Type_B,9.2,93.7
1560163,50.4,21.1,Type_A,6.8,138.5
1560164,25.0,9.1,Type_A,2.9,137.8
1560165,28.8,32.3,Type_B,1.0,115.8
1560166,60.2,4.5,Type_A,35.9,128.2
1560167,62.3,28.3,Type_C,7.7,106.4
1560168,40.0,20.9,Type_B,3.2,132.5
1560169,48.5,14.0,Type_B,3.9,97.5
1560170,54.4,9.8,Type_A,1.9,91.6
1560171,52.7,14.3,Type_B,,50.8
1560172,43.2,8.6,Type_B,25.2,97.5
1560173,28.1,19.5,Type_A,1.9,76.5
1560174,50.7,18.5,Type_A,1.8,95.9
1560175,30.7,9.8,Type_B,20.9,104.0
1560176,55.2,32.7,Type_C,14.5,113.7
1560177,65.6,13.5,Type_A,18.2,87.1
1560178,32.7,24.0,Type_A,26.5,117.8
1560179,36.6,6.1,Type_A,17.3,78.4
1560180,42.3,19.8,Type_C,7.5,111.7
1560181,51.1,28.8,Type_A,19.9,80.1
1560182,34.6,20.6,Type_C,1.0,83.0
1560183,42.2,7.8,Type_B,1.0,137.4
1560184,36.8,23.7,Type_B,32.8,89.8
1560185,53.8,8.9,Type_C,11.4,100.0
1560186,45.6,11.0,Type_A,4.5,69.7
1560187,27.4,14.3,Type_A,12.4,143.3
1560188,64.8,17.9,Type_C,15.3,96.5
1560189,24.6,14.6,Type_C,7.3,129.5
1560190,58.4,24.2,Type_A,1.3,114.3
1560191,41.9,16.3,Type_C,9.4,108.0
1560192,40.5,13.4,Type_C,19.5,90.7
1560193,27.8,8.6,Type_C,1.0,73.9
1560194,31.9,23.4,Type_C,37.1,50.2
1560195,45.1,14.0,Type_A,20.1,161.8
1560196,60.3,12.0,Type_C,16.6,144.6
1560197,65.6,20.9,Type_A,16.9,111.9
1560198,37.8,17.3,Type_B,9.9,116.6
1560199,43.9,20.6,Type_B,12.6,110.6
1560200,24.7,7.0,Type_B,8.9,104.6
1560201,35.4,13.6,Type_C,26.2,115.1
1560202,36.1,12.2,Type_C,5.0,104.5
1560203,50.5,17.6,Type_A,9.0,95.9
1560204,49.9,11.4,Type_B,6.6,99.6
1560205,58.4,12.2,Type_B,13.3,113.8
1560206,47.1,4.9,Type_C,1.9,129.8
1560207,33.0,-2.8,Type_A,12.1,121.2
1560208,50.8,11.2,Type_A,5.1,99.7
1560209,69.0,21.9,Type_C,31.0,84.3
1560210,31.8,26.4,Type_B,34.3,100.0
1560211,45.5,40.0,Type_B,3.5,153.0
1560212,47.4,16.9,Type_C,9.3,136.6
1560213,32.9,28.1,Type_A,13.6,106.3
1560214,35.2,13.7,Type_B,15.5,69.5
1560215,44.5,23.4,Type_C,6.5,150.7
1560216,41.8,9.8,Type_C,,77.1
1560217,71.7,18.1,Type_B,35.7,67.6
1560218,45.0,25.2,Type_C,34.8,83.9
1560219,52.0,6.0,Type_B,1.8,94.5
1560220,69.7,15.0,Type_B,31.8,60.3
1560221,58.1,5.9,Type_A,5.7,98.6
1560222,60.3,24.7,Type_B,15.0,95.0
1560223,54.8,11.3,Type_B,79.1,87.6
1560224,61.1,19.7,Type_C,28.1,121.9
1560225,71.9,12.0,Type_A,40.1,116.6
1560226,50.1,13.7,Type_C,1.0,103.8
1560227,48.2,34.9,Type_B,1.4,99.9
1560228,21.1,25.4,Type_A,2.2,94.8
1560229,13.1,5.4,Type_A,1.2,86.3
1560230,20.3,4.7,Type_A,3.2,114.4
1560231,48.4,28.7,Type_C,13.8,137.3
1560232,34.7,31.0,Type_B,6.4,134.0
1560233,59.4,-1.6,Type_B,20.0,116.9
1560234,41.7,11.3,Type_C,,81.6
1560235,35.6,28.0,Type_A,1.3,102.8
1560236,34.5,16.8,Type_C,6.6,68.8
1560237,49.9,9.8,Type_C,12.9,98.8
1560238,44.2,20.8,Type_C,15.6,131.9
1560239,41.8,22.7,Type_B,1.0,141.9
1560240,54.5,26.0,Type_C,9.6,123.2
1560241,25.1,18.7,Type_A,22.8,178.7
1560242,34.1,39.0,Type_C,20.1,66.7
1560243,42.4,9.9,Type_C,9.7,113.3
1560244,56.8,18.1,Type_C,31.5,100.0
1560245,84.4,20.1,Type_C,8.3,157.0
1560246,67.5,19.1,Type_B,39.9,152.9
1560247,45.7,21.7,Type_B,15.7,86.0
1560248,60.0,24.6,Type_A,1.0,104.7
1560249,43.3,21.5,Type_C,1.0,90.8
1560250,17.7,23.0,Type_B,29.2,112.9
1560251,10.8,25.3,Type_C,16.7,100.1
1560252,42.8,14.8,Type_C,68.4,93.1
1560253,46.1,23.3,Type_A,1.1,129.6
1560254,23.3,17.7,Type_B,1.0,131.7
1560255,36.5,5.3,Type_C,9.4,79.3
1560256,50.9,6.0,Type_B,1.9,129.6
1560257,48.5,23.7,Type_C,7.0,122.1
1560258,33.7,16.7,Type_C,16.3,120.7
1560259,59.5,15.7,Type_C,8.0,98.1
1560260,35.5,14.7,Type_A,1.0,104.4
1560261,26.3,8.1,Type_C,30.3,77.3
1560262,53.7,7.9,Type_C,1.0,101.4
1560263,50.6,26.8,Type_C,10.2,133.9
1560264,28.1,26.5,Type_A,16.9,107.9
1560265,37.3,6.0,Type_C,31.4,86.3
1560266,54.0,23.9,Type_A,9.6,80.7
1560267,56.9,9.4,Type_C,19.2,72.1
1560268,48.3,13.1,Type_A,1.7,115.2
1560269,47.8,20.0,Type_A,9.2,147.3
1560270,37.3,30.9,Type_A,1.4,86.5
1560271,35.0,10.2,Type_A,14.2,81.2
1560272,21.5,16.5,Type_A,7.4,98.8
1560273,51.1,23.3,Type_A,11.1,64.9
1560274,30.9,13.5,Type_A,70.4,89.2
1560275,49.5,17.8,Type_B,10.2,136.6
1560276,43.6,0.6,Type_C,71.5,114.6
1560277,41.9,12.8,Type_C,8.1,126.1
1560278,32.7,22.7,Type_B,5.0,60.0
1560279,72.3,25.1,Type_A,15.8,85.8
1560280,26.9,14.7,Type_A,11.8,73.7
1560281,35.5,8.5,Type_B,13.9,98.4
1560282,45.3,14.3,Type_C,3.1,127.3
1560283,59.8,14.6,Type_C,32.3,104.1
1560284,33.4,23.8,Type_B,1.7,88.5
1560285,37.5,6.2,Type_B,3.0,70.1
1560286,50.4,20.5,Type_C,11.8,65.0
1560287,52.8,26.6,Type_B,1.0,96.9
1560288,83.2,23.8,Type_A,1.9,106.7
1560289,52.9,15.6,Type_C,1.0,94.6
1560290,55.7,29.3,Type_A,10.2,104.3
1560291,72.8,24.1,Type_C,11.7,109.6
1560292,44.4,11.4,Type_B,2.5,138.3
1560293,52.1,17.3,Type_B,1.0,73.8
1560294,53.7,28.8,Type_C,8.6,114.7
1560295,42.7,23.5,Type_A,22.7,103.1
1560296,41.8,15.1,Type_B,1.6,78.4
1560297,62.3,11.8,Type_C,3.0,98.3
1560298,30.5,23.7,Type_A,1.4,90.4
1560299,40.2,12.5,Type_C,1.8,71.5
1560300,52.6,34.9,Type_C,4.6,93.1
1560301,51.2,13.4,Type_B,27.1,127.7
1560302,46.4,20.8,Type_A,59.4,64.2
1560303,48.6,17.3,Type_B,34.9,127.3
1560304,48.0,22.6,Type_A,29.2,66.7
1560305,73.9,9.6,Type_A,5.7,112.1
1560306,46.8,22.4,Type_B,5.3,125.9
1560307,33.3,34.0,Type_B,15.7,78.2
1560308,14.1,20.6,Type_C,20.8,91.7
1560309,66.1,10.5,Type_B,2.2,108.6
1560310,62.7,18.2,Type_B,40.0,71.5
1560311,56.7,12.1,Type_C,1.0,106.3
1560312,58.8,24.1,Type_B,28.7,90.4
1560313,50.7,40.0,Type_A,18.4,128.4
1560314,13.7,26.0,Type_A,4.4,66.2
1560315,24.3,9.6,Type_B,5.9,128.1
1560316,37.0,18.5,Type_B,10.6,117.8
1560317,54.2,27.7,Type_C,14.0,87.3
1560318,69.9,29.4,Type_A,21.6,99.6
1560319,34.6,16.9,Type_B,7.0,96.7
1560320,56.9,16.4,Type_A,8.2,125.3
1560321,36.7,4.3,Type_A,9.5,121.9
1560322,66.0,24.4,Type_B,17.9,111.3
1560323,74.7,2.0,Type_B,1.6,100.0
1560324,28.6,15.0,Type_B,15.8,115.4
1560325,47.1,21.6,Type_C,42.9,104.2
1560326,50.0,24.7,Type_B,2.7,49.6
1560327,57.5,27.9,Type_A,1.9,116.5
1560328,27.4,10.2,Type_C,10.2,121.5
1560329,33.5,9.8,Type_A,7.9,69.1
1560330,24.4,19.8,Type_B,3.1,65.2
1560331,70.2,16.1,Type_A,5.4,76.9
1560332,44.3,24.1,Type_B,1.0,108.9
1560333,67.1,14.3,Type_A,17.8,109.9
1560334,40.8,5.5,Type_A,29.8,115.1
1560335,40.8,19.6,Type_A,33.6,89.9
1560336,38.6,15.6,Type_B,26.6,69.4
1560337,28.3,25.7,Type_B,11.3,94.5
1560338,47.3,15.1,Type_C,17.7,128.8
1560339,28.4,12.0,Type_C,5.8,94.3
1560340,45.6,15.3,Type_B,12.9,85.0
1560341,56.4,17.8,Type_B,7.6,97.2
1560342,44.1,25.5,Type_B,1.9,110.0
1560343,34.3,28.3,Type_B,3.9,91.1
1560344,60.2,13.0,Type_A,31.7,79.3
1560345,39.1,11.2,Type_B,15.8,102.6
1560346,56.4,19.0,Type_C,18.1,143.1
1560347,63.0,13.9,Type_B,1.0,88.4
1560348,68.7,20.6,Type_B,9.7,60.8
1560349,58.0,16.0,Type_A,10.8,104.0
1560350,51.3,5.0,Type_B,15.2,75.3
1560351,57.2,12.9,Type_C,47.0,105.4
1560352,50.7,8.6,Type_B,40.1,81.9
1560353,48.5,26.1,Type_A,45.8,140.8
1560354,32.9,13.1,Type_C,13.6,95.4
1560355,39.5,0.5,Type_B,18.9,133.7
1560356,44.3,16.1,Type_C,6.5,119.3
1560357,53.5,20.4,Type_C,6.5,57.6
1560358,64.4,13.5,Type_A,1.7,74.9
1560359,51.3,17.7,Type_A,1.0,149.9
1560360,47.9,31.4,Type_C,15.9,89.2
1560361,51.2,23.8,Type_C,6.7,110.4
1560362,65.0,15.4,Type_B,33.4,64.5
1560363,34.6,23.5,Type_A,48.2,91.9
1560364,37.4,8.1,Type_B,12.4,92.7
1560365,53.0,26.0,Type_A,9.1,99.9
1560366,44.9,15.9,Type_A,18.5,87.4
1560367,40.3,28.0,Type_B,7.0,132.4
1560368,45.4,22.9,Type_B,1.0,74.6
1560369,44.4,32.5,Type_A,58.9,164.6
1560370,95.9,8.5,Type_B,9.0,93.4
1560371,47.8,5.9,Type_A,22.0,83.9
1560372,40.5,17.3,Type_B,35.4,47.4
1560373,32.9,29.1,Type_B,50.5,93.1
1560374,47.5,14.9,Type_A,1.4,103.6
1560375,32.7,5.7,Type_B,11.4,118.2
1560376,40.2,8.3,Type_C,8.4,96.3
1560377,20.2,20.4,Type_C,5.4,83.1
1560378,42.1,7.5,Type_B,1.7,132.0
1560379,51.8,32.2,Type_B,1.0,102.2
1560380,35.3,12.2,Type_B,,56.2
1560381,14.4,11.8,Type_C,30.0,132.3
1560382,70.5,6.4,Type_C,26.8,65.2
1560383,66.6,26.0,Type_B,6.4,95.7
1560384,72.8,18.4,Type_C,1.0,134.5
1560385,54.4,16.2,Type_B,3.9,122.1
1560386,50.9,9.7,Type_B,4.3,91.2
1560387,55.7,28.2,Type_A,39.7,91.6
1560388,53.9,22.3,Type_B,6.5,90.7
1560389,27.2,18.1,Type_C,7.8,75.4
1560390,29.5,28.7,Type_B,33.7,87.2
1560391,40.4,10.5,Type_C,15.9,81.4
1560392,22.4,31.7,Type_B,9.9,70.3
1560393,40.3,21.6,Type_B,13.5,89.9
1560394,57.8,37.8,Type_B,5.1,71.1
1560395,38.7,18.0,Type_B,26.3,89.1
1560396,54.3,19.3,Type_A,8.8,87.4
1560397,61.6,17.3,Type_C,4.0,98.3
1560398,21.1,18.0,Type_A,26.1,113.5
1560399,39.8,35.5,Type_C,2.9,121.1
1560400,41.7,10.9,Type_B,20.1,77.0
1560401,24.0,17.4,Type_A,15.0,85.9
1560402,38.2,30.6,Type_A,16.0,113.8
1560403,57.2,16.3,Type_B,15.1,83.9
1560404,27.2,6.4,Type_C,14.3,84.6
1560405,14.6,13.8,Type_A,2.9,85.4
1560406,44.9,35.7,Type_A,20.7,103.1
1560407,72.7,7.4,Type_B,10.6,108.8
1560408,17.4,21.9,Type_C,10.0,85.8
1560409,35.5,7.8,Type_C,8.2,98.3
1560410,44.2,27.1,Type_C,6.4,136.6
1560411,27.6,9.0,Type_C,27.4,103.4
1560412,23.6,19.1,Type_A,2.2,94.2
1560413,43.2,19.2,Type_B,14.6,120.2
1560414,60.0,5.7,Type_C,25.5,56.7
1560415,56.0,24.4,Type_B,1.6,64.7
1560416,47.1,9.9,Type_C,2.4,83.8
1560417,48.8,8.3,Type_A,24.7,128.0
1560418,28.3,18.7,Type_C,9.0,112.2
1560419,59.2,19.2,Type_A,9.4,149.3
1560420,30.2,8.2,Type_A,3.0,75.0
1560421,58.0,20.0,Type_B,34.5,126.5
1560422,57.2,18.3,Type_B,23.2,177.5
1560423,28.9,22.8,Type_A,1.6,113.0
1560424,43.5,7.8,Type_C,4.8,102.4
1560425,46.3,20.1,Type_B,1.0,105.1
1560426,51.2,29.8,Type_C,13.1,116.0
1560427,30.7,14.1,Type_C,6.0,103.1
1560428,41.7,22.2,Type_C,5.1,63.3
1560429,39.2,-5.9,Type_B,28.2,97.2
1560430,45.7,20.2,Type_C,16.8,101.5
1560431,35.7,28.7,Type_A,20.8,89.3
1560432,41.8,15.6,Type_A,4.2,104.6
1560433,55.9,19.4,Type_C,3.3,77.7
1560434,26.7,10.8,Type_B,2.1,124.2
1560435,46.6,23.1,Type_C,9.5,106.7
1560436,57.8,19.3,Type_A,2.7,119.6
1560437,25.9,20.7,Type_A,4.6,104.6
1560438,23.9,21.8,Type_B,11.1,115.8
1560439,48.3,9.9,Type_B,19.5,105.4
1560440,40.9,13.9,Type_C,39.6,89.5
1560441,52.6,13.3,Type_B,5.4,73.5
1560442,26.4,13.5,Type_A,23.8,86.2
1560443,30.2,13.1,Type_B,2.0,131.9
1560444,13.6,7.0,Type_B,2.9,133.8
1560445,56.5,40.0,Type_C,8.8,98.2
1560446,9.4,2.7,Type_C,,101.1
1560447,59.6,20.4,Type_A,22.9,121.5
1560448,40.0,20.0,Type_B,10.7,72.5
1560449,54.1,18.9,Type_B,5.4,69.4
1560450,52.2,23.6,Type_B,7.0,87.4
1560451,46.9,23.1,Type_C,10.1,111.9
1560452,68.0,16.4,Type_C,16.0,51.4
1560453,45.9,25.0,Type_B,8.4,103.8
1560454,57.3,20.3,Type_A,17.2,97.5
1560455,17.4,16.6,Type_A,14.3,67.8
1560456,44.1,16.2,Type_A,48.7,138.8
1560457,15.1,16.8,Type_B,18.8,141.2
1560458,38.4,12.6,Type_C,11.8,124.3
1560459,60.8,13.5,Type_A,18.5,122.6
1560460,29.3,23.7,Type_B,26.2,94.0
1560461,0.0,24.1,Type_C,1.0,124.2
1560462,46.7,30.5,Type_A,2.9,97.4
1560463,60.3,31.7,Type_A,2.6,118.8
1560464,25.1,29.2,Type_C,35.4,131.9
1560465,42.3,22.0,Type_B,17.6,91.2
1560466,40.1,19.3,Type_C,1.1,85.8
1560467,51.5,13.3,Type_A,3.2,77.0
1560468,47.0,14.6,Type_C,18.7,103.4
1560469,42.5,17.3,Type_A,37.1,127.4
1560470,24.1,20.3,Type_C,6.9,136.9
1560471,48.8,15.0,Type_A,13.9,74.6
1560472,37.4,20.5,Type_B,1.6,109.7
1560473,34.9,20.4,Type_B,25.7,94.8
1560474,14.5,7.7,Type_A,48.2,65.5
1560475,54.1,27.1,Type_B,4.1,50.2
1560476,42.0,32.2,Type_C,11.2,117.8
1560477,32.1,11.1,Type_B,,86.1
1560478,78.2,10.4,Type_C,19.1,77.0
1560479,38.9,8.7,Type_A,12.2,70.1
1560480,40.0,28.4,Type_C,1.9,118.9
1560481,79.1,12.6,Type_A,54.3,109.2
1560482,27.5,13.7,Type_C,11.7,113.3
1560483,31.6,5.2,Type_A,1.0,131.7
1560484,38.2,21.9,Type_B,24.0,139.5
1560485,32.9,26.8,Type_C,1.0,112.8
1560486,49.3,29.7,Type_C,16.1,81.7
1560487,50.7,35.3,Type_C,10.7,102.1
1560488,42.0,12.2,Type_B,2.7,108.4
1560489,66.8,30.9,Type_B,5.5,74.3
1560490,32.9,16.8,Type_C,1.2,90.7
1560491,56.6,25.4,Type_C,1.2,98.2
1560492,37.0,18.0,Type_C,1.0,100.7
1560493,25.1,28.0,Type_C,5.7,116.1
1560494,31.8,15.2,Type_C,1.0,77.7
1560495,51.7,29.8,Type_B,77.2,142.9
1560496,44.7,30.2,Type_B,8.8,93.3
1560497,52.1,17.9,Type_C,43.7,118.7
1560498,29.6,11.0,Type_B,11.4,107.6
1560499,32.6,12.9,Type_B,2.6,98.7
1560500,79.3,31.8,Type_C,1.0,74.1
1560501,41.9,18.6,Type_C,49.9,64.8
1560502,27.8,9.6,Type_A,18.1,103.2
1560503,60.3,15.9,Type_B,17.7,118.2
1560504,55.1,10.3,Type_B,8.5,108.7
1560505,46.3,22.2,Type_B,39.2,95.5
1560506,67.9,33.8,Type_A,4.5,95.6
1560507,37.0,18.3,Type_A,2.5,129.1
1560508,46.5,24.3,Type_B,3.5,82.8
1560509,47.1,19.2,Type_C,14.4,101.8
1560510,58.4,18.3,Type_A,10.4,127.5
1560511,31.9,22.5,Type_C,10.4,83.6
1560512,50.2,10.6,Type_A,1.0,87.8
1560513,53.8,22.7,Type_A,4.8,94.3
1560514,56.6,19.5,Type_C,10.4,63.5
1560515,30.5,5.1,Type_A,22.2,100.6
1560516,32.2,17.0,Type_A,26.4,119.7
1560517,51.4,18.0,Type_A,11.5,150.2
1560518,57.2,20.0,Type_B,9.6,100.3
1560519,55.0,20.3,Type_A,26.2,75.0
1560520,59.3,20.3,Type_B,16.4,84.1
1560521,45.1,20.9,Type_C,1.3,101.9
1560522,26.5,32.8,Type_A,34.3,81.5
1560523,40.7,17.3,Type_C,26.6,118.8
1560524,28.2,15.3,Type_A,5.5,119.2
1560525,89.2,34.2,Type_A,5.7,80.7
1560526,38.5,15.6,Type_C,11.9,82.1
1560527,54.3,20.7,Type_A,10.7,79.1
1560528,38.8,15.5,Type_C,33.9,87.2
1560529,78.0,30.8,Type_B,22.5,87.5
1560530,27.9,12.7,Type_A,9.7,115.4
1560531,47.9,34.8,Type_B,10.2,125.0
1560532,52.1,23.1,Type_C,36.7,59.1
1560533,37.3,15.7,Type_A,62.0,121.0
1560534,71.0,26.0,Type_C,12.4,119.1
1560535,25.8,33.3,Type_C,21.0,93.8
1560536,46.7,6.8,Type_A,1.6,71.6
1560537,44.2,12.5,Type_C,13.9,84.4
1560538,53.6,6.6,Type_A,17.1,44.9
1560539,40.9,9.9,Type_A,11.9,109.8
1560540,49.2,14.2,Type_A,,111.9
1560541,46.6,8.9,Type_A,4.0,104.1
1560542,35.7,21.1,Type_C,1.0,83.0
1560543,74.0,32.0,Type_C,4.3,127.2
1560544,41.3,18.3,Type_A,16.3,53.9
1560545,7.4,18.5,Type_C,1.0,82.1
1560546,28.4,16.9,Type_C,1.6,128.1
1560547,47.1,26.7,Type_A,1.7,68.1
1560548,50.0,26.6,Type_C,33.4,86.3
1560549,39.7,12.0,Type_C,7.1,30.9
1560550,55.1,24.5,Type_B,2.0,94.9
1560551,0.0,17.7,Type_B,1.0,84.6
1560552,66.7,34.2,Type_C,3.6,123.4
1560553,57.7,19.0,Type_C,14.1,94.4
1560554,57.7,8.1,Type_C,67.4,96.7
1560555,55.3,21.6,Type_C,3.5,143.1
1560556,35.5,27.1,Type_B,36.3,96.4
