UserID,DailyStreakDays,PracticeIntervalHours,QuizScore_Percent,WordsMasteredCount,RetainedActive
1720061,59.1,0.3,43.0,90.3,0
1720062,84.4,4.1,72.2,97.8,0
1720063,70.7,2.4,57.4,154.8,1
1720064,87.7,5.4,41.5,98.7,1
1720065,113.8,1.3,64.5,89.1,1
1720066,92.4,2.8,37.8,88.0,0
1720067,87.1,0.7,25.5,114.2,1
1720068,85.3,3.9,60.5,133.6,1
1720069,98.8,1.3,22.3,94.8,1
1720070,77.3,8.4,25.6,126.8,1
1720071,101.0,0.3,44.5,110.4,0
1720072,52.1,1.6,70.1,72.0,0
1720073,105.9,6.8,40.8,110.7,0
1720074,121.8,15.7,56.6,82.5,1
1720075,103.4,0.7,35.9,114.8,1
1720076,90.0,8.3,40.3,118.1,0
1720077,96.6,1.5,18.9,90.3,1
1720078,67.6,10.4,61.7,86.2,1
1720079,104.9,0.1,24.1,106.7,0
1720080,119.1,8.3,63.5,108.1,1
1720081,85.7,1.4,51.1,83.4,1
1720082,113.6,13.8,72.3,98.4,0
1720083,106.7,0.0,76.1,82.8,0
1720084,91.8,13.7,42.1,144.9,0
1720085,100.7,6.2,25.6,144.4,1
1720086,165.8,3.7,34.6,41.9,0
1720087,111.3,3.2,57.6,65.9,0
1720088,95.3,6.0,59.2,60.7,1
1720089,88.1,2.7,51.1,81.7,0
1720090,69.6,5.4,56.5,100.1,0
1720091,95.3,1.7,36.0,121.4,1
1720092,121.1,0.3,56.1,73.4,1
1720093,100.4,4.6,53.6,104.7,0
1720094,109.7,5.6,47.0,69.6,1
1720095,121.7,12.7,36.9,92.3,1
1720096,155.0,1.0,45.9,116.6,0
1720097,99.0,0.5,48.1,74.6,1
1720098,149.9,2.5,42.0,94.9,0
1720099,130.3,,53.6,115.6,1
1720100,127.9,21.4,53.1,81.1,0
1720101,135.1,4.2,53.1,74.9,1
1720102,74.0,6.1,22.5,144.5,1
1720103,118.1,24.5,46.2,120.1,0
1720104,130.4,0.6,35.3,93.4,1
1720105,91.6,0.3,38.5,139.4,1
1720106,132.6,1.6,46.6,95.0,1
1720107,102.3,0.8,36.2,133.7,0
1720108,68.9,9.5,62.0,115.8,1
1720109,98.6,3.5,60.7,124.3,1
1720110,162.5,2.0,39.3,89.3,0
1720111,121.4,2.5,42.3,103.5,1
1720112,100.2,6.2,63.6,75.7,0
1720113,114.0,5.2,34.5,96.5,1
1720114,99.0,2.1,73.1,150.2,1
1720115,76.9,1.5,43.9,72.2,0
1720116,102.1,2.3,38.5,84.1,1
1720117,83.1,6.0,38.2,81.2,1
1720118,94.6,28.7,54.1,47.1,1
1720119,115.3,4.1,54.0,104.8,0
1720120,144.1,9.4,64.9,102.1,0
1720121,82.7,0.2,49.3,130.9,0
1720122,109.2,15.6,43.4,106.9,1
1720123,100.3,0.2,40.0,102.0,0
1720124,111.5,1.1,28.3,99.0,0
1720125,132.0,1.9,39.7,81.5,1
1720126,83.9,9.6,59.4,97.6,0
1720127,63.7,6.6,64.8,137.0,0
1720128,95.6,4.8,32.2,77.5,0
1720129,50.3,2.1,46.8,109.7,1
1720130,117.7,6.8,0.0,112.1,1
1720131,71.0,,54.4,49.9,0
1720132,105.7,2.9,52.6,104.7,1
1720133,105.6,0.4,60.6,98.5,0
1720134,136.4,10.1,65.8,79.1,1
1720135,92.5,7.4,45.1,68.8,0
1720136,89.1,0.4,21.9,107.6,1
1720137,125.4,6.0,37.5,87.7,1
1720138,118.2,7.9,51.1,99.7,0
1720139,94.6,,35.4,82.4,1
1720140,127.1,8.4,26.7,109.3,0
1720141,91.2,3.7,18.3,76.7,1
1720142,100.3,1.5,47.0,120.6,0
1720143,107.2,10.8,65.2,101.6,0
1720144,130.9,6.1,57.6,81.3,1
1720145,97.8,5.8,47.9,139.1,0
1720146,111.4,7.3,35.1,93.6,1
1720147,94.5,8.8,50.8,76.5,0
1720148,73.6,0.1,52.4,120.4,1
1720149,102.8,3.2,32.6,181.0,0
1720150,127.3,5.2,31.5,111.3,0
1720151,81.8,3.2,59.1,128.9,1
1720152,102.0,1.3,72.8,86.2,1
1720153,123.1,8.3,16.0,70.4,1
1720154,111.0,1.5,11.8,69.6,1
1720155,112.5,0.5,25.4,162.7,1
1720156,106.3,7.7,61.0,109.4,0
1720157,141.2,4.0,29.6,95.8,1
1720158,67.1,15.3,51.7,96.4,0
1720159,80.3,3.4,51.8,156.1,1
1720160,83.4,6.1,67.1,115.2,1
1720161,89.5,0.6,33.4,71.3,0
1720162,98.9,2.3,48.4,79.6,1
1720163,93.8,6.3,47.8,79.1,0
1720164,80.9,9.5,67.2,82.9,1
1720165,131.4,1.7,53.2,107.5,0
1720166,128.8,2.8,22.6,104.4,0
1720167,88.8,3.6,70.0,129.3,1
1720168,120.3,0.3,36.9,113.7,0
1720169,44.4,6.4,65.1,149.2,0
1720170,110.7,2.0,49.1,135.3,1
1720171,112.0,8.6,78.3,89.3,0
1720172,78.3,13.1,29.9,106.4,0
1720173,86.0,2.9,13.8,103.0,0
1720174,122.0,0.2,52.0,80.4,0
1720175,103.6,4.6,27.4,89.3,0
1720176,78.1,15.0,46.0,124.3,1
1720177,109.2,3.4,44.7,114.8,0
1720178,59.1,4.6,33.5,125.1,1
1720179,115.5,1.7,67.2,75.7,1
1720180,56.9,4.3,50.1,105.2,1
1720181,90.0,13.3,61.5,93.6,0
1720182,99.6,4.2,35.4,90.2,0
1720183,81.9,2.9,47.6,78.1,0
1720184,88.6,0.2,48.9,77.4,0
1720185,100.4,10.5,36.1,93.4,1
1720186,84.4,2.0,46.0,124.2,1
1720187,103.2,2.0,50.7,48.1,1
1720188,121.9,5.1,48.7,72.4,0
1720189,103.5,1.7,41.8,90.9,0
1720190,85.9,2.4,58.4,133.9,1
1720191,108.0,0.0,54.6,65.4,1
1720192,48.6,0.0,47.9,69.1,1
1720193,79.9,2.8,38.9,59.4,1
1720194,71.8,,39.1,133.0,1
1720195,94.4,8.1,52.1,102.5,1
1720196,83.3,1.9,49.3,70.0,1
1720197,108.9,5.6,56.1,22.6,1
1720198,117.9,3.9,51.0,50.5,0
1720199,165.6,2.9,46.7,74.1,1
1720200,89.2,3.0,58.5,68.4,0
1720201,100.6,6.1,47.2,157.6,0
1720202,71.2,1.9,100.0,75.2,0
1720203,85.4,0.9,31.8,71.9,0
1720204,99.0,8.7,13.4,106.3,1
1720205,53.4,1.3,54.7,104.1,1
1720206,58.0,4.7,37.6,100.9,1
1720207,101.0,2.0,77.3,86.8,1
1720208,86.8,0.5,39.9,83.5,0
1720209,114.6,0.3,50.8,70.1,1
1720210,103.4,1.1,47.1,131.0,0
1720211,121.8,2.0,32.9,70.5,1
1720212,132.6,0.1,35.0,73.3,0
1720213,108.3,0.6,37.1,125.6,0
1720214,72.6,2.2,53.1,140.2,0
1720215,141.3,0.4,35.6,77.1,0
1720216,114.0,0.1,51.0,132.1,1
1720217,87.5,6.8,50.1,131.2,1
1720218,150.7,7.3,50.5,141.9,0
1720219,132.9,4.9,39.2,99.9,0
1720220,103.1,1.0,40.6,104.1,0
1720221,120.2,2.8,40.1,93.1,0
1720222,119.4,2.3,54.4,137.3,1
1720223,121.4,0.7,65.3,92.5,0
1720224,128.1,5.7,30.6,70.4,1
1720225,104.1,0.1,36.9,97.7,0
1720226,91.4,2.7,47.5,94.4,1
1720227,77.7,1.1,22.5,83.2,1
1720228,108.2,2.0,71.7,89.2,0
1720229,112.2,7.5,67.9,111.5,0
1720230,120.8,6.1,51.9,91.5,1
1720231,140.6,7.0,23.6,73.5,0
1720232,58.7,0.9,25.8,89.4,0
1720233,114.7,0.4,42.5,98.3,1
1720234,146.3,0.7,29.6,67.6,0
1720235,102.1,1.6,35.5,89.6,0
1720236,122.2,1.5,42.8,92.7,1
1720237,78.6,18.5,38.1,137.2,1
1720238,46.5,5.5,17.8,86.3,1
1720239,142.5,1.7,56.3,141.0,0
1720240,107.2,4.4,34.2,109.4,1
1720241,90.8,0.6,34.2,77.9,1
1720242,57.7,5.6,32.0,108.9,1
1720243,118.6,3.2,51.7,79.8,0
1720244,84.6,5.7,71.7,105.1,1
1720245,143.8,3.5,45.2,121.6,0
1720246,66.7,3.8,68.7,113.9,1
1720247,75.8,3.7,9.8,83.7,0
1720248,98.9,1.7,31.3,118.5,0
1720249,142.8,2.1,29.7,125.6,0
1720250,72.2,0.2,74.7,142.9,0
1720251,119.0,5.6,39.0,101.8,0
1720252,144.2,5.3,44.8,88.3,1
1720253,99.2,8.5,24.0,86.6,1
1720254,76.6,3.0,35.5,118.6,1
1720255,73.1,6.7,43.1,64.3,1
1720256,85.5,1.0,29.1,123.0,1
1720257,131.7,0.5,70.2,140.9,0
1720258,77.0,4.0,42.4,92.4,0
1720259,123.0,1.1,59.7,75.6,0
1720260,98.0,3.2,42.2,145.5,0
1720261,85.6,1.6,48.7,101.6,1
1720262,92.8,3.5,57.0,91.7,1
1720263,80.8,3.7,33.4,172.7,0
1720264,72.2,0.9,64.5,135.5,0
1720265,89.9,1.4,47.8,78.7,1
1720266,127.2,0.1,57.3,118.9,1
1720267,117.0,0.2,48.2,115.9,1
1720268,110.1,9.2,51.7,22.4,1
1720269,86.1,3.2,40.0,89.4,0
1720270,121.8,2.6,63.9,138.7,1
1720271,133.2,1.3,40.6,74.5,1
1720272,137.6,1.2,57.7,94.8,1
1720273,87.7,8.3,36.3,63.8,1
1720274,93.7,7.8,37.1,78.4,0
1720275,122.2,0.8,32.0,97.1,1
1720276,91.5,3.7,80.5,95.0,0
1720277,59.8,1.7,68.8,83.6,1
1720278,126.0,0.0,55.8,125.0,1
1720279,97.5,1.3,59.2,88.9,1
1720280,100.2,1.9,38.0,104.8,0
1720281,91.4,3.7,48.1,90.4,0
1720282,97.3,0.3,58.0,71.9,0
1720283,76.1,,61.7,89.8,1
1720284,79.6,4.5,54.4,101.0,0
1720285,113.0,0.9,59.2,131.4,0
1720286,94.2,0.8,43.6,60.2,1
1720287,122.5,0.1,18.9,128.5,1
1720288,101.2,1.5,52.2,42.3,0
1720289,88.2,0.3,32.6,88.2,0
1720290,103.4,1.2,53.4,64.0,0
1720291,118.3,1.9,61.3,74.0,0
1720292,101.6,0.7,37.8,107.8,1
1720293,88.3,3.5,36.7,67.8,1
1720294,44.1,0.8,10.0,100.0,0
1720295,116.7,0.5,0.4,66.6,1
1720296,144.1,7.5,67.6,132.8,0
1720297,77.2,1.2,40.3,129.2,1
1720298,92.7,0.8,40.8,128.5,1
1720299,108.2,2.1,11.6,88.2,1
1720300,105.7,10.1,40.6,96.5,0
1720301,106.7,1.4,86.2,98.7,0
1720302,86.7,,43.1,72.1,1
1720303,79.0,1.3,65.4,115.4,0
1720304,114.0,8.3,22.3,100.2,0
1720305,108.9,1.4,16.8,76.6,0
1720306,100.1,7.2,39.8,110.6,1
1720307,69.1,0.8,46.9,116.8,1
1720308,103.7,0.6,55.1,83.5,0
1720309,99.3,0.5,61.7,89.1,0
1720310,93.3,3.3,51.9,78.5,0
1720311,64.8,7.6,47.5,89.3,0
1720312,34.2,1.2,44.3,135.4,0
1720313,120.7,2.4,57.3,64.4,1
1720314,67.7,4.3,29.4,103.3,0
1720315,127.4,0.5,33.0,117.6,0
1720316,47.6,6.5,70.0,114.3,0
1720317,113.7,1.9,59.0,98.2,0
1720318,70.3,2.1,61.0,88.6,1
1720319,76.6,6.6,53.0,96.9,1
1720320,78.0,10.8,51.0,121.1,0
1720321,86.6,9.1,45.0,95.9,1
1720322,106.2,0.1,31.1,111.0,0
1720323,122.1,7.8,47.4,96.5,0
1720324,88.4,1.0,58.6,106.8,0
1720325,75.5,2.5,51.6,84.1,1
1720326,116.1,1.8,33.3,86.0,1
1720327,94.7,2.1,27.6,103.4,0
1720328,166.9,3.7,64.9,84.5,1
1720329,112.6,4.3,26.6,45.2,1
1720330,143.8,13.4,49.5,108.0,0
1720331,75.6,2.0,40.5,89.3,0
1720332,113.9,4.8,47.5,121.8,0
1720333,103.4,0.6,54.7,105.9,0
1720334,109.7,6.0,82.0,80.8,1
1720335,116.2,5.6,43.6,114.5,0
1720336,77.9,0.5,45.6,71.7,0
1720337,100.0,3.0,58.6,82.8,1
1720338,137.6,13.7,49.7,139.6,1
1720339,65.9,0.5,33.7,81.4,1
1720340,104.8,3.4,53.3,120.1,0
1720341,56.9,1.8,57.4,95.5,1
1720342,104.8,1.8,38.7,74.6,1
1720343,91.1,10.2,15.1,105.3,1
1720344,85.1,4.8,34.9,66.3,0
1720345,93.9,6.7,44.0,102.7,1
1720346,100.2,2.7,33.3,107.7,0
1720347,108.2,0.8,44.3,116.3,0
1720348,132.9,13.8,43.2,101.8,1
1720349,130.0,14.9,24.3,96.8,0
1720350,80.9,1.6,40.7,100.9,1
1720351,90.1,0.4,43.1,69.0,1
1720352,121.6,6.4,37.1,73.6,0
1720353,100.2,1.7,46.1,113.3,1
1720354,103.2,5.7,80.0,125.0,0
1720355,92.9,1.3,36.3,140.1,0
1720356,78.6,1.6,49.7,84.7,1
1720357,88.7,7.3,33.7,95.8,1
1720358,110.2,4.6,28.8,96.5,0
1720359,71.6,0.8,39.2,94.5,1
1720360,91.1,2.3,17.6,123.7,0
1720361,103.8,1.8,70.4,95.9,1
1720362,66.9,11.3,34.0,132.0,1
1720363,171.2,13.2,31.6,54.0,0
1720364,90.4,5.4,52.2,103.2,0
1720365,88.7,1.4,43.1,74.8,0
1720366,130.9,0.9,29.6,81.7,1
1720367,105.7,0.9,62.6,76.4,0
1720368,75.0,2.7,17.6,129.2,0
1720369,99.7,0.6,46.0,100.8,1
1720370,93.3,4.2,45.2,93.2,0
1720371,128.0,5.2,51.2,87.4,1
1720372,109.7,3.1,84.1,132.1,1
1720373,98.8,3.3,71.1,108.1,0
1720374,98.0,5.1,62.0,101.6,1
1720375,128.5,0.7,37.5,97.7,0
1720376,60.7,6.7,60.8,146.0,0
1720377,112.0,5.0,48.2,132.0,0
1720378,110.5,8.1,29.9,106.8,1
1720379,91.5,0.3,38.4,101.0,1
1720380,128.5,2.9,33.2,114.6,0
1720381,149.7,11.0,31.9,117.6,0
1720382,113.9,8.5,75.2,76.0,0
1720383,57.5,5.4,50.9,46.8,1
1720384,88.2,0.7,32.9,120.3,1
1720385,86.9,0.7,35.9,111.5,0
1720386,119.0,1.6,75.9,106.4,1
1720387,76.5,1.9,38.9,138.0,1
1720388,98.5,0.9,49.1,145.3,1
1720389,144.5,2.4,37.4,67.2,0
1720390,86.0,0.3,40.1,136.5,0
1720391,118.3,2.6,49.1,121.9,1
1720392,67.4,2.8,55.2,148.8,0
1720393,95.2,12.0,48.9,86.5,1
1720394,123.2,2.5,34.0,111.6,1
1720395,117.3,8.7,54.7,154.6,0
1720396,108.0,2.7,62.9,135.3,1
1720397,85.3,26.5,54.3,94.4,0
1720398,111.6,8.2,56.9,115.9,0
1720399,81.4,0.7,67.1,103.3,1
1720400,115.1,4.9,33.5,119.2,0
1720401,106.7,1.3,53.3,112.4,0
1720402,72.9,0.6,39.8,61.9,1
1720403,116.7,2.6,48.5,59.0,0
1720404,101.1,0.9,57.8,118.7,0
1720405,80.3,1.3,54.3,76.9,1
1720406,70.9,0.6,19.2,95.8,0
1720407,108.7,16.9,51.9,116.7,0
1720408,74.2,1.1,41.2,130.4,1
1720409,47.2,4.6,32.6,104.0,0
1720410,69.3,4.5,24.7,110.1,0
1720411,88.2,4.9,45.9,71.1,1
1720412,116.1,3.3,53.7,96.7,1
1720413,101.7,2.9,37.3,119.7,0
1720414,83.7,1.7,52.6,99.2,1
1720415,140.6,0.1,14.7,54.2,1
1720416,83.2,3.4,52.5,126.6,0
1720417,103.3,0.8,38.8,123.3,1
1720418,113.0,4.1,62.0,86.3,0
1720419,46.1,0.7,60.2,133.1,0
1720420,107.0,4.5,62.9,120.5,1
1720421,116.7,19.7,42.9,89.8,0
1720422,138.4,2.1,43.9,108.6,0
1720423,106.6,8.0,26.7,101.1,0
1720424,98.0,0.3,41.4,74.9,1
1720425,88.7,3.7,70.3,95.3,1
1720426,49.3,11.2,56.3,114.3,1
1720427,115.3,2.0,32.9,104.9,1
1720428,114.1,4.8,45.5,75.9,1
1720429,94.1,1.2,63.8,122.3,0
1720430,94.4,0.0,75.3,143.8,0
1720431,114.5,4.8,41.8,77.8,0
1720432,102.5,19.8,35.3,58.8,0
1720433,51.7,7.3,55.5,125.1,0
1720434,59.1,1.1,61.3,118.4,1
1720435,111.2,5.7,47.8,117.5,0
1720436,87.8,3.5,48.6,90.5,0
1720437,186.1,1.1,22.4,40.4,1
1720438,134.5,5.7,59.3,111.4,0
1720439,106.5,4.0,48.4,46.5,1
1720440,106.9,1.6,29.4,128.4,0
1720441,83.4,2.7,45.6,105.5,0
1720442,55.2,0.7,47.2,125.1,0
1720443,65.4,6.6,20.2,101.8,0
1720444,102.3,1.0,11.7,123.8,0
1720445,32.6,2.8,46.5,112.4,0
1720446,94.9,5.8,42.8,94.6,0
1720447,93.0,2.7,36.6,87.1,0
1720448,131.1,0.4,62.1,115.5,1
1720449,124.6,,33.8,107.6,0
1720450,124.2,13.2,38.7,94.5,1
1720451,127.9,9.2,38.0,95.6,0
1720452,113.0,3.9,66.3,113.7,1
1720453,103.9,2.1,43.0,129.2,1
1720454,100.8,0.6,75.0,96.2,0
1720455,116.3,7.1,48.8,86.7,1
1720456,93.2,4.8,17.7,98.3,1
1720457,124.4,4.8,49.9,91.8,0
1720458,57.2,3.4,69.6,107.5,0
1720459,104.7,3.0,32.1,92.1,0
1720460,81.5,0.8,51.8,129.2,0
1720461,108.6,6.9,38.5,80.8,0
1720462,118.8,0.5,20.3,87.0,1
1720463,102.2,4.4,47.0,70.6,0
1720464,102.2,0.0,56.2,82.9,0
1720465,123.7,4.3,44.1,109.1,0
1720466,103.1,1.5,59.0,106.3,1
1720467,99.6,8.6,66.8,136.8,1
1720468,103.7,0.3,15.3,68.2,1
1720469,115.7,4.9,45.3,98.1,1
1720470,54.7,5.9,69.5,119.3,1
1720471,61.7,,50.7,39.9,1
1720472,103.2,3.3,36.2,121.3,0
1720473,86.1,8.9,46.1,84.0,0
1720474,107.0,3.9,40.9,96.2,0
1720475,88.9,1.1,35.0,103.0,0
1720476,133.4,0.6,61.5,148.9,1
1720477,120.2,2.2,59.3,154.7,1
1720478,80.4,1.0,48.0,123.8,1
1720479,96.9,0.1,52.1,109.6,1
1720480,139.2,3.3,41.8,81.1,0
1720481,73.3,0.8,31.4,122.1,1
1720482,100.2,0.9,58.4,113.8,1
1720483,100.5,0.9,52.2,107.7,0
1720484,111.4,1.8,44.9,87.3,1
1720485,73.8,3.8,33.6,84.5,0
1720486,126.1,5.5,26.0,165.6,1
1720487,156.4,2.0,60.6,109.5,0
1720488,92.9,3.3,26.2,74.6,0
1720489,87.7,10.3,52.6,105.2,1
1720490,148.0,4.3,39.7,104.5,0
1720491,92.0,4.0,44.5,70.2,1
1720492,84.8,11.5,63.6,102.2,0
1720493,64.1,3.0,25.2,107.3,1
1720494,118.9,0.7,59.8,126.9,1
1720495,117.2,0.6,49.9,101.4,0
1720496,119.7,0.9,40.6,118.1,1
1720497,112.3,5.0,35.5,73.6,1
1720498,120.4,2.2,72.7,78.1,0
1720499,117.3,12.2,41.0,86.7,0
1720500,83.8,1.6,49.0,133.0,0
1720501,117.2,2.4,21.0,48.7,1
1720502,115.4,6.6,49.3,97.2,0
1720503,87.6,6.8,47.7,80.3,1
1720504,86.4,1.3,39.4,109.8,1
1720505,114.9,0.8,42.3,60.7,1
1720506,104.9,1.5,43.8,132.8,0
1720507,44.5,0.0,35.9,68.2,0
1720508,72.5,0.2,41.2,121.6,1
1720509,60.2,7.6,44.3,110.0,0
1720510,97.5,1.4,32.7,75.0,0
1720511,138.9,0.6,17.6,130.7,1
1720512,107.9,3.7,64.1,119.1,1
1720513,107.4,1.7,56.0,101.8,0
1720514,71.2,5.0,54.6,96.0,0
1720515,74.7,0.3,24.6,89.5,1
1720516,150.6,0.8,67.1,131.6,0
1720517,97.9,8.6,69.9,153.6,1
1720518,76.9,0.8,58.9,68.0,1
1720519,82.2,8.0,17.3,147.4,0
1720520,83.4,3.6,2.2,85.4,0
1720521,91.6,6.1,68.4,142.1,0
1720522,130.9,1.3,56.6,97.6,0
1720523,122.7,3.6,47.6,123.7,1
1720524,100.0,0.9,52.1,123.9,0
1720525,83.1,1.8,56.8,140.6,1
1720526,96.8,5.9,37.1,132.4,1
1720527,96.1,4.6,63.4,98.7,0
1720528,80.6,3.1,56.0,92.2,1
1720529,139.8,5.9,16.8,89.8,1
1720530,77.4,0.1,26.9,93.1,0
1720531,75.6,0.4,30.5,86.7,0
1720532,134.0,0.3,40.1,123.6,1
1720533,109.6,1.9,32.9,113.2,1
1720534,96.0,3.1,60.6,58.0,1
1720535,120.2,2.2,33.5,102.1,1
1720536,118.6,5.8,59.7,79.7,1
1720537,108.8,1.8,37.1,100.5,0
1720538,106.0,8.5,68.5,107.6,1
1720539,120.1,0.3,42.1,126.0,1
1720540,103.0,2.8,56.7,109.5,0
1720541,68.2,0.1,9.1,80.0,0
1720542,115.1,2.1,37.5,117.9,1
1720543,114.1,4.3,55.5,114.3,0
1720544,73.4,11.4,24.6,95.6,0
1720545,112.8,,49.4,110.9,1
1720546,146.1,4.2,48.7,73.9,0
1720547,86.9,3.8,43.0,84.1,1
1720548,122.5,4.7,47.0,87.1,1
1720549,126.8,4.6,75.9,123.6,1
1720550,114.7,4.7,55.2,106.3,1
1720551,75.2,4.4,54.9,98.5,1
1720552,21.3,30.0,40.0,97.2,1
1720553,120.1,2.2,56.6,90.0,1
1720554,112.3,2.9,43.5,114.7,0
1720555,86.1,0.2,55.8,46.0,1
1720556,99.0,2.4,15.8,88.4,0
1720557,96.7,2.5,47.2,104.2,1
1720558,123.7,8.5,28.5,101.1,0
1720559,100.4,8.1,41.8,126.1,0
1720560,109.4,7.9,27.0,110.6,1
1720561,173.5,2.6,59.0,104.6,0
1720562,110.0,0.8,36.5,75.9,1
1720563,53.9,0.7,51.3,89.2,0
1720564,74.2,4.9,46.4,119.5,1
1720565,92.9,2.0,34.1,92.2,1
1720566,13.5,3.0,53.7,71.9,0
1720567,135.8,0.7,73.0,72.6,0
1720568,94.0,8.6,59.9,138.4,1
1720569,77.8,3.3,48.6,88.6,0
1720570,119.5,2.7,31.1,134.5,0
1720571,114.7,0.2,69.8,113.6,1
1720572,87.2,0.8,58.6,112.5,1
1720573,102.5,5.5,28.7,50.6,0
1720574,113.0,13.0,51.0,84.1,0
1720575,68.9,7.9,75.1,125.4,0
1720576,59.2,5.7,52.0,108.2,0
1720577,105.9,10.5,63.1,82.5,1
1720578,90.5,1.4,40.3,66.8,1
1720579,118.7,2.2,59.2,130.7,0
1720580,98.1,2.7,58.4,123.5,0
1720581,107.5,5.1,40.4,74.8,1
1720582,93.5,0.3,68.3,88.4,0
1720583,84.8,5.6,61.2,60.7,1
1720584,114.3,5.3,70.9,92.4,1
1720585,81.5,3.1,79.0,82.2,0
1720586,116.9,1.8,52.3,187.0,1
1720587,112.0,0.5,38.3,109.4,1
1720588,82.9,6.0,57.6,116.4,0
1720589,118.1,7.7,39.9,116.8,1
1720590,137.5,0.3,36.3,153.1,0
1720591,82.2,3.0,38.0,139.8,1
1720592,109.9,1.4,36.4,114.0,1
1720593,88.7,1.7,67.2,93.1,0
1720594,94.8,0.5,21.8,128.2,1
1720595,89.3,6.1,31.3,53.5,1
1720596,126.6,8.3,44.2,88.5,1
1720597,102.2,1.0,66.1,143.2,0
1720598,111.6,3.3,51.5,63.7,1
1720599,78.6,2.1,38.8,105.9,0
1720600,111.4,2.6,51.7,101.0,0
1720601,74.6,4.4,77.0,103.3,1
1720602,129.4,3.3,54.8,91.4,1
1720603,128.5,6.2,34.1,126.1,1
1720604,118.0,2.0,57.6,73.3,0
1720605,106.5,1.2,43.9,93.7,1
1720606,41.9,1.4,61.8,157.4,0
1720607,149.1,2.2,32.7,118.8,0
1720608,78.8,1.7,61.2,108.2,1
1720609,78.3,0.4,44.9,73.8,0
1720610,123.6,3.1,26.5,63.0,1
1720611,116.2,3.7,37.4,104.7,1
1720612,117.9,15.3,49.3,83.7,0
1720613,138.2,4.8,45.1,109.0,1
1720614,107.9,18.7,36.0,110.1,0
1720615,127.5,4.8,64.9,134.9,0
1720616,74.6,19.3,48.3,92.1,1
1720617,67.4,2.5,31.4,107.2,1
1720618,44.8,0.2,35.9,94.6,0
1720619,87.0,,44.6,127.4,0
1720620,157.1,3.9,57.8,97.8,0
1720621,67.7,1.5,35.5,89.0,1
1720622,117.7,1.2,55.2,121.7,0
1720623,135.4,4.3,25.7,101.8,0
1720624,112.1,1.1,61.5,88.7,0
1720625,67.4,1.4,20.7,98.6,0
1720626,86.3,2.1,52.8,126.3,0
1720627,94.3,1.9,14.1,59.6,1
1720628,138.4,3.1,44.8,116.1,0
1720629,100.8,3.0,55.7,86.4,0
1720630,67.0,0.5,44.7,117.1,1
1720631,70.4,1.2,45.9,91.5,0
1720632,85.1,2.0,40.4,123.0,0
1720633,140.2,0.5,56.8,160.5,1
