Date,Temperature,Humidity,WindSpeed,Precipitation,Condition
2023-05-06,22.8,52.5,3.0,0.0,Sunny
2023-05-07,13.5,88.3,3.8,20.1,Rainy
2023-05-08,15.0,60.8,2.4,0.0,Sunny
2023-05-09,17.3,73.4,2.4,0.0,Cloudy
2023-05-10,15.7,41.2,2.7,0.0,Sunny
2023-05-11,12.9,42.5,3.5,0.0,Sunny
2023-05-12,18.0,32.7,7.5,0.0,Sunny
2023-05-13,14.8,41.0,1.4,0.0,Sunny
2023-05-14,19.7,48.1,5.1,0.0,Sunny
2023-05-15,15.8,41.5,4.8,0.0,Sunny
2023-05-16,23.4,35.8,3.0,0.0,Sunny
2023-05-17,16.7,37.8,4.3,0.0,Sunny
2023-05-18,18.3,60.0,3.2,0.0,Sunny
2023-05-19,22.0,43.4,4.7,0.0,Sunny
2023-05-20,16.1,53.7,2.2,0.0,Sunny
2023-05-21,20.7,62.7,2.0,0.0,Sunny
2023-05-22,24.2,74.9,1.3,0.0,Cloudy
2023-05-23,15.7,32.6,4.3,0.0,Sunny
2023-05-24,21.3,82.0,2.5,13.6,Rainy
2023-05-25,21.7,70.8,1.5,0.0,Cloudy
2023-05-26,23.5,35.3,2.1,0.0,Sunny
2023-05-27,17.7,86.8,4.7,13.6,Rainy
2023-05-28,17.7,89.9,3.8,6.1,Rainy
2023-05-29,23.5,34.0,2.1,0.0,Sunny
2023-05-30,23.0,48.0,7.3,0.0,Sunny
2023-05-31,23.1,82.4,3.4,1.2,Cloudy
2023-06-01,23.6,78.6,4.5,0.0,Cloudy
2023-06-02,20.8,42.0,3.8,0.0,Sunny
2023-06-03,23.7,43.6,3.0,0.0,Sunny
2023-06-04,24.1,54.1,4.4,0.0,Sunny
2023-06-05,21.3,61.5,6.5,0.0,Sunny
2023-06-06,29.3,70.2,3.0,0.0,Cloudy
2023-06-07,25.3,54.0,5.2,0.0,Sunny
2023-06-08,20.5,60.1,2.4,0.0,Sunny
2023-06-09,26.2,78.6,8.9,0.0,Cloudy
2023-06-10,21.6,32.4,2.2,0.0,Sunny
2023-06-11,27.0,46.4,10.7,0.0,Sunny
2023-06-12,28.4,76.4,1.8,0.0,Cloudy
2023-06-13,22.6,88.2,2.9,37.4,Rainy
2023-06-14,28.1,63.3,4.5,0.0,Sunny
2023-06-15,26.7,64.6,6.7,0.0,Sunny
2023-06-16,28.1,37.0,8.1,0.0,Sunny
2023-06-17,31.5,59.1,7.5,0.0,Sunny
2023-06-18,25.3,64.6,4.4,0.0,Sunny
2023-06-19,23.9,45.8,2.3,0.0,Sunny
2023-06-20,23.7,47.5,5.9,0.0,Sunny
2023-06-21,24.1,54.5,6.3,0.0,Sunny
2023-06-22,26.4,31.3,4.1,0.0,Sunny
2023-06-23,27.8,50.9,2.6,0.0,Sunny
2023-06-24,27.8,43.7,1.9,0.0,Sunny
2023-06-25,29.6,51.3,2.4,0.0,Sunny
2023-06-26,27.3,37.8,2.3,0.0,Sunny
2023-06-27,31.8,87.9,3.6,3.8,Cloudy
2023-06-28,26.8,68.6,6.1,0.0,Sunny
2023-06-29,35.9,74.1,3.7,0.0,Cloudy
2023-06-30,29.7,81.3,1.8,0.6,Cloudy
2023-07-01,25.4,62.4,5.1,0.0,Sunny
2023-07-02,24.9,35.6,9.5,0.0,Sunny
2023-07-03,29.7,64.9,3.7,0.0,Sunny
2023-07-04,27.7,68.1,2.4,0.0,Sunny
2023-07-05,30.6,78.5,2.0,0.0,Cloudy
2023-07-06,30.0,58.1,4.9,0.0,Sunny
2023-07-07,28.5,38.3,8.0,0.0,Sunny
2023-07-08,26.2,48.4,3.0,0.0,Sunny
2023-07-09,24.3,53.6,2.6,0.0,Sunny
2023-07-10,27.6,72.0,3.6,0.0,Cloudy
2023-07-11,31.6,67.1,5.3,0.0,Sunny
2023-07-12,29.8,53.1,2.3,0.0,Sunny
2023-07-13,25.5,94.1,4.0,29.7,Rainy
2023-07-14,29.8,69.4,4.6,0.0,Sunny
2023-07-15,30.6,45.4,4.8,0.0,Sunny
2023-07-16,26.8,36.6,1.9,0.0,Sunny
2023-07-17,30.0,39.9,2.1,0.0,Sunny
2023-07-18,29.8,46.0,3.7,0.0,Sunny
2023-07-19,26.2,40.4,5.1,0.0,Sunny
2023-07-20,30.8,42.1,10.4,0.0,Sunny
2023-07-21,31.4,48.5,1.9,0.0,Sunny
2023-07-22,33.0,41.3,4.0,0.0,Sunny
2023-07-23,33.0,88.3,3.5,6.2,Rainy
2023-07-24,25.7,35.2,2.7,0.0,Sunny
2023-07-25,27.1,64.1,6.5,0.0,Sunny
2023-07-26,31.5,56.7,4.8,0.0,Sunny
2023-07-27,31.5,93.9,4.9,11.6,Rainy
2023-07-28,31.5,37.3,1.8,0.0,Sunny
2023-07-29,41.5,55.9,2.9,0.0,Sunny
2023-07-30,31.7,93.0,3.6,14.7,Rainy
2023-07-31,33.4,86.3,3.8,32.6,Rainy
2023-08-01,32.9,83.1,12.0,14.4,Rainy
2023-08-02,31.9,46.8,3.0,0.0,Sunny
2023-08-03,29.0,41.1,1.1,0.0,Sunny
2023-08-04,32.2,73.5,3.6,0.0,Cloudy
2023-08-05,27.6,90.4,4.6,0.3,Cloudy
2023-08-06,29.2,66.2,3.6,0.0,Sunny
2023-08-07,28.5,67.2,1.0,0.0,Sunny
2023-08-08,30.1,48.2,4.1,0.0,Sunny
2023-08-09,36.8,80.0,4.7,24.1,Rainy
2023-08-10,24.2,42.2,1.7,0.0,Sunny
2023-08-11,31.8,51.0,2.4,0.0,Sunny
2023-08-12,24.9,57.7,3.4,0.0,Sunny
2023-08-13,28.2,63.0,2.6,0.0,Sunny
2023-08-14,32.9,45.8,2.8,0.0,Sunny
2023-08-15,29.7,37.5,4.1,0.0,Sunny
2023-08-16,26.2,69.7,2.5,0.0,Sunny
2023-08-17,27.3,48.8,1.6,0.0,Sunny
2023-08-18,31.4,67.8,5.7,0.0,Sunny
2023-08-19,27.1,40.0,2.0,0.0,Sunny
2023-08-20,29.8,61.3,3.1,0.0,Sunny
2023-08-21,29.2,64.6,2.6,0.0,Sunny
2023-08-22,27.0,33.4,1.8,0.0,Sunny
2023-08-23,35.3,51.9,5.6,0.0,Sunny
2023-08-24,30.7,38.7,5.3,0.0,Sunny
2023-08-25,22.6,34.1,2.8,0.0,Sunny
2023-08-26,29.1,94.3,3.5,5.3,Rainy
2023-08-27,26.5,51.0,3.7,0.0,Sunny
2023-08-28,30.9,82.6,1.9,0.6,Cloudy
2023-08-29,25.9,46.6,2.0,0.0,Sunny
2023-08-30,27.8,74.3,3.4,0.0,Cloudy
2023-08-31,29.5,79.4,1.8,0.0,Cloudy
2023-09-01,30.4,68.7,3.4,0.0,Sunny
2023-09-02,24.1,60.7,1.2,0.0,Sunny
2023-09-03,26.6,56.8,2.7,0.0,Sunny
2023-09-04,26.0,52.7,4.1,0.0,Sunny
2023-09-05,25.3,90.4,3.9,23.2,Rainy
2023-09-06,32.4,84.0,6.4,1.4,Cloudy
2023-09-07,28.2,92.7,1.9,8.1,Rainy
2023-09-08,23.0,38.1,3.3,0.0,Sunny
2023-09-09,29.4,77.5,5.7,0.0,Cloudy
2023-09-10,32.9,91.0,4.1,9.4,Rainy
2023-09-11,29.4,41.8,5.4,0.0,Sunny
2023-09-12,21.6,34.3,1.8,0.0,Sunny
2023-09-13,24.5,78.2,3.6,0.0,Cloudy
2023-09-14,29.6,67.3,3.1,0.0,Sunny
2023-09-15,23.5,84.7,3.7,42.9,Rainy
2023-09-16,26.8,39.1,2.2,0.0,Sunny
2023-09-17,27.6,81.7,7.0,14.0,Rainy
2023-09-18,22.3,43.1,5.1,0.0,Sunny
2023-09-19,24.7,40.6,6.5,0.0,Sunny
2023-09-20,15.0,40.7,4.1,0.0,Sunny
2023-09-21,21.4,82.9,2.4,3.7,Cloudy
2023-09-22,23.5,73.2,4.9,0.0,Cloudy
2023-09-23,20.3,64.0,7.0,0.0,Sunny
2023-09-24,28.8,53.3,4.1,0.0,Sunny
2023-09-25,19.4,87.0,2.1,0.9,Cloudy
2023-09-26,22.1,55.5,2.5,0.0,Sunny
2023-09-27,23.6,83.1,3.6,32.3,Rainy
2023-09-28,27.3,58.5,7.5,0.0,Sunny
2023-09-29,18.5,54.5,8.9,0.0,Sunny
2023-09-30,26.1,60.1,2.2,0.0,Sunny
2023-10-01,22.4,49.6,4.3,0.0,Sunny
2023-10-02,19.2,78.6,2.5,0.0,Cloudy
2023-10-03,23.3,62.7,1.7,0.0,Sunny
2023-10-04,22.3,45.1,4.8,0.0,Sunny
2023-10-05,19.6,88.5,3.8,25.4,Rainy
2023-10-06,21.4,55.0,3.9,0.0,Sunny
2023-10-07,19.8,65.3,3.2,0.0,Sunny
2023-10-08,21.1,88.9,4.1,11.5,Rainy
2023-10-09,22.5,70.6,4.1,0.0,Cloudy
2023-10-10,25.0,37.6,5.5,0.0,Sunny
2023-10-11,16.3,91.1,2.2,1.4,Cloudy
2023-10-12,26.2,70.8,5.6,0.0,Cloudy
2023-10-13,13.7,51.8,5.2,0.0,Sunny
2023-10-14,18.8,39.1,4.2,0.0,Sunny
2023-10-15,20.8,81.6,3.6,32.9,Rainy
2023-10-16,19.6,70.3,3.3,0.0,Cloudy
2023-10-17,16.6,64.7,3.3,0.0,Sunny
2023-10-18,17.6,88.1,3.6,24.9,Rainy
2023-10-19,16.5,81.3,1.6,16.0,Rainy
2023-10-20,16.0,39.9,11.1,0.0,Sunny
2023-10-21,20.1,50.3,6.2,0.0,Sunny
2023-10-22,18.3,46.2,8.9,0.0,Sunny
2023-10-23,14.9,78.4,4.9,0.0,Cloudy
2023-10-24,19.4,32.2,2.5,0.0,Sunny
2023-10-25,17.4,67.0,4.5,0.0,Sunny
2023-10-26,18.7,79.6,5.5,0.0,Cloudy
2023-10-27,17.9,87.0,2.1,1.3,Cloudy
2023-10-28,13.2,52.2,6.9,0.0,Sunny
2023-10-29,13.8,83.4,2.8,17.2,Rainy
2023-10-30,17.4,37.2,5.2,0.0,Sunny
2023-10-31,16.8,85.0,7.5,28.6,Rainy
2023-11-01,14.6,38.3,4.1,0.0,Sunny
2023-11-02,14.8,55.8,7.5,0.0,Sunny
2023-11-03,18.0,81.8,1.6,13.5,Rainy
2023-11-04,12.1,39.7,1.9,0.0,Sunny
2023-11-05,15.3,44.9,2.2,0.0,Sunny
2023-11-06,12.8,76.9,1.4,0.0,Cloudy
2023-11-07,12.5,76.8,7.5,0.0,Cloudy
2023-11-08,16.2,71.7,6.5,0.0,Cloudy
2023-11-09,15.1,75.1,2.5,0.0,Cloudy
2023-11-10,14.8,65.3,10.7,0.0,Sunny
2023-11-11,16.0,46.4,3.0,0.0,Sunny
2023-11-12,11.9,52.5,9.1,0.0,Sunny
2023-11-13,13.7,41.8,9.2,0.0,Sunny
2023-11-14,10.4,89.0,2.5,18.5,Rainy
2023-11-15,12.1,67.9,5.5,0.0,Sunny
2023-11-16,10.5,56.1,6.3,0.0,Sunny
2023-11-17,10.9,60.0,2.4,0.0,Sunny
2023-11-18,12.2,91.6,1.1,14.5,Rainy
2023-11-19,7.7,40.0,5.4,0.0,Sunny
2023-11-20,16.2,68.1,2.2,0.0,Sunny
2023-11-21,6.6,62.9,3.2,0.0,Sunny
2023-11-22,5.8,69.7,3.9,0.0,Sunny
2023-11-23,12.6,31.2,4.8,0.0,Sunny
2023-11-24,11.3,86.7,2.9,26.2,Rainy
2023-11-25,10.6,90.6,4.0,2.1,Cloudy
2023-11-26,10.3,66.7,6.6,0.0,Sunny
2023-11-27,8.2,75.3,1.3,0.0,Cloudy
2023-11-28,5.3,90.0,1.6,2.6,Cloudy
2023-11-29,8.0,76.0,1.8,0.0,Cloudy
2023-11-30,5.5,39.9,2.6,0.0,Sunny
2023-12-01,10.2,67.5,5.3,0.0,Sunny
2023-12-02,6.7,69.4,6.1,0.0,Sunny
2023-12-03,4.4,57.6,3.1,0.0,Sunny
2023-12-04,5.7,77.9,3.1,0.0,Cloudy
2023-12-05,7.7,90.7,7.3,59.6,Rainy
2023-12-06,4.5,90.2,3.9,15.0,Rainy
2023-12-07,3.6,59.3,2.8,0.0,Sunny
2023-12-08,6.6,37.4,5.7,0.0,Sunny
2023-12-09,6.4,94.0,5.3,11.6,Rainy
2023-12-10,3.9,84.5,4.3,22.7,Rainy
2023-12-11,3.8,38.1,2.5,0.0,Sunny
2023-12-12,5.7,89.9,2.0,21.5,Rainy
2023-12-13,0.5,86.5,2.1,11.7,Rainy
2023-12-14,0.4,63.7,2.2,0.0,Sunny
2023-12-15,2.3,68.4,2.1,0.0,Sunny
2023-12-16,3.6,55.9,2.6,0.0,Sunny
2023-12-17,5.0,33.6,3.5,0.0,Sunny
2023-12-18,8.4,51.8,3.7,0.0,Sunny
2023-12-19,6.3,82.2,1.9,41.5,Rainy
2023-12-20,3.1,30.3,4.0,0.0,Sunny
2023-12-21,3.4,51.7,3.7,0.0,Sunny
2023-12-22,0.2,55.9,3.3,0.0,Sunny
2023-12-23,3.0,64.9,2.5,0.0,Sunny
2023-12-24,2.1,89.8,1.9,1.0,Cloudy
2023-12-25,3.8,52.5,4.8,0.0,Sunny
2023-12-26,0.2,52.6,3.7,0.0,Sunny
2023-12-27,4.1,77.9,4.2,0.0,Cloudy
2023-12-28,7.0,59.4,2.8,0.0,Sunny
2023-12-29,1.9,44.6,2.6,0.0,Sunny
2023-12-30,3.3,59.4,6.0,0.0,Sunny
2023-12-31,4.0,39.2,3.0,0.0,Sunny
