ApplicantID,ApplicantIncome,LoanAmount,CreditHistoryScore,CoApplicant,Approved
930381,11806,13711.0,779,1,No
930382,3901,9182.0,668,0,No
930383,7995,21965.0,664,1,Yes
930384,17400,17047.0,783,0,Yes
930385,16375,27769.0,837,1,Yes
930386,12829,14373.0,410,0,No
930387,21587,50000.0,570,1,No
930388,24587,50000.0,341,1,No
930389,4270,11368.0,799,1,No
930390,7218,14021.0,675,0,No
930391,6419,6617.0,439,1,No
930392,21801,37788.0,396,1,No
930393,9123,21670.0,766,0,Yes
930394,10988,24390.0,339,1,Yes
930395,4706,7805.0,643,1,No
930396,5590,16487.0,482,1,No
930397,9128,28868.0,469,0,No
930398,9526,17917.0,476,1,No
930399,22394,25298.0,372,1,No
930400,15909,28534.0,780,1,Yes
930401,10456,18964.0,658,0,No
930402,23673,50000.0,611,0,Yes
930403,22342,45307.0,416,1,No
930404,9867,9470.0,487,0,No
930405,5583,9162.0,586,0,No
930406,19190,42989.0,686,1,Yes
930407,4972,13987.0,409,1,No
930408,17134,24781.0,836,0,Yes
930409,23983,50000.0,608,0,No
930410,10593,27151.0,466,1,No
930411,7573,8714.0,372,0,No
930412,16317,40584.0,306,1,No
930413,2654,5700.0,773,0,Yes
930414,9293,28084.0,506,0,No
930415,14727,43409.0,444,1,No
930416,24022,50000.0,583,1,Yes
930417,6692,12680.0,674,0,No
930418,23510,29808.0,599,1,Yes
930419,3147,6039.0,591,1,Yes
930420,4615,,611,0,No
930421,6033,18133.0,587,0,No
930422,13444,25079.0,800,1,Yes
930423,3940,10207.0,552,1,No
930424,11141,16871.0,589,0,No
930425,12210,27240.0,417,1,No
930426,24376,50000.0,480,1,No
930427,11235,12355.0,660,0,No
930428,6221,17442.0,382,1,No
930429,17005,46303.0,430,0,No
930430,20124,39419.0,309,1,No
930431,8501,19536.0,329,0,No
930432,3957,4650.0,610,0,No
930433,6993,13240.0,722,0,No
930434,20320,50000.0,695,0,No
930435,15333,33987.0,766,1,No
930436,14845,32330.0,769,1,Yes
930437,11854,30306.0,646,1,No
930438,18876,30519.0,637,0,No
930439,17266,43505.0,576,0,No
930440,5285,16108.0,451,0,No
930441,8285,21405.0,342,1,No
930442,12127,21925.0,575,1,No
930443,4562,14486.0,390,1,No
930444,19397,50000.0,595,0,Yes
930445,14308,23856.0,376,1,No
930446,3796,10218.0,535,0,No
930447,24042,48375.0,665,0,No
930448,23739,50000.0,828,0,Yes
930449,7071,8876.0,364,1,No
930450,24818,50000.0,496,1,No
930451,9976,22927.0,799,0,No
930452,11965,34453.0,683,0,No
930453,14890,27791.0,763,0,Yes
930454,18765,30239.0,544,0,No
930455,18836,24090.0,523,0,No
930456,5560,7975.0,339,0,No
930457,16872,42754.0,519,1,No
930458,13233,19001.0,335,0,No
930459,8378,16479.0,524,0,No
930460,17313,39811.0,844,1,Yes
930461,8527,14237.0,677,0,No
930462,15634,19842.0,795,0,No
930463,23613,50000.0,503,0,No
930464,7599,10384.0,813,0,Yes
930465,14393,19631.0,371,1,No
930466,22006,50000.0,722,1,Yes
930467,6983,6712.0,348,0,No
930468,4960,12990.0,650,1,No
930469,12387,13815.0,629,0,No
930470,9350,12715.0,479,0,No
930471,16411,15191.0,442,1,No
930472,4357,6564.0,358,0,No
930473,20500,50000.0,335,1,No
930474,10369,30546.0,536,0,No
930475,10492,11967.0,529,1,No
930476,16914,,581,0,No
930477,12950,14555.0,814,0,Yes
930478,19482,50000.0,388,0,No
930479,16277,37031.0,802,1,Yes
930480,5267,11092.0,704,0,No
930481,4884,15093.0,700,0,No
930482,7794,15075.0,465,1,No
930483,23810,50000.0,697,0,No
930484,11932,22563.0,379,0,No
930485,14892,41008.0,418,1,No
930486,4187,9195.0,734,1,No
930487,11159,31821.0,723,1,No
930488,15573,31568.0,765,1,Yes
930489,12360,10388.0,603,1,No
930490,13793,14509.0,304,0,No
930491,20028,32293.0,694,0,No
930492,15457,32061.0,696,1,No
930493,3048,3728.0,483,1,No
930494,12700,36170.0,805,1,Yes
930495,23262,50000.0,443,0,No
930496,8926,22179.0,847,1,Yes
930497,21393,22413.0,680,1,Yes
930498,5911,14556.0,563,0,No
930499,20469,50000.0,386,1,No
930500,7077,18966.0,383,0,No
930501,7983,20380.0,391,0,No
930502,13858,21850.0,650,0,Yes
930503,21463,33861.0,695,1,Yes
930504,22481,30791.0,376,1,No
930505,24163,50000.0,773,1,Yes
930506,6488,14236.0,432,0,No
930507,12794,15128.0,702,1,Yes
930508,9111,10068.0,612,0,No
930509,6285,8788.0,543,0,No
930510,24088,23575.0,338,0,No
930511,4373,4766.0,330,1,No
930512,17056,14139.0,433,1,No
930513,17552,29596.0,412,0,No
930514,11871,22093.0,602,0,No
930515,12541,13421.0,583,1,No
930516,11646,27897.0,723,0,No
930517,24779,24336.0,475,1,No
930518,21517,47346.0,539,1,Yes
930519,9118,27325.0,558,1,No
930520,9653,21562.0,414,0,No
930521,15200,16610.0,468,1,No
930522,17693,19755.0,375,0,No
930523,10595,28608.0,348,0,No
930524,18843,34009.0,301,0,No
930525,16314,,750,0,Yes
930526,17595,38443.0,567,1,No
930527,14445,23743.0,571,0,No
930528,4459,8495.0,717,1,Yes
930529,11954,13584.0,698,0,No
930530,11398,19024.0,768,1,Yes
930531,5687,6066.0,493,0,No
930532,13249,40711.0,455,0,No
930533,19533,50000.0,500,0,No
930534,21189,42989.0,379,0,No
930535,8452,12564.0,585,0,No
930536,13601,31799.0,800,1,Yes
930537,23487,35317.0,353,0,No
930538,4003,5306.0,426,0,No
930539,21234,20369.0,700,0,No
930540,21430,41895.0,475,0,No
930541,16454,45992.0,645,0,No
930542,24985,33405.0,619,1,Yes
930543,12183,10039.0,829,0,Yes
930544,20290,33929.0,592,1,No
930545,10468,20639.0,417,0,No
930546,14811,17283.0,485,1,No
930547,9248,13616.0,373,0,No
930548,23769,50000.0,633,0,Yes
930549,22888,36956.0,474,0,Yes
930550,16904,22442.0,768,0,No
930551,3382,6150.0,324,0,No
930552,22070,23799.0,600,1,No
930553,14707,31279.0,755,0,Yes
930554,9127,9217.0,538,0,No
930555,4635,9157.0,825,0,Yes
930556,6216,18604.0,727,1,No
930557,13044,26410.0,730,1,Yes
930558,23290,50000.0,820,0,Yes
930559,9697,25377.0,812,0,Yes
930560,21466,31619.0,762,0,No
930561,5019,10341.0,709,1,No
930562,20849,20486.0,584,0,No
930563,8640,22996.0,652,0,No
930564,6938,6671.0,413,1,Yes
930565,15161,13240.0,402,0,No
930566,17376,20690.0,355,0,No
930567,14377,,533,1,Yes
930568,6020,11417.0,433,0,No
930569,20052,50000.0,707,1,Yes
930570,10773,22097.0,474,1,No
930571,19833,50000.0,372,0,No
930572,11674,14038.0,674,1,No
930573,4039,8765.0,499,1,No
930574,15727,49092.0,476,1,No
930575,20520,50000.0,671,1,Yes
930576,10352,22620.0,622,1,No
930577,17011,45690.0,404,1,No
930578,8083,21045.0,651,1,No
930579,21081,50000.0,346,1,Yes
930580,14364,42643.0,571,0,No
930581,21035,19527.0,495,0,No
930582,2660,3353.0,792,0,Yes
930583,9173,24693.0,329,0,No
930584,16695,30982.0,702,1,Yes
930585,20692,50000.0,314,0,No
930586,12604,31898.0,826,0,Yes
930587,5671,16613.0,638,1,No
930588,6753,7727.0,546,0,No
930589,24188,50000.0,361,1,No
930590,14308,12312.0,431,1,No
930591,17346,15413.0,320,0,No
930592,4007,7466.0,787,1,Yes
930593,7998,22873.0,775,1,Yes
930594,17102,27874.0,611,1,No
930595,23928,47985.0,749,0,Yes
930596,23921,50000.0,504,0,No
930597,24180,50000.0,789,0,Yes
930598,18581,32309.0,420,1,No
930599,22849,38193.0,300,1,No
930600,4519,11319.0,463,1,No
930601,6137,5610.0,835,1,Yes
930602,11935,22021.0,324,1,No
930603,13645,14916.0,640,0,No
930604,24684,26499.0,609,0,No
930605,6172,12680.0,391,1,No
930606,10390,30181.0,427,1,No
930607,10968,14386.0,364,0,No
930608,7922,16795.0,540,0,No
930609,22508,30295.0,457,0,No
930610,5677,9420.0,318,0,No
930611,14793,38128.0,415,1,No
930612,17093,26876.0,349,1,No
930613,3721,9136.0,660,0,No
930614,3301,6861.0,633,1,No
930615,6601,13860.0,760,0,No
930616,4454,11154.0,389,1,No
930617,7697,19169.0,381,0,No
930618,2798,,324,0,No
930619,10481,20212.0,478,1,No
930620,13068,12780.0,380,0,No
930621,9425,,453,1,No
930622,19572,27313.0,457,1,No
930623,21317,50000.0,494,1,No
930624,4033,3510.0,362,0,No
930625,8225,9047.0,441,0,No
930626,15819,29254.0,781,1,No
930627,23674,21393.0,685,1,Yes
930628,10153,16028.0,749,0,No
930629,15307,40227.0,834,1,Yes
930630,3935,9494.0,417,0,No
930631,15133,46587.0,762,1,Yes
930632,23500,50000.0,417,1,No
930633,3484,5682.0,371,1,No
930634,8107,8968.0,508,1,No
930635,4492,14067.0,523,0,No
930636,6978,19700.0,606,0,Yes
930637,10037,14019.0,554,0,No
930638,24063,50000.0,839,0,Yes
930639,13898,,709,0,No
930640,9689,8004.0,722,1,Yes
930641,23474,22885.0,593,0,No
930642,5083,9472.0,581,1,No
930643,23610,39542.0,605,0,No
930644,8824,12692.0,424,1,No
930645,19931,26185.0,718,0,No
930646,2527,4527.0,526,0,No
930647,4182,8142.0,724,0,Yes
930648,6659,19501.0,482,1,No
930649,2940,9265.0,739,1,Yes
930650,19523,50000.0,793,1,Yes
930651,9038,23156.0,432,1,No
930652,5819,18147.0,594,0,No
930653,16363,22722.0,807,1,Yes
930654,15203,16931.0,330,0,No
930655,9911,15427.0,398,1,No
930656,23346,50000.0,725,1,Yes
930657,4669,10950.0,804,0,Yes
930658,8616,17002.0,618,1,No
930659,17380,50000.0,826,1,Yes
930660,13844,17893.0,809,0,Yes
930661,2644,2618.0,489,1,No
930662,3856,6212.0,559,1,No
930663,13767,12110.0,810,1,Yes
930664,7681,21255.0,541,1,No
930665,3531,7379.0,618,0,No
930666,18733,23503.0,406,0,No
930667,18484,41399.0,318,0,No
930668,18709,25080.0,543,0,No
930669,12173,21774.0,520,0,No
930670,13980,21779.0,609,0,No
930671,19226,23518.0,645,1,Yes
930672,13765,16760.0,582,0,No
930673,11050,24342.0,362,1,No
930674,11791,34639.0,691,1,Yes
930675,23479,50000.0,481,1,No
930676,22681,30952.0,604,1,No
930677,2969,8388.0,716,1,Yes
930678,16507,28247.0,701,0,Yes
930679,7304,21346.0,327,1,No
930680,16003,18466.0,811,0,Yes
930681,13591,28985.0,524,1,No
930682,20524,50000.0,506,0,No
930683,17633,20182.0,665,0,Yes
930684,6040,14357.0,629,1,No
930685,5716,8980.0,487,1,No
930686,10973,14349.0,837,0,Yes
930687,21961,50000.0,609,0,Yes
930688,23325,50000.0,474,0,No
930689,4931,6158.0,367,0,No
930690,22015,22133.0,618,1,No
930691,3568,8026.0,724,1,No
930692,18767,31250.0,479,0,No
930693,6311,8941.0,443,0,No
930694,19743,24685.0,748,0,Yes
930695,3208,8181.0,380,0,No
930696,12203,22829.0,481,1,No
930697,22554,,800,0,Yes
930698,20125,18165.0,486,1,No
930699,11186,15622.0,334,0,No
930700,21339,50000.0,415,1,No
930701,23598,36483.0,715,1,Yes
930702,17569,49897.0,557,1,No
930703,10990,30104.0,685,0,No
930704,9700,30696.0,624,1,Yes
930705,13623,15852.0,796,1,Yes
930706,11672,31285.0,792,0,No
930707,17441,33807.0,726,0,No
930708,24161,50000.0,649,0,No
930709,10178,24269.0,419,0,No
930710,19697,39192.0,402,1,No
930711,7325,10514.0,761,1,Yes
930712,4784,8978.0,409,0,No
930713,10154,11089.0,587,1,No
930714,10179,13440.0,783,0,Yes
930715,3928,6661.0,553,0,No
930716,24266,50000.0,377,0,No
930717,18707,48638.0,757,0,Yes
930718,24510,50000.0,313,1,No
930719,15220,18583.0,669,0,No
930720,5332,14729.0,568,1,No
930721,13461,41342.0,390,1,No
930722,11451,17312.0,303,0,No
930723,24272,23974.0,342,0,No
930724,7765,24654.0,496,1,No
930725,8271,14514.0,667,0,No
930726,3596,4906.0,767,1,No
930727,16928,18467.0,790,1,Yes
930728,23763,44384.0,812,1,No
930729,21532,29110.0,777,1,Yes
930730,17821,29426.0,846,0,Yes
930731,4584,8685.0,629,1,No
930732,22643,50000.0,759,1,Yes
930733,19094,48366.0,384,1,No
930734,3325,7579.0,521,1,No
930735,15273,33397.0,488,1,No
930736,24058,41872.0,489,0,No
930737,15177,29893.0,594,0,No
930738,6699,17126.0,300,0,No
930739,20368,25095.0,434,0,No
930740,10270,27191.0,455,1,No
930741,15177,40298.0,615,0,Yes
930742,18224,50000.0,727,1,Yes
930743,18209,50000.0,347,0,No
930744,4591,4221.0,593,1,No
930745,4996,10568.0,386,0,No
930746,8598,19147.0,463,1,No
930747,8306,18182.0,371,1,No
930748,17926,23319.0,451,0,No
930749,10204,28049.0,714,0,No
930750,17634,36991.0,840,1,Yes
930751,12560,19961.0,568,0,No
930752,12873,32716.0,770,1,Yes
930753,19295,27510.0,456,1,No
930754,15365,16710.0,588,1,No
930755,22817,37957.0,646,1,No
930756,14899,18133.0,608,1,No
930757,6466,18875.0,441,1,No
930758,15004,28397.0,482,1,No
930759,14855,32313.0,783,1,No
930760,8010,12319.0,846,1,Yes
930761,5481,16241.0,370,0,No
930762,10732,18559.0,757,1,Yes
930763,13053,20464.0,605,0,No
930764,23461,30198.0,698,1,Yes
930765,13077,32858.0,830,0,Yes
930766,5000,6581.0,533,0,No
930767,12248,33515.0,772,1,Yes
930768,8103,13040.0,540,0,No
930769,12865,15204.0,825,1,Yes
930770,20436,38558.0,605,1,No
930771,4020,6006.0,789,1,Yes
930772,3909,8764.0,737,0,No
930773,8613,12429.0,672,0,No
930774,16961,22561.0,511,0,No
930775,18215,15523.0,363,1,No
930776,24157,50000.0,498,0,No
930777,17011,41955.0,485,0,No
930778,24400,29104.0,769,0,Yes
930779,18836,19662.0,342,1,No
930780,7496,6298.0,733,1,No
930781,6281,8367.0,636,1,No
930782,11684,31543.0,849,0,Yes
930783,22149,34958.0,334,0,No
930784,14063,20544.0,740,1,Yes
930785,2604,6262.0,576,1,No
930786,17567,29503.0,379,0,No
930787,6122,17375.0,755,0,No
930788,18979,16793.0,458,0,No
930789,16653,50000.0,738,0,Yes
930790,5977,12420.0,425,1,No
930791,24862,50000.0,390,0,No
930792,15604,42031.0,412,1,No
930793,19396,43927.0,605,1,No
930794,10218,12527.0,670,0,No
930795,18465,43691.0,719,1,Yes
930796,4556,12339.0,310,0,No
930797,12594,21142.0,554,1,No
