LampID,TrafficDensityHourly,MidnightDimming_Percent,PowerConsumption_Wh,LuxSensorReading,EnergySavingGrade
1890052,81.1,16.7,308.1,100.5,98.0
1890053,73.0,60.2,205.9,116.0,95.5
1890054,117.6,69.1,146.8,80.6,121.9
1890055,68.0,47.7,250.2,137.0,91.7
1890056,107.5,49.3,232.3,70.4,112.3
1890057,132.7,44.1,310.7,109.7,98.3
1890058,104.7,40.7,306.0,62.7,109.8
1890059,48.5,36.1,271.1,97.1,133.4
1890060,136.9,29.8,159.6,53.9,85.9
1890061,120.5,48.2,358.4,82.4,121.8
1890062,63.7,55.9,354.1,69.1,141.3
1890063,61.5,47.0,248.8,47.1,104.6
1890064,92.5,24.2,291.6,172.2,115.1
1890065,126.4,33.2,504.3,147.4,83.9
1890066,107.7,22.5,357.5,110.0,90.4
1890067,107.6,39.6,224.8,79.8,113.1
1890068,67.8,45.0,369.3,98.8,154.8
1890069,102.2,67.7,122.2,128.8,110.4
1890070,47.5,39.5,162.5,107.2,94.7
1890071,,46.1,270.9,128.7,125.7
1890072,86.8,35.3,225.2,82.7,109.1
1890073,113.5,53.6,201.5,61.8,77.8
1890074,79.4,31.2,171.8,126.0,98.9
1890075,78.9,27.1,304.5,92.3,98.4
1890076,108.6,47.3,261.5,108.4,92.9
1890077,115.2,55.6,338.4,64.6,116.8
1890078,119.8,43.7,173.6,112.4,100.2
1890079,133.0,32.0,225.1,48.7,77.4
1890080,152.9,73.0,252.4,90.9,47.8
1890081,77.4,19.5,188.2,95.3,98.8
1890082,130.1,58.3,344.9,110.3,63.5
1890083,86.2,26.1,174.7,79.0,103.5
1890084,65.9,32.1,74.1,132.6,138.5
1890085,119.1,31.9,183.7,97.2,119.8
1890086,69.1,19.1,238.8,94.0,74.8
1890087,109.3,27.4,336.1,65.7,100.1
1890088,138.5,68.3,339.0,103.1,62.2
1890089,95.7,55.4,260.1,74.9,133.4
1890090,74.3,50.3,310.3,65.9,119.0
1890091,96.0,38.4,212.8,109.8,97.9
1890092,99.5,47.6,197.9,92.7,103.6
1890093,142.1,18.1,226.5,53.8,118.8
1890094,100.3,51.5,178.2,112.6,96.5
1890095,136.4,28.8,362.1,73.5,74.5
1890096,91.9,43.0,190.8,85.5,76.2
1890097,92.2,52.4,275.8,120.5,117.6
1890098,113.8,48.9,330.2,92.8,111.9
1890099,74.3,57.2,247.0,63.7,120.9
1890100,80.6,31.4,253.5,120.4,113.0
1890101,83.8,32.3,220.3,103.9,66.5
1890102,115.1,63.9,434.2,66.9,127.2
1890103,87.4,39.6,346.3,126.8,124.3
1890104,94.5,40.1,351.5,122.8,110.4
1890105,92.7,33.1,315.6,147.6,104.2
1890106,101.0,39.3,371.3,145.4,67.9
1890107,128.5,27.1,249.3,61.7,59.3
1890108,102.4,76.8,225.3,69.2,117.9
1890109,108.7,42.0,251.1,86.7,134.7
1890110,113.5,34.8,261.8,75.7,66.6
1890111,135.1,35.9,274.4,35.1,109.8
1890112,82.6,80.5,302.3,101.5,89.6
1890113,70.0,31.5,229.0,105.3,113.8
1890114,119.3,34.5,284.3,100.7,103.0
1890115,,59.2,255.4,100.7,104.2
1890116,109.5,15.4,361.3,77.3,93.3
1890117,74.4,49.8,226.5,122.4,158.9
1890118,113.3,59.4,239.1,120.4,116.3
1890119,79.8,25.9,180.9,105.9,103.1
1890120,83.1,5.7,241.9,99.9,133.8
1890121,83.4,43.3,211.7,118.1,75.2
1890122,80.9,19.9,279.0,91.6,100.2
1890123,102.2,48.2,241.4,128.6,83.5
1890124,143.8,30.2,158.3,53.0,77.5
1890125,56.6,25.2,267.5,111.0,80.3
1890126,95.1,22.3,92.0,106.2,124.5
1890127,106.0,73.8,167.7,128.6,104.8
1890128,54.0,60.9,335.4,51.2,155.7
1890129,85.7,39.2,362.2,63.5,117.1
1890130,64.6,36.6,23.9,65.2,121.6
1890131,95.4,77.8,125.8,83.1,135.2
1890132,58.7,29.7,193.6,52.7,119.3
1890133,86.7,33.2,332.4,83.5,107.8
1890134,87.8,34.5,327.1,82.8,114.5
1890135,73.7,55.7,174.3,97.4,178.5
1890136,102.7,69.0,152.1,80.7,114.8
1890137,93.5,59.8,278.3,101.8,80.2
1890138,118.1,48.1,295.8,137.7,64.6
1890139,,52.0,366.9,90.8,125.1
1890140,117.3,42.4,392.5,121.7,94.1
1890141,103.9,29.2,165.6,99.8,76.8
1890142,74.0,69.5,244.0,80.3,72.9
1890143,120.9,63.7,246.1,110.5,104.4
1890144,98.5,40.4,57.6,79.9,97.5
1890145,124.2,51.9,105.1,70.7,78.9
1890146,84.4,55.0,353.1,95.7,72.3
1890147,115.3,47.2,238.7,47.9,71.7
1890148,123.7,14.4,156.1,68.4,137.0
1890149,82.9,25.9,178.4,92.4,81.2
1890150,160.0,55.8,380.0,87.0,93.0
1890151,92.8,40.7,305.8,182.7,121.2
1890152,93.3,45.8,282.8,106.9,89.1
1890153,134.8,74.0,170.9,98.1,87.8
1890154,152.5,22.1,344.3,105.5,93.5
1890155,97.1,14.6,164.9,117.2,127.8
1890156,112.1,30.4,119.8,83.2,65.8
1890157,98.4,34.6,313.5,60.4,87.9
1890158,64.7,55.0,213.9,94.4,101.7
1890159,87.4,38.1,261.8,95.8,107.9
1890160,137.1,36.8,210.2,88.2,63.0
1890161,67.8,43.6,322.5,65.5,128.5
1890162,81.6,28.6,379.7,91.5,123.6
1890163,71.9,48.2,275.2,91.1,93.1
1890164,103.4,45.7,298.4,117.6,91.9
1890165,96.2,76.0,357.5,108.7,97.0
1890166,131.3,51.0,370.5,104.9,132.1
1890167,53.7,40.7,218.0,99.1,55.1
1890168,78.4,49.4,215.9,106.2,115.4
1890169,114.1,41.7,183.3,114.3,62.7
1890170,45.8,21.2,234.3,145.7,71.1
1890171,126.4,71.0,246.8,110.1,115.2
1890172,112.0,45.4,309.2,88.4,133.2
1890173,113.8,60.7,241.2,147.4,113.8
1890174,111.8,50.6,264.7,114.2,106.4
1890175,107.3,34.7,276.1,99.0,84.7
1890176,106.8,32.3,287.8,82.5,71.9
1890177,124.4,64.7,263.7,71.7,112.8
1890178,140.0,47.2,306.9,99.7,85.0
1890179,103.1,27.3,387.1,114.0,93.6
1890180,55.2,56.9,213.2,92.5,50.6
1890181,110.7,47.8,322.1,94.4,115.1
1890182,118.0,61.2,173.4,124.3,86.5
1890183,119.3,58.3,261.0,73.0,94.0
1890184,106.1,70.9,334.3,42.8,122.6
1890185,81.5,55.2,334.7,82.1,136.9
1890186,93.7,46.7,185.5,93.0,124.3
1890187,98.9,14.4,292.8,116.8,114.9
1890188,136.5,67.9,309.4,113.2,99.5
1890189,85.8,46.2,98.5,154.7,93.4
1890190,81.9,40.6,167.6,110.5,90.4
1890191,88.1,40.1,125.7,82.1,101.5
1890192,113.2,40.9,35.4,128.4,89.1
1890193,100.0,51.4,205.4,141.8,113.0
1890194,82.8,53.1,292.0,114.3,100.4
1890195,103.6,68.2,281.4,90.5,76.4
1890196,80.6,18.8,195.8,101.3,111.1
1890197,57.7,54.1,355.5,84.1,79.1
1890198,115.7,46.2,302.7,126.1,131.6
1890199,95.2,68.2,169.3,60.0,67.0
1890200,,59.5,373.7,85.4,63.2
1890201,111.0,46.8,188.1,126.7,112.8
1890202,115.1,42.3,325.6,103.8,66.2
1890203,93.9,33.9,341.9,145.6,27.4
1890204,97.4,16.8,117.5,139.1,113.1
1890205,148.3,49.7,213.6,69.4,85.7
1890206,94.6,68.3,211.7,111.3,104.8
1890207,91.9,39.8,383.7,121.9,125.5
1890208,154.5,34.1,326.5,124.9,69.1
1890209,109.0,42.8,199.4,126.1,77.8
1890210,99.6,42.9,240.9,106.5,107.9
1890211,99.9,47.6,238.2,65.3,125.7
1890212,73.1,31.3,300.1,96.0,113.4
1890213,70.1,51.2,311.0,112.0,59.0
1890214,103.1,46.5,192.9,97.2,104.4
1890215,86.1,87.0,346.2,105.1,114.5
1890216,105.4,58.2,208.3,70.7,142.7
1890217,126.7,58.6,284.0,111.1,96.2
1890218,90.3,44.1,241.9,72.7,111.1
1890219,64.3,52.1,260.7,94.7,135.8
1890220,114.8,34.5,296.0,116.0,82.9
1890221,122.6,54.4,171.1,67.5,138.4
1890222,99.9,23.5,348.9,141.9,82.9
1890223,97.2,47.0,203.6,83.0,98.0
1890224,106.1,52.8,367.9,85.1,85.1
1890225,82.9,51.1,281.2,128.1,121.1
1890226,89.5,51.7,300.8,90.0,101.1
1890227,76.9,46.8,268.4,102.6,66.5
1890228,118.9,50.2,300.3,70.0,126.6
1890229,149.0,31.4,370.5,121.8,143.5
1890230,65.6,86.5,187.3,103.5,104.1
1890231,113.5,33.1,175.4,69.7,131.9
1890232,79.2,33.7,276.9,79.8,72.6
1890233,101.3,48.3,266.7,83.1,85.4
1890234,107.1,39.1,257.7,85.8,99.1
1890235,,43.5,344.1,94.4,94.6
1890236,113.2,43.1,307.3,97.2,70.1
1890237,146.0,40.7,153.1,126.3,122.3
1890238,116.6,37.7,55.0,93.0,57.4
1890239,89.2,57.4,259.5,151.8,63.2
1890240,126.4,35.4,298.5,89.2,79.9
1890241,111.6,33.4,89.0,130.5,103.4
1890242,80.9,16.1,357.7,76.4,125.1
1890243,95.8,41.1,202.1,148.1,104.6
1890244,111.9,29.8,209.4,84.4,122.6
1890245,126.6,42.5,264.9,84.7,152.2
1890246,110.7,81.8,215.9,125.3,128.1
1890247,83.0,49.3,393.6,65.5,76.5
1890248,106.2,49.5,213.6,171.2,68.2
1890249,122.5,29.7,265.0,103.7,71.9
1890250,61.7,53.9,253.1,159.2,116.3
1890251,124.8,44.4,49.1,146.9,100.9
1890252,136.4,64.8,233.5,144.6,109.6
1890253,89.2,42.8,277.1,89.0,58.6
1890254,113.2,28.3,245.2,138.9,90.2
1890255,77.5,50.0,129.0,102.7,95.9
1890256,92.5,53.0,292.8,96.4,102.1
1890257,122.6,50.8,180.5,70.4,58.8
1890258,138.4,35.6,213.6,88.9,79.0
1890259,62.8,38.0,117.5,124.6,90.7
1890260,79.1,70.9,323.6,124.1,135.7
1890261,74.0,35.6,17.3,94.1,78.6
1890262,128.1,34.7,296.0,87.5,112.3
1890263,139.8,32.0,288.4,106.2,96.2
1890264,100.9,40.6,215.3,85.9,64.1
1890265,129.3,41.3,236.1,53.1,106.2
1890266,109.6,53.6,289.6,91.8,120.1
1890267,93.8,52.3,276.9,90.8,106.5
1890268,97.2,31.5,241.3,86.0,78.8
1890269,86.1,36.1,283.9,119.3,107.5
1890270,74.9,46.7,87.0,108.7,64.3
1890271,111.8,57.9,320.0,90.5,57.5
1890272,113.8,59.9,297.3,79.7,119.9
1890273,72.8,53.3,201.5,114.5,102.0
1890274,107.9,43.3,259.9,102.4,141.2
1890275,123.0,42.7,295.3,77.2,31.6
1890276,87.0,18.5,97.0,100.5,104.8
1890277,91.4,55.2,223.1,134.7,107.3
1890278,94.5,36.3,185.6,80.5,52.2
1890279,70.5,43.4,275.8,129.7,132.3
1890280,97.5,26.6,211.7,144.7,128.3
1890281,73.1,54.7,99.7,101.0,98.5
1890282,118.5,25.3,202.9,118.6,143.9
1890283,93.3,53.6,128.1,116.2,128.3
1890284,118.0,23.2,290.4,78.1,79.8
1890285,119.6,47.0,243.6,79.6,77.6
1890286,108.4,29.5,143.6,90.0,79.9
1890287,132.6,35.8,174.7,64.0,126.3
1890288,,40.3,431.6,68.6,72.0
1890289,78.3,19.8,210.1,136.3,68.5
1890290,98.4,17.6,155.0,136.7,103.5
1890291,113.6,66.5,240.4,106.9,81.4
1890292,29.6,43.1,43.3,95.2,125.1
1890293,80.8,16.2,345.1,133.6,115.2
1890294,109.1,51.9,289.0,89.1,49.8
1890295,75.1,30.9,235.0,106.4,113.1
1890296,117.5,57.9,156.9,125.9,103.6
1890297,95.2,22.2,291.5,85.7,114.8
1890298,87.2,35.2,384.4,96.9,84.5
1890299,129.7,37.5,292.7,81.1,109.0
1890300,79.2,55.9,248.1,103.2,150.6
1890301,64.3,76.3,78.8,77.4,114.0
1890302,80.5,64.1,304.4,96.3,129.3
1890303,151.6,51.8,407.0,82.1,101.4
1890304,122.5,67.6,220.5,108.7,93.5
1890305,87.5,54.5,10.0,114.9,94.0
1890306,122.9,57.4,276.2,73.5,80.2
1890307,112.9,46.2,167.3,103.4,103.8
1890308,78.5,49.4,329.4,144.0,93.3
1890309,87.1,49.4,286.8,92.8,92.1
1890310,71.3,49.8,230.2,87.6,109.1
1890311,126.0,49.8,380.1,85.3,116.1
1890312,96.0,57.9,353.3,71.1,114.1
1890313,41.0,29.4,272.0,124.9,99.4
1890314,41.6,43.1,100.4,117.5,134.9
1890315,114.5,40.9,112.8,68.5,94.0
1890316,83.7,55.5,297.6,100.1,71.5
1890317,133.6,53.0,201.6,64.2,150.3
1890318,139.6,68.7,340.8,93.6,133.4
1890319,129.0,55.2,328.2,125.1,94.0
1890320,119.2,43.9,228.2,111.7,93.5
1890321,73.1,64.7,194.4,119.0,63.6
1890322,66.4,21.8,268.0,88.6,122.6
1890323,127.1,79.7,277.1,126.1,84.3
1890324,94.2,55.6,181.4,90.4,104.9
1890325,108.5,42.4,215.2,114.4,83.2
1890326,98.1,48.2,408.8,119.5,119.5
1890327,114.8,39.9,315.9,110.7,97.4
1890328,113.1,27.8,247.9,89.9,96.9
1890329,90.4,68.7,138.5,148.2,79.2
1890330,83.9,44.5,368.9,55.4,103.1
1890331,51.6,62.3,248.0,117.1,143.5
1890332,121.0,34.8,201.9,134.2,68.7
1890333,72.9,42.3,211.7,96.5,90.5
1890334,99.5,62.8,177.8,50.6,124.7
1890335,132.2,58.9,407.2,94.3,119.4
1890336,94.5,43.9,222.3,61.7,130.6
1890337,136.9,44.0,367.5,109.6,108.0
1890338,170.2,45.8,333.2,100.6,95.9
1890339,72.5,35.5,238.2,86.3,136.1
1890340,118.7,44.8,218.4,118.3,115.5
1890341,87.8,21.6,157.5,122.9,74.1
1890342,109.5,34.0,384.0,62.7,66.8
1890343,136.6,27.3,384.8,123.8,98.7
1890344,58.5,44.9,219.0,86.2,110.7
1890345,112.7,27.6,406.5,97.2,105.7
1890346,131.1,30.0,203.3,123.6,106.3
1890347,83.8,31.5,275.1,96.7,146.7
1890348,101.3,34.8,271.0,97.7,93.0
1890349,67.9,58.3,231.6,94.9,100.2
1890350,104.6,35.4,164.0,134.7,98.7
1890351,72.7,21.9,93.6,100.9,100.2
1890352,121.7,38.2,239.3,61.1,129.0
1890353,107.3,39.5,144.5,95.3,100.1
1890354,117.9,25.1,323.0,110.7,112.1
1890355,72.3,43.7,250.2,128.3,88.1
1890356,127.3,67.9,288.2,138.2,59.3
1890357,69.2,39.5,243.6,110.7,107.8
1890358,45.4,22.3,231.5,113.7,120.7
1890359,87.4,45.8,125.8,90.2,112.2
1890360,87.4,41.8,351.9,61.8,91.6
1890361,98.7,42.1,145.6,87.2,48.3
1890362,,30.9,237.3,152.3,129.9
1890363,71.4,40.4,196.0,119.0,130.0
1890364,97.4,51.8,278.6,115.9,121.2
1890365,134.0,42.0,327.6,114.0,93.5
1890366,84.5,57.8,65.0,100.2,84.4
1890367,84.6,38.9,279.5,111.7,135.2
1890368,79.2,44.4,99.6,99.6,75.2
1890369,144.1,56.3,276.9,57.8,74.8
1890370,90.7,55.5,61.5,94.0,117.2
1890371,130.4,49.1,306.1,105.2,88.2
1890372,98.3,64.7,286.0,86.4,137.6
1890373,113.7,58.8,422.0,90.6,100.4
1890374,122.3,60.9,264.7,69.6,124.4
1890375,106.1,61.0,149.8,58.3,65.8
1890376,118.4,38.4,220.5,137.0,77.2
1890377,125.8,34.3,286.2,90.4,106.9
1890378,106.5,41.7,338.5,108.4,117.2
1890379,89.5,73.1,264.6,81.0,85.0
1890380,66.0,38.5,205.0,95.2,85.7
1890381,72.6,46.5,322.8,49.8,89.8
1890382,102.1,77.0,310.5,95.5,142.1
1890383,91.4,56.5,367.9,115.5,127.6
1890384,113.4,58.2,189.8,88.1,124.8
1890385,82.5,31.2,215.2,120.4,92.4
1890386,89.5,29.7,368.9,104.9,67.7
1890387,76.1,37.5,175.3,118.6,115.3
1890388,54.7,36.8,295.6,106.7,111.3
1890389,94.9,68.2,401.0,132.7,108.8
1890390,110.2,39.7,288.6,75.7,110.1
1890391,132.2,39.7,306.5,112.0,115.8
1890392,114.3,52.1,217.3,114.1,93.5
1890393,109.8,31.6,207.5,102.5,101.5
1890394,90.0,48.2,197.5,111.4,116.5
1890395,131.5,55.0,287.3,79.8,78.9
1890396,76.0,35.4,200.8,101.1,68.8
1890397,112.8,37.9,310.8,102.0,110.8
1890398,96.5,14.1,85.7,74.1,87.7
1890399,98.7,54.5,278.1,97.7,110.6
1890400,69.8,50.1,192.5,81.1,108.9
1890401,96.3,50.4,82.3,100.9,87.3
1890402,129.1,75.8,307.5,86.9,86.0
1890403,110.9,50.1,301.8,145.4,86.5
1890404,93.0,37.9,166.7,95.3,128.2
1890405,81.5,51.5,140.1,120.6,68.5
1890406,105.7,34.1,228.5,128.6,80.6
1890407,79.6,45.0,351.6,96.5,137.3
1890408,113.5,35.3,222.6,105.1,116.4
1890409,134.8,55.0,111.4,85.3,75.6
1890410,80.1,22.4,296.5,160.2,153.9
1890411,125.9,33.1,210.1,123.4,91.0
1890412,108.7,11.2,53.9,93.7,106.0
1890413,131.2,56.2,231.5,123.2,64.0
1890414,58.2,41.7,247.6,92.5,106.1
1890415,88.6,33.2,238.5,132.9,123.9
1890416,128.1,23.9,187.3,84.0,140.9
1890417,59.3,78.5,163.9,89.9,112.5
1890418,134.7,54.5,169.7,90.8,97.2
1890419,93.3,33.5,204.9,121.9,124.8
1890420,100.4,49.2,263.0,103.9,128.1
1890421,81.9,61.8,330.6,101.5,139.2
1890422,115.9,20.3,133.1,121.9,76.5
1890423,54.1,43.8,103.0,95.9,89.4
1890424,83.6,74.4,270.4,69.2,58.4
1890425,72.1,29.9,146.9,78.7,96.0
1890426,100.1,77.4,295.4,77.9,169.8
1890427,106.2,49.0,300.2,83.9,108.2
1890428,107.3,49.7,253.8,57.2,108.5
1890429,111.2,70.4,303.6,94.5,123.1
1890430,66.0,58.9,501.8,56.7,159.0
1890431,89.2,21.5,381.4,145.3,157.8
1890432,131.2,51.0,104.5,120.2,101.4
1890433,129.2,40.7,193.0,122.1,86.7
1890434,101.8,57.8,145.6,84.6,94.5
1890435,134.0,18.9,235.6,67.5,124.1
1890436,107.5,37.6,255.3,130.4,63.4
1890437,44.7,56.9,229.7,113.8,119.3
1890438,123.4,67.4,112.9,136.1,110.3
1890439,81.3,53.4,283.1,141.3,96.9
1890440,114.0,49.5,361.3,96.3,95.7
1890441,87.5,50.7,319.9,111.0,78.3
1890442,90.7,37.3,89.3,118.0,96.4
1890443,60.6,52.8,220.2,86.4,112.2
1890444,86.7,59.2,203.6,101.1,91.3
1890445,84.2,58.8,298.8,59.7,118.3
1890446,97.2,52.0,252.5,87.7,78.7
1890447,63.6,40.3,191.7,141.7,89.4
1890448,125.3,36.8,373.7,140.9,49.4
1890449,125.6,30.5,419.5,99.0,77.5
1890450,97.2,47.3,154.2,122.2,102.2
1890451,105.7,78.9,218.7,144.4,102.2
1890452,73.4,58.1,288.9,80.4,111.4
1890453,129.2,37.8,412.8,112.4,67.8
1890454,77.7,47.3,125.0,86.6,74.5
1890455,93.1,73.1,398.2,81.8,87.8
1890456,120.2,72.2,226.2,154.1,94.7
1890457,61.1,44.0,218.6,122.2,90.5
1890458,97.5,54.3,156.0,77.4,90.2
1890459,103.3,35.2,203.3,95.0,137.3
1890460,89.4,50.0,238.9,68.8,115.0
1890461,82.5,41.3,190.1,118.3,82.3
1890462,112.0,49.6,225.7,123.2,57.5
1890463,120.7,33.9,171.8,90.2,150.6
1890464,112.7,47.2,237.9,138.3,109.9
1890465,88.7,46.9,289.5,108.3,130.7
1890466,80.7,31.6,179.2,141.9,96.7
1890467,109.3,47.6,258.1,106.1,96.4
1890468,79.8,82.8,176.0,114.7,117.8
1890469,66.7,46.6,240.8,105.8,93.0
1890470,147.4,47.2,282.9,70.7,78.6
1890471,101.3,39.9,225.5,87.8,103.0
1890472,133.7,39.1,213.7,128.7,145.7
1890473,115.4,35.3,286.6,142.6,90.1
1890474,85.0,45.1,245.2,92.3,127.6
1890475,70.1,46.8,230.3,104.1,47.9
1890476,64.3,60.8,149.4,92.8,49.2
1890477,144.1,62.9,166.2,83.2,113.8
1890478,100.0,76.4,354.2,101.6,45.1
1890479,87.1,26.9,288.3,135.5,164.8
1890480,107.6,51.9,120.7,113.8,92.7
1890481,37.5,46.8,10.0,104.9,138.3
1890482,72.9,41.6,240.9,78.3,79.8
1890483,95.2,54.4,325.7,95.4,117.0
1890484,110.2,69.2,370.8,94.9,105.5
1890485,103.5,70.9,222.3,88.8,96.3
1890486,65.5,51.0,204.2,86.1,82.3
1890487,103.5,54.8,334.4,99.7,144.4
1890488,164.0,30.7,243.2,92.9,114.0
1890489,118.6,33.5,212.1,103.1,94.1
1890490,95.9,26.6,241.8,118.7,122.2
1890491,127.8,26.9,357.7,89.1,104.1
1890492,84.0,25.0,345.8,105.5,89.1
1890493,90.7,50.6,202.7,99.2,51.1
1890494,100.3,16.4,325.5,78.9,117.4
1890495,96.8,40.2,226.8,142.9,111.2
1890496,89.7,44.3,226.7,114.0,68.5
1890497,108.4,35.6,335.8,96.7,106.9
1890498,119.3,34.6,302.5,141.8,99.2
1890499,96.9,47.6,205.0,71.0,125.6
1890500,73.0,51.6,287.6,111.7,90.1
1890501,124.8,33.7,266.2,111.6,109.1
1890502,126.5,59.5,251.7,115.6,22.6
1890503,172.8,34.3,266.5,139.3,84.2
1890504,86.9,44.2,159.5,130.9,94.3
1890505,124.2,62.8,285.6,107.2,100.3
1890506,81.5,39.6,339.1,99.2,103.4
1890507,112.6,33.6,143.8,95.5,51.6
1890508,98.0,8.5,260.1,82.2,131.9
1890509,48.1,33.7,202.3,44.9,118.9
1890510,142.6,53.1,361.3,112.2,105.2
1890511,119.2,23.6,404.2,81.8,117.2
1890512,103.6,42.8,257.1,120.2,129.6
1890513,89.2,65.5,146.4,97.9,114.4
1890514,46.7,57.4,307.7,128.1,109.4
1890515,92.2,47.5,329.3,104.6,115.4
1890516,98.1,49.9,167.2,110.0,42.3
1890517,80.3,69.0,198.6,114.6,161.7
1890518,114.9,18.3,379.3,93.7,49.7
1890519,156.5,54.2,130.3,49.4,76.4
1890520,77.8,28.2,235.6,101.2,131.9
1890521,83.3,71.7,290.0,70.7,122.2
1890522,129.3,30.8,211.4,83.2,93.5
1890523,69.8,39.6,200.7,90.7,103.9
1890524,118.6,21.7,203.8,102.4,143.3
1890525,,92.9,260.5,78.9,55.3
1890526,83.5,52.8,340.1,138.4,111.8
1890527,53.8,46.2,204.2,103.2,80.2
1890528,126.5,54.7,155.5,107.1,123.2
1890529,63.2,60.4,226.2,124.6,32.2
1890530,116.6,60.3,267.4,132.5,83.8
1890531,132.9,69.6,250.2,125.1,63.3
1890532,97.5,40.6,282.1,95.5,115.2
1890533,84.6,49.8,208.3,93.0,115.0
1890534,70.5,57.4,455.3,70.2,62.6
1890535,95.7,39.0,254.4,88.1,102.8
1890536,123.0,66.0,234.1,113.8,107.9
1890537,93.0,33.1,129.5,95.6,101.1
1890538,72.8,26.7,187.9,119.5,122.1
1890539,117.2,52.8,305.2,136.5,120.9
1890540,107.1,41.4,299.3,102.7,63.6
1890541,101.5,29.4,272.3,54.8,86.4
1890542,83.6,28.1,213.7,82.4,81.7
1890543,76.6,15.3,373.4,101.1,52.7
1890544,77.1,59.2,251.2,98.4,95.4
1890545,104.4,82.8,412.4,127.7,127.8
1890546,132.0,44.8,222.1,103.5,39.3
1890547,97.2,48.8,128.7,97.7,113.1
1890548,105.4,38.5,214.9,104.9,92.4
1890549,79.5,65.5,253.7,157.0,125.0
1890550,113.5,39.7,191.3,58.0,90.4
1890551,89.5,48.4,191.0,119.2,52.1
1890552,77.6,28.4,253.1,55.9,90.0
1890553,87.2,27.7,131.1,70.3,75.6
1890554,108.0,49.2,356.6,106.7,86.4
1890555,104.3,66.4,220.7,159.4,51.3
1890556,120.5,45.8,301.9,134.5,22.2
1890557,92.0,54.1,76.5,76.9,111.6
1890558,76.2,42.5,322.2,122.3,26.1
1890559,106.1,19.0,249.7,99.5,123.8
1890560,140.7,45.0,282.8,113.2,105.9
1890561,34.0,35.3,292.5,67.5,58.8
1890562,112.7,43.8,307.2,76.4,88.8
1890563,109.8,36.9,36.2,106.2,132.1
1890564,109.3,46.6,223.7,90.2,111.5
1890565,110.7,49.1,123.4,111.9,69.7
1890566,66.4,35.3,304.1,89.7,104.8
1890567,145.0,51.0,123.5,172.0,73.3
1890568,114.0,82.4,202.4,88.7,105.2
1890569,59.2,78.0,139.4,97.5,117.6
1890570,109.2,28.2,298.5,95.7,98.3
1890571,107.2,56.3,367.5,100.3,87.8
1890572,148.2,64.4,278.8,140.6,118.7
1890573,123.1,50.7,460.6,90.4,91.7
1890574,134.6,22.4,245.9,115.3,101.1
1890575,98.0,42.5,95.7,113.7,73.7
1890576,127.6,27.3,169.4,76.9,107.3
1890577,76.7,59.7,203.1,87.0,103.6
1890578,127.6,73.6,228.6,56.9,108.8
1890579,113.8,74.9,184.6,112.8,115.2
