TierID,UserSeats,AnnualDiscount,FeaturesUsed,ContractValue
820098,100,10,26.0,11292.3
820099,50,0,9.0,6305.14
820100,20,0,10.0,2426.36
820101,5,10,30.0,780.48
820102,20,0,29.0,2916.37
820103,50,0,13.0,6157.83
820104,5,10,10.0,635.12
820105,10,0,34.0,1800.01
820106,10,0,32.0,1605.81
820107,10,10,10.0,1184.11
820108,5,0,12.0,884.12
820109,5,15,6.0,500.0
820110,10,0,19.0,1419.46
820111,5,10,5.0,552.55
820112,20,10,5.0,2363.06
820113,10,0,15.0,1490.07
820114,20,0,14.0,2382.95
820115,10,0,15.0,1368.23
820116,10,10,23.0,1477.37
820117,5,0,9.0,741.05
820118,50,0,14.0,6301.78
820119,50,10,4.0,5433.35
820120,10,10,11.0,1387.96
820121,20,10,25.0,2422.11
820122,5,10,5.0,566.0
820123,5,0,19.0,989.29
820124,5,0,17.0,1001.41
820125,10,0,16.0,1535.3
820126,20,0,,2681.65
820127,50,0,14.0,6128.42
820128,5,15,20.0,1000.07
820129,5,0,24.0,888.34
820130,5,0,34.0,1384.59
820131,5,10,19.0,802.1
820132,20,0,27.0,2654.08
820133,5,10,14.0,687.57
820134,50,15,27.0,5338.96
820135,20,10,20.0,2484.63
820136,20,0,12.0,2617.12
820137,10,0,25.0,1475.91
820138,20,10,15.0,2152.87
820139,10,15,10.0,1271.17
820140,5,15,20.0,852.04
820141,100,10,27.0,11339.48
820142,100,0,32.0,12275.13
820143,20,10,17.0,2298.09
820144,10,10,9.0,1630.87
820145,5,0,18.0,866.74
820146,10,10,11.0,1207.43
820147,5,0,12.0,522.51
820148,5,10,19.0,772.18
820149,5,10,29.0,964.94
820150,10,0,9.0,1358.36
820151,5,0,20.0,656.01
820152,20,10,29.0,2385.42
820153,5,20,30.0,933.17
820154,20,10,11.0,2274.16
820155,5,15,34.0,680.61
820156,50,10,30.0,5514.52
820157,50,0,18.0,6095.16
820158,5,20,20.0,739.84
820159,50,20,13.0,4981.09
820160,5,0,30.0,928.0
820161,5,0,9.0,1053.85
820162,5,0,33.0,1217.68
820163,20,15,26.0,2495.22
820164,20,20,28.0,2310.72
820165,50,0,9.0,6199.92
820166,5,0,18.0,638.47
820167,20,10,25.0,2434.38
820168,10,10,7.0,995.4
820169,5,0,18.0,812.19
820170,20,10,3.0,2373.35
820171,20,0,13.0,2335.42
820172,20,0,19.0,2650.59
820173,5,10,26.0,894.97
820174,5,0,12.0,1039.89
820175,5,0,10.0,612.49
820176,5,15,7.0,730.28
820177,10,20,24.0,1484.64
820178,5,10,27.0,690.16
820179,10,0,21.0,1356.68
820180,50,15,5.0,5207.59
820181,50,15,21.0,5184.66
820182,5,0,22.0,770.13
820183,10,0,3.0,891.61
820184,10,0,30.0,1439.6
820185,20,15,3.0,1889.03
820186,5,0,5.0,692.61
820187,10,0,13.0,1465.97
820188,5,0,28.0,943.58
820189,5,0,24.0,851.04
820190,20,0,9.0,2844.36
820191,5,0,18.0,669.07
820192,10,20,5.0,788.76
820193,10,10,2.0,956.88
820194,10,20,17.0,1276.96
820195,10,10,7.0,1276.91
820196,50,0,27.0,6655.47
820197,5,10,6.0,580.93
820198,10,10,3.0,1155.37
820199,10,0,14.0,1395.99
820200,5,20,24.0,700.25
820201,5,10,26.0,962.44
820202,5,20,16.0,518.59
820203,10,0,28.0,1726.12
820204,50,10,10.0,5453.36
820205,5,20,11.0,787.19
820206,20,10,32.0,2671.73
820207,5,0,4.0,689.77
820208,5,10,16.0,725.37
820209,100,15,24.0,10315.3
820210,10,0,12.0,1477.81
820211,50,0,29.0,6429.18
820212,10,20,,1319.27
820213,5,0,3.0,732.25
820214,5,0,23.0,1196.16
820215,5,20,23.0,621.85
820216,5,0,14.0,1022.97
820217,50,0,13.0,6058.2
820218,10,0,20.0,1254.53
820219,5,0,32.0,1075.0
820220,5,0,23.0,757.72
820221,20,15,5.0,2116.86
820222,5,15,14.0,693.79
820223,20,10,4.0,2300.07
820224,20,15,3.0,2118.67
820225,100,15,15.0,10599.85
820226,5,10,34.0,942.49
820227,10,0,3.0,1550.23
820228,10,0,6.0,1030.99
820229,50,20,6.0,4914.38
820230,5,0,29.0,825.29
820231,5,0,3.0,777.65
820232,20,10,14.0,2315.41
820233,5,15,14.0,878.62
820234,5,0,13.0,982.74
820235,5,15,2.0,667.0
820236,50,0,11.0,6228.14
820237,5,10,32.0,1339.02
820238,100,10,3.0,10817.23
820239,10,0,13.0,1359.52
820240,5,0,17.0,1101.1
820241,10,10,5.0,1197.82
820242,5,0,19.0,729.7
820243,5,0,19.0,1022.34
820244,10,0,13.0,1409.95
820245,10,20,28.0,1235.2
820246,20,10,25.0,2482.13
820247,10,10,31.0,1390.94
820248,10,0,30.0,1580.12
820249,20,0,22.0,2549.8
820250,5,15,29.0,771.89
820251,10,0,,1373.81
820252,10,0,33.0,1439.53
820253,10,10,6.0,1084.71
820254,5,10,15.0,799.37
820255,5,0,25.0,799.94
820256,20,0,7.0,2594.69
820257,50,10,2.0,5334.11
820258,20,10,21.0,2513.36
820259,10,10,22.0,1428.14
820260,5,10,34.0,1134.94
820261,10,0,26.0,1588.23
820262,20,10,7.0,2376.31
820263,10,15,2.0,923.06
820264,5,0,29.0,1088.26
820265,10,10,23.0,1213.98
820266,5,10,3.0,621.01
820267,5,0,2.0,737.72
820268,5,15,8.0,573.85
820269,100,10,6.0,10857.13
820270,5,10,23.0,935.09
820271,5,0,27.0,1224.61
820272,5,10,23.0,849.44
820273,20,15,2.0,1947.08
820274,20,0,30.0,3029.81
820275,10,15,2.0,1171.04
820276,5,15,33.0,1372.73
820277,20,10,13.0,2597.74
820278,100,20,25.0,9844.48
820279,10,15,30.0,1477.27
820280,10,10,23.0,1383.54
820281,10,0,13.0,1391.33
820282,5,15,10.0,632.48
820283,50,0,23.0,6221.81
820284,10,20,23.0,1005.69
820285,5,15,28.0,820.91
820286,10,20,14.0,1177.73
820287,10,10,20.0,1634.0
820288,5,20,9.0,531.81
820289,100,15,20.0,10404.03
820290,10,0,18.0,1638.33
820291,100,20,23.0,10092.16
820292,20,15,3.0,1928.52
820293,5,0,29.0,1228.77
820294,5,0,34.0,809.24
820295,5,0,13.0,671.3
820296,20,10,32.0,2666.9
820297,5,15,24.0,776.35
820298,20,0,24.0,2634.82
820299,10,15,25.0,1441.35
820300,10,0,24.0,1581.4
820301,20,0,8.0,2287.31
820302,5,10,19.0,635.39
820303,10,0,21.0,1416.22
820304,5,15,23.0,934.77
820305,5,20,17.0,693.73
820306,10,10,17.0,1479.7
820307,10,20,33.0,1441.82
820308,100,15,12.0,10632.88
820309,50,0,22.0,6606.12
820310,10,0,25.0,1516.47
820311,20,0,4.0,2603.48
820312,50,0,16.0,6002.09
820313,50,0,28.0,6298.59
820314,20,0,12.0,2434.97
820315,5,0,17.0,804.82
820316,50,10,27.0,5774.77
820317,5,0,28.0,777.13
820318,5,10,19.0,1210.46
820319,10,10,21.0,1599.79
820320,5,0,19.0,1025.97
820321,5,0,22.0,909.74
820322,10,15,9.0,1316.5
820323,20,10,14.0,2382.64
820324,5,0,22.0,1011.09
820325,20,0,20.0,2670.62
820326,5,20,8.0,830.97
820327,20,20,7.0,1910.21
820328,50,0,18.0,6145.21
820329,5,15,4.0,500.0
820330,20,0,28.0,2844.3
820331,50,15,18.0,5333.75
820332,50,0,11.0,6131.6
820333,5,15,7.0,543.49
820334,5,10,19.0,887.07
820335,10,10,11.0,1227.36
820336,5,20,28.0,985.13
820337,10,10,10.0,1055.66
820338,10,10,29.0,1682.24
820339,5,10,29.0,880.16
820340,20,20,2.0,2150.06
820341,5,0,32.0,1260.82
820342,10,0,25.0,1609.45
820343,20,0,13.0,2579.81
820344,50,20,3.0,4846.84
820345,50,20,22.0,5198.75
820346,5,10,28.0,711.34
820347,20,10,30.0,2833.03
820348,5,15,12.0,601.3
820349,50,0,32.0,6332.45
820350,10,0,26.0,1773.31
820351,5,0,4.0,500.0
820352,10,0,9.0,1326.43
820353,10,0,24.0,1454.27
820354,10,0,32.0,1553.85
820355,20,0,20.0,2737.89
820356,20,0,30.0,2862.53
820357,20,10,26.0,2484.21
820358,20,0,30.0,2954.43
820359,10,20,5.0,871.93
820360,20,10,28.0,2512.47
820361,100,10,17.0,10947.28
820362,5,15,17.0,898.12
820363,10,15,9.0,1029.88
820364,100,15,13.0,10475.91
820365,5,0,22.0,953.32
820366,5,0,26.0,1063.3
820367,10,10,23.0,1176.89
820368,20,10,18.0,2473.87
820369,10,0,30.0,1382.89
820370,10,0,14.0,1324.2
820371,10,0,24.0,1846.18
820372,5,20,6.0,519.33
820373,5,20,28.0,756.17
820374,5,0,9.0,500.0
820375,50,0,34.0,6340.93
820376,10,0,18.0,1320.43
820377,20,10,15.0,2064.77
820378,10,20,20.0,1354.75
820379,100,0,7.0,12086.76
820380,50,0,33.0,6373.82
820381,20,15,31.0,2209.47
820382,20,0,28.0,2814.55
820383,20,10,12.0,2381.68
820384,50,0,20.0,5977.56
820385,20,0,18.0,2499.4
820386,5,0,31.0,1029.8
820387,10,10,17.0,1310.71
820388,5,10,34.0,889.85
820389,10,10,12.0,1146.09
820390,20,0,12.0,2512.93
820391,50,15,6.0,5469.63
820392,10,10,8.0,1007.77
820393,50,10,23.0,5646.26
820394,10,0,24.0,1477.57
820395,50,10,6.0,5271.25
820396,10,10,15.0,1455.57
820397,50,0,4.0,6102.68
820398,5,0,29.0,1088.78
820399,20,0,16.0,2713.63
820400,10,15,34.0,1073.58
820401,20,0,29.0,3119.42
820402,20,0,,3056.42
820403,10,20,19.0,1258.63
820404,100,0,29.0,12619.74
820405,5,10,33.0,976.67
820406,20,10,28.0,2746.38
820407,10,0,2.0,1282.13
820408,10,10,28.0,1392.04
820409,10,15,13.0,1026.12
820410,10,0,4.0,1215.89
820411,10,10,29.0,1418.21
820412,5,0,11.0,629.78
820413,20,0,13.0,2692.35
820414,5,15,25.0,1114.29
820415,5,0,26.0,977.28
820416,10,0,27.0,1476.3
820417,10,0,9.0,1570.15
820418,10,10,3.0,877.93
820419,10,10,16.0,1184.92
820420,20,15,6.0,2194.01
820421,20,15,,2311.43
820422,10,10,24.0,1419.96
820423,10,15,26.0,1522.77
820424,5,10,11.0,500.0
820425,5,0,20.0,707.88
820426,10,20,7.0,1148.16
820427,5,0,24.0,995.72
820428,20,10,8.0,2744.12
820429,10,0,27.0,1639.64
820430,5,20,10.0,677.83
820431,10,10,19.0,1285.68
820432,10,15,26.0,1531.72
820433,10,0,20.0,1609.75
820434,10,15,27.0,1346.29
820435,5,0,,954.22
820436,10,10,28.0,1470.58
820437,20,10,5.0,2005.1
820438,10,10,13.0,1276.75
820439,10,10,19.0,1211.68
820440,10,10,14.0,1215.43
820441,20,0,5.0,2235.55
820442,5,20,11.0,794.83
820443,10,0,32.0,1804.77
820444,50,10,9.0,5471.11
820445,5,20,21.0,640.29
820446,20,15,20.0,2218.17
820447,20,15,6.0,2213.44
820448,50,10,19.0,5841.54
820449,5,0,2.0,526.41
820450,10,10,17.0,1214.51
820451,20,15,6.0,1736.11
820452,20,20,18.0,2044.99
820453,5,0,4.0,698.91
820454,10,0,24.0,1480.52
820455,10,10,15.0,1202.97
820456,100,0,11.0,12091.22
820457,5,10,3.0,505.1
820458,5,0,26.0,845.15
820459,20,0,29.0,2549.89
820460,10,0,26.0,1678.62
820461,10,20,26.0,1127.75
820462,5,0,31.0,864.55
820463,5,10,18.0,621.89
820464,50,20,8.0,4918.11
820465,10,0,4.0,1387.79
820466,100,0,21.0,12055.52
820467,20,15,,2644.86
820468,100,10,17.0,11116.3
820469,50,0,9.0,6202.43
820470,50,10,14.0,5214.49
820471,10,0,20.0,1303.48
820472,20,20,21.0,2165.89
820473,50,15,27.0,5530.86
820474,5,10,30.0,964.68
820475,10,0,23.0,1708.56
820476,100,10,32.0,11108.0
820477,10,0,19.0,1251.58
820478,10,10,11.0,1145.87
820479,20,0,14.0,2402.0
820480,10,0,14.0,1465.55
820481,5,0,10.0,634.75
820482,10,10,20.0,1424.65
820483,5,10,31.0,1084.19
820484,5,0,12.0,500.0
820485,50,20,23.0,5161.7
820486,10,0,34.0,1904.67
820487,5,10,7.0,614.73
820488,5,15,21.0,854.08
820489,5,0,7.0,810.52
820490,5,10,24.0,944.31
820491,10,0,7.0,1169.64
820492,5,0,30.0,1010.3
820493,100,15,14.0,10306.5
820494,5,20,10.0,500.0
820495,20,10,11.0,2198.4
820496,5,10,31.0,897.73
820497,5,0,28.0,1221.2
820498,20,0,9.0,2590.5
820499,10,0,21.0,1579.01
820500,5,10,16.0,644.77
820501,5,0,,667.15
820502,10,15,10.0,990.37
820503,50,10,27.0,5667.0
820504,5,10,24.0,885.27
820505,10,10,14.0,1282.9
820506,5,0,21.0,1186.12
820507,50,0,14.0,6128.3
820508,20,20,25.0,2251.43
820509,50,0,3.0,6247.66
820510,5,20,11.0,816.43
820511,5,10,12.0,864.65
820512,10,10,12.0,1295.86
820513,5,0,11.0,760.69
820514,5,0,31.0,1026.18
820515,50,0,18.0,6230.74
820516,10,15,16.0,1275.39
820517,10,10,17.0,1345.83
820518,5,0,31.0,1014.91
820519,5,0,31.0,1318.04
820520,50,10,30.0,5845.26
820521,5,0,11.0,894.06
820522,10,20,2.0,1201.28
820523,5,0,2.0,762.28
820524,20,15,8.0,2023.09
820525,10,0,13.0,1226.82
820526,20,20,15.0,2279.12
820527,20,15,18.0,2401.06
820528,50,0,28.0,6139.16
820529,20,10,19.0,2305.19
820530,10,20,6.0,1018.77
820531,10,15,11.0,1012.47
820532,5,15,12.0,692.35
820533,5,0,5.0,795.95
820534,20,0,22.0,2806.35
820535,5,0,16.0,926.92
820536,10,0,10.0,1292.71
820537,10,0,14.0,1505.56
820538,20,0,23.0,2539.36
820539,50,10,24.0,5747.47
820540,100,0,32.0,12453.01
820541,5,10,10.0,560.28
820542,10,0,3.0,1211.51
820543,50,0,11.0,6402.48
820544,50,0,5.0,5986.9
820545,5,15,12.0,521.04
820546,5,20,25.0,786.59
820547,20,20,6.0,2039.14
820548,100,0,26.0,12457.67
820549,5,15,14.0,587.25
820550,5,0,2.0,500.0
820551,20,15,17.0,2114.16
820552,10,15,19.0,1464.73
820553,5,10,7.0,500.0
820554,20,20,4.0,2017.04
820555,20,0,10.0,2761.1
820556,20,0,27.0,2967.38
820557,10,0,19.0,1658.09
820558,20,0,10.0,2486.1
820559,20,0,21.0,3015.49
820560,5,0,15.0,961.1
820561,10,10,23.0,1610.43
820562,10,15,33.0,1330.38
820563,50,10,24.0,5555.99
820564,10,20,19.0,1081.84
820565,50,10,15.0,5616.31
820566,5,0,15.0,926.71
820567,20,0,32.0,3092.13
820568,50,10,26.0,5732.17
820569,50,0,29.0,6404.0
820570,5,15,29.0,1105.49
820571,5,10,13.0,676.35
820572,5,10,15.0,836.28
820573,5,0,4.0,756.0
820574,50,15,19.0,5110.39
820575,10,15,23.0,1366.15
820576,20,0,2.0,2453.25
820577,50,15,18.0,5433.2
820578,10,15,28.0,1393.27
820579,50,10,25.0,5584.51
820580,20,10,21.0,2422.25
820581,20,10,18.0,2481.53
820582,10,10,9.0,1045.43
820583,5,0,20.0,757.67
820584,5,0,26.0,1129.09
820585,10,10,11.0,1156.58
820586,10,0,16.0,1508.15
820587,20,0,4.0,2412.53
820588,10,15,33.0,1360.1
820589,10,10,24.0,1305.62
820590,5,0,14.0,1019.38
820591,10,10,29.0,1502.43
820592,50,20,11.0,4912.54
820593,5,0,9.0,741.29
820594,10,0,13.0,1386.62
820595,5,0,25.0,886.94
820596,10,15,25.0,1335.07
820597,5,20,23.0,615.43
820598,5,0,3.0,502.25
820599,5,10,3.0,500.0
820600,5,10,11.0,610.22
820601,5,10,13.0,999.11
820602,20,10,19.0,2515.14
820603,10,0,10.0,1418.69
820604,10,0,30.0,1531.49
820605,20,15,26.0,2163.49
820606,5,0,8.0,800.71
820607,50,20,6.0,4865.89
820608,5,0,13.0,500.0
820609,100,0,31.0,12587.7
820610,5,10,17.0,718.92
820611,20,0,29.0,2858.8
820612,5,0,6.0,750.3
820613,10,10,25.0,1322.04
820614,20,0,22.0,2541.05
820615,5,20,,667.89
820616,5,15,3.0,500.0
820617,5,15,31.0,757.6
820618,5,0,13.0,679.52
820619,20,0,31.0,3033.41
820620,10,0,6.0,1165.86
820621,10,10,16.0,1175.37
820622,20,15,7.0,2274.33
820623,5,0,18.0,908.27
820624,10,15,2.0,1109.88
820625,5,10,25.0,736.98
820626,5,20,14.0,789.86
820627,10,10,3.0,895.66
820628,10,0,32.0,1474.68
820629,50,10,25.0,5879.72
820630,20,15,33.0,2339.23
820631,10,0,22.0,1320.49
820632,10,0,14.0,1436.24
820633,100,10,25.0,11261.01
820634,20,20,33.0,2415.35
820635,10,10,13.0,1202.7
820636,5,15,4.0,705.86
820637,10,20,31.0,1172.43
820638,5,0,2.0,515.66
820639,50,0,3.0,6266.91
820640,10,0,26.0,1770.4
820641,50,10,26.0,5604.5
820642,20,10,16.0,2572.04
820643,10,0,15.0,1475.72
820644,50,10,8.0,5548.05
820645,50,10,3.0,5361.83
820646,5,0,25.0,1007.44
820647,20,0,32.0,2905.81
820648,100,0,10.0,11918.62
820649,50,0,17.0,6482.44
820650,5,10,12.0,762.68
820651,20,20,29.0,2326.08
820652,50,10,19.0,5601.43
820653,10,0,20.0,1770.13
820654,100,0,29.0,12334.15
820655,10,0,17.0,1514.85
820656,5,0,12.0,842.26
820657,5,0,28.0,1034.42
820658,5,10,15.0,706.2
820659,20,15,24.0,2318.48
820660,50,0,22.0,6321.68
820661,5,20,24.0,500.0
820662,5,0,33.0,1403.84
820663,5,0,4.0,822.53
820664,5,0,33.0,1200.37
820665,20,0,19.0,2927.2
820666,20,0,5.0,2312.18
820667,10,20,30.0,1221.69
820668,50,10,22.0,5763.72
820669,5,0,23.0,995.32
820670,5,0,24.0,1140.02
820671,5,0,21.0,971.52
820672,5,10,21.0,829.13
820673,5,0,9.0,790.82
820674,5,0,12.0,873.72
820675,5,10,14.0,727.7
820676,5,20,11.0,638.95
820677,20,10,5.0,2081.37
820678,5,0,15.0,812.95
820679,5,10,15.0,852.21
820680,10,0,19.0,1444.42
820681,5,20,5.0,620.36
820682,5,15,34.0,983.45
820683,50,15,33.0,5653.99
820684,10,15,30.0,1472.73
820685,50,15,20.0,5198.28
820686,50,0,7.0,6121.01
820687,10,0,2.0,1115.99
820688,20,0,8.0,2593.82
820689,10,0,12.0,1440.36
820690,100,0,26.0,12281.74
820691,5,10,,713.85
820692,10,20,34.0,1563.16
820693,50,0,29.0,6186.85
820694,5,20,25.0,1002.03
820695,5,10,34.0,1092.12
820696,10,20,25.0,726.42
820697,10,0,23.0,1753.82
820698,5,10,13.0,581.24
820699,5,0,19.0,659.4
820700,10,20,6.0,994.06
820701,10,10,19.0,1183.18
820702,5,0,22.0,620.65
820703,10,10,26.0,1562.93
820704,5,15,29.0,877.08
820705,50,15,12.0,5389.05
820706,5,10,9.0,500.0
820707,5,0,4.0,665.8
820708,50,15,11.0,5323.79
820709,50,0,17.0,6356.67
820710,10,10,21.0,1055.01
820711,5,15,25.0,1009.03
820712,20,20,24.0,2117.4
820713,10,0,25.0,1620.9
820714,10,0,25.0,1476.88
820715,5,15,8.0,573.2
820716,10,10,4.0,1197.46
820717,10,0,26.0,1898.49
820718,10,0,16.0,1360.94
820719,5,20,8.0,833.49
820720,5,0,5.0,743.94
820721,5,0,9.0,863.59
820722,100,0,18.0,12478.04
820723,20,20,17.0,2194.46
820724,5,0,6.0,558.81
820725,10,10,17.0,1514.53
820726,5,20,26.0,856.08
820727,10,10,11.0,1210.53
820728,50,10,21.0,5851.52
820729,20,0,32.0,2909.79
820730,20,10,21.0,2303.22
820731,10,0,10.0,1424.17
820732,10,20,18.0,1292.93
820733,10,15,21.0,1549.52
820734,20,10,15.0,2556.81
820735,10,0,29.0,1815.18
820736,5,0,25.0,1150.93
820737,5,10,27.0,1013.46
820738,10,10,32.0,1635.85
820739,100,0,19.0,12598.26
820740,5,20,4.0,505.2
820741,5,0,11.0,763.4
820742,10,0,15.0,1788.76
820743,20,10,17.0,2460.97
820744,5,0,28.0,1141.25
820745,5,0,28.0,846.44
820746,10,20,19.0,1240.75
820747,50,10,6.0,5322.74
820748,100,15,10.0,10359.86
820749,5,20,11.0,710.91
820750,10,15,14.0,776.8
820751,5,10,4.0,786.51
820752,10,0,34.0,1583.49
820753,10,0,10.0,1368.93
820754,10,20,24.0,1087.7
820755,20,0,30.0,2859.25
820756,50,10,4.0,5522.57
820757,10,0,6.0,1379.26
820758,5,10,16.0,893.33
820759,50,15,30.0,5620.94
820760,10,0,8.0,1299.78
820761,20,0,17.0,2611.06
820762,5,15,26.0,789.13
820763,5,0,15.0,881.2
820764,10,0,21.0,1764.15
820765,50,10,23.0,5667.74
820766,5,0,30.0,1045.7
820767,10,0,11.0,1287.47
820768,10,10,27.0,1440.66
820769,5,0,7.0,784.02
820770,5,0,17.0,894.97
820771,50,10,26.0,5691.13
820772,5,15,4.0,654.46
820773,5,0,34.0,1131.4
820774,50,0,28.0,6202.98
820775,10,0,31.0,1623.11
820776,5,0,,670.46
820777,10,0,18.0,1073.27
820778,10,0,5.0,1150.76
820779,5,0,3.0,575.01
820780,10,20,29.0,1504.54
820781,10,15,31.0,1432.14
820782,10,0,20.0,1128.09
820783,50,0,13.0,6190.01
820784,5,0,25.0,826.26
820785,20,0,16.0,2653.14
820786,10,0,21.0,1708.54
820787,10,0,8.0,1213.04
820788,50,0,12.0,6394.11
820789,10,0,13.0,1506.36
820790,5,0,27.0,951.5
820791,5,10,2.0,500.0
820792,5,10,24.0,822.02
820793,10,20,3.0,959.51
820794,10,0,26.0,1410.23
820795,5,0,27.0,895.26
820796,10,10,11.0,969.64
820797,10,10,14.0,1476.35
820798,10,0,23.0,1726.72
820799,50,0,2.0,6174.25
820800,100,10,22.0,10973.17
820801,10,20,3.0,1191.6
820802,5,10,2.0,690.64
820803,5,10,14.0,635.2
820804,20,0,34.0,2939.2
820805,10,15,24.0,1482.66
820806,5,10,10.0,500.0
820807,5,10,24.0,619.21
820808,10,0,7.0,1307.12
820809,5,10,5.0,500.0
820810,5,10,7.0,500.0
820811,5,10,33.0,855.93
820812,10,20,16.0,1110.48
820813,10,0,29.0,1478.73
820814,50,0,13.0,6219.35
820815,5,10,6.0,500.0
820816,100,0,33.0,12559.99
820817,5,0,25.0,1044.18
820818,20,0,7.0,2453.66
820819,5,15,21.0,712.18
820820,20,10,4.0,2207.51
820821,20,0,8.0,2581.41
820822,10,15,25.0,1577.02
820823,5,0,10.0,868.27
820824,5,0,24.0,766.18
820825,10,10,15.0,1252.27
820826,100,10,29.0,11168.74
820827,10,0,16.0,1084.05
820828,10,10,30.0,1270.95
820829,5,0,22.0,976.43
820830,20,15,6.0,2088.69
820831,5,0,25.0,685.97
820832,20,0,24.0,2615.89
820833,5,0,22.0,963.58
820834,10,15,21.0,1400.82
820835,5,20,5.0,500.0
820836,10,0,11.0,1267.14
820837,20,0,31.0,2705.87
820838,5,10,6.0,711.9
820839,10,10,10.0,1262.79
820840,5,0,,966.13
820841,20,0,9.0,2319.18
820842,50,15,22.0,5286.73
820843,5,15,17.0,662.32
820844,20,0,10.0,2453.79
820845,5,0,31.0,809.33
820846,10,10,29.0,1522.5
820847,5,15,18.0,646.96
820848,5,10,16.0,865.93
820849,10,10,27.0,1307.55
820850,50,0,18.0,6264.84
820851,50,10,23.0,5898.63
820852,10,10,8.0,1185.35
820853,10,0,25.0,1510.26
820854,50,0,2.0,5991.82
820855,20,15,26.0,2445.51
820856,100,0,33.0,12442.1
820857,20,15,4.0,1787.47
820858,5,0,14.0,500.0
820859,5,0,31.0,990.68
820860,5,10,25.0,1018.72
820861,5,0,23.0,1066.01
820862,5,0,28.0,1004.41
820863,5,20,13.0,500.0
820864,5,0,34.0,1180.23
820865,10,0,14.0,1276.48
820866,50,0,15.0,6289.26
820867,10,0,34.0,1874.02
820868,20,0,20.0,2765.16
820869,10,20,25.0,1361.66
820870,20,10,11.0,2316.31
820871,20,0,19.0,2646.94
820872,10,0,4.0,1117.95
820873,20,10,12.0,2483.43
820874,10,15,34.0,1652.23
820875,10,20,4.0,1389.5
820876,50,0,16.0,6312.88
820877,20,15,25.0,2280.73
820878,5,0,34.0,1219.4
820879,10,10,2.0,1124.81
820880,5,15,9.0,500.0
820881,10,15,10.0,1065.73
820882,10,10,12.0,966.03
820883,20,15,31.0,2618.8
820884,10,0,9.0,1057.32
820885,10,20,27.0,1332.77
820886,10,20,27.0,852.06
820887,5,0,26.0,986.94
820888,5,20,18.0,858.18
820889,5,0,27.0,1490.15
