MemberID,PointsAccumulated,RedemptionIntervalMonths,LoyaltyTier,TotalSpend_K,Redeemed
1180189,73.8,53.0,Type_C,95.7,84.8
1180190,57.4,20.0,Type_B,79.4,69.8
1180191,91.2,29.0,Type_B,41.6,114.3
1180192,65.8,15.0,Type_B,98.4,153.7
1180193,45.5,26.0,Type_A,36.2,72.0
1180194,91.7,16.0,Type_C,90.1,116.0
1180195,109.7,51.0,Type_A,84.4,103.0
1180196,119.9,40.0,Type_A,63.9,94.7
1180197,51.9,29.0,Type_B,80.6,159.2
1180198,126.6,23.0,Type_B,38.9,115.0
1180199,88.8,33.0,Type_C,57.7,141.8
1180200,119.3,45.0,Type_A,89.1,91.8
1180201,114.5,5.0,Type_C,84.7,70.2
1180202,85.7,16.0,Type_C,83.2,113.9
1180203,45.0,31.0,Type_C,56.8,105.1
1180204,122.3,17.0,Type_B,107.4,89.5
1180205,129.8,13.0,Type_B,46.0,105.3
1180206,56.9,30.0,Type_A,84.4,102.2
1180207,111.3,55.0,Type_B,76.1,104.0
1180208,81.0,22.0,Type_B,63.7,86.3
1180209,51.6,22.0,Type_C,60.2,118.9
1180210,96.5,40.0,Type_B,77.3,99.4
1180211,107.8,41.0,Type_B,59.9,104.9
1180212,99.9,15.0,Type_A,70.8,55.4
1180213,85.0,60.0,Type_C,43.9,110.5
1180214,89.6,4.0,Type_A,65.3,100.7
1180215,117.6,17.0,Type_C,103.5,113.2
1180216,78.0,8.0,Type_C,115.6,107.9
1180217,98.5,57.0,Type_A,81.9,123.7
1180218,52.7,26.0,Type_A,57.0,122.0
1180219,90.4,41.0,Type_A,80.8,37.5
1180220,79.4,34.0,Type_A,72.2,29.0
1180221,140.0,16.0,Type_A,46.1,92.3
1180222,113.7,25.0,Type_B,58.8,100.7
1180223,142.0,51.0,Type_C,54.2,68.5
1180224,58.1,50.0,Type_C,60.7,69.0
1180225,44.0,35.0,Type_B,76.5,148.0
1180226,88.6,51.0,Type_C,75.8,120.2
1180227,116.4,38.0,Type_C,88.9,108.5
1180228,89.9,16.0,Type_B,102.2,151.8
1180229,75.7,35.0,Type_A,54.1,52.1
1180230,63.4,52.0,Type_B,73.4,80.7
1180231,86.6,30.0,Type_A,52.7,135.1
1180232,111.9,54.0,Type_B,103.8,136.4
1180233,118.0,21.0,Type_A,60.4,117.3
1180234,74.7,26.0,Type_A,61.6,111.2
1180235,115.6,12.0,Type_B,40.9,121.2
1180236,72.9,15.0,Type_C,99.6,115.2
1180237,102.7,26.0,Type_A,42.5,112.8
1180238,126.3,52.0,Type_B,93.9,99.8
1180239,127.8,6.0,Type_C,118.4,138.3
1180240,,53.0,Type_A,51.0,114.3
1180241,60.7,46.0,Type_C,80.3,98.0
1180242,122.6,30.0,Type_B,88.8,118.3
1180243,133.2,9.0,Type_B,97.3,110.3
1180244,87.8,46.0,Type_B,42.1,167.6
1180245,88.8,28.0,Type_B,64.1,73.9
1180246,93.2,45.0,Type_C,76.1,79.2
1180247,91.7,43.0,Type_B,76.7,85.6
1180248,101.6,30.0,Type_B,38.8,110.0
1180249,106.1,4.0,Type_A,58.0,119.6
1180250,98.5,54.0,Type_C,91.3,66.7
1180251,,10.0,Type_A,101.9,111.2
1180252,117.6,49.0,Type_A,60.0,99.6
1180253,84.4,51.0,Type_C,60.6,106.2
1180254,131.5,52.0,Type_A,76.7,94.5
1180255,105.7,22.0,Type_A,102.7,75.1
1180256,130.6,19.0,Type_A,39.8,91.6
1180257,36.9,57.0,Type_B,86.6,63.7
1180258,73.9,8.0,Type_B,103.8,109.6
1180259,75.0,48.0,Type_C,75.8,85.6
1180260,70.6,15.0,Type_A,113.7,106.1
1180261,102.0,22.0,Type_B,107.6,59.7
1180262,136.4,43.0,Type_A,83.2,160.1
1180263,89.0,56.0,Type_C,50.1,100.1
1180264,110.8,15.0,Type_B,89.7,122.0
1180265,116.1,3.0,Type_B,84.0,81.8
1180266,84.8,53.0,Type_C,43.5,111.3
1180267,86.1,20.0,Type_C,68.3,102.0
1180268,137.4,37.0,Type_C,48.0,102.9
1180269,82.3,33.0,Type_B,59.9,110.9
1180270,127.6,29.0,Type_A,89.9,105.4
1180271,78.1,10.0,Type_A,73.8,124.8
1180272,93.3,13.0,Type_C,77.0,136.2
1180273,96.0,11.0,Type_B,60.1,111.7
1180274,,37.0,Type_C,77.9,93.9
1180275,116.5,28.0,Type_B,47.6,126.5
1180276,85.8,57.0,Type_C,60.9,91.3
1180277,70.1,50.0,Type_A,71.7,73.9
1180278,109.1,7.0,Type_B,58.5,104.1
1180279,82.9,40.0,Type_B,82.2,85.0
1180280,68.7,60.0,Type_B,93.5,170.3
1180281,105.0,12.0,Type_C,64.1,123.7
1180282,125.2,8.0,Type_B,127.5,114.9
1180283,108.8,58.0,Type_A,55.9,44.1
1180284,133.0,7.0,Type_A,78.5,125.2
1180285,160.3,24.0,Type_A,106.5,77.3
1180286,116.4,49.0,Type_C,20.0,63.8
1180287,66.3,28.0,Type_B,76.9,81.9
1180288,116.9,45.0,Type_C,106.3,81.6
1180289,84.9,13.0,Type_A,68.7,129.9
1180290,123.4,16.0,Type_C,96.2,70.9
1180291,90.5,32.0,Type_A,78.6,115.0
1180292,70.2,26.0,Type_B,65.5,109.7
1180293,84.4,48.0,Type_B,33.9,82.6
1180294,54.7,27.0,Type_C,90.3,86.6
1180295,53.6,38.0,Type_A,34.1,118.3
1180296,112.1,30.0,Type_C,80.6,107.5
1180297,122.9,46.0,Type_B,73.7,75.1
1180298,100.7,44.0,Type_C,76.6,97.2
1180299,136.3,15.0,Type_A,53.2,71.1
1180300,68.5,33.0,Type_B,55.6,112.6
1180301,116.0,56.0,Type_A,97.2,130.8
1180302,52.1,6.0,Type_B,89.8,78.0
1180303,91.6,45.0,Type_A,44.8,62.7
1180304,78.4,31.0,Type_A,106.3,56.5
1180305,97.9,14.0,Type_B,63.6,59.6
1180306,68.9,43.0,Type_A,68.9,104.9
1180307,96.5,45.0,Type_C,67.0,157.3
1180308,77.3,41.0,Type_C,87.9,123.2
1180309,83.2,15.0,Type_C,97.4,80.8
1180310,96.7,11.0,Type_B,39.2,80.7
1180311,75.1,50.0,Type_A,77.5,64.8
1180312,71.3,24.0,Type_B,86.9,97.0
1180313,76.3,24.0,Type_B,59.9,88.6
1180314,94.5,42.0,Type_C,47.1,91.0
1180315,80.9,43.0,Type_C,43.7,95.4
1180316,122.6,10.0,Type_C,64.0,102.3
1180317,113.5,3.0,Type_A,51.5,44.5
1180318,135.2,50.0,Type_C,75.2,126.2
1180319,74.3,27.0,Type_B,93.2,132.0
1180320,72.8,6.0,Type_C,86.6,90.3
1180321,91.4,48.0,Type_A,87.9,91.0
1180322,83.3,50.0,Type_C,83.6,95.7
1180323,96.8,20.0,Type_B,82.2,86.7
1180324,100.6,53.0,Type_A,42.5,113.3
1180325,91.0,29.0,Type_A,85.4,134.4
1180326,70.0,11.0,Type_A,92.1,79.4
1180327,69.6,38.0,Type_B,100.6,104.5
1180328,98.7,38.0,Type_C,101.7,122.9
1180329,123.9,52.0,Type_C,73.7,104.4
1180330,92.1,59.0,Type_B,65.5,114.2
1180331,95.0,38.0,Type_A,123.3,113.8
1180332,120.2,39.0,Type_B,77.9,88.4
1180333,86.1,49.0,Type_C,75.4,121.7
1180334,97.4,50.0,Type_A,20.0,77.9
1180335,76.2,33.0,Type_C,81.1,112.2
1180336,118.8,26.0,Type_A,63.9,105.5
1180337,68.4,26.0,Type_B,94.1,91.1
1180338,131.2,43.0,Type_A,79.7,79.3
1180339,160.1,50.0,Type_C,72.8,85.3
1180340,105.4,42.0,Type_B,64.7,80.4
1180341,72.8,23.0,Type_B,88.2,125.2
1180342,126.0,45.0,Type_A,67.4,98.6
1180343,73.5,26.0,Type_B,87.5,98.6
1180344,138.5,54.0,Type_C,62.7,117.6
1180345,60.4,57.0,Type_B,81.0,113.9
1180346,75.5,22.0,Type_C,93.5,100.4
1180347,106.6,28.0,Type_A,105.6,96.7
1180348,108.6,11.0,Type_A,90.0,101.3
1180349,63.8,35.0,Type_A,72.5,130.6
1180350,101.6,21.0,Type_C,99.8,93.5
1180351,89.6,21.0,Type_C,108.5,35.1
1180352,77.7,51.0,Type_C,56.4,127.4
1180353,99.2,46.0,Type_C,56.7,95.1
1180354,60.6,41.0,Type_C,49.9,97.9
1180355,101.6,14.0,Type_C,90.7,106.5
1180356,54.6,59.0,Type_C,95.0,68.8
1180357,67.4,42.0,Type_C,51.2,126.6
1180358,111.1,45.0,Type_B,83.9,112.6
1180359,49.9,55.0,Type_A,82.5,101.9
1180360,135.8,19.0,Type_B,50.4,125.9
1180361,119.6,5.0,Type_A,60.6,105.6
1180362,107.8,33.0,Type_C,92.4,125.7
1180363,92.6,23.0,Type_A,58.4,97.7
1180364,97.6,59.0,Type_B,29.7,80.7
1180365,47.7,5.0,Type_B,75.5,92.3
1180366,55.4,7.0,Type_A,98.8,83.5
1180367,75.5,60.0,Type_C,38.8,91.4
1180368,106.7,29.0,Type_A,73.1,55.9
1180369,131.6,44.0,Type_A,49.8,44.1
1180370,106.6,52.0,Type_A,29.1,118.7
1180371,97.3,39.0,Type_A,58.8,136.4
1180372,111.3,47.0,Type_B,82.6,90.5
1180373,96.1,29.0,Type_A,28.6,94.0
1180374,122.5,22.0,Type_A,94.6,113.6
1180375,139.1,59.0,Type_B,65.2,74.3
1180376,78.7,29.0,Type_B,61.7,122.2
1180377,122.1,24.0,Type_A,92.3,133.6
1180378,72.6,50.0,Type_C,84.9,96.9
1180379,121.6,30.0,Type_B,100.2,118.7
1180380,97.7,20.0,Type_A,39.3,107.5
1180381,53.9,16.0,Type_C,55.8,57.8
1180382,121.8,11.0,Type_C,67.1,99.9
1180383,57.2,53.0,Type_A,85.2,97.3
1180384,95.8,10.0,Type_C,72.1,115.5
1180385,90.7,19.0,Type_A,62.2,94.9
1180386,123.3,45.0,Type_A,72.2,115.8
1180387,126.9,16.0,Type_C,69.5,96.9
1180388,135.0,35.0,Type_B,77.0,118.1
1180389,62.6,10.0,Type_A,96.6,86.6
1180390,94.4,17.0,Type_C,67.7,82.8
1180391,156.1,54.0,Type_C,65.1,155.6
1180392,91.6,38.0,Type_A,46.5,107.3
1180393,163.0,30.0,Type_B,108.6,55.9
1180394,83.2,20.0,Type_A,75.0,114.1
1180395,99.8,22.0,Type_C,90.3,110.3
1180396,82.4,22.0,Type_A,71.9,120.5
1180397,100.4,5.0,Type_B,101.4,62.6
1180398,127.7,26.0,Type_B,74.3,99.1
1180399,72.9,30.0,Type_A,87.7,113.6
1180400,88.8,22.0,Type_C,60.2,92.0
1180401,119.5,44.0,Type_B,50.6,106.4
1180402,58.3,50.0,Type_C,69.1,121.3
1180403,135.5,55.0,Type_A,61.2,111.4
1180404,114.9,39.0,Type_C,52.8,76.9
1180405,157.8,16.0,Type_B,71.6,60.7
1180406,120.1,29.0,Type_C,82.3,120.4
1180407,64.8,13.0,Type_A,82.8,77.7
1180408,137.3,36.0,Type_A,86.0,82.6
1180409,101.8,60.0,Type_C,82.5,71.3
1180410,73.7,47.0,Type_A,94.1,70.5
1180411,73.8,59.0,Type_B,62.0,102.1
1180412,104.6,38.0,Type_C,95.3,99.1
1180413,121.8,23.0,Type_B,88.9,106.3
1180414,81.1,6.0,Type_B,86.7,141.1
1180415,114.3,19.0,Type_A,64.3,38.2
1180416,90.4,51.0,Type_C,61.6,71.1
1180417,137.0,13.0,Type_C,67.4,65.8
1180418,62.6,45.0,Type_A,80.0,90.0
1180419,80.3,23.0,Type_C,95.8,125.0
1180420,119.2,3.0,Type_A,81.5,43.2
1180421,81.7,15.0,Type_C,84.1,106.8
1180422,106.2,23.0,Type_A,74.1,90.7
1180423,93.8,56.0,Type_A,37.1,54.1
1180424,122.0,33.0,Type_C,53.6,103.3
1180425,100.1,19.0,Type_B,107.0,51.0
1180426,138.9,24.0,Type_A,67.4,128.8
1180427,98.3,32.0,Type_B,52.7,121.8
1180428,,52.0,Type_B,88.9,57.5
1180429,85.5,55.0,Type_C,76.0,123.6
1180430,82.2,44.0,Type_B,54.7,51.9
1180431,62.2,33.0,Type_B,58.6,114.4
1180432,156.7,55.0,Type_A,75.9,99.1
1180433,108.8,40.0,Type_C,64.8,98.6
1180434,64.3,7.0,Type_B,70.2,76.0
1180435,98.1,7.0,Type_B,82.4,97.6
1180436,89.5,46.0,Type_B,92.2,136.3
1180437,79.7,5.0,Type_A,53.9,91.8
1180438,115.4,38.0,Type_B,37.0,112.2
1180439,82.2,53.0,Type_B,85.4,138.2
1180440,103.3,4.0,Type_A,82.1,138.1
1180441,69.6,44.0,Type_A,38.2,94.7
1180442,94.8,6.0,Type_A,80.0,134.9
1180443,127.8,34.0,Type_A,92.8,73.7
1180444,74.1,38.0,Type_A,65.1,118.3
1180445,75.3,15.0,Type_A,77.8,91.8
1180446,81.1,10.0,Type_B,68.3,65.6
1180447,76.5,50.0,Type_C,84.2,86.4
1180448,103.7,17.0,Type_C,62.2,105.6
1180449,130.5,38.0,Type_A,56.2,124.2
1180450,110.3,42.0,Type_C,97.6,109.9
1180451,100.5,50.0,Type_B,57.6,123.6
1180452,80.4,33.0,Type_C,106.2,90.5
1180453,91.9,38.0,Type_C,106.6,131.4
1180454,46.8,52.0,Type_C,92.3,102.7
1180455,122.8,6.0,Type_A,70.0,104.8
1180456,105.6,13.0,Type_C,61.6,138.2
1180457,100.6,49.0,Type_B,86.2,69.3
1180458,62.9,38.0,Type_C,82.7,76.1
1180459,100.8,54.0,Type_B,86.8,131.8
1180460,53.1,58.0,Type_C,70.4,83.5
1180461,127.7,40.0,Type_C,70.5,70.1
1180462,109.5,29.0,Type_A,68.2,87.5
1180463,110.8,26.0,Type_C,118.1,126.9
1180464,87.1,21.0,Type_B,86.3,86.0
1180465,121.4,28.0,Type_B,81.3,83.3
1180466,134.6,38.0,Type_A,58.8,82.9
1180467,92.1,59.0,Type_B,52.1,68.2
1180468,92.2,6.0,Type_A,55.5,100.2
1180469,82.5,45.0,Type_C,71.5,111.5
1180470,85.0,35.0,Type_B,76.3,64.7
1180471,105.6,16.0,Type_C,98.6,96.9
1180472,127.0,12.0,Type_B,94.1,93.6
1180473,95.9,29.0,Type_B,50.9,139.1
1180474,28.6,23.0,Type_A,95.0,105.4
1180475,59.7,25.0,Type_C,117.8,105.0
1180476,91.5,59.0,Type_A,65.3,143.1
1180477,54.4,53.0,Type_B,86.7,117.1
1180478,147.1,11.0,Type_C,68.7,137.6
1180479,108.1,32.0,Type_C,84.2,74.4
1180480,68.8,40.0,Type_B,110.3,86.9
1180481,112.2,46.0,Type_B,142.6,68.1
1180482,67.4,30.0,Type_B,80.7,106.3
1180483,107.6,60.0,Type_C,63.9,75.9
1180484,123.0,23.0,Type_B,74.0,78.0
1180485,72.3,38.0,Type_A,84.4,90.5
1180486,69.7,55.0,Type_A,84.7,82.6
1180487,95.3,18.0,Type_B,106.6,78.3
1180488,119.9,56.0,Type_B,77.4,83.2
1180489,100.9,27.0,Type_B,112.9,115.1
1180490,103.2,21.0,Type_A,60.0,126.6
1180491,78.3,31.0,Type_B,63.8,97.4
1180492,109.3,21.0,Type_B,52.0,58.0
1180493,79.6,20.0,Type_A,89.2,158.8
1180494,115.5,36.0,Type_A,74.3,83.2
1180495,111.5,10.0,Type_B,67.3,84.4
1180496,123.2,37.0,Type_A,92.3,147.7
1180497,132.0,38.0,Type_C,69.2,108.6
1180498,121.6,8.0,Type_B,60.9,27.0
1180499,143.2,37.0,Type_B,109.3,116.4
1180500,,9.0,Type_B,81.3,107.5
1180501,79.2,16.0,Type_B,78.2,104.6
1180502,90.6,10.0,Type_B,105.9,86.4
1180503,133.7,34.0,Type_C,110.5,135.1
1180504,165.4,32.0,Type_C,89.5,76.6
1180505,107.2,44.0,Type_B,47.4,62.7
1180506,49.3,10.0,Type_B,67.0,139.6
1180507,71.5,52.0,Type_A,86.6,76.7
1180508,131.6,32.0,Type_C,53.6,75.6
1180509,107.5,10.0,Type_C,82.6,136.4
1180510,102.4,16.0,Type_C,64.3,51.5
1180511,93.4,32.0,Type_A,80.0,72.3
1180512,62.6,8.0,Type_A,78.7,102.4
1180513,89.6,30.0,Type_C,106.7,89.7
1180514,113.7,26.0,Type_B,87.5,93.8
1180515,92.4,31.0,Type_B,70.6,105.9
1180516,75.6,20.0,Type_A,57.1,113.8
1180517,92.6,33.0,Type_A,42.5,91.5
1180518,106.4,34.0,Type_B,82.7,126.3
1180519,77.1,37.0,Type_C,68.8,67.2
1180520,102.7,5.0,Type_C,20.0,43.7
1180521,114.1,47.0,Type_A,56.8,99.4
1180522,107.6,20.0,Type_A,98.9,131.0
1180523,103.5,29.0,Type_A,60.4,90.3
1180524,,12.0,Type_C,79.7,90.6
1180525,139.6,33.0,Type_C,72.1,94.4
1180526,92.3,18.0,Type_A,91.2,106.3
1180527,103.3,49.0,Type_B,92.4,116.1
1180528,112.8,57.0,Type_C,80.3,125.0
1180529,100.2,51.0,Type_A,80.8,81.4
1180530,94.5,59.0,Type_B,65.6,103.5
1180531,67.8,24.0,Type_A,75.8,87.5
1180532,123.3,31.0,Type_C,72.5,80.7
1180533,115.0,44.0,Type_A,81.8,79.8
1180534,82.7,59.0,Type_C,69.0,76.6
1180535,81.8,35.0,Type_A,73.1,103.5
1180536,128.5,42.0,Type_B,77.2,82.1
1180537,122.0,34.0,Type_A,97.4,78.9
1180538,97.7,11.0,Type_C,71.8,115.1
1180539,119.9,51.0,Type_B,83.0,90.7
1180540,72.8,9.0,Type_A,94.4,113.6
1180541,94.4,9.0,Type_C,81.7,62.7
1180542,61.2,22.0,Type_A,103.9,100.2
1180543,147.3,32.0,Type_A,54.2,138.8
1180544,70.5,20.0,Type_C,81.0,120.3
1180545,70.2,38.0,Type_A,82.8,129.5
1180546,170.2,35.0,Type_A,56.6,50.4
1180547,91.9,41.0,Type_C,71.1,74.2
1180548,105.5,26.0,Type_C,51.1,79.9
1180549,115.0,15.0,Type_B,68.2,119.9
1180550,94.9,11.0,Type_C,103.0,77.5
1180551,139.1,37.0,Type_C,87.8,85.8
1180552,108.0,27.0,Type_C,126.3,77.7
1180553,134.8,27.0,Type_C,44.1,87.8
1180554,70.2,26.0,Type_B,81.7,26.0
1180555,111.7,42.0,Type_B,96.1,118.9
1180556,134.9,37.0,Type_C,52.8,72.9
