RequestID,ServerRegion,PageSize_MB,RequestCount,CacheStatus,LoadTime_ms
950080,US-East,3.59,,Hit,961.9
950081,EU-West,2.01,483.0,Miss,869.3
950082,EU-West,5.39,148.0,Miss,1221.0
950083,US-East,6.7,789.0,Miss,1807.4
950084,AP-East,2.7,290.0,Hit,619.7
950085,US-East,8.13,183.0,Miss,1771.2
950086,AP-East,1.46,74.0,Miss,594.9
950087,EU-West,8.35,660.0,Miss,1967.8
950088,US-East,2.31,536.0,Hit,590.3
950089,AP-East,7.09,724.0,Miss,1884.5
950090,AP-East,0.21,619.0,Hit,322.6
950091,AP-East,4.05,735.0,Miss,1373.2
950092,EU-West,1.68,750.0,Hit,679.9
950093,US-East,6.94,496.0,Hit,1554.4
950094,US-East,6.32,91.0,Hit,1209.1
950095,EU-West,6.3,70.0,Hit,1223.6
950096,AP-East,4.92,475.0,Hit,1165.8
950097,AP-East,3.27,379.0,Hit,748.4
950098,EU-West,2.91,205.0,Miss,786.9
950099,AP-East,3.84,490.0,Miss,1137.7
950100,AP-East,5.27,215.0,Hit,1158.6
950101,US-East,0.83,174.0,Miss,403.0
950102,AP-East,3.51,69.0,Hit,583.2
950103,AP-East,7.2,179.0,Miss,1740.9
950104,US-East,5.15,157.0,Miss,1148.1
950105,EU-West,2.47,565.0,Miss,938.3
950106,EU-West,4.05,353.0,Hit,886.3
950107,EU-West,3.92,417.0,Hit,910.7
950108,US-East,1.01,114.0,Miss,460.2
950109,AP-East,2.76,578.0,Hit,772.7
950110,EU-West,2.01,277.0,Hit,511.4
950111,US-East,2.29,437.0,Hit,626.2
950112,AP-East,5.05,754.0,Miss,1470.6
950113,US-East,7.45,60.0,Hit,1371.4
950114,US-East,6.45,390.0,Hit,1326.0
950115,AP-East,4.0,212.0,Miss,1050.9
950116,EU-West,4.66,598.0,Miss,1325.5
950117,US-East,4.08,530.0,Hit,1042.9
950118,US-East,4.46,279.0,Miss,1237.3
950119,AP-East,3.91,52.0,Hit,743.9
950120,EU-West,8.05,730.0,Hit,1818.9
950121,AP-East,7.31,199.0,Hit,1442.5
950122,US-East,4.74,799.0,Hit,1214.5
950123,AP-East,8.21,694.0,Miss,2014.9
950124,AP-East,3.18,563.0,Hit,749.6
950125,EU-West,3.6,519.0,Hit,867.0
950126,AP-East,4.05,777.0,Hit,1146.9
950127,US-East,0.39,445.0,Hit,250.7
950128,US-East,1.26,351.0,Hit,439.9
950129,EU-West,7.54,367.0,Hit,1476.7
950130,AP-East,3.75,672.0,Miss,1244.2
950131,AP-East,2.09,655.0,Hit,783.6
950132,US-East,5.89,472.0,Hit,1373.3
950133,AP-East,5.21,579.0,Hit,1281.2
950134,US-East,4.16,498.0,Miss,1190.6
950135,EU-West,4.49,218.0,Hit,965.1
950136,EU-West,4.91,14.0,Hit,916.8
950137,AP-East,3.56,458.0,Hit,906.3
950138,EU-West,5.22,624.0,Miss,1478.4
950139,EU-West,7.46,710.0,Miss,1920.8
950140,AP-East,6.35,379.0,Hit,1368.3
950141,EU-West,8.03,727.0,Hit,1850.4
950142,AP-East,3.09,624.0,Hit,902.9
950143,US-East,5.82,774.0,Hit,1401.7
950144,EU-West,1.91,738.0,Hit,686.2
950145,AP-East,5.64,408.0,Hit,1312.4
950146,EU-West,6.86,784.0,Hit,1646.0
950147,AP-East,1.4,241.0,Hit,365.6
950148,AP-East,4.68,322.0,Miss,1273.6
950149,US-East,6.92,215.0,Hit,1367.1
950150,EU-West,1.07,326.0,Miss,569.1
950151,US-East,1.1,795.0,Miss,811.4
950152,EU-West,0.25,10.0,Hit,91.3
950153,AP-East,3.57,,Hit,930.3
950154,AP-East,2.35,105.0,Miss,739.5
950155,EU-West,2.12,286.0,Hit,579.1
950156,EU-West,8.37,376.0,Miss,1918.3
950157,US-East,5.56,771.0,Hit,1438.5
950158,EU-West,2.49,56.0,Hit,382.6
950159,EU-West,1.17,218.0,Miss,556.5
950160,US-East,1.89,559.0,Miss,915.4
950161,EU-West,3.22,770.0,Miss,1118.3
950162,AP-East,5.62,103.0,Miss,1313.3
950163,EU-West,0.27,765.0,Hit,405.8
950164,AP-East,2.98,563.0,Hit,803.8
950165,US-East,7.59,,Miss,1870.3
950166,US-East,0.15,680.0,Hit,376.0
950167,EU-West,7.05,583.0,Hit,1555.2
950168,EU-West,4.33,188.0,Miss,1157.4
950169,EU-West,0.51,619.0,Miss,633.8
950170,AP-East,0.22,284.0,Miss,454.1
950171,AP-East,7.72,664.0,Hit,1731.6
950172,US-East,4.21,671.0,Miss,1392.3
950173,US-East,1.26,241.0,Miss,546.0
950174,AP-East,8.24,338.0,Miss,1886.7
950175,US-East,3.57,667.0,Hit,994.5
950176,EU-West,4.98,40.0,Miss,1151.9
950177,AP-East,5.19,634.0,Hit,1262.1
950178,US-East,4.39,306.0,Miss,1098.5
950179,US-East,3.04,567.0,Miss,1066.4
950180,US-East,3.59,382.0,Hit,824.1
950181,AP-East,7.58,478.0,Miss,1835.1
950182,AP-East,0.76,536.0,Miss,616.3
950183,US-East,0.48,212.0,Hit,266.9
950184,EU-West,7.02,730.0,Miss,1844.6
950185,US-East,6.03,28.0,Hit,1109.8
950186,US-East,3.42,277.0,Hit,777.3
950187,AP-East,1.4,209.0,Hit,329.7
950188,EU-West,6.38,435.0,Miss,1590.3
950189,EU-West,8.4,798.0,Miss,2120.9
950190,EU-West,6.56,165.0,Miss,1501.9
950191,US-East,4.57,238.0,Miss,1122.2
950192,AP-East,8.48,440.0,Hit,1817.8
950193,US-East,7.12,635.0,Miss,1797.7
950194,EU-West,3.93,,Miss,1219.4
950195,EU-West,0.89,390.0,Hit,367.8
950196,US-East,5.83,367.0,Miss,1561.1
950197,AP-East,5.51,790.0,Miss,1554.7
950198,AP-East,1.5,587.0,Hit,510.3
950199,US-East,6.38,119.0,Hit,1187.7
950200,EU-West,7.54,479.0,Hit,1686.5
950201,EU-West,2.72,,Hit,745.0
950202,US-East,2.89,114.0,Hit,665.2
950203,US-East,0.54,262.0,Miss,448.6
950204,AP-East,7.06,681.0,Hit,1657.3
950205,US-East,2.52,223.0,Hit,513.9
950206,EU-West,7.95,273.0,Hit,1603.9
950207,EU-West,7.32,785.0,Hit,1725.5
950208,EU-West,2.65,367.0,Hit,673.5
950209,EU-West,2.93,14.0,Hit,629.9
950210,AP-East,6.38,38.0,Miss,1453.4
950211,US-East,2.89,161.0,Hit,649.4
950212,EU-West,5.19,501.0,Hit,1139.6
950213,AP-East,7.42,581.0,Miss,1848.1
950214,US-East,4.4,465.0,Hit,1064.4
950215,EU-West,2.16,750.0,Hit,705.4
950216,US-East,4.8,682.0,Hit,1245.2
950217,AP-East,2.45,357.0,Miss,807.5
950218,EU-West,1.89,39.0,Hit,422.7
950219,US-East,4.75,251.0,Miss,1219.9
950220,EU-West,4.75,264.0,Miss,1219.9
950221,US-East,3.07,775.0,Hit,972.1
950222,AP-East,5.1,634.0,Miss,1387.5
950223,AP-East,7.06,95.0,Miss,1672.4
950224,US-East,8.06,449.0,Miss,1993.6
950225,EU-West,4.98,361.0,Miss,1327.7
950226,EU-West,1.07,744.0,Hit,510.0
950227,US-East,7.6,750.0,Hit,1782.6
950228,EU-West,1.74,422.0,Hit,548.0
950229,EU-West,3.76,156.0,Miss,1085.5
950230,US-East,3.22,228.0,Miss,953.6
950231,US-East,6.68,601.0,Hit,1523.4
950232,EU-West,6.59,698.0,Miss,1733.4
950233,EU-West,1.46,508.0,Miss,826.5
950234,AP-East,8.31,438.0,Hit,1753.5
950235,AP-East,1.51,625.0,Hit,504.8
950236,AP-East,6.48,606.0,Hit,1578.4
950237,EU-West,0.2,252.0,Hit,201.9
950238,US-East,8.06,582.0,Miss,2042.8
950239,AP-East,6.06,628.0,Hit,1383.0
950240,AP-East,1.62,223.0,Hit,468.2
950241,EU-West,7.09,201.0,Miss,1754.4
950242,EU-West,6.0,465.0,Hit,1271.7
950243,EU-West,0.43,624.0,Miss,611.2
950244,US-East,0.55,98.0,Hit,184.2
950245,US-East,1.37,383.0,Miss,609.3
950246,US-East,3.22,293.0,Miss,929.6
950247,US-East,8.11,57.0,Hit,1569.2
950248,EU-West,2.89,627.0,Hit,848.4
950249,US-East,6.0,233.0,Hit,1204.7
950250,AP-East,3.9,760.0,Hit,1036.7
950251,EU-West,7.59,432.0,Hit,1532.4
950252,US-East,4.65,67.0,Miss,1120.8
950253,EU-West,4.03,176.0,Hit,955.4
950254,US-East,6.05,362.0,Hit,1298.7
950255,EU-West,2.11,590.0,Hit,648.7
950256,AP-East,6.6,641.0,Miss,1785.6
950257,US-East,0.25,167.0,Hit,140.9
950258,US-East,3.98,420.0,Hit,960.1
950259,AP-East,1.9,13.0,Hit,369.8
950260,US-East,7.85,281.0,Miss,1830.7
950261,US-East,2.4,234.0,Miss,791.0
950262,US-East,0.14,620.0,Hit,358.8
950263,US-East,0.7,27.0,Hit,157.7
950264,EU-West,7.99,141.0,Hit,1517.4
950265,US-East,8.27,467.0,Hit,1769.3
950266,EU-West,1.23,16.0,Hit,306.9
950267,AP-East,6.35,468.0,Hit,1359.7
950268,AP-East,4.24,245.0,Hit,968.4
950269,EU-West,0.76,577.0,Miss,662.9
950270,AP-East,6.41,777.0,Hit,1587.4
950271,EU-West,7.0,56.0,Hit,1343.7
950272,AP-East,6.67,378.0,Hit,1455.4
950273,EU-West,5.05,515.0,Hit,1162.8
950274,US-East,5.11,648.0,Miss,1505.3
950275,AP-East,3.73,44.0,Miss,872.5
950276,AP-East,2.93,781.0,Hit,931.4
950277,EU-West,8.18,692.0,Hit,1841.9
950278,EU-West,4.02,639.0,Hit,1024.4
950279,EU-West,0.6,108.0,Hit,246.4
950280,US-East,1.44,63.0,Hit,384.2
950281,EU-West,3.06,620.0,Hit,845.5
950282,EU-West,3.63,369.0,Hit,814.2
950283,US-East,4.64,451.0,Miss,1341.0
950284,AP-East,4.27,121.0,Hit,901.6
950285,EU-West,0.9,353.0,Miss,515.9
950286,AP-East,8.22,62.0,Miss,1714.1
950287,EU-West,0.81,,Miss,711.0
950288,EU-West,4.67,585.0,Hit,1254.0
950289,AP-East,1.95,99.0,Miss,639.1
950290,US-East,6.0,114.0,Hit,1128.5
950291,EU-West,7.76,305.0,Hit,1516.2
950292,US-East,3.03,193.0,Miss,836.7
950293,AP-East,0.57,343.0,Hit,443.9
950294,US-East,2.58,340.0,Hit,620.7
950295,EU-West,3.19,272.0,Hit,709.5
950296,US-East,3.51,765.0,Hit,1052.7
950297,EU-West,4.9,,Miss,1269.5
950298,AP-East,1.66,196.0,Miss,649.8
950299,US-East,2.55,538.0,Miss,928.0
950300,AP-East,4.26,616.0,Miss,1244.4
950301,AP-East,6.05,140.0,Miss,1391.1
950302,AP-East,4.04,433.0,Hit,1047.5
950303,US-East,0.39,634.0,Miss,602.4
950304,EU-West,1.58,33.0,Hit,411.7
950305,US-East,3.29,256.0,Miss,1014.9
950306,US-East,1.07,592.0,Miss,607.3
950307,AP-East,7.59,743.0,Miss,1938.7
950308,US-East,2.58,779.0,Miss,1033.9
950309,AP-East,8.45,175.0,Hit,1602.6
950310,EU-West,2.79,216.0,Miss,919.6
950311,EU-West,8.11,659.0,Miss,2009.4
950312,EU-West,6.39,379.0,Miss,1539.9
950313,AP-East,4.24,190.0,Hit,825.1
950314,AP-East,2.05,445.0,Miss,848.0
950315,AP-East,5.32,693.0,Hit,1261.2
950316,EU-West,0.7,441.0,Miss,580.6
950317,EU-West,6.73,87.0,Miss,1552.0
950318,AP-East,4.25,62.0,Hit,820.8
950319,EU-West,3.43,356.0,Hit,850.7
950320,US-East,3.92,255.0,Hit,846.8
950321,AP-East,0.79,467.0,Hit,277.5
950322,US-East,1.68,427.0,Miss,769.2
950323,AP-East,6.24,719.0,Hit,1576.0
950324,AP-East,1.57,208.0,Hit,402.4
950325,AP-East,1.05,603.0,Hit,475.3
950326,US-East,3.01,663.0,Miss,961.6
950327,AP-East,1.08,494.0,Miss,691.1
950328,US-East,6.93,164.0,Miss,1566.9
950329,US-East,0.59,26.0,Hit,89.1
950330,US-East,3.44,203.0,Miss,949.4
950331,AP-East,2.58,316.0,Hit,609.0
950332,EU-West,0.2,749.0,Hit,284.5
950333,US-East,6.12,322.0,Miss,1519.3
950334,AP-East,4.96,40.0,Miss,1183.3
950335,US-East,4.02,412.0,Hit,911.1
950336,AP-East,5.5,158.0,Hit,1112.1
950337,US-East,4.79,135.0,Hit,924.1
950338,EU-West,1.53,622.0,Hit,650.2
950339,US-East,3.71,262.0,Hit,768.0
950340,EU-West,0.3,297.0,Miss,420.3
950341,AP-East,3.67,731.0,Miss,1253.7
950342,EU-West,4.56,196.0,Miss,1067.3
950343,AP-East,3.65,419.0,Hit,965.4
950344,AP-East,6.95,503.0,Miss,1776.9
950345,US-East,7.5,210.0,Hit,1450.6
950346,US-East,6.5,315.0,Hit,1266.8
950347,EU-West,3.96,322.0,Miss,1103.0
950348,US-East,4.96,96.0,Hit,961.4
950349,AP-East,5.95,610.0,Hit,1388.6
950350,AP-East,0.92,514.0,Hit,477.1
950351,EU-West,7.31,312.0,Hit,1487.1
950352,US-East,3.12,526.0,Hit,840.2
950353,US-East,1.62,137.0,Miss,615.3
950354,US-East,6.3,107.0,Hit,1113.1
950355,EU-West,5.17,,Hit,1048.4
950356,US-East,2.0,186.0,Hit,475.0
950357,EU-West,2.86,252.0,Hit,687.8
950358,EU-West,4.98,273.0,Miss,1266.3
950359,US-East,3.03,32.0,Miss,722.9
950360,EU-West,3.91,592.0,Miss,1229.8
950361,AP-East,5.61,328.0,Hit,1186.9
950362,EU-West,1.34,374.0,Hit,403.4
950363,EU-West,6.17,649.0,Hit,1366.0
950364,US-East,7.71,679.0,Hit,1644.6
950365,EU-West,2.89,429.0,Miss,1006.6
950366,US-East,3.68,360.0,Hit,844.5
950367,EU-West,1.66,402.0,Miss,654.9
950368,EU-West,4.57,496.0,Miss,1361.7
950369,AP-East,4.25,771.0,Miss,1275.8
950370,EU-West,1.32,799.0,Hit,551.9
950371,EU-West,5.11,651.0,Hit,1303.9
950372,AP-East,1.98,466.0,Hit,642.1
950373,US-East,4.09,662.0,Miss,1228.6
950374,US-East,6.5,587.0,Miss,1740.3
950375,EU-West,3.2,493.0,Miss,1081.9
950376,EU-West,1.44,555.0,Miss,681.2
950377,US-East,2.85,576.0,Hit,737.1
950378,EU-West,0.56,62.0,Miss,352.6
950379,US-East,2.02,34.0,Hit,400.2
950380,US-East,1.9,463.0,Hit,587.0
950381,EU-West,6.24,179.0,Hit,1301.5
950382,AP-East,2.09,628.0,Hit,740.3
950383,AP-East,1.24,100.0,Hit,337.5
950384,EU-West,8.3,674.0,Hit,1878.7
950385,EU-West,4.08,449.0,Hit,949.9
950386,EU-West,2.0,572.0,Miss,897.9
950387,EU-West,6.51,546.0,Hit,1489.4
950388,AP-East,8.42,648.0,Hit,1786.6
950389,US-East,0.22,756.0,Miss,512.7
950390,EU-West,5.37,387.0,Miss,1371.5
950391,AP-East,3.06,55.0,Miss,862.2
950392,US-East,2.9,613.0,Miss,1027.3
950393,US-East,2.72,650.0,Miss,1010.2
950394,AP-East,0.74,24.0,Hit,167.7
950395,US-East,4.95,410.0,Hit,1093.0
950396,AP-East,2.74,716.0,Hit,860.6
950397,EU-West,7.16,108.0,Hit,1369.8
950398,AP-East,7.15,318.0,Hit,1477.4
950399,AP-East,1.28,192.0,Hit,346.7
950400,EU-West,6.35,320.0,Miss,1475.6
950401,EU-West,7.74,393.0,Hit,1634.3
950402,EU-West,1.22,476.0,Miss,706.8
950403,US-East,7.12,316.0,Hit,1446.2
950404,AP-East,7.88,403.0,Hit,1620.9
950405,EU-West,4.81,346.0,Hit,1094.9
950406,US-East,2.04,434.0,Hit,495.3
950407,EU-West,0.36,232.0,Miss,394.9
950408,AP-East,1.03,763.0,Hit,565.7
950409,US-East,4.95,722.0,Miss,1411.1
950410,AP-East,1.38,284.0,Miss,614.9
950411,AP-East,5.32,568.0,Hit,1293.0
950412,AP-East,6.05,473.0,Hit,1331.8
950413,AP-East,7.1,589.0,Miss,1797.0
950414,US-East,5.02,700.0,Hit,1339.7
950415,EU-West,1.49,316.0,Hit,432.3
950416,AP-East,7.59,60.0,Hit,1459.4
950417,US-East,5.11,741.0,Hit,1232.4
950418,US-East,7.47,23.0,Hit,1417.9
950419,AP-East,2.76,757.0,Miss,1065.6
950420,AP-East,4.05,656.0,Hit,1067.0
950421,EU-West,6.06,210.0,Miss,1455.6
950422,EU-West,6.62,705.0,Miss,1759.7
950423,EU-West,2.96,659.0,Hit,841.7
950424,EU-West,0.83,705.0,Hit,398.7
950425,US-East,3.37,704.0,Hit,915.2
950426,US-East,1.54,25.0,Hit,342.5
950427,US-East,8.3,84.0,Hit,1475.9
950428,AP-East,5.99,458.0,Hit,1292.0
950429,EU-West,8.04,562.0,Hit,1650.6
950430,EU-West,2.07,219.0,Hit,475.1
950431,AP-East,5.01,398.0,Miss,1238.5
950432,US-East,7.94,210.0,Miss,1734.9
950433,AP-East,6.13,617.0,Miss,1627.7
950434,US-East,4.66,330.0,Miss,1263.9
950435,AP-East,8.49,220.0,Hit,1621.8
950436,EU-West,1.7,116.0,Miss,631.6
950437,US-East,2.61,18.0,Hit,705.1
950438,EU-West,4.71,164.0,Hit,899.7
950439,US-East,1.83,692.0,Miss,886.4
950440,US-East,0.48,552.0,Hit,366.2
950441,AP-East,5.81,512.0,Miss,1527.1
950442,US-East,8.1,404.0,Hit,1690.0
950443,AP-East,5.21,310.0,Hit,1147.3
950444,US-East,0.89,564.0,Hit,538.7
950445,EU-West,4.04,35.0,Hit,720.8
950446,EU-West,7.39,491.0,Hit,1398.7
950447,US-East,7.12,669.0,Miss,1772.3
950448,EU-West,7.87,633.0,Miss,1967.7
950449,US-East,3.11,125.0,Hit,678.2
950450,AP-East,1.05,444.0,Hit,462.3
950451,EU-West,1.62,666.0,Miss,857.9
950452,US-East,2.29,196.0,Miss,781.3
950453,AP-East,3.48,773.0,Hit,969.0
950454,AP-East,6.5,540.0,Hit,1441.3
950455,EU-West,4.38,582.0,Hit,1053.4
950456,AP-East,5.62,344.0,Hit,1197.1
950457,AP-East,5.81,353.0,Hit,1319.0
950458,EU-West,7.37,786.0,Hit,1638.5
950459,EU-West,7.86,523.0,Miss,1894.5
950460,AP-East,2.84,698.0,Hit,859.6
950461,US-East,2.14,148.0,Miss,588.5
950462,EU-West,8.41,414.0,Hit,1683.2
950463,EU-West,1.12,174.0,Hit,302.2
950464,EU-West,1.96,244.0,Hit,470.2
950465,AP-East,8.19,300.0,Hit,1560.9
950466,AP-East,5.14,404.0,Hit,1103.6
950467,AP-East,7.63,252.0,Hit,1440.9
950468,AP-East,5.78,726.0,Miss,1562.0
950469,US-East,2.69,181.0,Miss,783.2
950470,US-East,8.26,443.0,Hit,1680.3
950471,EU-West,4.25,357.0,Hit,941.2
950472,EU-West,4.79,602.0,Hit,1186.1
950473,AP-East,3.82,218.0,Miss,1056.4
950474,US-East,8.35,63.0,Hit,1557.1
950475,AP-East,7.48,332.0,Hit,1559.3
950476,EU-West,7.55,201.0,Miss,1720.5
950477,AP-East,1.6,191.0,Miss,654.1
950478,EU-West,5.38,25.0,Hit,1104.7
950479,AP-East,6.51,283.0,Miss,1618.4
950480,EU-West,5.64,149.0,Hit,1128.4
950481,AP-East,2.32,473.0,Hit,605.2
950482,US-East,2.7,316.0,Miss,925.9
950483,US-East,6.83,525.0,Hit,1589.3
950484,US-East,3.54,559.0,Miss,1185.3
950485,AP-East,7.17,594.0,Hit,1561.5
950486,EU-West,6.51,229.0,Hit,1320.8
950487,US-East,1.43,243.0,Miss,584.6
950488,EU-West,2.03,243.0,Miss,683.9
950489,EU-West,7.8,303.0,Hit,1619.8
950490,AP-East,5.99,359.0,Hit,1281.5
950491,US-East,3.44,434.0,Hit,851.7
950492,AP-East,6.41,392.0,Miss,1548.0
950493,US-East,7.53,706.0,Miss,1861.1
950494,US-East,7.87,,Hit,1648.8
950495,AP-East,2.65,787.0,Miss,1172.3
950496,AP-East,1.43,195.0,Miss,628.3
950497,US-East,0.46,497.0,Hit,340.7
950498,US-East,7.77,496.0,Hit,1672.5
950499,US-East,5.54,769.0,Hit,1471.9
950500,AP-East,2.26,200.0,Hit,537.2
950501,US-East,1.0,142.0,Hit,351.2
950502,AP-East,3.06,598.0,Hit,904.3
950503,US-East,7.16,496.0,Hit,1500.1
950504,EU-West,7.73,728.0,Hit,1817.3
950505,US-East,2.58,22.0,Hit,485.5
950506,US-East,6.86,596.0,Miss,1752.5
950507,US-East,5.34,429.0,Hit,1143.6
950508,EU-West,6.68,677.0,Miss,1736.5
950509,EU-West,2.03,478.0,Hit,626.6
950510,US-East,1.86,479.0,Miss,793.3
950511,US-East,5.34,334.0,Hit,1194.7
950512,AP-East,7.19,331.0,Hit,1480.3
950513,EU-West,6.01,771.0,Miss,1659.4
950514,EU-West,8.4,734.0,Hit,1989.1
950515,AP-East,1.19,773.0,Hit,645.7
950516,US-East,4.77,412.0,Hit,1120.1
950517,EU-West,6.89,23.0,Miss,1548.0
950518,EU-West,5.1,668.0,Miss,1543.1
950519,AP-East,7.41,85.0,Hit,1450.0
950520,AP-East,3.34,220.0,Hit,785.8
950521,US-East,7.73,773.0,Miss,2052.2
950522,AP-East,4.24,201.0,Hit,951.4
950523,AP-East,5.52,37.0,Hit,1029.3
950524,EU-West,0.29,659.0,Miss,576.2
950525,AP-East,5.16,581.0,Hit,1173.0
950526,US-East,1.5,693.0,Hit,693.8
950527,EU-West,3.95,382.0,Miss,1049.6
950528,AP-East,3.37,562.0,Hit,980.3
950529,US-East,6.19,231.0,Hit,1297.3
950530,EU-West,7.61,679.0,Hit,1704.3
950531,AP-East,6.26,680.0,Hit,1438.5
950532,AP-East,4.51,650.0,Miss,1359.9
950533,US-East,0.82,121.0,Hit,235.1
950534,AP-East,8.27,211.0,Miss,1822.9
950535,EU-West,7.14,518.0,Hit,1572.5
950536,AP-East,3.3,154.0,Hit,716.0
950537,US-East,2.58,258.0,Miss,905.5
950538,US-East,4.51,467.0,Miss,1218.5
950539,AP-East,2.45,496.0,Hit,681.3
950540,US-East,5.87,755.0,Hit,1369.4
950541,EU-West,2.23,479.0,Hit,572.3
950542,AP-East,2.48,47.0,Hit,569.5
950543,AP-East,8.1,179.0,Miss,1837.7
950544,EU-West,7.16,650.0,Miss,1904.1
950545,EU-West,0.56,175.0,Miss,391.8
950546,AP-East,6.23,490.0,Hit,1335.4
950547,AP-East,7.87,555.0,Hit,1716.9
950548,AP-East,7.39,181.0,Miss,1602.8
950549,AP-East,5.63,594.0,Hit,1350.5
950550,AP-East,2.77,639.0,Hit,811.6
950551,US-East,5.37,762.0,Miss,1522.1
950552,US-East,0.24,699.0,Miss,665.6
950553,EU-West,8.15,589.0,Hit,1844.8
950554,US-East,0.98,48.0,Miss,513.9
950555,EU-West,1.46,163.0,Hit,386.6
950556,US-East,7.92,742.0,Hit,1878.8
950557,AP-East,3.62,383.0,Hit,824.7
950558,AP-East,4.58,86.0,Hit,890.6
950559,US-East,0.61,300.0,Miss,560.8
950560,EU-West,4.41,251.0,Miss,1133.9
950561,AP-East,5.05,441.0,Hit,1135.2
950562,EU-West,3.58,178.0,Miss,975.8
950563,EU-West,2.6,173.0,Hit,544.1
950564,EU-West,7.23,51.0,Miss,1645.0
950565,AP-East,0.41,385.0,Hit,346.9
950566,EU-West,4.01,289.0,Miss,1079.7
950567,AP-East,1.21,386.0,Hit,448.8
950568,EU-West,0.64,539.0,Miss,557.7
950569,US-East,4.53,249.0,Miss,1177.1
950570,AP-East,1.21,187.0,Hit,292.4
950571,US-East,7.49,240.0,Miss,1762.6
950572,US-East,0.12,624.0,Hit,379.6
950573,AP-East,5.42,606.0,Hit,1256.8
950574,US-East,1.84,28.0,Hit,350.7
950575,AP-East,8.23,365.0,Miss,1933.1
