BuildingID,SquareFootage,HVAC_Age,BuildingType,EnergyConsumption_kWh,EnergyRating
730107,11786,23,Residential,6074.9,C
730108,6877,21,Commercial,6202.0,C
730109,22006,6,Residential,4010.8,C
730110,16020,1,Commercial,3403.4,C
730111,7865,1,Industrial,5698.1,C
730112,5572,8,Commercial,2605.7,C
730113,6884,9,Industrial,7189.2,C
730114,13220,15,Residential,4585.0,C
730115,2324,19,Commercial,4680.5,C
730116,3713,14,Commercial,4135.5,C
730117,21637,12,Residential,5278.9,C
730118,3418,12,Residential,3966.0,C
730119,31037,15,Commercial,5419.1,C
730120,10783,21,Commercial,,C
730121,8983,9,Commercial,2846.6,C
730122,12756,2,Residential,2913.1,C
730123,1285,24,Residential,5294.3,C
730124,21538,10,Residential,3878.5,C
730125,25132,19,Residential,6161.0,C
730126,10093,8,Residential,2855.3,C
730127,8323,7,Residential,2152.4,C
730128,3243,5,Residential,1342.4,C
730129,25989,19,Commercial,6215.1,C
730130,2515,5,Commercial,2685.1,C
730131,14260,4,Commercial,2579.1,C
730132,17258,7,Commercial,3889.4,C
730133,14673,6,Industrial,8117.8,C
730134,20583,20,Industrial,,C
730135,32218,13,Industrial,9978.2,C
730136,27610,16,Commercial,5669.9,C
730137,10043,6,Residential,3554.2,C
730138,4745,15,Commercial,4765.7,C
730139,3376,6,Residential,2779.8,C
730140,27179,21,Residential,7669.6,C
730141,22173,7,Residential,4057.4,C
730142,34571,4,Residential,3568.5,C
730143,15810,3,Commercial,2975.5,C
730144,15043,9,Residential,3554.1,C
730145,23481,10,Commercial,5462.0,C
730146,32056,20,Commercial,7754.3,C
730147,32522,8,Residential,4598.3,C
730148,5410,15,Residential,4264.7,C
730149,34531,11,Residential,6057.9,C
730150,8108,11,Industrial,8328.3,C
730151,2713,14,Residential,3431.1,C
730152,4592,10,Commercial,2930.3,C
730153,31405,11,Commercial,5938.7,C
730154,28197,12,Residential,5603.8,C
730155,2813,24,Residential,5603.8,C
730156,17938,21,Commercial,7558.6,C
730157,14975,11,Residential,4669.5,C
730158,3069,4,Residential,1388.0,C
730159,9259,10,Residential,3227.9,C
730160,12124,17,Commercial,5353.5,C
730161,33581,18,Residential,6170.3,C
730162,4924,1,Residential,1664.2,C
730163,22397,20,Residential,6700.7,C
730164,18948,15,Residential,5117.5,C
730165,1872,20,Commercial,4984.5,C
730166,9771,19,Residential,4538.8,C
730167,9916,10,Commercial,3301.9,C
730168,14405,24,Residential,6243.0,C
730169,3312,6,Commercial,1788.1,C
730170,29197,21,Residential,7511.0,C
730171,5262,7,Commercial,2432.3,C
730172,6771,14,Residential,,C
730173,14902,1,Commercial,1215.9,B
730174,32261,16,Residential,7115.1,C
730175,32866,15,Commercial,6515.4,C
730176,12984,1,Industrial,5463.4,C
730177,29204,4,Residential,3525.0,C
730178,24422,11,Industrial,9406.4,C
730179,8504,6,Commercial,3704.1,C
730180,12000,6,Commercial,1959.4,C
730181,34967,15,Residential,6374.7,C
730182,31201,3,Commercial,4577.4,C
730183,15969,5,Residential,2734.2,C
730184,6873,11,Residential,3385.2,C
730185,14581,9,Residential,3686.2,C
730186,23774,7,Commercial,4699.7,C
730187,22201,12,Residential,4267.2,C
730188,13346,11,Residential,3989.1,C
730189,12302,22,Commercial,6246.7,C
730190,23362,3,Commercial,3169.4,C
730191,21563,22,Residential,5524.0,C
730192,4962,21,Commercial,5758.3,C
730193,7095,6,Residential,2747.9,C
730194,29486,22,Residential,7898.4,C
730195,4041,2,Commercial,1872.3,C
730196,14381,21,Commercial,6008.5,C
730197,15432,5,Residential,3023.2,C
730198,9500,5,Commercial,2746.7,C
730199,5890,1,Residential,1638.6,C
730200,9317,18,Residential,5279.7,C
730201,25485,5,Residential,3426.9,C
730202,13644,1,Residential,2016.8,C
730203,16679,13,Commercial,4883.9,C
730204,1168,17,Residential,3795.9,C
730205,1590,11,Residential,3096.4,C
730206,13239,5,Commercial,2661.3,C
730207,32593,6,Industrial,,C
730208,20991,9,Commercial,4080.8,C
730209,2191,7,Commercial,2791.2,C
730210,15268,9,Residential,3352.4,C
730211,6269,7,Residential,2775.2,C
730212,20463,15,Industrial,9795.3,C
730213,25814,8,Residential,4091.0,C
730214,23892,4,Industrial,7683.6,C
730215,5329,20,Residential,5154.7,C
730216,3172,24,Industrial,9522.5,C
730217,20816,21,Commercial,6715.5,C
730218,15950,18,Commercial,6197.6,C
730219,1326,2,Commercial,1850.5,C
730220,7957,22,Commercial,5816.8,C
730221,18856,9,Industrial,7876.9,C
730222,26179,6,Residential,4511.3,C
730223,4097,7,Commercial,2619.5,C
730224,7253,14,Commercial,4324.5,C
730225,9731,17,Industrial,9602.0,C
730226,34990,13,Residential,6184.8,C
730227,22563,8,Residential,4638.7,C
730228,14852,16,Commercial,5038.3,C
730229,9662,20,Residential,4693.1,C
730230,4253,1,Commercial,500.0,C
730231,3644,14,Commercial,3499.5,C
730232,1547,8,Industrial,6579.0,C
730233,31659,24,Commercial,7859.5,C
730234,16647,22,Residential,6342.4,C
730235,19977,5,Residential,3366.6,C
730236,34490,3,Commercial,5185.1,C
730237,13892,24,Residential,6948.7,C
730238,29951,19,Industrial,10788.4,C
730239,15329,5,Residential,2516.0,C
730240,31622,24,Commercial,7676.3,C
730241,5578,19,Industrial,9387.3,C
730242,23713,11,Commercial,5536.0,C
730243,21983,5,Residential,3578.7,C
730244,30953,5,Residential,3488.1,C
730245,10287,16,Residential,4492.1,C
730246,16696,16,Commercial,5482.8,C
730247,16632,7,Residential,4658.5,C
730248,33172,13,Residential,5918.5,C
730249,33033,7,Residential,4963.4,C
730250,6166,23,Residential,5843.5,C
730251,20651,17,Residential,6083.9,C
730252,3187,18,Commercial,4971.0,C
730253,32032,7,Residential,4220.1,C
730254,30047,4,Residential,4255.1,C
730255,33902,3,Residential,4410.2,C
730256,21413,2,Commercial,3074.7,C
730257,27501,3,Residential,5076.7,C
730258,14537,23,Residential,6319.6,C
730259,22732,18,Residential,6529.9,C
730260,1824,12,Commercial,3321.8,C
730261,18206,13,Residential,4892.9,C
730262,31484,2,Commercial,3755.8,C
730263,6764,7,Industrial,6692.9,C
730264,26931,19,Residential,6739.9,C
730265,16759,21,Commercial,6220.1,C
730266,6599,14,Industrial,8662.5,C
730267,1668,14,Commercial,3681.1,C
730268,31085,18,Commercial,6655.2,C
730269,16195,5,Residential,2911.1,C
730270,33139,4,Commercial,5539.8,C
730271,17242,18,Residential,6076.1,C
730272,17585,11,Residential,4212.9,C
730273,9049,8,Commercial,3304.9,C
730274,14529,4,Residential,2341.3,C
730275,9206,24,Residential,6495.3,C
730276,10751,13,Residential,4839.0,C
730277,22597,2,Residential,2911.6,C
730278,5767,11,Commercial,3231.4,C
730279,33234,8,Residential,5315.9,C
730280,16798,11,Residential,4417.3,C
730281,21143,4,Residential,2986.0,C
730282,30859,3,Residential,4397.3,C
730283,27442,17,Residential,6853.2,C
730284,3116,22,Industrial,10049.7,C
730285,16956,13,Commercial,4507.7,C
730286,27737,22,Industrial,11148.9,C
730287,33630,4,Commercial,5254.3,C
730288,19639,7,Commercial,3155.2,C
730289,19000,4,Commercial,3382.0,C
730290,29585,13,Commercial,5597.5,C
730291,4757,16,Residential,3850.0,C
730292,30052,1,Industrial,7533.7,C
730293,19179,3,Residential,1578.1,B
730294,12673,3,Commercial,2683.6,C
730295,6225,17,Residential,5122.7,C
730296,10289,4,Residential,2490.6,C
730297,4302,21,Industrial,9326.9,C
730298,32172,6,Commercial,4364.3,C
730299,19438,12,Commercial,4281.2,C
730300,2219,17,Industrial,8173.9,C
730301,33347,9,Commercial,6526.7,C
730302,26408,24,Commercial,7960.4,C
730303,14575,12,Residential,5157.5,C
730304,19739,6,Residential,2568.6,C
730305,31267,1,Residential,3395.3,C
730306,2106,1,Residential,791.5,C
730307,19442,5,Residential,3415.3,C
730308,23038,15,Residential,5759.5,C
730309,8021,11,Residential,4008.8,C
730310,30321,18,Residential,7302.9,C
730311,20939,7,Commercial,3646.4,C
730312,1119,4,Commercial,2479.6,C
730313,6738,22,Commercial,6457.9,C
730314,22227,13,Residential,3996.1,C
730315,23424,18,Residential,6635.7,C
730316,28443,18,Residential,6305.0,C
730317,2031,2,Residential,2397.2,C
730318,20206,13,Residential,4958.5,C
730319,2983,15,Industrial,7966.0,C
730320,15053,16,Residential,5317.7,C
730321,21920,18,Commercial,7237.2,C
730322,5873,20,Commercial,4817.3,C
730323,5869,14,Residential,3951.9,C
730324,28761,14,Residential,5193.4,C
730325,13638,8,Residential,4084.1,C
730326,33106,3,Commercial,4202.7,C
730327,33722,20,Industrial,10631.1,C
730328,21914,17,Residential,6418.8,C
730329,7199,21,Residential,5282.3,C
730330,22883,5,Residential,3616.8,C
730331,14409,2,Industrial,6635.1,C
730332,31433,5,Commercial,4632.7,C
730333,23748,9,Residential,5279.4,C
730334,22674,21,Residential,7234.8,C
730335,6644,11,Commercial,3909.8,C
730336,9105,12,Residential,3882.9,C
730337,33395,18,Residential,6660.9,C
730338,10607,18,Residential,5200.3,C
730339,6058,17,Residential,4475.5,C
730340,7157,6,Commercial,2523.8,C
730341,24876,12,Residential,5483.0,C
730342,3635,23,Commercial,6395.9,C
730343,7290,20,Commercial,4758.1,C
730344,7371,22,Commercial,5257.5,C
730345,25229,16,Residential,5516.7,C
730346,15550,18,Residential,4941.8,C
730347,15168,13,Commercial,4949.3,C
730348,34706,18,Commercial,7243.1,C
730349,1174,14,Residential,3490.9,C
730350,32962,11,Industrial,9282.7,C
730351,4133,18,Industrial,,C
730352,25901,15,Commercial,5395.7,C
730353,34254,2,Commercial,4074.5,C
730354,1942,5,Residential,2337.1,C
730355,1390,10,Commercial,3412.2,C
730356,7501,3,Industrial,5909.0,C
730357,16298,1,Commercial,2616.4,C
730358,8795,24,Commercial,6160.1,C
730359,18835,7,Commercial,3326.1,C
730360,11084,16,Commercial,4209.6,C
730361,12398,1,Residential,2189.9,C
730362,34694,1,Residential,4564.9,C
730363,24551,7,Commercial,3246.5,C
730364,29127,15,Residential,6567.2,C
730365,24170,9,Commercial,4190.1,C
730366,20158,22,Residential,7136.8,C
730367,34933,24,Commercial,7782.3,C
730368,15236,22,Commercial,6025.9,C
730369,30083,17,Commercial,7049.0,C
730370,18044,13,Residential,,C
730371,7481,9,Industrial,6875.5,C
730372,17723,12,Residential,4101.7,C
730373,1271,18,Commercial,3904.9,C
730374,13368,24,Commercial,6280.8,C
730375,4636,22,Residential,5291.0,C
730376,6463,2,Commercial,2098.5,C
730377,34595,4,Residential,4806.6,C
730378,27295,6,Residential,3615.2,C
730379,7462,13,Industrial,7639.2,C
730380,12040,19,Residential,5944.7,C
730381,13002,17,Industrial,9092.7,C
730382,5351,22,Industrial,9088.9,C
730383,8025,1,Residential,1639.9,C
730384,30471,22,Residential,8040.7,C
730385,11460,23,Residential,5639.8,C
730386,20983,13,Residential,5134.4,C
730387,12267,19,Commercial,5645.3,C
730388,13434,19,Residential,5209.9,C
730389,30068,23,Residential,8925.6,C
730390,30612,23,Residential,7260.5,C
730391,31946,7,Residential,4432.0,C
730392,17947,1,Residential,2596.1,C
730393,8674,5,Residential,3208.9,C
730394,20611,10,Commercial,5021.7,C
730395,16025,6,Residential,3211.0,C
730396,24218,11,Commercial,4973.4,C
730397,20683,20,Commercial,6987.5,C
730398,1080,18,Commercial,3841.2,C
730399,10628,17,Commercial,5994.3,C
730400,16498,5,Commercial,3836.2,C
730401,17978,12,Commercial,4534.2,C
730402,21884,17,Residential,6069.5,C
730403,15443,2,Residential,2908.6,C
730404,31609,2,Commercial,4392.0,C
730405,4555,1,Commercial,1833.3,C
730406,10425,22,Industrial,9826.7,C
730407,33188,24,Commercial,7443.2,C
730408,17612,17,Commercial,5459.6,C
730409,19888,4,Commercial,3254.5,C
730410,18714,21,Industrial,9583.1,C
730411,6869,14,Residential,3179.4,C
730412,21624,23,Commercial,7159.9,C
730413,12831,22,Commercial,6157.5,C
730414,9977,10,Residential,3456.7,C
730415,22967,2,Residential,3516.5,C
730416,12568,24,Residential,6573.0,C
730417,14932,23,Commercial,,C
730418,4733,12,Residential,2688.4,C
730419,10330,19,Commercial,3936.2,C
730420,8916,9,Commercial,3705.9,C
730421,13608,19,Commercial,5828.8,C
730422,14726,19,Commercial,5873.0,C
730423,15154,2,Residential,2712.9,C
730424,6046,4,Commercial,1413.8,C
730425,5317,11,Commercial,3276.6,C
730426,24503,23,Residential,6720.3,C
730427,11118,8,Commercial,4081.9,C
730428,1213,19,Commercial,4115.7,C
730429,2694,2,Industrial,6053.3,C
730430,30892,10,Residential,4454.2,C
730431,25771,2,Residential,4068.1,C
730432,30285,21,Commercial,7221.5,C
730433,22935,20,Residential,6267.5,C
730434,15848,18,Residential,5948.4,C
730435,31135,4,Commercial,3570.3,C
730436,33149,24,Residential,8560.3,C
730437,12095,9,Industrial,7515.5,C
730438,21152,1,Commercial,2490.8,C
730439,26207,6,Residential,4697.5,C
730440,6084,10,Commercial,2953.8,C
730441,5719,17,Commercial,4595.0,C
730442,17385,23,Residential,7127.0,C
730443,6529,1,Residential,787.2,C
730444,7546,12,Residential,4629.0,C
730445,15451,5,Industrial,7393.1,C
730446,14467,7,Commercial,3384.2,C
730447,32596,12,Commercial,6246.0,C
730448,24923,5,Residential,3427.9,C
730449,3872,24,Commercial,5421.1,C
730450,2371,5,Commercial,2165.8,C
730451,21750,4,Commercial,2961.5,C
730452,19194,8,Commercial,3642.3,C
730453,26809,7,Commercial,4910.1,C
730454,28059,23,Residential,8442.2,C
730455,10566,2,Residential,1573.3,C
730456,32499,11,Commercial,6454.1,C
730457,13479,2,Commercial,2811.4,C
730458,31180,7,Commercial,5080.1,C
730459,22886,14,Commercial,5617.2,C
730460,9851,5,Residential,2952.7,C
730461,32578,15,Commercial,5617.8,C
730462,16354,11,Commercial,3901.9,C
730463,10982,9,Commercial,2966.6,C
730464,4413,1,Commercial,500.0,C
730465,4167,11,Commercial,3813.4,C
730466,17182,18,Commercial,4979.8,C
730467,2484,19,Industrial,7974.8,C
730468,19958,10,Residential,4420.1,C
730469,6582,15,Commercial,3463.8,C
730470,31928,3,Commercial,4013.7,C
730471,30209,15,Commercial,6760.4,C
730472,12940,19,Commercial,5470.2,C
730473,27976,4,Residential,4136.6,C
730474,25992,3,Commercial,3895.4,C
730475,22482,3,Industrial,7623.5,C
730476,24067,11,Commercial,4875.2,C
730477,7486,9,Residential,3138.1,C
730478,1884,16,Residential,4005.8,C
730479,34895,22,Residential,7809.2,C
730480,1122,7,Commercial,,C
730481,25178,19,Industrial,10079.8,C
730482,31875,5,Residential,4818.4,C
730483,4449,4,Residential,1897.7,C
730484,29590,19,Industrial,9745.4,C
730485,24292,13,Residential,5479.9,C
730486,23899,11,Industrial,9689.8,C
730487,23905,24,Commercial,7371.9,C
730488,32663,19,Residential,7123.8,C
730489,16223,14,Residential,5051.3,C
730490,2737,17,Commercial,3809.7,C
730491,4376,3,Residential,2080.3,C
730492,34523,8,Commercial,5961.3,C
730493,6943,12,Residential,3219.8,C
730494,11443,9,Industrial,7089.5,C
730495,12420,2,Commercial,2719.5,C
730496,19505,4,Residential,3079.9,C
730497,20970,22,Commercial,6519.0,C
730498,20934,8,Residential,3853.0,C
730499,8541,23,Industrial,10172.4,C
730500,8211,16,Residential,5326.7,C
730501,33468,5,Commercial,3310.5,B
730502,14395,2,Residential,2463.9,C
730503,2237,6,Industrial,5834.5,C
730504,34547,15,Commercial,6177.1,C
730505,21754,13,Commercial,5101.8,C
730506,20413,14,Residential,4857.8,C
730507,18514,1,Industrial,6852.3,C
730508,32067,10,Commercial,5880.0,C
730509,9630,18,Residential,4804.4,C
730510,26456,18,Residential,6261.9,C
730511,15525,5,Commercial,3463.4,C
730512,28944,1,Residential,4131.2,C
730513,2780,11,Commercial,2680.7,C
730514,22798,11,Residential,5051.6,C
730515,30891,5,Commercial,4257.7,C
730516,23234,18,Commercial,6173.5,C
730517,5156,22,Residential,5739.2,C
730518,10646,7,Commercial,3457.8,C
730519,23857,2,Residential,3670.8,C
730520,22080,9,Commercial,4643.0,C
730521,33858,7,Industrial,9319.7,C
730522,5081,12,Commercial,3934.9,C
730523,18203,16,Residential,5359.8,C
730524,11838,6,Commercial,3369.5,C
730525,33518,6,Commercial,4956.2,C
730526,29630,17,Residential,6931.3,C
730527,31381,3,Commercial,3402.6,C
730528,13772,22,Commercial,5355.7,C
730529,12386,2,Residential,2233.9,C
730530,30844,5,Industrial,8470.4,C
730531,15419,19,Commercial,5931.8,C
730532,18244,23,Residential,6756.5,C
730533,27170,13,Commercial,6333.1,C
730534,11789,15,Industrial,9334.4,C
730535,27123,5,Commercial,4165.7,C
730536,23755,6,Residential,3599.5,C
730537,5831,20,Commercial,5380.9,C
730538,7420,15,Commercial,4620.3,C
730539,11691,16,Commercial,5416.7,C
730540,2893,14,Industrial,7400.3,C
730541,18797,23,Commercial,6682.5,C
730542,3846,18,Commercial,5248.3,C
730543,6791,8,Industrial,5877.0,C
730544,29997,10,Commercial,5170.8,C
730545,33008,23,Commercial,7932.0,C
730546,26076,16,Commercial,6171.9,C
730547,32355,16,Residential,6514.5,C
730548,25578,13,Commercial,5616.1,C
730549,28019,15,Residential,6179.8,C
730550,33690,24,Industrial,12374.5,C
730551,20640,1,Commercial,2825.6,C
730552,27446,12,Residential,5004.5,C
730553,31223,15,Commercial,6359.4,C
730554,25732,20,Commercial,6012.6,C
730555,28297,15,Commercial,5814.2,C
730556,6215,20,Commercial,5517.7,C
730557,20505,8,Industrial,7325.6,C
730558,8627,22,Commercial,6056.4,C
730559,15754,17,Industrial,9636.0,C
730560,4741,4,Commercial,2592.2,C
730561,23306,10,Industrial,9096.3,C
730562,9725,24,Commercial,6150.0,C
730563,10682,19,Commercial,5320.1,C
730564,28532,10,Commercial,5022.3,C
730565,21137,22,Commercial,6705.7,C
730566,5803,7,Commercial,2867.8,C
730567,24188,17,Industrial,9709.6,C
730568,4840,20,Residential,5354.2,C
730569,33025,15,Commercial,6163.2,C
730570,18795,12,Residential,4072.7,C
730571,18552,13,Industrial,8879.3,C
730572,8740,9,Commercial,4107.9,C
730573,15332,14,Commercial,4238.9,C
730574,18340,10,Residential,3663.0,C
730575,30763,12,Commercial,5570.0,C
730576,6116,10,Commercial,3169.8,C
730577,13595,18,Commercial,5023.5,C
730578,9870,23,Residential,7358.2,C
730579,33748,5,Commercial,4745.0,C
730580,10511,8,Residential,3918.8,C
730581,4887,17,Residential,,C
730582,22199,2,Industrial,,C
730583,21720,15,Commercial,5267.8,C
730584,31124,9,Commercial,5041.2,C
730585,17567,22,Commercial,6390.9,C
730586,33314,17,Residential,7366.1,C
730587,12863,4,Residential,2584.9,C
730588,7918,20,Residential,4628.5,C
730589,4072,8,Commercial,2558.5,C
730590,12451,24,Residential,6439.5,C
730591,12767,14,Commercial,4625.9,C
730592,20211,13,Industrial,9903.0,C
730593,12693,19,Industrial,9504.6,C
730594,22661,21,Residential,6544.3,C
730595,28453,16,Industrial,10108.9,C
730596,10137,20,Residential,5337.5,C
730597,19441,3,Commercial,3712.4,C
730598,17487,11,Commercial,4343.4,C
730599,9687,22,Residential,6537.7,C
730600,12274,12,Commercial,3565.3,C
730601,31237,21,Commercial,6506.9,C
730602,18512,18,Residential,5389.3,C
730603,8429,23,Residential,6367.6,C
730604,21653,7,Industrial,8412.2,C
730605,23721,10,Commercial,4522.2,C
730606,20464,11,Residential,4978.0,C
730607,8827,17,Commercial,3806.0,C
730608,7236,16,Commercial,4679.5,C
730609,20574,5,Industrial,6748.3,C
730610,29859,23,Residential,7148.9,C
730611,17087,8,Commercial,3618.0,C
730612,30583,9,Residential,6120.2,C
730613,31543,10,Residential,5794.2,C
730614,1172,22,Residential,5578.4,C
730615,13635,21,Residential,6107.4,C
730616,30111,6,Industrial,8576.1,C
730617,30955,19,Industrial,11124.1,C
730618,18013,19,Residential,5642.0,C
730619,16277,24,Commercial,6167.1,C
730620,34401,1,Residential,4391.4,C
730621,6904,8,Residential,3269.7,C
730622,17392,15,Commercial,4773.3,C
730623,3991,21,Commercial,5079.3,C
730624,22162,13,Commercial,4895.9,C
730625,27307,15,Residential,5771.4,C
730626,25897,3,Residential,3025.0,C
730627,18091,21,Commercial,6231.8,C
730628,26896,10,Commercial,4427.1,C
730629,3846,20,Commercial,4480.5,C
730630,30166,7,Residential,4120.5,C
730631,8870,16,Residential,4290.1,C
730632,33566,1,Residential,3398.9,C
730633,4776,22,Residential,5705.3,C
730634,14418,1,Commercial,2380.2,C
730635,12835,20,Commercial,5957.7,C
730636,16319,22,Commercial,5776.6,C
730637,3287,4,Commercial,2123.6,C
730638,7126,9,Residential,3492.8,C
730639,13437,12,Commercial,4587.6,C
730640,24379,12,Residential,4946.1,C
730641,19095,22,Industrial,10173.4,C
730642,8837,10,Residential,3150.1,C
730643,17070,13,Residential,4983.3,C
730644,30517,12,Residential,5206.8,C
730645,7509,14,Commercial,4365.1,C
730646,8568,24,Residential,6035.9,C
730647,29439,24,Residential,7614.4,C
730648,20784,11,Commercial,4906.6,C
730649,14031,8,Residential,3820.2,C
730650,9943,17,Commercial,4962.3,C
730651,20666,19,Residential,6193.5,C
730652,30007,21,Commercial,7679.7,C
730653,22831,8,Commercial,4450.6,C
730654,31408,7,Commercial,5173.4,C
730655,32209,1,Commercial,3806.4,C
730656,20786,16,Residential,6191.8,C
730657,23118,7,Commercial,3590.3,C
730658,16756,13,Residential,5071.2,C
730659,9744,24,Residential,6437.1,C
730660,27906,4,Residential,4338.0,C
730661,14825,22,Commercial,6114.4,C
730662,13610,7,Residential,2278.2,C
730663,32205,19,Commercial,6879.7,C
730664,8962,1,Residential,2242.1,C
730665,1394,14,Commercial,4284.8,C
730666,28930,9,Commercial,3697.8,C
730667,24299,4,Residential,4263.2,C
730668,34546,23,Residential,8172.5,C
730669,11274,13,Residential,3528.0,C
730670,9513,20,Commercial,5646.8,C
730671,23658,4,Commercial,3895.7,C
730672,7883,15,Residential,4836.5,C
730673,15060,5,Residential,2649.0,C
730674,13023,9,Commercial,3868.9,C
730675,23626,13,Residential,4921.7,C
730676,34723,21,Commercial,6651.2,C
730677,14158,13,Commercial,5043.0,C
730678,33339,22,Commercial,7805.4,C
730679,27518,13,Commercial,5537.3,C
730680,26132,21,Commercial,7028.7,C
730681,17765,3,Commercial,2615.1,C
730682,10003,11,Residential,4055.2,C
730683,32874,6,Residential,4083.2,C
730684,24256,13,Industrial,8345.8,C
730685,19338,3,Commercial,3390.6,C
730686,12410,15,Residential,5060.4,C
730687,3186,9,Commercial,3712.5,C
730688,23432,8,Residential,4983.3,C
730689,27900,14,Commercial,5691.8,C
730690,34327,13,Commercial,6075.7,C
730691,25502,21,Commercial,7244.1,C
730692,6907,6,Industrial,7493.0,C
730693,1444,12,Commercial,2861.1,C
730694,30110,18,Commercial,5853.7,C
730695,27349,23,Residential,7550.7,C
730696,5998,2,Commercial,2250.8,C
730697,21342,15,Commercial,6136.0,C
730698,10899,19,Residential,5779.1,C
730699,15867,15,Industrial,8581.3,C
730700,2044,11,Commercial,2719.9,C
730701,7703,24,Commercial,5982.8,C
730702,6005,16,Residential,4543.5,C
730703,9194,11,Commercial,3462.1,C
730704,5761,9,Industrial,6885.3,C
730705,34228,9,Commercial,5572.7,C
730706,15908,9,Commercial,3892.5,C
730707,9092,10,Commercial,3301.8,C
730708,14861,15,Commercial,5055.3,C
730709,1050,20,Residential,6053.7,C
730710,3676,8,Commercial,2603.0,C
730711,10192,22,Industrial,9707.7,C
730712,18266,4,Commercial,3834.5,C
