StudentID,VideoDuration_Mins,PauseCount,SpeedMultiplier,QuizScore,CompletionRate
920120,7.4,9,1.0,65,67.1
920121,26.6,3,1.25,85,89.4
920122,30.5,8,1.0,68,77.1
920123,9.1,9,1.0,58,66.8
920124,19.7,8,1.5,56,69.4
920125,51.2,3,1.0,79,75.1
920126,9.7,11,1.25,57,61.0
920127,59.3,8,1.25,50,56.6
920128,51.4,11,1.25,51,55.4
920129,7.5,5,1.0,68,81.0
920130,51.3,10,1.5,54,57.5
920131,43.2,1,1.0,73,81.3
920132,36.8,9,1.0,59,62.8
920133,35.7,10,1.0,57,60.6
920134,14.9,9,1.0,63,65.9
920135,14.4,6,1.25,67,74.0
920136,9.0,2,1.0,76,91.0
920137,10.6,11,1.0,65,64.6
920138,30.8,0,1.5,65,75.7
920139,29.2,7,1.0,62,66.9
920140,29.2,7,1.0,66,57.1
920141,58.5,7,1.0,64,62.3
920142,29.0,9,1.0,45,57.3
920143,25.5,5,1.0,75,75.3
920144,40.9,10,2.0,64,59.0
920145,8.3,11,1.0,60,61.1
920146,33.1,9,1.0,57,63.3
920147,35.6,4,1.5,59,66.3
920148,49.0,9,1.0,51,59.4
920149,26.3,2,1.0,72,82.8
920150,24.9,9,1.0,61,64.4
920151,19.6,8,1.0,63,70.1
920152,35.6,4,1.5,68,77.1
920153,15.5,0,1.0,89,92.9
920154,35.9,11,1.0,47,52.8
920155,55.9,11,2.0,36,47.4
920156,8.4,2,1.25,87,90.8
920157,13.6,1,1.0,93,95.7
920158,28.1,7,1.25,60,68.7
920159,46.8,8,1.0,42,56.2
920160,8.0,4,1.0,80,82.4
920161,30.6,4,1.0,62,76.2
920162,20.2,4,1.0,74,82.1
920163,33.3,6,1.25,51,64.2
920164,40.5,10,2.0,54,52.2
920165,45.4,3,1.0,79,82.6
920166,16.1,8,2.0,61,64.9
920167,7.7,11,1.5,55,63.5
920168,21.4,9,1.0,58,69.6
920169,51.9,4,1.5,63,71.9
920170,41.8,1,1.25,69,80.8
920171,50.7,4,1.0,57,63.6
920172,46.0,1,1.0,56,76.7
920173,27.4,3,1.0,90,84.8
920174,39.2,9,1.25,60,60.5
920175,38.8,4,1.0,62,70.0
920176,28.9,1,1.0,76,86.6
920177,49.6,4,1.0,58,70.8
920178,57.9,1,1.0,68,75.8
920179,10.7,10,1.5,68,75.4
920180,5.5,4,1.0,62,76.5
920181,43.1,0,1.0,74,90.2
920182,55.2,5,1.0,56,62.5
920183,25.6,5,1.25,66,70.6
920184,29.9,1,2.0,76,81.3
920185,58.6,10,1.5,51,53.5
920186,36.9,0,1.0,65,78.7
920187,54.1,8,1.0,49,61.7
920188,27.4,9,1.0,44,61.6
920189,47.9,4,1.0,59,71.4
920190,27.7,2,1.0,80,85.1
920191,39.8,0,1.0,70,83.1
920192,6.0,3,1.0,64,80.0
920193,13.9,8,1.0,55,60.8
920194,14.2,8,1.0,69,73.8
920195,58.4,9,1.0,51,49.4
920196,9.2,8,1.0,73,73.5
920197,11.5,0,1.0,91,96.8
920198,16.4,11,1.0,55,62.8
920199,16.1,6,1.5,65,70.9
920200,49.6,0,1.5,72,80.9
920201,23.4,3,1.0,72,81.5
920202,48.8,11,1.25,42,48.6
920203,19.4,4,1.0,68,82.3
920204,20.7,9,2.0,63,69.4
920205,51.6,3,1.0,66,73.3
920206,31.7,3,1.0,57,71.3
920207,16.6,0,1.5,71,84.5
920208,40.9,0,1.0,76,80.7
920209,28.1,4,1.0,71,72.5
920210,46.9,9,1.25,54,59.6
920211,57.2,0,1.0,75,82.1
920212,8.5,9,1.25,51,60.5
920213,51.9,10,1.0,47,64.7
920214,27.2,1,1.0,70,85.0
920215,24.9,5,1.0,75,73.5
920216,24.7,11,1.0,50,58.4
920217,10.3,5,1.0,62,74.4
920218,56.9,11,1.25,40,50.4
920219,56.8,3,1.0,66,65.1
920220,22.3,6,1.0,68,74.2
920221,17.3,7,2.0,62,69.0
920222,48.2,1,1.5,66,79.3
920223,31.5,3,1.0,59,72.0
920224,58.4,9,1.0,36,43.6
920225,53.7,2,1.0,67,72.6
920226,47.1,7,1.5,60,65.8
920227,18.7,2,1.0,74,83.0
920228,38.8,4,1.0,77,76.4
920229,5.7,6,1.25,69,77.4
920230,40.8,5,1.0,66,72.1
920231,56.2,11,1.0,49,52.5
920232,18.5,7,1.0,57,71.5
920233,7.6,9,1.0,64,74.1
920234,25.6,0,1.0,82,90.9
920235,59.0,3,1.0,66,68.4
920236,7.3,0,1.25,87,98.3
920237,40.3,11,1.25,50,59.2
920238,10.5,1,1.0,82,87.0
920239,20.6,5,1.0,68,76.7
920240,35.6,10,1.0,52,59.9
920241,35.3,4,1.0,55,74.3
920242,47.9,9,1.25,48,50.5
920243,31.1,7,1.25,70,70.0
920244,19.0,10,1.0,61,66.7
920245,14.4,4,1.0,73,83.8
920246,53.9,10,1.0,42,48.2
920247,13.2,11,1.0,54,59.6
920248,8.0,6,1.25,65,75.1
920249,37.8,11,2.0,47,52.8
920250,13.5,5,1.0,67,73.0
920251,55.1,9,1.0,58,62.3
920252,19.0,2,1.0,85,92.9
920253,8.2,5,1.0,65,82.0
920254,42.5,4,1.0,56,65.8
920255,43.6,8,1.0,61,66.6
920256,36.0,2,1.0,69,84.5
920257,8.6,10,1.0,59,70.4
920258,35.9,11,1.0,56,57.3
920259,26.4,11,1.0,56,60.9
920260,31.4,11,1.0,59,55.2
920261,42.5,0,2.0,68,81.3
920262,15.6,11,1.0,60,67.0
920263,23.4,10,1.0,47,56.5
920264,36.8,4,1.0,64,80.2
920265,20.4,9,1.25,60,66.5
920266,43.9,9,1.0,68,64.1
920267,11.4,10,1.0,59,72.8
920268,12.6,8,1.0,53,67.4
920269,17.0,7,1.5,64,69.4
920270,22.1,11,1.0,65,60.9
920271,5.5,6,1.5,73,80.3
920272,44.3,8,1.0,54,58.4
920273,11.1,6,1.0,59,70.4
920274,19.3,1,1.0,78,84.1
920275,9.2,0,1.0,76,88.6
920276,26.7,7,1.0,59,70.5
920277,15.9,1,1.0,79,91.3
920278,19.9,6,1.0,66,67.8
920279,32.7,6,1.25,69,72.5
920280,21.3,5,1.5,67,73.8
920281,40.9,8,1.0,52,57.9
920282,16.9,2,1.25,80,87.9
920283,12.7,7,1.0,70,77.7
920284,52.6,6,2.0,46,60.3
920285,18.5,2,1.0,79,81.3
920286,25.5,7,1.5,68,70.6
920287,59.5,2,1.0,71,75.3
920288,55.3,7,1.0,49,55.0
920289,22.5,9,1.0,64,64.0
920290,36.2,8,1.25,58,59.8
920291,35.1,4,2.0,61,65.6
920292,51.9,4,1.5,73,74.5
920293,19.0,7,1.5,48,60.1
920294,30.9,1,1.0,77,87.0
920295,57.5,7,1.0,53,57.6
920296,54.1,11,1.5,48,55.4
920297,47.5,2,1.0,70,82.4
920298,20.7,6,1.0,58,68.7
920299,52.4,10,1.0,50,53.3
920300,44.9,0,1.5,65,79.5
920301,31.2,2,1.0,64,79.9
920302,24.0,10,1.0,54,58.2
920303,49.7,2,1.0,74,82.2
920304,24.2,5,1.0,54,72.0
920305,50.9,8,1.0,51,57.0
920306,24.4,2,1.25,79,80.1
920307,32.4,1,1.25,68,82.4
920308,25.7,1,1.0,91,87.2
920309,10.6,1,1.0,75,86.0
920310,8.4,10,1.0,68,69.1
920311,43.1,7,1.0,56,64.8
920312,57.1,11,1.5,46,49.1
920313,18.6,4,1.0,67,84.2
920314,8.6,8,1.0,58,65.6
920315,13.2,11,1.25,49,58.0
920316,19.5,4,1.0,59,66.1
920317,43.2,11,1.0,48,54.4
920318,59.2,11,1.0,45,50.1
920319,15.6,6,1.0,64,73.2
920320,44.9,11,1.0,56,60.1
920321,47.5,8,1.0,63,67.9
920322,32.5,11,1.5,51,57.9
920323,48.3,3,2.0,74,80.0
920324,22.4,10,1.25,52,59.8
920325,33.7,10,1.0,53,61.6
920326,25.6,6,1.0,54,74.9
920327,17.7,0,1.0,77,90.4
920328,38.0,4,1.0,77,75.5
920329,21.2,7,1.25,57,70.2
920330,27.6,1,1.25,68,82.8
920331,33.2,0,1.0,81,87.8
920332,39.0,3,1.25,67,80.8
920333,27.9,6,1.0,73,73.7
920334,26.0,11,1.0,53,57.3
920335,55.3,6,1.0,67,73.2
920336,14.6,11,1.0,49,62.8
920337,53.6,0,1.0,74,77.8
920338,29.0,10,1.0,54,61.8
920339,28.7,10,1.0,56,60.1
920340,36.8,0,1.0,86,88.8
920341,20.3,6,1.0,64,73.1
920342,20.1,8,1.25,69,66.4
920343,43.7,5,1.0,72,77.0
920344,39.6,0,1.5,77,85.6
920345,26.3,1,1.0,70,86.0
920346,23.5,0,1.0,78,83.3
920347,5.7,3,1.5,77,86.7
920348,34.0,3,2.0,61,75.0
920349,33.1,8,1.0,60,68.1
920350,33.7,6,1.25,66,67.4
920351,28.6,2,1.0,74,77.1
920352,38.9,2,1.0,73,80.4
920353,6.2,8,1.0,64,68.7
920354,48.0,5,1.0,64,72.5
920355,32.3,4,1.0,73,76.4
920356,35.7,8,1.0,59,67.1
920357,13.0,8,1.0,64,71.8
920358,7.0,3,1.0,80,87.6
920359,47.5,9,1.0,53,58.6
920360,38.9,9,1.0,45,58.3
920361,44.7,1,1.25,61,76.4
920362,17.5,5,1.5,65,77.6
920363,43.1,9,1.5,45,59.0
920364,28.2,11,1.0,46,53.9
920365,29.3,11,1.0,51,54.1
920366,11.0,11,1.0,63,65.6
920367,51.0,11,1.0,49,51.1
920368,17.5,3,1.25,71,84.9
920369,49.9,3,1.0,79,75.7
920370,35.4,10,1.0,55,56.7
920371,25.5,2,1.0,63,75.8
920372,30.3,4,1.0,77,77.5
920373,13.1,7,1.0,68,77.7
920374,47.6,5,1.0,62,67.8
920375,49.9,7,1.0,69,69.0
920376,37.3,7,1.25,49,62.9
920377,57.6,11,2.0,57,58.9
920378,42.0,9,1.5,59,64.8
920379,45.2,4,2.0,61,66.7
920380,36.9,4,1.0,57,67.2
920381,10.8,7,2.0,55,69.8
920382,34.8,8,1.0,63,63.2
920383,57.1,3,1.0,68,75.2
920384,50.8,0,1.5,72,77.6
920385,12.3,5,1.0,87,87.9
920386,39.1,3,1.25,60,74.0
920387,37.3,2,1.0,54,73.3
920388,58.8,4,1.0,63,68.9
920389,21.5,10,1.0,53,59.6
920390,45.5,3,1.0,65,71.4
920391,7.4,7,1.0,60,70.1
920392,55.9,11,1.0,49,50.0
920393,59.7,10,1.0,41,55.8
920394,32.3,6,1.0,66,73.7
920395,40.2,10,1.0,46,50.4
920396,30.0,9,2.0,59,65.9
920397,58.6,1,1.0,63,74.3
920398,23.2,7,1.25,57,61.0
920399,7.2,1,1.0,77,88.7
920400,56.4,10,1.0,56,59.8
920401,56.3,2,1.5,73,73.0
920402,21.6,9,1.25,62,62.5
920403,48.9,3,1.0,53,70.3
920404,34.5,0,1.0,75,88.4
920405,34.4,3,2.0,64,68.7
920406,19.7,8,1.0,68,75.0
920407,9.7,6,1.0,71,79.0
920408,51.2,9,1.25,46,53.2
920409,9.1,10,1.0,51,65.1
920410,50.6,4,1.0,69,72.5
920411,10.7,0,1.0,83,94.2
920412,45.2,2,1.25,64,75.0
920413,31.4,6,1.0,62,76.1
920414,43.6,7,1.0,68,69.0
920415,25.7,6,1.25,67,74.1
920416,20.3,4,1.25,70,76.5
920417,59.4,11,1.5,38,47.7
920418,33.9,7,1.5,63,65.6
920419,15.3,6,,73,81.6
920420,21.6,2,1.0,66,76.4
920421,29.5,6,1.25,66,69.4
920422,26.6,11,1.0,57,62.9
920423,36.4,0,1.0,75,84.3
920424,45.8,0,1.0,67,83.6
920425,46.6,7,1.5,50,55.4
920426,8.2,3,1.25,78,87.4
920427,35.1,5,1.25,68,68.0
920428,29.9,6,1.0,61,69.3
920429,19.3,4,2.0,72,79.4
920430,33.9,10,1.0,50,63.3
920431,6.7,10,1.0,62,69.6
920432,18.2,11,2.0,51,59.4
920433,52.0,6,1.0,54,66.1
920434,44.5,11,1.0,36,49.2
920435,37.4,5,2.0,55,68.7
920436,49.4,10,1.25,56,61.9
920437,36.2,10,1.25,50,64.3
920438,42.9,0,1.0,70,83.9
920439,31.2,5,1.5,60,76.0
920440,48.8,0,1.0,78,82.5
920441,9.7,1,1.0,79,90.3
920442,53.7,3,1.0,69,68.7
920443,20.7,10,1.0,61,63.3
920444,31.1,7,1.0,64,68.0
920445,28.0,6,1.25,60,69.5
920446,55.2,2,1.25,75,74.8
920447,9.3,10,1.0,58,66.5
920448,30.2,9,1.0,60,65.4
920449,30.9,1,1.5,66,81.1
920450,52.5,8,1.0,55,53.8
920451,28.2,2,1.0,80,83.7
920452,54.4,2,1.0,66,73.7
920453,43.3,10,1.0,52,58.6
920454,11.3,5,1.0,75,82.8
920455,53.4,6,1.25,52,59.4
920456,36.2,6,1.25,63,68.8
920457,26.7,3,1.0,75,83.3
920458,34.6,8,1.0,64,69.6
920459,38.5,4,1.0,71,74.1
920460,16.6,4,1.0,68,77.6
920461,27.4,0,1.25,88,91.0
920462,43.6,3,1.0,63,73.2
920463,14.6,2,1.0,67,79.6
920464,38.3,1,1.25,81,79.4
920465,15.6,10,1.0,52,59.7
920466,45.6,6,1.0,55,61.3
920467,39.4,8,1.0,62,63.5
920468,42.5,3,1.0,62,70.3
920469,42.3,3,1.0,67,80.4
920470,30.9,10,1.5,51,60.0
920471,44.2,0,1.0,70,84.0
920472,23.1,6,1.0,60,65.8
920473,52.2,5,1.0,65,71.8
920474,38.8,9,1.25,59,66.0
920475,49.5,6,1.5,52,59.8
920476,31.7,3,1.0,73,80.0
920477,14.2,8,1.0,54,68.5
920478,10.7,8,1.0,59,65.9
920479,38.8,2,1.0,67,77.6
920480,17.6,7,1.0,65,74.7
920481,21.7,0,1.0,83,81.1
920482,6.7,10,1.0,57,60.5
920483,14.5,10,1.0,57,66.0
920484,25.6,1,1.0,79,85.6
920485,12.1,1,1.25,90,98.1
920486,56.8,6,1.0,52,54.6
920487,15.5,0,1.0,77,86.0
920488,59.6,8,1.0,55,56.2
920489,57.7,8,1.0,56,59.7
920490,39.2,4,1.0,65,71.1
920491,57.5,9,1.5,48,53.0
920492,31.6,2,1.0,68,81.5
920493,29.2,5,1.0,67,77.2
920494,19.7,5,1.0,68,73.5
920495,43.2,6,1.0,59,63.3
920496,28.1,4,1.0,66,76.0
920497,41.0,3,1.0,68,77.7
920498,41.1,6,1.0,56,67.3
920499,30.7,0,1.0,72,81.8
920500,35.6,6,1.0,54,59.6
920501,52.1,3,1.0,71,78.0
920502,10.1,5,1.0,70,75.8
920503,25.4,11,1.0,55,65.4
920504,14.2,9,1.0,61,71.2
920505,39.6,8,1.25,48,59.7
920506,29.2,8,2.0,67,70.1
920507,14.2,7,1.0,75,77.8
920508,32.8,6,1.0,59,69.6
920509,45.4,6,1.0,68,63.6
920510,16.1,6,1.0,65,72.3
920511,29.7,2,1.0,78,87.6
920512,14.9,5,2.0,67,79.7
920513,46.6,1,1.0,67,81.7
920514,13.1,9,1.5,71,71.5
920515,51.1,5,1.0,71,75.7
920516,13.4,5,1.0,68,73.9
920517,9.4,7,1.0,64,72.6
920518,20.9,9,2.0,56,64.0
920519,7.9,5,1.0,66,75.4
920520,14.6,0,1.0,72,87.5
920521,13.4,4,1.0,68,77.5
920522,12.3,2,1.25,75,82.1
920523,34.2,4,1.0,68,71.7
920524,43.1,3,1.0,60,69.9
920525,37.9,3,1.0,71,83.3
920526,47.8,4,1.25,60,66.8
920527,59.2,10,1.25,47,51.9
920528,36.5,1,1.25,80,84.7
920529,58.8,4,1.0,57,66.9
920530,24.5,1,1.0,83,85.4
920531,54.8,6,1.0,44,59.1
920532,15.8,5,1.25,71,80.9
920533,8.2,4,1.0,77,81.5
920534,56.0,3,1.0,75,72.8
920535,20.8,1,1.25,75,82.7
920536,5.5,11,1.25,51,65.6
920537,37.6,9,,51,56.2
920538,7.7,1,1.0,70,91.4
920539,19.9,3,1.0,72,76.8
920540,48.2,1,1.5,70,82.0
920541,27.1,10,1.0,60,53.5
920542,34.1,1,1.25,71,82.7
920543,35.5,11,1.0,58,54.6
920544,18.1,11,,60,59.6
920545,49.1,7,1.5,51,59.9
920546,31.3,3,1.0,61,74.9
920547,29.3,6,2.0,65,67.5
920548,58.4,9,1.0,51,64.2
920549,22.3,8,1.0,60,74.0
920550,52.2,0,1.0,74,75.6
920551,24.8,2,1.0,84,84.9
920552,57.9,11,2.0,45,53.4
920553,45.9,4,1.0,62,64.8
920554,11.3,6,1.0,76,82.8
920555,18.9,3,1.0,71,90.3
920556,14.2,0,1.0,80,94.2
920557,30.8,4,2.0,70,78.2
920558,7.5,4,1.25,76,85.5
920559,46.5,11,1.0,37,50.2
920560,47.4,2,1.5,61,70.0
920561,51.7,1,1.0,63,71.3
920562,48.9,1,1.0,63,75.6
920563,49.2,8,1.0,64,64.7
920564,38.1,7,1.0,61,67.7
920565,45.9,2,1.0,74,77.9
920566,38.9,7,1.25,55,60.7
920567,53.9,11,1.5,52,57.4
920568,14.6,10,1.0,51,62.1
920569,5.9,5,1.25,75,84.5
920570,54.5,0,1.0,81,77.7
920571,51.4,6,1.0,58,65.8
920572,17.3,4,1.0,69,75.5
920573,7.3,6,1.0,79,84.5
920574,14.0,8,1.0,66,66.1
920575,26.6,10,1.0,52,60.0
920576,55.1,5,1.5,56,64.6
920577,20.4,3,1.0,71,80.4
920578,36.8,4,1.0,64,72.8
920579,35.3,11,1.0,51,52.3
920580,22.6,8,1.25,59,69.7
920581,13.2,6,1.25,66,75.7
920582,16.5,7,1.25,65,70.8
920583,35.0,9,1.0,55,60.2
920584,6.5,3,1.0,79,87.3
920585,19.8,11,1.0,52,63.0
920586,27.4,11,1.0,55,56.9
920587,22.5,4,1.5,72,81.5
920588,36.7,7,1.0,54,58.1
920589,36.8,8,1.0,47,64.6
920590,5.3,5,2.0,62,73.2
920591,46.5,9,1.25,56,61.6
920592,44.0,11,1.0,58,58.5
920593,29.1,11,1.0,50,59.3
920594,14.2,7,1.0,69,74.1
920595,21.2,9,1.0,52,65.8
920596,8.3,1,1.0,76,94.9
920597,31.9,6,1.0,58,65.4
920598,58.3,3,1.0,71,73.8
920599,57.0,1,1.0,62,77.8
920600,8.1,5,1.25,65,78.3
920601,15.6,6,1.0,70,73.8
920602,27.1,6,1.0,66,69.0
920603,8.3,7,1.0,66,73.6
920604,49.9,10,1.25,44,51.0
920605,50.5,0,1.0,69,76.4
920606,54.0,3,1.0,77,76.5
920607,13.7,11,1.5,63,70.5
920608,19.9,0,1.0,86,89.3
920609,38.8,5,1.0,64,63.5
920610,59.0,1,1.0,82,83.2
920611,49.2,11,1.0,41,51.4
920612,10.6,9,1.0,59,68.2
920613,30.3,1,1.0,62,81.7
920614,12.9,6,1.0,67,73.0
920615,37.5,8,1.0,59,61.4
920616,15.5,1,1.0,84,89.1
920617,17.2,8,1.0,69,69.2
920618,59.9,9,1.5,47,56.0
920619,59.9,2,1.25,54,66.7
920620,28.0,4,1.0,64,68.5
920621,50.6,2,2.0,65,75.6
920622,7.6,2,1.0,71,84.0
920623,25.3,2,1.0,78,87.3
920624,46.7,0,1.0,76,81.6
920625,34.2,6,1.0,69,72.4
920626,37.3,2,1.0,72,76.8
920627,38.0,2,1.0,68,77.5
920628,21.9,2,1.0,65,86.0
920629,10.4,11,1.25,63,72.3
920630,47.5,2,1.0,62,77.7
920631,8.4,1,1.25,76,87.2
920632,6.6,7,1.0,68,78.8
920633,55.1,5,1.0,58,71.8
920634,14.1,6,1.0,66,75.9
920635,51.8,2,1.0,69,75.5
920636,26.2,8,1.0,62,69.6
920637,50.4,9,1.0,64,58.7
920638,20.8,9,1.0,67,69.9
920639,16.4,3,1.0,72,87.7
920640,9.8,7,1.0,77,82.4
920641,58.2,6,1.5,53,64.7
920642,34.7,6,1.0,71,76.6
920643,44.2,8,1.0,53,59.6
920644,25.2,2,1.0,71,79.9
920645,36.4,3,1.5,57,72.5
920646,32.5,8,1.0,58,68.9
920647,48.4,7,1.0,60,64.7
920648,23.7,4,1.0,74,79.1
920649,30.2,7,1.0,58,67.5
920650,13.5,2,1.0,74,84.8
920651,33.3,3,1.0,87,82.9
920652,15.6,11,1.0,63,68.1
920653,10.8,5,,67,75.3
920654,33.7,6,1.0,68,71.7
920655,33.4,0,1.0,83,89.4
920656,59.8,3,1.0,61,75.3
920657,14.3,6,1.0,63,74.3
920658,58.7,7,1.25,55,63.8
920659,53.0,5,1.0,52,62.1
920660,50.6,1,1.0,78,79.0
920661,8.0,10,2.0,61,63.2
920662,55.2,5,1.0,65,72.2
920663,10.5,5,1.0,70,75.5
920664,26.6,6,1.0,72,73.7
920665,57.8,1,1.0,69,81.4
920666,20.6,11,1.0,56,63.3
920667,22.8,10,1.0,59,61.8
920668,40.6,2,1.0,62,75.5
920669,23.2,9,1.0,64,72.6
920670,12.5,5,1.0,67,72.3
920671,6.6,3,1.0,74,83.9
920672,12.6,3,1.0,74,82.5
920673,11.0,2,1.0,71,84.2
920674,43.1,6,1.0,53,65.6
920675,26.9,3,1.0,69,81.4
920676,37.4,3,1.25,61,76.8
920677,37.7,7,1.0,57,61.3
920678,41.9,0,1.0,86,87.4
920679,7.4,1,1.5,72,84.9
920680,15.8,10,1.25,65,68.4
920681,57.1,10,1.25,59,58.7
920682,7.2,4,1.25,76,78.0
920683,6.4,0,2.0,94,99.3
920684,37.5,0,1.0,69,74.3
920685,51.1,8,1.0,47,53.9
920686,41.4,0,2.0,69,79.9
920687,29.2,9,1.0,66,63.3
920688,12.9,10,1.0,50,58.8
920689,40.9,1,1.0,76,81.2
920690,14.5,3,1.0,87,90.5
920691,17.1,11,1.0,63,60.1
920692,58.7,6,1.0,47,65.0
920693,15.9,4,1.5,69,75.8
920694,9.9,7,1.0,67,78.7
920695,50.0,11,1.25,59,58.4
920696,34.4,2,1.0,71,81.3
920697,13.4,1,2.0,77,85.5
920698,20.4,11,1.25,56,65.1
920699,15.3,7,1.0,68,73.9
920700,14.8,4,1.0,79,80.2
920701,31.5,8,1.0,63,68.4
920702,36.7,6,1.0,64,67.8
920703,52.5,0,1.0,67,76.6
920704,54.8,2,1.25,55,69.2
920705,49.2,2,1.25,62,73.9
920706,42.5,3,1.25,71,77.2
920707,49.4,7,1.25,57,65.5
920708,46.9,0,1.25,69,78.1
920709,47.7,8,1.0,47,55.5
920710,48.5,6,1.0,65,73.6
920711,57.5,4,1.0,58,65.2
920712,45.9,11,2.0,49,61.5
920713,40.4,11,1.0,57,56.3
920714,34.3,11,1.0,47,55.8
920715,37.2,1,1.25,74,79.0
920716,30.3,1,1.0,77,89.2
920717,48.5,10,1.0,49,55.4
920718,33.4,0,1.0,73,84.6
920719,16.9,11,1.0,52,58.4
920720,29.9,8,1.0,55,70.4
920721,16.2,2,1.0,75,85.6
920722,40.1,8,1.0,53,62.7
920723,32.9,9,1.25,55,61.2
920724,56.3,5,1.0,57,65.3
920725,46.4,11,1.5,42,49.9
920726,26.7,10,1.0,55,62.4
920727,29.9,2,1.0,78,90.6
920728,13.3,0,1.0,84,93.7
920729,50.7,2,1.0,67,74.6
920730,7.5,8,1.0,59,69.1
920731,28.6,10,1.0,58,59.7
920732,27.6,1,1.0,77,85.5
920733,45.8,9,1.0,42,57.2
