RideID,InclineRatio_Percent,RiderWeight_Kg,SpeedKmh,BatteryDrainRate_Percent,HighDrainRisk
1370056,23.3,111.1,12.0,32.2,0
1370057,59.7,85.9,12.2,52.7,0
1370058,22.7,110.3,9.5,27.1,0
1370059,43.6,100.8,3.0,50.6,0
1370060,30.7,103.4,5.2,27.4,1
1370061,39.2,48.4,14.8,70.0,0
1370062,56.2,110.3,8.7,53.2,1
1370063,32.8,84.6,2.9,55.2,1
1370064,45.4,110.7,15.9,44.5,0
1370065,42.7,99.2,18.3,35.1,1
1370066,74.7,113.3,16.5,73.0,1
1370067,70.4,104.7,1.0,34.2,0
1370068,37.7,79.2,17.5,32.8,0
1370069,43.4,136.3,14.1,44.4,0
1370070,53.1,120.4,12.1,60.0,1
1370071,48.0,79.7,1.8,36.2,1
1370072,41.1,91.9,11.8,36.9,0
1370073,45.4,58.0,5.9,64.6,1
1370074,33.6,57.4,9.4,37.8,1
1370075,60.2,112.5,14.3,19.2,1
1370076,46.2,115.9,9.9,72.6,1
1370077,49.4,149.6,21.1,64.4,0
1370078,36.5,98.4,15.0,11.9,1
1370079,44.1,131.9,9.8,45.8,0
1370080,29.6,94.8,9.3,49.2,1
1370081,36.8,115.6,9.7,50.1,0
1370082,44.3,138.9,16.2,42.0,0
1370083,62.8,94.9,1.0,50.4,0
1370084,47.4,118.8,20.0,50.1,0
1370085,37.5,59.0,1.0,38.0,0
1370086,39.6,77.5,10.8,55.6,0
1370087,42.6,75.3,9.1,44.3,0
1370088,67.3,158.2,14.5,47.9,1
1370089,40.6,108.8,13.2,58.8,0
1370090,52.9,87.9,11.7,33.0,0
1370091,,158.7,10.6,14.0,1
1370092,37.1,119.0,22.1,50.1,0
1370093,50.8,49.7,7.7,41.8,1
1370094,,141.8,5.1,17.9,1
1370095,44.3,115.3,13.5,37.7,1
1370096,27.8,76.6,17.3,65.7,1
1370097,50.4,99.5,17.1,34.8,0
1370098,68.5,54.5,21.3,42.4,1
1370099,40.8,103.6,10.5,50.9,1
1370100,24.9,111.4,17.5,43.3,0
1370101,52.6,121.3,12.4,26.8,0
1370102,46.7,107.6,11.7,32.9,1
1370103,46.8,107.9,16.4,54.5,1
1370104,14.3,75.1,15.4,66.6,1
1370105,56.8,135.7,12.5,41.1,0
1370106,38.1,121.0,10.6,39.5,1
1370107,42.6,121.8,19.2,43.6,0
1370108,61.6,114.9,4.1,48.1,0
1370109,29.2,92.5,11.5,38.0,1
1370110,25.1,93.8,6.1,54.4,1
1370111,41.2,108.8,8.6,21.8,0
1370112,21.0,76.0,15.0,41.8,0
1370113,39.8,84.8,18.9,35.7,1
1370114,43.9,93.6,9.0,43.0,1
1370115,60.9,136.6,16.3,57.1,1
1370116,50.0,116.7,12.2,45.1,1
1370117,55.9,90.9,7.9,35.1,0
1370118,34.2,92.1,11.7,53.5,0
1370119,61.7,135.1,12.6,61.5,1
1370120,69.0,83.9,18.2,55.8,1
1370121,44.9,103.2,15.5,26.2,1
1370122,49.5,124.9,11.5,53.9,0
1370123,37.2,89.5,19.2,45.1,0
1370124,47.3,76.1,20.0,37.9,1
1370125,41.6,148.7,16.0,64.1,1
1370126,13.2,83.6,7.4,14.6,1
1370127,54.1,123.2,13.1,45.3,0
1370128,29.9,145.8,14.6,51.6,1
1370129,32.0,116.4,14.1,46.4,0
1370130,42.6,77.4,3.9,66.8,1
1370131,40.2,90.6,11.1,24.7,0
1370132,43.0,73.6,4.7,48.2,1
1370133,26.0,137.4,4.1,29.9,1
1370134,64.4,99.8,17.2,71.6,1
1370135,48.9,87.2,14.9,57.1,0
1370136,54.3,107.7,22.6,27.6,0
1370137,45.8,115.3,12.7,36.1,1
1370138,56.4,96.0,21.8,43.3,1
1370139,26.3,115.7,8.2,19.8,0
1370140,55.0,112.3,5.7,46.6,1
1370141,39.0,70.3,9.8,63.4,1
1370142,52.3,73.7,7.6,36.1,1
1370143,52.8,121.9,12.2,36.4,0
1370144,48.6,153.2,18.3,15.6,0
1370145,36.9,90.3,21.2,36.6,0
1370146,58.0,87.9,10.6,40.4,1
1370147,38.1,69.9,12.9,31.9,1
1370148,47.6,78.5,3.0,30.5,1
1370149,33.1,122.9,10.4,47.5,0
1370150,,105.7,5.3,43.1,0
1370151,22.3,129.7,10.3,42.9,1
1370152,47.6,66.2,16.0,26.8,0
1370153,84.6,132.0,25.0,29.3,1
1370154,55.0,53.3,10.7,50.1,1
1370155,51.7,110.9,5.0,47.3,1
1370156,29.8,120.3,14.1,46.0,1
1370157,43.1,75.2,12.4,60.7,1
1370158,53.8,106.1,12.0,24.4,1
1370159,29.9,138.9,16.9,52.9,0
1370160,49.4,125.0,14.9,27.1,1
1370161,77.0,125.6,6.9,56.4,0
1370162,68.1,133.6,11.5,67.0,1
1370163,12.7,115.8,6.4,19.4,1
1370164,86.9,90.7,21.5,26.3,1
1370165,38.2,113.0,9.0,37.7,0
1370166,27.5,61.3,8.4,45.6,0
1370167,23.7,95.3,6.4,43.4,1
1370168,32.1,40.9,13.8,51.8,1
1370169,50.8,118.2,4.1,54.4,0
1370170,47.6,93.6,20.4,83.7,0
1370171,52.1,128.4,7.1,62.0,0
1370172,29.3,26.4,16.7,66.3,1
1370173,67.0,109.6,21.8,49.3,1
1370174,61.3,104.1,9.6,47.5,1
1370175,46.8,57.1,17.4,50.5,0
1370176,30.2,79.0,12.1,33.2,0
1370177,25.2,133.0,12.2,59.3,0
1370178,53.8,91.2,16.4,63.9,1
1370179,41.1,108.3,6.4,62.1,1
1370180,43.7,110.4,6.0,42.0,0
1370181,50.3,128.2,4.8,26.1,1
1370182,47.6,99.7,13.7,66.5,1
1370183,43.1,100.5,11.1,61.9,1
1370184,72.3,81.7,11.7,42.3,1
1370185,21.5,105.7,12.9,26.5,1
1370186,26.7,76.2,7.0,50.6,0
1370187,49.4,106.2,24.0,44.0,1
1370188,15.9,87.5,14.5,24.8,0
1370189,64.9,93.3,10.9,45.2,0
1370190,23.0,103.8,16.3,51.4,1
1370191,23.3,99.5,8.4,41.0,1
1370192,38.8,109.4,15.2,57.3,0
1370193,41.8,106.4,15.1,57.0,1
1370194,37.8,95.8,24.7,40.5,1
1370195,47.3,137.8,17.1,17.0,0
1370196,39.8,84.9,15.2,41.3,1
1370197,47.1,68.7,18.3,33.3,0
1370198,,119.5,8.3,19.1,1
1370199,74.5,95.9,7.5,56.6,1
1370200,66.7,107.8,14.3,45.0,0
1370201,42.8,125.6,13.4,41.9,0
1370202,25.3,103.6,6.6,48.1,1
1370203,71.3,155.7,4.2,52.8,1
1370204,25.8,101.3,10.4,45.6,0
1370205,21.3,93.8,12.9,32.6,1
1370206,49.3,99.4,8.3,54.0,1
1370207,17.9,102.8,10.8,21.6,1
1370208,79.1,83.8,15.1,25.1,1
1370209,64.3,55.3,6.6,59.7,1
1370210,24.2,101.2,10.8,57.3,0
1370211,41.7,84.8,14.7,20.5,1
1370212,48.1,68.3,12.2,63.5,1
1370213,64.8,128.1,1.0,27.5,1
1370214,51.8,137.9,16.7,47.0,0
1370215,33.0,114.8,12.9,34.1,1
1370216,19.2,90.1,7.5,31.4,0
1370217,40.4,55.0,8.7,53.4,0
1370218,61.6,142.0,17.2,45.6,1
1370219,58.6,62.5,4.4,40.3,1
1370220,42.7,36.4,11.1,37.9,0
1370221,44.3,111.7,16.8,33.8,0
1370222,44.4,89.8,1.2,81.0,0
1370223,34.1,77.5,12.3,19.3,1
1370224,43.0,50.5,6.0,66.9,0
1370225,36.4,107.5,3.1,60.4,0
1370226,64.1,79.6,10.5,43.5,1
1370227,34.7,105.4,5.2,31.5,0
1370228,44.7,98.6,20.7,80.1,0
1370229,36.0,124.7,10.0,36.3,0
1370230,58.6,112.1,19.3,51.7,1
1370231,30.1,95.0,13.2,33.0,0
1370232,35.7,110.3,6.3,67.7,0
1370233,29.0,100.2,12.7,74.6,0
1370234,44.7,98.9,20.6,52.9,1
1370235,41.4,117.6,9.7,52.9,1
1370236,20.4,78.0,17.0,28.5,1
1370237,40.9,110.1,10.7,21.4,1
1370238,51.1,110.6,14.3,18.0,0
1370239,82.8,115.9,4.9,40.2,0
1370240,79.6,138.9,1.0,67.4,1
1370241,58.6,86.8,15.2,24.4,0
1370242,,82.0,11.4,35.3,0
1370243,56.7,73.3,5.7,13.8,0
1370244,50.4,84.0,20.7,67.3,0
1370245,53.1,99.4,8.1,50.7,0
1370246,25.9,91.4,18.3,51.9,0
1370247,50.7,97.6,11.6,26.7,1
1370248,51.1,72.0,11.6,36.0,1
1370249,44.0,82.3,1.0,18.4,1
1370250,21.3,108.2,15.0,41.1,0
1370251,32.8,98.6,17.6,38.0,0
1370252,56.8,124.1,17.7,56.2,0
1370253,52.5,158.4,13.1,45.3,1
1370254,32.4,82.7,15.7,0.0,1
1370255,53.8,85.0,12.7,72.7,1
1370256,42.1,90.7,8.9,65.3,1
1370257,30.2,103.2,8.2,40.0,1
1370258,42.3,63.6,8.5,49.4,1
1370259,55.4,51.4,2.3,68.9,0
1370260,51.3,108.0,10.5,62.5,0
1370261,,126.7,10.3,30.8,1
1370262,41.9,89.9,9.3,39.5,0
1370263,61.0,112.4,4.0,46.4,1
1370264,29.0,80.3,15.7,50.0,1
1370265,40.3,92.0,14.7,25.1,0
1370266,48.2,53.9,5.8,77.3,1
1370267,34.0,100.5,10.5,39.5,0
1370268,47.5,95.6,8.8,44.0,1
1370269,51.9,135.9,19.6,19.7,1
1370270,,82.3,14.8,48.5,0
1370271,21.3,85.7,28.8,21.6,0
1370272,34.9,93.3,7.9,49.7,1
1370273,39.5,81.2,10.6,39.8,1
1370274,39.4,76.9,3.3,33.8,1
1370275,34.8,77.6,13.7,64.1,0
1370276,43.1,55.1,6.4,39.8,1
1370277,44.0,68.4,10.3,56.6,0
1370278,35.1,127.3,8.2,38.6,1
1370279,42.2,120.4,11.6,22.7,0
1370280,44.4,110.5,9.5,57.3,1
1370281,61.0,105.4,7.9,41.8,0
1370282,53.8,82.5,12.9,40.5,0
1370283,37.4,111.8,5.3,33.0,1
1370284,65.5,101.6,5.7,30.4,1
1370285,19.3,69.1,1.0,48.3,0
1370286,37.0,119.7,10.8,48.3,1
1370287,37.9,129.3,26.3,38.1,0
1370288,40.0,96.3,16.5,33.2,1
1370289,58.3,129.8,11.7,37.4,1
1370290,58.3,116.5,22.8,60.7,0
1370291,65.7,83.0,11.7,29.5,1
1370292,36.4,126.9,13.6,63.4,1
1370293,45.4,116.1,9.4,61.9,1
1370294,23.6,116.6,12.7,54.1,0
1370295,69.6,113.4,11.8,19.1,1
1370296,76.2,96.4,13.4,47.0,0
1370297,50.1,102.5,14.0,52.8,0
1370298,37.1,118.3,11.3,42.2,1
1370299,66.0,97.5,3.0,43.8,0
1370300,30.1,120.0,12.0,47.6,1
1370301,36.2,78.1,16.4,43.0,0
1370302,61.9,125.8,19.0,55.5,0
1370303,19.5,71.3,16.3,46.1,1
1370304,62.4,82.5,11.0,49.8,0
1370305,37.3,109.3,14.2,63.8,1
1370306,27.3,132.4,9.0,42.6,1
1370307,21.8,81.4,11.5,48.3,0
1370308,44.5,129.4,11.1,51.2,1
1370309,34.6,107.4,16.7,17.9,0
1370310,61.2,105.6,10.6,35.1,1
1370311,31.3,85.6,19.5,39.6,0
1370312,34.7,96.5,8.8,21.6,0
1370313,58.4,123.4,11.8,35.0,1
1370314,36.7,147.3,15.5,37.7,0
1370315,13.8,72.9,8.7,67.4,0
1370316,74.4,128.2,2.3,37.3,1
1370317,40.3,156.6,14.4,13.3,0
1370318,64.9,103.9,14.1,30.7,0
1370319,23.8,89.8,13.1,56.4,1
1370320,75.4,75.2,11.5,61.3,1
1370321,43.2,124.7,13.2,48.7,0
1370322,25.3,75.3,13.2,22.6,1
1370323,49.8,108.0,12.6,16.7,0
1370324,51.3,88.9,8.5,42.7,0
1370325,77.2,92.1,16.1,39.4,0
1370326,34.5,124.9,14.8,31.0,0
1370327,72.8,115.3,11.0,49.7,0
1370328,19.3,112.2,13.9,44.9,0
1370329,43.3,93.6,5.6,67.3,0
1370330,72.1,90.2,11.2,54.4,0
1370331,45.7,60.9,16.0,53.1,1
1370332,53.7,89.7,14.9,42.1,0
1370333,32.2,89.7,12.8,39.2,0
1370334,27.7,87.7,17.7,72.5,0
1370335,58.7,103.9,18.5,27.9,1
1370336,27.3,85.5,8.0,42.4,1
1370337,53.0,91.5,7.4,32.3,1
1370338,40.8,87.3,15.0,39.1,0
1370339,39.3,99.2,6.3,48.1,0
1370340,40.8,115.1,12.4,29.2,0
1370341,29.5,87.2,13.7,47.9,1
1370342,25.6,134.0,16.4,50.0,0
1370343,54.8,123.6,22.8,59.2,0
1370344,67.3,99.6,15.4,38.5,0
1370345,60.2,103.0,10.3,47.2,0
1370346,63.6,63.0,16.7,41.8,0
1370347,33.7,93.6,9.8,23.2,1
1370348,62.8,115.9,7.3,42.0,0
1370349,48.4,88.2,13.5,62.5,1
1370350,31.9,119.5,9.2,42.7,1
1370351,52.2,111.5,14.8,59.5,1
1370352,61.8,117.5,12.8,47.2,0
1370353,45.4,121.0,12.1,37.3,1
1370354,52.7,83.0,16.2,59.9,0
1370355,4.3,104.1,22.3,35.2,0
1370356,26.7,174.6,5.3,59.0,0
1370357,43.0,91.5,10.0,44.7,0
1370358,33.6,123.9,9.8,33.1,0
1370359,13.3,125.1,11.8,51.0,1
1370360,52.4,93.3,1.0,49.0,0
1370361,66.2,85.3,21.5,38.3,1
1370362,24.6,127.4,16.9,65.0,0
1370363,40.0,169.2,9.1,49.8,1
1370364,49.1,143.5,5.1,60.4,0
1370365,47.7,66.1,17.6,14.8,0
1370366,58.7,78.9,14.6,36.6,0
1370367,38.7,88.0,8.8,20.9,0
1370368,32.8,44.1,9.5,46.3,1
1370369,12.0,70.3,4.9,44.9,1
1370370,42.6,100.4,19.8,61.7,1
1370371,45.3,109.3,9.9,10.2,0
1370372,67.8,92.9,10.7,83.1,0
1370373,58.4,89.5,8.0,24.2,1
1370374,52.7,100.7,12.4,50.1,0
1370375,85.3,110.3,13.6,74.0,1
1370376,23.4,70.7,12.3,74.1,1
1370377,17.6,66.3,6.6,47.1,1
1370378,69.7,123.9,12.5,21.6,0
1370379,7.8,73.2,9.0,34.1,1
1370380,43.1,115.9,10.6,43.5,0
1370381,,107.1,2.6,56.1,0
1370382,33.8,75.8,6.8,33.0,0
1370383,48.5,92.7,5.6,74.2,1
1370384,63.1,81.7,9.6,29.7,1
1370385,30.9,132.2,9.9,41.2,0
1370386,78.6,110.5,9.5,40.6,1
1370387,37.2,113.7,11.6,54.5,0
1370388,15.9,95.3,9.6,27.9,0
1370389,61.7,67.8,13.8,54.9,1
1370390,29.1,105.1,12.6,35.2,1
1370391,60.3,155.1,13.4,48.9,1
1370392,57.0,103.5,7.8,43.9,0
1370393,43.8,111.4,15.6,37.2,0
1370394,36.6,121.1,7.7,42.1,0
1370395,36.9,115.0,12.2,40.0,0
1370396,65.4,125.2,14.0,34.1,1
1370397,45.9,87.5,15.9,27.2,0
1370398,47.5,133.4,19.8,29.7,0
1370399,71.1,140.0,17.1,38.7,1
1370400,17.2,104.5,8.6,62.4,0
1370401,60.4,111.1,13.1,38.1,1
1370402,58.6,84.2,17.4,53.4,0
1370403,48.1,82.3,9.3,75.8,1
1370404,57.0,88.8,4.6,50.6,1
1370405,75.1,83.3,4.6,55.6,0
1370406,42.9,112.6,5.3,53.3,0
1370407,52.9,115.0,17.0,44.6,1
1370408,23.0,102.9,22.0,43.4,1
1370409,38.9,128.0,13.7,29.1,0
1370410,50.0,83.8,7.1,24.4,0
1370411,18.5,72.2,6.3,39.5,0
1370412,43.4,127.8,13.0,57.2,0
1370413,16.4,45.3,9.2,52.5,1
1370414,36.8,78.8,3.2,51.9,1
1370415,66.6,82.4,7.1,49.3,0
1370416,44.3,86.8,13.7,46.1,1
1370417,58.3,69.3,12.8,81.2,0
1370418,59.2,84.8,8.8,59.1,0
1370419,57.2,125.8,10.7,61.1,0
1370420,28.2,112.5,7.0,34.4,0
1370421,56.6,101.4,11.6,43.9,0
1370422,70.1,51.0,8.6,56.6,0
1370423,49.0,71.2,15.3,55.0,1
1370424,60.9,105.5,3.8,51.1,1
1370425,61.9,77.2,14.0,53.4,0
1370426,45.7,149.7,14.0,43.0,1
1370427,54.4,84.2,7.9,61.5,1
1370428,16.2,65.9,19.5,51.0,1
1370429,40.7,112.2,10.6,22.7,1
1370430,49.2,97.1,14.6,26.9,1
1370431,40.3,100.9,23.9,26.6,0
1370432,34.5,76.4,19.3,34.9,1
1370433,35.2,119.6,8.8,72.5,0
1370434,15.9,97.3,4.8,47.6,1
1370435,38.6,88.6,10.4,66.6,1
1370436,56.6,99.6,20.3,38.7,1
1370437,53.3,100.6,9.9,54.4,1
1370438,56.2,119.7,6.9,49.1,0
1370439,37.3,126.4,3.6,51.2,0
1370440,57.3,109.8,13.7,28.1,0
1370441,36.1,100.4,4.2,43.3,0
1370442,36.1,45.8,17.5,44.0,0
1370443,57.3,101.5,9.8,35.3,1
1370444,39.0,100.3,1.0,60.9,0
1370445,17.5,91.7,11.3,23.0,0
1370446,26.0,134.9,9.2,43.5,0
1370447,51.4,60.6,1.6,62.8,0
1370448,30.8,97.2,8.8,61.0,1
1370449,35.9,119.6,10.2,21.9,1
1370450,47.5,136.4,8.5,41.1,1
1370451,20.7,81.8,14.6,39.9,1
1370452,49.5,109.0,12.8,57.5,0
1370453,66.2,104.5,12.3,26.0,0
1370454,61.3,57.0,5.1,34.7,1
1370455,43.0,97.4,17.9,48.5,0
1370456,32.8,65.0,1.0,52.0,0
1370457,55.1,110.8,11.1,48.2,1
1370458,50.1,58.1,12.7,45.2,0
1370459,40.8,67.3,8.7,75.8,1
1370460,29.8,89.7,8.5,44.6,0
1370461,41.9,89.7,2.5,37.3,0
1370462,69.4,84.3,7.2,65.7,0
1370463,36.7,84.6,23.5,51.6,0
1370464,7.0,105.7,10.8,34.5,0
1370465,57.5,90.7,5.0,50.2,0
1370466,45.2,59.8,1.0,42.9,0
1370467,63.0,123.6,23.7,46.1,0
1370468,51.2,86.9,21.8,30.6,1
1370469,35.4,103.1,17.5,63.9,1
1370470,62.4,129.2,1.2,29.4,0
1370471,46.3,96.0,10.7,61.7,1
1370472,17.7,78.0,12.5,35.6,0
1370473,39.2,77.9,3.6,28.8,1
1370474,45.3,119.0,9.4,8.6,1
1370475,22.0,98.0,10.2,15.3,1
1370476,35.6,73.5,12.8,40.7,1
1370477,26.2,111.6,9.5,49.0,0
1370478,58.7,136.5,13.8,72.7,0
1370479,54.3,121.1,11.6,59.1,1
1370480,51.0,106.5,8.8,77.6,1
1370481,46.3,90.6,4.3,21.5,1
1370482,57.8,91.4,9.6,50.8,1
1370483,68.5,122.6,9.9,49.2,0
1370484,44.1,120.8,14.1,51.7,1
1370485,54.6,66.1,13.9,0.2,1
1370486,26.7,94.2,14.1,41.7,0
1370487,60.8,108.5,9.8,22.5,0
1370488,49.8,132.6,6.4,37.2,1
1370489,32.2,108.5,5.7,58.2,1
1370490,26.6,104.9,9.7,47.4,1
1370491,36.0,120.6,6.5,41.8,0
1370492,72.0,101.6,10.7,40.4,1
1370493,61.1,105.3,10.4,65.5,0
1370494,54.0,129.7,2.8,45.7,1
1370495,53.5,109.4,10.5,52.3,1
1370496,19.0,92.0,13.5,7.4,0
1370497,37.0,104.7,4.0,78.5,0
1370498,41.0,104.0,10.2,53.7,1
1370499,49.7,109.0,14.7,50.6,1
1370500,6.5,132.7,14.4,42.1,1
1370501,39.3,124.6,9.7,55.6,1
1370502,21.4,96.9,8.8,36.3,0
1370503,43.5,116.8,9.3,40.7,1
1370504,41.0,76.7,11.3,46.2,0
1370505,48.4,28.6,21.0,50.9,1
1370506,52.4,77.3,22.6,58.7,1
1370507,30.2,85.6,15.4,49.3,0
1370508,49.1,165.0,16.4,40.5,0
1370509,62.0,92.5,13.6,37.3,0
1370510,52.5,77.2,6.3,47.6,1
1370511,77.4,77.7,1.0,37.0,0
1370512,53.4,132.6,8.3,40.4,0
1370513,30.6,92.1,19.5,49.0,0
1370514,48.3,85.7,18.6,54.0,0
1370515,26.9,116.7,16.5,55.5,1
1370516,49.3,123.5,11.4,20.9,1
1370517,16.9,76.9,11.6,56.6,0
1370518,45.4,65.1,2.7,36.2,1
1370519,44.2,79.9,11.0,42.0,1
1370520,61.8,90.2,5.6,44.5,1
1370521,44.9,118.3,14.6,51.6,1
1370522,47.2,98.8,16.2,55.2,1
1370523,53.2,135.1,14.8,57.1,0
1370524,45.6,81.3,13.3,35.8,0
1370525,16.5,100.8,20.3,36.7,0
1370526,51.8,106.2,17.2,51.8,0
1370527,47.2,98.2,15.4,44.9,0
1370528,54.6,87.0,17.5,52.9,0
1370529,43.7,83.6,18.8,65.1,1
1370530,53.7,84.8,15.0,67.6,0
1370531,44.1,77.1,12.7,37.7,0
1370532,51.7,111.8,15.6,58.9,1
1370533,47.8,98.9,7.4,18.2,0
1370534,42.8,63.5,10.1,33.0,0
1370535,44.9,80.0,7.6,50.1,1
1370536,52.7,120.5,16.0,43.3,0
1370537,35.7,74.0,13.1,17.7,1
1370538,20.8,122.3,11.7,54.8,1
1370539,25.5,88.0,23.5,50.5,0
1370540,79.8,101.0,9.5,55.6,0
1370541,46.3,143.4,9.7,37.1,0
1370542,65.1,140.0,5.9,42.8,1
1370543,51.5,119.6,13.1,69.4,1
1370544,59.4,104.0,18.9,61.2,1
1370545,26.0,139.4,19.0,38.7,1
1370546,40.4,106.4,14.0,57.8,0
1370547,40.3,82.6,5.2,52.0,1
1370548,39.1,69.7,11.2,66.5,0
1370549,16.1,103.0,8.1,39.3,0
1370550,38.7,130.9,16.6,66.8,0
1370551,30.0,123.1,15.9,46.9,0
1370552,58.8,89.3,4.0,31.2,0
1370553,30.8,100.5,21.0,58.7,0
1370554,62.2,116.5,15.9,74.0,1
1370555,43.5,52.7,8.3,49.3,0
1370556,51.8,107.0,9.9,70.0,1
1370557,39.8,80.5,3.7,44.8,1
1370558,61.5,145.2,15.5,10.6,0
1370559,36.1,73.6,13.7,61.8,0
1370560,40.9,105.0,11.0,34.3,1
1370561,61.5,116.3,22.3,44.1,1
1370562,46.3,88.0,9.6,57.2,1
1370563,19.9,111.5,10.3,37.6,1
1370564,40.9,100.5,16.6,58.8,0
1370565,42.2,48.7,14.0,48.8,1
1370566,62.8,134.9,5.6,37.4,1
1370567,57.8,98.2,14.1,57.3,1
1370568,41.8,130.8,10.5,56.5,0
1370569,34.9,78.3,1.0,37.5,1
1370570,29.6,131.2,16.0,47.1,1
1370571,77.0,71.3,2.4,49.1,0
1370572,24.1,80.6,17.6,46.3,0
1370573,42.9,116.8,4.1,45.5,0
1370574,42.8,129.2,6.6,28.8,1
1370575,61.0,93.0,20.9,50.2,0
1370576,45.7,90.2,15.8,60.0,1
1370577,35.4,99.4,17.3,49.0,1
1370578,49.7,47.5,9.4,25.8,1
1370579,51.9,95.5,10.2,29.8,1
1370580,74.0,83.0,24.9,43.9,1
1370581,47.9,107.6,13.7,57.5,1
1370582,54.9,80.8,12.6,45.0,1
1370583,43.6,44.3,13.2,25.0,1
1370584,62.0,124.0,6.8,59.4,0
1370585,43.4,114.2,9.9,56.7,0
1370586,39.3,110.6,9.1,48.7,1
1370587,31.4,77.3,16.3,68.9,1
1370588,73.1,70.2,10.6,82.8,0
1370589,,83.7,9.4,35.9,0
1370590,56.5,81.0,4.7,17.5,1
1370591,60.3,129.4,15.5,55.8,1
1370592,48.5,119.5,14.6,19.6,0
1370593,,83.5,7.7,29.8,1
1370594,25.3,66.5,10.4,0.0,1
1370595,18.3,97.3,9.3,37.0,1
1370596,54.6,109.0,18.7,48.5,1
1370597,28.2,103.3,10.2,44.8,1
1370598,73.6,115.1,4.2,42.7,0
1370599,42.6,117.5,27.0,57.5,0
1370600,26.0,115.4,1.0,59.4,0
1370601,61.5,63.9,5.0,44.1,1
1370602,48.8,83.1,15.1,47.9,1
1370603,55.2,65.3,7.6,42.1,0
1370604,31.3,116.5,15.0,52.5,0
1370605,27.1,80.9,13.1,27.1,0
1370606,24.5,93.9,17.0,50.4,0
1370607,21.7,132.9,15.2,46.4,0
1370608,55.9,134.4,7.0,38.9,0
1370609,35.6,67.5,8.0,34.8,0
1370610,30.5,114.3,16.9,44.7,0
1370611,50.8,86.0,13.1,24.7,0
1370612,55.7,107.0,8.5,70.7,0
1370613,43.4,143.7,10.9,19.9,1
1370614,54.4,71.8,12.3,29.4,0
1370615,27.1,114.5,24.2,63.9,0
1370616,44.6,111.9,7.2,44.2,1
1370617,25.0,144.7,10.8,40.1,1
1370618,46.8,117.0,18.1,75.2,1
1370619,26.6,109.8,18.5,35.7,0
1370620,78.3,59.9,13.7,53.3,0
1370621,58.9,95.6,9.5,18.8,1
1370622,35.3,79.7,16.0,69.6,1
1370623,50.4,120.9,13.7,47.3,1
1370624,33.7,102.7,8.1,62.7,0
1370625,57.1,62.0,8.7,47.2,1
1370626,12.5,98.0,15.6,70.1,0
1370627,80.6,153.0,7.5,42.3,0
1370628,49.9,149.6,12.8,25.6,0
1370629,17.8,93.9,13.3,47.4,1
1370630,33.8,95.3,11.5,63.4,0
1370631,59.9,67.3,11.6,39.2,0
1370632,55.7,127.4,14.3,1.6,0
