ReaderID,PageDensityWords,ReadingSpeed_WPM,BookmarkDropChapter,TotalReadTimeMinutes,Finished
1680226,41.0,8.3,18.0,35.8,1
1680227,53.0,9.1,6.0,40.6,1
1680228,46.0,11.5,33.8,54.1,0
1680229,44.0,7.3,3.5,66.0,0
1680230,56.0,9.3,12.6,38.3,1
1680231,25.0,13.3,1.9,34.9,1
1680232,43.0,10.1,3.8,30.5,0
1680233,28.0,2.0,1.6,45.8,1
1680234,49.0,12.3,11.8,22.0,0
1680235,44.0,2.4,2.6,48.8,1
1680236,57.0,1.0,19.2,14.3,0
1680237,40.0,1.0,1.6,29.6,0
1680238,51.0,17.4,1.5,59.7,1
1680239,39.0,14.4,4.8,42.8,0
1680240,24.0,12.6,0.4,56.9,1
1680241,18.0,10.3,11.8,21.3,0
1680242,57.0,9.8,0.4,32.0,0
1680243,56.0,11.5,13.3,33.1,0
1680244,63.0,18.3,8.9,50.8,1
1680245,43.0,13.5,0.8,36.1,0
1680246,25.0,16.0,7.2,48.1,1
1680247,31.0,16.2,0.3,58.0,0
1680248,29.0,13.1,5.4,55.9,1
1680249,29.0,10.9,2.5,64.9,1
1680250,36.0,13.4,5.4,51.3,0
1680251,69.0,7.7,17.0,54.9,1
1680252,38.0,14.5,30.2,64.2,1
1680253,37.0,13.7,19.9,57.0,0
1680254,32.0,14.3,0.5,34.6,0
1680255,52.0,19.2,1.9,72.7,1
1680256,36.0,13.8,0.7,46.1,1
1680257,52.0,3.7,1.8,34.8,0
1680258,26.0,,32.0,10.8,0
1680259,35.0,14.2,2.3,45.8,1
1680260,71.0,14.6,6.2,48.2,1
1680261,55.0,6.8,9.3,11.4,0
1680262,55.0,14.6,0.5,98.7,1
1680263,41.0,15.6,12.8,58.8,1
1680264,49.0,21.6,10.1,71.6,1
1680265,42.0,11.5,1.8,68.5,1
1680266,47.0,6.1,2.8,55.7,1
1680267,32.0,8.8,8.5,55.2,1
1680268,40.0,15.5,5.9,48.2,0
1680269,28.0,12.1,1.5,65.1,1
1680270,32.0,16.5,9.6,59.2,1
1680271,39.0,17.9,11.3,31.0,0
1680272,33.0,17.5,16.1,41.7,1
1680273,24.0,6.2,0.9,33.9,1
1680274,43.0,7.8,4.9,54.2,0
1680275,46.0,13.7,1.8,28.4,1
1680276,63.0,6.1,21.1,44.7,1
1680277,25.0,7.9,20.4,44.9,0
1680278,24.0,13.5,19.6,36.4,0
1680279,58.0,15.4,2.2,51.0,1
1680280,49.0,9.2,6.0,57.4,1
1680281,40.0,10.1,0.4,57.8,0
1680282,44.0,1.5,7.5,65.9,1
1680283,38.0,16.1,5.8,45.7,0
1680284,19.0,,25.8,69.5,1
1680285,68.0,5.8,3.2,77.0,1
1680286,26.0,17.9,10.7,52.0,0
1680287,28.0,9.9,9.6,44.8,1
1680288,36.0,10.8,0.6,69.8,1
1680289,44.0,7.1,8.5,77.8,1
1680290,53.0,16.1,7.0,35.4,1
1680291,43.0,17.3,7.0,25.6,1
1680292,53.0,8.9,0.4,51.1,1
1680293,42.0,7.2,2.9,45.8,1
1680294,51.0,16.6,9.1,19.9,1
1680295,40.0,8.9,11.5,44.2,0
1680296,28.0,10.0,17.7,47.5,0
1680297,44.0,18.0,1.6,46.1,0
1680298,69.0,16.6,13.4,56.2,1
1680299,28.0,24.1,15.1,39.4,0
1680300,46.0,7.7,8.4,44.6,1
1680301,47.0,13.1,23.3,47.3,0
1680302,7.0,5.5,5.8,39.2,1
1680303,33.0,9.7,11.4,16.7,0
1680304,48.0,13.7,2.4,42.0,1
1680305,46.0,3.5,3.8,50.3,1
1680306,43.0,15.2,1.8,34.1,0
1680307,36.0,11.9,44.6,31.1,1
1680308,74.0,7.2,5.4,35.5,1
1680309,33.0,13.6,0.9,59.2,0
1680310,48.0,13.0,1.1,49.5,1
1680311,45.0,14.8,9.6,48.0,0
1680312,50.0,15.9,7.2,36.3,1
1680313,72.0,8.5,27.0,52.8,1
1680314,29.0,10.7,5.6,44.1,1
1680315,31.0,20.6,2.2,36.1,0
1680316,40.0,18.0,18.5,54.5,1
1680317,45.0,6.1,1.3,73.3,1
1680318,30.0,20.6,11.4,52.6,1
1680319,66.0,11.7,2.2,45.5,0
1680320,44.0,26.1,21.7,65.4,1
1680321,40.0,1.0,10.4,38.9,0
1680322,61.0,11.7,7.8,51.2,1
1680323,6.0,12.6,0.2,42.7,1
1680324,37.0,18.1,4.1,39.5,1
1680325,42.0,14.0,9.9,41.0,0
1680326,38.0,13.4,12.0,39.2,1
1680327,55.0,14.4,9.9,36.1,0
1680328,44.0,13.4,10.0,36.3,1
1680329,36.0,11.6,1.4,52.1,0
1680330,54.0,11.8,7.2,40.8,1
1680331,17.0,10.8,18.0,36.0,1
1680332,35.0,13.0,10.8,40.5,1
1680333,39.0,19.5,11.9,21.7,0
1680334,42.0,14.7,11.9,45.5,1
1680335,36.0,5.5,2.5,32.0,0
1680336,61.0,14.1,2.2,75.2,1
1680337,52.0,17.5,28.7,63.1,1
1680338,49.0,15.6,19.7,49.1,0
1680339,56.0,17.1,0.8,27.1,0
1680340,70.0,7.1,1.0,31.9,1
1680341,48.0,3.6,1.0,40.3,1
1680342,47.0,5.9,2.4,40.9,1
1680343,34.0,4.9,1.1,34.9,0
1680344,55.0,11.2,1.5,49.4,1
1680345,70.0,14.2,5.3,48.3,0
1680346,62.0,,7.0,67.3,1
1680347,22.0,9.6,12.2,50.6,1
1680348,36.0,8.8,8.3,15.8,0
1680349,9.0,25.8,2.6,37.3,0
1680350,44.0,11.9,12.4,56.2,0
1680351,75.0,13.7,0.5,33.4,0
1680352,51.0,16.9,24.7,64.5,1
1680353,50.0,5.5,3.9,42.4,0
1680354,57.0,10.3,2.3,52.3,1
1680355,53.0,10.3,1.1,64.3,1
1680356,46.0,13.8,0.8,52.2,1
1680357,44.0,21.8,3.9,40.6,1
1680358,15.0,9.5,1.5,72.0,1
1680359,26.0,10.1,0.5,31.9,0
1680360,46.0,7.3,2.2,22.7,0
1680361,31.0,8.6,4.3,36.0,0
1680362,27.0,11.1,2.1,25.6,0
1680363,58.0,12.1,13.6,46.4,1
1680364,21.0,6.5,20.5,61.4,1
1680365,47.0,12.2,1.6,39.1,1
1680366,68.0,13.2,1.5,26.7,0
1680367,49.0,13.4,8.8,44.4,0
1680368,34.0,11.7,11.3,45.2,1
1680369,69.0,,2.9,33.1,0
1680370,37.0,18.0,20.2,50.1,1
1680371,58.0,17.1,3.9,82.2,1
1680372,26.0,9.7,1.9,39.7,0
1680373,63.0,13.5,13.3,23.9,0
1680374,54.0,16.5,5.3,54.5,0
1680375,57.0,25.3,1.6,22.0,0
1680376,73.0,12.3,18.7,51.6,0
1680377,36.0,12.0,1.2,31.4,0
1680378,50.0,4.9,8.3,52.3,1
1680379,45.0,6.9,1.4,32.6,0
1680380,56.0,6.5,17.1,53.2,1
1680381,47.0,18.4,3.1,54.8,1
1680382,33.0,12.1,2.6,36.6,0
1680383,44.0,6.1,8.3,43.4,0
1680384,54.0,13.1,8.2,33.7,0
1680385,65.0,10.2,2.1,42.8,0
1680386,46.0,17.4,1.7,56.5,1
1680387,48.0,10.6,5.2,23.2,0
1680388,38.0,11.9,0.3,35.0,0
1680389,12.0,1.2,0.7,14.9,0
1680390,18.0,9.6,2.3,50.8,0
1680391,44.0,12.9,6.0,53.3,0
1680392,38.0,13.1,8.5,41.2,1
1680393,22.0,9.0,13.9,52.1,1
1680394,52.0,10.0,3.2,30.2,0
1680395,42.0,11.0,0.2,48.1,0
1680396,70.0,12.8,2.6,45.5,1
1680397,22.0,6.9,5.7,60.0,1
1680398,54.0,8.7,2.0,14.4,1
1680399,29.0,20.6,19.4,10.0,0
1680400,53.0,8.7,9.5,49.8,0
1680401,25.0,13.6,8.3,44.4,0
1680402,37.0,5.3,3.7,45.6,0
1680403,60.0,18.3,19.8,41.5,0
1680404,47.0,12.0,1.5,44.0,1
1680405,18.0,10.6,16.8,46.2,1
1680406,42.0,15.5,0.2,39.2,0
1680407,66.0,9.9,9.3,35.2,1
1680408,42.0,16.8,5.7,39.3,1
1680409,41.0,15.7,9.6,43.2,0
1680410,68.0,11.0,5.7,29.0,1
1680411,46.0,10.6,0.1,42.1,1
1680412,8.0,9.3,23.5,43.1,0
1680413,40.0,10.4,4.1,27.6,0
1680414,23.0,8.7,8.3,45.1,1
1680415,1.0,12.4,8.2,31.9,0
1680416,49.0,10.0,29.2,27.0,0
1680417,40.0,15.4,6.2,56.6,0
1680418,29.0,15.8,2.0,41.4,0
1680419,44.0,3.9,0.3,53.5,1
1680420,16.0,8.9,2.5,50.0,0
1680421,47.0,10.6,3.2,30.3,0
1680422,45.0,20.8,4.6,32.9,0
1680423,52.0,19.5,9.0,27.2,0
1680424,49.0,7.1,0.2,39.2,0
1680425,36.0,8.8,4.9,37.3,0
1680426,46.0,9.6,0.1,47.9,1
1680427,30.0,10.8,11.0,52.3,1
1680428,39.0,13.8,15.9,53.6,1
1680429,44.0,7.7,24.7,49.3,1
1680430,59.0,10.3,4.7,54.5,1
1680431,32.0,14.2,1.0,22.8,0
1680432,33.0,16.3,0.2,37.4,1
1680433,38.0,7.6,0.6,48.7,0
1680434,45.0,15.3,10.4,48.2,1
1680435,29.0,17.0,2.9,19.3,0
1680436,32.0,11.8,1.2,34.1,1
1680437,45.0,4.8,0.5,56.5,0
1680438,45.0,18.3,6.2,15.6,1
1680439,1.0,6.3,6.2,75.2,1
1680440,34.0,17.9,49.6,34.9,1
1680441,39.0,12.1,11.7,27.1,0
1680442,48.0,1.0,6.7,44.6,0
1680443,51.0,9.6,0.5,39.0,1
1680444,25.0,,0.5,32.9,0
1680445,36.0,9.7,10.6,54.3,1
1680446,29.0,14.0,6.1,46.0,0
1680447,73.0,18.1,1.6,49.3,1
1680448,36.0,6.3,3.0,55.0,1
1680449,31.0,10.4,13.7,75.4,1
1680450,7.0,13.3,3.2,38.5,1
1680451,34.0,9.1,1.7,39.5,0
1680452,60.0,16.3,2.9,41.3,0
1680453,45.0,10.8,2.0,15.0,0
1680454,62.0,11.4,4.9,20.0,0
1680455,46.0,1.0,4.3,26.6,1
1680456,44.0,13.2,15.6,44.9,1
1680457,47.0,4.5,1.8,56.9,0
1680458,25.0,11.9,6.8,12.3,0
1680459,50.0,11.2,7.3,53.5,1
1680460,42.0,16.2,1.2,66.4,0
1680461,32.0,9.3,22.2,45.5,1
1680462,45.0,20.5,17.4,38.7,0
1680463,47.0,13.0,1.9,39.7,0
1680464,58.0,7.8,5.5,67.4,1
1680465,73.0,,4.0,69.4,1
1680466,45.0,14.6,2.2,67.2,0
1680467,66.0,13.5,5.8,48.7,0
1680468,39.0,10.4,2.9,69.2,1
1680469,19.0,13.9,6.1,56.4,0
1680470,44.0,3.1,8.3,34.0,0
1680471,39.0,10.9,6.4,32.7,0
1680472,29.0,11.4,2.9,37.2,1
1680473,46.0,8.4,4.3,44.6,0
1680474,40.0,20.7,2.9,24.9,1
1680475,48.0,14.3,3.7,54.0,0
1680476,33.0,16.6,6.7,57.0,1
1680477,71.0,15.5,0.7,39.5,0
1680478,49.0,10.9,2.2,61.7,1
1680479,35.0,14.4,2.5,49.0,1
1680480,44.0,13.0,9.4,40.7,0
1680481,27.0,19.0,0.3,49.0,1
1680482,43.0,10.3,7.5,46.5,1
1680483,46.0,8.7,0.2,54.6,1
1680484,50.0,10.8,17.1,51.5,0
1680485,29.0,17.6,2.5,21.3,1
1680486,42.0,14.8,3.3,52.3,0
1680487,50.0,2.6,2.8,35.3,0
1680488,46.0,11.0,10.0,38.5,0
1680489,63.0,11.1,0.1,65.1,1
1680490,34.0,19.0,1.0,55.0,1
1680491,67.0,12.1,0.3,68.6,1
1680492,31.0,8.1,5.5,24.8,0
1680493,54.0,17.6,48.3,61.2,1
1680494,38.0,9.4,25.5,56.5,1
1680495,47.0,13.8,9.7,48.9,1
1680496,64.0,5.1,3.4,58.7,1
1680497,28.0,10.7,2.7,42.5,0
1680498,52.0,6.9,7.0,71.3,1
1680499,47.0,6.1,8.2,35.5,1
1680500,25.0,1.6,9.7,51.3,0
1680501,32.0,8.8,1.2,40.0,0
1680502,31.0,15.4,7.4,59.3,1
1680503,48.0,12.2,4.9,48.9,0
1680504,53.0,17.0,18.7,39.4,1
1680505,31.0,11.9,11.7,39.3,0
1680506,38.0,7.5,14.1,67.9,0
1680507,30.0,11.2,19.3,21.1,0
1680508,18.0,11.8,3.7,52.3,1
1680509,35.0,18.9,0.1,53.7,0
1680510,35.0,17.1,9.0,72.4,1
1680511,58.0,17.7,7.2,45.8,1
1680512,52.0,13.9,8.7,60.2,1
1680513,45.0,7.9,8.8,33.8,0
1680514,42.0,11.5,3.2,47.9,0
1680515,41.0,9.9,12.9,30.3,0
1680516,56.0,11.4,0.6,46.0,0
1680517,30.0,17.7,8.6,49.6,1
1680518,56.0,15.2,11.0,50.9,0
1680519,19.0,16.0,6.5,27.9,0
1680520,23.0,14.7,4.8,56.5,1
1680521,43.0,18.8,7.1,29.4,1
1680522,32.0,8.8,2.6,49.0,1
1680523,17.0,8.0,2.3,44.8,0
1680524,53.0,7.9,3.4,13.9,0
1680525,51.0,16.1,2.2,33.3,1
1680526,39.0,14.6,19.0,46.6,0
1680527,39.0,9.8,18.1,25.5,0
1680528,22.0,6.2,20.5,68.8,0
1680529,49.0,10.0,3.3,56.6,1
1680530,46.0,10.3,3.5,25.1,0
1680531,38.0,20.2,2.0,49.6,1
1680532,44.0,11.6,2.2,44.9,1
1680533,51.0,1.0,0.9,14.1,0
1680534,52.0,18.1,3.9,47.5,1
1680535,18.0,7.9,28.5,47.9,0
1680536,61.0,17.0,5.1,38.5,0
1680537,64.0,11.2,13.0,36.4,0
1680538,31.0,7.7,28.7,29.9,0
1680539,52.0,10.8,24.4,47.8,1
1680540,41.0,19.8,5.3,25.9,0
1680541,24.0,1.0,26.7,54.4,1
1680542,39.0,8.7,5.9,43.3,1
1680543,26.0,20.2,11.1,73.2,1
1680544,16.0,15.8,1.4,34.0,0
1680545,4.0,4.7,4.2,10.8,0
1680546,48.0,11.3,2.1,53.7,0
1680547,56.0,8.1,10.1,49.6,1
1680548,42.0,9.7,4.6,20.6,1
1680549,49.0,,18.1,52.4,1
1680550,28.0,16.9,0.1,30.4,0
1680551,62.0,13.6,0.1,39.3,0
1680552,48.0,12.7,1.9,45.5,0
1680553,56.0,22.1,5.5,67.5,1
1680554,36.0,15.5,11.1,26.0,0
1680555,31.0,11.9,2.5,75.9,1
1680556,31.0,7.1,2.9,73.6,1
1680557,75.0,16.4,1.6,46.2,0
1680558,34.0,9.6,39.4,28.6,0
1680559,17.0,12.8,2.8,40.2,1
1680560,54.0,11.4,5.1,20.1,0
1680561,67.0,15.0,14.9,26.0,0
1680562,26.0,12.9,1.7,56.1,0
1680563,47.0,7.5,3.0,41.0,1
1680564,30.0,16.2,4.0,36.5,1
1680565,27.0,7.1,8.5,47.5,0
1680566,59.0,6.9,3.1,45.4,1
1680567,41.0,20.3,5.0,66.3,1
1680568,32.0,13.7,1.7,42.1,0
1680569,48.0,20.9,11.0,25.7,0
1680570,43.0,10.5,4.9,53.2,0
1680571,32.0,12.2,10.3,53.0,0
1680572,46.0,11.9,7.2,57.7,0
1680573,37.0,13.1,16.2,62.4,1
1680574,31.0,17.7,5.9,27.6,1
1680575,40.0,20.5,9.7,36.9,0
1680576,58.0,14.8,3.8,27.4,0
1680577,40.0,12.2,21.5,35.1,0
1680578,33.0,9.1,6.7,34.0,1
1680579,53.0,1.0,4.9,49.2,0
1680580,25.0,8.5,1.1,45.6,0
1680581,40.0,21.3,2.2,39.4,1
1680582,38.0,5.8,0.7,30.3,1
1680583,29.0,13.1,15.9,37.0,0
1680584,58.0,16.9,9.4,34.8,1
1680585,55.0,10.8,14.9,39.2,0
1680586,35.0,15.4,2.8,62.1,0
1680587,37.0,10.2,7.8,34.7,1
1680588,57.0,15.7,0.4,8.2,0
1680589,61.0,12.1,4.9,21.8,0
1680590,41.0,21.2,6.4,37.3,0
1680591,54.0,24.5,3.2,43.0,0
1680592,39.0,5.2,0.2,40.5,0
1680593,30.0,6.1,8.7,46.1,0
1680594,56.0,19.1,5.3,32.5,0
1680595,49.0,12.8,3.8,15.1,0
1680596,36.0,16.4,13.6,70.8,1
1680597,32.0,10.0,12.7,45.5,0
1680598,43.0,5.2,7.6,17.4,0
1680599,37.0,12.1,0.1,32.5,1
1680600,54.0,10.3,2.1,35.5,0
1680601,53.0,3.0,33.0,44.0,1
1680602,37.0,12.9,7.5,44.4,0
1680603,39.0,10.7,4.5,52.7,1
1680604,26.0,22.7,2.1,57.0,0
1680605,23.0,11.7,28.5,68.5,1
1680606,51.0,16.3,11.5,41.2,0
1680607,59.0,17.0,35.1,46.3,0
1680608,44.0,10.6,8.1,43.5,0
1680609,52.0,11.4,9.3,28.2,1
1680610,62.0,9.6,14.4,39.6,1
1680611,40.0,19.0,7.0,37.0,0
1680612,13.0,17.9,21.3,48.2,0
1680613,25.0,1.0,2.1,43.2,1
1680614,51.0,11.4,20.8,66.1,1
1680615,46.0,11.8,9.2,57.9,1
1680616,41.0,19.7,9.9,35.4,0
1680617,21.0,5.3,6.6,35.5,0
1680618,19.0,3.6,7.2,68.4,1
1680619,55.0,2.3,22.3,36.8,0
1680620,52.0,1.0,3.4,42.5,0
1680621,62.0,6.7,3.3,59.3,0
1680622,55.0,11.6,2.2,46.5,1
1680623,38.0,17.6,5.9,35.4,0
1680624,32.0,2.3,1.7,19.9,1
1680625,46.0,10.8,18.3,58.5,1
1680626,45.0,15.2,4.4,64.4,1
1680627,49.0,2.2,11.8,83.8,1
1680628,39.0,6.0,5.0,55.6,1
1680629,28.0,7.4,18.2,25.5,1
1680630,36.0,12.7,11.2,53.1,0
1680631,63.0,10.6,4.3,27.0,0
1680632,23.0,5.8,2.2,61.1,1
