ApplicantID,ChannelCost_K,ResumeScreenScore,InterviewScore,FinalHired,RetentionMonths
1420074,103.7,,6.0,78.6,47.0
1420075,69.3,8.5,10.0,77.7,17.0
1420076,20.0,4.9,8.0,37.4,56.0
1420077,77.2,6.3,7.4,106.9,5.0
1420078,87.1,,6.8,114.2,38.0
1420079,86.6,6.9,6.6,104.8,55.0
1420080,48.1,7.5,5.9,120.2,9.0
1420081,137.7,7.5,6.1,77.5,6.0
1420082,78.3,7.8,7.0,95.2,58.0
1420083,86.3,7.6,8.1,95.1,25.0
1420084,91.9,5.9,7.5,136.1,42.0
1420085,36.3,8.8,8.0,92.6,52.0
1420086,98.7,6.1,6.0,102.3,32.0
1420087,43.1,9.2,7.1,118.6,17.0
1420088,79.5,7.7,6.1,94.6,26.0
1420089,37.3,10.0,7.3,147.8,12.0
1420090,82.5,8.9,6.2,87.9,17.0
1420091,76.5,9.3,7.3,89.4,24.0
1420092,102.9,8.5,6.7,92.7,27.0
1420093,97.8,7.1,7.6,135.4,30.0
1420094,76.5,4.7,8.2,136.5,12.0
1420095,62.1,7.2,7.9,154.3,18.0
1420096,70.6,8.7,7.2,118.1,40.0
1420097,91.3,7.6,6.8,125.7,23.0
1420098,70.3,6.2,7.1,88.3,6.0
1420099,63.2,7.9,5.1,91.8,45.0
1420100,88.6,7.5,6.3,146.3,20.0
1420101,61.0,5.4,7.2,89.0,35.0
1420102,115.2,10.0,5.7,109.3,55.0
1420103,62.0,5.5,6.3,108.3,44.0
1420104,49.8,10.0,6.2,105.9,29.0
1420105,59.6,10.0,9.4,97.8,53.0
1420106,35.6,7.5,7.4,80.0,31.0
1420107,69.0,5.6,6.1,92.3,60.0
1420108,86.6,8.7,8.4,69.9,7.0
1420109,109.3,6.4,7.1,97.3,11.0
1420110,89.7,8.4,6.2,109.6,49.0
1420111,53.8,6.9,9.4,145.2,30.0
1420112,54.0,9.6,8.7,115.0,59.0
1420113,74.2,8.2,7.4,130.9,22.0
1420114,75.7,8.0,9.4,113.6,20.0
1420115,67.9,4.4,8.2,112.5,45.0
1420116,115.1,7.1,9.4,59.9,45.0
1420117,68.4,5.6,7.0,139.8,39.0
1420118,66.7,7.6,4.2,87.4,10.0
1420119,77.6,7.2,8.1,91.3,24.0
1420120,67.1,8.8,6.3,116.1,24.0
1420121,80.5,6.3,7.2,115.5,23.0
1420122,81.3,,9.7,70.9,47.0
1420123,93.6,6.0,10.0,71.7,22.0
1420124,64.3,6.3,9.0,68.4,55.0
1420125,106.7,6.7,8.3,118.6,49.0
1420126,73.9,8.4,6.4,65.4,16.0
1420127,72.5,9.7,7.2,94.3,3.0
1420128,53.2,4.8,8.4,71.4,11.0
1420129,102.4,8.3,4.6,82.0,12.0
1420130,74.4,7.9,6.2,78.6,22.0
1420131,101.8,8.0,7.4,93.1,49.0
1420132,95.3,6.4,6.4,68.4,48.0
1420133,80.4,8.8,8.3,85.0,6.0
1420134,64.5,7.1,7.3,88.7,44.0
1420135,76.8,5.1,4.5,64.2,30.0
1420136,77.8,4.6,9.6,81.8,7.0
1420137,73.1,8.4,7.8,57.3,44.0
1420138,119.3,6.1,5.1,113.5,7.0
1420139,56.5,6.7,8.4,72.9,15.0
1420140,64.8,7.3,7.3,79.0,4.0
1420141,105.4,7.8,8.4,100.4,20.0
1420142,103.7,6.3,7.5,66.3,45.0
1420143,70.7,5.5,8.4,117.6,46.0
1420144,85.9,6.9,5.0,125.6,26.0
1420145,75.3,7.9,4.4,71.4,27.0
1420146,78.7,7.2,7.2,86.5,18.0
1420147,58.9,7.9,7.4,119.5,16.0
1420148,108.4,7.6,6.1,113.1,27.0
1420149,74.3,6.8,4.4,120.4,12.0
1420150,102.3,7.7,9.0,108.8,20.0
1420151,66.8,5.7,7.7,64.0,11.0
1420152,96.6,4.0,4.5,56.4,59.0
1420153,64.7,6.3,8.7,120.9,50.0
1420154,30.4,6.4,10.0,124.2,10.0
1420155,91.3,6.5,8.3,97.5,19.0
1420156,51.6,9.0,6.9,158.7,12.0
1420157,89.9,6.5,9.7,111.7,49.0
1420158,43.9,5.1,8.0,69.8,58.0
1420159,38.9,7.9,5.8,61.9,35.0
1420160,63.0,9.6,8.6,108.7,47.0
1420161,57.9,9.0,7.5,98.3,46.0
1420162,49.4,6.2,5.9,88.1,33.0
1420163,71.5,8.2,8.4,97.2,25.0
1420164,61.4,7.1,6.7,127.1,54.0
1420165,62.3,7.5,9.0,90.0,46.0
1420166,128.6,7.4,9.1,68.2,10.0
1420167,98.6,8.7,6.4,101.9,26.0
1420168,90.5,9.2,7.2,139.5,6.0
1420169,88.6,4.8,7.2,84.9,24.0
1420170,77.0,8.3,8.9,113.2,36.0
1420171,98.8,6.4,5.8,107.9,31.0
1420172,65.6,7.9,4.5,119.3,12.0
1420173,102.3,6.7,8.6,26.6,29.0
1420174,31.8,7.4,9.8,80.0,33.0
1420175,108.0,8.2,8.1,102.8,8.0
1420176,68.1,9.9,6.9,84.3,20.0
1420177,93.7,6.9,6.3,76.4,53.0
1420178,50.2,5.3,9.1,97.6,42.0
1420179,87.4,7.7,5.4,34.0,52.0
1420180,97.0,10.0,7.7,109.7,54.0
1420181,90.3,5.7,9.3,156.4,11.0
1420182,106.8,7.1,8.2,120.0,50.0
1420183,63.9,7.2,8.6,100.3,14.0
1420184,107.2,5.9,6.9,89.9,9.0
1420185,90.8,8.9,9.2,97.0,51.0
1420186,21.5,5.8,10.0,88.5,59.0
1420187,59.1,10.0,8.0,124.1,10.0
1420188,89.8,8.3,6.5,167.9,4.0
1420189,61.4,6.9,8.5,117.9,38.0
1420190,73.1,7.3,7.5,106.8,27.0
1420191,56.5,4.0,5.4,110.9,26.0
1420192,57.1,8.7,9.6,99.8,46.0
1420193,58.7,7.5,8.2,126.2,50.0
1420194,69.9,6.7,8.3,106.6,50.0
1420195,76.5,6.8,6.7,82.4,25.0
1420196,40.0,8.2,7.4,123.0,44.0
1420197,97.1,7.9,5.8,84.3,50.0
1420198,65.2,7.2,8.3,154.4,29.0
1420199,64.4,8.3,10.0,95.1,27.0
1420200,61.9,8.3,4.7,131.5,13.0
1420201,54.6,9.4,7.0,65.5,53.0
1420202,105.5,5.8,6.5,107.2,40.0
1420203,59.7,6.6,8.1,48.3,36.0
1420204,98.3,6.5,6.0,88.8,35.0
1420205,37.7,4.5,8.7,88.4,6.0
1420206,94.7,6.4,6.1,77.4,24.0
1420207,108.6,7.4,7.2,70.2,21.0
1420208,70.6,6.0,5.0,93.3,47.0
1420209,64.4,7.1,8.1,99.5,38.0
1420210,86.7,10.0,9.0,103.3,51.0
1420211,47.4,6.0,6.4,79.5,30.0
1420212,71.3,6.2,5.9,46.3,58.0
1420213,77.8,8.7,7.5,48.8,55.0
1420214,96.5,10.0,5.4,99.9,8.0
1420215,78.8,6.5,4.7,80.6,55.0
1420216,79.6,5.5,8.7,114.7,11.0
1420217,68.1,5.5,5.6,45.3,42.0
1420218,36.3,7.6,7.5,83.7,17.0
1420219,26.0,6.0,8.8,84.8,20.0
1420220,47.4,7.7,9.5,121.7,11.0
1420221,85.8,10.0,6.4,100.0,24.0
1420222,74.6,7.1,8.5,73.2,18.0
1420223,84.8,8.6,6.9,108.7,56.0
1420224,77.1,6.6,4.4,115.2,4.0
1420225,68.0,7.3,6.7,77.3,48.0
1420226,64.7,8.9,8.2,105.1,29.0
1420227,50.0,9.1,6.2,77.3,47.0
1420228,94.3,6.4,7.8,117.9,37.0
1420229,68.9,7.3,9.1,97.6,7.0
1420230,45.7,7.8,10.0,115.1,27.0
1420231,139.4,4.2,9.4,122.0,20.0
1420232,69.1,8.1,3.6,105.9,37.0
1420233,79.7,8.2,7.6,114.2,47.0
1420234,123.1,5.6,8.4,101.9,52.0
1420235,42.5,5.1,9.8,75.9,41.0
1420236,59.3,7.0,8.0,127.9,46.0
1420237,85.1,7.3,6.4,102.5,24.0
1420238,107.6,6.4,8.9,122.1,47.0
1420239,74.2,8.4,6.6,101.4,4.0
1420240,31.1,9.4,4.7,108.2,29.0
1420241,65.3,8.3,8.4,99.5,40.0
1420242,91.0,5.0,6.1,79.6,59.0
1420243,53.2,8.3,8.2,83.5,57.0
1420244,89.3,5.9,7.6,112.5,43.0
1420245,122.9,7.6,5.8,111.8,15.0
1420246,84.9,6.0,8.1,91.6,17.0
1420247,40.4,7.5,8.5,31.6,46.0
1420248,94.1,9.7,8.9,87.3,24.0
1420249,86.4,8.3,5.7,110.7,25.0
1420250,45.8,8.4,6.4,113.9,23.0
1420251,82.7,7.8,5.7,114.8,49.0
1420252,69.1,8.7,8.6,98.9,3.0
1420253,60.7,7.7,9.6,87.4,33.0
1420254,95.0,7.8,5.6,101.7,45.0
1420255,75.0,3.0,5.6,117.4,7.0
1420256,59.9,4.6,6.7,100.0,41.0
1420257,81.3,6.8,7.4,111.0,28.0
1420258,50.0,4.5,6.7,60.0,35.0
1420259,61.6,8.7,7.2,91.1,20.0
1420260,60.8,6.9,8.9,83.7,29.0
1420261,92.7,7.2,4.4,81.7,58.0
1420262,88.4,5.2,6.9,73.5,9.0
1420263,106.9,9.4,6.1,133.6,30.0
1420264,52.2,5.9,8.7,111.3,4.0
1420265,75.2,7.1,8.2,121.3,11.0
1420266,92.2,7.2,8.6,164.3,52.0
1420267,89.9,6.7,7.5,103.8,51.0
1420268,79.6,9.0,6.1,74.1,12.0
1420269,54.5,6.6,7.1,103.6,4.0
1420270,66.3,8.8,4.7,75.2,17.0
1420271,70.9,5.3,5.5,110.7,37.0
1420272,78.8,5.7,5.2,94.5,19.0
1420273,40.8,6.8,10.0,121.4,41.0
1420274,116.1,6.7,6.5,105.8,55.0
1420275,108.5,5.3,6.4,102.2,24.0
1420276,96.6,8.1,10.0,112.4,7.0
1420277,70.1,8.9,6.3,95.8,3.0
1420278,80.4,7.3,6.2,99.4,41.0
1420279,90.1,7.6,7.7,92.4,10.0
1420280,94.2,5.1,6.8,96.6,6.0
1420281,54.6,8.5,6.6,70.1,25.0
1420282,37.4,7.8,7.1,130.2,12.0
1420283,104.4,7.4,3.3,99.1,4.0
1420284,58.1,8.5,7.9,104.7,27.0
1420285,57.7,4.1,7.7,106.4,9.0
1420286,70.5,7.8,7.4,98.3,5.0
1420287,89.1,7.3,6.6,105.7,9.0
1420288,95.8,6.8,7.9,107.5,13.0
1420289,114.7,9.6,8.4,85.2,11.0
1420290,98.5,9.0,6.3,123.0,8.0
1420291,78.5,4.3,6.3,118.7,29.0
1420292,109.6,6.3,5.6,65.8,43.0
1420293,67.4,7.1,7.2,111.7,33.0
1420294,106.4,6.7,8.0,93.8,25.0
1420295,98.5,8.1,7.3,120.3,51.0
1420296,65.0,9.8,6.7,46.5,10.0
1420297,88.9,6.8,8.6,66.0,41.0
1420298,74.1,7.3,8.8,132.2,58.0
1420299,75.2,10.0,6.2,121.3,19.0
1420300,106.7,9.5,7.8,75.8,39.0
1420301,99.2,5.5,6.8,72.0,18.0
1420302,58.3,7.0,8.7,121.3,18.0
1420303,115.7,8.1,5.5,86.7,51.0
1420304,98.0,8.8,6.9,79.9,28.0
1420305,68.5,5.6,8.2,100.5,49.0
1420306,60.4,4.7,8.7,62.8,36.0
1420307,54.0,5.7,9.6,100.4,36.0
1420308,122.3,5.8,5.1,81.8,32.0
1420309,81.7,6.1,7.8,114.8,39.0
1420310,48.5,7.5,3.9,102.8,59.0
1420311,121.0,9.4,6.1,74.9,36.0
1420312,71.1,6.9,8.9,46.8,6.0
1420313,64.8,5.8,6.5,69.0,34.0
1420314,99.8,6.4,8.4,88.8,54.0
1420315,111.8,6.9,6.4,66.3,46.0
1420316,82.2,6.7,8.7,105.1,15.0
1420317,89.9,6.0,7.7,111.1,55.0
1420318,80.1,7.0,6.3,77.6,7.0
1420319,88.1,9.5,8.1,85.1,28.0
1420320,65.3,7.7,8.2,90.4,52.0
1420321,78.5,6.0,5.2,68.6,8.0
1420322,84.6,7.1,8.5,126.5,25.0
1420323,37.9,8.0,5.1,78.0,28.0
1420324,71.9,9.0,6.8,72.6,52.0
1420325,67.7,5.9,6.4,75.0,44.0
1420326,103.2,7.1,6.6,80.4,37.0
1420327,64.6,10.0,5.5,135.2,53.0
1420328,49.4,4.5,8.5,124.7,48.0
1420329,66.0,7.4,6.1,79.3,25.0
1420330,104.0,5.0,8.1,115.5,14.0
1420331,85.8,8.5,5.2,111.9,41.0
1420332,103.9,5.8,6.2,107.0,40.0
1420333,63.4,5.5,8.3,141.3,43.0
1420334,77.5,7.4,7.9,146.5,44.0
1420335,87.2,4.8,5.5,103.3,37.0
1420336,89.0,8.1,7.6,99.2,37.0
1420337,97.8,6.0,5.7,124.8,38.0
1420338,96.0,8.7,8.8,87.6,58.0
1420339,86.6,8.7,6.8,89.5,54.0
1420340,70.9,8.3,6.9,122.4,27.0
1420341,84.3,7.9,6.2,115.1,29.0
1420342,101.0,7.3,8.4,125.1,4.0
1420343,100.9,,8.2,106.4,39.0
1420344,41.6,5.6,8.4,88.8,9.0
1420345,49.4,5.3,8.0,107.4,33.0
1420346,125.0,6.7,2.9,85.6,13.0
1420347,58.5,6.9,8.8,111.1,18.0
1420348,50.4,6.3,7.2,55.0,58.0
1420349,86.7,7.6,8.0,98.0,49.0
1420350,93.7,7.3,6.1,91.5,24.0
1420351,116.8,3.3,7.9,101.0,38.0
1420352,82.4,6.0,8.3,96.3,29.0
1420353,111.6,8.4,7.0,118.1,25.0
1420354,106.9,6.5,8.1,157.4,14.0
1420355,66.9,5.1,8.7,87.4,53.0
1420356,79.3,7.4,8.3,59.2,4.0
1420357,109.9,9.2,9.5,99.4,19.0
1420358,106.1,3.2,6.5,104.8,52.0
1420359,90.4,5.4,7.3,139.0,42.0
1420360,82.7,7.3,9.4,133.1,24.0
1420361,44.6,7.1,6.4,45.6,28.0
1420362,92.9,7.8,7.5,115.4,3.0
1420363,95.0,6.3,8.6,144.2,8.0
1420364,73.5,6.9,8.2,128.6,20.0
1420365,49.5,10.0,7.4,86.9,56.0
1420366,56.2,6.8,8.8,69.6,55.0
1420367,66.6,5.8,6.9,106.4,45.0
1420368,97.2,8.5,8.4,117.2,56.0
1420369,107.4,8.6,7.6,91.2,54.0
1420370,101.6,7.4,5.5,58.0,49.0
1420371,74.1,9.8,7.6,85.2,23.0
1420372,69.3,7.2,6.8,103.7,7.0
1420373,90.2,6.0,5.7,68.7,56.0
1420374,61.2,10.0,5.4,103.6,22.0
1420375,46.8,7.5,9.3,80.6,34.0
1420376,85.9,,7.3,101.6,29.0
1420377,79.1,6.5,3.4,46.6,33.0
1420378,69.0,5.8,7.8,111.5,56.0
1420379,100.9,6.9,8.5,97.0,16.0
1420380,47.3,7.0,8.5,140.0,16.0
1420381,118.5,8.6,7.0,83.7,36.0
1420382,81.4,4.0,4.8,115.6,23.0
1420383,75.6,8.2,7.0,121.6,38.0
1420384,102.0,7.8,7.0,107.5,45.0
1420385,58.6,7.7,5.6,98.8,4.0
1420386,65.6,8.4,7.2,122.4,12.0
1420387,80.8,7.5,9.4,141.1,36.0
1420388,32.4,8.1,6.3,120.8,52.0
1420389,54.9,6.2,8.1,77.4,6.0
1420390,100.5,4.8,5.9,64.6,29.0
1420391,62.4,3.8,7.5,91.6,10.0
1420392,81.4,7.3,7.7,136.5,23.0
1420393,35.5,6.8,7.9,82.8,59.0
1420394,90.2,5.9,10.0,82.4,15.0
1420395,67.7,5.3,7.8,50.7,17.0
1420396,76.0,8.9,5.8,88.3,27.0
1420397,51.9,5.5,6.5,91.1,26.0
1420398,96.1,8.2,9.5,113.6,59.0
1420399,51.7,7.3,6.7,103.3,43.0
1420400,95.3,7.0,6.7,111.8,51.0
1420401,77.9,6.9,7.0,95.0,14.0
1420402,51.8,2.8,7.6,105.4,57.0
1420403,62.2,7.9,8.2,104.8,7.0
1420404,72.5,8.3,7.7,121.0,44.0
1420405,117.5,9.3,5.4,88.7,51.0
1420406,87.3,10.0,6.2,121.9,51.0
1420407,66.9,7.0,5.1,89.5,9.0
1420408,96.4,8.7,6.1,85.6,23.0
1420409,24.1,8.2,10.0,84.3,27.0
1420410,41.8,,7.7,106.5,10.0
1420411,86.6,10.0,9.0,104.6,56.0
1420412,94.4,7.4,10.0,75.4,42.0
1420413,128.6,8.6,7.2,93.8,8.0
1420414,91.7,7.5,9.4,134.2,38.0
1420415,65.8,9.1,10.0,86.7,28.0
1420416,105.9,7.6,6.1,139.3,8.0
1420417,57.8,8.5,8.8,91.0,27.0
1420418,83.3,8.9,8.3,99.2,39.0
1420419,70.7,5.8,8.2,78.9,22.0
1420420,85.6,8.4,8.0,113.0,34.0
1420421,65.3,8.7,8.1,58.9,5.0
1420422,87.8,6.9,7.2,49.2,34.0
1420423,54.2,7.7,6.6,121.6,30.0
1420424,49.9,7.4,8.4,83.6,25.0
1420425,54.6,8.4,6.6,106.1,35.0
1420426,67.8,7.4,7.5,115.8,48.0
1420427,94.0,7.2,9.5,126.5,39.0
1420428,83.0,5.3,8.3,109.0,17.0
1420429,44.3,7.1,7.6,91.0,12.0
1420430,74.7,6.8,7.5,99.0,52.0
1420431,80.7,7.3,7.2,87.3,56.0
1420432,72.7,8.1,4.6,84.9,47.0
1420433,88.2,9.4,6.2,105.2,40.0
1420434,93.1,8.3,7.7,120.6,21.0
1420435,86.6,6.9,6.6,102.3,59.0
1420436,87.6,8.6,8.1,154.2,9.0
1420437,58.2,6.9,7.8,70.9,51.0
1420438,84.6,6.7,8.3,62.9,39.0
1420439,49.4,6.3,10.0,72.9,20.0
1420440,76.7,,8.1,120.7,55.0
1420441,77.7,6.1,6.5,102.9,27.0
1420442,83.8,5.4,8.0,66.2,31.0
1420443,81.2,8.9,10.0,105.9,14.0
1420444,66.6,4.3,7.8,80.6,27.0
1420445,49.8,7.0,7.1,101.2,29.0
1420446,65.6,6.7,7.4,131.5,15.0
1420447,80.2,10.0,4.9,114.6,59.0
1420448,109.2,8.1,8.4,111.1,59.0
1420449,64.5,6.9,6.7,109.4,14.0
1420450,89.7,4.1,6.9,143.9,39.0
1420451,67.5,5.4,10.0,108.5,5.0
1420452,69.2,6.2,6.9,89.4,21.0
1420453,96.1,5.2,6.9,140.4,55.0
1420454,90.2,7.9,6.1,150.5,15.0
1420455,79.6,4.2,6.8,104.8,10.0
1420456,65.8,9.3,7.4,67.0,42.0
1420457,41.1,5.7,6.2,70.9,29.0
1420458,48.1,8.8,7.6,120.2,30.0
1420459,63.9,5.2,8.1,132.8,38.0
1420460,108.5,8.6,5.2,89.0,5.0
1420461,82.8,6.9,6.2,115.8,38.0
1420462,95.3,6.4,6.2,74.4,53.0
1420463,107.0,9.1,8.9,113.5,20.0
1420464,87.3,5.8,4.4,127.4,45.0
1420465,57.8,6.7,3.6,116.0,24.0
1420466,98.0,4.7,6.5,89.3,44.0
1420467,74.5,7.0,4.6,102.8,13.0
1420468,80.0,6.3,8.1,110.4,28.0
1420469,55.0,10.0,6.7,100.4,38.0
1420470,57.6,6.5,8.4,109.2,6.0
1420471,58.0,8.5,8.5,65.7,53.0
1420472,54.7,7.7,7.0,124.9,6.0
1420473,101.7,8.1,6.6,92.9,43.0
1420474,100.5,7.5,6.5,65.1,53.0
1420475,68.7,6.3,7.5,100.9,17.0
1420476,79.8,7.5,5.2,114.3,14.0
1420477,42.3,8.0,7.1,141.3,5.0
1420478,84.6,6.1,6.7,172.8,26.0
1420479,92.8,5.0,6.0,122.0,54.0
1420480,93.6,4.6,7.9,80.8,51.0
1420481,77.3,8.0,7.2,100.8,56.0
1420482,41.3,4.1,8.2,98.5,19.0
1420483,75.5,8.1,7.2,105.1,47.0
1420484,49.8,6.2,9.4,93.6,55.0
1420485,83.8,7.5,8.1,48.4,29.0
1420486,64.9,7.0,4.2,100.4,28.0
1420487,83.3,7.1,7.7,88.9,42.0
1420488,90.4,6.7,9.4,170.0,26.0
1420489,64.6,7.8,10.0,60.5,16.0
1420490,31.6,7.3,8.8,124.1,34.0
1420491,96.2,9.7,6.2,103.9,10.0
1420492,91.1,9.6,9.2,86.9,35.0
1420493,59.3,8.3,6.9,53.0,59.0
1420494,98.1,5.9,5.8,74.5,12.0
1420495,30.9,5.6,5.9,96.2,13.0
1420496,95.1,8.3,5.7,48.1,53.0
1420497,79.6,4.5,6.4,119.1,16.0
1420498,73.9,8.5,6.8,134.9,46.0
1420499,34.8,5.8,8.0,102.9,16.0
1420500,52.3,5.9,4.3,86.9,16.0
1420501,50.4,7.3,7.0,103.0,31.0
1420502,48.5,7.0,9.1,52.0,44.0
1420503,87.8,7.3,7.9,109.2,37.0
1420504,53.7,5.7,5.4,102.8,34.0
1420505,102.3,5.8,4.5,88.3,18.0
1420506,64.0,6.3,8.1,75.3,7.0
1420507,91.5,8.5,9.8,66.9,10.0
1420508,62.8,7.0,9.1,115.8,57.0
1420509,105.1,6.2,8.8,97.4,26.0
1420510,62.7,10.0,7.4,75.4,46.0
1420511,80.9,6.6,6.4,111.8,27.0
1420512,66.8,8.3,6.0,116.9,30.0
1420513,88.8,7.2,4.9,91.4,35.0
1420514,70.9,7.8,6.1,84.8,30.0
1420515,91.1,8.1,6.9,81.1,40.0
1420516,93.6,7.9,1.9,122.1,11.0
1420517,87.0,6.8,8.0,90.2,46.0
1420518,76.1,8.6,8.6,95.5,30.0
1420519,73.6,10.0,9.1,104.0,35.0
1420520,69.0,6.8,6.8,101.5,27.0
1420521,88.6,7.5,3.7,103.6,32.0
1420522,83.3,6.9,7.7,116.0,9.0
1420523,84.1,6.3,5.7,127.8,57.0
1420524,82.4,6.3,7.3,128.2,27.0
1420525,66.8,9.2,9.5,53.2,37.0
1420526,64.4,7.9,6.5,89.6,18.0
1420527,48.0,7.5,8.9,120.5,39.0
1420528,84.9,9.3,9.3,144.1,45.0
1420529,69.9,6.9,8.1,87.4,5.0
1420530,43.2,7.1,8.5,128.5,46.0
1420531,64.0,6.2,5.7,115.6,12.0
1420532,95.6,7.7,7.6,106.0,38.0
1420533,101.4,9.3,6.0,114.4,52.0
1420534,32.0,7.5,5.3,80.0,41.0
1420535,86.7,,6.4,125.6,11.0
1420536,109.7,8.8,9.0,39.5,49.0
1420537,59.5,5.6,7.5,111.0,14.0
1420538,76.5,5.7,6.7,83.9,32.0
1420539,27.9,7.2,8.3,94.0,41.0
1420540,61.6,7.4,8.5,98.3,10.0
1420541,89.0,7.0,6.4,106.4,26.0
1420542,63.2,7.4,9.0,128.5,30.0
1420543,84.4,5.0,1.7,170.6,20.0
1420544,52.1,9.5,6.2,152.7,49.0
1420545,90.1,7.7,4.0,150.6,33.0
1420546,31.2,7.9,7.7,115.7,42.0
1420547,68.7,7.9,5.9,101.3,39.0
1420548,69.0,6.2,7.7,91.8,49.0
1420549,94.8,4.2,3.1,63.4,55.0
1420550,103.3,9.2,7.1,87.9,22.0
1420551,67.5,7.3,10.0,80.4,24.0
1420552,46.0,4.6,7.9,102.3,18.0
1420553,58.4,5.5,8.2,76.6,5.0
1420554,76.9,5.7,9.7,88.4,14.0
1420555,80.0,4.4,5.9,110.1,32.0
1420556,68.8,8.6,7.4,120.0,7.0
1420557,54.4,10.0,6.8,104.0,33.0
1420558,72.0,6.8,8.2,103.0,43.0
1420559,62.9,8.4,9.5,90.1,34.0
1420560,43.8,5.0,9.3,89.7,24.0
1420561,76.9,5.4,8.1,95.9,42.0
1420562,96.9,7.8,8.4,86.3,29.0
1420563,66.6,8.8,10.0,118.5,8.0
1420564,67.0,5.4,7.5,128.4,40.0
1420565,68.8,8.1,8.7,104.3,31.0
1420566,72.6,5.3,7.8,90.0,45.0
1420567,91.5,7.1,7.1,65.1,16.0
1420568,89.8,6.7,8.6,89.6,19.0
1420569,99.2,,7.6,122.7,13.0
1420570,55.7,10.0,5.4,67.3,33.0
1420571,87.4,4.2,4.1,77.4,47.0
1420572,49.7,6.5,8.8,72.2,33.0
1420573,73.1,6.8,6.5,105.2,17.0
1420574,54.1,10.0,7.7,97.3,24.0
1420575,53.4,7.3,9.9,85.6,39.0
1420576,85.2,9.1,8.7,74.0,57.0
1420577,81.9,8.3,6.3,101.4,54.0
1420578,49.0,6.1,7.4,97.5,27.0
1420579,68.3,8.7,8.3,95.0,52.0
1420580,87.9,7.2,6.0,90.4,48.0
