HouseholdID,LowestTempCelsius,GasConsumption_M3,BuildingAgeYears,ThermostatTemp,HighEnergyBill
1820045,147.3,82.2,42.0,80.3,0
1820046,134.7,118.2,6.0,96.3,0
1820047,34.7,109.7,41.0,152.5,0
1820048,151.9,101.0,41.0,131.8,1
1820049,170.5,83.4,29.0,151.6,1
1820050,93.4,102.6,54.0,95.4,0
1820051,142.0,119.9,12.0,100.0,0
1820052,115.3,110.7,51.0,118.7,0
1820053,117.3,112.4,69.0,111.1,0
1820054,131.9,149.8,55.0,105.9,1
1820055,114.4,74.5,32.0,122.6,0
1820056,89.4,145.7,37.0,99.6,1
1820057,75.1,123.3,50.0,158.6,0
1820058,88.8,87.9,46.0,67.6,0
1820059,134.0,114.5,52.0,86.1,0
1820060,118.4,126.1,37.0,90.9,0
1820061,106.9,148.2,38.0,164.0,1
1820062,147.0,86.8,42.0,155.8,0
1820063,128.2,122.5,47.0,154.3,0
1820064,82.8,128.2,52.0,158.8,1
1820065,127.2,93.5,37.0,129.9,1
1820066,97.9,83.2,46.0,120.4,0
1820067,162.9,85.8,44.0,112.9,0
1820068,148.9,133.3,61.0,74.2,1
1820069,71.7,78.3,66.0,155.5,1
1820070,76.5,45.6,45.0,112.4,0
1820071,130.6,104.6,56.0,160.0,1
1820072,88.7,127.6,43.0,163.0,1
1820073,131.7,71.5,37.0,127.5,1
1820074,144.3,68.9,22.0,134.9,1
1820075,112.9,82.8,38.0,111.0,0
1820076,64.5,107.4,5.0,136.6,0
1820077,109.7,50.6,31.0,154.0,0
1820078,143.5,113.4,43.0,91.1,1
1820079,127.6,97.6,40.0,151.3,1
1820080,67.7,86.6,48.0,124.4,0
1820081,140.1,60.6,25.0,155.7,1
1820082,139.8,67.0,40.0,119.0,0
1820083,117.9,108.0,54.0,104.4,0
1820084,173.0,135.3,25.0,110.7,1
1820085,118.4,117.1,55.0,90.2,0
1820086,123.4,71.4,51.0,134.6,1
1820087,160.4,140.9,54.0,118.3,1
1820088,135.4,90.7,24.0,150.1,1
1820089,123.2,124.8,26.0,157.5,1
1820090,99.6,169.4,50.0,124.5,0
1820091,103.1,131.3,51.0,133.7,1
1820092,156.5,135.6,52.0,56.7,0
1820093,132.7,76.3,76.0,115.4,0
1820094,76.5,144.8,36.0,77.6,0
1820095,106.7,119.7,26.0,76.9,0
1820096,126.0,113.8,40.0,113.7,0
1820097,115.5,108.9,31.0,138.6,0
1820098,162.1,,34.0,82.7,0
1820099,102.8,120.6,24.0,126.0,0
1820100,132.7,137.9,27.0,139.1,1
1820101,99.3,105.5,27.0,109.5,0
1820102,161.5,69.3,52.0,154.4,1
1820103,107.9,90.8,55.0,145.6,1
1820104,109.1,144.2,69.0,106.6,0
1820105,134.9,127.4,60.0,141.9,1
1820106,150.5,70.8,58.0,55.3,0
1820107,113.3,91.4,61.0,108.6,0
1820108,61.5,123.4,55.0,102.2,1
1820109,115.3,96.6,53.0,135.7,1
1820110,99.0,103.1,51.0,145.1,1
1820111,96.2,136.6,19.0,82.7,0
1820112,125.5,92.0,54.0,74.5,0
1820113,171.4,122.7,3.0,123.7,1
1820114,167.5,94.7,47.0,130.2,1
1820115,103.7,105.5,55.0,114.0,0
1820116,65.8,119.7,32.0,129.7,1
1820117,126.2,83.1,60.0,96.1,0
1820118,114.4,49.4,35.0,153.7,1
1820119,129.3,61.0,27.0,146.9,1
1820120,124.9,61.1,44.0,146.7,1
1820121,160.9,127.6,42.0,122.0,1
1820122,62.0,93.8,45.0,108.5,0
1820123,137.3,73.1,22.0,122.5,1
1820124,92.3,94.2,41.0,118.1,0
1820125,131.4,65.5,15.0,92.0,1
1820126,83.2,65.8,34.0,135.6,0
1820127,68.0,126.8,36.0,139.9,1
1820128,167.8,92.3,49.0,125.9,1
1820129,168.2,116.9,42.0,119.8,1
1820130,106.3,111.2,48.0,52.9,0
1820131,130.5,79.8,36.0,94.5,0
1820132,124.2,,40.0,121.8,0
1820133,139.2,106.0,50.0,115.3,1
1820134,108.2,84.4,58.0,144.3,0
1820135,143.5,115.2,37.0,79.0,0
1820136,109.8,138.7,39.0,124.8,0
1820137,69.1,118.8,36.0,141.3,1
1820138,128.6,77.8,53.0,107.8,0
1820139,155.7,119.5,45.0,140.3,1
1820140,81.2,70.1,19.0,97.1,0
1820141,119.1,116.9,36.0,137.1,0
1820142,107.9,89.2,42.0,111.8,1
1820143,69.1,136.6,44.0,134.3,0
1820144,186.0,92.1,28.0,138.3,1
1820145,111.5,139.1,31.0,145.6,0
1820146,43.1,129.5,49.0,99.2,0
1820147,39.2,134.8,51.0,96.3,0
1820148,100.5,138.1,38.0,140.9,1
1820149,190.1,73.3,54.0,98.9,0
1820150,121.9,131.1,44.0,156.3,1
1820151,132.6,91.1,31.0,141.6,1
1820152,70.0,75.3,49.0,168.0,0
1820153,178.6,83.3,46.0,122.9,1
1820154,136.7,135.6,70.0,152.9,1
1820155,154.9,141.1,47.0,115.1,1
1820156,135.3,82.8,44.0,176.0,1
1820157,73.2,95.3,30.0,133.6,1
1820158,119.8,83.3,46.0,184.8,1
1820159,144.5,88.3,21.0,95.5,1
1820160,148.1,69.1,31.0,100.2,1
1820161,146.6,97.6,49.0,129.9,1
1820162,150.3,117.1,53.0,145.0,1
1820163,111.8,88.7,36.0,197.5,1
1820164,131.8,67.3,50.0,137.7,1
1820165,121.1,131.3,68.0,131.6,0
1820166,116.7,133.4,31.0,143.8,1
1820167,91.0,143.4,31.0,150.2,1
1820168,138.7,63.6,41.0,148.7,1
1820169,157.1,62.0,58.0,83.1,0
1820170,104.2,121.6,22.0,170.4,1
1820171,136.4,101.0,48.0,107.7,1
1820172,95.0,,57.0,102.0,1
1820173,87.8,85.3,56.0,115.5,0
1820174,112.3,81.9,43.0,138.7,0
1820175,161.3,104.2,61.0,152.1,1
1820176,97.5,114.2,36.0,150.2,1
1820177,134.0,100.3,60.0,188.6,1
1820178,103.4,135.8,38.0,140.9,1
1820179,109.2,128.6,20.0,151.0,1
1820180,85.6,75.7,34.0,126.6,0
1820181,154.7,83.2,33.0,113.5,1
1820182,80.9,117.2,61.0,172.1,1
1820183,177.0,98.1,26.0,109.1,1
1820184,127.5,86.7,66.0,138.4,0
1820185,139.1,129.0,35.0,154.2,1
1820186,122.3,116.4,41.0,125.5,1
1820187,119.8,123.2,15.0,171.9,1
1820188,113.3,107.1,51.0,136.2,1
1820189,109.7,82.9,50.0,118.9,1
1820190,94.6,45.2,57.0,137.1,0
1820191,67.1,85.1,50.0,134.5,0
1820192,101.3,130.7,53.0,75.3,0
1820193,117.9,62.9,67.0,179.5,1
1820194,136.1,137.7,43.0,149.6,0
1820195,109.5,80.0,37.0,125.9,1
1820196,191.5,79.6,48.0,137.7,1
1820197,119.6,104.4,36.0,145.3,1
1820198,149.7,110.3,20.0,52.9,1
1820199,153.0,77.2,19.0,120.0,1
1820200,118.9,100.6,27.0,161.0,1
1820201,110.9,116.6,49.0,98.2,0
1820202,185.0,98.2,55.0,118.0,1
1820203,139.7,146.5,56.0,114.7,0
1820204,151.3,115.1,38.0,89.0,1
1820205,87.2,75.7,42.0,97.4,0
1820206,121.1,110.8,51.0,118.4,1
1820207,176.3,126.0,51.0,212.2,1
1820208,157.2,126.8,54.0,142.4,1
1820209,131.8,150.8,16.0,120.0,0
1820210,82.8,113.0,30.0,84.5,0
1820211,163.1,104.4,31.0,86.5,1
1820212,135.6,124.7,49.0,173.8,1
1820213,78.0,107.9,52.0,117.8,1
1820214,107.8,70.0,32.0,117.5,1
1820215,76.6,147.5,46.0,153.0,0
1820216,144.7,114.1,63.0,144.1,0
1820217,105.4,103.2,46.0,129.9,0
1820218,134.1,97.5,42.0,127.3,1
1820219,105.7,121.5,46.0,98.6,0
1820220,133.8,115.9,42.0,68.4,0
1820221,140.3,58.6,34.0,107.9,1
1820222,146.6,138.2,40.0,111.9,1
1820223,117.0,95.0,59.0,118.1,0
1820224,151.6,102.1,58.0,82.4,1
1820225,125.3,137.3,29.0,113.5,0
1820226,109.0,93.5,46.0,127.8,0
1820227,122.4,64.3,33.0,86.8,1
1820228,152.4,102.8,11.0,158.6,1
1820229,106.9,65.9,41.0,104.1,0
1820230,99.5,153.8,35.0,148.4,0
1820231,138.9,104.4,46.0,98.9,0
1820232,102.1,91.9,55.0,72.5,0
1820233,162.9,80.9,48.0,86.3,1
1820234,124.7,115.4,36.0,157.0,0
1820235,133.0,74.2,67.0,61.2,1
1820236,123.4,79.5,92.0,160.4,0
1820237,122.7,72.9,54.0,122.0,0
1820238,71.2,89.2,61.0,80.0,0
1820239,129.9,77.4,39.0,157.3,1
1820240,121.9,89.3,32.0,96.3,1
1820241,146.6,86.0,37.0,78.9,1
1820242,134.1,135.3,59.0,96.7,1
1820243,114.8,100.0,41.0,179.0,1
1820244,114.5,100.8,26.0,74.2,0
1820245,112.8,104.0,50.0,168.4,0
1820246,107.5,121.0,25.0,128.9,0
1820247,156.9,132.4,39.0,132.1,1
1820248,92.9,99.9,49.0,104.1,0
1820249,163.8,107.3,18.0,149.1,1
1820250,140.9,60.4,29.0,147.5,1
1820251,134.2,96.7,15.0,68.5,0
1820252,81.1,81.4,43.0,119.9,0
1820253,134.9,87.6,37.0,146.8,1
1820254,126.7,59.1,40.0,167.8,1
1820255,96.5,114.7,36.0,115.4,0
1820256,97.6,60.3,47.0,139.6,0
1820257,123.0,66.3,36.0,132.1,0
1820258,68.7,57.5,32.0,128.5,0
1820259,111.7,113.9,60.0,133.5,0
1820260,89.8,,56.0,83.5,0
1820261,150.7,106.8,23.0,88.5,1
1820262,123.3,97.4,40.0,95.4,0
1820263,116.3,124.1,29.0,116.4,1
1820264,117.3,123.8,25.0,131.9,1
1820265,202.7,96.3,59.0,105.8,1
1820266,131.8,90.7,51.0,132.0,1
1820267,185.5,115.9,65.0,129.8,1
1820268,111.7,100.7,35.0,143.1,0
1820269,130.2,95.3,57.0,167.2,1
1820270,59.3,107.2,46.0,73.9,1
1820271,149.1,99.8,41.0,113.6,0
1820272,68.8,98.9,29.0,120.2,0
1820273,118.1,86.8,57.0,95.4,0
1820274,80.9,72.3,46.0,141.1,0
1820275,138.7,81.7,52.0,142.5,1
1820276,133.7,94.4,39.0,172.8,1
1820277,120.4,113.1,64.0,54.6,0
1820278,104.2,100.3,50.0,137.8,1
1820279,111.5,105.8,69.0,92.4,0
1820280,149.2,115.0,39.0,123.4,0
1820281,108.7,140.9,30.0,129.0,0
1820282,122.5,87.5,27.0,126.8,0
1820283,56.8,106.4,33.0,161.6,0
1820284,136.5,113.6,61.0,150.3,1
1820285,117.7,105.2,32.0,86.6,0
1820286,79.4,111.2,64.0,155.3,0
1820287,140.6,101.9,32.0,85.7,0
1820288,156.4,103.4,23.0,146.1,1
1820289,154.3,126.0,52.0,151.5,1
1820290,100.7,127.5,49.0,117.7,0
1820291,140.4,148.6,26.0,92.4,0
1820292,101.5,109.7,45.0,92.8,0
1820293,100.8,94.9,19.0,147.8,1
1820294,130.2,88.9,64.0,150.6,1
1820295,128.1,100.9,16.0,101.0,0
1820296,115.6,116.6,61.0,125.3,0
1820297,153.8,129.4,7.0,104.7,1
1820298,97.8,85.3,7.0,127.1,0
1820299,162.6,126.4,53.0,105.9,1
1820300,124.5,87.7,63.0,101.8,1
1820301,69.7,121.3,41.0,114.1,0
1820302,107.8,87.7,40.0,143.9,1
1820303,132.3,109.4,48.0,74.7,1
1820304,103.3,101.1,39.0,92.6,0
1820305,105.3,87.2,59.0,74.9,0
1820306,92.7,107.0,55.0,163.7,1
1820307,146.3,102.8,23.0,168.9,1
1820308,147.0,109.2,45.0,175.2,1
1820309,132.1,110.5,37.0,126.6,0
1820310,98.2,121.9,53.0,72.1,0
1820311,128.7,123.9,17.0,120.7,1
1820312,180.0,86.8,41.0,183.9,0
1820313,75.7,103.2,58.0,137.9,0
1820314,180.9,132.7,48.0,121.1,1
1820315,121.7,89.1,32.0,100.3,0
1820316,96.4,70.0,62.0,122.4,0
1820317,85.0,52.8,32.0,116.0,0
1820318,65.5,100.3,29.0,147.4,0
1820319,100.3,90.9,55.0,112.3,1
1820320,124.5,59.4,18.0,128.3,1
1820321,150.9,116.9,37.0,143.7,1
1820322,104.0,115.3,41.0,163.1,1
1820323,103.0,140.7,28.0,105.1,0
1820324,137.9,83.6,38.0,130.5,1
1820325,96.2,106.9,38.0,74.0,0
1820326,172.8,99.2,27.0,141.7,1
1820327,113.4,88.2,64.0,120.7,0
1820328,142.9,59.6,20.0,109.3,1
1820329,128.4,114.0,61.0,137.5,1
1820330,182.2,81.1,33.0,173.3,1
1820331,161.9,71.7,59.0,176.6,1
1820332,122.9,65.7,28.0,153.1,1
1820333,137.7,88.5,44.0,131.6,1
1820334,176.9,98.4,35.0,133.6,0
1820335,106.6,117.4,69.0,136.9,1
1820336,73.8,87.9,37.0,106.2,0
1820337,144.8,133.3,54.0,146.0,1
1820338,104.7,77.9,40.0,135.6,0
1820339,125.1,104.3,52.0,92.1,0
1820340,106.3,128.8,35.0,133.8,0
1820341,134.7,90.7,54.0,85.1,0
1820342,111.6,134.2,38.0,117.2,0
1820343,145.7,150.6,55.0,99.1,1
1820344,110.8,74.7,29.0,123.3,1
1820345,83.4,123.0,62.0,126.0,0
1820346,103.5,84.1,46.0,81.1,0
1820347,121.6,112.4,37.0,96.3,0
1820348,95.1,97.9,47.0,89.5,1
1820349,130.9,107.7,52.0,98.4,0
1820350,145.5,51.9,48.0,101.6,0
1820351,166.1,96.8,44.0,143.3,1
1820352,100.1,104.7,52.0,160.9,0
1820353,136.7,64.6,43.0,144.2,0
1820354,133.8,76.6,41.0,115.2,1
1820355,99.2,103.2,52.0,140.0,1
1820356,121.4,87.5,61.0,109.8,0
1820357,130.8,88.6,48.0,122.9,0
1820358,135.6,129.9,42.0,112.6,1
1820359,120.9,107.4,50.0,74.3,0
1820360,90.6,64.1,38.0,153.7,0
1820361,172.2,58.1,59.0,42.9,0
1820362,82.7,99.0,54.0,141.2,0
1820363,130.9,60.5,28.0,176.0,0
1820364,125.4,86.2,29.0,127.4,1
1820365,112.3,78.3,34.0,146.3,0
1820366,147.6,144.4,52.0,143.4,1
1820367,117.4,122.7,24.0,150.0,0
1820368,124.4,,38.0,125.8,0
1820369,145.7,81.6,42.0,165.8,1
1820370,99.5,99.4,57.0,44.0,0
1820371,97.6,87.8,30.0,131.7,1
1820372,56.6,86.0,31.0,152.1,1
1820373,109.0,95.5,51.0,100.5,0
1820374,150.8,119.9,71.0,106.1,1
1820375,134.6,126.5,61.0,134.5,1
1820376,112.9,107.3,48.0,129.1,0
1820377,107.7,86.8,27.0,80.8,0
1820378,171.5,136.3,79.0,130.5,0
1820379,117.7,79.1,30.0,100.8,1
1820380,127.5,94.0,47.0,125.3,1
1820381,104.4,73.1,50.0,117.8,0
1820382,164.8,82.6,51.0,144.6,0
1820383,115.9,,29.0,132.5,0
1820384,125.5,89.4,24.0,123.1,1
1820385,126.5,85.7,38.0,68.9,0
1820386,92.3,64.9,39.0,206.1,1
1820387,81.5,60.4,47.0,146.2,0
1820388,159.5,107.7,35.0,116.9,1
1820389,94.6,86.4,43.0,192.6,1
1820390,180.6,143.3,36.0,122.3,1
1820391,96.8,83.1,62.0,116.5,0
1820392,117.2,106.5,32.0,101.5,0
1820393,160.9,127.3,37.0,119.2,1
1820394,194.7,61.6,51.0,156.6,1
1820395,122.3,112.0,51.0,66.4,0
1820396,147.6,105.3,54.0,122.6,1
1820397,122.1,113.0,35.0,113.6,1
1820398,70.0,97.9,38.0,142.4,0
1820399,142.7,111.4,44.0,119.7,1
1820400,113.6,66.5,53.0,60.6,0
1820401,131.4,41.9,53.0,143.6,1
1820402,113.4,114.9,53.0,133.9,1
1820403,83.3,117.5,8.0,155.5,0
1820404,119.4,107.5,33.0,101.8,0
1820405,60.9,105.0,54.0,162.2,1
1820406,107.0,127.8,48.0,123.5,1
1820407,144.4,134.5,50.0,90.0,1
1820408,115.7,119.5,19.0,65.0,0
1820409,118.2,127.4,39.0,145.1,0
1820410,135.7,142.8,13.0,99.5,0
1820411,98.4,166.6,38.0,140.1,1
1820412,120.3,98.5,50.0,115.6,1
1820413,134.7,78.1,25.0,165.6,1
1820414,100.1,106.9,46.0,109.8,0
1820415,133.9,39.4,31.0,102.4,0
1820416,116.6,79.4,20.0,154.2,1
1820417,89.3,112.0,61.0,136.5,1
1820418,125.3,75.9,44.0,101.9,0
1820419,129.5,,25.0,115.3,1
1820420,128.2,71.0,50.0,123.8,0
1820421,131.8,128.2,38.0,118.7,0
1820422,90.3,107.9,18.0,124.6,0
1820423,82.9,77.0,46.0,146.1,0
1820424,161.4,86.3,41.0,128.2,1
1820425,84.7,120.1,61.0,102.7,0
1820426,110.1,143.3,66.0,154.1,1
1820427,126.2,48.2,46.0,128.5,1
1820428,114.4,107.1,52.0,117.9,1
1820429,148.2,96.7,46.0,91.4,0
1820430,149.7,96.6,43.0,20.0,0
1820431,79.7,108.5,38.0,90.1,1
1820432,103.3,45.1,43.0,77.0,0
1820433,132.4,36.4,10.0,162.5,1
1820434,165.2,83.9,49.0,143.6,1
1820435,113.5,57.0,42.0,144.8,0
1820436,165.6,82.7,46.0,86.1,1
1820437,77.4,68.9,28.0,113.8,1
1820438,80.2,,35.0,146.9,0
1820439,145.8,37.6,69.0,121.9,1
1820440,120.7,107.0,50.0,73.0,0
1820441,94.7,105.7,51.0,125.1,1
1820442,100.0,104.9,31.0,112.1,0
1820443,123.5,97.4,43.0,115.5,1
1820444,113.4,122.3,42.0,81.1,0
1820445,93.6,104.2,56.0,119.1,0
1820446,98.3,139.9,49.0,126.8,0
1820447,123.6,103.2,45.0,164.8,1
1820448,98.6,100.4,23.0,138.3,1
1820449,113.1,127.7,18.0,103.6,0
1820450,119.4,81.4,38.0,108.4,1
1820451,109.1,133.6,38.0,103.1,0
1820452,126.6,75.1,27.0,143.6,1
1820453,128.3,65.5,61.0,122.8,0
1820454,133.7,87.5,44.0,154.6,1
1820455,141.5,119.3,46.0,91.4,0
1820456,207.8,115.6,49.0,66.9,1
1820457,97.9,124.0,33.0,114.0,0
1820458,125.7,99.0,62.0,90.0,0
1820459,108.2,155.0,26.0,127.5,0
1820460,161.4,122.2,50.0,102.2,1
1820461,125.8,98.2,45.0,102.3,0
1820462,111.0,107.8,60.0,160.5,1
1820463,79.4,122.6,27.0,147.7,1
1820464,173.2,138.1,38.0,108.7,1
1820465,143.5,70.0,29.0,85.1,0
1820466,103.8,78.2,65.0,122.6,0
1820467,114.5,100.1,32.0,118.4,1
1820468,110.0,94.7,50.0,131.3,1
1820469,141.2,46.2,32.0,96.6,0
1820470,176.0,101.0,54.0,157.1,1
1820471,107.0,89.0,37.0,87.7,0
1820472,146.8,102.5,47.0,123.4,1
1820473,99.8,88.0,54.0,113.7,0
1820474,175.7,,44.0,148.8,1
1820475,115.5,117.4,51.0,62.5,1
1820476,136.7,94.4,20.0,126.7,1
1820477,117.1,112.5,46.0,90.8,0
1820478,58.0,112.9,40.0,78.0,0
1820479,70.3,127.1,44.0,96.7,0
1820480,67.7,92.5,51.0,104.1,0
1820481,126.8,49.3,42.0,140.3,1
1820482,139.7,123.5,16.0,74.1,0
1820483,88.7,94.1,47.0,114.1,0
1820484,128.2,105.4,25.0,64.5,0
1820485,148.6,62.7,51.0,140.0,1
1820486,155.6,99.1,24.0,104.3,0
1820487,110.9,90.7,77.0,106.0,0
1820488,133.2,102.5,39.0,115.8,0
1820489,98.9,137.0,42.0,166.4,1
1820490,136.9,41.5,52.0,123.8,1
1820491,81.4,79.9,32.0,93.6,0
1820492,138.5,61.2,44.0,51.8,0
1820493,131.7,103.1,63.0,100.2,1
1820494,176.2,94.4,41.0,146.8,1
1820495,127.9,107.4,38.0,154.7,0
1820496,111.1,92.4,61.0,126.7,1
1820497,81.6,103.2,43.0,130.9,1
1820498,85.3,109.4,45.0,139.1,0
1820499,91.5,123.3,41.0,152.0,0
1820500,114.0,89.3,35.0,134.6,1
1820501,86.2,108.9,56.0,164.5,1
1820502,60.8,86.4,75.0,120.3,1
1820503,39.9,119.5,47.0,156.9,1
1820504,162.8,71.9,54.0,168.9,1
1820505,107.7,98.8,45.0,116.8,0
1820506,75.0,82.3,22.0,183.2,0
1820507,148.8,110.3,42.0,115.8,0
1820508,134.3,77.5,18.0,106.4,1
1820509,128.5,47.5,51.0,90.0,0
1820510,130.0,77.0,25.0,46.3,1
1820511,155.8,127.1,23.0,114.9,1
1820512,77.5,93.9,47.0,111.4,1
1820513,120.0,103.5,21.0,99.6,0
1820514,99.7,38.0,62.0,85.9,1
1820515,105.6,87.8,8.0,117.1,0
1820516,113.1,96.6,64.0,110.7,1
1820517,133.5,104.1,44.0,143.8,1
1820518,148.5,89.0,31.0,121.9,1
1820519,113.0,129.0,30.0,147.7,0
1820520,103.0,100.3,61.0,108.6,0
1820521,197.4,87.7,56.0,155.9,1
1820522,99.1,105.9,31.0,78.6,0
1820523,122.9,100.1,29.0,114.1,0
1820524,113.0,123.5,45.0,83.8,1
1820525,185.6,114.3,45.0,88.7,0
1820526,130.1,136.7,43.0,149.4,1
1820527,165.2,93.8,55.0,105.8,1
1820528,134.3,66.6,32.0,79.1,0
1820529,98.9,,23.0,114.5,0
1820530,133.4,49.8,49.0,153.5,1
1820531,150.3,72.7,13.0,159.4,1
1820532,130.0,81.2,42.0,139.9,0
1820533,80.7,107.2,45.0,135.2,0
1820534,130.5,112.3,62.0,111.6,0
1820535,130.5,136.9,22.0,119.9,1
1820536,113.8,100.4,41.0,119.1,0
1820537,105.6,97.6,38.0,89.3,0
1820538,150.9,128.1,46.0,91.6,1
1820539,101.9,78.5,58.0,124.3,0
1820540,96.4,155.5,23.0,127.6,1
1820541,89.1,105.7,40.0,42.3,0
1820542,124.5,104.7,49.0,108.1,0
1820543,160.7,125.4,39.0,109.7,1
1820544,86.0,122.2,22.0,113.6,0
1820545,113.3,129.3,36.0,153.6,1
1820546,146.0,56.6,53.0,128.1,1
1820547,130.7,86.6,43.0,149.5,1
1820548,140.6,136.6,50.0,111.3,1
1820549,91.8,123.8,14.0,119.5,0
1820550,153.9,88.1,35.0,95.2,0
1820551,164.2,120.1,54.0,92.5,1
1820552,146.9,92.1,35.0,144.6,1
1820553,135.3,72.2,56.0,113.0,0
1820554,118.6,98.4,62.0,143.7,1
1820555,111.4,74.8,43.0,108.9,0
1820556,118.7,123.1,25.0,157.5,1
1820557,159.8,60.0,9.0,163.9,1
1820558,142.1,122.9,35.0,75.2,0
1820559,91.7,122.0,53.0,120.8,0
1820560,116.5,149.7,47.0,139.8,1
1820561,144.3,76.1,50.0,143.6,0
1820562,79.5,104.3,49.0,64.7,0
1820563,208.0,93.9,61.0,121.3,1
1820564,96.3,103.6,48.0,159.6,0
1820565,123.8,75.7,49.0,132.8,0
1820566,199.3,135.2,74.0,146.2,1
1820567,183.7,91.0,50.0,111.4,1
1820568,101.2,96.1,20.0,97.2,0
1820569,101.7,91.4,35.0,107.2,0
1820570,74.5,97.1,40.0,92.1,0
1820571,103.0,118.9,52.0,162.4,1
1820572,139.9,108.0,20.0,153.1,1
1820573,126.7,105.4,61.0,142.7,0
1820574,163.7,90.2,39.0,157.6,1
1820575,118.6,70.1,36.0,162.8,1
1820576,135.2,84.5,27.0,103.3,0
1820577,130.9,115.0,43.0,108.2,1
1820578,121.3,85.0,37.0,147.0,1
1820579,59.7,75.0,57.0,100.5,0
1820580,92.6,108.0,56.0,215.1,1
1820581,110.4,148.3,37.0,150.1,1
1820582,143.9,121.8,55.0,112.7,1
1820583,94.3,100.0,28.0,111.3,1
1820584,151.6,84.6,43.0,124.7,1
1820585,122.2,141.0,60.0,132.4,1
1820586,187.9,125.8,29.0,96.2,1
1820587,102.3,146.8,34.0,145.0,1
1820588,122.4,79.0,61.0,154.1,1
1820589,154.4,100.1,39.0,84.1,0
1820590,132.2,124.0,43.0,119.4,0
1820591,71.5,40.0,52.0,115.1,0
1820592,119.3,96.8,59.0,153.3,1
1820593,164.6,86.9,61.0,104.5,1
1820594,150.9,84.8,21.0,77.4,0
1820595,163.2,88.6,51.0,154.5,1
1820596,132.1,65.7,47.0,146.3,1
1820597,52.0,92.8,33.0,83.5,0
1820598,114.7,110.2,19.0,147.4,1
1820599,113.0,151.3,33.0,86.0,0
1820600,144.1,97.9,50.0,111.0,1
1820601,112.2,96.2,28.0,83.7,1
1820602,124.8,87.4,24.0,129.2,0
1820603,116.4,96.0,24.0,119.4,0
1820604,93.4,108.8,41.0,112.5,0
1820605,49.9,75.8,27.0,135.2,1
1820606,124.1,91.1,49.0,134.5,1
1820607,178.5,105.9,31.0,159.7,1
1820608,146.9,108.8,38.0,136.1,1
1820609,137.3,100.6,65.0,73.9,1
1820610,152.9,104.6,35.0,152.8,1
1820611,120.2,79.2,37.0,136.6,1
1820612,149.8,117.6,43.0,156.9,1
1820613,99.5,117.4,27.0,128.9,1
1820614,111.6,71.8,34.0,119.9,0
1820615,151.5,135.1,63.0,138.0,1
1820616,99.9,99.7,41.0,100.1,0
1820617,106.2,133.7,15.0,84.0,0
1820618,154.6,143.6,29.0,146.9,1
1820619,111.2,108.6,58.0,159.5,1
1820620,117.2,69.0,60.0,35.3,0
1820621,150.4,87.8,43.0,82.9,0
1820622,89.6,94.9,39.0,149.9,1
1820623,146.8,113.9,58.0,74.4,0
1820624,171.5,68.6,70.0,123.9,1
1820625,122.7,62.2,31.0,104.3,0
1820626,136.7,73.3,61.0,90.5,1
1820627,133.0,101.5,43.0,121.2,1
1820628,133.3,119.8,36.0,98.0,0
1820629,114.7,65.2,53.0,141.7,1
1820630,78.2,99.6,44.0,107.4,0
1820631,109.0,153.9,39.0,132.0,1
1820632,134.7,139.6,53.0,84.3,0
