ReportID,FormulaCount,ReferenceCount,PlagiarismRatio_Percent,ReportGrade,PeerReviewScore
1780193,135.5,95.7,63.0,47.8,4.7
1780194,61.2,114.5,66.8,88.2,6.2
1780195,116.4,86.2,47.6,114.3,10.0
1780196,97.7,53.0,33.3,184.1,8.5
1780197,146.0,86.9,41.6,88.7,7.2
1780198,106.2,129.2,77.2,73.9,6.4
1780199,134.1,35.4,39.5,73.7,9.6
1780200,131.5,51.0,8.6,63.0,6.4
1780201,85.9,125.2,40.3,132.4,4.8
1780202,63.7,99.5,34.1,92.3,6.3
1780203,112.0,108.2,24.2,111.9,8.3
1780204,129.8,74.1,85.8,140.9,8.9
1780205,50.7,56.3,47.7,129.6,7.1
1780206,74.2,33.5,63.5,100.7,7.6
1780207,99.4,96.6,31.1,85.4,6.3
1780208,109.0,87.9,30.7,131.0,4.3
1780209,66.9,110.1,38.1,120.2,8.7
1780210,110.2,112.6,67.2,105.8,7.4
1780211,82.0,90.6,26.3,91.5,10.0
1780212,82.9,98.4,59.6,84.5,7.0
1780213,133.2,136.6,67.9,71.8,8.8
1780214,82.1,87.2,50.8,71.7,6.9
1780215,139.4,83.7,42.9,108.9,6.8
1780216,136.6,104.7,40.1,117.6,7.0
1780217,86.7,99.8,49.1,42.5,8.2
1780218,120.4,101.9,26.0,66.5,4.8
1780219,146.2,79.8,16.6,81.8,7.9
1780220,100.2,149.5,45.1,118.1,7.6
1780221,88.3,89.8,51.2,122.3,5.7
1780222,80.2,75.4,69.3,136.6,9.0
1780223,79.8,88.9,35.2,96.0,8.7
1780224,94.6,122.3,40.8,121.7,6.8
1780225,51.1,146.1,24.8,77.7,7.6
1780226,104.0,127.6,68.2,113.8,5.1
1780227,90.1,101.4,31.1,71.2,7.4
1780228,99.3,102.5,45.2,109.8,6.4
1780229,83.4,83.0,38.0,121.1,7.4
1780230,90.2,77.3,,150.9,7.0
1780231,90.3,95.8,53.6,94.6,7.2
1780232,151.8,51.0,53.3,58.1,6.9
1780233,97.7,92.1,28.0,80.4,9.1
1780234,113.6,107.1,26.2,124.5,6.5
1780235,98.9,104.3,41.4,95.3,6.7
1780236,39.2,88.2,46.4,92.4,7.6
1780237,78.7,68.1,44.2,72.8,5.2
1780238,97.4,122.5,29.0,96.4,6.2
1780239,137.3,83.6,51.9,129.6,8.8
1780240,111.5,120.2,27.4,110.3,6.8
1780241,105.2,95.6,56.7,105.0,7.9
1780242,97.0,88.8,53.6,100.3,5.6
1780243,109.1,115.1,29.2,72.9,7.5
1780244,116.4,73.7,44.5,99.9,7.3
1780245,100.0,107.4,49.7,59.1,7.7
1780246,104.8,122.2,32.8,124.3,7.1
1780247,130.5,109.3,45.6,89.7,7.3
1780248,59.5,87.9,31.5,133.7,7.3
1780249,113.1,156.1,39.9,89.4,7.6
1780250,114.1,83.3,54.3,110.1,6.6
1780251,98.8,101.2,49.9,94.2,7.3
1780252,49.9,78.7,44.9,93.7,8.4
1780253,53.7,91.9,56.2,74.3,7.7
1780254,103.9,154.0,35.0,70.1,6.9
1780255,51.1,152.0,60.4,97.5,7.2
1780256,105.6,128.7,41.9,80.5,8.4
1780257,95.6,147.3,59.7,116.5,10.0
1780258,76.5,75.3,62.5,90.2,9.2
1780259,85.5,108.2,45.4,120.4,8.9
1780260,104.7,67.8,42.2,63.6,7.1
1780261,66.0,109.9,47.6,112.5,5.4
1780262,49.5,138.7,23.9,108.7,5.6
1780263,117.9,76.2,26.3,79.6,7.1
1780264,116.5,96.7,85.2,105.6,6.8
1780265,87.4,98.8,48.1,134.8,8.9
1780266,39.6,124.1,16.3,79.5,7.8
1780267,102.4,108.1,41.6,133.8,8.9
1780268,59.5,104.0,46.4,97.5,8.7
1780269,102.6,44.4,5.6,87.9,10.0
1780270,106.8,87.1,,112.6,7.6
1780271,92.8,100.9,,64.4,10.0
1780272,112.4,96.5,48.9,87.7,5.5
1780273,132.4,64.7,43.1,86.3,8.1
1780274,103.7,31.8,16.3,106.3,7.6
1780275,71.5,120.9,34.3,118.6,9.0
1780276,112.5,79.2,32.8,97.7,10.0
1780277,62.1,48.5,46.6,85.6,7.8
1780278,67.8,117.7,35.4,99.0,7.2
1780279,75.5,84.1,43.1,114.2,8.1
1780280,90.5,148.8,70.0,120.1,8.3
1780281,84.9,97.1,55.7,119.4,4.7
1780282,113.5,83.7,12.9,95.6,5.9
1780283,138.1,136.7,42.4,113.0,7.5
1780284,120.7,143.7,43.0,90.4,6.3
1780285,91.2,125.0,57.8,81.5,8.9
1780286,100.6,140.9,41.0,89.8,8.0
1780287,93.1,72.7,44.3,67.1,6.5
1780288,88.8,60.3,49.9,95.6,8.8
1780289,77.9,160.9,20.7,131.1,8.9
1780290,97.4,126.0,49.9,110.8,9.0
1780291,49.1,107.6,38.2,121.6,4.1
1780292,124.4,88.4,40.8,63.5,7.6
1780293,61.8,120.2,43.5,124.1,7.8
1780294,77.5,84.9,53.7,109.1,8.9
1780295,156.5,117.3,26.9,161.1,8.6
1780296,104.6,89.0,33.7,140.3,4.3
1780297,84.8,122.1,61.5,122.0,8.6
1780298,89.6,39.1,49.6,83.8,6.9
1780299,121.3,83.2,50.7,112.7,5.2
1780300,131.2,72.1,37.5,114.0,6.3
1780301,100.3,113.5,22.0,96.8,7.1
1780302,89.2,128.1,57.9,113.0,6.6
1780303,57.2,99.9,35.4,116.8,6.7
1780304,102.8,83.1,54.4,127.6,7.2
1780305,130.1,141.8,33.7,118.7,6.0
1780306,123.7,93.2,43.5,61.9,6.4
1780307,110.3,87.2,27.2,101.7,6.0
1780308,133.3,117.4,64.3,71.9,6.7
1780309,101.0,97.0,46.2,106.3,8.9
1780310,147.8,101.4,31.4,76.8,7.6
1780311,44.7,52.6,39.2,87.5,8.9
1780312,114.9,127.2,40.6,83.8,5.3
1780313,89.3,64.2,61.0,122.1,7.2
1780314,111.4,132.1,47.4,72.0,4.4
1780315,108.4,108.8,53.0,116.6,8.0
1780316,107.6,88.2,,138.6,9.0
1780317,89.0,114.9,37.1,88.0,10.0
1780318,93.8,122.3,63.7,77.9,8.1
1780319,109.7,83.1,25.2,55.0,7.6
1780320,103.0,79.0,45.8,132.3,9.2
1780321,94.2,118.8,46.9,107.9,7.0
1780322,102.3,65.6,49.2,86.9,7.7
1780323,95.5,104.0,61.9,84.6,9.2
1780324,89.9,102.3,64.3,90.9,7.4
1780325,107.4,100.8,24.6,110.4,7.5
1780326,105.6,102.1,35.5,92.0,9.3
1780327,101.7,118.1,44.6,111.8,6.4
1780328,138.2,138.3,23.9,118.8,5.4
1780329,64.5,84.5,,106.4,6.7
1780330,77.8,64.3,42.7,46.9,5.2
1780331,123.9,107.5,39.1,53.8,8.9
1780332,95.4,108.3,24.3,94.4,7.6
1780333,88.6,123.5,45.3,111.8,6.4
1780334,116.4,79.7,57.7,127.2,10.0
1780335,57.0,94.9,67.6,106.7,5.8
1780336,71.6,131.7,15.3,80.4,9.1
1780337,119.9,133.8,54.8,119.4,9.0
1780338,118.3,81.7,46.6,85.9,8.6
1780339,105.6,78.1,20.2,115.4,8.2
1780340,131.4,117.5,43.5,116.5,4.4
1780341,120.2,98.0,22.6,111.4,5.9
1780342,103.2,43.4,63.0,129.5,9.5
1780343,91.6,88.1,51.8,117.2,8.2
1780344,132.4,126.8,40.1,123.2,7.1
1780345,98.2,92.1,67.8,92.6,8.8
1780346,47.2,72.6,35.1,109.2,5.7
1780347,108.3,94.8,59.1,116.8,4.2
1780348,68.1,101.4,51.3,116.0,5.5
1780349,127.1,69.6,46.5,71.9,6.8
1780350,103.5,72.9,25.5,104.0,8.0
1780351,132.8,87.1,31.6,115.8,7.4
1780352,104.5,92.1,55.9,99.4,5.7
1780353,78.2,122.9,42.0,109.8,5.9
1780354,104.4,112.4,46.7,50.5,7.4
1780355,68.4,94.7,67.0,118.1,7.7
1780356,83.7,123.7,52.3,75.5,8.4
1780357,87.1,124.8,57.7,88.8,7.0
1780358,75.1,118.2,55.9,102.5,7.8
1780359,95.1,128.1,37.1,69.0,5.6
1780360,100.3,119.9,36.4,70.5,9.4
1780361,101.5,129.4,58.5,119.4,6.5
1780362,90.4,121.7,57.5,75.9,6.3
1780363,80.0,84.9,33.4,115.0,7.3
1780364,95.7,117.9,20.1,77.0,8.2
1780365,87.1,163.2,27.9,126.5,5.7
1780366,75.7,134.9,44.9,152.0,6.2
1780367,57.4,111.8,28.3,106.2,7.4
1780368,104.7,79.7,45.6,98.3,6.8
1780369,71.3,63.5,59.6,152.6,8.6
1780370,78.5,101.1,40.1,75.7,8.5
1780371,107.8,147.1,34.7,84.2,6.8
1780372,57.3,98.1,29.3,64.6,6.9
1780373,96.1,112.0,44.1,69.2,5.7
1780374,152.6,133.7,26.8,64.0,8.1
1780375,119.5,73.4,55.7,110.8,4.4
1780376,116.3,101.4,21.0,96.8,10.0
1780377,136.4,139.8,38.9,72.1,6.2
1780378,119.5,156.8,55.7,86.9,7.7
1780379,111.3,121.6,41.8,111.5,6.6
1780380,138.9,67.9,37.3,87.6,7.9
1780381,97.3,122.9,35.7,88.6,8.4
1780382,103.4,111.5,46.9,83.2,6.1
1780383,113.0,128.8,54.4,70.8,8.2
1780384,44.7,69.9,27.5,50.7,6.5
1780385,100.9,71.8,41.0,131.1,9.1
1780386,104.5,58.2,61.4,91.4,9.7
1780387,86.0,90.7,54.0,120.2,7.4
1780388,120.7,117.9,41.5,78.5,6.2
1780389,109.6,127.6,51.6,124.7,8.7
1780390,108.3,88.7,39.7,62.0,8.1
1780391,143.6,111.9,41.0,60.6,5.4
1780392,124.2,116.2,51.0,107.3,6.9
1780393,133.2,118.6,45.5,156.2,4.0
1780394,127.6,120.9,4.7,114.8,4.4
1780395,124.2,95.1,62.0,86.3,7.1
1780396,97.1,101.9,37.2,117.1,10.0
1780397,144.9,110.0,59.3,81.0,7.3
1780398,120.8,82.4,43.5,112.0,7.0
1780399,112.2,79.5,35.6,121.7,5.3
1780400,97.9,86.4,54.3,77.4,7.6
1780401,124.6,133.8,40.4,103.9,6.8
1780402,117.5,88.6,18.6,110.1,8.8
1780403,98.0,143.1,55.4,132.3,8.8
1780404,39.4,127.5,37.9,116.4,7.1
1780405,108.2,160.4,39.1,156.4,9.1
1780406,121.9,114.5,48.8,87.2,5.0
1780407,146.4,103.5,52.8,96.5,8.3
1780408,65.0,113.9,38.3,91.4,5.6
1780409,89.9,123.2,73.1,133.1,8.8
1780410,68.6,92.1,63.7,62.4,3.7
1780411,111.4,107.0,28.5,106.4,7.5
1780412,84.3,81.6,66.0,113.2,8.4
1780413,92.7,90.4,46.4,71.9,6.8
1780414,68.0,120.2,16.8,120.0,8.0
1780415,92.1,80.2,24.2,72.2,3.8
1780416,154.6,132.4,71.7,109.3,5.1
1780417,77.0,91.8,34.6,122.0,7.1
1780418,115.9,64.2,54.6,152.4,5.0
1780419,94.7,111.9,4.1,103.7,10.0
1780420,124.5,74.1,58.1,146.6,6.8
1780421,86.9,87.2,49.4,94.1,7.3
1780422,94.0,80.8,69.3,60.9,7.7
1780423,103.4,140.5,46.0,105.5,9.4
1780424,100.3,77.9,33.4,131.4,9.3
1780425,94.6,127.0,41.9,118.9,4.0
1780426,112.9,88.0,63.7,82.2,6.3
1780427,74.3,76.3,49.6,136.5,8.8
1780428,66.6,105.1,31.1,133.8,6.6
1780429,75.2,107.7,36.2,75.9,5.7
1780430,111.2,96.8,49.8,102.7,6.0
1780431,82.3,76.0,52.6,73.6,8.3
1780432,97.2,126.9,36.9,105.9,9.8
1780433,90.7,111.6,55.9,140.2,5.8
1780434,90.7,109.6,35.5,96.5,8.3
1780435,68.3,66.6,62.6,58.6,7.5
1780436,90.0,105.1,62.5,74.9,7.1
1780437,80.8,84.5,52.0,90.4,5.7
1780438,110.7,112.8,50.7,110.4,7.7
1780439,156.3,81.7,83.4,79.0,7.7
1780440,141.5,57.5,45.7,65.3,6.5
1780441,121.1,95.6,49.7,128.9,7.9
1780442,120.1,75.7,44.1,116.9,5.2
1780443,106.3,92.0,36.5,133.7,6.5
1780444,139.7,146.5,45.9,109.5,8.7
1780445,119.8,68.2,61.3,96.8,8.9
1780446,133.8,114.8,30.9,51.5,9.0
1780447,113.0,81.9,41.5,86.8,8.4
1780448,131.9,90.0,43.0,98.7,7.2
1780449,109.1,85.4,,87.8,9.2
1780450,81.1,116.0,71.4,76.8,6.7
1780451,68.1,127.3,47.7,100.4,8.4
1780452,95.1,128.7,27.5,155.7,8.4
1780453,93.9,62.4,35.3,83.8,8.2
1780454,131.2,53.5,18.8,119.2,8.9
1780455,83.3,82.3,47.4,76.4,6.9
1780456,135.2,118.2,10.1,61.6,8.3
1780457,91.2,88.7,45.9,128.8,8.1
1780458,90.8,93.0,61.7,141.4,5.1
1780459,107.7,151.5,44.8,87.1,8.4
1780460,84.7,121.9,18.8,129.1,10.0
1780461,128.3,115.1,38.3,92.0,4.7
1780462,76.1,76.2,42.0,76.9,9.2
1780463,107.2,104.2,46.0,109.5,9.8
1780464,37.4,68.6,41.6,91.6,5.4
1780465,88.9,121.1,50.0,126.9,5.1
1780466,89.0,150.4,56.2,112.9,7.7
1780467,55.0,102.3,35.3,79.9,9.0
1780468,138.4,124.4,43.7,116.0,5.8
1780469,122.2,70.7,50.8,50.3,6.5
1780470,98.0,80.2,36.9,126.9,8.6
1780471,116.8,76.1,55.1,70.3,6.3
1780472,121.8,96.1,4.6,111.3,6.5
1780473,82.2,123.4,40.6,97.2,9.1
1780474,102.7,122.2,54.5,102.9,4.2
1780475,89.0,114.7,22.4,50.7,6.5
1780476,107.6,90.7,44.0,85.5,9.5
1780477,102.3,127.3,57.1,100.4,7.5
1780478,143.0,115.4,24.6,96.5,10.0
1780479,123.5,112.2,55.8,59.2,7.9
1780480,62.2,99.7,31.5,95.9,8.5
1780481,89.3,131.2,33.8,132.8,8.1
1780482,105.4,71.6,32.6,103.7,4.4
1780483,58.2,87.1,22.4,80.5,7.5
1780484,114.2,91.5,22.3,63.9,10.0
1780485,138.0,85.6,58.5,97.1,7.3
1780486,84.6,96.6,17.0,83.0,7.6
1780487,113.0,100.1,,105.1,4.7
1780488,99.3,106.2,39.7,54.3,6.6
1780489,91.8,55.1,45.5,98.0,7.8
1780490,108.5,97.4,55.5,106.2,8.5
1780491,49.0,104.8,32.3,125.9,8.2
1780492,96.8,111.0,61.7,109.7,8.4
1780493,105.9,124.9,33.8,118.5,7.8
1780494,55.5,157.4,32.8,59.5,8.2
1780495,119.0,84.3,67.9,49.2,5.2
1780496,71.7,98.0,37.5,113.7,6.7
1780497,120.7,94.5,43.4,91.8,8.1
1780498,71.7,87.1,19.8,127.0,8.8
1780499,119.2,96.9,44.9,128.4,5.2
1780500,116.6,96.7,,102.7,7.5
1780501,52.0,82.5,40.1,87.8,6.4
1780502,83.8,114.4,40.8,107.7,7.8
1780503,96.2,104.9,63.5,106.3,6.6
1780504,89.5,89.7,52.9,86.2,7.3
1780505,105.2,184.6,48.3,115.2,8.3
1780506,107.8,84.0,59.4,81.4,6.4
1780507,88.8,88.6,49.0,80.5,6.7
1780508,86.7,92.8,79.2,107.9,8.9
1780509,103.3,114.9,51.6,141.0,8.6
1780510,134.9,101.5,68.4,102.7,6.9
1780511,114.6,98.9,49.2,70.5,8.4
1780512,127.0,89.6,27.2,46.5,4.4
1780513,141.8,114.5,55.5,131.6,10.0
1780514,84.2,96.0,29.2,117.5,8.2
1780515,85.7,79.8,42.3,121.8,8.0
1780516,120.6,61.3,51.2,123.9,9.4
1780517,79.0,97.6,33.5,97.1,6.8
1780518,126.5,152.9,55.3,98.1,7.2
1780519,131.2,79.9,69.7,104.6,6.4
1780520,126.5,86.1,27.2,103.8,8.1
1780521,65.2,88.2,23.1,74.9,4.6
1780522,117.8,107.9,38.6,117.1,6.1
1780523,65.1,118.1,36.1,96.0,9.2
1780524,67.4,114.0,31.1,48.6,9.8
1780525,88.4,88.9,45.5,137.7,6.0
1780526,123.0,144.1,36.0,102.2,8.1
1780527,85.1,140.9,33.9,105.2,10.0
1780528,124.4,81.4,38.6,75.2,4.1
1780529,72.0,124.2,26.2,109.4,6.9
1780530,101.3,115.2,11.5,135.4,7.2
1780531,94.0,143.2,60.9,117.6,7.8
1780532,79.3,114.6,53.2,105.9,6.0
1780533,112.3,111.8,34.6,86.2,8.1
1780534,110.3,113.0,35.2,107.4,7.4
1780535,83.4,88.3,43.8,102.1,8.9
1780536,79.3,122.1,68.3,120.6,9.4
1780537,80.7,85.8,33.9,105.7,6.4
1780538,110.9,83.0,51.0,82.5,7.7
1780539,93.6,132.9,51.3,76.7,6.1
1780540,73.9,90.2,38.3,82.4,6.8
1780541,108.8,85.4,16.4,98.8,5.9
1780542,95.0,59.3,33.5,109.2,2.7
1780543,80.1,149.6,39.3,74.7,7.3
1780544,123.2,106.6,30.5,101.3,7.6
1780545,78.7,30.7,47.1,119.5,5.3
1780546,110.2,125.3,46.1,100.9,7.0
1780547,89.7,71.9,59.6,104.1,6.0
1780548,95.1,99.1,26.0,93.6,10.0
1780549,85.3,117.8,37.5,99.9,7.4
1780550,74.5,142.3,57.8,64.8,7.4
1780551,124.0,71.9,50.4,141.8,8.3
1780552,69.2,111.9,75.5,128.2,6.7
1780553,96.7,161.9,32.5,112.3,5.8
1780554,86.6,134.5,25.1,123.5,7.9
1780555,114.7,102.5,51.5,120.0,7.8
1780556,125.5,113.0,44.1,110.2,8.0
1780557,94.3,66.5,53.0,117.5,6.1
1780558,74.1,99.2,23.8,67.5,7.5
1780559,60.7,100.1,44.5,89.7,8.9
1780560,98.2,57.0,59.7,94.5,9.9
1780561,91.6,97.3,36.4,121.7,8.1
1780562,103.1,102.9,65.3,89.2,5.6
1780563,93.3,127.0,43.8,86.5,4.7
1780564,150.9,100.2,19.4,108.8,7.7
1780565,98.5,92.0,39.6,87.7,5.6
1780566,161.4,104.4,40.2,121.7,6.2
1780567,112.1,90.7,37.4,108.7,5.8
1780568,108.0,75.3,41.6,129.7,8.0
1780569,158.5,63.6,58.6,80.7,8.9
1780570,114.5,96.1,41.8,105.4,6.7
1780571,142.7,59.5,68.7,97.3,6.6
1780572,76.9,123.4,14.3,132.7,9.0
1780573,106.3,114.0,37.7,106.5,9.4
1780574,76.6,116.4,22.9,95.7,7.3
1780575,128.5,77.4,40.0,82.2,9.6
1780576,94.9,170.9,10.8,57.3,9.8
1780577,122.1,98.1,40.7,99.6,8.5
1780578,107.9,122.7,29.2,85.7,8.8
1780579,105.7,128.0,55.0,71.2,7.1
1780580,66.7,86.3,50.6,105.5,10.0
