TransactionID,ProductCategory,SizeMatch,DiscountApplied,PurchaseChannel,Returned
970113,Accessories,1.0,58.1,In-Store,No
970114,Footwear,1.0,6.4,Online,No
970115,Accessories,1.0,37.2,Online,No
970116,Footwear,0.0,7.6,Online,No
970117,Footwear,1.0,39.6,Online,No
970118,Apparel,1.0,2.9,Online,No
970119,Footwear,1.0,3.5,Online,No
970120,Apparel,1.0,38.2,Online,No
970121,Electronics,1.0,7.3,In-Store,No
970122,Footwear,0.0,12.3,Online,No
970123,Electronics,1.0,41.8,Online,No
970124,Accessories,1.0,21.0,Online,No
970125,Footwear,1.0,44.5,Online,No
970126,Accessories,1.0,20.1,Online,No
970127,Accessories,1.0,4.3,Online,No
970128,Electronics,0.0,32.3,Online,Yes
970129,Apparel,1.0,22.9,Online,No
970130,Apparel,1.0,15.3,Online,Yes
970131,Footwear,1.0,34.7,In-Store,No
970132,Accessories,1.0,28.7,In-Store,No
970133,Apparel,1.0,54.3,In-Store,No
970134,Footwear,1.0,51.3,In-Store,No
970135,Accessories,1.0,3.8,Online,No
970136,Accessories,1.0,0.2,Online,No
970137,Electronics,1.0,32.9,Online,No
970138,Accessories,1.0,15.5,Online,No
970139,Electronics,1.0,10.8,In-Store,No
970140,Apparel,0.0,10.5,Online,Yes
970141,Footwear,1.0,7.1,Online,No
970142,Accessories,1.0,5.0,Online,No
970143,Electronics,1.0,24.6,Online,No
970144,Accessories,1.0,33.9,Online,No
970145,Electronics,1.0,52.3,Online,No
970146,Apparel,1.0,26.0,In-Store,No
970147,Apparel,1.0,31.4,Online,No
970148,Accessories,1.0,31.5,Online,No
970149,Accessories,1.0,44.4,Online,No
970150,Electronics,1.0,6.8,In-Store,No
970151,Accessories,1.0,52.5,Online,No
970152,Accessories,1.0,19.9,In-Store,No
970153,Accessories,1.0,58.8,Online,No
970154,Electronics,0.0,4.8,In-Store,No
970155,Accessories,1.0,28.2,In-Store,No
970156,Accessories,0.0,39.0,Online,No
970157,Electronics,1.0,18.0,In-Store,No
970158,Footwear,1.0,59.3,Online,No
970159,Apparel,1.0,22.3,Online,No
970160,Footwear,1.0,16.5,Online,Yes
970161,Footwear,1.0,40.4,Online,Yes
970162,Apparel,1.0,9.0,Online,No
970163,Accessories,1.0,34.3,Online,Yes
970164,Electronics,1.0,29.9,In-Store,No
970165,Electronics,1.0,26.0,In-Store,No
970166,Accessories,1.0,4.8,In-Store,No
970167,Apparel,1.0,54.3,Online,No
970168,Accessories,0.0,37.8,In-Store,No
970169,Apparel,1.0,51.8,Online,No
970170,Apparel,1.0,34.9,Online,No
970171,Apparel,1.0,26.2,In-Store,No
970172,Apparel,0.0,4.8,In-Store,No
970173,Footwear,0.0,59.6,Online,Yes
970174,Electronics,1.0,26.1,Online,Yes
970175,Apparel,1.0,34.0,Online,No
970176,Footwear,1.0,7.6,In-Store,Yes
970177,Electronics,1.0,21.6,Online,No
970178,Electronics,1.0,37.0,Online,No
970179,Accessories,1.0,48.0,Online,No
970180,Apparel,1.0,54.3,Online,No
970181,Footwear,1.0,27.3,In-Store,No
970182,Apparel,1.0,29.8,Online,No
970183,Electronics,0.0,18.9,Online,No
970184,Footwear,1.0,48.8,Online,No
970185,Apparel,1.0,31.8,In-Store,No
970186,Electronics,1.0,12.4,Online,No
970187,Apparel,0.0,45.5,Online,No
970188,Electronics,1.0,56.5,Online,Yes
970189,Footwear,1.0,53.2,Online,No
970190,Apparel,1.0,23.5,In-Store,No
970191,Accessories,0.0,26.7,In-Store,No
970192,Apparel,0.0,26.7,In-Store,Yes
970193,Apparel,1.0,58.1,Online,No
970194,Footwear,1.0,57.0,In-Store,No
970195,Accessories,1.0,54.6,Online,No
970196,Footwear,1.0,29.8,In-Store,No
970197,Electronics,1.0,46.6,Online,No
970198,Accessories,1.0,37.2,Online,Yes
970199,Apparel,1.0,27.8,Online,No
970200,Accessories,1.0,28.4,In-Store,No
970201,Electronics,0.0,60.0,Online,Yes
970202,Footwear,1.0,26.0,Online,No
970203,Apparel,0.0,10.1,Online,Yes
970204,Footwear,1.0,4.1,In-Store,No
970205,Electronics,1.0,14.6,In-Store,No
970206,Apparel,1.0,46.6,In-Store,No
970207,Apparel,0.0,45.5,Online,Yes
970208,Footwear,1.0,29.5,Online,No
970209,Electronics,1.0,40.6,Online,No
970210,Apparel,1.0,15.9,Online,No
970211,Footwear,1.0,26.3,Online,No
970212,Electronics,1.0,4.5,In-Store,No
970213,Footwear,,45.9,Online,No
970214,Apparel,1.0,37.9,Online,No
970215,Accessories,1.0,50.3,Online,Yes
970216,Accessories,1.0,48.4,In-Store,No
970217,Electronics,1.0,2.9,In-Store,No
970218,Footwear,1.0,3.4,Online,No
970219,Electronics,1.0,11.6,Online,No
970220,Accessories,1.0,12.5,Online,No
970221,Electronics,1.0,17.5,Online,No
970222,Electronics,1.0,9.2,Online,No
970223,Footwear,1.0,12.5,In-Store,No
970224,Accessories,0.0,12.7,Online,No
970225,Apparel,1.0,58.2,In-Store,No
970226,Accessories,1.0,16.1,Online,No
970227,Apparel,1.0,4.6,In-Store,No
970228,Apparel,0.0,46.7,Online,No
970229,Accessories,1.0,45.4,In-Store,No
970230,Accessories,1.0,8.2,Online,No
970231,Electronics,1.0,45.7,Online,No
970232,Electronics,1.0,1.0,Online,No
970233,Apparel,1.0,33.4,In-Store,No
970234,Electronics,1.0,1.2,Online,No
970235,Electronics,1.0,49.9,Online,No
970236,Apparel,1.0,38.5,Online,Yes
970237,Accessories,1.0,21.5,Online,No
970238,Electronics,0.0,5.0,Online,No
970239,Electronics,1.0,58.4,Online,No
970240,Footwear,0.0,45.3,Online,Yes
970241,Electronics,1.0,2.4,In-Store,No
970242,Footwear,1.0,45.7,Online,No
970243,Electronics,1.0,14.6,In-Store,No
970244,Apparel,1.0,42.5,In-Store,No
970245,Accessories,1.0,55.6,Online,No
970246,Accessories,1.0,31.3,Online,No
970247,Accessories,1.0,19.8,In-Store,No
970248,Apparel,1.0,6.7,Online,No
970249,Apparel,1.0,23.6,In-Store,No
970250,Apparel,1.0,43.4,Online,Yes
970251,Footwear,1.0,24.2,Online,No
970252,Footwear,1.0,33.9,Online,No
970253,Accessories,0.0,38.0,In-Store,Yes
970254,Footwear,1.0,42.2,Online,No
970255,Apparel,1.0,14.2,In-Store,No
970256,Accessories,0.0,14.4,Online,No
970257,Electronics,1.0,49.7,Online,No
970258,Apparel,1.0,49.1,Online,No
970259,Electronics,1.0,51.7,Online,No
970260,Footwear,1.0,4.3,Online,Yes
970261,Accessories,1.0,45.9,In-Store,No
970262,Apparel,1.0,14.8,Online,No
970263,Footwear,1.0,33.9,Online,No
970264,Footwear,0.0,29.3,In-Store,Yes
970265,Apparel,1.0,1.3,In-Store,No
970266,Apparel,1.0,34.4,Online,No
970267,Accessories,1.0,35.1,In-Store,No
970268,Footwear,1.0,5.5,Online,No
970269,Electronics,1.0,53.0,Online,No
970270,Accessories,1.0,40.4,Online,No
970271,Footwear,0.0,25.6,Online,No
970272,Apparel,1.0,56.2,Online,Yes
970273,Electronics,1.0,4.1,In-Store,No
970274,Apparel,1.0,8.5,Online,No
970275,Apparel,1.0,26.3,In-Store,No
970276,Footwear,0.0,33.9,Online,No
970277,Accessories,1.0,10.3,In-Store,No
970278,Electronics,1.0,55.3,In-Store,No
970279,Footwear,0.0,0.2,Online,No
970280,Footwear,0.0,6.4,Online,Yes
970281,Footwear,1.0,45.6,In-Store,No
970282,Electronics,1.0,38.8,Online,Yes
970283,Electronics,1.0,15.7,In-Store,No
970284,Apparel,1.0,31.7,In-Store,Yes
970285,Apparel,1.0,1.5,Online,Yes
970286,Electronics,0.0,39.2,Online,No
970287,Electronics,1.0,33.7,In-Store,No
970288,Electronics,1.0,1.3,In-Store,No
970289,Apparel,1.0,53.6,Online,No
970290,Footwear,1.0,30.1,Online,No
970291,Footwear,1.0,49.2,Online,No
970292,Footwear,0.0,33.9,Online,Yes
970293,Accessories,1.0,4.3,Online,No
970294,Accessories,1.0,21.2,In-Store,No
970295,Accessories,1.0,2.7,In-Store,No
970296,Accessories,1.0,50.8,In-Store,No
970297,Electronics,1.0,0.0,Online,No
970298,Electronics,1.0,7.6,Online,No
970299,Footwear,1.0,42.4,Online,No
970300,Electronics,1.0,21.2,In-Store,No
970301,Accessories,1.0,43.8,Online,No
970302,Footwear,0.0,33.9,In-Store,No
970303,Apparel,1.0,26.3,In-Store,No
970304,Electronics,1.0,45.9,In-Store,No
970305,Footwear,1.0,37.3,In-Store,Yes
970306,Accessories,1.0,10.3,Online,No
970307,Footwear,0.0,37.3,In-Store,No
970308,Footwear,1.0,23.7,Online,No
970309,Electronics,1.0,30.5,In-Store,No
970310,Footwear,1.0,40.1,In-Store,Yes
970311,Accessories,1.0,48.6,Online,No
970312,Apparel,1.0,8.2,Online,No
970313,Footwear,1.0,39.6,Online,No
970314,Accessories,1.0,26.8,In-Store,No
970315,Apparel,0.0,11.1,Online,Yes
970316,Accessories,1.0,42.6,In-Store,No
970317,Electronics,1.0,35.0,In-Store,No
970318,Accessories,1.0,56.5,In-Store,No
970319,Apparel,1.0,39.5,Online,No
970320,Apparel,1.0,51.3,Online,No
970321,Accessories,1.0,41.6,Online,No
970322,Accessories,0.0,41.1,In-Store,No
970323,Electronics,0.0,19.5,Online,Yes
970324,Electronics,0.0,7.4,Online,No
970325,Accessories,1.0,44.7,Online,Yes
970326,Apparel,1.0,45.2,In-Store,No
970327,Footwear,1.0,46.5,Online,No
970328,Accessories,0.0,33.8,Online,No
970329,Accessories,1.0,46.2,Online,No
970330,Accessories,1.0,25.7,Online,No
970331,Accessories,1.0,43.1,Online,Yes
970332,Apparel,1.0,33.6,Online,No
970333,Accessories,0.0,49.5,Online,No
970334,Electronics,1.0,0.1,In-Store,No
970335,Electronics,1.0,18.9,In-Store,No
970336,Electronics,1.0,41.0,In-Store,No
970337,Accessories,1.0,15.2,Online,No
970338,Electronics,1.0,26.1,In-Store,No
970339,Apparel,1.0,20.2,Online,No
970340,Apparel,0.0,3.5,In-Store,No
970341,Electronics,1.0,54.7,Online,Yes
970342,Electronics,1.0,40.3,Online,No
970343,Footwear,1.0,54.9,Online,No
970344,Apparel,1.0,10.3,In-Store,No
970345,Footwear,1.0,55.8,In-Store,No
970346,Footwear,0.0,38.6,Online,No
970347,Accessories,1.0,30.6,Online,Yes
970348,Apparel,1.0,6.3,In-Store,No
970349,Electronics,1.0,22.9,Online,No
970350,Electronics,1.0,49.2,Online,No
970351,Electronics,1.0,49.7,In-Store,No
970352,Apparel,1.0,42.6,In-Store,No
970353,Apparel,0.0,47.0,Online,Yes
970354,Electronics,0.0,37.5,Online,Yes
970355,Accessories,1.0,54.0,Online,Yes
970356,Apparel,1.0,17.1,In-Store,No
970357,Electronics,1.0,27.3,In-Store,No
970358,Electronics,1.0,58.7,Online,No
970359,Electronics,0.0,33.3,In-Store,Yes
970360,Apparel,1.0,56.9,Online,No
970361,Accessories,1.0,41.7,Online,No
970362,Apparel,1.0,30.1,In-Store,No
970363,Footwear,0.0,35.4,Online,No
970364,Footwear,1.0,26.9,Online,No
970365,Accessories,1.0,6.9,In-Store,No
970366,Apparel,1.0,14.4,Online,No
970367,Accessories,0.0,39.3,In-Store,Yes
970368,Footwear,1.0,47.7,In-Store,No
970369,Electronics,1.0,8.9,Online,No
970370,Electronics,1.0,13.9,Online,No
970371,Accessories,1.0,51.0,Online,No
970372,Electronics,1.0,53.5,Online,No
970373,Electronics,1.0,5.6,Online,No
970374,Accessories,1.0,1.3,In-Store,No
970375,Apparel,1.0,59.0,Online,No
970376,Apparel,1.0,29.3,In-Store,No
970377,Apparel,0.0,36.4,Online,No
970378,Footwear,1.0,57.6,In-Store,No
970379,Apparel,1.0,39.0,Online,No
970380,Apparel,1.0,9.8,In-Store,No
970381,Apparel,1.0,48.5,In-Store,Yes
970382,Footwear,1.0,47.1,In-Store,Yes
970383,Footwear,1.0,47.1,Online,No
970384,Apparel,0.0,24.5,Online,No
970385,Electronics,1.0,29.8,Online,No
970386,Electronics,1.0,59.1,Online,Yes
970387,Electronics,1.0,43.6,Online,Yes
970388,Accessories,1.0,39.9,In-Store,No
970389,Apparel,1.0,46.8,Online,No
970390,Footwear,1.0,34.0,Online,No
970391,Apparel,1.0,34.0,Online,No
970392,Electronics,0.0,13.3,Online,No
970393,Footwear,1.0,55.6,In-Store,No
970394,Electronics,0.0,6.4,Online,No
970395,Electronics,1.0,15.7,In-Store,No
970396,Electronics,1.0,22.0,In-Store,No
970397,Accessories,1.0,34.9,Online,Yes
970398,Footwear,1.0,11.4,Online,No
970399,Footwear,1.0,32.3,Online,Yes
970400,Accessories,0.0,7.9,Online,Yes
970401,Electronics,0.0,5.3,In-Store,Yes
970402,Electronics,1.0,55.2,Online,No
970403,Footwear,1.0,39.2,Online,Yes
970404,Apparel,0.0,42.9,In-Store,Yes
970405,Footwear,1.0,6.7,Online,No
970406,Accessories,1.0,8.5,In-Store,No
970407,Footwear,1.0,2.8,In-Store,No
970408,Footwear,1.0,35.3,In-Store,No
970409,Apparel,1.0,30.4,Online,No
970410,Footwear,1.0,57.0,In-Store,No
970411,Apparel,0.0,17.1,Online,Yes
970412,Electronics,0.0,27.2,Online,Yes
970413,Footwear,1.0,56.6,Online,No
970414,Electronics,1.0,17.2,In-Store,No
970415,Apparel,0.0,44.1,Online,No
970416,Electronics,0.0,5.4,Online,Yes
970417,Accessories,1.0,15.1,Online,No
970418,Accessories,1.0,57.6,In-Store,No
970419,Footwear,1.0,33.4,In-Store,No
970420,Electronics,1.0,50.2,Online,No
970421,Electronics,1.0,8.5,Online,No
970422,Accessories,1.0,9.6,In-Store,No
970423,Footwear,1.0,2.9,Online,No
970424,Electronics,1.0,23.5,Online,No
970425,Electronics,1.0,41.3,In-Store,No
970426,Apparel,1.0,3.2,Online,No
970427,Footwear,1.0,49.4,Online,No
970428,Electronics,1.0,15.6,Online,No
970429,Electronics,1.0,35.6,Online,No
970430,Footwear,1.0,7.6,Online,No
970431,Footwear,1.0,22.9,In-Store,No
970432,Accessories,1.0,46.8,Online,Yes
970433,Accessories,1.0,5.8,Online,No
970434,Accessories,1.0,22.6,Online,No
970435,Footwear,1.0,17.0,Online,No
970436,Accessories,1.0,35.4,In-Store,No
970437,Electronics,1.0,32.8,Online,No
970438,Accessories,1.0,25.7,Online,No
970439,Accessories,1.0,44.5,In-Store,No
970440,Footwear,1.0,35.8,Online,Yes
970441,Electronics,1.0,34.2,Online,Yes
970442,Electronics,1.0,49.7,Online,No
970443,Electronics,1.0,7.9,Online,No
970444,Apparel,0.0,54.6,Online,Yes
970445,Apparel,0.0,39.6,In-Store,No
970446,Footwear,1.0,33.2,Online,No
970447,Apparel,1.0,48.7,Online,Yes
970448,Footwear,0.0,1.5,Online,Yes
970449,Apparel,1.0,21.0,Online,No
970450,Footwear,1.0,4.6,Online,Yes
970451,Apparel,1.0,11.9,Online,No
970452,Apparel,1.0,46.5,Online,No
970453,Accessories,0.0,57.2,In-Store,No
970454,Apparel,0.0,3.0,Online,Yes
970455,Electronics,0.0,59.4,Online,No
970456,Accessories,1.0,35.1,Online,No
970457,Electronics,1.0,41.3,In-Store,No
970458,Accessories,0.0,55.8,Online,No
970459,Accessories,1.0,53.9,Online,No
970460,Footwear,1.0,31.2,In-Store,No
970461,Apparel,1.0,57.0,Online,No
970462,Electronics,0.0,42.0,Online,Yes
970463,Electronics,1.0,20.8,Online,No
970464,Apparel,1.0,44.5,In-Store,No
970465,Electronics,1.0,18.0,In-Store,No
970466,Accessories,1.0,12.8,In-Store,No
970467,Accessories,1.0,51.1,Online,No
970468,Electronics,1.0,29.1,Online,No
970469,Apparel,1.0,5.2,Online,Yes
970470,Electronics,1.0,55.5,Online,Yes
970471,Footwear,1.0,50.8,Online,No
970472,Apparel,0.0,51.8,In-Store,No
970473,Accessories,1.0,6.0,Online,No
970474,Accessories,0.0,9.6,Online,No
970475,Footwear,1.0,37.4,In-Store,No
970476,Footwear,1.0,33.1,In-Store,No
970477,Accessories,1.0,50.3,In-Store,No
970478,Footwear,1.0,59.0,Online,No
970479,Footwear,1.0,47.8,Online,No
970480,Footwear,0.0,21.5,Online,No
970481,Apparel,1.0,27.5,Online,No
970482,Apparel,1.0,48.2,Online,No
970483,Electronics,1.0,10.8,In-Store,Yes
970484,Apparel,1.0,23.0,In-Store,No
970485,Apparel,1.0,58.3,Online,No
970486,Electronics,1.0,3.0,In-Store,No
970487,Apparel,1.0,16.3,Online,No
970488,Apparel,1.0,28.1,Online,No
970489,Apparel,1.0,35.1,Online,No
970490,Apparel,1.0,52.2,Online,No
970491,Footwear,1.0,26.7,Online,No
970492,Accessories,1.0,39.7,In-Store,No
970493,Accessories,1.0,31.7,In-Store,No
970494,Accessories,1.0,16.3,Online,No
970495,Accessories,1.0,53.7,Online,No
970496,Footwear,1.0,0.7,Online,No
970497,Footwear,1.0,31.3,In-Store,No
970498,Footwear,1.0,10.9,Online,No
970499,Accessories,1.0,55.5,Online,No
970500,Electronics,1.0,40.3,Online,No
970501,Accessories,1.0,0.8,In-Store,No
970502,Accessories,1.0,56.7,Online,No
970503,Apparel,1.0,23.7,Online,No
970504,Apparel,1.0,13.4,Online,No
970505,Electronics,1.0,16.2,Online,No
970506,Footwear,1.0,7.9,Online,No
970507,Electronics,1.0,14.6,Online,No
970508,Accessories,1.0,50.8,In-Store,No
970509,Apparel,1.0,6.1,In-Store,No
970510,Electronics,1.0,54.6,Online,No
970511,Footwear,0.0,48.0,Online,No
970512,Accessories,1.0,21.9,In-Store,Yes
970513,Electronics,1.0,8.8,In-Store,No
970514,Apparel,1.0,49.3,Online,No
970515,Footwear,1.0,28.7,In-Store,No
970516,Accessories,1.0,45.1,Online,No
970517,Electronics,1.0,11.3,Online,No
970518,Electronics,1.0,21.1,In-Store,No
970519,Accessories,1.0,13.7,Online,No
970520,Electronics,1.0,55.4,In-Store,No
970521,Apparel,1.0,32.3,Online,Yes
970522,Apparel,1.0,42.5,In-Store,No
970523,Electronics,1.0,21.2,Online,No
970524,Electronics,1.0,38.1,Online,No
970525,Accessories,1.0,6.0,In-Store,No
970526,Accessories,0.0,36.6,In-Store,No
970527,Accessories,1.0,1.5,Online,No
970528,Electronics,1.0,37.9,Online,No
970529,Footwear,1.0,7.6,Online,No
970530,Accessories,1.0,22.4,Online,Yes
970531,Apparel,1.0,51.4,In-Store,No
970532,Electronics,1.0,47.3,Online,No
970533,Accessories,1.0,45.1,Online,No
970534,Electronics,0.0,32.1,Online,No
970535,Accessories,1.0,3.0,Online,No
970536,Apparel,1.0,49.0,Online,No
970537,Footwear,0.0,5.5,In-Store,No
970538,Accessories,1.0,28.2,Online,No
970539,Apparel,1.0,12.7,Online,No
970540,Electronics,1.0,46.4,In-Store,No
970541,Electronics,1.0,13.2,Online,No
970542,Accessories,1.0,0.7,In-Store,No
970543,Apparel,1.0,49.1,Online,No
970544,Accessories,1.0,17.7,In-Store,No
970545,Footwear,1.0,43.4,Online,No
970546,Electronics,1.0,36.1,In-Store,No
970547,Footwear,1.0,16.6,Online,No
970548,Apparel,1.0,3.7,In-Store,No
970549,Electronics,1.0,38.9,Online,Yes
970550,Accessories,1.0,40.5,Online,No
970551,Footwear,1.0,4.9,In-Store,No
970552,Accessories,1.0,46.6,Online,No
970553,Electronics,1.0,18.7,In-Store,No
970554,Accessories,1.0,47.4,Online,Yes
970555,Apparel,1.0,56.4,In-Store,No
970556,Apparel,1.0,41.0,Online,Yes
970557,Apparel,1.0,1.1,Online,No
970558,Apparel,,8.4,In-Store,No
970559,Accessories,1.0,42.0,In-Store,No
970560,Footwear,1.0,10.6,Online,No
970561,Apparel,1.0,33.4,Online,No
970562,Electronics,,43.3,Online,No
970563,Footwear,1.0,0.5,Online,No
970564,Apparel,1.0,29.7,In-Store,No
970565,Footwear,1.0,55.0,Online,No
970566,Electronics,1.0,34.8,Online,No
970567,Electronics,1.0,58.1,In-Store,No
970568,Footwear,0.0,42.5,In-Store,No
970569,Apparel,0.0,11.9,Online,Yes
970570,Electronics,1.0,55.3,Online,No
970571,Apparel,1.0,59.9,Online,No
970572,Electronics,1.0,20.0,Online,No
970573,Accessories,0.0,31.1,Online,No
970574,Apparel,1.0,36.9,In-Store,No
970575,Electronics,1.0,32.5,In-Store,No
970576,Electronics,1.0,36.1,Online,No
970577,Electronics,1.0,53.2,Online,No
970578,Electronics,1.0,35.2,Online,No
970579,Electronics,1.0,4.3,Online,No
970580,Electronics,1.0,38.8,Online,No
970581,Footwear,1.0,49.9,In-Store,No
970582,Footwear,1.0,47.2,Online,No
970583,Electronics,1.0,37.5,In-Store,No
970584,Accessories,1.0,43.4,In-Store,No
970585,Electronics,1.0,18.1,Online,No
970586,Footwear,1.0,47.3,Online,Yes
970587,Accessories,1.0,31.8,Online,No
970588,Accessories,1.0,57.0,In-Store,No
970589,Accessories,0.0,41.1,Online,No
970590,Accessories,1.0,31.2,Online,No
970591,Electronics,1.0,48.0,Online,No
970592,Accessories,,47.6,Online,No
970593,Apparel,1.0,42.2,Online,No
970594,Footwear,1.0,21.6,Online,No
970595,Electronics,0.0,41.0,Online,No
970596,Apparel,1.0,48.0,In-Store,Yes
970597,Accessories,1.0,16.0,Online,No
970598,Apparel,1.0,22.9,Online,No
970599,Footwear,1.0,9.2,Online,No
970600,Accessories,1.0,35.3,Online,No
970601,Apparel,1.0,18.1,In-Store,No
970602,Electronics,1.0,0.3,Online,Yes
970603,Footwear,1.0,43.9,Online,No
970604,Apparel,1.0,38.3,Online,No
970605,Apparel,1.0,2.3,Online,No
970606,Apparel,0.0,56.1,Online,Yes
970607,Footwear,0.0,50.1,Online,No
970608,Apparel,1.0,38.4,In-Store,No
970609,Footwear,1.0,19.6,Online,No
970610,Footwear,1.0,36.3,In-Store,No
970611,Electronics,,42.5,Online,Yes
970612,Footwear,1.0,28.3,Online,No
970613,Accessories,1.0,45.4,In-Store,No
970614,Apparel,1.0,23.4,Online,No
970615,Accessories,0.0,40.6,Online,Yes
970616,Accessories,0.0,39.5,In-Store,Yes
970617,Apparel,1.0,40.4,In-Store,No
970618,Accessories,1.0,19.8,In-Store,No
970619,Electronics,1.0,41.4,In-Store,No
970620,Accessories,1.0,38.8,In-Store,Yes
970621,Footwear,1.0,52.3,Online,Yes
970622,Accessories,1.0,47.8,In-Store,No
970623,Accessories,1.0,44.6,In-Store,No
970624,Electronics,1.0,7.8,Online,No
970625,Apparel,1.0,45.6,Online,No
970626,Footwear,1.0,11.9,Online,No
970627,Accessories,1.0,36.3,Online,No
970628,Footwear,1.0,0.8,Online,No
970629,Electronics,1.0,35.2,Online,No
970630,Footwear,0.0,10.9,Online,No
970631,Electronics,1.0,37.1,Online,No
970632,Apparel,1.0,53.6,Online,No
970633,Electronics,1.0,59.7,Online,No
