StudentID,StudyHours,AttendanceRate,SleepHours,ParentalSupport,FinalGrade
620245,7.4,94.5,8.5,Low,71.4
620246,2.0,70.0,4.7,Medium,54.4
620247,18.7,70.3,6.3,Medium,73.4
620248,10.8,90.9,5.4,Medium,76.9
620249,8.4,99.7,7.3,High,79.5
620250,32.7,88.6,9.0,Low,90.6
620251,17.0,99.9,9.3,Medium,91.4
620252,26.7,93.1,9.3,Medium,96.3
620253,11.5,89.5,6.8,Medium,79.2
620254,9.2,89.8,9.2,Medium,71.3
620255,29.1,74.7,4.9,High,93.3
620256,12.3,86.8,5.9,High,78.2
620257,19.8,85.2,6.4,Medium,82.9
620258,31.6,94.8,6.7,Medium,96.0
620259,28.1,97.3,5.1,Medium,94.6
620260,25.6,74.1,8.8,Medium,83.1
620261,8.7,80.6,7.6,High,69.8
620262,20.5,92.1,6.9,High,88.7
620263,23.0,78.4,4.5,Medium,86.0
620264,8.3,78.9,7.4,Low,62.6
620265,5.1,73.3,4.8,High,61.9
620266,8.3,78.9,9.3,High,73.4
620267,24.5,92.8,7.0,High,94.4
620268,18.2,95.5,8.7,Low,79.6
620269,11.5,94.4,5.9,High,79.9
620270,6.0,95.9,9.0,High,77.1
620271,18.8,70.4,6.1,Low,70.1
620272,27.9,97.7,6.6,Medium,98.7
620273,27.8,96.3,7.6,High,96.9
620274,10.9,70.7,5.5,Medium,69.9
620275,13.1,80.4,7.9,High,73.2
620276,32.8,77.3,7.3,High,94.9
620277,15.5,90.4,8.7,Medium,77.8
620278,12.4,93.3,8.7,Medium,75.9
620279,16.2,84.2,4.6,Medium,76.1
620280,26.8,78.2,9.0,Medium,82.8
620281,7.1,91.0,9.3,Medium,67.6
620282,7.2,77.0,4.6,Medium,67.1
620283,29.7,79.6,7.4,Medium,84.9
620284,19.3,74.2,7.0,Medium,74.5
620285,27.2,87.5,6.4,Medium,94.6
620286,16.9,74.8,8.8,Medium,74.2
620287,14.7,75.7,8.2,Low,62.5
620288,26.4,88.9,7.5,Medium,87.9
620289,11.7,95.2,7.8,High,80.8
620290,15.4,94.4,5.4,Medium,76.8
620291,29.8,89.0,4.9,High,93.6
620292,24.0,80.6,9.2,Medium,78.9
620293,14.3,91.6,6.0,Medium,78.6
620294,31.4,89.9,6.0,Medium,94.3
620295,15.6,74.5,6.9,Medium,74.0
620296,34.3,77.3,5.4,Low,90.8
620297,6.2,79.2,7.0,Medium,62.6
620298,21.5,98.4,8.0,Medium,91.3
620299,10.3,81.2,8.3,High,76.9
620300,29.9,84.4,9.1,Medium,91.4
620301,23.2,86.0,8.4,High,92.2
620302,32.0,96.5,5.2,Medium,99.9
620303,25.9,82.6,7.3,High,95.6
620304,11.6,88.9,6.0,High,75.8
620305,8.2,75.2,6.8,Medium,64.3
620306,21.3,98.1,8.2,Low,84.3
620307,11.4,97.4,7.9,Medium,74.8
620308,32.0,76.2,7.4,High,97.0
620309,4.2,89.5,5.1,Medium,66.6
620310,34.6,94.2,6.4,Medium,100.0
620311,3.0,92.6,7.5,Low,63.4
620312,25.6,81.3,6.0,High,91.0
620313,4.4,86.3,5.7,Low,57.0
620314,22.1,99.4,7.1,Low,84.1
620315,11.3,71.7,6.6,High,75.3
620316,22.9,90.1,7.1,Medium,94.4
620317,10.1,96.1,7.3,High,82.7
620318,18.8,86.6,9.1,Medium,82.0
620319,31.1,80.1,6.4,Medium,90.9
620320,22.6,84.9,8.7,High,89.6
620321,3.8,73.9,5.0,Low,59.9
620322,3.3,99.9,5.8,Medium,66.8
620323,12.3,80.9,6.5,Medium,68.8
620324,18.9,80.5,4.7,Low,78.1
620325,11.3,86.5,9.0,High,73.8
620326,23.8,91.8,6.3,High,94.0
620327,16.5,87.6,9.0,High,76.4
620328,10.0,99.9,5.1,Low,74.1
620329,6.8,80.8,7.6,Medium,67.7
620330,20.4,77.7,5.2,Medium,74.6
620331,32.1,94.8,7.1,Medium,100.0
620332,18.2,94.2,7.3,Medium,83.8
620333,11.8,70.1,4.9,High,67.6
620334,33.1,,9.0,Medium,91.7
620335,34.1,74.1,7.3,High,95.5
620336,4.5,72.6,9.1,High,66.0
620337,9.9,79.3,6.8,Medium,68.3
620338,6.8,71.9,7.1,Medium,60.8
620339,8.9,71.3,7.1,Medium,67.0
620340,20.5,89.7,8.5,High,84.9
620341,31.2,91.9,9.3,High,100.0
620342,17.6,84.9,7.8,Low,75.4
620343,3.4,98.2,6.5,Medium,70.9
620344,11.7,97.2,7.9,Medium,73.8
620345,15.9,97.0,6.2,Medium,83.1
620346,20.5,93.0,4.7,High,89.4
620347,11.7,74.6,8.9,Medium,62.8
620348,12.7,73.1,7.2,Low,65.6
620349,18.1,98.0,5.3,Medium,82.2
620350,20.5,93.4,8.7,High,89.9
620351,28.9,94.1,6.6,Medium,94.2
620352,32.1,74.3,8.3,High,96.2
620353,19.6,73.1,9.5,Low,69.9
620354,15.2,75.3,8.4,Medium,71.1
620355,27.5,83.3,7.4,Medium,90.0
620356,2.5,71.4,6.8,Medium,58.3
620357,25.9,80.0,4.8,High,89.0
620358,23.9,86.3,8.4,Medium,91.5
620359,28.4,80.7,7.8,High,95.7
620360,7.8,94.3,5.7,High,73.2
620361,2.5,99.7,8.8,Low,62.6
620362,19.1,83.4,6.7,High,89.2
620363,3.9,80.9,7.1,Medium,67.3
620364,18.7,99.5,6.6,Medium,85.7
620365,12.8,72.6,7.8,Medium,67.7
620366,28.9,70.2,7.7,High,87.4
620367,34.9,92.9,4.7,Medium,98.1
620368,18.1,,9.0,Medium,85.7
620369,14.7,90.7,8.6,High,86.0
620370,3.6,94.0,4.6,Medium,67.1
620371,4.3,97.3,8.0,Medium,67.0
620372,26.5,92.3,4.6,Medium,93.4
620373,28.9,80.5,8.0,Medium,91.8
620374,4.4,70.8,6.2,High,61.0
620375,7.0,89.4,5.2,Low,63.4
620376,20.5,93.6,8.2,Medium,86.7
620377,11.2,97.7,9.2,Medium,76.6
620378,34.6,85.9,5.3,Medium,94.1
620379,31.9,81.6,8.8,Medium,94.2
620380,30.8,93.5,7.4,Medium,96.2
620381,15.7,95.7,6.8,Medium,81.5
620382,31.5,97.6,7.0,Medium,96.9
620383,18.7,72.2,6.1,High,75.9
620384,32.5,78.4,6.1,High,100.0
620385,15.9,84.9,8.1,Low,74.3
620386,5.5,97.3,7.1,High,75.5
620387,5.9,81.7,8.9,Medium,62.5
620388,22.7,83.0,8.9,Medium,83.2
620389,15.5,91.0,8.4,Medium,73.1
620390,8.7,84.6,6.4,High,73.8
620391,27.3,87.3,8.0,Low,85.0
620392,23.8,75.5,5.9,Medium,78.2
620393,22.3,89.4,6.9,High,94.7
620394,23.3,80.2,5.5,High,87.8
620395,12.7,99.5,8.5,Medium,82.2
620396,3.2,92.6,6.7,High,65.2
620397,31.0,84.0,8.7,Medium,91.4
620398,19.0,73.4,4.7,Medium,74.2
620399,4.6,90.0,6.0,Low,59.5
620400,4.1,92.1,5.6,High,74.4
620401,23.7,76.9,6.6,Medium,76.8
620402,13.0,71.4,9.3,High,71.3
620403,5.3,75.9,8.0,Medium,64.3
620404,18.8,73.1,9.0,Low,71.6
620405,5.7,77.2,7.0,Medium,66.1
620406,3.2,81.9,6.8,High,67.2
620407,12.0,90.7,9.5,Medium,78.9
620408,13.1,92.9,6.8,Medium,75.1
620409,26.7,89.5,4.5,High,90.4
620410,18.5,91.8,8.5,Low,82.0
620411,15.6,84.0,9.0,Medium,71.9
620412,25.4,79.4,9.5,Medium,82.1
620413,7.9,81.6,9.4,Medium,65.4
620414,31.3,73.8,5.3,Medium,86.2
620415,21.5,89.9,6.6,Medium,81.2
620416,11.2,94.9,6.1,Medium,76.6
620417,11.8,95.1,8.8,Low,73.0
620418,34.9,76.6,8.0,High,91.2
620419,32.5,81.0,4.6,Low,89.9
620420,10.6,85.5,4.5,Medium,70.4
620421,13.0,92.0,8.8,High,82.5
620422,25.9,99.1,7.7,Medium,94.6
620423,5.7,83.8,8.0,Medium,65.4
620424,22.7,89.4,5.7,High,93.9
620425,24.9,81.7,8.5,High,93.4
620426,5.5,90.0,7.5,Medium,61.9
620427,20.3,76.3,8.8,Low,75.1
620428,20.4,87.0,5.8,High,86.1
620429,34.0,78.3,8.9,Medium,88.4
620430,23.3,95.0,5.7,Medium,88.0
620431,34.2,,8.2,High,100.0
620432,30.9,90.3,4.8,High,96.6
620433,24.4,79.7,6.8,High,86.4
620434,25.2,82.8,5.3,High,92.1
620435,10.9,74.3,9.3,High,68.5
620436,7.1,71.9,6.0,High,63.9
620437,3.8,85.9,5.3,High,71.2
620438,25.7,84.6,9.2,Low,84.7
620439,26.3,79.4,9.3,High,93.7
620440,7.4,92.4,5.0,High,78.0
620441,11.4,71.4,6.0,Medium,66.7
620442,2.7,83.5,4.9,Low,58.7
620443,6.5,87.9,6.7,Medium,72.3
620444,11.5,90.2,5.2,Medium,70.6
620445,30.0,70.9,5.7,Low,81.6
620446,29.1,98.4,8.5,Medium,95.8
620447,22.5,88.8,9.1,Medium,84.9
620448,23.1,98.1,6.8,High,93.8
620449,12.5,,4.8,Medium,69.6
620450,32.2,86.5,6.9,High,100.0
620451,32.0,80.5,4.9,Medium,93.9
620452,26.4,88.3,7.8,Medium,84.9
620453,26.4,99.2,7.9,Low,97.2
620454,8.5,91.1,6.4,Medium,68.9
620455,14.9,99.3,8.1,High,83.4
620456,19.7,71.2,4.6,Low,67.9
620457,16.5,94.0,7.2,Medium,81.3
620458,7.2,83.9,8.2,Medium,65.6
620459,29.0,92.3,5.4,High,98.2
620460,16.3,78.5,9.3,High,81.8
620461,17.5,73.8,4.8,Medium,72.8
620462,31.3,72.6,5.4,High,96.7
620463,5.1,96.0,6.6,High,76.6
620464,26.6,89.4,8.1,High,97.4
620465,27.9,85.0,7.4,High,91.6
620466,19.6,74.2,5.8,High,81.8
620467,4.3,71.6,7.9,Medium,53.5
620468,12.2,71.7,6.1,Medium,65.2
620469,30.4,73.5,7.3,High,92.7
620470,7.6,94.9,4.8,Low,66.5
620471,15.3,79.5,7.1,Medium,73.5
620472,11.0,71.8,4.8,Medium,67.0
620473,22.8,78.9,5.5,Low,77.2
620474,3.8,83.0,5.3,Medium,59.2
620475,30.4,81.6,7.7,Medium,94.4
620476,9.3,84.0,9.2,Medium,67.3
620477,7.4,80.6,6.9,High,75.6
620478,25.3,79.9,7.9,High,89.2
620479,29.0,87.0,6.2,Medium,93.9
620480,10.8,82.5,7.8,High,76.7
620481,20.5,91.5,5.5,High,90.1
620482,24.8,82.6,7.4,High,88.6
620483,7.8,80.2,9.0,Low,63.0
620484,11.4,71.4,7.7,Medium,60.1
620485,14.6,79.4,9.5,Medium,71.4
620486,28.1,84.9,9.1,Low,83.1
620487,29.1,95.8,5.1,Low,92.4
620488,18.0,76.5,6.8,Medium,69.8
620489,10.9,86.3,8.1,Medium,71.8
620490,11.7,82.0,5.3,High,73.7
620491,16.6,93.4,6.1,Low,81.5
620492,3.3,85.6,6.4,Medium,63.2
620493,21.9,75.5,6.4,Medium,77.1
620494,25.5,88.5,6.4,High,85.8
620495,22.5,99.4,5.7,High,94.2
620496,8.3,,6.8,High,72.1
620497,23.5,98.4,7.4,Medium,90.0
620498,14.7,90.5,8.9,Medium,77.9
620499,29.0,80.7,7.3,Medium,85.6
620500,32.7,79.9,6.7,Medium,100.0
620501,29.0,86.7,4.8,Medium,91.2
620502,17.9,75.2,8.7,Medium,73.4
620503,17.7,79.3,8.7,Medium,75.0
620504,4.5,87.8,4.9,Medium,65.2
620505,10.6,75.5,7.6,Low,62.4
620506,23.0,87.3,5.5,High,91.1
620507,13.7,83.3,8.2,Low,72.3
620508,2.7,89.1,7.1,Medium,64.8
620509,24.7,80.2,5.7,Medium,79.9
620510,5.9,97.4,6.5,High,69.4
620511,17.4,84.9,6.4,Medium,76.4
620512,31.0,92.8,8.5,Medium,98.2
620513,25.4,87.8,8.4,Medium,86.8
620514,34.6,93.2,7.8,Medium,97.7
620515,26.0,79.9,6.9,High,91.8
620516,24.8,77.1,5.5,Medium,85.2
620517,27.5,91.1,6.2,Medium,91.0
620518,21.6,96.7,5.8,Medium,89.8
620519,14.6,99.9,5.7,Medium,83.0
620520,8.4,88.0,7.3,Medium,71.4
620521,6.6,92.6,8.7,Medium,66.2
620522,28.3,92.0,7.2,Low,90.1
620523,20.2,80.5,8.0,High,85.4
620524,7.5,93.0,9.0,Low,70.3
620525,10.7,81.4,4.9,Low,66.3
620526,31.1,88.8,6.0,Medium,96.7
620527,8.8,71.0,7.9,High,63.6
620528,7.2,74.5,5.8,Medium,62.4
620529,30.3,71.0,7.1,Medium,80.0
620530,20.2,76.6,4.8,Medium,79.4
620531,33.9,88.0,9.0,Medium,96.8
620532,12.7,70.7,4.8,Medium,68.5
620533,21.3,84.9,8.4,Medium,84.0
620534,29.6,84.7,7.6,Medium,92.6
620535,32.3,73.7,5.3,Medium,86.8
620536,6.8,94.4,5.8,Low,61.8
620537,23.0,71.2,4.8,Medium,77.2
620538,18.9,97.5,7.1,High,93.0
620539,28.6,90.8,4.7,High,98.0
620540,15.3,88.3,5.8,High,73.7
620541,21.9,94.9,8.3,Low,80.8
620542,33.2,81.1,9.4,Medium,91.6
620543,8.3,71.1,5.6,Medium,57.8
620544,21.9,72.7,6.8,Low,75.1
620545,20.5,85.7,8.9,High,85.6
620546,27.5,84.3,8.2,Low,86.7
620547,29.3,,5.2,Low,95.8
620548,3.7,91.5,6.0,High,69.5
620549,23.5,88.5,5.2,Medium,83.9
620550,29.6,79.4,7.7,Medium,89.9
620551,24.7,83.6,7.5,High,89.5
620552,31.8,89.1,4.6,Low,92.4
620553,18.6,74.1,4.9,High,81.5
620554,14.4,87.7,8.5,High,80.7
620555,17.5,82.2,7.3,Low,77.0
620556,34.1,90.3,9.4,Medium,96.8
620557,26.9,99.9,8.1,High,100.0
620558,9.3,90.8,8.0,Low,70.4
620559,31.7,98.7,7.6,Medium,100.0
620560,33.7,80.1,7.4,Medium,99.9
620561,29.9,75.9,5.9,Medium,85.1
620562,21.8,82.2,6.9,Medium,80.3
620563,8.9,85.4,5.1,Low,61.5
620564,16.1,74.8,6.2,High,75.7
620565,4.9,83.7,4.6,High,68.3
620566,8.3,70.3,6.6,High,67.1
620567,12.4,98.8,9.5,Medium,80.2
620568,13.1,97.2,8.3,Medium,78.5
620569,5.9,83.0,6.4,High,64.5
620570,26.5,70.5,5.6,High,88.3
620571,19.3,76.6,5.3,High,83.7
620572,11.9,80.0,5.5,Medium,73.4
620573,9.9,74.3,9.5,High,70.7
620574,3.6,90.1,5.0,Medium,65.3
620575,5.4,82.8,5.3,Medium,62.9
620576,33.8,97.0,8.1,High,100.0
620577,28.4,96.7,6.9,Low,88.4
620578,25.2,99.2,6.8,High,99.2
620579,3.9,87.0,5.1,High,70.8
620580,2.9,96.6,8.9,Medium,68.1
620581,33.5,74.9,4.8,Medium,95.5
620582,18.6,84.4,7.0,Medium,80.6
620583,28.3,88.4,8.2,Medium,92.6
620584,10.3,92.0,4.5,Medium,72.8
620585,24.8,83.2,5.4,Medium,86.6
620586,22.6,90.4,5.8,Medium,93.0
620587,6.3,78.4,9.1,Medium,62.9
620588,23.0,79.8,4.7,Medium,83.5
620589,18.6,93.7,7.5,High,87.0
620590,13.1,88.4,8.4,High,84.5
620591,34.4,77.7,9.0,Medium,92.3
620592,29.5,71.4,9.1,Low,85.8
620593,25.8,84.2,8.2,Low,90.0
620594,6.2,71.2,5.0,High,70.0
620595,4.0,78.8,5.6,Medium,59.4
620596,13.9,74.0,9.0,Low,64.7
620597,2.7,94.7,8.0,Medium,70.4
620598,12.4,90.7,7.4,Medium,75.5
620599,22.1,77.6,6.6,High,84.7
620600,26.7,85.5,6.0,Medium,89.3
620601,29.3,75.4,5.8,Low,80.9
620602,4.3,85.0,7.0,Medium,65.6
620603,29.1,73.3,6.3,Medium,87.3
620604,7.7,77.7,5.6,High,67.3
620605,29.7,94.0,7.5,High,98.4
620606,24.1,93.1,7.9,Medium,89.7
620607,27.1,93.9,8.4,Medium,89.5
620608,8.3,83.0,5.6,Medium,62.9
620609,28.1,86.0,9.2,Medium,90.5
620610,13.2,95.8,6.5,High,82.8
620611,19.2,81.2,8.2,High,82.9
620612,32.3,88.5,7.5,Medium,92.3
620613,8.6,80.5,8.7,Medium,69.7
620614,8.6,87.7,8.1,Medium,69.6
620615,28.2,80.1,7.7,Medium,87.2
620616,27.2,90.2,7.6,Medium,85.9
620617,3.3,76.8,5.8,Medium,61.7
620618,25.6,70.0,4.7,High,91.8
620619,13.5,96.2,6.5,High,82.0
620620,34.9,80.1,5.7,Low,90.4
620621,29.5,74.5,6.2,Medium,90.3
620622,7.3,85.4,7.6,Medium,58.7
620623,30.0,74.8,4.7,High,87.5
620624,33.3,70.6,6.7,Low,88.1
620625,25.2,83.6,5.4,Medium,83.0
620626,13.0,,8.2,Medium,73.6
620627,4.8,93.8,7.1,Low,65.0
