ID,Age,CreditScore,DebtToIncome_Ratio,CardCount,DefaultHistory
700142,27,632,22.3,6,No
700143,31,618,55.49,5,Yes
700144,60,619,36.66,3,Yes
700145,29,611,33.42,2,No
700146,31,685,33.48,2,No
700147,43,621,42.28,6,Yes
700148,70,662,24.71,7,No
700149,52,650,23.11,6,No
700150,72,681,49.3,6,No
700151,29,576,16.52,1,No
700152,56,550,22.99,7,Yes
700153,77,674,43.06,3,No
700154,54,591,46.93,1,Yes
700155,29,554,43.21,7,Yes
700156,77,701,21.58,3,No
700157,30,541,38.45,4,No
700158,31,602,39.24,6,No
700159,64,695,5.34,3,No
700160,59,607,14.62,3,No
700161,77,654,29.8,2,No
700162,23,542,18.92,6,No
700163,31,628,56.2,6,Yes
700164,46,694,47.49,4,No
700165,25,527,32.61,7,Yes
700166,75,665,64.52,4,No
700167,25,577,24.8,2,No
700168,51,618,21.15,2,No
700169,74,678,64.81,5,Yes
700170,40,647,54.19,1,Yes
700171,75,591,53.61,1,No
700172,26,495,19.16,5,Yes
700173,36,655,15.98,6,No
700174,62,626,60.43,3,Yes
700175,27,608,6.02,4,No
700176,28,613,46.18,1,Yes
700177,57,596,26.13,2,No
700178,26,608,21.5,5,No
700179,68,677,7.1,5,No
700180,24,577,54.13,4,Yes
700181,52,576,57.83,4,Yes
700182,57,533,59.18,5,Yes
700183,34,629,29.52,4,No
700184,48,725,5.31,5,No
700185,51,640,23.15,3,No
700186,37,579,7.52,4,No
700187,69,695,31.16,3,No
700188,46,610,23.68,2,No
700189,24,601,13.5,3,No
700190,62,647,33.69,7,No
700191,37,547,28.75,1,Yes
700192,40,638,32.17,2,No
700193,37,576,6.98,5,No
700194,76,663,29.34,2,No
700195,70,631,29.0,7,No
700196,67,601,37.28,5,Yes
700197,58,748,14.42,2,No
700198,63,681,32.55,6,No
700199,59,632,44.91,3,No
700200,57,668,51.02,7,Yes
700201,25,659,64.67,3,Yes
700202,31,711,38.25,5,Yes
700203,53,643,31.35,3,No
700204,36,617,40.02,3,Yes
700205,67,708,28.7,1,No
700206,55,573,22.06,7,No
700207,75,582,40.7,3,No
700208,26,582,36.28,7,Yes
700209,39,558,34.18,5,Yes
700210,23,657,47.07,2,Yes
700211,69,618,49.99,7,Yes
700212,33,620,8.07,1,Yes
700213,48,596,51.62,3,Yes
700214,63,609,26.18,1,No
700215,73,677,45.83,4,Yes
700216,61,650,34.56,3,No
700217,55,591,19.23,2,Yes
700218,22,593,43.51,4,Yes
700219,39,510,64.76,4,Yes
700220,72,720,5.29,6,No
700221,52,563,59.14,5,Yes
700222,21,581,9.64,6,No
700223,46,715,25.84,2,No
700224,37,585,62.93,4,Yes
700225,31,569,10.9,7,No
700226,68,592,46.86,2,Yes
700227,35,679,8.3,5,No
700228,42,634,19.01,5,No
700229,47,572,18.93,1,No
700230,48,581,7.57,1,No
700231,42,663,59.38,7,Yes
700232,50,616,16.17,1,No
700233,23,591,38.8,6,No
700234,33,575,48.22,1,Yes
700235,71,672,27.38,7,No
700236,47,640,21.5,2,Yes
700237,32,587,61.4,3,Yes
700238,69,648,21.99,2,No
700239,21,566,63.46,4,No
700240,52,686,45.63,4,No
700241,43,704,26.18,3,No
700242,36,728,16.97,5,No
700243,36,670,51.82,3,Yes
700244,49,675,14.14,4,No
700245,51,600,13.74,2,No
700246,43,671,12.38,2,No
700247,76,636,31.13,1,No
700248,43,698,18.1,4,No
700249,56,707,44.06,6,No
700250,62,544,27.21,3,No
700251,54,610,53.27,3,Yes
700252,56,604,58.95,2,No
700253,75,631,18.76,7,No
700254,44,686,46.23,2,No
700255,71,656,40.59,7,No
700256,75,772,12.32,4,No
700257,68,583,28.89,7,No
700258,41,592,23.09,6,No
700259,40,556,8.38,3,No
700260,27,544,62.88,5,Yes
700261,34,545,31.57,1,No
700262,28,624,48.45,1,No
700263,48,699,25.2,3,No
700264,74,694,53.64,4,Yes
700265,37,551,42.1,7,Yes
700266,73,654,36.01,4,No
700267,34,653,62.24,4,Yes
700268,38,543,27.05,1,No
700269,24,674,16.62,1,No
700270,74,624,30.93,5,Yes
700271,23,515,32.36,3,No
700272,39,615,32.8,5,No
700273,40,539,44.93,5,Yes
700274,76,602,42.1,5,Yes
700275,69,683,21.4,6,No
700276,26,580,62.96,1,No
700277,35,655,55.09,6,No
700278,71,728,50.74,2,Yes
700279,69,582,6.16,1,No
700280,38,643,9.18,1,No
700281,69,637,40.71,7,Yes
700282,67,662,13.91,1,No
700283,45,653,56.95,3,Yes
700284,44,652,59.23,1,Yes
700285,51,698,49.34,3,Yes
700286,43,653,58.38,5,No
700287,36,644,63.41,4,No
700288,73,708,16.81,3,No
700289,73,660,45.41,6,No
700290,64,632,16.52,2,No
700291,56,631,60.66,1,Yes
700292,76,700,30.75,2,Yes
700293,74,615,45.65,3,Yes
700294,23,578,16.67,2,No
700295,57,611,13.32,3,No
700296,41,576,37.61,7,Yes
700297,74,591,23.58,1,Yes
700298,23,581,27.88,2,No
700299,70,626,10.29,4,No
700300,46,567,38.12,2,No
700301,55,650,11.5,1,No
700302,25,683,46.84,2,No
700303,68,669,35.49,7,Yes
700304,50,599,11.92,7,No
700305,67,701,9.53,7,No
700306,39,632,48.24,6,Yes
700307,64,683,26.1,4,Yes
700308,55,689,27.94,5,No
700309,76,655,22.83,7,No
700310,51,739,23.65,3,Yes
700311,49,640,20.27,4,No
700312,77,707,51.39,7,No
700313,70,683,13.37,7,No
700314,24,575,22.75,6,No
700315,75,688,24.0,2,No
700316,61,594,26.13,5,Yes
700317,36,522,31.56,3,No
700318,22,486,19.64,3,Yes
700319,53,546,23.2,7,No
700320,34,666,32.64,6,No
700321,58,660,9.38,3,No
700322,29,634,50.83,5,No
700323,34,583,15.14,6,Yes
700324,44,632,48.77,3,No
700325,62,653,43.21,2,No
700326,66,603,5.29,7,No
700327,74,594,28.8,7,No
700328,73,632,43.73,3,No
700329,27,593,46.98,4,No
700330,42,663,34.36,1,Yes
700331,71,703,37.68,3,No
700332,53,545,12.13,3,No
700333,56,650,54.63,3,Yes
700334,47,577,56.16,4,Yes
700335,74,572,15.2,2,No
700336,64,613,54.48,5,No
700337,23,593,52.56,5,Yes
700338,39,601,26.24,7,No
700339,40,618,21.79,7,No
700340,40,638,61.91,1,Yes
700341,60,617,19.38,5,Yes
700342,25,536,59.85,3,Yes
700343,76,689,34.82,4,No
700344,22,525,26.04,1,No
700345,26,584,18.88,6,No
700346,60,669,57.84,4,No
700347,66,659,6.01,6,No
700348,29,598,16.86,4,No
700349,62,627,46.17,1,Yes
700350,23,563,46.47,4,Yes
700351,65,598,50.62,2,Yes
700352,34,579,13.85,6,No
700353,56,621,62.57,3,Yes
700354,21,552,27.17,2,No
700355,67,698,44.44,4,No
700356,67,686,52.07,6,No
700357,32,629,57.3,4,Yes
700358,34,620,45.46,7,No
700359,32,600,62.46,2,Yes
700360,29,596,21.52,1,No
700361,66,603,35.31,5,No
700362,37,557,22.6,4,Yes
700363,60,658,51.48,5,No
700364,75,680,52.75,5,Yes
700365,62,647,58.45,2,Yes
700366,53,656,51.31,1,Yes
700367,71,617,45.05,1,Yes
700368,61,705,61.51,7,Yes
700369,72,603,10.78,4,No
700370,38,652,41.63,7,No
700371,26,632,50.29,1,Yes
700372,34,586,10.92,7,No
700373,56,571,38.35,6,Yes
700374,37,595,,2,No
700375,75,680,7.77,2,No
700376,29,651,9.79,4,No
700377,75,684,22.63,1,No
700378,30,590,36.67,3,Yes
700379,63,689,21.61,1,No
700380,65,695,55.24,1,Yes
700381,30,554,25.8,7,No
700382,58,650,45.35,5,No
700383,76,658,7.41,4,No
700384,21,617,23.06,3,No
700385,56,592,57.94,4,Yes
700386,28,596,19.97,5,No
700387,33,667,7.51,7,No
700388,46,660,10.17,4,No
700389,63,630,39.27,3,No
700390,26,638,30.21,6,No
700391,71,664,29.99,1,No
700392,54,687,19.15,6,No
700393,66,701,27.95,2,No
700394,26,662,48.96,7,No
700395,21,602,39.68,1,Yes
700396,49,666,49.05,4,Yes
700397,50,672,12.38,4,No
700398,44,551,46.5,5,No
700399,77,685,41.18,6,No
700400,52,581,40.97,5,Yes
700401,68,586,15.22,5,No
700402,32,595,32.48,6,No
700403,46,671,62.67,1,Yes
700404,73,630,62.6,3,Yes
700405,21,617,16.88,2,No
700406,34,550,60.01,2,No
700407,35,545,36.15,6,Yes
700408,53,540,62.46,6,Yes
700409,58,599,10.37,4,No
700410,21,507,34.11,5,No
700411,72,680,42.07,1,No
700412,75,638,,4,No
700413,34,704,20.28,6,No
700414,62,711,64.39,1,No
700415,63,667,60.05,2,Yes
700416,66,545,19.16,4,No
700417,51,602,35.37,3,No
700418,64,609,20.98,1,No
700419,39,587,22.57,7,No
700420,74,646,54.97,4,No
700421,22,574,30.25,4,Yes
700422,49,628,6.62,1,Yes
700423,59,607,52.87,4,Yes
700424,66,676,7.46,5,Yes
700425,75,561,24.3,7,No
700426,45,714,52.83,6,No
700427,44,615,41.49,5,No
700428,48,609,7.7,6,No
700429,65,654,10.66,3,No
700430,69,692,17.62,6,No
700431,27,584,21.79,6,No
700432,57,666,43.14,3,No
700433,21,516,61.98,1,Yes
700434,48,671,42.04,7,No
700435,56,639,7.0,3,Yes
700436,53,666,10.04,7,No
700437,47,659,59.4,3,No
700438,26,582,12.6,1,No
700439,74,626,35.64,6,No
700440,63,688,19.58,7,No
700441,66,670,45.28,6,No
700442,40,584,14.14,5,No
700443,72,615,48.34,4,Yes
700444,70,687,40.52,7,Yes
700445,53,641,20.4,1,No
700446,74,693,31.5,7,Yes
700447,47,582,40.02,6,No
700448,39,606,64.05,4,Yes
700449,54,672,16.18,7,No
700450,59,635,62.01,2,Yes
700451,39,581,58.67,5,Yes
700452,67,621,23.78,7,Yes
700453,31,598,49.43,6,Yes
700454,69,663,23.68,6,No
700455,43,546,56.93,5,Yes
700456,29,549,37.93,3,Yes
700457,26,624,36.21,3,Yes
700458,35,642,53.39,4,No
700459,62,630,19.97,7,No
700460,48,577,36.6,7,No
700461,73,664,41.3,7,Yes
700462,52,617,44.26,5,Yes
700463,29,573,20.58,7,Yes
700464,46,557,11.67,6,No
700465,68,707,,7,No
700466,59,641,7.26,6,No
700467,42,636,9.84,3,No
700468,68,641,61.48,3,No
700469,32,600,5.29,5,No
700470,49,637,59.26,5,Yes
700471,53,724,19.1,3,No
700472,68,644,5.14,4,No
700473,69,719,37.68,3,Yes
700474,44,681,25.83,7,No
700475,49,614,52.29,2,Yes
700476,27,567,51.87,5,Yes
700477,57,550,62.56,5,Yes
700478,69,638,22.34,1,No
700479,48,611,26.12,5,No
700480,54,642,14.79,7,No
700481,42,620,31.23,2,No
700482,30,578,47.89,4,Yes
700483,29,551,22.06,5,Yes
700484,66,655,24.93,3,Yes
700485,27,560,20.37,1,No
700486,23,653,15.82,2,No
700487,42,685,20.18,1,No
700488,71,673,42.75,4,Yes
700489,51,611,22.87,7,No
700490,45,647,29.4,7,No
700491,36,568,8.46,5,No
700492,63,652,22.31,1,No
700493,74,692,35.33,5,No
700494,21,609,50.68,2,Yes
700495,25,676,49.84,3,No
700496,75,604,39.03,6,No
700497,75,650,53.03,2,No
700498,45,540,30.95,7,No
700499,41,611,44.48,5,Yes
700500,67,701,62.25,5,No
700501,69,673,8.71,7,No
700502,49,653,49.29,5,No
700503,30,605,8.47,3,No
700504,57,725,35.4,5,No
700505,56,663,48.76,2,Yes
700506,55,603,44.55,1,Yes
700507,55,648,7.97,6,No
700508,26,555,,4,No
700509,28,547,59.92,5,Yes
700510,36,610,63.38,4,Yes
700511,72,648,6.23,1,No
700512,36,659,62.56,5,Yes
700513,60,660,30.57,3,No
700514,66,703,13.84,6,No
700515,44,591,47.11,7,No
700516,53,639,42.35,7,No
700517,30,613,11.32,2,No
700518,50,636,41.33,3,No
700519,52,593,37.49,3,No
700520,48,599,15.37,7,No
700521,46,631,46.81,5,Yes
700522,54,798,12.88,6,No
700523,30,570,55.8,2,Yes
700524,73,647,12.37,6,No
700525,74,691,23.07,1,No
700526,68,634,27.53,4,No
700527,22,666,56.87,2,No
700528,69,631,7.26,3,No
700529,66,673,28.55,5,No
700530,43,591,57.46,3,Yes
700531,76,696,62.34,6,Yes
700532,24,479,47.84,7,Yes
700533,48,654,55.43,4,No
700534,53,663,15.85,4,No
700535,68,597,11.13,1,No
700536,35,594,21.56,1,Yes
700537,51,661,11.12,3,No
700538,62,673,23.49,7,No
700539,63,658,21.58,5,No
700540,34,588,55.27,2,No
700541,35,616,26.03,3,No
700542,21,532,19.77,7,Yes
700543,38,586,25.5,2,Yes
700544,64,749,36.38,1,No
700545,43,529,34.66,5,Yes
700546,38,542,35.13,3,Yes
700547,73,611,32.88,4,No
700548,30,564,9.25,4,Yes
700549,25,580,19.51,4,No
700550,64,592,25.27,4,Yes
700551,29,647,44.96,7,Yes
700552,39,635,54.87,6,Yes
700553,21,562,47.8,4,Yes
700554,48,686,58.48,1,Yes
700555,23,649,58.02,2,No
700556,57,595,39.72,3,No
700557,51,643,40.52,6,No
700558,33,494,9.16,7,Yes
700559,28,544,59.13,5,Yes
700560,56,706,25.3,1,Yes
700561,62,586,50.77,7,Yes
700562,73,661,14.87,7,No
700563,57,692,34.01,3,No
700564,38,608,18.64,7,No
700565,46,596,51.84,5,Yes
700566,27,568,61.77,5,Yes
700567,73,616,63.97,5,Yes
700568,28,566,51.93,5,Yes
700569,38,649,7.59,1,No
700570,42,549,18.86,3,Yes
700571,43,588,23.4,7,No
700572,44,618,13.88,7,Yes
700573,35,635,28.2,6,No
700574,29,530,63.94,7,Yes
700575,46,643,17.82,3,Yes
700576,67,611,41.14,6,Yes
700577,75,642,15.83,3,No
700578,33,506,42.1,7,Yes
700579,70,657,48.59,5,Yes
700580,60,628,34.13,6,Yes
700581,27,544,44.33,3,No
700582,63,614,6.28,3,No
700583,65,625,27.58,6,No
700584,51,594,9.18,2,No
700585,23,549,60.36,2,Yes
700586,35,596,52.73,6,No
700587,25,614,12.12,5,No
700588,44,584,25.73,3,No
700589,46,670,16.99,7,No
700590,21,559,28.73,5,No
700591,28,586,19.63,5,No
700592,77,641,52.61,6,No
700593,26,594,34.35,3,No
700594,37,675,28.44,1,No
700595,41,666,23.03,7,No
700596,35,646,27.39,7,No
700597,42,647,22.95,7,No
700598,44,671,41.05,2,Yes
700599,54,642,28.68,1,No
700600,44,602,22.72,1,No
700601,23,585,45.22,1,Yes
700602,40,642,20.51,1,No
700603,72,589,10.78,5,No
700604,38,534,54.79,3,Yes
700605,60,626,17.29,7,No
700606,70,717,28.7,6,Yes
700607,64,648,12.92,4,No
700608,67,696,31.98,3,No
700609,77,684,49.85,1,No
700610,24,661,36.67,7,No
700611,32,679,43.74,1,No
700612,21,539,50.47,5,No
700613,67,689,14.21,5,No
700614,39,603,24.63,3,No
700615,45,621,57.94,1,No
700616,39,589,28.21,4,No
700617,48,516,52.82,4,No
700618,48,544,54.2,2,Yes
700619,22,550,52.41,7,Yes
700620,59,653,62.38,6,Yes
700621,31,598,46.37,2,No
700622,42,601,60.3,5,No
700623,75,593,64.64,3,No
700624,54,591,50.02,5,Yes
700625,42,693,21.7,6,No
700626,39,603,34.91,3,No
700627,32,561,30.91,7,Yes
700628,63,646,9.32,5,No
700629,41,591,25.64,5,No
700630,52,627,54.03,7,No
700631,61,707,55.56,3,Yes
700632,38,526,25.96,7,No
700633,69,656,53.47,3,Yes
700634,22,534,47.09,3,No
700635,26,584,63.58,1,Yes
700636,64,656,20.89,3,Yes
700637,68,649,26.8,7,No
700638,53,639,24.7,2,No
700639,45,642,33.75,6,Yes
700640,75,680,26.48,2,No
700641,52,599,25.47,6,No
700642,55,593,17.29,4,No
700643,52,601,46.03,7,No
700644,43,603,36.67,4,No
700645,75,641,38.56,6,Yes
700646,22,561,36.99,3,No
700647,68,695,6.52,1,No
700648,51,701,22.45,6,No
700649,77,663,25.52,3,No
700650,59,642,14.68,4,No
700651,40,568,59.38,5,Yes
700652,71,652,49.91,3,Yes
700653,29,632,56.84,3,Yes
700654,63,652,60.52,2,Yes
700655,77,712,55.66,3,No
700656,43,554,22.06,2,Yes
700657,66,677,15.82,1,No
700658,34,579,28.92,4,No
700659,27,584,55.19,1,Yes
700660,36,619,51.06,1,Yes
700661,53,656,20.96,4,Yes
700662,71,684,22.56,5,No
700663,43,668,43.03,5,No
700664,45,657,15.03,2,No
700665,48,590,19.6,7,No
700666,28,615,35.93,3,No
700667,33,574,40.25,7,Yes
700668,40,609,11.03,1,No
700669,35,633,38.29,2,Yes
700670,69,703,,3,No
700671,35,582,60.47,6,Yes
700672,22,562,6.56,7,No
700673,76,623,48.85,2,Yes
700674,36,547,24.52,2,No
700675,28,528,8.7,7,No
700676,29,646,18.59,3,No
700677,62,568,57.38,4,Yes
700678,56,627,20.7,4,No
700679,43,633,41.73,6,No
700680,55,678,47.85,1,Yes
700681,74,681,5.18,4,No
700682,40,627,40.56,2,No
700683,65,670,31.1,2,No
700684,36,561,20.11,6,Yes
700685,64,660,59.35,1,No
700686,32,617,32.44,1,Yes
700687,59,705,58.99,4,Yes
700688,34,602,37.91,6,No
700689,28,595,27.2,6,No
700690,63,774,25.47,5,No
700691,48,658,27.46,4,No
700692,62,653,58.99,4,No
700693,44,570,33.82,7,Yes
700694,21,550,32.35,1,Yes
700695,26,597,43.01,6,Yes
700696,43,556,11.09,1,No
700697,65,640,11.12,7,No
700698,31,546,14.66,5,No
700699,68,683,11.03,5,No
700700,73,664,64.28,7,Yes
700701,39,637,50.06,1,Yes
700702,51,642,,6,Yes
700703,54,619,37.52,7,No
700704,26,577,42.66,5,Yes
700705,62,726,27.19,2,No
700706,33,739,25.87,4,No
700707,41,594,16.75,1,No
700708,26,553,21.86,7,No
700709,73,646,34.36,1,No
700710,56,701,26.02,5,No
700711,46,590,41.4,3,Yes
700712,51,601,42.49,2,Yes
700713,41,618,21.8,7,No
700714,64,711,37.76,6,No
700715,59,682,11.79,1,No
700716,55,729,33.52,1,No
700717,36,589,36.04,2,No
700718,73,629,46.76,7,No
700719,64,694,63.64,1,Yes
700720,34,551,17.25,4,No
700721,30,514,11.93,6,No
700722,24,635,16.91,3,No
700723,66,641,,4,No
700724,36,581,13.07,4,No
700725,32,552,21.7,6,No
700726,40,600,39.02,5,No
700727,58,693,54.73,7,Yes
700728,69,654,61.28,1,Yes
700729,26,626,11.67,7,No
700730,56,551,22.96,2,Yes
700731,26,611,23.78,3,No
700732,26,514,17.7,1,No
700733,69,653,6.45,2,No
700734,71,687,21.04,2,No
700735,50,560,13.48,6,No
700736,48,587,19.42,5,No
700737,34,609,36.3,2,Yes
700738,22,594,,1,No
700739,65,740,58.73,7,Yes
700740,41,638,47.07,3,No
700741,59,643,18.37,7,No
700742,36,636,29.58,2,No
700743,50,621,12.81,1,No
700744,63,585,35.38,3,No
700745,33,662,64.58,5,Yes
700746,45,616,20.68,1,No
700747,42,659,55.36,1,Yes
700748,61,660,64.52,3,No
700749,53,601,41.36,3,No
700750,34,581,13.27,3,No
700751,27,595,36.23,1,Yes
700752,68,608,7.65,4,No
700753,71,676,13.3,4,No
700754,23,500,8.28,3,No
700755,22,564,57.03,1,Yes
700756,64,782,63.49,7,Yes
700757,65,633,12.58,7,No
700758,56,659,38.61,5,No
700759,56,641,27.69,1,Yes
700760,23,555,11.97,2,No
700761,51,606,57.91,4,Yes
700762,77,620,26.04,5,No
700763,42,615,30.18,4,No
700764,61,662,44.73,1,Yes
700765,61,604,24.82,1,No
700766,31,540,22.51,1,No
700767,50,625,34.19,7,Yes
700768,68,673,64.34,3,No
700769,74,667,56.46,1,Yes
700770,65,652,37.68,3,No
700771,47,628,51.62,1,No
700772,56,613,33.0,4,No
700773,47,700,38.43,6,No
700774,67,594,58.38,7,Yes
700775,22,546,15.02,6,No
700776,49,665,7.87,5,No
700777,26,573,,4,Yes
700778,76,728,62.55,2,No
700779,63,618,59.98,5,No
700780,66,634,41.4,5,No
700781,51,557,57.06,4,Yes
700782,26,580,28.52,5,No
700783,27,623,13.6,2,No
700784,44,675,49.33,7,No
700785,41,699,50.08,7,Yes
700786,70,603,32.62,6,No
700787,68,614,32.72,3,No
700788,24,623,64.27,6,No
700789,35,573,45.98,7,No
700790,60,620,14.79,2,No
700791,72,654,23.7,2,Yes
700792,47,595,29.52,7,No
700793,40,617,12.01,5,No
700794,22,613,39.09,7,No
700795,55,658,23.13,3,No
700796,41,589,39.79,4,No
700797,54,654,22.92,2,No
700798,31,566,43.22,7,Yes
700799,61,617,45.94,2,No
700800,72,621,29.82,2,Yes
700801,35,517,34.99,5,Yes
700802,52,679,50.7,6,Yes
700803,49,669,16.87,6,No
700804,69,613,21.26,6,No
700805,37,663,63.21,5,Yes
700806,34,600,31.51,2,No
700807,49,659,53.35,2,No
700808,60,618,41.17,1,No
700809,41,644,22.55,3,No
700810,39,618,6.21,1,No
700811,67,737,47.56,6,No
700812,23,638,64.16,3,Yes
700813,40,539,10.11,4,No
700814,56,580,14.53,1,No
700815,60,657,7.9,2,No
700816,70,666,32.34,4,Yes
700817,60,575,26.14,2,Yes
700818,74,608,10.86,6,No
700819,61,571,47.69,1,Yes
700820,48,549,61.69,1,Yes
700821,73,749,41.41,4,No
700822,76,712,46.83,2,No
700823,51,579,43.22,5,No
700824,50,681,8.62,7,No
700825,62,718,63.84,4,No
700826,54,672,6.67,6,No
700827,67,655,13.12,4,No
700828,65,684,30.56,6,No
700829,71,744,35.86,4,No
700830,33,539,17.47,2,No
700831,52,653,9.87,7,No
700832,26,616,48.76,4,Yes
700833,54,658,59.22,4,Yes
700834,22,598,7.11,7,No
700835,48,589,61.8,1,No
700836,46,638,9.02,3,No
700837,40,596,17.85,7,Yes
700838,30,639,44.44,1,No
700839,43,630,55.11,4,Yes
700840,74,721,30.49,4,No
700841,23,566,28.61,1,Yes
700842,36,621,39.45,4,No
700843,62,647,11.29,5,No
700844,55,646,17.35,1,No
700845,71,665,,2,No
700846,62,683,21.97,6,No
700847,55,632,26.08,1,No
700848,50,545,41.62,7,Yes
700849,66,618,6.67,4,No
700850,55,628,53.51,1,Yes
700851,66,667,16.67,1,No
700852,61,613,22.73,6,No
700853,60,607,16.32,4,No
700854,24,598,39.08,4,No
700855,47,618,28.1,3,No
700856,36,550,59.99,1,Yes
700857,58,644,50.36,6,No
700858,39,638,21.02,6,No
700859,76,727,41.46,2,No
700860,60,591,19.37,1,No
700861,71,588,46.83,2,Yes
700862,35,623,55.61,1,No
700863,66,620,21.48,4,No
700864,36,604,29.23,2,No
700865,42,730,55.14,6,No
700866,77,672,36.94,5,No
700867,23,661,42.11,4,No
700868,29,572,63.71,7,No
700869,21,664,16.19,2,Yes
700870,21,579,62.66,5,Yes
700871,70,732,54.67,5,Yes
700872,34,556,10.13,4,No
700873,45,617,27.76,5,Yes
700874,64,623,31.05,6,No
700875,74,704,31.28,7,No
700876,21,559,42.16,3,Yes
700877,22,549,33.59,5,No
700878,22,629,18.03,1,No
700879,23,632,43.34,1,No
700880,56,639,46.09,4,Yes
700881,77,698,64.98,5,No
700882,46,693,60.97,5,No
700883,46,641,36.92,6,No
700884,77,617,28.1,3,No
700885,55,622,33.29,7,No
700886,47,607,62.9,1,Yes
700887,68,626,,1,No
700888,46,630,17.5,6,No
700889,46,681,52.47,4,No
