DamID,WaterInflowRate,ReservoirLevel_Meters,PowerGenerated_MWh,TurbineEfficiency_Percent,FloodWarningTriggered
1840072,49.5,15.1,72.4,36.7,1
1840073,62.0,21.1,35.7,56.7,0
1840074,18.3,18.5,31.2,64.5,0
1840075,41.8,4.0,33.3,28.9,1
1840076,39.0,6.6,18.6,29.0,1
1840077,49.6,4.1,36.1,12.4,1
1840078,19.9,1.0,16.3,52.2,0
1840079,36.1,0.2,30.2,16.5,1
1840080,19.3,2.1,32.0,51.9,0
1840081,18.9,0.4,49.7,40.0,1
1840082,17.5,3.3,52.1,71.3,0
1840083,62.8,4.4,43.4,36.3,1
1840084,26.5,7.5,47.8,61.0,0
1840085,61.1,0.9,54.6,59.7,0
1840086,23.2,0.8,28.6,58.8,0
1840087,46.2,3.8,43.8,48.7,1
1840088,34.3,5.0,12.9,75.1,0
1840089,47.1,4.3,31.7,47.0,0
1840090,63.0,4.7,14.0,50.4,1
1840091,37.9,10.1,66.8,48.8,0
1840092,32.1,12.3,37.0,51.0,0
1840093,47.7,1.0,55.4,31.0,1
1840094,72.5,3.6,48.5,29.8,1
1840095,34.6,0.9,38.8,55.3,0
1840096,43.7,1.3,30.3,36.0,1
1840097,40.1,1.7,34.6,46.8,0
1840098,58.0,3.2,37.5,39.5,0
1840099,51.4,12.4,25.9,50.2,0
1840100,20.8,1.4,48.0,24.8,1
1840101,24.4,15.5,44.5,58.0,0
1840102,36.9,12.9,38.5,66.9,0
1840103,72.1,38.9,24.6,62.2,0
1840104,46.3,2.3,27.0,58.2,1
1840105,46.5,48.3,60.5,24.9,0
1840106,53.2,4.3,57.4,65.7,0
1840107,35.5,10.4,48.0,32.8,1
1840108,57.0,1.5,34.6,36.0,1
1840109,18.1,3.0,26.4,54.0,1
1840110,50.1,6.1,54.5,51.0,0
1840111,39.9,,41.2,35.1,1
1840112,58.1,6.0,49.1,52.7,1
1840113,51.8,1.3,22.4,48.4,1
1840114,56.0,4.2,44.6,39.8,1
1840115,43.8,10.3,31.9,29.8,1
1840116,36.0,8.3,63.1,56.7,0
1840117,39.7,1.5,40.1,32.4,1
1840118,79.1,7.3,35.0,59.1,1
1840119,60.4,5.9,63.0,36.1,1
1840120,35.0,3.6,33.1,28.6,1
1840121,50.6,0.2,19.4,20.3,1
1840122,23.6,5.1,21.6,36.8,1
1840123,34.6,8.9,64.1,35.7,0
1840124,44.9,26.9,37.7,33.0,1
1840125,43.2,25.4,41.7,25.7,1
1840126,48.0,8.2,38.5,49.5,0
1840127,31.6,6.7,20.7,49.7,0
1840128,10.3,9.1,49.6,37.0,1
1840129,54.0,8.2,42.3,34.6,1
1840130,19.0,3.3,13.6,37.6,0
1840131,40.4,6.8,53.4,65.5,1
1840132,39.2,6.3,15.6,60.1,0
1840133,55.6,4.2,62.1,30.0,1
1840134,51.1,26.1,30.8,36.5,1
1840135,54.8,12.9,31.4,40.5,0
1840136,45.2,2.3,35.1,64.5,0
1840137,55.2,3.9,50.3,48.8,0
1840138,41.4,3.4,18.2,30.9,1
1840139,55.3,20.8,36.7,40.2,1
1840140,44.6,0.9,71.1,19.6,1
1840141,36.0,2.9,39.8,33.0,1
1840142,52.6,7.2,44.0,72.2,0
1840143,49.7,7.4,33.9,23.0,1
1840144,45.9,4.1,30.6,63.3,0
1840145,53.8,4.1,20.6,29.9,0
1840146,48.7,2.8,40.8,11.9,1
1840147,23.8,9.6,37.6,32.3,1
1840148,34.2,18.9,63.3,33.0,1
1840149,40.5,19.7,72.7,46.3,1
1840150,70.9,2.1,36.8,49.6,0
1840151,34.0,5.7,44.8,48.8,0
1840152,44.8,4.6,54.7,53.8,1
1840153,3.5,4.2,57.4,37.4,0
1840154,53.7,7.9,60.4,24.8,1
1840155,69.3,4.0,60.6,44.6,1
1840156,54.1,4.2,40.0,29.8,1
1840157,44.1,0.8,57.3,58.3,0
1840158,35.4,3.9,42.4,48.0,0
1840159,67.8,,38.8,54.9,0
1840160,67.7,7.5,47.6,56.9,0
1840161,49.2,7.0,39.1,49.5,1
1840162,54.9,13.8,32.9,71.1,0
1840163,49.6,0.9,39.6,46.3,0
1840164,31.5,23.0,34.2,36.5,1
1840165,69.5,6.2,40.0,45.8,0
1840166,33.6,3.5,45.4,49.9,0
1840167,41.0,5.0,59.9,60.5,0
1840168,29.8,14.8,45.5,43.5,0
1840169,69.4,4.8,62.4,35.4,1
1840170,9.6,0.6,56.4,40.5,1
1840171,37.1,14.3,35.1,69.5,0
1840172,50.5,3.7,44.7,84.2,1
1840173,58.1,0.3,55.2,50.9,0
1840174,57.8,2.5,40.8,28.8,1
1840175,32.1,30.2,16.7,42.9,1
1840176,40.2,1.6,53.2,35.6,0
1840177,23.0,3.3,53.7,38.7,1
1840178,44.7,11.2,38.0,30.6,1
1840179,50.2,0.5,46.7,47.3,0
1840180,30.6,14.5,47.6,48.8,0
1840181,72.5,13.5,39.3,50.3,1
1840182,54.2,6.2,63.4,48.5,0
1840183,59.3,6.8,28.6,40.5,1
1840184,35.1,12.0,46.9,47.5,1
1840185,46.6,2.3,27.7,42.2,1
1840186,59.3,4.3,47.6,45.6,1
1840187,42.7,38.2,37.5,50.4,1
1840188,31.3,4.6,36.5,48.6,1
1840189,54.4,8.0,50.2,48.9,0
1840190,10.1,7.4,48.9,37.6,0
1840191,50.7,14.5,50.1,40.2,1
1840192,45.9,3.2,84.7,39.6,1
1840193,74.5,12.9,33.2,24.9,0
1840194,49.2,13.6,62.6,39.9,0
1840195,36.4,16.9,45.4,53.5,0
1840196,73.5,1.0,42.4,12.6,0
1840197,38.0,2.8,39.1,60.5,0
1840198,28.6,4.0,65.3,45.6,1
1840199,62.1,13.1,38.0,49.8,0
1840200,48.6,7.8,33.6,21.3,1
1840201,40.0,8.2,69.4,68.1,0
1840202,46.7,1.5,45.8,50.3,0
1840203,46.5,14.1,17.5,51.6,1
1840204,60.4,10.8,43.4,37.2,1
1840205,46.1,3.9,52.1,33.9,1
1840206,62.3,2.2,60.7,45.1,0
1840207,54.4,0.8,17.9,56.3,0
1840208,51.0,4.7,46.2,46.3,1
1840209,34.4,6.4,30.8,51.5,1
1840210,40.7,2.7,48.0,57.5,1
1840211,54.1,12.5,61.2,21.0,1
1840212,22.2,0.6,59.1,57.9,0
1840213,41.0,17.0,52.4,35.1,1
1840214,22.5,1.0,70.6,50.0,0
1840215,48.0,6.0,29.0,42.8,1
1840216,40.7,,31.1,46.9,0
1840217,40.9,0.9,46.4,51.3,0
1840218,50.6,22.9,35.3,44.4,0
1840219,77.5,11.3,45.2,33.0,1
1840220,54.4,14.8,37.8,33.8,1
1840221,33.2,7.5,35.3,67.5,0
1840222,43.3,1.1,44.5,39.5,1
1840223,42.0,2.1,33.0,52.5,0
1840224,36.4,9.3,45.2,52.5,0
1840225,44.9,4.8,52.8,82.7,0
1840226,32.2,9.6,55.1,37.6,1
1840227,45.7,1.7,69.2,44.4,0
1840228,47.9,4.1,31.2,30.8,1
1840229,19.0,0.3,54.2,44.1,0
1840230,42.3,35.4,44.5,14.1,1
1840231,55.2,26.0,42.1,59.8,0
1840232,40.3,1.4,70.6,49.6,1
1840233,68.3,7.3,57.5,44.5,1
1840234,77.6,5.6,46.3,54.6,0
1840235,47.1,8.0,62.3,71.6,0
1840236,42.5,8.0,64.9,26.9,1
1840237,62.3,9.2,38.3,49.0,0
1840238,91.0,7.1,35.0,53.1,1
1840239,15.5,14.7,49.3,40.9,0
1840240,45.2,13.4,40.2,58.8,1
1840241,60.4,7.1,71.3,13.9,1
1840242,28.2,8.5,44.9,29.6,0
1840243,34.4,0.8,59.6,38.3,0
1840244,15.9,1.5,21.1,51.7,0
1840245,63.5,8.7,31.3,66.4,0
1840246,37.6,0.9,64.2,39.1,1
1840247,41.7,12.2,44.7,46.2,1
1840248,50.4,0.9,72.9,29.1,1
1840249,62.3,3.6,51.3,53.5,0
1840250,36.3,0.5,41.2,45.5,1
1840251,84.3,1.7,59.1,28.9,1
1840252,32.2,2.0,7.5,57.3,0
1840253,63.3,12.6,69.5,25.6,0
1840254,48.1,4.4,20.0,53.2,0
1840255,49.1,2.6,78.8,54.8,0
1840256,77.2,5.1,43.4,31.5,1
1840257,37.6,20.1,44.7,52.1,1
1840258,45.8,2.5,60.3,71.2,1
1840259,86.2,0.7,36.0,48.3,0
1840260,44.9,0.5,57.9,23.3,1
1840261,29.4,33.8,20.4,38.3,1
1840262,62.6,1.5,40.5,45.5,0
1840263,31.5,0.9,70.1,34.6,1
1840264,27.7,8.1,35.0,47.7,0
1840265,53.4,1.6,66.7,35.6,1
1840266,47.1,3.3,54.8,35.9,0
1840267,35.3,3.8,40.8,55.8,0
1840268,57.8,0.4,39.7,55.3,0
1840269,51.5,31.6,47.2,34.7,1
1840270,61.8,2.9,44.5,68.1,0
1840271,71.4,1.1,58.8,31.7,1
1840272,45.4,6.2,40.9,21.3,0
1840273,55.3,26.6,38.1,56.9,0
1840274,36.3,5.5,49.7,68.6,1
1840275,77.2,3.0,24.1,14.8,1
1840276,39.0,13.3,42.6,33.7,1
1840277,58.5,6.1,64.4,59.9,0
1840278,63.7,2.6,43.6,28.2,0
1840279,54.3,2.2,41.5,20.7,0
1840280,39.2,3.2,14.8,48.1,1
1840281,41.7,8.6,36.2,58.9,0
1840282,38.0,11.8,58.7,44.0,0
1840283,37.7,5.8,31.7,22.6,1
1840284,53.0,0.9,47.3,45.6,1
1840285,60.7,14.3,39.9,44.2,0
1840286,30.2,,30.0,58.7,0
1840287,58.7,0.2,20.2,45.2,0
1840288,27.8,3.6,50.9,37.8,0
1840289,53.2,7.6,56.2,38.4,1
1840290,52.7,7.9,67.8,38.3,0
1840291,32.7,10.4,30.3,63.2,0
1840292,51.8,5.0,67.3,54.8,0
1840293,57.0,1.3,47.8,53.6,1
1840294,39.9,8.6,31.9,53.4,1
1840295,57.4,1.6,8.5,62.6,0
1840296,30.4,1.7,52.4,59.7,0
1840297,39.2,2.3,61.7,31.8,1
1840298,62.0,12.7,62.4,28.2,1
1840299,50.2,2.0,39.9,24.7,1
1840300,53.6,2.5,38.8,32.8,1
1840301,30.1,17.0,40.8,62.9,0
1840302,51.1,2.6,51.9,40.6,0
1840303,55.3,0.1,47.0,41.3,1
1840304,45.7,7.4,41.9,28.7,1
1840305,29.4,16.0,48.4,67.8,0
1840306,33.7,2.6,52.8,16.2,1
1840307,67.6,1.3,63.3,34.1,1
1840308,34.3,0.4,71.1,56.3,0
1840309,32.0,7.5,56.7,24.4,0
1840310,25.1,3.6,61.2,27.8,0
1840311,36.3,14.4,14.9,31.8,1
1840312,71.9,17.8,60.8,55.5,0
1840313,42.9,0.1,33.0,47.2,0
1840314,59.9,1.5,39.3,28.8,1
1840315,66.3,0.7,59.3,32.3,1
1840316,60.4,0.4,41.8,64.3,1
1840317,27.5,5.2,30.3,50.3,0
1840318,65.2,11.9,39.5,21.4,1
1840319,66.9,1.7,60.4,31.9,1
1840320,28.2,5.4,42.1,34.5,0
1840321,35.1,6.4,56.2,49.5,0
1840322,65.8,6.3,43.0,42.9,0
1840323,53.8,0.1,49.0,44.5,0
1840324,51.2,19.3,37.2,67.7,0
1840325,71.4,11.8,54.4,41.8,1
1840326,58.3,1.0,42.4,38.1,0
1840327,56.4,17.0,56.0,39.9,1
1840328,48.0,17.2,33.1,37.2,0
1840329,29.5,9.7,26.1,52.7,0
1840330,49.5,6.1,58.8,47.6,0
1840331,48.3,9.9,37.0,17.4,1
1840332,52.8,18.7,60.2,35.6,1
1840333,34.5,26.4,30.8,44.5,0
1840334,37.7,10.6,53.2,37.1,1
1840335,27.9,4.9,52.3,54.7,1
1840336,19.2,0.5,39.6,47.9,1
1840337,18.9,9.0,45.4,31.4,1
1840338,72.7,12.4,31.9,37.0,0
1840339,43.8,1.8,45.6,36.8,1
1840340,22.4,11.8,27.2,28.5,1
1840341,62.5,1.4,27.2,40.3,0
1840342,18.4,6.6,42.0,31.8,1
1840343,65.8,15.5,31.8,67.7,1
1840344,49.6,0.1,45.4,51.9,1
1840345,41.4,15.5,48.6,54.9,0
1840346,42.0,15.6,36.5,46.0,0
1840347,47.0,2.0,42.9,36.2,0
1840348,50.2,16.6,31.2,43.6,1
1840349,32.7,2.8,48.2,59.7,1
1840350,9.9,11.1,69.0,47.2,0
1840351,13.0,2.0,19.0,35.0,0
1840352,16.4,4.4,64.9,47.8,1
1840353,50.0,7.7,49.3,72.8,1
1840354,77.4,5.0,25.5,56.0,0
1840355,47.4,6.7,41.4,49.9,0
1840356,9.3,6.0,81.0,41.3,0
1840357,45.1,2.0,73.3,47.6,1
1840358,36.5,3.6,47.9,50.6,0
1840359,60.0,3.1,48.5,58.6,0
1840360,46.5,1.0,38.0,40.4,0
1840361,46.8,1.5,27.9,47.9,1
1840362,59.0,13.7,22.4,72.4,0
1840363,33.0,2.3,49.1,62.3,0
1840364,39.3,7.7,54.8,33.7,0
1840365,18.5,11.3,32.5,22.0,1
1840366,39.6,17.8,52.9,16.6,0
1840367,34.0,6.1,38.2,27.1,1
1840368,48.9,7.7,52.2,80.0,0
1840369,47.4,2.5,38.6,29.2,1
1840370,27.9,0.4,44.1,52.2,0
1840371,44.9,16.4,28.5,22.7,0
1840372,46.3,6.4,39.4,30.6,0
1840373,39.2,4.6,47.0,61.1,0
1840374,29.5,6.5,33.3,39.9,0
1840375,55.1,3.1,66.9,31.8,0
1840376,53.5,7.1,56.1,78.7,0
1840377,37.5,19.6,29.2,41.6,1
1840378,47.8,3.3,41.7,24.1,1
1840379,50.2,1.5,45.5,39.0,1
1840380,51.8,5.0,27.9,45.7,1
1840381,27.7,12.4,69.9,49.3,1
1840382,40.3,12.1,38.5,53.8,1
1840383,62.6,11.7,49.4,24.9,1
1840384,34.1,1.9,73.2,68.3,0
1840385,56.0,,53.6,43.5,0
1840386,35.2,19.2,57.2,39.7,0
1840387,41.5,11.2,49.8,61.8,0
1840388,35.0,13.0,60.7,49.9,0
1840389,51.9,13.7,50.8,32.7,0
1840390,52.6,0.7,6.6,42.8,1
1840391,13.9,22.0,58.0,23.6,1
1840392,46.3,2.4,42.7,48.8,0
1840393,64.4,6.8,44.6,48.5,0
1840394,38.9,0.7,39.3,46.1,0
1840395,53.8,1.8,53.7,70.2,0
1840396,63.2,5.5,53.7,31.8,0
1840397,16.9,0.1,42.2,68.1,0
1840398,29.9,11.9,45.4,56.2,0
1840399,33.0,9.8,57.8,37.6,0
1840400,24.5,0.7,33.3,38.5,0
1840401,59.9,15.7,37.5,68.0,0
1840402,54.2,5.3,46.2,34.4,1
1840403,23.8,8.3,43.5,42.3,0
1840404,0.0,8.4,31.4,59.4,0
1840405,48.3,0.9,62.2,49.0,0
1840406,35.8,5.3,51.7,47.2,1
1840407,70.5,2.7,53.6,40.4,1
1840408,32.0,16.5,13.8,32.6,1
1840409,46.8,15.0,43.2,40.2,1
1840410,48.2,7.3,35.4,47.0,1
1840411,42.2,2.3,44.6,53.1,1
1840412,41.5,7.0,49.5,36.8,1
1840413,34.3,20.9,37.4,52.1,0
1840414,38.2,0.8,40.9,65.7,0
1840415,57.9,2.5,45.4,62.5,0
1840416,52.5,4.8,18.9,72.5,0
1840417,53.1,9.7,40.2,64.1,0
1840418,39.1,4.3,32.4,68.0,1
1840419,49.8,39.0,58.8,38.0,1
1840420,28.7,0.4,59.1,38.2,1
1840421,21.9,25.9,73.7,63.1,0
1840422,60.0,3.1,49.3,51.7,0
1840423,40.3,10.3,28.8,8.7,1
1840424,36.7,21.6,35.6,33.8,0
1840425,21.0,3.8,71.7,40.3,1
1840426,41.8,16.6,34.4,47.6,1
1840427,38.4,8.2,50.1,33.3,1
1840428,54.0,0.5,38.5,39.6,1
1840429,59.5,9.0,41.4,70.4,0
1840430,61.7,0.7,49.2,47.8,1
1840431,35.9,4.3,33.0,52.9,1
1840432,49.6,13.6,43.6,40.3,1
1840433,41.9,8.4,19.7,36.5,1
1840434,57.2,6.9,30.4,27.5,0
1840435,73.6,15.0,55.3,77.2,0
1840436,9.6,14.5,24.8,49.2,0
1840437,40.6,5.9,64.9,34.2,1
1840438,68.7,1.4,64.9,35.4,1
1840439,52.3,7.0,37.8,45.8,0
1840440,34.1,0.7,42.6,68.1,0
1840441,35.2,0.7,47.7,33.7,1
1840442,51.4,10.4,49.2,50.8,1
1840443,29.2,9.6,53.9,59.7,0
1840444,35.7,10.2,45.6,77.0,0
1840445,65.9,8.7,30.0,42.3,1
1840446,41.4,17.5,43.3,63.8,0
1840447,40.9,6.6,49.3,45.9,1
1840448,48.0,15.7,62.7,61.9,1
1840449,56.7,0.2,64.3,48.2,0
1840450,50.7,2.0,52.8,42.0,0
1840451,36.5,2.7,61.4,45.2,0
1840452,59.6,1.6,48.4,50.7,0
1840453,64.5,7.3,74.4,84.7,1
1840454,42.1,8.6,73.6,83.7,0
1840455,30.5,1.0,59.7,49.3,0
1840456,29.0,19.9,54.6,38.8,1
1840457,0.0,27.9,29.3,49.6,0
1840458,52.7,9.6,25.5,69.7,0
1840459,53.7,7.8,51.1,56.8,1
1840460,54.4,0.7,54.8,40.9,0
1840461,12.6,0.5,56.1,31.7,1
1840462,43.8,24.9,52.6,31.0,1
1840463,34.9,,42.1,70.7,1
1840464,34.4,19.7,48.7,49.0,0
1840465,36.4,4.7,58.1,46.8,1
1840466,19.3,37.3,41.9,46.6,0
1840467,78.1,0.3,0.0,42.3,0
1840468,58.4,0.1,48.8,43.3,0
1840469,27.1,,45.3,45.5,0
1840470,25.3,0.1,51.1,47.8,0
1840471,47.3,0.1,71.0,55.4,0
1840472,55.0,11.3,48.9,69.4,1
1840473,9.4,,41.5,41.1,1
1840474,46.1,16.0,48.6,36.3,1
1840475,63.2,13.3,49.6,61.4,1
1840476,30.9,20.1,37.0,43.0,0
1840477,58.0,11.2,49.3,23.7,1
1840478,63.9,5.0,34.9,25.9,1
1840479,33.8,5.8,11.7,58.8,0
1840480,59.7,10.3,26.1,57.0,1
1840481,67.8,0.1,40.4,30.4,1
1840482,50.0,7.3,29.9,50.6,1
1840483,36.1,8.9,61.9,56.5,1
1840484,61.3,,48.8,46.4,0
1840485,54.7,2.9,20.9,56.0,0
1840486,49.9,9.1,49.9,40.3,1
1840487,40.4,1.4,36.6,53.9,0
1840488,42.0,3.0,25.2,49.4,1
1840489,64.8,10.4,49.0,65.7,0
1840490,38.9,10.3,42.8,15.2,1
1840491,34.3,5.8,48.4,52.0,0
1840492,17.1,4.4,15.1,34.1,1
1840493,29.9,13.5,46.8,39.6,0
1840494,53.7,2.1,59.0,45.8,1
1840495,23.5,2.6,48.4,57.3,0
1840496,52.8,8.3,32.4,41.3,0
1840497,68.5,16.9,65.1,42.1,1
1840498,40.6,0.6,70.8,41.1,0
1840499,52.7,0.4,83.0,51.7,0
1840500,61.1,9.5,56.5,73.7,0
1840501,58.1,3.7,60.6,35.3,1
1840502,39.4,6.6,52.7,2.2,1
1840503,64.0,7.9,54.9,57.9,1
1840504,76.8,1.4,30.5,33.3,1
1840505,19.8,18.4,41.9,50.0,0
1840506,44.4,24.1,54.9,50.7,1
1840507,36.6,59.2,10.1,46.0,1
1840508,30.9,18.2,56.3,24.8,1
1840509,77.2,21.7,43.6,43.3,0
1840510,12.6,29.4,51.2,34.5,1
1840511,52.0,0.3,41.2,61.8,0
1840512,69.8,0.1,66.0,52.6,0
1840513,39.3,11.6,64.7,26.0,1
1840514,56.9,3.1,50.6,24.1,1
1840515,52.4,11.3,61.2,44.7,0
1840516,25.7,0.8,42.5,40.6,1
1840517,73.3,6.5,46.7,58.2,0
1840518,51.2,6.0,44.8,45.3,1
1840519,65.8,2.1,31.2,59.5,0
1840520,22.8,11.2,54.7,33.2,1
1840521,60.8,3.6,36.2,53.0,0
1840522,60.9,8.5,39.4,39.1,0
1840523,48.0,19.9,35.7,24.1,1
1840524,41.9,0.1,43.7,44.9,1
1840525,34.6,10.1,58.7,33.4,0
1840526,54.0,5.0,36.4,55.3,0
1840527,61.5,19.7,81.9,45.9,1
1840528,18.2,3.7,50.9,62.8,0
1840529,66.0,29.9,45.7,34.7,0
1840530,55.2,13.9,41.9,52.1,1
1840531,73.0,6.2,49.8,42.2,1
1840532,37.6,31.4,47.2,39.4,0
1840533,76.7,0.9,57.3,32.8,1
1840534,36.9,13.7,16.4,47.7,0
1840535,40.8,20.3,30.0,57.2,1
1840536,63.0,11.3,41.2,70.5,0
1840537,32.6,2.5,4.6,46.1,0
1840538,41.8,0.8,39.7,49.2,0
1840539,42.8,0.5,51.9,28.7,1
1840540,52.4,2.9,46.8,21.3,1
1840541,46.9,3.1,47.9,39.7,1
1840542,39.1,9.8,61.4,17.0,1
1840543,47.1,,54.1,37.0,1
1840544,36.1,6.6,40.2,56.9,0
1840545,45.7,1.4,35.5,45.1,1
1840546,31.5,6.5,19.0,30.7,1
1840547,47.1,5.3,56.4,47.5,1
1840548,29.0,28.1,39.2,54.2,0
1840549,56.9,16.5,50.2,45.8,0
1840550,55.2,1.9,36.0,71.8,1
1840551,42.6,3.4,44.8,47.3,0
1840552,47.9,13.5,72.8,14.2,1
1840553,35.5,12.2,50.7,32.6,1
1840554,30.3,2.1,52.9,57.2,0
1840555,54.8,2.9,47.0,63.4,1
1840556,24.5,2.8,52.0,44.5,1
1840557,40.3,32.3,76.4,57.0,0
1840558,56.5,8.2,31.9,45.7,0
1840559,57.4,1.4,59.1,39.9,1
1840560,38.3,3.3,50.5,66.8,1
1840561,66.0,9.4,37.2,76.5,0
1840562,31.0,10.0,62.6,25.1,1
1840563,39.4,4.3,69.2,56.0,0
1840564,45.3,9.9,29.4,87.8,0
1840565,66.3,3.7,55.8,41.4,0
1840566,47.1,8.4,41.6,59.2,0
1840567,39.2,0.1,43.7,23.8,1
1840568,53.2,0.6,53.6,40.6,1
1840569,55.5,4.8,79.9,41.4,1
1840570,79.0,0.1,57.8,54.7,0
1840571,36.4,3.4,48.0,33.5,1
1840572,68.4,19.0,63.6,33.5,1
1840573,45.4,4.5,40.3,23.6,1
1840574,41.1,7.0,65.5,25.8,1
1840575,63.0,5.2,32.4,60.9,0
1840576,81.5,0.2,13.7,51.3,0
1840577,45.6,9.6,37.2,31.2,0
1840578,58.0,1.4,41.9,42.8,1
1840579,40.5,16.3,50.6,29.3,1
1840580,56.9,15.0,40.2,41.2,1
1840581,39.8,4.7,49.3,39.7,0
1840582,22.7,5.4,23.8,54.5,1
1840583,47.5,3.4,58.7,50.1,1
1840584,52.5,2.1,66.4,32.6,0
1840585,22.4,4.1,20.1,49.9,1
1840586,43.7,5.0,56.3,34.6,1
1840587,30.7,3.4,22.5,36.6,1
1840588,48.0,19.2,35.5,48.7,0
1840589,25.0,5.1,35.7,56.9,0
1840590,38.1,2.2,54.5,61.3,1
1840591,68.4,21.8,39.9,24.1,0
1840592,70.7,25.6,72.3,38.8,1
1840593,66.8,10.4,19.9,39.6,0
1840594,58.0,2.1,44.3,37.2,1
1840595,39.4,15.4,45.5,49.5,1
1840596,45.9,6.4,40.6,36.1,1
1840597,65.9,0.2,56.0,57.2,0
1840598,35.7,11.6,53.6,67.1,0
1840599,68.3,3.0,44.6,87.7,1
1840600,61.3,22.0,36.5,23.8,1
1840601,36.4,2.0,30.6,72.0,0
1840602,73.7,5.6,37.3,36.4,1
1840603,65.3,0.6,22.0,44.8,0
1840604,54.4,8.0,37.3,61.7,0
1840605,34.2,6.9,25.4,22.3,1
1840606,35.5,6.1,37.1,29.6,1
1840607,53.9,0.4,53.7,64.6,0
1840608,51.0,1.8,46.1,69.1,0
1840609,47.2,1.1,35.9,26.5,1
1840610,31.5,7.8,63.4,56.0,0
1840611,49.9,2.2,37.9,44.9,0
1840612,39.0,5.0,72.3,39.7,0
1840613,39.7,1.0,58.7,16.3,1
1840614,60.2,10.4,49.5,59.9,0
1840615,37.3,13.9,2.1,47.0,0
1840616,22.7,8.4,28.8,27.9,1
1840617,20.0,29.4,14.4,55.6,0
1840618,65.1,6.9,67.5,48.7,1
1840619,57.7,0.5,24.8,33.0,1
1840620,27.2,8.6,54.9,36.8,0
1840621,36.6,18.3,42.9,54.6,1
1840622,17.1,0.9,30.2,35.1,1
1840623,64.7,1.1,61.6,39.9,0
1840624,76.4,2.4,41.6,58.4,0
1840625,39.8,38.6,43.4,27.4,1
1840626,23.8,4.8,23.6,61.7,0
1840627,49.7,10.1,39.3,43.0,0
1840628,31.2,0.8,25.8,35.5,1
1840629,43.6,13.9,51.8,37.0,1
1840630,56.7,4.9,27.3,31.5,1
1840631,58.2,26.0,37.0,35.8,0
1840632,53.0,4.1,27.5,30.1,1
