ProjectID,RemodelType,YearBuilt,MaterialsCost,LaborHours,ROI_Percent
840115,Basement,1984,3644.08,33,44.6
840116,Bathroom,1997,11645.48,176,65.6
840117,Kitchen,1975,20406.97,312,66.9
840118,Basement,1974,9227.61,183,42.4
840119,Basement,1995,7758.39,247,38.1
840120,Basement,1972,5885.05,87,50.3
840121,Kitchen,1990,,344,67.7
840122,Bathroom,1955,14346.63,216,43.4
840123,Exterior,1990,7163.88,210,51.3
840124,Basement,1984,8207.75,155,52.7
840125,Bathroom,2001,9743.84,37,46.5
840126,Exterior,2011,9385.57,219,59.5
840127,Exterior,1966,7214.09,196,44.6
840128,Kitchen,1952,13966.3,104,67.4
840129,Kitchen,1968,15628.52,164,54.7
840130,Bathroom,1969,12886.26,190,58.4
840131,Exterior,1950,6567.79,137,38.9
840132,Kitchen,1994,16808.44,216,57.3
840133,Kitchen,1963,14567.99,96,68.7
840134,Bathroom,1967,11498.89,139,58.5
840135,Exterior,1962,5303.37,97,57.1
840136,Bathroom,1953,12018.39,188,58.0
840137,Bathroom,2010,11494.08,141,89.1
840138,Bathroom,1955,,336,41.2
840139,Bathroom,1964,8157.55,46,50.6
840140,Basement,1986,11152.31,321,42.7
840141,Basement,1981,11764.05,308,37.4
840142,Exterior,1988,7159.4,125,39.2
840143,Kitchen,2015,19957.0,283,58.9
840144,Exterior,1959,11290.13,277,45.1
840145,Kitchen,1997,18522.79,269,76.7
840146,Basement,1999,12756.11,339,43.8
840147,Kitchen,1954,14330.17,83,57.9
840148,Exterior,1979,9891.29,317,40.7
840149,Kitchen,1951,14723.5,47,79.5
840150,Bathroom,1998,,36,56.4
840151,Exterior,1966,11331.6,335,37.8
840152,Kitchen,1995,15316.64,152,64.8
840153,Bathroom,2012,11383.94,172,66.1
840154,Exterior,1981,1133.07,35,56.0
840155,Bathroom,1962,14265.17,275,64.4
840156,Bathroom,1966,8811.38,84,55.6
840157,Exterior,1985,10062.38,251,56.4
840158,Bathroom,1977,8679.83,115,66.0
840159,Basement,1963,7721.2,192,45.2
840160,Bathroom,1998,14677.11,291,59.1
840161,Kitchen,1959,15573.63,115,64.5
840162,Bathroom,1958,14884.47,341,56.9
840163,Bathroom,1975,7875.42,73,60.2
840164,Bathroom,1963,14170.35,326,50.0
840165,Exterior,1966,7090.8,137,52.9
840166,Basement,1984,4693.59,66,39.9
840167,Bathroom,1959,10012.65,44,54.7
840168,Basement,1974,11084.91,296,52.4
840169,Exterior,1956,,52,46.6
840170,Exterior,2003,5039.2,103,43.3
840171,Kitchen,1994,16513.66,128,82.7
840172,Exterior,1962,5929.94,130,46.2
840173,Kitchen,1992,14631.13,120,59.9
840174,Exterior,2015,9949.59,300,39.0
840175,Exterior,2009,,144,50.1
840176,Basement,2016,3774.49,31,60.5
840177,Exterior,2013,9640.2,258,39.2
840178,Kitchen,1999,21593.64,348,67.8
840179,Exterior,1989,7677.82,155,46.2
840180,Basement,1999,3343.04,23,35.1
840181,Bathroom,2000,7509.9,83,69.1
840182,Basement,2001,6263.55,105,27.1
840183,Bathroom,1966,9257.3,97,68.5
840184,Exterior,2005,2280.42,20,46.0
840185,Bathroom,1964,11681.94,219,67.6
840186,Kitchen,1995,14208.76,118,60.6
840187,Basement,1972,9018.87,263,42.3
840188,Basement,1966,10651.28,281,45.5
840189,Exterior,1973,9611.98,255,40.6
840190,Bathroom,2002,8623.88,95,70.6
840191,Bathroom,2008,7453.77,23,67.3
840192,Exterior,1987,9933.07,253,57.4
840193,Basement,1960,9995.09,271,44.0
840194,Exterior,1997,10453.17,318,31.5
840195,Kitchen,1957,16374.68,93,79.6
840196,Kitchen,1957,16059.5,161,56.5
840197,Kitchen,1968,16257.52,174,65.7
840198,Kitchen,1954,18571.26,283,67.8
840199,Exterior,1996,,271,38.7
840200,Kitchen,1952,13918.37,89,71.1
840201,Bathroom,1993,13165.23,311,62.0
840202,Exterior,2005,12030.03,325,46.7
840203,Bathroom,2018,14661.33,340,58.6
840204,Basement,1987,11977.52,316,24.1
840205,Kitchen,2001,16650.12,181,63.3
840206,Exterior,2010,12868.5,337,36.7
840207,Exterior,1956,9159.28,261,50.5
840208,Bathroom,2018,14756.72,293,72.2
840209,Exterior,1963,7688.06,177,60.7
840210,Basement,1971,6158.41,129,53.2
840211,Basement,1981,4424.35,79,51.1
840212,Basement,1987,6833.03,152,42.6
840213,Kitchen,1964,14786.39,99,59.1
840214,Basement,2014,5716.6,92,46.0
840215,Kitchen,1981,18542.77,239,76.3
840216,Exterior,2011,7441.07,100,43.3
840217,Bathroom,1992,6754.48,60,54.4
840218,Bathroom,1958,10748.53,140,51.3
840219,Kitchen,1981,15377.56,87,63.9
840220,Basement,2007,3978.79,87,52.1
840221,Kitchen,1955,15704.03,164,64.2
840222,Bathroom,1971,13262.71,171,62.9
840223,Basement,1973,11524.1,337,45.2
840224,Basement,1998,3428.49,65,42.4
840225,Kitchen,2013,21435.11,292,68.0
840226,Exterior,1955,6205.93,131,43.4
840227,Bathroom,1951,9064.18,100,63.7
840228,Basement,1955,9796.84,212,36.0
840229,Exterior,1990,8309.48,249,39.5
840230,Basement,1974,8632.72,219,44.1
840231,Kitchen,1954,18187.65,274,77.6
840232,Basement,1994,10746.25,276,46.1
840233,Kitchen,1992,14441.07,91,76.1
840234,Kitchen,1989,13173.7,31,72.8
840235,Exterior,1998,8131.0,187,42.4
840236,Bathroom,1962,9461.58,120,57.4
840237,Kitchen,2005,15289.02,77,73.7
840238,Bathroom,1970,10902.95,108,54.3
840239,Exterior,2009,9832.01,318,36.1
840240,Exterior,1987,5016.65,79,38.0
840241,Kitchen,1996,18128.89,314,57.1
840242,Exterior,1951,11953.06,327,38.2
840243,Bathroom,2008,7856.08,73,63.7
840244,Exterior,1981,5062.32,31,38.2
840245,Exterior,1984,7257.63,286,57.5
840246,Bathroom,2011,8089.8,95,68.0
840247,Exterior,2000,7449.97,174,56.3
840248,Basement,1995,9308.55,223,57.7
840249,Exterior,2002,9960.64,296,57.7
840250,Basement,1978,10975.7,321,33.5
840251,Bathroom,2005,12928.05,294,49.2
840252,Basement,1989,7353.89,173,42.1
840253,Basement,1988,12556.35,345,42.8
840254,Kitchen,2006,13940.1,60,63.8
840255,Exterior,1958,4262.43,71,43.5
840256,Bathroom,1951,14330.01,316,68.0
840257,Bathroom,1971,15052.51,294,63.9
840258,Basement,2013,4638.06,59,60.1
840259,Basement,1951,5761.2,65,37.0
840260,Kitchen,2005,12058.14,23,63.2
840261,Bathroom,1983,14159.86,336,60.5
840262,Bathroom,1959,9218.84,151,56.4
840263,Kitchen,1997,14575.72,148,67.8
840264,Kitchen,1998,18158.9,210,76.3
840265,Bathroom,1974,12909.54,152,47.9
840266,Kitchen,2017,18784.78,209,73.0
840267,Bathroom,2017,10091.58,145,48.7
840268,Kitchen,1994,19162.83,288,69.5
840269,Exterior,1988,3081.5,61,42.5
840270,Kitchen,2017,18282.36,215,54.4
840271,Basement,2003,8188.3,245,41.7
840272,Basement,2017,11158.53,344,43.8
840273,Basement,1975,7085.44,188,63.2
840274,Exterior,2017,8525.89,235,40.9
840275,Basement,1999,9296.05,253,32.0
840276,Exterior,1969,8147.29,230,57.0
840277,Basement,1982,5826.14,165,43.7
840278,Kitchen,1979,17197.79,226,62.0
840279,Basement,2002,8692.8,189,49.0
840280,Kitchen,1959,13374.34,39,69.7
840281,Basement,2018,9271.74,177,44.8
840282,Exterior,1955,7215.12,220,65.3
840283,Kitchen,2009,19420.99,252,76.2
840284,Bathroom,2017,12695.54,290,52.2
840285,Exterior,1969,5404.54,144,47.2
840286,Exterior,2005,9732.5,224,53.2
840287,Basement,1964,6023.87,134,45.8
840288,Basement,1954,10112.24,349,59.7
840289,Bathroom,1968,11497.47,256,57.1
840290,Basement,1953,6621.43,137,46.1
840291,Bathroom,1954,14881.91,303,56.9
840292,Bathroom,1979,15538.93,320,53.4
840293,Kitchen,2019,16837.38,207,74.5
840294,Exterior,1970,5523.81,91,46.5
840295,Bathroom,1962,12530.82,211,62.2
840296,Bathroom,1978,11688.75,145,62.7
840297,Bathroom,1953,14979.14,318,56.3
840298,Basement,1974,4040.15,63,48.4
840299,Basement,1967,5868.07,126,55.3
840300,Exterior,1992,6894.06,191,35.9
840301,Exterior,1979,11557.95,329,49.3
840302,Bathroom,2013,8139.65,35,44.5
840303,Basement,1960,7062.77,160,38.0
840304,Basement,1994,12179.48,325,45.8
840305,Bathroom,2005,15205.35,304,53.1
840306,Kitchen,1999,17331.1,215,78.4
840307,Basement,1986,8379.64,219,47.9
840308,Bathroom,1982,8010.97,67,67.1
840309,Exterior,1952,5280.83,51,39.2
840310,Exterior,1982,8148.78,226,60.0
840311,Kitchen,1953,14286.74,89,70.0
840312,Kitchen,1962,12930.61,99,63.6
840313,Kitchen,1981,14014.44,82,62.3
840314,Exterior,2002,3470.96,57,52.9
840315,Bathroom,1956,6004.91,37,78.1
840316,Bathroom,1997,12271.63,194,52.4
840317,Bathroom,1977,10059.19,109,75.8
840318,Kitchen,1956,18000.33,192,59.0
840319,Basement,1970,4997.33,85,41.8
840320,Exterior,1979,8294.91,223,37.7
840321,Basement,1992,11579.26,323,48.9
840322,Exterior,2007,10462.0,169,56.4
840323,Exterior,1991,10725.71,348,45.9
840324,Bathroom,1961,7971.58,75,66.0
840325,Basement,2013,6936.62,165,46.1
840326,Exterior,1960,7582.84,257,38.7
840327,Bathroom,2012,,154,57.7
840328,Bathroom,2014,13467.52,220,57.0
840329,Exterior,2016,6827.58,179,33.0
840330,Kitchen,1971,15683.84,117,75.2
840331,Basement,1979,8325.69,250,42.1
840332,Basement,1961,7534.93,176,42.6
840333,Exterior,1966,9919.88,226,50.6
840334,Kitchen,1994,13305.94,63,63.5
840335,Kitchen,2013,17325.96,253,60.7
840336,Kitchen,1988,16910.41,223,71.3
840337,Bathroom,2012,10072.8,57,61.5
840338,Exterior,2004,8524.58,245,49.9
840339,Basement,2015,6411.91,95,47.2
840340,Exterior,1966,4143.04,77,41.5
840341,Exterior,1989,2112.72,62,50.1
840342,Kitchen,1962,16008.3,173,62.3
840343,Bathroom,1984,9600.73,147,52.5
840344,Basement,1968,4609.64,41,51.1
840345,Exterior,2014,7052.35,176,51.5
840346,Basement,1992,5830.13,122,44.6
840347,Bathroom,1969,13852.69,267,59.9
840348,Kitchen,1995,16748.96,158,60.2
840349,Basement,1958,5090.86,74,45.8
840350,Kitchen,1959,,295,58.6
840351,Kitchen,2014,13539.53,81,63.9
840352,Bathroom,1981,10467.59,118,67.7
840353,Exterior,1958,6743.03,149,45.9
840354,Kitchen,2014,15793.82,192,67.4
840355,Kitchen,1980,16825.57,229,60.2
840356,Basement,2001,10534.67,312,55.2
840357,Kitchen,2003,19549.51,320,65.4
840358,Basement,1951,6328.9,133,34.4
840359,Kitchen,1955,16520.81,191,89.3
840360,Bathroom,2011,11652.62,195,62.1
840361,Exterior,2019,7468.66,181,52.6
840362,Kitchen,1999,19756.12,245,77.0
840363,Exterior,1977,7974.36,165,45.2
840364,Basement,2009,8825.68,247,55.4
840365,Exterior,2002,6603.38,92,34.2
840366,Basement,1969,5971.54,106,49.0
840367,Kitchen,1964,18511.69,281,52.1
840368,Kitchen,1981,14622.82,132,60.1
840369,Exterior,1972,7332.98,154,50.6
840370,Bathroom,1999,16641.34,295,56.2
840371,Exterior,1995,6339.38,214,46.5
840372,Bathroom,2001,10703.53,143,57.6
840373,Kitchen,1960,12374.89,38,58.9
840374,Exterior,1972,10235.78,327,29.3
840375,Basement,1965,11179.17,311,44.2
840376,Basement,2019,5372.88,129,56.7
840377,Bathroom,1974,7666.72,55,70.9
840378,Basement,1961,5879.09,140,47.1
840379,Kitchen,2016,19686.3,229,56.7
840380,Kitchen,2000,13251.88,81,70.6
840381,Basement,2001,7351.72,184,63.0
840382,Bathroom,1985,12828.14,189,54.7
840383,Basement,1978,8670.34,240,34.4
840384,Exterior,2009,6664.59,189,54.2
840385,Bathroom,2019,12910.51,256,57.9
840386,Kitchen,1962,13338.44,130,69.9
840387,Kitchen,1972,17662.94,276,85.5
840388,Kitchen,1962,20473.17,311,61.4
840389,Bathroom,2000,11710.65,213,43.4
840390,Kitchen,1999,17595.41,263,60.7
840391,Basement,1999,7127.88,123,46.1
840392,Basement,1971,7132.2,191,34.1
840393,Basement,1958,9534.27,249,36.5
840394,Basement,1983,6394.21,178,38.7
840395,Kitchen,1955,21307.32,308,49.8
840396,Bathroom,1962,10980.17,169,69.1
840397,Basement,1996,4283.56,27,62.4
840398,Exterior,1968,8958.14,193,51.2
840399,Kitchen,1968,15315.59,127,73.9
840400,Basement,1955,9065.67,192,43.9
840401,Kitchen,1987,14721.98,165,54.1
840402,Exterior,1963,3121.34,38,49.1
840403,Exterior,1990,9246.96,303,42.4
840404,Kitchen,1950,17421.92,152,67.0
840405,Kitchen,1952,16400.65,191,58.4
840406,Basement,1963,6170.83,163,47.3
840407,Kitchen,1987,18957.78,252,58.7
840408,Kitchen,1973,18178.96,179,62.1
840409,Exterior,1971,7962.38,198,54.1
840410,Basement,1992,5481.12,128,42.6
840411,Basement,1987,7532.23,157,51.7
840412,Kitchen,1956,17355.52,260,59.3
840413,Exterior,1997,5379.01,88,40.7
840414,Bathroom,1986,9975.52,70,56.0
840415,Kitchen,1963,18797.31,269,66.6
840416,Kitchen,1960,14223.31,61,60.3
840417,Kitchen,1962,11774.0,28,81.6
840418,Bathroom,2019,15203.84,336,52.6
840419,Bathroom,1992,11125.88,213,56.2
840420,Exterior,2010,3399.33,72,37.2
840421,Exterior,2006,7392.24,218,48.4
840422,Exterior,1951,10225.63,296,58.0
840423,Basement,1969,7196.36,164,46.9
840424,Bathroom,1971,11023.66,157,59.9
840425,Bathroom,1982,13881.57,340,61.2
840426,Bathroom,1990,9740.44,37,61.1
840427,Exterior,1967,8152.14,204,45.2
840428,Exterior,1972,3765.05,32,46.1
840429,Basement,2006,9251.54,199,42.2
840430,Kitchen,1981,15894.31,220,57.0
840431,Bathroom,2009,9066.86,96,61.5
840432,Bathroom,1957,13874.11,311,50.0
840433,Exterior,1952,10211.13,307,40.1
840434,Basement,1994,4450.56,86,52.0
840435,Kitchen,1967,14228.18,42,61.5
840436,Exterior,2007,4632.4,108,33.7
840437,Basement,2009,6494.26,94,48.4
840438,Basement,2010,3439.09,42,49.5
840439,Exterior,2001,10034.99,330,42.5
840440,Exterior,2012,5522.08,43,48.6
840441,Basement,1994,6248.62,193,42.5
840442,Bathroom,1956,14066.89,308,72.5
840443,Basement,1977,10363.22,343,44.3
840444,Exterior,1990,8828.9,205,54.6
840445,Exterior,1960,11759.14,337,35.2
840446,Bathroom,2016,11982.97,256,71.5
840447,Bathroom,1950,11073.58,187,59.8
840448,Exterior,1982,10374.17,280,34.5
840449,Basement,1996,3899.22,32,52.3
840450,Basement,1982,12509.85,319,41.1
840451,Basement,1984,10487.54,273,39.6
840452,Exterior,1988,6763.84,57,40.3
840453,Bathroom,2001,10994.23,238,59.0
840454,Basement,1951,3017.09,78,40.2
840455,Exterior,2019,4221.94,27,52.5
840456,Kitchen,1985,19352.3,237,63.1
840457,Basement,1988,7743.09,124,37.2
840458,Kitchen,1991,13663.96,85,57.6
840459,Exterior,2016,3970.99,21,48.3
840460,Basement,2019,6106.0,71,51.0
840461,Exterior,1970,4925.22,139,39.0
840462,Bathroom,2001,16306.28,342,48.5
840463,Bathroom,2017,6754.69,24,63.2
840464,Kitchen,1960,14735.56,96,67.8
840465,Kitchen,2001,13882.47,74,70.7
840466,Exterior,1971,7605.57,211,42.8
840467,Bathroom,1975,16503.58,342,62.0
840468,Kitchen,2008,14239.18,90,61.7
840469,Basement,2007,10705.38,265,48.6
840470,Kitchen,1992,17915.2,239,62.6
840471,Exterior,2015,10738.54,321,39.2
840472,Kitchen,1977,17445.96,169,63.0
840473,Bathroom,1967,10381.27,185,54.9
840474,Bathroom,1957,11207.02,143,60.0
840475,Bathroom,1985,8292.92,27,58.1
840476,Kitchen,1965,18436.76,284,72.3
840477,Basement,1975,5221.43,105,57.0
840478,Exterior,1951,8101.27,272,40.7
840479,Exterior,1972,6939.45,195,49.4
840480,Exterior,1958,11554.77,297,43.0
840481,Kitchen,1952,17182.26,181,61.5
840482,Basement,1968,7914.41,193,51.1
840483,Basement,1957,7479.51,191,44.3
840484,Basement,1967,5445.25,85,54.3
840485,Exterior,2001,12419.98,340,44.1
840486,Kitchen,1995,13201.37,58,75.2
840487,Basement,2006,5520.61,121,43.1
840488,Bathroom,2007,11213.18,212,58.3
840489,Kitchen,2019,21255.69,303,79.9
840490,Basement,1950,3863.14,75,36.5
840491,Exterior,1965,5834.85,102,53.7
840492,Exterior,1979,7509.33,223,54.4
840493,Kitchen,2012,19182.03,324,67.0
840494,Bathroom,1970,15062.14,303,62.2
840495,Basement,1995,8345.97,195,28.5
840496,Exterior,1971,7405.04,158,57.1
840497,Basement,1989,6554.85,197,36.7
840498,Kitchen,2000,15865.41,116,57.8
840499,Basement,1987,3713.94,21,44.3
840500,Kitchen,2010,15125.56,145,63.6
840501,Bathroom,2018,15458.25,305,61.8
840502,Basement,1998,6886.82,195,44.2
840503,Exterior,1998,6285.63,120,46.0
840504,Basement,1999,6487.39,130,45.1
840505,Bathroom,1997,10471.62,93,64.1
840506,Basement,1982,7395.85,169,51.3
840507,Bathroom,1977,12051.2,191,53.3
840508,Exterior,1981,6305.85,106,49.1
840509,Basement,1957,9212.67,249,40.6
840510,Exterior,1995,3254.17,23,46.2
840511,Basement,1950,6574.54,123,49.8
840512,Kitchen,1950,15281.97,142,56.5
840513,Exterior,1967,8984.73,207,51.4
840514,Basement,1990,7578.92,196,47.4
840515,Bathroom,1957,10873.68,154,65.6
840516,Exterior,1989,8780.87,259,57.8
840517,Bathroom,1976,10136.1,76,64.8
840518,Exterior,1995,5569.23,107,41.3
840519,Basement,2004,10173.15,276,79.9
840520,Bathroom,1985,14278.18,235,46.1
840521,Exterior,1997,10342.82,260,51.4
840522,Bathroom,2013,6459.14,35,63.3
840523,Exterior,1977,5305.82,58,42.4
840524,Exterior,1958,11258.24,309,47.6
840525,Bathroom,1997,10864.2,197,56.2
840526,Exterior,2003,3273.39,24,47.5
840527,Kitchen,1973,18854.26,286,62.8
840528,Kitchen,2017,19393.36,240,70.6
840529,Exterior,1992,10727.98,330,48.8
840530,Bathroom,1967,15398.97,336,58.0
840531,Exterior,2013,8924.83,242,50.8
840532,Kitchen,1998,15232.94,206,57.1
840533,Kitchen,1992,18667.15,291,58.3
840534,Bathroom,1964,9728.96,99,62.2
840535,Basement,1985,9934.54,254,43.4
840536,Kitchen,1963,19199.48,266,48.8
840537,Kitchen,1980,13031.52,78,71.8
840538,Kitchen,1967,18688.22,205,69.9
840539,Exterior,2016,8850.55,227,46.5
840540,Kitchen,1983,20264.71,300,64.5
840541,Bathroom,1982,10672.3,173,54.5
840542,Bathroom,1957,12342.94,243,62.9
840543,Exterior,2005,9841.56,233,29.3
840544,Kitchen,1971,17762.98,195,69.8
840545,Exterior,1985,7975.84,214,43.6
840546,Basement,1995,6349.86,48,51.2
840547,Exterior,1965,4174.28,34,41.3
840548,Kitchen,1958,15653.74,207,61.1
840549,Basement,2019,6620.76,122,47.6
840550,Bathroom,1960,12608.82,209,70.9
840551,Kitchen,1973,18983.97,297,70.7
840552,Kitchen,2019,18838.49,328,56.6
840553,Bathroom,1953,12124.43,269,64.3
840554,Exterior,1998,3937.75,77,45.9
840555,Exterior,2002,10230.76,323,32.3
840556,Basement,1958,4583.84,89,43.9
840557,Bathroom,1990,11597.14,125,37.7
840558,Bathroom,1985,8993.54,110,59.4
840559,Basement,1955,4374.84,54,47.4
840560,Basement,1976,4095.04,33,60.2
840561,Bathroom,2015,11968.19,218,57.3
840562,Bathroom,2017,9799.57,109,62.7
840563,Exterior,1951,5989.0,90,41.8
840564,Bathroom,1996,10457.7,103,66.5
840565,Bathroom,1973,7988.91,85,44.8
840566,Exterior,1958,11918.38,337,47.5
840567,Bathroom,1970,8548.03,144,68.1
840568,Bathroom,2014,12495.38,135,58.5
840569,Kitchen,1970,19398.91,312,52.2
840570,Bathroom,1955,9587.99,33,64.4
840571,Kitchen,1967,16176.46,191,69.3
840572,Exterior,1978,12957.55,343,35.8
840573,Bathroom,1964,7905.07,55,66.4
840574,Basement,2016,7523.42,207,52.6
840575,Basement,2005,5209.42,124,45.6
840576,Basement,1979,7623.83,116,50.4
840577,Bathroom,2010,8278.03,71,66.8
840578,Kitchen,1994,20076.85,348,62.6
840579,Bathroom,2016,10025.71,154,62.6
840580,Basement,2009,9284.65,199,42.5
840581,Kitchen,2018,15857.46,135,69.6
840582,Kitchen,1979,13140.16,37,79.5
840583,Exterior,1989,6054.19,114,31.9
840584,Basement,1992,5038.8,153,65.3
840585,Basement,1960,3450.54,63,57.5
840586,Exterior,1953,9960.42,224,34.4
840587,Exterior,1996,11289.13,320,52.0
840588,Kitchen,1990,14633.12,126,68.8
840589,Bathroom,1999,7812.35,58,74.5
840590,Bathroom,1974,8953.77,57,74.9
840591,Basement,1952,4539.12,82,45.1
840592,Basement,1970,11716.61,340,41.8
840593,Kitchen,1952,19184.3,289,64.4
840594,Basement,1989,8911.22,170,46.8
840595,Kitchen,1987,15548.79,144,67.2
840596,Kitchen,1964,19317.6,232,69.3
840597,Exterior,2006,11052.28,332,40.4
840598,Bathroom,1963,10916.17,170,64.1
840599,Bathroom,1951,14187.66,264,52.1
840600,Kitchen,1960,12211.01,24,58.4
840601,Exterior,2005,3233.52,71,38.3
840602,Kitchen,1983,18663.07,328,68.0
840603,Basement,1980,,330,45.9
840604,Exterior,1985,6985.35,166,52.2
840605,Exterior,1996,8940.67,290,33.5
840606,Bathroom,2017,14344.44,303,67.7
840607,Bathroom,2014,14418.18,270,63.5
840608,Basement,2000,8457.37,236,39.3
840609,Kitchen,1952,19350.42,268,72.6
840610,Bathroom,1976,16059.74,289,53.6
840611,Basement,1955,12231.55,323,35.1
840612,Bathroom,1959,10855.11,218,54.8
840613,Bathroom,1994,10650.35,206,55.4
840614,Kitchen,1962,18116.62,305,65.5
840615,Basement,1984,6337.81,83,51.6
840616,Kitchen,2015,18635.88,260,63.0
840617,Exterior,1966,6843.75,183,47.0
840618,Kitchen,1953,14434.07,118,66.8
840619,Exterior,1965,3486.68,25,43.4
840620,Bathroom,1957,13786.38,333,58.8
840621,Bathroom,2004,9203.25,25,49.9
840622,Basement,2009,11617.35,348,33.5
840623,Bathroom,1986,10965.71,161,61.0
840624,Bathroom,2011,14469.92,324,63.4
840625,Basement,1986,6505.44,128,46.4
840626,Basement,1974,10913.18,269,37.1
840627,Exterior,1967,8033.69,223,44.8
