UserID,InstallSource,OnboardingCompleted,NotificationsActive,SessionCount,Day7_Retained
900143,FacebookAds,1,1.0,22.0,Yes
900144,Organic,1,0.0,16.0,Yes
900145,FacebookAds,1,0.0,22.0,Yes
900146,GoogleAds,1,1.0,20.0,Yes
900147,Referral,1,0.0,10.0,No
900148,FacebookAds,1,1.0,20.0,Yes
900149,Organic,1,1.0,22.0,Yes
900150,GoogleAds,0,1.0,16.0,Yes
900151,GoogleAds,1,1.0,20.0,Yes
900152,GoogleAds,0,1.0,12.0,Yes
900153,FacebookAds,1,1.0,23.0,Yes
900154,GoogleAds,1,0.0,12.0,No
900155,Organic,1,,17.0,Yes
900156,FacebookAds,1,0.0,19.0,Yes
900157,Organic,0,1.0,12.0,No
900158,FacebookAds,1,0.0,9.0,Yes
900159,GoogleAds,1,1.0,26.0,Yes
900160,GoogleAds,1,1.0,20.0,Yes
900161,FacebookAds,1,1.0,24.0,Yes
900162,FacebookAds,1,0.0,22.0,Yes
900163,Organic,1,0.0,13.0,Yes
900164,GoogleAds,1,1.0,22.0,Yes
900165,GoogleAds,1,1.0,20.0,Yes
900166,FacebookAds,1,1.0,21.0,Yes
900167,Organic,1,1.0,25.0,Yes
900168,GoogleAds,1,1.0,19.0,Yes
900169,Referral,0,1.0,5.0,No
900170,GoogleAds,1,0.0,21.0,Yes
900171,FacebookAds,1,1.0,19.0,Yes
900172,Referral,0,0.0,3.0,No
900173,GoogleAds,1,0.0,11.0,Yes
900174,GoogleAds,1,1.0,15.0,No
900175,FacebookAds,1,0.0,9.0,No
900176,FacebookAds,1,1.0,22.0,Yes
900177,GoogleAds,0,0.0,6.0,No
900178,GoogleAds,1,0.0,15.0,Yes
900179,Organic,0,1.0,7.0,No
900180,GoogleAds,1,0.0,16.0,Yes
900181,FacebookAds,1,1.0,25.0,Yes
900182,Organic,1,0.0,10.0,No
900183,FacebookAds,1,0.0,9.0,Yes
900184,FacebookAds,0,0.0,9.0,No
900185,Organic,1,0.0,21.0,Yes
900186,Referral,0,1.0,14.0,No
900187,Organic,0,1.0,13.0,Yes
900188,Organic,1,1.0,19.0,Yes
900189,FacebookAds,1,0.0,14.0,No
900190,Referral,0,0.0,14.0,No
900191,GoogleAds,0,0.0,6.0,No
900192,Organic,1,1.0,26.0,Yes
900193,GoogleAds,1,1.0,14.0,Yes
900194,GoogleAds,1,1.0,20.0,Yes
900195,GoogleAds,1,1.0,15.0,No
900196,GoogleAds,1,1.0,14.0,Yes
900197,Referral,0,1.0,14.0,Yes
900198,Organic,0,1.0,6.0,Yes
900199,GoogleAds,1,1.0,20.0,Yes
900200,GoogleAds,1,0.0,15.0,No
900201,FacebookAds,0,0.0,11.0,No
900202,Organic,1,0.0,9.0,No
900203,Organic,1,1.0,23.0,Yes
900204,FacebookAds,0,1.0,18.0,No
900205,Referral,1,1.0,14.0,Yes
900206,FacebookAds,1,1.0,22.0,Yes
900207,Organic,1,0.0,18.0,Yes
900208,FacebookAds,0,1.0,15.0,No
900209,GoogleAds,0,0.0,14.0,No
900210,FacebookAds,1,1.0,16.0,Yes
900211,Organic,1,0.0,20.0,Yes
900212,FacebookAds,1,0.0,21.0,Yes
900213,GoogleAds,1,1.0,22.0,Yes
900214,Organic,1,1.0,19.0,Yes
900215,GoogleAds,1,1.0,19.0,Yes
900216,GoogleAds,1,0.0,16.0,Yes
900217,GoogleAds,1,1.0,20.0,Yes
900218,FacebookAds,1,1.0,14.0,Yes
900219,FacebookAds,1,1.0,21.0,No
900220,FacebookAds,1,0.0,9.0,No
900221,GoogleAds,1,1.0,22.0,Yes
900222,FacebookAds,0,0.0,8.0,No
900223,GoogleAds,0,1.0,13.0,Yes
900224,Referral,1,1.0,18.0,Yes
900225,Referral,1,1.0,21.0,Yes
900226,GoogleAds,0,1.0,6.0,No
900227,GoogleAds,0,1.0,15.0,No
900228,Referral,1,1.0,16.0,Yes
900229,GoogleAds,0,1.0,6.0,No
900230,GoogleAds,0,0.0,6.0,No
900231,Organic,1,1.0,20.0,No
900232,FacebookAds,1,1.0,13.0,No
900233,GoogleAds,1,1.0,26.0,Yes
900234,GoogleAds,1,1.0,15.0,Yes
900235,GoogleAds,1,1.0,13.0,Yes
900236,Organic,0,0.0,6.0,No
900237,GoogleAds,1,1.0,22.0,No
900238,FacebookAds,1,1.0,14.0,Yes
900239,Organic,0,0.0,14.0,No
900240,Organic,1,0.0,13.0,Yes
900241,Organic,0,1.0,8.0,No
900242,Organic,1,0.0,22.0,Yes
900243,Referral,1,1.0,13.0,No
900244,FacebookAds,1,0.0,22.0,Yes
900245,GoogleAds,1,1.0,16.0,Yes
900246,FacebookAds,1,1.0,26.0,Yes
900247,GoogleAds,1,0.0,16.0,Yes
900248,GoogleAds,0,1.0,10.0,Yes
900249,FacebookAds,1,0.0,17.0,No
900250,Referral,1,1.0,20.0,Yes
900251,FacebookAds,1,0.0,20.0,Yes
900252,FacebookAds,0,1.0,5.0,Yes
900253,GoogleAds,0,1.0,13.0,Yes
900254,FacebookAds,1,1.0,19.0,Yes
900255,FacebookAds,1,0.0,15.0,Yes
900256,Organic,1,0.0,16.0,No
900257,GoogleAds,1,1.0,21.0,Yes
900258,Organic,1,1.0,22.0,Yes
900259,FacebookAds,1,1.0,21.0,Yes
900260,Referral,1,1.0,23.0,Yes
900261,GoogleAds,1,1.0,23.0,Yes
900262,Organic,0,0.0,14.0,No
900263,FacebookAds,1,1.0,18.0,Yes
900264,GoogleAds,0,0.0,2.0,No
900265,FacebookAds,1,1.0,16.0,Yes
900266,FacebookAds,1,1.0,19.0,Yes
900267,GoogleAds,0,1.0,14.0,No
900268,Organic,1,0.0,20.0,Yes
900269,GoogleAds,1,1.0,26.0,Yes
900270,Referral,1,0.0,22.0,Yes
900271,GoogleAds,0,0.0,8.0,No
900272,Organic,0,1.0,11.0,No
900273,FacebookAds,1,0.0,9.0,Yes
900274,GoogleAds,1,0.0,18.0,Yes
900275,FacebookAds,1,1.0,21.0,Yes
900276,GoogleAds,0,1.0,13.0,No
900277,GoogleAds,0,1.0,11.0,No
900278,FacebookAds,0,1.0,18.0,No
900279,FacebookAds,1,0.0,15.0,Yes
900280,GoogleAds,0,1.0,7.0,No
900281,Organic,1,1.0,25.0,Yes
900282,GoogleAds,0,0.0,5.0,No
900283,FacebookAds,1,1.0,22.0,Yes
900284,Organic,1,1.0,26.0,Yes
900285,GoogleAds,1,1.0,18.0,No
900286,Organic,1,0.0,17.0,Yes
900287,Organic,1,0.0,13.0,No
900288,FacebookAds,1,1.0,15.0,Yes
900289,GoogleAds,1,0.0,20.0,Yes
900290,FacebookAds,1,0.0,18.0,Yes
900291,FacebookAds,0,0.0,10.0,Yes
900292,GoogleAds,1,1.0,15.0,Yes
900293,FacebookAds,0,1.0,5.0,Yes
900294,GoogleAds,1,1.0,16.0,Yes
900295,GoogleAds,1,1.0,21.0,Yes
900296,FacebookAds,1,1.0,16.0,Yes
900297,Organic,1,0.0,19.0,Yes
900298,Referral,1,0.0,10.0,Yes
900299,Referral,1,1.0,19.0,Yes
900300,FacebookAds,0,0.0,12.0,No
900301,Referral,1,1.0,22.0,Yes
900302,Organic,1,1.0,22.0,No
900303,Referral,1,0.0,17.0,No
900304,GoogleAds,1,1.0,20.0,Yes
900305,GoogleAds,1,1.0,24.0,Yes
900306,GoogleAds,0,0.0,7.0,No
900307,Referral,0,1.0,17.0,No
900308,GoogleAds,1,1.0,17.0,Yes
900309,GoogleAds,0,1.0,11.0,No
900310,FacebookAds,0,1.0,5.0,Yes
900311,FacebookAds,1,1.0,13.0,Yes
900312,GoogleAds,0,1.0,13.0,No
900313,GoogleAds,0,1.0,11.0,Yes
900314,GoogleAds,1,1.0,26.0,Yes
900315,GoogleAds,0,1.0,18.0,Yes
900316,GoogleAds,1,1.0,15.0,Yes
900317,GoogleAds,0,1.0,7.0,No
900318,Referral,1,0.0,18.0,Yes
900319,Organic,1,1.0,19.0,Yes
900320,Organic,1,1.0,15.0,Yes
900321,GoogleAds,1,1.0,24.0,Yes
900322,Organic,0,0.0,2.0,No
900323,GoogleAds,1,1.0,18.0,No
900324,FacebookAds,0,0.0,3.0,No
900325,GoogleAds,0,1.0,9.0,No
900326,FacebookAds,0,0.0,1.0,No
900327,GoogleAds,0,1.0,18.0,No
900328,FacebookAds,1,1.0,24.0,Yes
900329,FacebookAds,1,1.0,18.0,Yes
900330,GoogleAds,0,0.0,8.0,No
900331,FacebookAds,0,1.0,7.0,Yes
900332,Organic,0,1.0,18.0,Yes
900333,Organic,1,1.0,26.0,Yes
900334,GoogleAds,1,1.0,24.0,Yes
900335,Organic,1,1.0,20.0,Yes
900336,GoogleAds,1,1.0,18.0,Yes
900337,FacebookAds,1,1.0,24.0,No
900338,Referral,1,1.0,21.0,Yes
900339,GoogleAds,1,0.0,9.0,Yes
900340,FacebookAds,0,0.0,5.0,No
900341,GoogleAds,0,1.0,9.0,Yes
900342,GoogleAds,1,1.0,19.0,Yes
900343,GoogleAds,1,0.0,17.0,No
900344,GoogleAds,1,1.0,13.0,Yes
900345,GoogleAds,0,0.0,4.0,Yes
900346,GoogleAds,0,0.0,4.0,No
900347,FacebookAds,0,1.0,18.0,Yes
900348,FacebookAds,1,1.0,22.0,Yes
900349,Referral,0,1.0,16.0,No
900350,GoogleAds,1,0.0,15.0,Yes
900351,FacebookAds,1,1.0,14.0,Yes
900352,Organic,1,1.0,26.0,Yes
900353,FacebookAds,1,0.0,17.0,No
900354,Organic,0,1.0,10.0,Yes
900355,FacebookAds,1,1.0,19.0,Yes
900356,FacebookAds,0,1.0,13.0,Yes
900357,FacebookAds,0,1.0,8.0,Yes
900358,GoogleAds,1,1.0,15.0,Yes
900359,FacebookAds,1,1.0,25.0,No
900360,FacebookAds,1,1.0,19.0,Yes
900361,FacebookAds,0,1.0,9.0,No
900362,FacebookAds,1,0.0,19.0,Yes
900363,GoogleAds,1,1.0,14.0,Yes
900364,GoogleAds,1,1.0,13.0,Yes
900365,GoogleAds,1,0.0,19.0,Yes
900366,GoogleAds,1,0.0,18.0,Yes
900367,FacebookAds,0,1.0,17.0,Yes
900368,Organic,1,0.0,16.0,Yes
900369,GoogleAds,1,0.0,10.0,No
900370,Organic,1,0.0,18.0,Yes
900371,FacebookAds,1,1.0,21.0,Yes
900372,FacebookAds,1,1.0,26.0,Yes
900373,Organic,1,0.0,19.0,No
900374,Organic,1,0.0,21.0,Yes
900375,Organic,1,1.0,23.0,Yes
900376,FacebookAds,1,1.0,24.0,Yes
900377,FacebookAds,0,1.0,7.0,No
900378,GoogleAds,0,1.0,10.0,No
900379,GoogleAds,1,1.0,25.0,Yes
900380,FacebookAds,1,1.0,16.0,Yes
900381,GoogleAds,1,0.0,13.0,No
900382,GoogleAds,1,0.0,21.0,Yes
900383,FacebookAds,1,1.0,26.0,Yes
900384,GoogleAds,1,0.0,14.0,No
900385,GoogleAds,0,1.0,12.0,No
900386,FacebookAds,1,1.0,14.0,Yes
900387,GoogleAds,0,1.0,16.0,No
900388,FacebookAds,0,0.0,1.0,No
900389,GoogleAds,0,1.0,14.0,No
900390,GoogleAds,0,1.0,7.0,No
900391,FacebookAds,0,1.0,9.0,No
900392,Organic,1,1.0,14.0,Yes
900393,Organic,1,1.0,24.0,Yes
900394,FacebookAds,1,0.0,13.0,No
900395,GoogleAds,1,1.0,18.0,Yes
900396,GoogleAds,1,1.0,13.0,Yes
900397,FacebookAds,1,0.0,13.0,Yes
900398,FacebookAds,0,1.0,11.0,No
900399,Referral,1,1.0,25.0,Yes
900400,FacebookAds,1,0.0,17.0,No
900401,FacebookAds,0,1.0,17.0,Yes
900402,GoogleAds,1,1.0,16.0,No
900403,FacebookAds,1,0.0,15.0,No
900404,FacebookAds,1,1.0,20.0,Yes
900405,Referral,1,1.0,18.0,Yes
900406,GoogleAds,1,0.0,19.0,Yes
900407,Referral,1,0.0,10.0,No
900408,GoogleAds,1,0.0,9.0,No
900409,FacebookAds,1,0.0,22.0,Yes
900410,GoogleAds,1,0.0,9.0,No
900411,GoogleAds,1,1.0,24.0,Yes
900412,GoogleAds,0,1.0,5.0,No
900413,FacebookAds,1,0.0,21.0,Yes
900414,GoogleAds,1,1.0,20.0,Yes
900415,Organic,1,1.0,13.0,Yes
900416,GoogleAds,1,1.0,15.0,Yes
900417,GoogleAds,0,0.0,4.0,No
900418,Organic,0,1.0,18.0,Yes
900419,FacebookAds,1,1.0,14.0,Yes
900420,FacebookAds,1,0.0,10.0,Yes
900421,Organic,0,1.0,6.0,No
900422,Referral,0,1.0,5.0,No
900423,Organic,1,0.0,17.0,Yes
900424,GoogleAds,1,0.0,22.0,Yes
900425,FacebookAds,1,0.0,19.0,Yes
900426,Organic,1,1.0,13.0,Yes
900427,GoogleAds,0,0.0,3.0,No
900428,GoogleAds,0,1.0,15.0,No
900429,FacebookAds,1,1.0,23.0,Yes
900430,Organic,0,1.0,18.0,No
900431,GoogleAds,0,1.0,12.0,No
900432,FacebookAds,1,0.0,13.0,Yes
900433,Referral,0,1.0,18.0,Yes
900434,FacebookAds,1,1.0,23.0,Yes
900435,Organic,1,1.0,13.0,Yes
900436,FacebookAds,0,1.0,17.0,Yes
900437,FacebookAds,1,1.0,25.0,Yes
900438,FacebookAds,0,1.0,15.0,Yes
900439,GoogleAds,1,0.0,18.0,Yes
900440,GoogleAds,1,0.0,21.0,No
900441,Referral,1,1.0,23.0,No
900442,Organic,0,0.0,8.0,Yes
900443,FacebookAds,1,0.0,21.0,Yes
900444,FacebookAds,1,0.0,16.0,No
900445,FacebookAds,1,0.0,16.0,Yes
900446,FacebookAds,1,0.0,14.0,Yes
900447,GoogleAds,1,1.0,19.0,Yes
900448,FacebookAds,1,1.0,18.0,Yes
900449,GoogleAds,1,1.0,16.0,Yes
900450,FacebookAds,1,0.0,19.0,Yes
900451,FacebookAds,1,1.0,25.0,Yes
900452,GoogleAds,0,0.0,1.0,No
900453,GoogleAds,1,1.0,23.0,Yes
900454,GoogleAds,1,1.0,18.0,Yes
900455,GoogleAds,1,0.0,16.0,Yes
900456,Referral,0,0.0,6.0,No
900457,GoogleAds,0,1.0,17.0,Yes
900458,Organic,1,1.0,16.0,Yes
900459,FacebookAds,1,1.0,16.0,Yes
900460,GoogleAds,1,1.0,21.0,Yes
900461,GoogleAds,1,1.0,25.0,Yes
900462,FacebookAds,1,0.0,9.0,Yes
900463,FacebookAds,1,1.0,21.0,Yes
900464,Organic,1,1.0,23.0,No
900465,Referral,0,1.0,14.0,No
900466,GoogleAds,0,1.0,15.0,Yes
900467,GoogleAds,1,0.0,19.0,Yes
900468,FacebookAds,1,1.0,16.0,No
900469,Organic,1,1.0,15.0,Yes
900470,FacebookAds,1,0.0,19.0,Yes
900471,GoogleAds,0,1.0,11.0,No
900472,GoogleAds,1,0.0,14.0,No
900473,FacebookAds,1,1.0,14.0,Yes
900474,Organic,0,1.0,14.0,No
900475,FacebookAds,1,1.0,26.0,Yes
900476,FacebookAds,0,0.0,6.0,No
900477,Referral,1,1.0,17.0,Yes
900478,FacebookAds,1,1.0,23.0,Yes
900479,GoogleAds,1,1.0,13.0,Yes
900480,FacebookAds,1,,17.0,No
900481,Referral,1,1.0,20.0,Yes
900482,GoogleAds,1,1.0,13.0,Yes
900483,FacebookAds,0,1.0,10.0,Yes
900484,FacebookAds,1,0.0,14.0,Yes
900485,GoogleAds,0,0.0,2.0,No
900486,Referral,1,1.0,13.0,Yes
900487,GoogleAds,0,1.0,16.0,Yes
900488,FacebookAds,0,1.0,14.0,No
900489,FacebookAds,1,0.0,11.0,No
900490,GoogleAds,1,1.0,14.0,No
900491,FacebookAds,1,1.0,24.0,Yes
900492,FacebookAds,1,0.0,17.0,No
900493,GoogleAds,0,1.0,14.0,No
900494,GoogleAds,1,0.0,18.0,Yes
900495,Organic,0,1.0,14.0,Yes
900496,FacebookAds,1,1.0,19.0,Yes
900497,GoogleAds,1,1.0,18.0,Yes
900498,FacebookAds,1,1.0,24.0,Yes
900499,GoogleAds,1,1.0,26.0,Yes
900500,FacebookAds,1,1.0,16.0,Yes
900501,FacebookAds,1,0.0,11.0,No
900502,FacebookAds,1,,12.0,No
900503,Organic,0,1.0,6.0,Yes
900504,FacebookAds,1,0.0,10.0,Yes
900505,Organic,1,0.0,14.0,Yes
900506,Referral,0,1.0,13.0,No
900507,Organic,1,1.0,21.0,Yes
900508,GoogleAds,1,0.0,14.0,No
900509,FacebookAds,1,0.0,16.0,Yes
900510,GoogleAds,1,0.0,19.0,Yes
900511,FacebookAds,0,0.0,1.0,No
900512,GoogleAds,1,0.0,16.0,No
900513,GoogleAds,1,1.0,20.0,Yes
900514,FacebookAds,1,1.0,15.0,Yes
900515,Organic,1,0.0,12.0,Yes
900516,Organic,1,1.0,24.0,Yes
900517,GoogleAds,0,1.0,14.0,Yes
900518,FacebookAds,1,0.0,15.0,Yes
900519,Organic,0,,2.0,No
900520,FacebookAds,1,1.0,23.0,Yes
900521,GoogleAds,1,0.0,13.0,Yes
900522,FacebookAds,0,1.0,16.0,No
900523,GoogleAds,0,1.0,10.0,Yes
900524,GoogleAds,0,0.0,10.0,No
900525,FacebookAds,0,0.0,12.0,No
900526,FacebookAds,0,0.0,6.0,No
900527,FacebookAds,1,1.0,16.0,Yes
900528,GoogleAds,1,1.0,18.0,Yes
900529,GoogleAds,1,0.0,10.0,No
900530,Organic,0,0.0,8.0,Yes
900531,FacebookAds,0,0.0,7.0,No
900532,FacebookAds,0,1.0,16.0,Yes
900533,GoogleAds,1,0.0,14.0,Yes
900534,FacebookAds,1,1.0,14.0,Yes
900535,Referral,1,1.0,13.0,Yes
900536,GoogleAds,1,1.0,26.0,Yes
900537,FacebookAds,1,1.0,15.0,Yes
900538,GoogleAds,1,1.0,15.0,Yes
900539,FacebookAds,1,0.0,22.0,Yes
900540,FacebookAds,1,0.0,15.0,Yes
900541,GoogleAds,1,0.0,14.0,Yes
900542,FacebookAds,0,,18.0,Yes
900543,Organic,1,0.0,9.0,No
900544,Referral,1,0.0,16.0,Yes
900545,GoogleAds,1,0.0,15.0,Yes
900546,GoogleAds,1,0.0,17.0,Yes
900547,Referral,1,0.0,22.0,Yes
900548,Referral,1,1.0,13.0,Yes
900549,FacebookAds,1,1.0,19.0,Yes
900550,FacebookAds,1,0.0,14.0,Yes
900551,Organic,1,0.0,20.0,No
900552,GoogleAds,0,1.0,13.0,Yes
900553,FacebookAds,1,1.0,23.0,Yes
900554,FacebookAds,0,1.0,7.0,No
900555,GoogleAds,0,1.0,11.0,No
900556,GoogleAds,1,0.0,20.0,No
900557,GoogleAds,1,0.0,12.0,Yes
900558,GoogleAds,1,0.0,19.0,Yes
900559,FacebookAds,0,1.0,6.0,No
900560,Organic,0,1.0,12.0,No
900561,GoogleAds,1,1.0,24.0,Yes
900562,GoogleAds,0,1.0,8.0,No
900563,GoogleAds,1,1.0,19.0,Yes
900564,GoogleAds,1,0.0,16.0,Yes
900565,Referral,1,1.0,17.0,Yes
900566,Referral,0,0.0,4.0,Yes
900567,GoogleAds,1,1.0,25.0,Yes
900568,FacebookAds,1,0.0,16.0,Yes
900569,Referral,1,1.0,25.0,Yes
900570,FacebookAds,1,1.0,13.0,Yes
900571,FacebookAds,1,1.0,17.0,No
900572,FacebookAds,1,1.0,16.0,Yes
900573,Organic,1,1.0,25.0,Yes
900574,FacebookAds,1,1.0,16.0,Yes
900575,GoogleAds,1,0.0,16.0,Yes
900576,FacebookAds,1,0.0,17.0,Yes
900577,Referral,1,0.0,21.0,Yes
900578,FacebookAds,1,1.0,26.0,Yes
900579,FacebookAds,0,0.0,9.0,No
900580,GoogleAds,1,1.0,13.0,Yes
900581,Referral,1,1.0,25.0,Yes
900582,FacebookAds,0,1.0,13.0,Yes
900583,FacebookAds,1,,19.0,Yes
900584,FacebookAds,1,1.0,18.0,Yes
900585,FacebookAds,0,1.0,11.0,Yes
900586,GoogleAds,1,1.0,24.0,No
900587,Referral,0,1.0,12.0,No
900588,FacebookAds,1,0.0,15.0,Yes
900589,Organic,1,1.0,16.0,No
900590,FacebookAds,0,1.0,17.0,Yes
900591,GoogleAds,1,1.0,23.0,Yes
900592,FacebookAds,1,0.0,14.0,No
900593,GoogleAds,1,1.0,15.0,No
900594,GoogleAds,0,0.0,9.0,No
900595,FacebookAds,0,1.0,11.0,No
900596,Organic,1,0.0,22.0,Yes
900597,Organic,1,0.0,9.0,Yes
900598,FacebookAds,0,1.0,14.0,Yes
900599,Organic,1,1.0,16.0,Yes
900600,GoogleAds,1,1.0,20.0,No
900601,GoogleAds,0,0.0,14.0,No
900602,FacebookAds,0,1.0,5.0,No
900603,GoogleAds,0,0.0,9.0,No
900604,GoogleAds,1,0.0,16.0,Yes
900605,GoogleAds,1,1.0,22.0,Yes
900606,Organic,1,1.0,23.0,Yes
900607,Organic,1,1.0,18.0,Yes
900608,FacebookAds,1,0.0,16.0,Yes
900609,GoogleAds,1,1.0,26.0,Yes
900610,FacebookAds,1,1.0,26.0,Yes
900611,GoogleAds,1,1.0,17.0,Yes
900612,GoogleAds,0,1.0,8.0,Yes
900613,FacebookAds,0,0.0,11.0,No
900614,FacebookAds,1,1.0,22.0,Yes
900615,FacebookAds,1,1.0,14.0,Yes
900616,GoogleAds,1,1.0,19.0,Yes
900617,Organic,0,0.0,6.0,No
900618,Organic,1,1.0,26.0,Yes
900619,Organic,0,1.0,15.0,Yes
