RackID,AirVelocity_mps,CellMaxTempCelsius,ChargingCurrent_Amps,TempVariance,CoolingSystemFault
1880068,11.4,138.2,4.29,65.7,0
1880069,15.5,133.6,4.95,108.0,1
1880070,14.1,146.4,5.13,121.9,1
1880071,13.9,90.8,5.87,60.3,0
1880072,8.8,,3.79,119.4,0
1880073,13.9,130.2,4.52,167.4,1
1880074,10.3,138.7,4.58,87.7,0
1880075,6.7,141.2,5.2,168.0,0
1880076,16.6,105.7,4.16,110.0,0
1880077,10.5,103.5,3.83,108.7,0
1880078,14.2,110.6,1.69,147.5,1
1880079,11.9,145.5,6.26,104.9,0
1880080,11.8,81.6,3.95,105.4,0
1880081,14.4,65.5,5.16,115.3,0
1880082,14.1,125.8,4.8,86.1,0
1880083,15.7,104.9,3.73,144.4,1
1880084,5.4,132.2,5.47,138.0,1
1880085,1.2,157.4,3.88,94.0,0
1880086,13.1,112.8,3.82,107.7,0
1880087,13.4,110.8,3.72,111.1,1
1880088,14.4,181.6,4.26,84.6,1
1880089,15.6,111.1,4.51,131.7,1
1880090,10.7,93.7,3.62,128.1,0
1880091,10.6,157.7,4.09,158.7,1
1880092,14.8,68.4,3.23,140.2,0
1880093,4.1,56.4,5.02,133.2,0
1880094,20.7,133.6,4.67,98.9,0
1880095,8.3,118.0,8.3,70.5,0
1880096,8.0,139.6,4.05,85.8,0
1880097,19.6,101.5,4.36,84.4,0
1880098,17.1,129.2,4.51,91.3,0
1880099,15.1,183.5,6.21,107.6,1
1880100,20.2,110.3,5.25,149.3,1
1880101,20.0,126.0,5.39,123.0,0
1880102,1.0,156.1,4.83,124.7,1
1880103,11.3,145.7,3.33,115.7,1
1880104,15.6,124.4,4.38,100.2,0
1880105,14.8,164.1,4.41,151.3,0
1880106,17.2,103.9,6.54,117.6,1
1880107,14.0,106.8,4.93,136.4,1
1880108,16.1,53.3,2.34,131.7,0
1880109,7.1,159.4,5.96,85.0,0
1880110,7.8,133.1,6.37,185.6,1
1880111,16.5,102.8,3.29,128.0,0
1880112,8.9,123.7,5.25,130.6,0
1880113,16.1,182.3,3.38,116.2,1
1880114,14.3,144.9,6.94,108.8,1
1880115,9.5,136.8,4.56,195.1,1
1880116,21.0,112.3,3.56,115.5,0
1880117,6.4,96.7,4.05,127.1,0
1880118,16.3,159.9,3.9,123.1,1
1880119,2.8,116.5,3.76,135.6,1
1880120,3.1,183.9,4.33,127.9,1
1880121,11.7,55.0,4.44,155.2,0
1880122,11.1,118.9,3.99,88.2,1
1880123,7.9,148.0,3.66,99.4,1
1880124,6.4,141.5,3.57,141.1,1
1880125,5.6,162.3,4.02,181.8,1
1880126,16.7,63.9,5.88,175.7,1
1880127,22.0,128.4,4.0,100.8,0
1880128,7.9,108.4,2.7,161.0,0
1880129,6.8,95.1,4.12,92.1,1
1880130,16.9,141.6,3.99,122.5,1
1880131,12.9,112.3,4.98,93.5,0
1880132,12.3,133.7,4.42,115.0,0
1880133,11.0,159.2,3.18,124.3,1
1880134,13.3,101.1,4.29,99.3,0
1880135,13.3,109.7,5.9,133.5,1
1880136,7.6,115.8,2.49,107.0,0
1880137,7.8,114.8,2.73,98.8,0
1880138,11.5,126.0,5.47,171.1,1
1880139,13.4,116.9,3.18,106.3,0
1880140,11.8,141.2,5.16,99.4,0
1880141,12.1,129.4,5.79,147.5,1
1880142,14.1,,4.69,144.3,1
1880143,24.9,139.8,6.8,123.2,0
1880144,15.2,137.8,5.24,100.5,1
1880145,6.9,97.9,5.89,139.5,0
1880146,5.9,111.8,3.49,127.1,1
1880147,6.0,112.7,4.86,106.1,0
1880148,21.3,81.7,4.32,135.3,0
1880149,8.3,107.7,3.17,104.2,0
1880150,8.0,89.0,4.92,117.6,0
1880151,13.9,124.6,3.86,130.1,1
1880152,8.5,130.0,3.19,124.6,1
1880153,12.2,111.6,3.48,120.7,1
1880154,17.0,123.4,4.52,137.3,1
1880155,10.3,88.0,3.87,145.1,1
1880156,5.3,166.8,6.07,116.8,0
1880157,4.9,112.2,5.08,124.8,0
1880158,10.7,118.6,4.95,105.2,0
1880159,7.8,135.1,4.0,139.5,1
1880160,17.8,123.9,3.56,160.9,0
1880161,17.3,109.4,4.2,123.7,1
1880162,8.5,111.7,5.64,133.3,0
1880163,17.9,125.4,4.46,91.6,1
1880164,7.4,142.5,4.59,111.0,0
1880165,10.9,,4.38,134.3,0
1880166,11.0,122.3,4.83,145.9,1
1880167,16.4,101.2,7.11,141.9,0
1880168,3.7,113.7,4.64,52.5,0
1880169,2.9,94.0,3.52,134.5,0
1880170,21.9,148.1,3.7,110.9,1
1880171,6.3,104.7,3.75,92.2,0
1880172,9.9,104.1,4.69,104.7,0
1880173,12.7,123.1,2.93,173.7,1
1880174,13.5,141.5,5.41,70.2,0
1880175,8.2,127.0,5.52,130.0,1
1880176,14.8,145.6,5.64,151.0,1
1880177,20.5,115.9,7.0,116.0,0
1880178,6.5,100.9,4.42,159.4,1
1880179,16.1,114.1,5.94,97.1,0
1880180,9.9,170.9,3.82,114.0,1
1880181,17.4,117.5,4.08,121.0,1
1880182,15.4,107.3,3.8,116.9,0
1880183,9.8,150.6,3.5,98.2,1
1880184,11.1,131.1,5.35,95.6,1
1880185,11.2,152.1,2.73,80.3,1
1880186,16.3,157.6,6.12,77.2,1
1880187,18.8,140.2,6.37,178.3,1
1880188,7.3,149.5,3.08,124.1,1
1880189,3.5,149.2,3.55,137.3,0
1880190,16.4,95.5,4.58,110.7,0
1880191,16.2,99.4,5.0,79.5,0
1880192,8.8,88.4,6.22,120.5,0
1880193,8.4,99.4,4.27,130.3,0
1880194,11.5,98.0,5.1,136.3,0
1880195,14.6,166.7,2.67,100.1,1
1880196,9.0,126.3,4.11,106.8,0
1880197,6.5,118.1,3.18,63.7,0
1880198,9.9,152.0,4.27,60.2,0
1880199,11.5,159.8,3.73,151.5,1
1880200,13.3,136.0,6.22,103.1,0
1880201,15.6,67.4,4.38,126.6,0
1880202,8.9,134.2,5.98,111.7,1
1880203,13.6,100.2,4.03,143.4,1
1880204,9.0,138.1,4.83,80.9,0
1880205,9.6,104.2,4.33,136.6,1
1880206,15.1,128.9,4.56,87.5,0
1880207,13.7,192.3,7.57,108.7,1
1880208,16.2,140.2,3.24,107.5,0
1880209,5.6,109.9,4.57,90.9,0
1880210,6.3,113.9,5.09,133.5,1
1880211,8.7,134.8,4.86,105.8,1
1880212,10.2,154.2,4.66,124.7,1
1880213,14.9,103.5,4.83,109.0,1
1880214,8.5,74.3,6.4,85.7,0
1880215,13.7,132.1,5.75,189.1,1
1880216,14.2,132.9,3.52,126.5,1
1880217,12.4,95.0,3.52,91.4,1
1880218,18.0,115.3,4.72,202.4,1
1880219,13.7,106.4,2.85,113.9,1
1880220,10.6,135.5,2.7,161.8,1
1880221,10.1,93.4,4.05,119.6,0
1880222,22.0,117.6,4.69,119.5,1
1880223,2.9,117.0,4.51,168.6,1
1880224,13.3,103.2,4.72,107.8,0
1880225,22.6,134.9,3.48,96.6,1
1880226,8.9,149.3,4.84,129.6,1
1880227,10.1,94.4,2.3,140.6,0
1880228,9.4,134.2,6.37,172.0,1
1880229,11.6,113.5,5.11,154.3,1
1880230,24.6,99.7,6.71,135.3,1
1880231,12.0,124.1,4.87,97.5,1
1880232,5.1,134.3,5.67,88.6,0
1880233,20.8,85.7,3.14,95.5,0
1880234,14.0,107.0,4.56,136.3,0
1880235,23.3,144.0,4.84,77.3,0
1880236,8.6,154.6,3.55,164.5,0
1880237,2.6,121.4,4.75,101.4,0
1880238,6.0,89.5,6.91,140.6,1
1880239,2.7,118.8,5.08,188.4,1
1880240,6.1,85.5,5.76,139.1,0
1880241,12.5,102.8,3.61,111.4,1
1880242,19.9,158.4,3.96,108.9,1
1880243,4.7,108.1,3.54,151.8,0
1880244,8.8,130.6,4.12,179.4,0
1880245,11.1,126.1,3.16,164.1,1
1880246,8.0,115.0,4.2,103.5,0
1880247,6.8,116.1,3.96,149.0,1
1880248,19.4,125.7,4.15,99.1,0
1880249,11.1,131.3,5.79,114.3,1
1880250,12.8,124.2,3.62,86.7,0
1880251,11.4,127.4,4.73,121.0,1
1880252,15.2,164.2,4.9,100.6,1
1880253,9.0,153.0,6.06,129.0,1
1880254,14.8,137.4,4.08,122.7,1
1880255,15.9,137.0,6.76,131.2,1
1880256,8.9,114.8,5.23,130.9,0
1880257,7.0,89.7,4.43,109.1,0
1880258,16.1,90.4,6.2,118.2,0
1880259,9.7,105.0,4.96,94.1,0
1880260,16.5,144.9,5.24,136.5,1
1880261,7.9,121.4,4.24,149.3,1
1880262,3.3,163.4,3.88,131.8,0
1880263,17.4,100.0,5.67,121.9,1
1880264,17.9,119.0,4.47,116.1,1
1880265,11.6,117.0,5.18,106.8,0
1880266,14.0,118.8,5.08,178.7,1
1880267,12.3,139.0,4.8,111.0,0
1880268,14.0,117.9,5.37,158.2,1
1880269,20.5,80.6,4.13,91.3,0
1880270,10.1,154.8,3.4,70.9,0
1880271,7.6,169.9,7.15,83.1,1
1880272,7.3,159.7,4.46,162.9,1
1880273,9.7,108.0,4.92,73.9,0
1880274,14.0,81.3,5.71,148.0,0
1880275,19.6,118.8,2.3,88.4,0
1880276,9.8,151.0,4.61,129.1,1
1880277,13.3,132.8,5.43,96.3,0
1880278,17.5,131.6,5.24,111.9,0
1880279,18.3,121.7,5.04,181.3,0
1880280,8.3,163.8,5.52,132.0,1
1880281,2.1,102.0,2.99,120.1,0
1880282,9.5,87.3,3.63,113.2,0
1880283,11.8,144.7,5.3,159.8,1
1880284,11.5,126.1,3.05,114.4,0
1880285,13.1,142.7,5.08,139.4,0
1880286,11.1,94.1,5.43,94.3,1
1880287,3.8,117.1,4.72,132.1,0
1880288,23.0,96.1,5.58,115.9,0
1880289,8.1,125.7,4.09,149.6,1
1880290,9.3,127.8,5.66,90.3,0
1880291,10.0,102.1,3.81,132.3,1
1880292,3.5,125.8,5.11,124.4,1
1880293,18.0,101.2,5.13,130.7,0
1880294,21.4,79.1,3.67,123.4,1
1880295,3.5,124.2,3.31,89.0,0
1880296,16.5,140.9,5.89,115.0,1
1880297,1.4,117.7,5.2,109.9,1
1880298,21.4,149.9,5.43,89.1,1
1880299,11.3,122.8,5.15,117.4,0
1880300,15.1,57.7,3.58,55.7,0
1880301,6.5,114.9,4.57,112.3,0
1880302,15.3,160.8,2.24,130.5,1
1880303,15.6,149.5,4.06,123.6,1
1880304,4.9,120.7,4.84,123.2,0
1880305,16.2,120.2,5.0,100.3,0
1880306,15.9,103.7,7.29,147.3,1
1880307,16.8,139.9,4.24,115.5,1
1880308,17.1,98.8,5.53,87.6,0
1880309,3.3,95.6,4.86,123.9,0
1880310,18.3,167.5,6.34,154.3,1
1880311,12.0,108.0,2.62,134.1,1
1880312,14.0,150.7,4.69,111.2,0
1880313,6.9,148.1,4.89,182.1,1
1880314,13.6,112.5,5.24,129.8,0
1880315,10.1,132.1,3.33,144.7,1
1880316,14.9,104.7,5.76,110.5,0
1880317,6.6,115.3,3.34,132.3,0
1880318,19.7,173.7,5.27,135.5,1
1880319,8.8,110.2,4.11,129.4,0
1880320,9.0,108.0,2.92,95.2,0
1880321,23.9,132.2,2.98,114.6,0
1880322,13.4,101.2,4.39,113.5,0
1880323,13.6,121.3,4.07,114.1,1
1880324,10.3,120.3,6.7,157.1,1
1880325,10.9,179.2,3.99,136.4,1
1880326,16.4,84.3,3.57,96.0,0
1880327,14.3,104.9,3.4,143.2,0
1880328,9.6,155.1,5.24,141.0,1
1880329,15.2,153.6,5.13,70.4,0
1880330,19.0,74.2,3.99,76.3,0
1880331,6.9,118.5,4.04,84.6,0
1880332,11.2,,5.55,138.0,1
1880333,5.2,82.5,5.33,88.1,0
1880334,20.8,109.6,4.85,124.4,0
1880335,17.7,127.0,5.21,105.3,0
1880336,10.3,109.7,6.34,151.4,0
1880337,17.0,96.5,5.09,123.8,0
1880338,7.2,112.4,4.18,83.2,0
1880339,3.1,176.1,7.25,121.4,1
1880340,11.8,88.6,5.11,76.5,0
1880341,19.0,164.2,5.19,115.5,1
1880342,11.6,79.7,4.97,109.8,0
1880343,13.1,124.7,5.04,44.2,1
1880344,8.9,129.9,3.17,125.2,0
1880345,12.2,127.6,3.78,142.2,1
1880346,11.6,84.7,3.82,141.7,0
1880347,11.9,158.6,3.9,99.1,0
1880348,14.8,109.8,3.22,131.5,0
1880349,6.3,119.8,3.2,121.6,0
1880350,17.4,97.1,5.12,134.8,0
1880351,14.6,119.6,5.17,146.2,0
1880352,11.2,136.9,5.86,111.5,0
1880353,10.7,167.0,4.03,162.7,0
1880354,11.3,111.3,4.62,128.2,0
1880355,11.2,60.6,4.72,172.5,0
1880356,1.2,133.3,3.0,85.4,0
1880357,10.0,84.9,4.84,79.8,1
1880358,18.0,116.6,4.24,150.5,0
1880359,11.5,123.1,2.54,157.7,1
1880360,13.3,123.2,3.55,61.2,0
1880361,10.4,120.9,3.57,167.4,1
1880362,5.5,105.9,3.1,142.5,1
1880363,1.0,107.7,4.01,66.6,0
1880364,13.5,166.7,4.58,115.4,1
1880365,20.7,102.9,4.85,101.5,0
1880366,14.0,100.1,2.93,102.8,0
1880367,19.6,117.1,4.11,145.9,1
1880368,11.0,112.1,4.22,154.7,1
1880369,21.2,122.0,3.48,174.1,1
1880370,16.6,125.4,4.96,85.7,0
1880371,22.0,157.8,4.55,145.0,1
1880372,7.8,75.2,4.74,132.0,0
1880373,23.0,128.4,7.62,95.4,1
1880374,9.4,97.1,3.88,105.9,0
1880375,15.6,107.0,6.57,73.8,0
1880376,13.4,160.0,4.83,113.9,0
1880377,12.2,98.9,5.68,191.2,1
1880378,12.0,64.5,5.84,106.4,1
1880379,4.4,107.2,4.59,158.9,1
1880380,5.9,105.7,3.67,96.0,0
1880381,14.7,167.1,4.89,113.5,1
1880382,15.6,99.3,3.78,115.1,0
1880383,13.9,147.9,5.32,154.0,1
1880384,17.9,109.5,5.61,119.2,1
1880385,15.2,117.3,3.84,157.0,1
1880386,3.7,115.5,3.22,102.7,1
1880387,21.7,153.4,2.82,91.2,0
1880388,20.3,116.6,5.7,79.8,1
1880389,8.4,131.0,5.0,109.9,0
1880390,14.9,90.0,3.01,78.1,0
1880391,15.6,143.8,5.57,91.6,0
1880392,10.9,122.6,4.82,151.3,1
1880393,12.2,50.3,5.77,90.2,0
1880394,10.5,161.4,2.44,123.3,0
1880395,13.3,151.3,4.75,133.1,1
1880396,13.7,132.3,2.83,182.7,1
1880397,11.9,118.5,5.47,121.5,1
1880398,7.4,130.5,6.16,139.1,0
1880399,9.9,71.3,3.68,111.8,0
1880400,15.6,124.4,2.77,101.5,1
1880401,9.5,78.6,5.32,131.9,0
1880402,12.4,99.8,6.16,147.7,0
1880403,13.3,174.2,2.38,121.2,1
1880404,14.7,87.8,4.69,126.9,0
1880405,11.7,108.1,3.57,116.4,0
1880406,10.8,156.0,4.11,121.4,1
1880407,14.6,114.4,6.25,142.3,1
1880408,11.9,130.5,4.07,110.6,0
1880409,15.4,137.9,6.19,149.2,0
1880410,12.3,120.8,3.41,138.1,0
1880411,9.5,132.7,5.0,91.7,0
1880412,19.2,127.8,3.52,135.7,1
1880413,9.7,111.0,5.41,126.4,0
1880414,10.3,126.6,6.21,139.2,1
1880415,2.4,130.6,6.48,116.0,1
1880416,12.0,204.3,5.22,112.4,1
1880417,11.4,152.7,2.76,120.7,0
1880418,22.0,70.9,3.71,57.7,0
1880419,6.8,159.6,3.95,111.7,1
1880420,15.4,84.8,4.25,120.7,0
1880421,14.5,84.4,2.05,165.3,1
1880422,16.4,122.4,4.22,118.8,0
1880423,19.7,152.8,5.56,137.8,1
1880424,16.3,180.4,4.98,174.4,1
1880425,4.6,160.6,4.5,136.1,1
1880426,13.3,101.6,3.72,145.2,0
1880427,11.0,104.2,4.07,102.5,1
1880428,12.2,72.9,5.98,225.6,1
1880429,10.7,106.0,4.19,105.8,0
1880430,20.8,131.0,5.09,121.8,1
1880431,11.0,101.5,4.6,110.1,1
1880432,13.4,90.8,5.59,165.5,1
1880433,13.9,103.3,4.1,92.8,1
1880434,14.0,90.9,2.64,103.6,0
1880435,8.1,141.6,1.65,134.6,0
1880436,27.9,97.8,6.01,109.0,0
1880437,10.3,,5.64,132.5,0
1880438,25.7,92.6,5.03,118.8,0
1880439,16.3,187.6,3.81,41.2,1
1880440,8.9,116.8,5.13,120.7,1
1880441,11.3,182.0,5.47,193.5,1
1880442,6.3,116.2,1.75,115.5,1
1880443,16.1,188.8,4.32,58.5,1
1880444,22.0,182.4,5.14,99.1,1
1880445,13.8,103.0,5.53,99.5,0
1880446,3.9,146.0,3.38,84.9,0
1880447,9.5,96.5,5.34,146.0,0
1880448,11.0,134.9,3.05,110.1,1
1880449,13.7,151.0,5.85,86.9,1
1880450,17.3,143.6,5.55,197.3,1
1880451,13.0,102.8,5.04,120.9,0
1880452,8.2,152.9,5.75,160.3,1
1880453,6.6,139.0,4.96,160.4,1
1880454,14.4,131.4,4.21,94.6,1
1880455,9.8,95.0,4.2,119.5,0
1880456,7.3,161.9,5.53,100.4,1
1880457,7.4,99.9,4.34,108.7,1
1880458,17.9,118.8,3.09,106.3,1
1880459,18.2,179.7,3.2,100.2,1
1880460,12.2,135.3,3.18,66.7,0
1880461,5.4,96.3,5.88,118.4,0
1880462,14.6,137.6,4.75,96.4,0
1880463,11.0,134.4,4.14,122.6,1
1880464,21.4,119.1,3.07,61.2,0
1880465,19.5,130.7,5.15,101.5,0
1880466,14.3,135.2,4.53,71.9,0
1880467,17.3,128.6,4.67,131.6,1
1880468,6.5,120.5,3.55,143.6,1
1880469,5.5,115.2,4.08,136.0,0
1880470,9.0,153.5,7.53,125.3,1
1880471,14.7,155.4,4.52,125.0,1
1880472,7.0,128.0,4.77,140.8,1
1880473,6.6,170.9,5.27,137.8,1
1880474,6.9,150.2,2.63,122.0,1
1880475,18.5,97.3,3.76,155.9,0
1880476,16.3,71.2,5.2,101.2,1
1880477,11.3,139.9,3.53,95.4,1
1880478,10.5,120.4,5.59,127.0,1
1880479,10.7,113.0,4.55,171.9,1
1880480,13.5,101.2,5.26,108.4,0
1880481,16.3,121.3,6.59,121.9,0
1880482,13.7,156.5,6.04,141.5,0
1880483,9.1,129.4,6.06,93.9,0
1880484,18.2,163.8,4.58,133.6,1
1880485,5.5,149.9,5.44,172.5,1
1880486,15.7,101.3,4.23,98.4,0
1880487,15.9,88.1,5.51,74.9,0
1880488,12.6,121.3,4.86,96.8,0
1880489,12.4,129.6,2.43,155.9,1
1880490,20.6,,3.31,95.1,0
1880491,14.0,165.9,4.11,167.9,1
1880492,13.9,,4.52,103.6,1
1880493,16.4,95.3,6.77,128.3,0
1880494,21.0,75.2,3.97,123.4,0
1880495,12.8,87.1,2.52,97.6,0
1880496,14.3,86.7,3.93,112.2,0
1880497,4.6,55.8,2.63,128.7,0
1880498,12.8,82.6,5.65,139.7,1
1880499,11.1,154.9,2.54,70.3,1
1880500,12.3,146.0,5.11,111.6,1
1880501,20.6,130.8,1.75,148.8,1
1880502,18.7,81.9,3.7,111.0,0
1880503,13.2,111.0,2.73,71.2,0
1880504,13.6,37.5,5.08,138.9,0
1880505,9.6,167.4,3.88,107.6,1
1880506,5.3,123.4,3.17,148.6,1
1880507,23.7,153.1,4.42,87.0,1
1880508,11.4,175.5,5.13,91.3,1
1880509,22.9,97.3,3.03,89.6,1
1880510,1.0,138.2,4.39,110.3,0
1880511,13.8,137.1,4.36,143.1,1
1880512,19.0,86.6,5.09,103.1,1
1880513,24.4,150.1,4.29,173.2,0
1880514,8.9,168.6,3.78,82.1,1
1880515,18.4,141.6,3.88,97.3,0
1880516,9.4,125.2,5.24,81.1,1
1880517,6.8,109.3,3.75,162.4,1
1880518,7.3,83.8,4.16,170.3,0
1880519,19.7,77.2,4.33,109.0,0
1880520,5.8,97.7,3.3,105.8,0
1880521,11.9,141.3,5.97,142.1,0
1880522,6.5,131.3,5.66,139.5,1
1880523,11.0,123.6,5.74,129.8,1
1880524,18.1,130.3,5.05,70.9,0
1880525,12.1,124.3,5.02,112.7,1
1880526,14.0,153.1,2.91,127.5,1
1880527,10.9,187.6,4.57,111.4,1
1880528,2.8,107.9,3.23,155.0,1
1880529,8.6,142.1,2.7,169.7,0
1880530,15.0,107.7,3.02,99.2,0
1880531,11.5,104.2,4.7,165.0,1
1880532,1.0,180.6,3.66,152.4,1
1880533,7.4,148.1,5.09,92.4,0
1880534,21.0,94.7,3.34,139.7,0
1880535,12.7,75.0,3.94,200.0,1
1880536,3.7,127.0,6.53,128.3,1
1880537,14.4,167.0,2.93,71.1,1
1880538,4.1,155.9,5.31,111.0,0
1880539,3.6,154.5,3.87,129.8,1
1880540,18.7,94.8,4.27,163.3,0
1880541,21.0,127.0,4.36,62.0,0
1880542,10.5,132.5,3.57,70.2,0
1880543,13.3,154.8,6.46,139.2,1
1880544,13.3,66.6,6.36,97.8,1
1880545,14.0,103.7,4.23,127.2,0
1880546,18.8,138.5,4.54,165.1,1
1880547,12.9,103.5,4.04,184.1,1
1880548,12.3,122.3,3.75,145.1,1
1880549,6.1,128.4,2.51,120.1,0
1880550,3.8,156.8,1.41,90.8,0
1880551,3.2,114.9,2.28,112.2,0
1880552,12.9,123.3,4.57,111.6,0
1880553,17.1,125.7,2.67,157.3,0
1880554,9.3,75.9,5.1,112.6,0
1880555,19.4,151.2,5.15,104.4,1
1880556,13.2,84.1,3.8,111.4,0
1880557,6.2,112.1,5.8,102.7,0
1880558,11.5,98.8,4.72,34.3,0
1880559,16.5,143.6,5.06,139.4,1
1880560,8.3,95.9,5.97,110.4,1
1880561,25.8,129.7,2.4,74.3,0
1880562,18.0,118.9,3.38,134.6,1
1880563,4.2,142.2,6.43,91.8,0
1880564,11.9,121.9,3.63,92.7,1
1880565,18.3,74.2,4.21,142.9,1
1880566,5.8,119.3,5.68,105.8,0
1880567,12.9,151.6,3.8,96.1,1
1880568,8.0,111.9,2.08,99.6,0
1880569,12.1,131.7,4.35,128.6,1
1880570,12.1,174.3,3.78,104.2,0
1880571,13.5,133.1,4.69,113.7,1
1880572,14.6,155.5,5.69,129.9,0
1880573,17.5,132.2,5.85,99.5,0
1880574,8.6,107.6,3.02,76.9,1
1880575,12.3,72.6,3.73,117.7,0
1880576,20.0,98.1,4.36,113.7,0
1880577,19.4,115.8,3.27,60.5,0
1880578,24.2,108.8,5.57,109.6,0
1880579,14.3,162.5,4.6,120.3,1
1880580,13.0,134.7,4.17,106.8,1
1880581,8.2,153.0,5.26,118.6,1
1880582,2.5,112.6,3.29,114.9,0
1880583,17.1,115.5,4.8,45.9,1
1880584,11.6,110.8,6.49,120.2,1
1880585,13.0,92.4,3.48,156.7,1
1880586,12.4,139.8,4.66,153.8,1
1880587,12.3,124.5,5.01,82.5,0
1880588,12.3,119.3,3.18,85.6,1
1880589,12.9,190.1,4.27,107.0,1
1880590,16.6,118.0,4.32,195.5,1
1880591,4.1,162.4,2.96,65.7,1
1880592,16.4,109.5,5.12,166.6,0
1880593,19.0,149.2,2.96,120.1,1
1880594,20.5,109.5,3.42,157.9,1
1880595,6.0,113.3,5.48,122.4,0
1880596,17.5,161.0,3.5,119.4,1
1880597,10.3,130.3,4.88,126.3,1
1880598,9.6,143.9,4.5,92.6,0
1880599,11.1,140.0,4.11,159.7,1
1880600,15.5,73.4,3.77,98.2,1
1880601,8.4,68.4,3.7,153.6,1
1880602,4.9,188.4,6.48,78.8,0
1880603,20.2,113.5,4.37,127.4,1
1880604,10.0,37.4,4.4,164.4,0
1880605,15.5,105.5,5.03,173.6,1
1880606,9.2,124.2,3.5,114.4,0
1880607,23.7,123.8,6.11,127.9,0
1880608,5.4,164.4,3.76,130.0,1
1880609,6.2,164.1,3.67,132.8,1
1880610,15.5,98.7,4.83,114.7,1
1880611,1.3,55.6,3.46,72.6,0
1880612,17.7,111.2,4.08,32.1,0
1880613,11.5,100.2,6.41,100.4,0
1880614,19.2,150.1,5.23,130.0,1
1880615,22.1,119.0,1.61,106.7,0
1880616,7.7,124.6,4.55,91.6,1
1880617,8.9,97.4,4.46,133.0,1
1880618,13.2,99.5,5.01,118.0,1
1880619,19.4,133.5,4.8,122.4,1
1880620,7.1,131.9,3.8,168.1,1
1880621,20.4,141.7,5.66,123.4,1
1880622,15.3,102.2,4.39,84.6,0
1880623,18.8,96.5,4.63,169.4,1
1880624,7.7,136.2,5.51,83.0,1
1880625,5.8,123.0,4.49,202.7,1
1880626,9.7,158.8,5.15,112.3,0
1880627,11.1,142.8,5.03,86.9,0
1880628,16.3,141.5,3.7,141.3,1
1880629,8.9,114.0,5.86,135.5,1
1880630,19.2,129.1,4.25,114.0,1
1880631,15.9,163.4,4.11,160.9,1
1880632,2.0,96.5,4.04,178.6,0
