RespondentID,Country,YearsCode,Employment,Salary,PrimaryLanguage
300185,India,7,Employed full-time,66023,JavaScript
300186,Canada,9,Employed full-time,72134,Java
300187,US,19,Employed full-time,108115,JavaScript
300188,UK,7,Employed full-time,76604,Go
300189,US,17,Employed full-time,103932,Java
300190,India,14,Employed full-time,72659,JavaScript
300191,India,16,Employed full-time,88683,Rust
300192,US,1,Employed full-time,42615,Python
300193,Germany,10,Employed full-time,83374,Java
300194,US,5,Employed full-time,50962,JavaScript
300195,UK,14,Employed full-time,82803,Java
300196,India,8,Employed full-time,74685,Go
300197,Canada,1,Employed full-time,39777,Python
300198,US,3,Employed full-time,38835,Python
300199,Korea,12,Employed full-time,98106,Go
300200,US,1,Employed full-time,43140,Python
300201,India,12,Employed full-time,88357,JavaScript
300202,UK,1,Employed full-time,43606,JavaScript
300203,US,9,Employed full-time,70038,JavaScript
300204,US,11,Independent contractor,81365,Java
300205,Canada,7,Independent contractor,62865,JavaScript
300206,US,7,Employed full-time,81398,Python
300207,Germany,1,Employed full-time,39561,JavaScript
300208,UK,5,Independent contractor,61037,JavaScript
300209,US,20,Employed full-time,113528,Java
300210,UK,4,Employed full-time,62200,Python
300211,US,3,Not employed,37605,Java
300212,Germany,2,Employed full-time,51904,Python
300213,Germany,18,Employed full-time,113759,Rust
300214,US,6,Employed full-time,45461,Python
300215,Canada,4,Employed full-time,46721,Python
300216,UK,20,Employed full-time,115726,C++
300217,Germany,9,Employed full-time,82393,Go
300218,US,17,Employed full-time,90768,Java
300219,Canada,14,Employed full-time,101725,Java
300220,Germany,19,Employed full-time,108860,C++
300221,India,5,Employed full-time,67964,Python
300222,India,7,Employed full-time,84840,Go
300223,Germany,3,Employed full-time,53674,Rust
300224,US,17,Employed full-time,123909,Rust
300225,Germany,9,Employed full-time,85182,Rust
300226,UK,16,Employed full-time,100544,JavaScript
300227,US,10,Employed full-time,66459,JavaScript
300228,India,3,Employed full-time,46919,Java
300229,US,3,Employed full-time,64368,Go
300230,Canada,10,Employed full-time,62467,Python
300231,US,16,Employed full-time,91788,Python
300232,India,15,Not employed,81947,Python
300233,US,8,Employed full-time,69792,Java
300234,US,9,Employed full-time,75738,JavaScript
300235,India,14,Employed full-time,93917,JavaScript
300236,US,5,Employed full-time,51419,C++
300237,US,6,Employed full-time,58633,JavaScript
300238,UK,2,Employed full-time,46099,Java
300239,US,3,Employed full-time,66706,Python
300240,US,4,Independent contractor,56523,JavaScript
300241,India,14,Employed full-time,99680,Go
300242,Canada,19,Independent contractor,100861,JavaScript
300243,US,5,Employed full-time,65403,Java
300244,US,1,Employed full-time,56625,Java
300245,Germany,9,Employed full-time,68896,JavaScript
300246,India,19,Employed full-time,101567,Python
300247,India,19,Employed full-time,112012,C++
300248,US,14,Employed full-time,75683,JavaScript
300249,India,19,Employed full-time,117115,JavaScript
300250,Germany,7,Employed full-time,56516,Java
300251,India,14,Employed full-time,100080,Rust
300252,Germany,13,Employed full-time,76627,Python
300253,India,20,Employed full-time,108467,Python
300254,Germany,17,Employed full-time,98637,Java
300255,Korea,5,Employed full-time,51086,JavaScript
300256,US,15,Independent contractor,106690,C++
300257,Korea,10,Employed full-time,67689,JavaScript
300258,US,1,Employed full-time,43894,JavaScript
300259,India,15,Independent contractor,95883,JavaScript
300260,Germany,2,Employed full-time,36960,JavaScript
300261,Korea,3,Employed full-time,41665,Python
300262,UK,20,Employed full-time,91579,Python
300263,US,19,Employed full-time,104504,JavaScript
300264,Korea,1,Employed full-time,44418,JavaScript
300265,US,1,Employed full-time,45877,Java
300266,Canada,11,Employed full-time,77567,Python
300267,India,14,Employed full-time,89552,Rust
300268,Canada,20,Employed full-time,114300,JavaScript
300269,India,3,Employed full-time,50123,C++
300270,US,18,Employed full-time,119459,Go
300271,Canada,1,Employed full-time,34532,Python
300272,Germany,3,Not employed,45744,Python
300273,Korea,12,Employed full-time,85412,C++
300274,US,18,Employed full-time,96065,Python
300275,US,18,Employed full-time,112728,Python
300276,UK,1,Employed full-time,49927,JavaScript
300277,Germany,3,Employed full-time,64322,Go
300278,Germany,15,Employed full-time,84769,JavaScript
300279,Canada,4,Employed full-time,52033,C++
300280,US,7,Employed full-time,66834,Python
300281,India,12,Independent contractor,90211,Java
300282,UK,1,Independent contractor,37607,JavaScript
300283,US,9,Employed full-time,60047,Python
300284,India,13,Employed full-time,106621,Rust
300285,India,8,Employed full-time,83337,Go
300286,UK,2,Employed full-time,76335,Rust
300287,India,17,Employed full-time,106454,Python
300288,US,2,Employed full-time,41647,Java
300289,India,1,Employed full-time,39960,C++
300290,UK,13,Employed full-time,90607,JavaScript
300291,US,1,Employed full-time,44713,Rust
300292,India,12,Employed full-time,83149,Python
300293,UK,8,Employed full-time,76497,Go
300294,India,5,Employed full-time,63557,C++
300295,Germany,19,Independent contractor,101222,Java
300296,India,15,Employed full-time,91747,Java
300297,Germany,16,Independent contractor,85659,Python
300298,US,17,Employed full-time,110083,Python
300299,UK,12,Employed full-time,79356,C++
300300,UK,20,Employed full-time,107332,JavaScript
300301,US,3,Employed full-time,53851,Python
300302,US,16,Employed full-time,113026,Go
300303,India,2,Employed full-time,51496,C++
300304,India,16,Employed full-time,93107,JavaScript
300305,India,12,Employed full-time,91356,Java
300306,US,6,Independent contractor,85246,Go
300307,UK,19,Employed full-time,109421,Go
300308,US,10,Independent contractor,101246,C++
300309,Canada,4,Employed full-time,53242,C++
300310,US,10,Employed full-time,90710,Python
300311,US,7,Not employed,70758,Python
300312,US,12,Employed full-time,86271,Python
300313,Germany,7,Employed full-time,66354,Python
300314,Germany,15,Employed full-time,97068,Python
300315,India,16,Employed full-time,99743,Python
300316,India,2,Employed full-time,34907,Java
300317,UK,19,Employed full-time,103584,Python
300318,India,15,Employed full-time,103204,Rust
300319,US,19,Employed full-time,105963,Python
300320,India,12,Employed full-time,92484,Rust
300321,US,14,Employed full-time,88236,Python
300322,US,15,Employed full-time,90463,JavaScript
300323,India,2,Employed full-time,39352,Java
300324,Germany,12,Employed full-time,86107,Python
300325,India,4,Employed full-time,69160,Python
300326,Canada,2,Employed full-time,44622,Java
300327,India,15,Employed full-time,90875,C++
300328,UK,15,Employed full-time,99708,Python
300329,India,9,Employed full-time,73570,JavaScript
300330,India,10,Not employed,68317,Python
300331,Germany,11,Employed full-time,82384,C++
300332,India,13,Employed full-time,87341,Python
300333,US,16,Not employed,109871,Java
300334,US,17,Not employed,105516,Python
300335,Germany,7,Employed full-time,64312,Java
300336,US,16,Employed full-time,99462,JavaScript
300337,India,5,Employed full-time,56766,Python
300338,US,3,Employed full-time,72656,Python
300339,UK,12,Employed full-time,92340,Rust
300340,India,10,Employed full-time,65708,Java
300341,US,10,Employed full-time,70411,C++
300342,India,12,Employed full-time,88508,Python
300343,Canada,5,Employed full-time,56471,JavaScript
300344,Canada,19,Employed full-time,105586,JavaScript
300345,Canada,1,Independent contractor,56003,JavaScript
300346,India,20,Employed full-time,107525,JavaScript
300347,Korea,8,Employed full-time,58576,Python
300348,US,16,Employed full-time,86073,JavaScript
300349,US,5,Employed full-time,55625,Python
300350,India,12,Employed full-time,83513,JavaScript
300351,US,7,Employed full-time,68531,Java
300352,Korea,6,Employed full-time,81358,Go
300353,India,19,Employed full-time,116724,JavaScript
300354,US,6,Employed full-time,64298,Java
300355,India,19,Employed full-time,118459,Python
300356,UK,11,Employed full-time,87102,Rust
300357,US,3,Employed full-time,70439,Rust
300358,India,20,Employed full-time,119206,Java
300359,US,1,Independent contractor,30089,C++
300360,UK,5,Employed full-time,53376,Python
300361,US,3,Employed full-time,43300,Python
300362,US,19,Employed full-time,113504,Java
300363,Germany,7,Not employed,73076,Java
300364,US,13,Employed full-time,80314,Python
300365,India,8,Employed full-time,91915,Java
300366,US,9,Independent contractor,65319,JavaScript
300367,Germany,16,Not employed,117563,C++
300368,Germany,19,Employed full-time,111292,Java
300369,US,18,Employed full-time,96208,C++
300370,India,2,Employed full-time,48484,Python
300371,US,16,Employed full-time,114335,Go
300372,Germany,6,Employed full-time,62214,Java
300373,UK,1,Employed full-time,44453,Python
300374,India,8,Employed full-time,55721,Java
300375,US,5,Employed full-time,75934,Rust
300376,US,1,Employed full-time,44983,JavaScript
300377,India,10,Employed full-time,73379,Java
300378,India,11,Employed full-time,77315,Python
300379,India,4,Employed full-time,42345,JavaScript
300380,US,15,Employed full-time,107305,Go
300381,US,12,Employed full-time,87353,JavaScript
300382,Germany,12,Employed full-time,89677,Java
300383,UK,17,Employed full-time,120215,Go
300384,India,16,Employed full-time,95931,Python
300385,UK,6,Employed full-time,71037,Python
300386,US,14,Employed full-time,79217,JavaScript
300387,India,3,Employed full-time,48440,Python
300388,US,13,Employed full-time,66948,Python
300389,India,3,Independent contractor,51818,Python
300390,US,1,Employed full-time,54841,Python
300391,Germany,17,Employed full-time,112578,Go
300392,India,18,Employed full-time,112821,Python
300393,US,3,Not employed,43673,JavaScript
300394,Canada,8,Employed full-time,72288,Java
300395,US,1,Employed full-time,42139,C++
300396,India,20,Employed full-time,120303,Python
300397,Germany,4,Employed full-time,60437,JavaScript
300398,US,20,Employed full-time,107659,JavaScript
300399,US,6,Employed full-time,70708,Python
300400,US,15,Employed full-time,84266,Python
300401,Korea,20,Employed full-time,123831,Go
300402,Germany,8,Employed full-time,72721,JavaScript
300403,US,15,Employed full-time,88543,Python
300404,US,15,Employed full-time,84253,JavaScript
300405,Korea,18,Employed full-time,103342,JavaScript
300406,India,5,Not employed,69135,Go
300407,India,3,Employed full-time,40044,Python
300408,Canada,18,Employed full-time,106081,Python
300409,Germany,7,Employed full-time,79713,Python
300410,UK,6,Employed full-time,63856,Python
300411,US,2,Employed full-time,44487,Java
300412,US,5,Independent contractor,57282,JavaScript
300413,India,12,Not employed,78103,Python
300414,India,6,Employed full-time,53470,Java
300415,US,15,Employed full-time,95385,Python
300416,India,16,Employed full-time,99884,Java
300417,Germany,16,Employed full-time,102118,Go
300418,US,14,Employed full-time,83085,C++
300419,Korea,7,Employed full-time,72285,Java
300420,India,2,Employed full-time,47286,JavaScript
300421,US,10,Employed full-time,91307,Java
300422,US,16,Employed full-time,97131,Python
300423,UK,8,Employed full-time,67985,Java
300424,India,1,Not employed,39109,JavaScript
300425,US,3,Employed full-time,37011,Python
300426,India,8,Employed full-time,81482,C++
300427,Canada,10,Employed full-time,73938,Java
300428,US,17,Employed full-time,103316,Rust
300429,Germany,17,Employed full-time,97901,Java
300430,India,13,Employed full-time,78123,JavaScript
300431,US,15,Independent contractor,94209,Python
300432,Germany,5,Employed full-time,62118,JavaScript
300433,India,8,Employed full-time,69989,Python
300434,US,5,Employed full-time,74895,Go
300435,UK,13,Employed full-time,70369,Python
300436,UK,12,Employed full-time,74136,Python
300437,Germany,20,Employed full-time,100071,C++
300438,US,13,Employed full-time,81563,Python
300439,US,18,Employed full-time,120104,Go
300440,India,14,Independent contractor,88009,Python
300441,US,15,Employed full-time,87865,Java
300442,India,17,Employed full-time,97224,JavaScript
300443,Korea,6,Independent contractor,48574,Java
300444,Germany,2,Employed full-time,35918,JavaScript
300445,Canada,10,Employed full-time,89757,Go
300446,US,11,Employed full-time,86816,Rust
300447,Canada,16,Employed full-time,92507,C++
300448,US,9,Employed full-time,84589,Go
300449,US,12,Employed full-time,76237,Java
300450,US,15,Employed full-time,93865,Java
300451,US,11,Employed full-time,88101,JavaScript
300452,US,18,Employed full-time,103089,JavaScript
300453,US,12,Not employed,77406,Python
300454,Germany,19,Employed full-time,122244,Rust
300455,Canada,6,Employed full-time,77594,Rust
300456,US,9,Independent contractor,87122,Rust
300457,US,3,Employed full-time,40324,Java
300458,US,19,Employed full-time,125064,Python
300459,US,6,Employed full-time,51862,C++
300460,US,3,Employed full-time,48537,Python
300461,UK,1,Employed full-time,32987,Python
300462,US,20,Employed full-time,102244,Python
300463,Germany,14,Employed full-time,71540,C++
300464,UK,5,Independent contractor,60264,Python
300465,US,16,Employed full-time,102153,JavaScript
300466,India,2,Employed full-time,43008,Java
300467,US,18,Independent contractor,114168,Java
300468,US,17,Employed full-time,108544,Python
300469,Germany,18,Employed full-time,126050,Rust
300470,US,12,Employed full-time,98250,JavaScript
300471,US,20,Not employed,108706,C++
300472,US,2,Employed full-time,44441,Python
300473,India,19,Independent contractor,111792,Java
300474,UK,12,Employed full-time,97726,Python
300475,Canada,20,Employed full-time,95483,C++
300476,US,12,Employed full-time,81465,Go
300477,India,12,Independent contractor,71618,JavaScript
300478,UK,15,Employed full-time,105064,Python
300479,US,12,Employed full-time,82054,Java
300480,Canada,19,Employed full-time,96686,JavaScript
300481,US,2,Employed full-time,49034,JavaScript
300482,US,19,Employed full-time,117745,Python
300483,Germany,4,Employed full-time,70526,Python
300484,Canada,17,Employed full-time,96341,JavaScript
300485,US,16,Employed full-time,87439,JavaScript
300486,US,15,Employed full-time,105353,C++
300487,India,3,Employed full-time,60447,JavaScript
300488,India,18,Employed full-time,100887,JavaScript
300489,Canada,10,Employed full-time,97985,Rust
300490,Germany,15,Employed full-time,86254,JavaScript
300491,UK,20,Employed full-time,108496,C++
300492,US,8,Independent contractor,87494,Go
300493,US,10,Employed full-time,86119,C++
300494,India,18,Employed full-time,113522,JavaScript
300495,Germany,12,Employed full-time,87098,Rust
300496,Germany,9,Employed full-time,73604,Python
300497,US,15,Employed full-time,106112,Python
300498,US,2,Employed full-time,42848,Python
300499,Korea,1,Employed full-time,59715,JavaScript
300500,US,8,Employed full-time,58695,Python
300501,US,8,Employed full-time,77981,Java
300502,Germany,10,Employed full-time,68640,Java
300503,Korea,3,Employed full-time,55114,Python
300504,India,16,Employed full-time,91638,Java
300505,India,6,Employed full-time,60834,Python
300506,Germany,4,Employed full-time,32954,JavaScript
300507,India,16,Employed full-time,88467,Python
300508,India,7,Independent contractor,58080,Python
300509,India,6,Employed full-time,62497,Java
300510,US,20,Employed full-time,102097,JavaScript
300511,UK,2,Employed full-time,43971,Java
300512,US,10,Employed full-time,77600,C++
300513,US,11,Employed full-time,75411,C++
300514,Canada,15,Employed full-time,100472,Python
300515,US,18,Employed full-time,88208,Java
300516,India,9,Employed full-time,85488,Python
300517,Canada,5,Employed full-time,63046,Go
300518,US,4,Employed full-time,54430,Python
300519,UK,7,Independent contractor,74079,Go
300520,India,6,Independent contractor,56447,Python
300521,US,13,Employed full-time,80855,Python
300522,Canada,8,Employed full-time,69184,JavaScript
300523,India,7,Employed full-time,63643,Java
300524,Canada,12,Employed full-time,67713,Python
300525,Germany,15,Employed full-time,91993,JavaScript
300526,Germany,12,Employed full-time,69762,C++
300527,Korea,18,Employed full-time,92272,JavaScript
300528,India,2,Not employed,55923,JavaScript
300529,US,14,Employed full-time,77816,C++
300530,UK,6,Employed full-time,44628,C++
300531,US,10,Employed full-time,71065,JavaScript
300532,India,18,Independent contractor,123643,Go
300533,Germany,4,Employed full-time,41136,C++
300534,US,17,Independent contractor,104974,C++
300535,US,1,Employed full-time,45532,Python
300536,India,18,Employed full-time,108114,C++
300537,India,17,Employed full-time,115623,Go
300538,Canada,12,Employed full-time,84644,JavaScript
300539,Korea,12,Employed full-time,77160,C++
300540,US,12,Employed full-time,86545,JavaScript
300541,US,12,Independent contractor,87508,C++
300542,India,1,Employed full-time,47462,JavaScript
300543,Germany,3,Employed full-time,59774,C++
300544,Canada,1,Employed full-time,49913,Java
300545,India,6,Employed full-time,66862,C++
300546,UK,18,Employed full-time,106707,Python
300547,India,14,Employed full-time,89983,Java
300548,US,19,Employed full-time,110547,Python
300549,UK,19,Employed full-time,130036,Rust
300550,Canada,10,Employed full-time,87006,Java
300551,US,5,Employed full-time,48977,Java
300552,India,7,Employed full-time,75667,JavaScript
300553,Korea,15,Employed full-time,107263,JavaScript
300554,UK,5,Employed full-time,55248,Python
300555,UK,4,Employed full-time,59247,Go
300556,US,20,Employed full-time,117854,JavaScript
300557,Germany,5,Employed full-time,50942,Java
300558,US,8,Employed full-time,61880,JavaScript
300559,US,10,Employed full-time,70424,Python
300560,India,17,Employed full-time,92793,JavaScript
300561,US,17,Employed full-time,99474,Java
300562,US,4,Employed full-time,50284,Java
300563,US,18,Employed full-time,98626,Python
300564,Germany,9,Employed full-time,66296,JavaScript
300565,US,13,Employed full-time,100819,Rust
300566,India,19,Employed full-time,110973,JavaScript
300567,Germany,8,Employed full-time,62715,JavaScript
300568,Canada,6,Employed full-time,64817,JavaScript
300569,Germany,7,Employed full-time,69922,JavaScript
300570,US,16,Independent contractor,92462,JavaScript
300571,Germany,19,Employed full-time,121659,JavaScript
300572,Canada,17,Employed full-time,97796,C++
300573,US,7,Employed full-time,54639,Python
300574,Germany,12,Employed full-time,79296,JavaScript
300575,Canada,5,Employed full-time,80197,Python
300576,India,14,Employed full-time,84400,JavaScript
300577,Canada,1,Employed full-time,48278,Rust
300578,US,7,Employed full-time,90706,Go
300579,UK,12,Employed full-time,95980,Rust
300580,US,13,Independent contractor,84312,Python
300581,UK,5,Not employed,50256,Java
300582,UK,4,Employed full-time,57934,Python
300583,US,19,Employed full-time,94084,Java
300584,India,19,Employed full-time,112853,Go
300585,UK,6,Independent contractor,76884,Go
300586,US,17,Employed full-time,97096,C++
300587,US,16,Employed full-time,88407,Java
300588,India,1,Employed full-time,34022,JavaScript
300589,India,11,Employed full-time,92603,Go
300590,US,18,Employed full-time,97470,JavaScript
300591,Canada,11,Not employed,95098,Go
300592,US,8,Independent contractor,68844,Java
300593,Germany,16,Employed full-time,85393,Python
300594,US,1,Employed full-time,45285,Python
300595,US,6,Employed full-time,65073,JavaScript
300596,India,17,Employed full-time,104933,Java
300597,India,9,Not employed,69603,Python
300598,US,16,Employed full-time,101440,JavaScript
300599,US,12,Employed full-time,79089,C++
300600,US,11,Employed full-time,84354,Go
300601,Germany,12,Employed full-time,95652,Rust
300602,Germany,3,Employed full-time,50416,Java
300603,US,12,Employed full-time,85389,JavaScript
300604,US,3,Independent contractor,38394,Python
300605,US,16,Not employed,91454,C++
300606,Korea,12,Employed full-time,68624,C++
300607,US,19,Employed full-time,98445,Java
300608,India,13,Independent contractor,81519,Python
300609,UK,11,Employed full-time,88908,Go
300610,Germany,1,Employed full-time,23502,Python
300611,India,12,Employed full-time,74815,JavaScript
300612,US,13,Employed full-time,96506,Go
300613,UK,18,Employed full-time,107309,Python
300614,Canada,7,Employed full-time,79478,Python
300615,US,1,Employed full-time,43529,Java
300616,Germany,10,Employed full-time,71880,JavaScript
300617,Korea,14,Employed full-time,91018,Python
300618,India,8,Employed full-time,66664,Python
300619,Canada,20,Employed full-time,121706,Python
300620,UK,8,Employed full-time,73503,Python
300621,US,18,Employed full-time,114620,Python
300622,Canada,15,Employed full-time,101656,JavaScript
300623,US,6,Employed full-time,60793,JavaScript
300624,Germany,14,Employed full-time,107684,Go
300625,US,2,Employed full-time,35303,Java
300626,India,17,Employed full-time,97317,Java
300627,US,12,Employed full-time,92021,Python
300628,US,4,Employed full-time,47728,JavaScript
300629,US,17,Employed full-time,96686,JavaScript
300630,US,20,Employed full-time,112798,Java
300631,Canada,3,Independent contractor,53900,Go
300632,India,17,Independent contractor,119550,Rust
300633,UK,8,Employed full-time,52568,C++
300634,US,13,Employed full-time,78942,JavaScript
300635,US,14,Employed full-time,88410,JavaScript
300636,Germany,14,Employed full-time,81824,JavaScript
300637,India,13,Employed full-time,84913,Python
300638,India,20,Employed full-time,127275,Rust
300639,Korea,1,Employed full-time,34453,Java
300640,Germany,6,Employed full-time,53240,Python
300641,US,5,Employed full-time,70434,Java
300642,UK,11,Employed full-time,79645,JavaScript
300643,US,4,Employed full-time,71155,Rust
300644,Korea,20,Employed full-time,111952,JavaScript
300645,India,6,Independent contractor,58232,JavaScript
300646,India,2,Employed full-time,33087,Python
300647,Germany,12,Employed full-time,71221,JavaScript
300648,India,1,Employed full-time,48022,Java
300649,India,16,Employed full-time,119557,Go
300650,India,10,Independent contractor,75886,JavaScript
300651,India,11,Employed full-time,95777,Java
