MemberID,MembershipMonths,AvgWeeklyVisits,Age,Churned
300143,15,1.0,44,Yes
300144,25,1.2,49,No
300145,8,5.4,43,No
300146,16,6.4,41,No
300147,21,6.4,61,No
300148,25,3.9,56,No
300149,59,5.9,54,No
300150,42,2.5,44,No
300151,58,5.8,58,No
300152,25,3.1,66,No
300153,45,1.1,42,No
300154,44,6.5,50,No
300155,22,2.2,43,No
300156,14,2.1,33,No
300157,48,0.9,50,No
300158,9,4.3,43,No
300159,29,1.6,66,No
300160,7,3.1,35,No
300161,43,5.8,38,No
300162,15,3.6,19,No
300163,21,4.5,39,No
300164,17,3.4,45,No
300165,34,6.1,46,No
300166,37,1.5,65,No
300167,47,6.2,36,No
300168,34,3.6,58,No
300169,35,3.1,54,No
300170,25,5.1,31,No
300171,40,0.7,18,No
300172,26,2.4,68,No
300173,40,3.8,29,No
300174,22,3.2,49,No
300175,53,3.6,56,No
300176,43,0.8,55,No
300177,30,0.6,20,No
300178,12,3.9,39,No
300179,39,4.7,36,No
300180,19,4.1,24,No
300181,7,5.2,41,No
300182,58,4.5,69,No
300183,58,1.3,49,No
300184,35,4.0,66,No
300185,45,1.6,38,No
300186,27,5.5,36,No
300187,16,4.9,51,No
300188,35,1.1,67,No
300189,28,4.0,62,No
300190,13,6.1,23,No
300191,31,4.0,55,No
300192,23,3.9,40,No
300193,53,3.7,50,No
300194,23,2.7,18,No
300195,7,4.4,34,No
300196,30,1.4,47,No
300197,20,2.0,34,No
300198,37,0.7,56,No
300199,35,0.5,23,No
300200,44,1.7,46,No
300201,20,1.8,58,No
300202,55,0.6,25,No
300203,8,1.0,49,No
300204,58,3.9,28,No
300205,33,2.5,60,No
300206,57,1.5,41,No
300207,36,1.8,56,No
300208,8,4.7,36,No
300209,38,1.6,32,No
300210,4,3.0,58,No
300211,34,0.8,45,No
300212,39,2.6,62,No
300213,35,1.4,53,No
300214,11,4.2,22,No
300215,11,5.0,59,No
300216,33,4.5,24,No
300217,39,6.1,65,No
300218,36,4.5,51,No
300219,4,4.6,47,No
300220,19,5.0,27,No
300221,13,4.2,44,No
300222,28,3.4,28,No
300223,13,0.6,37,Yes
300224,46,5.2,49,No
300225,11,1.5,23,No
300226,10,2.8,31,No
300227,45,4.2,67,No
300228,20,1.1,20,No
300229,56,1.4,46,No
300230,34,2.4,40,No
300231,42,1.7,48,No
300232,12,2.4,25,No
300233,28,1.5,28,No
300234,39,5.6,51,No
300235,44,0.7,45,No
300236,46,4.3,20,No
300237,50,4.9,45,No
300238,54,2.1,48,No
300239,29,5.7,27,No
300240,35,1.7,65,No
300241,43,0.9,48,No
300242,50,3.6,61,No
300243,31,6.4,47,No
300244,31,2.1,66,No
300245,5,3.8,35,No
300246,30,4.1,56,No
300247,8,2.3,65,No
300248,20,2.1,29,No
300249,47,2.1,39,No
300250,5,0.6,41,Yes
300251,49,4.8,57,No
300252,34,5.8,62,No
300253,44,0.9,21,No
300254,18,2.7,19,No
300255,26,4.3,32,No
300256,25,4.1,55,No
300257,23,2.9,48,No
300258,10,4.6,35,No
300259,50,4.8,25,No
300260,15,3.6,34,No
300261,32,3.5,56,No
300262,25,5.8,61,No
300263,17,2.0,56,No
300264,17,3.1,44,No
300265,50,0.9,34,No
300266,4,4.5,31,No
300267,33,2.3,57,No
300268,19,6.0,41,No
300269,24,3.5,42,No
300270,41,2.2,42,No
300271,36,2.7,43,No
300272,24,4.8,59,No
300273,37,2.6,48,No
300274,4,2.4,55,No
300275,22,3.5,59,No
300276,24,1.0,38,Yes
300277,45,2.6,65,No
300278,50,6.2,36,No
300279,1,5.2,63,No
300280,22,5.4,42,No
300281,49,6.1,34,No
300282,5,2.4,30,Yes
300283,36,1.6,37,No
300284,6,4.2,67,No
300285,15,3.2,25,Yes
300286,37,4.7,30,No
300287,27,5.6,44,No
300288,42,3.0,67,No
300289,18,4.8,20,No
300290,9,3.6,58,No
300291,14,2.4,57,No
300292,1,5.0,56,No
300293,35,2.0,44,No
300294,29,4.0,45,No
300295,17,4.1,48,No
300296,25,1.1,45,No
300297,28,5.3,67,No
300298,16,4.1,58,No
300299,18,2.5,49,No
300300,47,1.0,40,No
300301,13,2.6,48,No
300302,47,5.4,61,No
300303,54,3.9,42,No
300304,46,5.0,69,No
300305,41,1.7,30,No
300306,1,6.2,38,No
300307,37,3.1,36,No
300308,4,3.1,36,No
300309,26,3.4,48,No
300310,3,1.9,60,Yes
300311,16,1.7,32,No
300312,40,1.8,44,No
300313,59,2.7,69,No
300314,47,5.7,21,No
300315,32,0.7,53,No
300316,27,1.0,39,Yes
300317,35,0.8,65,No
300318,17,2.8,63,No
300319,41,4.1,20,No
300320,40,1.4,51,No
300321,13,2.7,29,No
300322,25,4.1,66,No
300323,46,2.5,55,No
300324,31,4.7,67,No
300325,10,2.3,54,No
300326,27,2.7,55,No
300327,59,3.1,38,No
300328,5,4.2,49,No
300329,2,4.8,56,No
300330,25,4.1,57,No
300331,23,4.1,57,No
300332,13,2.5,65,No
300333,22,2.1,66,No
300334,8,5.6,49,No
300335,37,6.4,22,No
300336,43,6.2,65,No
300337,39,2.9,45,No
300338,7,0.7,41,Yes
300339,50,3.1,31,No
300340,42,4.5,29,No
300341,33,5.6,67,No
300342,33,3.6,48,No
300343,45,1.8,27,No
300344,50,1.7,53,No
300345,46,2.4,28,No
300346,51,5.9,51,No
300347,57,4.5,25,No
300348,8,1.5,21,Yes
300349,42,3.6,55,No
300350,54,1.5,54,No
300351,43,2.5,46,No
300352,54,1.2,25,No
300353,39,3.0,37,No
300354,36,6.4,52,No
300355,34,1.8,51,No
300356,30,5.3,23,No
300357,55,6.3,18,No
300358,24,1.2,19,No
300359,16,0.5,52,No
300360,18,2.0,43,No
300361,43,3.9,65,No
300362,24,1.5,43,No
300363,18,5.5,60,No
300364,32,4.5,32,No
300365,8,1.6,22,No
300366,11,3.0,46,No
300367,42,5.8,39,No
300368,20,4.9,51,No
300369,12,4.8,32,No
300370,31,5.9,36,No
300371,14,1.2,20,No
300372,1,4.5,28,No
300373,35,3.8,19,No
300374,51,3.7,48,No
300375,48,5.4,42,No
300376,36,6.1,54,No
300377,20,1.2,53,Yes
300378,45,5.4,67,No
300379,59,3.0,68,No
300380,14,4.9,44,No
300381,58,0.8,69,No
300382,51,3.0,63,No
300383,1,5.5,27,No
300384,21,2.3,57,No
300385,54,2.1,35,No
300386,57,2.2,26,No
300387,55,5.8,23,No
300388,59,5.5,19,No
300389,25,1.9,36,No
300390,6,3.2,31,No
300391,16,5.6,69,No
300392,56,3.3,66,No
300393,56,6.3,19,No
300394,32,2.9,67,No
300395,23,1.9,45,Yes
300396,8,4.7,50,No
300397,18,3.1,60,No
300398,2,2.1,40,No
300399,7,2.3,37,No
300400,31,6.3,40,No
300401,48,4.1,48,No
300402,25,5.4,58,No
300403,1,1.5,61,Yes
300404,30,1.6,62,No
300405,6,2.8,46,No
300406,30,2.9,54,No
300407,38,1.3,50,Yes
300408,25,1.1,29,No
300409,31,6.4,50,No
300410,1,2.4,29,Yes
300411,39,0.7,68,No
300412,24,0.6,43,No
300413,44,5.9,36,No
300414,1,4.4,32,No
300415,7,5.5,57,No
300416,45,2.3,24,No
300417,8,0.7,68,No
300418,52,5.0,22,No
300419,24,5.7,49,No
300420,33,3.4,36,No
300421,15,4.2,49,No
300422,22,2.6,35,No
300423,7,3.6,47,No
300424,46,1.8,46,No
300425,24,2.2,40,No
300426,38,2.0,56,No
300427,46,2.4,28,No
300428,26,0.9,42,No
300429,9,2.0,25,No
300430,3,2.4,66,No
300431,26,1.0,53,No
300432,33,1.0,49,No
300433,43,3.0,33,No
300434,26,5.9,33,No
300435,47,1.6,64,No
300436,27,0.6,61,Yes
300437,51,0.8,23,No
300438,19,4.9,66,No
300439,25,5.2,61,No
300440,24,2.2,65,No
300441,21,3.5,57,No
300442,51,5.0,51,No
300443,30,6.0,18,No
300444,17,5.1,58,No
300445,39,2.0,52,No
300446,7,6.3,47,No
300447,20,4.0,65,No
300448,48,3.6,31,No
300449,23,0.9,22,No
300450,34,4.4,49,No
300451,53,6.2,25,No
300452,40,5.9,20,No
300453,22,2.1,54,No
300454,34,6.2,60,No
300455,46,0.7,21,No
300456,46,4.9,53,No
300457,51,5.8,45,No
300458,54,4.2,41,No
300459,34,1.3,53,No
300460,31,1.8,41,No
300461,32,6.1,20,No
300462,25,2.2,24,No
300463,2,1.4,27,No
300464,42,4.5,55,No
300465,15,5.3,50,No
300466,3,4.3,25,No
300467,2,6.4,37,No
300468,17,4.9,48,No
300469,39,1.1,27,No
300470,22,4.6,28,No
300471,58,5.9,26,No
300472,24,4.0,59,No
300473,46,4.7,63,No
300474,48,1.0,38,No
300475,47,5.2,38,No
300476,41,2.4,18,No
300477,36,0.6,62,No
300478,41,6.4,42,No
300479,56,5.8,63,No
300480,49,6.1,47,No
300481,8,4.3,40,No
300482,28,2.9,29,No
300483,59,5.0,55,No
300484,46,1.2,57,No
300485,8,3.0,24,No
300486,29,1.3,63,Yes
300487,29,6.1,19,No
300488,41,4.6,50,No
300489,51,3.6,52,No
300490,9,0.6,55,Yes
300491,36,4.0,35,No
300492,21,6.1,44,No
300493,57,1.8,68,No
300494,46,2.8,54,No
300495,57,6.2,19,No
300496,22,6.2,42,No
300497,45,1.6,67,No
300498,10,5.6,42,No
300499,32,5.0,40,No
300500,6,4.8,44,No
300501,18,4.1,53,No
300502,3,2.9,38,Yes
300503,27,2.0,62,No
300504,6,3.7,29,No
300505,5,5.8,40,No
300506,2,2.1,50,No
300507,41,3.6,34,No
300508,28,5.7,61,No
300509,3,5.3,58,No
300510,48,2.0,29,No
300511,17,2.6,39,No
300512,32,5.7,35,No
300513,56,5.0,68,No
300514,34,0.6,37,No
300515,42,4.0,41,No
300516,35,3.3,62,No
300517,40,5.9,57,No
300518,19,5.0,18,No
300519,4,4.2,69,No
300520,26,5.7,58,No
300521,54,3.8,36,No
300522,41,1.8,18,No
300523,3,1.1,46,Yes
300524,18,0.6,53,No
300525,46,5.0,56,No
300526,44,4.3,60,No
300527,16,6.0,26,No
300528,9,1.3,62,Yes
300529,47,1.5,61,No
300530,55,3.8,40,No
300531,24,5.1,20,No
300532,19,5.9,62,No
300533,5,2.6,25,No
300534,34,4.3,45,No
300535,26,2.9,53,No
300536,9,2.7,25,No
300537,29,6.3,43,No
300538,31,1.1,57,No
300539,10,4.5,56,No
300540,27,4.5,63,No
300541,18,6.4,56,No
300542,26,1.2,64,No
300543,37,2.5,66,No
300544,4,6.4,32,No
300545,15,6.4,47,No
300546,22,0.6,19,No
300547,34,,35,No
300548,5,5.4,41,No
300549,6,0.9,68,No
300550,40,4.5,28,No
300551,3,3.7,54,No
300552,1,3.7,34,Yes
300553,10,6.4,68,No
300554,54,2.1,58,No
300555,6,2.6,57,No
300556,6,2.7,65,No
300557,26,2.1,62,No
300558,59,1.9,29,No
300559,24,2.4,45,No
300560,23,0.7,66,No
300561,35,3.9,29,No
300562,16,3.3,20,No
300563,24,3.9,38,No
300564,9,1.1,47,No
300565,32,3.0,33,No
300566,58,2.2,33,No
300567,49,3.1,45,No
300568,15,6.0,19,No
300569,43,0.8,64,No
300570,48,5.3,19,No
300571,55,5.4,65,No
300572,3,5.0,45,No
300573,45,2.3,57,No
300574,44,3.1,23,No
300575,47,1.2,30,No
300576,42,3.6,55,No
300577,51,3.0,19,No
300578,33,3.2,45,No
300579,51,5.2,69,No
300580,17,2.9,37,No
300581,23,2.4,36,No
300582,14,2.2,33,No
300583,7,2.2,25,No
300584,41,6.5,41,No
300585,18,3.5,53,No
300586,4,2.7,52,Yes
300587,2,2.3,53,Yes
300588,59,6.3,33,No
300589,34,5.7,45,No
300590,22,3.3,26,No
300591,27,2.0,59,No
300592,31,5.9,31,No
300593,9,5.1,34,No
300594,58,3.7,46,No
300595,39,3.1,29,No
300596,51,3.1,24,No
300597,14,4.9,33,No
300598,35,0.7,63,No
300599,11,6.2,28,No
300600,11,0.8,52,No
300601,48,3.9,34,No
300602,9,6.4,28,No
300603,43,5.6,45,No
300604,50,5.3,66,No
300605,36,3.4,26,No
300606,35,3.6,25,No
300607,39,4.0,59,No
300608,22,1.3,49,No
300609,23,5.9,20,No
300610,35,1.3,31,No
300611,29,1.4,19,No
300612,49,3.1,69,No
300613,31,5.1,47,No
300614,1,5.0,59,No
300615,48,5.4,27,No
300616,15,5.1,47,No
300617,35,5.2,59,No
300618,17,3.3,48,No
300619,39,,65,No
300620,49,0.9,52,No
300621,12,1.1,34,No
300622,41,6.3,62,No
300623,43,2.8,61,No
300624,39,3.8,52,No
300625,57,4.0,62,No
300626,52,2.1,18,No
300627,54,4.5,31,No
300628,9,1.3,55,Yes
300629,7,5.6,22,No
300630,59,4.8,40,No
300631,15,5.0,38,No
300632,14,1.1,28,Yes
300633,11,3.5,56,No
300634,28,,29,No
300635,54,5.8,38,No
300636,50,0.7,33,No
300637,47,,64,No
300638,53,3.2,47,No
300639,22,3.0,35,No
300640,27,0.6,25,Yes
300641,57,1.4,23,No
300642,38,4.5,37,No
300643,8,2.1,39,No
300644,24,4.9,42,No
300645,56,4.3,50,No
300646,51,2.9,60,No
300647,12,5.1,54,No
300648,56,5.8,51,No
300649,45,5.0,37,No
300650,22,4.6,52,No
300651,36,2.2,39,No
300652,44,0.8,52,No
300653,21,5.0,32,No
300654,3,5.9,63,No
300655,27,1.3,22,No
300656,40,6.2,41,No
300657,45,3.4,69,No
300658,4,2.9,25,No
300659,18,0.5,20,Yes
300660,27,2.5,62,No
300661,54,2.2,49,No
300662,29,1.7,34,No
300663,17,4.1,59,No
300664,40,5.0,51,No
300665,54,0.8,68,No
300666,52,2.8,65,No
300667,30,5.6,38,No
300668,23,5.9,25,No
300669,20,1.2,37,No
300670,30,1.6,36,No
300671,24,4.7,45,No
300672,5,6.4,46,No
300673,32,3.5,68,No
300674,24,4.8,42,No
300675,10,6.4,25,No
300676,34,6.4,56,No
300677,55,2.3,30,No
300678,35,2.9,66,No
300679,20,5.3,24,No
300680,44,3.6,43,No
300681,58,6.2,58,No
300682,42,4.6,66,No
300683,50,6.3,43,No
300684,16,5.2,59,No
300685,39,1.8,40,No
300686,4,3.8,51,No
300687,30,1.5,46,No
300688,21,0.6,35,Yes
300689,9,1.0,33,No
300690,43,2.0,60,No
300691,53,3.5,18,No
300692,40,0.6,26,Yes
300693,35,2.3,26,No
300694,10,2.2,68,No
300695,53,3.7,58,No
300696,56,5.5,21,No
300697,13,2.3,21,No
300698,22,5.2,50,No
300699,36,5.2,54,No
300700,5,4.5,53,No
300701,12,2.7,69,Yes
300702,9,6.5,55,No
300703,22,1.2,42,Yes
300704,24,4.4,20,No
300705,57,1.1,27,No
300706,39,6.2,22,No
300707,7,2.9,24,No
300708,2,5.7,59,No
300709,28,6.4,69,No
300710,49,1.3,53,No
300711,24,2.6,69,No
300712,5,6.1,38,No
300713,41,4.0,60,No
300714,3,1.7,52,Yes
300715,49,0.9,21,Yes
300716,8,3.7,55,No
300717,36,2.7,61,No
300718,29,5.0,23,No
300719,1,3.3,43,No
300720,39,5.7,32,No
300721,55,1.7,45,No
300722,19,1.1,53,No
300723,44,4.5,42,No
300724,29,6.0,49,No
300725,29,0.9,66,No
300726,4,6.3,53,No
300727,7,1.7,66,Yes
300728,27,5.0,23,No
300729,1,1.5,46,Yes
300730,53,3.2,24,No
300731,13,1.5,37,Yes
300732,6,4.6,42,No
300733,59,2.2,20,No
300734,19,2.1,19,No
300735,1,4.5,52,No
300736,21,5.5,54,No
300737,10,1.1,34,Yes
300738,18,2.2,66,No
300739,42,1.7,50,No
300740,3,6.0,30,No
300741,19,6.3,46,No
300742,47,4.4,65,No
300743,17,1.0,23,No
300744,6,6.1,68,No
300745,44,4.6,59,No
300746,49,6.1,29,No
300747,37,3.8,52,No
300748,15,4.4,39,No
300749,51,5.8,33,No
300750,58,2.4,40,No
300751,35,2.4,69,No
300752,58,2.9,52,No
300753,34,0.9,29,No
300754,49,2.3,60,No
300755,22,3.7,46,No
300756,41,6.0,18,No
300757,24,0.5,21,Yes
300758,16,1.8,59,No
300759,49,3.5,43,No
300760,59,4.0,56,No
300761,25,2.5,55,No
300762,37,3.4,33,No
300763,56,,40,No
300764,42,5.6,67,No
300765,1,3.0,46,No
300766,5,2.4,19,No
300767,59,,27,No
300768,34,3.5,27,No
300769,56,4.6,38,No
300770,16,4.5,46,No
300771,36,4.4,39,No
300772,10,4.3,65,No
300773,53,0.6,22,No
300774,11,4.5,68,No
300775,21,0.9,63,No
300776,49,4.0,41,No
300777,3,3.7,32,No
300778,4,1.5,69,Yes
300779,56,1.0,54,No
300780,13,5.9,37,No
300781,6,1.7,36,Yes
300782,15,4.0,60,No
300783,31,3.9,28,No
300784,5,3.6,62,No
300785,30,1.0,21,No
300786,16,1.9,31,No
300787,8,2.4,54,Yes
300788,13,2.9,22,No
300789,26,5.8,32,No
300790,39,3.8,53,No
300791,52,6.5,47,No
300792,24,2.6,19,No
300793,24,1.6,69,No
300794,42,4.7,57,No
300795,40,1.2,53,No
300796,41,5.4,59,No
300797,37,0.5,18,Yes
300798,44,5.3,21,No
300799,57,4.8,44,No
300800,37,2.0,64,No
300801,19,5.4,52,No
300802,39,5.3,20,No
300803,41,1.0,62,No
300804,4,3.8,21,No
300805,31,3.5,23,No
300806,33,0.8,43,No
300807,33,3.9,58,No
300808,10,3.7,69,No
300809,59,1.1,58,No
300810,57,1.2,65,No
300811,42,3.4,45,No
300812,47,3.6,39,No
300813,22,6.5,53,No
300814,29,1.5,67,No
300815,17,2.8,31,No
300816,58,2.9,61,No
300817,59,2.3,48,No
300818,6,5.5,51,No
300819,59,6.5,34,No
300820,29,5.3,53,No
300821,47,5.1,27,No
300822,8,1.4,25,Yes
300823,42,2.4,50,No
300824,24,4.8,28,No
300825,47,5.8,21,No
300826,46,1.8,53,No
300827,46,4.2,32,No
300828,6,2.7,60,No
300829,28,1.6,40,No
300830,38,0.7,26,No
300831,21,6.1,68,No
300832,1,1.8,19,Yes
300833,5,4.0,59,No
300834,25,3.4,48,No
300835,18,3.0,57,No
300836,9,6.2,22,No
300837,1,2.8,65,No
300838,9,2.3,35,No
300839,4,6.5,51,No
300840,35,4.5,48,No
300841,56,5.6,46,No
300842,18,5.8,48,No
300843,37,1.2,57,No
300844,51,1.8,31,No
300845,53,6.3,47,No
300846,11,0.6,50,No
300847,37,5.3,40,No
300848,27,5.7,19,No
300849,52,1.5,36,No
300850,2,3.5,20,Yes
300851,56,6.3,39,No
300852,44,5.4,41,No
300853,17,5.6,64,No
300854,58,5.7,31,No
300855,55,6.3,27,No
300856,57,5.4,26,No
300857,21,5.1,53,No
300858,32,2.3,59,No
300859,36,4.6,52,No
300860,21,0.8,48,No
300861,51,2.1,69,No
300862,15,,37,No
300863,36,5.5,20,No
300864,55,2.6,63,No
300865,10,6.2,51,No
300866,47,0.6,53,No
300867,35,5.6,65,No
300868,37,5.2,67,No
300869,30,5.9,32,No
300870,6,5.0,56,Yes
300871,4,1.1,20,No
300872,57,3.9,44,No
300873,34,3.2,60,No
300874,49,3.0,56,No
300875,20,5.8,41,No
300876,44,2.1,37,No
300877,58,1.8,21,No
300878,54,2.3,41,No
300879,23,1.1,22,No
300880,19,1.2,30,No
300881,28,4.9,62,No
300882,16,0.8,39,Yes
300883,55,4.0,54,No
300884,29,6.0,49,No
300885,2,2.1,24,No
300886,27,3.8,48,No
300887,15,1.6,57,No
300888,53,2.2,21,No
300889,11,1.4,43,Yes
300890,38,0.9,64,No
300891,54,6.3,40,No
300892,10,,45,No
300893,14,3.0,65,No
300894,45,3.5,22,No
300895,11,0.5,44,No
300896,32,3.9,51,No
300897,44,1.2,27,No
300898,50,4.4,52,No
300899,43,3.9,48,No
300900,54,1.3,27,No
300901,36,6.4,42,No
300902,32,0.7,25,No
300903,34,2.1,32,No
300904,17,1.8,48,No
300905,51,4.6,48,No
300906,9,4.3,64,No
300907,5,3.0,42,No
300908,33,5.0,44,No
300909,22,3.9,62,No
300910,34,3.5,31,No
300911,17,3.8,32,No
300912,41,6.2,58,No
300913,54,5.4,32,No
300914,8,2.4,28,No
300915,52,2.1,43,No
300916,16,4.9,58,No
300917,20,0.7,24,Yes
300918,45,1.0,35,No
300919,5,3.9,50,No
300920,17,6.4,29,No
300921,38,6.1,52,No
300922,27,2.7,30,No
300923,57,6.4,48,No
300924,50,5.8,23,No
300925,9,1.0,43,No
300926,50,2.0,33,No
300927,31,0.7,32,No
300928,9,3.2,46,No
300929,59,2.9,50,No
300930,38,2.5,53,No
300931,42,3.9,69,No
300932,49,2.3,31,No
300933,54,5.6,56,No
300934,2,0.6,59,Yes
300935,56,6.3,65,No
300936,16,3.9,60,No
300937,11,0.9,51,No
300938,3,1.4,64,Yes
300939,33,1.0,69,Yes
300940,19,5.2,28,No
300941,51,6.4,50,No
300942,28,6.2,58,No
300943,20,2.9,54,No
300944,49,3.6,60,No
300945,37,4.9,68,No
300946,42,5.6,62,No
300947,41,5.4,40,No
300948,16,3.5,63,No
300949,17,5.9,67,No
300950,8,1.7,44,Yes
300951,9,4.3,59,No
300952,16,6.2,41,No
300953,58,3.7,21,No
300954,15,5.9,47,No
300955,44,5.8,44,No
300956,39,4.5,62,No
300957,8,0.5,47,Yes
300958,14,1.7,51,No
300959,4,,69,Yes
300960,37,4.2,24,No
300961,48,1.0,65,No
300962,43,2.5,33,No
300963,8,3.6,62,No
300964,25,3.7,44,No
300965,5,3.4,40,No
300966,27,6.3,56,No
300967,42,1.2,20,No
300968,16,5.5,49,No
300969,59,4.4,54,No
300970,3,4.9,64,No
300971,57,1.5,37,No
300972,34,0.6,53,No
300973,56,4.4,41,No
300974,18,4.3,58,No
300975,58,5.3,36,No
300976,32,0.8,41,No
300977,39,6.1,23,No
300978,48,1.2,41,Yes
300979,46,3.1,68,No
300980,10,1.6,47,No
300981,47,2.9,67,No
300982,21,6.2,65,No
300983,33,4.6,43,No
300984,39,4.0,65,No
300985,4,5.5,43,No
300986,27,1.8,67,No
300987,29,1.8,61,No
300988,12,4.5,42,No
300989,15,3.1,51,No
300990,53,5.2,46,No
300991,45,2.7,56,No
300992,11,3.9,60,No
300993,23,3.2,20,No
300994,14,5.1,51,No
300995,4,,18,No
300996,56,5.5,48,No
300997,23,4.7,31,No
300998,58,3.5,26,No
300999,26,0.5,51,No
301000,52,1.3,23,No
