FreightID,WeightTon,FragileFlag,Humidity_Percent,DamageClaimAmount_K,TransitTimeDays
1380180,100.5,73.4,47.9,125.1,2.6
1380181,104.4,104.8,38.3,51.0,43.1
1380182,90.9,51.7,34.2,55.6,1.1
1380183,93.6,91.6,44.2,31.7,13.5
1380184,67.7,68.5,44.7,27.5,4.4
1380185,100.1,93.6,37.7,61.1,15.7
1380186,101.0,59.3,68.3,76.0,16.4
1380187,103.6,98.9,43.3,101.4,18.5
1380188,82.5,94.3,39.2,45.9,1.1
1380189,56.0,64.3,45.2,79.0,7.4
1380190,74.6,108.1,59.7,60.4,4.5
1380191,115.1,90.0,36.8,73.6,3.2
1380192,76.9,108.2,53.8,69.2,7.8
1380193,143.3,106.3,30.4,65.4,22.5
1380194,154.6,96.0,65.8,82.6,16.6
1380195,53.2,103.8,32.8,57.9,7.3
1380196,90.8,148.3,21.3,89.1,1.0
1380197,109.1,87.6,49.7,75.9,12.0
1380198,93.5,132.0,62.0,92.1,1.4
1380199,99.3,130.8,40.5,63.2,7.8
1380200,121.9,90.3,58.9,84.1,16.5
1380201,104.2,67.0,51.6,66.9,9.0
1380202,97.8,147.0,48.2,61.0,3.9
1380203,91.5,134.7,17.8,64.0,14.0
1380204,46.3,129.7,64.6,110.5,6.9
1380205,110.8,86.0,57.7,42.0,1.0
1380206,106.7,119.8,75.2,56.1,7.4
1380207,103.0,57.2,55.7,91.3,64.6
1380208,93.2,73.3,37.8,67.1,38.9
1380209,79.6,92.0,51.4,97.7,6.5
1380210,77.2,135.7,34.5,66.3,2.3
1380211,95.6,75.4,40.2,92.9,2.5
1380212,165.4,48.5,46.7,69.5,15.5
1380213,88.9,106.0,31.3,77.0,12.8
1380214,106.0,99.9,34.1,64.7,6.6
1380215,88.5,139.4,21.1,115.5,2.0
1380216,84.1,102.9,43.1,43.4,1.2
1380217,103.4,118.9,42.0,74.2,3.1
1380218,116.1,77.3,39.6,89.8,9.7
1380219,107.4,115.7,48.5,65.9,17.1
1380220,98.5,125.0,36.9,62.9,93.0
1380221,82.8,112.4,54.8,96.5,33.8
1380222,108.6,99.9,59.6,,10.1
1380223,108.7,114.1,41.4,81.7,7.3
1380224,119.1,104.9,48.4,42.9,6.2
1380225,79.7,104.2,30.0,,88.0
1380226,134.0,109.5,51.9,98.5,2.2
1380227,91.0,70.9,18.4,57.5,6.1
1380228,147.4,94.8,56.0,84.1,7.1
1380229,127.3,74.0,23.3,67.1,2.3
1380230,100.8,113.6,43.7,105.5,5.2
1380231,95.2,160.6,61.1,74.3,4.5
1380232,67.5,44.3,39.6,102.0,36.4
1380233,59.6,152.8,0.0,62.1,16.5
1380234,112.9,109.6,43.0,94.5,6.5
1380235,94.4,80.6,42.3,77.3,24.8
1380236,27.9,95.2,54.8,67.7,3.0
1380237,114.3,99.4,46.2,64.4,1.0
1380238,59.1,83.5,64.1,111.1,1.4
1380239,80.5,100.5,40.5,70.5,1.1
1380240,138.9,96.4,51.1,57.5,3.1
1380241,155.2,47.8,72.6,58.5,40.3
1380242,89.3,121.7,49.7,71.6,17.5
1380243,123.3,87.5,63.2,85.0,10.4
1380244,123.6,94.7,47.4,72.9,6.8
1380245,139.0,93.3,37.2,102.8,1.9
1380246,148.4,86.7,40.1,38.8,21.4
1380247,78.0,99.8,36.2,71.9,14.5
1380248,95.7,126.1,32.5,94.7,43.7
1380249,113.2,88.2,41.5,76.5,1.3
1380250,90.3,101.5,29.2,85.6,21.5
1380251,128.2,68.6,64.6,108.2,8.4
1380252,73.2,90.3,45.0,81.3,3.1
1380253,114.5,99.2,53.0,74.6,14.9
1380254,119.6,134.7,28.8,75.0,1.4
1380255,94.9,147.0,29.0,39.3,8.0
1380256,99.2,79.4,19.7,39.9,4.1
1380257,116.2,95.0,47.2,72.8,8.8
1380258,55.5,93.7,40.1,60.3,7.6
1380259,110.8,89.3,46.1,51.5,16.1
1380260,142.1,97.2,47.4,56.0,36.8
1380261,94.9,97.2,28.4,87.7,6.3
1380262,80.5,93.1,44.6,88.0,20.1
1380263,101.0,84.4,49.5,96.8,13.5
1380264,99.6,69.6,35.2,56.9,7.5
1380265,73.3,97.7,44.4,80.0,34.2
1380266,92.7,86.7,35.9,95.7,15.7
1380267,120.6,93.3,26.0,67.2,22.3
1380268,129.3,115.1,35.7,59.4,32.9
1380269,120.2,77.6,23.7,84.7,2.4
1380270,90.4,86.7,35.7,71.8,32.9
1380271,117.0,104.0,30.8,67.5,3.5
1380272,75.8,100.1,41.8,116.2,3.4
1380273,92.6,63.1,40.9,54.4,9.9
1380274,69.1,122.0,24.0,95.5,9.7
1380275,90.1,75.0,39.2,89.7,18.9
1380276,85.3,64.1,41.7,65.7,20.5
1380277,118.8,106.0,68.9,105.5,8.1
1380278,85.2,57.0,52.2,92.4,24.7
1380279,50.3,62.4,35.3,77.2,19.1
1380280,71.4,106.4,25.8,44.4,66.0
1380281,69.0,130.1,44.1,90.0,1.5
1380282,126.4,110.1,22.6,75.8,4.7
1380283,92.5,100.9,37.6,73.0,43.8
1380284,116.3,101.3,31.4,71.0,23.6
1380285,95.8,104.5,39.4,,1.0
1380286,62.8,130.6,59.5,38.1,2.2
1380287,61.3,116.3,56.6,98.8,26.0
1380288,106.7,115.6,68.0,74.1,5.6
1380289,83.8,100.3,37.4,123.2,12.9
1380290,127.8,65.2,86.0,93.4,5.1
1380291,110.1,100.9,55.8,109.6,32.0
1380292,58.4,101.4,37.2,108.0,3.3
1380293,83.9,102.7,43.4,94.7,1.0
1380294,94.6,115.1,20.8,70.2,11.8
1380295,112.1,61.9,57.7,92.1,46.7
1380296,109.7,124.9,47.0,71.1,10.6
1380297,92.0,67.7,17.0,80.1,11.2
1380298,107.5,89.4,49.7,45.5,21.2
1380299,111.6,80.6,37.0,72.7,34.6
1380300,78.7,110.9,57.5,82.1,22.6
1380301,106.8,83.7,50.5,68.7,2.3
1380302,106.6,62.6,34.2,40.1,3.2
1380303,99.0,97.4,65.3,91.2,15.1
1380304,122.8,113.8,59.4,65.1,24.2
1380305,74.7,97.1,47.0,75.2,13.2
1380306,78.6,43.4,55.3,58.5,13.0
1380307,114.7,101.3,27.8,57.7,9.5
1380308,101.8,102.4,35.3,57.8,6.1
1380309,148.0,137.2,43.3,89.7,19.9
1380310,102.5,98.8,47.5,78.4,11.4
1380311,99.9,94.3,57.7,32.5,19.5
1380312,125.4,51.4,66.8,39.7,14.4
1380313,84.8,104.0,52.3,70.7,15.2
1380314,126.1,118.2,39.6,60.6,25.4
1380315,71.2,112.2,35.9,68.6,4.5
1380316,120.0,50.0,50.3,86.2,20.0
1380317,106.5,85.7,50.1,26.2,5.2
1380318,102.9,102.7,22.4,87.2,26.5
1380319,151.3,75.7,46.0,56.4,40.8
1380320,104.2,95.0,54.8,56.5,10.0
1380321,73.5,137.7,2.6,96.4,1.0
1380322,112.6,101.0,19.9,70.4,9.3
1380323,68.9,103.0,43.7,56.7,36.9
1380324,109.0,146.5,56.4,62.6,25.1
1380325,111.8,129.0,40.7,73.7,1.0
1380326,99.5,90.2,69.7,59.4,1.7
1380327,96.2,94.1,34.3,97.4,24.6
1380328,106.9,96.7,42.9,69.5,12.3
1380329,122.8,64.6,32.2,56.6,44.2
1380330,105.4,73.5,46.9,84.8,22.9
1380331,98.0,117.7,65.0,86.1,6.6
1380332,131.4,148.0,73.2,73.7,19.5
1380333,85.0,112.9,53.1,46.0,12.3
1380334,99.5,97.9,43.8,86.3,12.6
1380335,115.4,119.3,41.7,52.5,2.2
1380336,116.7,65.6,63.9,73.9,20.4
1380337,128.1,71.2,41.3,54.4,57.7
1380338,108.4,62.1,48.1,60.1,10.6
1380339,61.2,69.5,29.9,81.7,16.4
1380340,86.8,63.7,65.4,68.7,4.2
1380341,95.4,94.9,36.0,57.7,1.0
1380342,74.4,116.1,49.9,74.5,17.4
1380343,86.2,52.4,46.0,65.6,39.9
1380344,81.8,65.8,51.9,95.5,16.6
1380345,136.9,86.6,53.2,52.3,5.8
1380346,133.3,76.2,51.7,103.1,38.2
1380347,102.4,81.6,36.1,73.2,6.3
1380348,112.2,81.8,49.7,67.6,28.7
1380349,95.4,135.6,58.7,112.0,6.6
1380350,144.6,93.6,34.6,89.0,1.0
1380351,76.3,102.8,9.9,38.7,36.9
1380352,42.5,151.9,53.4,107.5,4.2
1380353,109.6,88.9,31.9,99.0,15.0
1380354,73.9,96.2,60.1,93.2,6.4
1380355,151.7,78.9,31.6,87.1,22.5
1380356,71.1,112.1,46.8,65.4,17.7
1380357,126.0,137.0,31.6,35.2,39.1
1380358,152.0,117.3,59.0,61.5,26.3
1380359,136.6,81.0,61.2,59.2,26.4
1380360,100.4,116.8,61.8,77.6,1.6
1380361,58.7,87.3,37.7,62.8,1.0
1380362,135.7,71.5,37.9,69.6,11.1
1380363,115.3,55.3,53.0,97.4,41.5
1380364,134.4,87.8,26.0,20.0,11.1
1380365,90.4,95.1,42.3,73.2,21.9
1380366,81.6,133.6,23.7,63.8,1.0
1380367,95.3,99.8,71.3,81.0,1.9
1380368,87.2,62.0,29.5,103.5,23.0
1380369,106.2,109.8,37.9,61.1,28.8
1380370,95.9,104.1,30.9,84.1,39.6
1380371,91.3,109.0,46.4,79.0,7.9
1380372,112.1,85.9,38.7,79.6,6.0
1380373,82.5,102.4,57.4,67.6,7.9
1380374,51.6,92.0,46.1,81.1,25.5
1380375,115.4,90.6,61.1,95.5,20.4
1380376,105.1,82.8,57.8,80.8,7.3
1380377,131.8,151.1,28.9,78.7,6.6
1380378,92.4,77.5,76.6,56.5,29.7
1380379,119.4,93.0,64.4,92.2,21.7
1380380,108.6,56.1,27.8,92.5,15.1
1380381,135.5,119.1,55.5,61.1,14.6
1380382,104.3,82.6,48.6,47.4,30.5
1380383,95.1,101.2,67.4,73.8,2.8
1380384,66.9,96.6,30.8,70.1,21.8
1380385,81.9,93.2,56.2,84.7,6.3
1380386,113.8,104.7,18.9,84.3,16.8
1380387,52.5,109.8,49.0,90.5,14.3
1380388,120.8,75.6,55.6,85.0,1.6
1380389,137.7,112.9,58.4,77.3,2.6
1380390,105.2,112.8,37.6,108.6,18.5
1380391,97.5,111.9,48.7,129.9,1.0
1380392,96.0,99.6,63.6,48.3,3.9
1380393,123.5,87.1,43.1,65.8,13.3
1380394,52.4,70.4,62.6,69.4,4.2
1380395,68.7,77.8,18.0,53.4,8.8
1380396,71.4,119.2,52.6,72.8,83.1
1380397,97.1,79.7,38.1,66.0,1.2
1380398,100.1,69.0,54.1,103.6,1.0
1380399,109.0,89.6,45.4,22.5,11.2
1380400,113.5,118.3,45.6,49.8,11.5
1380401,82.6,83.8,40.4,85.1,17.3
1380402,75.3,51.5,41.5,70.5,18.8
1380403,109.0,148.1,51.2,80.9,4.8
1380404,94.5,98.8,65.9,146.8,3.4
1380405,101.0,129.1,40.0,89.0,14.8
1380406,115.6,131.7,54.1,70.2,2.4
1380407,115.0,129.8,54.1,65.4,17.9
1380408,106.3,116.7,76.0,47.5,6.7
1380409,45.6,95.7,23.9,79.0,20.3
1380410,118.7,121.5,41.3,50.2,15.6
1380411,141.5,82.3,64.6,97.4,1.0
1380412,134.0,126.0,51.2,31.2,50.7
1380413,141.8,99.5,39.8,101.5,2.6
1380414,86.2,115.9,47.4,92.2,33.1
1380415,83.7,99.7,57.3,75.5,11.8
1380416,119.3,79.7,68.0,65.2,5.5
1380417,77.9,97.7,32.6,53.8,12.6
1380418,143.3,109.8,28.6,96.2,5.1
1380419,104.3,87.2,55.0,53.7,4.0
1380420,104.4,60.1,77.4,74.4,1.0
1380421,68.9,66.6,43.9,78.5,2.7
1380422,133.6,89.6,36.0,69.5,17.5
1380423,107.4,143.6,69.2,,5.9
1380424,119.2,93.6,32.6,87.4,20.2
1380425,115.1,114.2,43.9,78.8,7.0
1380426,93.2,87.1,55.6,44.2,18.1
1380427,91.8,88.1,37.5,70.6,16.8
1380428,100.7,129.9,37.5,72.3,7.8
1380429,68.5,76.3,38.6,80.9,5.3
1380430,77.0,83.9,68.0,100.3,16.2
1380431,117.5,64.4,29.0,55.4,14.3
1380432,77.1,65.2,49.7,101.8,11.5
1380433,106.4,101.0,58.9,95.3,25.9
1380434,116.6,124.0,67.1,68.7,2.4
1380435,64.3,130.3,50.2,56.4,3.0
1380436,111.4,75.8,52.1,59.0,24.1
1380437,92.4,111.9,44.0,83.5,66.9
1380438,101.5,86.8,11.5,92.5,1.0
1380439,56.2,94.7,23.4,69.8,20.7
1380440,108.9,81.7,69.1,57.7,7.8
1380441,107.9,129.0,52.9,83.1,13.4
1380442,83.4,64.1,35.0,73.4,12.2
1380443,73.0,96.4,3.7,82.4,5.3
1380444,104.6,86.5,47.6,85.9,6.7
1380445,94.1,62.6,47.6,73.3,3.5
1380446,87.2,105.0,23.4,79.3,22.9
1380447,111.1,100.6,57.5,63.4,29.5
1380448,71.7,93.0,36.8,87.7,3.5
1380449,88.8,85.0,47.1,,25.7
1380450,106.8,113.9,43.6,66.2,3.9
1380451,103.2,88.5,37.9,75.8,18.5
1380452,132.4,99.4,43.0,59.0,20.4
1380453,75.0,70.3,16.9,73.8,32.7
1380454,94.6,86.6,63.6,108.6,2.0
1380455,109.7,74.5,55.4,104.7,2.1
1380456,112.9,110.9,41.2,66.3,8.7
1380457,119.9,81.1,58.1,58.6,32.6
1380458,92.3,110.1,51.3,77.1,14.7
1380459,94.4,110.9,78.6,75.5,12.9
1380460,57.6,64.6,50.1,69.4,1.2
1380461,112.6,104.6,51.0,72.4,7.1
1380462,48.3,107.9,41.1,69.7,4.5
1380463,60.5,81.5,41.8,84.7,14.7
1380464,97.0,137.1,64.6,90.3,14.6
1380465,101.0,134.6,31.4,56.7,6.9
1380466,120.0,68.9,46.4,118.0,10.4
1380467,109.8,99.5,61.8,80.5,1.1
1380468,120.4,98.7,18.4,75.1,4.1
1380469,145.7,124.3,38.5,88.6,7.3
1380470,103.9,54.4,23.3,90.6,7.2
1380471,111.4,108.3,56.3,63.5,19.6
1380472,70.2,128.6,28.6,91.5,6.4
1380473,89.4,119.9,42.0,91.7,2.8
1380474,37.5,57.5,78.6,51.1,5.7
1380475,91.1,104.0,78.5,76.8,7.2
1380476,75.8,111.3,54.9,55.2,6.5
1380477,119.7,90.9,36.1,72.5,13.4
1380478,89.7,98.8,33.9,72.9,12.6
1380479,70.4,56.1,66.2,63.2,2.0
1380480,131.5,130.3,66.1,71.8,82.7
1380481,125.3,99.3,24.4,83.4,47.7
1380482,88.6,111.1,49.6,95.3,32.0
1380483,53.4,115.9,35.6,84.1,19.5
1380484,98.6,31.2,76.6,64.6,18.2
1380485,154.2,73.4,65.8,42.1,25.1
1380486,71.6,96.4,91.5,54.9,39.2
1380487,156.6,58.1,39.9,57.9,5.4
1380488,112.5,128.9,38.6,63.6,17.5
1380489,89.8,71.4,9.7,71.1,31.5
1380490,122.2,117.9,53.5,47.2,37.4
1380491,87.7,115.2,47.8,134.7,30.4
1380492,124.7,97.2,59.5,126.1,1.4
1380493,123.6,125.5,58.6,102.2,13.2
1380494,88.4,107.9,60.4,68.0,38.7
1380495,125.3,107.8,27.8,72.2,6.1
1380496,107.9,80.9,22.7,53.1,29.0
1380497,125.2,83.5,22.6,47.7,3.1
1380498,129.4,115.0,28.5,101.5,1.0
1380499,122.8,120.3,57.1,74.0,6.0
1380500,89.5,100.5,71.1,90.5,3.5
1380501,80.6,117.4,51.2,128.2,3.7
1380502,98.8,119.4,30.3,95.8,31.6
1380503,131.1,142.3,48.8,65.5,16.4
1380504,91.8,80.3,53.9,89.7,15.9
1380505,108.4,116.1,48.7,106.8,2.0
1380506,96.0,138.3,50.9,91.9,25.3
1380507,92.2,128.3,47.3,59.7,5.2
1380508,98.2,81.1,50.8,38.3,1.0
1380509,92.5,108.6,33.7,80.8,5.5
1380510,124.6,142.2,42.4,79.4,1.0
1380511,96.1,117.2,66.7,66.8,1.8
1380512,97.6,64.4,19.8,72.9,27.8
1380513,120.9,80.4,43.6,71.0,20.1
1380514,56.5,91.9,54.8,91.0,5.1
1380515,94.5,108.9,59.0,37.0,14.6
1380516,85.2,125.4,47.8,87.9,2.6
1380517,93.0,57.7,50.3,62.0,6.7
1380518,88.1,126.9,33.2,57.1,16.3
1380519,116.2,75.6,43.8,32.4,4.6
1380520,103.9,60.9,58.7,84.0,23.9
1380521,107.9,131.1,59.7,88.2,31.7
1380522,84.7,104.5,72.7,99.9,3.0
1380523,110.0,123.8,43.1,77.7,12.6
1380524,69.2,126.1,48.7,53.9,1.0
1380525,56.6,88.0,39.8,88.5,10.9
1380526,78.8,118.8,69.2,96.8,5.7
1380527,149.6,128.3,44.7,67.3,7.9
1380528,72.9,79.1,23.2,66.8,1.0
1380529,100.7,94.1,22.2,36.5,25.6
1380530,109.8,107.4,70.2,52.9,7.5
1380531,75.5,88.5,66.0,63.9,27.0
1380532,68.8,157.0,77.9,95.8,77.3
1380533,104.4,131.0,58.8,61.9,6.0
1380534,87.4,127.2,33.3,81.1,14.9
1380535,75.0,84.5,24.6,96.4,35.3
1380536,113.6,69.4,33.5,104.8,10.3
1380537,130.1,90.7,33.5,68.5,3.3
1380538,101.7,84.1,80.1,54.8,36.2
1380539,126.3,104.6,33.7,44.6,3.5
1380540,128.3,112.1,37.2,78.4,2.0
1380541,97.9,73.2,45.3,67.4,6.0
1380542,120.5,154.8,49.7,54.5,4.0
1380543,143.7,102.2,31.8,88.4,1.5
1380544,91.3,98.9,12.7,69.1,1.9
1380545,83.0,129.7,70.4,77.5,31.7
1380546,76.8,84.7,23.0,89.6,18.9
1380547,68.0,68.5,45.7,32.8,7.3
1380548,60.2,104.1,38.2,74.4,13.5
1380549,154.2,82.5,51.0,62.5,27.1
1380550,118.6,133.5,66.7,105.5,36.6
1380551,125.0,129.9,46.4,86.3,60.1
1380552,143.8,92.4,56.2,105.1,3.1
1380553,62.8,71.5,34.4,72.4,1.0
1380554,150.3,120.3,66.3,93.2,31.6
1380555,101.7,94.7,18.2,53.4,5.6
1380556,74.2,101.8,54.5,67.1,5.3
1380557,34.1,84.3,21.6,66.3,24.2
1380558,122.4,55.8,51.7,92.6,20.2
1380559,89.5,51.7,26.3,81.2,9.6
1380560,113.3,123.5,41.7,100.6,6.6
1380561,86.9,79.1,50.8,87.1,9.5
1380562,120.3,115.5,33.8,102.3,22.0
1380563,81.4,148.5,25.0,74.1,12.6
1380564,87.7,138.3,39.1,72.5,7.8
1380565,97.6,82.1,61.7,73.1,7.1
1380566,78.7,70.2,24.3,78.6,36.1
1380567,95.9,137.9,57.6,61.0,1.0
1380568,83.5,85.9,43.0,105.9,8.5
1380569,151.2,122.2,24.4,62.5,20.8
1380570,113.7,85.2,42.8,84.8,15.2
1380571,124.8,97.5,28.3,80.1,3.8
1380572,123.8,95.4,15.9,79.8,11.6
1380573,108.5,50.2,38.5,60.2,35.8
1380574,107.4,96.9,22.8,62.9,22.0
1380575,141.9,106.2,47.0,24.6,34.8
1380576,115.8,112.4,35.0,80.5,19.6
1380577,106.9,90.5,33.3,89.9,10.1
1380578,131.3,88.4,24.4,64.7,1.1
1380579,97.1,68.9,46.9,39.2,26.7
1380580,125.6,166.9,36.9,99.2,3.0
