HomeID,EcoModeDurationHours,OutdoorHumidity_Percent,PowerSaved_Percent,UserOverriddenCount,SystemEfficiencyGrade
1830064,53.5,52.9,52.0,86.6,0
1830065,51.5,82.0,28.1,85.9,1
1830066,38.7,46.7,53.7,129.0,0
1830067,44.5,39.9,34.1,58.2,0
1830068,43.6,35.7,34.0,98.2,0
1830069,37.8,37.3,5.1,90.9,0
1830070,64.1,64.2,28.9,129.6,0
1830071,37.2,46.2,51.7,125.8,1
1830072,45.2,28.3,60.3,132.6,1
1830073,59.1,32.8,47.9,126.5,0
1830074,71.7,,20.3,121.6,1
1830075,42.2,49.5,53.8,71.2,0
1830076,45.2,6.5,35.5,118.1,0
1830077,61.2,43.3,36.7,85.5,0
1830078,43.8,36.7,40.3,117.3,1
1830079,36.5,35.2,61.2,100.1,0
1830080,27.0,34.3,70.7,111.7,0
1830081,70.0,70.0,44.6,103.5,0
1830082,50.3,19.6,52.6,103.5,0
1830083,45.7,36.8,45.5,65.7,1
1830084,46.6,36.8,51.8,122.7,1
1830085,41.5,30.6,51.0,131.5,1
1830086,55.6,77.8,41.8,99.7,0
1830087,41.2,59.7,65.3,102.9,0
1830088,42.7,40.8,57.1,110.4,1
1830089,61.1,48.6,36.9,109.1,1
1830090,34.9,64.8,50.4,128.3,0
1830091,34.2,68.4,51.3,78.6,1
1830092,59.7,48.9,34.9,107.4,0
1830093,61.6,46.6,64.1,103.7,0
1830094,35.2,56.5,74.5,68.9,0
1830095,34.8,69.8,57.6,86.0,0
1830096,27.2,79.3,66.8,120.8,1
1830097,35.9,42.8,33.5,109.6,0
1830098,39.3,53.0,65.7,90.5,1
1830099,78.2,61.4,39.2,130.1,1
1830100,20.1,54.4,47.7,54.3,1
1830101,33.7,58.1,52.6,95.0,0
1830102,71.2,42.5,61.3,110.4,1
1830103,29.6,43.9,50.5,129.0,0
1830104,43.7,29.6,36.5,120.4,0
1830105,22.4,53.9,34.5,109.5,0
1830106,48.1,33.2,35.2,50.9,1
1830107,18.7,66.8,42.2,139.2,1
1830108,62.1,30.1,26.0,91.8,1
1830109,80.8,57.2,36.5,123.5,1
1830110,41.9,33.1,21.7,59.9,1
1830111,36.2,38.2,58.9,98.5,1
1830112,65.5,90.8,62.4,69.6,1
1830113,38.2,35.7,30.2,105.7,0
1830114,65.9,38.1,75.1,78.4,1
1830115,30.7,37.9,47.2,127.4,1
1830116,47.9,19.3,70.5,129.0,0
1830117,29.5,51.1,60.1,106.3,0
1830118,39.4,51.5,32.5,102.8,1
1830119,66.3,44.5,51.9,124.2,1
1830120,54.9,24.1,55.5,55.8,1
1830121,25.9,59.7,9.9,128.9,0
1830122,47.6,61.2,35.5,97.8,1
1830123,30.0,28.7,56.6,86.4,0
1830124,46.7,69.9,43.7,110.4,1
1830125,25.9,38.2,46.5,139.0,1
1830126,48.6,15.1,47.6,124.9,1
1830127,37.1,37.3,26.9,62.0,1
1830128,25.1,23.9,34.1,69.1,0
1830129,59.3,61.5,38.4,70.9,1
1830130,42.7,52.1,38.3,126.2,1
1830131,39.0,36.3,56.6,126.8,1
1830132,39.3,,38.6,99.1,1
1830133,54.7,37.0,30.0,112.0,1
1830134,19.8,51.7,16.9,132.0,0
1830135,50.0,,38.2,102.3,1
1830136,36.7,45.5,43.5,105.0,0
1830137,36.7,61.5,70.8,68.5,0
1830138,23.7,38.0,70.7,81.2,0
1830139,83.8,26.9,34.7,57.6,1
1830140,48.1,52.5,19.9,97.9,1
1830141,47.7,82.4,55.2,96.4,1
1830142,59.7,16.0,59.2,103.8,0
1830143,22.8,33.6,70.3,139.9,0
1830144,68.0,42.8,39.7,102.9,1
1830145,21.7,44.9,38.8,66.6,1
1830146,48.2,50.1,27.3,136.5,0
1830147,54.7,17.6,34.6,90.0,0
1830148,43.1,32.7,58.5,133.6,0
1830149,45.4,42.8,36.0,95.2,0
1830150,54.9,73.8,67.4,66.4,0
1830151,59.0,66.5,41.2,130.6,1
1830152,25.6,84.0,36.8,123.1,1
1830153,19.9,40.0,38.7,80.7,0
1830154,64.6,43.7,45.1,74.0,1
1830155,75.5,23.1,48.0,82.7,0
1830156,41.5,57.8,54.4,98.3,1
1830157,51.5,30.9,39.0,81.1,1
1830158,40.7,29.3,6.4,67.8,1
1830159,47.9,21.9,39.1,77.3,1
1830160,37.7,32.7,16.4,86.3,1
1830161,48.5,63.6,24.7,107.6,1
1830162,29.9,19.6,16.5,124.4,0
1830163,24.5,29.3,22.2,70.9,0
1830164,35.5,52.7,50.1,128.5,1
1830165,40.0,67.4,36.9,87.5,0
1830166,49.1,41.4,12.9,173.2,1
1830167,22.1,67.4,53.7,134.4,0
1830168,51.9,32.9,31.7,103.3,0
1830169,16.2,40.0,32.8,146.7,0
1830170,38.9,28.0,39.8,104.2,1
1830171,25.2,54.9,77.7,58.3,0
1830172,36.0,84.2,33.0,91.7,0
1830173,29.5,50.6,40.9,158.5,0
1830174,41.9,8.7,41.7,165.5,0
1830175,24.7,34.2,64.9,135.0,0
1830176,30.4,46.6,69.9,72.9,0
1830177,58.7,36.2,38.7,86.4,0
1830178,51.0,52.6,22.3,105.3,1
1830179,56.7,38.1,45.1,93.3,0
1830180,46.1,50.8,38.3,107.5,0
1830181,59.7,39.7,37.1,121.7,1
1830182,50.4,38.0,55.2,50.8,1
1830183,43.9,32.5,50.7,119.3,0
1830184,19.4,22.0,13.2,104.0,0
1830185,41.0,22.0,49.3,156.0,1
1830186,18.0,54.1,72.5,72.5,0
1830187,47.0,54.2,60.6,84.0,1
1830188,58.4,56.1,45.7,115.4,1
1830189,20.2,49.9,17.0,50.2,0
1830190,46.7,44.2,44.6,132.0,0
1830191,54.7,52.8,74.2,68.2,1
1830192,34.8,56.7,41.8,114.1,1
1830193,65.6,49.2,53.3,85.4,1
1830194,26.2,49.6,49.9,86.1,1
1830195,60.9,49.9,7.5,95.1,1
1830196,51.6,57.2,44.6,95.5,1
1830197,53.7,32.0,41.3,113.6,1
1830198,48.7,58.3,87.6,143.9,0
1830199,44.1,51.3,40.7,45.1,0
1830200,55.0,53.3,36.1,133.0,1
1830201,26.0,42.1,53.3,111.0,0
1830202,37.6,68.7,82.2,84.3,1
1830203,62.7,44.0,22.1,96.7,0
1830204,65.0,38.4,49.0,78.2,0
1830205,10.9,54.5,36.1,53.5,0
1830206,43.8,45.3,24.8,115.7,0
1830207,40.9,41.9,74.0,156.0,1
1830208,42.5,47.7,45.4,102.7,0
1830209,60.2,54.4,40.8,118.4,0
1830210,38.4,34.9,30.9,159.0,1
1830211,49.7,44.9,58.2,118.5,0
1830212,52.4,31.4,53.9,107.4,1
1830213,56.1,42.1,38.2,41.8,1
1830214,62.8,59.1,44.3,116.7,1
1830215,45.0,49.8,84.3,117.9,1
1830216,44.1,57.6,41.9,90.6,1
1830217,38.4,64.3,62.3,107.2,0
1830218,53.1,37.3,45.9,109.5,1
1830219,41.2,64.2,59.6,47.8,0
1830220,32.0,56.8,41.3,92.3,0
1830221,53.5,53.1,23.5,122.7,1
1830222,53.6,56.6,30.5,88.4,1
1830223,47.1,35.6,42.3,72.9,1
1830224,36.6,34.6,38.3,135.2,1
1830225,42.8,40.9,62.7,79.9,1
1830226,51.5,33.9,28.8,73.5,0
1830227,44.5,47.6,37.3,107.5,1
1830228,52.3,53.6,18.1,123.0,1
1830229,57.4,48.5,39.9,82.7,1
1830230,37.9,31.1,23.2,73.4,0
1830231,50.0,41.0,55.8,137.5,0
1830232,72.5,64.3,45.2,102.3,1
1830233,54.5,52.7,70.9,119.7,1
1830234,12.1,62.4,43.0,113.3,0
1830235,52.8,44.0,29.9,145.4,0
1830236,60.0,30.9,34.5,142.3,1
1830237,20.5,38.3,35.4,89.7,0
1830238,63.5,54.8,50.2,90.1,1
1830239,34.3,43.5,38.4,91.4,1
1830240,48.6,39.7,37.2,150.2,0
1830241,64.5,53.5,54.4,103.6,1
1830242,55.8,51.7,38.7,94.4,1
1830243,69.3,36.2,52.3,85.1,1
1830244,39.0,56.3,39.5,88.1,0
1830245,22.1,18.4,32.8,86.1,0
1830246,45.1,49.9,54.3,89.9,0
1830247,33.6,56.7,55.7,89.2,0
1830248,52.7,32.5,45.9,108.1,0
1830249,69.0,51.6,50.5,62.4,0
1830250,37.7,68.2,61.4,101.3,0
1830251,47.9,43.4,50.3,85.4,1
1830252,69.8,45.9,29.9,75.0,1
1830253,22.7,31.5,66.0,112.9,0
1830254,44.1,51.4,67.3,103.1,1
1830255,20.1,31.4,32.7,98.8,0
1830256,33.9,51.6,69.1,63.8,0
1830257,47.5,44.1,53.7,145.5,0
1830258,34.8,41.9,37.5,129.8,0
1830259,47.5,34.1,52.9,48.3,1
1830260,46.2,44.0,45.0,109.2,1
1830261,45.8,42.6,38.9,82.9,1
1830262,32.0,35.1,41.6,89.8,0
1830263,38.4,57.7,38.4,95.3,0
1830264,48.6,65.7,55.1,145.6,1
1830265,42.9,44.8,22.3,129.8,1
1830266,42.4,46.4,41.7,87.6,1
1830267,49.2,54.2,45.1,135.1,1
1830268,57.4,50.0,52.9,96.2,1
1830269,38.7,26.5,35.9,94.2,0
1830270,50.6,44.2,64.0,124.3,0
1830271,20.4,29.6,55.2,138.4,1
1830272,31.5,28.2,74.4,151.2,1
1830273,30.9,44.0,33.6,79.9,1
1830274,33.3,40.8,24.7,121.0,1
1830275,39.6,13.7,34.5,77.8,1
1830276,70.5,75.2,64.4,55.8,0
1830277,39.7,53.0,49.0,110.7,0
1830278,53.3,39.0,68.3,69.1,0
1830279,65.4,67.5,58.0,121.0,0
1830280,36.5,45.1,52.8,115.0,1
1830281,49.7,35.8,57.8,83.1,0
1830282,50.3,41.2,67.4,89.8,1
1830283,56.0,39.7,29.7,132.0,1
1830284,60.3,42.4,57.1,144.2,1
1830285,40.7,48.4,62.5,69.6,0
1830286,39.8,20.2,61.6,102.9,1
1830287,71.0,39.5,32.6,143.2,1
1830288,31.0,37.0,58.7,91.2,0
1830289,38.8,40.2,58.6,137.9,0
1830290,32.3,59.2,39.4,112.4,0
1830291,60.9,36.9,68.1,110.9,1
1830292,73.5,46.2,21.1,80.1,1
1830293,52.6,51.9,41.5,98.9,1
1830294,79.6,28.6,56.1,126.4,1
1830295,51.0,46.1,59.0,104.1,0
1830296,42.4,40.8,12.5,116.0,0
1830297,45.2,50.3,53.5,80.4,0
1830298,25.7,58.1,60.0,109.9,1
1830299,58.3,33.7,47.4,144.0,1
1830300,55.2,36.0,37.7,84.8,0
1830301,41.7,47.9,68.7,73.6,0
1830302,42.4,41.3,55.5,79.0,0
1830303,50.3,29.7,51.1,114.8,0
1830304,23.0,55.1,38.2,64.5,0
1830305,64.5,34.5,55.6,131.5,1
1830306,37.6,61.8,55.6,111.7,1
1830307,37.3,35.5,38.0,116.4,1
1830308,69.5,50.8,45.5,127.5,0
1830309,71.2,41.7,40.8,76.0,0
1830310,39.3,59.7,31.3,92.8,0
1830311,22.1,51.7,43.7,111.9,0
1830312,48.6,38.7,43.4,53.6,0
1830313,22.5,40.9,67.4,130.3,0
1830314,33.8,22.1,39.4,112.7,1
1830315,43.1,67.4,52.6,103.0,0
1830316,52.1,48.1,41.1,78.4,0
1830317,69.6,57.5,75.0,93.9,0
1830318,36.5,77.4,52.6,80.6,1
1830319,16.4,36.5,47.5,109.6,0
1830320,51.4,40.3,68.6,140.1,0
1830321,72.5,34.3,30.7,104.8,1
1830322,12.8,54.4,41.5,79.7,0
1830323,61.4,53.5,35.2,48.1,0
1830324,21.0,35.5,72.6,137.6,0
1830325,44.2,58.7,52.6,158.7,1
1830326,37.8,46.2,67.6,140.9,0
1830327,41.4,41.7,45.3,40.4,1
1830328,76.8,39.7,54.3,84.0,1
1830329,69.8,53.0,26.4,127.2,1
1830330,35.6,59.0,23.0,115.6,0
1830331,44.3,53.4,44.9,75.7,1
1830332,68.1,20.3,51.8,101.8,1
1830333,55.9,57.5,66.0,77.8,1
1830334,49.1,5.9,53.0,132.5,0
1830335,37.1,63.2,50.7,126.3,0
1830336,54.7,40.8,51.6,121.6,0
1830337,23.9,30.1,22.4,95.2,0
1830338,47.1,50.8,17.0,83.1,1
1830339,33.9,17.9,61.3,94.5,1
1830340,63.4,24.2,38.1,102.3,0
1830341,51.7,45.7,55.1,72.5,0
1830342,23.2,54.8,46.3,114.6,1
1830343,44.6,51.4,58.4,104.2,0
1830344,51.4,50.6,48.4,64.3,1
1830345,60.8,78.7,15.9,79.5,1
1830346,47.1,48.9,73.5,65.2,1
1830347,61.1,46.2,51.1,123.8,1
1830348,23.2,46.4,38.9,97.4,0
1830349,67.1,48.0,36.0,138.9,1
1830350,39.1,50.9,58.0,121.0,0
1830351,63.9,76.0,29.2,33.8,1
1830352,61.6,73.8,35.4,86.6,1
1830353,68.0,49.3,44.4,53.0,1
1830354,26.1,73.9,45.0,111.0,1
1830355,40.6,22.4,11.7,139.4,0
1830356,58.8,56.7,47.7,63.1,0
1830357,29.2,54.1,55.1,129.7,0
1830358,44.0,22.6,39.8,109.4,0
1830359,26.0,46.8,38.4,101.5,1
1830360,38.3,60.2,39.0,130.3,0
1830361,40.9,38.2,41.4,127.4,1
1830362,22.0,27.8,35.9,70.6,0
1830363,45.3,39.1,39.5,119.2,0
1830364,44.5,46.2,34.2,117.0,1
1830365,42.4,81.7,39.0,101.2,1
1830366,72.9,55.3,48.3,123.6,0
1830367,24.2,60.1,41.5,85.9,1
1830368,41.5,,30.9,86.2,0
1830369,47.0,57.0,32.2,150.6,1
1830370,26.7,37.9,38.4,121.9,0
1830371,55.2,62.0,63.1,85.1,1
1830372,26.1,47.7,38.0,97.9,0
1830373,33.0,34.1,47.6,82.1,0
1830374,26.9,62.1,43.4,91.6,0
1830375,40.6,29.5,56.3,74.8,0
1830376,30.9,60.2,43.9,103.5,0
1830377,43.5,32.4,33.0,135.5,1
1830378,43.8,48.8,22.5,74.2,0
1830379,41.4,39.7,48.2,83.0,0
1830380,34.6,54.4,83.5,77.9,0
1830381,36.8,39.1,36.4,114.0,1
1830382,41.5,54.4,55.1,53.7,1
1830383,10.2,54.8,58.2,99.9,0
1830384,34.4,54.6,56.7,95.1,0
1830385,37.1,83.9,16.1,127.4,0
1830386,54.6,39.4,64.1,77.7,0
1830387,86.9,39.7,89.5,106.1,1
1830388,50.9,56.9,34.8,111.1,1
1830389,48.7,24.3,40.6,79.0,1
1830390,57.1,48.6,77.0,75.7,1
1830391,52.0,50.1,42.4,126.1,1
1830392,57.8,16.8,33.6,26.0,1
1830393,49.1,78.3,42.8,163.9,0
1830394,33.5,68.5,52.8,98.6,0
1830395,54.8,19.2,58.4,127.4,0
1830396,50.7,55.9,64.7,102.8,0
1830397,52.2,37.6,33.4,110.4,0
1830398,49.6,24.8,39.7,113.5,1
1830399,53.1,55.7,58.3,92.7,1
1830400,36.3,48.4,42.9,99.5,0
1830401,29.9,44.1,41.0,107.2,1
1830402,23.9,37.0,46.3,93.1,1
1830403,83.8,66.0,28.2,74.8,1
1830404,46.1,50.8,53.5,61.2,0
1830405,51.3,30.0,17.2,146.4,1
1830406,29.3,42.4,21.1,112.1,0
1830407,53.8,49.3,43.1,83.6,1
1830408,61.5,44.5,39.9,122.4,0
1830409,47.9,32.0,39.8,89.7,0
1830410,39.2,35.1,33.9,103.0,0
1830411,43.3,54.4,25.8,117.5,1
1830412,56.5,37.3,37.0,41.5,0
1830413,65.5,60.8,32.9,98.4,1
1830414,65.6,22.3,33.8,81.0,1
1830415,34.7,44.6,29.3,103.9,0
1830416,18.5,38.9,24.2,110.9,0
1830417,35.8,58.4,40.0,92.4,1
1830418,38.8,61.2,47.8,56.9,1
1830419,43.5,38.2,67.7,87.6,0
1830420,53.4,17.0,50.2,63.5,1
1830421,51.9,30.6,44.6,119.6,1
1830422,39.7,52.0,41.2,92.6,1
1830423,45.2,34.2,16.2,111.0,0
1830424,51.1,80.2,51.6,105.8,1
1830425,49.2,33.7,43.2,82.1,0
1830426,44.9,33.1,51.1,76.7,0
1830427,42.9,40.5,54.8,101.2,1
1830428,31.8,43.9,30.7,82.0,0
1830429,15.4,40.8,26.3,103.8,0
1830430,49.6,50.8,54.6,80.4,0
1830431,28.9,74.9,41.4,84.2,0
1830432,45.5,19.6,31.5,94.3,1
1830433,44.0,56.8,70.1,66.8,1
1830434,55.9,78.8,53.8,72.3,0
1830435,25.8,35.9,39.2,79.2,0
1830436,34.5,35.0,54.0,90.3,0
1830437,70.6,22.9,51.6,97.6,1
1830438,67.0,11.2,67.0,135.4,1
1830439,59.3,30.1,36.6,85.6,1
1830440,61.5,58.4,71.7,83.5,1
1830441,49.4,81.0,67.2,56.4,1
1830442,27.7,36.0,54.0,128.4,0
1830443,46.2,45.8,63.3,96.6,0
1830444,50.9,42.4,52.3,81.9,1
1830445,32.5,31.2,54.7,92.7,0
1830446,22.5,49.3,37.7,47.7,0
1830447,49.8,35.9,30.4,37.4,0
1830448,16.4,57.0,35.1,114.2,0
1830449,49.0,44.7,53.7,112.3,0
1830450,17.2,29.2,73.5,79.1,0
1830451,53.7,32.4,24.3,112.7,1
1830452,60.5,47.4,55.2,89.9,1
1830453,38.7,36.6,58.0,68.1,0
1830454,56.1,33.7,61.9,80.1,0
1830455,52.9,57.3,54.3,91.7,0
1830456,40.8,,44.9,80.3,1
1830457,4.7,49.5,58.2,109.4,1
1830458,59.3,52.6,39.5,124.6,0
1830459,17.0,55.0,45.3,86.6,0
1830460,66.5,70.1,32.0,64.8,0
1830461,32.2,36.2,46.2,128.2,1
1830462,37.1,21.8,33.6,119.6,0
1830463,51.5,37.1,32.8,51.6,0
1830464,35.1,,62.4,102.6,0
1830465,56.7,32.8,38.5,101.7,1
1830466,40.9,28.4,49.0,77.1,0
1830467,55.8,52.1,18.6,78.5,0
1830468,64.4,60.3,58.9,89.5,0
1830469,56.8,62.7,51.5,107.2,0
1830470,48.0,32.6,49.2,111.4,0
1830471,12.3,42.9,27.8,155.3,0
1830472,38.5,54.8,66.4,91.1,1
1830473,22.1,16.6,30.6,69.6,1
1830474,29.7,35.8,39.5,91.0,1
1830475,64.8,71.2,39.8,66.8,1
1830476,47.4,46.3,42.3,122.8,0
1830477,28.9,37.5,39.0,99.4,0
1830478,37.1,29.9,65.9,103.6,0
1830479,46.8,46.2,40.9,76.8,1
1830480,38.2,53.8,60.2,74.0,1
1830481,40.6,30.3,48.6,73.8,0
1830482,39.0,61.8,52.1,91.1,1
1830483,48.4,36.0,29.4,98.4,0
1830484,68.7,55.9,26.6,84.9,1
1830485,42.0,50.9,60.4,80.0,1
1830486,50.1,43.3,55.8,72.2,1
1830487,49.5,49.1,19.5,92.5,0
1830488,14.6,37.5,58.8,77.2,0
1830489,40.3,41.7,36.0,101.5,1
1830490,33.4,36.6,70.2,111.9,1
1830491,43.7,36.6,57.9,62.2,1
1830492,53.4,39.5,37.8,105.7,0
1830493,45.6,47.2,51.5,107.1,1
1830494,42.1,63.1,31.5,71.6,0
1830495,47.8,31.9,56.1,112.7,1
1830496,49.5,33.9,16.4,67.3,0
1830497,22.7,56.2,62.7,103.7,0
1830498,85.3,49.9,22.5,89.4,1
1830499,53.5,16.8,54.6,109.2,1
1830500,57.8,62.2,75.6,85.4,1
1830501,72.4,65.7,58.3,73.0,1
1830502,37.2,66.5,38.8,75.7,1
1830503,49.8,55.2,7.2,144.0,0
1830504,48.5,66.5,44.8,69.5,0
1830505,47.0,54.1,36.7,123.5,1
1830506,62.4,47.3,61.3,104.9,0
1830507,20.9,24.3,50.3,140.5,0
1830508,44.6,71.3,59.5,103.6,0
1830509,87.5,68.4,44.6,115.1,1
1830510,24.3,40.8,27.5,96.8,0
1830511,60.3,42.5,39.0,107.1,0
1830512,20.0,51.8,59.2,78.9,0
1830513,33.6,46.8,47.1,113.8,0
1830514,45.9,23.3,71.2,127.4,1
1830515,56.5,50.4,45.3,97.3,1
1830516,15.5,53.2,29.8,77.3,0
1830517,60.8,60.8,19.9,92.3,1
1830518,55.8,30.5,25.7,99.2,1
1830519,53.4,47.0,23.5,71.5,1
1830520,30.6,45.4,35.4,78.7,0
1830521,43.4,70.7,33.4,98.2,1
1830522,12.9,57.4,34.4,103.2,1
1830523,72.1,33.0,31.9,80.4,1
1830524,48.3,58.9,34.1,77.2,0
1830525,58.7,50.4,42.5,135.7,1
1830526,37.4,15.6,34.8,99.4,0
1830527,73.9,22.7,47.6,94.8,1
1830528,34.6,28.9,57.2,109.5,1
1830529,50.6,40.5,44.5,81.5,1
1830530,39.0,26.5,56.6,68.7,0
1830531,57.1,29.1,44.0,112.3,1
1830532,51.8,43.0,76.6,112.0,1
1830533,25.0,59.6,68.8,60.9,0
1830534,53.8,12.8,46.2,131.9,1
1830535,36.6,62.1,33.7,77.1,0
1830536,49.1,26.5,25.9,85.1,1
1830537,41.1,25.1,67.7,57.9,0
1830538,31.5,17.1,39.3,107.5,0
1830539,88.7,,38.4,129.5,1
1830540,71.9,51.9,59.9,108.6,1
1830541,49.4,38.6,54.5,139.9,0
1830542,28.6,48.3,48.5,132.5,1
1830543,40.1,27.5,66.2,104.4,0
1830544,59.3,10.1,38.4,85.8,1
1830545,39.0,45.1,20.0,108.1,0
1830546,62.1,16.0,56.9,82.1,1
1830547,61.8,49.3,31.9,107.8,1
1830548,44.1,64.3,38.3,48.3,0
1830549,41.0,73.3,41.8,93.6,0
1830550,66.9,42.8,73.8,89.2,0
1830551,29.6,52.1,35.5,116.3,1
1830552,50.3,51.6,26.5,98.1,1
1830553,45.5,47.6,45.2,102.1,0
1830554,12.7,31.7,56.6,129.8,1
1830555,59.1,,24.8,129.6,0
1830556,40.5,66.1,54.4,57.6,0
1830557,43.2,46.7,47.0,111.1,1
1830558,47.2,45.5,32.0,94.9,1
1830559,51.2,25.2,70.8,91.0,1
1830560,61.8,81.7,23.5,119.7,1
1830561,31.9,46.3,57.4,112.1,0
1830562,48.2,46.6,32.1,102.1,1
1830563,67.7,71.0,60.8,113.1,1
1830564,47.5,41.4,23.1,124.3,1
1830565,39.9,40.7,60.9,142.6,1
1830566,20.6,60.2,30.0,111.0,0
1830567,48.5,44.5,38.8,91.4,1
1830568,34.2,56.5,36.4,90.6,0
1830569,49.9,39.3,48.0,101.6,0
1830570,45.0,29.6,43.8,84.4,1
1830571,30.0,33.8,39.9,123.8,0
1830572,20.8,13.7,24.1,85.8,0
1830573,49.6,21.5,19.7,154.5,1
1830574,37.5,36.7,64.4,66.0,1
1830575,22.2,63.8,31.9,37.9,0
1830576,58.5,58.3,47.6,37.6,0
1830577,47.8,44.2,44.4,71.5,0
1830578,44.1,36.3,44.8,114.2,0
1830579,58.6,41.5,43.7,100.2,1
1830580,39.5,46.1,43.6,104.0,1
1830581,63.4,21.8,57.1,151.0,1
1830582,60.8,57.9,67.1,106.2,1
1830583,52.6,40.6,42.7,108.3,1
1830584,39.2,79.0,5.2,129.9,1
1830585,59.4,33.5,52.3,97.5,0
1830586,0.0,44.6,46.0,109.2,0
1830587,53.8,50.5,44.3,65.7,0
1830588,56.8,64.6,57.5,122.9,1
1830589,27.6,56.4,45.2,128.8,0
1830590,43.3,56.5,37.6,118.4,0
1830591,34.1,41.9,41.5,87.0,0
1830592,34.7,37.1,41.9,115.7,0
1830593,33.4,49.2,18.0,131.2,1
1830594,39.6,14.8,44.7,142.7,1
1830595,43.6,55.3,63.7,85.7,0
1830596,46.1,59.7,54.5,137.7,0
1830597,49.4,64.9,36.7,136.8,0
1830598,65.7,67.8,52.1,118.7,1
1830599,51.6,41.3,68.7,118.4,0
1830600,50.0,68.3,52.9,104.8,0
1830601,73.7,57.1,39.6,125.3,1
1830602,78.5,41.4,42.5,116.2,1
1830603,57.7,58.5,66.6,152.5,1
1830604,43.8,49.1,29.4,91.9,1
1830605,58.5,23.4,19.3,131.5,1
1830606,44.2,47.6,40.0,106.5,0
1830607,54.1,51.4,34.6,63.8,1
1830608,30.2,25.6,40.9,74.1,0
1830609,51.5,55.0,58.9,54.0,1
1830610,35.1,36.0,72.0,90.4,0
1830611,61.9,38.5,26.2,111.7,1
1830612,1.6,38.6,86.4,84.9,1
1830613,9.4,33.4,33.5,94.3,0
1830614,24.5,60.1,41.8,108.7,0
1830615,49.0,36.0,42.5,108.2,0
1830616,37.5,8.6,40.6,162.9,0
1830617,50.3,21.6,46.9,69.9,1
1830618,36.5,54.3,16.2,90.5,0
1830619,25.3,41.3,45.6,69.4,0
1830620,56.0,58.9,59.4,42.1,1
1830621,63.8,31.4,50.8,97.8,1
1830622,28.9,56.9,60.9,110.2,0
1830623,45.6,46.9,45.4,103.8,0
1830624,70.2,46.3,27.2,89.2,0
1830625,35.8,38.6,52.7,120.9,1
1830626,33.8,48.3,67.7,98.6,0
1830627,37.3,32.7,53.0,98.1,0
1830628,56.1,48.9,35.8,98.5,0
1830629,33.3,42.4,48.2,138.2,0
1830630,23.3,66.1,49.9,107.3,0
1830631,46.4,13.6,36.0,83.1,1
