TerminalID,InboundTrucks,CrossDockTimeMinutes,ThroughputQty,StaffShiftCount,DockUtilizationScore
1390151,87.3,1.4,147.4,98.6,50.2
1390152,138.4,,129.9,63.0,56.1
1390153,55.5,13.5,92.2,169.3,70.8
1390154,99.0,22.3,109.6,93.6,56.4
1390155,93.7,6.7,104.5,109.7,47.5
1390156,116.3,42.9,92.8,107.6,43.0
1390157,92.7,8.0,84.7,90.7,32.1
1390158,136.7,12.7,92.2,91.4,40.2
1390159,125.3,10.0,135.0,72.1,57.5
1390160,85.1,19.4,70.4,141.7,52.2
1390161,74.6,4.9,68.4,131.5,61.4
1390162,106.8,13.1,100.0,130.0,58.3
1390163,157.1,2.6,70.3,62.9,41.0
1390164,122.7,2.7,103.9,123.9,59.9
1390165,136.5,8.2,63.3,126.7,81.7
1390166,131.3,38.1,76.8,57.7,29.4
1390167,126.6,3.4,80.4,117.3,51.5
1390168,94.1,34.3,111.0,143.6,24.5
1390169,59.8,24.4,66.4,92.7,25.0
1390170,73.8,20.3,80.1,108.5,24.9
1390171,156.0,16.0,93.6,118.5,42.4
1390172,112.1,1.2,121.1,69.9,50.0
1390173,97.2,6.1,112.0,97.6,43.9
1390174,76.0,10.7,111.1,144.4,37.8
1390175,129.8,39.5,121.9,127.6,56.7
1390176,109.7,1.0,83.2,101.7,53.5
1390177,138.4,21.9,71.5,108.1,12.3
1390178,96.5,7.9,82.2,63.2,45.4
1390179,86.4,4.6,112.9,171.9,11.8
1390180,81.7,13.9,88.7,115.5,5.0
1390181,110.8,21.4,99.5,76.1,68.6
1390182,82.0,6.7,122.4,57.6,59.7
1390183,140.9,2.6,80.8,72.9,47.3
1390184,102.9,10.4,141.2,140.3,52.1
1390185,106.7,22.3,91.2,102.3,46.8
1390186,88.7,6.5,88.6,101.4,33.7
1390187,119.3,14.6,104.7,81.4,39.9
1390188,140.5,2.0,69.0,83.6,60.7
1390189,58.7,1.0,104.5,80.4,48.9
1390190,110.5,9.5,62.6,97.7,43.2
1390191,110.1,13.9,58.1,100.6,53.7
1390192,132.8,14.0,108.8,83.2,65.8
1390193,111.3,3.1,115.2,76.3,61.2
1390194,86.4,20.5,121.1,114.8,52.4
1390195,120.8,32.9,91.2,85.1,67.8
1390196,123.3,11.3,147.9,89.8,31.0
1390197,119.1,42.2,61.5,122.2,28.3
1390198,88.0,7.3,156.9,73.2,60.5
1390199,56.8,24.0,90.1,101.4,56.1
1390200,111.1,73.6,98.0,75.9,37.3
1390201,106.3,2.4,89.0,88.7,58.3
1390202,119.3,8.1,63.6,115.8,48.9
1390203,76.9,21.3,124.7,79.6,69.9
1390204,103.2,15.8,98.8,111.2,55.5
1390205,172.5,1.5,102.4,97.0,78.5
1390206,76.4,2.2,80.2,115.8,65.7
1390207,151.2,8.8,48.8,79.9,41.7
1390208,72.5,14.8,76.5,98.7,43.6
1390209,95.2,71.6,88.6,106.7,36.8
1390210,69.6,8.3,96.4,121.8,81.4
1390211,84.6,34.2,127.8,114.2,57.5
1390212,69.2,1.1,136.6,112.3,22.4
1390213,64.0,13.5,92.3,83.0,42.8
1390214,97.8,23.9,97.3,118.3,46.4
1390215,116.3,10.2,127.6,117.9,32.1
1390216,99.8,9.6,83.2,54.0,32.8
1390217,67.0,16.3,114.6,113.1,38.5
1390218,101.5,17.0,81.1,127.4,43.1
1390219,99.7,4.9,119.0,117.0,33.8
1390220,131.0,4.4,85.7,133.5,73.0
1390221,109.1,25.5,91.8,100.0,25.7
1390222,89.9,49.2,84.5,136.0,56.0
1390223,120.4,9.8,36.5,129.2,15.4
1390224,70.2,13.1,101.2,90.6,64.1
1390225,104.7,7.5,100.7,122.1,45.8
1390226,66.0,36.5,104.9,113.4,56.6
1390227,147.5,1.0,119.3,120.1,52.2
1390228,58.8,1.8,82.0,74.1,55.7
1390229,116.2,1.0,91.7,112.8,58.1
1390230,74.7,,77.6,80.5,33.3
1390231,70.8,7.9,79.9,66.8,22.5
1390232,43.7,8.5,63.9,124.3,49.0
1390233,82.6,1.4,91.3,119.7,67.3
1390234,86.6,4.3,177.4,88.6,36.6
1390235,108.1,1.5,98.7,75.3,59.8
1390236,92.3,11.1,100.6,117.2,52.6
1390237,104.2,26.5,104.2,99.5,29.7
1390238,132.0,5.9,74.2,85.2,40.2
1390239,108.5,11.8,99.5,119.9,40.0
1390240,114.8,14.3,92.7,130.8,29.6
1390241,82.2,21.0,122.9,107.9,46.1
1390242,49.9,10.7,85.6,88.4,40.4
1390243,90.8,16.5,143.4,117.5,47.2
1390244,44.7,9.4,93.6,78.0,50.4
1390245,103.1,1.3,77.4,102.1,31.6
1390246,137.2,18.3,121.2,67.2,67.3
1390247,35.5,40.5,143.7,82.8,50.4
1390248,136.7,31.0,145.8,55.5,52.6
1390249,79.9,9.8,68.0,97.1,53.9
1390250,140.4,1.2,117.8,81.5,34.3
1390251,91.2,18.3,116.0,113.2,59.1
1390252,138.1,24.5,73.0,51.3,33.4
1390253,99.4,8.5,94.3,98.0,25.9
1390254,122.7,1.0,117.3,137.6,31.9
1390255,115.7,15.1,137.6,60.2,45.2
1390256,155.4,26.8,99.1,66.7,58.1
1390257,109.4,1.6,88.0,106.0,42.9
1390258,135.4,14.3,69.9,85.3,78.4
1390259,119.9,24.0,99.8,94.8,49.6
1390260,78.9,2.1,87.5,94.6,47.1
1390261,32.2,22.0,84.5,104.9,51.4
1390262,30.8,21.3,104.3,133.6,39.0
1390263,72.5,24.8,138.2,103.2,62.4
1390264,124.3,16.2,118.1,105.0,55.1
1390265,102.0,8.9,92.2,87.0,32.8
1390266,118.6,1.0,118.6,101.0,30.1
1390267,46.2,1.0,132.3,70.0,63.6
1390268,113.4,1.0,69.2,73.3,40.8
1390269,142.5,7.3,101.9,98.8,27.0
1390270,62.2,82.5,127.7,106.1,53.3
1390271,27.5,7.0,143.7,66.3,20.0
1390272,83.5,1.0,132.1,105.8,51.2
1390273,114.8,2.6,125.0,89.2,40.5
1390274,107.9,1.0,56.1,127.8,47.4
1390275,89.4,12.9,130.7,139.9,50.1
1390276,115.9,35.9,64.0,130.7,33.6
1390277,119.4,13.7,87.3,99.7,60.3
1390278,58.3,1.0,119.7,117.8,49.6
1390279,107.9,33.0,94.9,139.5,60.4
1390280,126.1,24.3,125.0,107.4,32.7
1390281,57.2,5.1,76.0,101.2,15.3
1390282,77.4,23.1,105.2,123.5,67.2
1390283,119.2,14.4,117.8,96.3,45.4
1390284,82.5,7.2,112.9,96.0,32.5
1390285,124.5,15.1,88.8,123.4,28.2
1390286,61.9,4.4,102.9,66.4,33.2
1390287,150.8,25.3,104.4,74.2,29.3
1390288,81.1,4.0,92.7,103.1,40.4
1390289,95.8,1.0,109.1,93.2,37.4
1390290,72.5,1.5,62.8,68.4,27.7
1390291,103.1,25.5,123.6,146.3,27.8
1390292,80.3,1.0,69.8,120.5,42.1
1390293,56.8,1.4,87.3,75.8,33.7
1390294,90.8,21.2,96.5,87.9,42.4
1390295,97.4,16.4,81.8,109.6,34.1
1390296,95.6,5.4,106.8,126.7,44.2
1390297,89.8,1.4,82.9,108.4,56.1
1390298,77.9,1.0,62.6,148.1,58.2
1390299,66.6,7.5,112.1,143.3,48.5
1390300,51.4,26.3,100.5,118.8,39.0
1390301,90.3,2.0,137.4,96.5,28.3
1390302,102.9,15.0,92.5,103.1,32.0
1390303,139.7,5.4,113.0,118.6,36.0
1390304,108.4,4.5,106.5,70.7,61.6
1390305,31.1,3.6,118.6,118.7,34.7
1390306,50.7,3.7,102.1,76.5,53.7
1390307,77.1,1.6,104.0,97.8,45.2
1390308,75.1,2.2,66.8,93.1,46.1
1390309,115.4,29.8,80.6,151.8,37.0
1390310,99.7,33.5,128.3,119.2,39.5
1390311,99.5,7.5,58.6,131.5,37.7
1390312,77.4,17.0,138.8,81.2,40.2
1390313,121.6,22.8,100.9,141.2,35.0
1390314,143.4,1.5,66.8,112.6,43.3
1390315,74.3,10.3,130.0,79.0,33.9
1390316,130.2,5.8,142.3,89.1,51.6
1390317,103.9,29.1,105.6,89.2,39.4
1390318,75.0,29.1,97.7,116.2,39.8
1390319,86.2,14.4,121.5,107.6,53.1
1390320,124.0,4.9,79.8,96.5,19.8
1390321,63.7,22.3,127.0,103.7,80.0
1390322,152.6,26.4,89.5,129.6,51.1
1390323,82.5,2.4,118.2,87.3,34.3
1390324,85.5,8.2,134.9,95.6,12.9
1390325,82.5,25.2,92.0,53.2,37.7
1390326,126.3,3.8,106.0,73.9,53.5
1390327,86.5,6.8,113.2,102.9,37.3
1390328,95.4,4.8,82.3,94.2,54.1
1390329,112.3,5.9,139.9,154.4,46.6
1390330,131.2,13.9,115.1,90.1,50.6
1390331,96.3,1.0,88.1,114.2,75.6
1390332,121.8,4.7,74.2,88.5,50.4
1390333,72.1,1.0,122.2,109.9,51.0
1390334,109.1,3.2,105.9,75.7,45.0
1390335,80.3,1.9,120.6,100.2,64.8
1390336,96.7,1.0,80.4,97.6,56.3
1390337,107.8,2.6,62.0,117.4,41.7
1390338,112.1,28.5,117.7,61.4,31.8
1390339,104.5,3.7,143.4,119.5,43.7
1390340,105.2,47.1,106.5,60.5,52.6
1390341,88.9,1.0,119.3,61.4,17.2
1390342,92.4,1.7,57.8,154.4,67.3
1390343,137.3,2.0,143.3,107.6,46.9
1390344,102.8,1.0,107.5,83.5,39.6
1390345,94.3,16.4,68.0,67.0,43.1
1390346,114.1,20.8,95.4,108.9,25.2
1390347,97.4,1.5,41.6,59.8,52.7
1390348,83.8,6.9,123.0,136.6,37.0
1390349,108.5,4.2,85.8,96.4,21.7
1390350,128.0,1.0,87.2,110.8,48.2
1390351,62.1,2.9,54.9,91.6,48.6
1390352,77.9,20.2,109.9,76.7,39.4
1390353,99.3,4.8,127.1,107.3,34.6
1390354,89.0,3.1,89.8,72.9,41.0
1390355,76.8,13.7,123.1,71.8,35.7
1390356,110.2,40.2,85.2,99.7,49.7
1390357,80.6,3.7,132.7,119.7,37.4
1390358,79.1,14.4,84.5,111.0,62.6
1390359,70.9,2.7,134.5,118.9,26.6
1390360,71.3,7.2,104.4,71.6,53.5
1390361,136.5,42.0,114.6,52.1,67.0
1390362,91.4,1.0,114.2,117.5,49.6
1390363,75.3,3.9,71.5,119.6,7.7
1390364,103.3,36.4,114.3,107.4,41.6
1390365,85.1,13.0,154.8,105.0,56.8
1390366,90.3,27.5,124.2,122.2,41.6
1390367,139.3,6.2,116.8,126.0,46.7
1390368,124.5,11.5,110.5,63.2,38.8
1390369,112.0,6.9,49.2,115.9,21.9
1390370,102.5,2.9,54.4,93.2,49.0
1390371,85.1,4.6,119.6,87.5,29.3
1390372,141.7,7.6,103.3,145.7,52.9
1390373,86.8,26.4,98.3,53.2,60.3
1390374,114.7,26.1,113.5,125.2,24.4
1390375,90.8,4.0,74.9,135.4,45.2
1390376,77.8,2.6,135.6,98.9,42.0
1390377,114.9,,92.1,153.9,12.5
1390378,118.7,12.1,117.6,97.2,46.4
1390379,89.2,18.7,77.6,113.4,11.4
1390380,80.8,16.2,117.2,71.3,16.7
1390381,42.7,1.0,80.5,128.0,27.2
1390382,121.9,3.1,79.7,91.3,68.0
1390383,110.3,4.0,125.6,121.0,55.7
1390384,102.9,8.9,87.4,104.3,25.7
1390385,116.4,2.6,106.8,96.4,41.0
1390386,91.0,22.9,86.3,105.0,48.7
1390387,92.5,6.0,104.3,109.2,59.0
1390388,100.1,1.0,84.6,91.9,28.0
1390389,134.3,11.6,89.6,111.2,63.6
1390390,102.6,65.0,85.5,87.2,51.2
1390391,102.0,2.6,99.6,76.8,54.9
1390392,80.4,7.4,184.3,87.0,40.3
1390393,98.3,13.3,138.0,68.4,34.1
1390394,177.9,25.2,46.9,108.9,56.7
1390395,113.5,2.9,81.8,103.3,33.3
1390396,100.8,35.1,130.4,90.5,53.6
1390397,71.1,3.8,114.9,80.7,52.0
1390398,99.0,21.5,133.6,84.5,32.4
1390399,76.2,3.5,95.5,139.2,56.7
1390400,76.6,34.4,177.1,123.4,20.8
1390401,76.8,26.1,124.4,119.6,43.1
1390402,127.6,28.2,106.0,114.1,19.3
1390403,86.9,6.9,87.0,80.6,39.9
1390404,76.1,5.4,94.3,85.4,29.8
1390405,77.7,5.3,139.7,75.2,21.0
1390406,88.4,8.1,73.4,116.5,34.7
1390407,93.1,53.2,47.7,105.7,48.6
1390408,140.5,7.9,70.6,157.0,55.0
1390409,70.8,1.0,111.6,100.3,53.2
1390410,105.1,7.7,99.7,129.5,47.8
1390411,88.2,9.5,81.4,112.1,63.9
1390412,63.6,4.7,91.5,87.7,57.1
1390413,67.5,7.8,70.2,95.1,30.0
1390414,70.7,2.7,108.2,61.3,47.9
1390415,96.8,27.9,110.6,110.3,49.4
1390416,136.1,2.6,127.7,86.8,52.3
1390417,109.7,13.3,115.2,127.2,59.2
1390418,94.0,7.2,66.1,55.5,56.8
1390419,126.4,16.9,138.5,107.0,69.2
1390420,104.9,6.7,95.2,80.2,72.8
1390421,86.2,7.2,111.6,72.4,32.8
1390422,98.0,14.7,126.4,95.8,52.7
1390423,117.3,10.4,99.1,68.8,43.9
1390424,83.4,51.8,71.7,85.5,43.0
1390425,80.3,1.7,54.9,86.1,22.7
1390426,141.1,2.8,109.1,128.6,46.1
1390427,89.9,9.0,102.3,89.0,56.6
1390428,112.5,7.3,112.6,80.9,81.0
1390429,71.5,16.1,123.0,125.7,36.7
1390430,85.6,2.4,69.7,92.6,49.9
1390431,140.3,11.1,85.2,85.6,59.6
1390432,102.2,25.0,95.2,118.3,49.1
1390433,75.9,1.5,78.6,65.6,25.5
1390434,113.9,11.0,91.4,145.6,42.6
1390435,134.6,17.7,103.5,120.3,35.8
1390436,88.9,5.8,142.2,117.1,59.8
1390437,100.2,3.6,148.7,73.0,33.0
1390438,103.4,5.2,114.4,74.8,13.2
1390439,118.4,9.5,99.7,70.4,48.9
1390440,110.1,3.6,132.8,116.5,44.7
1390441,86.6,7.1,92.3,78.8,47.2
1390442,121.7,45.2,100.5,73.9,53.3
1390443,109.3,17.1,125.4,86.7,26.0
1390444,76.1,22.1,83.7,151.7,38.2
1390445,98.3,37.0,127.0,106.2,61.5
1390446,84.3,3.2,88.8,117.4,46.4
1390447,73.1,17.7,91.3,60.1,29.8
1390448,81.0,4.8,124.4,144.5,61.0
1390449,126.5,9.5,104.6,87.4,27.4
1390450,130.6,7.4,110.2,54.0,52.5
1390451,69.6,3.5,103.4,119.8,45.8
1390452,125.8,5.4,112.3,86.7,46.5
1390453,96.1,24.8,92.5,124.9,42.2
1390454,117.6,11.8,109.3,75.9,32.9
1390455,135.4,7.7,84.7,154.5,30.0
1390456,135.9,20.6,82.4,118.4,40.0
1390457,108.2,26.6,134.1,66.8,38.1
1390458,82.2,14.7,133.2,98.3,65.6
1390459,137.6,7.7,94.5,107.6,37.2
1390460,134.0,17.7,122.6,70.9,17.9
1390461,108.5,22.7,96.7,109.5,48.2
1390462,79.8,8.2,86.5,74.2,7.4
1390463,131.6,4.6,81.6,86.1,17.5
1390464,69.4,3.5,76.2,139.1,15.3
1390465,52.0,48.8,108.0,76.4,12.8
1390466,110.5,5.6,119.9,112.7,42.2
1390467,142.2,23.7,103.9,94.4,44.7
1390468,101.3,22.8,95.0,104.0,20.5
1390469,98.2,33.2,75.6,103.4,50.8
1390470,116.9,12.1,98.3,74.6,53.2
1390471,81.6,27.3,107.5,155.5,70.1
1390472,131.9,8.1,122.3,78.5,42.3
1390473,92.3,16.6,106.3,113.4,46.8
1390474,76.9,27.2,125.4,56.8,40.0
1390475,97.9,15.3,116.9,52.0,32.7
1390476,78.9,10.8,110.5,119.0,32.5
1390477,89.8,8.0,112.8,82.1,30.1
1390478,92.5,14.6,111.6,138.2,57.2
1390479,110.5,39.0,119.5,88.3,41.6
1390480,104.4,59.8,116.4,110.7,53.3
1390481,111.2,27.8,86.9,109.7,3.2
1390482,108.4,11.6,83.3,82.7,39.7
1390483,138.0,32.2,95.9,137.1,38.9
1390484,102.3,5.5,113.3,111.7,29.4
1390485,74.2,7.6,115.1,103.5,43.4
1390486,86.4,5.1,169.8,83.6,70.9
1390487,80.3,36.3,89.8,59.5,55.4
1390488,88.2,36.0,110.3,108.8,39.8
1390489,115.8,5.2,123.1,148.2,57.5
1390490,120.3,12.6,109.9,127.2,36.3
1390491,96.6,13.0,120.2,41.1,76.6
1390492,153.1,34.0,82.6,111.5,37.5
1390493,132.9,7.2,130.2,102.1,52.9
1390494,48.0,16.8,77.4,63.8,48.5
1390495,84.0,1.0,54.5,66.9,47.5
1390496,87.6,10.5,110.3,99.9,57.9
1390497,108.1,13.9,39.8,130.8,57.7
1390498,102.7,12.4,124.8,102.0,38.8
1390499,87.9,7.9,109.8,154.3,33.7
1390500,110.2,34.1,142.9,109.4,37.7
1390501,124.4,27.4,70.0,122.7,30.4
1390502,88.5,5.7,69.7,115.8,23.5
1390503,80.1,1.1,106.9,99.8,58.9
1390504,90.6,57.7,118.6,94.8,47.8
1390505,95.1,10.9,119.7,103.7,59.1
1390506,55.8,12.2,100.4,79.7,22.9
1390507,111.6,1.6,123.5,45.3,65.5
1390508,135.6,7.2,94.6,81.7,60.2
1390509,122.5,3.4,117.5,130.7,38.0
1390510,127.2,1.3,86.7,161.7,79.8
1390511,76.0,6.3,131.9,141.3,43.5
1390512,79.8,4.0,69.2,117.1,64.6
1390513,136.9,22.7,85.7,100.0,39.2
1390514,48.2,5.8,71.9,111.1,47.6
1390515,110.1,24.8,50.3,105.9,42.3
1390516,142.7,20.3,117.8,84.2,53.0
1390517,104.7,50.8,122.7,77.9,44.9
1390518,117.7,16.0,112.9,108.8,51.5
1390519,111.8,49.0,72.8,120.0,57.2
1390520,98.2,5.4,73.1,113.7,45.9
1390521,113.5,28.1,135.8,126.5,33.9
1390522,93.5,21.3,100.0,105.2,10.0
1390523,79.0,3.7,97.2,73.5,33.0
1390524,70.2,6.4,111.4,76.8,61.1
1390525,96.1,1.0,125.4,86.9,61.3
1390526,109.7,12.4,47.3,133.5,49.4
1390527,35.5,2.3,135.8,115.4,41.9
1390528,84.7,24.0,86.3,98.4,23.8
1390529,46.3,4.8,96.3,73.6,33.2
1390530,86.0,6.1,91.3,109.7,45.1
1390531,83.3,1.7,77.6,91.0,37.0
1390532,101.4,3.4,120.0,66.7,79.9
1390533,80.0,3.4,102.9,116.9,40.2
1390534,96.4,6.8,107.0,114.1,38.4
1390535,111.7,7.2,40.5,103.2,47.1
1390536,70.9,18.9,121.0,81.8,44.8
1390537,113.7,8.3,88.1,108.3,43.4
1390538,98.1,12.6,158.3,98.6,63.7
1390539,111.4,5.6,114.1,100.6,52.4
1390540,81.6,42.3,74.4,96.0,58.7
1390541,103.1,5.1,85.4,84.4,38.7
1390542,111.8,2.9,93.0,97.1,48.0
1390543,121.3,25.4,126.0,65.2,39.6
1390544,62.7,1.0,81.3,96.7,45.0
1390545,117.0,2.0,68.5,127.0,52.9
1390546,73.8,8.7,133.2,85.9,33.8
1390547,93.0,22.0,98.8,119.6,41.5
1390548,95.6,5.4,85.1,96.3,65.6
1390549,86.3,2.6,91.9,75.0,27.8
1390550,107.0,13.9,100.4,88.3,79.2
1390551,143.9,20.0,123.7,100.5,15.6
1390552,121.0,1.0,89.8,80.8,21.7
1390553,103.4,9.1,122.7,89.1,34.9
1390554,116.3,19.8,97.3,121.0,13.4
1390555,51.5,1.0,94.4,117.7,31.0
1390556,109.3,11.6,118.1,70.8,60.0
1390557,84.4,10.8,133.2,104.2,47.2
1390558,170.3,29.7,98.2,122.6,27.8
1390559,40.5,15.4,146.0,89.2,41.3
1390560,78.6,4.0,86.1,141.9,43.5
1390561,132.5,1.6,97.6,130.3,58.4
1390562,102.8,5.8,152.2,106.5,60.0
1390563,89.7,8.2,79.3,81.8,26.1
1390564,88.5,11.0,85.6,102.1,42.1
1390565,68.0,3.5,119.7,101.6,44.6
1390566,98.1,9.3,76.3,84.0,58.5
1390567,81.3,11.5,84.5,99.3,55.6
1390568,101.8,40.9,105.3,32.9,52.4
1390569,78.7,14.3,108.8,95.6,44.0
1390570,115.5,23.7,117.1,133.9,56.6
1390571,89.3,5.0,104.5,91.2,52.1
1390572,109.3,9.7,122.6,106.8,46.7
1390573,30.9,39.8,140.8,117.6,32.0
1390574,126.6,4.1,131.2,100.9,60.7
1390575,107.1,24.8,109.6,103.8,36.0
1390576,109.9,,96.1,105.1,77.7
1390577,88.3,19.1,88.3,87.3,52.0
1390578,88.4,61.7,98.7,91.8,59.8
1390579,79.0,5.5,106.1,87.0,68.1
