CartID,TotalItems,ShippingCostRatio,EasyPaymentUsed,SessionDuration_Secs,CartAbandoned
1120234,79.0,37.1,112.6,41.0,0
1120235,90.1,28.8,93.2,52.0,0
1120236,83.7,37.3,76.4,49.5,1
1120237,71.9,40.1,75.6,46.0,0
1120238,133.8,23.3,93.1,45.0,0
1120239,60.9,41.3,89.4,69.4,1
1120240,86.6,38.5,100.6,63.4,0
1120241,100.8,58.0,135.7,70.6,1
1120242,77.7,42.0,91.9,46.4,1
1120243,128.7,73.8,100.9,89.3,1
1120244,91.7,30.8,84.4,16.8,0
1120245,116.6,59.0,148.1,37.2,1
1120246,76.4,58.2,102.8,63.8,1
1120247,105.0,28.9,79.6,54.3,1
1120248,54.8,61.5,92.0,34.1,1
1120249,91.7,62.9,73.7,48.6,1
1120250,96.5,53.0,107.2,32.9,1
1120251,40.4,67.3,130.0,74.1,1
1120252,108.1,25.2,50.7,69.0,0
1120253,87.8,41.6,69.8,46.9,1
1120254,124.6,66.6,124.3,43.6,0
1120255,74.0,43.8,71.7,58.1,1
1120256,137.5,55.7,159.1,34.1,0
1120257,102.7,34.1,89.4,59.4,0
1120258,95.2,23.1,111.7,51.0,0
1120259,90.7,,144.4,52.5,1
1120260,131.5,35.0,102.1,54.3,1
1120261,118.2,59.2,110.1,19.6,0
1120262,152.6,56.9,96.5,47.8,1
1120263,133.1,44.3,92.0,43.3,0
1120264,57.2,62.2,74.7,25.5,0
1120265,158.2,55.6,96.6,32.3,0
1120266,120.0,62.4,108.6,50.6,1
1120267,126.0,39.0,117.8,36.9,0
1120268,90.5,72.4,122.5,34.1,1
1120269,98.4,53.2,116.6,47.2,1
1120270,97.0,60.9,148.3,20.8,0
1120271,102.5,45.7,111.8,45.0,0
1120272,70.2,59.8,148.5,15.1,0
1120273,94.1,44.5,98.3,51.9,0
1120274,144.5,51.5,105.4,58.5,0
1120275,72.6,17.4,91.9,53.2,0
1120276,65.8,31.0,84.1,51.7,1
1120277,54.4,50.3,83.0,60.8,1
1120278,54.1,64.9,94.5,45.4,1
1120279,108.2,53.8,93.3,54.5,0
1120280,119.9,21.5,125.1,27.1,0
1120281,55.1,24.0,71.6,47.3,0
1120282,111.9,38.9,85.6,49.3,1
1120283,100.2,46.2,161.2,23.7,1
1120284,122.9,39.0,99.4,28.8,1
1120285,177.6,58.9,115.6,39.8,0
1120286,59.9,47.2,102.6,64.1,1
1120287,89.8,65.8,122.3,43.6,1
1120288,122.1,44.2,124.9,53.5,0
1120289,88.9,13.6,88.4,29.7,0
1120290,122.8,32.8,93.3,46.5,1
1120291,88.5,17.4,180.5,40.8,1
1120292,96.4,44.6,111.7,45.6,1
1120293,107.2,62.8,132.1,49.7,1
1120294,117.4,33.2,46.4,32.2,0
1120295,106.5,48.0,88.4,26.7,0
1120296,60.1,29.8,64.1,42.6,1
1120297,106.7,66.4,147.2,48.2,1
1120298,129.4,70.5,106.0,43.5,1
1120299,110.6,72.8,104.4,61.0,1
1120300,61.0,33.9,148.8,43.1,0
1120301,90.0,26.1,141.0,35.9,0
1120302,73.1,77.8,119.9,33.4,1
1120303,93.8,54.3,93.8,43.5,0
1120304,129.4,45.6,104.1,32.1,1
1120305,76.5,27.9,113.7,47.0,1
1120306,95.0,37.1,104.2,70.6,1
1120307,144.3,62.7,77.2,59.3,1
1120308,137.6,85.2,145.4,24.8,0
1120309,133.9,46.1,39.1,35.3,0
1120310,100.5,53.8,118.6,66.4,1
1120311,104.2,64.5,116.5,15.7,1
1120312,101.8,42.1,112.5,46.7,1
1120313,87.8,52.8,128.2,56.1,0
1120314,99.7,75.1,107.9,47.9,1
1120315,137.2,62.5,124.8,26.4,0
1120316,110.7,58.5,71.9,45.5,1
1120317,113.0,55.3,105.3,33.0,0
1120318,116.8,48.3,63.0,30.1,0
1120319,114.8,53.9,109.2,45.9,1
1120320,142.2,31.1,89.7,52.8,1
1120321,101.8,15.6,70.3,53.4,0
1120322,131.3,50.9,91.1,48.2,1
1120323,75.9,42.0,53.1,59.0,1
1120324,145.9,56.9,123.6,57.8,1
1120325,112.4,53.7,110.9,54.5,1
1120326,104.8,41.9,105.7,49.7,0
1120327,131.2,35.2,116.5,74.7,1
1120328,114.5,55.8,72.2,34.6,1
1120329,113.1,52.4,83.0,55.7,1
1120330,127.0,29.3,88.7,42.1,1
1120331,111.5,48.3,98.4,52.9,1
1120332,58.7,41.1,107.3,48.0,0
1120333,86.4,30.4,112.7,45.1,1
1120334,163.3,53.3,84.2,31.1,0
1120335,109.9,20.0,96.8,76.6,1
1120336,160.9,60.3,92.8,49.2,0
1120337,86.2,42.0,97.4,55.1,0
1120338,116.0,21.2,89.2,72.2,1
1120339,108.1,46.4,73.9,30.5,0
1120340,53.3,30.8,97.1,19.0,0
1120341,71.8,34.3,130.5,39.9,1
1120342,133.4,25.3,114.0,47.6,0
1120343,106.5,47.7,100.4,45.8,1
1120344,101.1,32.7,88.4,42.1,0
1120345,157.1,53.7,84.7,47.1,1
1120346,71.6,64.8,120.5,42.1,0
1120347,161.7,10.1,116.7,57.6,1
1120348,68.3,23.9,76.6,18.8,0
1120349,99.2,29.9,136.4,50.8,0
1120350,149.2,54.0,77.2,49.7,1
1120351,121.2,24.7,136.4,45.8,1
1120352,109.0,40.2,73.3,31.6,0
1120353,84.2,84.4,119.6,63.0,0
1120354,133.7,66.9,93.8,48.7,0
1120355,117.8,48.1,129.4,33.9,0
1120356,121.2,39.8,133.1,54.4,0
1120357,48.4,26.7,89.7,38.4,1
1120358,129.0,47.6,120.7,40.3,0
1120359,114.4,46.2,170.8,55.4,0
1120360,68.9,28.4,119.2,52.2,0
1120361,99.8,60.6,128.9,46.1,1
1120362,65.9,37.3,106.3,33.1,1
1120363,61.3,65.2,119.2,40.5,0
1120364,110.4,66.3,106.8,56.2,0
1120365,83.4,66.4,112.1,47.8,1
1120366,98.8,32.5,101.3,33.6,1
1120367,113.4,50.1,112.1,61.2,0
1120368,131.3,20.4,78.3,14.7,1
1120369,108.6,44.2,114.1,51.7,1
1120370,90.5,56.0,85.9,62.3,1
1120371,99.1,28.4,85.5,28.4,0
1120372,120.8,62.1,112.2,51.4,1
1120373,106.9,29.8,148.1,45.0,0
1120374,114.0,16.8,121.2,29.8,0
1120375,82.4,35.3,142.6,56.1,1
1120376,96.7,52.2,113.3,44.9,0
1120377,142.1,50.8,104.5,24.9,1
1120378,109.0,31.5,74.6,30.5,0
1120379,68.9,25.1,105.7,33.0,0
1120380,103.8,50.3,127.4,51.8,0
1120381,77.7,16.3,94.4,33.3,0
1120382,108.1,54.9,52.9,63.2,0
1120383,126.8,49.1,101.2,43.0,1
1120384,80.5,60.2,127.5,47.3,0
1120385,84.7,42.6,83.7,54.3,1
1120386,101.9,40.0,93.3,41.9,0
1120387,128.7,44.4,107.7,38.6,0
1120388,67.3,34.4,133.4,43.5,1
1120389,111.1,24.9,151.2,66.7,1
1120390,102.7,67.1,75.1,29.1,1
1120391,87.1,55.0,142.8,44.0,1
1120392,123.9,37.6,82.5,45.6,1
1120393,66.1,77.7,67.2,43.0,1
1120394,125.0,45.0,91.2,28.1,1
1120395,105.9,71.0,75.4,48.4,1
1120396,82.4,64.4,115.7,40.8,1
1120397,116.6,27.7,114.3,22.5,0
1120398,89.7,62.7,117.4,51.8,1
1120399,101.2,50.9,93.1,78.4,1
1120400,73.3,35.6,55.5,38.6,0
1120401,82.5,14.3,102.9,45.1,0
1120402,108.2,18.6,97.5,28.6,0
1120403,70.3,60.6,113.1,43.2,1
1120404,78.3,58.3,75.7,59.4,1
1120405,87.6,53.9,86.4,43.2,0
1120406,109.1,,102.8,59.3,0
1120407,87.4,47.4,127.3,50.5,1
1120408,86.8,45.8,87.7,56.5,1
1120409,97.9,16.3,106.2,23.4,1
1120410,129.0,12.5,92.8,52.9,1
1120411,79.4,60.0,77.4,12.0,0
1120412,125.8,61.3,90.9,60.7,1
1120413,57.2,75.2,62.2,45.6,1
1120414,111.8,58.2,130.8,44.3,0
1120415,75.0,45.7,105.8,31.1,1
1120416,118.0,53.6,117.5,35.1,0
1120417,128.4,58.1,55.7,48.5,1
1120418,87.2,54.0,110.0,44.5,0
1120419,54.9,63.3,70.3,45.8,1
1120420,86.8,55.9,111.6,39.0,1
1120421,87.8,33.6,81.8,38.6,1
1120422,71.6,53.5,90.6,32.0,0
1120423,132.5,69.7,99.2,41.7,1
1120424,117.7,80.6,118.6,46.4,0
1120425,121.3,60.7,60.8,29.3,0
1120426,45.8,38.8,53.0,26.8,0
1120427,101.8,45.2,152.7,24.8,0
1120428,93.4,34.7,102.1,34.3,0
1120429,76.7,47.8,70.4,52.2,0
1120430,86.0,53.0,102.8,38.8,0
1120431,126.3,25.8,98.5,38.1,0
1120432,98.6,43.3,111.1,36.0,0
1120433,131.5,60.6,99.2,73.6,1
1120434,56.7,38.7,113.3,37.1,0
1120435,109.5,46.2,58.7,64.1,1
1120436,97.7,37.8,85.1,28.0,0
1120437,99.3,26.3,96.5,48.5,1
1120438,79.7,29.2,105.7,7.2,0
1120439,88.9,41.7,100.9,67.4,1
1120440,85.0,55.0,117.0,39.7,0
1120441,92.0,32.0,95.2,46.0,0
1120442,72.4,51.4,104.5,46.3,1
1120443,89.0,47.2,140.5,40.5,1
1120444,97.9,37.8,102.4,70.1,1
1120445,73.3,18.6,53.4,46.1,1
1120446,122.0,20.6,120.3,44.0,0
1120447,91.3,47.2,51.8,10.1,1
1120448,90.4,54.1,107.6,67.0,1
1120449,68.6,31.4,99.1,54.8,0
1120450,89.4,44.4,93.9,33.3,0
1120451,96.8,55.5,122.6,54.7,1
1120452,88.3,44.3,80.0,37.0,0
1120453,36.5,58.1,102.5,56.1,1
1120454,107.0,27.0,66.4,27.8,0
1120455,93.9,48.6,66.5,48.3,0
1120456,158.2,17.2,142.5,37.9,0
1120457,128.3,43.6,111.0,36.7,0
1120458,88.2,26.3,42.8,54.5,1
1120459,80.1,48.4,73.8,49.4,1
1120460,99.3,53.2,158.8,32.2,0
1120461,103.7,41.2,73.8,43.8,1
1120462,77.0,43.2,65.5,61.6,1
1120463,112.5,59.2,100.4,66.8,0
1120464,135.5,37.4,140.7,67.8,1
1120465,112.3,81.5,95.7,46.1,0
1120466,98.2,33.5,79.6,47.6,1
1120467,84.1,48.8,92.0,67.3,1
1120468,112.5,38.0,98.0,57.4,1
1120469,114.1,33.7,107.3,51.8,0
1120470,72.2,65.9,102.0,13.7,0
1120471,137.6,64.4,89.6,63.4,1
1120472,46.1,46.9,79.7,36.5,1
1120473,105.3,45.3,114.0,49.7,1
1120474,104.1,32.7,94.5,25.3,0
1120475,115.3,55.0,104.9,42.4,0
1120476,91.8,54.0,95.0,39.3,0
1120477,90.3,43.2,64.7,52.6,0
1120478,79.9,40.2,121.1,14.9,0
1120479,103.0,41.6,141.1,52.8,0
1120480,90.7,35.9,65.8,27.1,0
1120481,99.7,61.1,86.3,49.0,1
1120482,86.9,36.8,82.7,40.7,1
1120483,111.9,37.7,78.3,43.0,0
1120484,111.1,74.7,114.5,52.1,1
1120485,98.7,33.0,92.2,60.7,0
1120486,75.0,44.4,87.8,43.9,0
1120487,108.6,61.4,142.4,67.2,1
1120488,101.1,58.1,96.3,37.8,1
1120489,154.6,42.7,141.5,37.9,0
1120490,96.5,46.7,66.3,58.4,1
1120491,117.5,28.1,119.0,34.4,1
1120492,101.5,58.9,95.6,67.1,1
1120493,82.9,29.7,135.5,45.2,0
1120494,75.8,41.1,99.3,42.3,1
1120495,64.0,79.4,94.7,71.2,1
1120496,102.3,37.1,87.1,74.4,0
1120497,83.3,56.4,50.9,25.8,1
1120498,67.4,36.2,102.9,51.1,1
1120499,100.2,62.8,129.8,54.7,1
1120500,90.9,4.9,81.7,72.7,1
1120501,113.1,34.7,75.2,66.4,0
1120502,109.3,38.7,122.0,42.4,0
1120503,101.2,55.5,99.5,62.9,1
1120504,98.9,62.6,65.9,80.4,0
1120505,108.3,58.7,99.4,48.9,1
1120506,83.1,27.7,91.6,49.2,0
1120507,70.6,16.7,78.4,47.0,1
1120508,78.4,29.2,156.3,48.3,1
1120509,87.1,17.1,90.2,63.7,1
1120510,146.4,59.3,96.4,47.3,1
1120511,84.1,71.2,106.9,48.3,1
1120512,105.3,72.2,99.3,19.7,0
1120513,87.3,48.2,108.3,22.8,0
1120514,101.0,29.1,133.3,66.5,1
1120515,137.2,50.0,107.0,42.6,1
1120516,119.9,52.7,107.6,54.2,1
1120517,145.6,53.3,144.8,62.6,0
1120518,61.9,34.4,117.3,40.4,1
1120519,132.3,55.3,49.5,37.8,1
1120520,68.8,,70.8,4.6,0
1120521,119.4,57.0,62.4,32.3,0
1120522,55.5,43.8,111.9,42.8,1
1120523,74.0,46.7,135.3,27.9,0
1120524,119.6,17.6,93.9,50.5,1
1120525,89.7,44.4,138.0,78.8,0
1120526,115.2,18.2,107.3,35.4,0
1120527,97.7,36.8,109.0,68.1,0
1120528,91.0,11.0,78.7,9.9,0
1120529,103.1,46.5,170.3,42.0,0
1120530,137.6,43.9,93.0,47.3,0
1120531,129.4,58.8,26.1,47.5,0
1120532,92.7,71.3,121.7,60.7,1
1120533,121.2,53.2,111.3,32.2,0
1120534,58.5,25.6,96.5,29.8,0
1120535,103.0,36.7,103.6,41.4,1
1120536,113.0,51.0,87.0,30.6,0
1120537,44.4,57.4,80.9,40.4,0
1120538,152.6,54.1,122.6,30.2,0
1120539,118.7,27.5,115.6,49.2,1
1120540,68.1,38.4,66.1,52.8,1
1120541,118.8,42.0,108.2,48.1,0
1120542,88.1,22.3,93.3,38.1,1
1120543,106.6,58.5,98.4,36.1,0
1120544,84.2,30.6,119.5,28.5,1
1120545,142.5,50.2,115.8,17.2,0
1120546,82.9,48.6,127.4,73.9,1
1120547,70.9,12.9,102.7,56.7,1
1120548,82.4,54.8,128.6,30.7,1
1120549,92.2,46.1,89.5,28.7,0
1120550,94.6,86.5,87.0,62.6,0
1120551,123.9,66.1,123.9,47.3,1
1120552,141.4,62.3,149.2,54.1,0
1120553,123.8,31.5,113.4,58.4,1
1120554,79.0,61.1,83.1,16.3,0
1120555,97.5,57.5,83.7,29.2,0
1120556,64.3,55.7,139.2,43.0,0
1120557,105.2,48.4,121.1,45.6,1
1120558,121.5,47.1,54.7,67.6,1
1120559,72.3,45.0,103.5,26.4,0
1120560,132.2,45.7,125.2,43.0,0
1120561,126.6,37.3,88.6,22.0,1
1120562,131.5,21.4,114.3,60.8,1
1120563,129.6,50.0,139.9,44.3,0
1120564,89.8,42.2,132.2,77.4,1
1120565,118.7,57.3,103.8,45.4,0
1120566,133.5,57.1,110.4,49.0,0
1120567,96.4,45.6,110.7,29.6,1
1120568,142.8,44.6,81.7,49.9,1
1120569,121.3,64.3,117.4,63.0,1
1120570,76.6,22.7,95.8,22.4,0
1120571,98.2,75.2,88.6,35.9,0
1120572,96.1,69.5,139.5,68.9,1
1120573,117.2,56.0,79.4,27.3,0
1120574,83.9,58.4,95.8,49.2,1
1120575,152.4,15.8,97.1,65.7,0
1120576,55.3,26.6,119.4,49.1,0
1120577,109.1,18.4,123.0,26.5,0
1120578,67.7,55.7,113.7,50.7,1
1120579,90.0,34.6,144.3,58.4,1
1120580,101.8,52.5,108.0,35.2,0
1120581,101.8,66.0,72.8,42.3,0
1120582,74.5,52.9,47.8,19.2,0
1120583,100.1,0.5,114.4,85.6,1
1120584,104.6,23.4,74.9,43.6,1
1120585,87.4,54.9,111.6,59.1,1
1120586,112.9,25.0,117.1,51.5,1
1120587,82.1,41.0,105.2,56.5,1
1120588,58.0,28.7,51.2,43.0,0
1120589,135.2,79.8,91.4,44.5,1
1120590,116.5,60.9,109.5,62.7,0
1120591,94.3,58.7,101.0,39.5,1
1120592,97.4,35.7,99.1,53.5,1
1120593,65.7,60.2,75.8,45.5,0
1120594,118.3,12.6,137.7,42.1,0
1120595,106.0,35.1,121.0,40.3,1
1120596,80.2,41.0,72.4,40.6,0
1120597,112.1,27.9,102.7,28.4,0
1120598,100.0,,87.2,70.5,0
1120599,110.3,39.2,120.2,43.2,1
1120600,100.0,31.1,114.0,39.7,1
1120601,96.9,30.1,56.4,51.4,0
1120602,79.6,24.3,119.1,41.4,0
1120603,102.6,19.6,84.5,44.4,1
1120604,113.6,60.5,72.9,63.1,0
1120605,110.9,30.8,94.7,43.5,1
1120606,118.0,60.3,77.8,15.4,1
1120607,112.1,43.0,123.3,26.9,0
1120608,104.1,55.3,77.8,58.1,0
1120609,87.0,40.7,143.4,46.3,0
1120610,105.7,50.2,118.7,41.6,0
1120611,132.3,44.9,108.1,33.0,0
1120612,118.8,36.8,76.1,51.0,1
1120613,100.4,58.1,108.0,45.1,1
1120614,126.9,,137.1,39.3,1
1120615,94.8,48.9,83.5,24.9,0
1120616,94.7,17.4,84.4,29.5,0
1120617,98.4,63.7,112.1,60.2,0
1120618,108.1,22.0,108.0,45.9,1
1120619,114.2,25.4,68.7,61.6,0
1120620,121.2,54.3,74.3,18.3,0
1120621,100.4,44.1,68.8,46.7,1
1120622,97.6,22.1,59.0,44.9,1
1120623,74.4,7.7,66.5,46.6,0
1120624,91.0,58.7,117.3,38.8,1
1120625,82.5,39.1,36.9,29.0,1
1120626,80.7,47.4,100.3,27.1,0
1120627,101.8,47.6,130.4,33.4,0
1120628,101.2,50.6,90.1,44.3,0
1120629,106.6,37.8,139.1,40.6,1
1120630,110.8,46.7,87.9,30.0,0
1120631,120.6,50.7,123.5,29.6,0
1120632,84.1,54.4,79.8,28.2,0
