ArticleID,PolarityScore,Volume_K,PriceGap_Percent,Institutional_Ratio,MarketImpactScore
1030071,7.1,125.2,26.4,34.8,5.6
1030072,8.7,95.6,49.3,24.6,7.5
1030073,7.9,94.3,71.5,15.4,7.3
1030074,6.6,79.4,38.1,51.0,4.6
1030075,7.0,104.9,35.4,30.8,7.4
1030076,10.0,101.9,43.6,70.3,7.9
1030077,8.2,134.3,53.5,62.6,3.5
1030078,5.1,106.2,27.9,68.8,8.2
1030079,6.3,86.6,43.0,48.5,8.2
1030080,6.8,106.2,66.4,40.4,7.3
1030081,6.4,73.1,41.5,46.6,7.4
1030082,7.9,128.0,49.4,11.0,9.2
1030083,5.8,90.5,72.7,39.7,9.5
1030084,7.2,68.3,53.0,53.9,5.1
1030085,7.3,92.4,15.8,47.7,8.8
1030086,8.8,81.2,83.6,35.9,7.0
1030087,5.3,117.1,39.2,48.4,6.1
1030088,7.1,110.5,57.3,61.5,6.4
1030089,4.7,87.2,42.0,80.4,4.8
1030090,8.2,137.2,47.7,45.9,7.1
1030091,7.7,99.8,55.6,38.5,7.8
1030092,7.3,113.4,22.9,40.1,7.1
1030093,8.0,91.2,23.5,58.5,5.5
1030094,4.6,142.4,33.4,4.1,5.3
1030095,7.8,99.4,66.2,63.5,5.4
1030096,6.3,88.0,52.7,48.1,6.6
1030097,9.6,91.0,46.6,66.2,7.4
1030098,7.6,109.2,31.4,45.7,7.3
1030099,9.9,66.8,59.8,13.7,8.0
1030100,9.8,117.1,31.1,35.1,7.2
1030101,6.5,159.6,51.9,61.9,4.8
1030102,6.3,83.5,30.0,66.1,6.2
1030103,6.3,129.8,71.1,14.5,6.6
1030104,7.9,99.7,26.9,53.0,9.5
1030105,9.6,123.8,6.9,55.8,5.7
1030106,6.2,119.1,53.6,54.1,7.5
1030107,6.9,96.4,63.1,47.1,6.5
1030108,4.6,111.0,52.5,67.0,8.2
1030109,9.3,80.8,63.1,42.1,7.2
1030110,7.7,112.6,46.1,30.4,9.4
1030111,10.0,123.7,38.2,45.0,7.0
1030112,6.3,83.9,40.7,41.1,10.0
1030113,7.0,94.5,54.0,51.0,9.3
1030114,6.2,84.1,54.8,17.4,6.8
1030115,7.7,98.2,34.8,70.1,9.2
1030116,7.1,71.7,30.5,52.6,6.1
1030117,8.7,144.7,45.9,67.7,8.2
1030118,7.1,178.6,17.8,40.6,5.7
1030119,6.7,73.6,50.1,39.5,6.6
1030120,5.8,49.8,79.7,38.2,7.4
1030121,6.8,102.9,30.9,39.4,5.4
1030122,6.0,56.1,57.5,45.4,5.7
1030123,6.7,147.5,48.9,55.5,7.0
1030124,6.4,108.3,47.5,28.4,9.2
1030125,8.3,119.8,45.7,60.4,9.1
1030126,9.0,89.8,49.9,48.3,4.7
1030127,5.9,118.6,50.6,53.6,8.1
1030128,8.1,115.1,45.3,49.6,6.3
1030129,7.8,103.6,49.7,46.6,8.1
1030130,5.7,71.0,48.4,60.2,6.5
1030131,5.5,153.4,57.1,59.2,5.2
1030132,10.0,118.1,32.6,49.4,8.0
1030133,9.2,121.7,40.0,39.3,6.4
1030134,4.6,132.2,47.5,32.6,2.7
1030135,6.1,116.5,71.9,48.8,8.1
1030136,7.9,125.2,63.0,54.0,6.3
1030137,7.1,65.5,37.4,55.6,8.2
1030138,5.4,101.3,53.1,42.9,6.0
1030139,7.9,123.4,63.8,69.5,7.7
1030140,6.6,41.0,76.4,33.9,8.0
1030141,10.0,80.0,44.3,34.2,6.8
1030142,9.8,93.7,39.8,46.3,6.3
1030143,5.1,152.7,49.9,21.2,7.4
1030144,7.0,62.9,32.6,30.9,7.4
1030145,6.3,62.5,43.1,51.5,8.9
1030146,4.0,126.5,35.9,34.4,7.0
1030147,6.1,91.9,28.3,41.4,6.6
1030148,7.5,128.5,70.4,27.8,8.5
1030149,5.2,147.6,33.0,61.7,7.4
1030150,7.9,106.3,26.8,42.1,4.9
1030151,7.2,94.8,23.7,57.0,4.8
1030152,7.1,102.8,35.0,46.9,6.1
1030153,9.7,71.4,29.5,66.3,4.8
1030154,5.7,101.9,25.2,41.5,5.3
1030155,6.0,123.7,43.1,50.6,8.5
1030156,8.0,115.1,18.0,44.6,5.9
1030157,6.8,114.4,49.2,24.0,5.8
1030158,8.0,131.5,33.8,31.8,9.5
1030159,5.9,75.4,32.7,44.6,8.2
1030160,7.7,134.0,60.9,60.0,6.9
1030161,9.7,97.2,44.2,44.5,7.9
1030162,5.7,110.8,47.7,44.1,6.9
1030163,6.0,83.6,26.9,42.6,6.2
1030164,8.4,103.8,70.8,58.8,6.6
1030165,7.6,102.3,53.4,37.6,6.4
1030166,6.0,126.5,45.8,47.5,8.0
1030167,6.2,103.9,60.7,59.9,7.5
1030168,6.4,82.4,70.3,46.1,7.5
1030169,7.7,112.9,19.9,18.0,6.3
1030170,7.3,98.6,29.2,39.8,7.6
1030171,4.8,101.6,57.1,37.7,6.2
1030172,6.1,97.9,37.8,28.2,5.9
1030173,5.5,94.6,26.0,41.6,10.0
1030174,6.4,96.5,57.3,60.3,7.3
1030175,5.7,100.7,19.8,54.5,6.0
1030176,8.9,93.9,33.9,53.2,5.8
1030177,8.5,108.0,64.3,30.2,6.5
1030178,10.0,108.5,57.3,27.6,7.5
1030179,8.3,113.5,39.8,28.8,9.4
1030180,9.4,87.9,64.9,54.3,5.4
1030181,4.5,94.0,43.4,32.7,5.9
1030182,7.2,151.3,17.4,35.5,6.7
1030183,5.1,127.2,47.1,25.1,5.3
1030184,10.0,116.9,74.4,35.7,10.0
1030185,8.9,86.9,71.1,63.2,7.3
1030186,8.8,65.5,28.7,52.8,8.9
1030187,5.0,84.8,15.0,79.0,5.8
1030188,4.6,71.4,50.4,50.2,9.5
1030189,6.9,90.6,39.2,64.8,5.6
1030190,7.2,72.6,36.9,62.1,10.0
1030191,2.4,100.7,43.8,39.3,7.8
1030192,6.5,127.6,14.8,56.6,8.7
1030193,5.8,117.4,52.8,48.7,7.7
1030194,4.9,102.1,42.6,38.1,6.9
1030195,8.4,119.3,45.7,46.3,8.2
1030196,6.6,85.5,15.9,55.6,7.1
1030197,5.5,112.8,55.7,45.7,4.6
1030198,7.4,125.0,52.9,70.0,9.6
1030199,7.1,53.1,15.3,59.2,6.9
1030200,6.9,116.3,58.6,39.6,8.8
1030201,6.7,94.3,37.3,60.7,8.0
1030202,8.0,144.1,16.0,33.7,5.6
1030203,4.4,124.0,29.1,7.5,8.1
1030204,9.0,69.5,43.2,47.5,7.6
1030205,7.0,153.9,30.3,46.8,9.6
1030206,6.3,98.7,49.2,83.2,9.4
1030207,8.2,97.0,59.6,62.6,4.9
1030208,6.4,82.8,36.7,17.4,8.0
1030209,8.4,106.4,57.3,45.3,9.1
1030210,7.1,84.1,44.6,39.7,6.6
1030211,8.9,135.1,54.9,58.0,6.7
1030212,4.9,66.8,51.0,30.9,5.3
1030213,5.2,63.7,61.3,28.9,4.6
1030214,6.7,63.0,42.6,60.3,10.0
1030215,6.4,89.5,44.3,48.6,6.9
1030216,7.8,116.2,45.1,30.9,6.0
1030217,7.5,116.2,39.0,54.7,4.9
1030218,8.4,47.7,38.0,44.9,5.8
1030219,6.8,126.6,56.0,49.4,8.8
1030220,5.4,140.9,44.9,35.4,5.1
1030221,7.6,124.1,52.0,8.8,6.7
1030222,9.5,94.4,52.2,41.3,7.0
1030223,6.0,80.8,47.2,56.6,4.8
1030224,8.8,128.1,29.1,63.7,6.2
1030225,7.7,74.5,31.1,43.2,7.6
1030226,6.9,133.9,51.3,28.7,6.7
1030227,10.0,54.5,55.3,39.0,3.8
1030228,8.5,102.0,55.3,50.6,5.8
1030229,7.1,12.5,75.4,52.2,5.4
1030230,10.0,78.6,50.8,60.1,8.3
1030231,4.1,119.4,55.4,47.3,5.7
1030232,6.4,136.5,39.1,50.3,8.6
1030233,7.4,54.0,51.2,71.7,7.4
1030234,6.4,93.2,44.4,29.4,6.1
1030235,4.8,93.0,36.1,47.3,9.1
1030236,7.5,113.6,41.1,41.2,8.4
1030237,5.9,126.5,48.0,55.1,9.1
1030238,9.0,79.2,26.6,38.1,8.4
1030239,5.0,94.2,40.2,15.4,5.3
1030240,6.9,136.4,84.9,60.3,9.5
1030241,5.9,53.6,60.4,49.5,8.6
1030242,8.9,108.8,11.4,47.7,6.7
1030243,7.6,90.7,39.7,34.4,3.4
1030244,8.2,103.4,32.9,42.8,5.8
1030245,5.4,38.1,53.2,44.6,9.6
1030246,7.6,75.4,37.3,16.1,6.6
1030247,5.5,113.2,52.5,24.9,6.7
1030248,6.5,66.3,75.0,37.1,8.5
1030249,9.2,64.4,51.3,55.9,6.1
1030250,3.3,115.5,33.7,44.9,6.5
1030251,9.2,109.3,25.2,40.0,7.2
1030252,9.3,112.0,42.8,45.8,7.1
1030253,4.6,108.5,22.4,31.8,5.0
1030254,7.7,132.4,59.1,57.5,7.7
1030255,6.6,78.8,24.3,58.1,9.7
1030256,5.3,76.7,73.7,40.1,6.7
1030257,7.8,123.0,40.7,48.6,8.2
1030258,8.8,140.9,37.6,46.5,6.7
1030259,7.6,152.4,31.9,47.6,8.5
1030260,6.4,115.5,25.0,36.9,7.1
1030261,8.3,102.2,27.6,53.7,5.4
1030262,8.8,83.5,54.5,52.4,7.9
1030263,6.7,163.5,15.3,55.5,5.3
1030264,7.0,112.3,61.5,41.0,7.9
1030265,7.5,89.8,54.6,43.7,5.5
1030266,8.4,99.0,41.8,57.0,10.0
1030267,4.8,102.9,52.2,61.0,8.6
1030268,5.2,95.6,54.5,56.9,8.5
1030269,5.0,84.7,43.8,69.2,8.2
1030270,7.4,83.4,36.8,35.5,8.8
1030271,5.1,71.2,29.8,38.5,6.6
1030272,8.2,55.1,45.9,49.8,5.9
1030273,8.2,80.0,32.2,30.7,6.3
1030274,6.3,116.3,52.9,35.7,8.9
1030275,7.5,58.2,26.5,61.8,9.5
1030276,8.2,111.1,48.1,48.0,4.9
1030277,7.1,94.8,38.5,54.1,9.1
1030278,7.8,133.3,49.0,50.3,10.0
1030279,3.8,144.2,61.3,50.9,7.9
1030280,8.2,127.5,38.3,60.4,7.6
1030281,2.5,99.2,18.9,30.6,9.2
1030282,6.5,73.1,23.4,19.0,7.2
1030283,8.6,,49.7,37.3,7.1
1030284,4.9,107.3,35.7,32.1,5.6
1030285,6.9,157.1,46.1,40.5,6.6
1030286,4.5,71.4,52.0,37.2,7.2
1030287,8.0,100.1,57.7,41.6,5.1
1030288,7.2,130.3,66.6,35.5,7.4
1030289,8.7,82.3,32.5,7.6,10.0
1030290,7.8,95.1,68.3,27.8,7.6
1030291,7.3,89.5,40.9,24.0,5.4
1030292,7.5,77.0,38.3,13.7,9.5
1030293,4.2,93.5,60.0,30.6,9.0
1030294,9.8,113.6,77.8,40.2,5.7
1030295,6.4,,48.5,35.1,5.9
1030296,8.1,124.3,28.7,49.5,6.6
1030297,5.1,143.8,47.9,52.7,7.7
1030298,6.9,93.9,50.6,44.0,8.6
1030299,6.1,96.0,13.5,46.4,7.3
1030300,8.1,105.3,41.6,38.6,6.8
1030301,5.7,122.1,64.7,33.5,5.6
1030302,7.3,70.7,73.6,52.9,5.9
1030303,6.2,102.0,44.1,19.1,4.8
1030304,6.0,93.7,56.5,48.2,6.0
1030305,7.0,108.3,48.9,30.3,9.3
1030306,6.5,91.4,52.0,56.6,6.2
1030307,8.2,124.3,41.2,34.7,6.1
1030308,8.4,105.6,33.6,35.5,7.1
1030309,7.4,61.1,44.4,40.7,6.3
1030310,5.2,96.8,34.7,35.4,5.1
1030311,7.4,127.9,38.3,54.9,7.0
1030312,7.5,103.2,57.7,45.8,8.1
1030313,7.6,121.9,66.3,29.2,5.3
1030314,8.5,57.2,43.6,90.3,7.2
1030315,7.9,120.1,64.0,18.0,7.7
1030316,6.8,104.2,65.6,43.0,7.3
1030317,9.5,124.6,60.7,42.7,4.6
1030318,5.6,95.8,62.2,29.5,8.8
1030319,5.9,115.9,67.6,32.7,6.9
1030320,9.1,82.9,27.6,40.1,5.7
1030321,5.9,65.3,53.8,36.7,5.0
1030322,4.8,84.8,42.2,51.0,8.0
1030323,8.2,133.8,40.5,28.4,7.4
1030324,8.1,127.0,19.4,45.9,8.7
1030325,6.1,93.7,21.8,71.6,5.4
1030326,7.6,52.5,63.2,47.5,8.3
1030327,7.4,78.3,28.1,47.4,5.7
1030328,8.0,93.3,44.7,46.6,7.8
1030329,6.9,62.5,59.8,69.3,4.5
1030330,7.8,138.0,35.1,58.0,6.8
1030331,7.8,97.3,53.8,27.8,7.4
1030332,7.0,117.7,45.6,42.3,10.0
1030333,8.6,109.2,81.7,74.5,5.6
1030334,6.4,78.4,21.4,38.5,7.5
1030335,6.8,88.9,63.3,20.1,5.7
1030336,9.1,134.1,71.4,51.7,9.8
1030337,7.4,102.5,29.7,48.5,8.3
1030338,7.3,87.7,45.4,26.0,7.0
1030339,6.6,69.8,46.4,12.3,8.2
1030340,7.3,109.2,44.3,58.2,7.1
1030341,8.5,94.9,74.1,45.1,6.0
1030342,5.8,111.6,22.8,56.3,7.0
1030343,7.2,136.3,51.6,42.6,4.3
1030344,7.0,108.4,35.1,44.5,5.9
1030345,6.2,102.0,36.0,46.9,7.5
1030346,6.7,77.1,61.4,29.9,9.8
1030347,7.6,136.2,56.0,55.8,6.4
1030348,8.5,69.2,67.2,43.5,7.0
1030349,5.1,100.2,40.5,40.3,6.9
1030350,5.6,116.5,52.5,48.2,8.5
1030351,5.2,124.8,73.4,42.2,6.6
1030352,6.7,132.2,21.3,55.5,5.3
1030353,4.8,139.2,50.8,53.5,6.4
1030354,7.1,90.1,51.9,32.7,4.6
1030355,6.5,84.3,27.6,58.8,8.8
1030356,6.5,99.7,40.5,63.0,5.2
1030357,10.0,86.7,32.2,32.8,6.9
1030358,9.3,81.5,56.9,32.7,7.4
1030359,8.0,160.7,59.3,38.1,5.2
1030360,7.7,73.3,42.5,19.1,6.0
1030361,7.5,124.3,63.4,42.7,8.9
1030362,9.1,76.4,34.1,50.8,7.5
1030363,8.4,93.2,61.4,23.6,9.6
1030364,6.3,136.1,43.2,68.8,6.6
1030365,8.6,73.7,44.2,30.4,9.7
1030366,4.0,86.0,41.3,45.1,7.6
1030367,8.2,97.1,66.6,46.8,7.6
1030368,9.4,102.9,41.1,53.9,7.2
1030369,9.5,101.2,36.7,55.7,6.1
1030370,8.3,94.2,37.4,0.0,7.2
1030371,5.4,119.4,32.0,37.9,6.1
1030372,6.4,134.9,43.6,55.4,6.4
1030373,8.6,126.9,39.8,64.5,6.9
1030374,8.6,181.0,37.9,89.3,7.2
1030375,7.3,125.1,39.6,40.2,7.4
1030376,9.1,82.7,36.4,22.9,9.4
1030377,8.9,51.8,36.5,68.8,4.0
1030378,7.6,92.6,41.9,44.4,6.0
1030379,7.3,61.0,68.0,28.8,6.5
1030380,8.0,66.5,48.1,53.6,5.9
1030381,5.0,144.2,38.0,40.0,8.8
1030382,8.6,120.5,39.9,49.9,7.7
1030383,7.3,135.1,23.5,63.7,8.0
1030384,8.3,107.9,45.4,60.2,7.1
1030385,10.0,,56.1,78.3,7.4
1030386,6.6,55.5,41.6,70.8,9.6
1030387,7.7,89.8,15.3,50.6,7.6
1030388,7.7,115.9,44.7,29.7,5.2
1030389,10.0,72.8,46.2,51.1,5.0
1030390,4.7,96.7,51.2,39.0,5.1
1030391,8.3,91.5,32.7,54.9,7.6
1030392,8.8,117.7,45.0,52.5,8.1
1030393,7.0,120.6,47.0,43.6,8.5
1030394,7.0,145.3,59.0,37.3,6.9
1030395,7.3,56.6,52.7,43.7,7.0
1030396,7.2,104.6,61.5,48.4,7.2
1030397,7.3,95.2,49.8,22.7,9.0
1030398,7.7,123.1,31.6,46.8,4.7
1030399,7.0,88.5,58.9,55.0,7.0
1030400,6.6,115.4,21.9,49.5,7.9
1030401,6.8,41.0,56.1,44.0,7.7
1030402,9.2,72.5,31.9,40.5,5.7
1030403,5.0,98.1,55.3,52.8,6.5
1030404,7.6,86.9,61.6,47.3,6.8
1030405,8.2,183.8,50.3,47.2,8.0
1030406,6.9,,23.7,32.1,6.4
1030407,6.9,104.9,54.4,54.4,4.2
1030408,10.0,154.6,46.3,45.8,5.8
1030409,8.0,113.1,39.1,34.3,5.0
1030410,9.2,151.8,16.9,25.9,7.8
1030411,7.1,117.4,42.3,39.1,9.7
1030412,9.1,96.1,44.6,45.1,6.3
1030413,8.2,60.7,65.0,55.3,6.7
1030414,9.6,104.2,23.9,45.0,7.6
1030415,5.9,125.0,50.0,72.0,9.3
1030416,10.0,84.2,43.4,27.2,7.8
1030417,7.9,84.0,35.6,38.8,6.7
1030418,7.0,106.5,42.1,60.0,9.9
1030419,5.2,104.1,49.0,37.7,5.8
1030420,8.4,87.4,79.9,40.1,6.2
1030421,9.6,122.1,33.9,56.9,5.9
1030422,7.5,149.7,45.1,53.7,7.4
1030423,9.7,140.1,61.0,45.0,7.5
1030424,6.1,123.5,35.3,27.2,5.3
1030425,6.7,130.9,53.1,38.7,6.7
1030426,7.3,123.3,36.5,30.7,8.7
1030427,8.7,125.4,32.8,39.6,8.2
1030428,8.8,113.7,44.4,38.7,7.0
1030429,7.1,93.0,16.1,20.8,9.3
1030430,8.8,55.3,67.7,30.0,7.3
1030431,5.7,94.5,46.6,42.3,8.0
1030432,5.7,86.0,7.2,13.4,5.9
1030433,9.2,,48.7,40.6,7.5
1030434,8.5,112.4,44.1,54.8,7.7
1030435,9.4,76.4,55.0,61.8,7.5
1030436,6.7,137.1,52.4,30.3,6.9
1030437,4.5,126.0,47.0,35.1,6.6
1030438,9.8,106.5,74.9,30.2,9.1
1030439,8.3,153.4,17.9,26.2,4.9
1030440,5.4,100.0,52.5,67.8,6.7
1030441,6.8,52.1,40.0,34.2,8.6
1030442,5.6,108.6,34.2,3.9,7.2
1030443,6.6,125.0,28.6,16.1,7.9
1030444,9.5,156.2,43.5,24.0,8.9
1030445,10.0,109.4,28.8,41.9,6.0
1030446,7.4,114.7,79.1,24.8,9.3
1030447,7.7,96.2,47.8,48.8,6.1
1030448,6.7,95.7,56.4,31.2,7.7
1030449,8.8,82.9,51.0,40.9,7.3
1030450,5.1,156.0,54.3,66.9,9.1
1030451,4.3,102.5,36.7,77.0,4.9
1030452,5.8,113.5,51.5,56.5,9.6
1030453,9.2,103.3,32.9,56.7,7.2
1030454,6.2,83.6,54.3,25.4,8.1
1030455,10.0,100.6,29.9,66.2,8.0
1030456,10.0,98.6,44.3,25.0,8.5
1030457,7.2,47.2,69.6,49.5,8.8
1030458,6.1,123.6,63.0,64.4,6.2
1030459,5.1,80.2,21.3,29.1,5.3
1030460,8.0,59.8,58.6,53.4,7.6
1030461,7.4,94.4,50.1,52.9,9.6
1030462,8.6,155.1,51.6,38.6,7.4
1030463,8.7,118.3,63.4,40.6,7.7
1030464,8.1,145.2,45.1,27.8,9.0
1030465,8.6,108.6,38.1,33.7,7.4
1030466,7.5,125.0,41.1,32.1,7.5
1030467,8.1,111.1,28.3,29.1,6.3
1030468,5.0,95.4,6.5,42.8,9.9
1030469,8.5,122.5,32.5,26.8,5.7
1030470,9.0,123.6,44.9,49.1,8.5
1030471,7.6,80.7,42.9,55.2,6.8
1030472,5.5,82.0,38.4,22.5,6.7
1030473,8.2,50.1,39.1,12.3,7.6
1030474,8.2,64.0,28.7,44.3,7.3
1030475,8.6,107.2,52.5,42.6,6.9
1030476,6.3,124.5,75.8,31.3,8.3
1030477,9.3,86.7,37.9,41.9,7.5
1030478,5.9,88.0,47.3,21.6,5.0
1030479,7.3,92.5,29.5,64.5,6.4
1030480,7.0,120.0,51.0,25.6,4.2
1030481,4.1,127.2,38.6,49.4,3.1
1030482,7.7,68.5,65.7,39.5,8.8
1030483,5.1,,69.1,51.0,8.5
1030484,10.0,102.0,57.3,44.2,4.7
1030485,7.9,35.1,41.4,34.0,6.8
1030486,5.6,84.6,38.2,49.7,8.9
1030487,7.8,109.1,52.5,50.2,5.6
1030488,6.0,125.6,34.1,33.3,8.1
1030489,7.9,112.0,50.9,31.4,7.1
1030490,7.1,96.0,44.6,54.4,8.2
1030491,8.1,63.4,46.9,23.3,9.2
1030492,9.0,76.5,18.4,49.8,7.5
1030493,9.9,133.5,9.8,56.5,7.9
1030494,6.7,98.2,42.4,57.4,5.3
1030495,7.3,58.5,37.1,34.5,4.9
1030496,5.5,124.3,35.6,45.1,3.7
1030497,7.4,110.5,72.4,29.7,7.6
1030498,8.6,144.2,29.9,37.9,5.8
1030499,9.2,124.2,27.0,42.4,8.6
1030500,4.3,117.7,23.8,59.0,6.0
1030501,9.5,137.3,65.9,55.0,7.5
1030502,5.2,83.1,32.5,51.3,7.2
1030503,7.1,37.8,68.1,47.2,7.4
1030504,7.3,49.0,45.4,52.9,6.9
1030505,4.5,59.3,41.9,54.8,10.0
1030506,4.4,68.7,41.5,22.9,7.6
1030507,6.9,54.1,85.8,53.8,9.2
1030508,7.7,43.1,32.2,51.8,8.4
1030509,7.5,97.6,21.1,54.7,9.5
1030510,5.2,113.0,45.1,44.0,5.8
1030511,6.5,120.5,35.7,52.0,7.7
1030512,8.2,,59.1,67.9,8.9
1030513,7.5,79.5,28.4,28.4,8.5
1030514,6.4,55.6,32.2,69.7,5.4
1030515,9.4,99.7,45.2,50.9,8.4
1030516,7.4,59.0,40.0,69.1,2.6
1030517,5.6,86.8,23.9,72.8,7.0
1030518,6.7,111.5,11.5,46.4,6.1
1030519,6.3,117.0,40.1,51.8,10.0
1030520,8.2,97.6,22.5,46.2,10.0
1030521,8.3,72.4,64.0,8.3,6.9
1030522,9.7,166.5,60.6,18.0,6.8
1030523,8.9,98.6,25.6,39.5,7.8
1030524,5.1,137.3,27.6,44.1,3.2
1030525,7.6,79.1,58.0,51.0,9.1
1030526,7.3,85.9,69.6,47.1,6.6
1030527,6.7,88.4,34.6,41.2,5.9
1030528,6.4,102.0,38.3,52.1,5.5
1030529,6.4,164.6,53.4,40.2,5.2
1030530,4.9,101.2,44.4,38.5,8.1
1030531,6.5,93.0,57.2,51.5,4.2
1030532,7.5,121.5,58.6,50.4,7.7
1030533,8.5,90.4,24.9,62.4,7.6
1030534,6.8,82.6,42.6,26.1,7.4
1030535,6.0,99.4,34.9,57.0,6.4
1030536,6.0,95.6,43.9,58.7,8.4
1030537,5.9,91.2,51.0,34.9,8.6
1030538,7.6,71.4,42.2,42.5,9.0
1030539,7.7,51.5,36.4,41.0,6.1
1030540,7.5,63.9,28.7,35.6,6.2
1030541,10.0,109.6,48.4,40.7,9.2
1030542,4.6,105.6,33.2,7.7,6.3
1030543,7.2,86.5,22.4,56.4,5.4
1030544,6.4,78.3,39.2,52.9,7.7
1030545,9.4,157.2,64.2,53.0,8.2
1030546,7.9,113.7,59.7,43.1,4.4
1030547,7.0,62.2,55.2,63.8,7.1
1030548,7.6,91.0,66.7,40.1,5.4
1030549,9.1,118.0,65.7,58.8,8.3
1030550,7.1,88.8,46.4,48.6,7.4
1030551,5.3,132.5,52.2,87.6,10.0
1030552,6.2,108.9,29.6,63.4,7.9
1030553,5.2,112.0,63.5,57.4,4.9
1030554,7.3,101.5,69.1,56.7,6.1
1030555,4.2,89.4,65.1,33.1,8.9
1030556,6.0,122.6,32.2,19.1,7.6
1030557,8.9,99.2,30.7,0.0,9.7
1030558,9.4,96.2,72.2,21.8,7.6
1030559,7.5,96.8,44.7,40.3,8.3
1030560,6.9,93.6,59.6,48.2,6.6
1030561,8.1,155.7,68.7,47.3,7.2
1030562,7.3,100.8,25.8,29.5,8.6
1030563,6.1,104.6,22.1,33.9,4.6
1030564,8.0,129.5,88.4,63.4,10.0
1030565,6.7,74.4,41.0,36.9,7.9
1030566,9.0,135.7,47.4,31.7,7.5
1030567,5.9,94.4,41.7,47.2,5.1
1030568,9.6,72.0,53.1,40.1,7.8
1030569,7.1,86.2,32.3,41.2,6.6
1030570,10.0,57.3,55.1,61.5,6.5
1030571,5.6,114.5,46.2,48.3,9.5
1030572,6.3,123.8,35.4,49.0,6.3
1030573,8.3,124.7,45.1,34.0,8.3
1030574,6.4,104.9,39.0,70.7,8.2
1030575,9.2,103.2,63.2,13.3,9.7
1030576,6.5,,38.5,50.9,4.6
1030577,8.3,108.5,43.1,62.3,6.7
1030578,7.6,92.6,35.0,58.7,5.8
1030579,5.3,82.4,65.7,72.7,7.3
1030580,8.3,110.9,60.2,37.4,7.0
