SessionID,PlayerLevel,SessionLength_Mins,IAP_Amount,GameMode,AdsWatched
790101,78,2.0,0.0,Casual,2
790102,44,14.9,0.0,Casual,8
790103,89,116.0,,Casual,2
790104,50,9.3,0.0,Casual,1
790105,34,30.1,0.0,Casual,0
790106,95,7.8,0.0,Ranked,1
790107,27,87.6,8.76,Co-op,9
790108,4,4.7,0.0,Ranked,5
790109,64,72.9,8.41,Casual,6
790110,23,24.2,0.0,Ranked,9
790111,60,11.9,0.0,Casual,3
790112,62,40.7,9.16,Casual,1
790113,26,16.7,0.0,Ranked,3
790114,51,13.4,0.0,Casual,3
790115,22,4.1,0.0,Casual,5
790116,96,14.9,0.0,Ranked,4
790117,26,5.4,0.0,Co-op,8
790118,56,34.7,0.0,Co-op,1
790119,4,2.0,0.0,Ranked,8
790120,50,68.8,1.44,Casual,6
790121,65,2.0,0.0,Ranked,1
790122,29,33.2,0.0,Co-op,1
790123,9,62.8,1.01,Ranked,2
790124,69,20.9,0.0,Casual,4
790125,5,54.0,14.39,Ranked,7
790126,20,20.4,0.0,Ranked,4
790127,47,2.0,0.0,Ranked,2
790128,49,2.0,0.0,Ranked,2
790129,74,110.6,62.29,Ranked,6
790130,15,9.8,0.0,Casual,1
790131,93,13.7,0.0,Ranked,1
790132,86,14.3,0.0,Ranked,5
790133,21,2.0,0.0,Ranked,0
790134,80,3.4,0.0,Casual,0
790135,11,2.0,0.0,Ranked,8
790136,37,20.1,0.0,Co-op,9
790137,84,42.7,64.45,Casual,7
790138,28,34.4,0.0,Co-op,1
790139,67,22.3,0.0,Ranked,9
790140,38,7.7,0.0,Co-op,0
790141,56,5.4,0.0,Ranked,7
790142,5,17.9,0.0,Ranked,3
790143,2,16.1,0.0,Ranked,1
790144,51,7.7,0.0,Casual,9
790145,10,27.2,0.0,Casual,5
790146,4,8.7,0.0,Ranked,3
790147,94,2.0,0.0,Co-op,1
790148,98,16.5,0.0,Co-op,8
790149,64,25.3,0.0,Ranked,1
790150,29,3.6,0.0,Casual,1
790151,71,6.7,0.0,Co-op,0
790152,97,47.1,2.0,Casual,6
790153,17,77.1,26.28,Casual,6
790154,49,34.6,0.0,Ranked,1
790155,89,14.4,0.0,Casual,0
790156,86,25.1,0.0,Casual,1
790157,45,34.6,0.0,Casual,2
790158,20,44.8,7.59,Ranked,4
790159,39,29.9,0.0,Casual,0
790160,19,19.3,0.0,Co-op,1
790161,47,26.6,0.0,Ranked,5
790162,18,67.3,14.62,Ranked,0
790163,16,46.0,20.51,Casual,8
790164,89,39.1,0.0,Ranked,4
790165,59,30.5,0.0,Co-op,8
790166,16,2.0,0.0,Casual,5
790167,98,8.8,0.0,Co-op,5
790168,12,52.9,21.95,Co-op,0
790169,34,8.7,0.0,Casual,3
790170,42,35.2,0.0,Casual,5
790171,88,50.9,12.36,Co-op,3
790172,28,2.0,0.0,Co-op,1
790173,89,39.2,0.0,Ranked,9
790174,12,15.9,0.0,Ranked,0
790175,5,36.6,0.0,Casual,0
790176,37,70.4,6.27,Ranked,9
790177,88,9.0,0.0,Casual,6
790178,11,25.6,0.0,Casual,1
790179,91,10.3,0.0,Co-op,3
790180,49,2.0,,Ranked,2
790181,68,23.3,0.0,Ranked,2
790182,18,10.3,0.0,Casual,9
790183,11,23.5,0.0,Casual,5
790184,62,6.5,0.0,Casual,2
790185,53,10.5,0.0,Ranked,3
790186,40,12.0,0.0,Ranked,8
790187,87,33.6,0.0,Co-op,7
790188,5,10.6,0.0,Casual,5
790189,4,2.0,0.0,Co-op,3
790190,64,114.2,5.32,Casual,9
790191,56,36.3,0.0,Co-op,4
790192,97,2.5,0.0,Casual,5
790193,16,17.3,0.0,Casual,7
790194,44,8.7,0.0,Casual,2
790195,92,28.1,0.0,Ranked,2
790196,45,21.3,0.0,Casual,2
790197,96,14.3,0.0,Casual,5
790198,38,36.4,0.0,Ranked,6
790199,87,12.7,0.0,Ranked,9
790200,90,78.2,14.84,Co-op,6
790201,49,27.1,0.0,Co-op,9
790202,92,2.0,0.0,Co-op,6
790203,81,2.2,0.0,Casual,1
790204,38,8.2,0.0,Co-op,3
790205,67,23.4,0.0,Casual,4
790206,56,5.2,0.0,Casual,5
790207,85,154.2,0.53,Casual,5
790208,67,25.7,0.0,Ranked,4
790209,52,38.2,0.0,Ranked,8
790210,17,12.8,0.0,Casual,9
790211,66,3.4,0.0,Casual,1
790212,59,70.3,9.7,Casual,2
790213,25,44.1,30.69,Casual,5
790214,14,11.5,0.0,Casual,8
790215,10,59.7,77.4,Casual,7
790216,4,16.3,0.0,Ranked,8
790217,33,2.8,0.0,Ranked,1
790218,74,45.5,38.61,Ranked,8
790219,60,16.8,0.0,Ranked,9
790220,58,8.3,0.0,Casual,0
790221,25,13.1,0.0,Co-op,6
790222,68,54.4,69.31,Ranked,2
790223,41,21.5,0.0,Casual,8
790224,83,32.8,0.0,Co-op,4
790225,10,2.0,0.0,Casual,9
790226,73,9.4,0.0,Casual,7
790227,79,2.0,0.0,Ranked,0
790228,53,23.1,0.0,Casual,0
790229,6,11.1,0.0,Casual,8
790230,23,3.1,0.0,Casual,7
790231,31,60.1,42.91,Ranked,7
790232,64,2.0,0.0,Casual,9
790233,24,14.0,0.0,Casual,7
790234,17,17.4,0.0,Ranked,9
790235,70,25.4,0.0,Co-op,3
790236,14,13.6,0.0,Co-op,2
790237,35,14.7,0.0,Casual,6
790238,47,19.4,0.0,Casual,1
790239,79,49.6,30.69,Ranked,1
790240,87,7.7,0.0,Co-op,2
790241,66,42.1,24.19,Ranked,9
790242,81,7.4,0.0,Ranked,5
790243,98,34.0,0.0,Casual,3
790244,96,25.5,0.0,Casual,5
790245,28,7.4,0.0,Co-op,7
790246,14,122.7,46.55,Ranked,3
790247,56,32.4,0.0,Casual,5
790248,74,5.5,0.0,Ranked,7
790249,65,21.7,0.0,Ranked,4
790250,32,24.1,0.0,Casual,6
790251,75,3.3,0.0,Casual,6
790252,3,31.8,0.0,Ranked,2
790253,99,2.8,0.0,Ranked,9
790254,35,5.5,0.0,Casual,4
790255,53,5.7,0.0,Ranked,1
790256,71,18.2,0.0,Ranked,9
790257,35,6.6,0.0,Ranked,0
790258,42,3.5,0.0,Ranked,5
790259,70,53.3,2.44,Co-op,0
790260,35,5.1,0.0,Ranked,7
790261,38,5.7,0.0,Co-op,9
790262,17,53.3,10.17,Casual,5
790263,32,19.3,0.0,Co-op,4
790264,8,15.2,0.0,Casual,7
790265,77,19.4,0.0,Casual,6
790266,15,12.2,0.0,Casual,1
790267,73,14.0,0.0,Casual,7
790268,67,5.5,0.0,Ranked,6
790269,86,41.8,4.45,Casual,6
790270,1,2.5,0.0,Casual,4
790271,97,60.7,15.44,Ranked,6
790272,54,31.0,0.0,Co-op,0
790273,4,17.0,0.0,Ranked,7
790274,8,52.3,25.53,Casual,4
790275,33,8.1,0.0,Ranked,4
790276,10,13.8,0.0,Casual,9
790277,25,2.5,0.0,Casual,4
790278,96,3.0,0.0,Ranked,1
790279,51,2.0,0.0,Co-op,1
790280,2,57.5,6.82,Casual,8
790281,98,2.0,0.0,Ranked,1
790282,51,12.9,0.0,Casual,4
790283,80,6.6,0.0,Ranked,1
790284,1,78.8,7.71,Casual,7
790285,5,2.3,0.0,Casual,3
790286,13,13.5,0.0,Casual,2
790287,74,8.0,0.0,Casual,9
790288,85,19.2,0.0,Ranked,0
790289,46,33.9,0.0,Ranked,8
790290,25,33.5,0.0,Ranked,3
790291,15,10.6,0.0,Ranked,3
790292,5,26.2,0.0,Casual,5
790293,32,17.7,0.0,Co-op,6
790294,42,90.3,25.96,Casual,1
790295,33,2.0,0.0,Casual,7
790296,63,31.6,0.0,Ranked,1
790297,94,41.7,7.07,Casual,5
790298,98,44.1,11.31,Ranked,7
790299,25,9.1,0.0,Co-op,9
790300,61,13.2,0.0,Ranked,5
790301,17,69.3,0.07,Casual,0
790302,80,50.7,1.18,Casual,6
790303,94,19.3,0.0,Ranked,6
790304,35,61.7,3.88,Casual,8
790305,69,20.3,0.0,Casual,1
790306,78,16.5,,Casual,7
790307,43,8.3,0.0,Ranked,9
790308,35,34.7,0.0,Casual,8
790309,40,2.0,0.0,Co-op,9
790310,34,11.9,0.0,Ranked,8
790311,46,15.5,0.0,Co-op,2
790312,74,57.2,48.82,Casual,5
790313,77,4.4,0.0,Casual,7
790314,31,39.9,0.0,Ranked,4
790315,92,11.6,0.0,Casual,2
790316,11,43.8,0.03,Casual,8
790317,66,2.1,0.0,Co-op,1
790318,28,5.5,0.0,Casual,8
790319,29,31.9,0.0,Casual,8
790320,11,4.0,0.0,Casual,8
790321,40,16.0,0.0,Casual,4
790322,56,58.7,0.42,Co-op,4
790323,21,17.0,0.0,Co-op,6
790324,44,29.8,0.0,Casual,1
790325,68,5.9,0.0,Ranked,4
790326,67,41.2,1.72,Ranked,0
790327,49,28.3,0.0,Casual,4
790328,92,29.3,0.0,Ranked,8
790329,6,7.9,0.0,Ranked,3
790330,40,4.4,0.0,Casual,9
790331,20,15.7,0.0,Co-op,4
790332,49,2.0,0.0,Casual,5
790333,5,3.6,0.0,Casual,3
790334,60,61.3,,Co-op,5
790335,29,29.5,0.0,Ranked,0
790336,55,26.3,0.0,Casual,6
790337,50,4.8,0.0,Casual,1
790338,94,8.4,0.0,Casual,1
790339,17,42.9,0.15,Casual,1
790340,6,17.7,0.0,Ranked,3
790341,73,5.1,0.0,Casual,9
790342,43,3.6,0.0,Co-op,3
790343,55,20.3,0.0,Ranked,3
790344,7,27.7,0.0,Casual,9
790345,34,52.7,34.99,Casual,6
790346,25,20.0,0.0,Co-op,6
790347,88,2.0,0.0,Ranked,9
790348,74,20.0,0.0,Casual,3
790349,23,30.3,0.0,Co-op,2
790350,86,4.4,0.0,Casual,6
790351,50,2.4,0.0,Casual,6
790352,95,7.9,0.0,Casual,9
790353,72,48.8,20.45,Co-op,6
790354,29,10.6,0.0,Casual,4
790355,51,33.6,0.0,Casual,7
790356,16,19.0,0.0,Ranked,9
790357,55,24.3,0.0,Casual,9
790358,50,4.0,0.0,Ranked,7
790359,74,40.4,10.77,Casual,1
790360,34,2.0,0.0,Casual,9
790361,79,12.7,0.0,Casual,3
790362,63,2.0,0.0,Co-op,3
790363,63,24.1,0.0,Ranked,9
790364,3,23.0,0.0,Ranked,7
790365,7,76.6,1.85,Ranked,0
790366,3,66.7,8.17,Co-op,9
790367,94,99.8,0.79,Ranked,8
790368,88,42.1,20.85,Casual,6
790369,54,2.0,0.0,Ranked,1
790370,45,13.9,0.0,Casual,1
790371,59,15.0,0.0,Casual,9
790372,48,33.2,0.0,Ranked,1
790373,65,55.0,23.52,Ranked,9
790374,48,88.8,21.09,Ranked,6
790375,26,27.9,0.0,Co-op,9
790376,92,20.7,0.0,Ranked,7
790377,91,18.1,0.0,Casual,7
790378,75,38.0,0.0,Casual,7
790379,69,30.2,0.0,Ranked,0
790380,68,17.0,0.0,Casual,5
790381,73,20.9,0.0,Ranked,6
790382,1,12.6,0.0,Ranked,2
790383,91,9.0,0.0,Co-op,9
790384,14,2.0,0.0,Casual,7
790385,55,16.1,0.0,Casual,6
790386,96,20.8,0.0,Co-op,6
790387,96,5.5,0.0,Casual,2
790388,70,2.9,0.0,Ranked,6
790389,39,138.7,3.6,Ranked,4
790390,53,48.9,3.15,Casual,7
790391,5,2.7,0.0,Co-op,6
790392,66,72.8,22.87,Casual,6
790393,72,8.1,0.0,Co-op,3
790394,76,2.0,0.0,Ranked,0
790395,35,25.2,0.0,Casual,7
790396,42,19.7,0.0,Casual,7
790397,19,61.6,10.29,Casual,7
790398,17,29.2,0.0,Co-op,2
790399,68,39.0,0.0,Ranked,4
790400,66,9.7,0.0,Ranked,6
790401,40,6.8,,Ranked,3
790402,12,22.7,0.0,Casual,5
790403,65,41.4,8.43,Casual,0
790404,12,6.2,0.0,Ranked,2
790405,54,10.0,0.0,Casual,9
790406,67,11.1,0.0,Ranked,7
790407,44,7.2,0.0,Ranked,7
790408,88,59.7,22.55,Ranked,9
790409,19,4.5,0.0,Co-op,5
790410,98,3.7,0.0,Co-op,1
790411,42,29.5,0.0,Ranked,6
790412,85,7.3,0.0,Casual,6
790413,72,31.2,0.0,Casual,2
790414,15,63.0,22.4,Ranked,7
790415,15,14.1,0.0,Ranked,8
790416,96,11.1,0.0,Casual,4
790417,3,81.4,14.9,Casual,9
790418,9,3.8,0.0,Casual,5
790419,33,20.7,0.0,Casual,0
790420,98,8.9,,Ranked,0
790421,44,5.2,0.0,Ranked,1
790422,33,19.9,0.0,Casual,2
790423,50,18.8,0.0,Ranked,9
790424,27,65.9,40.19,Casual,9
790425,56,10.1,0.0,Ranked,8
790426,62,2.6,0.0,Ranked,8
790427,6,68.7,25.46,Ranked,2
790428,59,46.5,9.14,Casual,6
790429,70,3.1,0.0,Co-op,2
790430,9,22.6,0.0,Co-op,5
790431,8,88.0,13.29,Co-op,1
790432,45,2.0,0.0,Casual,9
790433,71,4.2,0.0,Casual,1
790434,15,9.1,0.0,Casual,4
790435,61,180.0,20.3,Casual,5
790436,5,24.3,0.0,Casual,8
790437,76,27.7,0.0,Ranked,7
790438,81,5.3,0.0,Casual,0
790439,38,25.3,0.0,Ranked,8
790440,12,2.0,0.0,Casual,6
790441,45,68.8,23.08,Ranked,7
790442,86,58.1,3.07,Casual,7
790443,53,27.5,0.0,Ranked,7
790444,74,2.9,0.0,Casual,0
790445,28,49.5,1.47,Ranked,9
790446,59,29.7,0.0,Ranked,7
790447,86,24.7,0.0,Casual,8
790448,97,18.5,0.0,Ranked,2
790449,91,21.4,0.0,Casual,3
790450,32,82.6,13.54,Co-op,5
790451,94,99.5,0.43,Co-op,6
790452,71,2.0,0.0,Casual,4
790453,73,13.1,0.0,Casual,5
790454,6,21.3,0.0,Casual,8
790455,84,2.0,0.0,Co-op,8
790456,72,60.3,4.91,Ranked,0
790457,37,2.0,0.0,Co-op,3
790458,25,29.0,0.0,Ranked,9
790459,47,37.0,0.0,Casual,7
790460,39,6.2,0.0,Co-op,3
790461,13,51.3,16.64,Ranked,9
790462,52,5.5,0.0,Casual,3
790463,45,3.4,0.0,Casual,4
790464,90,47.5,29.98,Casual,2
790465,38,20.0,0.0,Casual,5
790466,16,7.8,0.0,Casual,8
790467,96,3.0,0.0,Ranked,9
790468,24,9.7,0.0,Co-op,2
790469,99,5.9,0.0,Casual,6
790470,86,15.7,0.0,Casual,2
790471,30,62.4,5.61,Ranked,6
790472,8,2.0,0.0,Casual,5
790473,72,9.2,0.0,Casual,6
790474,37,3.6,0.0,Ranked,6
790475,19,23.4,0.0,Ranked,5
790476,71,33.4,0.0,Ranked,9
790477,42,7.3,0.0,Co-op,7
790478,77,20.0,0.0,Co-op,5
790479,76,31.0,0.0,Casual,9
790480,33,15.9,0.0,Ranked,0
790481,56,4.4,0.0,Ranked,2
790482,2,68.0,30.89,Casual,1
790483,55,22.0,0.0,Casual,8
790484,39,30.3,0.0,Ranked,6
790485,88,20.8,0.0,Casual,8
790486,3,4.3,0.0,Casual,7
790487,7,37.0,0.0,Casual,9
790488,73,40.8,3.7,Co-op,5
790489,62,68.5,16.38,Co-op,3
790490,26,4.5,0.0,Casual,1
790491,40,11.5,0.0,Casual,8
790492,37,9.7,0.0,Casual,4
790493,10,28.9,0.0,Casual,2
790494,40,8.0,0.0,Ranked,3
790495,65,6.8,0.0,Casual,2
790496,23,17.8,0.0,Ranked,3
790497,25,2.0,0.0,Ranked,6
790498,44,33.0,0.0,Ranked,3
790499,33,13.0,0.0,Casual,9
790500,9,71.7,23.28,Co-op,5
790501,8,5.6,0.0,Casual,3
790502,94,15.7,0.0,Casual,1
790503,53,48.0,1.07,Ranked,7
790504,87,2.0,0.0,Ranked,6
790505,8,10.1,0.0,Co-op,0
790506,34,23.5,0.0,Casual,0
790507,27,125.2,10.54,Co-op,7
790508,44,14.2,0.0,Casual,4
790509,42,30.0,0.0,Casual,7
790510,57,2.0,0.0,Casual,9
790511,52,14.6,0.0,Co-op,7
790512,3,12.4,0.0,Casual,2
790513,99,43.3,10.48,Co-op,2
790514,22,86.6,6.47,Casual,6
790515,60,16.3,0.0,Casual,7
790516,9,37.2,0.0,Casual,9
790517,16,14.1,0.0,Co-op,6
790518,6,30.8,0.0,Casual,1
790519,84,2.4,0.0,Ranked,9
790520,42,55.0,6.26,Casual,6
790521,32,2.0,0.0,Ranked,8
790522,74,2.8,0.0,Casual,5
790523,49,9.7,0.0,Ranked,2
790524,97,3.8,0.0,Casual,6
790525,60,85.2,14.95,Casual,2
790526,47,4.7,0.0,Co-op,3
790527,91,46.0,8.84,Co-op,4
790528,81,26.5,0.0,Ranked,9
790529,90,9.9,0.0,Casual,0
790530,94,34.6,0.0,Casual,1
790531,79,22.7,0.0,Co-op,3
790532,62,37.4,0.0,Casual,3
790533,32,14.8,0.0,Ranked,8
790534,32,6.5,0.0,Casual,4
790535,84,24.5,0.0,Casual,5
790536,72,2.0,0.0,Ranked,8
790537,38,83.9,15.09,Co-op,9
790538,85,24.8,0.0,Casual,7
790539,40,19.0,0.0,Co-op,4
790540,98,25.1,0.0,Casual,1
790541,59,5.7,0.0,Casual,4
790542,99,14.6,0.0,Casual,4
790543,28,26.1,0.0,Ranked,0
790544,28,14.6,0.0,Ranked,3
790545,11,56.8,2.24,Casual,3
790546,28,12.2,0.0,Ranked,5
790547,59,2.6,0.0,Ranked,5
790548,46,2.0,0.0,Casual,5
790549,69,8.4,0.0,Ranked,0
790550,3,16.8,0.0,Casual,2
790551,83,58.8,1.12,Co-op,7
790552,4,3.4,0.0,Co-op,2
790553,12,18.6,0.0,Ranked,4
790554,96,2.0,0.0,Co-op,8
790555,15,2.0,0.0,Ranked,2
790556,76,5.5,0.0,Ranked,2
790557,63,12.1,0.0,Casual,2
790558,28,21.2,0.0,Casual,8
790559,69,2.0,0.0,Co-op,2
790560,6,22.4,0.0,Casual,4
790561,13,9.3,0.0,Casual,5
790562,44,36.2,0.0,Casual,8
790563,99,19.4,0.0,Casual,9
790564,17,107.7,22.55,Co-op,1
790565,57,4.4,0.0,Ranked,3
790566,87,11.0,0.0,Casual,4
790567,70,14.5,0.0,Casual,2
790568,32,18.5,0.0,Ranked,6
790569,99,7.7,0.0,Ranked,2
790570,66,26.2,0.0,Ranked,4
790571,73,10.9,0.0,Casual,3
790572,27,32.2,0.0,Ranked,9
790573,70,4.3,0.0,Casual,8
790574,19,14.6,0.0,Casual,3
790575,55,10.3,0.0,Casual,1
790576,44,9.4,0.0,Casual,0
790577,6,52.5,4.86,Casual,4
790578,11,4.2,0.0,Casual,4
790579,25,27.8,0.0,Casual,6
790580,7,10.2,0.0,Ranked,4
790581,2,16.4,0.0,Ranked,9
790582,47,26.7,0.0,Co-op,1
790583,50,7.4,0.0,Ranked,8
790584,63,20.9,0.0,Ranked,7
790585,44,32.0,0.0,Ranked,4
790586,19,18.7,0.0,Co-op,7
790587,26,33.6,0.0,Ranked,8
790588,33,33.1,0.0,Ranked,2
790589,86,10.8,0.0,Ranked,1
790590,11,11.3,0.0,Casual,9
790591,87,2.0,0.0,Ranked,8
790592,35,27.9,0.0,Ranked,1
790593,5,2.0,0.0,Casual,4
790594,17,54.0,6.52,Co-op,5
790595,60,8.9,0.0,Co-op,3
790596,68,19.7,0.0,Co-op,5
790597,34,3.7,0.0,Casual,5
790598,48,55.3,2.32,Ranked,0
790599,88,71.6,13.45,Ranked,7
790600,80,31.1,0.0,Co-op,5
790601,19,12.6,0.0,Co-op,0
790602,69,10.1,0.0,Ranked,3
790603,25,33.3,0.0,Casual,5
790604,64,19.1,0.0,Casual,0
790605,2,3.8,0.0,Ranked,9
790606,85,20.5,0.0,Casual,2
790607,74,15.8,0.0,Casual,0
790608,80,5.1,0.0,Casual,0
790609,32,17.0,0.0,Ranked,8
790610,39,13.3,0.0,Ranked,6
790611,62,6.6,0.0,Casual,3
790612,29,7.7,0.0,Casual,6
790613,32,44.5,37.26,Co-op,5
790614,85,10.8,0.0,Casual,6
790615,94,4.9,0.0,Casual,9
790616,89,11.6,0.0,Ranked,6
790617,59,67.2,15.34,Ranked,5
790618,84,28.5,0.0,Casual,6
790619,5,56.2,50.99,Ranked,3
790620,92,11.3,0.0,Casual,1
790621,66,27.9,0.0,Casual,6
790622,64,8.2,0.0,Ranked,9
790623,37,29.8,0.0,Co-op,1
790624,77,9.0,0.0,Casual,8
790625,80,28.5,0.0,Co-op,6
790626,36,21.6,0.0,Casual,9
790627,73,23.0,0.0,Ranked,7
790628,78,59.8,21.67,Casual,7
790629,96,9.4,0.0,Casual,8
790630,80,32.9,0.0,Ranked,9
790631,18,2.0,0.0,Casual,9
790632,77,24.2,0.0,Casual,6
790633,90,2.2,0.0,Casual,1
790634,5,15.0,0.0,Casual,3
790635,38,2.7,0.0,Casual,1
790636,50,22.6,0.0,Ranked,8
790637,98,2.0,0.0,Casual,1
790638,11,50.7,52.89,Co-op,3
790639,80,12.6,0.0,Ranked,8
790640,64,39.0,0.0,Ranked,5
790641,8,38.5,0.0,Casual,7
790642,45,17.2,0.0,Co-op,3
790643,83,3.0,0.0,Casual,3
790644,83,19.9,0.0,Ranked,0
790645,91,3.3,0.0,Co-op,4
790646,58,7.2,0.0,Casual,9
790647,85,17.8,0.0,Ranked,2
790648,93,17.8,0.0,Casual,7
790649,94,38.7,0.0,Casual,4
790650,64,8.9,0.0,Co-op,0
790651,9,43.3,72.65,Ranked,2
790652,19,2.0,0.0,Casual,8
790653,48,2.0,0.0,Casual,5
790654,18,4.2,0.0,Casual,0
790655,43,6.5,0.0,Ranked,4
790656,27,35.3,0.0,Ranked,5
790657,57,8.7,0.0,Ranked,0
790658,77,6.3,0.0,Casual,8
790659,92,19.8,0.0,Casual,8
790660,84,4.3,0.0,Casual,0
790661,74,12.5,0.0,Ranked,0
790662,25,20.3,0.0,Casual,0
790663,78,2.7,0.0,Casual,4
790664,99,24.7,0.0,Ranked,2
790665,86,17.3,0.0,Co-op,4
790666,95,6.2,0.0,Casual,2
790667,90,15.7,0.0,Casual,8
790668,99,32.7,0.0,Casual,4
790669,85,18.1,0.0,Co-op,8
790670,85,2.0,0.0,Ranked,8
790671,56,8.2,0.0,Casual,6
790672,65,51.0,46.55,Casual,7
790673,6,54.1,8.54,Co-op,7
790674,96,12.8,0.0,Ranked,4
790675,72,10.8,0.0,Ranked,0
790676,9,68.6,2.48,Casual,1
790677,68,77.7,4.73,Co-op,5
790678,84,12.0,0.0,Casual,4
790679,36,62.1,28.18,Ranked,8
790680,72,2.3,0.0,Casual,3
790681,78,29.7,0.0,Ranked,4
790682,81,34.7,0.0,Ranked,5
790683,23,3.4,0.0,Casual,4
790684,78,27.7,0.0,Casual,6
790685,33,129.9,17.04,Co-op,3
790686,67,4.4,0.0,Casual,2
790687,34,18.8,0.0,Co-op,1
790688,99,30.2,0.0,Ranked,6
790689,19,13.4,0.0,Ranked,8
790690,92,64.4,14.15,Casual,2
790691,59,10.5,0.0,Ranked,8
790692,19,12.5,0.0,Ranked,9
790693,58,17.0,0.0,Casual,1
790694,81,133.3,49.89,Co-op,8
790695,50,2.0,0.0,Casual,1
790696,80,61.6,35.43,Ranked,9
790697,65,3.1,0.0,Ranked,0
790698,88,13.0,0.0,Casual,8
790699,55,30.3,0.0,Casual,7
790700,17,7.0,0.0,Casual,1
790701,49,11.8,0.0,Casual,9
790702,44,30.9,0.0,Ranked,4
790703,96,21.0,0.0,Casual,2
790704,98,7.8,0.0,Ranked,2
790705,20,13.2,0.0,Ranked,2
790706,59,37.1,0.0,Co-op,6
790707,34,16.4,0.0,Casual,8
790708,56,2.0,0.0,Ranked,7
790709,89,88.2,59.67,Casual,8
790710,20,16.1,0.0,Casual,8
790711,87,2.1,0.0,Casual,0
790712,20,43.9,15.63,Ranked,6
790713,48,2.0,0.0,Co-op,6
