ItemID,OriginalPrice_K,DiscountRate_Percent,SalesQty_Weekly,CompetitorPrice_K,ElasticityCategory
1150098,95.9,46.5,102.8,46.7,83.3
1150099,58.3,11.8,119.4,97.4,117.6
1150100,59.2,59.0,155.6,107.6,102.4
1150101,39.4,46.1,121.7,77.3,68.9
1150102,65.2,45.0,90.0,76.9,80.9
1150103,85.4,38.9,104.1,90.0,120.0
1150104,96.9,64.8,91.0,40.8,99.8
1150105,68.7,52.1,97.3,28.1,136.6
1150106,67.1,27.8,74.3,95.0,124.4
1150107,76.2,49.4,103.3,93.7,90.8
1150108,63.6,45.5,110.7,63.5,112.2
1150109,86.6,57.4,38.6,61.0,88.9
1150110,76.4,36.5,56.2,81.9,94.5
1150111,102.7,36.8,78.6,100.4,63.7
1150112,99.2,37.9,99.9,71.0,48.9
1150113,112.9,55.1,96.4,54.0,108.7
1150114,56.9,39.4,107.6,40.6,72.6
1150115,83.3,27.2,82.0,47.8,89.0
1150116,91.2,56.5,95.9,94.2,101.0
1150117,56.9,30.8,114.3,60.6,105.3
1150118,76.8,41.7,97.9,68.6,103.0
1150119,76.1,12.9,58.1,62.0,91.3
1150120,56.5,24.7,159.8,99.1,70.0
1150121,72.5,67.9,95.8,81.1,99.5
1150122,75.4,41.6,116.8,107.0,128.2
1150123,71.3,60.7,131.9,111.0,63.5
1150124,88.8,47.4,97.6,56.6,84.2
1150125,113.8,71.4,106.1,83.6,104.4
1150126,117.5,50.9,118.3,67.1,114.8
1150127,89.9,41.2,95.0,87.3,97.9
1150128,97.6,38.8,102.2,116.6,101.5
1150129,60.8,46.7,91.7,47.3,126.5
1150130,90.6,68.5,98.1,70.2,122.3
1150131,59.0,43.9,124.1,38.4,114.5
1150132,63.5,39.2,122.2,110.9,73.8
1150133,87.3,64.4,142.2,71.6,87.0
1150134,82.4,36.5,107.1,82.2,82.3
1150135,64.1,46.1,76.6,63.6,89.4
1150136,94.2,12.4,123.3,68.5,104.2
1150137,103.9,48.5,141.4,82.1,107.1
1150138,85.3,47.6,83.4,68.5,79.0
1150139,86.9,47.8,85.6,77.2,85.3
1150140,63.9,56.2,93.9,46.9,120.5
1150141,53.9,58.0,84.6,44.7,143.3
1150142,75.6,9.9,119.7,53.1,106.6
1150143,47.3,56.1,68.0,71.5,95.8
1150144,98.5,30.8,99.0,70.5,87.2
1150145,74.0,30.0,89.4,47.4,104.0
1150146,79.7,45.8,142.9,91.2,127.6
1150147,104.4,75.0,70.8,92.4,107.0
1150148,80.4,49.2,122.1,60.3,108.2
1150149,83.0,37.4,79.3,71.9,98.5
1150150,38.3,52.2,145.1,48.7,91.0
1150151,62.5,58.0,76.9,58.8,44.2
1150152,85.7,47.8,93.3,87.0,43.2
1150153,94.0,45.3,110.5,72.8,83.4
1150154,83.0,61.6,99.7,60.4,99.1
1150155,94.2,43.9,71.4,70.0,98.2
1150156,101.2,36.3,87.9,83.3,116.8
1150157,85.6,60.8,88.2,88.8,115.6
1150158,86.7,47.0,78.3,73.0,79.6
1150159,104.1,40.3,101.9,55.1,85.6
1150160,30.1,37.4,74.3,62.7,111.2
1150161,74.8,54.7,78.7,52.1,52.5
1150162,66.5,43.7,44.5,72.9,89.2
1150163,109.5,42.1,83.3,72.6,156.4
1150164,57.6,24.4,111.1,92.6,113.4
1150165,47.5,43.7,107.4,42.6,31.7
1150166,110.7,53.8,102.5,98.9,122.0
1150167,88.4,49.2,86.9,90.2,94.5
1150168,57.8,33.2,140.5,66.2,84.1
1150169,67.0,41.7,54.2,51.7,119.4
1150170,85.9,24.0,66.2,68.5,115.7
1150171,82.1,27.3,113.7,87.6,93.1
1150172,64.6,32.2,119.9,76.5,88.6
1150173,61.4,60.4,75.6,79.5,112.5
1150174,84.1,48.3,99.6,86.5,121.5
1150175,69.5,35.3,126.2,54.5,130.9
1150176,82.9,42.9,87.8,32.4,63.3
1150177,103.4,40.9,81.6,149.1,67.6
1150178,53.9,18.5,82.4,58.3,109.6
1150179,45.5,38.7,136.4,41.7,54.6
1150180,66.8,46.5,131.4,92.1,128.5
1150181,72.9,62.9,122.7,114.2,104.3
1150182,85.3,41.4,127.3,71.1,55.9
1150183,99.6,68.9,85.1,86.9,84.8
1150184,47.1,61.1,99.1,101.2,108.5
1150185,47.3,60.5,64.7,62.7,94.3
1150186,64.4,27.3,136.4,74.0,79.9
1150187,107.8,50.7,86.2,75.1,66.7
1150188,106.4,34.0,98.6,50.9,101.0
1150189,71.8,60.1,89.5,91.6,100.2
1150190,83.8,49.3,81.6,46.5,111.7
1150191,119.8,11.2,84.4,76.0,98.5
1150192,109.7,37.9,119.6,77.3,88.7
1150193,104.0,43.1,115.2,79.9,101.4
1150194,27.3,39.3,129.8,44.9,86.2
1150195,61.2,48.2,106.3,66.4,102.8
1150196,25.7,18.2,119.0,95.9,92.3
1150197,97.5,42.1,123.5,89.1,63.3
1150198,79.8,58.4,137.0,62.6,76.1
1150199,95.5,52.0,120.4,23.3,146.6
1150200,60.6,74.7,102.9,88.3,33.3
1150201,92.6,46.8,119.2,74.7,140.5
1150202,94.7,25.0,89.5,74.2,102.8
1150203,77.2,48.2,89.1,55.5,73.9
1150204,97.0,55.9,119.4,79.9,102.0
1150205,82.9,40.1,55.6,91.3,96.3
1150206,124.2,19.0,59.2,82.8,103.4
1150207,75.5,58.9,121.7,,63.0
1150208,100.0,30.2,110.3,67.5,114.3
1150209,26.8,53.0,82.7,77.2,87.2
1150210,100.8,25.0,105.5,96.3,122.3
1150211,75.2,67.9,133.4,63.5,92.2
1150212,64.1,45.9,83.1,27.0,127.2
1150213,91.3,44.7,83.8,71.7,132.5
1150214,119.4,45.0,114.0,101.4,79.6
1150215,82.0,32.8,109.3,61.5,84.3
1150216,86.2,47.7,91.8,53.8,107.5
1150217,85.2,55.5,79.4,94.0,61.8
1150218,66.9,48.6,89.3,118.6,136.2
1150219,73.7,67.8,50.9,60.8,114.5
1150220,88.7,44.3,125.8,64.1,86.7
1150221,56.8,66.1,68.5,57.7,159.5
1150222,84.0,42.2,97.3,101.8,32.7
1150223,90.0,45.2,119.5,83.0,88.2
1150224,87.2,44.3,81.3,78.3,118.3
1150225,70.4,29.9,172.6,78.7,113.1
1150226,70.3,62.6,100.1,54.7,100.1
1150227,66.3,40.4,109.0,87.3,76.3
1150228,79.4,59.8,96.8,71.2,86.0
1150229,68.9,61.6,145.5,97.3,96.7
1150230,56.3,55.7,74.3,71.6,130.2
1150231,92.0,50.1,100.0,,133.7
1150232,78.5,46.1,126.9,48.1,134.3
1150233,66.5,32.0,64.2,65.9,62.8
1150234,31.7,47.6,131.7,64.9,112.4
1150235,64.9,25.5,115.8,77.3,37.6
1150236,38.1,41.3,103.5,74.3,81.6
1150237,125.2,53.2,112.2,86.3,85.6
1150238,84.9,26.4,102.0,77.7,128.7
1150239,102.0,64.0,82.2,62.2,130.0
1150240,91.9,58.8,55.3,52.6,107.0
1150241,56.9,35.9,129.8,20.0,65.8
1150242,88.2,70.3,87.1,73.8,121.2
1150243,85.5,75.0,60.2,49.9,115.4
1150244,72.7,30.9,73.4,67.2,96.6
1150245,83.7,64.0,131.7,90.2,108.1
1150246,110.6,59.2,68.8,47.7,82.6
1150247,92.5,24.1,106.8,78.0,102.1
1150248,41.1,17.8,109.9,67.8,101.5
1150249,66.1,19.5,140.6,52.5,134.3
1150250,71.4,35.7,99.2,121.5,163.0
1150251,46.1,43.1,102.5,51.1,128.7
1150252,64.5,33.3,107.3,75.0,115.3
1150253,61.5,50.2,106.7,61.6,69.5
1150254,97.9,34.9,91.0,47.2,109.5
1150255,80.8,23.4,114.0,87.1,94.7
1150256,56.0,66.2,73.3,84.8,139.2
1150257,64.4,37.5,108.0,69.8,92.7
1150258,76.6,43.2,94.1,80.6,118.9
1150259,68.9,31.8,72.9,65.0,80.1
1150260,73.6,72.8,113.4,89.6,58.9
1150261,59.7,31.8,61.1,71.7,77.9
1150262,79.2,75.5,88.3,86.9,134.2
1150263,82.9,21.6,72.7,54.9,77.3
1150264,74.0,51.8,104.6,63.3,60.8
1150265,96.4,36.7,83.2,80.2,93.9
1150266,61.5,62.4,103.3,57.2,128.4
1150267,69.8,44.2,134.3,96.0,97.4
1150268,90.5,51.7,102.9,87.9,136.0
1150269,71.0,44.1,90.3,79.9,60.8
1150270,89.9,40.3,136.2,47.8,74.1
1150271,88.0,44.8,103.0,81.7,89.7
1150272,79.4,47.4,127.8,63.5,102.7
1150273,103.7,53.2,113.0,90.4,141.2
1150274,66.0,50.6,121.6,87.5,124.5
1150275,92.7,26.8,38.4,55.5,118.3
1150276,82.3,52.7,82.3,,130.9
1150277,75.4,46.0,120.8,50.8,135.8
1150278,99.0,41.2,71.2,75.9,123.8
1150279,95.4,41.4,104.3,50.6,108.8
1150280,100.2,23.7,118.3,85.5,95.2
1150281,95.5,38.9,87.5,72.6,125.9
1150282,65.8,63.1,113.1,60.1,104.1
1150283,65.4,33.5,113.5,68.2,112.0
1150284,116.4,46.1,107.5,50.7,61.8
1150285,60.7,28.8,73.0,55.8,87.3
1150286,109.2,34.8,89.4,87.0,92.8
1150287,87.4,58.5,118.8,61.3,101.4
1150288,73.1,58.2,64.7,106.5,70.7
1150289,95.3,49.4,91.1,66.8,76.3
1150290,95.4,48.1,75.4,56.0,78.0
1150291,63.8,45.6,110.0,65.9,91.8
1150292,116.5,43.1,113.6,84.4,96.7
1150293,92.9,49.9,140.0,68.2,51.1
1150294,82.3,40.4,118.6,60.1,93.6
1150295,74.2,53.2,92.6,59.9,137.6
1150296,107.7,47.2,88.2,82.8,72.2
1150297,83.9,68.5,124.6,104.2,92.7
1150298,40.8,43.2,88.6,61.0,116.5
1150299,56.6,32.0,58.9,49.4,130.9
1150300,67.8,65.3,133.0,95.2,78.9
1150301,47.1,35.7,107.0,90.9,51.1
1150302,72.0,58.4,109.6,85.0,70.9
1150303,73.9,70.8,119.5,75.1,115.1
1150304,39.7,60.6,96.6,59.3,97.6
1150305,59.6,37.2,93.8,60.5,77.7
1150306,120.2,53.2,173.7,76.8,106.1
1150307,69.4,84.8,99.1,64.1,107.5
1150308,75.2,24.7,71.7,99.1,47.0
1150309,64.5,53.7,79.8,61.4,99.8
1150310,61.6,36.8,54.4,75.5,94.6
1150311,66.1,60.7,64.8,101.9,116.1
1150312,99.5,44.3,37.3,58.6,88.7
1150313,94.6,35.5,86.1,100.3,133.0
1150314,67.1,44.6,103.9,80.9,92.6
1150315,75.2,30.1,119.8,72.2,98.9
1150316,40.6,54.2,93.8,64.3,90.7
1150317,68.4,67.0,120.2,77.8,126.4
1150318,48.1,34.0,108.6,86.9,137.8
1150319,60.9,50.7,93.6,62.4,77.8
1150320,103.6,35.0,74.4,65.7,165.8
1150321,100.4,36.6,110.1,79.6,124.2
1150322,76.0,57.5,124.8,112.0,116.7
1150323,50.1,46.2,103.8,84.8,122.7
1150324,56.1,44.4,102.2,39.7,119.2
1150325,45.4,44.5,103.6,67.8,134.2
1150326,47.5,23.2,112.3,50.4,127.4
1150327,68.4,30.5,54.0,25.5,88.6
1150328,71.2,48.9,133.1,69.3,82.9
1150329,57.8,43.1,75.9,63.7,101.7
1150330,95.8,54.6,60.3,54.4,84.2
1150331,61.2,15.3,95.3,55.1,91.9
1150332,93.6,29.6,105.4,73.7,94.1
1150333,57.9,37.3,110.3,65.3,33.1
1150334,43.6,37.8,83.9,57.1,94.5
1150335,105.9,55.7,114.9,57.0,75.7
1150336,91.7,39.5,113.4,75.3,161.7
1150337,106.2,54.5,62.1,77.2,65.0
1150338,65.2,33.8,87.4,,110.7
1150339,42.3,39.5,59.4,54.9,141.2
1150340,59.6,45.1,63.7,51.1,144.5
1150341,94.0,27.1,78.1,39.2,108.2
1150342,72.7,46.6,73.4,77.0,57.1
1150343,88.2,64.2,125.5,54.9,103.8
1150344,99.9,52.7,101.3,71.4,91.1
1150345,87.1,46.5,93.5,94.0,93.5
1150346,87.7,39.0,60.6,89.8,100.5
1150347,99.0,60.3,87.5,34.9,80.2
1150348,72.6,51.6,94.7,72.6,88.5
1150349,61.2,27.1,99.0,82.5,94.0
1150350,69.9,27.0,127.3,88.4,67.0
1150351,77.7,55.1,93.0,91.8,121.0
1150352,77.9,31.1,80.8,103.1,118.8
1150353,75.7,25.7,64.5,47.2,136.9
1150354,85.9,26.3,135.7,80.0,120.0
1150355,58.0,46.7,96.4,73.2,86.6
1150356,118.0,27.3,74.3,88.0,153.7
1150357,114.3,66.0,114.3,62.3,96.4
1150358,74.3,15.7,105.7,84.1,124.5
1150359,65.4,41.7,108.3,64.1,120.9
1150360,77.7,68.0,121.7,46.7,126.9
1150361,65.7,0.3,70.8,97.2,146.1
1150362,31.1,25.8,72.7,62.4,150.2
1150363,56.2,54.4,89.6,61.8,132.1
1150364,69.9,47.2,104.0,108.1,65.0
1150365,55.6,40.7,82.4,50.6,110.2
1150366,33.2,53.9,89.3,53.9,99.9
1150367,77.9,44.6,78.0,58.0,110.4
1150368,118.5,59.1,63.0,69.3,121.4
1150369,29.2,43.7,150.9,64.1,94.0
1150370,100.9,37.8,136.8,78.0,133.6
1150371,56.6,12.0,130.0,74.0,134.0
1150372,80.2,32.5,91.0,46.7,111.6
1150373,38.6,25.1,129.2,88.8,99.7
1150374,92.6,60.5,130.8,85.5,102.1
1150375,93.9,50.7,118.1,73.3,77.0
1150376,70.1,43.8,91.8,84.1,123.6
1150377,92.6,56.0,73.6,74.2,90.0
1150378,49.0,68.0,100.9,66.0,80.1
1150379,71.4,38.9,80.1,44.0,110.7
1150380,59.8,28.7,104.1,86.2,125.0
1150381,87.5,81.3,32.5,,94.1
1150382,48.6,36.2,84.1,64.7,129.0
1150383,70.1,33.3,90.8,41.2,86.2
1150384,106.1,51.7,120.5,63.8,96.6
1150385,54.8,57.8,98.2,54.9,120.8
1150386,63.4,46.7,120.9,91.7,139.9
1150387,91.3,35.0,105.0,101.0,132.7
1150388,75.0,50.5,112.1,58.9,79.3
1150389,43.2,41.1,143.2,62.4,69.6
1150390,70.3,39.6,74.5,54.6,130.4
1150391,44.8,37.6,69.6,83.6,111.8
1150392,90.7,45.5,140.1,51.8,121.9
1150393,61.5,31.9,125.6,62.4,50.8
1150394,97.2,42.8,132.1,95.5,56.6
1150395,45.4,68.4,107.5,87.6,114.2
1150396,101.1,29.4,80.0,97.8,129.1
1150397,63.5,48.5,130.0,30.8,116.1
1150398,87.1,49.1,107.1,66.0,115.2
1150399,64.7,46.3,99.2,80.4,105.4
1150400,46.7,43.7,83.5,63.5,118.8
1150401,87.3,31.1,118.9,108.8,129.2
1150402,111.9,50.5,93.6,111.6,121.7
1150403,74.6,37.9,38.4,54.7,93.7
1150404,81.0,28.6,134.6,93.5,109.8
1150405,80.4,57.2,82.1,47.9,82.5
1150406,101.0,37.5,95.9,72.1,82.3
1150407,53.8,48.2,102.2,62.7,114.8
1150408,91.0,53.0,144.9,71.8,123.1
1150409,75.9,59.7,117.7,73.9,122.0
1150410,77.1,62.4,88.0,81.7,109.6
1150411,100.0,67.8,92.3,34.5,71.1
1150412,97.5,34.9,105.1,74.4,90.5
1150413,52.3,38.7,95.4,74.2,107.5
1150414,59.3,15.7,93.2,70.1,110.4
1150415,104.1,56.1,101.4,93.3,103.3
1150416,88.9,32.1,106.0,48.7,64.8
1150417,81.4,58.1,119.1,78.5,107.0
1150418,65.0,65.3,121.7,82.8,97.9
1150419,95.1,50.3,128.0,110.8,113.4
1150420,108.9,50.7,123.1,73.9,98.1
1150421,86.6,51.9,105.3,30.6,120.1
1150422,71.6,51.6,112.1,106.5,80.4
1150423,49.5,46.3,102.4,64.7,91.4
1150424,60.0,42.4,101.5,90.1,97.2
1150425,93.5,63.7,127.1,60.4,73.1
1150426,66.6,58.2,120.0,89.3,119.2
1150427,50.2,67.4,117.2,85.9,75.8
1150428,68.9,50.0,107.6,58.8,105.1
1150429,90.2,42.1,97.4,90.2,99.7
1150430,72.5,81.5,96.8,87.3,46.2
1150431,121.1,33.5,138.9,71.7,68.3
1150432,67.2,32.7,61.8,84.9,108.1
1150433,90.2,34.5,135.0,83.9,83.2
1150434,70.9,64.7,65.5,90.1,85.7
1150435,53.8,47.8,121.3,70.4,119.8
1150436,58.9,22.0,132.5,69.1,90.0
1150437,58.1,49.0,121.6,120.8,121.3
1150438,93.6,45.4,73.8,70.2,122.7
1150439,71.8,20.8,130.5,81.0,109.9
1150440,75.3,63.5,100.5,89.1,50.8
1150441,85.8,68.9,90.9,98.9,69.9
1150442,94.8,21.6,129.0,45.4,107.2
1150443,127.8,37.3,136.7,52.6,105.2
1150444,109.6,42.8,99.2,76.9,79.7
1150445,76.8,43.9,142.4,63.6,82.4
1150446,75.6,45.8,103.9,100.0,102.2
1150447,40.8,33.6,105.3,56.0,102.0
1150448,85.2,30.0,120.2,89.4,76.4
1150449,95.0,60.5,103.7,100.5,124.7
1150450,67.4,46.1,65.1,89.6,141.9
1150451,100.2,21.7,84.4,51.6,121.4
1150452,107.0,31.7,92.0,83.6,137.5
1150453,67.3,37.8,99.7,71.6,112.7
1150454,65.3,40.2,110.5,63.7,85.4
1150455,111.2,46.3,114.0,80.6,106.2
1150456,48.9,50.0,127.8,77.6,112.2
1150457,60.6,24.5,51.4,79.2,79.0
1150458,85.7,54.9,112.0,60.9,57.7
1150459,45.9,20.7,92.1,86.4,129.9
1150460,78.6,37.0,121.7,64.5,100.3
1150461,78.9,32.8,102.3,94.4,77.7
1150462,69.1,44.3,80.3,111.9,116.9
1150463,64.7,25.2,87.4,54.0,137.2
1150464,60.8,52.4,136.6,74.5,80.7
1150465,99.1,34.8,66.7,78.7,65.6
1150466,96.1,42.0,88.5,73.5,86.5
1150467,74.3,26.5,64.5,57.0,93.7
1150468,70.8,51.1,95.8,79.3,88.4
1150469,72.7,43.0,92.1,87.8,132.7
1150470,99.2,50.1,48.2,48.5,101.1
1150471,73.2,51.2,102.6,109.3,91.0
1150472,94.3,75.8,110.9,106.0,122.2
1150473,56.6,37.9,70.1,68.5,119.6
1150474,51.5,18.8,77.8,43.7,65.9
1150475,72.7,44.0,116.7,89.8,103.5
1150476,81.8,50.2,124.3,91.6,80.8
1150477,49.5,35.1,116.6,98.8,128.6
1150478,64.1,56.1,112.5,44.9,91.7
1150479,104.8,20.9,84.3,66.9,89.4
1150480,79.0,54.5,93.5,94.3,64.8
1150481,48.8,46.8,98.9,83.1,120.5
1150482,47.3,60.9,106.6,65.7,53.5
1150483,76.3,66.2,127.0,83.7,100.0
1150484,87.9,63.0,95.9,73.8,88.7
1150485,85.4,38.9,124.3,84.0,151.2
1150486,72.7,49.7,98.5,98.5,142.6
1150487,37.3,32.2,114.5,,67.5
1150488,92.9,43.5,96.2,64.2,142.6
1150489,63.1,65.8,105.3,,135.0
1150490,59.7,41.2,130.1,53.7,127.2
1150491,96.3,37.9,123.5,70.1,110.9
1150492,46.6,56.1,101.9,87.8,159.5
1150493,71.3,44.2,133.6,94.1,76.0
1150494,93.6,26.4,97.0,53.2,132.9
1150495,104.1,31.2,54.0,77.4,128.3
1150496,79.1,48.1,127.0,59.5,94.6
1150497,56.6,47.7,91.4,62.1,106.8
1150498,79.2,46.4,81.0,100.0,60.8
1150499,111.6,31.8,112.7,85.1,145.1
1150500,76.1,29.4,126.3,64.5,121.2
1150501,38.6,43.8,137.7,108.9,120.8
1150502,69.8,55.0,153.9,89.2,65.1
1150503,83.3,11.3,99.2,61.7,140.0
1150504,63.5,47.8,103.8,43.1,143.0
1150505,62.6,43.0,109.8,62.3,130.6
1150506,82.4,38.8,122.0,83.8,119.4
1150507,56.4,41.7,122.3,93.9,89.6
1150508,72.3,36.1,84.7,86.2,80.7
1150509,62.8,69.9,98.2,54.5,89.7
1150510,69.7,24.4,99.0,87.6,95.4
1150511,101.6,53.0,128.8,70.6,65.6
1150512,114.9,25.7,52.3,73.0,116.6
1150513,74.5,51.0,77.6,108.4,93.7
1150514,74.6,57.6,91.5,63.1,146.9
1150515,40.9,42.9,84.2,52.7,114.2
1150516,50.8,48.3,84.1,80.2,97.0
1150517,64.1,46.8,89.4,66.3,85.2
1150518,87.9,61.7,101.6,75.5,120.2
1150519,96.7,63.9,128.8,,110.2
1150520,54.4,41.5,103.5,75.6,129.9
1150521,100.4,46.5,107.5,97.1,92.7
1150522,99.0,62.2,86.9,74.6,108.8
1150523,54.5,60.8,129.3,63.8,107.0
1150524,115.2,54.1,54.2,96.9,95.4
1150525,86.4,65.5,68.9,93.2,103.2
1150526,72.2,74.6,116.6,63.4,133.1
1150527,93.7,21.3,88.2,65.4,126.2
1150528,77.1,22.4,106.8,76.5,81.2
1150529,89.5,45.9,71.8,64.3,65.2
1150530,69.6,37.1,62.0,66.5,104.7
1150531,50.8,10.9,92.9,69.5,156.0
1150532,83.1,30.6,90.0,76.6,112.6
1150533,69.4,11.9,114.9,82.1,143.9
1150534,50.4,51.2,133.0,71.7,116.1
1150535,56.1,48.0,106.4,59.6,126.5
1150536,87.4,48.6,77.1,83.9,107.9
1150537,83.1,65.1,140.3,50.3,102.8
1150538,48.8,67.5,79.9,70.2,107.0
1150539,25.6,47.5,114.2,59.6,61.5
1150540,54.1,46.8,71.1,76.4,93.0
1150541,53.1,53.2,123.4,78.7,84.5
1150542,108.1,58.3,102.7,84.5,86.8
1150543,104.3,68.8,102.9,60.7,141.4
1150544,80.3,65.5,117.0,78.5,111.8
1150545,53.1,30.0,100.3,92.3,65.6
1150546,58.3,64.3,100.3,46.8,121.9
1150547,75.7,46.7,91.7,20.0,138.4
1150548,119.4,45.6,67.6,80.6,86.2
1150549,87.6,38.0,76.9,107.7,112.1
1150550,84.3,11.4,98.7,92.5,124.4
1150551,64.6,15.6,89.2,105.7,128.2
1150552,52.5,60.0,98.9,82.0,93.3
1150553,25.1,47.9,84.0,123.2,116.4
1150554,85.5,54.4,131.6,84.4,115.8
1150555,105.9,34.2,146.1,102.4,145.4
1150556,86.4,46.3,127.6,51.0,95.0
1150557,57.1,20.7,98.5,92.9,91.9
1150558,92.5,35.9,80.1,60.0,128.4
1150559,61.3,63.2,119.3,51.3,107.4
1150560,93.3,55.5,74.7,79.2,106.6
1150561,84.9,47.9,52.1,70.3,78.6
1150562,98.5,47.5,61.8,84.0,100.7
1150563,104.1,63.3,120.1,77.8,113.6
1150564,58.7,74.4,98.8,62.5,101.3
1150565,62.0,41.4,99.0,68.7,139.8
1150566,93.6,61.4,114.5,74.1,117.0
1150567,57.4,70.8,93.2,89.8,94.0
1150568,59.0,46.5,103.3,65.9,102.3
1150569,20.0,38.7,56.3,92.7,70.6
1150570,44.5,46.9,121.0,59.6,124.4
1150571,84.4,29.8,67.1,65.8,64.4
1150572,53.8,48.2,44.0,96.6,88.3
1150573,80.2,35.8,101.9,48.6,118.4
1150574,120.2,42.3,133.1,26.5,84.7
1150575,73.6,33.6,131.0,63.9,109.9
1150576,52.2,25.9,106.7,63.7,81.0
1150577,88.2,57.5,145.6,95.1,129.9
1150578,82.9,72.9,109.0,66.3,129.1
1150579,79.8,45.5,113.1,39.2,55.2
