EmployeeID,Tenure_Years,TeamSize,WorkSatisfaction,ManagerRating,EngagementScore
810206,11.4,5,3.1,1.9,73.0
810207,1.4,8,9.3,7.5,56.1
810208,4.3,3,8.7,7.6,72.1
810209,8.1,20,6.4,4.3,78.0
810210,2.8,20,7.1,6.8,74.5
810211,7.5,8,2.1,1.0,53.3
810212,13.5,20,6.4,5.9,89.4
810213,2.2,12,9.7,6.6,66.4
810214,2.4,12,8.3,6.1,60.9
810215,8.1,5,4.9,4.2,66.6
810216,6.4,12,3.3,4.3,64.2
810217,13.3,3,1.9,2.9,74.3
810218,14.0,3,2.6,1.4,69.8
810219,9.5,12,2.2,2.2,60.2
810220,9.5,5,6.4,4.7,74.9
810221,4.0,5,3.6,1.4,49.6
810222,9.2,5,4.3,3.8,69.2
810223,7.5,12,2.7,2.6,54.9
810224,13.5,20,7.2,5.0,84.3
810225,3.9,5,7.6,5.0,66.7
810226,5.2,12,5.9,5.1,63.3
810227,7.3,5,4.4,3.2,71.6
810228,10.9,8,2.6,1.2,63.5
810229,4.0,20,1.0,1.0,40.6
810230,14.5,12,2.8,3.7,78.5
810231,6.2,20,3.7,1.3,59.5
810232,2.1,12,4.8,4.5,60.3
810233,3.3,5,8.2,7.5,63.0
810234,9.9,12,5.0,2.3,69.2
810235,4.1,12,8.6,7.4,74.5
810236,7.3,3,6.1,7.5,71.6
810237,14.6,3,4.8,5.0,88.1
810238,10.9,5,7.2,5.4,88.8
810239,7.0,8,2.5,1.5,58.3
810240,13.6,8,3.2,2.2,75.4
810241,6.0,8,4.8,2.9,61.9
810242,5.9,8,6.9,6.2,66.5
810243,5.2,8,8.6,8.6,74.3
810244,8.2,5,3.6,3.7,67.9
810245,11.7,20,8.0,7.3,86.2
810246,8.9,12,8.1,7.7,79.8
810247,7.4,8,4.6,4.9,68.8
810248,7.1,8,8.2,5.5,70.7
810249,14.8,8,5.9,6.3,81.1
810250,3.7,8,3.4,3.7,44.4
810251,14.2,5,1.6,1.0,65.7
810252,5.0,5,2.8,1.0,56.0
810253,1.3,20,5.9,6.6,52.1
810254,7.9,20,9.7,6.1,79.4
810255,6.0,5,2.7,1.7,54.7
810256,10.0,20,1.6,2.1,69.9
810257,7.8,8,7.2,6.9,63.7
810258,3.1,8,,8.3,73.5
810259,12.4,20,1.2,1.0,70.7
810260,10.8,20,3.3,2.2,64.0
810261,10.4,5,1.4,1.0,62.5
810262,1.8,3,2.3,1.4,37.7
810263,8.9,20,2.8,2.5,62.4
810264,13.5,5,3.0,2.7,70.6
810265,4.2,12,7.9,5.6,68.3
810266,12.4,5,1.9,1.0,70.2
810267,3.5,20,3.7,2.6,54.8
810268,12.6,8,8.1,5.5,77.7
810269,7.5,3,5.6,4.7,66.6
810270,6.6,8,7.6,5.2,71.6
810271,2.4,12,5.2,3.1,59.0
810272,10.1,5,7.4,5.1,93.1
810273,6.0,3,8.9,8.0,74.5
810274,5.9,5,3.7,2.6,55.0
810275,1.1,12,9.5,6.4,60.3
810276,7.1,3,6.7,5.1,68.6
810277,14.9,12,6.1,5.7,76.8
810278,10.8,3,9.0,7.6,87.1
810279,5.3,12,2.5,2.2,53.0
810280,6.5,3,9.2,8.5,78.3
810281,7.4,20,8.4,7.7,69.7
810282,14.5,12,2.3,1.3,77.5
810283,12.0,3,4.0,3.4,75.3
810284,1.1,12,5.8,4.2,51.4
810285,9.5,8,4.5,4.5,71.1
810286,5.5,5,6.7,5.0,70.4
810287,12.4,5,6.6,4.7,85.9
810288,2.6,5,3.7,3.2,51.5
810289,6.6,3,1.3,1.9,52.2
810290,8.6,3,8.8,7.0,86.4
810291,0.7,20,8.2,6.9,55.4
810292,13.2,12,7.7,7.4,92.5
810293,11.5,12,7.0,4.6,78.3
810294,4.7,5,4.2,6.0,69.9
810295,8.5,12,8.6,6.1,76.5
810296,7.7,8,8.5,7.8,71.1
810297,13.4,20,6.8,6.1,94.2
810298,2.6,12,5.7,3.0,57.6
810299,7.5,8,7.1,4.4,77.2
810300,10.3,20,9.1,9.3,79.2
810301,13.7,12,3.8,2.6,78.3
810302,4.7,12,3.7,4.7,60.4
810303,4.4,3,8.2,5.5,71.9
810304,4.7,3,7.8,8.5,63.9
810305,11.1,12,1.2,1.0,57.0
810306,10.1,5,5.9,5.6,78.8
810307,9.7,8,7.5,5.8,72.7
810308,2.7,20,3.5,2.3,48.4
810309,7.8,12,9.2,8.3,78.8
810310,14.9,8,8.6,6.5,100.0
810311,1.1,3,6.6,6.6,49.9
810312,11.9,5,8.5,5.5,93.7
810313,9.5,8,7.3,6.5,73.0
810314,7.8,8,1.6,1.4,57.2
810315,2.3,8,9.6,8.9,62.6
810316,4.9,20,4.0,4.2,57.8
810317,6.6,8,,2.2,59.1
810318,3.1,8,9.8,6.1,69.8
810319,12.9,20,9.4,7.7,94.8
810320,5.2,8,2.2,1.1,61.7
810321,7.8,3,6.1,6.1,69.9
810322,6.5,3,9.8,6.3,76.2
810323,5.7,8,4.7,2.3,59.2
810324,10.3,5,9.3,8.8,83.2
810325,7.7,20,8.0,5.8,75.6
810326,12.0,8,10.0,9.2,97.6
810327,4.0,3,3.2,2.6,62.1
810328,11.1,8,8.2,6.8,92.9
810329,3.0,20,8.8,8.3,65.0
810330,1.6,8,2.3,1.0,34.4
810331,0.9,3,1.3,1.0,34.0
810332,10.6,8,8.1,5.9,93.3
810333,14.8,12,8.3,7.8,94.2
810334,14.3,12,8.8,7.1,100.0
810335,4.3,8,5.0,4.2,63.1
810336,8.3,3,8.3,4.6,86.6
810337,8.4,8,6.0,5.2,75.8
810338,7.4,20,7.6,5.2,75.2
810339,4.5,8,6.0,4.9,66.0
810340,8.0,3,6.9,6.1,68.8
810341,9.5,5,6.1,4.4,77.3
810342,11.6,20,6.0,3.4,82.7
810343,10.9,5,2.6,3.3,64.7
810344,6.0,12,5.3,3.8,59.9
810345,1.3,5,3.8,4.5,52.2
810346,13.5,3,8.8,7.5,92.5
810347,13.5,20,6.1,4.9,85.2
810348,12.3,12,5.9,5.4,91.5
810349,13.3,8,8.8,8.6,96.8
810350,7.8,5,7.5,5.0,74.4
810351,9.2,5,4.7,5.0,74.8
810352,8.4,8,3.7,4.7,62.2
810353,2.7,12,8.3,7.4,66.0
810354,3.6,12,1.7,1.0,45.3
810355,3.6,20,2.7,2.6,51.3
810356,14.1,3,9.8,7.1,100.0
810357,3.4,3,9.2,6.7,69.7
810358,13.4,3,5.7,4.1,90.7
810359,13.5,3,1.7,3.3,65.1
810360,11.4,8,3.9,1.6,67.9
810361,6.7,5,3.5,1.1,68.5
810362,12.1,5,1.5,2.1,64.9
810363,12.5,8,7.3,6.6,73.9
810364,14.7,8,4.4,1.9,77.8
810365,11.4,3,9.8,7.1,92.5
810366,12.2,3,4.3,4.2,78.0
810367,7.7,20,9.3,7.2,80.4
810368,11.4,5,7.5,5.8,87.6
810369,14.1,12,5.4,4.9,86.7
810370,5.2,12,2.3,3.3,50.3
810371,14.2,20,3.8,3.6,76.8
810372,7.7,20,2.6,1.1,57.7
810373,10.9,5,9.4,7.1,94.4
810374,5.3,5,2.9,1.7,46.2
810375,12.3,8,5.6,5.2,82.3
810376,11.8,8,8.9,7.9,89.4
810377,5.7,8,6.8,4.4,66.7
810378,0.6,3,5.5,2.0,47.6
810379,3.6,5,1.6,2.1,42.7
810380,7.7,20,2.2,4.1,54.5
810381,4.2,8,7.0,4.3,69.8
810382,1.6,8,9.9,6.8,60.3
810383,12.7,3,5.7,3.4,80.2
810384,10.5,5,2.6,2.9,70.8
810385,10.0,20,6.5,5.1,83.6
810386,3.9,12,3.7,5.0,58.8
810387,4.3,5,2.7,4.0,57.6
810388,12.2,3,5.9,5.5,80.1
810389,7.2,3,2.7,2.2,57.9
810390,7.5,20,8.3,7.9,81.3
810391,0.8,3,9.0,5.4,58.3
810392,3.5,5,4.7,3.6,57.4
810393,11.4,3,4.2,3.1,63.1
810394,13.4,20,5.1,4.3,83.1
810395,13.4,12,7.0,7.4,89.9
810396,8.5,5,1.3,3.0,47.2
810397,12.3,20,3.0,2.3,72.4
810398,4.5,12,4.4,3.4,62.5
810399,14.9,3,7.5,6.7,88.6
810400,5.4,5,1.1,1.3,49.5
810401,12.4,5,6.5,6.4,95.1
810402,10.6,12,10.0,9.4,90.7
810403,1.2,5,4.9,4.1,52.5
810404,11.1,12,8.0,5.7,90.4
810405,2.9,3,5.2,4.4,52.5
810406,11.4,5,1.3,1.0,62.1
810407,11.9,5,6.7,6.3,80.9
810408,13.8,3,4.7,2.9,88.5
810409,1.2,12,1.6,1.0,45.9
810410,12.5,3,1.0,1.7,66.2
810411,7.2,5,8.8,8.6,86.7
810412,9.0,3,2.2,2.0,64.3
810413,5.4,3,1.7,1.0,49.3
810414,9.2,12,6.0,4.8,74.1
810415,12.7,20,3.7,2.9,73.1
810416,7.8,8,4.1,3.4,63.1
810417,4.9,3,8.9,5.4,80.6
810418,0.5,8,9.2,7.3,60.0
810419,8.9,20,7.0,7.0,72.6
810420,14.0,12,10.0,6.9,100.0
810421,10.9,8,3.8,2.7,66.2
810422,14.0,5,4.1,4.6,77.8
810423,9.6,8,1.5,2.7,64.2
810424,13.1,5,7.1,5.8,98.5
810425,5.9,5,1.6,1.6,52.4
810426,13.5,3,9.4,8.3,99.9
810427,8.2,20,9.5,8.5,89.1
810428,2.1,20,9.6,8.0,73.1
810429,5.2,5,4.9,3.9,57.6
810430,3.0,3,5.9,5.8,59.2
810431,10.9,8,5.6,5.8,77.0
810432,11.7,20,3.2,3.9,81.1
810433,11.8,8,4.7,2.4,74.1
810434,7.7,3,2.2,1.7,62.5
810435,0.6,8,9.5,6.4,62.6
810436,8.9,5,4.0,1.7,56.2
810437,6.8,8,7.8,5.6,77.7
810438,12.5,3,5.7,3.9,94.3
810439,9.2,5,2.8,2.7,61.5
810440,13.5,5,9.0,5.8,95.1
810441,11.9,5,4.7,1.7,81.9
810442,8.1,3,3.1,1.0,57.1
810443,1.5,20,4.8,4.2,49.5
810444,12.2,8,1.4,1.0,66.2
810445,7.9,8,8.5,5.0,81.7
810446,10.3,3,4.0,4.0,67.5
810447,7.2,5,6.9,6.9,69.5
810448,10.6,20,7.4,6.2,80.9
810449,1.9,20,3.0,3.1,45.3
810450,7.5,12,9.8,8.2,81.7
810451,5.9,8,5.0,3.5,62.3
810452,13.2,5,4.4,3.5,83.8
810453,8.1,12,8.9,7.7,74.5
810454,3.8,3,4.7,2.6,52.0
810455,14.0,8,4.6,3.8,76.9
810456,9.0,3,1.1,1.0,51.3
810457,11.3,20,2.2,3.2,65.4
810458,6.9,5,2.4,3.7,58.6
810459,14.3,8,7.0,5.6,95.9
810460,9.6,8,,3.1,75.9
810461,2.8,8,4.4,4.9,53.3
810462,5.3,3,1.5,1.6,46.3
810463,1.2,8,4.4,3.1,46.5
810464,5.1,8,9.1,8.5,71.5
810465,6.9,3,9.1,7.6,71.4
810466,14.4,20,8.3,5.8,91.7
810467,10.8,5,7.2,5.8,77.9
810468,13.0,12,5.5,5.2,76.8
810469,5.3,12,5.5,3.6,66.5
810470,6.4,8,4.8,2.9,66.1
810471,4.7,12,5.1,4.1,60.3
810472,2.8,20,6.4,6.5,59.3
810473,2.3,3,3.0,1.0,46.3
810474,1.6,3,1.4,1.0,36.1
810475,2.3,20,1.9,1.0,42.1
810476,6.4,8,1.7,1.9,55.7
810477,15.0,3,1.4,1.0,66.9
810478,2.3,20,7.0,6.6,60.3
810479,9.1,3,5.2,5.1,65.1
810480,7.6,12,1.2,1.0,41.2
810481,6.1,5,5.3,2.8,52.2
810482,7.5,3,8.2,7.8,72.0
810483,12.4,20,2.4,2.0,70.0
810484,4.7,12,9.9,8.7,80.2
810485,13.0,3,8.5,6.5,86.2
810486,12.8,12,2.0,1.0,70.0
810487,6.4,8,1.2,1.0,58.8
810488,4.8,12,6.5,2.5,72.6
810489,7.1,8,9.4,7.4,92.3
810490,6.7,3,7.4,6.7,76.7
810491,9.7,12,8.6,6.7,84.9
810492,5.8,20,9.5,7.4,74.5
810493,12.7,8,8.7,7.0,83.8
810494,5.3,12,3.7,4.4,57.9
810495,9.3,5,4.0,2.6,55.7
810496,3.3,8,4.3,3.9,56.9
810497,13.1,12,2.5,2.3,66.8
810498,13.3,20,1.8,2.9,71.0
810499,2.7,8,1.8,2.1,39.2
810500,7.8,5,2.9,1.0,65.2
810501,8.5,3,2.1,1.5,59.5
810502,14.3,8,5.2,3.7,80.7
810503,4.7,8,1.4,2.6,45.6
810504,11.8,5,2.4,1.0,56.9
810505,10.6,5,2.5,2.1,72.7
810506,13.9,20,6.2,5.7,76.0
810507,14.9,3,2.1,1.0,79.5
810508,7.8,3,5.5,5.3,84.1
810509,3.2,5,9.3,5.5,78.0
810510,11.3,3,1.1,1.8,61.1
810511,8.5,5,5.9,4.6,67.1
810512,7.7,3,3.5,1.9,65.1
810513,10.9,5,8.6,6.9,91.5
810514,6.2,20,9.9,8.6,79.9
810515,7.6,12,3.9,4.9,63.8
810516,12.4,5,8.4,4.6,81.8
810517,10.2,8,6.4,4.7,75.8
810518,14.3,8,5.5,2.2,88.4
810519,8.5,8,1.1,2.0,48.1
810520,13.9,12,10.0,8.7,100.0
810521,7.7,5,,3.6,55.8
810522,5.3,5,1.3,1.0,42.7
810523,4.0,20,6.4,3.9,71.1
810524,5.3,5,4.0,3.2,56.8
810525,9.3,5,,3.2,62.1
810526,5.3,5,7.2,5.7,64.3
810527,14.9,20,6.2,6.3,92.0
810528,5.6,5,7.2,3.3,69.2
810529,2.0,8,6.4,5.9,60.0
810530,7.7,8,,6.9,87.1
810531,11.3,8,3.8,4.2,64.2
810532,11.9,8,6.8,4.9,83.9
810533,4.9,8,7.9,8.0,70.4
810534,13.3,8,2.7,3.6,70.3
810535,8.6,20,4.7,3.0,64.2
810536,4.3,12,7.6,6.0,59.4
810537,10.1,12,9.0,6.5,80.7
810538,6.5,20,1.8,1.3,50.3
810539,4.3,8,3.3,1.0,52.8
810540,3.1,5,4.4,3.2,50.4
810541,5.2,20,4.2,3.2,55.6
810542,8.0,20,2.9,1.0,63.4
810543,8.1,8,7.3,4.5,75.7
810544,13.9,12,8.9,5.6,95.9
810545,5.4,12,7.1,5.8,68.1
810546,5.0,12,6.2,5.9,63.9
810547,9.9,5,4.5,4.5,78.8
810548,9.3,20,9.0,8.1,85.9
810549,14.7,8,6.4,4.0,97.8
810550,1.1,3,2.8,2.6,40.3
810551,6.9,20,2.2,2.7,51.8
810552,2.5,3,1.3,1.0,41.6
810553,6.4,20,5.3,3.4,69.8
810554,2.8,20,3.4,1.8,53.7
810555,4.2,5,6.9,4.8,67.4
810556,7.1,12,2.4,2.4,57.1
810557,8.8,12,9.4,6.0,80.8
810558,13.3,20,4.6,3.8,79.2
810559,8.2,5,9.9,8.3,84.6
810560,6.0,8,7.5,6.8,68.4
810561,10.2,5,6.3,5.4,74.9
810562,10.7,5,2.1,1.7,70.5
810563,10.4,8,2.1,2.3,66.4
810564,12.7,3,,2.2,74.5
810565,4.1,20,4.1,3.6,54.7
810566,1.7,5,2.9,2.9,47.6
810567,8.5,5,3.8,4.4,64.6
810568,9.8,12,2.2,1.4,63.0
810569,14.1,3,8.7,7.4,100.0
810570,9.2,20,1.6,1.0,58.7
810571,7.8,8,8.9,8.3,80.3
810572,14.7,12,8.9,7.1,92.8
810573,7.7,8,7.7,7.5,76.6
810574,11.4,5,,6.4,80.8
810575,4.6,8,2.3,1.0,41.1
810576,3.0,8,2.9,2.1,30.9
810577,0.6,8,1.5,3.8,42.9
810578,11.1,8,5.3,3.8,79.8
810579,5.8,8,1.2,1.0,52.4
810580,13.5,5,4.8,4.8,83.5
810581,9.5,12,3.9,3.8,72.4
810582,3.6,8,8.5,8.1,65.3
810583,14.7,8,5.3,1.1,92.9
810584,12.5,3,8.4,6.2,84.2
810585,1.8,5,4.1,2.4,52.0
810586,11.9,3,2.5,2.1,66.6
810587,11.6,20,9.1,7.2,81.1
810588,7.6,12,8.1,8.3,76.8
810589,0.6,8,5.0,5.1,53.4
810590,8.2,5,9.2,8.8,81.7
810591,3.0,5,9.8,7.0,68.9
810592,11.4,3,6.7,4.9,88.7
810593,6.2,12,6.1,4.2,71.2
810594,7.3,20,8.6,7.5,78.9
810595,7.0,3,7.5,5.3,71.6
810596,2.1,3,1.1,1.0,39.3
810597,0.9,12,4.4,2.0,39.1
810598,12.5,20,6.0,3.7,87.9
810599,11.3,5,1.2,1.0,66.1
810600,3.2,12,3.2,2.2,50.2
810601,3.0,12,3.7,2.7,58.9
810602,6.0,20,9.3,7.4,74.6
810603,12.3,20,2.1,2.0,69.2
810604,10.0,12,8.8,5.8,79.5
810605,9.4,3,3.7,2.9,57.4
810606,3.5,8,5.5,5.0,61.2
810607,9.7,20,9.6,7.7,88.2
810608,12.2,3,4.4,1.8,68.7
810609,11.1,20,2.0,1.0,69.2
810610,5.3,20,8.6,6.3,71.2
810611,6.9,12,2.8,2.5,60.6
810612,1.5,12,1.5,1.5,47.5
810613,12.9,20,8.2,6.1,89.4
810614,0.7,20,5.8,5.5,53.4
810615,2.4,8,8.1,4.3,62.7
810616,3.5,5,2.2,2.1,54.9
810617,1.8,20,9.3,6.7,77.0
810618,9.0,20,4.6,4.8,64.5
810619,9.4,8,3.5,1.0,74.0
810620,2.4,3,6.3,4.9,50.7
810621,14.1,12,4.5,3.2,77.5
810622,9.5,5,8.8,6.9,85.9
810623,10.0,5,7.8,6.9,74.3
810624,4.3,5,1.4,1.0,45.3
810625,10.8,5,9.8,8.1,96.3
810626,11.6,8,4.5,4.5,71.7
810627,0.7,5,4.3,4.1,38.4
810628,12.3,3,1.9,1.9,77.1
810629,13.9,5,7.6,6.5,82.7
810630,6.8,5,7.7,5.6,68.0
810631,12.5,20,2.3,2.0,68.7
810632,7.0,3,8.2,7.9,78.2
810633,12.6,3,5.4,3.3,82.2
810634,5.9,5,3.7,4.1,61.9
810635,3.4,5,8.8,4.7,54.3
810636,1.0,5,1.0,1.0,32.6
810637,1.1,3,4.0,2.6,44.2
810638,13.1,20,7.6,5.8,87.2
810639,1.7,12,7.5,7.0,58.9
810640,3.9,12,3.1,1.7,54.2
810641,5.8,8,5.0,4.5,58.5
810642,8.4,5,5.9,5.5,68.8
810643,14.6,8,5.3,2.3,87.9
810644,13.2,3,3.0,4.1,76.3
810645,12.5,3,7.9,7.3,93.8
810646,12.3,3,8.9,7.5,88.0
810647,12.6,3,5.5,3.9,76.7
810648,8.2,5,6.3,4.4,73.2
810649,12.2,12,2.1,2.7,62.7
810650,3.2,8,2.2,3.5,39.9
810651,2.5,5,5.2,6.4,65.6
810652,11.0,5,2.5,2.7,78.5
810653,8.4,5,4.1,4.2,58.2
810654,13.8,3,7.6,5.8,100.0
810655,10.9,12,2.4,3.7,64.6
810656,2.7,5,4.3,4.0,46.7
810657,1.4,20,5.6,3.1,51.8
810658,8.9,12,3.2,2.6,56.0
810659,12.1,3,6.5,5.1,83.9
810660,3.5,8,5.7,5.2,51.8
810661,4.5,20,7.7,4.4,65.7
810662,6.9,12,8.4,8.2,72.3
810663,9.4,3,4.3,2.8,59.5
