CarID,Year,Mileage,EngineSize,FuelType,Price
150060,2019,48893,2.0,Diesel,46507.71
150061,2018,90113,2.0,Petrol,41388.38
150062,2016,128393,1.6,Petrol,28783.27
150063,2015,73810,1.6,Diesel,34782.1
150064,2013,144758,1.6,Petrol,30751.2
150065,2015,69330,2.0,Electric,47960.42
150066,2011,171929,1.6,Hybrid,21830.84
150067,2013,191417,1.6,Petrol,23373.61
150068,2017,97566,2.5,Diesel,39243.99
150069,2018,72476,2.5,Petrol,38390.39
150070,2017,105653,1.6,Diesel,40734.79
150071,2014,75690,1.6,Hybrid,36698.01
150072,2022,27835,2.0,Petrol,47857.66
150073,2020,68562,2.0,Petrol,43926.6
150074,2023,10551,1.6,Petrol,49398.91
150075,2019,55803,2.5,Diesel,49347.06
150076,2015,108756,2.0,Diesel,38021.57
150077,2012,173152,2.0,Diesel,23213.78
150078,2019,35851,2.5,Diesel,52685.96
150079,2013,101914,2.0,Petrol,34459.8
150080,2017,83822,2.0,Petrol,44165.24
150081,2019,14623,2.5,Diesel,54411.16
150082,2015,108894,1.6,Petrol,32281.29
150083,2016,97466,2.0,Hybrid,40521.98
150084,2012,158431,1.6,Petrol,25918.44
150085,2021,26878,2.5,Hybrid,58013.33
150086,2019,55236,1.6,Hybrid,52454.62
150087,2015,89066,1.6,Petrol,37174.62
150088,2020,40971,1.6,Petrol,49059.25
150089,2022,31879,1.6,Petrol,48904.79
150090,2017,62331,2.5,Electric,58209.19
150091,2023,5293,2.0,Petrol,50676.4
150092,2010,215319,3.0,Diesel,19539.02
150093,2015,98936,2.0,Petrol,33824.87
150094,2016,90008,2.5,Electric,47423.4
150095,2021,42864,2.5,Petrol,49917.1
150096,2017,105543,2.0,Hybrid,41908.17
150097,2013,110505,2.0,Diesel,30914.66
150098,2016,109536,2.0,Petrol,39262.48
150099,2013,150270,1.6,Petrol,28349.4
150100,2019,61311,3.0,Petrol,48550.32
150101,2013,188188,1.6,Electric,24325.79
150102,2016,139149,2.0,Hybrid,42645.88
150103,2019,53179,1.6,Diesel,47398.68
150104,2023,14832,2.0,Diesel,51611.94
150105,2020,48753,1.6,Electric,65778.29
150106,2010,183948,1.6,Hybrid,19659.68
150107,2023,11883,1.6,Diesel,52632.93
150108,2019,50115,2.0,Hybrid,53221.0
150109,2011,215678,2.0,Petrol,17828.15
150110,2014,141012,1.6,Electric,34887.92
150111,2013,152529,1.6,Petrol,27368.97
150112,2017,105822,1.6,Hybrid,43009.04
150113,2019,51542,1.6,Hybrid,52051.82
150114,2018,77640,2.0,Diesel,46428.4
150115,2018,41856,1.6,Hybrid,48727.38
150116,2013,157408,1.6,Diesel,27370.39
150117,2015,118938,1.6,Petrol,28032.22
150118,2021,36555,2.0,Electric,62315.87
150119,2016,115206,1.6,Petrol,29962.76
150120,2011,122366,2.5,Diesel,27645.85
150121,2019,52557,1.6,Hybrid,48549.76
150122,2022,27760,2.0,Petrol,51872.12
150123,2023,9139,2.0,Diesel,58161.07
150124,2012,157280,2.0,Hybrid,25065.68
150125,2012,145546,2.0,Petrol,28165.04
150126,2014,80859,1.6,Petrol,32945.43
150127,2016,78531,2.5,Petrol,38532.51
150128,2011,89248,1.6,Diesel,32873.93
150129,2019,67870,1.6,Petrol,46243.51
150130,2013,115453,2.0,Petrol,29380.82
150131,2018,86000,1.6,Diesel,40678.83
150132,2012,206846,1.6,Hybrid,25384.2
150133,2021,54110,2.0,Diesel,46028.29
150134,2017,71920,1.6,Petrol,33479.33
150135,2021,34549,1.6,Petrol,52816.23
150136,2019,55283,1.6,Petrol,44004.61
150137,2018,71484,1.6,Diesel,45107.19
150138,2015,109063,2.0,Diesel,33428.46
150139,2017,70513,1.6,Diesel,39321.42
150140,2022,35243,2.5,Electric,70556.32
150141,2023,9324,1.6,Petrol,53903.32
150142,2019,50273,2.5,Diesel,49982.19
150143,2023,13394,2.0,Electric,71402.32
150144,2020,42171,2.0,Petrol,45226.07
150145,2016,134502,1.6,Hybrid,34818.38
150146,2013,150161,2.0,Petrol,32421.84
150147,2019,61499,3.0,Hybrid,54244.85
150148,2021,41128,1.6,Petrol,48417.97
150149,2023,17354,2.5,Electric,76430.57
150150,2013,181280,2.0,Petrol,27491.82
150151,2011,180462,2.0,Diesel,20598.99
150152,2015,95328,2.5,Petrol,33249.76
150153,2019,47946,1.6,Diesel,47246.58
150154,2022,20074,2.0,Hybrid,58370.8
150155,2011,170262,2.5,Petrol,24478.11
150156,2013,135568,2.0,Electric,35841.18
150157,2011,81427,2.5,Petrol,31378.0
150158,2023,6504,3.5,Hybrid,76141.56
150159,2012,172830,1.6,Diesel,19079.71
150160,2015,122390,2.5,Hybrid,38994.01
150161,2011,142564,2.0,Diesel,26155.67
150162,2020,55538,1.6,Petrol,48748.62
150163,2010,120267,2.0,Petrol,30496.71
150164,2023,6629,2.0,Diesel,58422.38
150165,2015,122947,1.6,Petrol,30860.38
150166,2022,22704,2.5,Petrol,60503.76
150167,2022,32170,2.0,Electric,69452.9
150168,2019,46791,1.6,Electric,55539.66
150169,2016,60879,1.6,Petrol,40903.41
150170,2011,143896,1.6,Petrol,21528.13
150171,2012,166630,1.6,Hybrid,28691.39
150172,2017,53569,1.6,Diesel,40780.19
150173,2022,29068,2.5,Petrol,50948.53
150174,2014,131236,3.0,Petrol,35994.41
150175,2019,82366,3.5,Petrol,50670.64
150176,2011,118952,2.5,Petrol,31436.86
150177,2014,122090,1.6,Petrol,32343.63
150178,2020,61214,3.5,Petrol,54132.07
150179,2012,104210,1.6,Petrol,29454.08
150180,2013,158318,1.6,Petrol,27258.97
150181,2013,137767,3.5,Diesel,38489.54
150182,2012,98157,3.0,Petrol,38156.52
150183,2018,99213,1.6,Petrol,34392.63
150184,2017,66894,1.6,Petrol,37168.39
150185,2017,59927,1.6,Petrol,44634.2
150186,2019,64498,2.5,Petrol,44996.78
150187,2017,74736,2.5,Petrol,42626.18
150188,2022,33704,2.5,Petrol,54572.76
150189,2022,21395,2.0,Petrol,57970.83
150190,2021,34427,2.0,Petrol,51080.13
150191,2021,37279,2.5,Petrol,56021.74
150192,2014,148307,2.0,Hybrid,34520.26
150193,2014,77081,2.0,Petrol,29144.2
150194,2015,123444,3.5,Electric,49384.41
150195,2010,147377,1.6,Petrol,18056.24
150196,2023,4549,2.5,Electric,73242.13
150197,2013,156741,2.0,Petrol,25240.04
150198,2023,10541,1.6,Diesel,54278.32
150199,2012,183020,1.6,Electric,24399.42
150200,2018,97607,2.0,Diesel,34799.45
150201,2013,89812,1.6,Electric,40869.29
150202,2015,101182,2.5,Petrol,37554.79
150203,2020,54198,1.6,Hybrid,51008.96
150204,2014,92892,2.5,Petrol,41385.22
150205,2011,195078,2.5,Diesel,22556.46
150206,2021,31527,3.0,Diesel,57510.92
150207,2013,188275,2.0,Petrol,25619.03
150208,2016,100705,2.5,Petrol,38388.12
150209,2023,11720,2.5,Diesel,61488.69
150210,2016,129268,1.6,Electric,44294.31
150211,2013,197552,1.6,Diesel,23878.89
150212,2022,21542,1.6,Electric,66828.35
150213,2019,44283,2.0,Petrol,44940.49
150214,2018,61241,2.0,Diesel,
150215,2016,66971,3.0,Petrol,43978.22
150216,2023,11096,2.0,Hybrid,66261.46
150217,2015,88676,2.5,Petrol,35392.31
150218,2013,192626,3.0,Petrol,26444.37
150219,2022,25207,2.0,Hybrid,55780.44
150220,2019,70907,2.0,Diesel,45200.28
150221,2016,114508,1.6,Diesel,34905.06
150222,2018,80968,2.0,Petrol,44213.02
150223,2010,190340,1.6,Hybrid,18793.96
150224,2010,130175,2.0,Petrol,25163.26
150225,2015,68552,2.0,Petrol,38122.73
150226,2018,63619,2.0,Petrol,46976.46
150227,2013,119811,1.6,Hybrid,30587.44
150228,2022,25212,2.5,Petrol,55175.57
150229,2015,131194,1.6,Petrol,28054.76
150230,2021,50522,3.0,Hybrid,66763.07
150231,2022,27194,3.5,Diesel,56015.64
150232,2018,81022,2.5,Petrol,45547.27
150233,2020,53111,1.6,Petrol,45124.57
150234,2023,10180,1.6,Diesel,54539.34
150235,2014,111278,1.6,Petrol,31498.47
150236,2015,127339,2.0,Petrol,24356.28
150237,2013,168466,3.0,Hybrid,33901.49
150238,2010,209839,2.0,Petrol,16309.53
150239,2022,13405,1.6,Petrol,54967.78
150240,2023,10296,2.5,Diesel,60372.1
150241,2018,76655,1.6,Petrol,40897.81
150242,2013,138421,2.0,Petrol,29698.88
150243,2010,168519,1.6,Petrol,20745.26
150244,2022,35891,1.6,Electric,66353.05
150245,2022,27200,2.0,Petrol,51173.41
150246,2011,158139,2.0,Petrol,22416.71
150247,2023,11627,2.0,Petrol,61485.2
150248,2017,88747,1.6,Diesel,40573.36
150249,2016,88727,2.0,Electric,43814.99
150250,2020,42067,2.0,Petrol,44864.59
150251,2019,74141,1.6,Hybrid,46665.74
150252,2015,50875,2.5,Petrol,46971.47
150253,2015,79080,3.0,Petrol,42111.84
150254,2021,41441,2.5,Petrol,50928.75
150255,2014,95508,1.6,Hybrid,40240.79
150256,2015,95043,1.6,Diesel,36563.19
150257,2010,195322,2.5,Petrol,18318.86
150258,2020,44602,2.0,Diesel,48683.29
150259,2014,150326,1.6,Petrol,26842.07
150260,2018,58943,1.6,Petrol,46570.14
150261,2021,37309,2.0,Diesel,46605.52
150262,2018,100884,2.5,Electric,57537.18
150263,2021,42061,1.6,Diesel,50849.36
150264,2023,6130,1.6,Petrol,56667.11
150265,2016,137788,2.5,Petrol,40229.92
150266,2012,163377,2.0,Electric,29482.98
150267,2020,57516,1.6,Diesel,49452.21
150268,2020,38462,1.6,Petrol,49844.25
150269,2014,132694,2.0,Diesel,31886.22
150270,2018,75000,1.6,Hybrid,48974.51
150271,2023,10947,1.6,Diesel,55082.39
150272,2016,108069,2.0,Electric,46779.32
150273,2011,250000,2.0,Diesel,15113.33
150274,2018,78693,1.6,Diesel,40932.31
150275,2011,235068,2.0,Diesel,13080.87
150276,2016,95549,2.5,Petrol,37572.66
150277,2021,40549,2.0,Petrol,59247.72
150278,2013,198459,2.5,Diesel,
150279,2013,141472,3.0,Diesel,34662.02
150280,2018,68911,1.6,Diesel,41934.67
150281,2022,18237,1.6,Diesel,49798.52
150282,2016,141781,2.0,Electric,42732.34
150283,2019,32454,3.0,Petrol,57292.6
150284,2021,37532,2.0,Petrol,50067.23
150285,2022,32870,2.0,Petrol,51965.92
150286,2013,120939,1.6,Diesel,30007.57
150287,2017,69338,1.6,Petrol,34264.86
150288,2010,217226,2.0,Petrol,15318.6
150289,2018,69124,2.0,Petrol,40354.39
150290,2019,67199,1.6,Hybrid,50890.22
150291,2012,187479,3.5,Petrol,27052.32
150292,2018,116375,1.6,Diesel,38405.12
150293,2017,101792,1.6,Petrol,34586.98
150294,2022,29432,1.6,Hybrid,65775.13
150295,2011,210108,3.0,Diesel,20027.83
150296,2010,144603,2.0,Petrol,24873.0
150297,2012,197902,2.5,Diesel,24673.88
150298,2016,138538,2.5,Diesel,29498.18
150299,2020,70158,2.5,Petrol,47650.51
150300,2014,177941,1.6,Petrol,24336.13
150301,2023,13394,1.6,Petrol,54402.58
150302,2019,69530,1.6,Diesel,48636.24
150303,2023,8324,1.6,Petrol,59929.3
150304,2021,25069,3.0,Hybrid,66117.2
150305,2014,110931,1.6,Petrol,27391.45
150306,2013,160903,1.6,Petrol,28011.28
150307,2017,80823,1.6,Hybrid,39483.49
150308,2011,151773,1.6,Petrol,22177.91
150309,2020,31198,2.5,Petrol,53785.6
150310,2014,44358,1.6,Electric,44746.12
150311,2023,14257,1.6,Petrol,53997.52
150312,2021,21728,2.5,Electric,70595.0
150313,2014,103114,1.6,Hybrid,36389.74
150314,2015,113817,2.0,Petrol,29942.79
150315,2019,65459,2.0,Petrol,43796.15
150316,2016,81983,3.0,Petrol,37698.62
150317,2019,41018,2.0,Electric,56178.35
150318,2022,28631,1.6,Diesel,52626.76
150319,2013,129497,1.6,Electric,34108.7
150320,2022,35006,2.0,Petrol,47913.74
150321,2011,147087,2.5,Diesel,23945.09
150322,2014,80112,1.6,Electric,48594.81
150323,2015,67738,2.5,Hybrid,48586.46
150324,2015,98917,3.0,Petrol,39727.03
150325,2019,65527,1.6,Petrol,44940.25
150326,2015,87069,1.6,Petrol,38746.79
150327,2023,12579,1.6,Petrol,57614.44
150328,2015,128865,1.6,Diesel,30331.16
150329,2014,146505,3.5,Petrol,33413.95
150330,2016,101894,2.0,Petrol,37759.51
150331,2012,107900,2.0,Diesel,33082.09
150332,2020,52158,2.0,Petrol,47278.87
150333,2013,103987,1.6,Petrol,27982.79
150334,2022,16234,3.5,Hybrid,71117.02
150335,2020,39849,3.0,Petrol,51634.53
150336,2022,23100,2.0,Petrol,57123.68
150337,2020,38293,2.5,Electric,62680.5
150338,2019,48507,2.0,Petrol,47508.09
150339,2011,250000,3.5,Diesel,18895.48
150340,2015,111789,1.6,Petrol,30228.21
150341,2020,60696,1.6,Hybrid,50551.34
150342,2016,106117,3.0,Petrol,36656.38
150343,2011,129046,1.6,Petrol,25330.2
150344,2011,178228,2.0,Electric,26147.97
150345,2021,31486,2.0,Diesel,51386.63
150346,2018,70217,1.6,Petrol,47205.02
150347,2014,110081,1.6,Electric,44297.31
150348,2012,125537,2.5,Petrol,29580.97
150349,2021,22736,2.0,Petrol,47960.46
150350,2023,10572,2.0,Petrol,56445.26
150351,2023,9375,1.6,Diesel,52567.38
150352,2010,210467,1.6,Petrol,16326.97
150353,2018,93743,1.6,Hybrid,42742.01
150354,2019,76110,3.0,Diesel,49375.8
150355,2020,67483,2.0,Diesel,44141.91
150356,2012,71589,1.6,Petrol,32603.63
150357,2021,40780,1.6,Hybrid,54401.79
150358,2020,50712,2.0,Hybrid,55572.34
150359,2018,84897,1.6,Hybrid,47197.9
150360,2013,132545,2.5,Petrol,34976.77
150361,2012,163499,1.6,Hybrid,26450.68
150362,2013,110526,2.0,Petrol,34099.24
150363,2013,86301,2.0,Petrol,37628.63
150364,2017,78851,2.0,Petrol,44526.93
150365,2013,100055,2.5,Petrol,32596.95
150366,2022,21897,3.0,Petrol,58434.1
150367,2012,158352,2.0,Petrol,26018.27
150368,2020,59386,2.0,Petrol,42428.58
150369,2023,11336,1.6,Petrol,55985.03
150370,2013,195292,2.0,Diesel,25231.89
150371,2016,118893,2.0,Petrol,32633.57
150372,2013,141437,2.0,Hybrid,31538.35
150373,2015,146056,1.6,Electric,37871.52
150374,2012,134129,1.6,Petrol,23008.65
150375,2019,81575,2.0,Petrol,40922.43
150376,2022,23364,1.6,Hybrid,62150.96
150377,2020,73584,1.6,Petrol,40403.94
150378,2017,86069,2.5,Electric,57150.75
150379,2016,99582,2.0,Petrol,35223.16
150380,2014,139241,1.6,Electric,37719.44
150381,2020,54062,2.0,Petrol,45935.81
150382,2019,55642,2.0,Electric,61477.83
150383,2014,157552,2.0,Petrol,28335.89
150384,2021,27339,1.6,Petrol,46480.58
150385,2010,174893,1.6,Hybrid,27281.65
150386,2017,73542,1.6,Electric,52618.76
150387,2012,144974,3.0,Petrol,
150388,2015,110990,2.0,Diesel,32655.53
150389,2015,130872,2.0,Diesel,29302.69
150390,2016,90809,1.6,Petrol,37120.36
150391,2014,103742,1.6,Electric,44484.64
150392,2017,92778,1.6,Diesel,40862.84
150393,2012,149955,2.0,Petrol,27680.01
150394,2017,96095,2.5,Diesel,38339.82
150395,2016,112944,1.6,Hybrid,38966.27
150396,2021,37815,1.6,Diesel,48743.65
150397,2019,52036,2.5,Hybrid,57211.94
150398,2012,174200,2.5,Electric,35321.59
150399,2015,112180,2.0,Petrol,35953.55
150400,2013,156232,2.0,Petrol,30890.52
150401,2016,86177,1.6,Petrol,34823.93
150402,2017,43909,2.5,Petrol,43801.67
150403,2019,61580,1.6,Hybrid,47891.81
150404,2023,11162,1.6,Hybrid,61698.56
150405,2013,123940,1.6,Diesel,23142.69
150406,2018,41071,2.5,Petrol,52704.36
150407,2018,121643,2.0,Diesel,38225.91
150408,2020,36993,1.6,Petrol,48545.8
150409,2013,76997,2.0,Diesel,32677.54
150410,2023,11686,2.0,Electric,76131.18
150411,2019,73756,3.0,Diesel,49132.29
150412,2010,213763,1.6,Petrol,11852.16
150413,2019,49452,1.6,Petrol,48068.75
150414,2016,101762,2.5,Diesel,38703.88
150415,2016,105890,1.6,Hybrid,36029.91
150416,2016,78480,1.6,Petrol,37294.63
150417,2015,149537,1.6,Electric,40577.53
150418,2015,128055,1.6,Petrol,33765.37
150419,2014,111535,1.6,Petrol,33937.86
150420,2021,33611,2.0,Diesel,53232.67
150421,2011,179612,2.5,Petrol,25927.7
150422,2012,143198,2.0,Petrol,26175.81
150423,2015,90032,2.0,Diesel,39187.6
150424,2022,27905,1.6,Petrol,53351.74
150425,2012,215382,3.0,Petrol,22970.29
150426,2016,93716,2.5,Petrol,42410.98
150427,2010,189698,2.5,Diesel,
150428,2015,74782,3.0,Petrol,39856.92
150429,2021,15051,2.5,Petrol,50203.04
150430,2015,146360,2.0,Electric,41250.62
150431,2023,14660,3.0,Petrol,59868.37
150432,2013,155474,1.6,Diesel,28182.86
150433,2017,84510,1.6,Diesel,42496.72
150434,2021,30664,1.6,Hybrid,53056.97
150435,2015,124643,1.6,Electric,40923.5
150436,2019,80510,1.6,Electric,55463.66
150437,2018,45231,1.6,Diesel,45905.87
150438,2023,10849,1.6,Petrol,53083.69
150439,2023,20726,1.6,Hybrid,66955.76
150440,2021,51938,1.6,Electric,66092.53
150441,2018,90682,3.0,Petrol,46585.61
150442,2014,100931,1.6,Diesel,28385.57
150443,2011,175080,2.0,Petrol,26572.96
150444,2015,46229,1.6,Petrol,38528.42
150445,2014,58673,2.0,Petrol,40317.36
150446,2010,241742,1.6,Diesel,15394.34
150447,2013,159306,2.0,Diesel,32303.45
150448,2019,46430,1.6,Petrol,50732.96
150449,2018,82481,2.0,Diesel,38957.58
150450,2011,158412,3.5,Petrol,31549.79
150451,2012,88671,2.0,Petrol,30638.16
150452,2022,22475,2.0,Petrol,57371.29
150453,2012,202723,1.6,Petrol,16436.65
150454,2010,145088,2.5,Petrol,24329.97
150455,2021,35987,1.6,Petrol,50516.9
150456,2017,75295,2.0,Petrol,43903.65
150457,2010,173585,2.5,Petrol,24603.74
150458,2019,65345,2.5,Diesel,45983.44
150459,2018,69430,2.5,Hybrid,47792.57
150460,2013,103208,1.6,Hybrid,36132.21
150461,2012,168752,2.0,Petrol,23666.91
150462,2014,130382,1.6,Petrol,26440.68
150463,2021,33449,2.5,Hybrid,59586.12
150464,2014,137166,2.0,Diesel,33996.2
150465,2021,38291,2.0,Hybrid,61481.45
150466,2021,28477,1.6,Diesel,47521.21
150467,2014,121278,3.0,Diesel,35987.0
150468,2021,52355,1.6,Diesel,42750.76
150469,2023,9091,2.0,Electric,70722.49
150470,2021,32324,1.6,Petrol,46977.59
150471,2015,102253,1.6,Petrol,31854.81
150472,2023,14721,2.0,Petrol,55269.77
150473,2014,106073,2.0,Diesel,34009.46
150474,2017,64026,1.6,Diesel,42172.5
150475,2010,247634,2.5,Petrol,14863.78
150476,2020,50313,1.6,Petrol,44293.72
150477,2014,109753,1.6,Diesel,28398.91
150478,2022,21269,1.6,Petrol,55103.73
150479,2023,12838,2.5,Electric,77705.43
150480,2019,40835,2.5,Petrol,49965.67
150481,2023,11243,2.0,Diesel,56731.35
150482,2012,204238,2.0,Petrol,20665.21
150483,2013,81581,2.0,Hybrid,39621.4
150484,2014,96633,3.5,Petrol,39799.42
150485,2013,114839,2.0,Petrol,33202.16
150486,2014,151625,2.5,Diesel,31440.88
150487,2021,41233,1.6,Petrol,53256.97
150488,2018,88244,1.6,Diesel,40135.12
150489,2011,105725,2.5,Petrol,32590.57
150490,2013,202203,2.0,Petrol,
150491,2015,86027,3.0,Petrol,37960.47
150492,2019,60491,1.6,Petrol,45214.01
150493,2021,47556,2.0,Diesel,50326.85
150494,2010,243311,2.5,Diesel,20914.28
150495,2021,40976,1.6,Petrol,51779.78
150496,2020,58015,1.6,Diesel,45747.9
150497,2014,166872,2.0,Petrol,31662.28
150498,2023,13198,1.6,Hybrid,61319.22
150499,2017,42166,2.0,Electric,61213.61
150500,2014,98427,2.0,Hybrid,42985.46
150501,2017,104018,2.0,Petrol,38185.73
150502,2021,30866,1.6,Diesel,49582.85
150503,2021,29695,1.6,Petrol,52707.87
150504,2015,86232,1.6,Petrol,41213.89
150505,2021,36091,2.0,Petrol,55441.2
150506,2023,8327,1.6,Petrol,56007.83
150507,2013,173686,2.5,Petrol,23297.63
150508,2019,47463,1.6,Petrol,41088.16
150509,2017,129303,1.6,Petrol,33097.26
150510,2021,35305,1.6,Hybrid,52200.19
150511,2012,150911,2.0,Diesel,33315.25
150512,2017,57759,1.6,Electric,53990.42
150513,2011,169988,1.6,Hybrid,24156.72
150514,2019,45725,1.6,Petrol,44998.9
150515,2012,182166,2.0,Petrol,23818.26
150516,2020,52136,1.6,Hybrid,57141.3
150517,2018,92066,2.5,Diesel,37103.94
150518,2017,116860,2.0,Diesel,34360.29
150519,2017,44823,1.6,Petrol,38980.4
150520,2014,114053,1.6,Petrol,25136.1
150521,2015,100910,1.6,Petrol,32042.26
150522,2015,91711,2.5,Petrol,41296.81
150523,2014,132364,2.0,Diesel,33433.68
150524,2019,60190,1.6,Petrol,45950.98
150525,2023,13278,2.5,Petrol,60649.45
150526,2010,115093,1.6,Petrol,23677.06
150527,2010,134862,1.6,Petrol,22435.29
150528,2015,100319,1.6,Petrol,29562.72
150529,2014,119124,1.6,Petrol,30168.5
150530,2022,24955,1.6,Diesel,53944.85
150531,2020,34683,2.0,Hybrid,61023.41
150532,2020,34024,1.6,Electric,64065.56
150533,2012,118921,1.6,Petrol,25454.51
150534,2022,29222,2.0,Electric,68347.12
150535,2014,90873,1.6,Petrol,31703.61
150536,2020,76694,2.0,Petrol,41579.78
150537,2023,14232,2.0,Diesel,52022.87
150538,2022,13882,1.6,Petrol,50229.27
150539,2012,116638,2.0,Electric,36758.96
150540,2018,62319,2.0,Petrol,46280.86
150541,2010,113069,2.0,Diesel,26833.68
150542,2018,37739,2.5,Petrol,52998.85
150543,2014,85234,1.6,Diesel,35780.98
150544,2022,28230,2.0,Diesel,55433.85
150545,2016,98240,2.5,Petrol,44057.93
150546,2017,101192,2.0,Petrol,38736.22
150547,2013,59482,1.6,Petrol,33556.56
150548,2013,109400,1.6,Hybrid,35506.69
150549,2016,103863,2.0,Petrol,36527.5
150550,2020,59030,1.6,Petrol,43053.75
150551,2014,95652,2.5,Petrol,40052.45
150552,2015,154438,1.6,Petrol,28866.2
150553,2012,123827,2.0,Electric,38425.91
150554,2020,63238,1.6,Diesel,44392.15
150555,2015,96137,2.0,Petrol,31874.3
150556,2013,145502,1.6,Electric,32116.14
150557,2018,85243,2.0,Petrol,42308.27
150558,2020,24414,1.6,Hybrid,54983.28
150559,2016,97692,2.0,Petrol,32705.26
150560,2012,131815,1.6,Petrol,31582.8
150561,2013,85023,1.6,Diesel,36470.19
150562,2023,9779,2.5,Petrol,54430.27
150563,2016,74634,2.0,Diesel,42673.62
150564,2019,107207,2.0,Hybrid,46616.04
150565,2015,72241,2.0,Electric,50866.11
150566,2018,61939,2.5,Petrol,
150567,2011,125442,2.5,Petrol,30504.35
150568,2022,27601,1.6,Petrol,47054.42
150569,2010,222333,2.0,Electric,21150.9
150570,2017,76290,2.0,Electric,55468.53
150571,2016,129511,3.0,Petrol,37292.2
150572,2012,162774,2.0,Diesel,21097.95
150573,2019,74571,2.0,Petrol,43161.39
150574,2019,48330,1.6,Petrol,44819.6
150575,2019,46236,2.0,Diesel,46951.57
150576,2022,26699,2.0,Petrol,50566.79
150577,2015,124579,1.6,Electric,43039.73
150578,2010,129011,2.0,Petrol,24180.3
150579,2018,85663,2.0,Diesel,41804.64
150580,2012,122238,1.6,Hybrid,26741.09
150581,2019,57375,2.0,Petrol,48993.01
150582,2010,155188,2.0,Electric,20583.91
150583,2011,193578,2.0,Diesel,21413.9
150584,2015,65742,1.6,Hybrid,45346.65
150585,2017,90447,2.0,Diesel,40437.28
150586,2017,119238,1.6,Petrol,34570.44
150587,2016,86489,1.6,Petrol,35649.1
150588,2010,138597,1.6,Hybrid,24754.53
150589,2012,169515,2.0,Petrol,18905.27
150590,2022,17584,1.6,Petrol,48080.06
150591,2013,113150,1.6,Petrol,30454.2
150592,2012,163187,3.5,Petrol,32630.21
150593,2020,67361,1.6,Petrol,46970.31
150594,2023,9523,3.5,Diesel,64342.85
150595,2019,62990,2.0,Diesel,43901.31
150596,2022,28220,3.0,Diesel,60031.92
150597,2016,112734,2.0,Petrol,38115.68
150598,2013,87609,1.6,Petrol,31010.24
150599,2021,50474,2.5,Electric,62723.79
150600,2022,22704,1.6,Diesel,50083.53
150601,2011,182708,2.0,Diesel,18854.9
150602,2018,55823,1.6,Petrol,40392.7
150603,2021,42898,2.0,Electric,68521.47
150604,2021,41057,2.5,Petrol,45915.8
150605,2014,102391,1.6,Petrol,31240.63
150606,2020,62085,2.0,Petrol,45120.05
150607,2011,94868,2.0,Petrol,31201.28
