AthleteID,PeakHeartRate,RecoveryHeartRate_60s,ActiveWorkoutMinutes,VO2Max_Estimate,FitnessGrade
2000042,44.8,20.2,86.8,83.8,Type_B
2000043,70.7,56.8,80.8,130.6,Type_A
2000044,39.7,42.4,88.0,115.6,Type_B
2000045,54.6,35.9,106.1,101.8,Type_C
2000046,41.4,,78.8,90.9,Type_C
2000047,6.6,44.1,33.8,112.4,Type_C
2000048,15.7,50.2,125.9,100.3,Type_A
2000049,45.4,71.9,80.4,91.2,Type_C
2000050,56.6,32.9,116.9,109.1,Type_C
2000051,77.8,53.4,82.2,96.7,Type_A
2000052,71.7,35.7,86.9,115.3,Type_A
2000053,50.1,45.9,135.8,100.8,Type_C
2000054,41.8,80.2,86.5,101.8,Type_C
2000055,61.8,14.6,96.2,76.4,Type_B
2000056,59.2,26.5,123.5,89.2,Type_B
2000057,48.9,36.4,122.2,88.2,Type_C
2000058,17.0,50.9,119.5,125.5,Type_C
2000059,39.1,35.6,87.6,82.6,Type_C
2000060,27.7,62.0,64.7,71.4,Type_C
2000061,46.5,50.3,88.6,95.0,Type_A
2000062,68.7,53.7,122.6,87.2,Type_B
2000063,37.8,57.5,108.7,105.4,Type_C
2000064,48.0,60.8,111.9,96.3,Type_B
2000065,40.6,33.5,94.2,89.4,Type_C
2000066,59.7,81.6,151.9,68.8,Type_A
2000067,44.5,30.0,100.4,123.2,Type_B
2000068,34.7,30.5,95.6,40.1,Type_A
2000069,45.7,49.2,122.6,90.7,Type_B
2000070,65.1,26.7,93.8,112.6,Type_A
2000071,41.5,46.0,61.4,86.3,Type_C
2000072,53.3,59.3,134.3,78.7,Type_B
2000073,22.2,3.0,112.7,81.2,Type_A
2000074,62.9,67.4,62.8,121.9,Type_B
2000075,52.9,45.0,95.3,91.3,Type_A
2000076,32.3,45.6,131.5,86.3,Type_A
2000077,42.0,62.0,102.1,85.1,Type_B
2000078,32.1,50.6,106.0,132.1,Type_B
2000079,59.8,63.2,104.9,59.6,Type_A
2000080,44.5,80.4,62.4,83.6,Type_A
2000081,30.2,30.8,55.7,85.0,Type_A
2000082,78.7,65.6,139.6,141.7,Type_A
2000083,44.2,66.0,79.0,124.5,Type_B
2000084,53.3,55.3,138.1,104.0,Type_A
2000085,14.9,43.5,97.3,97.7,Type_C
2000086,34.8,36.4,102.8,82.6,Type_A
2000087,51.9,52.0,95.9,106.0,Type_B
2000088,36.5,50.4,59.9,90.6,Type_A
2000089,38.9,35.8,75.1,122.3,Type_A
2000090,20.4,28.2,84.5,116.5,Type_C
2000091,42.7,38.5,100.3,89.2,Type_A
2000092,58.6,52.9,115.5,119.8,Type_B
2000093,46.0,36.4,129.9,107.7,Type_B
2000094,55.4,71.4,137.4,109.0,Type_C
2000095,44.0,25.1,39.6,80.2,Type_A
2000096,56.2,26.4,108.8,103.3,Type_A
2000097,40.4,25.3,101.6,78.7,Type_C
2000098,47.7,52.4,83.0,94.5,Type_C
2000099,43.9,58.2,78.6,74.6,Type_B
2000100,78.3,44.5,76.3,110.3,Type_C
2000101,48.9,38.7,123.2,113.6,Type_A
2000102,34.0,37.1,103.6,31.8,Type_C
2000103,49.7,54.9,61.8,84.3,Type_C
2000104,43.2,40.7,97.0,135.4,Type_C
2000105,56.6,34.6,114.1,95.2,Type_C
2000106,27.8,52.1,112.3,70.3,Type_C
2000107,40.9,37.5,112.9,77.4,Type_B
2000108,43.1,44.0,116.1,84.7,Type_C
2000109,54.4,24.5,122.2,91.9,Type_A
2000110,62.4,48.3,157.3,67.2,Type_A
2000111,50.4,46.7,76.0,62.0,Type_C
2000112,52.9,37.5,121.4,141.3,Type_A
2000113,31.7,35.4,101.1,57.0,Type_B
2000114,56.1,28.8,143.1,119.0,Type_C
2000115,69.3,31.6,100.5,111.6,Type_B
2000116,48.2,52.5,132.6,90.9,Type_B
2000117,45.5,54.1,107.1,94.4,Type_C
2000118,63.0,57.1,66.2,115.5,Type_B
2000119,49.5,40.5,113.4,99.6,Type_A
2000120,33.7,45.0,89.8,121.7,Type_B
2000121,41.8,28.6,140.8,87.4,Type_C
2000122,38.8,51.2,59.4,128.9,Type_B
2000123,28.8,28.9,127.5,119.4,Type_A
2000124,63.2,58.2,137.7,126.1,Type_B
2000125,39.7,54.2,137.3,122.1,Type_C
2000126,38.0,32.4,114.4,90.6,Type_C
2000127,35.0,64.8,84.8,86.9,Type_B
2000128,41.4,56.3,98.1,135.1,Type_A
2000129,28.7,52.0,88.5,120.1,Type_C
2000130,43.8,42.6,107.8,103.4,Type_C
2000131,57.1,31.9,95.5,78.8,Type_B
2000132,44.4,44.8,117.0,70.8,Type_A
2000133,34.6,59.7,84.1,81.3,Type_A
2000134,43.0,65.8,91.4,133.8,Type_B
2000135,15.7,40.4,69.7,92.6,Type_C
2000136,35.5,41.7,120.1,77.3,Type_B
2000137,56.5,45.8,124.8,66.7,Type_B
2000138,35.4,55.2,102.3,88.2,Type_C
2000139,35.9,50.7,110.6,43.7,Type_C
2000140,43.0,20.1,95.2,100.6,Type_C
2000141,48.9,37.7,94.4,104.7,Type_B
2000142,17.0,31.0,136.3,110.2,Type_A
2000143,52.4,66.9,120.1,77.9,Type_B
2000144,29.7,43.9,93.5,94.8,Type_A
2000145,38.8,54.6,131.4,117.5,Type_C
2000146,48.2,49.0,110.9,110.1,Type_C
2000147,38.4,35.2,114.0,78.2,Type_A
2000148,34.8,51.6,104.9,53.6,Type_B
2000149,81.0,19.1,131.0,105.8,Type_A
2000150,64.7,,102.4,111.3,Type_B
2000151,39.6,47.6,62.9,121.8,Type_B
2000152,43.0,47.2,129.0,71.0,Type_B
2000153,50.7,70.1,132.1,95.3,Type_A
2000154,51.3,36.7,78.4,101.9,Type_C
2000155,65.8,76.1,110.2,114.6,Type_B
2000156,60.0,41.8,82.9,122.9,Type_A
2000157,57.2,57.9,63.8,83.6,Type_C
2000158,38.5,14.7,133.4,102.8,Type_A
2000159,63.9,43.2,103.9,86.9,Type_A
2000160,60.5,56.7,119.5,76.1,Type_A
2000161,46.3,53.2,116.5,129.2,Type_C
2000162,30.5,51.1,128.1,76.7,Type_B
2000163,53.0,83.4,142.3,84.0,Type_C
2000164,55.0,33.2,139.1,81.0,Type_A
2000165,52.5,49.8,100.3,119.5,Type_A
2000166,49.8,45.5,100.6,83.9,Type_C
2000167,54.0,42.7,123.9,118.9,Type_C
2000168,40.6,50.4,91.9,94.2,Type_C
2000169,63.4,76.1,100.0,38.8,Type_C
2000170,45.2,61.5,126.1,74.8,Type_B
2000171,55.8,59.9,86.4,137.8,Type_C
2000172,23.6,45.2,89.5,106.2,Type_A
2000173,45.5,57.6,81.7,114.7,Type_B
2000174,32.0,50.7,69.2,78.0,Type_B
2000175,55.5,41.0,111.5,87.9,Type_A
2000176,43.2,67.0,111.3,86.1,Type_B
2000177,18.8,55.3,162.1,81.6,Type_B
2000178,21.6,53.8,144.7,158.4,Type_A
2000179,35.3,,114.4,52.7,Type_A
2000180,45.3,40.9,109.7,72.6,Type_A
2000181,51.7,30.2,83.3,126.9,Type_C
2000182,67.0,45.8,111.0,126.6,Type_C
2000183,28.2,56.2,89.3,158.8,Type_C
2000184,52.8,38.7,130.1,80.6,Type_A
2000185,56.3,25.9,81.2,61.7,Type_C
2000186,42.8,39.7,102.5,37.7,Type_C
2000187,46.0,19.7,96.1,104.5,Type_A
2000188,32.3,52.6,142.9,145.0,Type_C
2000189,30.8,52.0,71.2,88.4,Type_A
2000190,30.7,71.1,99.8,129.7,Type_A
2000191,42.1,45.1,73.2,96.7,Type_C
2000192,26.2,38.9,118.6,127.1,Type_C
2000193,48.7,65.9,84.4,132.3,Type_A
2000194,29.0,31.5,94.2,82.4,Type_C
2000195,41.2,52.5,127.7,137.8,Type_B
2000196,44.3,60.8,106.5,106.2,Type_C
2000197,73.8,40.7,78.7,80.3,Type_B
2000198,18.5,38.8,75.1,114.3,Type_B
2000199,53.9,54.3,117.1,119.8,Type_B
2000200,73.6,89.1,90.3,118.0,Type_C
2000201,48.0,62.5,140.0,112.1,Type_A
2000202,34.4,38.2,107.8,145.5,Type_C
2000203,34.8,45.9,105.7,97.4,Type_C
2000204,57.8,28.2,77.5,106.5,Type_A
2000205,66.7,47.8,151.1,87.8,Type_A
2000206,22.5,40.3,147.0,85.4,Type_C
2000207,56.4,67.5,70.5,105.1,Type_A
2000208,60.5,19.1,72.6,162.0,Type_A
2000209,55.0,54.7,120.7,93.4,Type_B
2000210,32.6,51.8,98.8,60.7,Type_C
2000211,56.4,39.9,78.4,119.2,Type_A
2000212,91.1,28.1,141.0,111.6,Type_C
2000213,57.5,45.1,75.3,130.1,Type_A
2000214,65.8,64.8,117.7,89.1,Type_C
2000215,59.5,85.3,94.9,73.3,Type_B
2000216,32.7,47.5,143.2,70.1,Type_A
2000217,64.0,48.5,104.5,69.6,Type_A
2000218,38.7,57.9,70.8,103.2,Type_C
2000219,37.0,27.4,93.0,47.2,Type_C
2000220,29.4,63.2,84.0,52.9,Type_C
2000221,71.9,37.8,119.0,111.8,Type_B
2000222,41.8,69.8,125.6,110.9,Type_C
2000223,82.1,41.9,82.1,74.4,Type_C
2000224,22.1,37.0,77.0,124.4,Type_A
2000225,26.0,28.7,106.4,145.8,Type_B
2000226,42.6,55.0,97.3,118.2,Type_B
2000227,74.7,47.8,71.8,76.3,Type_A
2000228,31.5,50.0,96.1,119.2,Type_C
2000229,37.7,32.2,92.1,142.4,Type_A
2000230,50.1,27.5,89.7,107.4,Type_A
2000231,66.0,26.7,102.7,85.0,Type_C
2000232,68.6,40.1,113.7,85.5,Type_C
2000233,52.5,57.1,99.2,128.3,Type_A
2000234,72.3,59.1,104.8,103.3,Type_A
2000235,49.0,46.9,153.2,102.0,Type_B
2000236,37.1,6.9,105.6,64.8,Type_B
2000237,44.7,52.3,62.1,134.3,Type_C
2000238,55.0,34.6,94.5,92.5,Type_A
2000239,33.8,43.7,166.0,131.3,Type_C
2000240,51.0,,94.6,106.3,Type_C
2000241,31.4,40.5,82.5,105.0,Type_C
2000242,35.7,49.4,103.2,107.0,Type_B
2000243,24.0,30.6,90.3,70.9,Type_B
2000244,33.6,43.8,83.7,150.4,Type_B
2000245,58.3,67.4,111.7,58.8,Type_A
2000246,70.2,78.0,82.6,100.4,Type_B
2000247,60.8,43.5,72.5,88.1,Type_B
2000248,39.4,72.7,97.4,82.5,Type_B
2000249,57.1,25.6,133.1,103.4,Type_C
2000250,56.5,67.3,92.6,99.8,Type_C
2000251,49.8,35.9,97.6,109.9,Type_C
2000252,42.8,61.2,115.9,98.8,Type_C
2000253,28.9,42.8,102.7,121.3,Type_C
2000254,53.9,48.2,74.8,103.8,Type_B
2000255,38.8,48.1,66.6,91.1,Type_C
2000256,13.3,63.4,101.4,73.2,Type_A
2000257,35.5,5.6,82.9,85.6,Type_C
2000258,78.4,46.6,96.0,107.1,Type_A
2000259,30.1,34.1,88.1,90.4,Type_A
2000260,57.2,48.8,43.1,69.2,Type_C
2000261,48.1,55.0,168.5,99.2,Type_A
2000262,36.0,43.3,51.2,75.0,Type_C
2000263,57.2,55.4,87.4,70.5,Type_C
2000264,31.2,39.4,129.1,114.1,Type_B
2000265,20.4,50.9,139.8,128.6,Type_A
2000266,56.6,40.3,77.3,107.6,Type_A
2000267,23.3,34.0,116.0,140.1,Type_B
2000268,27.6,45.2,120.4,55.6,Type_B
2000269,64.4,31.8,121.0,124.5,Type_C
2000270,57.3,37.6,57.9,97.1,Type_C
2000271,18.4,30.9,61.5,119.9,Type_B
2000272,46.8,65.7,132.5,59.0,Type_B
2000273,40.6,40.3,98.7,64.5,Type_B
2000274,36.9,38.8,118.6,51.2,Type_A
2000275,7.0,60.8,89.4,86.1,Type_B
2000276,22.5,66.4,61.9,60.1,Type_C
2000277,37.5,48.9,60.2,118.7,Type_C
2000278,56.3,46.5,83.0,117.7,Type_A
2000279,35.5,56.8,89.4,160.0,Type_B
2000280,51.5,47.4,133.1,86.2,Type_C
2000281,34.2,27.0,137.1,99.6,Type_C
2000282,68.4,47.3,85.7,143.6,Type_A
2000283,16.2,28.2,100.9,97.6,Type_A
2000284,51.6,10.4,120.3,104.8,Type_C
2000285,18.3,61.5,107.5,102.3,Type_B
2000286,43.4,48.0,74.8,97.1,Type_C
2000287,17.6,40.7,110.1,113.5,Type_A
2000288,55.7,43.7,131.1,83.1,Type_A
2000289,53.0,57.6,118.8,118.3,Type_C
2000290,63.3,42.5,122.8,130.9,Type_A
2000291,38.8,64.0,138.0,100.8,Type_A
2000292,28.7,40.0,88.9,67.0,Type_B
2000293,57.7,35.7,132.6,98.5,Type_A
2000294,37.7,68.5,101.2,57.7,Type_A
2000295,56.6,55.7,27.1,94.4,Type_B
2000296,43.1,60.7,56.5,101.4,Type_C
2000297,53.2,29.6,118.5,150.6,Type_A
2000298,29.1,60.7,84.1,105.1,Type_C
2000299,34.8,57.9,57.1,138.3,Type_B
2000300,37.1,24.4,77.0,112.7,Type_B
2000301,52.3,38.6,78.8,95.0,Type_C
2000302,44.1,57.0,116.7,138.8,Type_C
2000303,32.3,48.8,118.9,140.9,Type_C
2000304,48.2,48.4,97.8,123.8,Type_C
2000305,51.6,50.0,62.7,56.6,Type_B
2000306,57.3,64.4,110.4,55.4,Type_B
2000307,47.4,64.4,129.4,93.4,Type_B
2000308,27.5,57.9,88.5,138.6,Type_C
2000309,44.6,47.4,95.1,109.9,Type_B
2000310,75.1,61.8,80.6,73.4,Type_A
2000311,63.0,47.6,78.1,59.7,Type_C
2000312,55.6,27.4,116.7,95.5,Type_B
2000313,51.6,32.6,77.7,80.9,Type_A
2000314,66.0,59.6,69.3,81.6,Type_A
2000315,54.5,44.5,114.9,76.7,Type_A
2000316,46.1,41.0,74.9,82.2,Type_C
2000317,50.2,42.5,98.5,87.1,Type_C
2000318,41.7,0.0,68.8,64.4,Type_A
2000319,44.5,63.7,99.8,74.9,Type_B
2000320,59.0,29.8,84.0,127.7,Type_A
2000321,32.7,42.4,77.1,83.5,Type_C
2000322,54.6,41.1,75.6,96.2,Type_C
2000323,42.3,50.2,86.5,65.1,Type_B
2000324,49.9,32.7,100.2,77.7,Type_B
2000325,45.1,49.5,126.5,92.2,Type_B
2000326,50.2,37.1,80.2,92.1,Type_B
2000327,37.1,57.7,90.8,64.8,Type_A
2000328,40.8,39.6,74.7,71.0,Type_A
2000329,54.2,41.6,102.3,112.6,Type_C
2000330,24.1,43.7,119.9,148.5,Type_B
2000331,57.2,69.8,125.0,85.0,Type_A
2000332,19.0,19.9,117.7,81.6,Type_B
2000333,29.1,25.9,58.5,126.9,Type_B
2000334,36.4,53.0,153.1,101.4,Type_C
2000335,34.6,59.3,104.8,161.7,Type_B
2000336,44.0,42.9,70.9,97.3,Type_C
2000337,40.6,25.2,110.5,119.2,Type_C
2000338,52.0,36.0,93.9,99.6,Type_A
2000339,33.2,24.7,72.3,115.0,Type_A
2000340,51.5,78.0,102.4,74.1,Type_B
2000341,40.7,67.2,82.4,68.9,Type_C
2000342,52.2,51.1,102.7,72.6,Type_B
2000343,53.3,39.1,92.3,58.6,Type_C
2000344,20.1,48.7,102.0,85.8,Type_C
2000345,46.2,46.7,116.8,140.2,Type_B
2000346,46.9,39.9,109.3,101.9,Type_A
2000347,50.9,42.7,84.3,103.9,Type_B
2000348,51.9,49.4,74.0,104.1,Type_C
2000349,41.3,42.1,141.9,75.2,Type_C
2000350,49.8,43.0,109.4,131.7,Type_B
2000351,59.9,30.9,132.5,91.7,Type_A
2000352,29.1,37.4,115.8,105.1,Type_B
2000353,25.5,66.8,78.5,73.0,Type_A
2000354,40.3,23.7,119.0,105.6,Type_B
2000355,45.9,63.9,85.0,94.2,Type_A
2000356,58.1,36.9,76.5,101.1,Type_B
2000357,11.2,57.8,79.2,114.1,Type_A
2000358,65.8,53.9,67.7,111.9,Type_C
2000359,49.9,35.8,84.9,102.8,Type_C
2000360,60.3,45.2,120.4,79.2,Type_C
2000361,20.6,63.4,49.8,79.4,Type_A
2000362,47.7,52.3,117.7,104.0,Type_C
2000363,60.2,38.4,72.3,85.7,Type_B
2000364,61.9,58.6,93.6,105.4,Type_C
2000365,64.0,29.2,75.9,68.4,Type_C
2000366,48.8,48.4,76.0,111.0,Type_B
2000367,44.2,24.0,94.1,75.2,Type_B
2000368,74.8,45.8,67.0,92.2,Type_A
2000369,64.1,34.4,60.1,81.4,Type_B
2000370,48.7,32.5,100.0,92.6,Type_B
2000371,42.6,33.4,88.2,72.4,Type_B
2000372,34.9,51.5,88.5,91.4,Type_A
2000373,44.9,71.1,96.0,115.3,Type_C
2000374,28.7,45.1,71.2,109.5,Type_A
2000375,48.7,51.5,166.4,54.6,Type_B
2000376,37.4,38.9,115.0,63.5,Type_B
2000377,55.0,47.0,125.3,98.8,Type_C
2000378,50.1,60.4,67.3,79.3,Type_A
2000379,32.3,25.4,114.8,96.5,Type_A
2000380,23.4,43.6,97.4,88.5,Type_A
2000381,50.0,60.2,115.3,109.0,Type_A
2000382,51.1,26.8,120.5,118.3,Type_A
2000383,55.6,32.5,105.2,121.8,Type_C
2000384,39.2,43.1,106.7,114.6,Type_B
2000385,39.7,45.4,142.6,104.3,Type_C
2000386,18.1,53.9,80.1,73.7,Type_A
2000387,5.7,29.9,116.6,97.6,Type_B
2000388,49.5,23.6,98.1,122.1,Type_A
2000389,68.6,25.9,100.7,102.6,Type_C
2000390,34.2,31.7,73.0,86.4,Type_B
2000391,28.5,47.6,89.6,114.0,Type_C
2000392,21.2,41.4,111.0,114.1,Type_A
2000393,39.8,38.1,123.6,84.9,Type_C
2000394,32.9,53.2,117.5,127.8,Type_C
2000395,37.4,55.3,107.7,138.6,Type_C
2000396,66.4,69.2,116.3,133.0,Type_C
2000397,40.3,38.3,116.9,125.9,Type_C
2000398,32.4,25.8,108.7,129.0,Type_A
2000399,51.8,16.4,127.5,99.4,Type_B
2000400,50.1,16.7,65.5,80.3,Type_B
2000401,39.5,61.5,103.4,83.7,Type_B
2000402,51.1,25.4,99.1,115.8,Type_A
2000403,47.4,67.5,117.5,126.7,Type_B
2000404,57.7,32.3,160.5,136.0,Type_C
2000405,50.0,54.5,100.1,94.1,Type_A
2000406,46.1,28.9,28.6,137.6,Type_B
2000407,30.1,28.7,128.6,92.9,Type_A
2000408,31.1,41.8,111.4,102.0,Type_B
2000409,44.3,26.5,107.7,93.0,Type_C
2000410,42.3,32.1,92.3,120.5,Type_A
2000411,63.6,57.2,128.5,168.0,Type_A
2000412,25.8,45.6,100.9,92.7,Type_C
2000413,48.6,53.2,93.5,103.7,Type_A
2000414,27.2,55.6,106.6,110.2,Type_A
2000415,57.9,50.1,92.9,77.7,Type_A
2000416,35.7,,60.3,103.5,Type_A
2000417,43.2,12.7,102.4,68.4,Type_C
2000418,51.6,45.4,47.8,80.6,Type_A
2000419,12.1,43.3,118.4,120.2,Type_C
2000420,69.4,15.1,159.0,111.4,Type_B
2000421,28.3,48.8,142.1,119.1,Type_B
2000422,51.6,47.1,54.0,96.7,Type_A
2000423,26.6,50.4,104.4,75.5,Type_A
2000424,46.6,49.7,165.3,70.0,Type_B
2000425,45.4,66.4,103.7,62.4,Type_C
2000426,64.8,43.9,97.0,91.6,Type_C
2000427,26.5,46.8,105.3,101.3,Type_A
2000428,7.0,50.6,98.4,61.2,Type_B
2000429,38.3,64.8,108.4,117.4,Type_A
2000430,74.6,49.1,93.9,110.5,Type_C
2000431,44.4,27.4,125.8,127.1,Type_B
2000432,26.8,77.0,105.0,90.5,Type_C
2000433,40.5,31.0,91.6,121.0,Type_C
2000434,56.0,43.8,79.7,123.3,Type_C
2000435,34.0,57.0,96.8,70.8,Type_A
2000436,45.5,35.2,111.6,83.6,Type_A
2000437,65.2,44.7,117.7,107.2,Type_A
2000438,49.8,46.3,88.8,129.5,Type_A
2000439,49.5,19.3,45.5,120.8,Type_B
2000440,51.5,11.4,127.0,54.6,Type_A
2000441,52.2,51.4,126.2,145.1,Type_A
2000442,51.3,54.7,107.3,85.3,Type_C
2000443,9.5,47.9,122.4,98.6,Type_A
2000444,51.7,44.5,99.0,20.6,Type_A
2000445,44.0,81.5,122.3,105.7,Type_A
2000446,25.6,33.6,87.0,78.5,Type_B
2000447,54.7,35.8,89.6,146.9,Type_B
2000448,62.9,69.5,125.4,127.2,Type_B
2000449,3.0,68.6,136.5,72.4,Type_C
2000450,58.2,57.4,111.7,122.5,Type_A
2000451,44.9,24.0,81.3,108.9,Type_B
2000452,43.7,30.7,114.0,86.2,Type_B
2000453,27.4,57.7,53.8,116.9,Type_C
2000454,37.3,33.7,59.4,151.0,Type_B
2000455,64.9,43.8,120.6,132.0,Type_B
2000456,76.0,72.0,100.2,100.1,Type_A
2000457,37.3,55.4,110.7,105.6,Type_C
2000458,63.4,29.6,88.4,94.8,Type_B
2000459,25.1,65.2,121.4,81.4,Type_C
2000460,29.8,59.6,83.4,111.2,Type_A
2000461,78.8,46.8,61.6,123.1,Type_B
2000462,61.7,20.6,76.7,117.2,Type_A
2000463,39.0,32.2,65.3,132.5,Type_A
2000464,35.3,45.6,99.2,71.1,Type_C
2000465,41.1,26.6,113.9,128.0,Type_B
2000466,50.0,25.2,125.9,141.1,Type_C
2000467,41.9,49.0,124.5,81.5,Type_B
2000468,38.6,58.1,94.5,58.2,Type_C
2000469,51.4,31.3,130.3,98.3,Type_B
2000470,39.5,42.0,85.0,73.0,Type_A
2000471,58.4,34.1,89.0,100.1,Type_B
2000472,24.8,62.8,134.2,82.2,Type_B
2000473,15.5,54.1,76.3,107.7,Type_C
2000474,34.7,73.2,97.0,84.0,Type_B
2000475,23.4,31.5,57.8,95.2,Type_B
2000476,40.5,66.1,82.1,134.1,Type_C
2000477,40.8,33.1,140.5,53.1,Type_B
2000478,75.4,60.4,118.3,59.1,Type_B
2000479,52.8,36.4,77.4,112.6,Type_A
2000480,34.3,31.5,86.0,105.0,Type_B
2000481,50.7,60.5,80.1,99.8,Type_B
2000482,56.2,63.8,61.8,106.6,Type_C
2000483,41.8,38.5,104.3,114.6,Type_B
2000484,56.7,43.9,104.6,67.4,Type_C
2000485,42.7,27.6,88.5,119.8,Type_C
2000486,47.1,33.1,52.4,110.3,Type_C
2000487,42.2,49.2,93.1,116.5,Type_A
2000488,49.5,86.3,48.5,112.9,Type_A
2000489,76.4,23.1,69.8,69.7,Type_A
2000490,52.4,62.0,104.9,106.7,Type_A
2000491,33.6,47.5,112.9,40.6,Type_B
2000492,70.4,12.9,92.2,65.9,Type_A
2000493,50.8,55.3,54.8,84.0,Type_B
2000494,35.2,37.1,121.0,95.1,Type_A
2000495,50.3,38.4,104.5,112.4,Type_A
2000496,51.8,67.3,93.0,120.6,Type_C
2000497,66.4,47.8,118.8,128.8,Type_A
2000498,40.0,52.7,127.6,87.3,Type_C
2000499,32.0,39.6,118.0,76.0,Type_B
2000500,50.4,20.3,99.7,111.0,Type_B
2000501,45.6,40.1,75.2,124.6,Type_A
2000502,44.3,57.1,74.7,76.0,Type_C
2000503,67.8,56.2,72.9,78.6,Type_A
2000504,17.3,62.8,22.7,69.3,Type_A
2000505,73.6,79.0,83.1,95.4,Type_C
2000506,50.1,63.1,139.4,120.6,Type_C
2000507,37.2,47.7,145.6,116.4,Type_B
2000508,68.8,64.6,62.0,96.7,Type_A
2000509,72.5,29.1,105.8,136.4,Type_A
2000510,27.4,35.7,82.6,100.5,Type_B
2000511,46.3,28.8,91.8,160.7,Type_A
2000512,39.6,46.4,71.3,115.1,Type_A
2000513,55.0,35.2,36.8,98.4,Type_C
2000514,36.4,41.7,95.4,111.1,Type_B
2000515,54.6,48.7,67.5,56.8,Type_C
2000516,51.1,58.7,75.1,123.7,Type_C
2000517,40.0,61.0,115.4,93.1,Type_A
2000518,15.5,77.4,73.7,97.8,Type_B
2000519,43.2,51.8,71.0,108.4,Type_C
2000520,53.4,66.3,122.2,107.2,Type_A
2000521,53.9,28.2,43.9,39.6,Type_B
2000522,63.4,38.1,79.5,104.9,Type_A
2000523,45.2,27.5,95.6,89.8,Type_B
2000524,41.0,37.6,66.3,105.7,Type_C
2000525,55.8,19.0,156.4,67.3,Type_A
2000526,41.3,41.2,110.6,90.8,Type_A
2000527,27.8,46.7,132.4,96.9,Type_B
2000528,51.0,37.3,93.5,80.5,Type_A
2000529,19.8,38.5,144.6,89.6,Type_B
2000530,55.4,47.0,120.9,98.1,Type_B
2000531,57.6,41.1,96.4,49.6,Type_B
2000532,59.9,17.1,117.8,111.4,Type_A
2000533,58.4,40.7,108.4,93.1,Type_C
2000534,43.3,43.4,95.4,125.5,Type_B
2000535,40.7,74.6,77.8,80.3,Type_C
2000536,43.4,48.3,143.1,111.9,Type_C
2000537,40.1,46.6,103.9,54.6,Type_C
2000538,51.2,70.3,97.5,94.6,Type_B
2000539,61.1,14.5,95.1,109.1,Type_C
2000540,39.5,44.8,99.7,88.9,Type_A
2000541,46.1,45.8,58.1,118.6,Type_A
2000542,19.4,37.0,70.0,86.8,Type_A
2000543,30.1,43.5,122.0,89.2,Type_B
2000544,39.9,53.3,89.7,76.4,Type_A
2000545,50.3,28.3,91.7,76.9,Type_A
2000546,37.3,,94.7,110.0,Type_A
2000547,67.8,46.1,132.8,83.7,Type_C
2000548,60.3,55.2,107.8,67.6,Type_B
2000549,13.9,69.3,78.0,117.1,Type_C
2000550,15.5,44.8,96.5,103.3,Type_B
2000551,41.6,42.2,98.4,99.1,Type_C
2000552,2.1,57.4,30.6,83.3,Type_A
2000553,28.5,52.6,55.3,156.8,Type_A
2000554,57.5,54.0,83.5,114.0,Type_B
2000555,34.3,33.1,85.3,87.4,Type_C
