TripID,WaterTempCelsius,FishingEffortHours,CPUE_Index,TargetSpeciesRatio,CatchOverQuota
1990052,138.3,11.3,115.6,47.7,0
1990053,100.4,13.3,118.9,50.3,0
1990054,105.2,6.4,103.2,53.9,1
1990055,114.5,43.4,71.7,76.7,0
1990056,109.8,5.6,149.3,57.7,0
1990057,164.2,22.1,69.9,68.2,1
1990058,114.9,33.3,134.5,45.7,0
1990059,112.1,24.6,84.7,53.1,1
1990060,73.1,10.5,97.3,33.6,0
1990061,109.7,41.6,102.4,40.8,1
1990062,43.5,20.5,74.8,66.7,0
1990063,166.3,37.9,95.7,36.1,1
1990064,92.1,34.1,71.1,62.4,0
1990065,119.8,32.9,130.4,42.2,1
1990066,139.3,18.7,73.7,57.4,1
1990067,134.6,22.9,83.1,31.7,1
1990068,158.9,36.2,89.8,56.4,1
1990069,74.2,36.4,97.0,50.5,1
1990070,146.7,11.1,94.7,56.0,1
1990071,159.8,15.8,57.3,35.6,1
1990072,66.7,8.7,109.1,49.6,0
1990073,113.8,30.1,112.9,32.0,0
1990074,112.3,28.2,95.6,48.0,1
1990075,99.3,37.3,,43.9,1
1990076,97.2,18.8,103.8,41.1,1
1990077,89.2,43.3,101.7,58.2,0
1990078,57.9,23.4,70.3,44.7,0
1990079,113.1,33.7,108.9,33.2,0
1990080,150.3,40.4,80.5,51.7,1
1990081,157.4,17.2,100.4,47.2,1
1990082,67.0,25.7,52.0,33.0,1
1990083,121.1,29.1,118.9,59.6,1
1990084,111.7,20.6,98.6,55.0,1
1990085,133.1,12.7,76.1,61.0,1
1990086,123.9,26.7,154.4,61.5,1
1990087,123.7,44.8,124.2,40.3,0
1990088,99.5,36.2,93.1,51.6,0
1990089,96.8,23.5,89.0,29.8,0
1990090,161.4,41.0,117.4,37.0,0
1990091,120.3,40.5,153.0,52.0,0
1990092,125.3,6.5,91.4,52.1,0
1990093,123.3,34.3,80.7,35.9,0
1990094,134.7,39.4,48.2,26.7,0
1990095,131.6,27.4,91.8,54.2,0
1990096,139.9,14.2,93.6,51.9,0
1990097,168.8,8.8,75.5,41.8,1
1990098,123.3,10.0,74.1,46.6,1
1990099,142.0,30.2,83.2,54.8,1
1990100,166.8,36.0,91.1,31.5,1
1990101,135.6,44.9,105.9,50.6,1
1990102,163.2,27.7,54.4,35.8,0
1990103,94.1,38.1,110.8,27.5,1
1990104,173.1,37.3,70.6,53.5,1
1990105,153.1,43.1,63.5,62.9,0
1990106,131.8,36.1,105.9,20.0,1
1990107,176.3,5.2,85.3,34.3,1
1990108,145.8,24.8,71.5,56.5,1
1990109,148.9,23.2,114.4,47.9,1
1990110,136.5,22.0,114.3,40.2,1
1990111,81.3,41.1,99.0,43.9,0
1990112,146.4,13.3,135.9,41.9,1
1990113,115.4,6.8,119.0,43.4,1
1990114,126.0,37.4,111.2,50.1,0
1990115,173.4,16.6,35.7,38.2,1
1990116,133.7,8.7,77.3,39.2,1
1990117,169.3,17.5,90.5,75.4,1
1990118,100.5,36.0,99.8,20.3,0
1990119,130.2,11.6,85.0,18.6,0
1990120,167.1,27.0,100.1,37.8,1
1990121,149.3,31.5,124.7,2.4,0
1990122,122.3,38.5,63.6,51.7,1
1990123,62.1,25.9,96.2,81.1,0
1990124,161.9,16.5,88.3,64.3,0
1990125,148.6,33.6,100.3,50.8,1
1990126,114.2,18.6,45.3,89.4,0
1990127,112.2,14.1,69.5,31.9,1
1990128,137.1,7.7,115.9,63.1,1
1990129,124.8,33.7,95.5,50.5,1
1990130,107.0,37.5,105.7,27.8,0
1990131,98.2,22.8,91.7,52.2,1
1990132,147.2,44.0,107.1,21.7,1
1990133,108.2,41.1,121.7,52.0,1
1990134,122.4,36.3,87.4,54.2,0
1990135,128.5,21.5,85.4,55.7,0
1990136,65.8,28.3,79.1,31.1,0
1990137,141.4,33.9,97.0,28.7,0
1990138,131.6,13.9,91.6,59.6,1
1990139,119.1,11.3,148.1,31.0,1
1990140,66.8,39.2,99.0,35.5,0
1990141,132.6,35.1,95.0,64.2,1
1990142,102.4,39.5,97.7,43.3,1
1990143,104.3,13.1,110.4,53.1,1
1990144,88.1,6.2,83.1,29.2,1
1990145,93.0,13.3,101.3,37.2,0
1990146,59.1,7.1,92.7,24.7,0
1990147,123.4,34.9,146.8,61.8,0
1990148,109.1,25.8,118.8,14.6,1
1990149,102.6,21.5,123.0,53.4,0
1990150,73.1,35.4,106.6,50.4,0
1990151,60.6,10.2,119.1,30.1,0
1990152,113.3,40.1,70.0,24.9,0
1990153,95.1,5.0,76.4,57.6,1
1990154,92.7,25.7,145.5,10.5,0
1990155,64.4,12.2,50.6,45.2,0
1990156,133.1,11.2,116.8,45.7,1
1990157,156.7,34.0,100.9,34.5,1
1990158,164.0,8.3,124.5,37.4,1
1990159,151.1,34.3,116.7,48.8,1
1990160,126.1,37.9,63.2,39.4,1
1990161,165.8,27.1,133.5,21.8,0
1990162,118.2,25.5,,45.4,1
1990163,34.7,44.8,77.1,52.9,0
1990164,153.5,16.8,110.4,40.6,1
1990165,113.4,21.0,102.4,4.8,0
1990166,137.6,26.3,85.5,65.1,0
1990167,167.5,5.2,92.3,32.6,1
1990168,130.6,29.0,98.6,35.2,1
1990169,136.3,41.8,145.5,51.3,1
1990170,125.9,17.6,144.5,12.7,0
1990171,126.5,36.0,82.4,19.2,1
1990172,116.0,33.1,74.0,21.2,1
1990173,90.8,15.7,110.9,25.9,1
1990174,104.3,32.3,98.9,57.1,1
1990175,101.6,19.7,94.0,46.2,0
1990176,176.9,8.4,94.4,40.4,1
1990177,117.2,43.8,95.2,37.2,1
1990178,116.0,41.0,86.8,41.9,1
1990179,144.6,11.8,64.0,37.1,1
1990180,125.8,22.7,113.0,48.3,1
1990181,94.0,8.8,52.7,77.1,0
1990182,56.6,14.5,129.8,23.7,0
1990183,145.9,26.7,52.8,31.1,1
1990184,111.7,38.6,110.7,70.6,1
1990185,149.9,23.6,91.3,46.4,1
1990186,54.2,16.7,55.8,45.9,0
1990187,54.1,24.9,101.6,31.4,0
1990188,155.2,42.4,131.7,38.4,1
1990189,61.0,23.9,50.0,64.1,0
1990190,109.3,42.5,68.9,67.7,0
1990191,140.3,9.1,146.5,10.4,1
1990192,155.5,14.5,99.3,64.6,0
1990193,70.5,36.7,107.3,39.5,0
1990194,80.4,26.1,109.5,55.6,0
1990195,180.8,43.3,137.2,46.3,1
1990196,95.6,20.5,139.1,32.5,0
1990197,124.0,23.2,141.8,61.4,0
1990198,128.5,31.6,132.4,0.0,1
1990199,149.4,29.8,117.9,50.5,1
1990200,118.0,44.5,117.5,22.6,1
1990201,126.3,8.9,132.9,49.4,0
1990202,104.4,16.0,35.7,32.4,0
1990203,91.1,40.4,94.8,44.0,0
1990204,117.3,33.5,93.1,29.3,0
1990205,130.0,36.5,109.6,40.1,1
1990206,147.5,9.5,93.7,58.8,0
1990207,67.1,8.9,106.9,63.6,0
1990208,143.9,30.7,51.7,52.5,1
1990209,119.0,35.5,70.2,24.6,0
1990210,169.4,14.7,120.2,52.8,0
1990211,100.1,16.9,101.0,32.3,1
1990212,117.1,35.1,73.9,37.9,0
1990213,108.2,33.0,102.2,42.8,0
1990214,107.7,39.9,111.0,22.7,1
1990215,121.4,34.7,143.8,52.2,0
1990216,111.6,20.2,122.4,58.6,1
1990217,98.4,42.9,156.0,22.9,1
1990218,147.9,17.0,83.1,80.8,1
1990219,135.6,5.4,69.4,58.7,1
1990220,131.6,38.9,72.4,49.1,1
1990221,105.0,8.9,109.3,40.3,1
1990222,130.5,25.8,60.8,39.0,0
1990223,90.9,38.8,102.6,24.4,0
1990224,115.5,27.8,88.1,56.1,0
1990225,164.9,28.5,81.8,49.3,0
1990226,109.8,32.7,91.2,50.0,1
1990227,69.2,20.2,84.1,47.4,0
1990228,106.6,32.0,95.8,71.0,0
1990229,143.0,41.6,126.6,27.9,1
1990230,89.3,11.8,116.7,50.5,0
1990231,111.6,17.4,81.9,53.4,0
1990232,83.4,20.2,97.4,25.5,1
1990233,85.2,17.7,111.1,61.0,0
1990234,136.3,41.0,117.3,37.7,1
1990235,157.1,8.8,124.6,52.1,0
1990236,135.3,33.2,108.6,44.0,1
1990237,168.0,21.4,73.6,74.4,1
1990238,104.6,7.7,101.7,0.0,0
1990239,51.0,43.8,95.5,42.1,0
1990240,139.7,33.9,83.1,47.3,1
1990241,141.8,23.1,112.5,38.2,1
1990242,46.9,29.9,105.6,50.9,0
1990243,143.5,33.6,97.7,61.5,0
1990244,104.0,5.5,113.3,35.5,0
1990245,138.1,39.4,114.6,72.1,1
1990246,75.2,31.1,131.0,20.4,0
1990247,94.5,27.1,73.6,63.2,0
1990248,116.3,35.3,120.2,23.8,1
1990249,109.0,7.9,84.9,65.2,0
1990250,131.7,19.4,131.3,45.0,1
1990251,153.7,19.4,88.0,36.2,1
1990252,118.2,28.4,98.7,54.2,0
1990253,134.5,15.8,112.6,46.6,1
1990254,120.6,18.9,91.8,62.2,0
1990255,79.8,19.3,118.2,43.7,0
1990256,105.6,23.4,52.1,32.4,1
1990257,118.5,29.6,66.4,61.0,1
1990258,77.7,13.5,74.7,24.7,0
1990259,197.1,29.4,71.7,61.0,1
1990260,109.5,44.7,126.0,21.1,0
1990261,106.2,25.2,138.7,58.6,1
1990262,133.1,35.3,101.5,57.4,1
1990263,123.0,9.1,80.3,25.3,0
1990264,130.5,31.9,57.2,32.7,0
1990265,114.9,22.4,137.5,64.2,1
1990266,93.2,14.5,99.5,83.8,1
1990267,66.4,33.9,74.7,60.2,0
1990268,123.4,24.2,51.8,53.7,1
1990269,126.3,31.5,96.5,54.3,1
1990270,153.2,36.4,123.8,58.5,1
1990271,124.8,6.1,120.4,66.2,0
1990272,113.2,36.3,30.9,31.4,0
1990273,160.2,27.0,80.7,66.6,1
1990274,130.3,6.2,118.4,45.5,1
1990275,110.1,26.6,70.6,60.1,0
1990276,101.2,38.1,147.9,58.7,0
1990277,119.0,6.0,107.0,30.3,1
1990278,105.9,20.2,115.6,56.3,0
1990279,59.5,32.1,132.7,47.8,0
1990280,157.8,7.3,79.2,72.8,1
1990281,142.8,37.5,111.8,21.2,1
1990282,143.7,31.1,82.7,21.8,0
1990283,136.9,36.2,105.6,42.7,1
1990284,143.9,35.6,122.4,50.8,1
1990285,127.8,31.2,164.1,46.8,1
1990286,117.8,32.2,119.4,65.0,1
1990287,118.2,24.2,71.7,89.0,1
1990288,90.3,39.8,87.7,17.5,1
1990289,69.4,17.4,81.8,65.1,0
1990290,68.3,32.4,117.4,49.9,0
1990291,94.8,27.5,126.5,28.0,0
1990292,144.6,32.9,102.7,71.1,1
1990293,117.3,6.6,129.2,41.9,1
1990294,135.3,14.4,80.6,28.6,1
1990295,120.4,9.3,94.5,43.1,0
1990296,149.7,33.5,129.0,59.5,1
1990297,111.8,19.2,43.7,56.5,0
1990298,155.1,15.0,66.0,33.9,1
1990299,91.5,10.4,100.1,58.8,0
1990300,124.4,15.9,134.5,59.4,0
1990301,83.4,7.6,140.7,44.5,0
1990302,150.0,14.1,117.8,68.9,1
1990303,164.3,31.9,111.6,55.8,1
1990304,137.0,23.4,105.3,64.8,1
1990305,128.9,9.6,155.2,54.0,1
1990306,102.4,32.7,115.4,49.8,0
1990307,149.4,8.7,101.6,47.2,0
1990308,221.7,8.7,82.3,33.9,1
1990309,86.8,15.8,127.9,53.5,0
1990310,149.3,19.6,140.4,68.2,1
1990311,128.6,22.1,105.0,31.7,1
1990312,79.0,28.7,102.0,40.8,0
1990313,105.2,42.4,123.1,35.1,0
1990314,104.6,28.7,88.1,56.9,0
1990315,153.8,13.8,66.0,42.4,1
1990316,133.0,15.6,111.3,49.5,0
1990317,74.1,36.3,111.3,52.8,0
1990318,61.7,12.2,118.0,29.4,0
1990319,96.3,36.0,104.6,31.9,1
1990320,107.6,17.4,109.1,45.2,1
1990321,100.4,24.6,101.7,14.5,1
1990322,79.2,22.6,116.0,51.5,0
1990323,130.2,6.1,75.3,30.4,1
1990324,175.7,9.4,66.5,35.3,1
1990325,109.7,12.0,80.4,56.8,1
1990326,146.6,44.3,68.9,43.6,1
1990327,88.1,39.5,80.0,39.4,1
1990328,110.7,16.7,147.8,54.8,0
1990329,139.2,23.7,86.3,53.7,0
1990330,106.9,29.0,83.7,39.3,1
1990331,108.5,20.5,92.8,48.2,0
1990332,122.7,8.6,145.6,29.1,0
1990333,100.3,29.9,113.8,34.5,0
1990334,132.0,33.8,99.3,50.9,0
1990335,64.6,29.7,120.7,16.1,0
1990336,103.9,18.3,118.9,57.2,1
1990337,112.0,42.7,134.0,44.1,1
1990338,83.4,20.0,90.1,33.4,0
1990339,115.2,32.3,91.3,44.2,0
1990340,91.6,37.3,132.4,19.6,1
1990341,36.8,6.8,84.1,43.7,1
1990342,133.3,37.9,133.8,38.4,1
1990343,111.6,8.5,67.7,44.9,0
1990344,100.5,15.5,152.1,44.2,0
1990345,122.7,6.0,117.5,45.7,0
1990346,126.8,24.7,93.3,56.5,0
1990347,115.0,26.4,85.4,50.0,0
1990348,88.2,44.6,135.1,42.1,1
1990349,117.4,20.0,112.6,58.9,1
1990350,117.9,5.6,141.2,40.0,0
1990351,104.5,40.0,,41.3,0
1990352,68.5,20.6,91.3,47.2,0
1990353,138.1,30.8,83.1,12.9,1
1990354,95.8,19.3,98.1,43.8,0
1990355,78.9,23.1,120.4,53.4,0
1990356,57.4,12.4,82.0,63.7,0
1990357,79.6,26.0,62.5,19.3,0
1990358,87.2,42.0,73.3,35.1,1
1990359,57.2,28.3,100.3,30.9,0
1990360,141.0,15.8,133.3,51.9,1
1990361,114.6,41.4,81.0,30.7,1
1990362,96.0,31.7,77.5,52.9,0
1990363,112.4,26.3,95.9,25.1,0
1990364,132.9,8.2,96.8,25.3,0
1990365,108.1,21.7,106.5,53.6,1
1990366,150.2,26.1,125.0,42.7,1
1990367,152.0,10.7,86.1,62.6,1
1990368,97.4,10.7,114.0,36.3,0
1990369,129.3,27.2,119.1,44.7,0
1990370,86.5,36.2,108.3,46.4,0
1990371,152.5,20.4,109.2,31.6,1
1990372,76.9,36.6,100.9,53.5,0
1990373,113.1,24.9,112.3,50.4,0
1990374,158.9,20.7,60.1,17.6,1
1990375,120.5,13.8,75.4,73.6,0
1990376,106.4,36.1,110.0,53.5,1
1990377,102.0,33.8,116.1,56.4,0
1990378,70.3,7.2,67.9,59.3,0
1990379,92.0,30.2,98.5,42.6,0
1990380,176.4,8.1,68.1,43.3,1
1990381,137.9,10.3,72.7,38.4,1
1990382,99.2,15.1,65.7,70.1,0
1990383,162.0,36.4,127.1,49.1,1
1990384,91.2,18.5,76.8,31.0,0
1990385,121.2,26.5,129.1,38.4,0
1990386,136.2,11.8,96.7,69.5,0
1990387,73.8,39.2,98.4,73.6,0
1990388,133.2,6.2,100.6,66.2,0
1990389,122.0,34.0,94.2,28.3,0
1990390,84.2,22.5,53.4,26.1,1
1990391,162.4,33.1,89.1,23.3,1
1990392,136.8,16.2,118.2,45.0,1
1990393,86.5,30.9,111.4,55.5,0
1990394,130.2,22.1,96.5,41.3,1
1990395,155.0,32.4,,36.2,1
1990396,89.4,23.4,75.3,62.9,0
1990397,148.2,17.7,59.9,40.3,1
1990398,93.6,41.1,88.6,47.8,0
1990399,143.8,16.2,121.1,39.8,1
1990400,139.8,11.5,140.5,72.7,1
1990401,116.4,10.3,66.7,44.1,0
1990402,117.3,41.9,132.9,52.9,1
1990403,124.4,36.4,84.4,59.8,1
1990404,139.5,31.9,122.7,32.5,0
1990405,159.1,6.2,100.0,62.1,0
1990406,119.7,43.4,98.2,51.1,0
1990407,74.9,5.9,111.7,32.6,0
1990408,174.9,21.7,57.9,47.6,1
1990409,126.6,5.7,103.1,76.2,1
1990410,131.7,17.3,55.9,60.7,1
1990411,150.0,38.5,89.0,57.8,1
1990412,114.6,20.5,101.8,47.4,0
1990413,136.4,33.3,126.1,46.0,0
1990414,94.1,16.6,103.0,59.0,0
1990415,111.0,5.4,61.9,37.2,0
1990416,115.9,7.7,102.4,47.4,1
1990417,118.3,40.9,97.5,64.5,1
1990418,80.9,15.8,96.8,45.6,0
1990419,144.9,39.5,85.2,47.1,0
1990420,121.2,11.2,125.6,43.1,0
1990421,166.2,21.9,97.5,59.5,1
1990422,153.9,7.3,105.4,53.3,1
1990423,114.2,44.4,127.2,48.9,0
1990424,81.2,25.8,151.4,51.8,0
1990425,112.3,21.7,81.0,49.1,0
1990426,78.5,31.0,117.3,30.4,0
1990427,111.5,13.1,137.1,62.9,1
1990428,97.6,31.8,32.0,51.9,0
1990429,68.3,15.6,61.2,41.1,0
1990430,82.9,12.1,153.1,34.4,0
1990431,107.8,14.8,151.4,51.0,0
1990432,88.1,14.1,79.6,55.1,0
1990433,119.6,9.7,57.3,52.2,1
1990434,115.0,27.6,,61.6,0
1990435,77.4,28.9,135.5,37.9,1
1990436,132.3,25.0,98.4,65.7,1
1990437,109.9,33.8,112.8,66.9,1
1990438,80.0,44.8,76.0,39.2,0
1990439,125.3,26.1,122.7,40.4,1
1990440,141.1,41.7,96.0,61.8,1
1990441,142.8,39.8,43.1,44.5,1
1990442,177.2,22.8,84.0,46.0,1
1990443,143.4,23.7,124.5,67.2,1
1990444,123.8,40.3,100.4,56.1,0
1990445,120.7,36.4,149.8,28.6,1
1990446,119.2,9.7,101.7,59.1,0
1990447,82.0,27.7,108.5,60.3,0
1990448,147.9,13.3,127.0,67.7,1
1990449,133.7,42.5,142.9,61.8,0
1990450,122.0,16.0,75.7,40.0,1
1990451,127.5,32.9,117.1,46.5,0
1990452,161.2,24.2,122.4,26.6,1
1990453,130.5,36.4,98.6,43.5,1
1990454,154.5,25.2,136.8,59.1,1
1990455,155.1,37.2,96.0,48.4,1
1990456,138.8,19.8,90.1,43.8,1
1990457,70.2,24.2,94.2,35.6,1
1990458,75.3,19.1,108.1,68.7,1
1990459,166.4,31.0,104.4,40.6,1
1990460,168.2,26.7,138.5,44.5,1
1990461,141.3,27.8,156.6,42.5,0
1990462,80.8,34.4,117.8,25.3,0
1990463,135.9,23.3,85.9,47.0,1
1990464,161.1,29.2,60.5,42.2,1
1990465,122.0,14.4,76.7,67.6,0
1990466,140.9,7.3,117.8,68.1,0
1990467,69.7,6.3,68.1,60.0,0
1990468,105.1,22.4,135.7,31.2,0
1990469,160.6,40.8,142.7,50.9,1
1990470,93.0,23.6,132.7,75.4,1
1990471,107.4,33.9,66.2,52.8,1
1990472,156.0,5.7,81.1,26.9,0
1990473,130.8,10.5,66.2,31.4,1
1990474,87.5,23.4,88.0,49.1,0
1990475,109.1,22.6,87.0,58.6,0
1990476,145.2,12.4,116.9,41.7,0
1990477,104.3,26.4,97.5,35.1,0
1990478,139.7,38.8,78.6,41.5,1
1990479,147.6,25.1,119.2,44.0,1
1990480,129.9,31.0,109.3,55.6,1
1990481,151.2,31.1,97.5,58.8,1
1990482,69.6,26.1,104.2,40.5,0
1990483,82.1,31.5,98.9,21.4,0
1990484,168.8,19.5,92.4,78.5,1
1990485,144.8,36.2,89.5,49.5,1
1990486,49.0,43.9,98.9,45.8,0
1990487,122.7,11.8,67.5,59.1,1
1990488,88.2,11.0,93.8,65.9,0
1990489,124.6,35.7,74.1,62.9,1
1990490,68.8,6.6,120.4,62.4,0
1990491,123.0,34.8,92.0,24.8,1
1990492,177.3,30.4,77.2,25.7,0
1990493,113.7,14.9,75.0,36.9,0
1990494,96.2,24.1,97.8,32.1,0
1990495,103.7,24.1,72.5,38.7,1
1990496,88.6,9.8,110.7,33.1,0
1990497,115.7,39.3,119.8,49.6,1
1990498,109.3,38.9,79.9,17.4,0
1990499,177.7,36.6,55.3,56.3,1
1990500,136.1,41.1,71.4,20.7,0
1990501,115.6,21.5,119.7,30.8,1
1990502,166.2,12.9,112.9,57.3,1
1990503,130.0,10.3,68.3,27.4,0
1990504,101.8,10.5,143.7,33.3,1
1990505,113.3,44.6,104.6,19.5,0
1990506,148.3,11.3,126.2,27.6,1
1990507,118.3,23.8,45.7,79.2,0
1990508,99.4,15.1,149.6,51.9,0
1990509,83.7,36.7,100.5,47.7,0
1990510,90.5,30.3,104.3,54.6,0
1990511,151.1,23.9,100.9,82.2,1
1990512,110.1,18.7,132.1,32.2,0
1990513,148.9,37.9,88.5,33.7,1
1990514,95.3,33.9,33.8,39.5,0
1990515,138.0,32.2,132.7,68.6,1
1990516,130.0,20.5,127.1,64.3,0
1990517,155.6,34.3,69.0,41.7,1
1990518,130.7,6.3,67.0,37.5,1
1990519,82.8,41.5,126.4,26.2,0
1990520,106.7,39.7,57.1,71.8,0
1990521,111.3,7.3,108.0,36.6,0
1990522,114.4,24.6,134.3,46.2,0
1990523,121.3,34.8,99.2,46.7,1
1990524,133.0,20.8,121.4,34.9,1
1990525,99.9,42.7,52.3,47.2,0
1990526,73.0,24.2,91.3,42.1,0
1990527,173.6,39.0,121.4,26.9,1
1990528,118.7,30.4,105.6,61.0,1
1990529,156.4,8.5,42.6,74.8,1
1990530,94.8,22.8,89.0,46.5,0
1990531,113.3,12.8,122.3,58.5,0
1990532,181.8,35.2,80.9,63.6,1
1990533,77.7,7.8,93.9,35.6,1
1990534,100.8,14.9,101.0,51.7,0
1990535,192.6,11.4,102.8,63.3,1
1990536,73.3,19.0,99.0,34.0,0
1990537,80.3,34.1,143.3,54.0,0
1990538,111.7,26.3,67.3,35.0,0
1990539,122.2,8.3,76.9,53.9,1
1990540,128.2,12.8,113.4,68.6,0
1990541,167.2,20.9,132.7,40.8,1
1990542,151.1,19.4,70.4,27.3,1
1990543,106.0,12.2,126.0,69.7,0
1990544,130.0,17.6,104.0,40.6,1
1990545,148.8,24.2,112.4,42.7,1
1990546,123.8,23.1,101.0,24.9,1
1990547,101.6,23.8,83.6,31.4,0
1990548,132.0,33.2,61.8,20.0,0
1990549,170.2,43.7,112.4,57.7,0
1990550,101.7,15.7,84.3,61.7,0
1990551,149.0,5.9,121.7,52.4,1
1990552,141.3,8.2,84.7,63.3,0
1990553,123.6,42.4,57.3,46.1,1
1990554,162.8,35.7,111.9,46.4,1
1990555,147.4,10.7,76.1,16.4,0
1990556,122.9,44.8,85.6,62.9,0
1990557,140.7,15.2,86.9,71.5,1
1990558,135.6,12.6,103.9,50.5,0
1990559,52.8,15.0,143.8,46.1,1
1990560,158.0,34.3,116.2,42.9,0
1990561,146.3,28.4,117.1,41.5,1
1990562,132.9,17.8,92.3,61.6,0
1990563,117.9,23.6,84.4,58.5,1
1990564,112.2,11.0,96.0,34.2,1
1990565,168.0,27.2,119.1,60.2,0
1990566,97.9,5.2,,45.6,0
1990567,51.3,43.1,82.2,27.0,0
1990568,149.6,39.7,98.4,39.8,1
1990569,116.7,15.1,100.0,59.7,1
1990570,182.4,23.9,100.7,26.0,1
1990571,138.7,18.0,84.2,58.6,1
1990572,180.1,17.1,130.3,58.9,1
1990573,142.4,44.1,118.0,43.8,0
1990574,66.7,18.5,139.3,46.9,0
1990575,157.6,27.9,125.6,19.4,1
1990576,127.8,21.2,100.4,43.2,1
1990577,143.5,7.5,99.0,28.6,1
1990578,105.5,14.2,53.8,32.4,0
1990579,57.9,21.0,128.1,57.5,0
1990580,119.7,20.6,84.5,20.7,0
1990581,129.0,21.7,97.7,42.3,1
1990582,121.3,17.4,132.5,31.3,1
1990583,101.3,39.5,111.2,59.7,1
1990584,98.9,22.3,71.3,32.6,0
1990585,81.4,12.5,131.3,47.2,0
1990586,125.0,26.6,78.4,17.0,0
1990587,146.0,39.0,128.4,40.5,1
1990588,137.0,37.0,128.5,55.3,1
1990589,88.0,38.6,101.8,32.8,0
1990590,150.7,39.0,77.9,48.3,1
1990591,71.3,44.3,82.7,35.4,0
1990592,103.1,7.6,96.7,32.9,0
1990593,81.0,20.0,116.8,55.0,0
1990594,109.4,24.4,119.4,46.0,0
1990595,114.0,42.7,131.7,41.0,0
1990596,143.8,9.6,105.1,26.2,1
1990597,100.0,14.8,76.1,48.1,0
1990598,142.8,16.7,135.1,24.7,0
1990599,95.8,8.1,87.8,43.6,1
1990600,64.9,25.1,34.3,40.1,1
1990601,150.8,5.1,133.0,41.7,1
1990602,137.0,43.4,148.7,63.1,1
1990603,96.8,6.3,102.0,34.4,0
1990604,83.0,12.8,121.3,59.6,0
1990605,78.3,8.4,107.8,39.6,0
1990606,113.6,29.5,126.1,68.6,1
1990607,133.7,30.1,99.4,66.8,1
1990608,155.8,22.9,81.0,44.8,1
1990609,127.3,6.0,147.1,92.5,1
1990610,116.4,34.2,39.6,87.5,0
1990611,87.5,5.4,92.0,62.2,1
1990612,127.0,38.6,101.4,70.0,0
1990613,95.3,11.5,85.8,32.4,1
1990614,86.6,19.7,104.6,45.4,0
1990615,169.6,40.4,98.2,34.9,1
1990616,121.8,5.4,105.3,11.5,0
1990617,100.6,34.3,133.8,18.7,0
1990618,119.9,40.7,83.7,55.2,0
1990619,82.6,20.7,89.6,38.4,0
1990620,134.2,26.8,53.9,34.1,0
1990621,106.7,6.6,65.0,39.0,1
1990622,74.9,8.0,107.0,42.7,0
1990623,60.0,31.1,91.6,34.8,0
1990624,136.6,18.0,140.1,23.5,0
1990625,87.4,25.1,148.2,16.7,0
1990626,115.3,43.7,163.1,34.5,1
1990627,110.6,11.4,94.7,22.9,1
1990628,113.0,24.3,69.2,23.8,0
1990629,103.9,30.9,91.6,54.8,1
1990630,117.2,21.5,98.1,71.8,0
1990631,72.1,29.0,112.0,42.3,0
1990632,115.3,17.2,97.9,35.8,1
