TransitID,SensorReadingCount,OutRangeTempDuration_Mins,AmbientTemp,CoolantAge_Days,SpoilageRisk
1310188,135.7,21.1,25.5,53.0,38.0
1310189,15.1,35.4,18.6,18.0,56.0
1310190,77.0,56.1,5.7,45.0,39.0
1310191,60.2,27.2,28.5,52.0,35.0
1310192,65.2,67.0,13.9,41.0,39.0
1310193,123.3,38.4,19.2,23.0,48.0
1310194,84.0,,14.4,35.0,57.0
1310195,94.7,55.3,22.2,35.0,21.0
1310196,24.8,30.2,21.9,66.0,53.0
1310197,61.3,31.0,6.2,41.0,29.0
1310198,89.3,48.3,21.4,55.0,40.0
1310199,62.9,15.6,22.4,20.0,44.0
1310200,121.1,47.3,10.6,35.0,44.0
1310201,70.5,36.7,14.7,68.0,20.0
1310202,119.0,44.7,15.3,54.0,38.0
1310203,95.4,59.4,18.2,58.0,73.0
1310204,121.5,,29.4,34.0,57.0
1310205,85.7,66.3,15.0,45.0,33.0
1310206,61.4,46.7,17.0,55.0,42.0
1310207,110.9,57.1,-3.5,45.0,39.0
1310208,79.2,25.6,23.5,40.0,48.0
1310209,71.6,33.6,18.8,29.0,43.0
1310210,116.5,65.5,6.8,55.0,53.0
1310211,109.8,43.6,8.9,44.0,38.0
1310212,105.8,48.4,37.2,45.0,51.0
1310213,104.3,14.2,30.7,43.0,28.0
1310214,121.7,54.9,22.1,13.0,35.0
1310215,124.1,34.8,0.9,43.0,49.0
1310216,79.0,68.1,22.2,54.0,78.0
1310217,113.1,50.4,13.5,49.0,49.0
1310218,107.6,31.3,34.0,31.0,26.0
1310219,123.1,37.6,9.9,63.0,59.0
1310220,119.1,49.3,12.9,47.0,36.0
1310221,100.7,51.6,22.6,34.0,41.0
1310222,81.5,41.1,21.3,26.0,55.0
1310223,131.3,14.1,15.6,35.0,49.0
1310224,47.1,63.7,1.0,56.0,28.0
1310225,104.2,49.0,16.9,23.0,66.0
1310226,122.9,43.6,24.0,43.0,52.0
1310227,73.7,62.5,35.2,60.0,31.0
1310228,111.9,46.6,23.8,50.0,35.0
1310229,81.5,43.6,22.8,32.0,43.0
1310230,144.2,38.7,16.5,37.0,39.0
1310231,100.9,71.4,17.6,51.0,44.0
1310232,117.4,43.6,22.0,44.0,45.0
1310233,73.1,48.4,31.3,39.0,17.0
1310234,111.9,50.6,10.0,25.0,46.0
1310235,119.7,37.5,13.5,37.0,38.0
1310236,67.1,44.0,18.9,49.0,10.0
1310237,42.4,42.4,30.6,36.0,43.0
1310238,125.3,43.0,18.0,22.0,54.0
1310239,78.2,52.4,33.1,41.0,51.0
1310240,117.4,46.2,15.7,46.0,33.0
1310241,66.7,42.9,26.5,24.0,27.0
1310242,80.7,,7.8,28.0,38.0
1310243,119.4,37.2,28.2,31.0,43.0
1310244,56.8,48.8,-4.3,12.0,52.0
1310245,110.4,66.0,24.1,36.0,44.0
1310246,108.9,27.5,13.7,25.0,58.0
1310247,141.7,18.7,19.4,50.0,74.0
1310248,116.7,38.9,19.1,50.0,38.0
1310249,128.3,31.2,22.0,59.0,39.0
1310250,93.0,24.9,32.6,55.0,50.0
1310251,38.9,42.6,22.9,47.0,38.0
1310252,94.1,60.2,10.5,46.0,66.0
1310253,66.6,37.5,11.0,47.0,44.0
1310254,117.0,65.9,11.4,28.0,56.0
1310255,100.0,59.4,24.5,29.0,55.0
1310256,134.1,70.6,19.4,58.0,40.0
1310257,83.5,61.8,33.6,47.0,44.0
1310258,101.6,52.4,21.6,50.0,30.0
1310259,87.2,,21.5,39.0,29.0
1310260,105.0,61.3,19.4,21.0,63.0
1310261,135.4,85.1,11.0,35.0,34.0
1310262,81.8,76.0,16.8,33.0,44.0
1310263,134.5,48.1,12.6,52.0,35.0
1310264,72.9,29.2,26.6,51.0,26.0
1310265,131.6,10.0,12.8,40.0,33.0
1310266,145.1,21.6,23.8,48.0,36.0
1310267,90.8,39.3,23.5,46.0,39.0
1310268,112.5,42.1,24.0,41.0,34.0
1310269,74.0,41.6,3.9,42.0,41.0
1310270,100.5,53.8,20.0,34.0,31.0
1310271,120.1,,21.2,59.0,35.0
1310272,79.1,46.9,8.9,27.0,43.0
1310273,94.4,31.0,22.7,39.0,39.0
1310274,115.0,55.4,12.6,34.0,57.0
1310275,61.2,46.7,9.2,47.0,30.0
1310276,84.4,26.4,10.3,51.0,17.0
1310277,88.7,52.8,30.0,68.0,69.0
1310278,107.3,41.5,27.8,28.0,41.0
1310279,119.5,43.9,27.8,26.0,22.0
1310280,91.6,29.2,27.2,42.0,47.0
1310281,138.6,33.1,20.6,52.0,43.0
1310282,92.2,30.7,19.8,29.0,56.0
1310283,100.6,45.2,10.2,38.0,43.0
1310284,113.9,53.2,15.2,46.0,62.0
1310285,92.5,47.8,13.6,45.0,43.0
1310286,121.2,64.7,8.7,56.0,49.0
1310287,114.9,41.6,21.8,39.0,29.0
1310288,138.2,58.0,11.3,24.0,54.0
1310289,112.8,49.9,15.3,24.0,45.0
1310290,122.6,70.7,-5.4,53.0,34.0
1310291,129.4,34.7,22.5,32.0,44.0
1310292,117.2,43.9,5.3,31.0,47.0
1310293,80.2,66.1,29.1,38.0,52.0
1310294,118.5,48.9,27.7,35.0,38.0
1310295,99.5,38.7,8.7,50.0,23.0
1310296,83.8,19.1,13.9,16.0,30.0
1310297,111.0,57.9,22.8,33.0,61.0
1310298,117.7,49.4,11.6,54.0,35.0
1310299,82.9,38.0,14.5,44.0,56.0
1310300,89.6,43.6,4.2,44.0,28.0
1310301,50.0,30.6,7.4,49.0,30.0
1310302,131.6,24.7,23.6,61.0,41.0
1310303,107.9,32.4,32.3,45.0,53.0
1310304,75.7,51.3,6.2,54.0,33.0
1310305,121.2,22.9,12.2,29.0,48.0
1310306,93.8,26.3,14.6,50.0,35.0
1310307,98.0,69.1,19.0,28.0,41.0
1310308,111.7,56.1,11.5,39.0,50.0
1310309,119.4,43.6,19.4,42.0,45.0
1310310,91.8,59.9,9.3,35.0,28.0
1310311,139.1,64.1,14.0,33.0,50.0
1310312,46.1,58.2,20.5,21.0,54.0
1310313,63.8,57.6,23.2,7.0,53.0
1310314,74.4,67.3,22.4,27.0,49.0
1310315,83.5,39.7,12.6,55.0,56.0
1310316,66.8,70.3,20.2,22.0,20.0
1310317,101.8,46.1,23.2,43.0,26.0
1310318,88.1,47.8,17.4,51.0,41.0
1310319,75.2,37.4,20.1,26.0,60.0
1310320,87.9,74.4,24.8,32.0,49.0
1310321,65.1,50.0,18.3,55.0,52.0
1310322,113.3,,7.8,42.0,39.0
1310323,139.3,59.7,-1.7,42.0,54.0
1310324,99.5,40.7,20.7,40.0,37.0
1310325,98.0,17.5,25.9,38.0,23.0
1310326,171.1,34.2,31.2,61.0,51.0
1310327,149.1,42.3,11.5,14.0,41.0
1310328,146.6,65.5,3.1,39.0,40.0
1310329,113.4,48.2,19.1,60.0,19.0
1310330,72.7,37.7,31.4,35.0,11.0
1310331,125.7,53.6,24.6,53.0,54.0
1310332,94.2,38.0,12.9,38.0,64.0
1310333,129.1,26.0,24.4,40.0,75.0
1310334,103.3,22.1,19.0,51.0,36.0
1310335,130.2,6.0,4.6,54.0,44.0
1310336,103.7,59.5,10.6,57.0,49.0
1310337,105.5,23.1,23.5,40.0,90.0
1310338,103.4,38.1,15.1,34.0,39.0
1310339,89.9,40.8,30.7,24.0,41.0
1310340,88.4,40.7,21.4,61.0,43.0
1310341,138.7,49.2,12.6,34.0,61.0
1310342,100.4,33.7,20.1,76.0,41.0
1310343,89.4,39.9,17.9,64.0,21.0
1310344,114.0,41.2,23.2,29.0,13.0
1310345,77.4,39.1,10.1,44.0,38.0
1310346,82.6,65.7,9.1,34.0,32.0
1310347,112.5,69.7,16.7,37.0,22.0
1310348,79.2,58.9,18.9,51.0,45.0
1310349,86.4,37.5,11.5,45.0,35.0
1310350,108.8,52.2,18.9,58.0,47.0
1310351,100.4,43.4,20.8,52.0,44.0
1310352,138.0,13.1,24.7,46.0,60.0
1310353,100.9,43.4,19.9,41.0,24.0
1310354,83.4,22.1,17.6,40.0,54.0
1310355,103.0,72.2,13.3,32.0,52.0
1310356,160.1,49.1,15.0,57.0,45.0
1310357,112.7,32.8,9.9,45.0,35.0
1310358,100.6,44.0,19.6,48.0,34.0
1310359,88.3,43.0,23.5,46.0,41.0
1310360,133.2,39.8,17.2,67.0,39.0
1310361,87.0,21.1,20.1,41.0,67.0
1310362,109.1,67.6,12.8,38.0,45.0
1310363,84.4,35.9,21.3,22.0,30.0
1310364,106.3,28.6,16.9,55.0,28.0
1310365,86.0,54.8,11.7,51.0,42.0
1310366,83.5,41.4,10.9,25.0,31.0
1310367,115.1,53.0,11.8,46.0,62.0
1310368,90.3,69.0,21.7,34.0,46.0
1310369,81.2,9.7,16.4,37.0,22.0
1310370,106.8,48.2,28.8,39.0,38.0
1310371,108.3,46.7,17.4,43.0,64.0
1310372,90.7,61.2,15.5,38.0,50.0
1310373,70.7,68.2,32.0,65.0,48.0
1310374,27.6,34.3,11.9,48.0,40.0
1310375,100.4,34.4,18.1,43.0,31.0
1310376,122.5,30.4,-3.2,51.0,19.0
1310377,92.7,40.6,22.7,38.0,23.0
1310378,110.3,35.5,29.2,48.0,20.0
1310379,131.7,43.0,18.2,42.0,85.0
1310380,101.4,30.2,15.5,38.0,35.0
1310381,74.0,42.8,14.7,37.0,45.0
1310382,94.0,41.7,22.1,31.0,35.0
1310383,107.9,40.1,29.0,41.0,23.0
1310384,108.6,60.3,5.6,43.0,66.0
1310385,100.3,57.7,30.6,50.0,25.0
1310386,70.9,31.6,19.5,19.0,46.0
1310387,85.2,29.7,20.8,47.0,27.0
1310388,106.3,45.7,15.5,57.0,36.0
1310389,91.2,40.9,19.9,41.0,49.0
1310390,90.0,28.2,18.2,41.0,35.0
1310391,85.0,17.8,28.6,33.0,49.0
1310392,127.9,63.9,26.8,34.0,38.0
1310393,105.6,32.7,16.7,52.0,39.0
1310394,94.0,29.5,13.7,17.0,51.0
1310395,107.6,,26.6,52.0,66.0
1310396,68.4,34.5,11.9,31.0,34.0
1310397,96.7,57.8,22.1,19.0,50.0
1310398,76.5,67.1,11.2,52.0,61.0
1310399,109.3,66.8,15.8,53.0,16.0
1310400,119.5,30.8,13.3,40.0,48.0
1310401,111.4,56.7,9.5,31.0,32.0
1310402,128.5,33.1,23.0,32.0,51.0
1310403,140.5,24.2,27.2,33.0,55.0
1310404,95.2,40.2,8.8,59.0,17.0
1310405,55.2,37.1,23.7,49.0,41.0
1310406,139.6,54.8,16.4,33.0,30.0
1310407,154.2,33.3,11.2,50.0,37.0
1310408,90.2,70.4,26.0,54.0,36.0
1310409,123.0,28.9,7.0,60.0,38.0
1310410,90.9,62.9,18.5,33.0,63.0
1310411,109.3,9.9,14.3,61.0,22.0
1310412,122.6,60.3,29.7,22.0,37.0
1310413,150.7,25.4,15.4,49.0,43.0
1310414,35.0,31.5,27.4,18.0,41.0
1310415,140.3,17.4,37.7,52.0,67.0
1310416,90.8,29.1,13.1,34.0,38.0
1310417,81.7,45.2,21.7,31.0,58.0
1310418,106.1,72.7,14.7,21.0,21.0
1310419,113.8,37.2,9.5,46.0,23.0
1310420,101.7,52.3,12.2,62.0,81.0
1310421,57.2,31.0,27.3,43.0,50.0
1310422,121.8,31.0,11.8,51.0,26.0
1310423,100.8,37.8,21.4,41.0,41.0
1310424,92.6,37.6,30.0,45.0,24.0
1310425,107.2,36.5,10.9,51.0,12.0
1310426,132.7,56.5,20.8,26.0,49.0
1310427,99.2,37.6,10.5,39.0,63.0
1310428,96.0,69.2,11.6,45.0,39.0
1310429,134.8,63.3,14.6,58.0,50.0
1310430,117.5,37.9,14.5,44.0,71.0
1310431,79.4,36.6,21.3,44.0,30.0
1310432,84.9,76.4,25.2,28.0,28.0
1310433,90.0,,23.6,30.0,32.0
1310434,108.6,74.2,5.1,32.0,31.0
1310435,77.1,30.1,22.1,69.0,53.0
1310436,125.1,82.0,17.3,47.0,51.0
1310437,69.9,40.8,25.7,18.0,43.0
1310438,98.5,40.4,26.5,49.0,29.0
1310439,126.7,57.2,0.8,36.0,48.0
1310440,127.2,44.4,13.6,31.0,46.0
1310441,54.6,56.1,8.7,45.0,61.0
1310442,75.2,36.1,24.8,52.0,34.0
1310443,76.4,68.8,11.4,46.0,58.0
1310444,86.2,25.9,15.3,38.0,40.0
1310445,105.0,30.7,19.0,23.0,40.0
1310446,123.1,60.4,22.6,38.0,47.0
1310447,118.3,40.0,11.2,39.0,44.0
1310448,105.1,40.8,22.2,28.0,36.0
1310449,106.7,57.1,7.8,27.0,41.0
1310450,90.8,68.3,20.9,45.0,59.0
1310451,71.7,34.4,17.2,33.0,27.0
1310452,127.1,19.9,12.3,46.0,29.0
1310453,121.3,42.1,3.1,28.0,32.0
1310454,63.8,52.6,24.7,26.0,42.0
1310455,44.3,56.1,28.2,42.0,48.0
1310456,98.0,55.1,19.8,25.0,23.0
1310457,104.1,40.2,17.9,41.0,59.0
1310458,66.0,25.1,13.5,40.0,41.0
1310459,127.7,51.5,15.2,51.0,50.0
1310460,77.2,54.0,6.6,48.0,43.0
1310461,127.6,54.3,4.4,41.0,1.0
1310462,94.1,32.3,19.2,66.0,44.0
1310463,76.0,47.5,7.6,43.0,56.0
1310464,96.6,41.8,10.3,33.0,40.0
1310465,45.9,43.8,16.3,54.0,38.0
1310466,59.0,39.3,16.5,60.0,26.0
1310467,83.7,54.3,32.9,56.0,42.0
1310468,74.1,48.3,31.1,29.0,37.0
1310469,60.2,35.9,25.4,19.0,38.0
1310470,88.0,34.9,16.9,41.0,35.0
1310471,82.9,43.6,12.4,31.0,33.0
1310472,125.7,60.6,2.6,34.0,56.0
1310473,133.0,50.9,23.0,70.0,47.0
1310474,105.8,2.5,11.7,8.0,51.0
1310475,61.5,49.6,15.5,30.0,32.0
1310476,78.5,49.0,13.6,56.0,31.0
1310477,121.5,,8.9,38.0,46.0
1310478,141.0,50.4,16.4,27.0,46.0
1310479,94.6,60.8,15.1,50.0,39.0
1310480,90.6,46.2,21.1,38.0,37.0
1310481,126.8,65.8,23.0,61.0,41.0
1310482,130.6,50.6,33.0,20.0,38.0
1310483,103.6,46.7,11.8,35.0,51.0
1310484,110.8,30.0,14.4,55.0,45.0
1310485,130.4,57.4,14.8,57.0,28.0
1310486,115.3,50.2,0.8,36.0,43.0
1310487,67.4,56.9,17.3,33.0,59.0
1310488,114.4,20.1,5.1,30.0,34.0
1310489,112.9,36.7,23.5,41.0,38.0
1310490,78.1,23.6,2.7,35.0,27.0
1310491,87.8,48.9,23.9,34.0,40.0
1310492,110.2,44.9,11.2,72.0,28.0
1310493,87.8,45.4,16.6,29.0,52.0
1310494,118.5,34.9,13.8,42.0,52.0
1310495,101.5,51.0,24.9,46.0,31.0
1310496,111.1,46.5,21.9,40.0,48.0
1310497,97.2,53.1,1.5,44.0,56.0
1310498,80.1,40.5,12.3,63.0,53.0
1310499,88.6,46.6,21.0,61.0,48.0
1310500,94.9,14.3,3.4,27.0,22.0
1310501,145.9,61.7,14.8,44.0,61.0
1310502,117.6,41.4,-1.9,32.0,69.0
1310503,134.2,68.5,17.7,27.0,57.0
1310504,104.8,41.6,17.6,64.0,63.0
1310505,59.4,51.3,25.6,49.0,47.0
1310506,87.5,35.7,22.1,33.0,42.0
1310507,111.5,13.1,22.4,35.0,39.0
1310508,121.7,43.9,9.3,42.0,8.0
1310509,116.3,45.5,25.9,62.0,55.0
1310510,47.8,55.6,16.9,36.0,1.0
1310511,89.8,37.0,7.3,54.0,52.0
1310512,86.0,78.7,29.8,28.0,12.0
1310513,62.7,44.5,24.3,51.0,40.0
1310514,124.3,40.1,25.6,51.0,37.0
1310515,120.0,46.1,23.4,38.0,48.0
1310516,51.8,74.7,21.7,47.0,41.0
1310517,119.3,31.7,25.8,46.0,55.0
1310518,141.8,54.1,9.8,41.0,52.0
1310519,73.0,69.6,21.0,55.0,40.0
1310520,87.6,55.7,21.1,48.0,34.0
1310521,29.6,34.2,17.7,35.0,20.0
1310522,103.5,50.4,10.7,45.0,42.0
1310523,105.3,42.7,3.7,47.0,21.0
1310524,116.0,35.5,26.0,51.0,31.0
1310525,134.3,66.9,12.6,47.0,51.0
1310526,80.1,24.7,18.8,62.0,26.0
1310527,89.0,45.5,14.8,43.0,49.0
1310528,123.7,61.0,14.0,45.0,73.0
1310529,107.9,47.5,17.3,34.0,59.0
1310530,57.7,41.8,9.0,29.0,45.0
1310531,95.3,37.5,31.1,50.0,38.0
1310532,89.9,63.6,33.2,42.0,75.0
1310533,145.7,31.1,24.2,62.0,39.0
1310534,97.0,16.3,23.6,56.0,21.0
1310535,112.9,54.8,22.6,39.0,40.0
1310536,77.8,37.4,22.3,55.0,45.0
1310537,113.3,61.6,7.4,33.0,19.0
1310538,103.1,71.2,21.2,69.0,22.0
1310539,140.2,35.4,31.0,66.0,18.0
1310540,114.8,31.5,29.9,37.0,49.0
1310541,77.3,56.4,24.0,19.0,51.0
1310542,148.1,39.1,28.7,38.0,41.0
1310543,116.7,48.6,21.0,43.0,59.0
1310544,94.4,51.3,24.3,22.0,46.0
1310545,123.3,23.4,30.4,49.0,21.0
1310546,96.6,58.8,32.9,43.0,26.0
1310547,102.4,15.9,15.9,55.0,63.0
1310548,117.7,39.7,14.2,8.0,49.0
1310549,50.9,42.4,15.3,69.0,64.0
1310550,113.2,30.9,28.2,49.0,39.0
1310551,88.5,58.5,12.8,32.0,40.0
1310552,82.6,66.3,17.8,40.0,88.0
1310553,91.3,61.7,4.5,57.0,48.0
1310554,59.5,31.4,18.6,27.0,11.0
1310555,82.6,52.6,20.8,43.0,28.0
1310556,113.7,64.3,-5.0,39.0,43.0
1310557,162.0,41.0,4.3,36.0,41.0
1310558,97.8,49.1,12.3,43.0,57.0
1310559,77.5,55.7,20.6,40.0,51.0
1310560,90.2,29.4,4.0,41.0,58.0
1310561,63.9,59.0,23.4,38.0,31.0
1310562,105.9,50.0,2.7,34.0,41.0
1310563,148.8,49.6,20.4,33.0,19.0
1310564,88.0,23.6,8.8,39.0,3.0
1310565,80.0,38.1,20.9,32.0,32.0
1310566,115.1,46.9,21.1,28.0,38.0
1310567,114.1,54.2,24.7,54.0,55.0
1310568,64.3,60.8,9.3,61.0,19.0
1310569,87.9,39.1,23.4,66.0,31.0
1310570,79.0,61.8,0.7,44.0,43.0
1310571,81.6,57.8,18.3,35.0,45.0
1310572,111.2,38.5,23.3,46.0,59.0
1310573,60.4,42.2,20.6,32.0,24.0
1310574,54.5,20.7,17.1,30.0,46.0
1310575,114.0,29.0,13.9,43.0,19.0
1310576,39.3,,20.0,51.0,33.0
1310577,106.3,47.2,8.6,66.0,51.0
1310578,99.1,54.4,24.3,77.0,39.0
1310579,95.0,42.0,15.6,42.0,59.0
